from_stop,AE,AG,AL,AO,AS,BA,BC,BQ,BU,BZ,CD,CI,CP,CX,DD,DE,DN,DS,EE,EF,EG,EH,EN,EO,ER,EU,EW,FM,FQ,FR,FT,FV,GI,GL,GS,GY,HF,HH,HI,HM,HS,HU,HX,ID,IF,IJ,IQ,IZ,JD,JI,JJ,JK,JM,JN,JO,JP,JQ,KB,KE,KK,KR,KW,KX,KY,LB,LI,LK,LU,MM,MS,MW,NB,NI,NL,NM,NO,NQ,NW,OA,OG,PB,PD,PL,QB,QS,QU,RC,RM,RN,RP,SA,SB,SH,SN,SS,SV,SZ,TA,TB,TL,TX,TY,UG,UI,UP,UY,VG,VP,WG,WH,WK,WL,WU,XG,XJ,XN,XP,XQ,XU,XV,XW,YN,YU,ZD,ZF,ZL,ZU,ZW,ZY
JJ,53.7,369.9,185.3,347.6,88.1,362.4,254.2,339.4,101.8,341.6,509.8,343.8,61.6,539.4,283.7,189.9,72.9,206.7,352.7,441.8,387.4,270.0,98.1,545.2,220.1,163.1,333.1,71.3,116.9,86.4,346.9,298.8,990.1,468.3,229.0,169.1,146.1,80.8,283.7,88.1,187.7,248.0,372.3,355.5,204.5,107.2,117.0,433.4,384.1,313.5,0.0,324.2,698.9,386.3,435.2,162.9,677.7,292.7,675.9,377.7,661.3,15.9,393.2,329.4,335.4,358.1,223.0,580.8,299.2,166.9,362.8,453.4,236.5,281.7,52.5,654.2,391.6,53.4,482.1,343.0,241.5,238.8,327.9,128.8,325.9,719.4,211.7,29.6,173.9,124.0,473.3,46.8,96.0,241.6,83.1,260.3,175.4,219.7,149.5,264.7,324.7,221.8,401.0,238.9,512.3,252.0,269.5,65.5,108.1,136.3,293.6,482.5,343.2,292.0,405.6,300.8,644.8,389.5,299.7,603.0,73.3,407.4,62.2,61.1,85.3,36.5,417.2,172.5,115.1
JK,274.4,327.6,240.3,237.4,246.6,450.7,193.7,433.7,300.9,17.4,384.5,432.1,323.6,497.1,372.0,278.7,261.8,116.5,310.4,399.5,277.2,102.0,252.1,429.2,87.4,357.9,548.9,297.1,230.1,281.5,255.3,256.5,1082.2,343.0,118.8,218.9,340.9,253.9,173.6,262.9,237.5,60.0,607.1,263.9,143.7,276.3,271.0,326.1,547.4,252.7,261.9,0.0,656.6,344.0,347.4,269.7,635.4,250.4,633.6,335.4,619.0,274.7,556.5,492.7,225.2,592.9,325.7,538.5,189.0,101.6,320.5,411.1,324.8,220.9,293.2,611.9,626.4,281.9,356.8,437.3,131.3,178.0,217.7,369.7,209.0,677.1,200.5,291.6,368.7,219.2,431.0,227.6,189.9,367.8,277.9,495.1,416.3,158.9,390.4,362.9,282.4,111.6,358.7,124.0,470.0,191.2,159.5,212.1,262.1,331.1,200.1,366.5,233.0,231.2,363.3,535.6,602.5,281.9,238.9,560.7,300.3,365.1,257.0,273.8,299.7,277.4,374.9,261.3,356.0
JM,641.1,323.5,465.8,404.3,593.1,769.2,462.0,788.6,526.4,496.2,374.5,826.7,612.8,291.9,778.1,547.2,577.9,556.1,347.7,297.8,421.6,580.9,658.2,313.6,560.5,757.1,784.3,685.7,606.1,634.1,404.9,344.4,1404.0,333.0,597.7,495.4,751.5,589.1,490.6,669.0,505.8,538.9,857.5,413.5,549.8,682.4,677.1,350.8,869.3,371.3,614.3,478.8,0.0,303.7,388.8,535.7,237.2,318.2,120.9,331.3,106.3,630.3,878.4,822.0,454.2,843.3,731.8,84.8,504.9,516.3,316.4,303.3,730.9,399.6,666.9,216.4,876.8,572.5,346.8,795.9,532.3,461.8,446.7,693.1,397.2,169.4,425.2,587.3,765.6,595.7,212.7,598.2,568.3,773.9,684.0,745.5,739.7,472.1,713.8,725.9,370.3,590.5,212.7,579.3,264.8,432.0,482.4,582.0,668.2,737.2,488.5,257.7,431.2,389.7,261.6,786.0,288.8,347.2,382.0,107.0,568.6,324.8,662.5,564.4,579.1,650.1,273.2,529.6,679.4
JN,404.6,51.5,267.7,204.0,362.7,640.7,263.9,576.2,328.3,304.4,123.4,610.6,430.2,274.9,562.0,348.9,377.9,300.0,149.6,177.3,231.0,372.3,442.1,168.1,322.4,547.9,568.2,446.3,346.2,397.6,132.9,146.3,1187.9,81.9,371.8,289.1,544.6,366.7,252.5,432.5,307.7,347.1,659.4,141.5,277.8,466.3,461.3,47.0,671.2,99.3,378.0,287.0,434.4,0.0,116.8,337.6,428.5,120.1,411.4,59.3,396.8,390.9,680.3,616.5,262.4,645.2,515.7,316.3,251.0,260.2,38.9,133.8,514.8,127.6,427.5,389.7,678.7,398.0,95.7,579.8,257.3,213.3,254.9,485.8,199.1,459.9,227.1,412.1,558.7,338.2,208.8,343.7,308.4,557.8,467.9,547.4,532.4,200.2,506.5,509.8,172.2,364.6,136.5,341.2,247.8,160.1,210.4,322.1,452.1,521.1,216.5,105.4,203.6,117.7,141.1,587.9,380.3,75.2,110.0,338.5,370.5,21.0,446.4,389.9,422.6,395.6,152.7,331.5,472.1
JO,287.7,113.5,257.5,80.7,245.8,531.5,210.9,466.0,318.1,181.6,204.8,504.1,313.3,344.5,455.5,323.5,261.0,183.1,157.8,246.9,120.5,250.8,353.0,249.5,200.9,421.2,461.7,329.4,229.3,280.7,16.0,220.0,1081.4,163.3,250.3,271.7,417.9,249.8,131.0,315.6,282.1,224.3,623.7,24.6,160.9,329.0,375.4,146.4,630.9,57.7,261.1,164.2,504.0,191.4,0.0,314.3,482.8,120.7,481.0,134.1,466.4,274.0,640.0,576.2,140.9,609.5,409.2,385.9,129.5,143.3,167.9,258.5,408.3,81.4,310.6,459.3,643.0,281.1,177.1,473.3,138.1,135.3,133.4,368.9,168.5,529.5,224.0,295.2,432.0,218.9,278.4,226.8,191.5,451.3,341.2,511.7,415.5,140.2,389.6,403.3,245.9,243.1,206.1,219.7,317.4,113.9,93.5,205.2,366.2,394.4,99.6,186.8,80.3,71.5,210.7,552.2,449.9,81.7,63.8,408.1,334.5,212.5,320.3,273.0,305.7,278.7,222.3,305.9,355.2
JP,105.3,368.6,184.0,355.1,57.3,332.9,252.9,385.9,149.7,313.0,508.5,420.3,91.5,538.1,381.6,198.1,42.1,214.2,351.4,440.5,394.9,277.5,196.0,543.9,227.6,255.7,379.3,151.2,86.1,98.3,354.4,297.5,997.6,467.0,236.5,138.3,238.7,50.0,291.2,133.2,156.9,255.5,418.5,363.0,212.0,199.8,214.9,432.1,430.3,321.0,96.7,295.6,697.6,385.0,433.9,0.0,676.4,291.4,674.6,376.4,660.0,117.5,439.4,375.6,342.9,404.3,315.6,579.5,306.7,174.4,361.5,452.1,334.4,289.2,132.4,652.9,437.8,36.7,480.8,389.5,249.0,246.3,335.4,174.4,324.6,718.1,210.4,61.9,266.5,93.2,472.0,62.4,103.5,334.2,175.7,306.5,221.0,227.2,195.1,319.5,323.4,229.3,399.7,246.4,511.0,259.5,277.0,73.0,206.0,228.9,301.1,481.2,350.7,299.5,404.3,347.0,643.5,388.2,307.2,601.7,121.2,406.1,154.8,28.6,36.5,112.2,415.9,180.7,160.7
JQ,662.3,349.0,487.0,425.5,614.3,790.4,483.2,809.8,547.6,517.4,395.7,847.9,634.0,313.1,799.3,568.4,599.1,577.3,368.9,319.0,442.8,602.1,676.2,334.8,581.7,778.3,805.5,706.9,627.3,655.3,426.1,365.6,1425.2,354.2,618.9,516.6,772.7,610.3,496.5,674.9,527.0,560.1,878.7,434.7,571.0,703.6,698.6,372.0,890.5,392.5,635.5,500.0,5.8,324.9,410.0,556.9,0.0,339.4,142.1,352.5,127.5,651.5,899.6,843.2,475.4,864.5,753.0,90.7,526.1,537.5,337.6,324.5,752.1,420.8,688.1,237.6,898.4,593.7,368.0,817.1,556.0,483.0,467.9,714.3,418.4,190.6,446.4,608.5,786.8,619.3,233.9,619.4,589.5,779.8,705.2,766.7,760.9,493.3,719.7,747.1,391.5,611.7,233.9,600.5,286.0,453.2,503.6,587.9,689.4,758.4,509.7,277.0,452.4,410.9,282.8,791.9,310.0,368.4,403.2,128.2,589.8,346.0,683.7,585.6,600.3,656.0,294.4,548.9,700.6
KB,322.8,81.4,147.5,229.6,274.8,450.9,143.7,524.5,208.1,240.0,217.0,531.5,304.0,246.6,516.7,228.7,259.6,237.8,59.9,149.0,256.6,301.1,394.2,252.4,251.2,438.8,544.3,367.4,287.8,315.8,158.5,26.1,1139.9,175.5,260.1,168.9,433.2,270.8,188.2,350.7,187.5,279.1,539.2,167.1,236.0,370.5,413.1,140.6,551.0,121.0,296.0,222.6,406.1,93.5,142.4,217.4,384.9,0.0,383.1,84.9,368.5,312.0,560.1,496.3,198.0,525.0,496.4,288.0,186.6,198.0,70.0,160.6,466.8,82.1,348.6,361.4,558.9,254.2,189.3,531.8,226.3,143.5,190.5,374.8,78.9,426.6,106.9,268.3,447.3,276.9,180.5,279.9,250.0,515.0,379.2,427.2,421.4,153.8,395.5,461.8,52.0,252.9,108.2,270.0,219.5,113.7,181.7,263.7,404.2,428.8,174.7,210.5,229.2,91.9,112.8,467.7,352.0,96.7,135.6,310.2,250.3,114.6,357.7,246.1,260.8,331.8,124.4,224.7,361.1
KE,722.6,423.7,588.0,464.2,680.7,894.1,584.2,914.5,648.6,556.1,416.4,948.9,744.5,414.1,900.3,669.2,695.9,618.0,469.9,420.0,481.5,640.8,780.4,355.5,620.4,856.1,940.5,764.3,664.2,715.6,450.9,466.6,1526.2,374.9,657.6,609.4,839.1,688.0,550.6,750.5,628.0,598.8,979.7,459.5,595.8,804.6,799.3,437.3,991.5,456.9,696.0,538.7,122.1,425.9,434.8,657.9,100.9,440.4,0.0,439.0,134.6,708.9,1000.6,936.8,514.1,965.5,854.0,251.4,557.6,578.2,432.4,426.8,853.1,490.2,745.5,95.4,999.0,694.7,388.7,918.1,570.5,570.2,506.6,815.3,519.4,43.4,528.2,719.9,866.9,653.3,334.9,661.7,624.0,896.1,776.1,867.7,861.9,561.7,836.0,848.1,492.5,650.4,334.9,639.2,387.0,521.6,528.4,646.2,790.4,829.3,534.5,398.4,491.1,479.2,383.8,908.2,167.8,432.6,471.5,273.6,690.8,485.4,755.2,686.6,694.5,711.5,395.4,651.8,801.6
KK,358.8,18.2,277.7,158.2,316.9,605.3,282.0,540.8,338.3,258.6,123.4,575.2,393.9,280.5,526.6,394.4,332.1,254.2,59.0,208.1,185.2,326.5,427.3,168.1,276.6,492.3,636.4,400.5,300.4,351.8,87.1,156.3,1152.5,81.9,326.0,334.6,475.3,324.2,206.8,386.7,353.2,301.3,694.8,95.7,232.0,400.1,446.2,65.0,702.0,49.6,332.2,241.2,422.4,134.5,71.0,385.4,401.2,130.1,399.4,0.0,384.8,345.1,711.1,647.3,216.6,680.6,480.3,304.3,198.4,214.4,26.9,133.8,479.4,82.9,381.7,377.7,714.1,352.2,95.7,544.4,206.7,167.5,209.1,440.0,200.7,442.9,217.9,361.9,503.1,289.5,196.8,297.9,260.2,522.4,412.3,582.8,486.6,154.4,460.7,474.4,182.2,318.8,124.5,295.4,253.4,114.3,164.6,282.4,437.3,465.5,170.7,105.4,157.8,71.9,171.9,623.3,368.3,25.3,64.2,326.5,405.6,155.6,391.4,344.1,370.0,347.7,183.5,377.0,426.3
KR,737.2,438.3,602.6,478.8,695.3,908.7,598.8,929.1,663.2,570.7,431.0,963.5,759.1,428.7,914.9,683.8,710.5,632.6,484.5,434.6,496.1,655.4,795.0,370.1,635.0,870.7,955.1,778.9,678.8,730.2,465.5,481.2,1540.8,389.5,672.2,624.0,853.7,702.6,565.2,765.1,642.6,613.4,994.3,474.1,610.4,819.2,813.9,451.9,1006.1,471.5,710.6,553.3,136.7,440.5,449.4,672.5,115.5,455.0,14.5,453.6,0.0,723.5,1015.2,951.4,528.7,980.1,868.6,266.0,572.2,592.8,447.0,441.4,867.7,504.8,760.1,110.0,1013.6,709.3,403.3,932.7,585.1,584.8,521.2,829.9,534.0,58.0,542.8,734.5,881.5,667.9,349.5,676.3,638.6,910.7,790.7,882.3,876.5,576.3,850.6,862.7,507.1,665.0,349.5,653.8,401.6,536.2,543.0,660.8,805.0,843.9,549.1,413.0,505.7,493.8,398.4,922.8,182.4,447.2,486.1,288.2,705.4,500.0,769.8,701.2,709.1,726.1,410.0,666.4,816.2
KW,37.7,388.1,203.5,342.7,106.3,346.4,272.4,323.4,120.0,325.6,528.0,327.8,79.8,557.6,267.7,208.1,91.1,201.8,370.9,460.0,382.5,265.1,82.1,563.4,215.2,147.1,317.1,55.3,135.1,70.4,342.0,317.0,985.2,486.5,224.1,187.3,130.1,99.0,278.9,72.1,205.9,243.1,356.3,350.6,199.6,91.2,101.0,451.6,368.1,308.6,18.1,308.2,717.1,404.5,403.3,181.1,695.9,310.9,694.1,395.9,679.5,0.0,377.2,313.4,330.5,342.1,207.0,599.0,294.3,162.0,381.0,471.6,220.5,276.8,36.5,672.4,375.6,71.6,500.3,327.0,236.6,233.9,323.0,143.9,264.9,737.6,229.9,47.8,157.9,142.2,491.5,41.9,91.1,225.6,67.1,244.3,190.5,214.8,164.6,248.7,342.9,216.9,419.2,234.0,530.5,247.1,264.6,60.6,92.1,120.3,288.7,500.7,338.3,287.1,423.8,284.8,663.0,337.8,294.8,621.2,91.5,425.6,46.2,79.3,103.5,51.6,435.4,190.7,130.2
KX,372.9,617.4,432.8,655.1,487.0,194.3,501.7,244.5,330.4,580.4,757.3,242.9,333.0,786.9,182.8,437.4,471.8,564.5,600.2,689.3,694.9,627.8,392.6,792.7,577.9,377.0,258.1,334.7,515.8,405.6,667.0,546.3,1068.2,715.8,586.8,550.0,299.9,479.7,578.8,364.6,568.6,605.8,221.3,675.6,562.3,313.9,411.5,680.9,130.6,633.6,398.8,563.0,946.4,633.8,682.7,410.4,925.2,540.2,923.4,625.2,908.8,391.7,0.0,75.9,640.4,164.5,217.1,828.3,656.2,524.7,610.3,700.9,253.5,603.4,349.5,901.7,240.6,452.3,729.6,248.1,598.5,596.6,632.9,313.0,573.4,966.9,459.2,428.5,252.7,504.9,720.8,404.6,453.8,217.7,318.5,185.3,359.6,577.5,333.7,258.8,572.2,579.6,648.5,596.7,759.8,608.2,608.7,423.3,402.6,290.1,651.4,730.0,638.2,612.1,653.1,107.2,892.3,637.0,619.8,850.5,382.4,654.9,339.4,460.0,447.0,353.9,664.7,420.0,337.6
KY,436.7,672.3,483.4,718.9,518.4,255.4,552.3,297.2,381.0,636.8,800.5,306.7,466.3,837.5,246.6,488.2,503.2,619.9,650.8,739.9,758.7,683.2,453.2,835.9,625.9,440.8,266.8,398.5,539.8,469.4,717.6,589.5,992.2,766.4,642.2,585.7,377.4,514.4,635.1,428.4,588.7,661.2,197.6,718.8,609.8,377.7,475.6,731.5,54.6,680.6,467.8,626.8,989.6,684.4,725.9,461.0,991.1,590.8,974.0,675.8,959.4,455.5,63.7,0.0,735.7,164.3,280.9,878.9,731.7,580.1,660.9,751.5,317.3,652.9,413.3,952.3,214.5,487.6,780.2,311.9,657.2,688.6,728.2,376.8,624.0,1022.5,516.1,466.1,316.5,557.2,771.4,461.0,514.3,274.1,382.3,249.1,423.4,625.0,397.5,322.6,622.8,635.0,699.1,652.1,810.4,658.8,672.5,488.0,466.4,353.9,712.4,801.4,702.0,662.7,696.3,171.0,942.9,691.7,670.4,901.1,433.0,705.5,403.8,489.7,504.4,408.4,715.3,484.0,445.7
LB,299.0,302.3,264.9,134.6,275.0,472.6,218.3,458.3,325.5,41.9,331.2,456.7,352.0,422.9,396.6,303.5,290.2,141.1,285.1,374.2,174.4,126.6,273.5,355.8,119.3,382.5,424.2,321.7,258.5,309.9,200.1,231.2,1110.6,289.7,143.4,243.5,379.2,279.0,58.3,287.5,262.1,84.6,631.7,208.7,168.3,300.9,295.9,272.8,572.0,203.3,290.3,24.5,623.6,318.7,298.0,294.3,617.7,225.1,608.3,297.7,593.7,303.2,581.1,524.7,0.0,617.5,350.3,513.2,142.5,126.2,295.2,385.8,349.4,172.5,317.8,578.9,651.0,310.3,303.5,461.9,80.5,146.5,112.4,398.1,179.7,611.3,225.1,324.4,393.3,248.1,405.7,256.0,220.7,392.4,302.5,519.7,444.7,151.4,418.8,387.5,257.1,136.2,333.4,138.1,395.8,141.8,88.2,234.4,286.7,355.7,128.8,329.8,117.7,181.8,338.0,560.2,554.4,232.5,189.5,535.4,324.9,339.8,281.6,302.2,328.1,307.9,349.6,299.3,384.4
LI,419.4,650.7,466.1,701.6,501.1,240.8,535.0,291.0,363.7,626.9,790.6,289.4,458.5,820.2,229.3,470.7,485.9,602.6,633.5,722.6,741.4,665.9,439.1,826.0,616.0,423.5,304.6,381.2,529.9,452.1,700.3,579.6,992.9,749.1,624.9,560.2,346.4,493.8,625.3,411.1,578.8,643.9,198.3,708.9,592.5,360.4,458.0,714.2,37.3,666.9,450.5,609.5,979.7,667.1,716.0,443.7,958.5,573.5,956.7,658.5,942.1,438.2,46.4,122.4,725.8,0.0,263.6,861.6,707.6,562.8,643.6,734.2,300.0,636.7,396.0,935.0,214.8,470.3,762.9,294.6,637.4,671.3,718.3,359.5,606.7,1000.2,492.5,446.5,299.2,537.0,754.1,451.1,500.3,264.2,365.0,231.8,406.1,607.7,380.2,305.3,605.5,617.7,681.8,634.8,793.1,641.5,655.2,469.8,449.1,336.6,702.5,763.3,684.7,645.4,686.4,153.7,925.6,670.3,653.1,883.8,415.7,688.2,385.9,472.4,480.3,400.4,698.0,453.3,428.4
LK,197.2,513.7,329.1,496.5,298.5,147.4,398.0,116.3,226.7,421.8,653.6,128.8,208.8,683.2,68.7,333.7,283.3,421.4,496.5,585.6,536.3,484.7,246.0,689.0,434.8,233.9,231.5,159.0,327.3,229.9,563.3,442.6,929.9,612.1,411.6,406.9,124.2,291.2,420.1,188.9,425.5,370.8,257.4,571.9,419.2,138.2,264.9,577.2,244.1,529.9,255.7,404.4,842.7,530.1,579.0,306.7,821.5,436.5,819.7,521.5,805.1,248.6,253.2,189.4,481.8,243.2,0.0,724.6,497.6,381.6,506.6,597.2,77.8,499.7,173.8,798.0,276.7,263.8,625.9,119.9,439.9,508.4,474.3,169.9,469.7,863.2,355.5,240.0,59.0,361.8,617.1,261.5,310.7,42.0,142.8,145.4,216.5,434.4,190.6,41.6,468.5,404.4,544.8,453.6,656.1,503.7,450.1,280.2,256.0,114.4,490.7,626.3,479.6,508.4,549.4,185.9,788.6,533.3,516.1,746.8,278.7,551.2,163.7,271.5,295.7,210.8,561.0,316.3,233.9
LU,759.2,464.7,583.9,509.5,711.2,890.0,580.1,906.7,644.5,601.4,461.7,944.8,730.9,410.0,896.2,665.1,696.0,674.2,465.8,415.9,526.8,686.1,776.3,400.8,665.7,875.2,902.4,803.8,709.5,752.2,496.2,462.5,1522.1,420.2,702.9,613.5,869.6,707.2,595.9,787.1,623.9,644.1,975.6,504.8,641.1,800.5,795.5,482.6,987.4,489.4,732.4,584.0,118.0,421.8,480.1,653.8,96.8,436.3,127.1,484.3,112.5,748.4,996.5,940.1,559.4,961.4,849.9,0.0,616.2,634.4,477.7,421.4,849.0,517.7,785.0,73.3,994.9,690.6,434.0,914.0,615.8,579.9,551.9,811.2,515.3,152.7,524.1,704.7,883.7,698.6,330.8,707.0,671.7,892.0,802.1,863.6,857.8,590.2,831.9,844.0,488.4,695.7,330.8,684.5,382.9,550.1,573.7,685.4,786.3,855.3,579.8,390.9,536.4,507.8,379.7,904.1,213.1,465.3,500.1,22.2,686.7,442.9,780.6,682.5,697.2,758.9,391.3,647.7,797.5
MM,337.9,119.1,300.5,48.3,296.0,593.1,261.1,513.1,361.1,162.7,195.4,554.3,363.5,273.2,517.1,373.7,311.2,224.3,190.0,279.1,88.1,227.1,403.2,233.3,170.4,471.4,505.1,379.6,272.7,330.9,66.2,172.3,1131.6,153.9,226.6,321.9,468.1,293.2,107.4,365.8,325.5,205.4,673.9,74.8,211.1,379.2,425.6,137.0,692.5,86.3,311.3,145.3,473.9,216.8,184.6,364.5,468.0,152.9,513.2,166.3,498.6,324.2,701.6,645.2,120.7,659.7,470.8,418.1,0.0,209.4,132.1,205.8,469.9,113.6,360.8,429.2,693.6,331.3,160.9,523.5,156.4,199.3,113.2,419.1,232.5,461.6,274.2,338.6,482.2,271.5,310.6,270.2,234.9,512.9,391.4,561.9,465.7,186.2,433.0,453.5,205.0,219.4,238.3,196.0,246.1,146.1,164.1,248.6,416.4,444.6,143.0,180.1,47.9,96.9,242.9,602.4,404.7,113.9,96.0,440.3,384.7,244.7,369.9,323.2,349.1,328.9,254.5,356.1,405.4
MS,186.8,225.9,138.6,180.6,144.9,453.7,92.0,436.7,199.2,138.5,298.1,435.1,221.9,395.4,375.0,177.0,160.1,39.7,208.7,297.8,220.4,103.0,255.1,342.8,53.1,360.9,551.9,228.5,128.4,179.8,184.4,154.8,980.5,256.6,62.0,117.2,343.9,152.2,116.7,265.9,135.8,81.0,518.2,193.0,42.0,279.3,274.0,239.7,550.4,151.0,160.2,121.1,554.9,242.3,245.7,168.0,533.7,148.7,531.9,233.7,517.3,173.1,559.5,495.7,168.4,504.0,328.7,436.8,132.2,0.0,218.8,309.4,327.8,119.2,209.7,510.2,537.5,180.2,270.4,440.3,74.5,76.3,160.9,268.0,107.3,575.4,98.8,189.9,371.7,117.5,329.3,125.9,88.2,370.8,280.9,406.2,314.6,57.2,288.7,365.9,180.7,54.8,257.0,71.9,368.3,89.5,107.0,110.4,265.1,334.1,131.1,280.1,176.2,129.5,261.6,446.7,500.8,180.2,137.2,459.0,198.6,263.4,260.0,172.1,198.0,175.7,273.2,159.6,254.3
MW,360.1,7.0,228.7,159.5,318.2,601.7,224.9,537.2,289.3,259.9,124.7,571.6,395.2,235.9,523.0,395.7,333.4,255.5,177.5,138.3,186.5,327.8,428.6,169.4,277.9,493.6,632.8,401.8,301.7,353.1,88.4,107.3,1148.9,83.2,327.3,335.9,476.6,325.5,208.0,388.0,354.5,302.6,620.4,97.0,233.3,401.4,447.5,66.3,632.2,50.9,333.5,242.5,395.4,82.8,72.3,386.7,374.2,81.1,372.4,14.8,357.8,346.4,641.3,577.5,217.9,606.2,476.7,277.3,199.7,215.7,0.0,149.9,475.8,84.2,383.0,350.7,639.7,353.5,97.0,540.8,208.0,168.8,210.4,441.3,202.0,415.9,168.9,363.2,504.4,290.8,169.8,299.2,261.5,518.8,413.6,508.4,487.9,155.7,462.0,470.8,133.2,320.1,97.5,296.7,208.8,115.6,165.9,283.7,438.6,466.8,172.0,106.7,159.1,73.2,102.1,548.9,341.3,26.6,65.5,299.5,406.9,103.9,392.7,345.4,371.3,349.0,113.7,378.3,427.6
NB,444.6,127.0,269.3,302.8,396.6,575.4,265.5,595.8,329.9,394.7,263.3,630.2,425.8,206.3,581.6,350.5,381.4,359.6,151.2,108.7,320.1,479.4,461.7,212.1,459.0,560.6,621.8,489.2,409.6,437.6,208.4,147.9,1207.5,221.8,496.2,290.7,550.5,389.3,389.1,472.5,309.3,437.4,661.0,217.0,353.3,485.9,480.6,186.9,672.8,170.9,417.8,377.3,365.8,107.2,192.3,339.2,344.6,121.7,342.8,134.8,328.2,433.8,681.9,618.1,352.7,646.8,535.3,247.7,301.6,319.8,160.8,0.0,534.4,204.2,470.4,321.1,680.3,376.0,235.6,599.4,430.8,265.3,345.2,496.6,200.7,386.3,209.5,401.2,569.1,398.7,140.2,401.7,369.4,577.4,487.5,549.0,543.2,275.6,517.3,529.4,173.8,489.0,67.9,477.8,179.2,235.5,285.9,391.6,471.7,540.7,292.0,149.4,329.7,193.2,72.5,589.5,311.7,146.6,185.5,269.9,372.1,160.9,466.6,367.9,375.8,451.5,84.1,333.1,482.9
NI,119.3,483.9,299.3,401.5,220.6,273.3,368.2,235.9,196.9,326.8,623.8,254.7,130.9,653.4,194.6,303.9,205.4,316.4,466.7,555.8,441.3,379.7,139.0,561.9,329.8,134.2,351.1,81.1,249.4,152.0,467.0,412.8,1067.5,582.3,316.6,301.6,175.8,213.3,325.1,111.0,320.2,357.7,429.7,475.6,314.2,60.3,157.9,547.4,370.0,423.2,155.8,309.4,812.9,500.3,549.2,276.9,791.7,406.7,789.9,491.7,775.3,137.6,379.1,315.3,386.8,415.5,148.3,694.8,402.6,276.6,476.8,567.4,0.0,391.4,95.9,768.2,449.0,185.9,596.1,239.5,344.9,348.5,379.3,158.5,379.5,833.4,325.7,162.1,203.6,256.5,587.3,156.5,205.7,190.4,64.9,317.7,205.1,329.4,179.2,185.5,438.7,309.4,515.0,348.6,626.3,361.7,355.1,175.2,149.0,166.0,395.7,596.5,384.6,401.7,519.6,358.2,758.8,452.4,409.4,717.0,223.8,521.4,85.8,193.6,217.8,105.8,531.2,286.5,144.8
NL,299.5,90.8,245.4,110.8,257.6,546.0,222.7,481.5,306.0,176.7,177.8,515.9,325.1,335.5,467.3,335.3,272.8,194.9,148.8,237.9,150.6,244.6,368.0,222.5,194.7,433.0,473.5,341.2,241.1,292.5,64.1,170.3,1093.2,136.3,244.1,275.3,429.7,261.6,124.9,327.4,293.9,219.4,635.5,72.7,172.7,340.8,387.2,119.4,642.7,27.1,272.9,159.3,495.0,182.4,125.4,326.1,473.8,111.7,472.0,125.1,457.4,285.8,651.8,595.4,134.7,621.3,421.0,376.9,123.3,155.1,99.5,188.2,420.1,0.0,322.4,450.3,654.8,292.9,150.1,485.1,142.5,85.6,127.2,380.7,118.8,520.5,235.8,307.0,443.8,230.2,269.4,238.6,203.3,463.1,353.0,523.5,427.3,72.5,401.4,415.1,196.2,236.9,197.1,213.5,308.4,32.4,100.4,217.0,378.0,406.2,111.4,179.9,110.4,9.2,201.7,564.0,440.9,59.9,16.9,399.1,346.3,203.5,331.5,284.8,317.5,290.5,213.3,331.1,367.0
NM,23.3,429.8,245.2,403.9,148.0,350.0,314.1,327.0,166.0,329.2,569.7,331.4,100.0,599.3,271.3,249.8,132.8,243.5,412.6,501.7,443.7,306.8,85.7,605.1,256.9,150.7,320.7,18.8,176.8,56.0,383.7,358.7,1026.9,528.2,265.8,229.0,133.7,140.7,327.5,75.7,247.6,284.8,359.9,392.3,241.3,94.8,104.6,493.3,371.7,350.3,59.8,311.8,758.8,446.2,445.0,222.8,737.6,352.6,735.8,437.6,721.2,41.6,380.8,317.0,389.2,345.7,210.6,640.7,336.0,203.7,422.7,513.3,224.1,318.5,0.0,714.1,379.2,113.3,542.0,330.6,278.3,275.6,381.7,127.6,306.6,779.3,271.6,89.5,161.5,183.9,533.2,83.6,132.8,229.2,70.7,247.9,174.2,256.5,148.3,252.3,384.6,258.6,460.9,275.7,572.2,288.8,306.3,102.3,95.7,123.9,330.4,542.4,387.0,328.8,465.5,288.4,704.7,379.5,336.5,662.9,133.2,467.3,49.8,121.0,145.2,74.9,477.1,232.4,113.9
NO,776.4,477.5,641.8,518.0,734.5,947.9,638.0,968.3,702.4,609.9,470.2,1002.7,798.3,467.9,954.1,723.0,749.7,671.8,523.7,473.8,535.3,694.6,834.2,409.3,674.2,909.9,994.3,818.1,718.0,769.4,504.7,520.4,1580.0,428.7,711.4,663.2,892.9,741.8,604.3,804.3,681.8,652.6,1033.5,513.3,649.6,858.4,853.1,491.1,1045.3,510.7,749.8,592.5,175.9,479.7,488.6,711.7,154.7,494.2,53.7,492.8,39.1,762.7,1054.4,990.6,567.9,1019.3,907.8,305.2,611.4,632.0,486.2,480.6,906.9,544.0,799.3,0.0,1052.8,748.5,442.5,971.9,624.3,624.0,560.4,869.1,573.2,97.2,582.0,773.7,920.7,707.1,388.7,715.5,677.8,949.9,829.9,921.5,915.7,615.5,889.8,901.9,546.3,704.2,388.7,693.0,440.8,575.4,582.2,700.0,844.2,883.1,588.3,452.2,544.9,533.0,437.6,962.0,221.6,486.4,525.3,327.4,744.6,539.2,809.0,740.4,748.3,765.3,449.2,705.6,855.4
