from_stop,AI,AP,BA,BC,BR,BX,BZ,CA,CE,CI,CJ,CV,CW,CY,CZ,DO,DW,EJ,EK,EL,EP,ER,FC,FE,FH,FR,FV,GD,GF,GI,GP,GR,GW,GX,HK,HL,HM,HO,HQ,HY,ID,IM,IV,IY,JE,JH,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LV,LX,MD,MJ,MN,MQ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OO,OQ,OS,OW,OX,PA,PB,PO,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VU,VW,WN,WQ,WS,WU,WW,XO,XR,XT,YA,YR,YV,YZ,ZB,ZC,ZL
LI,129.4,118.1,34.3,546.2,118.4,566.3,271.3,124.2,481.9,38.2,54.2,286.6,278.3,59.5,361.5,223.4,477.9,507.5,147.4,55.0,658.0,60.1,714.8,505.1,361.0,326.3,75.0,605.7,574.7,23.1,317.9,265.4,420.5,118.5,580.0,249.0,440.6,286.5,648.0,313.7,200.5,88.5,763.2,431.0,215.2,621.8,394.3,68.5,263.9,257.8,92.8,184.7,2455.0,330.2,134.6,79.6,0.0,468.8,59.3,566.4,418.8,511.0,422.8,398.0,376.2,277.8,176.5,399.7,388.9,452.1,281.4,644.4,268.6,451.0,276.7,698.7,526.9,445.2,392.2,24.6,487.6,732.2,297.3,377.2,400.7,74.4,593.3,270.9,104.4,286.7,26.7,247.8,329.1,166.1,460.5,123.2,215.8,289.8,657.5,354.5,257.8,653.7,436.2,458.1,662.7,146.9,439.3,56.9,261.1,300.1,216.7,627.6,131.8,321.4,625.4,531.7,116.3
LV,369.0,373.9,459.7,200.6,372.6,293.1,251.3,458.8,177.7,419.0,476.7,225.7,314.9,433.7,104.4,306.0,124.1,161.9,363.2,519.7,412.9,485.5,443.8,66.4,209.4,239.4,384.8,179.3,209.2,434.6,220.4,290.8,170.2,361.7,309.0,285.5,108.0,323.1,402.9,235.9,504.6,417.5,492.2,28.2,311.2,240.9,163.0,430.8,297.6,270.1,365.0,480.1,2456.7,129.3,433.6,418.4,464.6,0.0,502.7,171.9,160.6,162.5,159.0,171.9,219.0,261.8,480.6,186.9,176.1,51.3,364.0,402.9,271.0,187.2,280.8,427.7,138.3,44.4,125.6,450.0,68.8,464.8,257.8,115.4,194.1,409.6,322.3,353.5,439.0,230.4,470.1,256.5,203.5,345.4,41.7,376.2,275.3,243.2,201.8,141.7,283.4,408.6,130.1,194.3,207.0,347.2,175.5,482.3,266.2,386.3,313.7,263.7,382.8,245.9,169.7,139.5,411.7
LX,176.8,229.5,57.8,575.6,161.9,595.7,302.1,211.9,511.3,81.7,25.3,313.6,254.7,103.0,388.5,199.8,507.3,536.9,190.9,99.8,667.6,83.6,716.5,532.1,388.0,353.3,118.5,633.1,604.1,94.0,344.9,288.6,447.5,162.0,609.4,225.4,467.6,262.9,657.6,340.7,271.2,150.7,740.0,458.0,197.2,651.2,421.3,112.0,244.0,284.8,136.3,261.1,2467.5,357.2,178.1,161.0,44.7,495.8,0.0,593.4,445.8,540.4,449.8,427.4,403.2,304.8,247.2,426.7,415.9,479.1,257.8,654.0,295.6,478.0,253.1,731.9,553.9,472.2,419.2,48.1,514.6,733.9,324.3,404.2,427.7,167.1,622.7,247.3,147.9,265.0,21.1,274.8,356.1,203.7,487.5,184.0,244.5,316.8,663.9,381.5,284.8,663.3,465.6,485.1,669.1,191.1,466.3,80.4,288.1,276.5,193.1,657.0,140.8,348.4,631.8,558.7,159.8
MD,457.1,464.2,546.4,215.5,462.9,308.0,341.6,546.9,186.8,509.3,567.0,297.6,405.2,521.8,219.0,396.3,136.8,176.8,451.3,610.0,427.8,573.6,456.5,218.6,258.9,296.1,475.1,283.3,244.0,522.7,251.9,377.5,203.3,452.0,323.9,375.8,104.9,411.2,417.8,267.4,592.7,507.8,507.1,148.9,399.3,288.9,159.9,521.1,387.9,360.4,455.3,570.4,2471.6,216.0,520.3,505.1,554.9,154.3,593.0,0.0,161.8,177.4,155.9,186.8,234.3,293.3,570.9,236.4,225.6,152.0,454.3,412.0,302.5,184.1,371.1,440.4,98.0,145.1,205.8,538.1,82.6,473.9,283.5,216.0,232.2,499.9,337.2,441.6,529.3,320.7,560.4,353.4,260.2,435.7,109.7,466.5,365.6,274.7,326.8,192.0,373.7,423.5,145.0,191.2,332.0,437.5,172.4,572.6,335.1,473.0,404.0,371.5,473.1,277.4,294.7,105.0,502.0
MJ,320.8,325.7,411.5,179.3,324.4,208.8,203.1,410.6,115.0,370.8,428.5,159.1,266.7,385.5,77.6,257.8,120.8,140.6,315.0,471.5,328.6,437.3,359.5,230.3,120.4,157.6,336.6,238.8,207.8,386.4,113.4,242.8,27.7,313.5,224.7,237.3,59.7,274.9,318.6,128.9,456.4,369.3,407.9,122.4,263.0,254.9,21.4,382.6,249.4,235.2,316.8,431.9,2372.4,77.5,381.8,366.6,416.4,160.2,454.5,185.5,0.0,144.1,41.9,87.6,130.0,154.8,432.4,97.9,87.1,143.5,315.8,315.0,164.0,70.1,232.6,343.4,146.0,136.6,41.7,401.8,117.0,376.9,147.2,51.9,105.1,361.4,238.0,305.3,390.8,185.2,421.9,214.9,121.7,297.2,144.1,328.0,227.1,136.2,290.6,53.5,235.2,324.3,69.3,77.2,295.8,299.0,58.4,434.1,196.6,334.5,265.5,272.3,354.8,138.9,258.5,150.8,363.5
MN,403.6,420.0,502.2,35.1,418.7,233.8,323.8,504.9,114.8,465.1,483.2,290.8,387.4,476.9,201.2,352.0,82.8,76.5,409.3,565.8,353.6,528.7,384.5,176.6,218.3,292.2,428.0,102.9,63.6,480.7,241.8,360.5,183.9,407.8,249.7,358.0,101.0,392.7,343.6,263.5,528.2,467.6,432.9,152.5,380.8,113.6,156.0,476.9,370.1,346.3,411.1,506.6,2397.4,195.3,456.5,458.0,510.7,157.9,548.8,170.4,144.6,0.0,152.0,112.6,162.3,260.7,507.1,176.2,165.4,152.7,410.0,337.1,269.9,180.2,353.3,368.4,130.3,148.7,186.4,496.1,86.2,401.9,281.8,196.6,160.2,455.7,263.0,396.6,485.1,302.9,516.2,320.8,256.3,370.3,113.3,452.2,347.8,270.8,146.4,174.2,359.6,349.3,70.8,187.3,151.6,387.6,168.5,528.4,302.5,425.8,359.7,208.3,428.8,273.5,114.3,138.0,438.2
MQ,338.6,343.5,429.3,182.3,342.2,246.8,220.9,428.4,133.3,388.6,454.5,176.9,284.5,403.3,98.3,275.6,116.9,143.6,332.8,489.3,364.4,455.1,395.3,228.5,138.2,175.4,352.0,241.8,210.8,404.2,131.2,256.8,71.1,331.3,260.5,255.1,33.0,292.7,354.4,146.7,474.2,384.5,443.7,156.6,280.8,257.9,39.2,400.4,267.2,253.0,334.6,449.7,2408.2,95.3,399.6,384.4,434.2,158.4,472.3,158.8,43.3,147.1,0.0,123.4,147.8,172.6,450.2,115.7,104.9,159.7,333.6,350.8,181.8,28.1,253.5,379.2,119.3,152.8,80.3,419.6,90.3,412.7,165.0,95.3,122.9,379.2,273.8,323.1,408.6,205.5,439.7,232.7,139.5,315.0,117.4,345.8,244.9,154.0,293.6,71.3,253.0,360.1,89.3,35.3,298.8,316.8,16.5,451.9,214.4,352.3,283.3,308.1,372.6,156.7,261.5,124.1,381.3
NA,293.8,307.3,393.1,148.1,306.0,168.2,229.9,392.2,83.8,352.4,378.7,203.9,294.2,367.1,107.3,239.3,79.8,109.4,296.6,453.1,285.7,418.9,316.7,251.2,124.4,199.8,315.8,207.6,176.6,368.0,147.9,250.7,136.2,295.1,181.9,264.9,105.3,302.4,275.7,173.7,418.4,357.1,365.1,176.8,262.5,223.7,99.3,364.2,248.9,246.9,298.4,393.9,2329.6,104.3,343.8,348.2,398.0,181.1,436.1,199.5,108.4,112.9,122.8,0.0,68.4,166.8,394.4,82.3,71.5,182.4,297.3,272.1,176.0,151.0,235.2,300.6,160.0,175.5,138.0,383.4,113.0,334.1,192.0,123.0,66.3,343.0,195.2,286.8,372.4,214.5,403.5,236.9,163.9,257.6,140.1,339.5,226.6,181.0,259.4,80.3,246.9,281.4,38.1,158.1,264.6,274.9,139.3,415.7,208.6,316.0,247.0,229.5,336.3,183.7,227.3,164.8,325.5
NH,287.1,292.0,377.8,200.8,290.7,218.7,199.2,376.9,136.5,337.1,417.9,167.0,262.8,351.8,114.9,224.1,142.3,162.1,281.3,437.8,320.4,403.6,369.4,292.3,58.8,166.5,302.9,260.3,229.3,352.7,79.4,209.1,178.3,279.8,234.6,233.4,153.2,271.0,310.4,137.8,422.7,333.0,417.8,184.4,229.3,276.4,106.9,348.9,215.7,201.5,283.1,398.2,2382.3,111.9,348.1,332.9,382.7,225.8,420.8,276.7,139.0,162.7,135.4,51.4,0.0,98.3,398.7,78.6,79.1,205.5,282.1,306.8,107.5,163.6,202.0,353.3,239.5,198.6,145.6,368.1,165.7,386.8,156.1,130.6,32.5,327.7,247.9,271.6,357.1,178.3,388.2,158.4,130.6,263.5,213.9,294.3,193.4,117.5,312.1,87.9,201.5,316.1,90.8,170.7,317.3,265.3,151.9,400.4,140.1,300.8,231.8,282.2,321.1,120.2,280.0,244.3,329.8
NI,188.7,193.6,279.4,299.2,192.3,319.3,100.8,278.5,234.9,238.7,304.6,68.6,164.4,253.4,143.5,125.7,230.9,260.5,182.9,339.4,418.8,305.2,467.8,287.1,83.1,108.3,202.1,388.1,327.7,254.3,51.3,106.9,202.5,181.4,333.0,135.0,189.6,172.6,408.8,95.7,324.3,234.6,516.2,213.0,130.9,374.8,143.3,250.5,117.3,103.1,184.7,299.8,2455.0,112.2,249.7,234.5,284.3,250.8,322.4,315.4,175.4,264.0,171.8,149.8,98.3,0.0,300.3,123.5,134.3,234.1,183.7,405.2,9.1,200.0,103.6,451.7,275.9,227.2,174.2,269.7,246.9,485.2,79.3,159.2,122.8,229.3,346.3,173.2,258.7,85.4,289.8,57.3,111.1,165.1,242.5,195.9,95.0,71.8,418.9,136.5,103.1,414.5,189.2,207.1,424.1,166.9,188.3,302.0,39.0,202.4,133.4,380.6,222.7,92.1,386.8,280.7,231.4
NM,157.6,120.0,173.3,566.1,138.3,586.2,286.8,79.7,501.8,171.9,221.1,306.5,279.2,193.2,381.4,224.3,497.8,527.4,167.3,233.3,677.9,199.1,734.7,525.0,380.9,346.2,103.2,625.6,594.6,148.2,337.8,281.5,440.4,138.4,599.9,249.9,460.5,287.4,667.9,333.6,23.9,137.3,783.1,450.9,173.9,641.7,414.2,144.4,222.6,277.7,121.0,66.6,2474.9,350.1,68.2,128.4,178.2,488.7,251.9,586.3,438.7,530.9,442.7,417.9,396.1,297.7,0.0,419.6,408.8,472.0,282.3,664.3,288.5,470.9,241.1,718.6,546.8,465.1,412.1,163.6,507.5,752.1,317.2,397.1,420.6,123.2,613.2,271.8,49.4,289.5,183.7,267.7,349.0,168.0,480.4,151.4,263.4,309.7,677.4,374.4,277.7,673.6,456.1,478.0,682.6,148.8,459.2,195.9,281.0,301.0,181.9,647.5,261.6,341.3,645.3,551.6,88.6
NO,302.3,307.2,393.0,214.7,305.9,234.8,205.4,392.1,150.4,352.3,418.2,179.4,269.0,367.0,82.8,239.3,146.4,176.0,296.5,453.0,334.3,418.8,383.3,260.2,74.0,175.3,315.7,274.2,243.2,367.9,94.6,224.3,134.7,295.0,248.5,239.6,121.1,277.2,324.3,149.2,437.9,348.2,431.7,152.3,244.5,290.3,74.8,364.1,230.9,216.7,298.3,413.4,2396.2,79.8,363.3,348.1,397.9,190.1,436.0,246.9,106.9,179.5,103.3,65.3,69.9,113.5,413.9,0.0,10.8,173.4,297.3,320.7,122.7,131.5,217.2,367.2,207.4,166.5,113.5,383.3,178.4,400.7,167.5,98.5,45.0,342.9,261.8,286.8,372.3,190.0,403.4,173.6,139.4,278.7,181.8,309.5,208.6,132.7,326.0,55.8,216.7,330.0,104.7,138.6,331.2,280.5,119.8,415.6,155.3,316.0,247.0,296.1,336.3,135.4,293.9,212.2,345.0
NR,312.3,317.2,403.0,203.9,315.9,224.0,194.6,402.1,139.6,362.3,428.2,168.6,258.2,377.0,72.0,249.3,135.6,165.2,306.5,463.0,323.5,428.8,372.5,249.4,84.8,164.5,325.7,263.4,232.4,377.9,105.4,234.3,123.9,305.0,237.7,228.8,110.3,266.4,313.5,138.4,447.9,358.2,420.9,141.5,254.5,279.5,64.0,374.1,240.9,226.7,308.3,423.4,2385.4,69.0,373.3,358.1,407.9,179.3,446.0,236.1,96.1,168.7,92.5,54.5,59.1,124.3,423.9,10.8,0.0,162.6,307.3,309.9,133.5,120.7,227.2,356.4,196.6,155.7,102.7,393.3,167.6,389.9,156.7,87.7,34.2,352.9,251.0,296.8,382.3,179.2,413.4,184.4,128.6,288.7,171.0,319.5,218.6,143.5,315.2,45.0,226.7,319.2,93.9,127.8,320.4,290.5,109.0,425.6,166.1,326.0,257.0,285.3,346.3,146.2,283.1,201.4,355.0
NZ,362.8,367.7,449.9,212.4,366.4,304.9,245.1,452.6,185.9,412.8,470.5,215.9,308.7,427.5,98.2,299.8,135.9,173.7,357.0,513.5,424.7,479.3,455.6,111.9,203.2,233.2,378.6,212.9,251.1,428.4,214.2,281.0,152.5,355.5,320.8,279.3,119.8,316.9,414.7,229.7,498.4,408.7,504.0,22.0,305.0,286.4,172.3,424.6,291.4,277.2,358.8,473.9,2468.5,119.5,423.8,408.6,458.4,41.8,496.5,186.0,150.8,177.2,170.8,183.7,212.8,255.6,474.4,180.7,169.9,0.0,357.8,411.1,264.8,199.0,274.6,439.5,146.5,7.3,124.2,443.8,80.6,473.0,248.0,109.2,187.9,403.4,334.1,347.3,432.8,224.2,463.9,246.7,197.3,339.2,53.5,370.0,269.1,237.0,243.7,135.5,277.2,420.4,141.9,206.1,248.9,341.0,187.3,476.1,260.0,376.5,307.5,305.6,376.6,239.7,211.6,151.3,405.5
OE,141.1,166.2,249.3,448.5,292.0,468.6,91.5,308.2,384.2,208.6,226.0,158.5,83.9,223.3,233.4,50.5,380.2,409.8,282.6,339.1,568.1,268.1,617.1,377.0,238.8,198.2,188.7,478.0,477.0,224.2,199.2,210.4,292.4,219.9,482.3,54.6,312.5,92.1,558.1,185.6,285.2,174.0,665.5,302.9,147.9,524.1,266.2,228.8,150.8,202.8,183.2,260.7,2493.3,202.1,210.6,184.3,284.0,340.7,256.8,438.3,290.7,413.3,294.7,299.1,277.9,179.5,261.2,271.6,260.8,324.0,0.0,554.5,170.3,322.9,203.3,601.0,398.8,317.1,264.1,239.6,359.5,634.5,169.2,249.1,278.8,190.4,495.6,6.9,277.9,94.2,259.7,172.3,201.0,110.5,332.4,148.3,194.7,171.1,508.8,226.4,202.8,563.8,338.5,330.0,514.0,127.8,311.2,264.9,185.6,18.7,99.9,529.9,183.6,202.7,476.7,403.6,192.3
OF,571.0,532.6,618.4,389.7,531.3,258.4,482.7,617.5,325.4,577.7,646.5,456.7,533.2,592.4,360.1,478.3,331.2,351.0,521.9,678.4,104.9,644.2,284.6,377.8,377.2,452.6,543.5,339.7,377.9,593.3,400.7,489.7,377.8,520.4,244.7,503.9,346.9,541.4,28.0,426.5,643.7,580.2,226.0,429.6,501.5,413.2,352.1,589.5,487.9,472.6,523.7,619.2,2282.9,357.1,569.1,573.5,623.3,426.3,661.4,441.1,350.0,354.5,380.6,289.5,321.2,419.6,619.7,335.1,324.3,450.7,536.3,0.0,428.8,408.8,474.2,272.0,401.6,443.8,386.0,608.7,354.6,302.0,444.8,375.8,319.1,568.3,306.7,525.8,597.7,461.8,628.8,475.9,416.7,496.6,381.7,564.8,465.6,433.8,247.7,333.1,485.9,33.7,279.7,415.9,242.4,513.9,397.1,641.0,461.4,555.0,486.0,191.4,555.1,436.5,280.1,406.4,550.8
OJ,179.5,184.4,270.2,308.4,183.1,328.5,91.6,269.3,244.1,229.5,295.4,59.4,155.2,244.2,134.3,116.5,240.1,269.7,173.7,330.2,428.0,296.0,477.0,277.9,92.3,99.1,192.9,378.9,336.9,245.1,60.5,97.7,193.3,172.2,342.2,125.8,198.8,163.4,418.0,86.5,315.1,225.4,525.4,203.8,121.7,384.0,152.5,241.3,108.1,93.9,175.5,290.6,2445.8,103.0,240.5,225.3,275.1,241.6,313.2,324.6,184.6,273.2,181.0,159.0,107.5,9.1,291.1,132.7,143.5,224.9,174.5,414.4,0.0,209.2,94.4,460.9,285.1,218.0,165.0,260.5,256.1,494.4,70.1,150.0,132.0,220.1,355.5,164.0,249.5,76.2,280.6,66.5,101.9,155.9,233.3,186.7,85.8,62.6,409.7,127.3,93.9,423.7,198.4,216.3,414.9,157.7,197.5,292.8,48.2,193.2,124.2,389.8,213.5,94.2,377.6,289.9,222.2
OO,372.3,377.2,463.0,216.0,375.9,280.5,254.6,462.1,167.0,422.3,488.2,210.6,318.2,437.0,132.0,309.3,150.6,177.3,366.5,523.0,398.1,488.8,429.0,262.2,171.9,209.1,385.7,275.5,244.5,437.9,164.9,290.5,104.8,365.0,294.2,288.8,66.7,326.4,388.1,180.4,507.9,418.2,477.4,190.3,314.5,291.6,72.9,434.1,300.9,286.7,368.3,483.4,2441.9,129.0,433.3,418.1,467.9,192.1,506.0,192.5,77.0,180.8,33.7,157.1,181.5,206.3,483.9,149.4,138.6,193.4,367.3,384.5,215.5,0.0,287.2,412.9,153.0,186.5,114.0,453.3,124.0,446.4,198.7,129.0,156.6,412.9,307.5,356.8,442.3,239.2,473.4,266.4,173.2,348.7,151.1,379.5,278.6,187.7,327.3,105.0,286.7,393.8,123.0,7.1,332.5,350.5,13.9,485.6,248.1,386.0,317.0,341.8,406.3,190.4,295.2,157.8,415.0
OQ,105.7,114.8,197.0,410.6,113.5,428.5,152.8,195.5,346.3,155.7,217.6,120.6,180.2,170.4,195.5,125.3,352.1,371.9,104.1,260.6,535.0,226.4,537.3,339.1,195.0,160.3,121.5,448.4,439.1,171.3,151.9,91.4,266.0,102.6,444.4,150.9,274.6,188.4,525.0,147.7,241.3,158.4,607.4,265.0,47.9,482.0,228.3,171.7,13.6,78.5,105.9,221.0,2382.0,160.0,170.9,155.7,205.5,306.4,243.6,398.1,248.6,372.5,256.8,261.2,210.2,111.8,221.5,233.7,222.9,281.9,183.3,521.4,102.6,285.0,0.0,521.2,360.9,279.2,221.4,186.7,321.6,601.3,131.3,211.2,234.7,150.5,457.7,172.8,179.9,131.9,211.0,81.8,163.1,86.3,294.5,117.1,49.8,123.8,470.9,188.5,91.8,530.7,300.6,292.1,476.1,88.1,273.3,223.2,95.1,202.0,100.2,492.0,180.6,155.4,438.8,361.5,152.6
OS,654.0,615.6,697.8,410.6,614.3,281.5,565.7,700.5,346.3,660.7,737.7,539.7,616.2,675.4,443.1,561.3,352.1,371.9,604.9,761.4,210.5,727.2,132.5,398.7,460.2,535.6,626.5,360.6,398.8,676.3,483.7,576.5,410.2,603.4,265.6,586.9,367.8,624.4,200.5,509.5,726.7,665.4,206.0,441.8,584.5,434.1,384.8,672.5,570.9,568.9,606.7,702.2,2145.4,440.1,652.1,656.5,706.3,443.6,744.4,459.7,370.9,372.5,385.3,327.3,404.2,502.6,702.7,418.1,407.3,444.9,619.3,196.9,511.8,413.5,554.1,0.0,422.5,438.0,412.7,691.7,375.5,191.0,527.8,422.9,402.1,651.3,327.6,608.8,680.7,544.8,711.8,558.9,499.7,579.6,402.6,647.8,548.6,516.8,268.6,416.1,568.9,206.2,300.6,420.6,263.3,596.9,401.8,724.0,544.4,638.0,569.0,212.3,658.3,519.5,301.0,427.3,633.8
OW,441.4,446.3,528.5,197.6,445.0,290.1,323.7,531.2,171.1,491.4,549.1,279.7,387.3,506.1,201.1,378.4,121.1,158.9,435.6,592.1,409.9,557.9,440.8,202.9,241.0,278.2,457.2,257.1,226.1,507.0,234.0,363.4,185.4,434.1,306.0,357.9,87.0,395.5,399.9,249.5,577.0,489.9,489.2,131.0,383.6,273.2,142.0,503.2,370.0,355.8,437.4,552.5,2453.7,198.1,502.4,487.2,537.0,136.4,575.1,99.5,146.1,162.4,138.0,168.9,218.6,275.4,553.0,218.5,207.7,134.1,436.4,396.3,284.6,166.2,353.2,424.7,0.0,127.2,187.9,522.4,64.7,458.2,267.8,198.1,216.5,482.0,319.3,425.9,511.4,305.8,542.5,335.5,242.3,417.8,91.8,448.6,347.7,256.8,308.9,174.1,355.8,405.6,127.1,173.3,314.1,419.6,154.5,554.7,317.2,455.1,386.1,353.6,475.4,259.5,276.8,35.1,484.1
OX,355.4,360.3,446.1,205.0,359.0,299.7,237.7,445.2,178.5,405.4,471.3,208.5,301.3,420.1,90.8,292.4,118.7,166.3,349.6,506.1,417.3,471.9,448.2,104.5,195.8,225.8,368.8,205.5,243.7,421.0,206.8,273.6,145.1,348.1,313.4,271.9,112.4,309.5,407.3,222.3,491.0,401.3,496.6,14.6,297.6,279.0,164.9,417.2,284.0,269.8,351.4,466.5,2461.1,112.1,416.4,401.2,451.0,34.4,489.1,178.6,143.4,169.8,163.4,176.3,205.4,248.2,467.0,173.3,162.5,6.8,350.4,403.7,257.4,191.6,270.3,432.1,139.1,0.0,116.8,436.4,73.2,465.6,240.6,101.8,180.5,396.0,326.7,339.9,425.4,222.3,456.5,239.3,189.9,331.8,46.1,362.6,261.7,229.6,236.3,128.1,269.8,413.0,134.5,198.7,241.5,333.6,179.9,468.7,252.6,369.1,300.1,298.2,389.4,232.3,204.2,143.9,398.1
PA,305.2,310.1,392.3,205.9,308.8,235.4,187.5,395.0,146.4,355.2,412.9,185.7,251.1,369.9,40.6,242.2,152.2,167.2,299.4,455.9,355.2,416.9,386.1,193.3,145.6,175.6,321.0,302.6,234.4,370.8,140.0,218.6,39.7,297.9,251.3,221.7,86.3,259.3,345.2,155.5,440.8,353.7,434.5,85.4,242.6,281.5,48.0,367.0,233.8,206.3,301.2,416.3,2399.0,57.1,361.4,346.2,400.8,126.8,438.9,209.8,26.5,167.8,68.5,114.2,155.2,181.4,416.8,123.1,112.3,106.5,300.2,346.4,190.6,96.7,217.0,370.0,177.4,99.6,0.0,386.2,142.0,403.5,178.6,15.0,130.3,345.8,264.6,289.7,375.2,166.6,406.3,184.3,139.7,281.6,114.9,312.4,211.5,162.8,325.1,77.9,219.6,350.9,95.9,103.8,330.3,283.4,85.0,418.5,223.2,314.1,249.9,298.9,319.0,165.5,293.0,177.4,347.9
PB,121.6,110.3,9.6,538.4,110.6,556.3,263.5,116.4,474.1,30.4,107.8,278.8,270.2,51.7,353.7,215.3,479.9,499.7,139.6,66.5,650.2,35.4,707.0,497.3,353.2,318.5,64.8,597.9,566.9,15.3,310.1,257.6,424.2,110.7,572.2,240.9,432.8,278.4,640.2,305.9,192.7,80.7,755.4,423.2,164.2,614.0,386.5,60.7,212.9,250.0,85.0,176.9,2447.2,322.4,126.8,71.8,11.4,464.6,75.3,556.3,411.0,500.3,415.0,390.2,368.4,270.0,168.7,391.9,381.1,444.3,273.3,636.6,260.8,443.2,265.5,690.9,519.1,437.4,384.4,0.0,479.8,724.4,289.5,369.4,392.9,66.6,585.5,262.8,96.6,281.4,36.9,240.0,321.3,158.3,452.7,115.4,208.0,282.0,649.7,346.7,250.0,645.9,428.4,450.3,654.9,139.1,431.5,32.2,253.3,292.0,208.6,619.8,91.5,313.6,617.6,523.9,108.5
PO,393.5,410.4,496.2,131.7,409.1,226.4,275.8,495.3,105.2,455.5,509.4,231.8,339.4,470.2,142.4,342.4,45.4,93.0,399.7,556.2,344.0,522.0,374.9,138.1,193.1,230.3,418.9,191.2,160.2,471.1,186.1,315.5,126.0,398.2,240.1,310.0,39.1,347.6,334.0,201.6,529.1,439.4,423.3,66.2,335.7,207.3,94.1,467.3,322.1,307.9,401.5,504.6,2387.8,150.2,454.5,451.3,501.1,68.0,539.2,105.3,98.2,96.5,90.1,103.0,152.7,227.5,505.1,166.6,155.8,69.3,400.4,330.4,236.7,118.3,308.4,358.8,65.8,62.4,135.2,486.5,0.0,392.3,219.9,150.2,150.6,446.1,253.4,389.9,475.5,260.4,506.6,287.6,194.4,369.9,27.1,400.7,299.8,208.9,243.0,126.2,307.9,339.7,61.2,125.4,248.2,371.7,106.6,518.8,269.3,419.1,350.1,287.7,439.4,211.6,210.9,70.6,436.2
PP,694.6,656.2,738.4,451.2,654.9,322.1,606.3,741.1,386.9,701.3,770.1,580.3,656.8,716.0,483.7,601.9,392.7,412.5,645.5,802.0,251.1,767.8,234.2,439.3,500.8,576.2,667.1,401.2,439.4,716.9,524.3,617.1,450.8,644.0,306.2,627.5,408.4,665.0,241.1,550.1,767.3,706.0,200.8,482.4,625.1,474.7,425.4,713.1,611.5,609.5,647.3,742.8,2247.1,480.7,692.7,697.1,746.9,484.2,785.0,500.3,411.5,416.0,425.9,367.9,444.8,543.2,743.3,458.7,447.9,485.5,659.9,237.5,552.4,454.1,594.7,218.1,463.1,478.6,448.5,732.3,416.1,0.0,568.4,463.5,442.7,691.9,368.2,649.4,721.3,585.4,752.4,599.5,540.3,620.2,443.2,688.4,589.2,557.4,309.2,456.7,609.5,246.8,341.2,461.2,303.9,637.5,442.4,764.6,585.0,678.6,609.6,252.9,698.9,560.1,341.6,467.9,674.4
PU,210.3,215.2,297.4,314.8,213.9,344.3,92.6,300.1,250.5,260.3,326.2,11.9,156.2,275.0,118.3,147.3,270.9,276.1,204.5,361.0,450.8,326.8,495.0,261.9,103.6,83.1,226.1,362.9,343.3,275.9,61.8,128.5,177.3,203.0,360.2,126.8,177.2,164.4,440.8,16.3,345.9,256.2,543.4,187.8,152.5,390.4,130.9,272.1,138.9,124.7,206.3,321.4,2476.6,87.0,271.3,256.1,305.9,225.6,344.0,300.7,163.0,276.7,159.4,181.8,151.3,103.2,321.9,154.3,143.5,208.9,205.3,437.2,112.4,187.6,122.1,478.9,263.5,202.0,144.2,291.3,234.5,512.4,0.0,134.0,161.5,250.9,373.5,194.8,280.3,71.7,311.4,94.2,85.9,186.7,217.3,217.5,116.6,84.6,393.7,111.3,124.7,446.5,204.8,194.7,398.9,188.5,175.9,323.6,107.5,224.0,155.0,407.8,224.1,87.3,361.6,268.3,253.0
QJ,290.2,295.1,380.9,220.9,293.8,252.6,172.5,380.0,156.6,340.2,406.1,143.3,236.1,354.9,25.6,227.2,152.6,182.2,284.4,440.9,370.2,406.7,401.1,178.3,130.6,160.6,303.6,279.3,249.4,355.8,141.6,208.4,43.2,282.9,266.3,206.7,101.3,244.3,360.2,157.1,425.8,336.1,449.5,70.4,232.4,296.5,63.0,352.0,218.8,204.6,286.2,401.3,2414.0,46.9,351.2,336.0,385.8,108.2,423.9,227.1,41.5,185.7,83.5,129.2,140.2,183.0,401.8,108.1,97.3,91.5,285.2,356.6,192.2,111.7,205.1,385.0,187.6,84.6,15.0,371.2,127.0,418.5,175.4,0.0,115.3,330.8,279.6,274.7,360.2,157.1,391.3,174.1,124.7,266.6,99.9,297.4,196.5,164.4,310.1,62.9,204.6,365.9,110.9,118.8,315.3,268.4,100.0,403.5,187.4,303.9,234.9,313.9,324.2,167.1,278.0,192.4,332.9
