from_stop,AG,AK,AL,AM,AN,AO,AS,AT,BA,BK,BM,BP,BV,BY,CE,CF,CG,CI,DC,DE,DH,DP,DT,DV,EK,ES,EY,FC,FD,FE,FH,FO,FP,FQ,FW,GD,GI,GJ,GW,HE,HG,HT,HU,HZ,IB,IF,IJ,IO,IR,IW,JE,JF,JI,JJ,JP,JX,JZ,KF,KL,KN,KY,KZ,LA,LE,LI,LJ,LO,LW,MC,ME,MI,MN,MR,MT,NB,NG,NI,OC,OP,OV,PB,PJ,PR,PT,PZ,QC,QF,QJ,QK,QL,QQ,QR,QS,QT,RG,RI,RP,RQ,RR,RT,SH,SM,SX,SY,TO,TQ,TR,TX,UF,UH,UL,UN,UQ,UR,UU,VB,VF,VG,VH,VP,VW,WA,WF,WJ,WS,WU,WV,WX,XI,XK,XO,XP,XQ,XW,YG,YJ,YR,YV,YW,ZC,ZK,ZS,ZT,ZY
IF,397.8,351.6,484.4,1036.6,832.3,1075.0,875.1,870.6,425.7,1508.2,813.9,761.3,780.6,715.5,891.9,80.1,341.0,464.5,1023.4,602.5,56.6,899.9,729.6,569.3,500.0,393.4,806.3,817.7,418.0,944.1,854.4,455.3,74.8,1064.8,295.8,452.5,855.7,1098.6,414.9,803.9,877.8,802.7,1089.8,845.2,791.8,0.0,687.6,794.7,841.7,738.0,843.7,917.3,801.7,801.0,845.5,1107.0,1016.2,419.2,386.7,1084.6,837.5,381.4,412.3,368.8,823.6,679.7,387.0,776.9,788.1,447.4,922.2,411.0,912.8,578.6,781.1,907.0,792.4,441.0,322.6,680.6,437.0,462.4,814.0,564.7,781.2,753.2,982.1,787.4,970.6,635.8,591.7,388.7,956.7,914.3,832.3,404.2,386.3,825.5,787.5,565.2,965.1,784.8,717.5,1041.6,808.8,458.2,349.8,887.3,422.1,1033.9,472.8,760.6,394.6,450.3,671.4,803.0,485.1,450.4,798.6,13.1,481.0,805.7,815.1,777.8,461.1,804.5,685.3,813.2,714.8,760.4,1097.1,793.5,941.6,68.7,953.9,370.4,696.2,1018.1,440.9,535.7,402.8,768.7,695.0,814.8
IJ,515.7,451.2,219.4,692.4,488.1,730.8,530.9,455.7,283.8,1382.6,469.7,417.1,436.4,371.3,477.0,650.2,449.2,322.6,679.2,202.9,714.1,555.7,385.4,169.7,358.1,411.6,462.1,473.5,436.2,529.2,510.2,403.0,696.0,720.6,404.0,457.7,511.5,754.4,395.7,452.2,533.6,458.5,745.6,501.0,447.6,669.0,0.0,450.5,497.5,393.8,499.5,502.4,457.5,456.8,501.3,762.8,672.0,545.4,377.0,736.8,493.3,399.6,430.5,432.8,473.9,335.5,513.2,432.7,443.9,575.2,578.0,488.4,568.6,199.0,436.5,514.8,448.2,525.1,437.9,247.3,442.2,319.5,469.8,312.9,437.0,409.0,637.9,443.2,626.4,202.5,347.9,512.4,612.5,499.4,488.1,368.1,412.9,481.3,443.3,289.9,620.9,440.6,283.7,697.4,464.6,569.8,558.0,499.6,440.3,689.7,554.7,416.4,425.2,275.3,238.1,458.8,303.1,537.1,460.1,653.7,562.9,461.5,470.9,433.6,543.0,460.3,341.1,469.0,281.5,416.2,752.9,449.3,597.4,638.8,609.7,428.0,352.0,673.9,459.1,252.7,366.7,424.5,350.8,470.6
IO,773.6,713.0,481.2,508.2,432.6,515.1,381.9,124.8,545.6,1523.4,221.3,354.0,414.4,174.1,146.1,783.4,711.0,584.4,463.5,464.7,847.3,458.9,326.8,431.5,619.9,673.4,133.9,54.0,698.0,198.3,413.4,664.8,829.2,536.4,665.8,719.5,178.8,570.2,657.5,166.4,260.3,381.9,561.4,170.1,139.4,802.2,400.6,0.0,473.3,196.6,422.9,171.5,149.3,393.7,404.5,578.6,461.2,795.0,635.4,556.2,165.1,661.4,692.3,694.6,402.8,222.0,762.8,369.6,380.8,837.0,429.0,750.2,419.6,460.8,13.5,183.9,351.4,784.7,698.4,457.3,704.0,581.3,138.9,574.7,188.6,345.9,488.9,135.0,477.4,412.5,609.7,764.5,463.5,168.5,411.5,629.9,674.7,150.4,135.1,539.0,471.9,192.2,494.2,497.7,70.7,836.5,819.8,168.7,702.1,566.3,816.5,357.8,687.0,537.1,448.1,127.9,564.9,794.1,146.2,786.9,824.7,364.7,140.0,105.4,804.8,383.7,143.9,392.4,491.5,88.0,568.3,118.4,448.4,772.0,402.3,689.8,172.5,520.6,720.9,514.5,628.5,227.3,186.4,162.4
IR,859.5,795.0,563.2,515.5,194.8,522.4,340.5,457.1,627.6,1445.3,526.5,213.9,183.4,402.0,478.4,846.7,793.0,666.4,470.8,528.0,910.6,301.7,195.0,494.8,701.9,755.4,403.5,422.5,780.0,530.6,268.4,746.8,892.5,543.7,747.8,801.5,448.4,577.5,739.5,428.5,529.9,153.9,568.7,436.9,371.1,865.5,463.9,409.9,0.0,424.5,195.4,503.8,381.0,30.6,247.3,585.9,468.5,889.2,720.8,563.5,434.7,743.4,774.3,776.6,96.6,331.2,857.0,127.8,139.0,919.0,387.6,832.2,378.2,524.1,395.9,516.2,234.7,868.9,781.7,541.3,786.0,663.3,429.2,656.7,493.8,102.1,447.5,366.7,436.0,496.5,691.7,856.2,422.1,500.8,82.0,711.9,756.7,402.3,366.8,528.4,430.5,452.1,577.7,505.0,406.0,913.6,901.8,459.0,784.1,540.5,898.5,226.0,769.0,619.1,532.1,384.9,646.9,880.9,377.9,850.2,906.7,222.8,399.3,375.0,886.8,145.9,371.8,161.4,575.5,357.6,575.6,408.7,407.0,835.3,409.6,771.8,460.1,527.9,802.9,565.6,710.5,455.2,354.2,394.1
IW,732.4,671.8,440.0,640.4,440.5,653.6,483.3,237.3,499.6,1482.2,188.4,369.5,388.8,25.0,258.6,733.0,660.6,543.2,602.0,423.5,806.1,508.1,328.6,390.3,578.7,632.2,233.6,274.9,656.8,310.8,462.6,623.6,788.0,674.9,624.6,678.3,304.6,708.7,616.3,275.5,386.1,413.9,699.9,282.6,229.2,761.0,350.2,232.1,440.7,0.0,451.9,284.0,229.9,409.2,444.5,707.9,599.7,753.8,597.6,691.1,290.9,620.2,651.1,653.4,426.3,171.6,721.6,393.4,404.6,795.8,530.4,708.1,521.0,419.6,208.9,296.4,400.6,736.5,657.2,416.1,662.8,540.1,251.4,533.5,209.4,361.4,581.1,224.8,578.8,362.1,568.5,723.3,558.3,281.0,440.5,588.7,633.5,262.9,224.9,497.8,573.3,334.2,452.5,636.2,258.4,790.4,778.6,281.2,660.9,681.4,775.3,368.8,645.8,486.7,397.7,240.4,523.7,757.7,241.7,745.7,783.5,413.9,243.3,193.5,763.6,412.7,65.3,421.4,450.3,220.1,706.8,230.9,540.6,730.8,540.8,648.6,122.1,617.1,679.7,464.1,579.8,94.2,145.2,243.0
JE,816.4,755.8,524.0,444.1,155.2,451.0,269.1,436.6,588.4,1537.3,506.0,91.1,79.3,381.5,457.9,826.2,753.8,627.2,399.4,507.5,890.1,293.9,123.6,474.3,662.7,716.2,383.0,402.0,740.8,510.1,248.4,707.6,872.0,472.3,708.6,762.3,427.9,506.1,700.3,415.5,509.4,72.9,497.3,416.4,350.6,845.0,443.4,389.4,193.8,404.0,0.0,483.3,360.5,224.2,239.5,514.5,397.1,837.8,678.2,492.1,414.2,704.2,735.1,737.4,123.3,310.7,805.6,202.1,193.0,879.8,316.2,793.0,306.8,503.6,375.8,424.8,186.4,827.5,741.2,500.1,746.8,624.1,408.7,617.5,473.3,205.3,376.1,346.2,364.6,455.3,652.5,807.3,350.7,480.3,132.0,672.7,717.5,381.8,346.3,620.4,359.1,432.7,537.0,433.6,385.5,879.3,862.6,405.1,744.9,472.3,859.3,154.6,729.8,579.9,490.9,364.4,607.7,836.9,357.4,829.7,867.5,199.7,378.8,354.5,847.6,106.3,351.3,57.3,534.3,337.1,504.2,388.2,335.6,814.8,338.2,732.6,439.6,456.5,763.7,557.3,671.3,434.7,333.7,373.6
JF,822.8,762.2,530.4,520.0,444.4,526.9,393.7,72.9,594.8,1572.6,270.5,420.5,426.2,223.3,30.8,832.6,760.2,633.6,475.3,513.9,896.5,470.7,338.6,480.7,669.1,722.6,183.1,171.8,747.2,26.7,425.2,714.0,878.4,548.2,715.0,768.7,228.0,582.0,706.7,215.6,309.5,393.7,573.2,163.9,165.4,851.4,449.8,148.8,485.1,245.8,434.7,0.0,174.0,442.9,416.3,590.4,473.0,844.2,684.6,568.0,214.3,710.6,741.5,743.8,414.6,271.2,812.0,418.8,430.0,886.2,440.8,799.4,431.4,510.0,135.2,39.5,363.2,833.9,747.6,506.5,753.2,630.5,132.7,623.9,237.8,395.1,500.7,209.3,489.2,461.7,658.9,813.7,475.3,24.1,423.3,679.1,723.9,144.2,169.7,588.2,483.7,241.4,543.4,509.5,185.6,885.7,869.0,59.2,751.3,578.1,865.7,369.6,736.2,586.3,497.3,121.7,614.1,843.3,220.5,836.1,873.9,376.5,133.8,154.6,854.0,395.5,193.1,404.2,540.7,137.2,580.1,112.2,460.2,821.2,414.1,739.0,221.7,532.4,770.1,563.7,677.7,276.5,235.6,236.7
JI,789.3,728.7,496.9,536.7,414.3,543.6,400.3,127.7,561.3,1539.1,254.6,333.8,396.1,189.8,149.0,799.1,726.7,600.1,492.0,480.4,863.0,477.3,308.5,447.2,635.6,689.1,131.6,150.6,713.7,201.2,431.8,680.5,844.9,564.9,681.5,735.2,176.5,598.7,673.2,156.6,258.0,363.6,589.9,55.2,10.7,817.9,416.3,138.0,455.0,212.3,404.6,174.4,0.0,373.5,422.9,607.1,489.7,810.7,651.1,584.7,162.8,677.1,708.0,710.3,384.5,237.7,778.5,349.4,360.6,852.7,447.4,765.0,438.0,476.5,124.0,186.8,369.8,802.6,714.1,473.0,719.7,597.0,115.4,590.4,221.9,325.7,507.3,54.6,495.8,428.2,625.4,780.2,481.9,171.4,393.2,645.6,690.4,20.6,15.0,554.7,490.3,180.2,509.4,526.2,134.1,852.2,835.5,206.5,717.8,584.7,832.2,339.5,702.7,552.8,463.8,57.8,580.6,809.8,65.8,802.6,840.4,383.1,51.9,103.1,820.5,365.4,159.6,374.1,507.2,85.7,596.8,94.9,466.8,787.7,430.8,705.5,188.2,549.1,736.6,530.2,636.7,212.9,202.1,82.0
JJ,806.2,745.6,534.7,538.8,215.2,542.8,360.9,426.4,578.2,1416.8,495.8,183.2,202.5,371.3,447.7,816.0,743.6,617.0,491.2,497.3,879.9,322.1,215.4,464.1,652.5,706.0,372.8,391.8,730.6,499.9,288.8,697.4,861.8,564.1,698.4,752.1,417.7,597.9,690.1,405.3,499.2,171.3,589.1,406.2,340.4,834.8,433.2,379.2,40.6,393.8,222.0,473.1,350.3,0.0,267.7,606.3,488.9,827.6,668.0,583.9,404.0,694.0,724.9,727.2,162.4,300.5,795.4,97.1,108.3,869.6,408.0,782.8,398.6,493.4,365.6,485.5,255.1,817.3,731.0,512.8,736.6,613.9,398.5,607.3,463.1,71.4,467.9,336.0,456.4,468.0,642.3,797.1,442.5,470.1,102.4,662.5,707.3,371.6,336.1,499.9,450.9,422.5,549.7,525.4,375.3,869.1,852.4,428.3,734.7,564.1,849.1,246.4,719.6,569.7,503.6,354.2,597.5,826.7,347.2,819.5,857.3,243.2,368.6,344.3,837.4,166.3,341.1,181.8,547.0,326.9,596.0,378.0,427.4,804.6,430.0,722.4,429.4,548.3,753.5,537.1,661.1,424.5,323.5,363.4
JP,838.3,777.7,545.9,331.2,89.6,378.9,169.7,355.3,610.3,1548.0,501.8,242.6,223.3,403.4,376.6,848.1,775.7,649.1,348.8,529.4,912.0,54.3,223.5,496.2,684.6,738.1,389.9,408.9,762.7,428.8,74.4,729.5,893.9,359.4,730.5,784.2,434.8,393.2,722.2,414.9,516.3,193.8,384.4,423.3,357.5,866.9,465.3,387.5,243.5,425.9,235.3,402.0,367.4,273.9,0.0,401.6,310.8,859.7,700.1,379.2,421.1,726.1,757.0,759.3,177.5,332.6,827.5,261.8,252.7,901.7,216.8,814.0,207.4,525.5,373.5,391.7,40.7,851.6,763.1,522.0,768.7,646.0,415.6,639.4,469.1,322.8,276.7,353.1,265.2,477.2,674.4,829.2,251.3,399.0,203.7,694.6,739.4,388.7,353.2,631.1,259.7,464.4,558.4,336.2,392.4,896.3,884.5,372.0,766.8,328.5,881.2,175.8,751.7,601.8,512.8,366.5,629.6,858.8,370.0,851.6,889.4,28.8,380.9,361.4,869.5,143.7,373.2,201.3,556.2,344.0,391.7,395.1,236.2,836.7,248.5,754.5,460.4,312.7,785.6,668.3,693.2,456.6,355.6,380.5
JX,1105.1,1044.5,812.7,66.1,451.1,160.7,339.2,527.5,872.3,1753.7,681.4,510.1,515.8,634.2,548.8,1114.9,1042.5,915.9,176.2,796.2,1178.8,489.2,428.2,763.0,951.4,1004.9,562.1,581.1,1029.5,601.0,443.7,996.3,1160.7,64.8,997.3,1051.0,607.0,8.3,989.0,587.1,688.5,483.3,17.1,595.5,529.7,1133.7,732.1,559.7,574.7,656.7,524.3,574.2,539.6,605.1,434.8,0.0,173.9,1126.5,970.3,25.9,593.3,992.9,1023.8,1026.1,504.2,599.4,1094.3,583.0,573.9,1168.5,234.4,1080.8,195.0,792.3,545.7,563.9,381.7,1118.4,1029.9,788.8,1035.5,912.8,587.8,906.2,648.7,585.2,156.1,525.3,369.2,744.0,941.2,1096.0,355.3,571.2,512.9,961.4,1006.2,560.9,525.4,870.5,363.7,610.7,825.7,210.4,564.6,1168.0,1151.3,544.2,1033.6,161.2,1148.0,423.7,1018.5,868.6,779.6,538.7,896.4,1130.4,536.5,1118.4,1156.2,395.0,553.1,533.6,1136.3,485.1,604.0,493.8,823.0,516.2,15.2,567.3,236.3,1103.5,234.5,1021.3,632.6,145.4,1052.4,846.0,960.0,687.4,622.4,552.7
JZ,928.6,868.0,636.2,115.5,274.6,122.4,144.7,391.1,700.6,1678.4,545.0,331.0,336.7,493.7,412.4,938.4,866.0,739.4,37.9,619.7,1002.3,312.7,249.1,586.5,774.9,828.4,425.7,444.7,853.0,464.6,267.2,819.8,984.2,143.7,820.8,874.5,470.6,177.5,812.5,458.2,552.1,304.2,168.7,459.1,393.3,957.2,555.6,423.3,395.6,516.2,345.2,437.8,403.2,426.0,258.3,184.3,0.0,950.0,790.4,163.5,456.9,816.4,847.3,849.6,325.1,422.9,917.8,403.9,394.8,992.0,216.9,905.2,177.5,615.8,409.7,427.5,205.2,939.7,853.4,612.3,859.0,736.3,451.4,729.7,512.3,408.7,138.6,388.9,351.7,567.5,764.7,919.5,337.8,434.8,333.8,784.9,829.7,424.5,389.0,694.0,346.2,475.4,649.2,36.4,428.2,991.5,974.8,407.8,857.1,143.7,971.5,247.2,842.0,692.1,603.1,402.3,719.9,949.1,400.1,941.9,979.7,218.5,416.7,397.2,959.8,306.0,463.5,314.7,646.5,379.8,157.6,430.9,218.8,927.0,60.5,844.8,496.2,127.9,875.9,669.5,783.5,546.9,445.9,416.3
KF,111.2,173.1,391.6,1058.0,850.8,1093.5,893.6,889.1,406.5,1526.7,832.4,779.8,799.1,734.0,910.4,400.1,217.1,445.3,1041.9,509.7,464.0,918.4,748.1,476.5,480.8,178.3,824.8,836.2,153.7,962.6,872.9,251.3,445.9,1083.3,171.9,174.9,874.2,1117.1,210.9,822.4,896.3,821.2,1108.3,863.7,810.3,418.9,559.6,813.2,860.2,756.5,862.2,935.8,820.2,819.5,864.0,1125.5,1034.7,0.0,197.6,1103.1,856.0,190.3,159.4,182.7,842.1,698.2,107.7,795.4,806.6,58.0,940.7,90.8,931.3,485.8,799.6,925.5,810.9,95.9,279.9,587.8,183.8,298.0,832.5,416.7,799.7,771.7,1000.6,805.9,989.1,543.0,443.7,68.5,975.2,932.8,850.8,384.2,293.5,844.0,806.0,472.4,983.6,803.3,624.7,1060.1,827.3,38.9,325.9,905.8,149.6,1052.4,82.8,779.1,165.7,357.5,578.6,821.5,320.7,94.4,817.1,403.6,75.8,824.2,833.6,796.3,70.6,823.0,703.8,831.7,622.0,778.9,1115.6,812.0,960.1,388.7,972.4,277.6,714.7,1036.6,130.8,442.9,255.2,787.2,713.5,833.3
KL,142.0,77.5,322.1,976.9,769.7,1012.4,812.5,808.0,262.0,1445.6,688.4,698.7,718.0,652.9,829.3,321.9,120.9,333.8,960.8,443.6,382.9,837.3,667.0,410.4,369.3,37.9,743.7,755.1,59.1,881.5,791.8,117.8,364.8,1002.2,72.8,115.0,793.1,1036.0,77.4,736.7,815.2,743.1,1027.2,782.6,729.2,337.8,490.1,732.1,779.1,670.4,781.1,854.7,739.1,738.4,785.8,1044.4,953.6,214.2,0.0,1018.4,774.9,25.9,56.8,101.6,755.5,617.1,177.0,714.3,725.5,232.5,859.6,113.8,850.2,419.7,721.0,844.4,729.8,179.0,251.8,521.7,99.5,249.5,751.4,368.2,721.5,690.6,922.4,724.8,908.0,473.5,395.2,138.7,887.5,851.7,769.7,267.9,227.4,762.9,724.9,406.3,902.5,747.0,558.1,979.0,746.2,227.1,226.8,824.7,66.6,968.7,212.0,698.0,57.1,288.0,512.5,740.4,272.2,194.4,741.7,322.5,220.2,743.1,752.5,715.2,200.3,741.9,622.7,750.6,555.9,697.8,1034.5,730.9,881.9,307.6,891.3,211.5,633.6,955.5,85.4,376.8,129.2,706.1,632.4,752.2
KN,1086.9,1026.3,794.5,73.9,432.9,142.5,321.0,509.3,854.1,1735.5,600.3,491.9,497.6,616.0,530.6,1096.7,1024.3,897.7,158.0,778.0,1160.6,471.0,410.0,744.8,933.2,986.7,543.9,562.9,1011.3,582.8,425.5,978.1,1142.5,87.2,979.1,1032.8,588.8,14.0,970.8,565.3,670.3,468.1,5.1,577.3,511.5,1115.5,713.9,541.5,552.9,633.5,506.1,556.0,521.4,586.9,416.6,25.9,155.7,1108.3,952.1,0.0,575.1,974.7,1005.6,1007.9,480.5,577.6,1076.1,564.8,555.7,1150.3,216.2,1062.6,176.8,774.1,523.9,545.7,363.5,1096.6,1011.7,770.6,1017.3,894.6,569.6,888.0,626.9,567.0,137.9,507.1,351.0,722.2,923.0,1077.8,330.5,553.0,494.7,943.2,988.0,542.7,507.2,852.3,345.5,618.4,807.0,192.2,546.4,1144.9,1133.1,526.0,1015.4,140.4,1129.8,405.5,1000.3,850.4,757.8,520.5,878.2,1112.2,524.0,1100.2,1138.0,376.8,531.3,515.4,1118.1,466.9,585.8,475.6,804.8,498.0,37.6,549.1,218.1,1085.3,216.3,1003.1,610.8,123.6,1034.2,824.2,934.3,665.6,604.2,530.9
KY,800.5,739.9,508.1,568.7,443.4,572.7,415.0,174.4,572.5,1550.3,182.9,362.9,425.2,201.0,195.7,810.3,737.9,611.3,521.1,491.6,874.2,507.9,337.6,458.4,646.8,700.3,131.3,150.3,724.9,247.9,462.4,691.7,856.1,594.0,692.7,746.4,86.8,627.8,684.4,92.4,174.5,392.7,619.0,214.1,148.3,829.1,427.5,209.0,484.1,223.5,433.7,221.1,158.2,402.6,453.5,636.2,518.8,821.9,662.3,613.8,0.0,688.3,719.2,721.5,413.6,248.9,789.7,378.5,389.7,863.9,462.1,777.1,452.7,487.7,198.7,233.5,400.4,811.6,725.3,484.2,730.9,608.2,188.5,601.6,150.2,354.8,588.9,143.9,510.5,439.4,636.6,791.4,496.6,218.1,422.3,656.8,701.6,179.5,144.0,565.9,505.0,109.6,521.1,555.3,133.8,863.4,846.7,218.3,729.0,556.8,843.4,368.6,713.9,564.0,475.0,177.5,591.8,821.0,155.1,813.8,851.6,413.7,210.8,102.8,831.7,394.5,170.8,403.2,518.4,85.4,625.9,168.0,481.5,798.9,459.9,716.7,199.4,578.2,747.8,541.4,655.4,254.2,213.3,171.3
KZ,113.7,49.2,317.2,997.0,792.7,1035.4,835.5,831.0,258.5,1468.6,774.3,721.7,741.0,675.9,852.3,342.0,141.0,325.5,983.8,435.3,405.9,860.3,690.0,402.1,361.0,11.9,766.7,778.1,36.6,904.5,814.8,109.5,387.8,1025.2,95.8,106.7,816.1,1059.0,69.1,764.3,838.2,763.1,1050.2,805.6,752.2,360.8,485.2,755.1,802.1,698.4,804.1,877.7,762.1,761.4,805.9,1067.4,976.6,186.6,22.9,1045.0,797.9,0.0,30.8,124.6,784.0,640.1,148.7,737.3,748.5,224.2,882.6,86.4,873.2,411.4,741.5,867.4,752.8,171.9,243.5,513.4,91.2,241.2,774.4,359.9,741.6,713.6,942.5,747.8,931.0,468.6,386.9,110.4,917.1,874.7,792.7,259.6,219.1,785.9,747.9,398.0,925.5,745.2,550.3,1002.0,769.2,223.7,249.8,847.7,40.6,994.3,203.7,721.0,48.8,283.1,504.2,763.4,263.9,181.3,759.0,345.5,211.9,766.1,775.5,738.2,192.0,764.9,645.7,773.6,547.6,720.8,1057.5,753.9,902.0,330.6,914.3,203.2,656.6,978.5,59.4,368.5,113.4,729.1,655.4,775.2
LA,144.6,80.1,348.1,1027.9,823.6,1066.3,866.4,861.9,289.4,1499.5,805.2,752.6,771.9,706.8,883.2,372.9,171.9,356.4,1014.7,466.2,436.8,891.2,720.9,433.0,391.9,18.9,797.6,809.0,5.7,935.4,845.7,140.4,418.7,1056.1,126.7,137.6,847.0,1089.9,100.0,795.2,869.1,794.0,1081.1,836.5,783.1,391.7,516.1,786.0,833.0,729.3,835.0,908.6,793.0,792.3,836.8,1098.3,1007.5,175.2,53.8,1075.9,828.8,30.8,0.0,155.5,814.9,671.0,179.6,768.2,779.4,197.1,913.5,117.3,904.1,442.3,772.4,898.3,783.7,144.8,274.4,544.3,122.1,272.1,805.3,390.8,772.5,744.5,973.4,778.7,961.9,499.5,417.8,141.3,948.0,905.6,823.6,290.5,250.0,816.8,778.8,428.9,956.4,776.1,581.2,1032.9,800.1,196.6,280.7,878.6,9.8,1025.2,176.6,751.9,79.7,314.0,535.1,794.3,294.8,154.2,789.9,376.4,184.8,797.0,806.4,769.1,164.9,795.8,676.6,804.5,578.5,751.7,1088.4,784.8,932.9,361.5,945.2,234.1,687.5,1009.4,28.6,399.4,144.3,760.0,686.3,806.1
LE,190.3,144.1,276.9,872.3,668.0,910.7,710.8,706.3,218.2,1343.9,649.6,597.0,616.3,551.2,727.6,217.3,133.5,244.6,859.1,395.0,281.2,735.6,565.3,361.8,280.1,185.9,642.0,653.4,210.5,779.8,690.1,247.8,263.1,900.5,88.3,245.0,691.4,934.3,207.4,639.6,713.5,638.4,925.5,680.9,627.5,236.1,523.3,630.4,677.4,573.7,679.4,753.0,637.4,636.7,681.2,942.7,851.9,211.7,179.2,920.3,673.2,173.9,204.8,0.0,659.3,515.4,179.5,612.6,623.8,239.9,757.9,203.5,748.5,371.1,616.8,742.7,628.1,233.5,97.1,473.1,229.5,332.8,649.7,357.2,616.9,588.9,817.8,623.1,806.3,428.3,384.2,181.2,792.4,750.0,668.0,178.7,186.2,661.2,623.2,357.7,800.8,620.5,510.0,877.3,644.5,250.7,242.3,723.0,214.6,869.6,265.3,596.3,187.1,242.8,463.9,638.7,355.5,242.9,634.3,220.8,273.5,641.4,650.8,613.5,253.6,640.2,521.0,648.9,507.3,596.1,932.8,629.2,777.3,205.9,789.6,201.3,531.9,853.8,233.4,328.2,258.6,604.4,530.7,650.5
LI,842.7,778.2,537.3,418.8,114.3,441.9,260.0,379.3,606.0,1428.5,461.2,122.2,102.9,425.7,400.6,832.6,776.2,649.6,390.3,530.1,967.1,248.0,114.5,496.9,685.1,738.6,391.7,410.7,754.1,452.8,214.7,730.0,949.0,463.2,721.9,784.7,436.6,497.0,722.7,416.7,518.1,73.4,488.2,425.1,359.3,922.0,449.8,398.1,75.9,443.2,114.9,426.0,369.2,115.4,193.6,505.4,388.0,872.4,704.0,479.4,422.9,726.6,757.5,759.8,0.0,317.1,840.2,78.7,69.6,902.2,307.1,814.5,297.7,526.2,384.1,415.7,177.3,843.0,764.9,515.4,769.2,646.5,417.4,639.9,465.8,147.9,350.8,354.9,355.5,470.6,674.9,839.4,335.0,423.0,23.2,695.1,739.9,390.5,355.0,511.6,350.0,466.2,560.9,424.5,394.2,896.8,885.0,396.0,767.3,460.6,881.7,145.5,752.2,593.2,515.3,373.1,630.1,864.1,371.8,906.7,889.9,169.1,371.3,347.0,870.0,65.4,395.5,80.9,558.7,345.8,495.1,396.9,310.3,891.8,329.1,755.0,448.3,431.2,786.1,539.7,686.2,441.1,405.2,366.1
LJ,713.1,652.5,420.7,642.6,392.2,649.5,435.0,233.2,480.3,1462.9,184.3,398.2,417.5,148.8,254.5,722.9,650.5,523.9,597.9,404.2,786.8,459.8,289.5,371.0,559.4,612.9,239.6,251.0,637.5,306.7,414.3,604.3,768.7,670.8,605.3,659.0,289.0,704.6,597.0,229.7,311.1,362.6,695.8,278.5,225.1,741.7,340.1,228.0,478.6,171.3,437.0,279.9,235.0,437.9,405.4,713.0,595.6,734.5,578.3,690.6,270.8,600.9,631.8,634.1,378.0,0.0,702.3,345.6,356.8,776.5,482.1,688.8,472.7,400.3,214.0,292.3,352.3,726.4,637.9,396.8,643.5,520.8,247.3,514.2,214.5,390.1,542.0,220.7,530.5,352.0,549.2,704.0,516.6,276.9,392.2,569.4,614.2,258.8,220.8,478.5,525.0,217.0,433.7,632.1,242.1,776.0,759.3,277.1,641.6,674.7,756.0,320.5,626.5,476.6,387.6,236.3,504.4,738.4,237.6,726.4,764.2,365.6,248.4,211.1,744.3,364.4,118.6,373.1,431.0,193.7,702.7,226.8,501.5,711.5,536.7,629.3,159.0,655.0,660.4,454.0,568.0,202.0,100.1,248.1
LO,23.6,88.1,374.2,1040.6,833.4,1076.1,876.2,871.7,315.5,1509.3,815.0,762.4,781.7,716.6,893.0,382.7,239.4,443.6,1024.5,492.3,446.6,901.0,730.7,459.1,479.1,165.7,807.4,818.8,157.5,945.2,855.5,227.6,428.5,1065.9,154.5,178.7,856.8,1099.7,187.2,805.0,878.9,803.8,1090.9,846.3,792.9,401.5,542.2,795.8,842.8,739.1,844.8,918.4,802.8,802.1,846.6,1108.1,1017.3,124.0,159.0,1085.7,838.6,153.7,163.2,165.3,824.7,680.8,0.0,778.0,789.2,152.2,923.3,52.2,913.9,468.4,782.2,908.1,793.5,124.6,262.5,570.4,187.6,301.8,815.1,420.5,782.3,754.3,983.2,788.5,971.7,525.6,447.5,47.8,957.8,915.4,833.4,377.7,276.1,826.6,788.6,455.0,966.2,785.9,607.3,1042.7,809.9,163.0,308.5,888.4,153.4,1035.0,156.4,761.7,166.9,340.1,561.2,804.1,324.5,134.0,799.7,386.2,164.6,806.8,816.2,778.9,144.7,805.6,686.4,814.3,604.6,761.5,1098.2,794.6,942.7,371.3,955.0,260.2,697.3,1019.2,134.6,425.5,231.5,769.8,696.1,815.9
LW,790.4,729.8,525.3,500.3,179.6,507.2,325.3,410.6,562.4,1433.2,453.8,167.4,186.7,355.4,431.9,800.2,727.8,601.2,455.6,481.5,864.1,313.3,179.8,448.3,636.7,690.2,357.0,376.0,714.8,484.1,280.0,681.6,846.0,528.5,682.6,736.3,401.9,562.3,674.3,389.5,483.4,135.7,553.5,390.4,324.6,819.0,417.4,363.4,150.3,377.9,206.2,457.3,334.5,180.7,258.9,570.7,453.3,811.8,652.2,548.3,388.2,678.2,709.1,711.4,65.2,319.6,779.6,0.0,17.0,853.8,372.4,767.0,363.0,477.6,349.8,469.7,242.6,801.5,715.2,503.4,720.8,598.1,382.7,591.5,421.1,77.6,432.3,320.2,420.8,458.6,626.5,781.3,406.9,454.3,88.5,646.7,691.5,355.8,320.3,490.5,415.3,424.7,540.3,489.8,359.5,853.3,836.6,412.5,718.9,528.5,833.3,210.8,703.8,553.9,494.2,338.4,581.7,810.9,331.4,803.7,841.5,234.4,352.8,328.5,821.6,130.7,325.2,146.2,537.6,311.1,560.4,362.2,391.8,788.8,394.4,706.6,336.1,512.7,737.7,527.7,645.3,408.6,334.9,347.6
