from_stop,AD,AI,AO,CC,CL,CO,CX,CY,DK,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IQ,IT,JB,JF,JH,JL,JO,JT,JU,JW,JZ,KF,KN,KV,KW,LD,LK,LU,LX,MG,MI,MO,MQ,ND,NH,NI,NL,NO,NX,OH,OI,OR,PA,PB,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TP,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XG,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
NL,576.4,138.5,493.1,477.0,124.8,544.0,556.4,188.9,111.7,895.0,402.2,571.0,676.5,517.5,587.0,615.4,782.2,749.3,544.0,406.7,709.2,650.1,60.8,114.0,312.3,248.4,248.8,788.0,767.5,504.8,542.7,421.6,368.4,224.2,389.1,530.1,504.0,666.0,149.4,896.1,16.7,148.1,527.3,579.4,196.1,511.6,631.2,296.3,569.7,707.4,498.2,641.8,765.9,169.1,141.4,596.0,264.7,524.3,735.0,0.0,497.4,120.5,829.7,523.8,452.3,754.0,168.2,715.2,565.5,384.1,523.6,511.9,700.4,899.6,828.4,441.0,520.3,575.9,404.3,767.1,552.2,607.9,468.7,703.9,69.9,775.9,820.7,834.0,619.8,504.3,568.5,817.4,772.2,1832.4,667.6,549.9,671.6,106.6,383.1,622.4,205.2,527.7,680.8,525.4,522.8,314.4,220.4,374.6,843.4,517.9,682.2,333.2
NO,79.7,564.1,202.2,184.8,550.4,70.5,58.9,614.5,505.2,439.6,470.9,252.0,227.6,95.9,165.4,126.9,300.0,307.9,70.5,367.1,287.6,168.9,433.0,381.6,380.8,502.8,401.6,366.4,286.3,173.4,45.2,130.7,436.9,631.8,332.7,108.5,198.7,184.8,575.0,431.1,482.2,482.7,208.3,248.0,528.2,281.7,150.0,364.8,250.7,269.5,146.8,192.9,324.5,555.9,567.0,273.7,465.4,102.7,293.6,499.6,0.0,449.0,374.3,26.3,304.9,312.6,593.8,273.8,143.9,452.6,269.6,313.3,262.5,426.5,347.2,148.8,273.1,154.3,571.3,310.4,97.5,285.6,490.7,262.5,495.5,354.3,339.5,412.4,198.2,299.3,71.0,367.0,291.0,2016.2,246.0,280.4,190.4,387.2,415.9,173.5,569.9,30.2,199.6,103.8,270.8,382.9,428.8,348.0,362.2,170.6,240.8,394.8
NX,527.5,206.7,444.2,428.1,193.0,495.1,507.5,257.1,147.8,846.1,353.3,522.1,627.6,468.6,538.1,566.5,733.3,700.4,495.1,357.8,660.3,601.2,75.6,65.1,263.4,199.5,199.9,739.1,718.6,455.9,493.8,372.7,320.0,274.4,340.2,481.2,455.1,617.1,217.6,847.2,124.8,66.7,478.4,530.5,264.3,462.7,582.3,247.4,520.8,658.5,449.3,592.9,717.0,237.3,209.6,547.1,182.1,475.4,686.1,142.2,448.5,0.0,780.8,474.9,403.4,705.1,236.4,666.3,516.6,335.2,474.7,463.0,651.5,850.7,779.5,392.1,471.4,527.0,355.4,718.2,503.3,559.0,419.8,655.0,138.1,727.0,771.8,785.1,570.9,455.4,519.6,768.5,723.3,1882.6,618.7,501.0,622.7,57.7,334.2,573.5,273.4,478.8,631.9,476.5,473.9,265.5,171.5,325.7,794.5,469.0,633.3,284.3
OH,337.8,935.5,573.6,556.2,921.8,370.1,343.6,985.9,876.6,65.2,633.3,469.5,184.2,423.3,507.0,356.4,94.7,235.9,370.1,626.9,129.5,219.2,804.4,753.0,742.1,846.6,762.9,164.3,168.2,464.6,384.0,502.1,644.0,869.1,592.5,435.9,416.2,284.8,892.5,137.6,853.6,854.1,425.8,507.8,874.5,541.5,273.7,712.1,446.3,154.9,530.6,219.6,252.5,902.2,938.4,471.3,916.0,430.1,180.2,871.0,388.6,820.4,0.0,361.4,576.3,197.0,919.3,201.8,485.5,625.1,529.4,573.1,161.2,141.1,122.7,520.2,532.9,495.9,877.8,168.0,486.2,483.2,662.9,168.1,866.9,64.1,115.0,75.5,539.8,559.1,391.2,129.9,163.5,2059.8,172.0,497.9,200.3,758.6,675.7,275.6,916.2,357.8,238.9,445.4,530.6,694.9,798.6,607.8,137.7,512.2,202.1,654.6
OI,53.3,591.3,229.4,212.0,577.6,47.8,32.5,641.7,532.4,413.2,482.1,225.6,201.2,123.1,192.6,100.5,273.6,281.5,47.8,414.4,279.2,142.5,460.2,408.8,408.0,530.0,428.8,358.0,259.9,220.7,22.5,157.9,448.3,659.0,380.0,135.7,172.3,158.4,602.2,404.7,509.4,509.9,181.9,295.3,555.4,329.0,123.6,392.0,224.3,243.1,174.0,166.5,298.1,583.1,594.2,247.3,492.6,129.9,267.2,526.8,27.1,476.2,347.9,0.0,352.2,286.2,621.0,247.4,171.1,464.0,316.9,360.6,236.1,400.1,320.8,176.0,320.4,181.5,618.6,284.0,124.7,259.2,517.9,236.1,522.7,333.3,313.1,391.4,225.4,346.6,48.3,340.6,264.6,2010.8,237.6,254.0,164.0,414.4,463.2,147.1,597.1,3.8,173.2,131.0,318.1,443.8,456.0,395.3,335.8,197.8,214.4,442.1
OR,380.6,524.2,297.3,281.2,510.5,348.2,360.6,574.6,465.3,591.9,230.8,292.1,480.7,321.7,391.2,419.6,586.4,553.5,348.2,163.1,513.4,374.1,393.1,341.7,264.2,397.1,285.0,592.2,491.5,309.0,346.9,225.8,197.0,591.9,128.7,334.3,225.1,470.2,535.1,555.2,442.3,442.8,248.4,161.0,481.6,128.0,435.4,209.7,229.6,511.6,302.4,446.0,570.1,509.3,527.1,254.6,425.5,328.5,539.2,459.7,301.6,409.1,633.9,328.0,0.0,558.2,553.9,519.4,369.7,212.7,140.0,118.3,504.6,558.7,419.6,245.2,136.7,380.1,367.3,409.6,356.4,266.5,284.6,508.1,455.6,580.1,428.8,503.1,424.0,120.7,372.7,621.6,496.2,2084.9,471.8,354.1,395.6,347.3,211.9,426.6,523.3,331.9,346.1,329.6,139.2,192.5,357.0,144.0,422.0,304.1,486.4,190.8
PA,270.0,842.4,472.0,443.6,828.7,275.7,249.2,892.8,783.5,252.3,610.5,354.0,123.5,330.2,413.9,244.3,112.7,57.3,275.7,542.8,191.1,155.3,711.3,665.8,659.1,781.1,679.9,219.6,145.4,349.1,289.6,409.0,576.7,757.0,508.4,350.0,300.7,201.9,853.3,243.8,760.5,761.0,310.3,423.7,762.4,457.4,204.8,589.4,352.7,91.0,415.1,136.7,73.9,790.1,845.3,375.7,745.0,337.0,37.1,777.9,294.2,727.3,187.0,267.0,480.6,0.0,872.1,42.9,392.4,592.4,445.3,489.0,97.3,239.2,159.9,427.1,448.8,402.8,746.8,194.3,391.8,387.6,664.3,48.6,773.8,172.4,152.2,230.5,446.7,475.0,296.8,179.7,144.5,2039.3,287.1,382.4,136.4,665.5,591.6,163.5,804.1,263.4,209.2,352.3,446.5,572.2,736.7,523.7,174.9,419.1,77.4,570.5
PB,624.6,44.1,571.1,506.4,129.8,592.9,605.3,29.5,103.4,877.8,458.6,659.0,654.8,602.6,611.6,643.2,738.2,727.7,592.9,443.9,705.6,704.8,190.3,176.1,298.6,279.3,279.7,784.4,724.5,592.8,591.6,547.1,424.8,187.9,426.3,579.9,592.0,670.1,42.3,869.3,166.1,277.2,615.3,667.4,47.1,592.8,690.3,352.7,657.7,685.8,548.2,620.2,744.3,91.8,131.5,684.0,131.6,592.9,713.4,183.5,546.3,243.5,812.5,572.7,533.5,732.4,0.0,693.6,568.2,440.5,604.8,593.1,678.8,864.7,785.4,489.9,601.5,600.5,425.0,814.2,601.1,695.9,525.1,682.3,105.0,772.3,777.7,830.4,644.4,585.5,617.4,805.2,729.2,1787.3,664.0,637.9,705.3,181.7,439.5,600.8,87.8,576.6,729.7,577.0,604.0,370.8,251.3,411.8,800.4,456.3,660.6,364.1
PE,227.0,799.4,429.0,400.6,785.7,232.7,206.2,849.8,740.5,263.9,567.5,311.0,135.1,287.2,370.9,201.3,124.3,34.0,232.7,499.8,269.4,166.9,668.3,616.9,616.1,738.1,636.9,231.2,157.0,306.1,246.6,366.0,533.7,714.0,465.4,307.0,257.7,155.4,810.3,255.4,717.5,718.0,267.3,380.7,719.4,414.4,161.8,546.4,309.7,102.0,372.1,135.1,50.6,747.1,802.3,332.7,700.7,294.0,35.8,734.9,251.2,684.3,198.6,224.0,437.6,38.7,829.1,0.0,349.4,549.4,402.3,446.0,95.0,250.8,171.5,384.1,405.8,359.8,704.0,205.9,348.8,344.6,621.3,42.8,730.8,184.0,163.8,242.1,403.7,432.0,253.8,191.3,156.1,1996.3,244.1,339.4,148.0,622.5,548.6,120.5,761.1,220.4,220.8,309.3,403.5,529.2,693.7,480.7,186.5,376.1,34.4,527.5
PR,197.1,616.2,201.8,217.4,602.5,164.7,178.8,666.6,557.3,515.7,523.0,289.7,297.1,120.1,80.9,229.1,401.7,370.0,164.7,417.2,329.9,270.8,485.1,439.6,432.9,554.9,453.7,408.7,388.2,223.5,193.2,182.8,489.5,633.7,381.7,97.4,222.7,286.7,627.1,516.8,534.3,534.8,244.9,298.1,508.8,331.8,251.9,416.9,288.4,328.1,200.0,262.5,386.6,537.6,619.1,314.7,518.8,110.4,360.0,551.7,147.9,501.1,450.4,174.3,355.0,374.7,553.6,337.0,0.0,504.7,319.7,363.4,321.1,520.3,449.1,200.9,323.2,69.8,621.2,412.3,202.7,326.6,542.8,324.6,547.6,396.6,441.4,454.7,113.7,349.4,185.8,438.1,392.9,2045.8,288.3,268.6,305.2,439.3,466.0,243.1,551.6,173.0,301.5,94.5,320.9,435.0,480.9,398.1,464.1,102.4,302.9,444.9
PX,469.2,465.1,437.0,420.9,451.4,436.8,449.2,515.5,406.2,645.1,18.0,345.3,478.1,410.3,479.8,508.2,558.4,595.3,436.8,92.5,602.0,427.3,334.0,282.6,170.6,303.5,191.4,680.8,544.7,275.7,435.5,365.5,18.8,525.7,74.9,422.9,278.3,472.2,476.0,608.4,383.2,383.7,301.6,283.7,401.9,250.7,437.4,86.9,282.8,556.0,373.0,505.8,611.9,429.6,468.0,307.8,366.4,417.1,581.0,400.6,390.2,350.0,612.6,416.6,211.3,600.0,446.7,561.2,458.3,0.0,262.7,257.4,549.0,611.9,472.8,384.9,259.4,468.7,262.5,462.8,445.0,319.7,84.5,549.9,396.5,597.0,482.0,556.3,512.6,243.4,461.3,625.4,549.4,1987.5,560.4,354.3,448.8,288.2,107.1,515.2,443.6,420.5,399.3,418.2,261.9,69.7,218.6,60.4,475.2,453.9,528.2,86.0
PY,462.0,605.6,378.7,362.6,591.9,429.6,442.0,656.0,546.7,622.4,283.9,322.6,455.4,403.1,472.6,501.0,535.7,572.6,429.6,216.2,594.8,404.6,474.5,423.1,345.6,458.1,366.4,673.6,522.0,253.0,428.3,307.2,250.1,673.3,181.8,415.7,255.6,449.5,616.5,585.7,523.7,524.2,278.9,20.9,563.0,64.1,414.7,262.8,260.1,533.3,383.8,527.4,589.2,590.7,608.5,285.1,527.5,409.9,558.3,541.1,383.0,490.5,589.9,409.4,147.2,577.3,635.3,538.5,451.1,265.8,0.0,93.2,526.3,589.2,450.1,326.6,65.5,461.5,420.4,440.1,437.8,297.0,337.7,527.2,537.0,661.5,459.3,533.6,505.4,30.1,454.1,602.7,526.7,2163.4,553.2,435.5,426.1,428.7,265.0,508.0,604.7,413.3,376.6,411.0,63.2,245.6,410.1,197.1,452.5,385.5,505.5,243.9
PZ,418.8,562.4,335.5,299.9,548.7,386.4,398.8,612.8,503.5,588.8,292.2,289.0,421.8,359.9,429.4,450.8,503.3,539.0,386.4,224.5,551.6,371.0,431.3,385.8,302.4,435.3,323.2,630.4,488.4,347.2,385.1,264.0,258.4,630.1,190.1,370.7,222.0,415.9,573.3,552.1,480.5,481.0,245.3,128.4,519.8,95.4,381.1,271.1,226.5,499.7,340.6,484.2,555.6,547.5,565.3,251.5,465.0,366.7,526.8,497.9,339.8,447.3,556.3,366.2,113.7,543.7,592.1,504.9,409.0,274.1,107.4,0.0,492.7,555.6,416.5,283.4,104.1,418.3,428.5,406.5,394.6,263.4,346.0,493.6,493.8,618.3,425.7,500.0,462.2,88.1,410.9,569.1,493.1,2123.1,510.0,392.3,392.5,385.5,273.3,464.8,561.5,370.1,343.0,367.8,106.6,253.9,350.4,205.4,418.9,342.3,471.9,252.2
QB,224.2,796.6,426.2,417.3,782.9,229.9,203.4,847.0,737.7,217.4,564.7,308.2,61.3,284.4,368.1,198.5,77.8,117.6,229.9,497.0,156.2,93.2,665.5,614.1,613.3,735.3,634.1,184.7,83.3,303.3,243.8,363.2,531.4,711.2,462.6,297.0,254.9,110.4,807.5,208.9,714.7,715.2,264.5,377.9,716.6,411.6,137.4,543.6,306.9,7.0,369.3,68.7,134.2,744.3,799.5,329.9,697.9,291.2,103.3,732.1,248.4,681.5,152.1,221.2,434.8,122.3,826.3,83.5,346.6,546.6,399.5,443.2,0.0,204.3,125.0,381.3,403.0,357.0,701.2,159.4,346.0,341.8,692.3,72.2,728.0,137.5,117.3,195.6,400.9,429.2,251.0,144.8,88.0,1993.5,241.3,336.6,74.3,619.7,545.8,117.7,758.3,217.6,147.1,306.5,400.7,526.4,690.9,477.9,140.0,373.3,50.5,524.7
QK,332.2,938.7,576.8,539.9,925.0,391.7,350.0,989.1,879.8,188.7,718.6,467.3,178.5,426.5,510.2,345.0,173.7,278.2,391.7,579.1,199.4,250.6,807.6,762.1,709.1,821.0,729.9,227.9,162.6,462.7,404.9,505.3,613.0,863.5,544.7,446.3,425.2,279.2,886.9,4.5,856.8,857.3,434.8,460.0,868.9,493.7,300.1,625.7,398.5,197.2,539.6,214.0,294.8,896.6,941.6,423.5,840.0,433.3,224.6,874.2,409.5,823.6,189.3,382.3,516.9,239.3,913.7,244.1,488.7,710.4,481.6,525.3,203.5,0.0,117.1,523.4,485.1,499.1,783.1,151.5,507.1,435.4,748.2,210.4,870.1,134.0,109.4,99.9,543.0,511.3,430.7,183.4,157.9,2145.8,241.9,506.9,226.5,761.8,627.9,270.0,910.6,378.7,233.3,448.6,482.8,608.5,773.0,560.0,132.1,515.4,275.0,606.8
QO,215.0,821.5,459.6,422.7,807.8,312.6,232.8,871.9,762.6,166.8,619.4,361.8,61.4,309.3,393.0,226.6,98.4,224.9,312.6,473.6,184.1,133.4,690.4,644.9,603.6,715.5,624.4,212.6,87.3,357.2,287.7,388.1,508.0,746.3,439.2,329.1,308.0,162.0,769.7,130.1,739.6,740.1,335.4,354.5,751.7,388.2,182.9,520.2,293.0,139.3,454.5,96.8,241.5,779.4,824.4,318.0,722.8,316.1,210.6,757.0,292.3,706.4,134.3,265.1,411.4,229.6,796.5,190.8,371.5,611.2,376.1,419.8,132.3,133.6,0.0,406.2,379.6,381.9,677.8,43.0,389.9,329.9,649.0,179.5,752.9,118.7,9.1,78.0,425.8,405.8,313.5,165.4,82.6,2028.6,226.6,389.7,114.5,644.6,522.4,152.8,793.4,261.5,116.1,331.4,377.3,503.0,667.5,454.5,14.9,398.2,157.8,501.3
RB,225.3,525.2,163.3,37.9,511.5,192.9,205.3,575.6,466.3,543.9,415.1,219.9,325.4,166.4,235.9,264.3,431.1,398.2,192.9,347.4,358.1,299.0,394.1,342.7,341.9,463.9,362.7,436.9,416.4,153.7,191.6,91.8,381.8,592.9,313.0,179.0,152.9,314.9,536.1,545.0,443.3,443.8,176.2,228.3,489.3,262.0,280.1,394.0,218.6,356.3,147.1,290.7,414.8,517.0,528.1,244.9,426.5,173.2,383.9,460.7,146.3,410.1,478.6,172.7,285.2,402.9,554.9,364.1,214.4,397.0,249.9,293.6,349.3,548.5,477.3,0.0,253.4,224.8,551.6,440.5,201.1,256.8,468.9,352.8,456.6,424.8,469.6,482.9,268.7,279.6,217.4,466.3,421.1,2065.6,316.5,198.8,320.5,348.3,396.2,271.3,531.0,176.6,329.7,174.3,251.1,376.8,389.9,328.3,492.3,158.5,331.1,375.1
RD,457.8,601.4,374.5,358.4,587.7,425.4,437.8,651.8,542.5,618.2,289.7,318.4,451.2,398.9,468.4,496.8,531.5,568.4,425.4,222.0,590.6,400.4,470.3,418.9,341.4,463.9,362.2,669.4,517.8,248.8,424.1,303.0,256.4,669.1,187.6,411.5,251.4,445.3,612.3,581.5,519.5,520.0,274.7,66.2,558.8,8.5,410.5,268.6,255.9,529.1,379.6,523.2,585.0,586.5,604.3,280.9,533.3,405.7,554.1,536.9,378.8,486.3,585.7,405.2,143.0,573.1,631.1,534.3,446.9,271.6,51.9,89.0,522.1,585.0,445.9,322.4,0.0,457.3,426.2,435.9,433.6,292.8,343.5,523.0,532.8,657.3,455.1,529.4,501.2,32.6,449.9,598.5,522.5,2162.1,549.0,431.3,421.9,424.5,270.8,503.8,600.5,409.1,372.4,406.8,2.5,251.4,415.9,202.9,448.3,381.3,501.3,249.7
RH,207.5,626.6,264.7,247.3,612.9,215.4,229.5,677.0,567.7,526.1,533.4,302.1,307.6,130.5,11.0,246.5,413.3,380.4,215.4,429.6,340.3,321.5,495.5,444.1,443.3,565.3,464.1,419.1,438.9,235.9,248.2,193.2,499.4,654.9,395.2,115.0,235.1,337.4,637.5,527.2,544.7,545.2,258.4,310.5,531.1,344.2,302.6,427.3,300.8,338.5,209.3,272.9,397.0,558.8,629.5,327.1,527.9,120.8,366.1,562.1,158.3,511.5,460.8,227.3,367.4,385.1,656.3,346.3,49.8,515.1,332.1,375.8,331.5,530.7,499.8,211.3,335.6,0.0,633.8,463.0,213.1,339.0,553.2,335.0,558.0,407.0,492.1,465.1,43.8,361.8,236.5,448.5,443.6,2021.6,298.7,281.0,343.0,449.7,478.4,253.5,572.8,223.7,352.2,104.9,333.3,445.4,491.3,410.5,514.8,124.7,313.3,457.3
RL,694.9,448.2,611.6,576.0,434.5,662.5,674.9,498.6,389.3,815.7,276.6,515.9,649.0,625.8,705.5,726.9,730.2,765.9,652.3,263.1,817.5,597.9,317.1,271.6,261.4,262.1,232.3,896.3,705.1,446.3,661.2,540.1,232.6,497.7,235.3,636.6,448.9,632.6,407.9,779.0,366.3,366.8,472.2,454.3,363.7,421.3,608.0,328.9,453.4,716.4,533.4,760.3,782.5,401.6,451.1,478.4,332.8,632.6,755.9,383.7,615.9,333.1,783.2,642.3,381.9,760.4,408.5,721.6,685.1,258.5,433.3,417.8,719.6,772.3,633.2,559.5,430.0,694.4,0.0,633.4,660.5,490.3,332.9,720.5,379.6,757.4,652.6,716.7,738.3,414.0,687.0,796.0,720.0,2076.0,786.1,524.9,632.3,271.3,214.3,740.9,415.6,636.0,569.9,633.7,432.5,347.0,203.9,231.0,635.6,640.0,698.8,183.3
RT,292.1,864.5,496.6,485.2,850.8,297.8,271.3,914.9,805.6,190.5,576.3,347.0,122.4,352.3,436.0,339.3,122.1,285.9,297.8,458.8,207.8,190.9,733.4,682.0,588.8,700.7,609.6,236.3,111.0,342.4,311.7,431.1,493.2,807.3,424.4,364.9,345.0,223.0,875.4,153.8,782.6,783.1,320.6,339.7,828.6,373.4,224.2,505.4,278.2,200.3,439.7,157.8,302.5,856.3,867.4,303.2,765.8,359.1,176.5,800.0,316.3,749.4,158.0,289.1,396.6,193.3,894.2,251.8,414.5,568.1,361.3,405.0,193.3,157.3,52.3,449.2,364.8,424.9,663.0,0.0,413.9,315.1,605.9,240.5,795.9,142.4,44.6,101.7,468.8,391.0,318.9,189.1,106.3,2089.6,250.3,430.2,211.5,687.6,507.6,213.8,870.3,285.5,148.9,374.4,362.5,488.2,652.7,439.7,67.3,441.2,218.8,486.5
RY,140.9,602.5,240.6,203.7,588.8,131.7,120.1,652.9,543.6,511.8,509.3,313.2,288.8,134.3,203.8,181.1,361.2,369.1,131.7,405.5,326.0,230.1,471.4,425.9,419.2,541.2,440.0,404.8,347.5,211.8,106.4,169.1,475.8,670.2,371.1,145.1,259.9,246.0,613.4,492.3,520.6,521.1,269.5,286.4,566.6,320.1,211.2,403.2,311.9,330.7,185.2,254.1,385.7,594.3,605.4,334.9,505.1,141.1,354.8,538.0,61.1,487.4,446.5,87.5,343.3,373.8,632.2,335.0,182.3,491.0,308.0,351.7,323.7,487.7,408.4,187.2,311.5,192.7,609.7,371.6,0.0,346.8,529.1,323.7,533.9,392.7,400.7,450.8,236.6,337.7,132.2,428.2,352.2,2054.6,284.4,341.6,264.5,425.6,454.3,234.7,608.3,91.4,260.8,142.2,309.2,421.3,467.2,386.4,423.4,209.0,302.0,433.2
SE,299.9,678.8,300.4,299.5,665.1,307.3,279.1,729.2,619.9,494.4,360.4,122.2,357.6,280.8,350.3,347.1,422.5,412.4,307.3,292.7,472.5,291.4,547.7,496.3,422.7,534.6,443.5,551.3,408.8,176.3,306.0,245.4,327.1,746.5,258.3,293.4,129.1,289.3,689.7,457.7,596.9,597.4,95.8,173.6,642.9,207.3,254.5,339.3,53.4,374.0,243.5,322.9,429.0,670.6,681.7,14.1,580.1,287.6,398.1,614.3,260.7,563.7,496.8,287.1,230.5,417.1,708.5,378.3,328.8,342.3,195.2,238.9,367.0,461.2,322.1,263.5,198.7,339.2,496.9,312.1,315.5,0.0,414.2,367.0,610.2,482.2,331.3,405.6,383.1,224.9,331.8,489.5,413.5,2219.2,430.9,210.8,312.9,501.9,341.5,385.7,684.6,291.0,330.5,288.7,196.4,322.1,486.6,273.6,324.5,254.9,345.3,320.4
SM,571.6,526.0,488.3,452.7,512.3,539.2,551.6,576.4,467.1,741.6,67.5,441.8,574.5,512.7,582.2,610.6,656.1,691.8,539.2,189.0,704.4,523.8,394.9,349.4,339.2,339.9,320.3,783.2,641.2,372.2,537.9,416.8,115.3,575.5,171.4,523.5,374.8,568.7,485.7,704.9,444.1,444.6,398.1,385.0,451.7,352.0,533.9,183.4,379.3,652.5,469.5,602.3,708.4,479.4,528.9,404.3,409.3,519.5,677.5,461.5,492.6,410.9,672.2,519.0,289.4,696.5,496.5,657.7,560.7,96.4,364.0,352.3,645.5,708.4,569.3,436.2,360.7,571.1,360.9,559.3,547.4,416.2,0.0,646.4,457.4,693.5,578.5,652.8,615.0,344.7,563.7,721.9,645.9,2084.0,662.8,450.8,545.3,349.1,203.6,617.6,493.4,522.9,495.8,520.6,363.2,166.2,291.9,156.9,571.7,495.1,624.7,182.5
TD,226.5,798.9,428.5,400.1,785.2,232.2,205.7,849.3,740.0,221.0,567.0,310.5,92.1,286.7,370.4,200.8,81.4,67.7,232.2,499.3,159.8,124.0,667.8,616.4,615.6,737.6,636.4,188.3,114.1,305.6,246.1,365.5,533.7,713.5,464.9,306.5,257.2,154.9,809.8,212.5,717.0,717.5,266.8,380.2,718.9,413.9,161.3,545.9,309.2,59.7,371.6,105.4,84.3,746.6,801.8,332.2,700.2,293.5,33.1,734.4,250.7,683.8,155.7,223.5,437.1,66.1,828.6,33.6,348.9,548.9,401.8,445.5,66.0,207.9,128.6,383.6,405.3,359.3,703.3,163.0,348.3,344.1,620.8,0.0,730.3,141.1,120.9,199.2,403.2,431.5,253.3,148.4,113.2,1995.8,243.6,338.9,105.1,622.0,548.1,120.0,760.6,219.9,177.9,308.8,403.0,528.7,693.2,480.2,143.6,375.6,33.9,527.0
TP,600.8,68.5,517.5,501.4,54.8,568.4,580.8,118.9,61.3,919.4,426.6,595.4,670.1,541.9,611.4,639.8,753.4,742.9,568.4,431.1,733.6,674.5,85.2,138.4,336.7,272.8,273.2,812.4,739.7,529.2,567.1,446.0,392.8,165.9,413.5,554.5,528.4,685.3,79.4,884.5,61.0,172.5,551.7,603.8,133.8,536.0,655.6,320.7,594.1,701.0,522.6,635.4,759.5,107.3,71.4,620.4,202.4,548.7,728.6,78.4,521.8,144.9,854.1,548.2,476.7,747.6,98.2,708.8,589.9,408.5,548.0,536.3,694.0,879.9,800.6,465.4,544.7,600.3,428.7,791.5,576.6,632.3,493.1,697.5,0.0,800.3,792.9,858.4,644.2,528.7,592.9,820.4,744.4,1836.8,692.0,574.3,701.1,131.0,407.5,616.0,124.9,552.1,705.2,549.8,547.2,338.8,244.8,399.0,815.6,527.1,675.8,357.6
TW,320.3,871.3,509.4,472.5,857.6,348.3,321.8,921.7,812.4,120.5,688.6,447.7,166.6,359.1,442.8,338.9,72.9,214.1,348.3,567.2,65.3,197.4,740.2,688.8,688.0,809.1,708.8,93.8,150.7,442.8,362.2,437.9,698.8,851.6,532.8,378.9,394.4,267.3,882.2,120.1,789.4,789.9,404.0,448.1,835.4,481.8,251.9,613.8,386.6,133.1,454.0,202.1,230.7,863.1,874.2,411.6,772.6,365.9,160.5,806.8,366.8,756.2,55.2,339.6,505.0,175.2,901.0,180.0,421.3,680.4,469.7,513.4,139.4,123.6,105.2,456.0,473.2,431.7,771.2,139.6,464.4,423.5,718.2,146.3,802.7,0.0,97.5,58.0,475.6,499.4,369.4,108.1,146.0,2133.9,107.8,476.1,178.5,694.4,616.0,271.2,877.1,336.0,221.4,381.2,470.9,596.6,761.1,548.1,120.2,448.0,180.3,594.9
TZ,222.7,870.1,502.2,490.8,856.4,303.4,276.9,920.5,811.2,157.6,610.2,352.6,69.1,357.9,441.6,241.3,89.2,232.6,303.4,464.4,174.9,141.1,739.0,687.6,594.4,706.3,615.2,203.4,78.1,348.0,317.3,436.7,498.3,754.0,430.0,370.5,350.6,169.7,777.4,120.9,788.2,788.7,326.2,345.3,759.4,379.0,229.8,511.0,283.8,147.0,445.3,104.5,249.2,787.1,873.0,308.8,771.4,364.7,218.3,805.6,321.9,755.0,125.1,294.7,402.2,237.3,804.2,198.5,420.1,602.0,366.9,410.6,140.0,124.4,7.6,454.8,370.4,430.5,668.6,33.8,419.5,320.7,639.8,187.2,801.5,109.5,0.0,68.8,474.4,396.6,324.5,156.2,73.4,2036.3,217.4,435.8,122.2,693.2,513.2,160.5,801.1,291.1,154.5,380.0,368.1,493.8,658.3,445.3,22.6,446.8,165.5,492.1
UM,302.9,909.4,547.5,510.6,895.7,362.4,320.7,959.8,850.5,109.4,677.5,438.0,149.3,397.2,480.9,321.5,144.4,254.5,362.4,549.8,126.7,221.3,778.3,732.8,786.3,890.8,807.1,155.2,133.3,433.4,375.6,476.0,688.2,834.2,515.4,417.0,395.9,249.9,857.6,102.7,827.5,828.0,405.5,430.7,839.6,464.4,270.8,596.4,369.2,173.5,510.3,184.7,271.1,867.3,912.3,394.2,810.7,404.0,198.8,844.9,380.2,794.3,76.9,353.0,620.5,215.6,884.4,220.4,459.4,669.3,452.3,496.0,220.2,106.2,87.8,494.1,455.8,469.8,753.8,122.2,477.8,406.1,707.1,186.7,840.8,61.3,80.1,0.0,513.7,482.0,401.4,211.4,128.6,2116.5,169.2,477.6,202.4,732.5,598.6,240.7,881.3,349.4,204.0,419.3,453.5,579.2,842.8,530.7,102.8,486.1,245.7,577.5
UU,245.1,664.2,302.3,284.9,650.5,253.0,267.1,714.6,605.3,563.7,571.0,339.7,345.2,168.1,26.4,284.1,450.9,418.0,253.0,467.2,377.9,359.1,533.1,481.7,480.9,602.9,501.7,456.7,476.5,273.5,285.8,230.8,537.0,692.5,432.8,152.6,272.7,375.0,675.1,564.8,582.3,582.8,296.0,348.1,568.7,381.8,340.2,464.9,338.4,376.1,246.9,310.5,434.6,596.4,667.1,364.7,565.5,158.4,403.7,599.7,195.9,549.1,498.4,264.9,405.0,422.7,693.9,383.9,87.4,552.7,369.7,413.4,369.1,568.3,537.4,248.9,373.2,37.5,671.4,500.6,250.7,376.6,590.8,372.6,595.6,444.6,529.7,502.7,0.0,399.4,274.1,486.1,481.2,2059.2,336.3,318.6,380.6,487.3,516.0,291.1,610.4,261.3,389.8,142.5,370.9,483.0,528.9,448.1,552.4,162.3,350.9,494.9
