from_stop,AF,AH,AO,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CM,CX,DH,DT,DV,EB,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GU,HA,HD,HH,HN,HP,IE,IK,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MQ,MS,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PL,PV,PW,QE,QJ,QP,QY,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TQ,TW,UD,UQ,UZ,VA,VO,VT,VU,VV,VY,VZ,WI,WJ,WP,WR,WV,WY,XA,XG,XO,XU,YB,YC,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
KX,186.5,390.5,121.8,485.5,489.1,346.1,488.7,203.2,525.5,313.7,253.7,100.1,495.4,188.4,296.8,538.3,521.2,531.0,518.2,164.2,147.2,556.7,210.7,489.8,304.9,294.4,2101.6,185.5,516.1,485.8,481.4,235.1,320.5,222.0,170.3,272.6,204.5,217.6,525.2,507.0,541.4,504.0,193.3,487.2,518.5,550.6,540.1,580.5,435.9,525.9,269.1,0.0,457.8,600.4,616.2,288.7,249.6,123.4,594.3,516.1,497.0,261.8,237.5,345.1,190.1,179.9,487.6,145.5,279.2,517.2,229.6,437.3,235.1,143.8,394.1,345.6,569.3,210.4,159.1,651.5,526.8,593.7,194.7,521.4,496.5,62.8,252.2,509.4,100.8,490.3,247.4,523.6,255.0,511.6,526.0,588.8,329.5,88.0,513.0,351.4,480.2,508.3,476.1,121.5,147.0,453.6,484.6,119.0,225.3,162.9,109.3,535.7,274.2,139.5,228.1,580.4,328.5,146.0,303.5,549.7,136.7,465.9,608.0,537.1,259.7,545.4
LA,483.2,242.9,507.9,133.7,96.2,178.5,207.0,486.3,142.6,213.4,642.9,382.7,102.5,562.9,360.8,139.8,127.6,138.1,119.6,481.6,539.7,215.4,574.4,199.7,176.2,668.9,2301.4,574.7,178.4,144.5,66.5,578.2,695.0,273.4,562.8,212.5,593.7,308.8,185.7,114.1,200.1,223.7,358.7,98.7,177.2,157.7,147.2,187.6,139.1,184.6,323.6,493.0,0.0,259.1,223.3,677.9,351.5,408.4,201.4,174.8,140.1,407.1,528.4,197.5,479.7,560.7,180.1,434.1,379.1,175.9,604.1,148.1,455.8,547.7,246.5,245.3,228.0,375.8,511.0,301.6,166.9,252.4,569.2,187.9,214.1,448.9,638.0,117.0,486.9,128.9,323.2,130.7,629.5,56.2,127.4,201.7,229.2,423.4,171.7,366.6,138.9,115.4,161.8,507.6,464.4,146.1,91.7,402.1,514.5,394.7,495.4,142.8,210.2,424.5,558.3,187.5,303.0,463.4,678.0,208.4,522.8,147.9,220.9,195.8,322.1,133.8
LE,596.1,355.8,620.8,323.9,249.8,297.1,393.8,599.2,345.8,326.3,755.8,495.5,310.9,675.8,473.7,353.8,336.7,333.7,309.8,594.5,652.6,27.0,687.3,280.8,289.1,781.8,2318.0,687.6,368.6,218.9,255.0,691.1,807.9,386.3,675.7,325.4,706.6,421.7,210.3,259.1,254.1,304.8,471.6,263.9,231.6,360.9,350.4,151.7,209.5,259.0,436.5,605.9,249.4,0.0,207.9,790.8,464.4,521.3,186.0,229.2,273.7,527.1,641.3,310.4,592.6,678.9,261.2,547.0,492.0,250.3,717.0,261.0,568.7,660.6,359.4,358.2,120.8,488.7,623.9,182.0,357.1,4.4,682.1,206.5,295.2,561.8,757.6,324.9,599.8,319.1,436.1,214.2,742.4,303.2,317.6,161.4,342.1,536.3,244.6,479.5,193.3,323.8,249.7,620.5,577.3,227.2,300.1,515.0,627.4,507.6,608.3,203.6,323.1,535.5,671.2,158.8,415.9,576.3,790.9,234.8,635.7,242.8,180.6,88.4,435.0,329.4
LI,577.4,337.1,602.1,215.9,171.0,272.7,289.2,580.5,193.5,307.6,737.1,476.9,153.4,657.1,455.0,196.3,179.2,189.0,201.8,575.8,633.9,195.4,668.6,280.1,270.4,763.1,2313.5,668.9,260.6,238.7,245.7,672.4,789.2,367.6,657.0,306.7,687.9,403.0,262.0,101.6,294.3,304.1,452.9,277.9,271.4,208.6,198.1,179.7,208.8,278.8,417.8,587.2,179.1,239.1,0.0,772.1,445.7,502.6,13.5,269.0,273.0,501.3,622.6,291.7,573.9,654.9,260.5,528.3,473.3,270.1,698.3,242.3,550.0,641.9,340.7,339.5,90.9,470.0,605.2,173.1,249.1,232.4,663.4,264.2,294.5,543.1,732.2,167.9,581.1,211.1,417.4,56.7,723.7,213.4,209.6,48.8,323.4,517.6,265.9,460.8,233.1,166.3,249.0,601.8,558.6,226.5,142.6,496.3,608.7,488.9,589.6,46.1,304.4,518.7,652.5,34.6,397.2,557.6,772.2,284.7,617.0,242.1,68.0,201.1,416.3,184.7
LQ,160.3,527.7,194.9,630.1,626.3,483.3,633.3,347.8,672.7,450.9,19.2,244.6,632.6,182.2,441.4,675.5,658.4,668.2,655.4,308.8,112.7,693.9,92.3,644.4,442.1,288.2,2246.2,62.9,660.7,623.0,618.6,116.7,314.3,359.2,88.5,409.8,43.7,354.8,664.2,644.2,678.6,641.2,330.5,627.5,655.7,687.8,677.3,717.7,573.1,663.1,406.3,231.5,595.0,737.6,753.4,0.0,381.2,269.9,731.5,653.3,637.3,399.0,119.1,482.3,163.9,247.7,624.8,290.1,423.8,654.4,223.4,574.5,321.7,149.0,531.3,482.8,706.5,347.6,132.9,788.7,671.4,730.9,188.5,666.4,635.6,192.7,145.1,647.1,193.9,664.7,384.6,660.8,248.8,648.8,663.2,726.0,466.7,232.6,650.2,488.6,617.4,645.5,613.3,187.8,291.6,590.8,621.8,263.6,164.3,307.5,182.4,672.9,411.4,286.0,201.9,717.6,465.7,290.6,297.3,686.9,171.5,603.1,745.2,674.3,396.9,663.9
LR,221.3,256.1,246.0,403.5,360.3,217.4,467.8,224.4,391.1,179.3,386.6,120.7,361.0,301.0,273.6,403.9,386.8,396.6,383.8,219.7,283.4,422.3,312.5,378.4,176.1,407.0,2078.4,312.8,442.6,357.0,347.0,316.3,433.1,87.6,300.9,138.2,331.8,83.2,396.4,372.6,407.0,369.6,96.8,361.5,384.1,416.2,405.7,446.1,307.1,397.1,134.7,236.7,323.4,466.0,481.8,416.0,0.0,144.6,459.9,387.3,365.7,145.1,266.5,210.7,216.1,304.1,353.2,177.8,256.0,382.8,342.2,302.9,193.9,285.8,259.7,211.2,440.5,113.9,249.1,517.0,431.1,464.9,312.9,387.0,364.0,187.0,382.8,375.0,225.0,393.1,113.0,394.8,367.6,377.2,393.1,454.4,200.7,161.5,377.1,217.0,345.8,373.9,341.7,245.7,208.1,319.2,350.2,140.2,252.6,138.4,233.5,401.3,139.8,160.7,296.4,446.0,194.1,201.5,416.1,415.3,266.5,331.5,473.6,402.7,125.3,411.0
LS,196.5,324.5,138.8,419.3,424.8,282.4,422.7,77.8,469.5,247.7,272.4,34.0,429.2,205.4,230.8,472.3,455.2,465.0,452.2,112.5,164.0,490.7,227.7,425.5,240.6,266.8,2087.3,202.5,450.1,419.6,415.4,252.1,292.9,156.0,187.3,208.3,221.5,151.6,459.2,441.0,475.4,437.8,127.3,421.2,452.5,484.6,474.1,514.5,369.9,459.9,203.1,123.7,391.8,536.1,550.2,305.7,178.0,0.0,528.3,449.9,431.0,195.8,254.5,279.1,193.0,196.9,421.6,79.3,213.2,451.2,261.0,371.3,169.1,160.8,328.1,279.6,503.3,144.4,176.1,585.5,460.8,529.4,211.7,455.4,430.5,79.8,262.5,443.9,117.8,424.3,181.4,457.6,227.4,445.6,460.0,522.8,263.5,54.3,447.0,285.4,414.0,442.3,410.1,138.5,97.0,387.6,418.6,4.5,227.8,96.9,128.0,471.4,208.2,0.9,244.9,514.4,262.5,96.0,275.7,483.7,153.7,399.9,541.8,471.1,193.7,460.7
MQ,563.8,323.5,588.5,202.3,157.4,259.1,275.6,566.9,179.9,294.0,723.5,463.3,139.8,643.5,441.4,182.7,165.6,175.4,188.2,562.2,620.3,181.8,655.0,266.5,256.8,749.5,2299.9,655.3,247.0,225.1,232.1,658.8,775.6,354.0,643.4,293.1,674.3,389.4,248.4,88.0,280.7,290.5,439.3,264.3,257.8,195.0,184.5,166.1,195.2,265.2,404.2,573.6,165.5,225.5,21.9,758.5,432.1,489.0,0.0,255.4,259.4,487.7,609.0,278.1,560.3,641.3,246.9,514.7,459.7,256.5,684.7,228.7,536.4,628.3,327.1,325.9,77.3,456.4,591.6,159.5,235.5,218.8,649.8,250.6,280.9,529.5,718.6,154.3,567.5,197.5,403.8,43.1,710.1,199.8,196.0,35.2,309.8,504.0,252.3,447.2,219.5,152.7,235.4,588.2,545.0,212.9,129.0,482.7,595.1,475.3,576.0,32.5,290.8,505.1,638.9,21.0,383.6,544.0,758.6,271.1,603.4,228.5,54.4,187.5,402.7,171.1
MS,497.8,257.5,522.5,225.6,182.4,193.1,298.9,500.9,218.8,228.0,657.5,397.3,188.7,577.5,375.4,231.6,214.5,224.3,211.5,496.2,554.3,183.8,589.0,182.5,190.8,683.5,2295.6,589.3,270.3,102.6,156.7,592.8,709.6,288.0,577.4,227.1,608.3,323.4,54.1,200.3,66.1,206.5,373.3,165.6,2.3,243.9,233.4,269.5,111.2,142.7,338.2,507.6,151.1,227.5,262.4,692.5,371.7,421.1,240.5,0.0,175.4,428.8,543.0,212.1,492.6,580.6,162.9,448.7,393.7,134.0,618.7,162.7,470.4,562.3,261.1,259.9,196.4,390.4,525.6,278.5,258.8,220.8,583.8,106.7,196.9,463.5,659.3,202.7,501.5,220.8,337.8,216.9,644.1,204.9,219.3,215.9,243.8,438.0,128.3,381.2,26.5,201.6,151.4,522.2,479.0,128.9,177.9,416.7,529.1,409.3,510.0,229.0,224.8,437.2,572.9,213.3,317.6,478.0,692.6,80.8,537.4,144.5,235.1,164.2,336.7,220.0
MU,505.0,264.7,530.5,212.8,169.6,200.3,286.1,508.9,216.0,235.2,662.4,405.3,175.9,584.7,382.6,218.8,201.7,211.5,198.7,504.2,555.9,219.2,596.2,116.6,198.0,658.5,2280.4,594.2,257.5,148.3,56.1,600.0,684.6,295.2,579.0,234.3,613.2,330.6,189.5,187.5,203.9,140.6,380.5,27.2,181.0,231.1,220.6,261.0,56.0,188.4,345.4,515.6,113.3,262.9,297.8,697.4,373.3,431.0,275.9,178.6,0.0,356.1,550.2,219.3,501.5,583.3,97.0,456.7,365.0,179.7,625.9,165.8,470.1,552.5,268.3,267.1,231.8,397.6,532.8,314.0,246.0,256.2,591.0,191.7,131.0,471.5,654.2,190.4,509.5,208.0,345.0,204.1,619.1,169.6,206.5,251.3,251.0,446.0,175.5,388.4,142.7,188.8,78.7,530.2,487.0,63.0,165.1,424.7,536.3,417.7,518.0,216.2,232.0,447.1,580.1,248.7,324.8,486.0,667.6,212.2,545.4,110.4,270.5,199.6,343.9,207.2
MZ,258.0,290.5,293.0,432.3,389.1,248.4,360.0,271.4,425.5,213.7,424.9,167.7,395.4,337.7,105.3,438.3,421.2,431.0,418.2,266.7,318.4,456.7,349.2,407.2,204.9,421.0,2042.9,356.7,477.0,385.8,381.4,353.0,447.1,122.0,341.5,172.6,375.7,117.6,425.2,407.0,441.4,404.0,133.5,390.3,418.5,450.6,440.1,480.5,335.9,425.9,169.1,278.1,357.8,500.4,516.2,459.9,144.0,193.5,494.3,416.1,400.1,0.0,303.2,245.1,252.8,351.1,387.6,219.2,87.7,417.2,378.9,337.3,232.6,315.0,241.4,245.6,469.3,150.6,285.8,551.4,465.5,493.7,344.0,421.4,398.4,234.0,416.7,409.9,272.0,427.5,147.4,423.6,381.6,411.6,426.0,488.8,229.5,208.5,411.5,251.4,380.2,408.3,376.1,292.7,249.5,353.6,384.6,187.2,289.3,180.2,280.5,435.7,174.2,207.7,333.1,480.4,228.5,248.5,430.1,449.7,307.9,365.9,508.0,437.1,159.7,426.7
NA,62.4,408.5,154.0,550.3,507.1,364.1,524.7,306.9,553.5,331.7,114.4,203.7,513.4,141.3,332.8,556.3,539.2,549.0,536.2,267.9,71.8,574.7,45.9,525.2,322.9,247.3,2137.6,46.2,595.0,503.8,499.4,49.7,273.4,240.0,47.6,290.6,65.2,235.6,545.0,525.0,559.4,522.0,211.3,508.3,536.5,568.6,558.1,598.5,453.9,543.9,287.1,190.6,475.8,618.4,634.2,149.4,262.0,229.0,612.3,534.1,518.1,279.8,0.0,363.1,58.9,206.8,505.6,212.2,315.2,535.2,182.5,455.3,202.5,108.1,412.1,363.6,587.3,228.4,92.0,669.5,583.5,611.7,147.6,547.2,516.4,151.8,124.2,527.9,153.0,545.5,265.4,541.6,207.9,529.6,544.0,606.8,347.5,191.7,531.0,369.4,498.2,526.3,494.1,146.9,250.7,471.6,502.6,222.7,45.1,218.1,141.5,553.7,292.2,245.1,161.0,598.4,346.5,249.7,256.4,567.7,130.6,483.9,626.0,555.1,277.7,544.7
NC,361.9,57.2,386.6,243.4,200.2,39.2,316.7,365.0,246.6,92.1,521.6,261.4,206.5,441.6,163.2,249.4,232.3,242.1,229.3,360.3,418.4,267.8,453.1,218.3,54.9,547.6,2180.1,453.4,288.1,196.9,192.5,456.9,573.7,152.1,441.5,91.2,472.4,187.5,238.1,218.1,252.5,215.1,237.4,201.4,229.6,261.7,251.2,291.6,147.0,237.0,202.3,371.7,168.9,311.5,327.3,556.6,230.2,287.1,305.4,227.2,211.2,259.2,407.1,0.0,358.4,439.4,198.7,312.8,181.5,228.3,482.8,148.4,334.5,426.4,48.9,124.0,280.4,254.5,389.7,362.6,276.6,304.8,447.9,240.3,209.5,327.6,516.7,221.0,365.6,238.6,201.9,234.7,508.2,222.7,237.1,299.9,107.9,302.1,224.1,245.3,191.3,219.4,187.2,386.3,343.1,164.7,195.7,280.8,393.2,273.4,374.1,246.8,88.9,303.2,437.0,291.5,181.7,342.1,556.7,260.8,401.5,177.0,319.1,248.2,200.8,237.8
NI,3.4,369.9,113.8,509.9,466.7,331.2,482.7,266.7,504.9,293.1,161.7,163.6,473.0,83.1,294.2,517.7,500.6,510.4,497.6,227.7,59.9,536.1,95.0,484.8,282.5,189.1,2099.0,95.3,556.4,465.2,460.8,98.8,215.2,201.4,96.7,250.2,114.3,197.0,504.6,486.4,520.8,481.6,172.7,467.9,497.9,528.2,519.5,559.9,413.5,505.3,248.5,152.1,437.2,578.0,595.6,198.5,229.0,188.8,573.7,493.7,479.5,241.2,49.0,324.5,0.0,171.9,467.0,171.8,276.6,496.6,124.3,416.7,163.9,67.9,373.5,325.0,546.9,189.8,32.9,630.8,544.9,571.3,89.4,499.0,477.8,111.6,164.9,488.8,112.8,506.9,226.8,501.2,149.7,491.0,506.9,568.2,307.1,151.5,490.9,330.8,457.8,487.7,455.5,106.7,210.5,433.0,464.0,182.5,35.1,177.7,101.3,513.3,253.6,203.0,80.2,559.8,307.9,209.5,198.2,529.1,90.4,445.3,585.6,516.5,239.1,524.8
NL,203.2,458.7,80.0,553.7,557.3,416.6,553.5,271.4,593.7,381.9,270.4,168.2,563.6,205.1,365.0,606.5,589.4,599.2,586.4,232.4,163.9,624.9,227.4,558.0,373.1,311.1,2169.8,202.2,584.3,554.0,549.6,251.8,337.2,290.2,187.0,340.8,221.2,285.8,593.4,575.2,609.6,572.2,261.5,555.4,586.7,618.8,608.3,648.7,504.1,594.1,337.3,155.1,526.0,668.6,684.4,305.4,312.2,193.5,662.5,584.3,565.2,330.0,254.2,413.3,208.6,0.0,555.8,213.7,347.4,585.4,246.3,505.5,303.3,160.5,462.3,413.8,637.5,278.6,175.8,719.6,595.0,661.9,211.4,589.6,564.7,116.3,268.9,577.6,99.5,558.5,315.6,591.8,271.7,579.8,594.2,657.0,397.7,156.2,579.7,419.6,548.4,576.5,544.3,138.2,215.2,521.8,552.8,187.2,242.0,231.1,80.0,603.9,342.4,207.7,244.8,648.6,396.7,214.2,320.2,617.9,153.4,534.1,676.2,605.3,327.9,594.9
OG,506.2,260.3,512.9,208.4,165.2,195.9,281.7,491.3,211.6,230.8,644.8,387.7,171.5,579.5,365.0,214.4,197.3,207.1,194.3,486.6,538.3,214.8,601.8,19.5,193.6,640.9,2262.8,576.6,253.1,143.9,104.2,601.2,667.0,290.8,561.4,229.9,595.6,426.2,185.1,183.1,199.5,78.0,401.9,75.3,176.6,226.7,216.2,256.6,51.6,184.0,341.0,498.0,133.9,258.5,293.4,679.8,368.9,413.4,271.5,174.2,85.1,338.5,551.4,214.9,502.7,565.7,0.0,439.1,347.4,175.3,635.1,105.4,452.5,534.9,263.9,262.7,227.4,419.0,534.0,309.6,241.6,251.8,585.8,187.3,68.4,453.9,636.6,186.0,491.9,203.6,340.6,199.7,601.5,187.7,202.1,246.9,256.0,428.4,171.1,384.0,138.3,184.4,61.1,512.6,469.4,23.9,160.7,407.1,537.5,400.1,500.4,211.8,227.6,429.5,581.3,244.3,320.4,468.4,650.0,207.8,527.8,65.9,266.1,195.2,339.5,202.8
OJ,170.9,345.7,182.9,429.1,444.3,301.3,432.3,161.3,480.7,268.9,330.6,76.5,450.6,250.6,240.4,493.5,476.4,486.2,473.4,156.6,227.4,511.9,262.1,462.4,260.1,356.6,2045.2,262.4,459.7,441.0,436.6,265.9,382.7,177.2,250.5,227.8,281.4,172.8,480.4,462.2,496.6,459.2,148.5,445.5,473.7,505.8,495.3,535.7,391.1,481.1,224.3,168.0,413.0,555.6,571.4,365.6,204.8,81.5,549.5,471.3,455.3,217.0,216.1,300.3,165.7,241.0,442.8,0.0,222.8,472.4,291.8,392.5,125.5,235.4,349.3,300.8,524.5,165.6,198.7,606.6,470.4,548.9,256.9,476.6,453.6,123.9,332.4,464.6,161.9,433.9,202.6,478.8,317.2,466.8,481.2,544.0,294.1,98.4,466.7,306.6,435.4,463.5,431.3,182.6,139.4,408.8,439.8,77.1,202.2,106.5,170.4,490.9,229.4,97.6,246.0,535.6,283.7,138.4,365.7,504.9,257.9,421.1,563.2,492.3,214.9,481.9
OQ,305.1,242.7,311.8,428.9,385.7,224.7,382.2,290.2,432.1,277.6,443.7,186.6,392.0,378.4,17.5,434.9,417.8,427.6,414.8,285.5,337.2,453.3,400.7,403.8,240.4,439.8,2061.7,375.5,473.6,382.4,378.0,400.1,465.9,229.5,360.3,280.1,394.5,225.1,423.6,403.6,438.0,400.6,200.8,386.9,415.1,447.2,436.7,477.1,332.5,422.5,276.6,296.9,354.4,497.0,512.8,478.7,251.5,212.3,490.9,412.7,396.7,77.6,350.3,185.4,301.6,364.6,384.2,238.0,0.0,413.8,434.0,333.9,251.4,333.8,153.6,309.5,465.9,217.9,332.9,548.1,462.1,490.3,384.7,425.8,395.0,252.8,435.5,406.5,290.8,424.1,254.9,420.2,400.4,408.2,422.6,485.4,293.4,227.3,409.6,358.9,376.8,404.9,372.7,311.5,268.3,350.2,381.2,206.0,336.4,199.0,299.3,432.3,281.7,228.4,380.2,477.0,336.0,267.3,448.9,446.3,326.7,362.5,504.6,433.7,267.2,423.3
OS,512.8,272.5,537.5,240.6,197.4,208.1,313.9,515.9,243.8,243.0,672.5,412.3,203.7,592.5,390.4,246.6,229.5,239.3,226.5,511.2,569.3,186.5,604.0,197.5,205.8,698.5,2298.3,604.3,285.3,20.4,171.7,607.8,724.6,303.0,592.4,242.1,623.3,338.4,156.8,215.3,153.2,221.5,388.3,180.6,130.3,258.9,248.4,272.2,126.2,34.0,353.2,522.6,166.1,230.2,265.1,707.5,381.1,438.0,243.2,127.9,190.4,443.8,558.0,227.1,509.3,590.3,177.9,463.7,408.7,0.0,633.7,177.7,485.4,577.3,276.1,274.9,199.1,405.4,540.6,281.3,273.8,223.5,598.8,159.0,211.9,478.5,667.6,218.2,516.5,235.8,352.8,271.4,659.1,219.9,234.3,218.6,258.8,453.0,21.1,396.2,92.0,216.6,166.4,537.2,494.0,143.9,192.9,431.7,544.1,424.3,525.0,260.8,239.8,454.1,587.9,216.0,332.6,493.0,707.6,179.5,552.4,159.5,237.8,166.9,351.7,235.0
PL,111.1,484.7,163.7,626.5,583.3,440.3,600.9,316.6,629.7,407.9,196.3,213.4,589.6,61.8,409.0,632.5,615.4,625.2,612.4,276.1,89.8,650.9,153.3,601.4,399.1,120.6,2201.8,128.1,671.2,580.0,575.6,177.7,146.7,316.2,112.9,366.8,147.1,311.8,621.2,601.2,635.6,598.2,287.5,584.5,612.7,644.8,634.3,674.7,530.1,620.1,363.3,200.3,552.0,694.6,710.4,231.3,338.2,238.7,688.5,610.3,594.3,356.0,163.8,439.3,114.7,216.5,581.8,258.9,391.4,611.4,0.0,531.5,278.7,117.8,488.3,439.8,663.5,304.6,83.7,745.7,659.7,687.9,75.5,623.4,592.6,161.5,188.1,604.1,162.7,621.7,341.6,617.8,81.2,605.8,620.2,683.0,433.1,201.4,607.2,445.6,574.4,602.5,570.3,156.6,258.9,547.8,578.8,232.4,149.9,276.3,151.2,629.9,368.4,254.8,152.7,674.6,422.7,257.9,129.7,643.9,140.3,560.1,702.2,631.3,353.9,620.9
PV,438.8,198.5,463.5,178.7,135.5,134.1,252.0,441.9,181.9,169.0,598.5,338.3,141.8,518.5,316.4,184.7,167.6,177.4,164.6,437.2,495.3,203.1,530.0,130.2,131.8,624.5,2257.0,530.3,223.4,132.2,127.8,533.8,650.6,229.0,518.4,168.1,549.3,264.4,173.4,153.4,187.8,108.6,314.3,136.7,164.9,197.0,186.5,226.9,82.3,172.3,279.2,448.6,104.2,246.8,262.6,633.5,307.1,364.0,240.7,162.5,146.5,362.7,484.0,153.1,435.3,516.3,110.6,389.7,334.7,163.6,559.7,0.0,411.4,503.3,202.1,200.9,215.7,331.4,466.6,297.9,211.9,240.1,524.8,175.6,103.0,404.5,593.6,156.3,442.5,173.9,278.8,170.0,585.1,158.0,172.4,235.2,184.8,379.0,159.4,322.2,126.6,154.7,122.5,463.2,420.0,100.0,131.0,357.7,470.1,350.3,451.0,182.1,165.8,380.1,513.9,226.8,258.6,419.0,633.6,196.1,478.4,70.5,254.4,183.5,277.7,173.1
PW,177.2,335.8,287.6,477.6,434.4,291.4,452.0,236.6,480.8,259.0,336.9,133.0,440.7,256.9,260.1,483.6,466.5,476.3,463.5,231.9,233.7,502.0,268.4,452.5,250.2,362.9,2064.9,268.7,522.3,431.1,426.7,272.2,389.0,167.3,256.8,217.9,287.7,162.9,472.3,452.3,486.7,449.3,138.6,435.6,463.8,495.9,485.4,525.8,381.2,471.2,214.4,243.3,403.1,545.7,561.5,371.9,189.3,158.7,539.6,461.4,445.4,207.1,222.4,290.4,173.7,340.4,432.9,121.5,242.5,462.5,298.1,382.6,0.0,241.7,339.4,290.9,514.6,155.7,205.0,596.8,510.8,539.0,263.2,474.5,443.7,199.2,332.0,455.2,286.6,472.8,192.7,468.9,323.5,456.9,471.3,534.1,274.8,173.7,458.3,296.7,425.5,453.6,421.4,280.5,214.7,398.9,429.9,152.4,208.5,145.4,275.1,481.0,219.5,174.8,252.3,525.7,273.8,213.7,372.0,495.0,264.2,411.2,553.3,482.4,205.0,472.0
QE,88.3,411.7,71.5,506.7,510.3,367.3,509.9,224.4,556.7,334.9,155.5,121.2,516.6,90.2,318.0,559.5,542.4,552.2,539.4,185.4,49.0,577.9,112.5,511.0,326.1,196.2,2122.8,87.3,537.3,507.0,502.6,136.9,222.3,243.2,72.1,293.8,106.3,238.8,548.2,528.2,562.6,525.2,214.5,508.4,539.7,571.8,561.3,601.7,457.1,547.1,290.3,108.1,479.0,621.6,637.4,190.5,265.2,146.5,615.5,537.3,518.2,283.0,139.3,366.3,91.9,124.3,508.8,166.7,300.4,538.4,131.4,458.5,256.3,0.0,415.3,366.8,590.5,231.6,60.9,672.7,548.0,614.9,96.5,550.4,517.7,69.3,147.3,531.1,70.5,511.5,268.6,544.8,156.8,532.8,547.2,610.0,360.1,109.2,534.2,372.6,501.4,529.5,497.3,64.4,168.2,474.8,505.8,140.2,127.1,184.1,59.0,556.9,295.4,162.6,129.9,601.6,349.7,167.2,205.3,570.9,48.1,487.1,629.2,558.3,280.9,547.9
QJ,410.1,105.4,480.8,291.6,248.4,87.4,364.9,459.2,294.8,140.3,569.8,355.6,254.7,489.8,150.6,297.6,280.5,290.3,277.5,454.5,466.6,316.0,501.3,266.5,103.1,608.8,2230.7,501.6,336.3,245.1,240.7,505.1,634.9,200.3,489.7,139.4,520.6,235.7,286.3,266.3,300.7,263.3,285.6,249.6,277.8,309.9,299.4,339.8,195.2,285.2,250.5,465.9,217.1,359.7,375.5,604.8,278.4,381.3,353.6,275.4,259.4,246.6,455.3,48.1,406.6,533.6,246.9,407.0,168.9,276.5,531.0,196.6,382.7,474.6,0.0,172.2,328.6,302.7,437.9,410.8,324.8,353.0,496.1,288.5,257.7,421.8,564.9,269.2,459.8,286.8,250.1,282.9,569.4,270.9,285.3,348.1,156.1,396.3,272.3,293.5,239.5,267.6,235.4,480.5,437.3,212.9,243.9,375.0,441.4,368.0,468.3,295.0,137.1,397.4,485.2,339.7,229.9,436.3,617.9,309.0,495.7,225.2,367.3,296.4,249.0,286.0
QP,358.4,145.4,383.1,287.2,244.0,101.0,360.5,361.5,290.4,33.9,518.1,257.9,250.3,438.1,263.3,293.2,276.1,285.9,273.1,356.8,414.9,311.6,449.6,262.1,59.8,544.1,2188.9,449.9,331.9,240.7,236.3,453.4,570.2,148.6,438.0,87.7,468.9,184.0,281.9,261.9,296.3,258.9,233.9,245.2,273.4,305.5,295.0,335.4,190.8,280.8,198.8,368.2,212.7,355.3,371.1,553.1,226.7,283.6,349.2,271.0,255.0,282.2,403.6,100.0,354.9,435.9,242.5,309.3,281.6,272.1,479.3,192.2,331.0,422.9,149.0,0.0,324.2,251.0,386.2,406.4,320.4,348.6,444.4,284.1,253.3,324.1,513.2,264.8,362.1,282.4,198.4,278.5,504.7,266.5,280.9,343.7,8.5,298.6,267.9,241.8,235.1,263.2,231.0,382.8,339.6,208.5,239.5,277.3,389.7,269.9,370.6,290.6,85.4,299.7,433.5,335.3,178.2,338.6,553.2,304.6,398.0,220.8,362.9,292.0,197.3,281.6
QY,614.0,373.7,638.7,252.5,186.8,309.3,322.4,617.1,220.1,344.2,773.7,513.5,190.0,693.7,491.6,232.9,215.8,225.6,238.4,612.4,670.5,104.4,705.2,280.8,307.0,799.7,2263.6,705.5,297.2,275.3,282.3,709.0,825.8,404.2,693.6,343.3,724.5,439.6,210.3,138.2,254.1,304.8,489.5,263.9,231.6,245.2,234.7,88.7,209.5,315.4,454.4,623.8,215.7,148.1,87.0,808.7,482.3,537.3,65.1,229.2,273.7,537.9,659.2,328.3,608.8,696.8,261.2,564.9,509.9,306.7,734.9,278.9,586.6,678.5,377.3,376.1,0.0,506.6,641.8,82.1,285.7,141.4,700.0,206.5,295.2,579.7,768.8,204.0,617.7,247.7,454.0,93.3,760.3,250.0,246.2,40.5,360.0,554.2,301.0,497.4,193.3,202.9,249.7,638.4,595.2,227.2,179.2,532.9,645.3,525.5,626.2,82.7,341.0,553.4,689.1,37.9,433.8,594.2,808.8,234.8,653.6,242.8,59.7,110.1,452.9,240.0
