from_stop,AA,AH,AK,AM,AO,AS,AU,BH,BT,BW,BZ,CB,CC,CI,CU,CY,CZ,DA,DB,DG,DH,DI,DK,DY,EC,EF,EJ,EL,ET,EX,EZ,FB,FI,FL,FM,FR,FU,FV,GA,GK,GL,GM,GO,GQ,GS,GX,GZ,HC,HU,HV,IC,IF,IH,II,IQ,IR,IS,IU,IV,JB,JF,JH,JN,JP,JU,KC,KE,KG,KR,KS,KU,KY,LE,LG,LP,LR,LS,LT,MG,MJ,MM,MP,NF,NL,NT,NX,OC,OE,OF,OH,OQ,PJ,PL,PP,PQ,PW,PX,QA,QN,QP,QR,QT,QW,QZ,RL,RN,RU,SH,SL,SM,SP,SR,SY,SZ,TB,TI,TN,TS,TU,TX,TY,TZ,UE,UG,UI,UU,VJ,VP,VV,VW,VX,WJ,WK,WL,WT,XB,XC,XG,XR,XV,XX,YD,YG,YM,YN,YS,YW,ZC,ZD,ZM,ZX
GO,572.8,551.7,290.8,191.4,146.2,231.1,223.3,221.8,157.7,847.5,214.1,658.1,783.2,572.2,229.8,842.1,201.6,236.2,614.2,144.3,235.3,257.8,131.8,334.5,347.8,255.8,116.2,586.3,577.1,773.9,857.5,368.1,251.4,286.8,236.4,127.6,160.0,2286.1,146.3,801.2,288.4,178.9,0.0,467.1,458.6,788.0,225.2,809.6,218.2,190.9,152.0,195.0,275.4,599.5,574.7,582.2,806.4,167.8,152.6,811.0,219.3,97.4,582.8,1.3,204.2,569.0,339.6,201.3,151.6,583.7,269.5,899.4,318.0,87.2,318.1,119.5,254.4,154.6,615.8,209.7,257.4,809.3,220.7,151.6,253.9,251.1,839.1,857.4,652.2,100.4,97.8,241.7,792.9,629.6,828.4,35.8,885.0,178.7,187.9,542.6,326.1,572.1,819.9,258.6,807.3,91.7,78.8,233.0,56.6,204.3,295.9,452.7,539.6,609.2,159.3,506.1,146.8,227.0,168.4,741.5,207.5,572.3,44.2,282.1,269.9,256.0,108.8,535.2,260.5,321.8,273.7,22.7,126.9,175.5,268.1,308.2,134.8,187.1,443.7,241.5,321.3,132.7,432.6,841.1,28.2,858.4,494.5,634.1,597.9,277.0,76.6
GQ,77.0,158.6,596.8,640.1,511.4,438.5,459.6,670.5,474.9,403.0,411.9,265.0,338.7,176.7,459.9,397.6,368.8,504.3,221.1,501.2,369.8,461.9,497.0,640.5,653.8,561.8,396.4,193.2,181.6,401.8,485.4,674.1,557.4,698.4,443.8,492.8,550.9,2247.1,404.2,429.1,310.2,459.8,459.4,0.0,8.4,343.5,432.6,437.5,346.6,420.8,552.7,362.2,325.4,206.4,179.2,189.1,361.9,616.5,565.3,366.5,403.8,526.5,189.7,460.8,472.3,175.9,645.6,431.2,481.0,188.2,291.3,454.9,368.0,522.7,624.1,484.7,560.4,519.8,222.7,413.8,385.8,437.2,669.4,349.4,388.4,450.4,467.0,412.9,259.1,529.5,526.9,370.1,420.8,234.1,383.9,472.2,440.5,371.8,476.8,147.1,347.9,176.6,375.4,356.4,362.8,520.8,515.2,539.0,493.0,653.0,267.3,63.2,72.4,213.7,561.8,38.9,344.6,533.0,457.3,369.4,406.8,179.2,423.3,693.7,575.9,704.7,537.9,68.0,395.0,371.8,245.1,444.8,492.1,429.1,574.1,317.4,563.9,468.0,48.2,509.6,330.5,602.2,37.1,396.6,439.3,413.9,27.3,241.0,204.8,476.3,512.1
GS,85.5,167.1,588.3,631.6,502.9,430.0,451.1,662.0,466.4,411.5,403.4,273.5,347.2,168.2,451.4,406.1,360.3,495.8,229.6,492.7,361.3,453.4,488.5,632.0,645.3,553.3,387.9,201.7,173.1,369.9,453.5,665.6,548.9,689.9,435.3,484.3,542.4,2238.6,395.7,397.2,301.7,451.3,450.9,8.4,0.0,352.0,424.1,405.6,338.1,412.3,544.2,353.7,316.9,214.9,170.7,197.6,370.4,608.0,556.8,375.0,395.3,518.0,198.2,452.3,463.8,184.4,637.1,422.7,472.5,179.7,282.8,463.4,359.5,514.2,615.6,476.2,551.9,511.3,231.2,405.3,377.3,405.3,660.9,340.9,379.9,441.9,435.1,421.4,267.6,521.0,518.4,361.6,388.9,225.6,392.4,463.7,449.0,363.3,468.3,138.6,339.4,168.1,383.9,347.9,371.3,512.3,506.7,530.5,484.5,644.5,258.8,54.7,80.9,205.2,553.3,47.4,336.1,524.5,448.8,337.5,398.3,187.7,414.8,685.2,567.4,696.2,529.4,76.5,386.5,363.3,236.6,436.3,483.6,420.6,565.6,308.9,555.4,459.5,39.7,501.1,322.0,593.7,28.6,405.1,430.8,422.4,35.8,249.5,213.3,467.8,503.6
GX,349.0,258.1,940.1,983.4,854.7,781.8,802.9,1013.8,818.2,125.4,755.2,287.1,4.8,328.4,803.2,120.0,712.1,847.6,207.7,844.5,713.1,805.2,840.3,983.8,997.1,905.1,739.7,292.7,302.9,159.6,196.8,1017.4,900.7,1041.7,787.1,836.1,894.2,2450.0,747.5,132.2,653.5,803.1,802.7,346.1,337.6,0.0,775.9,154.5,689.9,764.1,896.0,705.5,668.7,222.6,288.4,288.6,24.2,959.8,908.6,88.9,747.1,869.8,289.2,804.1,815.6,255.4,988.9,774.5,824.3,287.6,634.6,111.3,711.3,866.0,967.4,828.0,903.7,863.1,259.0,757.1,729.1,148.6,1012.7,692.7,731.7,793.7,178.4,135.3,245.7,872.8,870.2,713.4,140.5,385.8,106.3,815.5,156.8,715.1,820.1,298.8,691.2,294.6,37.7,699.7,85.2,864.1,858.5,882.3,836.3,996.3,610.6,357.7,394.7,334.7,905.1,397.0,687.9,876.3,800.6,182.6,750.1,258.7,766.6,1037.0,919.2,1048.0,881.2,333.7,738.3,715.1,588.4,788.1,835.4,772.4,917.4,660.7,907.2,811.3,308.5,852.9,673.8,945.5,318.9,53.0,782.6,89.8,345.3,227.6,241.1,819.6,855.4
GZ,531.4,510.3,376.7,288.5,249.0,5.9,56.4,318.9,151.8,806.1,293.0,616.7,741.8,530.8,85.2,800.7,80.9,138.9,572.8,281.1,163.9,241.8,234.6,420.4,433.7,341.7,92.3,544.9,535.7,732.5,816.1,454.0,337.3,383.9,11.2,230.4,262.8,2322.8,56.1,759.8,387.8,239.7,197.0,425.7,417.2,746.6,0.0,768.2,97.5,218.3,254.8,74.3,154.7,558.1,533.3,540.8,765.0,264.9,267.4,769.6,115.6,253.4,541.4,198.4,110.8,527.6,425.5,228.7,145.7,542.3,368.9,858.0,197.3,269.6,404.0,222.3,340.3,257.4,574.4,125.6,136.7,767.9,317.8,230.4,184.6,230.3,797.7,816.0,610.8,256.4,253.8,121.0,751.5,588.2,787.0,209.8,843.6,58.0,124.6,501.2,425.5,530.7,778.5,226.5,765.9,247.7,252.8,318.9,240.9,301.4,344.9,411.3,498.2,567.8,262.1,464.7,225.6,312.9,104.0,700.1,186.7,530.9,160.9,379.2,355.8,353.1,264.8,493.8,191.2,201.1,322.7,182.4,229.7,81.0,354.0,187.5,290.8,247.9,402.3,144.2,200.6,288.7,391.2,799.7,176.9,817.0,453.1,592.7,556.5,256.2,259.0
HC,349.2,333.8,940.3,983.6,854.9,782.0,803.1,1014.0,818.4,221.1,755.4,362.8,138.8,344.4,803.4,215.7,712.3,847.8,283.4,844.7,713.3,805.4,840.5,984.0,997.3,905.3,739.9,368.4,349.3,24.3,87.1,1017.6,900.9,1041.9,787.3,836.3,894.4,2450.2,747.7,30.8,653.7,803.3,802.9,372.9,381.4,143.6,776.1,0.0,690.1,764.3,896.2,705.7,668.9,298.3,346.9,364.3,162.0,960.0,908.8,184.6,747.3,870.0,364.9,804.3,815.8,331.1,989.1,774.7,824.5,363.3,634.8,255.0,711.5,866.2,967.6,828.2,903.9,863.3,334.7,757.3,729.3,38.9,1012.9,692.9,731.9,793.9,68.7,231.0,321.4,873.0,870.4,713.6,22.5,401.8,202.0,815.7,258.6,715.3,820.3,314.8,691.4,344.3,175.5,699.9,180.9,864.3,858.7,882.5,836.5,996.5,610.8,408.9,394.9,381.4,905.3,397.2,688.1,876.5,800.8,47.3,750.3,334.4,766.8,1037.2,919.4,1048.2,881.4,333.9,738.5,715.3,588.6,788.3,835.6,772.6,917.6,660.9,907.4,811.5,359.7,853.1,674.0,945.7,370.1,196.7,782.8,232.0,345.5,303.3,316.8,819.8,855.6
HU,458.1,437.0,303.4,320.4,254.7,96.1,88.3,350.8,183.7,732.8,219.7,543.4,668.5,457.5,117.1,727.4,26.4,170.8,496.6,207.8,96.4,168.5,240.3,347.1,360.4,268.4,98.0,471.6,462.4,659.2,742.8,380.7,264.0,415.8,101.4,236.1,257.5,2328.5,61.8,686.5,314.5,166.4,202.7,352.4,343.9,673.3,90.2,694.9,0.0,145.0,259.3,19.8,81.4,484.8,460.0,467.5,691.7,296.8,271.9,696.3,147.5,285.3,468.1,212.8,142.7,454.3,352.2,155.4,177.6,467.8,295.6,784.7,124.0,266.0,330.7,228.0,267.0,263.1,501.1,157.5,39.1,694.6,349.7,157.1,115.0,150.2,724.4,742.7,537.5,288.3,285.7,23.4,678.2,520.0,713.7,215.5,770.3,29.4,156.5,427.9,352.2,457.4,705.2,153.2,692.6,279.6,258.5,245.6,233.4,333.3,271.6,338.0,424.9,494.5,267.8,391.4,152.3,239.6,135.9,626.8,113.4,457.6,166.6,411.1,282.5,385.0,296.7,420.5,121.6,127.8,249.4,188.1,235.4,86.7,280.7,114.2,322.7,174.6,329.0,176.1,127.3,320.6,317.9,726.4,182.6,743.7,379.8,519.4,483.2,182.9,255.4
HV,518.7,497.6,273.0,283.3,251.7,236.5,228.7,341.8,171.8,793.4,189.3,604.0,729.1,518.1,229.1,788.0,207.0,250.3,560.1,177.4,139.0,99.1,262.9,316.7,330.0,238.0,121.6,532.2,523.0,719.8,803.4,350.3,233.6,374.6,241.8,253.1,227.1,2310.4,151.7,747.1,263.5,136.0,184.6,413.0,404.5,733.9,230.6,755.5,133.8,0.0,228.9,200.4,142.0,545.4,520.6,528.1,752.3,259.7,241.5,756.9,173.0,270.0,528.7,186.0,218.3,514.9,321.8,10.3,165.7,529.6,244.6,845.3,184.6,247.9,300.3,218.2,236.6,245.0,561.7,183.0,173.0,755.2,335.9,126.7,157.6,111.4,785.0,803.3,598.1,267.0,295.9,157.3,738.8,575.5,774.3,197.4,830.9,184.1,202.0,488.5,301.2,518.0,765.8,162.3,753.2,274.7,240.4,215.2,218.2,296.2,332.2,398.6,485.5,555.1,238.0,452.0,121.9,209.2,182.5,687.4,111.2,518.2,148.5,369.9,252.1,365.6,306.9,481.1,164.2,188.4,310.0,170.0,217.3,180.9,250.3,174.8,307.9,144.2,389.6,255.6,185.9,278.4,378.5,787.0,164.5,804.3,440.4,580.0,543.8,137.3,237.3
IC,633.6,612.5,177.6,242.3,81.6,260.0,252.2,246.4,208.6,908.3,205.7,718.9,844.0,633.0,280.7,902.9,230.5,287.1,675.0,31.1,253.9,276.4,92.8,221.3,234.6,142.6,145.1,647.1,637.9,834.7,918.3,254.9,138.2,279.2,265.3,83.0,8.0,2315.0,175.2,862.0,317.3,152.4,143.1,527.9,519.4,848.8,254.1,870.4,247.1,209.5,0.0,223.9,256.9,660.3,635.5,643.0,867.2,218.7,49.0,871.8,270.2,77.5,643.6,144.5,255.1,629.8,226.4,219.9,202.5,644.5,298.4,960.2,299.5,147.2,204.9,48.1,141.2,136.5,676.6,260.6,286.3,870.1,240.5,180.5,272.5,269.7,899.9,918.2,713.0,74.5,103.4,270.6,853.7,690.4,889.2,141.2,945.8,207.6,238.8,603.4,355.0,632.9,880.7,277.2,868.1,82.2,184.2,119.8,118.5,285.0,324.8,513.5,600.4,670.0,67.9,566.9,175.7,113.8,219.3,802.3,226.1,633.1,107.0,274.5,156.7,270.2,114.4,596.0,279.1,303.3,302.6,128.5,111.9,204.4,154.9,289.7,115.4,160.6,504.5,292.4,300.8,85.9,493.4,901.9,123.0,919.2,555.3,694.9,658.7,295.6,136.6
IF,449.4,431.9,298.3,316.5,277.0,92.2,84.4,346.9,179.8,720.6,214.6,538.3,663.4,452.4,113.2,722.3,6.5,158.7,488.2,202.7,91.3,163.4,236.4,342.0,355.3,256.2,94.1,466.5,457.3,654.1,737.7,375.6,258.9,392.8,89.3,232.2,250.8,2299.6,57.9,681.4,313.2,161.3,198.8,347.3,338.8,668.2,86.3,689.8,19.1,139.9,254.2,0.0,76.3,482.2,454.9,462.4,686.6,292.9,266.8,691.2,135.4,295.3,463.0,208.9,138.8,449.2,347.1,150.3,173.7,458.7,290.5,779.6,118.9,262.1,325.6,243.5,264.0,259.2,496.0,153.6,58.3,689.5,345.8,152.0,109.9,145.1,719.3,737.6,532.4,292.3,281.8,42.6,673.1,514.9,708.6,211.6,765.2,25.5,152.6,422.8,347.1,452.3,700.1,148.1,687.5,275.7,246.4,241.1,229.5,329.4,266.5,332.9,419.8,489.4,263.3,386.3,147.2,234.5,132.0,621.7,108.3,449.0,162.7,395.2,277.4,390.9,292.8,415.4,116.5,122.7,244.3,184.2,231.5,82.8,275.6,109.1,333.2,169.5,323.9,172.2,122.2,303.7,312.8,721.3,178.7,738.6,374.7,514.3,478.1,177.8,251.5
IH,432.2,411.1,387.4,390.2,366.1,188.6,209.7,456.2,225.0,706.9,303.7,517.5,642.6,431.6,210.0,701.5,118.9,254.4,473.6,291.8,119.9,182.5,377.3,431.1,444.4,352.4,236.0,445.7,436.5,633.3,716.9,464.7,348.0,489.0,193.9,367.5,341.5,2278.8,154.3,660.6,288.6,250.4,299.0,326.5,318.0,647.4,182.7,669.0,96.7,229.0,343.3,112.3,0.0,458.9,434.1,441.6,665.8,366.6,355.9,670.4,153.9,384.4,442.2,300.4,222.4,428.4,436.2,239.4,231.1,443.1,269.7,758.8,42.5,362.3,414.7,332.6,351.0,359.4,475.2,163.9,135.9,668.7,450.3,241.1,138.5,171.0,698.5,716.8,511.6,381.4,410.3,120.2,652.3,489.0,687.8,311.8,744.4,121.9,316.4,402.0,326.3,431.5,679.3,72.1,666.7,389.1,354.8,329.6,332.6,403.1,245.7,312.1,399.0,468.6,352.4,365.5,236.3,323.6,296.9,600.9,127.4,431.7,262.9,484.3,366.5,480.0,421.3,394.6,145.1,46.3,223.5,284.4,331.7,179.2,364.7,88.3,422.3,258.6,303.1,259.7,101.4,392.8,292.0,700.5,278.9,717.8,353.9,493.5,457.3,196.9,351.7
II,237.8,116.0,749.2,792.5,663.8,590.9,612.0,822.9,627.3,289.1,564.3,64.4,227.3,149.7,612.3,283.7,521.2,656.7,21.0,653.6,522.2,614.3,649.4,792.9,806.2,714.2,548.8,150.6,88.9,300.6,381.0,826.5,709.8,850.8,596.2,645.2,701.7,2399.5,556.6,316.4,466.4,612.2,611.8,204.0,195.5,232.1,585.0,336.3,499.0,573.2,705.1,506.8,477.8,0.0,128.2,146.5,250.5,768.9,717.7,255.1,556.2,678.9,147.1,621.9,624.7,113.3,798.0,583.6,633.4,132.6,443.7,343.5,520.4,675.1,776.5,637.1,714.9,672.2,72.3,566.2,538.2,332.8,821.8,504.3,540.8,596.0,362.6,301.5,52.7,681.9,679.3,522.5,319.6,166.7,272.5,624.6,329.1,524.2,629.2,156.7,500.3,152.5,264.0,508.8,251.4,673.2,667.6,692.0,642.5,805.4,419.7,215.6,276.5,120.7,714.2,243.0,497.0,685.4,609.7,268.2,559.2,113.1,578.2,848.6,728.3,857.1,690.3,224.8,547.4,524.2,397.5,597.2,644.5,584.0,726.5,472.3,716.3,620.4,166.4,662.0,482.9,754.6,176.8,282.7,591.7,300.0,233.9,70.2,54.4,628.7,664.5
IQ,146.4,107.7,742.0,785.3,656.6,583.7,604.8,815.7,620.1,393.6,557.1,140.8,329.3,58.3,605.1,388.2,514.0,649.5,153.1,646.4,515.0,607.1,642.2,785.7,799.0,707.0,541.6,142.3,41.8,320.0,403.6,819.3,702.6,843.6,589.0,638.0,696.1,2392.3,549.4,347.3,459.2,605.0,604.6,172.4,180.9,334.1,577.8,355.7,491.8,566.0,697.9,507.4,470.6,138.2,0.0,138.2,352.5,761.7,710.5,357.1,549.0,671.7,138.8,608.8,617.5,81.4,790.8,576.4,626.2,16.2,436.5,445.5,513.2,667.9,769.3,629.9,705.6,665.0,184.7,559.0,531.0,355.4,814.6,494.6,533.6,595.6,385.2,403.5,191.0,674.7,672.1,515.3,339.0,115.7,374.5,617.4,431.1,517.0,622.0,46.1,493.1,58.5,366.0,501.6,353.4,666.0,660.4,684.8,635.3,798.2,412.5,208.4,194.4,73.9,707.0,196.7,489.8,678.2,602.5,287.6,552.0,43.1,568.5,838.9,721.1,849.9,683.1,133.4,540.2,517.0,390.3,590.0,637.3,574.3,719.3,462.6,709.1,613.2,159.2,654.8,475.7,747.4,169.6,387.2,584.5,404.5,145.0,208.5,166.8,621.5,657.3
IR,260.4,41.9,760.1,803.4,674.7,601.8,622.9,833.8,638.2,351.3,575.2,223.0,287.0,197.6,623.2,345.9,532.1,667.6,169.4,664.5,533.1,625.2,660.3,803.8,817.1,725.1,559.7,32.7,153.7,398.9,440.7,837.4,720.7,861.7,607.1,656.1,714.2,2410.4,567.5,376.1,473.5,623.1,622.7,214.9,206.4,291.8,595.9,434.6,509.9,584.1,716.0,525.5,488.7,154.7,139.2,0.0,310.2,779.8,728.6,314.8,567.1,689.8,29.2,624.1,635.6,106.2,808.9,594.5,644.3,138.4,454.6,403.2,531.3,686.0,787.4,648.0,723.7,683.1,171.0,577.1,549.1,392.5,832.7,512.7,551.7,613.7,422.3,361.2,207.4,692.8,690.2,533.4,417.9,236.6,332.2,635.5,388.8,535.1,640.1,169.5,511.2,145.4,323.7,519.7,311.1,684.1,678.5,702.3,656.3,816.3,430.6,226.5,287.4,185.5,725.1,253.9,507.9,696.3,620.6,366.5,570.1,109.5,586.6,857.0,739.2,868.0,701.2,230.3,558.3,535.1,408.4,608.1,655.4,592.4,737.4,480.7,727.2,631.3,177.3,672.9,493.8,765.5,187.7,344.9,602.6,362.2,242.3,189.3,153.1,639.6,675.4
IS,342.4,251.5,933.5,976.8,848.1,775.2,796.3,1007.2,811.6,118.8,748.6,280.5,14.4,321.8,796.6,113.4,705.5,841.0,201.1,837.9,706.5,798.6,833.7,977.2,990.5,898.5,733.1,286.1,296.3,153.0,190.2,1010.8,894.1,1035.1,780.5,829.5,887.6,2443.4,740.9,125.6,646.9,796.5,796.1,339.5,331.0,19.2,769.3,147.9,683.3,757.5,889.4,698.9,662.1,216.0,281.8,282.0,0.0,953.2,902.0,82.3,740.5,863.2,282.6,797.5,809.0,248.8,982.3,767.9,817.7,281.0,628.0,130.6,704.7,859.4,960.8,821.4,897.1,856.5,252.4,750.5,722.5,142.0,1006.1,686.1,725.1,787.1,171.8,128.7,239.1,866.2,863.6,706.8,133.9,379.2,99.7,808.9,156.3,708.5,813.5,292.2,684.6,288.0,13.5,693.1,78.6,857.5,851.9,875.7,829.7,989.7,604.0,351.1,388.1,328.1,898.5,390.4,681.3,869.7,794.0,176.0,743.5,252.1,760.0,1030.4,912.6,1041.4,874.6,327.1,731.7,708.5,581.8,781.5,828.8,765.8,910.8,654.1,900.6,804.7,301.9,846.3,667.2,938.9,312.3,72.3,776.0,109.1,338.7,221.0,234.5,813.0,848.8
IU,631.0,609.9,172.5,68.5,197.3,254.7,216.7,69.6,138.0,905.7,272.3,716.3,841.4,630.4,210.1,900.3,259.8,216.5,672.4,195.4,267.9,316.0,182.9,216.2,231.1,234.2,174.4,644.5,635.3,832.1,915.7,251.4,197.6,134.6,260.0,178.7,192.2,2294.6,204.5,859.4,346.6,237.1,162.0,525.3,516.8,846.2,248.8,867.8,276.4,249.1,184.2,253.2,333.6,657.7,632.9,640.4,864.6,0.0,171.8,869.2,199.6,116.6,641.0,163.4,184.5,627.2,222.9,259.5,131.9,641.9,327.7,957.6,376.2,132.8,203.3,170.6,191.4,187.7,674.0,190.0,315.6,867.5,68.5,209.8,288.6,309.3,897.3,915.6,710.4,119.6,117.0,299.9,851.1,687.8,886.6,126.8,943.2,236.9,168.2,600.8,384.3,630.3,878.1,316.8,865.5,110.9,169.8,211.4,104.1,108.2,354.1,510.9,597.8,667.4,210.4,564.3,205.0,205.4,148.7,799.7,265.7,630.5,156.9,129.9,216.1,125.6,128.0,593.4,295.2,380.0,331.9,141.7,160.0,233.7,205.1,366.4,154.0,245.3,501.9,221.8,379.5,151.9,490.8,899.3,147.2,916.6,552.7,692.3,656.1,335.2,122.2
IV,646.5,625.4,190.5,232.9,94.5,272.9,265.1,259.3,199.2,921.2,218.6,731.8,856.9,645.9,271.3,915.8,243.4,277.7,687.9,44.0,266.8,289.3,105.7,234.2,247.5,155.5,158.0,660.0,650.8,847.6,931.2,267.8,151.1,292.1,278.2,95.9,37.3,2327.9,188.1,874.9,330.2,165.3,156.0,540.8,532.3,861.7,267.0,883.3,260.0,222.4,29.3,236.8,269.8,673.2,648.4,655.9,880.1,209.3,0.0,884.7,260.8,65.4,656.5,157.4,245.7,642.7,239.3,232.8,193.1,657.4,311.3,973.1,312.4,135.1,217.8,61.0,154.1,149.4,689.5,251.2,299.2,883.0,253.4,193.4,285.4,282.6,912.8,931.1,725.9,62.4,91.3,283.5,866.6,703.3,902.1,129.1,958.7,220.5,229.4,616.3,367.9,645.8,893.6,290.1,881.0,70.1,172.1,132.7,106.4,245.8,337.7,526.4,613.3,682.9,80.8,579.8,188.6,126.7,209.9,815.2,239.0,646.0,119.9,287.4,169.6,283.1,102.3,608.9,292.0,316.2,315.5,141.4,124.8,217.3,167.8,302.6,103.3,173.5,517.4,283.0,313.7,73.8,506.3,914.8,135.9,932.1,568.2,707.8,671.6,308.5,124.5
JB,360.7,269.8,951.8,995.1,866.4,793.5,814.6,1025.5,829.9,72.7,766.9,298.8,92.8,340.1,814.9,67.3,723.8,859.3,219.4,856.2,724.8,816.9,852.0,995.5,1008.8,916.8,751.4,304.4,314.6,189.3,226.5,1029.1,912.4,1053.4,798.8,847.8,905.9,2461.7,759.2,161.9,665.2,814.8,814.4,357.8,349.3,97.6,787.6,184.2,701.6,775.8,907.7,717.2,680.4,234.3,300.1,300.3,116.0,971.5,920.3,0.0,758.8,881.5,300.9,815.8,827.3,267.1,1000.6,786.2,836.0,299.3,646.3,115.8,723.0,877.7,979.1,839.7,915.4,874.8,270.7,768.8,740.8,178.3,1024.4,704.4,743.4,805.4,208.1,82.6,257.4,884.5,881.9,725.1,170.2,397.5,53.6,827.2,73.9,726.8,831.8,310.5,702.9,306.3,129.5,711.4,32.5,875.8,870.2,894.0,848.0,1008.0,622.3,369.4,406.4,346.4,916.8,408.7,699.6,888.0,812.3,176.6,761.8,270.4,778.3,1048.7,930.9,1059.7,892.9,345.4,750.0,726.8,600.1,799.8,847.1,784.1,929.1,672.4,918.9,823.0,320.2,864.6,685.5,957.2,330.6,91.1,794.3,47.3,357.0,239.3,252.8,831.3,867.1
JF,520.5,503.0,351.4,236.2,281.8,120.8,55.7,266.6,71.0,798.8,267.7,609.4,734.5,523.5,56.0,793.4,157.5,100.4,562.6,255.8,68.2,216.5,267.4,395.1,408.4,316.4,168.9,537.6,528.4,725.2,808.8,428.7,312.0,331.6,126.1,263.2,276.7,2281.3,132.7,752.5,345.7,214.4,204.7,418.4,409.9,739.3,114.9,760.9,119.2,193.0,268.7,162.0,147.4,553.3,526.0,533.5,757.7,212.6,256.3,762.3,0.0,201.1,534.1,208.9,68.4,520.3,400.2,203.4,77.1,529.8,323.0,850.7,190.0,217.3,378.7,255.1,315.0,272.2,567.1,9.9,158.4,760.6,265.5,205.1,88.9,205.5,790.4,808.7,603.5,204.1,201.5,142.7,744.2,586.0,779.7,211.3,836.3,134.6,131.0,493.9,379.6,523.4,771.2,212.5,758.6,195.4,254.3,293.6,184.7,249.1,337.6,404.0,490.9,560.5,294.9,457.4,200.3,287.6,110.4,692.8,161.4,520.1,168.6,326.9,330.5,300.8,212.5,486.5,95.5,193.8,315.4,190.1,244.5,157.6,328.7,180.2,238.5,222.6,395.0,105.7,236.1,236.4,383.9,792.4,184.6,809.7,445.8,585.4,549.2,230.9,206.7
JH,622.6,601.5,228.7,167.4,132.7,250.4,212.4,197.8,133.7,897.3,256.8,707.9,833.0,622.0,205.8,891.9,251.4,212.2,664.0,82.2,263.6,327.5,137.7,272.4,285.7,193.7,166.0,636.1,626.9,823.7,907.3,306.0,189.3,262.8,255.7,133.5,75.5,2290.3,196.1,851.0,338.2,203.5,98.8,516.9,508.4,837.8,244.5,859.4,268.0,260.6,67.5,244.8,308.0,649.3,624.5,632.0,856.2,143.8,55.1,860.8,195.3,0.0,632.6,100.2,180.2,618.8,277.5,271.0,127.6,633.5,319.3,949.2,350.6,69.6,256.0,99.2,192.3,142.5,665.6,185.7,307.2,859.1,196.7,201.4,284.3,320.8,888.9,907.2,702.0,2.9,25.8,291.5,842.7,679.4,878.2,63.6,934.8,228.5,163.9,592.4,375.9,621.9,869.7,328.3,857.1,4.7,106.6,170.9,40.9,180.3,345.7,502.5,589.4,659.0,119.0,555.9,196.6,164.9,144.4,791.3,277.2,622.1,100.0,258.1,207.8,232.0,36.8,585.0,290.9,354.4,323.5,78.5,114.8,225.3,206.0,340.8,37.8,211.7,493.5,217.5,351.9,35.2,482.4,890.9,84.0,908.2,544.3,683.9,647.7,346.7,59.0
JN,270.9,52.4,770.6,813.9,685.2,612.3,633.4,844.3,648.7,361.8,585.7,233.5,297.5,208.1,633.7,356.4,542.6,678.1,179.9,675.0,543.6,635.7,670.8,814.3,827.6,735.6,570.2,3.5,164.2,409.4,451.2,847.9,731.2,872.2,617.6,666.6,724.7,2420.9,578.0,386.6,484.0,633.6,633.2,225.4,216.9,302.3,606.4,445.1,520.4,594.6,726.5,536.0,499.2,165.2,149.7,19.1,320.7,790.3,739.1,325.3,577.6,700.3,0.0,634.6,646.1,116.7,819.4,605.0,654.8,148.9,465.1,413.7,541.8,696.5,797.9,658.5,734.2,693.6,181.5,587.6,559.6,403.0,843.2,523.2,562.2,624.2,432.8,371.7,217.9,703.3,700.7,543.9,428.4,247.1,342.7,646.0,399.3,545.6,650.6,180.0,521.7,155.9,334.2,530.2,321.6,694.6,689.0,712.8,666.8,826.8,441.1,237.0,297.9,196.0,735.6,264.4,518.4,706.8,631.1,377.0,580.6,120.0,597.1,867.5,749.7,878.5,711.7,240.8,568.8,545.6,418.9,618.6,665.9,602.9,747.9,491.2,737.7,641.8,187.8,683.4,504.3,776.0,198.2,355.4,613.1,372.7,252.8,199.8,163.6,650.1,685.9
JP,576.0,554.9,294.0,192.5,149.4,234.3,226.5,225.0,160.9,848.6,217.3,661.3,786.4,575.4,233.0,849.9,204.8,244.0,615.3,147.5,238.5,261.0,135.0,337.7,351.0,256.9,119.4,589.5,580.3,777.1,860.7,371.3,254.6,290.0,244.2,130.8,163.2,2289.3,149.5,804.4,291.6,186.7,3.1,470.3,461.8,791.2,228.4,812.8,226.0,194.1,155.2,198.2,278.6,602.7,577.9,585.4,809.6,171.0,155.8,814.2,227.1,100.6,586.0,0.0,207.4,572.2,342.8,204.5,154.8,585.7,272.7,902.6,321.2,90.4,321.3,122.7,257.6,157.8,616.9,212.9,258.5,812.5,223.9,152.7,257.1,252.7,842.3,860.6,655.4,103.6,101.0,244.9,796.1,635.8,831.6,43.6,888.2,181.9,191.1,545.8,329.3,575.3,823.1,261.8,810.5,94.9,79.9,236.2,64.4,207.5,299.1,455.9,547.4,617.0,162.5,509.3,150.0,234.8,171.6,744.7,210.7,575.5,52.0,289.9,273.1,257.1,112.0,538.4,263.7,325.0,276.9,25.9,130.1,176.6,271.3,316.0,138.0,194.9,446.9,244.7,324.5,135.9,435.8,848.9,31.4,866.2,497.7,637.3,601.1,280.2,79.8
