from_stop,AD,AF,AJ,AK,AM,AQ,AR,AV,AY,AZ,BE,BK,CG,CI,CJ,CK,CP,CR,DI,DK,DQ,DT,DV,DY,EE,EH,EJ,EK,EM,EN,EQ,FH,FM,FN,GF,GI,GN,GQ,GW,GY,HF,HK,HL,HS,HT,HV,IC,IF,IG,IJ,IL,IN,IS,IU,IZ,JU,JV,KE,KG,KI,KJ,KP,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,MY,NA,OB,OD,OR,OT,PB,PF,PJ,PN,PP,QI,QN,QQ,QR,QT,QU,RH,RI,RJ,RM,RT,RZ,SL,ST,SX,TB,TF,TQ,TT,TY,UD,UO,UR,UW,UX,VA,VK,VO,VX,VZ,WC,WE,WH,WI,WQ,WR,WX,WY,WZ,XA,XI,XK,XL,XQ,XV,XW,YF,YG,YI,YL,YR,YT,ZE,ZI,ZN
HV,841.3,726.9,214.6,746.8,189.2,766.4,69.7,119.0,694.3,731.8,76.9,283.9,152.9,139.7,135.5,824.5,606.7,264.4,814.4,131.5,368.1,173.4,850.7,371.9,368.8,226.1,94.0,848.0,435.0,833.0,194.0,141.2,732.1,206.8,167.2,316.3,742.2,182.8,308.1,854.0,214.8,396.1,137.7,270.2,843.3,0.0,298.6,312.6,198.0,797.9,150.4,843.8,182.0,800.8,202.3,712.7,228.8,147.1,280.3,77.5,366.2,212.7,186.8,136.8,806.7,684.0,790.4,819.6,778.1,735.2,198.0,718.2,724.7,681.1,796.6,1340.3,674.0,161.1,268.7,316.6,334.1,726.9,334.1,211.9,164.3,224.1,814.8,130.1,775.0,150.6,699.4,754.9,797.9,207.0,323.1,473.4,646.3,112.3,249.7,701.8,629.7,208.7,528.9,828.4,231.0,294.4,182.7,272.6,4.1,811.1,804.2,248.7,812.2,35.3,278.2,109.8,389.2,796.3,724.9,122.7,803.8,319.6,712.6,827.9,100.7,706.5,158.5,778.9,237.2,275.4,292.6,204.2,718.8,201.3,357.6,24.3,831.3,27.2,184.7,327.6,693.2,838.8,677.0
IC,870.8,755.6,201.9,776.3,299.1,802.3,319.9,249.5,723.8,750.7,332.7,300.9,244.2,261.7,273.2,805.4,579.1,251.7,843.1,276.6,115.9,248.8,879.4,97.7,93.1,284.9,280.1,868.2,378.2,861.7,181.3,331.6,760.8,323.3,242.6,124.9,770.9,290.8,117.3,882.7,303.1,128.9,245.7,65.5,872.0,305.8,0.0,44.2,289.3,826.6,266.9,872.5,320.0,829.5,285.1,741.4,161.0,284.8,165.4,241.1,105.5,320.7,212.3,163.8,835.4,862.1,819.1,848.3,806.8,763.9,223.5,746.9,753.4,859.2,825.3,1456.1,654.9,283.1,42.6,194.8,174.9,755.6,72.2,199.2,146.7,306.9,843.5,282.7,803.7,281.1,728.9,735.8,826.6,232.5,202.9,416.6,618.7,296.4,251.1,730.5,658.4,253.1,543.0,857.1,281.2,56.2,285.6,38.6,302.1,839.8,924.9,236.0,840.9,313.3,148.5,303.9,567.3,825.0,753.6,316.8,832.5,98.0,741.3,856.6,294.8,736.0,249.8,799.1,149.2,119.2,83.0,222.2,743.1,273.5,90.4,322.3,860.8,333.1,306.7,58.5,871.3,867.5,696.6
IF,850.0,734.8,221.5,755.5,311.7,774.3,339.5,269.1,703.0,739.7,352.3,329.0,263.8,289.8,292.8,784.6,566.8,271.3,822.3,300.6,81.7,268.4,858.6,61.9,57.3,304.5,299.7,855.9,357.4,840.9,200.9,359.7,740.0,342.9,262.2,90.7,750.1,318.9,83.1,861.9,324.6,84.6,273.8,59.2,851.2,325.4,119.8,0.0,308.9,805.8,286.5,851.7,339.6,808.7,313.2,720.6,123.7,304.4,130.9,260.7,79.8,348.8,231.9,191.9,814.6,843.4,798.3,827.5,786.0,743.1,243.1,726.1,732.6,840.5,804.5,1489.1,634.1,311.2,62.2,160.6,137.0,734.8,27.9,218.8,166.3,335.0,822.7,314.4,782.9,300.7,708.1,715.0,805.8,252.1,168.7,395.8,606.4,316.0,270.7,709.7,637.6,281.2,522.2,836.3,300.8,75.8,305.2,57.9,321.7,819.0,904.1,255.6,820.1,332.9,148.8,323.5,586.9,804.2,732.8,336.4,811.7,101.0,720.5,835.8,314.4,715.2,269.4,786.8,112.3,146.0,41.1,249.3,726.7,296.3,46.1,341.9,840.0,352.7,334.8,14.9,852.6,846.7,675.8
IG,931.7,871.5,164.1,837.2,72.6,911.0,184.7,178.0,784.7,876.4,197.5,306.2,56.7,198.7,201.7,866.3,648.5,156.5,959.0,145.8,372.2,149.5,995.3,376.0,372.9,28.0,208.6,992.6,439.1,977.6,120.6,268.6,876.7,105.4,143.3,320.4,886.8,149.5,312.2,998.6,16.7,400.2,107.8,274.3,987.9,204.1,302.7,316.7,0.0,942.5,117.1,988.4,248.5,945.4,4.2,857.3,232.9,213.3,284.4,169.6,370.3,111.3,209.1,169.1,951.3,828.6,935.0,964.2,922.7,879.8,220.3,862.8,869.3,825.7,941.2,1497.0,715.8,220.1,272.8,320.7,338.2,871.5,338.2,136.2,168.4,26.0,959.4,219.7,919.6,183.1,789.8,796.7,942.5,229.3,327.2,477.5,688.1,161.2,51.6,846.4,774.3,67.6,673.5,973.0,32.9,298.5,66.1,276.7,207.2,955.7,948.8,133.2,956.8,218.4,282.3,168.7,533.8,940.9,869.5,181.6,948.4,323.7,857.2,972.5,159.6,796.9,49.7,923.5,241.3,279.5,296.7,226.5,863.4,177.4,361.7,227.4,921.7,228.8,229.5,331.7,837.8,983.4,821.6
IJ,620.0,255.4,824.4,525.5,883.1,171.6,808.0,775.0,473.0,110.2,820.8,931.9,835.2,795.7,791.5,588.3,691.8,874.2,392.3,872.0,877.4,839.8,428.6,931.5,926.9,907.4,750.0,425.9,769.8,410.9,803.8,753.8,310.0,914.3,833.6,842.9,320.1,890.3,834.7,431.9,897.1,954.2,845.2,855.9,421.2,770.1,825.2,869.5,880.3,0.0,857.9,421.7,823.2,378.7,884.6,290.6,755.4,803.1,806.9,733.5,875.5,920.2,834.8,792.8,80.7,774.2,8.2,397.5,356.0,84.6,846.0,115.3,103.1,646.3,374.5,1674.9,658.1,817.1,854.4,843.2,860.7,255.4,897.5,821.7,769.2,906.4,392.7,769.0,24.9,806.6,478.1,578.4,0.0,855.0,849.7,525.9,804.4,836.1,873.6,148.4,340.0,865.7,720.2,406.3,903.7,868.2,876.6,858.3,766.4,124.7,674.1,858.5,390.1,777.6,804.8,833.6,771.6,374.2,302.8,846.5,5.9,876.1,159.2,177.3,824.5,485.2,840.8,155.9,763.8,802.0,878.3,852.2,296.7,836.4,915.7,786.6,610.0,797.4,840.7,884.5,746.5,416.7,387.3
IL,912.6,798.2,180.0,818.1,61.0,837.7,111.4,129.9,765.6,803.1,124.2,249.3,86.5,150.6,153.6,895.8,678.0,229.8,885.7,72.5,333.5,101.4,922.0,337.3,334.2,147.7,165.3,919.3,400.4,904.3,159.4,212.5,803.4,78.6,95.2,281.7,813.5,32.3,273.5,925.3,136.4,361.5,9.5,235.6,914.6,130.8,264.0,278.0,119.6,869.2,0.0,915.1,200.4,872.1,123.9,784.0,194.2,165.2,245.7,121.5,331.6,84.5,152.2,102.2,878.0,755.3,861.7,890.9,849.4,806.5,163.4,789.5,796.0,752.4,867.9,1411.6,745.3,172.0,234.1,282.0,299.5,798.2,299.5,177.3,129.7,145.7,886.1,171.6,846.3,135.0,770.7,826.2,869.2,172.4,288.5,438.8,717.6,87.9,171.3,773.1,701.0,136.7,600.2,899.7,152.6,259.8,54.5,238.0,133.9,882.4,875.5,214.1,883.5,145.1,243.6,95.4,460.5,867.6,796.2,108.3,875.1,285.0,783.9,899.2,86.3,777.8,79.5,850.2,202.6,240.8,258.0,169.6,790.1,129.3,323.0,154.1,902.6,155.5,181.4,293.0,764.5,910.1,748.3
IN,698.2,311.8,902.6,603.7,968.3,409.7,886.2,853.2,551.2,358.1,899.0,1010.1,913.4,873.9,869.7,666.5,704.6,952.4,119.5,945.8,955.6,918.0,6.8,1009.7,1005.1,985.6,828.2,62.5,848.0,47.5,882.0,832.0,172.0,992.5,911.8,921.1,140.1,968.5,912.9,10.2,972.3,1032.4,923.4,934.1,57.8,848.3,911.9,947.7,958.5,434.0,936.1,0.0,901.4,98.8,962.8,162.3,833.6,881.3,885.1,811.7,953.7,998.4,913.0,871.0,442.8,624.2,426.5,105.1,86.9,371.3,924.2,354.3,360.8,616.9,101.8,1753.1,670.9,895.3,932.6,921.4,938.9,311.8,975.7,899.9,847.4,984.6,197.8,849.5,411.1,884.8,556.3,599.9,434.0,933.2,927.9,604.1,816.9,914.3,951.8,337.9,418.2,943.9,798.4,123.9,981.9,946.4,954.8,936.5,844.6,447.2,554.6,936.7,102.2,855.8,883.0,911.8,849.8,160.2,189.5,924.7,439.9,954.3,348.7,464.0,902.7,563.4,919.0,415.0,840.0,880.2,956.5,931.4,179.9,919.9,993.9,864.8,688.2,875.6,918.9,962.0,717.1,69.6,465.5
IS,920.1,805.7,187.4,825.6,199.9,845.2,198.8,104.6,773.1,810.6,211.6,256.7,152.0,125.3,95.1,835.0,617.2,237.2,893.2,188.8,340.9,156.6,929.5,344.7,341.6,225.2,98.4,926.8,407.8,911.8,166.8,136.9,810.9,231.1,150.4,289.1,821.0,207.1,280.9,932.8,213.9,368.9,162.0,243.0,922.1,160.9,271.4,285.4,197.1,876.7,174.7,922.6,0.0,879.6,201.4,791.5,201.6,27.3,253.1,96.2,339.0,237.0,159.6,109.6,885.5,762.8,869.2,898.4,856.9,814.0,170.8,797.0,803.5,759.9,875.4,1465.7,684.5,146.7,241.5,289.4,306.9,805.7,306.9,184.7,137.1,223.2,893.6,74.6,853.8,136.2,778.2,765.4,876.7,179.8,295.9,446.2,656.8,204.2,236.6,780.6,708.5,182.5,607.7,907.2,230.1,267.2,193.4,245.4,157.2,889.9,883.0,221.5,891.0,168.4,251.0,211.7,468.0,875.1,803.7,224.6,882.6,292.4,791.4,906.7,202.6,785.3,157.6,857.7,210.0,248.2,265.4,177.0,797.6,166.0,330.4,177.4,910.1,188.2,170.3,300.4,772.0,917.6,755.8
IU,636.4,250.0,840.8,541.9,899.5,340.7,824.4,791.4,489.4,306.1,837.2,948.3,851.6,812.1,807.9,604.7,691.8,890.6,148.7,888.4,893.8,856.2,94.4,947.9,943.3,923.8,766.4,91.7,786.2,76.7,820.2,770.2,153.0,930.7,850.0,859.3,78.3,906.7,851.1,97.7,913.5,970.6,861.6,872.3,87.0,786.5,841.6,885.9,896.7,372.2,874.3,87.5,839.6,0.0,901.0,100.5,771.8,819.5,823.3,749.9,891.9,936.6,851.2,809.2,381.0,611.4,364.7,20.1,25.1,309.5,862.4,292.5,299.0,536.5,131.0,1691.3,658.1,833.5,870.8,859.6,877.1,250.0,913.9,838.1,785.6,922.8,136.0,785.4,349.3,823.0,494.5,594.8,372.2,871.4,866.1,542.3,820.8,852.5,890.0,276.1,356.4,882.1,736.6,95.1,920.1,884.6,893.0,874.7,782.8,385.4,541.8,874.9,73.4,794.0,821.2,850.0,788.0,98.4,127.7,862.9,378.1,892.5,286.9,402.2,840.9,501.6,857.2,353.2,780.2,818.4,894.7,868.6,118.1,852.8,932.1,803.0,626.4,813.8,857.1,900.9,636.7,98.8,403.7
IZ,927.4,875.2,159.8,832.9,80.7,921.9,188.4,181.7,780.4,880.1,201.2,301.9,60.4,202.4,205.4,862.0,644.2,152.2,962.7,145.1,367.9,153.2,999.0,371.7,368.6,23.8,212.3,996.3,434.8,981.3,116.3,272.3,880.4,109.1,147.0,316.1,890.5,153.2,307.9,1002.3,25.1,395.9,111.5,270.0,991.6,207.8,298.4,312.4,3.6,946.2,120.8,992.1,252.2,949.1,0.0,861.0,226.4,217.0,280.1,173.3,366.0,115.0,204.8,164.8,955.0,832.3,938.7,967.9,926.4,883.5,216.0,866.5,873.0,829.4,944.9,1492.7,711.5,223.8,268.5,316.4,333.9,875.2,333.9,131.9,164.1,37.4,963.1,227.0,923.3,186.8,785.5,792.4,946.2,225.0,322.9,473.2,683.8,164.9,47.3,850.1,778.0,79.0,677.2,976.7,28.6,294.2,69.8,272.4,210.9,959.4,952.5,128.9,960.5,222.1,278.0,172.4,537.5,944.6,873.2,185.3,952.1,336.0,860.9,976.2,163.3,792.6,53.4,927.2,235.0,275.2,292.4,223.2,867.1,186.4,357.4,231.1,917.4,232.5,233.2,326.7,841.5,987.1,825.3
JU,535.8,149.4,740.2,441.3,798.9,240.1,723.8,690.8,388.8,205.5,736.6,847.7,751.0,711.5,707.3,504.1,607.6,790.0,164.6,787.8,793.2,755.6,137.9,847.3,842.7,823.2,665.8,135.2,685.6,120.2,719.6,669.6,52.4,830.1,749.4,758.7,29.4,806.1,750.5,141.2,812.9,870.0,761.0,771.7,130.5,685.9,741.0,785.3,796.1,271.6,773.7,131.0,739.0,88.0,800.4,0.0,671.2,718.9,722.7,649.3,791.3,836.0,750.6,708.6,280.4,532.6,264.1,106.8,65.3,208.9,761.8,191.9,198.4,435.9,146.8,1590.7,573.9,732.9,770.2,759.0,776.5,149.4,813.3,737.5,685.0,822.2,121.1,684.8,248.7,722.4,393.9,494.2,271.6,770.8,765.5,441.7,720.2,751.9,789.4,175.5,255.8,781.5,636.0,181.8,819.5,784.0,792.4,774.1,682.2,284.8,415.1,774.3,160.1,693.4,720.6,749.4,687.4,83.5,27.1,762.3,277.5,791.9,186.3,301.6,740.3,401.0,756.6,252.6,679.6,717.8,794.1,768.0,17.5,752.2,831.5,702.4,525.8,713.2,756.5,800.3,536.1,142.3,303.1
JV,726.2,611.0,116.4,628.6,213.6,657.7,234.4,160.9,579.2,606.1,247.2,220.8,158.7,184.7,187.7,660.8,443.0,163.1,698.5,191.1,121.9,163.3,734.8,176.0,171.4,196.3,194.6,729.0,233.6,717.1,95.8,252.7,616.2,237.8,157.1,87.4,626.3,210.7,79.2,738.1,217.6,200.9,168.7,146.0,727.4,220.3,78.2,114.0,203.8,682.0,181.4,724.8,234.5,684.9,208.1,596.8,0.0,199.3,52.6,155.6,120.0,240.6,126.8,83.7,690.8,719.6,674.5,700.6,662.2,619.3,138.0,602.3,608.8,716.7,680.7,1365.3,510.3,203.0,112.4,87.7,97.9,611.0,144.2,113.7,58.1,226.8,698.9,209.3,659.1,195.6,584.3,591.2,682.0,147.0,94.2,272.0,482.6,210.9,165.6,585.9,513.8,176.1,398.4,712.5,195.7,112.7,200.1,108.4,216.6,695.2,780.3,150.5,696.3,227.8,49.3,218.4,463.8,680.4,609.0,231.3,684.8,141.2,596.7,712.0,209.3,588.3,164.3,659.9,6.4,48.7,152.8,145.2,598.5,193.4,160.2,236.8,716.2,247.6,226.6,128.3,728.8,722.9,552.0
KE,880.7,766.3,160.0,786.2,172.5,805.8,171.4,77.2,733.7,771.2,184.2,229.3,124.6,97.9,67.7,807.6,589.8,209.8,853.8,161.4,313.5,129.2,890.1,317.3,314.2,197.8,87.3,887.4,380.4,872.4,139.4,125.8,771.5,203.7,123.0,261.7,781.6,179.7,253.5,893.4,186.5,341.5,134.6,215.6,882.7,133.5,244.0,258.0,169.7,837.3,147.3,883.2,35.1,840.2,174.0,752.1,174.2,0.0,225.7,68.8,311.6,209.6,132.2,82.2,846.1,723.4,829.8,859.0,817.5,774.6,143.4,757.6,764.1,720.5,836.0,1438.3,657.1,119.3,214.1,262.0,279.5,766.3,279.5,157.3,109.7,195.8,854.2,59.9,814.4,108.8,738.8,738.0,837.3,152.4,268.5,418.8,629.4,176.8,209.2,741.2,669.1,155.1,568.3,867.8,202.7,239.8,166.0,218.0,129.8,850.5,843.6,194.1,851.6,141.0,223.6,184.3,428.6,835.7,764.3,197.2,843.2,265.0,752.0,867.3,175.2,745.9,130.2,818.3,182.6,220.8,238.0,149.6,758.2,138.6,303.0,150.0,870.7,160.8,142.9,273.0,732.6,878.2,716.4
KG,775.3,660.1,165.5,680.8,262.7,706.8,283.5,213.1,628.3,655.2,296.3,273.0,207.8,233.8,236.8,709.9,492.1,217.0,747.6,240.2,96.5,212.4,783.9,200.8,152.4,248.5,243.7,781.2,282.7,766.2,144.9,304.9,665.3,286.9,206.2,62.0,675.4,264.6,60.9,787.2,266.7,201.9,217.8,169.0,776.5,269.4,103.0,138.8,252.9,731.1,230.5,777.0,283.6,734.0,257.2,645.9,52.1,248.4,0.0,204.7,96.3,292.8,175.9,137.6,739.9,768.7,723.6,752.8,711.3,668.4,187.1,651.4,657.9,765.8,729.8,1414.4,559.4,256.9,135.9,42.3,72.5,660.1,168.5,162.8,112.0,280.7,748.0,256.5,708.2,244.7,633.4,640.3,731.1,196.1,42.7,321.1,531.7,260.0,214.7,635.0,562.9,225.2,447.5,761.6,244.8,121.2,249.2,133.2,265.7,744.3,829.4,199.6,745.4,276.9,56.1,267.5,512.9,729.5,658.1,280.4,737.0,148.0,645.8,761.1,258.4,640.5,213.4,712.1,40.3,53.3,176.3,194.3,647.6,245.6,168.3,285.9,765.3,296.7,280.5,153.1,777.9,772.0,601.1
KI,811.8,697.4,137.0,717.3,149.5,736.9,102.5,41.4,664.8,702.3,115.3,206.3,101.6,62.1,57.9,795.0,577.2,186.8,784.9,138.4,290.5,106.2,821.2,294.3,291.2,174.8,38.9,818.5,357.4,803.5,116.4,98.9,702.6,180.7,100.0,238.7,712.7,156.7,230.5,824.5,163.5,318.5,111.6,192.6,813.8,64.6,221.0,235.0,146.7,768.4,124.3,814.3,104.7,771.3,151.0,683.2,151.2,69.5,202.7,0.0,288.6,186.6,109.2,59.2,777.2,654.5,760.9,790.1,748.6,705.7,120.4,688.7,695.2,651.6,767.1,1310.8,644.5,83.5,191.1,239.0,256.5,697.4,256.5,134.3,86.7,172.8,785.3,72.7,745.5,73.0,669.9,725.4,768.4,129.4,245.5,395.8,616.8,130.6,186.2,672.3,600.2,132.1,499.4,798.9,179.7,216.8,143.0,195.0,60.9,781.6,774.7,171.1,782.7,72.1,200.6,128.1,359.7,766.8,695.4,141.0,774.3,242.0,683.1,798.4,119.0,677.0,107.2,749.4,159.6,197.8,215.0,126.6,689.3,102.8,280.0,81.1,801.8,91.9,107.1,250.0,663.7,809.3,647.5
KJ,832.9,717.7,257.6,738.4,352.2,764.4,375.6,305.2,685.9,712.8,388.4,365.1,299.9,325.9,328.9,767.5,549.7,307.4,805.2,336.7,1.8,304.5,841.5,111.3,57.7,340.6,335.8,838.8,340.3,823.8,237.0,395.8,722.9,379.0,298.3,23.1,733.0,355.0,49.5,844.8,360.7,107.2,309.9,129.7,834.1,361.5,102.7,111.1,345.0,788.7,322.6,834.6,375.7,791.6,349.3,703.5,106.6,340.5,74.7,296.8,0.0,384.9,268.0,228.0,797.5,826.3,781.2,810.4,768.9,726.0,279.2,709.0,715.5,823.4,787.4,1472.0,617.0,347.3,98.3,93.0,82.1,717.7,138.0,254.9,202.4,371.1,805.6,346.9,765.8,336.8,691.0,697.9,788.7,288.2,101.1,378.7,589.3,352.1,306.8,692.6,620.5,317.3,505.1,819.2,336.9,111.9,341.3,94.3,357.8,801.9,887.0,291.7,803.0,369.0,124.8,359.6,570.5,787.1,715.7,372.5,794.6,137.1,703.4,818.7,350.5,698.1,305.5,769.7,97.9,122.0,133.2,286.4,705.2,337.7,73.6,378.0,822.9,388.8,370.9,124.3,835.5,829.6,658.7
KP,969.7,855.3,237.1,875.2,50.0,902.0,168.5,187.0,822.7,850.4,181.3,306.4,75.5,207.7,210.7,952.9,735.1,265.2,942.8,129.6,390.6,158.5,979.1,394.4,391.3,136.7,222.4,976.4,457.5,961.4,229.3,269.6,860.5,25.4,152.3,338.8,870.6,91.7,330.6,982.4,122.4,418.6,50.0,292.7,971.7,187.9,329.6,335.1,108.6,926.3,59.3,972.2,257.5,929.2,112.9,841.1,249.1,222.3,304.0,178.6,388.7,0.0,209.3,159.3,935.1,812.4,918.8,948.0,906.5,863.6,220.5,846.6,853.1,809.5,925.0,1468.7,802.4,229.1,291.2,339.1,356.6,855.3,356.6,244.9,186.8,134.7,943.2,232.3,903.4,192.1,827.8,883.3,926.3,229.5,345.6,495.9,774.7,145.0,160.3,830.2,758.1,176.3,657.3,956.8,141.6,316.9,43.5,294.9,191.0,939.5,932.6,241.9,940.6,202.2,300.7,152.5,517.6,924.7,853.3,165.4,932.2,358.7,841.0,956.3,143.4,834.9,68.5,907.3,257.7,297.9,315.1,227.7,842.8,191.7,380.1,211.2,959.7,212.6,238.5,349.4,821.6,967.2,805.4
KQ,815.1,699.9,102.1,720.6,174.1,739.4,201.9,131.5,668.1,704.8,214.7,97.0,126.2,152.2,155.2,749.7,531.9,151.9,787.4,163.0,255.6,130.8,823.7,259.4,256.3,185.1,162.1,821.0,322.5,806.0,81.5,222.1,705.1,205.3,124.6,203.8,715.2,181.3,195.6,827.0,188.1,283.6,136.2,157.7,816.3,187.8,186.1,200.1,171.3,770.9,148.9,816.8,202.0,773.8,175.6,685.7,116.3,166.8,167.8,123.1,253.7,211.2,0.0,54.3,779.7,786.4,763.4,792.6,751.1,708.2,38.2,691.2,697.7,783.5,769.6,1380.4,599.2,173.6,156.2,204.1,221.6,699.9,221.6,99.4,51.8,197.4,787.8,176.8,748.0,163.1,673.2,680.1,770.9,47.2,210.6,360.9,571.5,178.4,151.3,674.8,602.7,156.7,487.3,801.4,181.4,181.9,167.6,160.1,184.1,784.1,906.6,136.2,785.2,195.3,165.7,185.9,491.6,769.3,697.9,198.8,776.8,207.1,685.6,800.9,176.8,680.3,131.8,751.9,124.7,162.9,180.1,30.4,691.8,158.7,245.1,204.3,805.1,215.1,197.2,215.1,795.6,811.8,640.9
KT,790.7,675.5,77.7,696.2,124.1,722.2,147.5,77.1,643.7,680.4,160.3,147.0,71.8,97.8,100.8,725.3,507.5,127.5,763.0,104.2,231.2,76.4,799.3,235.0,231.9,145.0,107.7,796.6,298.1,781.6,57.1,167.7,680.7,150.9,70.2,179.4,690.8,126.9,171.2,802.6,130.7,259.2,81.8,133.3,791.9,133.4,161.7,175.7,116.9,746.5,94.5,792.4,147.6,749.4,121.2,661.3,89.7,112.4,144.6,68.7,229.3,156.8,49.9,0.0,755.3,723.3,739.0,768.2,726.7,683.8,61.1,666.8,673.3,720.4,745.2,1356.0,574.8,119.2,131.8,179.7,197.2,675.5,197.2,75.0,27.4,143.0,763.4,122.4,723.6,108.7,648.8,655.7,746.5,70.1,186.2,336.5,547.1,124.0,126.9,650.4,578.3,102.3,462.9,777.0,149.9,157.5,113.2,135.5,129.7,759.7,843.5,111.8,760.8,140.9,141.3,131.5,428.5,744.9,673.5,144.4,752.4,182.7,661.2,776.5,122.4,655.9,77.4,727.5,98.3,138.5,155.7,68.3,667.4,109.6,220.7,149.9,780.7,160.7,142.8,190.0,732.5,787.4,616.5
KU,597.9,228.0,802.3,503.4,861.0,206.2,785.9,752.9,450.9,71.3,798.7,909.8,813.1,773.6,769.4,566.2,669.7,852.1,370.2,849.9,855.3,817.7,406.5,909.4,904.8,885.3,727.9,403.8,747.7,388.8,781.7,731.7,287.9,892.2,811.5,820.8,298.0,868.2,812.6,409.8,875.0,932.1,823.1,833.8,399.1,748.0,803.1,847.4,858.2,81.5,835.8,399.6,801.1,356.6,862.5,268.5,733.3,781.0,784.8,711.4,853.4,898.1,812.7,770.7,0.0,752.1,89.8,375.4,333.9,136.8,823.9,66.8,78.4,624.2,352.4,1652.8,636.0,795.0,832.3,821.1,838.6,228.0,875.4,799.6,747.1,884.3,370.6,746.9,106.5,784.5,456.0,556.3,81.5,832.9,827.6,503.8,782.3,814.0,851.5,141.6,317.9,843.6,698.1,384.2,881.6,846.1,854.5,836.2,744.3,76.2,652.0,836.4,368.0,755.5,782.7,811.5,749.5,352.1,280.7,824.4,74.9,854.0,152.4,229.5,802.4,463.1,818.7,208.1,741.7,779.9,856.2,830.1,274.6,814.3,893.6,764.5,587.9,775.3,818.6,862.4,724.4,394.6,365.2
KW,523.4,595.9,796.0,338.9,886.2,686.6,914.0,843.6,376.4,652.0,926.8,903.5,838.3,864.3,867.3,288.6,272.2,845.8,514.4,875.1,849.0,842.9,585.6,903.1,898.5,879.0,724.8,545.9,756.7,566.9,775.4,728.6,498.3,917.4,836.7,814.5,536.2,893.4,806.3,588.9,899.1,925.8,848.3,827.5,556.6,744.9,796.8,841.1,883.4,718.1,861.0,578.7,914.1,594.8,887.7,506.7,727.0,878.9,778.5,708.3,847.1,923.3,806.4,766.4,726.9,0.0,710.6,565.5,572.1,655.4,817.6,638.4,644.9,51.4,496.6,1649.7,238.5,885.7,826.0,814.8,832.3,595.9,869.1,793.3,740.8,909.5,557.9,746.1,695.2,875.2,381.5,219.0,718.1,826.6,821.3,589.6,384.5,890.5,845.2,622.0,646.5,855.7,640.4,528.4,875.3,839.8,879.7,829.9,741.2,731.3,174.5,830.1,512.2,752.4,776.4,898.0,602.5,590.3,491.1,910.9,724.0,847.7,632.8,748.1,888.9,388.6,843.9,699.1,735.4,773.6,849.9,823.8,500.7,870.8,887.3,761.4,425.7,772.2,909.3,856.1,114.5,538.8,598.3
KY,611.7,247.1,816.1,517.2,874.8,163.3,799.7,766.7,464.7,101.9,812.5,923.6,826.9,787.4,783.2,580.0,683.5,865.9,384.0,863.7,869.1,831.5,420.3,923.2,918.6,899.1,741.7,417.6,761.5,402.6,795.5,745.5,301.7,906.0,825.3,834.6,311.8,882.0,826.4,423.6,888.8,945.9,836.9,847.6,412.9,761.8,816.9,861.2,872.0,7.4,849.6,413.4,814.9,370.4,876.3,282.3,747.1,794.8,798.6,725.2,867.2,911.9,826.5,784.5,88.2,765.9,0.0,389.2,347.7,76.3,837.7,122.8,94.8,638.0,366.2,1666.6,649.8,808.8,846.1,834.9,852.4,247.1,889.2,813.4,760.9,898.1,384.4,760.7,16.6,798.3,469.8,570.1,7.4,846.7,841.4,517.6,796.1,827.8,865.3,140.1,331.7,857.4,711.9,398.0,895.4,859.9,868.3,850.0,758.1,132.2,665.8,850.2,381.8,769.3,796.5,825.3,763.3,365.9,294.5,838.2,13.4,867.8,150.9,169.0,816.2,476.9,832.5,147.6,755.5,793.7,870.0,843.9,288.4,828.1,907.4,778.3,601.7,789.1,832.4,876.2,738.2,408.4,379.0
LF,662.7,276.3,867.1,568.2,930.2,374.2,850.7,817.7,515.7,322.6,863.5,974.6,877.9,838.4,834.2,631.0,674.3,916.9,134.6,914.7,920.1,882.5,120.7,974.2,969.6,950.1,792.7,118.0,812.5,88.4,846.5,796.5,179.3,957.0,876.3,885.6,101.5,933.0,877.4,124.0,936.8,996.9,887.9,898.6,78.1,812.8,867.9,912.2,923.0,398.5,900.6,113.8,865.9,20.1,927.3,126.8,795.9,845.8,849.6,776.2,918.2,962.9,877.5,835.5,407.3,593.9,391.0,0.0,51.4,335.8,888.7,318.8,325.3,586.6,116.9,1717.6,640.6,859.8,897.1,885.9,896.1,276.3,940.2,864.4,811.9,949.1,162.3,811.7,375.6,849.3,520.8,569.6,398.5,897.7,892.4,568.6,786.6,878.8,916.3,302.4,382.7,908.4,762.9,74.9,946.4,910.9,919.3,900.8,809.1,411.7,524.3,901.2,53.2,820.3,847.5,876.3,814.3,124.7,154.0,889.2,404.4,939.4,313.2,428.5,867.2,527.9,883.5,379.5,804.5,844.7,921.0,895.9,144.4,884.4,958.4,829.3,652.7,840.1,883.4,926.5,686.8,119.6,430.0
