from_stop,AB,AG,AY,BC,BF,BM,BS,BZ,CA,CB,CF,CO,CW,CX,CY,DA,DJ,DK,DY,EA,EE,EF,EH,EK,EL,ET,EW,EZ,FB,FF,FG,FI,FK,FL,FQ,GA,GG,GH,GI,GL,GY,GZ,HB,HC,HP,HS,HT,HV,HW,HX,IB,IJ,IN,IR,IT,JA,JF,JK,JM,JP,JX,KC,KE,KH,KN,KT,KZ,LK,ME,MO,MS,MV,MW,NB,ND,NK,NN,NQ,NR,NU,OA,OJ,OL,OM,ON,OW,OX,PQ,PY,QA,QJ,QN,QO,QQ,QR,RG,RM,RS,SB,SC,SD,SK,SL,SP,SR,SS,SV,TB,TD,TK,TQ,TR,UJ,UN,UQ,UV,UY,VJ,VT,VY,WF,WJ,WT,WW,WX,XB,XH,XJ,XQ,XZ,YC,YH,YT,YU,ZB,ZF,ZJ,ZL,ZO,ZW
HT,208.1,2543.4,211.5,674.8,275.8,466.0,178.0,473.6,499.6,255.3,744.1,616.8,137.1,448.1,629.0,259.0,250.9,168.0,244.7,406.3,740.2,216.7,435.6,86.6,236.7,737.0,737.2,670.4,286.8,3.4,209.7,91.2,406.4,429.3,581.2,660.3,194.1,560.9,630.6,168.7,686.6,243.9,489.8,136.8,261.2,152.8,0.0,130.9,368.8,141.4,466.7,628.1,650.1,174.7,303.4,716.7,629.0,705.3,398.4,103.7,561.0,243.6,656.5,481.7,453.0,205.1,230.1,396.8,200.9,639.8,303.3,574.0,218.3,179.4,504.1,190.2,450.1,686.2,232.3,653.9,706.8,362.3,700.0,251.7,123.3,648.8,312.6,578.9,180.9,198.3,494.5,274.0,137.9,511.9,691.4,441.0,128.8,610.6,705.8,424.0,218.7,756.5,471.0,429.9,696.0,259.2,749.9,209.0,561.2,213.4,328.9,743.9,281.2,334.5,434.0,702.7,718.9,427.0,683.3,706.8,493.5,487.3,353.3,670.6,451.4,460.0,216.9,347.3,473.7,705.1,316.3,712.5,748.0,406.8,234.0,273.8,497.7,716.2,760.8,150.6
HV,187.1,2520.0,203.8,667.1,251.7,458.3,166.1,471.5,494.3,242.8,736.4,611.5,178.4,440.4,623.7,246.5,229.9,40.7,223.7,398.6,728.9,204.2,430.3,127.9,224.2,731.7,729.5,667.0,260.4,155.6,186.3,46.7,398.7,424.0,585.3,652.6,202.0,553.2,622.9,163.4,678.9,231.4,482.1,179.3,248.7,194.1,152.1,0.0,363.5,136.1,459.0,620.4,642.4,187.0,291.4,711.1,621.3,697.6,394.6,145.0,555.7,235.9,651.2,474.0,445.3,210.6,222.4,389.1,177.5,632.1,295.6,566.3,210.6,48.4,496.4,166.8,442.4,678.5,224.4,646.2,691.9,354.2,692.3,239.2,167.0,641.1,304.9,571.2,165.4,174.9,486.8,261.5,180.4,504.2,683.7,433.3,170.1,593.4,698.1,416.3,206.2,748.8,463.3,422.2,690.7,248.9,742.2,196.5,553.5,139.6,321.2,736.2,273.5,326.8,426.3,695.0,711.2,421.7,675.6,699.1,485.8,479.6,345.6,662.9,446.1,452.3,193.5,339.6,466.0,697.4,308.6,704.8,740.3,399.1,226.3,261.3,490.0,708.5,755.9,193.1
HW,442.3,2579.6,197.0,437.8,499.4,232.1,368.2,224.2,251.7,487.1,507.1,382.2,392.1,259.1,394.4,490.8,474.5,487.9,468.3,151.3,499.6,448.5,286.5,365.4,468.5,502.4,500.2,433.4,505.0,393.1,441.5,341.0,174.9,176.7,344.2,423.3,428.3,310.6,393.6,361.3,449.6,475.7,234.8,368.6,493.0,400.8,386.9,380.7,0.0,334.0,270.2,391.1,413.1,406.5,72.3,482.1,392.0,468.3,97.3,382.5,313.1,145.0,421.9,231.4,148.0,436.9,168.2,241.0,432.7,402.8,150.7,337.0,188.3,511.2,221.9,422.0,218.6,449.2,464.1,416.9,469.8,57.3,463.0,483.5,402.1,411.8,116.6,328.6,415.1,430.1,212.3,505.8,369.7,229.7,454.4,136.0,383.8,364.1,468.8,190.1,450.5,519.5,166.0,198.4,461.4,122.6,512.9,440.8,324.2,482.9,100.6,506.9,90.2,178.7,133.8,465.7,481.9,206.4,446.3,469.8,211.3,205.1,178.6,433.6,198.8,205.0,438.1,172.6,218.7,468.1,170.8,475.5,511.0,101.8,161.4,505.6,242.7,524.1,523.8,382.4
HX,210.2,2543.1,149.6,612.9,277.9,404.1,33.3,417.3,440.1,255.0,682.2,557.3,160.0,386.2,569.5,258.7,253.0,185.7,246.8,344.4,674.7,216.4,376.1,133.3,236.4,677.5,675.3,608.5,283.5,161.0,209.4,108.9,344.5,369.8,531.1,598.4,196.2,499.0,568.7,32.3,624.7,243.6,427.9,136.5,260.9,168.7,154.8,148.6,309.3,0.0,404.8,566.2,588.2,174.4,241.5,657.2,567.1,643.4,336.5,150.4,501.5,181.7,597.0,419.8,391.1,204.8,168.2,334.9,200.6,577.9,241.4,512.1,156.4,197.1,442.2,189.9,388.2,624.3,232.0,592.0,644.9,300.4,638.1,251.4,170.0,586.9,250.7,517.0,183.0,198.0,432.6,273.7,137.6,450.0,629.5,379.1,151.7,539.2,643.9,362.1,218.4,694.6,409.1,368.0,636.5,194.7,688.0,208.7,499.3,215.5,267.0,682.0,219.3,272.6,372.1,640.8,657.0,367.5,621.4,644.9,431.6,425.4,291.4,608.7,391.9,398.1,216.6,285.4,411.8,643.2,254.4,650.6,686.1,344.9,172.1,273.5,435.8,654.3,698.9,150.3
IB,559.3,2713.1,314.0,356.8,629.8,28.9,481.0,375.7,125.2,604.1,426.1,301.2,509.1,33.8,313.4,607.8,608.0,534.8,601.8,302.8,418.6,565.5,61.2,482.4,585.5,421.4,419.2,356.7,638.5,510.1,558.5,458.0,130.4,328.2,275.0,342.3,545.3,184.1,312.6,478.3,368.6,592.7,386.3,485.6,610.0,517.8,506.6,497.7,272.9,451.0,0.0,310.1,332.1,523.5,259.0,400.8,311.0,387.3,222.6,499.5,186.6,262.0,340.9,104.9,227.0,553.9,285.2,374.5,549.7,321.8,249.7,256.0,305.3,546.2,216.5,539.0,174.1,368.2,585.7,335.9,381.6,205.7,382.0,600.5,521.5,330.8,222.1,202.1,532.1,547.1,218.5,622.8,486.7,235.9,373.4,214.6,500.8,283.1,387.8,70.2,567.5,438.5,245.0,153.9,380.4,239.6,431.9,557.8,243.2,616.4,269.3,425.9,243.5,312.2,127.3,384.7,400.9,271.8,365.3,388.8,205.9,211.3,225.6,352.6,350.3,356.5,571.6,219.6,338.3,387.1,197.8,394.5,430.0,158.7,278.4,622.6,362.3,397.6,445.6,499.4
IJ,674.2,2802.1,504.5,225.5,718.8,316.1,610.4,464.7,268.0,729.9,331.1,146.2,638.5,293.5,158.4,733.6,697.0,710.4,690.8,391.8,281.6,691.3,262.5,611.8,711.3,357.5,355.3,201.7,727.5,639.5,673.4,587.4,420.3,417.2,101.4,205.3,674.7,208.6,157.6,607.7,237.3,718.5,475.3,615.0,735.8,647.2,636.0,627.1,380.1,580.4,312.1,0.0,200.2,652.9,446.0,263.8,174.0,324.7,453.0,628.9,291.3,518.7,185.9,263.2,431.5,683.3,523.1,463.5,664.6,166.8,524.4,101.0,511.3,733.7,305.5,653.9,464.0,231.2,711.5,180.9,244.6,412.6,245.0,726.3,650.9,193.8,490.3,189.9,731.2,662.0,318.7,748.6,616.1,395.3,236.9,419.1,630.2,128.1,250.8,357.4,693.3,374.6,449.5,443.8,317.8,496.3,336.9,683.6,39.7,705.4,397.1,288.9,463.9,401.2,331.8,247.7,263.9,360.8,228.3,251.8,294.9,370.7,533.1,215.6,439.3,445.5,660.6,527.1,427.3,250.1,505.3,257.5,335.0,363.2,527.0,748.4,451.3,247.0,295.1,628.8
IN,682.1,2810.0,512.4,72.7,726.7,324.0,618.3,472.6,275.9,737.8,178.3,49.1,646.4,301.4,41.7,741.5,704.9,718.3,698.7,399.7,205.3,699.2,270.4,619.7,719.2,204.7,202.5,14.1,735.4,647.4,681.3,595.3,428.2,425.1,165.9,102.9,682.6,216.5,43.3,615.6,84.5,726.4,483.2,622.9,743.7,655.1,643.9,635.0,388.0,588.3,320.0,201.0,0.0,660.8,453.9,161.4,26.9,201.7,460.9,636.8,299.2,526.6,14.2,271.1,439.4,691.2,531.0,471.4,672.5,34.1,532.3,99.1,519.2,741.6,313.4,661.8,471.9,128.8,719.4,42.3,142.2,420.5,142.6,734.2,658.8,91.4,498.2,197.8,739.1,669.9,326.6,756.5,624.0,403.2,89.3,427.0,638.1,72.0,148.4,365.3,701.2,221.8,457.4,451.7,208.6,504.2,184.1,691.5,134.1,713.3,405.0,212.6,471.8,409.1,339.7,145.3,161.5,368.7,125.9,176.2,302.8,378.6,541.0,113.2,447.2,453.4,668.5,535.0,435.2,147.7,513.2,155.1,182.2,371.1,534.9,756.3,459.2,94.2,197.8,636.7
IR,111.7,2478.0,246.3,724.8,191.7,500.8,208.6,529.2,536.8,80.5,794.1,669.2,150.4,482.9,681.4,84.2,169.9,201.3,163.7,456.3,786.6,41.9,472.8,156.1,61.9,789.4,787.2,724.7,200.4,301.8,71.5,144.0,441.2,481.7,643.0,710.3,21.7,595.7,680.6,205.9,736.6,69.1,539.8,135.8,86.4,89.9,298.3,183.7,406.0,178.6,501.5,678.1,700.1,0.0,333.9,768.8,679.0,755.3,437.1,139.0,598.2,278.4,708.9,516.5,487.8,30.3,264.9,431.6,62.7,689.8,338.1,624.0,253.1,224.6,489.9,91.4,484.9,736.2,62.1,703.9,749.6,396.7,750.0,76.9,172.7,698.8,347.4,613.7,179.1,99.5,529.3,99.2,94.0,546.7,741.4,475.8,151.0,651.1,755.8,458.8,43.9,806.5,505.8,464.7,748.4,291.4,799.9,34.2,611.2,196.3,363.7,793.9,316.0,369.3,468.8,752.7,768.9,479.4,733.3,756.8,479.3,522.1,388.1,720.6,503.8,510.0,133.5,382.1,523.7,755.1,351.1,762.5,798.0,441.6,268.8,99.0,547.7,766.2,813.6,149.6
IT,413.8,2633.9,124.6,551.4,481.5,218.9,348.6,272.9,257.5,467.5,566.3,432.2,372.5,245.9,448.7,471.2,456.6,398.2,450.4,205.6,596.9,428.9,273.3,345.8,448.9,592.7,586.2,487.7,499.0,364.6,421.9,312.5,159.3,226.7,398.5,477.6,408.7,316.4,447.9,332.8,539.6,456.1,289.1,340.1,473.4,381.2,367.3,361.1,72.0,305.5,257.0,445.4,467.4,386.9,0.0,536.4,446.3,522.6,99.2,362.9,314.6,72.6,476.2,237.2,153.8,417.3,95.8,264.4,413.1,457.1,78.3,391.3,115.9,409.6,227.7,402.4,203.0,503.5,444.5,471.2,585.5,58.8,517.3,463.9,382.5,466.1,57.5,334.4,386.6,410.5,218.1,477.3,350.1,235.5,566.3,141.8,364.2,427.9,523.1,176.9,430.9,609.8,171.8,182.8,515.7,45.7,572.1,421.2,378.5,419.1,82.1,600.6,17.8,202.1,139.6,520.0,597.6,256.4,500.6,564.2,217.1,210.9,106.2,487.9,248.8,259.3,429.1,100.2,273.0,522.4,98.4,529.8,570.2,107.6,89.0,486.0,297.0,529.9,583.0,362.8
JA,759.0,2886.9,589.3,162.8,806.7,400.9,695.2,549.5,353.1,814.7,120.5,194.0,723.3,378.3,186.6,818.4,781.8,795.2,775.6,476.6,77.9,776.1,347.3,696.6,796.1,146.9,144.7,183.0,815.3,724.3,758.2,672.2,526.3,502.0,242.8,63.0,759.5,293.7,188.2,692.5,151.0,803.3,560.1,699.8,820.6,732.0,718.1,711.9,464.9,665.2,396.9,277.9,144.8,737.7,530.8,0.0,123.7,143.9,566.7,713.7,376.4,603.5,159.1,374.6,575.0,768.1,607.9,548.3,749.4,179.0,609.2,203.8,596.1,818.5,390.3,738.7,570.0,42.8,791.7,173.4,40.9,497.8,19.0,811.1,733.3,74.5,575.1,275.0,816.0,746.8,403.5,833.4,700.9,480.1,177.7,562.6,715.0,207.4,13.2,505.8,778.1,164.0,593.0,549.8,150.8,576.6,126.3,768.4,211.0,790.2,481.9,85.2,548.7,486.0,475.3,44.1,60.2,445.6,82.0,48.1,379.7,455.5,639.1,58.4,524.1,530.3,745.4,633.1,512.1,66.5,611.3,6.5,124.4,506.7,611.8,833.2,536.1,141.3,88.6,713.6
JF,671.5,2799.4,501.8,45.7,716.1,313.4,607.7,462.0,265.3,727.2,151.3,66.6,635.8,290.8,59.2,730.9,694.3,707.7,688.1,389.1,178.3,688.6,259.8,609.1,708.6,177.7,175.5,31.6,724.8,636.8,670.7,584.7,417.6,414.5,155.3,92.3,672.0,205.9,60.8,605.0,57.5,715.8,472.6,612.3,733.1,644.5,633.3,624.4,377.4,577.7,309.4,190.4,17.4,650.2,443.3,150.8,0.0,174.7,450.3,626.2,288.6,516.0,31.7,260.5,428.8,680.6,520.4,460.8,661.9,51.6,521.7,116.3,508.6,731.0,302.8,651.2,461.3,118.2,708.8,49.6,156.4,409.9,132.0,723.6,648.2,80.8,487.6,187.2,728.5,659.3,316.0,745.9,613.4,392.6,62.3,416.4,627.5,89.5,137.8,354.7,690.6,194.8,446.8,441.1,181.6,493.6,157.1,680.9,123.5,702.7,394.4,185.6,461.2,398.5,329.1,134.7,150.9,358.1,115.3,149.2,292.2,368.0,530.4,102.6,436.6,442.8,657.9,524.4,424.6,137.1,502.6,144.5,155.2,360.5,524.3,745.7,448.6,67.2,170.8,626.1
JK,781.7,2916.3,612.0,122.7,826.3,453.9,717.9,572.2,313.0,837.4,58.2,193.1,746.0,414.9,245.2,841.1,804.5,817.9,798.3,499.3,125.3,798.8,383.9,719.3,818.8,34.0,31.8,197.9,835.0,747.0,780.9,694.9,486.2,524.7,319.0,163.8,782.2,253.6,213.0,715.2,110.9,826.0,582.8,722.5,843.3,754.7,743.5,734.6,487.6,687.9,433.5,354.1,203.4,760.4,566.9,154.1,185.9,0.0,530.5,736.4,336.3,635.4,217.7,334.5,534.9,790.8,658.6,571.0,772.1,222.2,623.1,228.3,618.8,841.2,413.0,761.4,529.9,116.8,819.0,157.4,103.4,513.6,135.3,833.8,758.4,152.3,595.5,234.9,838.7,769.5,426.2,856.1,723.6,502.8,137.6,522.5,737.7,242.5,141.1,465.7,800.8,51.1,552.9,509.7,6.8,613.0,64.0,791.1,287.2,812.9,504.6,132.6,584.8,508.7,435.2,183.4,129.6,468.3,160.8,96.2,402.4,478.2,599.0,132.4,546.8,553.0,768.1,593.0,534.8,161.0,571.2,147.8,62.1,466.6,651.8,855.9,558.8,101.2,117.8,736.3
JM,435.6,2641.4,208.3,515.5,561.2,202.0,361.5,280.4,217.7,480.4,530.4,411.7,385.4,229.0,427.8,484.1,536.3,411.1,526.2,213.1,561.0,441.8,256.4,358.7,461.8,552.9,554.6,466.8,569.8,386.4,434.8,330.4,144.8,234.6,377.6,456.7,417.7,280.5,427.0,354.6,503.7,469.0,296.6,361.9,486.3,394.1,380.2,374.0,97.5,323.4,240.1,424.5,446.5,399.8,79.3,582.6,425.4,501.1,0.0,375.8,283.0,156.3,451.4,201.3,117.9,430.2,179.5,271.9,426.0,436.2,162.0,370.4,199.6,422.5,191.8,415.3,188.5,548.9,457.4,450.3,549.6,26.0,567.4,476.8,395.4,445.2,127.9,298.5,404.5,423.4,182.2,499.1,363.0,199.6,530.4,105.9,377.1,407.0,569.3,160.0,443.8,573.9,135.9,168.3,490.3,129.4,536.2,434.1,357.6,440.9,90.0,564.7,101.5,209.6,103.7,499.1,561.7,264.3,479.7,528.3,181.2,175.0,186.0,467.0,256.7,266.8,499.9,183.9,280.5,501.5,182.1,579.9,534.3,71.7,172.7,498.9,304.5,494.0,547.1,375.7
JP,217.9,2550.8,218.9,682.2,282.5,473.4,181.2,486.6,509.4,219.1,751.5,626.6,38.0,455.5,638.8,222.8,260.7,175.4,254.5,413.7,744.0,180.5,445.4,17.1,200.5,746.8,744.6,682.1,291.2,141.7,210.1,98.6,413.8,439.1,600.4,667.7,160.3,568.3,638.0,178.5,694.0,207.7,497.2,77.2,225.0,49.0,138.2,138.3,378.6,151.2,474.1,635.5,657.5,138.5,306.5,726.2,636.4,712.7,409.7,0.0,570.8,251.0,666.3,489.1,460.4,168.9,237.5,404.2,201.3,647.2,310.7,581.4,225.7,186.8,511.5,197.6,457.5,693.6,200.7,661.3,707.0,369.3,707.4,215.5,83.2,656.2,320.0,586.3,190.7,205.7,501.9,237.8,93.3,519.3,698.8,448.4,46.3,608.5,713.2,431.4,182.5,763.9,478.4,437.3,705.8,264.0,757.3,172.8,568.6,223.2,336.3,751.3,288.6,341.9,441.4,710.1,726.3,436.8,690.7,714.2,500.9,494.7,360.7,678.0,461.2,467.4,224.3,354.7,481.1,712.5,323.7,719.9,755.4,414.2,241.4,237.6,505.1,723.6,771.0,91.0
JX,648.5,2801.0,445.7,307.1,734.7,212.2,570.2,477.5,71.3,693.3,322.0,271.4,598.3,173.2,283.6,697.0,709.8,624.0,703.6,404.6,352.6,654.7,142.2,571.6,674.7,348.4,346.2,322.6,740.3,599.3,647.7,547.2,244.5,430.0,233.4,312.5,634.5,72.1,282.8,567.5,295.3,681.9,488.1,574.8,699.2,607.0,593.1,586.9,339.1,540.2,191.8,280.3,302.3,612.7,320.9,378.1,281.2,292.7,288.8,588.7,0.0,393.7,311.1,92.8,293.2,643.1,416.9,476.3,638.9,292.0,381.4,226.2,437.0,635.4,311.5,628.2,288.2,340.5,674.9,341.8,341.2,271.5,359.0,689.7,608.3,301.0,353.8,90.1,621.3,636.3,301.9,712.0,575.9,319.3,322.0,280.8,590.0,253.3,364.8,224.0,656.7,365.5,311.2,268.0,285.8,371.3,327.8,647.0,213.4,718.2,335.5,356.3,343.1,414.0,193.5,407.1,353.3,373.6,384.5,319.9,300.9,294.7,357.3,356.1,452.1,458.3,673.4,351.3,440.1,384.7,329.5,371.5,325.9,224.9,410.1,711.8,464.1,285.6,338.7,588.6
KC,426.1,2689.4,51.9,602.1,490.7,222.3,347.8,334.0,308.2,470.9,617.0,492.0,375.9,249.3,504.2,474.6,468.9,401.6,462.7,261.1,644.0,432.3,276.7,349.2,452.3,643.4,641.2,547.5,499.4,376.9,425.3,324.8,162.7,286.5,465.8,533.1,412.1,367.1,503.4,345.1,590.3,459.5,344.6,352.4,476.8,384.6,373.4,364.5,127.5,317.8,260.4,500.9,522.9,390.3,55.4,591.6,501.8,578.1,158.6,366.3,369.6,0.0,531.7,287.9,209.3,420.7,23.1,319.9,416.5,512.6,61.7,446.8,43.2,413.0,260.4,405.8,206.4,559.0,452.5,526.7,622.1,118.2,572.8,467.3,388.3,521.6,68.9,385.1,398.9,413.9,250.8,489.6,353.5,268.2,617.0,197.3,367.6,473.9,578.6,180.3,434.3,660.5,227.3,186.2,571.2,13.0,622.8,424.6,434.0,431.4,141.9,651.3,37.5,257.6,190.3,575.5,648.3,316.2,556.1,614.9,249.8,243.6,109.6,543.4,308.6,314.8,432.5,103.6,328.5,577.9,101.8,585.3,620.9,163.1,16.3,489.4,352.5,580.6,636.5,366.2
KE,696.4,2824.3,526.7,87.0,744.1,338.3,632.6,481.3,290.2,752.1,192.6,34.8,660.7,315.7,27.4,755.8,719.2,732.6,713.0,414.0,219.6,713.5,284.7,634.0,733.5,219.0,216.8,32.5,752.7,661.7,695.6,609.6,442.5,439.4,163.7,117.2,696.9,230.8,29.0,629.9,98.8,740.7,497.5,637.2,758.0,669.4,658.2,649.3,402.3,602.6,334.3,210.6,14.2,675.1,468.2,176.0,41.2,216.0,475.2,651.1,313.5,540.9,0.0,285.4,453.7,705.5,545.3,485.7,686.8,19.8,546.6,84.8,533.5,755.9,327.7,676.1,486.2,143.1,729.1,60.7,163.7,435.2,156.9,748.5,672.4,105.7,512.5,212.1,753.4,684.2,340.9,770.8,638.3,417.5,103.6,441.3,652.4,48.2,162.7,379.6,715.5,236.1,471.7,466.0,222.9,514.0,198.4,705.8,143.7,727.6,419.3,226.9,486.1,423.4,354.0,159.6,175.8,383.0,140.2,190.5,317.1,392.9,555.3,127.5,461.5,467.7,682.8,549.3,449.5,162.0,527.5,169.4,196.5,385.4,549.2,770.6,473.5,108.5,209.3,651.0
KH,555.6,2708.1,352.8,314.1,594.9,119.3,477.3,340.8,20.2,600.4,329.0,278.4,505.4,80.3,290.6,604.1,573.1,531.1,566.9,267.9,356.0,561.8,49.3,478.7,581.8,355.4,353.2,389.3,603.6,506.4,554.8,454.3,151.6,293.3,252.2,319.5,541.6,79.1,289.8,474.6,302.3,589.0,351.4,481.9,606.3,514.1,502.9,494.0,246.2,447.3,98.9,287.3,309.3,519.8,232.3,384.8,288.2,299.7,195.9,495.8,81.6,300.8,318.1,0.0,200.3,550.2,324.0,339.6,546.0,299.0,288.5,233.2,344.1,542.5,218.6,535.3,195.3,347.5,582.0,348.8,334.1,179.0,366.0,596.8,517.8,308.0,260.9,97.1,528.4,543.4,209.0,619.1,483.0,226.4,329.0,187.9,497.1,260.3,371.8,131.1,563.8,372.5,218.3,175.1,292.8,278.4,334.8,554.1,220.4,581.5,242.6,363.3,250.2,277.3,100.6,414.1,360.3,236.9,391.5,326.9,208.0,201.8,264.4,363.1,315.4,321.6,536.7,258.4,303.4,391.7,236.6,378.5,332.9,132.0,317.2,618.9,327.4,292.6,348.5,495.7
KN,489.3,2695.1,262.0,522.9,611.8,209.4,411.0,339.7,229.0,534.1,537.8,423.0,439.1,236.4,435.2,537.8,590.0,464.8,583.8,266.8,564.8,495.5,263.8,412.4,515.5,564.2,562.0,478.5,620.5,440.1,488.5,388.0,152.2,292.2,396.8,464.1,475.3,287.9,434.4,408.3,511.1,522.7,350.3,415.6,540.0,447.8,436.6,427.7,151.2,381.0,247.5,431.9,453.9,453.5,137.3,593.6,432.8,508.5,100.9,429.5,290.4,210.0,462.7,208.7,0.0,483.9,233.2,325.6,479.7,443.6,215.7,377.8,253.3,476.2,199.2,469.0,195.9,556.3,515.7,457.7,542.9,84.0,574.8,530.5,451.5,452.6,181.6,305.9,462.1,477.1,189.6,552.8,416.7,207.0,537.8,113.3,430.8,404.9,580.6,167.4,497.5,581.3,18.0,175.7,501.6,187.6,543.6,487.8,365.0,494.6,147.6,572.1,155.2,263.3,111.1,506.5,569.1,321.9,487.1,535.7,188.6,182.4,243.6,474.4,314.3,320.5,553.6,237.6,334.2,508.9,235.8,587.3,541.7,79.1,226.4,552.6,358.2,501.4,557.3,429.4
KT,109.5,2475.8,276.3,722.6,189.5,530.8,238.6,527.0,566.8,98.3,791.9,667.0,180.4,512.9,679.2,102.0,167.7,199.1,161.5,454.1,784.4,59.7,502.8,186.1,79.7,787.2,785.0,722.5,198.2,331.8,69.3,174.0,471.2,479.5,640.8,708.1,8.3,625.7,678.4,235.9,734.4,86.9,537.6,165.8,104.2,119.9,328.3,213.7,436.0,208.6,531.5,675.9,697.9,29.9,363.9,766.6,676.8,753.1,467.1,169.0,628.2,308.4,706.7,546.5,517.8,0.0,294.9,461.6,60.5,687.6,368.1,621.8,283.1,222.4,487.7,89.2,514.9,734.0,79.9,701.7,747.4,426.7,747.8,94.7,202.7,696.6,377.4,618.3,209.1,97.3,500.9,117.0,124.0,576.7,739.2,505.8,181.0,648.9,753.6,488.8,61.7,804.3,535.8,494.7,746.2,321.4,797.7,52.0,609.0,194.1,393.7,791.7,346.0,399.3,498.8,750.5,766.7,477.2,731.1,754.6,477.1,552.1,418.1,718.4,501.6,507.8,131.3,412.1,521.5,752.9,381.1,760.3,795.8,471.6,298.8,116.8,545.5,764.0,811.4,179.6
KZ,424.0,2702.9,28.7,615.6,488.6,235.8,345.7,347.5,321.7,468.8,630.5,505.5,373.8,262.8,517.7,472.5,466.8,399.5,460.6,274.6,657.5,430.2,275.2,347.1,450.2,656.9,654.7,561.0,497.3,374.8,423.2,322.7,176.2,300.0,479.3,546.6,410.0,380.6,516.9,343.0,603.8,457.4,358.1,350.3,474.7,382.5,371.3,362.4,141.0,315.7,273.9,514.4,536.4,388.2,68.9,605.1,515.3,591.6,172.1,364.2,383.1,13.4,545.2,301.4,222.8,418.6,0.0,333.4,414.4,526.1,75.2,460.3,20.1,410.9,273.9,403.7,219.9,572.5,450.4,540.2,635.6,131.7,586.3,465.2,386.2,535.1,82.4,398.6,396.8,411.8,264.3,487.5,351.4,281.7,630.5,210.8,365.5,487.4,592.1,193.8,432.2,674.0,240.8,199.7,584.7,26.5,636.3,422.5,447.5,429.3,155.4,664.8,51.0,271.1,203.8,589.0,661.8,329.7,569.6,628.4,263.3,257.1,123.1,556.9,322.1,328.3,430.4,117.1,342.0,591.4,115.3,598.8,634.4,176.6,3.9,487.3,366.0,594.1,650.0,364.1
LK,476.9,2705.9,292.7,500.1,525.0,409.8,398.6,304.5,357.8,521.7,569.4,444.5,426.7,436.8,456.7,525.4,503.2,452.4,497.0,231.6,561.9,483.1,336.8,400.0,503.1,564.7,562.5,500.0,533.7,427.7,476.1,375.6,352.6,257.0,418.3,485.6,462.9,414.5,455.9,395.9,511.9,510.3,315.1,403.2,527.6,435.4,424.2,415.3,261.9,368.6,447.9,453.4,475.4,441.1,268.0,544.1,454.3,530.6,275.0,417.1,419.2,324.8,484.2,337.5,325.7,471.5,311.3,0.0,467.3,465.1,346.4,399.3,299.5,463.8,265.2,456.6,396.3,511.5,503.3,479.2,524.9,234.6,525.3,518.1,439.1,474.1,312.3,395.8,449.7,464.7,278.4,540.4,404.3,355.0,516.7,313.7,418.4,426.4,531.1,367.8,485.1,581.8,343.7,376.1,523.7,318.3,575.2,475.4,386.5,511.6,219.1,569.2,285.9,85.0,311.5,528.0,544.2,254.7,508.6,532.1,254.6,330.4,374.3,495.9,279.1,285.3,466.8,368.3,299.0,530.4,366.5,537.8,573.3,279.5,315.2,540.2,323.0,541.5,588.9,417.0
ME,94.4,2460.7,279.9,707.5,174.4,534.4,242.2,511.9,565.2,90.7,776.8,651.9,190.8,516.5,664.1,94.4,152.6,184.0,146.4,439.0,769.3,52.1,506.4,196.5,72.1,772.1,769.9,707.4,183.1,249.7,8.7,177.6,474.8,464.4,625.7,693.0,49.9,621.9,663.3,239.5,719.3,79.3,522.5,176.2,96.6,130.3,246.2,202.4,439.6,212.2,535.1,660.8,682.8,40.3,367.5,751.5,661.7,738.0,470.7,179.4,626.6,312.0,691.6,544.9,521.4,58.5,298.5,447.5,0.0,672.5,371.7,606.7,286.7,207.3,472.6,74.1,518.5,718.9,72.3,686.6,732.3,430.3,732.7,87.1,213.1,681.5,381.0,603.2,204.8,82.2,485.8,109.4,134.4,580.3,724.1,509.4,191.4,633.8,738.5,492.4,54.1,789.2,539.4,498.3,731.1,325.0,782.6,44.4,593.9,179.0,397.3,776.6,349.6,385.2,502.4,735.4,751.6,462.1,716.0,739.5,462.0,555.7,421.7,703.3,486.5,492.7,116.2,415.7,506.4,737.8,384.7,745.2,780.7,475.2,302.4,109.2,530.4,748.9,796.3,190.0
MO,690.6,2818.5,520.9,98.3,735.2,332.5,626.8,481.1,284.4,746.3,203.9,14.9,654.9,309.9,40.4,750.0,713.4,726.8,707.2,408.2,230.9,707.7,278.9,628.2,727.7,230.3,228.1,44.5,743.9,655.9,689.8,603.8,436.7,433.6,156.4,147.1,691.1,225.0,9.1,624.1,110.1,734.9,491.7,631.4,752.2,663.6,652.4,643.5,396.5,596.8,328.5,191.5,44.1,669.3,462.4,205.6,71.1,227.3,469.4,645.3,307.7,535.1,29.8,279.6,447.9,699.7,539.5,479.9,681.0,0.0,540.8,65.7,527.7,750.1,321.9,670.3,480.4,173.0,727.9,53.7,209.0,429.0,186.8,742.7,667.3,135.6,506.7,206.3,747.6,678.4,335.1,765.0,632.5,411.7,109.7,435.5,646.6,70.7,192.6,373.8,709.7,247.4,465.9,460.2,234.2,512.7,209.7,700.0,124.6,721.8,413.5,238.2,480.3,417.6,348.2,189.5,235.2,377.2,170.1,201.8,311.3,387.1,549.5,157.4,455.7,461.9,677.0,543.5,443.7,191.9,521.7,199.3,207.8,379.6,543.4,764.8,467.7,119.8,223.4,645.2
