from_stop,AD,AR,AX,BA,BO,CC,CE,CI,CR,CW,DB,DD,DH,DT,DX,EM,EO,ET,FE,FT,FU,FY,FZ,GB,GF,GI,GJ,GL,GR,GS,GT,HD,HG,HT,IC,IH,IQ,IT,IY,JB,JE,JI,JJ,JK,JQ,JR,JT,JY,JZ,KD,KX,LK,LM,LU,LW,LX,LZ,MC,MD,ME,MI,MK,ML,MU,MW,MX,ND,NF,NM,NO,NQ,NS,NX,OB,OG,OK,ON,OQ,OX,OZ,PC,PF,PQ,PR,PY,QA,QG,QH,QM,QS,QW,QY,RK,RP,RY,SB,SH,SI,SL,SX,TD,TF,TQ,TR,TX,UK,UY,UZ,VE,VF,VJ,VM,VO,VP,VW,VX,WA,WE,WI,WJ,WO,WW,XD,XW,YC,YE,YF,YJ,YP,YV,ZD,ZE,ZG,ZL,ZQ,ZR,ZT
JY,195.3,32.1,169.5,589.3,808.0,689.7,416.2,70.4,699.8,581.5,608.6,772.7,181.4,678.2,318.8,201.2,341.4,141.6,233.0,455.8,824.8,161.6,176.9,209.0,192.1,224.0,215.1,86.6,683.9,173.2,133.6,553.6,758.8,627.0,225.4,188.4,770.9,159.3,664.3,128.9,406.4,127.9,255.2,2980.0,235.0,742.9,142.8,0.0,715.0,155.2,573.8,846.8,212.8,707.6,474.6,670.4,792.0,671.6,416.7,769.2,666.7,95.7,414.3,726.4,842.6,176.3,189.6,49.5,687.7,216.5,180.4,714.8,189.3,176.5,778.4,150.6,273.6,140.0,732.5,301.5,585.1,447.6,610.0,655.9,758.8,344.1,224.0,725.8,298.4,219.1,220.1,622.3,224.9,820.9,748.1,642.1,766.0,542.8,117.6,252.6,720.9,137.0,607.0,485.2,105.4,779.2,338.6,253.1,28.6,416.8,115.7,769.8,288.8,812.9,805.0,339.6,178.4,643.1,203.8,686.3,637.9,799.2,176.1,699.7,661.5,740.9,270.9,325.4,768.7,746.2,658.2,223.6,74.9,655.1,204.2,266.4,724.1
JZ,698.0,704.9,786.0,181.2,360.1,122.1,409.6,772.4,132.2,261.3,132.3,313.0,653.1,35.4,586.8,817.7,564.2,776.1,849.5,341.5,402.3,778.1,679.6,825.5,758.6,840.5,686.8,768.2,30.3,644.9,768.1,238.4,241.5,85.2,693.6,602.2,299.7,766.5,48.2,752.2,467.9,681.5,696.6,3350.4,648.8,283.2,614.5,703.4,0.0,721.7,258.6,377.9,684.5,94.6,468.0,60.5,349.1,172.4,410.1,309.5,167.5,755.7,407.7,266.7,371.4,679.0,692.3,731.1,54.7,688.2,797.3,197.5,805.8,793.0,214.1,730.5,616.6,741.1,272.8,918.0,269.9,441.0,133.7,235.6,191.2,489.7,840.5,158.2,914.9,835.6,836.6,168.0,791.4,349.7,180.5,149.3,306.3,227.6,798.4,869.1,261.2,753.5,183.7,365.3,787.0,319.3,416.0,869.6,732.1,410.2,797.3,298.6,905.3,341.7,362.1,525.9,794.9,222.8,617.6,251.1,153.9,382.0,792.6,63.8,100.3,223.6,887.4,526.9,251.4,181.9,72.7,599.0,778.4,75.8,820.7,609.4,82.1
KD,99.2,157.3,139.5,591.6,810.3,692.0,418.5,113.9,702.1,583.8,610.9,775.0,218.5,680.5,321.1,171.2,343.7,95.4,203.0,458.1,827.1,131.6,81.5,179.0,36.3,194.0,165.0,166.5,686.2,203.4,77.8,555.9,761.1,629.3,125.4,190.7,773.2,44.7,666.6,30.4,408.7,258.7,155.2,2932.5,237.3,745.2,145.1,130.7,717.3,0.0,576.1,849.1,199.1,709.9,476.9,672.7,794.3,673.9,419.0,771.5,669.0,97.2,416.6,728.7,844.9,80.2,93.5,160.6,690.0,192.5,134.2,717.1,159.3,146.5,780.7,8.7,275.9,19.3,734.8,271.5,587.4,449.9,612.3,658.2,761.1,346.4,194.0,728.1,268.4,189.1,190.1,624.6,69.1,823.2,750.4,644.4,768.3,545.1,139.9,222.6,723.2,107.0,609.3,487.5,147.8,781.5,340.9,223.1,112.0,419.1,173.5,772.1,258.8,815.2,807.3,341.9,148.4,645.4,206.1,688.6,640.2,801.5,146.1,702.0,663.8,743.2,240.9,327.7,771.0,748.5,660.5,225.9,142.0,657.4,174.2,268.7,726.4
KX,532.7,539.6,620.7,134.8,353.5,235.2,245.0,607.1,245.3,80.8,154.1,318.2,486.3,223.7,421.5,652.4,398.9,610.8,684.2,176.2,370.3,612.8,514.3,660.2,597.9,675.2,521.5,602.9,229.4,479.6,602.8,12.1,304.3,172.5,528.3,436.9,316.4,601.2,209.8,586.9,302.6,512.0,531.3,3185.1,483.5,288.4,449.2,538.1,260.5,556.4,0.0,392.3,519.2,253.1,302.7,215.9,337.5,222.7,244.8,314.7,212.2,590.4,242.4,271.9,388.1,513.7,527.0,565.8,233.2,522.9,632.0,260.3,640.5,627.7,323.9,565.2,451.3,575.8,278.0,752.7,64.4,275.7,155.5,194.2,304.3,324.4,675.2,271.3,749.6,673.0,671.3,167.8,626.1,366.4,293.6,275.7,311.5,18.6,633.1,703.8,266.4,588.2,242.7,200.0,621.7,324.7,250.7,704.3,566.8,244.9,632.0,315.3,740.0,358.4,350.5,360.6,629.6,207.0,452.3,185.6,266.8,344.7,627.3,245.2,207.0,286.4,722.3,361.6,314.2,291.7,203.7,433.7,613.1,200.6,655.4,444.1,273.9
LK,831.5,838.4,919.5,326.7,133.1,256.4,543.1,905.9,266.5,394.8,265.8,176.1,786.6,323.3,720.3,951.2,697.7,909.6,983.0,475.0,58.6,911.6,813.1,959.0,892.1,974.0,820.3,901.7,329.0,778.4,901.6,371.9,136.3,302.2,827.1,735.7,98.2,900.0,309.4,885.7,601.4,815.0,830.1,3514.3,782.3,151.8,748.0,836.9,360.1,855.2,392.1,0.0,818.0,382.8,601.5,345.6,149.1,207.6,543.6,125.5,212.5,889.2,541.2,129.7,6.4,812.5,825.8,864.6,332.8,821.7,930.8,180.4,939.3,926.5,241.5,864.0,750.1,874.6,124.1,1051.5,403.4,574.5,267.2,393.2,249.4,623.2,974.0,209.7,1048.4,969.1,970.1,351.2,924.9,36.5,238.7,332.5,169.4,361.1,931.9,1002.6,128.8,887.0,344.4,498.8,920.5,115.5,549.5,1003.1,865.6,543.7,930.8,79.1,1038.8,46.1,136.1,659.4,928.4,380.5,751.1,384.6,337.1,83.0,926.1,344.8,336.7,154.3,1020.9,660.4,125.9,209.3,333.4,732.5,911.9,330.3,954.2,742.9,369.2
LM,157.7,194.6,245.7,530.7,749.4,631.1,357.6,232.1,641.2,522.9,550.0,714.1,19.3,619.6,260.2,277.4,282.8,235.8,309.2,397.2,766.2,237.8,139.3,285.2,218.3,300.2,32.2,284.7,625.3,67.4,227.8,495.0,700.2,568.4,58.8,129.8,712.3,226.2,605.7,211.9,347.8,171.2,26.7,2960.4,176.4,684.3,63.8,193.1,656.4,181.4,515.2,788.2,0.0,649.0,416.0,611.8,733.4,613.0,358.1,710.6,608.1,215.4,355.7,667.8,784.0,138.7,152.0,220.8,629.1,59.7,257.0,656.2,265.5,252.7,719.8,190.2,215.0,200.8,673.9,377.7,526.5,389.0,551.4,597.3,700.2,285.5,300.2,667.2,374.6,295.3,296.3,563.7,251.1,762.3,689.5,583.5,707.4,484.2,258.1,328.8,662.3,213.2,548.4,426.6,266.0,720.6,280.0,329.3,230.2,358.2,291.7,711.2,365.0,754.3,746.4,281.0,254.6,584.5,145.2,627.7,579.3,740.6,252.3,641.1,602.9,682.3,347.1,266.8,710.1,687.6,599.6,165.0,260.2,596.5,280.4,207.8,665.5
LU,683.0,689.9,771.0,166.2,392.5,154.5,394.6,757.4,164.6,246.3,117.3,345.4,638.1,130.9,571.8,802.7,549.2,761.1,834.5,326.5,434.7,763.1,664.6,810.5,743.6,825.5,671.8,753.2,125.8,629.9,753.1,223.4,273.9,70.5,678.6,587.2,332.1,751.5,127.5,737.2,452.9,666.5,681.6,3335.4,633.8,315.6,599.5,688.4,95.4,706.7,243.6,410.3,669.5,0.0,453.0,44.0,381.5,204.8,395.1,341.9,199.9,740.7,392.7,299.1,403.8,664.0,677.3,716.1,123.0,673.2,782.3,229.9,790.8,778.0,246.5,715.5,601.6,726.1,305.2,903.0,254.9,426.0,118.7,220.6,223.6,474.7,825.5,190.6,899.9,820.6,821.6,153.0,776.4,382.1,212.9,134.3,338.7,212.6,783.4,854.1,293.6,738.5,168.7,350.3,772.0,351.7,401.0,854.6,717.1,395.2,782.3,331.0,890.3,374.1,394.5,510.9,779.9,207.8,602.6,236.1,138.9,414.4,777.6,111.0,57.4,256.0,872.4,511.9,283.8,214.3,39.3,584.0,763.4,42.4,805.7,594.4,129.3
LW,612.4,619.3,700.4,182.7,401.4,283.1,223.3,686.8,293.2,174.9,202.0,366.1,567.5,271.6,400.5,732.1,377.9,690.5,763.9,155.2,418.2,692.5,594.0,739.9,673.0,754.9,601.2,682.6,277.3,559.3,682.5,147.0,352.2,220.4,608.0,516.6,364.3,680.9,257.7,666.6,281.6,595.9,611.0,3164.1,563.2,336.3,528.9,617.8,308.4,636.1,167.2,440.2,598.9,301.0,0.0,263.8,385.4,265.0,223.8,362.6,260.1,670.1,221.4,319.8,436.0,593.4,606.7,645.5,281.1,602.6,711.7,308.2,720.2,707.4,371.8,644.9,531.0,655.5,325.9,832.4,178.5,20.9,203.4,249.3,352.2,303.4,754.9,319.2,829.3,750.0,751.0,215.7,705.8,414.3,341.5,235.5,359.4,136.2,712.8,783.5,314.3,667.9,200.4,179.0,701.4,372.6,229.7,784.0,646.5,223.9,711.7,363.2,819.7,406.3,398.4,339.6,709.3,236.5,532.0,279.7,231.3,392.6,707.0,293.1,254.9,334.3,801.8,340.6,362.1,339.6,251.6,513.4,692.8,248.5,735.1,523.8,317.5
LX,655.8,662.7,743.8,139.0,365.3,127.3,367.4,730.2,137.4,219.1,90.1,318.2,610.9,86.8,544.6,775.5,522.0,733.9,807.3,299.3,407.5,735.9,637.4,783.3,716.4,798.3,644.6,726.0,81.7,602.7,725.9,196.2,246.7,43.3,651.4,560.0,304.9,724.3,92.3,710.0,425.7,639.3,654.4,3308.2,606.6,288.4,572.3,661.2,51.3,679.5,216.4,383.1,642.3,34.0,425.8,0.0,354.3,177.6,367.9,314.7,172.7,713.5,365.5,271.9,376.6,636.8,650.1,688.9,78.9,646.0,755.1,202.7,763.6,750.8,219.3,688.3,574.4,698.9,278.0,875.8,227.7,398.8,91.5,193.4,196.4,447.5,798.3,163.4,872.7,793.4,794.4,125.8,749.2,354.9,185.7,107.1,311.5,185.4,756.2,826.9,266.4,711.3,141.5,323.1,744.8,324.5,373.8,827.4,689.9,368.0,755.1,303.8,863.1,346.9,367.3,483.7,752.7,180.6,575.4,208.9,111.7,387.2,750.4,66.9,39.7,228.8,845.2,484.7,256.6,187.1,12.1,556.8,736.2,15.2,778.5,567.2,85.2
LZ,786.7,793.6,874.7,281.9,16.0,273.5,498.3,861.1,283.6,350.0,221.0,76.9,740.3,306.4,675.5,906.4,652.9,864.8,938.2,430.2,137.1,866.8,768.3,914.2,851.9,929.2,775.5,856.9,312.1,733.6,856.8,327.1,153.4,257.4,782.3,690.9,87.1,855.2,292.5,840.9,556.6,770.2,785.3,3469.5,737.5,100.3,703.2,792.1,343.2,810.4,347.3,159.1,773.2,338.0,556.7,300.8,0.0,172.7,498.8,102.0,183.2,844.4,496.4,127.9,165.6,767.7,781.0,819.8,315.9,776.9,893.5,196.4,894.5,881.7,258.6,819.2,705.3,829.8,134.0,1006.7,358.6,529.7,222.4,345.3,266.5,578.4,929.2,226.8,1003.6,927.0,925.3,306.4,880.1,145.3,256.9,282.6,70.2,316.3,887.1,957.8,145.9,842.2,306.4,454.0,875.7,92.0,504.7,958.3,820.8,498.9,886.0,114.2,994.0,137.3,13.0,614.6,883.6,335.7,706.3,339.8,292.3,111.5,881.3,327.9,291.9,171.4,976.1,615.6,143.0,226.4,288.6,687.7,867.1,285.5,909.4,698.1,356.6
MC,666.6,673.5,754.6,161.8,187.0,106.1,378.7,741.0,116.2,229.9,100.9,134.9,620.2,133.6,555.4,786.3,532.8,744.7,818.1,310.1,235.7,746.7,648.2,794.1,731.8,809.1,655.4,736.8,139.3,613.5,736.7,207.0,81.5,129.8,662.2,570.8,133.1,735.1,114.4,720.8,436.5,650.1,665.2,3319.0,617.4,105.1,583.1,672.0,170.4,690.3,227.2,211.3,653.1,210.4,436.6,173.2,171.0,0.0,378.7,131.4,10.5,724.3,376.3,88.6,204.8,647.6,660.9,699.7,143.1,656.8,773.4,37.5,774.4,761.6,101.1,699.1,585.2,709.7,94.7,886.6,238.5,409.6,102.3,225.2,109.0,458.3,809.1,69.3,883.5,806.9,805.2,186.3,760.0,183.1,98.3,162.5,128.2,196.2,767.0,837.7,83.1,722.1,186.3,333.9,755.6,141.4,384.6,838.2,700.7,378.8,765.9,132.0,873.9,175.1,184.0,494.5,763.5,215.6,586.2,219.7,172.2,215.4,761.2,155.1,164.3,63.6,856.0,495.5,91.4,68.9,161.0,567.6,747.0,157.9,789.3,578.0,183.8
MD,602.2,609.1,690.2,172.5,391.2,272.9,213.1,676.6,283.0,164.7,191.8,355.9,557.3,261.4,390.3,721.9,367.7,680.3,753.7,39.0,408.0,682.3,583.8,729.7,662.8,744.7,591.0,672.4,267.1,549.1,672.3,136.8,342.0,210.2,597.8,506.4,354.1,670.7,247.5,656.4,271.4,585.7,600.8,3153.9,553.0,326.1,518.7,607.6,298.2,625.9,157.0,430.0,588.7,290.8,57.8,253.6,375.2,254.8,0.0,352.4,249.9,659.9,211.2,309.6,425.8,583.2,596.5,635.3,270.9,592.4,701.5,298.0,710.0,697.2,361.6,634.7,520.8,645.3,315.7,822.2,168.3,30.8,193.2,239.1,342.0,293.2,744.7,309.0,819.1,739.8,740.8,205.5,695.6,404.1,331.3,225.3,349.2,126.0,702.6,773.3,304.1,657.7,190.2,168.8,691.2,362.4,219.5,773.8,636.3,0.1,701.5,353.0,809.5,396.1,388.2,329.4,699.1,226.3,521.8,269.5,221.1,382.4,696.8,282.9,244.7,324.1,791.6,330.4,351.9,329.4,241.4,503.2,682.6,238.3,724.9,513.6,307.3
ME,751.3,758.2,839.3,246.5,66.0,223.7,462.9,825.7,233.8,314.6,185.6,71.2,706.4,255.2,640.1,871.0,617.5,829.4,902.8,394.8,113.5,831.4,732.9,878.8,811.9,893.8,740.1,821.5,260.9,698.2,821.4,291.7,106.6,222.0,746.9,655.5,40.3,819.8,241.3,805.5,521.2,734.8,749.9,3403.7,702.1,26.2,667.8,756.7,292.0,775.0,311.9,126.7,737.8,302.6,521.3,265.4,82.0,127.1,463.4,0.0,132.0,809.0,461.0,76.7,120.2,732.3,745.6,784.4,264.7,741.5,850.6,145.2,859.1,846.3,208.8,783.8,669.9,794.4,82.8,971.3,323.2,494.3,187.0,313.0,216.7,543.0,893.8,177.0,968.2,888.9,889.9,271.0,844.7,98.5,206.0,252.3,77.9,280.9,851.7,922.4,99.1,806.8,264.2,418.6,840.3,10.0,469.3,922.9,785.4,463.5,850.6,67.4,958.6,90.5,69.0,579.2,848.2,300.3,670.9,304.4,256.9,87.9,845.9,276.7,256.5,124.6,940.7,580.2,96.2,176.6,253.2,652.3,831.7,250.1,874.0,662.7,301.1
MI,656.1,663.0,744.1,151.3,197.5,95.6,367.7,730.5,105.7,219.4,90.4,145.4,611.2,123.1,544.9,775.8,522.3,734.2,807.6,299.6,246.2,736.2,637.7,783.6,716.7,798.6,644.9,726.3,128.8,603.0,726.2,196.5,92.0,119.3,651.7,560.3,143.6,724.6,109.2,710.3,426.0,639.6,654.7,3308.5,606.9,115.6,572.6,661.5,159.9,679.8,216.7,221.8,642.6,199.9,426.1,162.7,181.5,4.8,368.2,141.9,0.0,713.8,365.8,99.1,215.3,637.1,650.4,689.2,132.6,646.3,755.4,48.0,763.9,751.1,111.6,688.6,574.7,699.2,105.2,876.1,228.0,399.1,91.8,217.8,119.5,447.8,798.6,79.8,873.0,793.7,794.7,175.8,749.5,193.6,108.8,157.1,138.7,185.7,756.5,827.2,93.6,711.6,169.0,323.4,745.1,151.9,374.1,827.7,690.2,368.3,755.4,142.5,863.4,185.6,194.5,484.0,753.0,205.1,575.7,209.2,161.7,225.9,750.7,144.6,153.8,74.1,845.5,485.0,101.9,79.4,150.5,557.1,736.5,147.4,778.8,567.5,169.0
MK,135.7,112.3,102.8,628.1,846.8,728.5,455.0,68.9,738.6,620.3,647.4,811.5,255.0,717.0,357.6,134.5,380.2,78.1,166.3,494.6,863.6,94.9,118.0,142.3,128.6,157.3,201.5,121.5,722.7,239.9,70.1,592.4,797.6,665.8,161.9,227.2,809.7,95.8,703.1,65.4,445.2,213.7,191.7,2969.0,273.8,781.7,181.6,85.7,753.8,91.7,612.6,885.6,235.6,746.4,513.4,709.2,830.8,710.4,455.5,808.0,705.5,0.0,453.1,765.2,881.4,116.7,130.0,115.6,726.5,229.0,116.9,753.6,122.6,109.8,817.2,87.1,312.4,76.5,771.3,234.8,623.9,486.4,648.8,694.7,797.6,382.9,157.3,764.6,231.7,152.4,153.4,661.1,161.4,859.7,786.9,680.9,804.8,581.6,94.9,185.9,759.7,51.8,645.8,524.0,102.8,818.0,377.4,186.4,67.0,455.6,128.5,808.6,222.1,851.7,843.8,378.4,111.7,681.9,242.6,725.1,676.7,838.0,109.4,738.5,700.3,779.7,204.2,364.2,807.5,785.0,697.0,262.4,97.0,693.9,137.5,305.2,762.9
ML,604.6,611.5,692.6,174.9,393.6,275.3,1.9,679.0,285.4,167.1,194.2,358.3,559.7,263.8,392.7,724.3,370.1,682.7,756.1,41.4,410.4,684.7,586.2,732.1,665.2,747.1,593.4,674.8,269.5,551.5,674.7,139.2,344.4,212.6,600.2,508.8,356.5,673.1,249.9,658.8,273.8,588.1,603.2,3156.3,555.4,328.5,521.1,610.0,300.6,628.3,159.4,432.4,591.1,293.2,60.2,256.0,377.6,257.2,2.3,354.8,252.3,662.3,0.0,312.0,428.2,585.6,598.9,637.7,273.3,594.8,703.9,300.4,712.4,699.6,364.0,637.1,523.2,647.7,318.1,824.6,170.7,33.2,195.6,241.5,344.4,295.6,747.1,311.4,821.5,742.2,743.2,207.9,698.0,406.5,333.7,227.7,351.6,128.4,705.0,775.7,306.5,660.1,192.6,171.2,693.6,364.8,221.9,776.2,638.7,2.5,703.9,355.4,811.9,398.5,390.6,331.8,701.5,228.7,524.2,271.9,223.5,384.8,699.2,285.3,247.1,326.5,794.0,332.8,354.3,331.8,243.8,505.6,685.0,240.7,727.3,516.0,309.7
MU,708.0,714.9,796.0,203.2,131.1,180.4,419.6,782.4,190.5,271.3,142.3,99.7,663.1,211.9,596.8,827.7,574.2,786.1,859.5,351.5,155.3,788.1,689.6,835.5,768.6,850.5,696.8,778.2,217.6,654.9,778.1,248.4,128.8,178.7,703.6,612.2,70.7,776.5,198.0,762.2,477.9,691.5,706.6,3360.4,658.8,69.9,624.5,713.4,248.7,731.7,268.6,130.9,694.5,259.3,478.0,222.1,135.8,83.8,420.1,96.2,88.7,765.7,417.7,0.0,124.4,689.0,702.3,741.1,221.4,698.2,807.3,101.9,815.8,803.0,165.5,740.5,626.6,751.1,6.0,928.0,279.9,451.0,143.7,269.7,173.4,499.7,850.5,133.7,924.9,845.6,846.6,227.7,801.4,102.7,162.7,209.0,93.0,237.6,808.4,879.1,75.3,763.5,220.9,375.3,797.0,90.3,426.0,879.6,742.1,420.2,807.3,54.1,915.3,94.7,134.1,535.9,804.9,257.0,627.6,261.1,213.6,153.0,802.6,233.4,213.2,128.0,897.4,536.9,118.4,133.3,209.9,609.0,788.4,206.8,830.7,619.4,257.8
MW,825.3,832.2,913.3,320.5,139.6,249.9,536.9,899.7,260.0,388.6,259.6,182.6,778.9,316.8,714.1,945.0,691.5,903.4,976.8,468.8,65.1,905.4,806.9,952.8,890.5,967.8,814.1,895.5,322.5,772.2,895.4,365.7,129.8,296.0,820.9,729.5,91.7,893.8,297.6,879.5,595.7,808.8,823.9,3520.8,776.1,147.6,741.8,830.7,353.6,849.0,385.9,6.4,811.8,376.6,595.3,339.4,155.6,195.5,537.4,121.3,206.0,883.0,535.0,123.2,0.0,806.3,819.6,858.4,326.3,815.5,932.1,173.9,933.1,920.3,235.0,857.8,743.9,868.4,117.6,1045.3,397.2,568.3,261.0,387.0,242.9,617.0,967.8,203.2,1042.2,965.6,963.9,345.0,918.7,43.0,232.2,321.2,175.9,354.9,925.7,996.4,122.3,880.8,345.0,492.6,914.3,111.3,543.3,996.9,859.4,537.5,924.6,72.6,1032.6,39.6,142.6,653.2,922.2,374.3,744.9,378.4,330.9,89.5,919.9,338.3,330.5,147.8,1014.7,654.2,119.4,202.8,327.2,726.3,905.7,324.1,948.0,736.7,367.0
MX,18.9,184.9,155.1,539.5,758.2,639.9,366.4,141.5,650.0,531.7,558.8,722.9,166.4,628.4,269.0,186.8,291.6,145.2,218.6,406.0,775.0,147.2,48.7,194.6,127.7,209.6,112.9,194.1,634.1,151.3,137.2,503.8,709.0,577.2,73.3,138.6,721.1,135.6,614.5,121.3,356.6,149.0,103.1,2880.4,185.2,693.1,93.0,158.3,665.2,90.8,524.0,797.0,147.0,657.8,424.8,620.6,742.2,621.8,366.9,719.4,616.9,124.8,364.5,676.6,792.8,0.0,13.2,188.2,637.9,140.4,166.4,665.0,174.9,162.1,728.6,99.6,223.8,110.2,682.7,287.1,535.3,397.8,560.2,606.1,709.0,294.3,209.6,676.0,284.0,204.7,205.7,572.5,160.5,771.1,698.3,592.3,716.2,493.0,167.5,238.2,671.1,122.6,557.2,435.4,175.4,729.4,288.8,238.7,139.6,367.0,201.1,720.0,274.4,763.1,755.2,289.8,164.0,593.3,154.0,636.5,588.1,749.4,161.7,649.9,611.7,691.1,256.5,275.6,718.9,696.4,608.4,173.8,169.6,605.3,189.8,216.6,674.3
ND,5.7,195.4,165.6,550.0,768.7,650.4,376.9,152.0,660.5,542.2,569.3,733.4,176.9,638.9,279.5,197.3,302.1,155.7,229.1,416.5,785.5,157.7,59.2,205.1,138.2,220.1,123.4,204.6,644.6,161.8,147.7,514.3,719.5,587.7,83.8,149.1,731.6,146.1,625.0,131.8,367.1,159.5,113.6,2890.9,195.7,703.6,103.5,168.8,675.7,101.3,534.5,807.5,157.5,668.3,435.3,631.1,752.7,632.3,377.4,729.9,627.4,135.3,375.0,687.1,803.3,10.4,0.0,198.7,648.4,150.9,176.9,675.5,185.4,172.6,739.1,110.1,234.3,120.7,693.2,297.6,545.8,408.3,570.7,616.6,719.5,304.8,220.1,686.5,294.5,215.2,216.2,583.0,171.0,781.6,708.8,602.8,726.7,503.5,178.0,248.7,681.6,133.1,567.7,445.9,185.9,739.9,299.3,249.2,150.1,377.5,211.6,730.5,284.9,773.6,765.7,300.3,174.5,603.8,164.5,647.0,598.6,759.9,172.2,660.4,622.2,701.6,267.0,286.1,729.4,706.9,618.9,184.3,180.1,615.8,200.3,227.1,684.8
NF,209.1,26.1,179.4,627.0,845.7,727.4,453.9,80.3,737.5,619.2,646.3,810.4,219.1,715.9,356.5,211.1,379.1,151.5,242.9,493.5,862.5,171.5,191.4,218.9,202.0,233.9,274.9,37.0,721.6,210.9,143.5,591.3,796.5,664.7,235.3,226.1,808.6,169.2,702.0,138.8,444.1,165.6,265.1,3017.7,272.7,780.6,180.5,48.3,752.7,165.1,611.5,884.5,250.5,745.3,512.3,708.1,829.7,709.3,454.4,806.9,704.4,105.6,452.0,764.1,880.3,190.1,203.4,0.0,725.4,254.2,190.3,752.5,199.2,186.4,816.1,160.5,311.3,149.9,770.2,311.4,622.8,485.3,647.7,693.6,796.5,381.8,233.9,763.5,308.3,229.0,230.0,660.0,234.8,858.6,785.8,679.8,803.7,580.5,91.0,262.5,758.6,146.9,644.7,522.9,55.8,816.9,376.3,263.0,38.5,454.5,66.1,807.5,298.7,850.6,842.7,377.3,188.3,680.8,241.5,724.0,675.6,836.9,186.0,737.4,699.2,778.6,280.8,363.1,806.4,783.9,695.9,261.3,84.8,692.8,214.1,304.1,761.8
NM,663.1,670.0,751.1,146.3,325.2,87.2,374.7,737.5,97.3,226.4,97.4,278.1,618.2,30.3,551.9,782.8,529.3,741.2,814.6,306.6,367.4,743.2,644.7,790.6,723.7,805.6,651.9,733.3,36.0,610.0,733.2,203.5,206.6,50.3,658.7,567.3,264.8,731.6,13.3,717.3,433.0,646.6,661.7,3315.5,613.9,248.3,579.6,668.5,66.6,686.8,223.7,343.0,649.6,130.9,433.1,93.7,314.2,137.5,375.2,274.6,132.6,720.8,372.8,231.8,336.5,644.1,657.4,696.2,0.0,653.3,762.4,162.6,770.9,758.1,179.2,695.6,581.7,706.2,237.9,883.1,235.0,406.1,98.8,200.7,156.3,454.8,805.6,123.3,880.0,800.7,801.7,133.1,756.5,314.8,145.6,114.4,271.4,192.7,763.5,834.2,226.3,718.6,148.8,330.4,752.1,284.4,381.1,834.7,697.2,375.3,762.4,263.7,870.4,306.8,327.2,491.0,760.0,187.9,582.7,216.2,119.0,347.1,757.7,12.0,84.8,188.7,852.5,492.0,216.5,147.0,81.5,564.1,743.5,78.4,785.8,574.5,36.3
NO,158.0,230.5,246.0,566.6,785.3,667.0,393.5,232.4,677.1,558.8,585.9,750.0,66.0,655.5,296.1,277.7,318.7,236.1,309.5,433.1,802.1,238.1,139.6,285.5,218.6,300.5,17.2,285.0,661.2,49.5,228.1,530.9,736.1,604.3,59.1,165.7,748.2,226.5,641.6,212.2,383.7,207.1,27.0,2960.7,212.3,720.2,99.7,249.2,692.3,181.7,551.1,824.1,46.6,684.9,451.9,647.7,769.3,648.9,394.0,746.5,644.0,215.7,391.6,703.7,819.9,139.0,152.3,279.1,665.0,0.0,257.3,692.1,265.8,253.0,755.7,190.5,250.9,201.1,709.8,378.0,562.4,424.9,587.3,633.2,736.1,321.4,300.5,703.1,374.9,295.6,296.6,599.6,251.4,798.2,725.4,619.4,743.3,520.1,258.4,329.1,698.2,213.5,584.3,462.5,266.3,756.5,315.9,329.6,230.5,394.1,292.0,747.1,365.3,790.2,782.3,316.9,254.9,620.4,181.1,663.6,615.2,776.5,252.6,677.0,638.8,718.2,347.4,302.7,746.0,723.5,635.5,200.9,260.5,632.4,280.7,243.7,701.4
NQ,153.2,180.8,104.7,645.6,864.3,746.0,473.2,129.9,756.1,637.8,664.9,829.0,273.6,734.5,382.6,136.4,397.7,48.7,171.5,512.1,881.1,96.8,135.5,144.2,158.2,166.7,219.0,182.5,740.2,257.4,105.6,609.9,821.4,690.8,179.4,244.7,827.2,131.3,715.3,100.9,462.2,270.5,209.2,2986.5,291.3,799.2,199.1,146.7,771.3,109.2,637.6,903.1,253.1,763.9,530.9,726.7,848.3,741.0,473.0,825.5,723.0,113.2,470.6,782.7,898.9,134.2,147.5,176.6,744.0,246.5,0.0,771.1,124.5,111.7,834.7,118.0,337.4,112.0,788.8,236.7,641.4,503.9,673.8,709.0,815.1,400.4,159.2,782.1,233.6,164.5,162.8,686.1,178.9,877.2,805.5,703.1,822.3,599.1,155.9,187.8,777.2,72.2,670.1,549.0,163.8,835.5,394.9,188.3,128.0,473.1,189.5,826.1,224.0,876.7,868.8,395.9,113.6,699.4,260.1,742.6,694.2,855.5,111.3,763.5,717.8,804.7,206.3,381.7,825.0,802.5,714.5,287.4,158.0,718.9,146.9,322.7,784.7
