from_stop,AL,AO,AV,BF,BI,BK,BM,BQ,BR,CH,CI,CR,CS,CT,CZ,DA,DD,DF,DK,DL,DN,DO,EB,EI,EJ,EK,EL,EO,ES,EU,FB,FF,FU,FW,FX,GC,GJ,GL,GS,GV,GX,HK,HR,HS,HU,HV,HZ,IG,IJ,IQ,JA,JE,JF,JZ,KF,KJ,KL,KM,KN,KU,KW,KX,KY,LB,LE,LG,LO,LR,LW,MA,MD,MJ,MM,MO,MR,MW,MY,NE,NO,NQ,NR,NT,NU,NW,OI,OQ,OX,OZ,PC,PH,PJ,PK,PQ,PR,PS,PZ,QD,QE,QG,QK,QN,RB,RC,RE,RH,RL,RT,RW,SA,SJ,SL,SM,SP,SQ,SX,SY,TC,TD,TE,TL,TU,UA,UB,UD,UF,UG,UN,UQ,UT,UZ,VE,VK,VL,VQ,VT,WF,WH,WL,WO,WP,WU,WV,XA,XD,XF,XH,XQ,XT,XX,YB,YH,YQ,YV,YY,YZ,ZB,ZP,ZV,ZX
HK,56.4,53.8,773.0,802.2,660.8,797.5,88.3,135.6,788.7,141.2,268.5,12.9,789.1,689.5,678.8,563.6,930.2,894.0,893.3,722.5,589.3,922.7,941.9,945.2,941.3,861.8,682.9,905.4,881.3,479.8,819.6,472.2,505.9,418.2,880.6,900.6,797.1,125.2,649.4,116.9,41.7,0.0,82.1,974.7,975.7,586.0,689.8,97.9,364.5,235.6,224.5,16.7,250.8,855.1,776.7,878.9,1113.5,833.5,869.3,113.8,772.4,116.0,753.8,359.4,737.6,928.4,228.0,155.2,428.1,270.4,31.8,167.5,936.7,393.8,306.1,73.6,106.6,900.2,115.4,942.9,919.2,253.5,690.8,697.5,861.8,110.6,168.0,902.0,763.9,896.9,969.6,366.4,610.4,977.9,150.4,79.7,447.1,179.3,562.9,828.7,381.4,644.4,280.5,767.7,461.3,974.4,251.1,126.1,17.6,176.2,932.1,239.6,963.3,47.9,943.3,890.5,552.1,157.0,134.7,580.7,915.3,199.4,229.5,720.9,917.7,864.3,962.7,925.1,86.7,647.2,941.1,710.7,977.2,429.7,301.3,168.4,119.4,25.8,831.2,250.9,652.6,870.3,886.4,664.9,142.2,264.4,868.0,189.3,902.0,45.5,779.9,244.3,638.0,270.5,127.8,944.8,112.4,722.7,149.1
HR,131.0,18.2,786.8,816.0,674.6,808.4,162.9,102.3,802.5,101.7,282.3,60.5,802.9,703.3,692.6,577.4,941.1,904.9,907.1,736.3,553.1,933.6,955.7,956.1,952.2,875.6,696.7,919.2,895.1,493.6,833.4,486.0,519.7,432.0,891.5,914.4,808.0,89.0,663.2,77.4,116.3,73.4,0.0,985.6,989.5,599.8,703.6,58.4,378.3,249.4,238.3,91.3,264.6,868.9,790.5,892.7,1188.1,847.3,880.2,127.6,786.2,121.1,767.6,373.2,751.4,942.2,241.8,162.3,441.9,284.2,106.4,181.3,947.6,407.6,319.9,87.4,133.0,914.0,75.9,956.7,933.0,267.3,704.6,711.3,872.7,124.4,181.8,915.8,777.7,910.7,980.5,380.2,624.2,988.8,87.5,154.3,460.9,193.1,526.7,839.6,395.2,658.2,294.3,781.5,475.1,988.2,264.9,86.6,55.8,190.0,945.9,253.4,974.2,61.7,957.1,901.4,591.5,170.8,95.2,544.5,929.1,213.2,243.3,734.7,928.6,878.1,973.6,938.9,47.2,661.0,952.0,724.5,991.0,443.5,315.1,128.9,83.2,47.5,845.0,264.7,666.4,884.1,897.3,678.7,95.7,278.2,881.8,203.1,915.8,108.7,793.7,258.1,651.8,284.3,134.9,958.6,72.9,736.5,162.9
HS,961.5,974.2,429.0,343.4,507.6,323.6,1032.9,1040.9,425.9,1004.8,770.0,987.1,377.3,577.4,469.3,667.6,110.2,297.7,285.9,426.1,544.3,222.3,233.5,35.2,121.3,280.2,529.7,298.0,172.9,478.5,321.7,525.1,617.7,597.8,339.5,145.3,318.6,1027.6,452.2,1037.3,1004.3,1000.0,1002.5,0.0,326.9,603.4,536.6,1018.3,705.2,895.1,884.1,990.8,769.8,182.6,354.4,263.1,1611.6,295.7,322.4,872.1,565.5,945.7,391.0,700.1,412.3,215.0,814.7,921.1,768.8,925.9,994.4,938.4,184.9,734.5,721.1,958.9,911.8,186.8,1000.9,187.6,230.8,885.9,576.1,452.8,329.9,945.3,871.9,291.9,438.1,208.5,287.0,760.9,584.9,4.5,1026.1,938.2,787.8,880.6,571.1,373.0,794.7,618.9,951.6,442.7,535.8,315.3,778.2,1046.5,982.4,920.4,243.7,928.7,241.2,940.9,174.8,301.2,506.6,882.6,1038.4,697.5,160.0,870.7,918.6,546.7,83.0,197.5,295.5,169.8,1007.1,459.8,273.9,556.9,213.3,586.9,725.9,989.8,1021.8,974.1,293.4,910.4,499.4,203.5,333.7,511.7,1034.3,953.5,274.0,860.6,188.6,1017.3,422.1,763.3,612.5,941.6,893.7,197.2,1003.9,427.6,922.3
HU,915.5,928.2,379.9,294.3,444.4,323.2,983.3,994.9,376.8,958.8,715.3,941.1,328.2,473.1,377.7,639.6,234.8,368.6,103.1,303.0,517.5,245.3,304.4,249.8,245.9,135.0,466.5,115.2,243.8,490.5,218.9,498.3,589.7,551.8,352.4,250.4,330.6,981.6,455.6,991.3,958.3,954.0,956.5,279.3,0.0,533.7,473.4,972.3,606.1,849.1,838.1,944.8,723.8,247.7,175.5,152.1,1591.6,235.0,341.1,826.1,516.4,899.7,341.9,611.2,363.2,285.9,768.7,875.1,614.5,879.9,948.4,892.4,259.3,612.2,666.4,912.9,865.8,259.6,954.9,276.5,301.7,839.9,474.4,396.4,333.6,899.3,825.9,175.2,389.0,279.4,292.2,706.2,558.1,282.5,980.1,888.6,659.7,834.6,544.3,300.5,685.1,592.1,905.6,393.6,509.0,266.2,732.2,1000.5,936.4,874.4,314.6,882.7,287.3,894.9,109.8,372.1,474.0,836.6,992.4,614.3,248.9,824.7,872.6,497.6,222.3,257.8,366.4,264.2,961.1,318.7,344.8,494.3,148.9,540.9,671.2,943.8,975.8,928.1,237.3,864.4,436.2,274.4,358.2,448.5,988.3,907.5,141.2,814.6,249.5,965.5,373.0,717.3,585.7,889.8,841.9,125.6,957.9,378.5,876.3
HV,569.1,581.8,327.8,357.0,215.6,363.9,640.5,648.5,343.5,612.4,374.6,594.7,343.9,244.3,233.6,311.0,496.6,460.4,448.1,277.3,126.6,489.1,566.2,511.6,507.7,416.6,237.7,460.2,505.6,103.4,374.4,125.4,261.1,178.9,447.0,496.0,363.5,635.2,239.4,644.9,611.9,607.6,610.1,541.1,530.5,0.0,244.6,625.9,233.2,499.7,488.7,598.4,374.4,515.3,331.5,433.7,1368.9,388.3,435.7,479.7,327.2,553.3,308.6,238.3,292.4,574.8,419.3,528.7,241.6,530.5,602.0,543.0,503.1,239.3,325.7,566.5,519.4,519.5,608.5,537.1,579.5,490.5,245.6,252.3,428.2,552.9,476.5,456.8,318.7,541.2,536.0,365.5,49.6,544.3,633.7,545.8,286.8,485.2,153.4,395.1,312.2,83.6,556.2,322.5,136.1,529.2,382.8,654.1,590.0,525.0,568.6,533.3,529.7,548.5,508.6,456.9,88.9,487.2,646.0,197.6,542.2,475.3,523.2,275.7,484.1,530.2,529.1,532.4,614.7,202.0,507.5,265.5,532.0,168.0,330.5,597.4,629.4,581.7,386.0,515.0,207.4,536.2,452.8,219.7,641.9,558.1,422.8,465.2,521.3,624.9,334.7,367.9,77.2,546.2,501.3,499.6,611.5,277.5,526.9
HZ,634.8,647.5,255.9,285.1,22.8,403.3,706.2,714.2,271.6,678.1,434.6,660.4,272.0,99.8,161.7,358.9,525.8,512.2,376.2,205.4,236.8,536.3,595.4,540.8,536.9,344.7,5.4,388.3,534.8,356.5,302.5,217.6,309.0,271.1,498.8,541.4,415.3,700.9,323.0,710.6,677.6,673.3,675.8,570.3,458.6,253.0,0.0,691.6,325.4,568.4,557.4,664.1,443.1,544.5,259.6,361.8,1420.7,316.4,487.5,545.4,182.7,619.0,236.7,330.5,220.5,576.9,488.0,594.4,333.8,599.2,667.7,611.7,550.3,331.5,385.7,632.2,585.1,548.7,674.2,567.5,592.7,559.2,101.1,180.4,480.0,618.6,545.2,384.9,246.8,570.4,583.2,425.5,277.4,573.5,699.4,611.5,379.0,553.9,263.6,446.9,404.4,311.4,624.9,245.2,228.3,457.3,451.5,719.8,655.7,593.7,605.6,602.0,576.9,614.2,436.7,508.7,199.1,555.9,711.7,315.6,539.9,544.0,591.9,131.2,513.3,552.7,657.4,555.2,680.4,130.1,635.8,121.0,467.3,260.2,390.5,663.1,695.1,647.4,314.1,583.7,29.3,565.4,504.6,75.2,707.6,626.8,350.9,533.9,540.5,690.6,262.8,436.6,305.0,614.9,567.0,427.7,677.2,205.6,595.6
IG,147.0,34.2,800.0,829.2,687.8,794.2,178.9,116.4,815.7,58.7,298.3,76.5,816.1,716.5,705.8,593.4,926.9,890.7,920.3,793.3,538.9,919.4,996.5,941.9,938.0,888.8,709.9,932.4,935.9,509.6,846.6,502.0,535.7,448.0,877.3,946.6,793.8,46.7,679.2,19.0,132.3,89.4,38.6,971.4,1002.7,659.9,716.8,0.0,394.3,265.4,254.3,107.3,280.6,884.9,803.7,905.9,1204.1,860.5,866.0,143.6,799.4,78.1,780.8,389.2,764.6,958.2,257.8,178.3,457.9,300.2,122.4,197.3,933.4,423.6,335.9,103.4,149.0,938.6,32.9,967.4,949.0,283.3,717.8,724.5,858.5,140.4,197.8,929.0,790.9,926.7,966.3,396.2,684.3,974.6,101.6,170.3,476.9,209.1,512.5,825.4,411.2,718.3,310.3,794.7,491.1,1001.4,280.9,28.1,71.8,206.0,961.9,269.4,960.0,77.7,903.9,887.2,577.3,186.8,36.8,530.3,945.1,229.2,259.3,747.9,914.4,883.5,959.4,954.9,4.2,674.2,937.8,737.7,949.6,459.5,331.1,85.9,52.1,63.5,858.2,280.7,679.6,900.1,883.1,691.9,109.8,294.2,895.0,219.1,921.8,124.7,806.9,274.1,711.9,300.3,150.9,926.3,29.9,749.7,178.9
IJ,308.3,321.0,407.3,436.5,295.1,431.8,379.7,387.7,423.0,351.6,108.1,333.9,423.4,323.8,313.1,197.9,564.5,528.3,527.6,356.8,224.1,557.0,634.1,579.5,575.6,496.1,317.2,539.7,573.5,186.2,453.9,106.5,148.0,52.5,514.9,563.9,431.4,374.4,283.7,384.1,351.1,346.8,349.3,609.0,610.0,220.3,324.1,365.1,0.0,241.9,230.9,337.6,116.6,583.2,411.0,513.2,1301.4,467.8,503.6,218.9,406.7,292.5,388.1,4.0,371.9,642.7,161.5,267.9,62.4,272.7,341.2,285.2,571.0,28.1,59.2,305.7,258.6,587.4,347.7,605.0,647.4,232.7,325.1,331.8,496.1,292.1,218.7,536.3,398.2,624.1,603.9,99.0,244.7,612.2,372.9,285.0,81.4,227.4,250.9,463.0,132.8,278.7,298.4,402.0,95.6,608.7,125.0,393.3,329.2,267.2,636.5,275.5,597.6,287.7,541.5,524.8,186.4,229.4,385.2,295.1,610.1,217.5,265.4,355.2,552.0,591.5,597.0,600.3,353.9,281.5,575.4,345.0,611.5,64.0,64.0,336.6,368.6,320.9,465.5,257.2,286.9,597.5,520.7,299.2,381.1,300.3,502.3,207.4,589.2,364.1,414.2,110.1,272.3,288.4,240.5,579.1,350.7,357.0,269.1
IQ,223.3,203.3,663.0,692.2,550.8,687.5,294.7,270.0,678.7,233.9,176.5,216.2,679.1,579.5,568.8,453.6,820.2,784.0,783.3,612.5,479.8,812.7,831.9,835.2,831.3,751.8,572.9,795.4,771.3,406.2,709.6,362.2,413.9,308.2,770.6,790.6,687.1,256.7,539.4,266.4,266.1,229.1,231.6,864.7,865.7,476.0,579.8,247.4,254.5,0.0,10.1,247.0,158.8,745.1,666.7,768.9,1328.2,723.5,759.3,168.2,662.4,174.8,643.8,249.4,627.6,818.4,65.2,202.9,318.1,74.0,256.2,121.1,826.7,283.8,214.1,188.0,173.6,790.2,230.0,832.9,809.2,57.1,580.8,587.5,751.8,207.1,54.6,792.0,653.9,786.9,859.6,274.4,500.4,867.9,255.2,200.0,337.1,81.3,506.6,718.7,289.4,534.4,113.5,657.7,351.3,864.4,110.2,275.6,211.5,103.1,822.1,90.6,853.3,170.0,833.3,780.5,442.1,65.3,267.5,550.8,805.3,26.1,80.5,610.9,807.7,754.3,852.7,815.1,236.2,537.2,831.1,600.7,867.2,319.7,209.3,218.9,250.9,203.2,721.2,15.2,542.6,760.3,776.4,554.9,263.4,115.4,758.0,36.2,792.0,246.4,669.9,152.3,528.0,103.5,175.5,834.8,233.0,612.7,110.6
JA,233.0,213.0,652.8,682.0,540.6,677.3,304.4,279.7,668.5,243.6,166.3,225.9,668.9,569.3,558.6,443.4,810.0,773.8,773.1,602.3,469.6,802.5,821.7,825.0,821.1,741.6,562.7,785.2,761.1,396.0,699.4,352.0,403.7,298.0,760.4,780.4,676.9,266.4,529.2,276.1,275.8,238.8,241.3,854.5,855.5,465.8,569.6,257.1,244.3,10.9,0.0,256.7,148.6,734.9,656.5,758.7,1337.9,713.3,749.1,177.9,652.2,184.5,633.6,239.2,617.4,808.2,55.0,212.6,307.9,63.7,265.9,130.8,816.5,273.6,203.9,197.7,183.3,780.0,239.7,822.7,799.0,46.8,570.6,577.3,741.6,216.8,64.3,781.8,643.7,776.7,849.4,264.2,490.2,857.7,264.9,209.7,326.9,91.0,496.4,708.5,279.2,524.2,123.2,647.5,341.1,854.2,100.0,285.3,221.2,112.8,811.9,100.3,843.1,179.7,823.1,770.3,431.9,75.0,277.2,540.6,795.1,35.8,90.2,600.7,797.5,744.1,842.5,804.9,245.9,527.0,820.9,590.5,857.0,309.5,199.1,228.6,260.6,212.9,711.0,26.2,532.4,750.1,766.2,544.7,273.1,125.1,747.8,45.9,781.8,256.1,659.7,142.1,517.8,113.2,185.2,824.6,242.7,602.5,120.3
JE,39.6,71.2,780.9,810.1,668.7,728.2,67.9,118.8,796.6,158.6,276.4,30.2,797.0,697.4,686.7,571.5,873.3,837.1,901.2,730.4,606.7,865.8,949.8,888.3,884.4,869.7,690.8,913.3,889.2,477.0,827.5,480.1,513.8,426.1,823.7,924.7,740.2,142.6,592.5,134.3,24.9,16.2,99.5,917.8,976.1,593.9,697.7,115.3,372.4,253.0,241.9,0.0,258.7,863.0,784.6,886.8,1096.7,841.4,812.4,121.7,780.3,133.4,761.7,367.3,745.5,936.3,245.4,138.4,436.0,287.8,15.0,184.9,879.8,401.7,314.0,91.0,89.8,916.7,132.8,950.8,927.1,270.9,698.7,705.4,804.9,125.5,185.4,909.9,771.8,904.8,912.7,374.3,618.3,921.0,133.6,66.5,455.0,196.7,580.3,771.8,389.3,652.3,297.9,775.6,469.2,982.3,268.5,143.5,34.9,193.6,940.0,257.0,906.4,65.3,951.2,833.6,560.0,174.4,152.1,598.1,923.2,216.8,246.9,728.8,860.8,872.2,905.8,938.5,104.1,655.1,884.2,718.6,992.3,437.6,309.2,185.8,136.8,43.2,839.1,268.3,660.5,878.2,829.5,672.8,125.4,281.8,875.9,206.7,899.9,76.8,787.8,252.2,645.9,287.9,111.0,952.7,129.8,730.6,166.5
JF,205.1,217.8,530.5,559.7,418.3,555.0,276.5,284.5,546.2,248.4,17.6,230.7,546.6,447.0,436.3,344.9,687.7,651.5,650.8,480.0,347.3,680.2,757.3,702.7,698.8,619.3,440.4,662.9,696.7,298.8,577.1,229.7,255.0,175.7,638.1,683.2,554.6,271.2,406.9,280.9,247.9,243.6,246.1,732.2,733.2,343.5,447.3,261.9,122.0,156.7,145.7,234.4,0.0,637.7,534.2,636.4,1264.2,591.0,626.8,115.7,529.9,189.3,511.3,116.9,495.1,711.0,76.3,164.7,185.6,187.5,238.0,200.0,694.2,151.3,55.2,202.5,155.4,682.8,244.5,725.5,701.8,147.5,448.3,455.0,619.3,188.9,133.5,659.5,521.4,679.5,727.1,115.5,367.9,735.4,269.7,181.8,204.6,142.2,374.1,586.2,130.5,401.9,213.2,525.2,218.8,731.9,39.8,290.1,226.0,182.0,714.7,190.3,720.8,184.5,664.7,648.0,309.6,144.2,282.0,418.3,697.9,132.3,180.2,478.4,675.2,646.9,720.2,707.7,250.7,404.7,698.6,468.2,734.7,187.2,50.4,233.4,265.4,217.7,588.7,172.0,410.1,652.9,643.9,422.4,277.9,215.1,625.5,122.2,684.6,260.9,537.4,6.6,395.5,203.2,137.3,702.3,247.5,480.2,183.9
JZ,835.8,848.5,410.8,325.2,489.4,293.0,903.6,915.2,407.7,879.1,644.3,861.4,359.1,559.2,451.1,643.7,159.3,129.9,267.7,407.9,526.1,190.1,92.6,181.4,149.3,262.0,511.5,279.8,32.0,479.7,303.5,570.3,593.8,633.2,171.7,130.1,300.4,901.9,326.5,911.6,878.6,874.3,876.8,187.6,301.2,604.6,518.4,892.6,579.5,769.4,758.4,865.1,644.1,0.0,336.2,244.9,1485.9,277.5,154.6,746.4,547.3,820.0,372.8,574.4,394.1,128.1,689.0,795.4,643.1,800.2,868.7,812.7,153.5,608.8,595.4,833.2,786.1,104.1,875.2,156.2,114.5,760.2,557.9,434.6,162.1,819.6,746.2,273.7,419.9,92.2,237.0,635.2,654.3,182.2,900.4,808.9,662.1,754.9,552.9,205.2,669.0,688.3,825.9,424.5,559.4,297.1,652.5,920.8,856.7,794.7,127.4,803.0,209.8,815.2,156.6,133.4,488.4,756.9,912.7,679.3,128.6,745.0,792.9,528.5,122.0,75.5,127.7,138.4,881.4,441.6,106.1,538.7,195.1,563.0,600.2,864.1,896.1,848.4,275.2,784.7,481.2,117.2,165.9,493.5,908.6,827.8,255.8,734.9,145.0,891.6,403.9,637.6,681.9,815.9,768.0,179.0,878.2,409.4,796.6
KF,739.9,752.6,238.3,133.7,268.8,410.4,811.3,819.3,213.6,783.2,539.7,765.5,167.6,297.5,202.1,464.0,309.6,443.4,116.5,127.4,341.9,309.4,379.2,324.6,320.7,85.0,290.9,128.6,318.6,461.6,42.8,322.7,414.1,376.2,427.2,309.0,405.4,806.0,428.1,815.7,782.7,778.4,780.9,354.1,198.9,358.1,297.8,796.7,430.5,673.5,662.5,769.2,548.2,328.3,0.0,102.1,1525.8,58.9,415.9,650.5,355.8,724.1,178.7,435.6,202.6,360.7,593.1,699.5,438.9,704.3,772.8,716.8,323.4,436.6,490.8,737.3,690.2,332.5,779.3,351.3,371.0,664.3,298.8,220.8,408.4,723.7,650.3,125.2,229.2,354.2,356.3,530.6,382.5,357.3,804.5,716.6,484.1,659.0,368.7,375.3,509.5,416.5,730.0,233.0,333.4,246.9,556.6,824.9,760.8,698.8,360.1,707.1,350.0,719.3,184.6,446.9,304.2,661.0,816.8,438.7,323.7,649.1,697.0,328.9,297.1,343.2,441.2,333.5,785.5,143.1,419.6,318.7,200.4,365.3,495.6,768.2,800.2,752.5,61.2,688.8,260.6,349.2,433.0,272.9,812.7,731.9,91.2,639.0,334.3,795.7,245.2,541.7,410.1,720.0,672.1,168.0,782.3,217.9,700.7
KJ,831.2,843.9,330.1,225.5,360.1,314.3,902.6,910.6,304.9,874.5,631.0,856.8,259.4,388.8,293.4,555.3,213.5,347.3,102.2,218.7,433.2,207.2,283.1,228.5,224.6,17.0,382.2,114.3,222.5,469.2,134.6,414.0,505.4,467.5,331.1,212.9,309.3,897.3,434.3,907.0,874.0,869.7,872.2,258.0,184.6,449.4,389.1,888.0,521.8,764.8,753.8,860.5,639.5,232.2,91.2,0.0,1570.3,150.7,319.8,741.8,447.6,815.4,270.0,526.9,294.4,264.6,684.4,790.8,530.2,795.6,864.1,808.1,221.2,527.9,582.1,828.6,781.5,236.4,870.6,255.2,268.8,755.6,390.1,312.1,312.3,815.0,741.6,28.7,321.0,258.1,254.1,621.9,473.8,261.2,895.8,807.9,575.4,750.3,460.0,279.2,600.8,507.8,821.3,324.8,424.7,244.9,647.9,916.2,852.1,790.1,257.9,798.4,247.8,810.6,88.5,350.8,395.5,752.3,908.1,530.0,227.6,740.4,788.3,420.2,201.0,247.1,345.1,237.4,876.8,234.4,323.5,410.0,98.2,456.6,586.9,859.5,891.5,843.8,153.0,780.1,351.9,253.1,336.9,364.2,904.0,823.2,10.8,730.3,238.2,887.0,337.0,633.0,501.4,811.3,763.4,65.8,873.6,309.7,792.0
KL,1250.6,1313.7,1586.2,1615.4,1474.0,1436.8,1302.5,1349.8,1601.9,1401.1,1428.4,1272.7,1602.3,1502.7,1492.0,1632.8,1569.5,1533.3,1657.6,1535.7,1510.7,1562.0,1639.1,1584.5,1580.6,1675.0,1496.1,1669.7,1578.5,1474.5,1632.8,1491.5,1582.9,1465.1,1519.9,1568.9,1436.4,1385.1,1423.9,1376.8,1217.1,1258.7,1342.0,1614.0,1698.6,1526.9,1503.0,1357.8,1411.4,1474.0,1462.9,1242.4,1410.7,1588.2,1589.9,1634.8,0.0,1646.7,1508.6,1305.2,1585.6,1378.8,1567.0,1406.3,1550.8,1647.7,1466.4,1349.4,1475.0,1508.8,1227.5,1405.9,1576.0,1440.7,1445.3,1333.5,1300.8,1592.4,1375.3,1610.0,1652.4,1491.9,1504.0,1510.7,1501.1,1336.5,1406.4,1663.6,1577.1,1614.1,1608.9,1485.1,1551.3,1617.2,1364.6,1273.9,1494.0,1417.7,1537.5,1468.0,1518.9,1585.3,1518.9,1580.9,1502.2,1687.0,1437.1,1386.0,1277.4,1414.6,1641.5,1478.0,1602.6,1307.8,1546.5,1529.8,1473.0,1395.4,1394.6,1575.8,1615.1,1437.8,1467.9,1534.1,1557.0,1603.1,1602.0,1605.3,1346.6,1460.4,1580.4,1523.9,1585.0,1476.6,1461.2,1422.9,1379.3,1285.7,1644.4,1489.3,1465.8,1609.1,1525.7,1478.1,1356.4,1502.8,1681.2,1427.7,1594.2,1319.3,1593.1,1404.2,1578.9,1508.9,1322.0,1568.9,1372.3,1535.9,1387.5
KM,787.9,800.6,179.3,74.7,316.8,344.8,859.3,867.3,157.2,831.2,587.7,813.5,108.6,308.7,200.6,512.0,256.4,390.2,165.8,157.4,389.9,266.9,326.0,271.4,267.5,134.3,338.9,177.9,265.4,512.1,25.9,370.7,462.1,424.2,374.0,272.0,352.2,854.0,477.2,863.7,830.7,826.4,828.9,300.9,248.2,406.1,345.8,844.7,478.5,721.5,710.5,817.2,596.2,275.1,68.7,151.4,1573.8,0.0,362.7,698.5,296.8,772.1,122.3,483.6,143.6,307.5,641.1,747.5,486.9,752.3,820.8,764.8,280.9,484.6,538.8,785.3,738.2,281.2,827.3,298.1,323.3,712.3,307.4,184.1,355.2,771.7,698.3,174.5,170.2,301.0,313.8,578.6,430.5,304.1,852.5,761.0,532.1,707.0,416.7,322.1,557.5,464.5,778.0,174.0,381.4,187.9,604.6,872.9,808.8,746.8,336.2,755.1,307.5,767.3,167.3,393.7,352.2,709.0,864.8,486.7,270.5,697.1,745.0,278.0,243.9,290.0,388.0,280.3,833.5,191.1,366.4,288.2,213.0,413.3,543.6,816.2,848.2,800.5,2.3,736.8,308.6,296.0,379.8,320.9,860.7,779.9,140.5,687.0,281.1,843.7,186.2,589.7,458.1,768.0,720.1,189.7,830.3,158.9,748.7
KN,847.6,860.3,487.3,401.7,393.7,209.7,919.0,871.0,484.2,890.9,647.4,873.2,435.6,422.4,411.7,553.7,256.1,24.7,344.2,455.4,430.4,248.6,247.3,271.1,267.2,338.5,415.8,356.3,186.7,364.6,380.0,411.2,503.8,483.9,53.1,242.2,204.7,849.4,329.7,923.4,890.4,886.1,888.6,300.6,385.2,489.5,422.7,904.4,538.2,781.2,770.2,876.9,655.9,154.6,412.7,321.4,1465.7,354.0,0.0,758.2,505.3,831.8,449.3,543.3,470.5,282.8,700.8,807.2,546.6,812.0,880.5,824.5,262.6,544.3,598.5,845.0,797.9,261.4,887.0,296.6,269.2,772.0,423.7,430.4,7.4,831.4,758.0,350.2,496.4,246.9,295.5,638.3,471.0,303.8,856.2,824.3,591.8,766.7,457.2,50.5,617.2,505.0,837.7,500.6,421.9,373.6,664.3,869.6,868.5,806.5,282.1,814.8,289.2,827.0,233.1,21.2,392.7,768.7,860.2,583.6,301.7,756.8,804.7,453.8,243.6,205.9,135.2,291.9,893.2,380.1,113.6,443.6,271.6,473.0,603.3,875.9,843.6,860.2,351.7,796.5,385.5,211.9,58.9,397.8,864.4,839.6,332.3,746.7,243.6,903.4,480.4,649.4,498.6,827.7,779.8,255.5,890.0,455.6,808.4
KU,89.3,102.0,659.1,688.3,546.9,683.6,160.7,168.7,674.8,132.6,154.6,114.9,675.2,575.6,564.9,449.7,816.3,780.1,779.4,608.6,475.9,808.8,828.0,831.3,827.4,747.9,569.0,791.5,767.4,365.9,705.7,358.3,392.0,304.3,766.7,786.7,683.2,155.4,535.5,165.1,132.1,127.8,130.3,860.8,861.8,472.1,575.9,146.1,250.6,168.7,157.6,118.6,136.9,741.2,662.8,765.0,1159.9,719.6,755.4,0.0,658.5,73.5,639.9,245.5,623.7,814.5,161.1,48.9,314.2,203.5,122.2,100.6,822.8,279.9,192.2,86.7,39.6,786.3,128.7,829.0,805.3,186.6,576.9,583.6,747.9,73.1,101.1,788.1,650.0,783.0,855.7,252.5,496.5,864.0,153.9,66.0,333.2,112.4,502.7,714.8,267.5,530.5,213.6,653.8,347.4,860.5,163.3,174.3,110.2,109.3,818.2,172.7,849.4,68.7,829.4,776.6,438.2,90.1,166.2,610.9,801.4,132.5,162.6,607.0,803.8,750.4,848.8,811.2,134.9,533.3,827.2,596.8,863.3,315.8,187.4,117.6,149.6,101.9,717.3,184.0,538.7,756.4,772.5,551.0,162.1,197.5,754.1,122.4,788.1,145.1,666.0,130.4,524.1,203.6,21.5,830.9,131.7,608.8,82.2
KW,722.5,735.2,129.1,204.8,138.8,590.8,793.9,801.9,351.8,765.8,522.3,748.1,303.2,75.9,203.6,446.6,490.0,623.8,446.5,293.1,324.5,500.5,559.6,505.0,501.1,415.0,160.9,458.6,499.0,444.2,306.6,305.3,396.7,358.8,607.6,489.4,585.8,788.6,410.7,798.3,765.3,761.0,763.5,534.5,528.9,340.7,167.8,779.3,413.1,656.1,645.1,751.8,530.8,508.7,347.3,432.1,1508.4,280.6,596.3,633.1,0.0,706.7,316.9,418.2,146.6,541.1,575.7,682.1,421.5,686.9,755.4,699.4,514.5,419.2,473.4,719.9,672.8,512.9,761.9,531.7,556.9,646.9,74.6,187.1,588.8,706.3,632.9,455.2,120.0,534.6,547.4,513.2,365.1,537.7,787.1,699.2,466.7,641.6,351.3,555.7,492.1,399.1,712.6,106.5,316.0,338.2,539.2,807.5,743.4,681.4,569.8,689.7,541.1,701.9,400.9,627.3,286.8,643.6,799.4,403.3,504.1,631.7,679.6,45.2,477.5,523.6,621.6,513.9,768.1,217.8,600.0,55.4,439.4,347.9,478.2,750.8,782.8,735.1,278.3,671.4,130.6,529.6,613.4,97.7,795.3,714.5,421.2,621.6,514.7,778.3,136.0,524.3,392.7,702.6,654.7,423.3,764.9,161.9,683.3
