from_stop,AD,AW,AX,AZ,BJ,BL,BS,CB,CC,CU,CV,CZ,ED,EQ,EV,EZ,FM,FN,FO,HH,HL,HQ,IE,IT,JB,JQ,JW,KE,KF,KG,KL,KM,KV,KZ,LD,LI,LU,LW,LX,MG,ML,MO,MP,MQ,NF,NS,NV,OV,PA,PP,QN,QR,QU,RA,RF,RI,RQ,RT,SA,SB,SG,SH,SK,SZ,TC,TE,TP,TW,UI,UP,UU,UV,UZ,VA,VE,VM,WI,WJ,XE,XI,XJ,XK,YF,YG,YJ,YP,YS,YX,ZA,ZB,ZG,ZI,ZL
UV,558.5,373.0,227.6,309.3,360.3,243.2,273.1,426.5,291.9,1880.1,462.4,225.6,654.2,187.7,270.6,154.2,306.7,299.8,272.5,551.4,120.8,35.9,232.6,180.4,451.2,317.0,398.2,200.8,610.2,364.7,330.8,182.6,144.3,314.7,533.4,265.0,322.6,364.2,345.3,112.4,97.3,171.4,329.1,122.3,163.2,318.3,151.9,111.7,241.0,172.2,8.7,249.3,60.3,208.3,609.9,105.9,335.2,494.1,337.3,85.7,251.8,353.7,354.4,233.3,185.1,311.1,220.0,186.6,365.3,401.3,406.6,0.0,383.2,234.8,270.6,234.6,271.7,239.6,374.3,199.2,434.0,588.0,307.8,433.6,309.3,580.2,105.6,169.5,66.5,110.6,216.2,661.8,337.1
UZ,423.8,145.7,155.5,264.7,57.9,350.2,110.0,185.7,255.7,2081.5,426.2,235.6,413.4,256.9,154.3,259.2,232.2,263.6,236.3,502.4,269.5,357.4,196.4,223.0,210.4,310.0,362.0,192.3,436.8,328.5,71.7,289.6,251.3,278.5,292.6,228.8,286.4,328.0,309.1,276.4,361.8,280.9,88.3,428.5,293.6,54.8,399.9,440.1,183.7,241.4,380.5,318.5,397.8,277.5,560.9,292.7,299.0,253.3,301.1,373.4,215.6,165.0,308.6,340.3,208.0,274.9,230.0,240.0,329.1,18.1,370.4,379.4,0.0,209.3,263.6,256.9,140.7,203.4,133.5,268.4,397.8,414.6,271.6,397.4,193.0,544.0,353.5,223.6,434.9,360.8,180.0,488.4,283.0
VA,347.3,162.1,59.9,92.9,181.9,202.7,94.7,248.1,92.3,2058.6,262.7,63.2,461.7,108.2,52.9,88.7,294.6,100.1,72.8,365.5,120.5,209.9,32.9,75.5,272.8,104.6,193.0,44.8,410.5,192.6,276.6,148.6,111.7,115.0,355.0,65.3,120.2,164.5,145.6,127.4,214.3,133.4,150.7,285.5,146.1,139.9,252.4,292.6,23.3,93.9,205.2,171.0,250.3,130.0,410.2,142.5,151.3,315.7,137.6,225.9,50.8,142.8,138.0,192.8,60.5,130.2,82.5,56.3,165.6,222.9,206.9,231.9,204.8,0.0,54.2,56.8,54.0,39.9,195.9,120.9,234.3,388.3,108.1,233.9,88.4,380.5,206.0,126.9,287.4,197.5,28.9,462.1,137.4
VE,378.0,174.5,126.0,38.6,248.0,236.8,160.8,272.2,111.4,2076.2,281.9,154.2,480.9,175.5,119.0,106.3,360.7,119.3,92.0,370.9,138.1,252.2,99.0,103.6,296.9,101.0,217.7,110.9,429.7,184.2,342.7,176.2,137.9,134.2,379.1,84.0,142.1,183.7,164.8,145.0,248.4,167.5,216.8,315.1,180.2,206.0,286.5,326.7,89.4,160.0,249.1,237.1,284.4,196.1,429.4,211.3,154.7,339.8,156.8,260.0,97.3,155.2,119.8,226.9,126.6,130.6,148.6,73.9,184.8,289.0,226.1,257.9,270.9,66.0,0.0,74.4,120.1,106.0,262.0,187.0,253.5,407.5,127.3,253.1,111.7,399.7,240.1,142.2,321.5,233.4,95.0,481.3,94.2
VM,421.6,224.9,105.4,137.2,238.1,204.9,150.9,304.3,155.0,2044.3,325.5,129.6,524.5,150.9,115.7,74.4,350.8,162.9,137.3,414.5,106.2,220.3,95.7,71.7,329.0,144.9,261.3,86.3,473.3,227.8,332.8,144.3,106.0,177.8,411.2,128.1,185.7,227.3,208.4,113.1,216.5,135.6,206.9,283.2,148.3,196.1,254.6,294.8,86.1,135.4,217.2,212.5,252.5,171.5,473.0,186.7,198.3,371.9,200.4,228.1,114.9,205.6,182.3,195.0,102.0,174.2,124.0,42.0,228.4,279.1,269.7,226.0,261.0,62.7,98.5,0.0,116.8,102.7,252.1,162.4,297.1,451.1,170.9,296.7,154.4,443.3,208.2,117.6,289.6,201.5,88.0,524.9,192.8
WI,381.6,122.7,69.6,123.9,127.8,257.2,40.6,194.0,115.0,2114.6,285.5,142.6,421.7,163.9,13.5,157.3,240.5,122.9,97.3,374.5,176.5,264.4,67.4,130.0,218.7,169.2,221.3,99.3,433.3,187.8,222.5,196.6,158.3,137.8,300.9,99.8,145.7,187.3,168.4,183.4,268.8,187.9,96.6,335.5,200.6,85.8,306.9,347.1,42.9,148.4,287.5,225.5,304.8,184.5,433.0,199.7,158.3,261.6,160.4,280.4,86.6,103.4,167.8,247.3,115.0,134.2,137.0,124.9,188.4,168.8,229.7,286.4,150.7,68.5,122.8,125.4,0.0,74.4,141.8,175.4,257.1,411.1,130.9,256.7,52.2,403.3,260.5,130.6,341.9,267.8,83.4,484.9,142.2
WJ,307.3,133.3,58.6,79.1,191.3,197.4,104.1,231.0,76.5,2054.8,222.7,57.9,421.7,102.9,65.6,106.4,304.0,60.1,32.8,325.5,116.7,204.6,6.2,70.2,255.7,131.4,153.0,39.0,370.5,129.1,286.0,136.8,98.5,75.0,337.9,25.3,80.2,124.5,105.6,123.6,209.0,128.1,160.1,279.7,140.8,149.3,247.1,287.3,36.0,88.6,227.7,165.7,245.0,128.8,370.2,137.2,111.3,298.6,97.6,220.6,10.8,114.0,123.0,187.5,54.8,71.4,77.2,81.2,125.6,232.3,166.9,226.6,214.2,26.7,81.0,83.6,66.7,0.0,205.3,115.6,194.3,348.3,68.1,193.9,70.5,340.5,200.7,70.8,282.1,192.2,23.6,422.1,97.4
XE,361.7,83.6,146.6,208.1,140.6,341.3,101.1,123.6,199.2,2074.0,369.7,226.7,351.3,248.0,145.4,250.3,93.6,207.1,179.8,440.3,260.6,348.5,187.5,214.1,148.3,289.4,305.5,183.4,374.7,272.0,235.3,280.7,242.4,222.0,230.5,191.8,229.9,271.5,252.6,267.5,352.9,272.0,55.1,419.6,284.7,98.6,391.0,431.2,174.8,232.5,371.6,309.6,388.9,268.6,498.8,283.8,242.5,191.2,244.6,364.5,205.1,102.9,252.0,331.4,199.1,218.4,221.1,231.1,272.6,181.6,313.9,370.5,163.5,200.4,246.8,248.0,131.8,194.5,0.0,259.5,341.3,352.5,215.1,340.9,164.1,487.5,344.6,214.7,426.0,351.9,171.1,426.3,226.4
XI,434.6,249.1,103.7,194.9,236.4,161.7,149.2,317.6,192.3,1930.9,338.5,94.2,530.3,11.6,146.7,106.1,349.1,175.9,148.6,441.3,96.4,88.9,108.7,106.5,327.3,232.5,274.3,76.9,486.3,268.4,331.1,123.0,86.1,210.1,409.5,141.1,196.0,240.3,221.4,103.3,166.9,107.8,205.2,188.4,120.5,194.4,221.5,181.3,117.1,26.8,146.0,79.3,129.9,6.4,486.0,21.5,211.3,370.2,213.4,155.3,134.5,229.8,238.8,167.2,61.6,200.9,96.1,145.5,241.4,277.4,282.7,110.9,259.3,127.8,182.1,169.2,147.8,115.7,250.4,0.0,291.2,464.1,183.9,309.7,185.4,456.3,175.2,64.4,136.1,92.3,92.3,537.9,213.2
XJ,261.6,269.3,224.8,208.1,376.4,367.1,289.2,382.0,134.4,2239.9,161.8,224.1,376.0,288.0,243.7,272.6,461.7,124.1,152.4,279.8,282.9,389.7,191.3,236.4,391.7,272.4,156.7,224.1,324.8,189.9,471.1,328.4,291.5,214.8,404.3,160.8,104.0,128.2,78.6,289.8,394.1,313.2,297.8,446.0,307.0,334.4,432.2,472.4,202.2,273.7,386.5,350.8,411.2,313.9,324.5,322.3,175.8,434.6,92.8,386.8,167.8,250.0,239.0,372.6,239.9,181.3,262.3,268.1,58.4,417.4,99.7,411.7,399.3,192.9,233.8,268.7,251.8,166.1,363.0,281.8,0.0,302.6,188.6,133.0,209.7,279.6,385.8,306.7,448.3,377.3,208.7,376.4,194.5
XK,39.3,316.4,417.6,394.2,411.6,581.6,372.1,218.7,331.1,2439.0,150.6,467.0,83.5,488.3,416.4,490.6,471.1,323.2,349.4,117.9,500.9,588.8,390.4,454.4,284.7,475.5,361.3,423.7,22.2,361.4,506.3,521.0,482.7,394.6,111.8,359.9,300.4,327.3,277.7,507.8,593.2,512.3,326.1,659.9,525.0,369.6,631.3,671.5,420.2,472.8,611.9,549.9,629.2,508.9,176.4,524.1,359.1,151.1,310.8,604.8,373.2,335.7,438.1,571.7,439.4,361.6,461.4,465.4,257.7,452.6,280.3,610.8,434.5,410.9,432.9,467.8,402.8,384.1,372.4,499.8,312.5,0.0,387.7,179.4,396.9,277.7,584.9,455.0,666.3,592.2,407.8,73.8,412.5
YF,313.9,163.9,138.3,89.7,271.0,277.1,183.8,261.6,47.3,2134.5,217.8,162.5,416.8,183.8,139.8,186.1,356.3,55.2,44.9,306.8,196.4,284.3,85.9,149.9,286.3,171.0,153.6,119.2,365.6,120.1,365.7,216.5,178.2,6.8,368.5,55.4,78.0,119.6,100.7,203.3,288.7,207.8,211.3,355.4,220.5,229.0,326.8,367.0,115.7,168.3,307.4,245.4,324.7,204.4,365.3,219.6,90.6,329.2,92.7,300.3,68.7,144.6,133.6,267.2,134.9,66.5,156.9,160.9,120.7,312.0,162.0,306.3,293.9,106.4,128.4,163.3,146.4,79.6,257.6,195.3,189.4,343.4,0.0,189.0,101.1,335.6,280.4,150.5,361.8,287.7,103.3,417.2,108.0
YG,128.5,288.9,263.3,227.7,396.0,402.1,308.8,378.1,160.6,2259.5,28.7,262.6,242.9,307.6,264.8,311.1,481.3,143.7,169.9,146.7,321.4,409.3,210.9,274.9,411.3,296.0,176.3,243.7,191.7,209.5,490.7,348.0,311.1,234.4,271.2,180.4,123.6,147.8,98.2,328.3,413.7,332.8,336.3,484.9,345.5,354.0,451.8,492.0,240.7,293.3,432.4,370.4,449.7,329.7,191.4,341.9,179.6,310.5,131.3,425.3,193.7,269.6,258.6,392.2,259.5,200.9,281.9,285.9,78.2,437.0,100.8,431.3,418.9,231.4,253.4,288.3,271.4,204.6,382.6,320.3,133.0,169.5,208.2,0.0,226.1,179.8,405.4,275.5,486.8,396.9,228.3,243.3,233.0
YJ,317.8,70.4,99.3,84.6,190.1,261.6,102.9,183.1,60.3,2134.4,233.2,137.5,395.8,182.5,37.1,184.9,262.8,70.6,48.2,336.0,196.3,284.2,89.3,153.0,192.8,148.9,163.5,118.6,381.0,163.1,284.8,222.9,186.0,104.8,275.0,55.3,90.7,138.2,116.1,203.2,288.6,207.7,121.0,359.4,220.4,148.1,329.9,370.1,67.3,168.2,281.0,245.3,324.6,208.4,380.7,216.8,121.8,235.7,108.1,300.2,62.3,51.1,115.5,267.1,134.4,100.7,156.8,154.3,136.1,231.1,177.4,306.2,213.0,96.1,110.3,153.0,62.2,79.5,164.1,195.2,185.9,358.8,78.6,204.4,0.0,351.0,280.3,201.2,361.7,271.8,106.4,432.6,89.9
YP,238.3,445.4,419.8,371.2,552.5,558.6,465.3,476.4,308.1,2416.0,238.5,444.0,341.2,465.3,421.3,467.6,637.8,300.2,328.5,159.7,477.9,565.8,367.4,431.4,542.4,452.5,338.3,400.7,290.0,338.4,647.2,498.0,459.7,371.6,369.5,336.9,277.4,304.3,254.7,484.8,570.2,489.3,492.8,636.9,502.0,510.5,608.3,648.5,397.2,449.8,588.9,526.9,606.2,485.9,101.2,501.1,336.1,408.8,287.8,581.8,350.2,426.1,415.1,548.7,416.4,338.6,438.4,442.4,234.7,593.5,257.3,587.8,575.4,387.9,409.9,444.8,427.9,361.1,539.1,476.8,289.5,267.8,364.7,209.7,382.6,0.0,561.9,432.0,643.3,569.2,384.8,341.6,389.5
YS,505.6,331.6,186.2,272.9,318.9,153.0,231.7,400.1,248.1,1882.7,421.0,169.3,612.8,145.1,229.2,130.8,431.6,258.4,232.8,523.8,101.1,100.6,191.2,157.0,409.8,297.6,356.8,159.9,568.8,320.6,413.6,98.9,81.3,273.3,492.0,223.6,278.5,322.8,303.9,97.3,8.3,65.7,287.7,125.4,57.5,276.9,93.8,118.3,199.6,130.8,145.3,207.9,44.2,171.0,568.5,179.4,309.6,452.7,295.9,19.9,209.1,312.3,321.3,143.1,144.1,288.5,178.6,163.2,323.9,359.9,365.2,180.4,341.8,210.3,247.2,211.2,230.3,198.2,332.9,157.8,392.6,546.6,266.4,392.2,264.7,538.8,0.0,128.1,81.3,112.5,174.8,620.4,297.4
YX,419.9,234.4,96.4,180.2,221.7,147.0,134.5,287.9,153.3,2019.8,323.8,79.5,515.6,52.2,132.0,98.8,334.4,161.2,133.9,412.8,89.1,152.7,101.4,99.2,312.6,213.8,259.6,62.2,471.6,226.1,316.4,101.8,63.5,176.1,394.8,126.4,181.3,225.6,206.7,88.6,138.1,93.1,197.9,208.9,105.8,179.7,176.2,245.1,102.4,36.7,183.5,113.8,193.7,72.8,471.3,66.3,196.6,355.5,206.1,185.6,113.2,215.1,224.1,152.5,46.5,179.9,81.4,111.5,226.7,262.7,275.4,174.7,244.6,120.5,167.4,154.5,133.1,101.0,235.7,71.1,295.4,449.4,169.2,264.0,170.7,441.6,129.8,0.0,199.9,156.1,77.6,530.6,198.5
ZA,584.1,410.1,264.7,353.3,397.4,231.5,310.2,478.6,329.0,1882.8,499.5,247.8,691.3,142.9,307.7,209.3,309.4,336.9,311.3,588.5,179.6,38.6,269.7,235.5,488.3,376.1,429.8,237.9,647.3,399.1,333.5,170.9,159.8,351.8,570.5,302.1,357.0,401.3,382.4,175.8,70.1,144.2,366.2,113.5,136.0,355.4,146.6,106.4,278.1,158.1,99.1,210.6,33.1,122.9,647.0,111.3,388.1,531.2,374.4,58.5,288.9,390.8,399.8,221.6,222.2,361.9,257.1,261.0,402.4,438.4,443.7,64.0,420.3,288.8,325.7,289.7,308.8,276.7,411.4,131.2,471.1,625.1,344.9,470.7,343.2,617.3,78.4,233.7,0.0,64.2,253.3,698.9,374.2
ZB,503.9,329.9,200.3,253.2,317.2,184.7,230.0,398.4,246.4,1842.7,419.3,149.6,626.9,143.4,229.0,126.9,258.8,256.7,245.2,522.1,93.5,18.7,205.3,137.3,408.1,277.9,349.6,158.2,567.1,349.2,411.9,146.0,109.1,290.9,490.3,221.9,276.8,321.1,302.2,85.1,96.7,130.8,301.8,111.8,128.3,275.2,144.9,104.7,197.9,129.1,75.8,206.2,59.7,169.3,566.8,177.7,307.9,451.0,310.0,85.1,215.3,310.6,311.3,190.2,142.4,286.8,176.9,162.8,322.2,358.2,379.3,40.7,340.1,207.5,227.5,191.5,228.6,196.5,331.2,80.6,372.0,544.9,264.7,406.3,263.0,537.1,105.0,162.1,65.9,0.0,188.9,618.7,311.5
ZG,330.7,156.7,34.9,115.4,167.6,173.7,80.4,248.8,99.9,2031.1,246.1,34.2,445.1,79.2,54.3,82.7,280.3,83.5,56.2,348.9,93.0,180.9,16.3,46.5,258.5,136.1,176.4,15.3,393.9,176.0,262.3,113.1,74.8,98.4,340.7,48.7,103.6,147.9,129.0,99.9,185.3,104.4,136.4,256.5,117.1,125.6,223.4,263.6,24.7,64.9,177.7,142.0,221.3,98.4,393.6,113.5,134.7,301.4,121.0,196.9,34.2,137.4,146.4,163.8,31.1,108.5,53.5,57.5,149.0,208.6,190.3,202.9,190.5,35.4,89.7,74.4,55.4,23.3,181.6,91.9,217.7,371.7,91.5,217.3,89.8,363.9,177.0,97.9,258.4,184.3,0.0,445.5,120.8
ZI,106.5,383.6,484.8,474.4,478.8,648.8,439.3,285.9,400.7,2506.2,217.8,509.3,150.7,554.3,483.6,557.8,538.3,390.4,416.6,185.1,568.1,656.0,457.6,521.6,351.9,538.7,428.5,490.9,46.8,432.7,573.5,594.7,557.8,481.1,179.0,427.1,370.3,394.5,344.9,575.0,660.4,579.5,393.3,731.2,592.2,436.8,698.5,738.7,487.4,540.0,652.8,617.1,696.4,576.1,243.6,588.6,442.1,218.3,378.0,672.0,440.4,402.9,505.3,638.9,506.6,442.5,528.6,532.6,324.9,519.8,347.5,678.0,501.7,478.1,500.1,535.0,470.0,451.3,439.6,567.0,379.7,67.1,454.9,246.6,464.1,344.9,652.1,522.2,733.5,659.4,475.0,0.0,481.4
ZL,369.3,164.1,158.2,58.5,289.2,295.3,202.0,276.8,98.6,2152.7,273.2,155.8,472.2,200.8,140.2,192.3,356.5,108.9,83.3,360.5,216.3,304.2,104.1,168.1,288.2,57.3,201.8,136.9,419.3,201.4,385.6,241.2,204.3,144.8,368.7,73.6,129.0,173.3,154.4,221.5,306.9,226.0,211.5,379.4,240.4,248.9,345.0,385.2,133.9,186.5,301.0,265.3,344.6,224.3,419.0,235.1,144.3,329.4,146.4,320.2,80.6,144.8,25.5,285.4,152.7,133.9,176.8,160.0,176.1,330.2,217.4,324.5,312.1,124.6,84.2,160.4,163.6,97.8,257.8,213.5,224.2,397.1,116.9,242.7,104.5,389.3,298.6,168.7,381.7,305.9,121.5,472.6,0.0
