from_stop,AC,AK,AQ,AR,AW,AY,AZ,BD,BF,BL,BR,BS,CG,CU,DC,DR,DV,EK,EM,ER,ES,FA,FB,FT,GF,HA,HX,HY,HZ,IB,IP,JE,JF,KA,KB,KF,KN,KV,KZ,LH,LO,LP,LU,LV,MF,MV,NG,NL,NP,NR,NZ,OF,OU,PM,PU,PY,QA,QD,QJ,QW,RE,RG,RU,RW,RX,SJ,SN,SO,SZ,TA,TC,TR,UD,UJ,VA,VB,VC,VG,VP,VT,WG,WR,WW,XJ,YA,YS,ZA,ZD
VB,387.7,287.5,145.0,102.6,452.7,344.9,342.1,186.6,314.4,96.2,326.3,64.6,250.4,345.5,435.1,315.2,384.5,343.3,252.5,305.3,347.6,237.0,273.3,416.6,395.0,302.2,440.4,329.7,373.9,74.8,365.7,404.0,266.5,452.4,290.6,1752.4,357.2,305.0,374.1,332.5,239.0,204.4,286.2,326.0,210.1,206.0,331.9,225.9,318.1,276.0,30.1,230.8,343.6,294.8,60.4,325.5,193.5,447.2,49.8,417.5,292.5,353.8,251.3,312.2,277.9,228.8,170.0,319.0,368.7,211.4,324.1,227.4,333.4,184.6,265.1,0.0,375.5,228.9,355.2,287.8,191.3,340.0,257.8,192.5,445.8,217.4,329.0,340.5
VC,219.7,168.3,335.8,379.8,177.1,177.1,156.6,202.6,205.1,373.4,148.6,380.4,271.7,213.7,161.7,250.2,221.0,139.8,209.7,117.3,162.1,224.0,247.8,208.1,166.1,71.5,93.7,200.1,224.4,390.6,202.2,193.1,201.5,67.4,222.2,1780.6,58.1,240.8,210.6,147.0,234.4,231.6,221.2,74.5,225.9,160.1,179.7,312.1,105.1,184.8,344.3,202.0,185.0,165.1,308.5,157.7,220.7,143.9,365.6,181.7,227.5,167.7,221.2,144.2,212.9,248.7,304.6,211.9,161.9,261.9,114.3,277.9,226.4,233.3,258.9,363.3,0.0,135.4,172.0,166.2,280.2,60.5,275.2,198.0,184.3,267.9,169.3,94.0
VG,158.7,153.8,200.3,318.8,280.4,151.5,238.4,142.9,279.4,312.4,97.3,244.9,163.7,288.0,248.3,138.6,295.3,221.6,98.1,76.3,243.9,112.4,136.2,301.3,240.4,73.2,211.4,125.1,144.9,255.1,276.5,298.6,89.9,223.4,214.5,1778.0,128.2,129.2,284.9,228.8,122.8,111.3,109.6,190.6,86.1,24.6,102.9,225.0,150.0,73.2,198.8,66.5,132.4,65.8,173.0,132.1,159.7,218.2,230.1,268.3,115.9,250.1,109.6,83.2,101.3,113.2,169.1,136.9,310.1,150.3,196.1,166.3,300.7,116.1,147.3,227.8,146.5,0.0,296.6,125.1,168.6,204.6,184.1,137.0,273.5,156.3,251.1,111.5
VP,225.5,130.7,390.9,347.4,114.9,151.7,55.9,170.2,94.7,341.0,166.4,372.6,386.9,59.3,142.4,342.1,86.6,22.6,301.6,209.2,61.4,315.9,339.7,103.1,79.1,126.6,108.7,292.0,173.0,362.8,65.2,88.1,293.4,128.5,70.9,1886.4,190.9,332.7,76.2,46.3,315.9,199.2,313.1,75.9,226.4,215.2,174.3,402.3,92.2,276.7,353.8,247.1,276.9,257.0,339.0,132.3,188.3,112.6,382.9,124.8,321.0,67.6,313.1,201.2,304.8,223.6,397.0,303.8,4.9,347.5,46.9,363.5,72.0,195.4,350.8,333.6,145.2,190.5,0.0,245.1,327.4,89.9,393.9,165.6,153.1,353.5,33.8,167.1
VT,140.7,128.5,266.7,300.8,314.2,115.5,231.1,123.6,220.3,294.4,69.6,326.0,227.9,258.5,282.1,206.4,285.8,214.3,165.9,95.9,236.6,180.2,204.0,305.1,274.2,107.0,255.9,158.9,145.4,316.2,264.4,287.3,157.7,257.2,196.5,1773.1,172.7,197.0,275.4,221.5,190.6,152.6,177.4,183.3,168.8,91.0,66.9,268.5,142.7,140.8,306.4,200.5,166.2,121.3,298.2,96.1,141.7,252.0,336.3,302.3,185.3,242.8,177.4,100.8,169.1,177.0,235.5,170.7,251.5,218.1,188.8,234.1,271.2,154.3,215.1,287.0,180.3,66.3,246.5,0.0,280.8,197.3,234.0,119.0,307.3,224.1,251.0,148.9
WG,290.5,258.5,159.5,232.1,379.3,283.3,313.1,157.6,285.4,225.7,229.1,204.1,59.0,316.5,347.2,144.1,355.5,314.3,61.1,182.0,318.6,45.6,81.9,387.6,339.3,172.1,297.3,138.3,276.7,247.5,336.7,375.0,95.4,290.9,261.6,1719.5,214.1,113.6,345.1,303.5,108.3,175.4,100.9,297.0,181.1,75.9,234.7,74.8,289.1,86.9,158.0,175.1,161.3,105.8,132.2,263.9,164.5,317.1,189.3,367.2,114.9,324.8,95.1,215.0,106.8,199.8,71.7,127.6,339.7,20.0,295.1,36.0,304.4,155.6,73.7,218.3,245.4,139.3,326.2,208.4,0.0,311.0,66.4,163.5,372.4,26.0,300.0,211.8
WR,189.2,83.6,321.6,335.7,189.1,104.0,96.0,158.5,145.2,329.3,158.5,360.9,257.5,123.4,157.0,236.0,150.7,79.2,195.5,103.1,101.5,209.8,233.6,170.0,143.2,57.3,123.0,185.9,168.1,351.1,129.3,152.2,187.3,132.1,121.4,1780.3,96.4,226.6,140.3,86.4,220.2,187.5,207.0,14.0,210.2,145.9,126.6,297.9,44.5,170.4,352.1,235.4,170.8,150.9,333.1,84.6,176.6,126.9,371.2,177.0,213.3,107.7,207.0,160.3,198.7,211.9,290.4,197.7,116.4,335.8,53.7,351.8,136.1,189.2,244.7,321.9,55.2,121.2,111.4,197.4,315.7,0.0,261.0,153.9,182.2,341.8,108.7,119.4
WW,287.4,282.5,224.3,296.9,377.6,280.2,377.9,222.4,350.2,290.5,226.0,268.9,55.0,381.3,395.0,120.2,420.3,350.3,107.5,178.9,383.4,92.0,77.9,452.4,366.6,219.9,292.6,71.8,273.6,312.3,401.5,423.3,88.7,287.8,326.4,1745.9,211.0,47.1,409.9,368.3,118.8,240.2,65.5,319.3,205.2,143.7,231.6,50.8,278.7,115.4,222.8,185.6,94.8,134.3,197.0,260.8,229.3,344.4,254.1,415.0,59.2,389.6,105.6,211.9,72.7,264.6,98.1,61.1,404.5,46.9,324.8,31.1,369.2,220.4,69.7,283.1,267.6,167.8,391.0,253.8,64.7,333.3,0.0,228.3,420.2,40.2,364.8,208.7
XJ,189.9,94.9,248.4,181.7,260.1,152.3,149.5,5.8,121.8,175.3,128.2,206.9,220.8,152.9,242.5,226.4,191.9,150.7,222.9,214.2,155.0,207.4,243.7,224.0,202.4,191.8,274.7,243.7,150.3,197.1,173.1,211.4,177.7,274.0,98.0,1840.2,191.5,217.0,181.5,139.9,150.2,33.5,197.4,133.4,60.7,172.2,183.9,236.6,125.5,187.2,198.1,81.4,251.0,184.4,173.3,132.9,22.6,255.8,217.2,224.9,203.7,161.2,162.5,148.9,189.1,57.9,231.3,289.4,176.1,181.8,131.5,197.8,140.8,35.2,235.5,167.9,202.7,140.1,162.6,116.9,161.7,147.4,228.2,0.0,253.2,187.8,136.4,167.7
YA,298.7,224.2,461.6,420.6,6.8,255.1,159.3,244.7,114.4,414.2,269.8,445.8,459.7,122.1,33.0,376.0,129.4,126.0,335.5,243.1,164.8,349.8,373.6,51.5,95.2,197.3,157.4,325.9,279.6,436.0,110.6,48.8,327.3,192.3,131.5,1855.1,230.8,366.6,119.0,149.7,389.1,272.4,347.0,179.3,299.6,285.9,277.7,475.5,195.6,310.6,437.0,320.3,310.8,290.9,412.2,235.7,261.5,38.2,456.1,18.5,353.3,171.0,347.0,311.4,338.7,296.8,470.2,337.7,144.2,420.7,150.3,436.7,134.8,274.1,474.4,406.8,165.7,261.2,130.7,348.5,400.6,193.3,467.1,238.8,0.0,426.7,148.0,270.5
YS,296.6,283.0,184.0,256.6,403.8,289.4,337.6,182.1,309.9,250.2,235.2,228.6,32.9,341.0,371.7,129.5,380.0,338.8,67.2,188.1,343.1,51.7,55.8,412.1,363.8,196.6,303.4,112.2,282.8,272.0,361.2,399.5,98.0,297.0,286.1,1705.6,220.2,87.5,369.6,328.0,114.4,199.9,74.8,321.5,205.6,139.3,240.8,48.7,287.9,93.0,182.5,181.2,135.2,111.9,156.7,270.0,189.0,341.6,213.8,391.7,88.8,349.3,101.2,221.1,82.0,224.3,57.8,101.5,364.2,6.6,319.6,10.0,328.9,180.1,47.6,242.8,269.9,145.4,350.7,214.5,24.4,335.5,40.3,188.0,396.9,0.0,324.5,217.9
ZA,191.6,116.1,380.2,313.5,118.9,173.5,79.9,136.6,64.2,306.1,191.4,338.7,353.0,64.3,139.2,331.4,91.6,46.6,291.9,198.5,78.2,338.2,330.0,110.9,75.9,160.0,142.1,282.3,172.5,327.9,72.8,92.1,283.7,204.4,37.0,1876.7,207.7,322.6,80.2,70.3,289.2,165.3,302.4,96.5,188.7,248.6,188.5,368.4,116.2,266.0,323.3,213.2,266.8,247.3,304.1,154.1,161.6,146.0,349.0,129.8,308.7,91.6,293.3,191.5,294.1,189.7,363.1,294.1,34.9,313.6,70.9,329.6,76.0,166.0,367.3,299.7,162.0,223.9,33.7,248.7,293.5,106.7,360.0,131.7,157.1,319.6,0.0,188.9
ZD,197.9,78.0,299.7,363.6,190.3,83.0,180.6,187.7,218.3,357.2,131.7,388.8,229.3,208.0,200.0,204.2,234.2,163.8,163.7,81.2,186.1,178.0,201.8,254.6,179.3,35.4,106.9,154.1,158.3,379.0,215.4,236.8,155.5,100.5,190.3,1748.5,23.7,194.8,223.8,171.0,188.4,215.4,175.2,132.8,185.5,124.0,85.6,266.1,92.2,138.8,298.2,165.9,139.0,119.1,272.4,63.6,204.5,157.1,329.5,216.1,181.5,192.3,175.2,119.3,166.9,239.8,268.5,165.9,209.5,215.9,138.3,231.9,220.7,217.1,212.9,349.8,80.3,99.3,196.0,161.2,234.2,146.8,229.2,181.8,197.5,221.9,193.3,0.0
