from_stop,AE,AT,AZ,BA,BG,BR,BS,BX,CB,CE,CF,CJ,CM,CY,DF,DJ,DR,DS,DT,ED,EH,EW,EZ,FE,FG,FV,FY,GD,GE,GJ,GO,GP,GQ,HD,HM,HN,HS,HW,HZ,IA,IF,IG,IL,IY,JA,JJ,JV,KF,KQ,KS,KV,KW,LC,LJ,LL,LM,LZ,MI,MK,MS,MV,ND,NJ,NP,NQ,NW,OH,PE,PJ,PQ,PU,QW,QY,RT,SA,SB,SE,SF,SL,SN,SR,TA,TC,TD,TQ,TW,UD,UE,UF,UK,UN,VA,VE,VF,VY,WA,WB,WP,WW,XD,XE,YG,YW,ZC,ZD,ZI,ZL,ZV
MS,198.2,570.6,583.9,357.0,533.5,344.4,451.7,401.0,532.2,331.1,783.9,619.5,364.3,526.5,426.8,552.3,638.1,435.9,213.7,162.2,520.1,119.8,159.7,569.2,406.7,539.8,507.5,339.8,181.4,521.1,640.5,526.8,385.6,19.7,411.9,543.2,148.7,109.2,319.0,409.2,211.6,388.8,212.3,320.1,380.1,483.6,140.7,78.7,249.5,603.2,539.7,398.6,587.8,463.2,315.2,477.3,241.6,2038.5,281.1,0.0,566.1,633.3,544.7,128.1,298.9,385.4,249.2,368.0,442.6,770.7,415.0,610.2,268.0,497.2,28.2,236.6,313.2,355.2,505.8,278.0,412.7,359.1,570.1,597.1,267.1,216.9,548.9,64.6,338.6,314.1,538.1,299.9,798.7,339.8,439.1,561.0,439.4,539.5,480.9,517.0,206.3,342.6,177.0,278.6,545.6,288.4,383.1,264.7
MV,344.5,976.7,990.0,187.6,911.6,795.1,196.3,851.7,938.3,781.8,369.1,247.3,815.0,925.7,513.3,896.1,223.3,886.6,345.1,403.9,147.9,431.6,391.7,529.2,857.4,990.5,913.6,376.0,370.0,687.2,74.3,74.4,345.6,533.1,862.6,171.0,701.6,456.9,769.7,859.9,432.2,330.8,384.0,406.6,340.1,889.7,410.7,472.7,700.2,913.8,945.8,340.6,173.0,869.3,765.9,146.9,374.7,2489.2,731.8,552.8,0.0,67.1,21.3,423.3,749.6,836.1,304.6,745.3,534.2,355.9,506.6,44.0,718.7,125.0,524.6,328.2,231.4,805.9,911.9,278.4,396.3,395.3,976.2,224.9,349.2,908.3,999.6,617.5,789.3,405.7,91.6,256.8,383.9,376.0,222.4,949.6,232.2,945.6,440.9,967.7,657.0,429.1,374.4,729.3,662.7,256.2,419.3,715.4
ND,411.7,909.6,922.9,254.8,844.5,728.0,129.2,784.6,871.2,714.7,301.9,314.5,747.9,858.6,446.2,829.0,156.1,819.5,278.0,471.1,215.1,364.5,324.6,462.1,790.3,923.4,846.5,315.1,302.9,620.1,7.2,141.6,278.5,454.7,795.5,238.2,663.2,524.1,702.6,792.8,499.4,263.7,316.9,339.5,273.0,822.6,343.6,405.6,633.1,846.7,878.7,273.5,105.8,802.2,698.8,79.8,307.6,2422.1,664.7,518.3,78.1,0.0,88.5,356.2,684.9,769.0,237.5,678.2,601.4,288.7,573.8,23.0,651.6,192.2,446.2,395.4,298.6,738.8,844.8,211.3,329.2,328.2,909.1,292.1,282.1,841.2,932.5,579.1,722.2,472.9,158.8,189.7,316.7,308.9,289.6,900.0,165.1,878.5,373.8,876.3,589.9,362.0,307.3,662.2,595.6,323.4,352.2,648.3
NJ,306.9,998.1,1011.4,166.2,933.0,816.5,217.7,873.1,959.7,819.4,390.5,225.9,836.4,963.3,550.9,917.5,244.7,908.0,366.5,382.5,126.5,453.0,413.1,566.8,878.8,1011.9,936.5,397.4,407.6,708.6,111.9,103.3,367.0,511.7,899.5,149.6,680.2,435.5,807.3,891.6,410.8,352.2,405.4,444.2,361.5,927.3,432.1,494.1,682.4,935.2,976.7,362.0,194.4,890.7,787.3,168.3,396.1,2510.6,748.6,515.2,37.5,88.5,0.0,460.9,771.0,857.5,326.0,766.7,512.8,377.3,485.2,81.6,740.1,87.4,503.2,306.8,210.0,827.3,933.3,299.8,417.7,416.7,997.6,203.5,370.6,929.7,1037.2,596.1,810.7,384.3,120.5,278.6,405.3,397.4,201.0,971.0,253.6,967.0,462.3,1005.3,694.6,466.7,395.8,750.7,700.3,218.6,440.7,736.8
NP,225.3,776.0,789.3,334.2,823.4,594.4,323.5,651.0,737.6,581.1,655.7,711.0,614.3,725.0,298.6,807.9,509.9,685.9,85.5,189.3,611.6,8.3,31.5,441.0,656.7,789.8,712.9,211.6,53.2,599.0,423.7,476.3,257.4,98.4,661.9,634.7,266.9,136.3,569.0,659.2,238.7,260.6,84.1,191.9,251.9,689.0,12.5,49.3,499.5,825.6,745.1,270.4,459.6,668.6,565.2,349.1,113.4,2288.5,531.1,118.1,463.6,416.5,501.2,0.0,548.9,635.4,121.0,544.6,469.7,642.5,442.1,419.5,518.0,588.7,89.9,263.7,340.3,605.2,711.2,149.8,326.1,230.9,775.5,688.6,138.9,707.6,798.9,182.8,588.6,341.2,449.1,171.7,670.5,211.6,369.0,748.9,311.2,744.9,352.7,767.0,456.3,214.4,48.8,528.6,574.5,315.5,254.9,514.7
NQ,304.9,397.9,411.2,464.2,378.1,125.6,807.5,245.6,359.5,176.2,1139.2,1194.5,145.0,198.7,628.8,396.9,993.4,280.5,461.1,355.3,1095.1,547.6,507.7,419.0,251.3,384.4,334.8,547.8,485.5,283.8,905.3,959.8,594.1,289.7,256.5,1118.2,416.8,379.3,17.6,189.9,383.6,597.3,500.0,522.6,588.6,309.0,526.7,588.7,44.7,447.8,367.0,609.0,943.1,290.5,194.3,832.6,529.3,2041.0,180.5,269.5,945.2,900.0,968.5,538.8,0.0,228.1,457.7,93.6,549.3,1126.0,522.2,903.5,31.4,1072.2,298.2,343.8,420.4,55.7,333.1,486.5,662.8,567.6,397.4,1172.1,521.5,256.6,393.5,330.8,183.2,421.3,932.6,508.4,1152.1,548.3,546.3,388.3,794.7,363.8,499.5,221.0,93.0,544.6,490.4,20.8,306.4,395.6,593.5,65.6
NW,440.9,191.9,205.2,599.7,148.0,100.8,800.7,15.6,141.0,44.6,1132.9,1188.2,120.7,367.3,704.7,166.8,987.1,141.1,536.5,490.8,1088.8,623.0,583.1,414.6,111.9,154.3,164.2,623.7,561.4,277.5,900.9,953.5,608.5,365.1,116.4,1111.9,490.3,454.7,193.9,165.6,519.1,672.7,575.4,598.0,615.1,211.9,602.1,664.1,184.0,217.7,161.0,682.5,936.8,199.5,164.3,826.3,604.7,2054.8,251.3,345.4,940.8,893.7,978.4,614.7,211.6,0.0,533.1,229.1,685.3,1119.7,657.7,896.7,202.5,1065.9,373.6,479.3,555.9,157.7,167.4,561.9,738.2,643.0,237.4,1165.8,596.9,392.1,163.4,406.2,36.6,556.8,926.3,584.3,1147.7,623.7,681.8,248.8,788.4,133.7,493.2,273.4,168.9,620.5,565.8,213.1,302.0,531.1,667.0,199.2
OH,349.5,672.0,685.3,213.1,702.3,490.4,202.4,547.0,633.6,477.1,534.6,589.9,510.3,621.0,208.6,686.8,388.8,581.9,40.4,308.0,490.5,126.9,87.0,319.9,552.7,685.8,608.9,96.7,65.3,477.9,302.6,355.2,136.3,217.1,557.2,513.6,425.6,255.0,465.0,555.2,357.4,139.5,118.5,101.9,130.8,585.0,106.0,168.0,395.5,704.5,641.1,149.3,338.5,564.6,461.2,228.0,89.2,2184.5,427.1,280.7,353.5,295.4,363.9,118.6,447.3,531.4,0.0,440.6,539.2,521.4,511.6,298.4,414.0,467.6,208.6,333.2,236.4,501.2,607.2,28.7,205.0,109.8,671.5,567.5,63.7,603.6,694.9,341.5,484.6,410.7,328.0,51.1,549.4,90.5,247.9,662.4,190.1,640.9,231.6,638.7,352.3,124.4,69.7,424.6,453.4,261.2,133.8,410.7
PE,211.7,423.6,436.9,370.5,407.8,238.8,655.4,275.3,385.2,205.4,987.6,1042.9,258.7,180.3,624.5,426.6,841.8,310.2,456.3,261.6,943.5,542.8,502.9,534.6,281.0,414.1,360.5,549.7,481.2,397.5,755.6,808.2,589.3,284.9,285.5,966.6,410.1,314.6,133.2,303.6,289.9,592.5,495.2,517.8,583.8,336.6,521.9,583.9,53.9,477.5,392.7,602.3,791.5,316.2,189.5,681.0,524.5,2036.2,175.7,265.2,806.5,748.4,816.9,534.5,115.5,259.7,452.9,0.0,456.1,974.4,428.5,751.4,82.2,920.6,293.4,250.1,326.7,169.4,358.8,481.7,658.0,562.8,423.1,1020.5,516.7,162.9,423.2,326.0,212.9,327.6,781.0,504.1,1002.4,543.5,452.6,414.0,643.1,392.5,613.2,312.3,88.7,540.3,485.6,92.8,422.0,301.9,586.8,39.8
PJ,224.1,857.1,870.4,358.2,841.3,672.3,614.8,708.8,818.7,638.9,936.5,620.7,692.2,591.9,738.2,941.1,790.7,743.7,525.1,283.5,521.3,431.2,471.1,574.2,714.5,847.6,794.0,651.2,492.8,732.2,641.7,528.0,451.1,412.7,719.7,544.4,581.2,336.5,566.7,737.1,311.8,435.5,523.7,631.5,457.7,770.1,452.1,390.1,519.2,958.8,826.2,424.6,740.4,749.7,623.0,639.3,553.0,2469.7,609.2,432.4,567.3,634.5,545.9,439.5,546.6,693.2,560.6,433.4,0.0,923.3,35.8,611.4,515.7,498.4,404.2,195.7,314.4,602.9,792.3,589.4,413.9,670.5,856.6,598.3,578.5,282.3,856.7,497.1,646.4,146.7,539.3,543.7,951.3,651.2,440.3,830.0,602.5,826.0,485.9,770.1,522.2,654.0,488.4,526.3,707.7,289.6,694.5,473.3
PQ,660.4,1096.3,1109.6,508.6,1031.2,914.7,279.8,971.3,1057.9,901.4,119.2,568.3,934.6,1045.3,632.9,1015.7,243.8,1006.2,464.7,719.8,468.9,551.2,511.3,648.8,977.0,1110.1,1033.2,501.8,489.6,806.8,246.5,395.4,465.2,641.4,981.5,492.0,849.9,679.3,889.3,979.5,748.1,450.4,503.6,526.2,459.7,1009.3,530.3,592.3,819.8,1033.4,1065.4,460.2,158.4,988.9,885.5,333.6,494.3,2608.8,851.4,705.0,331.9,253.7,342.3,542.9,871.6,955.7,424.2,864.9,850.1,0.0,822.5,276.8,838.3,446.0,632.9,644.1,547.3,925.5,1031.5,398.0,515.9,514.9,1095.8,545.9,468.8,1027.9,1119.2,765.8,908.9,721.6,412.6,376.4,134.0,495.6,543.4,1086.7,351.8,1065.2,560.5,1063.0,776.6,548.7,494.0,848.9,782.3,572.1,538.9,835.0
PU,188.2,821.2,834.5,322.3,805.4,636.4,578.9,672.9,782.8,603.0,900.6,584.8,656.3,556.0,702.3,905.2,754.8,707.8,489.2,247.6,485.4,395.3,435.2,538.3,678.6,811.7,758.1,621.5,456.9,696.3,605.8,492.1,415.2,376.8,683.1,508.5,545.3,300.6,530.8,701.2,275.9,399.6,487.8,595.6,421.8,734.2,416.2,354.2,451.5,922.9,790.3,388.7,704.5,713.8,587.1,603.4,517.1,2433.8,573.3,396.5,549.9,598.6,510.0,403.6,513.1,657.3,524.7,397.5,27.5,887.4,0.0,575.5,479.8,462.5,368.3,159.8,278.5,567.0,756.4,553.5,378.0,634.6,820.7,562.4,542.6,246.4,820.8,461.2,610.5,110.8,503.4,507.4,915.4,615.3,404.4,811.6,566.6,790.1,450.0,709.9,486.3,618.1,452.5,490.4,671.8,253.7,658.6,437.4
QW,388.6,932.6,945.9,231.7,867.5,751.0,152.2,807.6,894.2,737.7,325.0,291.4,770.9,881.6,469.2,852.0,179.2,842.5,301.0,448.0,192.0,387.5,347.6,485.1,813.3,946.4,869.5,331.9,325.9,643.1,30.2,118.5,301.5,477.7,817.8,215.1,686.2,501.0,725.6,826.1,476.3,286.7,339.9,362.5,296.0,845.6,366.6,428.6,656.1,869.7,901.7,296.5,128.9,825.2,721.8,102.8,330.6,2445.1,683.1,541.3,44.0,23.0,81.6,379.2,705.5,792.0,260.5,701.2,578.3,311.8,550.7,0.0,674.6,169.1,469.2,372.3,275.5,761.8,867.8,234.3,352.2,351.2,932.1,269.0,305.1,864.2,955.5,602.1,745.2,449.8,135.7,212.7,339.8,331.9,266.5,905.5,188.1,901.5,396.8,923.6,612.9,385.0,330.3,685.2,618.6,300.3,375.2,671.3
QY,274.0,397.0,410.3,432.8,381.2,156.5,628.8,248.7,358.6,178.8,961.0,1016.3,176.4,232.0,597.9,400.0,815.2,283.6,429.7,323.9,916.9,516.2,476.3,452.3,254.4,387.5,333.9,523.1,454.6,315.2,729.0,781.6,562.7,258.3,259.6,940.0,383.5,347.9,50.9,221.3,352.2,565.9,468.6,491.2,557.2,310.0,495.3,557.3,13.3,450.9,366.1,575.7,764.9,289.6,162.9,654.4,497.9,2009.6,149.1,238.6,779.9,721.8,790.3,507.9,33.3,233.1,426.3,62.2,518.4,947.8,490.8,724.8,0.0,894.0,266.8,312.4,389.0,87.1,332.2,455.1,631.4,536.2,396.5,993.9,490.1,225.2,396.6,299.4,186.3,389.9,754.4,477.5,975.8,516.9,514.9,387.4,616.5,365.9,530.9,230.0,62.1,513.7,459.0,10.6,339.7,364.2,560.2,32.3
RT,318.1,1124.3,1137.6,161.2,1059.2,942.7,343.9,999.3,1085.9,929.4,516.7,164.5,962.6,1073.3,660.9,1043.7,370.9,1034.2,492.7,377.5,65.1,579.2,539.3,676.8,1005.0,1138.1,1061.2,523.6,517.6,834.8,221.9,229.5,493.2,506.7,1009.5,88.2,675.2,430.5,917.3,1017.8,405.8,478.4,531.6,554.2,487.7,1037.3,558.3,620.3,808.6,1061.4,1093.4,488.2,320.6,1016.9,913.5,294.5,522.3,2636.8,874.8,526.4,147.5,214.7,109.9,570.9,897.7,983.7,452.2,892.9,507.8,503.5,480.2,191.6,866.3,0.0,498.2,301.8,205.0,953.5,1059.5,426.0,543.9,542.9,1123.8,142.1,496.8,1055.9,1147.2,591.1,936.9,379.3,246.7,404.8,531.5,523.6,196.0,1097.2,379.8,1093.2,588.5,1115.3,804.6,576.7,522.0,876.9,810.3,229.8,566.9,863.0
SA,170.0,598.8,612.1,328.8,561.7,372.6,423.5,429.2,560.4,359.3,755.7,591.3,392.5,498.3,398.6,580.5,609.9,464.1,185.5,134.0,491.9,91.6,131.5,541.0,434.9,568.0,535.7,317.8,153.2,549.3,612.3,498.6,357.4,8.5,440.1,515.0,176.9,81.0,473.1,437.4,183.4,360.6,184.1,291.9,351.9,511.8,112.5,50.5,393.8,631.4,567.9,370.4,559.6,491.4,343.4,449.1,213.4,2066.7,309.3,28.2,556.4,605.1,516.5,99.9,455.4,413.6,221.0,339.8,414.4,742.5,386.8,582.0,422.1,469.0,0.0,208.4,285.0,509.3,534.0,249.8,384.5,330.9,598.3,568.9,238.9,188.7,577.1,92.8,366.8,285.9,509.9,272.2,770.5,311.6,410.9,589.2,411.2,567.7,452.7,652.2,234.5,314.4,148.8,432.7,674.5,260.2,354.9,379.7
SB,28.3,661.3,674.6,162.4,645.5,476.5,419.0,513.0,622.9,443.1,740.7,424.9,496.4,396.1,542.4,745.3,594.9,547.9,329.3,87.7,325.5,235.4,275.3,378.4,518.7,651.8,598.2,461.6,297.0,536.4,445.9,332.2,255.3,216.9,523.2,348.6,385.4,140.7,370.9,541.3,116.0,239.7,327.9,435.7,261.9,574.3,256.3,194.3,291.6,763.0,630.4,228.8,544.6,553.9,427.2,443.5,357.2,2273.9,413.4,236.6,390.0,438.7,350.1,243.7,353.2,497.4,364.8,237.6,205.9,727.5,178.3,415.6,319.9,302.6,208.4,0.0,118.6,407.1,596.5,393.6,218.1,474.7,660.8,402.5,382.7,86.5,660.9,301.3,450.6,77.4,343.5,347.5,755.5,455.4,244.5,651.7,406.7,630.2,290.1,550.0,326.4,458.2,292.6,330.5,511.9,93.8,498.7,277.5
SE,113.0,802.0,788.7,43.7,642.1,561.2,300.3,597.7,789.5,527.8,622.0,306.2,581.1,480.8,485.3,626.6,476.2,632.6,317.1,172.4,206.8,320.1,360.0,259.7,603.4,802.8,754.5,354.2,381.7,417.7,327.2,213.5,136.6,301.6,608.6,229.9,470.1,225.4,455.6,626.0,200.7,121.0,412.6,378.6,143.2,718.3,341.0,279.0,376.3,644.3,786.7,110.1,425.9,638.6,511.9,324.8,346.7,2358.6,498.1,321.3,271.3,320.0,231.4,328.4,437.9,582.1,276.6,322.3,302.7,608.8,275.1,296.9,404.6,183.9,293.1,96.7,0.0,491.8,752.8,250.4,99.4,367.3,756.5,283.8,321.2,171.2,811.9,386.0,535.3,174.2,224.8,228.8,636.8,348.0,125.8,747.4,288.0,782.2,171.4,634.7,411.1,401.1,377.3,415.2,393.2,24.7,391.3,362.2
SF,361.2,342.1,355.4,520.0,322.3,69.3,751.2,189.8,303.7,119.9,1083.4,1138.7,89.2,209.5,685.1,341.1,937.6,224.7,516.9,411.1,1039.3,603.4,563.5,365.1,195.5,328.6,279.0,610.3,541.8,228.0,851.4,904.0,559.0,345.5,200.7,1062.4,470.7,435.1,36.1,134.1,439.4,653.1,555.8,578.4,565.6,255.1,582.5,644.5,100.5,392.0,311.2,662.9,887.3,234.7,176.7,776.8,585.1,2096.8,236.3,325.8,902.3,844.2,912.7,595.1,53.8,174.2,513.5,149.4,605.6,1070.2,578.0,847.2,87.1,1016.4,354.0,399.6,476.2,0.0,277.3,542.3,718.6,623.4,341.6,1116.3,577.3,312.4,337.7,386.6,127.4,477.1,876.8,564.7,1098.2,604.1,602.1,332.5,738.9,308.0,443.7,142.8,149.3,600.9,546.2,76.5,252.5,451.4,647.4,119.5
SL,538.7,64.7,78.0,697.5,156.4,198.6,898.5,141.8,26.3,142.4,1230.7,1286.0,218.5,465.1,802.5,175.2,1084.9,165.2,634.3,588.6,1186.6,720.8,680.9,512.4,136.0,150.7,1.6,727.7,659.2,375.3,998.7,1051.3,706.3,462.9,141.2,1209.7,588.1,552.5,291.7,263.4,616.9,770.5,673.2,695.8,712.9,44.4,699.9,761.9,281.8,226.1,33.8,780.3,1034.6,32.0,262.1,924.1,702.5,2090.2,353.7,443.2,1049.6,991.5,1060.0,712.5,309.4,157.4,630.9,326.9,783.1,1217.5,755.5,994.5,300.3,1163.7,471.4,577.1,653.7,255.5,0.0,659.7,836.0,740.8,110.2,1263.6,694.7,489.9,159.8,504.0,134.4,654.6,1024.1,682.1,1245.5,721.5,779.6,119.3,886.2,33.6,591.0,346.9,266.7,718.3,663.6,310.9,399.8,628.9,764.8,297.0
SN,320.7,698.2,711.5,184.3,673.5,516.6,173.6,573.2,659.8,503.3,505.8,561.1,536.5,647.2,234.8,658.0,360.0,608.1,66.6,334.2,461.7,153.1,113.2,291.1,578.9,712.0,635.1,103.7,91.5,449.1,273.8,326.4,107.5,243.3,584.1,484.8,451.8,281.2,491.2,581.4,408.4,110.7,105.5,128.1,102.0,611.2,132.2,194.2,421.7,675.7,667.3,120.5,309.7,590.8,487.4,199.2,96.2,2210.7,453.3,306.9,324.7,266.6,335.1,144.8,473.5,557.6,26.1,466.8,510.4,492.6,482.8,269.6,440.2,438.8,234.8,304.4,207.6,527.4,633.4,0.0,176.2,116.8,697.7,538.7,70.7,629.8,721.1,367.7,510.8,381.9,299.2,22.3,520.6,97.5,219.1,688.6,161.3,667.1,202.8,664.9,378.5,150.6,95.9,450.8,424.6,232.4,140.8,436.9
SR,216.6,976.2,962.9,117.8,816.3,776.3,253.0,776.4,863.0,706.5,585.2,640.5,796.2,850.4,438.0,800.8,439.4,811.3,269.8,276.0,541.1,356.3,316.4,433.9,782.1,977.0,838.3,306.9,294.7,591.9,353.2,405.8,250.3,405.2,787.3,564.2,573.7,329.0,694.4,841.1,304.3,73.7,308.7,331.3,244.8,814.4,335.4,397.4,624.9,818.5,870.5,62.8,389.1,794.0,690.6,278.6,299.4,2413.9,656.5,424.9,404.1,346.0,414.5,348.0,676.7,760.8,229.3,670.0,406.3,572.0,378.7,349.0,643.4,518.2,396.7,200.3,103.5,815.2,836.6,203.1,0.0,320.0,930.7,618.1,273.9,833.0,986.1,489.6,714.0,277.8,378.6,181.5,600.0,300.7,199.9,921.6,240.7,956.4,345.6,906.6,581.7,353.8,299.1,654.0,567.4,128.3,344.0,640.1
TA,410.1,771.8,785.1,273.7,762.9,722.9,263.0,646.8,733.4,576.9,595.2,650.5,742.8,720.8,393.1,747.4,449.4,681.7,180.0,437.3,551.1,256.2,216.3,380.5,652.5,785.6,708.7,62.5,194.6,538.5,363.2,415.8,196.9,346.4,657.7,574.2,514.9,384.3,564.8,787.7,486.7,200.1,153.7,286.4,191.4,684.8,235.3,297.3,495.3,765.1,740.9,209.9,399.1,664.4,561.0,288.6,124.4,2284.3,526.9,366.1,414.1,356.0,424.5,247.9,547.1,631.2,99.7,540.4,599.8,582.0,572.2,359.0,513.8,528.2,337.9,393.8,297.0,601.0,707.0,89.3,265.6,0.0,771.3,628.1,98.9,703.4,794.7,430.8,584.4,471.3,388.6,111.7,610.0,56.3,308.5,762.2,250.7,740.7,292.2,853.2,452.1,308.9,199.0,524.4,514.0,321.8,99.6,510.5
TC,603.0,45.5,32.1,761.8,226.4,262.9,962.8,211.8,96.3,206.7,1295.0,1350.3,282.8,529.4,866.8,245.2,1149.2,229.5,698.6,652.9,1250.9,785.1,745.2,576.7,200.3,220.7,112.6,792.0,723.5,439.6,1063.0,1115.6,770.6,527.2,205.5,1274.0,652.4,616.8,356.0,327.7,681.2,834.8,737.5,760.1,777.2,76.4,764.2,826.2,346.1,296.1,76.3,844.6,1098.9,96.3,326.4,988.4,766.8,2154.5,418.0,507.5,1113.9,1055.8,1124.3,776.8,373.7,227.4,695.2,391.2,847.4,1281.8,819.8,1058.8,364.6,1228.0,535.7,641.4,718.0,319.8,110.9,724.0,900.3,805.1,0.0,1327.9,759.0,554.2,229.8,568.3,198.7,718.9,1088.4,746.4,1309.8,785.8,843.9,9.0,950.5,103.6,655.3,411.2,331.0,782.6,727.9,375.2,464.1,693.2,829.1,361.3
TD,396.4,1202.6,1215.9,239.5,1137.5,1021.0,422.2,1077.6,1164.2,1007.7,595.0,22.3,1040.9,1151.6,739.2,1122.0,449.2,1112.5,571.0,455.8,66.9,657.5,617.6,755.1,1083.3,1216.4,1139.5,608.1,595.9,913.1,300.2,307.8,571.5,585.0,1088.5,124.3,753.5,508.8,995.6,1085.8,484.1,556.7,609.9,632.5,566.0,1115.6,636.6,698.6,926.1,1139.7,1171.7,566.5,398.9,1095.2,991.8,372.8,600.6,2715.1,957.7,604.7,244.3,293.0,204.4,649.2,977.9,1062.0,530.5,971.2,586.1,581.8,558.5,269.9,944.6,140.5,576.5,380.1,283.3,1031.8,1137.8,504.3,622.2,621.2,1202.1,0.0,575.1,1134.2,1225.5,669.4,1015.2,457.6,325.0,482.7,609.8,601.9,274.3,1193.0,458.1,1171.5,666.8,1169.3,882.9,655.0,600.3,955.2,888.6,308.1,645.2,941.3
TQ,374.3,753.5,766.8,255.4,744.6,704.6,244.7,628.5,715.1,558.6,576.9,632.2,724.5,702.5,294.1,729.1,431.1,663.4,81.0,338.3,532.8,157.2,117.3,362.2,634.2,767.3,690.4,77.4,95.6,520.2,344.9,397.5,178.6,247.4,639.4,555.9,415.9,285.3,546.5,769.4,387.7,181.8,54.7,187.4,173.1,666.5,136.3,198.3,477.0,746.8,722.6,191.6,380.8,646.1,542.7,270.3,25.4,2266.0,504.0,267.1,384.8,337.7,422.4,148.9,528.8,612.9,116.5,522.1,581.5,563.7,553.9,340.7,495.5,509.9,238.9,375.5,278.7,582.7,688.7,71.0,247.3,96.7,753.0,609.8,0.0,685.1,776.4,331.8,566.1,453.0,370.3,92.9,591.7,77.4,290.2,726.4,232.4,722.4,273.9,859.2,433.8,209.9,100.0,506.1,495.7,303.5,120.7,492.2
TW,48.7,574.7,588.0,207.5,558.9,389.9,806.5,426.4,536.3,356.5,1138.7,1194.0,409.8,309.5,775.6,577.7,992.9,461.3,607.4,98.6,1094.6,693.9,654.0,685.7,432.1,565.2,511.6,700.8,632.3,548.6,906.7,959.3,740.4,227.8,437.3,1117.7,396.3,151.6,284.3,454.7,126.9,743.6,646.3,668.9,734.9,487.7,673.0,735.0,205.0,628.6,543.8,753.4,942.6,467.3,340.6,832.1,675.6,2187.3,326.8,247.5,957.6,899.5,968.0,685.6,266.6,410.8,604.0,151.0,293.1,1125.5,265.5,902.5,233.3,1071.7,219.3,87.1,163.7,320.5,509.9,632.8,809.1,713.9,574.2,1171.6,667.8,0.0,574.3,312.2,364.0,164.6,932.1,655.2,1153.5,694.6,289.6,565.1,794.2,543.6,764.3,463.4,239.8,691.4,636.7,243.9,573.1,138.9,737.9,190.9
UD,599.6,209.5,222.8,758.4,157.6,259.5,959.4,143.0,158.6,203.3,1291.6,1346.9,279.4,526.0,863.4,176.4,1145.8,350.3,695.2,649.5,1247.5,781.7,741.8,573.3,321.1,9.7,181.8,782.4,720.1,436.2,1059.6,1112.2,767.2,523.8,326.3,1270.6,649.0,613.4,352.6,324.3,677.8,831.4,734.1,756.7,773.8,229.5,760.8,822.8,324.6,227.3,178.6,841.2,1095.5,217.1,323.0,985.0,763.4,2213.5,410.0,504.1,1099.5,1052.4,1120.9,773.4,372.7,158.6,691.8,387.8,844.0,1278.4,816.4,1055.4,361.2,1224.6,532.3,638.0,714.6,316.4,185.0,720.6,896.9,801.7,255.0,1324.5,755.6,550.8,0.0,564.9,195.3,715.5,1085.0,742.5,1306.4,782.4,840.5,264.1,947.1,151.3,651.9,432.1,327.6,779.2,724.5,371.8,460.7,689.8,825.7,357.9
UE,269.6,618.1,631.4,428.4,581.0,391.9,523.1,448.5,579.7,378.6,855.3,690.9,411.8,597.9,498.2,599.8,709.5,483.4,285.1,233.6,591.5,191.2,231.1,640.6,454.2,587.3,555.0,417.4,252.8,568.6,711.9,598.2,457.0,91.0,458.7,614.6,84.0,180.6,366.5,456.7,283.0,460.2,283.7,391.5,451.5,531.1,212.1,150.1,297.0,650.7,587.2,470.0,659.2,510.7,362.7,548.7,313.0,2086.0,328.6,71.3,656.0,704.7,616.1,199.5,348.8,432.9,320.6,439.4,514.0,842.1,486.4,681.6,315.5,568.6,99.5,308.0,384.6,402.7,553.3,349.4,484.1,430.5,617.6,668.5,338.5,288.3,596.4,0.0,386.1,385.5,609.5,371.8,870.1,411.2,510.5,608.5,510.8,587.0,552.3,540.2,253.8,414.0,248.4,326.1,593.1,359.8,454.5,312.2
UF,404.2,214.6,227.9,563.0,194.8,64.1,764.0,62.3,176.2,7.9,1096.2,1151.5,84.0,330.6,668.0,213.6,950.4,97.2,499.8,454.1,1052.1,586.3,546.4,377.9,68.0,201.1,151.5,593.2,524.7,240.8,864.2,916.8,571.8,328.4,72.5,1075.2,453.6,418.0,157.2,128.9,482.4,636.0,538.7,561.3,578.4,127.6,565.4,627.4,147.3,264.5,183.7,645.8,900.1,107.2,127.6,789.6,568.0,2010.9,219.2,308.7,915.1,857.0,925.5,578.0,174.9,46.7,496.4,192.4,648.6,1083.0,621.0,860.0,165.8,1029.2,336.9,442.6,519.2,121.0,149.8,525.2,701.5,606.3,214.1,1129.1,560.2,355.4,210.2,369.5,0.0,520.1,889.6,547.6,1111.0,587.0,645.1,205.0,751.7,180.5,456.5,212.4,132.2,583.8,529.1,176.4,265.3,494.4,630.3,162.5
