from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BU,BV,BW,BY,CJ,CS,CW,CZ,DY,EC,ED,EZ,FB,FC,FQ,FZ,GA,GO,GS,HA,HC,HG,HK,HM,HZ,IJ,IM,IT,IV,JE,JL,JN,JP,KH,KI,KL,KP,LO,LT,LX,MK,MO,MP,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QA,QK,QU,QW,RE,RH,SM,UB,UM,UO,US,UX,VC,VF,VH,VL,VO,WD,WI,WR,WX,XA,XC,XI,XL,XR,YJ,YK,YP,ZM,ZR
QA,758.9,688.4,1015.7,716.5,682.5,752.1,850.5,925.9,835.1,768.0,908.0,677.8,96.7,709.0,844.3,896.7,755.4,955.9,710.0,898.7,452.6,710.7,872.6,646.2,860.2,524.4,768.0,2305.9,914.3,819.4,519.3,896.3,872.8,814.3,848.4,823.7,952.3,71.8,676.9,581.5,931.9,911.4,764.4,970.1,736.8,652.5,782.4,859.0,736.4,798.3,481.7,876.7,963.8,880.6,573.4,828.8,1000.2,828.8,955.7,794.7,738.5,917.2,692.7,852.5,667.1,691.6,665.1,0.0,858.9,729.6,477.4,103.8,905.6,11.1,812.2,815.9,415.4,735.5,930.0,894.6,702.1,751.3,920.2,694.1,699.5,808.1,629.4,803.4,901.1,828.7,744.6,894.9,427.9,84.6,702.1,568.1,18.4,965.9
QK,90.5,193.7,332.2,216.5,247.7,132.3,153.2,248.9,131.9,553.3,231.0,255.2,714.5,170.2,167.1,219.7,166.1,360.8,204.3,376.0,792.4,594.2,635.9,590.0,124.4,824.5,168.6,2042.5,391.6,130.2,817.2,476.2,441.7,134.4,205.7,42.0,234.4,666.0,203.0,873.0,251.8,525.9,121.7,194.5,104.4,228.2,184.3,182.0,677.2,150.4,781.8,359.7,500.0,203.6,873.5,399.4,483.5,231.7,278.7,152.0,497.7,240.2,240.3,175.5,262.9,241.4,245.0,714.0,0.0,154.8,777.5,716.4,382.9,725.1,114.9,118.6,829.6,202.6,431.9,35.7,182.3,185.5,660.2,220.2,546.7,140.6,620.3,160.7,75.4,144.5,193.0,214.8,817.1,646.0,230.9,868.2,700.4,416.6
QU,105.8,39.9,460.3,94.9,125.5,22.4,197.4,254.8,115.2,559.2,236.9,118.7,559.6,20.5,173.2,225.6,44.5,366.7,153.4,381.9,798.3,600.1,645.8,595.9,140.3,830.4,140.2,1889.8,397.5,99.5,823.1,491.1,447.6,143.2,177.3,99.8,281.2,511.1,51.6,885.3,260.8,560.5,93.3,317.0,92.0,95.5,111.3,187.9,683.1,127.2,787.7,359.9,505.9,209.5,879.4,405.3,483.4,192.9,284.6,123.6,503.6,246.1,118.7,181.4,108.0,119.8,90.1,559.1,161.3,0.0,783.4,561.5,388.8,570.2,159.1,162.8,835.5,174.2,558.5,197.0,27.5,157.1,666.1,169.3,552.6,137.0,626.2,132.3,203.5,157.6,164.6,223.8,823.0,491.1,109.3,874.1,545.5,451.2
QW,684.7,809.8,558.1,831.5,760.4,747.3,608.8,555.6,742.9,310.4,529.6,866.5,378.9,790.4,593.4,541.4,781.1,498.3,792.8,441.1,14.7,253.1,415.0,188.6,768.0,46.9,681.3,2526.4,456.7,727.2,61.7,438.7,415.2,624.8,698.2,716.4,597.1,438.0,821.5,123.9,597.6,453.8,664.0,637.0,698.0,790.5,652.4,578.9,278.8,640.8,4.2,419.1,506.2,558.6,95.9,371.2,542.6,734.0,605.0,664.7,280.9,562.0,855.3,584.7,855.8,856.4,860.0,499.5,751.6,769.8,0.0,434.6,448.0,484.4,654.4,633.5,51.9,715.3,472.4,787.3,797.3,698.2,462.6,806.8,241.9,631.0,171.8,673.4,717.7,610.4,705.7,634.6,39.4,584.2,845.9,90.6,517.9,508.3
RE,734.7,664.2,991.5,692.3,658.3,727.9,826.3,901.7,810.9,743.8,883.8,653.6,72.5,684.8,820.1,872.5,731.2,931.7,685.8,874.5,428.4,686.5,848.4,622.0,836.0,500.2,743.8,2281.7,890.1,795.2,495.1,872.1,848.6,790.1,824.2,799.5,928.1,47.6,652.7,557.3,907.7,887.2,740.2,945.9,712.6,628.3,758.2,834.8,712.2,774.1,457.5,852.5,939.6,856.4,549.2,804.6,976.0,804.6,931.5,770.5,714.3,893.0,668.5,828.3,642.9,667.4,640.9,109.1,834.7,705.4,453.2,0.0,881.4,94.0,788.0,791.7,391.2,711.3,905.8,870.4,677.9,727.1,896.0,669.9,675.3,783.9,605.2,779.2,876.9,804.5,720.4,870.7,403.7,193.8,677.9,543.9,127.5,941.7
RH,306.9,432.0,280.5,453.7,382.6,369.5,231.0,177.8,365.1,220.6,151.8,488.7,823.9,412.6,215.6,163.6,403.3,120.5,415.0,6.8,459.7,261.5,307.2,257.3,390.2,491.8,303.5,2253.2,8.7,349.4,484.5,152.5,78.9,247.0,320.4,338.6,219.3,883.0,443.7,546.7,219.8,231.5,286.2,259.2,320.2,412.7,274.6,201.1,344.5,263.0,449.1,28.8,117.0,180.8,540.8,66.7,94.5,356.2,227.2,286.9,165.0,184.2,477.5,206.9,478.0,478.6,482.2,944.5,373.8,392.0,444.8,879.6,0.0,929.4,276.6,255.7,496.9,337.5,312.3,409.5,419.5,320.4,327.5,429.0,214.0,253.2,287.6,295.6,339.9,232.6,327.9,256.8,484.4,834.9,468.1,535.5,889.3,205.0
SM,747.8,677.3,1004.6,705.4,671.4,741.0,839.4,914.8,824.0,756.9,896.9,666.7,85.6,697.9,833.2,885.6,744.3,944.8,698.9,887.6,441.5,699.6,861.5,635.1,849.1,513.3,756.9,2294.8,903.2,808.3,508.2,885.2,861.7,803.2,837.3,812.6,941.2,60.7,665.8,570.4,920.8,900.3,753.3,959.0,725.7,641.4,771.3,847.9,725.3,787.2,470.6,865.6,952.7,869.5,562.3,817.7,989.1,817.7,944.6,783.6,727.4,906.1,681.6,841.4,656.0,680.5,654.0,15.1,847.8,718.5,466.3,92.7,894.5,0.0,801.1,804.8,404.3,724.4,918.9,883.5,691.0,740.2,909.1,683.0,688.4,797.0,618.3,792.3,890.0,817.6,733.5,883.8,416.8,99.7,691.0,557.0,33.5,954.8
UB,53.2,200.9,383.5,223.7,196.9,139.5,38.2,141.1,135.1,445.5,123.2,262.4,681.6,174.4,62.3,114.9,173.3,253.0,178.4,268.2,684.6,486.4,528.1,482.2,158.1,716.7,117.8,2005.2,283.8,119.4,712.4,377.4,333.9,61.3,134.7,69.1,167.5,643.8,210.2,765.2,136.8,446.8,81.4,157.8,67.1,190.9,134.3,74.2,569.4,74.3,674.0,251.9,392.2,96.5,765.7,291.6,375.7,177.9,170.9,98.2,392.9,132.4,247.5,67.7,256.2,248.6,249.2,681.1,104.3,162.0,669.7,683.5,275.1,692.2,0.0,45.5,721.8,151.8,444.8,137.0,189.5,137.4,552.4,182.9,438.9,67.5,512.5,109.9,141.4,29.5,142.2,99.8,709.3,613.1,238.1,760.4,664.5,337.5
UM,66.9,200.7,402.1,222.4,151.3,138.2,73.8,130.2,133.8,434.6,112.3,257.4,672.1,181.3,48.6,101.0,172.0,242.1,180.7,257.3,673.7,475.5,521.2,471.3,158.9,705.8,72.2,2018.9,272.9,118.1,698.5,366.5,323.0,15.7,89.1,82.8,156.6,623.6,212.4,760.7,136.2,435.9,54.9,193.4,85.9,181.4,43.3,63.3,558.5,31.7,663.1,235.3,381.3,84.9,754.8,280.7,358.8,124.9,160.0,55.6,379.0,121.5,246.2,56.8,246.7,247.3,250.9,671.6,118.0,160.7,658.8,674.0,264.2,682.7,35.5,0.0,710.9,106.2,433.9,153.7,188.2,89.1,541.5,196.6,428.0,21.9,501.6,64.3,160.2,33.0,96.6,99.2,698.4,603.6,236.8,749.5,658.0,326.6
UO,726.8,851.9,600.2,873.6,802.5,789.4,650.9,597.7,785.0,352.5,571.7,908.6,326.9,832.5,635.5,583.5,823.2,540.4,834.9,483.2,37.2,295.2,457.1,230.7,810.1,108.9,723.4,2474.4,498.8,769.3,103.8,480.8,457.3,666.9,740.3,758.5,639.2,386.0,863.6,166.0,639.7,495.9,706.1,679.1,740.1,832.6,694.5,621.0,320.9,682.9,66.2,461.2,548.3,600.7,157.9,413.3,584.7,776.1,647.1,706.8,323.0,604.1,897.4,626.8,897.9,898.5,833.6,447.5,793.7,811.9,61.9,382.6,490.1,432.4,696.5,675.6,0.0,757.4,514.5,829.4,839.4,740.3,504.7,848.9,284.0,673.1,213.9,715.5,759.8,652.5,747.8,676.7,12.4,532.2,888.0,152.6,465.9,550.4
US,110.0,117.6,473.1,189.8,45.0,172.6,155.5,201.2,168.2,505.6,183.3,151.1,565.8,138.2,119.6,172.0,203.4,313.1,107.3,328.3,744.7,546.5,592.2,542.3,193.3,776.8,32.4,1907.4,343.9,152.5,769.5,437.5,394.0,89.6,123.7,170.8,227.6,517.3,106.1,831.7,207.2,506.9,89.3,267.5,123.3,75.1,61.0,134.3,629.5,73.6,734.1,306.3,452.3,155.9,825.8,351.7,429.8,93.2,231.0,48.7,450.0,192.5,166.0,127.8,140.4,164.9,114.3,565.3,210.0,158.8,729.8,567.7,335.2,576.4,151.0,115.4,781.9,0.0,504.9,245.7,131.3,15.7,612.5,91.4,499.0,83.4,572.6,40.3,252.2,104.0,9.0,170.2,769.4,497.3,175.4,820.5,551.7,397.6
UX,462.6,587.7,85.6,609.4,538.3,525.2,386.7,333.5,520.8,371.8,307.5,644.4,878.9,568.3,371.3,319.3,559.0,187.7,570.7,311.4,514.7,235.7,458.4,312.3,508.9,546.8,459.2,2408.9,327.0,505.1,539.5,181.7,287.5,402.7,476.1,466.1,375.0,938.0,599.4,601.7,375.5,231.4,441.9,414.9,475.9,568.4,430.3,356.8,449.6,418.7,504.1,289.4,435.4,336.5,595.8,257.5,412.9,511.9,382.9,442.6,324.3,339.9,633.2,362.6,633.7,634.3,637.9,999.5,427.3,547.7,499.8,934.6,318.3,984.4,432.3,411.4,551.9,493.2,0.0,463.0,575.2,476.1,506.0,584.7,285.3,408.9,342.6,451.3,362.4,388.3,483.6,412.5,539.4,990.6,623.8,590.5,1017.9,122.1
VC,131.2,219.4,372.9,242.2,288.4,158.0,193.9,289.6,96.2,594.0,271.7,280.9,740.2,195.9,207.8,260.4,191.8,401.5,256.4,416.7,833.1,634.9,680.6,630.7,88.7,865.2,209.3,2083.2,432.3,170.9,857.9,516.9,482.4,175.1,246.4,82.7,275.1,691.7,232.2,920.1,292.5,566.6,162.4,235.2,145.1,268.9,225.0,222.7,717.9,191.1,822.5,400.4,540.7,244.3,914.2,440.1,524.2,272.4,319.4,192.7,538.4,280.9,266.0,216.2,288.6,267.1,270.7,739.7,40.7,180.5,818.2,742.1,423.6,750.8,152.6,159.3,870.3,243.3,472.6,0.0,208.0,226.2,700.9,260.9,587.4,181.3,661.0,201.4,116.1,192.4,233.7,255.5,857.8,671.7,256.6,908.9,726.1,457.3
VF,133.3,12.4,487.8,122.4,98.0,49.9,224.9,282.3,142.7,586.7,264.4,91.2,532.1,6.9,200.7,253.1,72.0,394.2,180.9,409.4,825.8,627.6,673.3,623.4,167.8,857.9,167.7,1862.3,425.0,127.0,850.6,518.6,475.1,170.7,204.8,127.3,308.7,483.6,24.1,912.8,288.3,588.0,120.8,344.5,119.5,68.0,138.8,215.4,710.6,154.7,815.2,387.4,533.4,237.0,906.9,432.8,510.9,220.4,312.1,151.1,531.1,273.6,106.1,208.9,80.5,105.0,62.6,531.6,188.8,27.5,810.9,534.0,416.3,542.7,186.6,190.3,809.1,201.7,586.0,224.5,0.0,184.6,693.6,196.8,580.1,164.5,653.7,159.8,231.0,185.1,192.1,251.3,821.6,463.6,115.5,901.6,518.0,478.7
VH,96.6,130.7,459.7,202.9,59.4,159.2,142.1,187.8,154.8,492.2,169.9,165.5,578.9,160.5,103.6,156.2,193.0,299.7,120.4,314.9,731.3,533.1,579.9,528.9,181.0,761.0,19.0,1921.8,328.1,139.1,753.7,424.1,380.6,76.2,110.3,157.4,214.2,530.4,119.2,819.4,194.9,493.5,73.5,254.1,111.0,89.5,70.4,120.9,616.1,57.8,720.7,296.2,436.5,140.1,812.4,338.3,417.5,87.8,217.6,32.9,434.2,179.1,183.0,114.4,154.8,178.0,128.7,579.7,194.2,173.2,716.4,582.1,321.8,590.8,138.7,102.0,768.5,14.3,491.5,229.9,145.7,0.0,600.2,105.8,485.6,70.0,559.2,21.5,236.4,91.7,4.8,156.8,756.0,511.7,189.8,808.2,568.8,384.2
VL,593.5,717.5,501.5,740.3,669.2,656.1,517.6,464.4,651.7,160.2,438.4,775.3,820.5,694.0,502.4,450.2,689.9,407.1,713.0,349.9,456.3,258.1,41.5,253.9,674.7,488.4,590.1,2539.8,365.5,636.0,481.1,347.5,324.0,533.6,607.0,625.2,505.9,871.9,730.3,536.9,506.4,362.6,572.8,545.8,608.6,699.3,561.2,487.7,284.1,549.6,445.7,333.6,410.9,467.4,537.4,280.0,457.4,653.2,513.8,573.5,189.7,470.8,764.1,493.5,764.6,765.2,768.8,941.1,660.4,678.6,441.4,876.2,356.8,926.0,563.2,542.3,493.5,624.1,477.4,696.1,706.1,609.7,0.0,715.6,210.6,539.8,284.2,585.2,626.5,523.6,614.5,543.4,481.0,1025.8,754.7,532.1,959.5,417.1
VO,132.3,75.5,531.3,147.7,57.7,139.2,223.9,299.3,208.5,603.7,281.4,109.0,523.7,96.1,217.7,270.1,161.3,411.2,15.9,426.4,837.9,644.6,690.3,640.4,233.6,874.9,184.7,1884.1,442.0,192.8,867.6,535.6,492.1,187.7,221.8,197.1,325.7,475.2,64.0,929.8,305.3,605.0,137.8,343.5,110.2,33.0,155.8,232.4,727.6,171.7,832.2,404.4,550.4,254.7,923.9,449.8,527.9,237.4,329.1,168.1,548.1,290.6,123.9,225.9,98.3,122.8,72.2,523.2,232.3,116.7,827.9,525.6,433.3,534.3,185.6,189.3,800.7,110.7,603.0,268.0,89.2,201.6,710.6,0.0,597.1,181.5,670.7,176.8,274.5,202.1,209.1,268.3,813.2,455.2,133.3,918.6,509.6,495.7
WD,442.7,567.8,350.7,589.5,518.4,505.3,366.8,313.6,500.9,86.4,287.6,624.5,609.8,548.4,351.4,299.4,539.1,256.3,550.8,199.1,245.6,47.4,173.0,43.2,526.0,277.7,439.3,2389.0,214.7,485.2,270.4,196.7,173.2,382.8,456.2,474.4,355.1,668.9,579.5,332.6,355.6,211.8,422.0,395.0,456.0,548.5,410.4,336.9,180.5,398.8,235.0,177.1,264.2,316.6,326.7,129.2,300.6,492.0,363.0,422.7,38.9,320.0,613.3,342.7,613.8,614.4,618.0,730.4,509.6,527.8,230.7,665.5,206.0,715.3,412.4,391.5,282.8,473.3,266.7,545.3,555.3,456.2,220.6,564.8,0.0,389.0,73.5,431.4,475.7,368.4,463.7,392.6,270.3,815.1,603.9,321.4,748.8,266.3
WI,53.6,178.7,389.6,200.4,129.3,116.2,72.0,117.7,111.8,422.1,99.8,235.4,650.1,159.3,36.1,88.5,150.0,229.6,161.7,244.8,661.2,463.0,508.7,458.8,136.9,693.3,50.2,1999.9,260.4,96.1,686.0,354.0,310.5,6.2,67.1,114.4,144.1,601.6,190.4,748.2,123.7,423.4,32.9,184.0,66.9,159.4,21.3,50.8,546.0,9.7,650.6,222.8,368.8,72.4,742.3,268.2,346.3,102.9,147.5,33.6,366.5,109.0,224.2,44.3,224.7,225.3,228.9,649.6,150.0,138.7,646.3,652.0,251.7,660.7,67.5,31.9,698.4,84.2,421.4,185.7,166.2,67.1,529.0,175.7,415.5,0.0,489.1,42.3,180.9,20.5,74.6,86.7,685.9,581.6,214.8,737.0,636.0,314.1
WR,587.9,713.0,495.9,734.7,663.6,650.5,512.0,458.8,646.1,138.5,432.8,769.7,673.9,693.6,496.6,444.6,684.3,401.5,696.0,344.3,309.7,238.9,261.2,174.4,671.2,341.8,584.5,2534.2,359.9,630.4,334.5,341.9,318.4,528.0,601.4,619.6,500.3,733.0,724.7,396.7,500.8,357.0,567.2,540.2,601.2,693.7,555.6,482.1,106.9,544.0,299.1,322.3,409.4,461.8,390.8,274.4,445.8,637.2,508.2,567.9,184.1,465.2,758.5,487.9,759.0,759.6,763.2,794.5,654.8,673.0,294.8,729.6,351.2,779.4,557.6,536.7,346.9,618.5,458.2,690.5,700.5,601.4,308.8,710.0,205.0,534.2,0.0,576.6,620.9,513.6,608.9,537.8,334.4,879.2,749.1,385.5,812.9,411.5
WX,72.6,161.8,432.7,219.5,83.9,132.2,115.1,160.8,130.8,465.2,145.9,193.0,604.7,170.1,79.0,131.6,169.0,272.7,134.8,290.9,704.3,506.1,547.8,504.9,150.8,736.4,4.9,1946.3,306.5,112.1,729.1,400.1,353.6,49.2,83.3,130.4,187.2,556.2,145.0,784.9,166.8,466.5,48.9,227.1,77.8,114.0,45.8,96.9,592.1,33.2,696.7,271.6,411.9,115.5,785.4,314.3,389.4,66.2,193.6,8.3,409.6,152.1,204.8,90.4,179.3,203.8,153.2,604.2,169.6,154.7,689.4,609.6,297.8,618.3,110.6,75.0,744.5,41.8,464.5,205.3,170.2,24.4,572.1,130.3,458.6,43.0,532.2,0.0,211.8,66.6,32.2,129.8,729.0,536.2,217.3,780.1,593.6,360.2
XA,152.1,256.4,256.7,278.1,286.1,193.9,89.6,200.2,196.8,504.6,182.3,316.8,776.1,231.8,119.3,171.0,227.7,312.1,265.9,327.3,743.7,545.5,587.2,541.3,189.3,775.8,207.0,2104.1,342.9,191.8,768.5,400.7,393.0,150.5,223.9,103.6,158.9,738.3,264.6,824.3,188.2,450.4,183.3,119.0,171.1,289.8,178.1,133.3,628.5,166.5,733.1,311.0,451.3,154.9,824.8,350.7,434.8,270.1,230.0,190.4,449.0,168.7,301.9,126.8,324.5,303.0,306.6,775.6,64.8,216.4,728.8,778.0,334.2,786.7,104.4,147.0,780.9,241.0,356.4,100.5,243.9,226.6,611.5,281.8,498.0,156.7,571.6,202.1,0.0,136.1,231.4,151.2,768.4,707.6,292.5,819.5,762.0,341.1
XC,74.2,198.2,369.0,238.5,149.9,136.8,51.4,97.1,132.4,401.5,93.6,256.0,688.2,192.2,15.3,67.9,170.6,209.0,193.7,224.2,640.6,442.4,484.1,438.2,155.4,672.7,70.8,2020.5,254.2,116.7,665.4,347.8,289.9,14.3,87.7,105.9,123.5,632.9,207.5,721.2,103.1,402.8,71.0,163.4,82.4,180.0,87.3,44.6,539.8,30.3,630.0,222.3,362.6,66.9,721.7,247.6,331.7,133.9,126.9,71.7,360.3,88.4,262.3,23.7,245.3,263.4,267.0,670.2,141.1,159.3,625.7,672.6,231.1,681.3,55.6,23.0,677.8,104.8,400.8,176.8,186.8,90.4,522.8,196.3,394.9,20.5,468.5,65.9,160.3,0.0,95.2,66.1,665.3,602.2,235.4,730.8,656.6,307.9
XI,100.9,127.2,464.0,199.4,54.6,163.5,146.4,192.1,159.1,496.5,174.2,160.7,575.4,147.8,110.5,162.9,197.3,304.0,116.9,319.2,735.6,537.4,583.1,533.2,184.2,767.7,23.3,1917.0,334.8,143.4,760.4,428.4,384.9,80.5,114.6,161.7,218.5,526.9,115.7,822.6,198.1,497.8,80.2,258.4,114.2,84.7,51.9,125.2,620.4,64.5,725.0,297.2,443.2,146.8,816.7,342.6,420.7,84.1,221.9,39.6,440.9,183.4,175.6,118.7,150.0,174.5,123.9,574.9,200.9,168.4,720.7,577.3,326.1,586.0,141.9,106.3,772.8,9.5,495.8,236.6,140.9,6.7,603.4,101.0,489.9,74.3,563.5,31.2,243.1,94.9,0.0,161.1,760.3,506.9,185.0,811.4,561.3,388.5
XL,158.9,284.0,383.0,305.7,234.6,221.5,65.0,111.1,217.1,415.5,93.2,340.7,755.4,264.6,67.6,81.9,255.3,223.0,267.0,238.2,654.6,456.4,502.1,452.2,242.2,686.7,155.5,2105.2,253.8,201.4,679.4,347.4,303.9,99.0,172.4,181.7,119.5,706.9,295.7,741.6,36.9,416.8,138.2,159.4,172.2,264.7,126.6,61.8,539.4,115.0,644.0,216.2,362.2,83.4,735.7,261.6,339.7,208.2,140.9,138.9,359.9,84.4,329.5,55.3,330.0,330.6,334.2,754.9,216.9,244.0,639.7,757.3,245.1,766.0,112.5,107.7,691.8,189.5,414.8,252.6,271.5,172.4,522.4,281.0,408.9,105.2,482.5,147.6,173.9,84.6,179.9,0.0,679.3,686.9,320.1,730.4,741.3,307.5
XR,714.3,839.4,587.7,861.1,790.0,776.9,638.4,585.2,772.5,340.0,559.2,896.1,339.4,820.0,623.0,571.0,810.7,527.9,822.4,470.7,24.7,282.7,444.6,218.2,797.6,96.4,710.9,2486.9,486.3,756.8,91.3,468.3,444.8,654.4,727.8,746.0,626.7,398.5,851.1,153.5,627.2,483.4,693.6,666.6,727.6,820.1,682.0,608.5,308.4,670.4,53.7,448.7,535.8,588.2,145.4,400.8,572.2,763.6,634.6,694.3,310.5,591.6,884.9,614.3,885.4,886.0,889.6,460.0,781.2,799.4,49.4,395.1,477.6,444.9,684.0,663.1,12.4,744.9,502.0,816.9,826.9,727.8,492.2,836.4,271.5,660.6,201.4,703.0,747.3,640.0,735.3,664.2,0.0,544.7,875.5,140.1,478.4,537.9
YJ,737.8,667.3,1083.7,695.4,661.4,731.0,829.4,904.8,814.0,836.0,886.9,656.7,164.7,687.9,823.2,875.6,734.3,1023.9,688.9,966.7,520.6,778.7,940.6,714.2,839.1,592.4,746.9,2284.8,982.3,798.3,587.3,964.3,940.8,793.2,827.3,802.6,931.2,139.8,655.8,649.5,910.8,979.4,743.3,949.0,715.7,631.4,761.3,837.9,804.4,777.2,549.7,944.7,1031.8,859.5,641.4,896.8,1068.2,807.7,934.6,773.6,806.5,896.1,671.6,831.4,646.0,670.5,644.0,67.9,837.8,708.5,545.4,171.8,973.6,79.0,791.1,794.8,483.4,714.4,998.0,873.5,681.0,730.2,988.2,673.0,767.5,787.0,697.4,782.3,880.0,807.6,723.5,873.8,495.9,0.0,681.0,636.1,54.3,1033.9
YK,179.2,126.6,533.7,14.3,146.9,95.8,270.8,328.2,188.6,632.6,310.3,24.2,532.9,107.2,246.6,299.0,53.2,440.1,226.8,455.3,847.1,673.5,719.2,669.3,213.7,903.8,213.6,1848.5,470.9,172.9,896.5,564.5,521.0,216.6,250.7,173.2,354.6,484.4,128.6,958.7,334.2,633.9,166.7,390.4,165.4,116.9,184.7,261.3,756.5,200.6,861.1,433.3,579.3,282.9,952.8,478.7,556.8,266.3,358.0,197.0,577.0,319.5,9.3,254.8,33.7,10.4,146.9,532.4,234.7,86.6,856.8,534.8,462.2,543.5,232.5,236.2,809.9,247.6,631.9,270.4,114.1,230.5,739.5,242.7,626.0,210.4,699.6,205.7,276.9,231.0,238.0,297.2,822.4,464.4,0.0,947.5,518.8,524.6
YP,757.1,881.1,630.5,903.9,832.8,819.7,681.2,628.0,815.3,382.8,602.0,938.9,451.3,857.6,666.0,613.8,853.5,570.7,865.2,513.5,87.1,325.5,483.4,261.0,840.4,38.2,753.7,2598.8,529.1,799.6,134.1,511.1,487.6,697.2,770.6,788.8,669.5,510.4,890.4,196.3,670.0,526.2,736.4,709.4,770.4,862.9,769.4,651.3,351.2,713.2,68.0,497.2,578.6,631.7,157.2,443.6,621.0,816.8,677.4,737.1,353.3,634.4,927.7,657.1,928.2,928.8,932.4,571.9,824.0,842.2,72.3,507.0,520.4,556.8,729.8,705.9,124.3,787.7,544.8,859.7,869.7,770.6,535.0,879.2,314.3,703.4,244.2,745.8,790.1,682.8,778.1,707.0,111.8,656.6,918.3,0.0,590.3,580.7
ZM,772.5,704.3,1029.3,730.1,696.1,765.7,864.1,939.5,848.7,781.6,921.6,691.4,110.3,727.8,857.7,910.3,769.0,969.5,712.2,912.3,466.2,724.3,882.2,659.8,873.8,538.0,781.6,2319.5,927.9,833.0,532.9,909.9,886.4,827.9,862.0,837.3,965.9,77.7,690.5,595.1,945.5,925.0,778.0,983.7,755.5,666.1,840.6,872.6,750.0,811.9,495.3,896.0,977.4,894.2,587.0,842.4,1019.8,852.8,969.3,808.3,752.1,930.8,706.2,866.1,680.7,705.2,678.7,13.5,872.5,743.2,491.0,117.4,919.2,24.6,825.8,829.5,429.0,749.1,943.6,908.2,715.7,761.4,933.8,707.7,713.1,821.7,643.0,817.0,914.7,842.3,758.2,908.5,441.5,66.2,715.7,581.7,0.0,979.5
ZR,369.3,493.3,84.3,516.1,445.0,431.9,293.4,240.2,427.5,290.9,214.2,551.1,894.2,469.8,278.2,226.0,465.7,94.4,488.8,205.2,530.0,331.8,377.5,327.6,450.5,562.1,365.9,2315.6,220.8,411.8,554.8,59.5,165.3,309.4,382.8,401.0,281.7,953.3,506.1,617.0,282.2,109.2,348.6,321.6,384.4,475.1,337.0,263.5,414.8,325.4,519.4,188.9,328.7,243.2,611.1,135.3,312.2,429.0,289.6,349.3,235.3,246.6,539.9,269.3,540.4,541.0,544.6,965.3,426.0,454.4,515.1,949.9,212.1,999.7,339.0,318.1,567.2,399.9,116.1,461.7,481.9,385.5,397.8,491.4,284.3,315.6,357.9,361.0,361.1,299.4,390.3,319.2,554.7,897.3,530.5,605.8,951.7,0.0
