from_stop,AH,AR,AT,AV,BD,BG,BR,BT,CB,CS,CU,CW,DB,DP,DR,DY,EC,ED,EI,EN,ES,EU,EV,EW,FA,FF,GG,GH,GK,GN,GO,GT,HA,HE,HG,HN,HO,HT,HX,IB,IE,IG,II,IO,IS,IX,IY,IZ,JE,JI,JO,JQ,JU,KI,KT,KW,LA,LE,LG,LH,LJ,LO,LU,LV,LW,LZ,MI,MO,NH,NQ,NV,NW,OF,OL,OR,OV,OW,PD,PL,PP,PR,QD,QK,QL,QQ,QR,QV,QW,RP,RY,SB,SJ,SM,ST,TB,TO,TW,TY,UF,UI,UQ,US,UT,UX,VF,VG,VL,WM,WT,WW,XF,XG,XH,YB,YE,YH,YP,YR,YX,YZ,ZD,ZH,ZO,ZQ,ZS,ZU,ZW
JO,223.8,671.9,628.5,203.4,402.5,139.2,498.9,367.2,407.8,36.4,417.7,759.4,53.6,489.0,223.7,248.5,499.9,140.0,425.0,487.5,688.6,343.4,233.3,268.0,591.4,766.9,365.4,438.6,623.9,672.3,652.2,982.7,440.5,402.6,402.1,582.3,752.8,624.7,601.1,604.9,266.6,465.2,284.4,758.1,393.3,164.3,256.4,172.2,504.7,501.3,0.0,778.0,457.7,350.1,473.4,401.2,409.4,517.1,220.7,398.7,46.7,223.1,741.0,936.6,683.2,343.0,26.4,551.3,271.4,476.1,381.1,511.3,401.7,471.7,607.7,432.0,770.3,506.1,569.6,411.3,657.4,562.6,516.7,126.9,407.5,293.2,489.2,494.8,384.5,191.1,860.9,121.0,387.4,883.8,617.6,256.0,660.6,471.7,854.7,480.9,2735.5,256.6,965.5,233.3,155.3,465.5,824.4,903.8,929.4,212.0,557.5,137.0,375.7,584.2,498.7,213.6,308.1,489.9,389.2,220.7,521.2,602.7,430.6,787.7,243.8,328.0,624.0
JQ,780.8,936.6,893.2,260.5,499.0,696.2,763.6,792.0,678.1,665.1,809.4,655.8,610.6,754.3,720.9,753.3,771.7,697.0,564.0,759.3,585.0,900.4,748.8,808.5,856.1,663.3,922.4,788.5,888.6,568.7,916.9,879.1,705.2,824.5,109.4,847.0,649.2,891.8,64.9,768.4,826.2,729.9,824.9,732.2,832.0,667.3,834.0,229.3,769.4,766.0,628.6,0.0,722.4,817.5,738.1,756.2,848.1,656.1,660.5,810.4,603.7,743.6,715.1,833.0,947.9,805.9,655.1,816.0,831.0,740.8,645.8,532.7,666.4,736.4,872.4,696.7,667.4,770.8,834.3,815.8,922.1,827.3,781.4,683.9,767.4,350.3,628.2,759.5,441.6,690.1,757.3,204.7,770.4,776.0,882.3,833.6,925.3,736.4,751.1,745.6,2917.0,797.1,861.9,792.9,713.0,750.8,720.8,800.2,825.8,769.0,90.6,673.3,432.8,848.9,527.8,270.7,844.7,754.6,653.9,761.2,785.9,867.4,487.7,684.1,300.9,838.6,888.7
JU,629.3,370.4,350.5,608.9,808.0,544.7,220.9,140.1,129.8,490.0,86.9,1071.0,459.1,105.3,353.7,385.8,49.2,545.5,830.5,36.8,1000.2,748.9,381.3,361.3,313.4,1078.5,770.9,66.0,322.4,983.9,350.7,1294.3,16.9,102.0,807.6,280.8,1064.4,323.2,699.7,1010.4,361.0,187.2,377.7,1163.6,117.0,299.8,255.5,577.7,203.2,223.3,453.5,876.6,0.0,755.6,35.3,125.2,133.1,922.6,293.0,171.6,452.2,376.1,1146.5,1248.2,381.7,160.1,480.0,249.8,300.0,198.1,103.1,916.8,44.6,193.7,306.2,154.0,1081.9,228.1,268.1,93.3,355.9,261.1,215.2,532.4,813.0,698.7,894.7,193.3,790.0,322.6,1172.5,526.5,139.4,1195.4,316.1,302.8,359.1,109.3,1166.3,118.5,3003.1,349.9,1277.1,321.2,345.5,76.8,1136.0,1215.4,1241.0,617.5,656.1,542.5,781.2,282.7,904.2,619.1,198.9,188.4,57.1,361.8,243.2,301.2,836.1,1099.3,649.3,733.5,322.5
KI,474.8,1000.0,956.6,316.5,47.5,385.5,827.0,696.1,736.8,393.4,746.6,404.4,312.2,817.7,547.6,577.4,824.1,391.1,70.0,816.4,333.6,205.9,562.2,596.9,919.6,411.9,227.8,767.5,952.0,317.3,980.4,632.5,768.6,731.5,465.7,910.4,397.8,955.3,765.4,249.9,595.5,793.3,613.3,403.1,722.3,493.2,580.6,344.2,832.8,829.4,356.9,830.3,785.8,0.0,801.5,730.1,738.3,162.1,544.9,727.6,313.2,552.0,385.9,586.4,1011.3,672.0,378.7,879.4,600.3,804.2,704.5,148.6,729.8,799.8,935.8,760.2,416.0,834.2,897.7,740.2,985.5,890.7,840.1,377.9,52.5,352.7,134.2,822.9,281.1,520.0,505.9,394.2,711.6,528.8,945.7,584.9,988.7,799.8,499.7,809.0,2380.5,585.5,610.5,562.2,484.2,794.4,469.3,548.7,574.4,147.9,738.7,262.6,211.2,912.3,143.6,300.6,632.3,818.0,712.6,544.9,849.3,930.8,122.6,432.7,275.2,25.7,952.1
KT,655.0,235.5,376.2,634.6,833.7,570.4,246.6,125.6,155.5,515.7,122.3,1096.7,484.8,69.9,379.4,411.5,84.6,571.2,856.2,72.2,1025.9,774.6,407.0,340.7,339.1,1104.2,796.6,101.4,187.5,1009.6,215.8,1320.0,42.6,137.4,833.3,145.9,1090.1,188.3,725.4,1036.1,340.4,212.9,357.1,1189.3,152.4,325.5,234.9,603.4,68.3,249.0,479.2,902.3,35.3,781.3,0.0,89.8,168.5,948.3,318.7,144.0,477.9,368.5,1172.2,1273.9,246.8,139.5,505.7,114.9,279.4,223.8,128.8,942.5,70.3,219.4,171.3,179.7,1107.6,253.8,133.2,128.7,221.0,126.2,80.3,558.1,838.7,724.4,920.4,58.4,815.7,348.3,1198.2,552.2,104.0,1221.1,181.2,282.2,224.2,127.6,1192.0,136.8,3028.8,329.3,1302.8,300.6,355.8,41.4,1161.7,1241.1,1266.7,643.2,681.8,568.2,806.9,147.8,929.9,644.8,178.3,53.5,82.8,341.2,268.9,166.3,861.8,1125.0,675.0,759.2,187.6
KW,565.9,314.0,405.8,545.5,744.6,481.3,276.2,35.7,185.1,426.6,100.1,1101.5,395.7,87.7,297.2,383.3,163.1,482.1,767.1,150.7,1030.7,685.5,368.1,250.8,368.7,1109.0,707.5,121.0,266.0,1014.4,294.3,1324.8,103.4,85.0,744.2,224.4,1094.9,266.8,755.0,947.0,250.5,242.5,267.2,1100.2,75.7,299.1,145.0,514.3,146.8,278.6,390.1,931.9,113.8,692.2,78.4,0.0,91.8,859.2,294.2,54.1,388.8,278.6,1083.1,1278.7,325.3,49.6,416.6,193.4,189.5,253.4,158.4,853.4,99.9,249.0,249.8,209.3,1112.4,283.4,211.7,93.7,299.5,204.7,158.8,469.0,749.6,635.3,831.3,136.9,726.6,264.6,1203.0,463.1,14.1,1225.9,259.7,192.3,302.7,127.4,1196.8,136.6,3058.4,239.4,1307.6,210.7,265.9,64.2,1166.5,1245.9,1271.5,554.1,711.4,479.1,717.8,226.3,840.8,555.7,88.4,132.0,112.4,251.3,298.5,244.8,772.7,1129.8,585.9,670.1,266.1
LA,599.1,410.9,476.5,578.7,777.8,514.5,346.9,62.8,255.8,459.8,44.1,1134.7,428.9,184.6,330.4,416.5,126.3,515.3,800.3,113.9,1063.9,718.7,401.3,284.0,439.4,1142.2,740.7,65.0,362.9,1047.6,391.2,1358.0,142.9,29.0,777.4,321.3,1128.1,363.7,825.7,980.2,283.7,313.2,300.4,1133.4,14.6,332.3,178.2,547.5,243.7,349.3,423.3,1002.6,125.9,725.4,161.3,96.8,0.0,892.4,327.4,94.3,422.0,311.8,1116.3,1311.9,422.2,82.8,449.8,290.3,222.7,324.1,229.1,886.6,170.6,319.7,346.7,280.0,1145.6,354.1,308.6,37.7,396.4,301.6,255.7,502.2,782.8,668.5,864.5,233.8,759.8,297.8,1236.2,496.3,83.0,1259.1,356.6,225.5,399.6,224.3,1230.0,233.5,3110.8,272.6,1340.8,243.9,299.1,161.1,1199.7,1279.1,1304.7,587.3,782.1,512.3,751.0,323.2,874.0,588.9,121.6,228.9,183.1,284.5,369.2,341.7,805.9,1163.0,619.1,703.3,363.0
LE,639.7,1164.9,1121.5,434.2,170.0,555.1,991.9,861.0,900.8,558.3,911.5,275.4,477.1,982.6,717.5,742.3,993.7,555.9,94.7,981.3,346.2,370.7,727.1,761.8,1084.4,303.1,392.7,932.4,1116.9,362.5,1145.2,358.1,933.5,896.4,583.4,1075.3,282.0,1117.7,768.6,224.8,760.4,958.2,778.2,234.2,887.1,658.1,750.2,466.7,997.7,994.3,521.8,703.6,950.7,169.5,966.4,895.0,903.2,0.0,714.5,892.5,482.8,716.9,251.3,312.0,1176.2,836.8,548.3,1044.3,765.2,969.1,874.1,278.8,894.7,964.7,1100.7,925.0,264.5,999.1,1062.6,905.1,1150.4,1055.6,1009.7,542.8,193.0,475.2,86.8,987.8,403.6,684.9,273.2,511.9,881.2,259.2,1110.6,749.8,1153.6,964.7,230.1,973.9,2522.8,750.4,340.9,727.1,649.1,959.3,236.7,279.2,304.8,312.8,794.3,427.5,333.7,1077.2,266.2,423.1,801.9,982.9,882.2,714.5,1014.2,1095.7,245.1,247.1,392.9,190.6,1117.0
LG,394.9,490.7,447.3,374.5,573.6,310.3,317.7,284.2,232.2,255.6,334.7,930.5,224.7,308.4,60.3,154.4,325.8,311.1,596.1,313.4,859.7,514.5,149.9,147.9,410.2,938.0,536.5,342.6,442.7,843.4,471.0,1153.8,259.3,319.6,573.2,401.1,923.9,445.9,641.3,776.0,165.6,284.0,164.3,929.2,310.3,68.4,173.4,343.3,323.5,320.1,219.1,818.2,276.5,521.2,292.2,310.3,326.4,688.2,0.0,315.7,217.8,83.0,912.1,1107.7,502.0,260.0,245.6,370.1,170.4,294.9,199.9,674.7,220.5,290.5,426.5,250.8,942.1,324.9,388.4,328.3,476.2,381.4,335.5,298.0,578.6,464.3,660.3,313.6,555.6,29.5,1032.0,292.1,304.4,1050.7,436.4,173.0,479.4,290.5,1025.8,299.7,2906.6,136.5,1136.6,132.3,94.9,304.9,995.5,1074.9,1100.5,383.1,597.7,308.1,546.8,403.0,669.8,384.7,225.1,308.7,208.0,100.6,340.0,421.5,601.7,958.8,414.9,499.1,442.8
LH,569.9,354.7,446.5,549.5,748.6,485.3,316.9,39.7,225.8,430.6,104.1,1105.5,399.7,128.4,301.2,387.3,186.3,486.1,771.1,173.9,1034.7,689.5,372.1,254.8,409.4,1113.0,711.5,125.0,306.7,1018.4,335.0,1328.8,144.1,89.0,748.2,265.1,1098.9,307.5,795.7,951.0,254.5,283.2,271.2,1104.2,79.7,303.1,149.0,518.3,187.5,319.3,394.1,972.6,154.5,696.2,119.1,40.6,95.8,863.2,298.2,0.0,392.8,282.6,1087.1,1282.7,366.0,53.6,420.6,234.1,193.5,294.1,199.1,857.4,140.6,289.7,290.5,250.0,1116.4,324.1,252.4,97.7,340.2,245.4,199.5,473.0,753.6,639.3,835.3,177.6,730.6,268.6,1207.0,467.1,26.8,1229.9,300.4,196.3,343.4,168.1,1200.8,177.3,3081.6,243.4,1311.6,214.7,269.9,104.9,1170.5,1249.9,1275.5,558.1,752.1,483.1,721.8,267.0,844.8,559.7,92.4,172.7,153.1,255.3,339.2,285.5,776.7,1133.8,589.9,674.1,306.8
LJ,176.0,681.0,637.6,180.1,354.7,91.4,508.0,377.1,422.5,74.4,427.6,711.6,5.8,498.7,233.3,258.4,509.8,92.2,377.2,497.4,640.8,295.6,243.2,277.9,600.5,719.1,317.6,448.5,633.0,624.5,661.3,934.9,449.6,412.5,378.8,591.4,705.0,636.2,587.4,557.1,276.5,474.3,296.8,710.3,403.2,174.2,266.3,148.9,513.8,510.4,37.9,764.3,466.8,307.2,482.5,411.1,419.3,469.3,230.6,408.6,0.0,233.0,693.2,888.8,692.3,352.9,64.4,560.4,281.3,485.2,390.2,455.8,410.8,480.8,616.8,441.1,723.2,515.2,578.7,421.2,666.5,571.7,525.8,79.1,359.7,269.9,441.4,503.9,361.2,201.0,813.1,97.7,397.3,836.0,626.7,265.9,669.7,480.8,806.9,490.0,2642.9,266.5,917.7,243.2,165.2,475.4,776.6,856.0,881.6,164.2,543.8,89.2,352.4,593.3,450.9,190.3,318.0,499.0,398.3,230.6,530.3,611.8,407.3,739.9,220.5,280.2,633.1
LO,381.6,578.1,534.7,361.2,560.3,297.0,405.1,252.9,319.6,242.3,303.4,917.2,211.4,374.7,90.0,199.0,385.6,297.8,582.8,373.2,846.4,501.2,183.8,116.6,497.6,924.7,523.2,324.3,530.1,830.1,558.4,1140.5,346.7,288.3,559.9,488.5,910.6,533.3,728.7,762.7,134.3,371.4,133.0,915.9,279.0,114.8,142.1,330.0,410.9,407.5,205.8,905.6,363.9,512.7,365.4,286.9,295.1,674.9,87.3,284.4,204.5,0.0,898.8,1094.4,589.4,228.7,232.3,457.5,139.1,382.3,287.3,661.4,307.9,377.9,513.9,338.2,928.8,412.3,475.8,297.0,563.6,468.8,422.9,284.7,565.3,451.0,647.0,401.0,542.3,57.7,1018.7,278.8,273.1,1041.6,523.8,141.7,566.8,377.9,1012.5,387.1,2893.3,105.2,1123.3,101.0,81.6,351.2,982.2,1061.6,1087.2,369.8,685.1,274.1,533.5,490.4,656.5,371.4,193.8,396.1,295.4,69.3,427.4,508.9,588.4,945.5,401.6,485.8,530.2
LU,878.5,1322.2,1290.1,358.7,94.5,793.9,1160.5,1099.8,1075.0,797.1,1150.3,110.1,715.9,1151.2,956.0,981.1,1168.6,794.7,136.8,1156.2,140.0,609.5,965.9,1000.6,1253.0,51.7,631.5,1185.4,1285.5,156.3,1313.8,333.4,1102.1,1135.2,507.9,1243.9,103.5,1288.7,660.7,359.2,999.2,1114.4,1017.0,17.1,1125.9,896.9,989.0,391.2,1166.3,1162.9,760.6,725.7,1119.3,408.3,1135.0,1153.1,1142.0,228.9,953.3,1131.3,721.6,955.7,0.0,287.3,1344.8,1075.6,787.1,1212.9,1004.0,1137.7,1042.7,195.6,1063.3,1133.3,1269.3,1098.4,121.7,1167.7,1231.2,1143.9,1319.0,1224.2,1178.3,781.6,358.2,399.7,201.0,1156.4,328.1,923.7,211.6,436.4,1120.0,234.5,1279.2,988.6,1322.2,1133.3,205.4,1142.5,2507.8,989.2,316.2,965.9,887.9,1147.7,175.1,254.5,280.1,551.6,634.0,666.3,258.2,1245.8,190.7,347.6,1040.7,1151.5,1050.8,953.3,1182.8,1264.3,169.6,138.4,317.4,429.4,1285.6
LV,1064.7,1442.3,1398.9,354.8,141.7,980.1,1253.7,1297.7,1183.8,983.3,1315.1,178.0,902.1,1260.0,1142.2,1167.3,1277.4,980.9,206.7,1265.0,248.8,795.7,1152.1,1186.8,1361.8,246.4,817.7,1294.2,1394.3,265.1,1422.6,46.0,1210.9,1330.2,504.0,1352.7,184.6,1397.5,769.5,545.4,1185.4,1235.6,1203.2,315.3,1337.7,1083.1,1175.2,387.3,1275.1,1271.7,946.8,834.5,1228.1,594.5,1243.8,1261.9,1353.8,298.8,1166.2,1316.1,907.8,1141.9,298.2,0.0,1453.6,1261.8,973.3,1321.7,1190.2,1246.5,1151.5,191.7,1172.1,1242.1,1378.1,1202.4,166.4,1276.5,1340.0,1321.5,1427.8,1333.0,1287.1,967.8,544.4,395.8,270.9,1265.2,324.2,1109.9,175.8,432.5,1276.1,104.0,1388.0,1174.8,1431.0,1242.1,71.8,1251.3,2694.0,1175.4,28.8,1152.1,1074.1,1256.5,139.3,103.2,7.2,737.8,742.8,852.5,254.3,1354.6,186.8,343.7,1226.9,1260.3,1159.6,1139.5,1291.6,1373.1,165.7,149.7,313.5,615.6,1394.4
LW,826.3,384.2,547.5,805.9,1005.0,741.7,417.9,354.0,326.8,687.0,418.4,1268.0,656.1,298.3,550.7,582.8,398.5,742.5,1027.5,386.1,1197.2,945.9,578.3,569.1,510.4,1275.5,967.9,415.3,228.0,1180.9,364.5,1491.3,213.9,403.3,1004.6,294.6,1261.4,205.8,896.7,1207.4,568.8,384.2,585.5,1360.6,394.0,496.8,463.3,774.7,217.0,420.3,650.5,1073.6,349.2,952.6,228.3,318.2,410.1,1119.6,490.0,372.4,649.2,573.1,1343.5,1445.2,0.0,367.9,677.0,132.4,507.8,395.1,300.1,1113.8,241.6,390.7,188.8,351.0,1278.9,425.1,150.7,412.0,24.2,274.9,157.9,729.4,1010.0,895.7,1091.7,179.8,987.0,519.6,1369.5,723.5,332.4,1392.4,221.7,510.6,21.2,306.3,1363.3,315.5,3200.1,557.7,1474.1,529.0,542.5,269.8,1333.0,1412.4,1438.0,814.5,853.1,739.5,978.2,165.3,1101.2,816.1,406.7,202.2,254.1,569.6,440.2,206.8,1033.1,1296.3,846.3,930.5,336.3
LZ,516.2,360.9,464.0,495.8,694.9,431.6,318.8,24.1,248.9,376.9,74.6,1051.8,346.0,145.9,247.2,333.6,156.8,432.4,717.4,144.4,981.0,635.8,318.4,201.1,426.9,1059.3,657.8,95.5,324.2,964.7,352.5,1275.1,161.6,59.5,694.5,282.6,1045.2,327.4,813.2,897.3,200.8,288.3,217.5,1050.5,50.2,249.4,95.3,464.6,205.0,336.8,340.4,990.1,156.4,647.4,136.6,58.1,66.3,809.5,244.5,55.6,339.1,228.9,1033.4,1229.0,383.5,0.0,366.9,251.6,139.8,311.6,216.6,796.0,158.1,307.2,308.0,272.3,1063.4,341.6,269.9,68.2,357.7,262.9,217.0,419.3,699.9,585.6,781.6,195.1,676.9,214.9,1153.3,413.4,44.3,1176.2,317.9,142.6,360.9,185.6,1147.1,194.8,3027.9,189.7,1257.9,161.0,216.2,122.4,1116.8,1196.2,1221.8,504.4,769.6,408.7,668.1,284.5,791.1,506.0,38.7,190.2,170.6,201.6,356.7,303.0,723.0,1080.1,536.2,620.4,324.3
MI,255.0,691.8,659.7,234.6,433.7,170.4,530.1,398.4,444.6,9.9,448.9,790.6,84.8,520.2,254.6,279.7,531.1,171.2,456.2,518.7,719.8,374.6,264.5,299.2,622.6,798.1,396.6,469.8,655.1,703.5,683.4,1013.9,471.7,433.8,433.3,613.5,784.0,658.3,632.3,636.1,297.8,496.4,315.6,789.3,424.5,195.5,287.6,203.4,535.9,532.5,31.1,809.2,488.9,386.1,504.6,432.4,440.6,548.3,251.9,429.9,77.9,254.3,772.2,967.8,714.4,374.2,0.0,582.5,302.6,507.3,412.3,534.8,432.9,502.9,638.9,468.0,802.2,537.3,600.8,442.5,688.6,593.8,547.9,158.1,438.7,324.4,520.4,526.0,415.7,222.3,892.1,152.2,418.6,915.0,648.8,287.2,691.8,502.9,885.9,512.1,2766.7,287.8,996.7,264.5,186.5,496.7,855.6,935.0,960.6,243.2,588.7,168.2,406.9,615.4,529.9,244.8,339.3,521.1,420.4,251.9,552.4,633.9,461.8,818.9,275.0,359.2,655.2
MO,712.9,270.8,434.1,692.5,891.6,628.3,304.5,240.6,213.4,573.6,305.0,1154.6,542.7,184.9,437.3,469.4,285.1,629.1,914.1,272.7,1083.8,832.5,464.9,455.7,397.0,1162.1,854.5,301.9,114.6,1067.5,251.1,1377.9,100.5,289.9,891.2,181.2,1148.0,73.3,783.3,1094.0,455.4,270.8,472.1,1247.2,280.6,383.4,349.9,661.3,103.6,306.9,537.1,960.2,235.8,839.2,114.9,204.8,296.7,1006.2,376.6,259.0,535.8,459.7,1230.1,1331.8,130.9,254.5,563.6,0.0,394.4,281.7,186.7,1000.4,128.2,277.3,56.3,237.6,1165.5,311.7,18.2,298.6,105.1,161.5,44.5,616.0,896.6,782.3,978.3,66.4,873.6,406.2,1256.1,610.1,219.0,1279.0,108.3,397.2,108.3,192.9,1249.9,202.1,3086.7,444.3,1360.7,415.6,429.1,156.4,1219.6,1299.0,1324.6,701.1,739.7,626.1,864.8,32.8,987.8,702.7,293.3,88.8,140.7,456.2,326.8,93.4,919.7,1182.9,732.9,817.1,222.9
NH,446.7,482.9,574.7,426.3,625.4,362.1,445.1,134.8,354.0,307.4,185.3,982.3,276.5,256.6,160.0,264.1,267.5,362.9,647.9,255.1,911.5,566.3,248.9,113.6,537.6,989.8,588.3,206.2,434.9,895.2,463.2,1205.6,272.3,170.2,625.0,393.3,975.7,435.7,798.4,827.8,77.8,411.4,130.0,981.0,160.9,179.9,46.5,395.1,315.7,447.5,270.9,975.3,267.1,573.0,247.3,168.8,177.0,740.0,157.0,166.3,269.6,141.4,963.9,1159.5,494.2,110.6,297.4,362.3,0.0,422.3,327.3,734.2,268.8,417.9,418.7,378.2,993.2,452.3,380.6,178.9,468.4,373.6,327.7,349.8,630.4,516.1,712.1,305.8,607.4,127.4,1083.8,343.9,155.0,1106.7,428.6,93.8,471.6,296.3,1077.6,305.5,2958.4,102.2,1188.4,38.0,146.7,233.1,1047.3,1126.7,1152.3,434.9,754.8,359.9,598.6,395.2,721.6,436.5,75.7,300.9,281.3,114.1,467.4,413.7,653.5,1010.6,466.7,550.9,435.0
NQ,649.0,433.6,152.3,628.6,827.7,564.4,86.6,289.0,68.2,509.7,306.4,1090.7,478.8,251.3,373.4,405.5,268.7,565.2,850.2,256.3,1019.9,768.6,401.0,460.7,115.2,1098.2,790.6,285.5,385.6,1003.6,413.9,1314.0,202.2,321.5,827.3,344.0,1084.1,386.4,719.4,1030.1,478.4,30.5,477.1,1183.3,329.0,319.5,398.3,597.4,266.4,25.1,473.2,896.3,219.4,775.3,235.1,253.2,345.1,942.3,312.7,307.4,471.9,395.8,1166.2,1267.9,444.9,302.9,499.7,313.0,442.8,0.0,94.9,936.5,163.4,59.4,369.4,44.0,1101.6,29.9,331.3,312.8,419.1,324.3,278.4,552.1,832.7,718.4,914.4,256.5,809.7,342.3,1192.2,546.2,267.4,1215.1,379.3,445.6,422.3,233.4,1186.0,242.6,3022.8,449.3,1296.8,445.1,365.2,247.8,1155.7,1235.1,1260.7,637.2,675.8,562.2,800.9,345.9,923.9,638.8,341.7,251.6,150.9,413.4,45.0,364.4,855.8,1119.0,669.0,753.2,385.7
NV,554.0,338.6,247.3,533.6,732.7,469.4,117.7,194.0,32.2,414.7,211.4,995.7,383.8,156.3,278.1,310.5,173.7,470.2,755.2,161.3,924.9,673.6,306.0,365.7,210.2,1003.2,695.6,190.5,290.6,908.6,318.9,1219.0,107.2,226.5,732.3,249.0,989.1,293.8,624.4,935.1,383.4,84.0,384.6,1088.3,234.0,224.5,303.3,502.4,171.4,120.1,378.2,801.3,124.4,680.3,140.1,158.2,250.1,847.3,217.7,212.4,376.9,300.8,1071.2,1172.9,349.9,207.9,404.7,218.0,347.8,94.9,0.0,833.8,68.4,90.5,274.4,50.9,1007.3,124.9,236.3,217.8,324.1,229.3,183.4,457.1,737.7,623.4,819.4,161.5,714.7,247.3,1097.2,451.2,172.4,1120.1,284.3,350.6,327.3,138.4,1091.0,147.6,2927.8,354.3,1201.8,350.1,270.2,152.8,1060.7,1140.1,1165.7,542.2,580.8,467.2,705.9,250.9,828.9,543.8,246.7,156.6,55.9,318.4,140.0,269.4,760.8,1024.0,574.0,658.2,290.7
NW,606.4,1106.9,1063.5,267.7,70.9,521.8,933.9,803.0,848.4,500.3,853.5,125.2,436.2,924.6,659.2,684.3,935.7,522.6,135.9,923.3,196.0,334.1,669.1,703.8,1026.4,193.6,356.1,874.4,1058.9,212.3,1087.2,227.9,875.5,838.4,416.9,1017.3,131.8,1062.1,602.1,252.1,702.4,900.2,720.2,137.8,829.1,600.1,692.2,300.2,939.7,936.3,463.8,537.1,892.7,128.2,908.4,837.0,845.2,228.0,656.5,834.5,429.3,658.9,154.9,181.8,1118.2,778.8,490.3,986.3,707.2,911.1,816.1,0.0,836.7,906.7,1042.7,867.0,113.6,941.1,1004.6,847.1,1092.4,997.6,951.7,509.5,136.4,308.7,200.1,929.8,237.1,626.9,123.0,345.4,823.2,129.0,1052.6,691.8,1095.6,906.7,99.9,915.9,2464.4,692.4,210.7,669.1,591.1,901.3,86.5,149.0,174.6,276.2,627.8,374.9,167.2,1019.2,2.9,256.6,743.9,924.9,824.2,656.5,956.2,1037.7,59.6,96.9,226.4,154.0,1059.0
OF,584.6,270.1,305.8,564.2,763.3,500.0,176.2,125.5,85.1,445.3,142.9,1026.3,414.4,87.8,309.0,341.1,105.2,500.8,785.8,92.8,955.5,704.2,336.6,340.6,268.7,1033.8,726.2,122.0,222.1,939.2,250.4,1249.6,38.7,158.0,762.9,180.5,1019.7,222.9,655.0,965.7,340.3,142.5,357.0,1118.9,165.5,255.1,234.8,533.0,102.9,178.6,408.8,831.9,55.9,710.9,71.6,89.7,181.6,877.9,248.3,143.9,407.5,331.4,1101.8,1203.5,281.4,139.4,435.3,149.5,279.3,153.4,58.4,872.1,0.0,149.0,205.9,109.3,1037.2,183.4,167.8,149.3,255.6,160.8,114.9,487.7,768.3,654.0,850.0,93.0,745.3,277.9,1127.8,481.8,103.9,1150.7,215.8,282.1,258.8,69.9,1121.6,79.1,2958.4,329.2,1232.4,300.5,300.8,84.3,1091.3,1170.7,1196.3,572.8,611.4,497.8,736.5,182.4,859.5,574.4,178.2,88.1,12.4,341.1,198.5,200.9,791.4,1054.6,604.6,688.8,222.2
OL,659.2,443.8,206.4,638.8,837.9,574.6,27.1,299.2,78.4,519.9,316.6,1100.9,489.0,261.5,383.6,415.7,278.9,575.4,860.4,266.5,1030.1,778.8,411.2,470.9,169.3,1108.4,800.8,295.7,395.8,1013.8,424.1,1324.2,212.4,331.7,837.5,354.2,1094.3,396.6,729.6,1040.3,488.6,43.1,487.3,1193.5,339.2,329.7,408.5,607.6,276.6,79.2,483.4,906.5,229.6,785.5,245.3,263.4,355.3,952.5,322.9,317.6,482.1,406.0,1176.4,1278.1,455.1,313.1,509.9,323.2,453.0,54.0,105.1,946.7,173.6,0.0,379.6,54.2,1111.8,84.0,341.5,323.0,429.3,334.5,288.6,562.3,842.9,728.6,924.6,266.7,819.9,352.5,1202.4,556.4,277.6,1225.3,389.5,455.8,432.5,243.6,1196.2,252.8,3033.0,459.5,1307.0,455.3,375.4,258.0,1165.9,1245.3,1270.9,647.4,686.0,572.4,811.1,356.1,934.1,649.0,351.9,261.8,161.1,423.6,99.1,374.6,866.0,1129.2,679.2,763.4,395.9
OR,769.3,327.2,490.5,748.9,948.0,684.7,360.9,297.0,269.8,630.0,361.4,1211.0,599.1,241.3,493.7,525.8,341.5,685.5,970.5,329.1,1140.2,888.9,521.3,512.1,453.4,1218.5,910.9,358.3,171.0,1123.9,307.5,1434.3,156.9,346.3,947.6,237.6,1204.4,17.0,839.7,1150.4,511.8,327.2,528.5,1303.6,337.0,439.8,406.3,717.7,160.0,363.3,593.5,1016.6,292.2,895.6,171.3,261.2,353.1,1062.6,433.0,315.4,592.2,516.1,1286.5,1388.2,187.3,310.9,620.0,56.3,450.8,338.1,243.1,1056.8,184.6,333.7,0.0,294.0,1221.9,368.1,38.0,355.0,161.5,217.9,100.9,672.4,953.0,838.7,1034.7,122.8,930.0,462.6,1312.5,666.5,275.4,1335.4,164.7,453.6,164.7,249.3,1306.3,258.5,3143.1,500.7,1417.1,472.0,485.5,212.8,1276.0,1355.4,1381.0,757.5,796.1,682.5,921.2,69.5,1044.2,759.1,349.7,145.2,197.1,512.6,383.2,149.8,976.1,1239.3,789.3,873.5,279.3
