from_stop,AN,AP,AR,BK,BN,BR,BS,BU,CJ,CK,DI,DK,DL,DV,DY,EE,EG,ES,EY,FE,FP,FU,GT,GU,GW,HF,HJ,HX,IC,IG,IJ,IZ,JK,JS,JT,JY,KA,KB,KE,KJ,KL,KP,KV,LI,LJ,LN,LV,MA,MB,ML,NJ,NT,OC,OM,OO,PK,PQ,PT,QC,QE,QF,QN,QU,RI,RM,RO,RQ,RU,SD,SG,SP,SR,SZ,TQ,TW,TZ,UB,UY,UZ,VM,WD,WE,WJ,WP,WS,WV,XE,XO,XX,YF,YJ,YQ,YY,ZG,ZQ,ZR,ZT,ZU
RU,104.1,246.6,484.1,205.6,516.8,231.3,227.2,431.0,212.0,352.9,1549.8,34.6,515.2,507.6,343.2,194.2,152.6,464.2,474.2,445.7,194.1,170.5,506.8,185.2,376.7,426.3,433.5,424.8,188.0,288.8,65.3,492.5,112.4,183.5,182.9,442.7,381.0,229.8,400.8,236.8,411.8,221.3,186.6,172.0,328.3,191.6,270.6,240.1,266.3,274.9,151.5,342.7,306.2,415.6,216.5,268.1,136.6,334.1,118.4,306.8,86.8,235.9,484.1,293.6,295.1,182.4,83.3,0.0,320.7,199.5,243.7,405.7,71.4,520.4,66.7,295.7,490.9,454.4,398.5,243.1,429.8,234.1,420.3,111.5,432.0,233.7,429.8,382.3,301.0,193.3,431.7,339.9,255.9,439.8,483.5,299.1,171.2,385.5
SD,238.4,138.2,223.9,141.6,359.4,158.4,132.4,180.6,209.5,195.5,1441.3,299.1,357.8,247.4,185.8,169.9,263.9,204.0,214.0,185.5,138.9,187.2,246.6,123.6,219.3,268.9,276.1,164.6,122.2,70.9,251.8,232.3,216.5,125.3,178.1,182.5,223.6,235.4,140.6,228.4,254.4,116.9,146.4,188.7,170.9,133.9,92.3,119.7,133.5,54.6,217.9,186.4,148.8,155.4,192.2,159.7,247.9,176.7,225.6,66.4,238.4,71.6,243.1,36.7,203.7,126.5,232.0,330.7,0.0,108.1,45.0,145.5,275.6,260.2,280.2,166.0,333.5,194.2,241.1,116.9,169.6,97.2,160.1,272.4,274.6,125.3,169.6,122.1,160.7,169.0,171.5,182.5,201.4,171.8,223.3,141.7,164.9,125.3
SG,168.4,101.7,301.6,60.7,371.9,99.4,95.3,286.1,154.2,208.0,1441.6,200.1,370.3,325.1,198.3,99.9,172.0,281.7,291.7,263.2,68.9,117.2,309.0,53.6,231.8,281.4,288.6,242.3,14.1,73.7,191.7,310.0,178.2,55.3,108.1,260.2,236.1,143.5,218.3,136.5,266.9,76.4,76.4,118.7,183.4,116.3,55.5,71.0,121.4,116.0,126.0,198.9,161.3,233.1,122.2,123.2,156.0,189.2,106.6,93.1,168.4,91.0,339.2,142.4,151.6,56.5,191.9,265.7,105.6,0.0,102.1,223.2,205.6,337.9,210.2,77.2,346.0,271.9,253.6,74.0,247.3,27.2,237.8,148.9,287.1,88.8,247.3,199.8,71.9,99.0,249.2,195.0,131.4,294.9,301.0,154.2,47.8,203.0
SP,244.3,81.5,311.7,91.6,314.3,175.6,179.0,228.5,230.1,145.5,1391.3,242.8,307.8,326.2,135.8,175.8,214.7,284.1,294.1,265.6,144.8,193.1,326.7,129.5,169.3,218.5,226.1,211.2,128.1,73.5,267.6,278.9,254.1,131.2,184.0,229.1,173.6,186.2,187.2,179.2,204.4,37.4,152.3,194.6,120.9,180.5,98.2,146.9,88.4,101.2,168.7,136.4,98.8,202.0,198.1,103.4,198.3,126.3,149.3,91.5,241.0,74.2,281.6,83.3,145.8,132.4,267.8,265.8,46.5,114.0,0.0,223.6,216.7,339.0,222.2,108.1,283.5,274.3,191.1,163.5,247.7,110.1,240.2,191.6,224.6,69.0,249.7,168.7,102.8,174.9,249.6,132.5,207.3,232.4,269.9,91.7,90.5,203.4
SR,336.4,256.0,162.3,293.7,297.4,246.3,220.3,119.0,297.4,83.2,1458.1,387.0,216.1,185.8,142.2,275.1,368.4,66.0,85.3,63.2,268.5,291.7,124.3,228.8,162.2,190.1,148.6,71.2,233.8,168.6,339.7,170.7,304.4,230.5,280.1,120.9,55.1,339.9,79.0,332.9,175.6,234.7,276.0,293.2,128.6,221.8,184.2,207.6,285.6,142.5,322.4,133.2,233.3,59.1,297.4,277.5,352.4,104.7,327.6,154.3,329.0,189.4,181.5,124.6,326.8,231.7,319.9,418.6,141.3,219.7,186.4,0.0,373.6,198.6,369.3,283.8,191.8,71.9,100.6,204.8,29.5,226.8,56.4,361.5,193.6,243.1,47.3,49.3,278.5,274.2,25.9,96.9,305.9,110.2,161.7,186.4,270.1,24.6
SZ,32.6,199.2,449.4,158.2,469.4,177.1,173.0,385.9,157.8,305.5,1519.2,91.2,467.8,472.9,295.8,146.8,81.1,429.5,439.5,411.0,139.9,190.5,458.9,137.8,329.3,378.9,386.1,390.1,140.6,234.6,105.9,457.8,101.8,136.1,111.4,408.0,333.6,158.3,366.1,165.3,364.4,173.9,132.4,192.0,280.9,156.9,216.4,185.9,218.9,276.9,175.8,296.4,258.8,380.9,169.1,220.7,65.1,286.7,71.0,252.6,76.2,188.5,436.7,303.3,264.5,135.0,123.9,73.6,266.5,152.1,196.0,371.0,0.0,485.7,40.7,174.7,443.5,419.7,351.1,188.9,395.1,179.9,385.6,40.0,384.6,186.3,395.1,347.6,169.4,145.9,397.0,292.5,204.7,392.4,448.8,251.7,123.8,350.8
TQ,410.2,329.8,39.6,360.3,187.8,320.1,294.1,122.8,371.2,175.0,1391.0,460.8,141.0,80.3,191.7,348.9,483.4,193.1,175.0,193.6,342.3,365.5,230.2,302.6,164.9,89.1,82.7,265.3,307.6,242.4,413.5,51.8,378.2,304.3,353.9,125.2,146.9,454.9,98.1,447.9,104.4,306.1,349.8,367.0,211.3,295.6,258.0,281.4,352.2,216.3,437.4,176.1,299.9,246.0,371.2,351.3,467.4,205.4,401.4,228.1,401.3,263.2,115.6,198.4,400.6,305.5,393.7,492.4,215.1,293.5,260.2,249.2,447.4,0.0,443.1,357.6,125.9,200.5,137.3,278.6,233.5,300.6,216.2,435.3,162.7,316.9,207.0,180.5,352.3,348.0,223.2,197.6,379.7,114.0,92.4,260.2,343.9,157.5
TW,63.3,208.6,453.4,238.8,482.1,193.2,185.8,397.9,173.9,318.2,1479.5,73.3,480.5,476.1,308.5,159.5,117.3,433.5,443.5,415.0,156.0,199.6,475.0,150.5,338.7,368.8,377.1,394.1,153.3,250.7,97.0,461.8,71.9,148.8,144.5,412.0,346.3,134.3,370.1,127.3,355.4,186.6,148.5,196.0,290.3,160.9,232.5,202.9,232.5,244.2,116.8,309.1,271.5,384.9,225.4,233.4,98.0,296.1,83.7,265.4,43.0,201.2,426.6,262.9,224.8,147.7,103.6,58.4,282.6,164.8,209.0,375.0,48.9,488.9,0.0,225.4,438.0,423.7,363.8,205.0,399.1,211.2,389.6,46.0,397.3,272.7,399.1,351.6,230.7,158.6,401.0,305.2,185.6,401.8,452.8,264.4,136.5,354.8
TZ,167.3,65.3,332.3,13.3,325.3,175.6,181.7,304.7,230.4,224.0,1348.7,207.9,349.0,346.4,214.3,85.2,179.8,347.5,357.5,329.0,145.1,121.1,402.2,106.8,261.0,239.1,246.3,308.1,70.9,114.0,213.4,367.7,254.4,105.1,184.3,326.0,252.1,151.3,304.6,144.3,224.6,92.4,152.6,122.6,199.4,183.2,104.1,129.2,137.4,156.3,133.8,231.6,240.8,298.9,49.3,86.8,163.8,205.2,114.4,133.4,244.6,91.0,296.9,200.7,37.6,104.0,268.1,230.9,163.9,82.4,118.1,302.1,182.2,359.2,183.1,0.0,307.2,337.7,269.6,132.2,326.2,109.7,303.6,156.7,262.8,48.3,313.1,265.6,5.2,59.6,328.1,211.0,94.1,313.5,340.3,170.2,55.6,281.9
UB,437.6,357.2,111.5,330.2,101.6,347.5,321.5,150.2,398.6,202.4,1355.7,488.2,54.8,166.0,219.1,376.3,453.3,226.9,210.7,208.4,369.7,392.9,269.5,330.0,145.8,70.0,63.6,253.3,335.0,269.8,440.9,104.1,405.6,331.7,381.3,160.9,174.3,424.8,125.5,417.8,85.3,276.0,377.2,394.4,192.2,323.0,285.4,308.8,322.1,243.7,407.3,203.5,269.8,241.2,398.6,378.7,437.3,186.3,428.8,255.5,428.7,290.6,13.7,225.8,428.0,332.9,421.1,519.8,242.5,320.9,287.6,205.1,474.8,138.9,470.5,385.0,0.0,217.1,164.7,306.0,198.9,328.0,183.0,462.7,63.8,344.3,192.5,207.9,379.7,375.4,231.1,178.5,407.1,141.4,64.1,287.6,371.3,184.9
UY,365.8,285.4,137.6,327.9,296.9,275.7,249.7,111.7,326.8,145.0,1457.6,416.4,208.8,121.1,182.5,304.5,397.8,25.6,15.6,8.1,297.9,321.1,52.3,258.2,161.7,189.6,141.3,108.6,263.2,198.0,369.1,163.4,333.8,259.9,309.5,70.4,116.9,369.3,71.7,362.3,175.1,264.1,305.4,322.6,168.9,251.2,213.6,237.0,319.8,171.9,351.8,146.5,267.5,78.5,326.8,306.9,381.8,163.0,357.0,183.7,356.9,218.8,174.2,154.0,356.2,261.1,349.3,448.0,170.7,249.1,215.8,81.7,403.0,177.1,398.7,313.2,184.5,0.0,74.9,234.2,48.0,256.2,30.7,390.9,193.1,272.5,21.5,111.8,307.9,303.6,55.7,155.2,335.3,102.9,154.4,215.8,299.5,86.4
UZ,321.6,241.2,130.8,278.9,221.9,231.5,205.5,110.4,282.6,86.4,1382.6,372.2,201.3,154.3,103.1,260.3,353.6,92.9,102.9,74.4,253.7,276.9,135.5,214.0,86.7,114.6,121.8,175.4,219.0,153.8,324.9,139.2,289.6,215.7,265.3,89.4,58.3,325.1,47.5,318.1,100.1,219.9,261.2,278.4,93.9,207.0,169.4,192.8,244.8,127.7,307.6,87.5,192.5,145.8,282.6,262.7,337.6,88.0,312.8,139.5,312.7,174.6,172.4,109.8,312.0,216.9,305.1,403.8,126.5,204.9,171.6,104.1,358.8,167.1,354.5,269.0,177.0,83.1,0.0,190.0,64.9,212.0,49.0,346.7,118.1,228.3,58.5,91.9,263.7,259.4,123.0,80.2,291.1,119.2,130.2,171.6,255.3,103.3
VM,165.5,175.3,278.1,131.4,410.8,75.4,49.4,234.8,126.5,246.9,1411.9,216.1,409.2,301.6,237.2,70.2,165.1,258.2,268.2,239.7,57.2,105.5,269.9,23.9,270.7,302.3,309.5,218.8,82.0,88.0,168.8,286.5,133.5,25.6,109.2,236.7,275.0,136.6,194.8,129.6,287.8,115.3,64.7,107.0,222.3,50.9,69.8,2.7,160.3,68.9,119.1,237.8,200.2,209.6,92.5,196.8,149.1,228.1,99.7,107.4,156.6,108.7,360.1,87.6,121.9,26.8,149.0,247.7,119.9,72.4,141.0,199.7,202.7,314.4,198.4,131.1,384.9,248.4,292.5,0.0,223.8,33.3,214.3,142.0,326.0,162.4,223.8,176.3,123.3,69.3,225.7,233.9,119.7,226.0,277.5,193.1,65.2,179.5
WD,350.1,269.7,151.1,307.4,293.0,260.0,234.0,107.8,311.1,96.9,1453.7,400.7,204.9,167.6,155.9,288.8,382.1,52.1,62.1,33.6,282.2,305.4,94.7,242.5,157.8,185.7,137.4,110.4,247.5,182.3,353.4,159.5,318.1,244.2,293.8,109.7,68.8,353.6,67.8,346.6,171.2,248.4,289.7,306.9,142.3,235.5,197.9,221.3,299.3,156.2,336.1,116.0,247.0,98.3,311.1,291.2,366.1,118.4,341.3,168.0,341.2,203.1,170.3,138.3,340.5,245.4,333.6,432.3,155.0,233.4,200.1,39.1,387.3,187.4,383.0,297.5,180.6,42.3,71.0,218.5,0.0,240.5,26.8,375.2,189.2,256.8,17.7,88.5,292.2,287.9,65.1,110.6,319.6,99.0,150.5,200.1,283.8,38.3
WE,168.3,140.9,284.4,83.2,392.0,72.1,97.6,311.1,154.1,230.5,1441.5,249.8,392.8,307.9,220.8,99.8,192.1,264.5,274.5,259.8,68.8,117.1,291.8,53.5,270.9,304.7,311.1,225.1,36.5,56.0,191.6,290.4,178.1,55.2,80.8,243.0,256.2,163.6,201.1,156.6,289.4,98.9,76.3,118.6,203.5,97.7,36.4,82.5,160.5,96.9,146.1,221.4,183.8,215.9,122.1,163.4,176.1,209.3,155.5,74.0,168.3,74.3,361.7,123.3,151.5,56.4,191.8,265.6,86.5,22.4,115.2,206.0,178.3,320.7,212.5,99.7,368.5,254.7,276.1,79.7,230.1,0.0,218.2,202.3,309.6,129.0,230.1,182.6,94.4,98.9,232.0,217.5,131.3,315.0,283.8,176.7,94.8,185.8
WJ,335.0,248.9,124.2,297.1,266.1,244.9,218.9,76.0,296.0,116.8,1426.8,385.6,178.0,147.7,151.7,273.7,367.0,43.8,53.8,25.3,267.1,290.3,86.4,227.4,130.9,153.1,110.5,131.4,232.4,161.5,338.3,133.3,303.0,229.1,273.0,82.8,89.8,338.5,40.9,331.5,144.3,233.3,274.6,291.8,138.1,220.4,182.8,200.5,289.0,141.1,321.0,101.7,236.7,96.7,296.0,276.1,345.3,132.2,326.2,153.9,320.4,188.0,137.7,123.2,325.4,230.3,318.5,417.2,139.9,218.3,190.3,55.0,372.2,160.5,372.5,282.4,153.7,34.0,44.1,203.4,15.8,198.2,0.0,360.1,162.3,241.7,9.4,104.4,277.1,272.8,73.9,124.4,304.5,72.1,123.6,185.0,268.7,54.2
WP,17.2,165.8,438.7,124.8,436.0,119.1,115.0,350.2,110.3,272.1,1455.1,51.1,434.4,452.8,262.4,113.4,71.2,410.7,420.7,392.2,106.6,89.7,399.8,104.4,295.9,345.5,352.7,343.2,107.2,178.1,56.6,416.4,99.7,102.7,62.3,366.6,300.2,88.2,324.7,81.2,331.0,140.5,102.9,91.2,247.5,159.6,152.2,126.8,185.5,220.4,70.7,263.0,225.4,339.5,135.7,187.3,55.2,253.3,37.6,197.5,89.9,155.1,403.3,246.3,151.7,101.6,113.4,74.1,209.5,118.7,166.2,350.2,49.0,465.6,26.3,141.3,410.1,400.9,317.7,129.8,374.3,146.0,366.8,0.0,351.2,152.9,376.3,306.2,136.0,112.5,376.2,259.1,103.9,359.0,407.4,218.3,90.4,330.0
WS,465.9,256.6,139.8,266.3,117.0,375.8,349.8,178.5,426.9,193.8,1291.8,417.5,83.1,184.9,203.7,312.5,389.4,291.7,239.0,273.2,398.0,330.7,334.3,358.3,143.7,77.6,84.8,281.6,363.3,298.1,469.2,132.4,433.9,360.0,409.6,189.2,202.6,360.9,153.8,353.9,76.8,212.1,405.5,332.2,190.1,351.3,313.7,337.1,258.2,272.0,343.4,231.8,205.9,269.5,334.8,278.1,373.4,184.2,324.0,283.8,457.0,318.9,72.6,254.1,366.0,361.2,449.4,440.5,270.8,349.2,315.9,271.9,391.8,167.2,425.6,282.8,58.8,281.9,193.0,334.3,263.7,356.3,247.8,366.3,0.0,243.7,257.3,236.2,277.5,311.6,297.9,176.4,344.9,169.7,92.4,315.9,265.2,251.7
WV,167.6,12.8,319.0,57.0,337.5,182.1,185.7,251.7,236.9,173.6,1389.4,208.2,335.9,342.5,163.9,103.2,180.1,299.1,309.1,280.6,151.6,121.4,341.7,136.3,197.4,247.0,254.2,259.7,71.2,65.6,213.7,327.4,260.9,138.0,190.8,277.6,201.7,151.6,235.7,144.6,232.5,42.0,159.1,122.9,149.0,187.2,105.0,153.7,87.0,107.9,134.1,164.5,126.9,250.5,96.9,34.3,164.1,154.8,114.7,85.0,251.1,42.6,304.8,152.3,78.3,139.2,274.6,231.2,115.5,120.8,67.7,240.6,182.5,355.3,183.4,40.6,311.6,289.3,219.2,170.2,264.7,109.9,255.2,157.0,252.7,0.0,264.7,217.2,35.3,102.3,266.6,160.6,135.6,260.5,318.4,119.8,55.9,220.4
XE,344.2,263.8,133.4,306.3,275.3,254.1,228.1,90.1,305.2,123.4,1436.0,394.8,187.2,149.8,160.9,282.9,376.2,34.3,44.3,15.9,276.3,299.5,76.9,236.6,140.1,168.0,119.7,117.3,241.6,176.4,347.5,141.8,312.2,238.3,287.9,92.0,95.3,347.7,50.1,340.7,153.5,242.5,283.8,301.0,147.3,229.6,192.0,215.4,298.2,150.3,330.2,110.1,245.9,87.2,305.2,285.3,360.2,141.4,335.4,162.1,336.8,197.2,152.6,132.4,334.6,239.5,327.7,426.4,149.1,227.5,194.2,65.6,381.4,169.7,377.1,291.6,162.9,24.5,53.3,212.6,26.4,234.6,9.1,369.3,171.5,250.9,0.0,115.0,286.3,282.0,64.4,133.6,313.7,81.3,132.8,194.2,277.9,64.8
XO,305.1,224.7,157.2,262.4,257.8,215.0,189.0,113.9,266.1,96.1,1470.6,355.7,211.0,180.7,96.6,243.8,337.1,95.5,114.8,118.8,237.2,260.4,165.4,197.5,167.7,149.9,143.5,45.3,202.5,137.3,308.4,165.6,273.1,199.2,248.8,115.8,68.0,308.6,73.9,301.6,165.2,203.4,244.7,261.9,113.2,190.5,152.9,176.3,243.6,111.2,291.1,107.3,230.1,33.2,266.1,246.2,321.1,117.6,296.3,123.0,296.2,158.1,176.4,93.3,295.5,200.4,288.6,387.3,110.0,188.4,155.1,69.3,342.3,193.5,338.0,252.5,186.7,113.0,95.1,173.5,98.9,195.5,93.4,330.2,206.5,211.8,102.9,0.0,247.2,242.9,80.4,109.8,274.6,105.1,156.6,155.1,238.8,58.6
XX,162.0,60.0,337.6,8.0,330.6,165.2,161.1,310.0,212.1,218.7,1354.0,202.6,354.3,351.7,209.0,97.6,174.5,342.2,352.2,323.7,157.3,115.8,384.8,119.0,266.3,244.4,251.6,302.8,65.6,108.7,208.1,373.0,266.6,117.3,164.1,320.7,246.8,146.0,309.9,139.0,229.9,87.1,164.8,117.3,194.1,195.4,98.8,141.4,132.1,151.0,128.5,236.9,246.1,293.6,61.5,81.5,158.5,199.9,109.1,128.1,256.8,85.7,302.2,195.4,42.9,116.2,226.1,225.6,158.6,77.1,112.8,296.8,176.9,364.5,177.8,5.2,312.5,332.4,264.3,144.4,320.9,104.4,298.3,151.4,268.1,43.0,307.8,260.3,0.0,71.8,322.8,205.7,99.4,318.8,345.6,164.9,50.3,276.6
YF,118.5,114.0,326.1,62.0,319.1,115.9,122.0,298.5,170.7,232.8,1342.5,159.1,342.8,340.2,223.1,25.5,131.0,330.8,340.8,312.3,85.4,72.3,342.5,47.1,254.8,232.9,240.1,291.4,67.9,136.2,208.2,361.5,194.7,45.4,124.6,309.3,260.9,102.5,298.4,95.5,218.4,101.2,92.9,73.8,208.2,123.5,118.0,69.5,146.2,141.5,85.0,225.4,234.6,282.2,23.1,135.5,115.0,214.0,65.6,155.6,184.9,139.7,290.7,160.2,52.5,44.3,208.4,182.1,168.1,79.4,126.9,272.3,133.4,353.0,134.3,61.7,301.0,321.0,309.8,72.5,296.4,81.5,286.9,107.9,256.6,97.0,296.4,248.9,53.9,0.0,298.3,219.8,86.5,307.3,334.1,179.0,51.1,252.1
YJ,362.4,282.0,188.3,319.7,323.4,272.3,246.3,145.0,323.4,109.2,1482.5,413.0,242.1,164.8,168.2,301.1,394.4,40.0,59.3,69.8,294.5,317.7,109.9,254.8,188.2,216.1,174.6,81.3,259.8,194.6,365.7,196.7,330.4,256.5,306.1,114.1,81.1,365.9,105.0,358.9,201.6,260.7,302.0,319.2,154.6,247.8,210.2,233.6,311.6,168.5,348.4,119.2,259.3,51.2,323.4,303.5,378.4,130.7,353.6,180.3,353.5,215.4,207.5,150.6,352.8,257.7,345.9,444.6,167.3,245.7,212.4,25.9,399.6,224.6,395.3,309.8,217.8,57.5,126.6,230.8,55.5,252.8,82.4,387.5,219.6,269.1,73.3,80.4,304.5,300.2,0.0,122.9,331.9,136.2,187.7,212.4,296.1,50.6
YQ,341.5,187.0,201.9,196.7,216.0,251.4,225.4,104.5,302.5,12.9,1377.6,392.1,195.4,216.0,40.8,280.2,319.8,157.1,176.4,148.8,273.6,296.8,209.9,233.9,80.8,108.7,115.9,162.3,238.9,173.7,344.8,237.3,309.5,235.6,285.2,146.0,41.0,291.3,134.7,284.3,94.2,142.5,281.1,298.3,27.2,226.9,189.3,212.7,188.6,147.6,273.8,107.4,136.3,150.2,302.5,208.5,303.8,7.8,254.4,159.4,332.6,194.5,166.5,129.7,250.9,236.8,325.0,370.9,146.4,224.8,191.5,91.0,322.2,228.8,323.1,213.2,171.1,157.5,76.6,209.9,115.1,231.9,125.7,296.7,112.2,174.1,132.9,140.4,207.9,279.3,117.0,0.0,311.0,113.3,186.8,191.5,195.6,70.8
YY,109.7,140.8,335.3,88.8,328.3,94.9,90.8,307.7,174.8,265.9,1351.7,150.3,352.0,349.4,256.2,93.0,122.2,381.7,391.7,363.2,82.4,13.9,394.7,114.6,264.0,242.1,249.3,342.3,101.0,170.4,155.8,370.7,191.7,112.9,121.6,360.2,294.0,93.7,307.6,86.7,227.6,134.3,89.9,10.3,241.3,135.4,152.2,121.7,179.3,212.7,76.2,234.6,243.8,333.1,46.4,162.3,106.2,247.1,56.8,189.8,181.9,166.5,299.9,239.1,47.7,111.8,205.4,173.3,202.3,112.5,160.0,323.2,124.6,362.2,125.5,75.4,310.2,371.9,311.5,124.7,347.3,115.7,337.8,99.1,265.8,123.8,347.3,299.8,80.7,67.4,349.2,252.9,0.0,316.5,343.3,212.1,84.2,303.0
ZG,333.4,253.0,109.3,290.7,215.7,243.3,217.3,8.8,294.4,98.2,1376.4,384.0,195.1,132.8,114.9,272.1,365.4,122.7,117.7,104.2,265.5,288.7,165.3,225.8,62.5,108.4,115.6,149.1,230.8,165.6,336.7,117.7,301.4,227.5,277.1,67.9,70.1,336.9,21.3,329.9,93.9,231.7,273.0,290.2,126.9,218.8,181.2,204.6,271.9,139.5,319.4,99.3,226.0,137.0,294.4,274.5,349.4,119.7,324.6,152.3,324.5,186.4,166.2,121.6,323.8,228.7,316.9,415.6,138.3,216.7,188.7,100.9,370.6,145.6,369.8,280.8,170.8,112.9,60.5,201.8,94.7,194.2,73.7,358.5,111.9,240.1,88.3,103.7,275.5,271.2,126.9,111.9,302.9,0.0,108.7,183.4,267.1,80.7
ZQ,396.2,315.8,77.3,353.5,103.9,306.1,280.1,108.8,357.2,161.0,1370.7,446.8,57.1,143.9,177.7,334.9,428.2,185.5,169.3,167.0,328.3,351.5,228.1,288.6,162.6,93.1,86.7,211.9,293.6,228.4,399.5,62.7,364.2,290.3,339.9,119.5,132.9,399.7,84.1,392.7,108.4,294.5,335.8,353.0,194.3,281.6,244.0,267.4,334.7,202.3,382.2,162.1,284.8,199.8,357.2,337.3,412.2,182.5,387.4,214.1,387.3,249.2,79.3,184.4,386.6,291.5,379.7,478.4,201.1,279.5,246.2,163.7,433.4,94.3,429.1,343.6,65.5,175.7,123.3,264.6,157.5,286.6,141.6,421.3,78.8,302.9,151.1,166.5,338.3,334.0,189.7,174.7,365.7,100.0,0.0,246.2,329.9,143.5
ZR,321.2,121.9,269.0,131.6,283.1,231.1,205.1,171.6,282.2,98.0,1395.2,282.8,262.5,283.1,85.5,177.8,254.7,236.7,246.7,218.2,253.3,196.0,279.3,213.6,147.9,175.8,183.0,189.9,218.6,153.4,324.5,304.4,289.2,215.3,264.9,225.8,126.1,226.2,201.8,219.2,161.3,77.4,260.8,197.5,91.9,206.6,169.0,192.4,123.5,127.3,208.7,83.2,109.2,213.4,200.1,143.4,238.7,108.4,189.3,139.1,312.3,174.2,233.6,109.4,185.8,216.5,304.7,305.8,126.1,204.5,171.2,176.1,257.1,295.9,258.0,148.1,238.2,226.9,143.7,189.6,200.2,211.6,192.8,231.6,179.3,109.0,202.3,165.4,142.8,176.9,202.1,100.6,210.2,180.4,266.6,0.0,130.5,155.9
ZT,111.6,75.3,348.2,34.3,345.5,127.7,123.6,259.7,182.5,181.6,1388.9,152.2,343.9,362.3,171.9,47.2,124.1,320.2,330.2,301.7,97.2,65.4,362.8,81.9,205.4,255.0,262.2,252.7,16.7,87.6,157.7,331.9,206.5,83.6,136.4,282.1,209.7,95.6,240.2,88.6,240.5,50.0,104.7,66.9,157.0,144.6,61.7,99.3,95.0,129.9,78.1,172.5,134.9,255.0,69.5,96.8,108.1,162.8,58.7,107.0,196.7,64.6,312.8,155.8,98.9,84.8,220.2,175.2,119.0,28.2,75.7,259.7,126.5,375.1,127.4,50.8,319.6,310.4,227.2,102.3,283.8,55.5,276.3,101.0,260.7,62.4,285.8,221.7,45.5,46.3,285.7,168.6,79.6,268.5,322.9,127.8,0.0,239.5
ZU,311.7,231.3,137.6,269.0,272.7,221.6,195.6,94.3,272.7,58.5,1433.4,362.3,191.4,161.1,117.5,250.4,343.7,86.2,105.5,77.9,243.8,267.0,139.0,204.1,137.5,165.4,123.9,91.4,209.1,143.9,315.0,146.0,279.7,205.8,255.4,96.2,30.4,315.2,54.3,308.2,150.9,210.0,251.3,268.5,103.9,197.1,159.5,182.9,260.9,117.8,297.7,77.6,208.6,79.3,272.7,252.8,327.7,80.0,302.9,129.6,304.3,164.7,156.8,99.9,302.1,207.0,295.2,393.9,116.6,195.0,161.7,20.1,348.9,173.9,344.6,259.1,167.1,86.6,115.3,180.1,44.2,202.1,71.1,336.8,168.9,218.4,62.0,69.5,253.8,249.5,46.1,72.2,281.2,85.5,137.0,161.7,245.4,0.0
