from_stop,AB,AE,AG,AJ,AN,AX,BJ,BM,BO,BZ,DG,DN,DU,DY,DZ,EK,EW,FF,FI,FK,FQ,FZ,GB,GL,HL,HQ,HV,HZ,IF,IG,IL,IN,IU,JD,JM,JO,KC,KD,KK,KP,KR,KW,KY,LH,LK,LX,LZ,MB,MI,MR,NB,NG,NK,NO,NQ,NS,NT,NV,OF,OJ,OO,PH,PI,PQ,PR,QA,QJ,QK,QX,RN,RS,RU,RV,SA,SB,SE,SF,SR,SV,SZ,TG,TJ,TW,TX,TZ,UC,UD,UX,VB,VH,VR,WA,WO,WR,WU,WV,XB,XG,XJ,XO,XU,YD,YG,YM,YO,YW,ZA,ZE,ZM
OJ,357.6,440.1,486.9,142.3,270.9,769.3,469.2,248.5,37.1,820.1,796.8,755.5,407.9,411.3,451.2,485.0,463.9,817.4,824.6,751.6,563.7,377.5,471.1,843.3,276.6,545.6,95.3,754.4,333.9,114.0,405.8,472.5,335.0,789.3,779.9,390.7,389.8,795.9,623.1,68.8,541.5,378.9,445.3,563.8,446.7,850.7,68.5,59.8,490.1,517.9,33.6,506.7,14.7,747.0,462.4,519.4,674.7,453.8,462.8,0.0,684.9,540.9,374.0,92.4,684.9,452.5,506.2,867.9,548.6,823.3,295.8,716.4,296.2,848.8,415.2,484.0,96.1,8.7,2526.4,27.1,696.8,411.0,287.2,33.6,701.7,129.9,534.6,760.8,502.0,438.7,339.5,480.5,436.9,719.5,705.2,750.8,830.4,745.6,763.7,696.9,409.3,504.2,772.8,766.2,765.7,880.6,755.5,706.8,387.0
OO,420.0,568.7,637.2,584.0,530.9,447.3,546.9,478.2,752.8,161.8,135.9,422.5,560.2,607.1,513.5,547.4,599.6,495.4,491.6,99.7,436.7,540.5,492.1,182.4,555.8,418.6,788.9,421.4,496.9,829.7,494.0,534.9,423.2,128.4,457.9,640.3,374.4,144.0,385.4,784.5,414.5,628.5,499.0,576.7,570.8,189.8,762.1,775.5,363.1,614.4,727.2,379.7,730.5,112.6,501.5,392.4,13.8,492.7,553.7,715.6,0.0,341.5,436.4,786.0,161.7,491.8,438.1,383.8,421.6,162.4,506.0,64.5,636.7,515.8,379.8,284.6,811.8,706.8,1952.1,742.9,436.0,574.0,566.4,727.2,265.1,845.6,588.0,99.9,626.2,423.3,618.7,466.0,728.3,58.6,44.3,417.8,169.5,84.7,102.8,45.0,289.4,304.8,120.9,205.1,104.8,558.6,504.4,420.5,475.2
PH,261.4,410.1,922.6,425.4,372.3,732.7,832.3,319.6,594.2,452.8,429.5,707.9,218.6,892.5,171.9,388.8,441.0,780.8,777.0,384.3,288.8,381.9,150.5,476.0,360.0,270.7,630.3,706.8,338.3,671.1,199.1,376.3,264.6,422.0,743.3,925.7,150.3,428.6,182.3,625.9,266.6,913.9,349.1,862.1,856.2,483.4,603.5,616.9,215.2,899.8,568.6,231.8,571.9,379.7,159.9,244.5,307.4,151.1,839.1,557.0,317.6,0.0,277.8,627.4,317.6,343.9,290.2,669.2,273.7,456.0,347.4,349.1,478.1,801.2,207.2,56.9,653.2,548.2,2263.7,584.3,721.4,415.4,348.6,568.6,260.9,687.0,873.4,393.5,911.6,101.4,292.3,124.4,994.1,352.2,337.9,703.2,463.1,378.3,396.4,329.6,141.5,36.7,405.5,330.9,398.4,844.0,789.8,705.9,217.9
PI,39.2,187.9,828.7,210.0,156.9,808.4,811.0,104.2,378.8,528.5,505.2,783.6,313.1,753.1,355.7,166.6,218.8,856.5,852.7,460.0,272.1,166.5,334.3,551.7,181.8,254.0,414.9,782.5,122.9,455.7,120.0,170.9,49.2,485.2,819.6,732.5,98.2,482.0,366.1,410.5,249.9,720.7,112.5,905.6,788.5,559.1,388.1,401.5,198.5,859.7,353.2,215.1,356.5,455.4,343.7,227.8,383.1,168.0,804.6,341.6,393.3,249.3,0.0,412.0,393.3,119.7,173.4,744.9,257.0,531.7,132.0,424.8,262.7,876.9,123.6,192.4,437.8,332.8,2339.4,368.9,797.1,200.0,192.4,353.2,444.7,471.6,876.4,469.2,843.8,147.1,244.7,194.7,778.7,427.9,413.6,778.9,538.8,455.7,472.1,405.3,117.7,212.6,481.2,474.6,474.1,919.7,865.5,781.6,101.2
PQ,438.8,521.3,610.3,223.5,352.1,892.7,592.6,329.7,160.4,901.3,878.0,878.9,489.1,534.7,532.4,566.2,545.1,940.8,948.0,832.8,644.9,458.7,552.3,924.5,357.8,626.8,72.9,877.8,415.1,237.3,487.0,553.7,416.2,870.5,903.3,514.1,471.0,877.1,704.3,192.1,622.7,502.3,526.5,687.2,570.1,931.9,46.1,183.1,571.3,641.3,79.5,587.9,138.1,828.2,543.6,600.6,755.9,535.0,586.2,123.2,766.1,622.1,455.2,0.0,766.1,533.7,587.4,991.3,629.8,904.5,377.0,797.6,377.4,972.2,496.4,565.2,219.4,114.4,2649.8,150.5,820.2,492.2,368.4,79.5,782.9,253.2,658.0,842.0,625.4,519.9,420.7,561.7,560.3,800.7,786.4,874.2,911.6,826.8,844.9,778.1,490.5,585.4,854.0,847.4,846.9,1004.0,878.9,830.2,468.2
PR,410.4,559.1,769.0,574.4,521.3,579.1,678.7,468.6,743.2,293.6,267.7,554.3,444.0,738.9,397.3,537.8,590.0,627.2,623.4,97.6,427.1,530.9,375.9,314.2,546.2,409.0,779.3,553.2,487.3,820.1,484.4,525.3,413.6,260.2,589.7,772.1,364.8,141.9,261.5,774.9,404.9,760.3,489.4,708.5,702.6,321.6,752.5,765.9,353.5,746.2,717.6,370.1,720.9,62.0,385.3,382.8,145.6,468.5,685.5,706.0,131.7,331.9,426.8,776.4,0.0,482.2,428.5,515.6,412.0,294.2,496.4,136.4,627.1,647.6,370.2,275.0,802.2,697.2,2083.9,733.3,567.8,564.4,556.8,717.6,141.2,836.0,719.8,217.0,758.0,413.7,517.7,441.8,860.1,190.4,176.1,549.6,286.6,216.5,198.2,128.3,279.8,295.2,118.8,81.2,236.6,690.4,636.2,552.3,465.6
QA,158.9,307.6,948.4,329.7,276.6,892.7,930.7,223.9,498.5,612.8,589.5,867.9,432.8,872.8,475.4,286.3,338.5,940.8,937.0,544.3,163.5,286.2,454.0,636.0,301.5,145.4,534.6,866.8,242.6,575.4,239.7,273.8,168.9,582.0,903.3,852.2,217.9,588.6,485.8,530.2,141.3,840.4,7.2,1025.3,908.2,643.4,507.8,521.2,118.6,979.4,472.9,102.0,476.2,539.7,463.4,119.2,467.4,287.7,924.3,461.3,477.6,333.6,78.5,531.7,477.6,0.0,53.7,829.2,148.4,616.0,251.7,509.1,382.4,961.2,202.7,276.7,557.5,452.5,2423.7,488.6,881.4,319.7,312.1,472.9,564.4,591.3,996.1,553.5,963.5,266.8,364.4,314.4,898.4,512.2,497.9,863.2,623.1,538.3,556.4,489.6,202.0,296.9,565.5,558.9,558.4,1004.0,949.8,865.9,220.9
QJ,212.6,361.3,1002.1,383.4,330.3,839.0,938.6,277.6,552.2,559.1,535.8,814.2,486.5,926.5,451.9,340.0,392.2,887.1,883.3,490.6,109.8,339.9,430.5,582.3,355.2,91.7,588.3,813.1,296.3,629.1,293.4,327.5,222.6,528.3,849.6,905.9,213.7,534.9,462.3,583.9,87.6,894.1,60.9,968.4,961.9,589.7,561.5,574.9,64.9,1033.1,526.6,48.3,529.9,486.0,439.9,65.5,413.7,341.4,978.0,515.0,423.9,279.9,132.2,585.4,423.9,53.7,0.0,775.5,94.7,562.3,305.4,455.4,436.1,907.5,149.0,223.0,611.2,506.2,2370.0,542.3,827.7,373.4,365.8,526.6,540.9,645.0,979.7,499.8,1017.2,262.6,418.1,314.9,952.1,458.5,444.2,809.5,569.4,484.6,502.7,435.9,148.3,243.2,511.8,505.2,504.7,950.3,896.1,812.2,274.6
QK,985.8,1150.2,399.6,852.4,981.0,280.6,309.3,958.6,767.1,502.4,529.5,151.8,1118.0,369.5,1079.3,1113.2,1174.0,328.7,254.0,685.8,1002.5,1087.6,1057.9,531.6,986.7,984.4,805.4,183.8,1044.0,844.0,1115.9,1100.7,1045.1,537.0,291.2,402.7,940.2,730.1,971.5,798.8,980.3,390.9,1064.8,339.1,333.2,524.2,778.6,789.8,928.9,376.8,743.7,945.5,705.1,698.7,1067.3,958.2,593.8,1058.5,316.1,729.9,586.0,907.3,1002.2,802.5,747.8,1057.6,1003.9,0.0,987.4,551.6,1005.9,650.6,1006.3,245.1,945.6,850.4,826.1,718.8,2132.8,692.7,198.4,1121.1,997.3,743.7,851.2,859.9,350.4,679.9,388.6,989.1,1049.6,1031.8,490.7,638.6,624.3,147.1,688.7,580.7,682.8,631.1,855.2,870.6,707.0,791.2,560.6,391.9,266.8,218.1,1097.1
QX,256.1,404.8,1038.8,420.1,367.0,831.8,931.4,314.3,588.9,551.9,528.6,807.0,491.4,963.2,444.7,383.5,435.7,879.9,876.1,483.4,15.0,376.6,423.3,575.1,391.9,2.7,625.0,805.9,333.0,665.8,330.1,371.0,259.3,516.4,843.0,942.6,206.5,485.6,455.1,620.6,6.6,930.8,144.9,961.2,998.6,581.8,598.2,611.6,57.7,998.9,563.3,41.1,566.6,478.8,432.7,28.4,406.5,334.4,938.2,551.7,416.7,272.7,231.3,622.1,416.7,137.7,84.0,768.3,0.0,555.1,342.1,448.2,472.8,900.3,141.8,215.8,647.9,542.9,2362.8,579.0,820.5,410.1,402.5,563.3,533.7,681.7,972.5,492.6,1053.9,255.4,454.8,307.7,988.8,451.3,437.0,802.3,562.2,479.1,495.5,428.7,141.1,236.0,504.6,498.0,497.5,943.1,888.9,805.0,311.3
RN,580.5,687.3,564.2,702.6,649.5,374.3,473.9,596.8,871.4,116.9,91.0,349.5,678.8,534.1,632.1,666.0,718.2,422.4,418.6,212.1,555.3,659.1,610.7,19.9,674.4,537.2,907.5,348.4,615.5,948.3,612.6,653.5,541.8,71.0,385.5,567.3,493.0,176.9,497.8,903.1,533.1,555.5,617.6,503.7,497.8,26.6,880.7,894.1,481.7,541.4,845.8,498.3,849.1,225.0,620.1,511.0,132.9,611.3,480.7,834.2,156.8,460.1,513.8,904.6,277.1,610.4,556.7,310.8,540.2,0.0,624.6,150.6,755.3,442.8,498.4,403.2,930.4,825.4,1871.1,857.3,363.0,692.6,685.0,845.8,377.5,964.2,515.0,183.9,553.2,541.9,737.3,584.6,655.3,142.6,110.3,344.8,256.1,73.2,186.8,170.1,408.0,423.4,233.3,317.5,59.9,485.6,431.4,347.5,593.8
RS,136.8,162.3,784.2,165.5,24.9,879.2,766.5,74.4,334.3,599.3,576.0,854.4,283.3,708.6,326.6,264.2,186.1,927.3,923.5,530.8,342.9,99.7,346.5,622.5,152.0,324.8,370.4,853.3,56.1,411.2,185.0,179.3,114.2,568.5,890.4,688.0,169.0,581.2,436.9,366.0,320.7,676.2,224.5,861.1,744.0,629.2,343.6,357.0,269.3,815.2,308.7,285.9,312.0,526.2,337.8,298.6,453.9,233.0,760.1,297.1,464.1,320.1,112.0,367.5,464.1,231.7,285.4,815.7,327.8,602.5,0.0,495.6,130.6,947.7,194.4,263.2,393.3,288.3,2410.2,324.4,867.9,133.2,162.6,308.7,515.5,427.1,831.9,540.0,799.3,217.9,214.9,259.7,734.2,498.7,484.4,849.7,609.6,526.5,542.9,476.1,188.5,283.4,552.0,545.4,544.9,990.5,936.3,852.4,166.2
RU,488.0,594.8,681.1,610.1,557.0,491.2,590.8,504.3,778.9,165.6,139.7,466.4,529.6,651.0,482.9,573.5,625.7,539.3,535.5,61.4,462.8,566.6,461.5,186.2,581.9,444.7,815.0,465.3,523.0,855.8,520.1,577.8,449.3,119.7,502.4,684.2,400.5,163.5,347.1,810.6,440.6,672.4,525.1,620.6,614.7,192.9,788.2,801.6,389.2,658.3,753.3,405.8,756.6,74.3,470.9,418.5,68.4,518.8,597.6,741.7,54.5,367.6,421.3,812.1,126.4,517.9,464.2,427.7,447.7,166.2,532.1,0.0,662.8,559.7,405.9,310.7,837.9,732.9,2006.7,769.0,479.9,600.1,592.5,753.3,226.8,871.7,631.9,121.7,670.1,449.4,603.3,492.1,772.2,80.4,50.2,461.7,193.9,90.2,124.6,19.4,315.5,330.9,82.6,166.8,108.6,602.5,548.3,464.4,501.3
RV,317.8,301.4,777.0,158.3,114.1,1018.3,759.3,213.5,327.1,738.4,715.1,993.5,388.8,701.4,432.1,403.3,325.2,1066.4,1062.6,669.9,482.0,238.8,452.0,761.6,257.5,463.9,363.2,992.4,195.2,404.0,324.1,318.4,253.3,707.6,1029.5,680.8,308.1,672.1,576.0,358.8,459.8,669.0,363.6,853.9,736.8,768.3,336.4,349.8,408.4,808.0,301.5,425.0,304.8,665.3,443.3,437.7,593.0,372.1,752.9,289.9,603.2,459.2,251.1,360.3,603.2,370.8,424.5,954.8,466.9,741.6,139.0,634.7,0.0,1086.8,333.5,402.3,386.1,281.1,2549.3,317.2,1007.0,272.3,268.1,301.5,654.6,419.9,824.7,679.1,792.1,357.0,320.4,398.8,727.0,637.8,617.1,988.8,748.7,665.6,682.0,615.2,327.6,422.5,691.1,684.5,684.0,1129.6,1075.4,991.5,305.3
SA,1030.1,1235.0,447.9,937.2,1065.8,324.9,357.6,1043.4,851.9,546.7,573.8,94.7,1202.8,417.8,1123.6,1157.5,1258.8,373.0,298.3,730.1,1046.8,1172.4,1102.2,575.9,1071.5,1028.7,890.2,228.1,1128.8,928.8,1200.7,1252.0,1129.9,581.3,336.1,420.4,984.5,832.2,1015.8,883.6,1024.6,434.0,1109.1,387.4,381.5,568.5,863.4,874.6,973.2,425.1,828.5,989.8,789.9,743.0,1111.6,1002.5,638.1,1102.8,364.4,814.7,630.3,951.6,1005.3,887.3,792.1,1101.9,1048.2,443.2,1031.7,595.9,1090.7,694.9,1091.1,0.0,989.9,894.7,910.9,803.6,2177.1,777.5,242.7,1205.9,1082.1,828.5,895.5,944.7,398.7,724.2,436.9,1033.4,1134.4,1076.1,575.5,682.9,662.2,99.4,733.0,623.3,727.1,675.4,899.5,914.9,751.3,835.5,604.9,436.2,311.1,262.4,1181.9
SB,114.2,262.9,896.9,278.2,225.1,778.8,879.2,172.4,447.0,498.9,475.6,754.0,368.8,821.3,322.1,241.6,293.8,826.9,823.1,430.4,161.9,234.7,300.7,522.1,250.0,143.8,483.1,752.9,191.1,523.9,188.2,245.9,117.4,455.6,790.0,800.7,64.6,480.8,332.5,478.7,139.7,788.9,201.9,908.2,856.7,528.8,456.3,469.7,88.3,927.9,421.4,104.9,424.7,425.8,310.1,117.6,353.5,192.5,872.8,409.8,363.7,219.7,89.4,480.2,363.7,209.1,163.3,715.3,146.8,502.1,200.2,395.2,330.9,847.3,0.0,162.8,506.0,401.0,2309.8,437.1,767.5,268.2,260.6,421.4,411.1,539.8,944.6,439.6,912.0,113.5,312.9,165.8,846.9,398.3,384.0,749.3,509.2,426.1,442.5,375.7,88.1,183.0,451.6,445.0,444.5,890.1,835.9,752.0,169.4
SE,215.2,363.9,865.7,379.2,326.1,675.8,775.4,273.4,548.0,395.9,372.6,651.0,275.5,835.6,228.8,342.6,394.8,723.9,720.1,327.4,231.9,335.7,207.4,419.1,351.0,213.8,584.1,649.9,292.1,624.9,256.0,330.1,218.4,365.1,686.4,868.8,169.6,371.7,239.2,579.7,209.7,857.0,294.2,805.2,799.3,426.5,557.3,570.7,158.3,842.9,522.4,174.9,525.7,322.8,216.8,187.6,250.5,208.0,782.2,510.8,260.7,56.9,231.6,581.2,260.7,287.0,233.3,612.3,216.8,399.1,301.2,292.2,431.9,744.3,175.0,0.0,607.0,502.0,2206.8,538.1,664.5,369.2,361.6,522.4,317.8,640.8,816.5,336.6,854.7,158.3,349.2,181.3,947.9,295.3,281.0,646.3,406.2,321.4,339.5,272.7,84.6,20.1,348.6,342.0,341.5,787.1,732.9,649.0,270.4
SF,434.2,516.7,563.5,218.9,347.5,845.9,545.8,325.1,63.6,896.7,873.4,832.1,484.5,487.9,527.8,561.6,540.5,894.0,901.2,828.2,640.3,454.1,547.7,919.9,353.2,622.2,171.9,831.0,410.5,159.5,482.4,549.1,411.6,865.9,856.5,467.3,466.4,872.5,699.7,22.1,618.1,455.5,521.9,640.4,523.3,927.3,145.1,29.5,566.7,594.5,110.2,583.3,91.3,823.6,539.0,596.0,751.3,530.4,539.4,76.5,761.5,617.5,450.6,169.0,761.5,529.1,582.8,944.5,625.2,899.9,372.4,793.0,372.8,925.4,491.8,560.6,0.0,85.3,2603.0,103.7,773.4,487.6,363.8,110.2,778.3,33.7,611.2,837.4,578.6,515.3,416.1,557.1,513.5,796.1,781.8,827.4,907.0,822.2,840.3,773.5,485.9,580.8,849.4,842.8,842.3,957.2,832.1,783.4,463.6
SR,348.8,431.3,495.8,133.5,262.1,778.2,478.1,239.7,45.9,811.3,788.0,764.4,399.1,420.2,442.4,476.2,455.1,826.3,833.5,742.8,554.9,368.7,462.3,834.5,267.8,536.8,86.5,763.3,325.1,122.8,397.0,463.7,326.2,780.5,788.8,399.6,381.0,787.1,614.3,77.6,532.7,387.8,436.5,572.7,455.6,841.9,59.7,68.6,481.3,526.8,24.8,497.9,23.6,738.2,453.6,510.6,665.9,445.0,471.7,8.7,676.1,532.1,365.2,83.6,676.1,443.7,497.4,876.8,539.8,814.5,287.0,707.6,287.4,857.7,406.4,475.2,104.9,0.0,2535.3,36.0,705.7,402.2,278.4,24.8,692.9,138.7,543.5,752.0,510.9,429.9,330.7,471.7,445.8,710.7,696.4,759.7,821.6,736.8,754.9,688.1,400.5,495.4,764.0,757.4,756.9,889.5,764.4,715.7,378.2
SV,2062.0,2210.7,1983.3,2226.0,2172.9,1793.4,1893.0,2120.2,2350.8,1622.6,1649.7,1768.6,2202.2,1953.2,2155.5,2189.4,2241.6,1841.5,1837.7,1762.0,2078.7,2182.5,2134.1,1719.0,2197.8,2060.6,2389.1,1767.5,2138.9,2427.7,2136.0,2176.9,2065.2,1657.2,1804.0,1986.4,2016.4,1806.3,2047.7,2382.5,2056.5,1974.6,2141.0,1922.8,1916.9,1711.6,2362.3,2373.5,2005.1,1960.5,2327.4,2021.7,2288.8,1774.9,2143.5,2034.4,1670.0,2134.7,1899.8,2313.6,1662.2,1983.5,2078.4,2386.2,1824.0,2133.8,2080.1,1729.9,2063.6,1739.0,2148.0,1726.8,2278.7,1861.9,2021.8,1926.6,2409.8,2302.5,0.0,2276.4,1782.1,2216.0,2208.4,2327.4,1927.4,2443.6,1934.1,1756.1,1972.3,2065.3,2260.7,2108.0,2074.4,1714.8,1700.5,1763.9,1825.7,1694.9,1759.0,1707.3,1931.4,1946.8,1783.2,1867.4,1715.0,1904.7,1850.5,1766.6,2117.2
SZ,374.9,457.4,459.7,159.6,288.2,742.1,442.0,265.8,74.3,837.4,814.1,728.3,425.2,384.1,468.5,502.3,481.2,790.2,797.4,768.9,581.0,394.8,488.4,860.6,293.9,562.9,112.6,727.2,351.2,151.2,423.1,489.8,352.3,806.6,752.7,363.5,407.1,813.2,640.4,106.0,558.8,351.7,462.6,536.6,419.5,868.0,85.8,97.0,507.4,490.7,50.9,524.0,12.4,764.3,479.7,536.7,692.0,471.1,435.6,37.1,702.2,558.2,391.3,109.7,702.2,469.8,523.5,840.7,565.9,840.6,313.1,733.7,313.5,821.6,432.5,501.3,133.3,26.0,2499.2,0.0,669.6,428.3,304.5,50.9,719.0,167.1,507.4,778.1,474.8,456.0,356.8,497.8,409.7,736.8,722.5,723.6,847.7,762.9,781.0,714.2,426.6,521.5,790.1,783.5,783.0,853.4,728.3,679.6,404.3
TG,855.5,1004.2,395.3,831.7,960.3,150.3,305.0,913.7,746.4,372.1,399.2,156.6,995.7,365.2,949.0,982.9,1035.1,198.4,148.3,555.5,872.2,976.0,927.6,401.3,966.0,854.1,784.7,78.1,932.4,823.3,929.5,970.4,858.7,406.7,160.9,367.8,809.9,599.8,841.2,778.1,850.0,370.2,934.5,334.8,328.9,393.9,757.9,769.1,798.6,372.5,723.0,815.2,684.4,568.4,937.0,827.9,463.5,928.2,311.8,709.2,455.7,777.0,871.9,781.8,617.5,927.3,873.6,268.6,857.1,421.3,941.5,520.3,985.6,249.9,815.3,720.1,805.4,698.1,2002.5,672.0,0.0,1009.5,976.6,723.0,720.9,839.2,346.1,549.6,384.3,858.8,1028.9,901.5,470.0,508.3,494.0,151.9,558.4,450.4,552.5,500.8,724.9,740.3,576.7,660.9,430.3,210.6,136.5,87.8,910.7
TJ,187.7,29.0,886.9,268.2,158.1,967.2,869.2,162.4,437.0,687.3,664.0,942.4,371.3,811.3,414.6,138.6,52.8,1015.3,1011.5,618.8,430.9,33.4,434.5,710.5,240.0,412.8,473.1,941.3,77.0,513.9,273.0,62.8,202.2,656.5,977.8,790.7,257.0,663.1,524.9,468.7,408.7,778.9,312.5,963.8,846.7,717.9,446.3,459.7,357.3,917.9,411.4,373.9,414.7,614.2,425.8,386.6,541.9,321.0,862.8,399.8,552.1,408.1,241.2,470.2,552.1,319.7,373.4,903.7,415.8,690.5,133.2,583.6,263.9,1035.7,282.4,351.2,496.0,391.0,2498.2,427.1,955.9,0.0,250.6,411.4,603.5,529.8,934.6,628.0,902.0,305.9,302.9,347.7,836.9,586.7,572.4,937.7,697.6,612.8,630.9,564.1,276.5,371.4,640.0,633.4,632.9,1078.5,1024.3,940.4,254.2
TW,201.5,284.0,787.4,168.7,211.8,943.9,769.7,92.4,337.5,664.0,640.7,919.1,120.6,711.8,163.9,328.9,307.8,992.0,988.2,595.5,407.6,221.4,183.8,687.2,11.4,389.5,373.6,918.0,177.8,414.4,249.7,316.4,178.9,620.7,955.1,691.2,233.7,645.9,335.8,369.2,385.4,679.4,289.2,864.3,747.2,693.9,346.8,360.2,334.0,818.4,311.9,350.6,315.2,576.9,175.1,363.3,518.6,297.7,763.3,300.3,528.8,330.3,176.7,370.7,528.8,296.4,350.1,880.4,392.5,667.2,186.9,560.3,267.5,1012.4,259.1,327.9,396.5,291.5,2474.9,327.6,932.6,254.9,0.0,311.9,414.4,430.3,835.1,604.7,802.5,282.6,52.2,324.4,737.4,563.4,549.1,914.4,674.3,591.2,607.6,540.8,253.2,348.1,616.7,484.4,609.6,1055.2,1001.0,917.1,230.9
TX,359.2,441.7,530.7,143.9,272.5,813.1,513.0,250.1,80.8,821.7,798.4,799.3,409.5,455.1,452.8,486.6,465.5,861.2,868.4,753.2,565.3,379.1,472.7,844.9,278.2,547.2,61.6,798.2,335.5,157.7,407.4,474.1,336.6,790.9,823.7,434.5,391.4,797.5,624.7,112.5,543.1,422.7,446.9,607.6,490.5,852.3,34.8,103.5,491.7,561.7,0.0,508.3,58.5,748.6,464.0,521.0,676.3,455.4,506.6,43.6,686.5,542.5,375.6,58.7,686.5,454.1,507.8,911.7,550.2,824.9,297.4,718.0,297.8,892.6,416.8,485.6,139.8,34.8,2570.2,70.9,740.6,412.6,288.8,0.0,703.3,173.6,578.4,762.4,545.8,440.3,341.1,482.1,480.7,721.1,706.8,794.6,832.0,747.2,765.3,698.5,410.9,505.8,774.4,767.8,767.3,924.4,799.3,750.6,388.6
TZ,437.5,586.2,881.3,601.5,548.4,691.4,791.0,495.7,770.3,402.5,376.6,666.6,302.7,851.2,256.0,564.9,617.1,739.5,735.7,198.0,529.8,558.0,234.6,423.1,444.1,511.7,806.4,665.5,514.4,847.2,375.2,552.4,440.7,369.1,702.0,884.4,326.4,242.3,120.2,802.0,507.6,872.6,525.2,820.8,814.9,430.5,779.6,793.0,456.2,858.5,744.7,472.8,748.0,162.4,244.0,485.5,299.0,327.2,797.8,733.1,285.1,240.9,453.9,803.5,161.2,532.4,531.2,601.9,514.7,403.1,523.5,236.8,654.2,759.9,383.3,297.8,829.3,724.3,2188.2,760.4,680.1,591.5,432.7,744.7,0.0,863.1,832.1,286.8,870.3,277.5,376.4,300.5,972.4,317.3,287.1,661.9,308.7,325.4,298.6,250.0,382.5,277.6,219.2,69.9,345.5,802.7,748.5,664.6,394.0
UC,503.5,544.1,590.9,246.3,374.9,873.3,573.2,352.5,91.0,924.1,900.8,859.5,511.9,515.3,555.2,589.0,567.9,921.4,928.6,855.6,667.7,481.5,575.1,947.3,380.6,649.6,199.3,858.4,437.9,186.9,509.8,576.5,439.0,888.6,884.5,494.7,493.8,899.9,727.1,49.6,645.5,482.9,549.3,667.8,550.7,954.0,172.5,57.0,594.1,621.9,137.6,610.7,118.7,851.0,566.4,623.4,778.7,557.8,566.8,103.9,788.9,644.9,436.8,196.4,788.9,556.5,610.2,971.9,652.6,927.3,399.8,820.4,400.2,952.8,519.2,588.0,27.4,112.7,2630.4,131.1,800.8,515.0,391.2,137.6,805.7,0.0,638.6,864.8,606.0,542.7,443.5,584.5,540.9,823.5,809.2,854.8,937.0,851.3,867.7,800.9,513.3,608.2,876.8,870.2,869.7,984.6,859.5,810.8,491.0
UD,861.2,943.7,202.1,645.9,774.5,404.0,66.3,752.1,560.6,651.4,678.5,308.3,911.5,126.5,954.8,988.6,967.5,452.1,377.4,834.8,1067.3,881.1,974.7,680.6,780.2,1049.2,598.9,307.2,837.5,637.5,909.4,976.1,838.6,686.0,414.6,129.1,893.4,879.1,1126.7,592.3,1045.1,142.7,948.9,253.1,90.2,673.2,572.1,583.3,993.7,233.1,537.2,1010.3,498.6,847.7,966.0,1023.0,742.8,957.4,73.1,523.4,735.0,1044.5,877.6,596.0,896.8,956.1,1009.8,522.3,1052.2,700.6,799.4,799.6,799.8,401.6,918.8,987.6,619.6,512.3,2281.8,486.2,321.8,914.6,790.8,537.2,1000.2,653.4,0.0,828.9,217.2,942.3,843.1,984.1,284.2,787.6,773.3,303.6,843.9,729.7,831.8,780.1,912.9,1007.8,856.0,940.2,709.6,515.3,390.2,341.5,890.6
UX,538.1,686.8,671.1,702.1,649.0,481.2,580.8,596.3,870.9,155.6,129.7,456.4,553.9,641.0,507.2,665.5,717.7,529.3,525.5,130.8,554.8,658.6,485.8,176.2,673.9,536.7,907.0,455.3,615.0,947.8,612.1,653.0,541.3,122.2,491.8,674.2,492.5,80.4,371.4,902.6,532.6,662.4,617.1,610.6,604.7,183.6,880.2,893.6,481.2,648.3,845.3,497.8,848.6,177.0,495.2,510.5,132.4,578.4,587.6,833.7,146.6,459.6,554.5,904.1,229.1,609.9,556.2,396.7,539.7,156.2,624.1,150.1,754.8,549.7,497.9,402.7,929.9,824.9,2023.9,861.0,469.9,692.1,683.9,845.3,251.1,963.7,621.9,0.0,660.1,528.7,627.6,551.7,762.2,142.1,109.8,451.7,69.5,78.5,28.7,169.6,407.5,422.9,106.6,269.5,98.6,592.5,538.3,454.4,593.3
VB,817.0,899.5,11.0,601.7,730.3,486.8,104.8,707.9,516.4,677.3,704.4,391.1,867.3,82.3,910.6,944.4,923.3,534.9,460.2,860.7,1023.1,836.9,930.5,706.5,736.0,1005.0,554.7,390.0,793.3,593.3,865.2,931.9,794.4,711.9,497.4,84.9,849.2,905.0,1082.5,548.1,1000.9,98.5,904.7,61.7,82.3,699.1,527.9,539.1,949.5,15.9,493.0,966.1,454.4,873.6,921.8,978.8,768.7,913.2,98.4,479.2,760.9,1000.3,833.4,551.8,922.7,911.9,965.6,605.1,1008.0,726.5,755.2,825.5,755.6,484.4,874.6,943.4,575.4,468.1,2307.7,442.0,404.6,870.4,746.6,493.0,1026.1,609.2,170.2,854.8,0.0,898.1,798.9,939.9,240.0,813.5,799.2,386.4,869.8,755.6,857.7,806.0,868.7,963.6,881.9,966.1,735.5,598.1,473.0,424.3,846.4
