from_stop,AD,AU,AY,BF,BP,CA,CY,DA,DX,EA,EB,ED,EE,EF,EG,EN,ER,FB,FC,FR,FW,FY,GK,GO,GP,GR,HB,HD,HJ,HT,IA,IG,IO,JF,JI,JJ,JY,KB,KH,KP,LB,LC,LX,MH,MI,ML,MP,MU,MX,NH,NI,NU,NV,OB,OG,OL,OP,OQ,OU,PJ,PS,PZ,QW,QX,RU,SL,SM,SV,SY,SZ,TJ,TY,UA,UI,UX,VC,WA,WB,XA,XI,XQ,XV,XW,YC,YJ,YM,YT,ZE
VC,318.8,1879.6,283.5,518.9,226.8,285.7,289.1,285.6,230.7,367.9,301.0,233.4,106.1,228.7,244.1,206.6,272.1,99.8,326.2,7.5,196.8,338.1,242.4,363.1,367.0,143.2,271.5,324.7,239.8,229.9,355.9,108.1,259.5,161.0,208.5,268.9,271.7,181.7,216.6,362.4,258.5,224.0,146.7,136.4,264.6,239.9,126.4,151.6,372.8,286.9,365.3,148.8,362.1,295.4,95.8,539.0,114.4,106.1,398.4,240.6,185.6,375.3,351.8,259.3,280.7,154.6,204.5,290.4,346.6,74.3,134.5,258.4,386.6,112.4,197.9,0.0,215.4,294.1,106.5,308.5,421.1,408.8,333.5,257.1,339.7,289.8,229.2,232.8
WA,151.3,1872.5,88.2,342.8,31.9,90.4,90.8,90.3,77.5,247.7,112.1,57.8,275.5,41.9,99.9,62.9,166.4,96.3,152.3,149.1,217.5,137.7,125.6,187.0,223.3,157.8,96.5,95.0,96.1,85.7,229.9,235.7,25.8,27.3,117.0,80.0,128.0,19.5,38.3,231.3,69.6,80.3,48.6,114.2,69.7,110.9,83.3,90.5,268.7,98.0,189.2,38.6,144.7,180.1,101.2,362.9,283.3,77.8,278.5,45.3,35.4,157.9,208.1,115.6,138.6,105.9,81.9,139.8,151.3,116.5,50.5,139.2,264.2,118.3,24.8,158.4,0.0,98.8,112.4,108.1,245.0,268.1,207.5,140.7,122.7,140.4,100.4,89.3
WB,52.4,1872.0,10.5,243.9,82.1,8.3,59.4,8.4,76.1,148.8,152.5,143.8,398.5,104.1,76.7,94.6,67.5,209.5,53.4,300.6,340.5,92.2,78.2,88.1,204.3,270.6,49.1,104.7,93.2,114.8,131.0,348.5,98.1,148.2,203.9,154.4,109.0,146.1,94.7,208.6,120.7,108.9,173.0,247.3,29.3,87.7,183.7,211.7,250.2,165.0,90.3,164.7,106.6,81.2,242.5,264.0,406.8,214.5,179.6,61.0,154.9,91.1,189.1,109.6,101.6,185.6,167.9,40.9,52.4,261.4,177.1,55.2,245.2,259.1,148.6,310.4,153.8,0.0,253.2,96.6,146.1,169.2,108.6,56.7,110.8,41.5,174.8,168.7
XA,274.6,1922.8,237.2,493.9,180.5,241.5,244.9,241.4,186.5,322.5,248.3,189.2,171.1,192.2,197.8,162.4,227.9,56.3,282.0,89.7,113.1,291.8,198.2,336.0,322.8,43.2,227.3,231.2,193.5,185.7,304.7,121.1,159.9,110.9,164.3,216.2,225.4,135.4,172.4,330.8,205.8,179.8,102.9,61.6,218.3,200.7,82.2,107.4,368.7,234.2,340.3,104.6,317.9,257.4,10.6,514.0,179.4,62.3,363.3,196.4,141.8,331.1,307.6,215.1,238.1,110.4,160.3,244.1,302.4,50.5,88.2,214.2,361.6,3.7,154.2,97.4,171.6,249.9,0.0,264.3,396.1,355.0,282.3,210.8,293.4,245.6,185.0,198.9
XI,125.9,1945.5,103.5,317.4,111.0,105.7,44.2,105.6,87.0,216.5,111.1,87.9,409.5,124.0,160.8,123.3,123.0,222.7,58.1,313.2,351.5,29.6,140.9,162.1,259.8,281.6,111.8,72.7,148.7,151.4,207.4,359.5,127.0,159.2,175.1,128.1,164.5,158.3,123.6,255.2,82.8,140.7,184.0,259.9,84.6,171.8,196.3,224.3,305.7,127.1,163.8,176.9,95.3,154.7,262.3,337.5,417.8,225.5,253.1,89.9,165.8,97.8,246.8,152.1,157.1,198.2,112.0,96.4,125.9,274.0,189.3,153.6,300.7,271.7,159.6,323.0,165.2,107.5,267.9,0.0,181.7,242.7,182.1,155.3,72.9,97.0,148.5,145.6
XQ,87.1,1860.1,113.4,135.6,185.0,111.2,163.1,111.3,179.0,96.0,220.3,246.7,501.4,207.0,218.1,191.1,136.3,312.4,140.7,403.5,443.4,179.5,181.1,19.3,121.7,373.5,152.0,198.7,200.5,249.8,113.8,451.4,203.1,248.2,306.8,248.6,145.5,287.5,197.6,129.7,225.5,205.4,269.5,350.2,170.7,229.1,286.6,311.4,218.8,232.8,17.2,267.6,155.4,146.9,345.4,155.7,548.2,311.0,122.5,163.9,262.1,139.9,106.5,144.3,170.4,288.5,270.8,148.2,51.3,364.3,280.0,196.6,162.6,362.0,251.5,451.8,250.3,141.3,356.1,167.3,0.0,60.9,139.4,198.1,181.6,110.3,277.7,266.6
XV,148.2,1858.0,194.4,163.5,254.0,192.2,227.6,192.3,184.6,40.9,297.8,312.0,505.4,243.3,162.9,162.8,129.9,289.7,183.2,371.9,447.4,222.0,170.8,99.8,79.4,377.5,199.9,278.8,133.7,187.8,50.0,455.4,246.2,216.4,358.0,302.5,103.2,291.2,278.6,74.8,288.9,177.1,241.2,326.5,213.2,173.9,275.9,283.1,125.3,313.8,98.2,306.3,236.4,131.0,329.3,183.6,513.7,282.7,10.4,244.9,285.1,220.9,66.4,114.8,160.1,298.5,336.1,148.2,132.3,341.0,292.0,158.0,120.3,338.7,278.9,381.7,222.4,183.8,334.9,248.3,80.9,0.0,78.4,156.5,262.6,147.6,322.9,320.0
XW,88.0,1806.8,114.3,208.8,185.9,112.1,163.2,112.2,150.3,34.3,182.6,247.6,452.9,209.0,128.6,128.5,95.6,255.4,103.1,346.9,394.9,141.9,136.5,53.5,154.7,343.2,152.9,200.7,99.4,153.5,25.2,421.1,201.9,182.1,307.7,214.4,68.9,256.9,198.5,150.1,210.8,142.8,206.9,292.2,133.1,139.6,241.6,248.8,200.6,198.6,55.2,272.0,129.6,96.7,295.0,228.9,461.2,248.4,64.8,164.8,250.8,114.1,141.7,80.5,115.6,264.2,271.7,110.6,52.2,306.7,257.7,123.7,195.6,304.4,244.6,356.7,188.1,103.7,300.6,168.2,73.1,75.2,0.0,122.2,155.8,111.2,278.6,275.7
YC,94.2,1844.1,57.4,285.7,129.0,55.2,102.6,55.3,59.6,160.5,192.2,187.0,387.1,109.3,19.9,37.8,65.9,164.7,95.2,246.9,329.1,134.0,45.8,129.9,160.8,259.2,74.9,139.0,33.6,58.0,142.7,337.1,121.2,91.4,233.0,177.5,65.5,166.8,141.6,165.1,165.8,52.1,116.2,201.5,76.2,30.9,150.9,158.1,206.7,195.5,132.1,181.3,148.4,115.5,203.1,305.8,395.4,157.7,221.4,107.9,160.1,132.9,145.6,53.1,79.6,173.5,211.1,82.7,94.2,216.0,167.0,1.3,201.7,219.7,153.8,256.7,97.4,41.7,213.8,139.8,150.0,211.0,120.3,0.0,154.0,83.3,197.9,195.0
YJ,129.2,1914.8,121.4,320.7,130.9,119.2,64.1,119.3,106.9,185.8,66.3,125.8,447.3,134.9,187.6,143.2,126.3,258.9,61.4,293.3,389.3,82.2,160.8,164.9,263.1,319.4,131.7,38.9,152.0,166.5,173.8,397.3,146.9,179.1,157.2,94.6,176.9,164.2,143.5,258.5,54.9,160.6,203.9,296.1,104.5,198.6,232.5,245.8,309.0,78.8,167.1,182.8,22.3,150.5,245.9,340.8,455.6,245.4,256.4,109.8,185.7,35.5,247.9,155.4,160.4,234.4,149.9,99.7,128.1,260.7,195.2,166.1,304.0,262.5,179.5,303.1,184.7,110.8,256.6,98.6,185.0,246.0,151.4,167.6,0.0,100.3,140.6,129.5
YM,53.3,1846.0,65.5,244.8,137.1,63.3,114.4,63.4,102.5,143.9,150.9,189.4,436.4,161.2,80.8,80.7,25.9,207.6,36.3,289.8,378.4,75.1,88.7,89.5,162.7,295.4,104.1,160.6,51.6,105.7,134.8,373.3,153.1,134.3,258.9,182.7,67.4,209.1,149.7,158.1,170.7,95.0,159.1,244.4,84.3,91.8,193.8,201.0,208.6,166.9,91.2,224.2,89.5,74.6,247.2,264.9,444.7,200.6,180.5,116.0,203.0,74.0,149.7,55.0,60.0,216.4,213.5,0.5,53.3,258.9,209.9,75.9,203.6,256.6,196.8,299.6,140.3,54.9,252.8,101.4,109.1,170.1,109.5,74.4,115.7,0.0,229.8,226.9
YT,225.6,1978.5,162.5,417.1,105.8,164.7,127.4,164.6,164.0,316.2,127.1,73.6,326.6,137.7,206.4,168.9,240.7,133.3,202.1,223.8,268.6,173.5,199.9,261.8,329.3,198.7,170.8,103.1,202.1,197.0,307.1,276.6,81.1,129.8,16.5,91.0,234.0,126.0,92.6,324.7,93.5,186.3,154.6,170.5,143.6,217.4,106.9,134.9,375.2,109.0,263.5,144.6,166.7,246.9,172.9,437.2,334.9,183.8,352.8,119.6,114.2,179.9,316.3,221.6,244.6,108.8,97.7,214.1,225.6,184.6,157.0,212.6,370.2,182.3,108.0,233.6,105.9,173.1,178.5,143.9,281.4,342.4,281.8,214.3,144.3,214.7,0.0,3.6
ZE,217.9,1970.8,154.8,409.4,98.1,157.0,119.7,156.9,156.3,308.5,119.4,65.9,332.7,130.0,192.5,161.2,233.0,139.4,194.4,229.9,274.7,165.8,192.2,257.7,321.6,204.8,163.1,95.4,194.4,178.3,299.4,282.7,69.9,122.1,22.6,83.3,226.3,112.1,84.9,323.4,85.8,178.6,146.9,176.6,129.7,209.7,113.0,141.0,361.3,101.3,255.8,136.9,159.0,233.0,168.6,429.5,337.8,176.1,345.1,111.9,106.5,172.2,300.2,213.9,236.9,114.9,90.0,200.2,217.9,190.7,153.4,199.6,362.5,188.4,100.3,236.5,98.2,169.5,184.6,136.2,273.7,334.7,274.1,201.1,130.4,207.0,6.1,0.0
