from_stop,AA,AD,AG,AK,AO,AW,AX,BT,CH,CS,CT,CU,DP,DQ,DR,DS,DV,EB,EJ,EL,FB,FH,FL,FQ,FY,GC,GG,GH,GY,HI,HL,HT,IA,IE,IJ,IN,IR,IU,KH,KY,LH,LI,MB,MF,MJ,MO,MV,NJ,NK,NL,NQ,NV,OB,OC,OI,OY,PA,PO,PW,QC,QO,RE,RF,RG,RO,RQ,RR,RS,SL,TT,TU,TX,UE,UF,UK,UR,UX,XD,XG,XJ,XR,XS,XV,YF,YG,YH,YI,YK,YM,YN,YO,YV,YX,ZE,ZG
TT,561.9,112.5,470.9,484.0,472.2,425.7,327.5,317.3,660.8,168.3,69.1,136.9,2149.6,189.7,488.6,336.3,539.5,459.1,358.1,400.4,39.7,511.7,469.7,62.8,252.3,180.4,770.5,128.2,170.1,358.9,174.8,323.3,158.4,475.3,395.5,469.9,410.2,521.6,525.5,715.5,389.3,270.2,722.8,466.9,384.1,464.9,377.0,298.9,466.4,230.1,293.2,680.3,95.3,329.2,399.5,572.1,154.4,624.1,356.0,386.5,325.7,315.8,418.2,427.8,233.1,148.6,232.3,746.5,412.4,0.0,495.2,22.4,425.7,281.1,278.9,338.0,413.5,728.6,751.2,499.4,237.8,264.6,650.9,388.8,339.1,250.0,442.2,365.1,686.5,514.2,434.5,223.5,441.6,516.0,185.7
TU,639.4,348.8,548.4,70.7,159.7,340.3,391.7,381.5,575.4,293.0,392.2,324.4,2122.5,372.4,201.8,250.9,38.2,231.6,422.3,172.9,515.8,10.5,384.3,538.9,435.0,300.3,685.1,374.8,354.2,423.1,340.4,237.9,341.1,389.9,480.7,734.5,105.4,201.3,182.9,630.1,97.7,452.9,637.4,381.5,448.3,122.3,291.6,563.5,28.8,417.2,278.0,594.9,380.6,447.2,463.7,649.6,385.0,538.7,318.1,553.0,281.3,230.4,75.5,200.3,318.3,312.7,415.0,661.1,328.6,476.0,0.0,498.5,129.3,366.3,186.8,252.6,477.7,643.2,665.8,457.2,443.3,447.3,565.5,447.5,143.0,432.7,214.7,279.7,601.1,171.5,349.1,406.2,190.3,528.7,432.3
TX,584.4,135.0,493.4,506.5,494.7,448.2,350.0,339.8,683.3,190.8,91.6,159.4,2172.1,212.2,511.1,358.8,562.0,481.6,380.6,422.9,17.2,534.2,492.2,40.3,274.8,202.9,793.0,150.7,194.0,381.4,197.3,345.8,180.9,497.8,418.0,492.4,432.7,544.1,548.0,738.0,407.2,292.7,745.3,489.4,406.6,487.4,399.5,321.4,488.9,252.6,315.7,702.8,117.8,351.7,422.0,594.6,176.9,646.6,378.5,409.0,348.2,338.3,440.7,450.3,255.6,171.1,254.8,769.0,436.5,22.4,517.7,0.0,448.2,303.6,301.4,360.5,436.0,751.1,773.7,521.9,260.3,287.1,673.4,405.8,361.6,272.5,464.7,387.6,709.0,536.7,457.0,246.0,464.1,538.5,208.2
UE,562.6,272.0,471.6,83.4,88.9,346.7,314.9,304.7,498.6,216.2,315.4,247.6,2045.7,295.6,153.6,174.1,162.6,124.1,345.5,65.4,439.0,134.8,307.5,462.1,397.9,223.5,608.3,298.0,276.0,346.3,263.6,161.1,264.3,313.1,403.9,657.7,9.6,159.4,124.9,553.3,67.3,376.1,560.6,304.7,371.5,64.3,214.8,486.7,139.0,340.4,201.2,518.1,303.8,370.4,386.9,572.8,308.2,461.9,241.3,473.4,204.5,153.6,96.2,92.8,241.5,235.9,338.2,584.3,250.2,399.2,110.2,421.7,0.0,289.5,110.0,175.8,400.9,566.4,589.0,380.4,366.5,370.5,488.7,376.2,66.2,355.9,107.2,202.9,524.3,192.2,272.3,329.4,106.6,451.9,355.5
UF,441.8,178.5,350.8,378.9,367.1,320.6,396.0,385.8,555.7,122.7,221.9,154.1,2074.8,262.2,383.5,231.2,434.4,354.0,426.6,295.3,350.9,406.6,364.6,374.0,324.8,190.1,665.4,284.7,242.6,427.4,230.2,214.4,230.9,370.2,275.4,626.4,305.1,416.5,420.4,610.4,284.2,342.7,617.7,361.8,452.6,359.8,271.9,455.4,361.3,211.9,188.1,575.2,251.8,401.7,468.0,452.0,214.7,519.0,250.9,459.0,220.6,210.7,313.1,322.7,71.4,142.4,304.8,641.4,307.3,311.1,390.1,333.6,320.6,0.0,173.8,232.9,482.0,623.5,646.1,379.3,238.0,337.1,545.8,451.8,234.0,322.5,337.1,260.0,581.4,409.1,329.4,296.0,336.5,395.9,342.2
UK,445.8,161.9,354.8,205.0,193.2,146.7,319.3,309.1,381.8,106.1,205.3,137.5,1935.6,185.5,209.6,57.3,260.5,180.1,349.9,121.4,328.9,232.7,190.7,352.0,248.1,113.4,491.5,187.9,165.9,350.7,153.5,40.5,154.2,196.3,293.8,547.6,131.2,242.6,246.5,436.5,110.3,266.0,443.8,187.9,375.9,185.9,98.0,376.6,187.4,230.3,91.1,401.3,193.7,325.0,391.3,456.0,198.1,345.1,124.5,385.1,87.7,36.8,139.2,148.8,131.4,125.8,228.1,467.5,133.4,289.1,216.2,311.6,146.7,179.4,0.0,59.0,405.3,449.6,472.2,263.6,256.4,260.4,371.9,380.6,60.1,245.8,163.2,86.1,407.5,235.2,155.5,219.3,162.6,335.1,245.4
UR,452.3,232.1,361.3,249.9,238.1,153.2,389.5,379.3,388.3,176.3,275.5,207.7,2005.8,255.7,254.5,59.8,305.4,225.0,420.1,166.3,399.1,277.6,197.2,422.2,318.3,183.6,498.0,258.1,237.5,420.9,223.7,97.8,224.4,202.8,364.0,590.9,176.1,287.5,291.4,443.0,150.6,336.2,450.3,194.4,446.1,230.8,38.9,446.8,232.3,300.5,128.2,407.8,263.9,395.2,461.5,462.5,268.3,351.6,65.4,452.5,187.0,20.8,184.1,193.7,201.6,196.0,298.3,474.0,141.5,359.3,261.1,381.8,191.6,249.6,70.1,0.0,475.5,456.1,478.7,270.1,326.6,330.6,378.4,445.3,105.0,316.0,208.1,88.6,414.0,280.1,162.0,289.5,207.5,341.6,315.6
UX,740.9,369.6,649.9,602.9,591.1,544.6,101.3,111.5,779.7,386.8,326.2,394.0,2174.8,208.4,607.5,455.2,658.4,578.0,78.8,519.3,431.5,630.6,588.6,454.6,225.8,298.8,889.4,290.5,227.0,59.9,293.2,442.2,240.2,594.2,574.5,650.2,529.1,640.5,644.4,834.4,503.6,162.7,841.7,585.8,29.3,583.8,495.9,479.2,585.3,487.2,412.1,799.2,296.3,103.7,19.3,751.1,411.5,743.0,474.9,209.5,444.6,434.7,537.1,546.7,412.1,405.7,200.6,865.4,532.9,391.7,614.1,414.2,544.6,460.1,397.8,456.9,0.0,847.5,870.1,661.5,494.9,168.3,769.8,35.5,458.0,182.9,561.1,484.0,805.4,633.1,553.4,209.4,560.5,695.0,348.0
XD,559.2,593.3,446.3,611.1,599.3,388.5,727.4,717.2,202.8,537.5,636.7,568.9,2306.1,616.9,615.7,445.0,666.6,586.2,758.0,527.5,760.3,638.8,399.1,783.4,679.5,544.8,312.5,619.3,598.7,758.8,584.9,459.0,585.6,306.1,725.2,405.4,537.3,648.7,652.6,257.5,511.8,697.4,260.8,301.3,784.0,592.0,485.7,597.3,593.5,661.7,522.5,40.9,625.1,782.9,799.4,569.4,629.5,162.1,512.2,816.5,502.4,424.5,545.3,554.9,562.8,557.2,659.5,288.5,376.8,720.5,622.3,743.0,552.8,610.8,431.3,446.7,813.4,0.0,22.5,377.0,687.8,691.8,188.9,783.2,466.2,677.2,569.3,473.8,224.5,641.3,308.8,650.7,568.7,448.5,676.8
XG,578.3,612.4,465.4,630.2,618.4,407.6,746.5,736.3,221.9,556.6,655.8,588.0,2325.2,636.0,634.8,464.1,685.7,605.3,777.1,546.6,779.4,657.9,418.2,802.5,698.6,563.9,331.6,638.4,617.8,777.9,604.0,478.1,604.7,325.2,744.3,424.5,556.4,667.8,671.7,276.6,530.9,716.5,279.9,320.4,803.1,611.1,504.8,616.4,612.6,680.8,541.6,59.9,644.2,802.0,818.5,588.5,648.6,181.2,531.3,832.8,521.5,443.6,564.4,574.0,581.9,576.3,678.6,307.6,395.9,739.6,641.4,762.1,571.9,629.9,450.4,465.8,832.5,19.0,0.0,396.1,706.9,710.9,208.0,802.3,485.3,696.3,588.4,492.9,243.6,660.4,327.9,669.8,587.8,467.6,695.9
XJ,182.1,374.3,91.1,487.2,475.4,197.7,591.8,581.6,336.0,318.5,417.7,349.9,2182.2,458.0,491.8,427.0,542.7,462.3,622.4,403.6,546.7,514.9,208.3,569.8,520.6,385.9,445.7,480.5,439.8,623.2,426.0,414.0,426.7,115.3,83.2,386.1,413.4,524.8,528.7,390.7,387.9,538.5,106.1,75.6,648.4,468.1,467.7,578.0,469.6,311.9,383.9,361.5,447.6,597.5,663.8,192.3,369.2,275.9,446.7,657.6,416.4,406.5,421.4,431.0,266.0,338.2,500.6,421.7,186.0,506.9,498.4,529.4,428.9,327.5,369.6,428.7,677.8,409.8,432.4,0.0,338.0,532.9,178.0,647.6,342.3,518.3,445.4,455.8,142.4,517.4,118.0,491.8,444.8,71.4,538.0
XR,434.1,136.9,343.1,482.7,470.9,424.4,442.4,432.2,659.5,167.0,180.3,135.6,2178.6,304.6,487.3,335.0,538.2,457.8,473.0,399.1,309.3,510.4,468.4,332.4,367.2,293.9,769.2,243.1,286.4,473.8,289.7,322.0,273.3,474.0,267.7,584.8,408.9,520.3,524.2,714.2,383.4,385.1,721.5,447.3,499.0,463.6,375.7,413.8,465.1,26.1,291.9,679.0,210.2,444.1,514.4,444.3,85.0,622.8,354.7,504.2,324.4,314.5,416.9,426.5,183.7,147.3,347.2,745.2,412.7,269.5,493.9,292.0,424.4,245.2,277.6,336.7,528.4,727.3,749.9,371.6,0.0,379.5,649.6,498.2,337.8,364.9,440.9,363.8,685.2,512.9,433.2,338.4,440.3,388.2,300.6
XS,597.3,226.0,506.3,459.3,447.5,401.0,130.0,140.2,636.1,243.2,182.6,250.4,2093.6,93.3,463.9,311.6,514.8,434.4,99.4,375.7,287.9,487.0,445.0,311.0,155.9,155.2,745.8,146.9,83.4,118.3,149.6,298.6,96.6,450.6,430.9,506.6,385.5,496.9,500.8,690.8,360.0,5.6,698.1,442.2,207.7,440.2,352.3,335.6,441.7,343.6,268.5,655.6,152.7,64.5,158.9,607.5,267.9,599.4,331.3,121.8,301.0,291.1,393.5,403.1,268.5,262.1,32.3,721.8,389.3,248.1,470.5,270.6,401.0,316.5,254.2,313.3,178.3,703.9,726.5,517.9,351.3,0.0,626.2,142.7,314.4,14.6,417.5,340.4,661.8,489.5,409.8,41.0,416.9,551.4,204.4
XV,376.2,548.4,285.2,566.2,554.4,282.7,682.5,672.3,157.9,492.6,591.8,524.0,2261.2,572.0,570.8,400.1,621.7,541.3,713.1,482.6,715.4,593.9,210.1,738.5,674.3,493.9,267.6,574.4,547.8,713.9,540.0,410.3,540.7,117.1,680.3,360.5,492.4,603.8,607.7,212.6,465.5,652.5,71.8,112.3,739.1,547.1,440.8,552.4,548.6,616.8,477.6,183.4,580.2,738.0,754.5,386.4,584.6,97.8,467.3,768.8,457.5,379.6,494.4,510.0,517.9,512.3,614.6,243.6,186.2,675.6,577.4,698.1,507.9,559.9,386.4,401.8,768.5,231.7,254.3,188.0,642.9,646.9,0.0,743.8,421.3,632.3,524.4,438.4,35.5,596.4,117.2,605.8,523.8,259.5,631.9
YF,720.7,349.4,635.2,582.7,570.9,607.6,65.7,81.4,759.5,372.1,306.0,379.3,2154.6,188.2,587.3,435.0,643.7,557.8,43.2,499.1,416.8,610.4,568.4,434.4,245.3,278.6,869.2,270.3,206.8,24.4,273.0,418.2,220.0,574.0,554.3,630.0,508.9,620.3,624.2,814.2,488.0,127.1,821.5,565.6,64.9,563.6,475.7,464.5,565.1,467.0,391.9,779.0,276.1,68.1,16.1,736.4,391.3,722.8,454.7,176.6,424.4,414.5,516.9,526.5,397.4,385.5,165.0,845.2,511.1,377.0,593.9,394.0,529.9,439.9,377.6,436.7,35.5,827.3,849.9,641.3,474.7,132.7,743.6,0.0,437.8,152.8,540.9,473.3,785.2,618.4,535.8,173.8,545.8,674.8,327.8
YG,496.3,205.7,405.3,144.8,133.0,197.2,248.6,238.4,432.3,149.9,249.1,181.3,1979.4,229.3,149.4,107.8,200.3,119.9,279.2,61.2,372.7,172.5,241.2,395.8,291.9,157.2,542.0,231.7,211.1,280.0,197.3,94.8,198.0,246.8,337.6,591.4,71.0,182.4,186.3,487.0,45.5,309.8,494.3,238.4,305.2,125.7,148.5,420.4,127.2,274.1,134.9,451.8,237.5,304.1,320.6,506.5,241.9,395.6,175.0,409.9,138.2,87.3,79.0,88.6,175.2,169.6,271.9,518.0,185.5,332.9,156.0,355.4,86.5,223.2,43.7,109.5,334.6,500.1,522.7,314.1,300.2,304.2,422.4,304.4,0.0,289.6,103.0,136.6,458.0,175.0,206.0,263.1,102.4,385.6,289.2
YH,582.7,211.4,491.7,444.7,432.9,386.4,144.6,154.8,621.5,228.6,168.0,235.8,2079.0,78.7,449.3,297.0,500.2,419.8,114.0,361.1,273.3,472.4,430.4,296.4,141.3,140.6,731.2,132.3,68.8,132.9,135.0,280.2,82.0,436.0,416.3,492.0,370.9,482.3,486.2,676.2,350.0,20.2,683.5,427.6,222.3,425.6,337.7,321.0,427.1,329.0,253.9,641.0,138.1,79.1,173.5,592.9,253.3,584.8,316.7,136.4,286.4,276.5,378.9,388.5,253.9,247.5,17.6,707.2,373.1,233.5,455.9,256.0,386.4,301.9,239.6,298.7,192.9,689.3,711.9,503.3,336.7,14.6,611.6,162.8,299.8,0.0,402.9,325.8,647.2,474.9,395.2,26.4,402.3,536.8,189.8
YI,606.2,315.6,515.2,202.0,123.0,307.1,358.5,348.3,542.2,259.8,359.0,291.2,2089.3,339.2,67.6,217.7,240.2,16.8,389.1,51.7,482.6,263.1,351.1,505.7,401.8,267.1,651.9,341.6,321.0,389.9,307.2,204.7,307.9,356.7,447.5,701.3,137.9,83.8,204.0,596.9,144.0,419.7,604.2,348.3,415.1,169.5,258.4,530.3,267.3,384.0,244.8,561.7,347.4,414.0,430.5,616.4,351.8,505.5,284.9,517.0,248.1,197.2,177.5,78.6,285.1,279.5,381.8,627.9,295.4,442.8,238.5,465.3,128.2,333.1,153.6,219.4,444.5,610.0,632.6,424.0,410.1,414.1,532.3,414.3,109.8,399.5,0.0,246.5,567.9,273.5,315.9,373.0,92.4,495.5,399.1
YK,481.1,260.9,390.1,278.7,266.9,265.2,418.3,408.1,417.1,205.1,304.3,236.5,2034.6,284.5,283.3,28.8,334.2,253.8,448.9,195.1,427.9,306.4,226.0,451.0,386.8,212.4,526.8,286.9,264.9,449.7,252.5,122.8,253.2,231.6,392.8,619.7,204.9,316.3,320.2,471.8,184.0,365.0,479.1,223.2,474.9,259.6,139.3,475.6,261.1,329.3,228.6,436.6,292.7,424.0,490.3,491.3,297.1,380.4,165.8,481.3,170.0,78.1,212.9,222.5,230.4,224.8,327.1,502.8,168.7,388.1,289.9,410.6,220.4,287.9,98.9,100.3,504.3,484.9,507.5,298.9,355.4,359.4,401.2,479.6,133.8,344.8,236.9,0.0,442.8,308.9,193.4,318.3,236.3,370.4,344.4
YM,334.6,584.0,243.6,601.8,590.0,163.9,718.1,707.9,193.5,528.2,627.4,559.6,2296.8,607.6,606.4,435.7,657.3,576.9,748.7,518.2,751.0,629.5,174.5,774.1,670.2,535.5,303.2,610.0,589.4,749.5,575.6,449.7,576.3,81.5,715.9,396.1,528.0,639.4,643.3,248.2,502.5,688.1,36.2,76.7,774.7,582.7,476.4,588.0,584.2,652.4,513.2,219.0,615.8,773.6,790.1,344.8,620.2,133.4,502.9,804.4,493.1,415.2,536.0,545.6,553.5,547.9,650.2,279.2,152.2,711.2,613.0,733.7,543.5,601.5,422.0,437.4,804.1,267.3,289.9,152.4,678.5,682.5,35.5,773.9,456.9,667.9,560.0,464.5,0.0,632.0,84.2,641.4,559.4,223.9,667.5
YN,672.5,381.9,581.5,236.4,257.4,456.6,424.8,414.6,608.5,326.1,425.3,357.5,2155.6,405.5,294.2,284.0,209.9,264.7,455.4,206.0,548.9,182.1,417.4,572.0,507.8,333.4,718.2,407.9,385.9,456.2,373.5,267.2,374.2,423.0,513.8,767.6,178.1,327.2,293.4,663.2,125.9,486.0,670.5,414.6,481.4,232.8,324.7,596.6,136.8,450.3,311.1,628.0,413.7,480.3,496.8,682.7,418.1,571.8,351.2,586.1,314.4,263.5,95.0,233.4,351.4,345.8,448.1,694.2,360.1,509.1,165.6,531.6,193.6,399.4,219.9,285.7,510.8,676.3,698.9,490.3,476.4,480.4,592.6,480.6,176.1,465.8,247.8,312.8,634.2,0.0,384.8,439.3,247.2,561.8,465.4
YO,290.2,482.4,196.6,369.1,357.3,162.8,530.0,522.4,287.8,424.0,525.8,458.0,2064.1,374.9,373.7,203.0,424.6,344.2,560.6,285.5,652.2,396.8,90.2,541.4,477.2,302.8,397.5,377.3,355.3,561.4,342.9,213.2,343.6,40.7,188.7,490.4,295.3,406.7,410.6,342.5,274.4,455.4,57.9,32.3,586.6,350.0,243.7,682.3,351.5,420.0,280.5,313.3,383.1,514.4,602.0,297.8,477.3,227.7,270.2,574.3,260.4,182.5,305.9,312.9,371.5,443.7,417.5,373.5,66.3,612.4,380.3,501.0,313.4,433.0,189.3,204.7,616.0,361.6,384.2,108.0,446.1,449.8,135.8,591.3,224.2,435.2,327.3,241.3,94.2,401.9,0.0,408.7,329.3,179.5,434.8
YV,556.2,184.9,465.2,418.2,406.4,359.9,171.1,181.3,595.0,202.1,141.5,209.3,2052.5,52.2,422.8,270.5,473.7,393.3,140.5,334.6,246.8,445.9,403.9,269.9,114.8,114.1,704.7,105.8,42.3,159.4,108.5,257.5,55.5,409.5,389.8,465.5,344.4,455.8,459.7,649.7,318.9,46.7,657.0,401.1,248.8,399.1,311.2,294.5,400.6,302.5,227.4,614.5,111.6,105.6,200.0,566.4,226.8,558.3,290.2,162.9,259.9,250.0,352.4,362.0,227.4,221.0,8.7,680.7,348.2,207.0,429.4,229.5,359.9,275.4,213.1,272.2,219.4,662.8,685.4,476.8,310.2,41.0,585.1,183.8,273.3,26.4,376.4,299.3,620.7,448.4,368.7,0.0,375.8,510.3,163.3
YX,605.6,315.0,514.6,109.5,30.5,306.5,357.9,347.7,541.6,259.2,358.4,290.6,2088.7,338.6,118.8,217.1,191.2,89.3,388.5,51.1,482.0,204.9,350.5,505.1,440.9,266.5,651.3,341.0,320.4,389.3,306.6,200.3,307.3,356.1,446.9,700.7,98.8,151.8,151.0,596.3,148.0,419.1,603.6,347.7,414.5,90.4,257.8,529.7,209.1,383.4,244.2,561.1,346.8,413.4,429.9,615.8,351.2,504.9,284.3,516.4,247.5,196.6,176.9,13.8,284.5,278.9,381.2,627.3,293.2,442.2,180.3,464.7,108.6,332.5,153.0,218.8,443.9,609.4,632.0,423.4,409.5,413.5,531.7,419.2,109.2,398.9,72.4,245.9,567.3,272.9,315.3,372.4,0.0,494.9,398.5
ZE,214.3,406.5,123.3,606.9,595.1,264.8,624.0,613.8,403.1,350.7,449.9,382.1,2302.8,490.2,611.5,459.2,662.4,582.0,654.6,523.3,578.9,634.6,275.4,602.0,552.8,418.1,512.8,512.7,472.0,655.4,458.2,446.2,458.9,182.4,115.4,418.3,533.1,644.5,648.4,457.8,507.6,570.7,173.2,142.7,680.6,587.8,499.9,610.2,589.3,344.1,416.1,428.6,479.8,629.7,696.0,224.5,401.4,343.0,478.9,689.8,448.6,438.7,541.1,550.7,298.2,370.4,532.8,488.8,253.1,539.1,618.1,561.6,548.6,359.7,401.8,460.9,710.0,476.9,499.5,67.0,370.2,565.1,245.1,679.8,462.0,550.5,565.1,488.0,209.5,637.1,185.1,524.0,564.5,0.0,570.2
ZG,602.1,166.9,511.1,464.1,452.3,405.8,307.1,296.9,640.9,222.7,123.5,191.3,2129.2,169.3,468.7,316.4,519.6,439.2,337.7,380.5,228.8,491.8,449.8,251.9,231.9,160.0,750.6,70.7,151.1,338.5,154.4,303.4,138.0,455.4,435.7,467.5,390.3,501.7,505.6,695.6,364.8,249.8,702.9,447.0,363.7,445.0,357.1,296.5,446.5,284.5,273.3,660.4,93.6,308.8,379.1,612.3,208.8,604.2,336.1,368.9,305.8,295.9,398.3,407.9,273.3,203.0,211.9,726.6,394.1,189.0,475.3,211.5,405.8,321.3,259.0,318.1,393.1,708.7,731.3,522.7,292.2,244.2,631.0,362.9,319.2,229.6,422.3,345.2,666.6,494.3,414.6,203.1,421.7,556.2,0.0
