from_stop,AN,BB,BR,BY,CA,CB,CF,CJ,CM,DB,DG,DL,DP,DZ,EB,EV,EX,FO,FP,FY,GH,GU,GX,HF,HM,HN,HY,HZ,IH,IN,IS,JA,JE,JG,JI,JM,JN,JX,KG,KI,KJ,KW,LA,LG,LH,LK,MB,MN,MR,NR,NV,OC,OM,ON,OY,PB,PG,PI,PO,PQ,QI,QP,QR,RA,RC,RK,RM,RS,RU,RV,RW,TB,TD,TH,TN,TY,UA,UQ,VA,VH,VK,VM,VO,VW,VZ,WD,WS,WV,XA,YK,YP,YR,YX,ZC,ZG,ZT,ZW
RU,29.7,259.5,112.4,206.8,169.7,273.3,33.8,162.1,52.8,187.4,235.4,139.1,187.4,211.9,211.3,238.6,231.3,234.4,5.0,15.4,75.9,235.5,4.4,261.8,44.7,225.5,82.4,9.2,269.2,302.7,162.1,5.1,193.6,43.4,241.9,182.7,2578.4,248.0,233.6,198.9,218.9,76.6,252.9,5.1,308.7,236.1,288.6,187.2,215.5,288.7,133.5,249.3,187.1,148.4,283.4,209.5,246.2,313.7,224.2,238.9,34.2,263.7,150.5,175.5,56.7,162.1,24.8,33.4,0.0,36.9,181.6,260.2,3.7,182.6,48.4,254.5,233.5,28.6,152.2,196.8,102.8,286.0,214.3,163.6,24.6,242.4,45.2,299.2,181.9,236.5,201.3,249.1,289.4,286.2,165.8,271.6,52.8
RV,7.1,229.2,163.2,196.7,151.5,263.2,78.4,125.1,15.8,177.3,192.9,129.0,150.4,201.8,201.2,238.1,221.2,224.3,39.8,26.0,38.9,225.4,49.0,251.7,7.7,188.3,45.4,53.8,238.9,292.6,125.1,39.7,176.6,88.0,204.9,145.7,2593.3,241.3,223.5,156.0,208.8,39.6,242.8,39.7,271.7,226.0,251.6,150.2,166.4,277.5,178.1,209.0,177.0,111.4,273.3,159.4,209.2,276.7,216.9,228.8,2.6,253.6,195.5,165.4,101.3,152.0,12.0,3.4,44.5,0.0,144.6,259.7,41.0,145.6,11.4,244.4,196.5,8.2,198.5,186.7,152.1,285.5,204.2,208.2,73.6,232.3,8.2,289.1,144.9,199.5,193.4,239.0,293.0,249.2,128.8,261.5,15.8
RW,227.5,121.9,328.6,187.1,229.5,202.3,298.8,62.5,205.1,134.4,50.0,96.0,58.4,89.9,140.3,219.9,160.3,163.4,260.2,226.7,145.7,224.7,269.4,206.8,212.8,89.0,164.1,274.2,137.2,250.9,62.5,260.1,58.4,308.4,23.6,96.8,2578.7,180.4,128.8,46.0,98.5,171.0,181.9,260.1,89.9,203.6,71.1,40.2,73.5,231.6,335.8,107.7,116.1,80.1,229.6,202.6,64.5,94.9,149.8,182.9,223.0,210.7,334.4,166.3,308.5,124.0,232.4,223.8,264.9,220.3,0.0,207.8,261.4,96.9,209.3,183.5,97.0,228.6,297.2,188.0,337.3,214.0,157.0,381.8,290.7,201.1,212.3,239.7,97.7,54.8,194.7,190.4,232.3,112.8,18.3,218.6,205.1
TB,274.4,186.6,366.6,86.8,157.3,64.2,345.7,192.5,252.0,117.5,176.5,139.4,168.4,149.8,67.9,21.5,79.2,97.9,307.1,262.9,239.5,34.7,316.3,104.7,259.7,161.7,211.0,321.1,196.3,51.8,192.5,307.0,134.5,355.3,169.1,186.6,2675.8,75.9,160.7,146.7,131.0,217.9,63.8,307.0,210.2,58.9,199.4,152.5,163.3,96.8,379.2,185.5,92.1,208.7,91.5,128.5,192.8,215.2,90.5,117.4,269.9,68.9,378.2,95.6,362.3,127.9,272.3,270.7,311.8,267.2,204.4,0.0,308.3,186.7,256.2,82.4,169.7,275.5,340.6,115.8,376.3,25.7,111.5,391.3,336.5,139.3,259.2,107.3,186.3,183.1,120.3,89.3,33.2,215.1,222.8,61.0,252.0
TD,25.9,255.7,115.9,203.0,165.9,269.5,37.4,158.3,49.0,183.6,227.9,135.3,183.6,208.1,207.5,234.8,227.5,230.6,1.2,11.6,72.5,222.6,8.0,259.0,40.9,221.7,78.6,12.7,271.0,298.9,158.3,1.3,189.8,46.9,238.1,178.9,2574.6,247.6,229.8,195.1,215.1,72.8,249.1,1.3,304.9,232.3,284.8,183.4,211.7,283.8,137.0,240.4,183.3,144.6,279.6,207.6,242.4,309.9,217.0,235.1,30.4,259.9,153.6,171.7,53.9,158.3,21.0,29.6,3.5,33.1,177.8,246.9,0.0,178.8,44.6,250.7,229.7,24.8,148.4,193.0,105.8,271.4,210.5,201.0,29.3,238.6,41.4,295.4,178.1,232.7,199.7,245.3,285.6,282.4,162.0,267.8,49.0
TH,99.3,138.5,249.2,170.9,213.3,186.1,170.6,70.8,76.9,131.1,129.6,75.9,78.5,51.8,124.1,203.7,144.1,147.2,132.0,118.2,57.9,208.5,141.2,190.6,84.6,113.0,90.5,146.0,153.8,234.7,70.8,131.9,33.5,180.2,79.2,0.0,2595.7,164.2,94.6,56.8,64.3,84.7,165.7,131.9,162.1,187.4,150.7,62.6,20.7,217.6,270.3,131.7,99.9,57.1,213.4,186.4,144.1,167.1,133.6,166.7,94.8,194.5,314.3,150.1,187.2,107.8,104.2,95.6,136.7,92.1,90.3,191.6,133.2,0.0,81.1,167.3,121.0,100.4,277.1,171.8,239.1,197.8,140.8,361.7,162.5,166.9,84.1,227.1,0.8,134.4,178.5,174.2,216.1,167.0,74.5,202.4,76.9
TN,18.1,217.7,168.0,185.2,140.0,251.7,89.4,113.6,4.4,165.8,183.2,117.5,138.9,190.3,189.7,226.6,209.7,212.8,50.8,37.0,27.8,204.8,60.0,241.2,3.5,177.0,33.9,64.8,233.0,281.1,113.6,50.7,172.0,99.0,193.4,134.2,2604.3,229.8,212.0,144.5,197.3,28.1,231.3,50.7,260.2,214.5,240.1,138.7,154.9,266.0,189.1,195.7,165.5,99.9,261.8,145.7,197.7,265.2,199.2,217.3,13.6,242.1,205.7,153.9,106.0,140.5,23.0,14.4,55.5,10.9,133.1,238.7,52.0,134.1,0.0,232.9,185.0,19.2,209.5,175.2,157.9,263.2,192.7,253.1,81.3,220.8,3.0,277.6,133.4,188.0,181.9,227.5,281.5,237.7,117.3,250.0,4.4
TY,244.2,119.9,345.3,53.2,127.6,53.6,315.5,176.9,221.8,82.7,143.5,112.7,151.9,115.0,33.1,104.0,26.4,63.1,276.9,243.4,209.3,90.8,286.1,23.2,229.5,126.9,180.8,290.9,135.2,81.1,176.9,276.8,125.8,325.1,153.5,171.0,2612.7,3.0,94.0,131.1,96.2,187.7,66.0,276.8,143.5,87.7,143.4,136.9,147.7,66.0,352.5,131.9,57.3,194.5,61.8,114.8,150.0,148.5,49.5,52.7,239.7,42.1,351.1,80.0,325.2,92.3,249.1,240.5,281.6,237.0,187.5,91.9,278.1,171.1,226.0,0.0,134.9,245.3,313.9,100.2,354.0,86.1,76.7,398.5,307.4,75.4,229.0,74.3,171.9,148.3,106.9,6.8,67.8,148.4,205.9,50.0,221.8
UA,199.8,32.6,346.0,156.1,198.5,171.3,271.1,75.2,177.4,79.2,54.6,113.4,45.0,66.3,109.3,188.9,129.3,132.4,232.5,244.1,158.4,193.7,241.7,164.8,185.1,7.9,181.5,246.5,47.9,197.7,75.2,232.4,89.1,280.7,69.8,123.1,2562.2,149.4,60.7,76.7,67.5,188.4,150.9,232.4,74.2,172.6,74.1,70.9,99.8,172.6,353.2,10.6,85.1,92.8,177.2,171.6,69.1,79.2,118.8,151.9,195.3,179.7,351.8,135.3,325.9,93.0,204.7,196.1,237.2,192.6,98.6,176.8,233.7,123.2,181.6,152.5,0.0,200.9,314.6,157.0,354.7,183.0,126.0,399.2,263.0,133.0,184.6,180.7,124.0,59.4,163.7,159.4,201.3,79.1,117.0,187.6,177.4
UQ,1.0,237.5,148.7,205.0,159.8,271.5,70.1,133.4,24.1,185.6,203.0,137.3,158.7,210.1,209.5,246.4,229.5,232.6,31.5,17.7,47.6,224.6,40.7,261.0,16.0,196.8,53.7,45.5,252.8,300.9,133.4,31.4,184.9,79.7,213.2,154.0,2585.0,249.6,231.8,164.3,217.1,47.9,251.1,31.4,280.0,234.3,259.9,158.5,174.7,285.8,169.8,215.5,185.3,119.7,281.6,165.5,217.5,285.0,219.0,237.1,5.6,261.9,186.4,173.7,86.7,160.3,3.8,4.7,36.2,8.2,152.9,258.5,32.7,153.9,19.7,252.7,204.8,0.0,190.2,195.0,138.6,283.0,212.5,233.8,62.0,240.6,16.5,297.4,153.2,207.8,201.7,247.3,301.3,257.5,137.1,269.8,24.1
VA,169.9,409.3,31.3,316.8,279.7,383.3,104.3,302.3,193.0,297.4,366.6,249.1,363.3,321.9,321.3,378.8,341.3,344.4,145.1,155.6,216.5,336.4,135.4,372.8,184.9,387.6,222.6,130.3,424.6,412.7,302.3,145.3,296.7,94.3,328.5,322.9,2518.8,361.4,343.6,350.9,328.9,216.8,362.9,145.3,395.3,346.1,375.2,345.1,378.4,397.6,38.5,401.3,297.1,288.6,393.4,321.4,381.1,400.3,330.8,348.9,174.4,373.7,37.1,285.5,88.9,272.1,165.0,173.6,140.1,177.1,336.9,390.9,143.9,322.8,188.6,364.5,395.6,168.8,0.0,306.8,40.0,415.4,324.3,84.5,112.9,352.4,185.4,409.2,322.1,371.4,313.5,359.1,399.4,372.8,306.0,381.6,193.0
VH,174.9,174.9,302.9,42.0,41.4,122.9,246.2,128.7,152.5,89.4,160.3,96.0,104.6,95.9,65.1,93.8,74.3,70.2,207.6,206.3,133.5,70.7,216.8,123.1,160.2,142.5,143.7,221.6,184.6,167.3,128.7,207.5,77.6,255.8,105.3,111.1,2671.3,97.7,138.7,82.9,108.4,150.6,93.0,207.5,196.5,71.3,177.7,88.7,99.5,154.4,315.4,161.4,82.4,132.7,150.2,12.7,171.1,201.5,56.6,89.7,170.4,132.5,314.8,31.8,288.1,64.1,179.8,171.2,212.3,167.7,140.6,115.4,208.8,111.0,156.7,100.8,150.7,176.0,276.8,0.0,312.5,141.2,31.5,361.4,241.4,111.6,159.7,166.0,110.3,161.4,4.5,107.7,148.7,203.4,150.1,140.4,152.5
VK,130.2,360.0,1.4,307.3,270.2,377.8,64.6,266.6,153.3,291.9,366.7,243.7,291.9,312.4,311.8,339.1,331.8,334.9,112.4,115.9,176.4,336.0,102.7,363.3,145.2,326.0,186.9,97.6,376.7,403.2,266.6,112.6,291.2,54.6,330.4,283.2,2506.2,352.5,338.1,299.4,323.4,177.1,360.4,112.6,400.7,336.6,385.3,291.7,316.0,388.1,30.6,353.8,291.6,248.9,387.9,317.0,386.5,402.2,321.3,339.4,134.7,368.2,39.8,280.0,43.0,262.6,129.3,137.9,100.4,144.4,282.1,360.7,104.2,283.1,152.9,355.0,338.0,129.1,51.0,297.3,0.0,386.5,314.8,52.5,72.8,342.9,152.7,399.7,289.4,373.3,301.8,356.6,393.9,378.2,266.3,376.1,153.3
VM,300.2,160.8,386.6,112.5,183.1,70.7,371.5,218.3,277.8,124.0,183.0,155.3,193.2,156.3,74.4,47.3,85.7,104.4,332.9,288.7,260.6,60.5,342.1,81.1,285.5,163.9,236.8,346.9,170.5,26.0,218.3,332.8,160.3,381.1,194.9,212.4,2650.6,82.4,134.9,172.5,137.5,243.7,70.3,332.8,184.4,84.7,184.3,178.3,189.1,71.1,393.8,172.8,98.6,234.5,66.9,154.3,190.9,189.4,97.0,93.6,295.7,43.1,388.5,121.4,360.3,133.6,298.1,296.5,337.6,293.0,228.8,25.7,334.1,212.5,282.0,88.9,176.2,301.3,355.2,141.6,387.9,0.0,118.0,405.9,362.8,115.5,285.0,82.7,212.1,189.6,146.1,88.4,7.4,189.3,247.2,35.2,277.8
VO,204.0,143.3,299.7,58.9,72.4,95.5,275.3,125.6,181.6,76.2,137.0,73.3,101.5,92.8,33.5,110.7,53.5,38.6,236.7,203.2,168.7,87.6,245.9,100.0,189.3,120.8,140.6,250.7,153.0,139.9,125.6,236.6,67.6,284.9,102.2,119.7,2634.5,70.2,117.4,79.8,89.7,147.5,75.1,236.6,166.9,88.2,158.1,85.6,96.4,124.8,312.3,139.1,50.8,143.2,120.6,43.6,151.5,171.9,28.4,58.1,199.5,100.9,311.7,28.7,280.1,61.0,208.9,200.3,241.4,196.8,137.5,91.5,237.9,119.8,185.8,76.7,128.4,205.1,273.7,30.9,306.4,118.0,0.0,358.3,271.3,80.0,188.8,136.4,120.6,141.8,37.6,83.6,125.5,171.8,155.9,108.8,181.6
VW,197.9,357.6,77.9,353.4,350.3,419.9,132.3,315.7,244.9,368.0,352.6,290.5,345.6,377.1,357.9,385.2,377.9,416.5,169.5,183.6,268.4,416.1,187.3,408.4,212.9,335.9,274.5,158.3,367.3,449.3,315.7,169.4,324.8,146.2,276.8,384.0,2490.5,394.6,401.7,299.2,345.4,268.7,433.5,169.4,343.6,416.7,323.5,293.4,326.7,434.2,70.4,382.0,333.7,313.7,464.0,356.1,329.4,348.6,373.6,385.5,226.3,410.3,36.5,322.1,134.6,308.7,216.9,225.5,192.0,205.1,285.2,406.8,170.7,384.1,240.5,401.1,377.9,196.8,72.8,377.4,67.6,432.6,360.9,0.0,160.4,389.0,213.4,445.8,384.9,353.7,384.1,395.7,436.0,321.1,337.6,418.2,244.9
VZ,56.9,291.1,92.8,234.0,195.8,300.5,8.1,192.8,80.0,214.6,261.5,165.2,218.1,239.1,237.4,265.8,257.4,263.1,32.2,42.6,103.1,261.6,22.4,289.0,75.4,257.1,109.6,17.4,295.3,329.9,189.3,32.4,224.3,17.6,269.1,209.9,2595.6,275.2,260.8,226.1,246.1,103.8,280.1,32.4,340.3,263.3,315.8,217.9,241.6,314.8,103.6,276.5,214.3,179.1,310.6,235.6,272.3,340.9,251.4,265.0,64.9,290.9,121.0,202.7,30.9,192.8,52.0,60.6,26.0,64.1,208.8,290.9,31.0,209.8,75.6,281.7,260.7,55.8,128.1,224.0,77.6,312.1,245.0,133.7,0.0,273.1,72.4,329.9,209.1,263.7,228.5,276.3,316.6,313.4,193.0,298.8,80.0
WD,248.1,119.9,349.2,119.7,170.5,101.1,319.4,187.7,225.7,70.9,169.1,116.6,163.6,135.9,99.3,170.5,92.9,57.8,280.8,247.3,212.8,166.4,290.0,42.7,233.4,153.2,184.7,294.8,111.0,103.3,187.7,280.7,136.6,329.0,164.3,192.7,2570.3,72.9,93.4,141.9,123.8,191.6,131.0,280.7,142.6,152.7,146.2,147.7,169.4,66.8,356.4,129.9,96.6,203.9,72.6,141.7,152.8,137.6,72.9,38.4,243.6,92.1,355.8,126.8,329.1,96.2,253.0,244.4,285.5,240.9,199.6,148.9,282.0,192.8,229.9,66.4,145.6,249.2,317.8,129.0,353.5,125.3,98.0,368.5,314.6,0.0,232.9,58.1,193.6,162.5,133.5,59.5,117.8,182.2,218.0,100.0,225.7
WS,15.1,220.9,165.0,188.4,143.2,254.9,86.4,116.8,7.6,169.0,186.4,120.7,142.1,193.5,192.9,229.8,212.9,216.0,47.8,34.0,31.0,208.0,57.0,244.4,0.4,180.2,37.1,61.8,236.2,284.3,116.8,47.7,168.3,96.0,196.6,137.4,2601.3,233.0,215.2,147.7,200.5,31.3,234.5,47.7,263.4,217.7,243.3,141.9,158.1,269.2,186.1,198.9,168.7,103.1,265.0,148.9,200.9,268.4,202.4,220.5,10.6,245.3,202.7,157.1,103.0,143.7,20.0,11.4,52.5,7.9,136.3,241.9,49.0,137.3,3.2,236.1,188.2,16.2,206.5,178.4,154.9,266.4,195.9,250.1,78.3,224.0,0.0,280.8,136.6,191.2,185.1,230.7,284.7,240.9,120.5,253.2,7.6
WV,301.2,155.4,402.3,138.7,219.2,55.3,372.5,253.6,278.8,124.0,200.0,169.7,223.4,178.4,107.3,130.2,111.9,108.5,333.9,300.4,265.9,140.2,343.1,61.7,286.5,186.5,237.8,347.9,165.1,56.1,253.6,333.8,196.4,382.1,231.0,235.2,2597.3,88.5,129.5,208.6,166.3,244.7,85.2,333.8,179.0,106.9,178.9,214.4,211.9,21.0,409.5,162.6,131.5,271.2,26.8,190.4,185.5,184.0,120.2,88.2,296.7,61.8,408.5,157.5,376.0,149.3,306.1,297.5,338.6,294.0,251.7,108.6,335.1,235.3,283.0,85.4,178.3,302.3,370.9,177.7,410.6,82.8,148.7,421.6,368.5,58.2,286.0,0.0,236.1,195.2,184.4,78.5,75.3,240.5,270.1,69.7,278.8
XA,98.5,139.2,248.4,171.6,214.0,186.8,169.8,70.0,76.1,131.8,130.3,76.6,79.2,52.5,124.8,204.4,144.8,147.9,131.2,117.4,57.1,209.2,140.4,191.3,83.8,113.7,89.7,145.2,154.5,235.4,70.0,131.1,34.2,179.4,79.9,0.8,2594.9,164.9,95.3,57.5,65.0,83.9,166.4,131.1,162.8,188.1,151.4,63.3,21.5,218.3,269.5,132.4,100.6,56.3,214.1,187.1,144.8,167.8,134.3,167.4,94.0,195.2,315.0,150.8,186.4,108.5,103.4,94.8,135.9,91.3,89.5,192.3,132.4,0.7,80.3,168.0,121.7,99.6,277.8,172.5,238.3,198.5,141.5,362.4,161.7,167.6,83.3,227.8,0.0,135.1,179.2,174.9,216.8,167.7,73.7,203.1,76.1
YK,258.3,67.0,359.4,169.5,211.9,184.7,329.6,104.9,235.9,95.6,4.7,132.8,76.4,79.7,122.7,202.3,142.7,145.8,291.0,257.5,223.4,207.1,300.2,168.9,243.6,71.4,194.9,305.0,82.3,201.8,104.9,290.9,98.9,339.2,66.0,136.5,2529.5,162.8,77.1,88.4,80.9,201.8,164.3,290.9,35.0,186.0,16.2,82.6,113.2,176.7,366.6,59.0,98.5,122.5,181.3,185.0,9.7,40.0,132.2,163.4,253.8,193.1,365.2,148.7,339.3,106.4,263.2,254.6,295.7,251.1,56.4,190.2,292.2,136.6,240.1,165.9,69.9,259.4,328.0,170.4,368.1,196.4,139.4,412.6,321.5,156.4,243.1,184.8,137.4,0.0,177.1,172.8,214.7,57.9,74.8,201.0,235.9
YP,168.2,179.7,310.1,49.2,34.7,130.1,239.5,133.5,145.8,96.6,167.5,89.3,109.4,103.1,72.3,101.0,81.5,78.9,200.9,213.5,127.0,75.5,210.1,130.3,153.5,147.5,150.9,214.9,189.4,174.5,135.9,200.8,82.4,249.1,112.5,104.4,2664.6,101.5,145.9,90.1,115.6,157.8,100.2,200.8,201.3,78.5,184.9,93.5,104.3,162.7,320.2,173.7,89.6,128.2,157.4,8.1,178.3,208.7,67.2,96.9,163.7,139.7,321.6,39.0,290.4,68.9,173.1,164.5,205.6,161.0,147.8,120.2,202.1,104.3,150.0,108.0,157.9,169.3,284.0,4.8,321.3,146.0,38.7,332.3,234.7,116.4,153.0,170.8,103.6,168.6,0.0,114.9,155.9,210.6,143.4,147.6,145.8
YR,251.1,113.0,352.2,60.1,134.5,46.7,322.4,183.8,228.7,89.6,150.4,125.6,158.8,121.9,40.0,110.9,33.3,67.6,283.8,250.3,216.2,97.7,293.0,16.3,236.4,133.8,187.7,297.8,128.3,74.2,183.8,283.7,132.7,332.0,160.4,177.9,2605.8,9.9,87.1,138.0,103.1,194.6,72.9,283.7,136.6,94.6,136.5,143.8,154.6,59.1,359.4,125.0,64.2,201.4,54.9,121.7,143.1,141.6,56.4,45.8,246.6,35.2,358.0,86.9,332.1,99.2,256.0,247.4,288.5,243.9,194.4,98.8,285.0,178.0,232.9,6.8,135.9,252.2,320.8,107.1,360.9,79.2,83.6,405.4,314.3,68.5,235.9,67.4,178.8,152.8,113.8,0.0,60.9,141.5,212.8,43.1,228.7
YX,307.7,153.3,394.1,120.0,190.6,71.2,379.0,225.8,285.3,131.5,192.3,161.5,200.7,163.8,81.9,54.8,93.2,107.9,340.4,296.2,272.8,77.7,349.6,74.6,293.0,175.7,244.3,354.4,168.6,18.5,225.8,340.3,174.7,388.6,202.4,219.9,2643.1,90.9,127.4,180.0,145.0,251.2,77.8,340.3,176.9,92.2,176.8,185.8,196.6,63.6,401.3,165.3,106.1,242.0,59.4,163.7,183.4,181.9,98.3,86.1,303.2,35.6,399.9,128.9,374.0,141.1,305.6,304.0,345.1,300.5,236.3,42.7,341.6,220.0,289.5,87.8,176.2,308.8,362.7,149.1,402.8,18.2,125.5,447.3,370.9,108.0,292.5,75.2,219.6,193.1,155.8,80.9,0.0,181.8,254.7,27.7,285.3
ZC,281.0,75.2,382.1,202.7,234.2,211.2,352.3,153.4,258.6,103.8,62.2,149.5,123.2,114.2,175.2,254.8,195.2,185.7,313.7,280.2,246.1,222.3,322.9,170.3,266.3,86.1,217.6,327.7,90.5,203.2,153.4,313.6,133.4,361.9,123.5,171.0,2505.3,197.1,85.3,145.9,102.1,224.5,216.8,313.6,61.2,238.5,41.1,140.1,147.7,178.1,389.3,67.2,151.0,171.0,182.7,207.3,47.7,62.0,184.7,164.8,276.5,217.7,387.9,171.4,362.0,129.1,285.9,277.3,318.4,273.8,113.9,242.7,314.9,171.1,262.8,194.0,78.1,282.1,350.7,192.7,390.8,240.7,191.9,342.7,344.2,168.3,265.8,226.5,171.9,57.4,199.4,187.1,222.4,0.0,132.3,224.9,258.6
ZG,243.3,137.7,344.4,202.9,245.3,218.1,314.6,78.3,220.9,150.2,65.8,111.8,74.2,105.7,156.1,235.7,176.1,179.2,276.0,242.5,161.5,240.5,285.2,222.6,228.6,104.8,179.9,290.0,153.0,266.7,78.3,275.9,74.2,324.2,39.4,112.6,2560.3,196.2,144.6,61.8,114.3,186.8,197.7,275.9,105.7,219.4,86.9,56.0,89.3,247.4,351.6,123.5,131.9,95.9,245.4,218.4,80.3,110.7,165.6,198.7,238.8,226.5,350.2,182.1,324.3,139.8,248.2,239.6,280.7,236.1,15.8,223.6,277.2,112.7,225.1,199.3,112.8,244.4,313.0,203.8,353.1,229.8,172.8,280.8,306.5,216.9,228.1,255.5,113.5,70.6,210.5,206.2,248.1,128.6,0.0,234.4,220.9
ZT,271.3,125.5,372.4,113.3,191.3,43.4,342.6,223.7,248.9,94.1,170.1,139.8,193.5,148.5,93.2,72.6,86.5,80.1,304.0,270.5,236.4,95.5,313.2,46.8,256.6,156.4,207.9,318.0,140.8,31.0,223.7,303.9,152.9,352.2,187.5,205.3,2629.7,63.1,99.6,165.1,136.4,214.8,73.3,303.9,149.1,95.0,149.0,170.9,182.0,35.8,379.6,137.5,117.4,241.3,31.6,164.4,155.6,154.1,93.7,58.3,266.8,7.9,378.2,140.1,352.3,119.4,276.2,267.6,308.7,264.1,221.8,60.5,305.2,205.4,253.1,60.0,148.4,272.4,341.0,149.8,381.1,36.0,118.8,425.6,334.5,80.2,256.1,47.4,206.2,165.3,156.5,53.1,17.7,154.0,240.2,0.0,248.9
ZW,22.3,213.3,172.2,180.8,135.6,247.3,93.6,109.2,0.0,161.4,178.8,113.1,134.5,185.9,185.3,222.2,205.3,208.4,55.0,41.2,23.4,200.4,64.2,236.8,7.7,172.6,29.5,69.0,228.6,276.7,109.2,54.9,160.7,103.2,189.0,129.8,2608.5,225.4,207.6,140.1,192.9,23.7,226.9,54.9,255.8,210.1,235.7,134.3,150.5,261.6,193.3,191.3,161.1,95.5,257.4,141.3,193.3,260.8,194.8,212.9,17.8,237.7,209.9,149.5,110.2,136.1,27.2,18.6,59.7,15.1,128.7,234.3,56.2,129.7,4.1,228.5,180.6,23.4,208.1,170.8,162.1,258.8,188.3,257.3,85.5,216.4,7.2,273.2,129.0,183.6,177.5,223.1,277.1,233.3,112.9,245.6,0.0
