from_stop,AE,AW,BA,BG,BI,BM,BO,BZ,CB,CJ,CO,CV,DA,DN,ED,EG,EX,EZ,FD,FF,FG,FI,FO,FV,GG,GQ,GU,HD,HK,HW,HX,IH,IK,IL,IP,IY,JF,JN,JR,JT,KK,KM,LL,LP,LU,LV,LW,MW,NA,NB,NE,NF,NH,NK,NR,NX,OB,OC,OD,OV,PC,PM,QB,QF,QG,QJ,QP,QQ,RH,RM,RV,RX,RZ,SH,SN,SO,ST,SU,TB,TC,TI,TN,TO,UA,UB,UC,VF,VV,VW,WM,WO,WT,WU,XL,XM,XQ,XU,XY,YA,YB,YC,YT,ZE,ZL,ZS
QF,32.0,316.6,22.9,236.1,246.4,304.2,200.6,342.7,213.8,312.8,316.9,54.5,63.6,66.4,282.0,147.4,77.8,64.2,41.3,293.6,32.4,27.3,146.5,224.2,230.7,132.4,64.5,108.8,210.5,429.5,1725.8,348.3,321.6,336.3,326.4,317.3,60.8,236.7,247.6,359.3,270.3,345.1,312.2,337.2,277.3,262.8,289.7,125.9,33.0,224.3,152.4,235.0,243.3,99.4,264.1,378.9,304.3,107.5,208.6,275.6,306.0,169.5,288.4,0.0,193.1,371.5,283.2,204.0,101.5,104.0,350.5,321.1,86.2,179.7,356.2,69.9,274.2,357.3,255.4,373.1,178.2,154.1,271.4,106.5,111.7,259.3,314.3,153.1,47.1,286.8,237.5,181.6,116.3,92.8,399.5,132.9,218.6,153.1,136.8,59.8,219.2,306.2,90.4,308.3,277.6
QG,175.0,343.0,207.8,249.7,260.0,317.8,34.4,356.3,227.4,326.4,307.8,212.9,224.6,227.2,200.9,46.7,215.1,201.5,166.9,307.2,156.3,162.8,154.4,125.1,244.3,151.5,115.0,87.6,115.0,443.1,1676.3,361.9,330.3,349.9,245.3,330.9,198.1,250.3,166.5,372.9,282.5,358.7,325.8,350.8,290.9,276.4,303.3,145.0,217.9,96.2,317.2,82.3,256.9,118.5,273.1,392.5,296.7,269.8,55.9,289.2,321.2,300.7,279.3,184.8,0.0,385.1,274.1,267.2,241.7,92.7,273.6,312.0,223.5,27.0,369.8,207.2,287.8,370.9,269.0,386.7,131.3,178.4,285.0,125.6,256.2,178.5,233.2,58.2,205.5,300.4,251.1,43.3,135.4,105.5,413.1,152.0,232.2,29.9,331.5,121.0,120.1,319.8,251.1,321.9,187.1
QJ,432.0,52.1,429.8,150.5,202.9,116.7,357.4,58.5,151.9,52.1,178.4,398.7,399.1,410.7,363.6,362.4,389.4,375.8,362.0,78.4,372.2,378.7,242.4,305.8,187.2,257.1,330.9,403.3,292.1,141.1,1698.6,64.9,203.2,216.5,408.0,157.5,342.2,204.8,329.2,135.1,141.6,25.1,203.9,76.4,253.7,132.7,100.3,263.9,419.2,305.9,260.1,320.6,190.3,290.9,112.0,7.4,189.1,398.3,348.6,102.0,137.3,243.6,214.1,400.7,395.7,0.0,271.5,210.1,306.0,408.6,432.1,267.5,325.6,378.6,147.6,344.6,165.9,197.5,231.8,110.9,259.8,234.5,156.6,283.8,298.0,340.9,395.9,394.2,405.2,154.9,142.9,422.7,273.9,434.6,175.3,256.6,156.8,368.1,274.4,336.9,300.8,84.2,402.0,200.0,359.2
QP,338.2,186.6,329.1,163.3,215.7,218.9,262.8,250.2,171.9,220.3,58.1,360.7,369.8,372.6,269.0,267.8,402.2,388.6,377.4,201.1,277.6,284.1,147.8,171.8,200.0,162.5,236.3,308.7,197.5,273.4,1537.1,259.2,108.7,96.7,313.4,161.2,383.9,80.6,234.6,203.2,95.0,257.0,84.1,248.1,17.7,145.5,167.2,169.3,339.2,211.3,272.9,226.0,69.2,196.3,178.6,290.8,45.5,415.0,254.0,168.6,149.9,256.4,29.6,306.1,301.1,283.4,0.0,222.9,321.0,314.0,337.5,44.3,338.4,284.0,200.1,357.4,71.6,144.6,39.6,217.0,165.2,139.9,158.1,189.2,310.8,246.3,301.3,299.6,353.3,130.7,124.4,328.1,179.3,326.6,243.4,162.0,101.3,273.5,287.2,242.3,176.8,183.7,397.9,61.0,264.6
QQ,244.0,181.1,241.8,70.8,7.6,189.6,269.0,175.5,55.0,152.1,183.5,210.7,211.1,225.1,256.8,282.2,179.2,165.6,160.2,177.3,195.0,189.9,136.8,203.6,24.2,154.9,227.1,243.0,193.5,261.0,1642.2,233.7,233.1,221.6,305.8,233.7,213.1,153.1,227.0,275.7,146.7,190.0,209.0,222.6,193.7,86.0,112.9,161.7,231.2,203.7,49.9,218.4,159.7,188.7,97.6,224.0,220.7,208.9,246.4,116.8,167.5,33.4,204.8,200.9,305.9,215.2,199.6,0.0,98.0,238.2,329.9,237.5,115.4,276.4,220.5,134.4,171.0,273.7,171.8,289.5,158.4,132.3,156.8,181.6,79.7,239.0,293.7,287.3,217.2,203.2,122.9,305.0,171.7,227.0,315.9,154.2,104.0,265.9,64.2,222.4,198.6,129.4,208.2,205.1,257.0
RH,145.9,280.7,146.6,173.3,110.0,292.1,258.7,278.0,157.5,254.6,283.1,112.6,116.4,129.9,341.9,184.1,81.1,67.5,61.4,279.8,96.9,91.8,214.4,288.7,123.7,196.9,129.0,144.9,281.5,363.5,1763.0,336.2,332.7,324.1,390.9,336.2,115.0,252.7,312.1,378.2,250.6,292.5,311.5,325.1,296.2,185.6,212.5,190.4,136.0,288.8,50.8,290.2,259.3,163.9,200.1,326.5,320.3,110.8,266.7,219.3,270.0,67.9,304.4,102.8,210.7,317.7,302.1,99.5,0.0,140.3,419.2,337.1,17.3,234.9,323.0,36.3,273.5,376.2,274.3,394.1,242.0,229.3,259.3,171.0,17.3,324.1,378.8,189.2,119.1,305.7,225.4,209.8,180.8,128.9,418.4,197.6,206.5,211.3,35.2,124.3,283.7,231.9,110.1,307.6,332.7
RM,82.0,347.0,106.3,253.6,264.0,321.8,105.1,360.2,231.4,330.4,334.4,120.2,138.5,134.5,271.3,44.0,131.2,117.6,85.8,311.2,154.8,161.3,164.0,195.8,248.2,150.0,113.5,4.7,185.4,447.1,1707.1,365.9,334.5,353.9,315.8,334.9,114.2,254.3,237.0,376.9,287.8,362.6,329.8,354.8,294.9,280.4,307.3,143.5,116.7,166.6,205.9,152.7,260.8,117.0,277.1,396.4,321.8,174.1,126.3,293.2,325.2,304.7,305.9,89.7,96.4,389.1,300.8,271.4,155.0,0.1,339.8,338.9,139.6,97.7,373.8,123.4,291.8,374.9,272.9,390.6,196.6,171.6,289.0,124.1,172.1,248.9,303.7,48.8,112.7,304.4,255.1,77.2,133.9,12.7,417.1,150.7,236.2,70.8,190.2,119.5,190.8,323.8,157.1,325.9,257.6
RV,338.5,336.7,329.4,254.9,253.7,311.5,185.0,343.5,221.1,320.1,304.8,361.0,366.2,378.1,144.2,243.4,365.9,352.3,320.5,300.9,271.9,284.4,157.2,136.8,240.8,162.8,236.6,283.9,129.5,436.8,1647.4,355.6,324.0,343.6,16.0,324.6,348.9,244.0,114.4,366.6,276.2,353.6,319.5,344.5,284.6,272.9,297.0,169.6,339.5,116.9,313.7,131.6,250.6,196.6,263.7,387.6,289.4,415.3,162.4,282.9,320.3,294.4,273.5,306.4,209.5,378.8,268.3,260.9,356.1,289.0,0.0,306.2,376.4,192.4,363.5,395.4,281.5,364.6,265.5,382.5,128.5,172.1,278.7,189.5,343.5,129.2,24.0,265.0,353.6,294.1,244.8,250.1,179.6,301.8,406.8,162.1,225.9,226.2,325.2,242.6,131.8,313.5,396.6,315.6,54.8
RX,367.5,237.3,358.4,192.9,233.8,263.3,270.6,288.1,201.2,264.7,96.0,390.3,395.2,404.3,298.3,297.1,420.3,406.7,395.5,245.5,306.9,313.4,177.1,189.7,218.1,191.8,265.6,338.0,199.8,317.8,1555.0,303.6,149.3,134.6,322.6,205.6,401.7,125.0,263.9,247.6,131.5,253.0,122.0,292.5,62.1,183.4,205.1,198.6,368.5,219.1,291.0,233.8,113.6,225.6,216.5,288.2,83.4,444.3,261.8,206.5,201.3,274.5,67.5,335.4,308.9,279.4,44.3,241.0,336.2,343.1,346.7,0.0,356.5,291.8,244.5,375.5,109.5,182.5,84.0,261.4,193.8,169.2,196.0,218.5,320.8,275.9,310.5,328.9,382.6,175.1,162.3,357.4,208.6,355.9,287.8,191.1,145.7,302.8,305.3,271.6,194.7,221.6,425.6,98.9,264.4
RZ,128.5,272.5,126.3,177.1,125.3,307.4,224.9,284.8,172.8,269.9,301.3,95.2,95.6,107.2,329.1,167.1,63.7,50.1,38.9,295.1,84.1,74.4,193.6,271.3,141.9,179.5,111.6,127.5,257.6,378.8,1745.6,351.5,368.7,383.4,373.5,364.4,64.7,283.8,294.7,406.4,264.5,306.6,326.8,340.4,324.4,203.8,230.7,173.0,115.7,271.4,66.1,272.8,290.4,146.5,220.0,340.4,352.9,93.4,246.4,231.5,290.3,83.2,335.5,85.4,190.4,333.0,330.3,117.7,15.2,122.7,397.6,368.2,0.0,217.5,338.3,19.0,288.8,404.4,302.5,420.2,225.3,201.2,274.6,153.6,25.4,306.4,361.4,171.8,101.7,333.9,240.7,189.5,163.4,111.5,446.6,180.0,221.8,193.9,50.5,106.9,266.3,247.2,76.3,322.9,324.7
SH,181.6,315.9,214.4,234.1,232.9,290.7,7.3,329.2,200.3,299.3,280.7,219.5,241.7,233.8,169.2,53.7,230.6,217.0,194.1,280.1,162.9,169.4,136.4,98.0,217.2,142.0,121.6,94.2,87.9,416.0,1647.3,334.8,304.7,322.8,218.2,303.8,213.6,223.2,139.4,345.8,256.8,331.6,298.7,323.7,263.8,249.3,276.2,148.8,224.5,69.1,290.1,55.2,229.8,125.1,250.6,365.4,268.1,286.9,28.8,262.1,299.5,273.6,252.2,191.4,17.0,358.0,247.0,240.1,338.2,99.2,242.3,284.9,239.0,0.0,342.7,222.7,260.7,343.8,241.9,361.7,104.2,140.6,257.9,132.2,319.9,151.4,206.1,75.3,212.1,273.3,224.0,60.4,142.0,112.1,386.0,141.5,205.1,36.5,304.4,127.6,93.0,292.7,268.2,294.8,160.0
SN,409.5,129.3,400.4,146.1,198.5,18.8,334.1,117.7,169.3,87.8,138.0,416.5,441.1,443.9,340.3,339.1,385.0,371.4,360.2,68.6,348.9,355.4,219.1,282.5,182.8,233.8,307.6,380.0,268.8,136.3,1678.7,76.7,122.0,124.3,384.7,43.0,366.7,123.6,305.9,66.1,105.9,124.5,109.6,65.6,172.5,128.3,114.9,240.6,410.5,282.6,255.7,297.3,136.6,267.6,161.4,123.8,142.1,414.7,325.3,151.4,79.8,239.2,167.1,377.4,372.4,128.6,190.3,205.7,303.8,385.3,408.8,234.7,321.2,355.3,0.0,340.2,125.5,46.1,150.6,79.9,236.5,211.2,55.6,260.5,293.6,317.6,372.6,370.9,424.6,73.7,89.2,399.4,250.6,397.9,106.3,233.3,103.1,344.8,270.0,313.6,277.5,98.8,397.6,153.0,335.9
SO,109.5,315.2,107.3,193.4,141.6,323.7,205.9,307.9,189.1,286.2,345.0,76.2,80.0,90.6,305.5,147.7,44.7,31.1,19.9,311.4,65.1,55.4,178.0,252.3,158.2,160.5,92.6,108.5,242.2,395.1,1726.6,367.8,344.8,364.4,354.5,345.4,45.7,264.8,275.7,387.4,297.0,322.9,340.3,356.7,305.4,220.1,247.0,154.0,96.7,252.4,82.4,253.8,271.4,127.5,236.3,356.7,332.4,74.4,227.4,247.8,341.1,99.5,316.5,66.4,171.4,349.3,311.3,134.0,34.4,104.0,378.6,349.2,16.3,198.5,384.3,0.0,302.3,385.4,283.5,401.2,205.6,192.9,290.9,134.6,48.9,287.7,342.4,152.8,82.7,314.9,257.0,170.5,144.4,92.5,427.6,161.0,238.1,174.9,66.8,87.9,247.3,263.5,73.7,336.4,296.3
ST,309.2,114.9,300.1,91.6,144.0,119.2,233.8,154.6,129.4,127.8,12.4,331.7,340.8,343.6,240.0,238.8,330.5,316.9,305.7,108.6,248.6,255.1,118.8,182.2,128.3,133.5,207.3,279.7,168.5,245.3,1532.6,163.3,62.5,50.5,284.4,132.0,312.2,23.3,205.6,175.1,23.3,143.4,37.9,152.2,72.2,73.8,95.5,140.3,310.2,182.3,201.2,197.0,58.2,167.3,106.9,177.2,24.6,360.2,225.0,96.9,77.0,184.7,48.1,277.1,272.1,169.8,90.0,151.2,249.3,285.0,308.5,134.4,266.7,255.0,154.0,285.7,0.0,98.4,50.3,188.9,136.2,110.9,86.4,160.2,239.1,217.3,272.3,270.6,324.3,57.8,52.7,299.1,150.3,297.6,215.3,133.0,66.6,244.5,215.5,213.3,177.2,112.0,343.1,34.0,235.6
SU,400.0,174.9,390.9,214.9,275.6,74.3,324.6,169.3,233.7,145.9,128.5,422.8,427.7,436.8,330.8,329.6,462.1,448.5,437.3,126.7,339.4,345.9,209.6,273.0,259.9,224.3,298.1,370.5,262.9,146.8,1605.4,132.6,92.8,78.1,375.2,33.5,434.2,114.1,296.4,76.6,161.5,182.6,63.4,121.5,163.0,205.4,173.0,231.1,401.0,273.1,332.8,287.8,149.0,258.1,251.4,178.8,97.4,476.8,315.8,237.3,123.9,316.3,120.9,367.9,362.9,184.5,180.8,282.8,378.0,375.5,403.5,174.3,398.3,345.8,55.5,417.3,116.0,0.0,141.1,90.4,226.3,201.7,111.2,251.0,362.6,308.4,363.1,361.4,415.1,64.2,144.8,389.9,241.1,388.4,116.8,223.6,158.7,335.3,347.1,304.1,268.0,156.9,458.1,106.8,312.9
TB,298.5,209.6,289.4,134.5,164.8,179.2,236.9,210.5,132.2,180.6,97.8,321.3,330.1,335.3,224.7,228.1,351.3,337.7,326.5,161.4,237.9,244.4,104.7,171.5,149.1,122.8,196.6,269.0,161.4,233.7,1567.7,219.5,120.9,140.5,273.7,121.5,332.7,40.9,194.9,163.5,73.1,217.3,116.4,208.4,21.8,125.0,146.7,129.6,299.5,171.6,222.0,186.3,29.5,156.6,162.2,251.1,85.2,375.3,214.3,148.1,117.2,205.5,69.3,266.4,261.4,243.7,39.6,172.0,267.2,274.1,297.8,84.0,287.5,244.3,160.4,306.5,111.3,161.5,0.0,177.3,124.8,88.1,166.4,149.5,251.8,206.9,261.6,259.9,313.6,91.0,103.9,288.4,139.6,286.9,203.7,122.3,61.6,233.8,236.3,202.6,166.5,191.6,356.6,100.7,224.9
TC,403.7,130.5,394.6,181.2,241.9,49.0,345.3,146.1,195.5,130.2,168.9,456.7,463.7,474.3,333.1,336.9,428.4,414.8,408.7,135.4,337.1,352.8,213.1,276.7,226.2,228.0,305.0,377.4,266.6,94.3,1580.7,42.1,160.0,181.3,378.9,55.0,414.8,137.7,303.3,24.1,133.5,118.0,179.4,31.0,212.9,168.5,136.1,238.0,404.7,280.0,299.1,291.5,162.8,265.0,212.9,88.3,176.4,458.1,322.7,196.1,101.0,282.6,201.4,374.8,369.8,94.0,230.7,245.9,344.3,382.5,410.4,275.1,364.6,352.7,69.7,380.4,156.4,112.7,187.8,0.0,230.7,195.7,81.8,257.9,328.9,312.1,370.0,368.3,466.4,85.7,115.4,393.6,248.0,395.3,64.3,230.5,129.3,339.0,313.4,311.0,271.7,123.2,445.9,190.5,323.9
TI,212.7,210.9,205.3,129.8,128.6,185.7,97.5,224.9,96.0,194.3,198.4,235.9,240.4,251.2,98.3,142.3,240.8,226.5,191.9,175.1,153.8,160.3,32.1,45.1,112.9,38.7,112.5,184.9,35.0,312.7,1608.2,231.5,198.9,217.8,147.3,200.5,224.8,118.2,68.5,240.8,153.5,226.6,193.7,220.4,160.5,144.3,171.9,45.5,215.4,46.7,186.8,59.9,126.5,72.5,137.9,260.4,187.3,289.5,88.7,158.8,189.1,168.6,169.9,182.3,135.0,253.0,166.4,135.8,230.3,189.9,171.4,204.3,250.6,117.9,239.4,271.3,155.7,240.5,136.9,257.4,0.0,35.6,152.9,64.4,214.9,81.3,136.0,175.8,229.5,168.3,119.0,178.4,55.5,201.8,281.7,36.5,100.1,148.7,200.1,118.5,40.9,187.7,272.4,191.5,89.1
TN,198.2,239.3,200.1,93.4,92.2,150.0,133.8,182.0,59.6,158.6,162.7,231.7,225.9,235.0,124.4,128.2,225.6,212.0,182.6,139.4,131.6,144.1,4.4,71.2,209.2,33.5,96.3,168.7,72.1,275.3,1571.6,249.2,162.5,182.1,173.4,163.1,208.6,82.5,94.6,205.1,114.7,192.1,158.0,183.0,123.1,154.7,176.4,29.3,210.2,82.3,282.1,97.0,89.1,56.3,102.2,226.1,138.2,275.0,114.0,121.4,158.8,132.9,122.3,166.1,161.1,217.3,129.0,99.4,194.6,173.8,201.7,155.0,214.9,144.0,202.0,233.9,120.0,203.1,89.3,221.0,36.2,0.0,117.2,49.2,179.2,117.6,161.3,159.6,213.3,132.6,83.3,188.1,39.3,186.6,245.3,21.8,64.4,133.5,163.7,102.3,66.2,152.0,256.3,154.1,115.2
TO,325.0,82.8,315.9,118.6,171.0,32.7,263.4,71.2,113.6,41.3,87.0,389.0,389.4,401.0,255.8,254.6,357.5,343.9,332.7,22.1,264.4,270.9,134.6,198.0,155.3,149.3,223.1,295.5,184.3,104.1,1630.8,76.8,84.7,99.4,300.2,98.4,354.9,104.3,221.4,140.4,50.2,78.0,112.5,65.7,131.0,100.8,68.4,156.1,326.0,198.1,228.2,212.8,80.9,183.1,142.7,111.8,97.7,387.2,240.8,132.7,24.1,211.7,122.7,292.9,287.9,104.4,148.8,178.2,276.3,300.8,324.3,193.2,293.7,270.8,63.6,312.7,74.5,138.4,109.1,154.2,152.0,126.7,0.0,176.0,266.1,233.1,288.1,286.4,395.5,67.9,33.5,314.9,166.1,313.4,124.1,148.8,47.4,260.3,242.5,229.1,193.0,52.3,370.1,108.6,251.4
UA,148.9,210.0,139.8,129.5,139.8,197.6,131.7,236.1,107.2,206.2,210.3,171.4,180.5,183.3,175.4,78.5,176.3,162.7,139.8,187.0,88.3,94.8,39.9,117.6,124.1,25.8,47.0,119.4,103.9,322.9,1619.2,241.7,215.0,229.7,219.8,210.7,159.3,130.1,141.0,252.7,163.7,238.5,205.6,230.6,170.7,156.2,183.1,19.3,149.9,117.7,197.0,132.4,136.7,7.0,157.5,272.3,197.7,225.7,139.7,169.0,199.4,180.5,181.8,116.8,124.2,264.9,176.6,147.0,245.1,124.7,243.9,214.5,262.5,110.8,249.6,168.4,167.6,250.7,148.8,266.5,71.6,47.5,164.8,0.0,234.9,152.7,207.7,110.3,164.0,180.2,130.9,138.8,9.7,137.3,292.9,26.3,112.0,84.2,211.3,53.0,112.6,199.6,208.6,201.7,171.0
UB,163.1,265.1,160.9,143.3,91.5,273.6,259.5,266.0,139.0,236.1,267.5,129.8,130.2,144.2,363.7,201.7,98.3,84.7,73.5,261.3,114.1,109.0,228.2,305.9,108.1,214.1,146.2,162.1,295.8,345.0,1726.2,317.7,317.1,305.6,408.1,317.7,132.2,237.1,329.3,359.7,232.1,272.8,293.0,306.6,277.7,170.0,196.9,207.6,150.3,306.0,32.3,307.4,243.7,181.1,181.6,306.6,304.7,128.0,281.0,200.8,256.5,49.4,288.8,120.0,225.0,299.2,283.6,83.9,17.1,157.6,432.2,321.5,34.5,252.1,304.5,53.5,255.0,357.7,255.8,373.5,259.9,235.8,240.8,188.2,0.0,341.3,396.0,206.4,136.3,287.2,206.9,224.1,198.0,146.1,399.9,214.8,188.0,228.5,16.7,141.5,300.9,213.4,127.3,289.1,359.3
UC,293.8,292.0,284.7,210.2,209.0,266.8,123.7,298.8,176.4,275.4,279.5,316.3,321.5,330.6,17.7,198.3,321.2,307.6,273.0,256.2,227.2,239.7,103.4,92.1,193.3,118.1,191.9,239.2,82.0,392.1,1628.6,310.9,280.8,298.9,168.5,279.9,304.2,199.3,14.2,321.9,232.9,307.7,274.8,299.8,239.9,225.4,252.3,124.9,294.8,72.2,266.2,86.9,205.9,151.9,226.7,342.9,266.9,370.6,114.9,238.2,268.6,249.7,251.0,261.7,162.0,334.1,245.8,216.2,314.3,244.2,196.8,283.7,331.7,144.9,318.8,350.7,236.8,319.9,218.0,337.8,80.3,116.7,234.0,144.8,296.0,0.0,156.4,220.3,308.9,249.4,200.1,205.4,134.9,257.1,362.1,117.6,181.2,181.5,280.5,197.9,87.1,268.8,351.9,270.9,106.2
VF,314.4,299.8,305.3,219.3,229.6,287.4,144.3,325.9,197.0,296.0,277.9,336.9,346.0,348.8,124.7,218.9,341.8,328.2,305.3,276.8,253.8,260.3,124.0,112.7,213.9,138.7,212.5,259.8,99.0,412.7,1623.3,331.5,304.8,319.5,12.0,300.5,324.8,219.9,90.3,342.5,253.5,328.3,295.4,320.4,260.5,246.0,272.9,145.5,315.4,92.8,286.8,107.5,226.5,172.5,247.3,362.1,265.3,391.2,135.5,258.8,289.2,270.3,249.4,282.3,182.6,354.7,244.2,236.8,334.9,265.1,36.1,282.1,352.3,165.5,339.4,371.3,257.4,340.5,238.6,356.3,100.9,137.3,254.6,165.4,324.7,102.0,0.0,240.9,329.5,270.0,220.7,226.0,155.5,277.7,382.7,138.2,201.8,202.1,301.1,218.5,107.7,289.4,374.1,291.5,24.4
VV,123.1,332.0,147.4,251.5,261.8,319.6,81.8,358.1,229.2,328.2,332.3,161.0,179.3,172.9,248.3,41.9,172.1,158.5,135.6,309.0,152.6,159.1,161.9,172.5,246.1,147.8,111.3,35.7,158.8,444.9,1699.9,363.7,337.0,351.7,278.9,332.7,155.1,252.1,213.9,374.7,285.7,360.5,327.6,352.6,292.7,278.2,305.1,141.3,157.5,143.6,319.0,129.7,258.7,114.8,279.5,394.3,321.2,215.0,103.3,291.0,321.4,302.5,303.8,130.6,47.3,386.9,298.6,269.0,195.8,41.0,303.0,336.5,180.5,74.4,371.6,164.2,289.6,372.7,270.8,388.5,178.7,169.5,286.8,121.9,206.0,225.6,266.8,0.0,153.6,302.2,252.9,28.4,131.7,53.6,414.9,148.3,234.0,68.7,231.1,117.3,167.5,321.6,197.9,323.7,230.1
VW,26.7,351.1,35.6,270.6,280.9,338.7,203.9,377.2,248.3,347.3,351.4,7.4,25.6,19.2,316.5,143.1,59.3,98.7,75.8,328.1,66.9,61.8,181.0,258.7,265.2,166.9,99.0,103.5,245.0,464.0,1760.3,382.8,356.1,370.8,360.9,351.8,95.3,271.2,282.1,393.8,304.8,379.6,346.7,371.7,311.8,297.3,324.2,160.4,45.7,258.8,193.8,251.8,277.8,133.9,298.6,413.4,338.8,61.3,225.4,310.1,340.5,210.9,322.9,34.4,195.2,406.0,317.7,245.4,142.9,98.7,385.0,355.6,127.6,196.5,390.7,111.3,308.7,391.8,289.9,407.6,212.7,188.6,305.9,141.0,153.1,293.8,348.8,147.8,0.0,321.3,272.0,176.3,150.8,87.5,434.0,167.4,253.1,169.9,178.2,94.3,253.7,340.7,44.2,342.8,312.1
WM,335.7,131.0,326.6,166.8,202.0,88.1,260.3,119.4,169.4,89.5,64.2,358.2,367.3,370.1,266.5,265.3,388.5,374.9,363.7,70.3,275.1,281.6,145.3,208.7,186.3,160.0,233.8,306.2,195.0,142.6,1604.9,128.4,48.2,62.9,310.9,30.4,369.9,49.8,232.1,72.4,67.8,126.2,87.6,117.3,98.7,149.0,116.6,166.8,336.7,208.8,259.2,223.5,84.7,193.8,190.9,160.0,74.9,412.5,251.5,180.9,52.6,242.7,99.9,303.6,298.6,152.6,116.5,209.2,307.3,311.5,335.0,160.9,324.7,281.5,69.3,343.7,51.7,70.4,76.8,86.2,162.7,137.4,75.3,186.7,297.1,243.8,298.8,297.1,350.8,0.0,97.2,325.6,176.8,324.1,112.6,159.5,111.1,271.0,273.5,239.8,203.7,100.5,395.4,85.8,262.1
WO,291.4,116.7,282.3,57.0,109.4,66.6,229.8,105.1,94.8,75.2,73.6,327.4,327.8,339.4,222.2,221.0,295.9,282.3,271.1,56.0,224.8,237.3,101.0,164.4,93.7,115.7,189.5,261.9,150.7,138.0,1597.2,110.7,110.1,111.7,266.6,155.4,277.6,74.8,187.8,197.4,36.8,111.9,99.1,99.6,97.4,39.2,102.3,122.5,292.4,164.5,166.6,179.2,47.3,149.5,72.3,145.7,84.3,325.6,207.2,62.3,49.5,150.1,144.9,259.3,254.3,138.3,115.2,116.6,214.7,267.2,290.7,159.6,232.1,237.2,97.5,251.1,61.1,143.7,75.5,211.2,118.4,93.1,33.8,142.4,204.5,199.5,254.5,252.8,333.9,124.9,0.0,281.3,132.5,279.8,158.0,115.2,13.8,226.7,180.9,195.5,159.4,86.2,308.5,95.2,217.8
WT,151.0,372.7,175.3,290.9,289.7,347.5,99.8,386.0,257.1,356.1,360.2,188.9,208.3,203.2,227.3,69.4,200.0,186.4,163.5,336.9,180.5,187.0,193.2,177.0,274.0,175.7,139.2,63.6,166.9,472.8,1671.4,391.6,360.0,379.6,250.4,360.6,183.0,280.0,197.5,402.6,312.2,388.4,355.5,380.5,320.6,306.1,333.0,169.2,185.4,148.1,346.9,134.2,286.6,142.7,299.7,422.2,347.6,257.4,107.8,318.9,356.3,330.4,331.7,158.5,51.8,414.8,326.5,296.9,226.6,68.7,274.5,364.4,208.4,78.9,399.5,192.1,317.5,400.6,298.7,416.4,183.9,208.1,314.7,149.8,241.1,209.5,238.3,27.8,181.5,330.1,280.8,0.0,159.6,81.5,442.8,176.2,261.9,81.8,259.0,145.2,172.0,349.5,240.3,351.6,192.2
WU,158.8,200.2,149.7,119.7,130.0,187.8,128.1,226.3,97.4,196.4,200.5,181.3,190.4,193.2,165.6,88.4,186.2,172.6,149.7,177.2,98.2,104.7,30.2,107.8,114.3,16.0,56.9,129.3,94.1,313.1,1609.4,231.9,205.2,219.9,210.0,200.9,169.2,120.3,131.2,242.9,153.9,228.7,195.8,220.8,160.9,146.4,173.3,9.6,159.8,107.9,187.2,122.6,126.9,16.9,147.7,262.5,187.9,235.6,149.6,159.2,189.6,170.7,172.0,126.7,134.1,255.1,166.8,137.2,235.3,134.6,234.1,204.7,252.7,120.7,239.8,178.3,157.8,240.9,139.0,256.7,61.8,37.7,155.0,9.8,225.1,142.9,197.9,120.2,173.9,170.4,121.1,148.7,0.0,147.2,283.1,16.5,102.2,94.1,201.5,62.9,102.8,189.8,218.5,191.9,161.2
XL,69.4,345.6,93.7,265.1,275.4,333.2,129.8,371.7,242.8,341.8,345.9,107.3,125.6,119.2,282.8,55.5,118.4,104.8,81.9,322.6,160.2,139.9,175.5,207.0,259.7,161.4,124.9,16.0,193.3,458.5,1694.3,377.3,350.6,365.3,327.2,346.3,101.4,265.7,248.4,388.3,299.3,374.1,341.2,366.2,306.3,291.8,318.7,154.9,103.8,178.1,193.0,164.2,272.3,128.4,293.1,407.9,333.3,161.3,137.8,304.6,335.0,210.1,317.4,76.9,107.6,400.5,312.2,282.6,142.1,11.2,351.3,350.1,126.8,108.9,385.2,110.5,303.2,386.3,284.4,402.1,207.2,183.1,300.4,135.5,152.3,260.1,315.1,60.2,99.9,315.8,266.5,88.7,145.3,0.0,428.5,161.9,247.6,82.3,177.4,130.9,202.0,335.2,144.2,337.3,278.4
XM,453.3,240.7,444.2,223.7,276.1,100.4,391.7,229.1,246.9,199.2,181.8,475.8,484.9,487.7,384.1,382.9,462.6,449.0,437.8,180.0,392.7,399.2,262.9,326.3,260.4,277.6,351.4,423.8,312.6,30.0,1630.5,111.5,165.8,180.5,428.5,86.8,444.3,167.4,349.7,57.0,183.5,188.6,171.4,100.4,216.3,205.9,226.3,284.4,454.3,326.4,333.3,341.1,202.3,311.4,239.0,158.6,192.5,492.3,369.1,229.0,157.4,316.8,217.5,421.2,416.2,163.4,234.1,283.3,381.4,429.1,452.6,278.5,398.8,399.1,121.1,417.8,169.3,107.9,194.4,106.6,280.3,255.0,133.2,304.3,371.2,361.4,416.4,414.7,468.4,117.5,166.8,443.2,294.4,441.7,0.0,277.1,180.7,388.6,347.6,357.4,321.3,210.2,475.2,203.4,379.7
