from_stop,AB,AE,AR,AY,BB,BL,CE,CF,CI,CJ,CL,CM,CS,CV,CX,DD,DN,DW,DZ,FD,GF,GJ,GK,GN,HB,HE,HO,HP,HU,IG,IY,IZ,JA,JD,JO,JQ,JT,JU,JV,JW,KD,KN,KW,KX,LF,LJ,LP,LS,LY,MD,MH,MM,MQ,MU,NA,NE,NI,NO,NW,OB,OJ,OL,OW,PA,PH,PN,PW,PZ,QI,QV,QX,RD,RG,SA,SC,SF,ST,SW,SY,TD,TN,UE,UM,US,UU,UX,VA,VF,WR,WV,XF,XG,XK,XS,XX,YK,ZD,ZQ,ZT
PZ,58.2,19.2,614.8,77.4,601.5,108.2,641.9,126.5,165.0,182.7,580.4,96.4,497.8,685.5,169.6,559.5,120.9,72.1,566.3,472.3,118.2,146.2,87.2,103.7,531.2,523.0,586.7,41.3,524.3,146.7,110.5,615.9,577.7,621.7,594.2,515.2,70.1,418.8,643.4,96.6,436.4,115.4,93.8,202.7,241.8,81.2,184.1,57.8,555.1,603.1,224.0,149.8,154.8,605.7,177.6,593.2,80.3,133.7,582.5,617.0,40.4,724.8,612.2,169.2,562.2,76.6,123.4,0.0,622.3,185.9,624.9,151.4,165.9,137.6,643.0,188.6,592.9,595.1,181.3,130.8,672.0,123.8,180.0,629.0,486.6,606.4,95.0,558.9,147.4,602.3,204.4,590.4,629.3,586.0,156.7,675.1,139.0,556.6,647.9
QI,571.7,524.3,127.0,620.6,193.3,612.8,186.0,669.7,618.7,703.8,268.6,639.6,189.7,282.4,379.9,646.7,528.5,581.2,48.8,343.6,476.9,561.6,630.4,655.1,205.1,214.9,65.0,567.2,221.3,689.9,496.7,273.7,105.5,218.6,101.3,346.8,561.5,277.1,150.5,639.8,280.5,422.2,603.5,726.1,765.2,503.2,428.3,601.0,243.3,96.4,747.4,476.9,487.5,49.0,484.0,195.1,623.5,676.9,239.1,173.3,553.9,239.3,209.1,687.2,96.2,573.7,546.7,543.1,0.0,733.3,137.1,694.6,518.5,619.8,124.2,487.0,286.2,288.4,438.8,584.5,164.5,491.1,452.5,225.9,320.8,101.7,553.8,206.1,511.9,129.2,438.0,217.6,128.7,172.5,392.8,189.1,597.8,212.4,140.3
QV,257.4,218.4,785.9,186.2,767.5,302.3,817.4,274.3,258.4,90.3,746.4,226.5,663.8,856.6,363.7,730.6,229.6,271.3,737.4,643.4,317.4,340.3,217.3,148.8,705.6,689.0,754.9,240.5,695.4,294.5,322.9,787.0,748.8,792.8,760.2,681.2,231.4,589.9,809.4,200.7,602.4,321.3,293.0,114.8,153.9,280.4,292.8,205.6,721.1,774.2,180.2,394.6,354.0,776.8,357.9,759.2,228.1,62.4,785.2,788.1,239.6,904.1,783.3,216.1,737.1,275.8,247.8,194.0,793.4,0.0,796.0,47.1,345.3,206.7,814.1,297.3,764.0,766.2,380.5,224.2,843.1,323.0,288.7,800.1,663.0,760.6,173.4,730.0,256.1,760.0,376.3,761.5,800.4,752.0,350.8,848.0,237.5,725.7,819.0
QX,434.5,387.1,103.0,483.4,182.5,475.6,232.4,532.5,481.5,566.6,131.4,502.4,217.2,271.6,242.7,509.5,391.3,444.0,146.9,206.4,339.7,424.4,493.2,517.9,232.6,242.4,163.8,430.0,248.8,552.7,359.5,202.0,224.3,207.8,112.3,209.6,424.3,283.0,443.3,502.6,143.3,285.0,466.3,588.9,628.0,366.0,291.1,463.8,106.1,98.3,610.2,339.7,350.3,185.7,346.8,218.1,486.3,539.7,200.2,36.1,416.7,292.8,198.3,550.0,113.3,436.5,409.5,405.9,202.3,596.1,0.0,557.4,381.3,482.6,223.0,349.8,149.0,151.2,301.6,447.3,263.3,353.9,315.3,215.1,183.6,141.6,416.6,137.2,374.7,66.1,300.8,178.7,139.7,195.5,255.6,218.1,460.6,140.7,169.3
RD,210.2,171.2,738.7,139.0,720.3,255.1,770.2,227.1,211.2,43.9,684.6,179.3,616.6,809.4,316.5,683.4,182.4,224.1,690.8,596.2,270.2,341.2,170.1,168.8,632.0,641.8,707.7,193.3,648.2,247.3,276.3,739.8,701.6,745.6,713.0,634.0,184.2,533.4,762.2,153.5,555.2,274.1,245.8,68.4,107.5,266.3,246.9,158.4,673.9,727.0,133.8,347.4,306.8,729.6,318.7,712.0,180.9,15.2,738.0,734.6,192.4,830.6,736.1,169.7,689.9,228.6,200.6,151.9,746.2,38.6,748.8,0.0,298.1,159.5,766.9,250.1,716.8,719.0,368.7,177.0,807.2,284.4,272.2,752.9,608.0,713.4,126.2,675.0,208.9,728.5,352.5,716.5,740.4,704.8,303.6,800.8,190.3,678.5,752.0
RG,233.6,186.2,587.9,278.4,569.5,258.7,634.8,344.4,186.2,321.8,548.4,314.3,465.8,678.4,240.4,552.4,115.8,205.3,559.2,465.2,232.0,260.0,305.1,165.2,524.1,491.0,579.6,209.3,517.2,344.8,224.3,608.8,570.6,614.6,562.2,483.2,148.8,391.9,611.4,292.9,424.2,229.2,269.2,325.0,364.1,195.0,114.6,275.7,523.1,596.0,385.7,263.6,268.6,598.6,291.4,561.2,298.2,258.6,575.4,609.9,215.8,717.7,605.1,330.9,555.1,229.9,114.2,209.2,615.2,315.0,617.8,276.3,0.0,183.7,616.1,119.1,585.8,588.0,263.9,152.0,664.9,237.6,110.5,621.9,479.5,599.3,141.1,551.8,99.2,595.2,318.2,583.3,622.2,554.0,265.4,668.0,185.1,549.5,621.0
SA,215.7,168.3,708.8,165.0,690.4,260.6,712.5,253.1,157.9,208.4,645.9,205.3,586.7,756.1,291.6,630.1,129.1,187.4,636.9,542.9,268.7,291.6,196.1,71.7,601.8,611.9,657.3,234.6,594.9,296.7,237.6,686.5,648.3,715.7,659.7,580.7,130.9,512.8,708.9,179.5,525.3,242.5,251.3,231.4,293.9,208.3,192.3,184.4,644.0,673.7,292.1,276.9,281.9,676.3,304.7,682.1,206.9,145.2,653.1,711.0,197.9,795.4,682.8,260.7,632.8,212.0,170.7,172.8,692.9,201.6,695.5,162.9,293.0,0.0,737.0,196.8,686.9,665.7,308.4,123.7,766.0,250.9,188.2,723.0,557.2,677.0,72.9,629.5,155.6,672.9,327.6,661.0,699.9,674.9,302.1,745.7,137.0,627.2,718.5
SC,500.5,453.1,205.3,549.4,191.5,541.6,131.0,598.5,547.5,632.6,197.4,568.4,307.5,170.2,308.7,575.5,457.3,510.0,224.8,272.4,405.7,458.8,559.2,506.7,321.9,332.7,241.7,496.0,339.1,618.7,424.9,198.4,302.2,161.9,214.6,275.6,490.3,358.3,545.6,568.6,209.3,357.8,532.3,654.9,694.0,392.2,357.1,529.8,172.1,176.2,676.2,360.1,416.3,172.8,423.7,119.8,552.3,605.7,162.2,196.7,482.7,209.5,96.9,616.0,195.2,502.5,475.5,471.9,212.8,662.1,246.7,623.4,467.1,548.6,0.0,415.8,215.0,217.2,332.2,513.3,28.9,419.9,362.5,113.7,257.4,236.4,482.6,130.8,440.7,138.6,366.8,140.1,242.0,97.2,321.6,320.4,526.6,137.1,291.4
SF,212.9,165.5,562.2,257.7,543.8,257.8,593.7,323.7,185.3,299.6,522.7,293.6,440.1,632.9,194.9,506.9,95.1,184.6,514.3,419.7,211.3,282.3,284.4,287.5,455.5,465.3,531.2,208.4,471.7,343.9,217.4,563.3,525.1,569.1,536.5,457.5,128.1,356.9,585.7,272.2,378.7,215.2,248.5,324.1,363.2,207.4,70.4,255.0,497.4,550.5,384.8,288.5,247.9,553.1,259.8,535.5,277.5,237.9,561.5,558.1,195.1,654.1,559.6,330.0,513.4,209.2,113.3,184.3,569.7,294.3,572.3,255.6,239.2,186.4,590.4,0.0,540.3,542.5,253.8,151.1,630.7,225.5,95.7,576.4,431.5,536.9,120.4,498.5,78.5,552.0,293.6,540.0,563.9,528.3,207.8,624.3,164.4,502.0,575.5
ST,464.5,417.1,125.5,513.4,238.8,505.6,288.7,562.5,511.5,594.3,24.2,532.4,209.6,327.9,272.7,539.5,421.3,474.0,168.8,102.7,369.7,422.8,523.2,470.7,224.0,234.8,186.3,460.0,241.2,582.7,388.9,242.5,246.8,264.1,134.8,86.6,454.3,190.1,202.0,532.6,79.7,321.8,496.3,618.9,658.0,356.2,321.1,493.8,146.6,120.8,640.2,369.7,380.3,208.2,387.7,240.6,516.3,569.7,209.1,82.9,446.7,367.2,254.6,580.0,139.8,466.5,439.5,440.1,224.8,626.1,166.9,587.4,411.3,512.6,245.5,379.8,0.0,48.2,296.2,477.3,274.5,375.3,345.3,271.4,60.6,164.1,446.6,177.7,404.7,88.6,330.8,260.9,162.2,218.0,285.6,240.6,490.6,181.2,211.6
SW,426.7,379.3,77.2,475.6,190.5,467.8,240.4,524.7,473.7,558.8,109.0,494.6,191.4,279.6,234.9,501.7,383.5,436.2,121.1,198.6,331.9,416.6,485.4,510.1,206.8,216.6,138.0,422.2,223.0,544.9,351.7,194.2,198.5,215.8,86.5,201.8,416.5,275.2,417.5,494.8,135.5,277.2,458.5,581.1,620.2,358.2,283.3,456.0,98.3,72.5,602.4,331.9,342.5,159.9,339.0,192.3,478.5,531.9,236.3,28.3,408.9,300.8,206.3,542.2,87.5,428.7,401.7,398.1,176.5,588.3,118.6,549.6,373.5,474.8,197.2,342.0,141.2,0.0,293.8,439.5,237.5,346.1,307.5,223.1,175.8,115.8,408.8,129.4,366.9,40.3,293.0,214.8,113.9,169.7,247.8,192.3,452.8,132.9,143.5
SY,310.0,262.6,546.7,358.9,528.3,386.5,538.4,408.0,339.0,454.8,457.2,377.9,424.6,582.0,153.6,456.0,248.8,319.5,462.8,368.8,215.2,268.3,368.7,298.2,427.7,449.8,483.2,305.5,420.8,428.2,221.2,512.4,474.2,518.2,521.0,442.0,281.8,315.3,587.3,378.1,363.2,167.3,341.8,513.2,552.3,201.7,149.9,339.3,481.9,499.6,509.7,169.6,225.8,502.2,233.2,520.0,361.8,391.6,479.0,513.5,292.2,621.3,508.7,480.2,458.7,312.0,267.0,285.6,518.8,448.0,521.4,409.3,276.6,316.7,539.5,207.3,489.4,491.6,0.0,304.8,568.5,220.8,154.0,525.5,383.1,502.9,274.1,455.4,232.2,498.8,180.2,486.9,525.8,512.8,131.1,571.6,318.1,453.1,544.4
TD,201.8,154.4,671.5,202.9,653.1,246.7,698.6,291.0,34.1,244.8,617.4,243.2,549.4,742.2,277.7,616.2,115.2,173.5,623.0,529.0,231.4,259.4,234.0,89.7,582.8,574.6,640.5,197.3,581.0,311.2,236.9,672.6,634.4,678.4,645.8,566.8,117.0,475.5,747.5,217.4,488.0,235.3,237.4,269.3,308.4,194.4,178.4,222.3,606.7,659.8,330.0,308.6,268.0,662.4,290.8,644.8,244.8,183.1,670.8,673.7,184.0,781.5,668.9,275.2,618.9,198.1,133.4,177.4,679.0,239.5,681.6,200.8,259.3,131.6,699.7,182.9,649.6,651.8,329.9,0.0,728.7,237.0,205.0,685.7,540.8,646.2,59.0,615.6,141.7,659.0,313.7,649.3,673.2,637.6,264.8,731.8,13.2,611.3,704.6
TN,471.5,424.1,176.3,520.4,162.5,512.6,97.6,569.5,518.5,601.7,168.4,539.4,278.5,141.2,279.7,546.5,428.3,481.0,195.8,243.4,376.7,429.8,530.2,477.7,320.3,303.7,215.6,467.0,310.1,589.7,395.9,169.4,273.2,132.9,185.6,246.6,461.3,329.3,516.6,539.6,180.3,322.0,503.3,625.9,665.0,363.2,328.1,500.8,143.1,147.2,647.2,376.7,387.3,143.8,394.7,90.8,523.3,576.7,133.2,167.7,453.7,162.4,67.9,587.0,162.2,473.5,446.5,442.9,183.8,633.1,217.7,594.4,418.3,496.2,167.8,386.8,186.0,188.2,338.6,484.3,0.0,382.3,352.3,84.7,223.1,190.5,453.6,109.6,411.7,109.6,337.8,113.3,225.8,68.2,292.6,289.6,497.6,110.1,242.6
UE,208.4,161.0,579.3,253.2,552.3,261.9,602.2,319.2,180.8,296.6,516.6,289.1,448.6,641.4,203.4,515.4,90.6,180.1,522.2,428.2,206.8,229.7,279.9,140.0,487.1,473.8,542.6,203.9,480.2,339.4,199.1,571.8,533.6,577.6,545.0,474.6,123.6,374.7,646.7,267.7,387.2,204.0,244.0,328.2,358.7,169.8,77.6,250.5,505.9,559.0,388.9,238.4,243.4,561.6,266.2,544.0,273.0,233.4,538.4,581.5,190.6,680.7,568.1,325.5,518.1,204.7,108.8,184.0,578.2,289.8,580.8,251.1,254.5,158.5,598.9,82.1,548.8,551.0,226.9,146.6,627.9,0.0,73.5,584.9,442.5,562.3,115.9,514.8,74.0,558.2,293.0,546.3,585.2,536.8,240.2,631.0,159.9,512.5,603.8
UM,235.8,188.4,528.5,280.6,478.7,280.7,560.0,346.6,208.2,324.0,489.0,316.5,406.4,599.2,161.2,473.2,118.0,207.5,480.0,386.0,234.2,257.1,307.3,167.4,444.9,400.2,500.4,208.0,438.0,366.8,226.5,529.6,491.4,535.4,502.8,392.4,151.0,332.5,552.0,295.1,345.0,231.4,271.4,323.7,386.1,197.2,35.4,277.9,432.3,516.8,407.7,212.6,270.8,519.4,293.6,501.8,300.4,260.8,496.2,530.7,218.0,638.5,525.9,352.9,475.9,232.1,136.2,211.4,536.0,293.9,538.6,278.5,281.9,185.9,556.7,76.5,506.6,508.8,184.7,150.7,585.7,239.8,0.0,542.7,400.3,520.1,143.3,472.6,101.4,516.0,223.2,504.1,543.0,494.6,142.7,588.8,187.3,470.3,561.6
US,546.8,499.4,251.6,595.7,168.3,587.9,167.0,644.8,593.8,676.6,229.1,614.7,353.8,91.8,355.0,621.8,503.6,556.3,270.5,318.7,452.0,505.1,605.5,553.0,377.2,379.0,288.0,542.3,385.4,665.0,471.8,244.7,313.1,83.5,260.9,321.9,536.6,404.6,328.1,614.9,255.6,397.3,578.6,701.2,740.3,438.5,403.4,576.1,218.4,222.5,722.5,452.0,462.6,213.2,451.1,166.1,598.6,652.0,208.5,243.0,529.0,258.1,137.3,662.3,237.5,548.8,521.8,518.2,253.2,708.4,293.0,669.7,513.4,594.9,237.2,462.1,261.3,263.5,378.5,559.6,266.2,457.6,427.6,0.0,295.9,265.8,528.9,177.1,487.0,192.4,417.0,186.4,288.3,152.8,367.9,364.9,572.9,185.4,337.7
UU,444.8,397.4,263.2,493.7,377.3,488.4,391.1,542.8,491.8,575.0,390.2,512.7,141.1,463.9,255.5,519.8,401.6,454.3,215.3,180.4,352.5,397.8,503.5,451.0,179.6,171.6,232.2,440.3,178.0,563.0,364.5,455.2,233.9,394.8,237.5,26.0,434.6,129.4,344.5,512.9,139.4,297.8,476.6,593.9,640.8,371.0,296.1,474.1,379.5,256.8,615.2,344.7,360.6,259.4,357.1,371.3,491.3,550.0,415.3,321.1,427.0,467.8,390.6,560.3,214.4,446.8,419.8,410.9,276.0,608.9,278.6,567.7,386.3,487.6,291.4,360.1,427.7,429.9,306.6,457.6,320.4,358.9,320.3,402.1,0.0,237.9,426.9,390.1,385.0,258.3,309.7,393.8,264.9,354.0,265.9,325.3,470.9,388.6,276.5
UX,505.4,458.0,193.1,554.3,299.4,529.6,321.0,603.4,552.4,635.6,320.1,573.3,71.0,405.4,296.7,580.4,462.2,514.9,161.5,241.0,393.7,451.9,564.1,494.7,126.4,96.2,181.9,500.9,119.5,606.7,416.6,396.7,156.0,324.7,184.3,261.9,495.2,170.6,233.5,573.5,200.0,362.7,537.2,642.9,682.0,397.1,363.3,517.8,309.4,198.3,681.1,365.0,421.2,200.9,428.6,301.2,540.3,610.6,360.5,262.6,487.6,409.3,332.1,620.9,157.4,507.4,480.4,481.0,217.5,650.1,220.1,628.3,472.0,530.1,238.2,420.7,352.3,371.4,337.1,501.3,250.3,416.2,367.4,332.0,255.3,0.0,487.5,336.9,428.7,197.5,375.6,338.4,224.5,278.6,309.6,270.3,531.5,337.4,243.1
VA,142.7,95.3,612.4,137.2,594.0,187.6,643.9,225.3,84.9,179.1,558.3,177.5,490.3,683.1,218.6,557.1,56.1,114.4,564.5,469.9,172.3,243.3,168.3,167.0,505.7,515.5,581.4,138.2,521.9,245.5,178.4,613.5,575.3,619.3,586.7,507.7,57.9,407.1,688.4,151.7,428.9,176.2,178.3,203.6,242.7,168.4,120.6,156.6,547.6,600.7,264.3,249.5,208.9,603.3,220.8,585.7,179.1,117.4,611.7,608.3,124.9,704.3,609.8,209.5,563.6,139.0,74.3,114.1,619.9,173.8,622.5,135.1,200.2,65.9,640.6,123.8,590.5,592.7,270.8,50.7,680.9,186.5,145.9,626.6,481.7,587.1,0.0,548.7,82.6,602.2,254.6,590.2,614.1,578.5,205.7,674.5,64.0,552.2,625.7
VF,457.9,410.5,244.1,506.8,205.9,499.0,248.0,555.9,504.9,588.1,132.4,525.8,356.0,295.0,266.1,532.9,414.7,467.4,295.2,229.8,355.3,416.2,516.6,456.3,394.5,373.4,315.6,453.4,387.6,576.1,369.1,225.4,365.4,231.2,253.4,233.0,447.7,307.9,320.6,526.0,158.9,308.4,489.7,612.3,651.4,349.6,315.8,479.4,129.5,247.2,633.6,317.5,373.7,334.6,381.1,197.6,509.7,563.1,31.3,65.8,440.1,334.3,221.7,565.6,266.2,459.9,432.9,433.5,351.2,611.7,293.3,580.8,424.5,482.6,364.1,373.2,164.6,174.6,289.6,462.9,400.9,368.7,319.9,230.7,207.0,307.4,440.0,0.0,390.3,217.1,328.1,199.9,301.4,182.6,271.2,365.2,484.0,166.1,338.0
WR,188.4,141.0,563.8,233.2,545.4,233.3,590.9,299.2,160.8,294.2,524.3,269.1,441.7,634.5,196.5,508.5,70.6,160.1,515.9,421.3,186.8,209.2,259.9,120.0,457.1,466.9,535.7,183.9,473.3,319.4,192.9,564.9,526.7,570.7,538.1,459.1,103.6,367.8,587.3,247.7,380.3,183.0,224.0,318.7,357.8,182.9,72.0,230.5,499.0,552.1,384.1,264.0,223.4,554.7,229.6,537.1,253.0,238.9,563.1,566.0,170.6,673.8,561.2,305.5,515.0,184.7,88.8,164.0,571.3,266.4,573.9,227.7,234.5,161.9,592.0,75.2,541.9,544.1,220.0,126.6,621.0,192.4,97.3,578.0,440.9,555.4,95.9,500.1,0.0,553.6,269.1,539.4,578.3,529.9,209.4,625.9,139.9,505.6,577.1
WV,470.4,423.0,51.7,519.3,150.2,513.8,193.5,568.4,516.0,602.5,165.9,538.3,161.3,239.2,277.2,545.4,427.2,479.9,80.8,242.3,374.2,427.3,529.1,475.2,205.3,186.5,97.7,464.5,195.0,587.2,394.0,230.5,158.2,173.3,64.7,244.1,460.2,326.8,128.2,538.5,177.8,327.7,502.2,623.4,666.2,400.5,325.6,498.3,144.3,32.1,646.1,374.2,386.2,119.5,377.0,152.0,520.8,575.6,196.0,76.9,452.6,278.5,165.9,584.5,47.2,472.4,444.0,440.4,136.1,632.0,94.5,593.3,415.8,517.1,156.8,385.7,184.9,187.1,336.1,481.8,185.9,388.4,349.8,180.6,222.0,75.5,452.5,163.0,409.2,0.0,336.7,172.3,88.4,129.3,290.1,166.8,496.5,169.3,118.0
XF,237.7,190.3,498.3,286.6,456.5,282.7,525.4,335.7,330.3,391.9,448.1,305.6,352.8,569.0,48.0,443.0,240.1,247.2,427.0,355.8,142.9,196.0,296.4,289.5,396.8,401.4,443.9,233.2,407.8,355.9,152.8,499.4,465.1,481.8,472.6,393.6,273.1,302.3,578.2,305.8,314.8,64.8,269.5,416.1,431.8,145.8,116.5,267.0,433.5,486.6,441.3,119.5,153.5,489.2,145.9,448.2,289.5,342.9,474.2,500.5,219.9,594.1,495.7,386.5,426.1,239.7,258.3,185.7,505.8,403.2,508.4,360.6,161.1,308.0,526.5,198.6,480.3,478.6,81.4,296.1,555.5,133.7,140.7,512.5,370.1,449.6,265.4,411.2,227.4,476.3,0.0,452.7,476.6,464.4,58.8,537.0,309.4,414.7,488.2
XG,505.1,457.7,209.9,554.0,122.6,546.2,168.1,603.1,552.1,635.3,202.0,573.0,312.1,211.7,313.3,580.1,461.9,514.6,228.8,277.0,410.3,463.4,563.8,513.5,356.1,337.3,249.2,500.6,343.7,625.5,416.3,203.0,306.8,147.9,219.2,280.2,494.9,362.9,288.6,573.2,216.1,362.4,536.9,659.5,698.6,396.8,363.0,536.6,176.7,180.8,680.8,364.7,420.9,214.3,428.3,124.4,556.9,610.3,166.8,201.3,487.3,251.0,138.4,620.6,199.8,507.1,480.1,480.7,254.3,666.7,251.3,628.0,471.7,529.8,238.3,420.4,219.6,221.8,336.8,520.1,267.3,415.9,367.1,157.4,256.7,241.0,487.2,143.2,447.5,150.7,375.3,0.0,259.4,104.0,328.4,323.2,531.2,143.7,296.0
XK,475.5,428.1,199.5,524.4,305.8,516.6,314.6,573.5,522.5,605.7,326.5,543.4,64.6,394.9,283.7,550.5,432.3,485.0,151.0,211.1,367.9,426.1,534.2,481.7,115.9,89.8,171.4,458.2,109.0,593.7,386.7,386.2,162.4,331.1,161.0,248.9,465.3,144.8,290.7,543.6,170.1,332.8,507.3,617.1,656.2,367.2,333.4,504.8,315.8,187.8,651.2,335.1,391.3,190.4,398.7,307.6,514.5,580.7,350.0,239.3,457.7,398.8,321.6,578.2,146.9,477.5,450.5,451.1,207.0,624.3,209.6,598.4,442.1,500.2,227.7,390.8,345.9,360.9,307.2,488.3,256.7,386.3,337.5,325.6,225.4,191.1,457.6,326.4,402.9,187.0,345.7,327.9,0.0,272.2,296.6,259.8,501.6,326.9,232.6
XS,511.7,464.3,216.5,560.6,129.2,552.8,179.1,609.7,558.7,641.5,194.0,579.6,318.7,218.3,319.9,586.7,468.5,521.2,235.4,283.6,416.9,470.0,570.4,517.9,352.1,343.9,252.9,507.2,350.3,629.9,436.1,209.6,313.4,154.5,225.8,286.8,501.5,369.5,556.8,579.8,220.5,369.0,543.5,666.1,705.2,443.2,368.3,541.0,183.3,187.4,687.4,416.9,427.5,220.9,416.0,131.0,563.5,616.9,173.4,207.9,493.9,265.8,145.0,627.2,202.4,513.7,486.7,483.1,260.9,673.3,257.9,634.6,458.5,536.4,244.9,427.0,226.2,228.4,378.8,524.5,273.9,422.5,392.5,161.8,260.8,230.7,493.8,149.8,451.9,155.2,378.0,153.5,266.0,0.0,332.8,329.8,537.8,148.3,282.8
XX,178.8,131.4,463.1,227.7,444.7,219.9,490.2,276.8,276.1,332.6,423.6,246.7,341.0,533.8,12.8,407.8,188.9,188.3,414.6,320.6,84.0,137.1,237.5,235.3,385.0,366.2,432.1,174.3,372.6,297.0,90.0,464.2,426.0,470.0,437.4,358.4,186.3,267.1,539.1,246.9,279.6,29.3,210.6,357.2,396.3,70.5,104.7,208.1,398.3,451.4,378.5,84.0,94.6,454.0,102.0,436.4,230.6,284.0,430.8,465.3,161.0,573.1,460.5,323.7,410.5,180.8,207.1,154.4,470.6,340.4,473.2,301.7,145.4,253.8,491.3,163.4,441.2,443.4,65.0,241.9,520.3,89.6,128.9,477.3,332.4,437.8,211.2,407.2,172.3,450.6,48.8,440.9,464.8,429.2,0.0,523.4,255.2,402.9,496.2
YK,420.1,372.7,237.7,469.0,344.0,501.6,376.1,518.1,467.1,550.3,385.4,488.0,121.7,439.2,268.7,495.1,376.9,429.6,195.3,155.7,325.3,418.8,478.8,426.3,160.2,146.9,215.7,456.0,153.3,538.3,331.3,430.5,200.6,369.3,218.1,193.5,409.9,102.2,261.2,488.2,114.7,277.4,451.9,614.9,613.6,311.8,278.0,449.4,360.1,232.1,595.8,279.7,335.9,234.7,343.3,345.8,512.3,525.3,394.3,290.3,402.3,443.1,365.9,576.0,191.2,422.1,395.1,395.7,251.3,581.7,253.9,543.0,386.7,444.8,265.9,335.4,403.0,405.2,251.8,432.9,301.0,330.9,282.1,376.6,170.0,235.4,402.2,370.7,360.3,231.3,290.3,372.2,258.3,329.3,241.2,0.0,446.2,371.2,276.9
ZD,188.5,141.1,658.2,189.6,639.8,233.4,689.7,277.7,130.7,231.5,618.7,229.9,536.1,728.9,264.4,602.9,101.9,160.2,610.3,515.7,218.1,289.1,220.7,219.4,551.5,561.3,627.2,184.0,567.7,297.9,224.2,659.3,621.1,665.1,632.5,553.5,103.7,452.9,681.7,204.1,474.7,222.0,224.1,256.0,295.1,214.2,166.4,209.0,593.4,646.5,316.7,295.3,254.7,649.1,266.6,631.5,231.5,169.8,657.5,654.1,170.7,750.1,655.6,261.9,609.4,184.8,120.1,159.9,665.7,226.2,668.3,187.5,246.0,118.3,686.4,169.6,636.3,638.5,316.6,96.5,726.7,232.3,191.7,672.4,527.5,632.9,45.7,594.5,128.4,648.0,300.4,636.0,659.9,624.3,251.5,720.3,0.0,598.0,671.5
ZQ,437.3,389.9,147.8,486.2,88.6,480.4,136.1,535.3,484.3,567.5,134.2,505.2,250.0,177.7,245.5,512.3,394.1,446.8,166.7,209.2,342.5,395.6,496.0,443.5,288.5,275.2,187.1,432.8,281.6,555.5,348.5,61.2,244.7,98.8,157.1,212.4,427.1,295.1,224.3,505.4,146.1,294.6,469.1,591.7,632.8,329.0,295.2,466.6,108.9,118.7,613.0,296.9,353.1,180.3,360.5,56.6,489.1,542.5,99.0,133.5,419.5,217.0,104.4,552.8,137.7,439.3,412.3,412.9,220.3,600.9,189.2,560.2,403.9,462.0,204.3,352.6,153.8,154.0,269.0,450.1,233.3,348.1,299.3,121.2,188.9,178.9,419.4,75.4,377.5,88.6,307.5,82.6,197.3,73.1,258.4,261.1,463.4,0.0,233.9
ZT,468.9,421.5,264.9,517.8,371.2,490.2,392.8,566.9,496.1,599.1,391.9,536.8,162.6,480.1,257.3,543.9,425.7,478.4,236.2,204.5,354.3,407.4,527.6,455.3,201.1,168.0,256.6,464.4,194.2,587.1,380.1,471.4,227.8,416.3,259.0,242.3,458.7,131.2,288.4,537.0,163.5,326.2,500.7,623.3,642.6,360.6,326.8,498.2,401.0,273.0,644.6,328.5,384.7,275.6,392.1,392.8,520.7,574.1,435.2,337.3,451.1,484.0,406.8,584.4,232.1,470.9,424.1,444.5,292.2,610.7,294.8,591.8,415.7,493.6,293.1,384.2,424.1,446.1,300.6,481.7,322.1,379.7,330.9,423.6,218.8,276.3,451.0,411.6,389.3,272.2,339.1,413.1,299.2,370.2,290.0,46.9,495.0,412.1,0.0
