from_stop,AC,AG,AI,AV,AZ,BB,BF,BJ,BP,BQ,CL,CP,CQ,CR,CT,CU,CZ,DI,DL,DZ,EB,EE,EI,EJ,EN,EP,ET,FC,FJ,FL,FP,FW,GB,GE,GG,GN,GO,GS,GT,HI,HJ,HV,IA,IB,ID,IE,IG,II,IK,IL,IR,IS,IW,JA,JC,JG,JI,JK,JP,KE,KI,KK,KM,KQ,KX,KY,LB,LG,LI,LJ,LY,MF,MP,MS,MT,MZ,NB,ND,NE,NF,NM,NN,NY,NZ,OA,OD,OE,OI,OK,ON,OT,OW,OZ,PA,PD,PJ,PN,PO,PQ,PR,PU,PV,PW,QD,QP,QR,QV,RA,RC,RF,RK,RO,RQ,RR,RS,RV,SD,SI,SL,SM,SN,TA,TC,TJ,TL,TV,UD,UE,UF,UJ,UL,UM,UN,UQ,UZ,VA,VD,VE,VG,VQ,VV,WC,WD,WE,WL,WT,XA,XJ,XL,XP,XT,YA,YL,YM,YN,YT,YV,ZO,ZW,ZX
HJ,123.5,795.3,833.1,456.1,112.3,272.7,951.8,769.1,286.9,840.6,770.5,381.2,871.0,380.9,218.1,349.5,442.8,798.4,259.6,818.1,336.4,825.8,365.0,302.8,868.0,375.8,313.3,331.3,262.5,711.2,714.1,812.0,298.3,365.2,234.7,122.4,613.4,623.7,812.4,444.7,0.0,344.4,925.2,821.8,860.4,956.1,739.2,282.8,514.5,69.0,801.6,540.0,323.9,752.2,164.3,341.4,632.5,830.3,927.0,311.3,511.7,893.2,865.8,305.1,190.6,774.0,408.8,286.5,829.4,500.3,437.0,755.1,769.5,353.9,282.8,788.8,674.9,580.3,577.6,334.8,517.1,891.1,906.2,243.7,362.9,284.3,620.0,577.0,766.7,296.6,916.1,813.3,555.6,791.2,940.7,518.8,141.4,804.0,229.9,318.1,394.3,783.8,853.8,349.6,342.9,804.3,919.9,186.5,826.4,273.2,882.5,276.5,341.4,448.7,778.0,864.9,974.8,366.5,1962.5,290.5,802.4,161.4,345.1,776.2,206.1,781.5,483.3,331.5,273.2,454.9,364.6,804.0,868.9,812.2,286.6,807.9,821.9,727.2,697.7,513.2,787.8,838.6,267.2,242.9,899.4,434.4,309.2,903.6,324.7,546.9,793.0,108.1,280.4,293.2,828.3,329.6,317.9,416.8,812.6,562.9
HV,219.4,578.2,616.0,276.4,266.7,181.7,730.7,642.8,204.8,651.5,649.2,210.1,690.6,186.8,355.0,255.2,263.1,726.7,145.2,694.1,57.2,723.1,167.3,234.4,665.5,181.7,252.4,79.2,137.6,494.1,497.0,644.1,216.2,167.5,310.7,330.9,501.2,429.8,591.3,250.6,320.0,0.0,704.1,600.7,682.6,735.0,522.0,85.1,381.6,264.2,774.8,390.2,126.2,594.1,279.0,195.6,436.8,627.8,705.9,113.6,273.4,757.0,839.0,354.1,332.0,661.6,211.1,263.8,612.3,334.4,257.3,538.0,619.2,102.9,331.8,571.7,481.0,468.1,451.0,137.1,351.2,688.6,685.1,161.6,168.8,74.8,507.8,433.5,549.6,62.5,695.0,596.2,431.6,570.1,719.6,339.1,371.9,614.9,120.1,81.1,171.7,562.7,632.7,135.6,217.1,583.2,698.8,383.3,609.3,322.2,680.0,110.2,195.6,242.9,678.7,721.8,743.2,176.3,2099.7,92.8,581.3,218.6,165.4,556.5,238.5,564.4,303.6,64.4,102.1,275.2,67.4,586.9,716.5,623.1,106.9,586.8,681.3,506.1,634.2,320.9,716.1,694.6,343.2,278.7,702.1,227.5,85.5,675.3,127.0,377.6,662.1,306.3,264.1,113.5,607.2,157.7,164.0,238.0,785.8,375.0
IA,765.5,322.7,322.0,495.6,812.8,738.0,145.6,191.8,752.2,202.8,269.6,825.8,105.5,652.9,792.1,802.8,573.5,158.8,691.3,166.9,720.3,120.0,731.4,704.3,107.7,659.9,800.0,689.8,747.8,299.8,302.7,116.9,763.6,633.0,856.8,833.2,367.2,428.9,284.1,628.6,866.1,730.8,0.0,248.2,79.5,56.4,246.8,649.2,599.0,810.3,236.0,403.5,690.3,158.7,794.6,743.2,364.2,100.6,27.3,677.7,561.0,153.9,229.0,789.2,769.1,226.2,642.3,718.9,418.0,459.2,567.7,343.7,246.7,712.4,766.9,306.9,341.2,354.7,404.8,701.2,515.9,52.6,100.0,712.8,675.8,749.3,361.6,446.8,319.1,737.0,16.4,401.9,434.2,262.9,41.0,488.4,809.0,190.6,715.2,705.5,699.4,210.2,75.7,745.1,744.4,230.7,65.7,820.4,324.4,752.5,60.4,784.7,743.2,597.7,151.5,118.7,158.1,740.4,1839.5,656.9,228.8,764.7,537.9,153.7,784.6,281.9,560.6,717.9,758.5,574.5,751.0,292.9,113.4,183.7,604.6,279.6,154.1,230.9,232.3,567.0,173.7,109.8,889.3,715.8,117.0,616.3,760.0,90.2,691.1,470.2,134.9,852.4,755.8,598.0,166.5,705.3,710.1,626.0,247.0,467.6
IB,663.5,183.5,154.0,393.6,710.8,627.1,256.2,150.3,650.2,177.0,156.7,723.8,216.1,550.9,690.1,700.8,471.5,236.2,589.3,219.6,618.3,248.6,629.4,602.3,191.0,557.9,698.0,587.8,645.8,197.8,174.8,169.6,661.6,531.0,754.8,731.2,298.1,326.9,145.4,526.6,764.1,628.8,229.6,0.0,208.1,260.5,144.8,547.2,497.0,708.3,288.7,301.5,588.3,133.4,692.6,641.2,260.4,153.3,231.4,575.7,459.0,282.5,339.6,687.2,667.1,185.4,540.3,616.9,247.8,357.2,465.7,241.5,126.7,610.4,664.9,212.7,239.2,285.6,302.8,599.2,413.9,214.1,210.6,610.8,568.2,647.3,292.5,344.8,185.1,635.0,220.5,231.7,332.2,178.9,245.1,386.4,707.0,140.4,613.2,603.5,597.4,42.2,158.2,643.1,642.4,71.1,224.3,718.4,250.3,650.5,205.5,682.7,641.2,488.5,204.2,251.7,268.7,638.4,1798.7,554.9,60.8,662.7,435.9,82.0,682.6,113.9,458.6,615.9,656.5,472.5,649.0,124.9,242.0,148.6,502.6,165.2,206.8,128.9,112.3,465.0,225.6,220.1,787.3,613.2,227.6,514.3,658.0,200.8,589.1,368.2,187.6,750.4,656.1,496.0,132.7,603.3,608.1,524.0,299.7,365.6
ID,730.8,290.1,287.3,460.9,778.1,703.3,130.9,157.1,717.5,245.6,234.9,791.1,77.9,618.2,757.4,768.1,538.8,79.2,656.6,97.3,685.6,40.4,696.7,669.6,126.5,625.2,765.3,655.1,713.1,265.1,268.0,71.4,728.9,598.3,822.1,798.5,347.3,394.2,249.4,593.9,831.4,696.1,86.3,213.5,0.0,117.2,212.1,614.5,564.3,775.6,166.4,368.8,655.6,124.0,759.9,708.5,329.5,75.1,88.1,643.0,526.3,74.3,214.3,754.5,734.4,191.5,607.6,684.2,383.3,424.5,533.0,309.0,212.0,677.7,732.2,342.7,306.5,334.8,370.1,666.5,481.2,71.4,85.3,678.1,641.1,714.6,341.7,412.1,320.6,702.3,77.2,367.2,399.5,228.2,101.8,453.7,774.3,164.8,680.5,670.8,664.7,175.5,41.0,710.4,709.7,196.0,81.0,785.7,360.2,717.8,79.2,750.0,708.5,563.0,81.9,39.1,143.4,705.7,1804.8,622.2,194.1,730.0,503.2,119.0,749.9,247.2,525.9,683.2,723.8,539.8,716.3,258.2,33.8,173.0,569.9,244.9,101.1,196.2,197.6,532.3,104.1,30.2,854.6,681.1,106.3,581.6,725.3,75.5,656.4,435.5,65.3,817.7,721.1,563.3,131.8,670.6,675.4,591.3,177.4,432.9
IE,811.7,348.9,368.2,541.8,859.0,784.2,191.8,238.0,798.4,229.0,315.8,872.0,151.7,699.1,838.3,849.0,619.7,205.0,737.5,213.1,766.5,166.2,777.6,750.5,153.9,706.1,846.2,736.0,794.0,346.0,348.9,163.1,809.8,679.2,903.0,879.4,413.4,475.1,330.3,674.8,912.3,777.0,51.7,294.4,125.7,0.0,293.0,695.4,645.2,856.5,282.2,449.7,736.5,204.9,840.8,789.4,410.4,146.8,26.9,723.9,607.2,200.1,275.2,835.4,815.3,272.4,688.5,765.1,440.7,505.4,613.9,389.9,292.9,758.6,813.1,333.1,387.4,400.9,451.0,747.4,562.1,98.8,146.2,759.0,722.0,795.5,407.8,493.0,345.3,783.2,37.0,424.6,480.4,309.1,14.2,534.6,855.2,216.8,761.4,751.7,745.6,256.4,121.9,791.3,790.6,276.9,111.9,866.6,350.6,798.7,106.6,830.9,789.4,643.9,197.7,164.9,204.3,786.6,1885.7,703.1,275.0,810.9,584.1,199.9,830.8,328.1,606.8,764.1,804.7,620.7,797.2,339.1,159.6,209.9,650.8,325.8,200.3,277.1,278.5,613.2,219.9,156.0,935.5,762.0,163.2,662.5,806.2,136.4,737.3,516.4,181.1,898.6,802.0,644.2,212.7,751.5,756.3,672.2,293.2,513.8
IG,592.3,163.6,178.4,322.4,639.6,555.9,262.3,174.4,579.0,179.2,180.8,652.6,222.2,479.7,618.9,629.6,400.3,243.1,518.1,225.7,547.1,254.7,558.2,531.1,197.1,486.7,626.8,516.6,574.6,126.6,137.2,175.7,586.5,459.8,683.6,660.0,194.0,255.7,122.9,455.4,689.0,553.7,235.7,128.4,214.2,266.6,0.0,472.1,425.8,637.1,290.9,230.3,517.1,125.7,621.4,570.0,189.2,159.4,237.5,504.5,387.8,288.6,345.7,616.0,595.9,193.2,469.9,545.7,244.8,282.1,394.5,170.5,150.8,539.2,593.7,205.6,164.1,181.5,227.7,528.0,342.7,220.2,216.7,535.8,497.0,576.1,188.4,261.3,182.1,563.8,226.6,228.7,261.0,97.8,251.2,315.2,635.8,146.5,538.1,532.3,526.2,90.4,164.3,571.9,571.2,114.8,230.4,647.2,243.2,584.1,211.6,611.5,570.0,395.2,210.3,257.8,274.8,567.2,1806.5,483.7,112.9,591.5,364.7,88.1,611.4,130.7,387.4,544.7,585.3,401.3,577.8,153.2,248.1,154.7,431.4,118.4,209.0,15.8,141.4,393.8,234.5,226.2,716.1,542.0,233.7,443.1,586.8,206.9,517.9,297.0,193.7,679.2,584.9,424.8,138.8,532.1,536.9,452.8,305.8,294.4
II,149.5,528.3,566.1,226.5,196.8,113.1,680.8,592.9,136.2,601.6,592.2,247.9,640.7,101.6,279.5,170.0,213.2,676.8,75.3,644.2,88.8,673.2,82.1,149.2,615.6,96.5,167.2,110.8,131.8,444.2,447.1,594.2,147.6,82.3,240.8,261.0,451.3,379.9,541.4,165.4,250.1,96.8,654.2,550.8,632.7,685.1,472.1,0.0,347.9,194.3,724.9,340.3,41.0,544.2,209.1,110.4,386.9,577.9,656.0,28.4,188.2,707.1,789.1,268.9,256.5,611.7,147.9,188.3,562.4,284.5,207.4,488.1,569.3,134.5,246.6,521.8,431.1,418.2,401.1,51.9,301.3,638.7,635.2,96.8,83.6,124.4,457.9,371.3,499.7,112.1,645.1,546.3,381.7,520.2,669.7,289.2,305.1,565.0,99.2,130.7,86.5,512.8,582.8,167.2,131.9,533.3,648.9,307.8,539.3,232.2,630.1,159.8,110.4,169.4,628.8,671.3,693.3,91.1,2036.5,7.6,531.4,148.7,115.5,506.6,168.6,514.5,253.7,83.9,151.7,225.3,117.0,537.0,666.6,573.2,57.0,536.9,631.4,456.2,584.3,271.0,666.2,644.7,273.3,202.6,652.2,142.3,135.1,625.4,41.8,327.7,612.2,236.4,188.6,63.6,557.3,72.5,94.1,250.2,735.9,325.1
IK,401.0,464.6,502.4,110.4,448.3,364.6,621.1,512.4,387.7,541.9,513.8,502.0,614.3,213.2,344.8,363.1,126.5,541.7,326.8,561.4,358.3,569.1,285.6,257.0,555.9,220.2,360.3,380.3,383.3,380.5,383.4,555.3,399.1,214.2,417.7,385.9,327.7,256.3,481.7,196.5,501.6,366.3,594.5,491.1,573.0,625.4,408.5,284.7,0.0,445.8,544.9,216.7,283.6,495.5,347.3,303.5,265.1,518.2,596.3,267.8,128.9,636.5,609.1,341.9,321.8,517.3,162.9,271.6,498.7,117.5,120.7,424.4,512.8,404.0,319.6,458.1,307.5,294.6,277.5,244.2,134.3,579.0,575.5,344.5,236.1,393.9,334.3,258.4,436.0,381.6,585.4,482.6,236.7,460.5,610.0,173.1,361.7,505.3,350.7,400.2,259.7,453.1,523.1,436.7,297.1,473.6,589.2,373.1,475.6,305.2,570.4,397.3,303.5,165.6,521.3,608.2,633.6,302.2,2012.9,292.4,471.7,400.2,173.4,446.9,420.1,450.8,214.2,353.4,394.0,138.6,386.5,473.3,612.2,513.5,240.1,477.2,565.2,396.5,441.0,130.4,531.1,581.9,450.2,267.9,592.5,189.3,404.6,565.7,282.9,164.1,536.3,487.9,308.5,233.5,497.6,265.6,345.6,171.7,555.9,180.1
IL,54.4,688.8,726.6,387.0,43.2,203.6,841.3,738.4,217.8,814.1,732.7,312.1,840.3,311.8,187.4,257.6,373.7,767.7,190.5,787.4,267.3,795.1,295.9,272.1,776.1,306.7,282.6,262.2,193.4,604.7,607.6,781.3,229.2,296.1,204.0,91.7,582.7,540.4,701.9,375.6,55.7,275.3,814.7,711.3,829.7,845.6,632.6,213.7,483.8,0.0,770.9,509.3,254.8,721.5,133.6,272.3,549.2,738.4,816.5,242.2,398.4,862.5,835.1,274.4,159.9,743.3,378.1,255.8,722.9,445.0,367.9,648.6,738.8,284.8,252.1,682.3,591.6,549.6,546.9,265.7,461.8,799.2,795.7,178.4,286.4,215.2,589.3,558.6,660.2,227.5,805.6,706.8,524.9,680.7,830.2,449.7,110.7,773.3,160.8,249.0,296.7,673.3,743.3,280.5,247.6,693.8,809.4,155.8,699.8,237.7,790.6,207.4,272.3,367.9,747.3,834.2,853.8,284.1,1931.8,221.4,691.9,92.3,276.0,667.1,175.4,675.0,414.2,262.4,204.1,385.8,295.5,697.5,838.2,781.5,217.5,697.4,791.2,616.7,671.3,431.5,757.1,807.9,236.5,212.2,868.7,295.7,240.1,785.9,255.6,488.2,762.3,42.0,252.0,224.1,717.8,260.5,248.8,386.1,781.9,485.6
IR,829.0,388.3,385.5,541.2,838.5,792.6,229.5,234.5,815.7,397.4,281.4,889.3,154.5,660.2,755.5,787.1,573.5,108.5,754.8,143.1,783.8,113.4,723.5,667.7,193.0,667.2,754.7,753.3,811.3,363.3,366.2,137.0,827.1,652.1,828.4,796.6,347.3,492.4,347.6,643.5,832.6,794.3,237.7,311.7,151.3,268.6,306.4,712.7,578.7,795.2,0.0,425.0,730.6,222.2,758.0,750.5,425.9,155.3,239.5,741.2,575.9,180.8,246.6,752.6,732.5,289.7,600.8,682.3,481.5,504.8,567.7,407.2,280.4,775.9,730.3,440.9,404.7,334.8,376.5,682.1,561.5,216.1,183.9,776.3,683.1,812.8,341.7,472.7,418.8,800.5,228.6,465.4,440.6,326.4,253.2,534.0,727.8,263.0,778.7,769.0,675.0,273.7,196.9,808.6,707.8,294.2,232.4,783.8,458.4,720.7,207.5,848.2,750.5,612.6,103.0,148.9,242.0,731.4,1715.2,720.4,292.3,828.2,601.4,217.2,799.8,345.4,624.1,781.4,822.0,585.6,814.5,356.4,152.4,271.2,668.1,343.1,146.9,294.4,208.6,577.4,120.0,152.8,860.9,678.6,182.9,627.2,823.5,187.1,729.9,515.8,118.0,834.3,721.5,661.5,230.0,712.6,773.6,609.6,11.0,475.5
IS,453.6,312.9,350.7,116.1,500.9,426.1,469.4,331.1,440.3,394.4,305.3,554.6,433.9,265.8,412.6,415.7,179.1,336.4,379.4,374.1,410.9,363.8,360.4,324.8,404.2,272.8,412.9,432.9,435.9,228.8,231.7,368.0,451.7,289.0,485.5,453.7,110.9,83.6,330.0,249.1,554.2,418.9,442.8,339.4,401.7,473.7,260.7,337.3,219.5,498.4,406.1,0.0,336.2,314.2,415.1,356.1,92.4,366.5,444.6,365.8,181.5,431.2,503.1,409.7,389.6,336.0,266.4,339.4,347.0,79.7,173.3,272.7,311.4,456.6,387.4,306.4,134.8,77.8,75.1,319.0,136.4,427.3,423.8,400.9,288.7,446.5,117.5,43.2,284.3,434.2,433.7,330.9,30.6,308.8,458.3,108.9,429.5,353.6,403.3,452.8,312.3,301.4,371.4,489.3,364.9,321.9,437.5,440.9,323.9,373.0,418.7,449.9,356.1,218.2,334.0,427.8,481.9,354.8,1880.9,345.0,320.0,452.8,226.0,295.2,456.9,299.1,266.8,406.0,446.6,191.2,439.1,321.6,426.8,361.8,292.7,325.5,377.9,244.8,243.9,187.5,325.8,403.2,518.0,336.3,440.8,304.4,457.2,414.0,335.5,90.7,349.0,540.5,376.3,286.1,345.9,318.2,398.2,246.5,417.1,88.1
IW,190.6,574.6,612.4,212.9,237.9,163.1,731.1,671.2,177.3,656.1,632.1,289.0,691.0,60.5,238.4,128.9,213.4,663.2,116.4,700.9,129.9,690.6,95.0,108.1,665.9,55.4,126.1,151.9,172.9,490.5,493.4,644.5,188.7,95.2,281.9,302.1,437.7,366.3,591.7,124.3,291.2,137.9,704.5,601.1,683.0,735.4,522.4,41.0,306.8,235.4,703.7,326.7,0.0,654.3,250.2,69.3,375.1,628.2,706.3,41.3,147.1,758.0,767.9,227.8,215.4,676.1,107.3,147.2,608.7,270.9,207.6,534.4,619.6,175.6,205.5,568.1,417.5,404.6,387.5,64.8,287.7,689.0,685.5,120.1,35.1,165.5,444.3,370.0,546.0,153.2,695.4,592.6,368.1,570.5,720.0,275.6,255.3,615.3,140.3,171.8,45.4,563.1,633.1,208.3,90.8,583.6,699.2,266.7,585.6,191.1,680.4,200.9,69.3,116.6,660.8,722.2,743.6,50.0,1995.9,33.2,581.7,189.8,156.6,556.9,209.7,560.8,294.8,125.0,192.8,225.5,158.1,583.3,716.9,623.5,98.1,587.2,704.7,506.5,570.7,257.4,652.6,695.0,314.4,162.1,702.5,101.2,176.2,675.7,0.8,314.1,675.8,277.5,147.5,104.7,607.6,31.4,135.2,209.1,714.7,311.5
JA,635.7,195.0,192.2,365.8,683.0,608.2,185.5,33.0,622.4,92.5,139.8,696.0,216.8,523.1,662.3,673.0,443.7,119.3,561.5,157.0,590.5,146.7,601.6,574.5,120.3,530.1,670.2,560.0,618.0,170.0,172.9,150.9,633.8,503.2,727.0,703.4,237.4,299.1,154.3,498.8,736.3,601.0,158.9,118.4,184.6,189.8,117.0,519.4,469.2,680.5,189.0,273.7,560.5,0.0,664.8,613.4,234.4,82.6,160.7,547.9,431.2,214.1,320.9,659.4,639.3,67.4,512.5,589.1,288.2,329.4,437.9,213.9,116.9,582.6,637.1,194.5,211.4,224.9,275.0,571.4,386.1,143.4,139.9,583.0,546.0,619.5,231.8,317.0,206.7,607.2,149.8,272.1,304.4,133.1,174.4,358.6,679.2,51.7,585.4,575.7,569.6,80.4,87.5,615.3,614.6,100.9,153.6,690.6,212.0,622.7,134.8,654.9,613.4,467.9,116.9,210.7,198.0,610.6,1680.7,527.1,99.0,634.9,408.1,23.9,654.8,152.1,430.8,588.1,628.7,444.7,621.2,163.1,209.7,59.9,474.8,149.8,160.8,101.1,102.5,437.2,108.7,186.1,759.5,586.0,156.9,486.5,630.2,130.1,561.3,340.4,131.9,722.6,626.0,468.2,62.0,575.5,580.3,496.2,200.0,337.8
JC,122.9,676.3,714.1,322.1,170.2,219.9,832.8,707.8,234.1,757.8,702.1,327.4,809.7,266.6,91.2,178.4,338.2,737.1,205.8,756.8,282.6,764.5,327.7,131.7,767.6,261.5,142.2,304.6,208.7,592.2,595.1,750.7,245.5,288.2,70.3,51.8,539.4,468.0,693.4,330.4,200.6,290.6,806.2,702.8,799.1,837.1,624.1,229.0,343.4,167.7,740.3,428.4,232.6,690.9,0.0,227.1,476.8,729.9,808.0,274.0,340.6,831.9,804.5,134.0,68.2,712.7,237.7,115.4,710.4,329.2,332.4,636.1,708.2,305.7,111.7,669.8,519.2,506.3,489.2,297.5,346.0,790.7,787.2,173.4,241.2,230.5,546.0,471.7,647.7,242.8,797.1,694.3,448.4,672.2,821.7,384.8,108.1,717.0,176.1,264.3,223.2,664.8,734.8,295.8,171.8,685.3,800.9,119.5,687.3,97.3,782.1,222.7,227.1,322.7,716.7,803.6,845.3,195.4,1960.5,265.9,683.4,122.1,291.3,658.6,41.7,662.5,425.9,277.7,219.4,350.3,310.8,685.0,807.6,725.2,232.8,688.9,760.6,608.2,640.7,342.1,726.5,777.3,102.8,71.8,804.2,263.3,255.4,777.4,231.9,375.8,731.7,209.8,111.6,239.4,709.3,215.3,264.1,245.7,751.3,391.8
JG,224.9,595.5,633.3,233.8,272.2,159.2,752.0,692.1,173.4,677.0,653.0,307.9,711.9,81.4,231.0,121.5,234.3,684.1,166.8,721.8,180.3,711.5,145.4,147.0,686.8,76.3,118.7,202.3,189.2,511.4,514.3,665.4,184.8,145.6,316.2,272.1,458.6,387.2,612.6,145.2,325.5,188.3,725.4,622.0,703.9,756.3,543.3,91.4,327.7,269.7,724.6,347.6,50.3,675.2,233.5,0.0,396.0,649.1,727.2,91.7,168.0,778.9,788.8,220.4,208.0,697.0,128.2,139.8,629.6,291.8,228.5,555.3,640.5,226.0,198.1,589.0,438.4,425.5,408.4,115.2,308.6,709.9,706.4,112.7,56.0,215.9,465.2,390.9,566.9,203.6,716.3,613.5,389.0,591.4,740.9,296.5,247.9,636.2,156.6,222.2,66.3,584.0,654.0,258.7,110.6,604.5,720.1,259.3,606.5,183.7,701.3,203.2,0.0,137.5,681.7,743.1,764.5,88.9,2016.8,83.6,602.6,224.1,216.1,577.8,244.0,581.7,322.0,175.4,199.9,246.4,208.5,604.2,737.8,644.4,148.5,608.1,725.6,527.4,591.6,278.3,673.5,715.9,348.7,154.7,723.4,122.1,226.6,696.6,49.6,335.0,696.7,311.8,140.1,155.1,628.5,30.1,185.6,230.0,735.6,332.4
JI,522.7,233.3,269.3,185.2,570.0,486.3,389.8,301.9,507.6,308.8,308.3,623.7,349.7,334.9,481.7,484.8,248.2,368.8,448.5,353.2,480.0,382.2,429.5,393.9,324.6,341.9,482.0,502.0,505.0,149.2,152.1,303.2,520.8,358.1,554.6,522.8,163.0,118.5,250.4,318.2,621.5,488.0,363.2,258.0,341.7,394.1,177.2,404.6,288.6,567.5,420.5,93.1,405.3,253.2,484.2,425.2,0.0,286.9,365.0,434.9,250.6,416.1,473.2,478.8,458.7,320.7,336.3,408.5,267.4,147.0,242.4,193.1,278.3,523.9,456.5,226.8,74.4,129.9,92.6,388.1,205.5,347.7,344.2,466.2,352.2,513.8,169.6,124.1,204.7,503.3,354.1,251.3,123.8,227.4,378.7,178.0,498.6,274.0,472.4,550.9,381.4,220.0,291.8,558.4,434.0,240.5,357.9,510.0,264.4,446.9,339.1,519.0,425.2,258.0,337.8,385.3,402.3,423.9,1934.0,412.3,240.4,521.9,295.1,215.6,526.0,219.5,335.9,475.1,513.9,260.3,508.2,242.0,373.8,280.4,361.8,245.9,338.6,165.2,268.9,256.6,362.0,353.7,587.1,404.8,361.2,373.5,526.3,334.4,404.6,159.8,321.2,609.6,447.7,355.2,266.3,387.3,467.3,315.6,433.3,157.2
JK,693.6,252.9,250.1,423.7,740.9,666.1,120.8,119.9,680.3,253.5,197.7,753.9,80.7,581.0,720.2,730.9,501.6,83.6,619.4,66.2,648.4,111.0,659.5,632.4,37.6,588.0,728.1,617.9,675.9,227.9,230.8,16.2,691.7,561.1,784.9,761.3,327.5,357.0,212.2,556.7,794.2,658.9,94.2,176.3,72.7,125.1,174.9,577.3,527.1,738.4,135.3,331.6,618.4,86.8,722.7,671.3,292.3,0.0,96.0,605.8,489.1,154.1,204.2,717.3,697.2,154.3,570.4,647.0,346.1,387.3,495.8,271.8,174.8,640.5,695.0,305.5,269.3,315.0,332.9,629.3,444.0,60.7,75.2,640.9,603.9,677.4,321.9,374.9,283.4,665.1,85.1,330.0,362.3,191.0,109.7,416.5,737.1,127.6,643.3,633.6,627.5,138.3,22.8,673.2,672.5,158.8,88.9,748.5,323.0,680.6,52.1,712.8,671.3,525.8,50.8,100.9,133.3,668.5,1767.6,585.0,156.9,692.8,466.0,81.8,712.7,210.0,488.7,646.0,686.6,502.6,679.1,221.0,95.6,135.8,532.7,207.7,53.4,159.0,160.4,495.1,73.0,66.7,817.4,643.9,92.2,544.4,688.1,65.4,619.2,398.3,34.2,780.5,683.9,526.1,94.6,633.4,638.2,554.1,146.3,395.7
JP,784.7,321.9,341.2,514.8,832.0,757.2,164.8,211.0,771.4,202.0,288.8,845.0,124.7,672.1,811.3,822.0,592.7,178.0,710.5,186.1,739.5,139.2,750.6,723.5,126.9,679.1,819.2,709.0,767.0,319.0,321.9,136.1,782.8,652.2,876.0,852.4,386.4,448.1,303.3,647.8,885.3,750.0,24.7,267.4,98.7,29.0,266.0,668.4,618.2,829.5,255.2,422.7,709.5,177.9,813.8,762.4,383.4,119.8,0.0,696.9,580.2,173.1,248.2,808.4,788.3,245.4,661.5,738.1,413.7,478.4,586.9,362.9,265.9,731.6,786.1,306.1,360.4,373.9,424.0,720.4,535.1,71.8,119.2,732.0,695.0,768.5,380.8,466.0,318.3,756.2,10.1,397.6,453.4,282.1,13.6,507.6,828.2,189.8,734.4,724.7,718.6,229.4,94.9,764.3,763.6,249.9,84.9,839.6,323.6,771.7,79.6,803.9,762.4,616.9,170.7,137.9,177.3,759.6,1858.7,676.1,248.0,783.9,557.1,172.9,803.8,301.1,579.8,737.1,777.7,593.7,770.2,312.1,132.6,182.9,623.8,298.8,173.3,250.1,251.5,586.2,192.9,129.0,908.5,735.0,136.2,635.5,779.2,109.4,710.3,489.4,154.1,871.6,775.0,617.2,185.7,724.5,729.3,645.2,266.2,486.8
KE,188.1,566.9,604.7,244.4,235.4,160.6,719.4,631.5,174.8,644.4,663.6,286.5,679.3,92.0,269.9,160.4,244.9,694.7,113.9,712.0,127.4,722.1,53.6,139.6,654.2,86.9,157.6,149.4,170.4,482.8,485.7,632.8,186.2,53.8,279.4,299.6,469.2,397.8,580.0,155.8,288.7,135.4,692.8,589.4,671.3,723.7,510.7,38.5,338.3,232.9,695.5,358.2,31.4,582.8,247.7,100.8,406.6,616.5,694.6,0.0,178.6,789.5,759.7,259.3,246.9,667.9,119.4,178.7,601.0,302.4,239.1,526.7,607.9,173.1,237.0,560.4,449.0,436.1,419.0,23.4,319.2,677.3,673.8,135.4,66.6,163.0,475.8,401.5,538.3,150.7,683.7,584.9,399.6,558.8,708.3,307.1,286.8,603.6,137.8,169.3,76.9,551.4,621.4,205.8,122.3,571.9,687.5,298.2,577.9,222.6,668.7,198.4,100.8,148.1,671.9,710.5,731.9,81.5,2008.0,30.7,570.0,187.3,154.1,545.2,207.2,553.1,292.3,122.5,190.3,257.0,155.6,575.6,705.2,611.8,95.6,575.5,670.0,494.8,602.2,288.9,684.1,683.3,311.9,193.6,690.8,132.7,173.7,664.0,32.2,345.6,650.8,275.0,179.0,102.2,595.9,62.9,132.7,146.3,706.5,343.0
