from_stop,AI,AQ,AR,AY,BA,BE,BJ,BK,BM,BR,BS,BW,BX,CB,CE,CL,CM,CO,CR,CV,CW,DA,DE,DG,DL,DT,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FY,FZ,GB,GL,GN,GS,GW,GX,HJ,HL,HN,HS,HU,HY,IA,IE,IF,IR,IS,IT,IV,IY,JI,JO,JR,JT,JU,JW,KH,KT,LB,LC,LE,LF,LV,ML,MN,MS,MV,MW,MY,ND,NE,NG,NN,NO,NR,OG,OH,OM,OW,PF,PH,PK,PP,QA,QT,QU,QW,QX,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SS,SU,SV,SY,TB,TC,TI,TK,TL,TN,TP,TR,UE,UG,UH,UJ,UL,UO,UX,VF,VH,VI,VK,VM,VW,VX,VZ,WD,WI,WJ,WL,WO,WS,WX,XG,XH,XI,XJ,XP,XY,YJ,YO,YT,ZH,ZI,ZK,ZN
GX,301.9,786.2,183.1,225.0,267.5,623.7,695.7,160.7,208.8,204.9,214.2,553.5,667.3,866.5,847.4,822.2,811.7,561.4,792.4,241.9,813.1,479.2,384.0,263.6,104.7,819.1,188.0,429.3,458.3,587.4,107.1,167.1,396.6,281.6,414.4,670.6,717.0,343.5,768.9,202.4,193.2,692.8,754.6,0.0,359.3,241.9,749.2,705.4,717.1,782.4,269.4,777.5,131.6,790.7,744.4,150.9,871.2,733.6,365.0,214.3,83.7,653.7,868.3,677.2,765.5,618.4,575.1,481.7,679.8,810.8,737.9,131.0,341.5,202.6,145.8,92.2,584.7,801.8,107.1,120.1,307.2,739.7,416.2,685.0,453.1,168.0,363.7,222.3,294.5,810.4,190.6,128.4,195.1,107.5,702.5,854.7,207.1,648.5,133.8,94.1,2000.9,157.0,666.2,231.1,142.8,732.6,203.4,654.2,29.3,590.2,905.2,717.6,690.9,107.5,134.3,905.2,220.2,524.7,387.8,289.5,226.6,812.0,871.0,24.5,146.1,404.6,184.1,202.8,863.8,347.4,775.8,742.7,834.6,223.3,73.9,873.5,202.7,809.9,189.7,390.4,816.8,248.6,241.0,659.2,90.4,241.6,882.9,275.1,826.7,171.1,222.8,248.0
HJ,170.2,545.6,309.8,278.7,253.5,379.1,428.4,293.3,262.5,381.9,277.6,233.1,426.7,625.9,621.1,585.0,585.4,262.4,566.1,117.3,541.9,180.2,161.4,209.7,407.9,578.5,247.5,130.3,180.7,346.8,410.3,389.8,118.9,186.1,107.9,430.0,476.4,87.9,497.7,321.8,325.6,445.6,514.0,356.4,0.0,228.6,504.6,460.8,476.5,511.2,303.1,506.3,354.3,550.1,497.2,407.0,630.6,493.0,142.4,262.0,386.9,409.1,642.0,436.6,524.9,377.8,276.1,204.1,435.2,557.6,452.0,387.1,128.0,355.2,310.7,395.4,304.3,548.6,410.3,247.6,256.2,492.5,157.2,417.7,175.5,424.1,108.1,239.5,197.2,584.1,285.0,384.5,228.8,410.7,461.9,583.5,214.1,403.9,323.7,373.7,2005.6,334.0,425.6,239.4,365.5,465.3,290.6,413.6,381.3,349.6,613.1,473.0,450.3,410.7,286.9,664.6,334.8,233.1,127.7,178.4,229.8,571.4,630.4,381.0,284.6,111.0,316.7,355.4,574.2,207.6,535.2,502.1,594.0,238.5,377.1,647.2,335.3,583.6,177.6,31.0,537.2,224.7,190.0,414.6,393.6,275.3,642.3,165.6,586.1,497.6,336.7,223.8
HL,59.9,707.0,81.1,148.1,25.5,540.5,589.8,66.8,131.9,213.8,88.4,394.5,588.1,787.3,774.9,750.8,739.2,423.8,719.9,183.0,703.3,341.6,315.6,49.9,247.5,732.3,127.1,291.7,342.1,508.2,249.9,229.4,280.3,39.6,269.3,591.4,637.8,249.3,659.1,93.1,195.0,620.3,675.4,207.0,230.0,0.0,666.0,622.2,637.9,672.6,129.0,667.7,193.9,711.5,671.9,257.6,792.0,654.4,292.5,179.2,226.5,570.5,795.8,598.0,686.3,539.2,437.5,365.5,596.6,719.0,613.4,237.7,133.5,187.8,154.7,235.0,465.7,710.0,249.9,135.0,235.6,667.2,318.6,579.1,322.2,274.7,269.5,39.8,96.5,739.2,100.6,235.1,67.0,250.3,623.3,744.9,148.2,565.3,95.0,213.3,2000.4,165.9,587.0,10.7,205.1,626.7,61.9,575.0,231.9,511.0,774.5,634.4,611.7,250.3,119.5,826.0,204.2,394.5,289.1,217.0,167.7,732.8,791.8,213.7,124.2,272.4,129.1,188.0,735.6,149.4,696.6,663.5,755.4,38.8,216.7,801.0,147.7,737.4,130.8,261.1,698.6,64.9,169.4,576.0,233.2,68.0,803.7,113.6,747.5,313.9,206.1,107.6
HN,644.8,461.5,784.4,691.9,728.1,193.2,336.9,706.5,675.7,804.6,750.7,392.2,310.5,501.0,576.0,505.3,544.0,327.9,513.1,530.5,472.4,398.8,584.1,684.3,830.6,494.4,660.7,394.1,434.9,272.1,833.0,812.5,416.8,660.7,474.5,239.5,392.3,471.4,467.0,796.4,729.7,414.9,429.9,769.6,559.4,703.2,0.0,244.1,392.4,480.5,716.3,475.6,777.0,466.0,385.9,820.2,505.7,408.9,565.1,684.7,809.6,192.4,544.1,352.5,440.8,303.1,288.0,412.0,200.4,450.5,355.4,800.3,593.1,771.6,733.4,818.1,314.3,441.5,833.0,660.8,669.4,381.2,455.1,347.6,441.3,834.6,450.7,669.2,610.4,544.0,707.7,797.7,642.0,833.4,377.8,498.8,627.3,187.2,753.5,796.4,2034.3,756.7,247.9,714.0,788.2,379.1,765.2,253.5,794.5,274.9,529.0,256.3,259.8,833.4,700.1,502.1,738.9,441.0,425.6,614.3,643.0,487.3,505.5,794.2,707.3,423.5,729.9,768.6,490.1,620.8,451.1,418.0,509.9,670.2,799.8,570.3,748.5,551.8,590.8,564.0,453.1,699.3,603.2,175.9,816.3,688.5,499.4,629.0,502.0,910.8,690.1,639.1
HS,587.0,311.7,726.6,634.1,670.3,135.4,181.6,648.7,617.9,746.8,692.9,313.7,155.2,392.0,426.2,347.7,394.2,270.1,363.3,472.7,322.6,341.0,530.4,626.5,772.8,344.6,602.9,336.3,377.1,214.3,775.2,754.7,359.0,602.9,416.7,114.4,242.5,413.6,314.9,738.6,671.9,259.6,280.1,711.8,501.6,645.4,250.1,0.0,242.6,325.2,658.5,320.3,719.2,316.2,230.6,762.4,396.7,259.1,507.3,626.9,751.8,57.4,394.3,202.7,291.0,245.3,230.2,354.2,113.4,300.7,200.1,742.5,535.3,713.8,675.6,760.3,256.5,291.7,775.2,603.0,611.6,225.9,397.3,192.3,383.5,776.8,392.9,611.4,552.6,394.2,649.9,739.9,584.2,775.6,228.0,349.0,569.5,63.4,695.7,738.6,1882.8,698.9,92.6,656.2,730.4,223.8,707.4,128.4,736.7,217.1,379.2,12.1,134.7,775.6,642.3,398.8,681.1,397.2,367.8,556.5,585.2,337.5,396.5,736.4,649.5,365.7,672.1,710.8,340.3,563.0,301.3,268.2,360.1,612.4,742.0,420.5,690.7,402.0,533.0,506.2,303.3,641.5,545.4,160.1,758.5,630.7,396.1,571.2,352.2,853.0,632.3,581.3
HU,575.8,182.6,715.4,622.9,659.1,261.2,133.4,637.5,606.7,735.6,681.7,323.2,146.6,262.9,297.1,226.4,265.1,258.9,234.2,461.5,193.5,329.8,519.2,615.3,761.6,207.9,583.9,325.1,365.9,160.2,764.0,704.8,347.8,591.7,405.5,195.2,113.4,402.4,167.4,727.4,660.7,94.8,151.0,700.6,490.4,634.2,364.4,243.2,0.0,180.9,647.3,176.0,708.0,187.1,85.9,751.2,267.6,130.0,496.1,615.7,740.6,191.8,265.2,73.6,161.9,191.2,219.0,343.0,175.3,171.6,151.9,731.3,524.1,702.6,672.9,749.1,263.9,162.6,764.0,591.8,600.4,81.2,386.1,144.1,389.7,768.3,381.7,600.2,541.4,265.1,638.7,728.7,573.0,764.4,98.9,219.9,558.3,197.8,684.5,727.4,1737.4,687.7,145.5,645.0,719.2,175.6,696.2,178.8,725.5,146.8,250.1,255.4,215.5,764.4,631.1,301.6,669.9,372.0,356.6,545.3,574.0,208.4,267.4,725.2,638.3,354.5,660.9,699.6,211.2,551.8,172.2,139.1,231.0,601.2,730.8,291.4,679.5,267.2,521.8,495.0,174.2,630.3,534.2,263.2,747.3,619.5,279.3,560.0,223.1,841.8,621.1,570.1
HY,623.3,119.9,747.1,713.9,706.6,352.2,152.9,728.5,697.7,775.0,701.7,335.0,242.4,242.0,188.4,163.7,152.7,349.9,66.0,552.5,29.6,366.8,574.3,662.8,801.0,169.0,674.9,380.2,361.8,251.2,794.6,690.7,402.9,639.2,460.6,286.2,99.2,457.5,13.6,774.9,751.7,104.5,147.2,791.6,541.7,681.7,477.7,339.0,212.9,0.0,738.3,4.7,747.4,166.2,156.1,842.2,246.7,116.6,551.2,655.1,780.0,287.6,209.3,159.3,60.5,282.2,310.0,358.9,312.1,100.1,195.1,822.3,581.1,793.6,712.3,788.5,354.9,91.1,794.6,682.8,691.4,151.4,441.2,142.2,394.7,826.2,436.8,691.2,632.4,152.7,678.1,819.7,664.0,794.2,163.8,71.2,649.3,293.6,723.9,766.8,1724.6,727.1,241.3,692.5,758.6,189.8,743.7,269.8,816.5,237.8,229.2,351.2,306.5,794.2,722.1,247.1,760.9,387.9,411.7,604.9,665.0,187.5,246.5,767.2,677.7,409.6,751.9,790.6,190.3,642.8,109.5,100.2,210.1,692.2,770.2,214.5,770.5,85.2,612.8,586.0,61.6,651.9,625.2,387.7,786.7,710.5,244.4,618.7,202.2,833.5,712.1,661.1
IA,130.6,719.9,200.8,155.3,144.5,557.4,607.8,187.9,139.1,333.5,150.6,465.2,601.0,800.2,790.0,763.7,754.3,494.5,735.0,175.6,774.0,412.3,328.9,120.6,355.8,745.2,134.3,362.4,412.8,521.1,353.3,349.1,351.0,110.3,340.0,604.3,650.7,265.6,729.8,212.8,202.2,635.4,688.3,251.0,300.7,119.6,682.9,639.1,650.8,743.3,0.0,738.4,313.6,724.4,656.8,301.6,804.9,667.3,305.8,267.5,334.8,587.4,810.9,610.9,699.2,552.1,508.2,436.2,613.5,753.4,626.3,281.7,204.2,259.0,274.4,343.3,536.4,744.4,353.3,142.2,222.9,652.1,338.3,627.6,392.9,318.7,285.8,69.1,167.2,754.3,202.8,279.1,74.2,352.9,636.2,757.2,155.4,582.2,214.7,345.2,2035.8,285.6,599.9,130.4,324.8,675.2,181.6,587.9,275.9,523.9,787.4,651.3,624.6,352.9,181.5,838.9,211.4,465.2,309.9,177.5,174.9,745.7,804.7,275.6,243.9,343.1,211.3,259.2,748.5,140.8,709.5,676.4,768.3,70.1,325.0,816.1,229.9,752.5,138.0,331.8,711.5,135.6,156.7,592.9,341.5,88.4,816.6,149.0,760.4,392.2,213.3,60.0
IE,618.6,125.8,742.4,709.2,701.9,347.5,148.2,723.8,693.0,770.3,697.0,330.3,237.7,247.9,236.3,169.6,200.6,345.2,71.9,547.8,35.5,362.1,569.6,658.1,796.3,174.9,670.2,375.5,357.1,246.5,789.9,686.0,398.2,634.5,455.9,281.5,105.1,452.8,8.9,770.2,747.0,99.8,136.7,786.9,537.0,677.0,473.0,334.3,208.2,4.9,733.6,0.0,742.7,172.1,151.4,837.5,252.6,122.5,546.5,650.4,775.3,282.9,257.2,154.6,66.4,277.5,305.3,354.2,307.4,95.4,190.4,817.6,576.4,788.9,707.6,783.8,350.2,86.4,789.9,678.1,686.7,146.7,436.5,137.5,390.0,821.5,432.1,686.5,627.7,200.6,673.4,815.0,659.3,789.5,159.1,77.1,644.6,288.9,719.2,762.1,1719.9,722.4,236.6,687.8,753.9,185.1,739.0,265.1,811.8,233.1,235.1,346.5,301.8,789.5,717.4,253.0,756.2,383.2,407.0,600.2,660.3,193.4,252.4,762.5,673.0,404.9,747.2,785.9,196.2,638.1,115.4,106.1,216.0,687.5,765.5,262.4,765.8,91.1,608.1,581.3,67.5,647.2,620.5,383.0,782.0,705.8,250.3,614.0,208.1,828.8,707.4,656.4
IF,279.1,846.4,160.3,341.4,244.7,655.3,663.6,182.2,327.4,182.1,191.4,509.3,702.9,902.1,815.3,890.2,779.6,538.6,760.3,360.5,781.0,503.4,365.3,240.8,142.4,847.1,298.8,406.5,435.5,623.0,144.8,75.7,373.8,258.8,391.6,706.2,752.6,320.7,736.8,176.7,293.8,660.7,820.0,133.1,367.9,219.1,780.8,737.0,769.1,750.3,345.3,745.4,0.0,826.3,712.3,241.6,906.8,769.2,342.2,191.5,121.4,685.3,836.2,712.8,808.6,654.0,552.3,458.9,711.4,778.7,705.8,205.1,352.7,303.2,123.0,129.9,580.5,769.7,144.8,238.7,410.8,707.6,393.4,652.9,415.6,214.9,340.9,256.1,271.7,779.6,167.8,219.1,283.3,145.2,738.1,822.6,325.7,680.1,111.0,108.2,1909.5,134.2,701.8,208.3,11.2,700.5,180.6,689.8,162.5,625.8,873.1,749.2,726.5,145.2,234.9,940.8,320.8,487.9,365.0,266.7,345.2,906.5,906.6,108.6,123.3,381.8,244.5,303.4,831.7,324.6,836.0,778.3,874.6,255.1,111.6,841.4,263.1,777.8,308.3,399.0,784.7,225.8,344.6,690.8,128.1,284.3,918.5,252.3,921.2,208.8,323.4,323.9
IR,659.3,79.1,798.9,706.4,742.6,344.7,216.9,721.0,690.2,819.1,765.2,406.7,230.1,75.7,117.8,193.2,85.8,342.4,110.7,545.0,127.3,413.3,602.7,698.8,845.1,161.7,667.4,408.6,449.4,243.7,847.5,827.0,431.3,675.2,489.0,278.7,73.9,485.9,164.3,810.9,744.2,196.3,139.9,784.1,573.9,717.7,470.2,326.7,217.0,177.8,730.8,172.9,791.5,0.0,187.4,834.7,80.4,57.8,579.6,699.2,824.1,275.3,85.9,151.8,95.7,274.7,302.5,426.5,304.6,152.5,235.4,814.8,607.6,786.1,756.4,832.6,347.4,143.5,847.5,675.3,683.9,182.7,469.6,227.6,473.2,851.8,465.2,683.7,624.9,85.8,722.2,812.2,656.5,847.9,156.3,153.7,641.8,281.3,768.0,810.9,1791.2,771.2,229.0,728.5,802.7,259.1,779.7,262.3,809.0,230.3,70.8,338.9,299.0,847.9,714.6,114.4,753.4,455.5,440.1,628.8,657.5,57.7,80.2,808.7,721.8,438.0,744.4,783.1,31.9,635.3,68.7,92.9,51.7,684.7,814.3,112.1,763.0,174.0,605.3,578.5,128.0,713.8,617.7,380.2,830.8,703.0,92.1,643.5,72.4,925.3,704.6,653.6
IS,554.4,181.2,694.0,601.5,637.7,239.8,112.0,616.1,585.3,714.2,660.3,301.8,125.2,261.5,295.7,225.0,263.7,237.5,219.4,440.1,183.0,308.4,497.8,593.9,740.2,206.5,562.5,303.7,344.5,138.8,742.6,722.1,326.4,570.3,384.1,173.8,112.0,381.0,138.8,706.0,639.3,66.2,149.6,679.2,469.0,612.8,365.3,221.8,94.1,152.3,625.9,147.4,686.6,185.7,0.0,729.8,266.2,128.6,474.7,594.3,719.2,170.4,263.8,72.2,160.5,169.8,197.6,321.6,190.1,198.7,130.5,709.9,502.7,681.2,651.5,727.7,242.5,189.7,742.6,570.4,579.0,6.2,364.7,122.7,368.3,746.9,360.3,578.8,520.0,263.7,617.3,707.3,551.6,743.0,97.5,224.6,536.9,176.4,663.1,706.0,1708.8,666.3,124.1,623.6,697.8,154.2,674.8,157.4,704.1,125.4,248.7,234.0,194.1,743.0,609.7,267.2,648.5,350.6,335.2,523.9,552.6,207.0,266.0,703.8,616.9,333.1,639.5,678.2,209.8,530.4,170.8,137.7,229.6,579.8,709.4,290.0,658.1,238.6,500.4,473.6,172.8,608.9,512.8,278.0,725.9,598.1,264.5,538.6,221.7,820.4,599.7,548.7
IT,338.7,844.7,335.9,283.5,304.3,682.2,738.7,219.2,267.3,357.7,294.5,632.8,725.8,925.0,890.4,888.5,854.7,625.4,835.4,300.4,856.1,578.5,540.9,328.7,192.3,870.0,238.7,493.3,573.5,645.9,129.4,150.8,481.9,318.4,470.9,729.1,775.5,450.9,811.9,290.3,251.7,735.8,813.1,178.8,417.8,278.7,807.7,763.9,844.2,825.4,327.9,820.5,240.2,849.2,787.4,0.0,929.7,792.1,517.8,367.1,153.0,712.2,911.3,735.7,883.7,676.9,639.1,570.6,738.3,853.8,780.9,57.8,400.0,261.1,298.6,144.5,667.3,844.8,129.4,178.6,365.7,782.7,520.2,728.0,523.8,94.8,471.1,280.8,336.9,854.7,343.4,20.4,253.6,129.0,761.0,897.7,265.6,707.0,286.6,246.9,1984.6,309.8,724.7,267.9,251.4,775.6,287.1,712.7,203.7,648.7,948.2,776.1,749.4,129.0,192.8,963.7,278.7,599.6,490.7,442.3,285.1,870.5,929.5,203.7,298.9,474.0,242.6,261.3,906.8,347.3,834.3,801.2,949.7,281.8,162.8,916.5,261.2,852.9,248.2,448.9,859.8,343.7,299.5,717.7,146.3,300.1,941.4,427.9,885.2,168.3,281.3,306.5
IV,750.4,100.5,890.0,797.5,833.7,412.6,308.0,812.1,781.3,910.5,856.3,497.8,321.2,5.6,208.9,136.7,176.9,433.5,194.7,636.1,218.4,504.4,689.7,789.9,936.2,185.6,758.5,499.7,540.5,334.8,938.6,918.1,522.4,766.3,580.1,369.8,165.0,577.0,258.6,904.9,835.3,287.4,180.2,875.2,665.0,808.8,496.5,417.8,253.5,268.9,821.9,264.0,882.6,91.0,278.5,925.8,0.0,148.9,670.7,790.3,915.2,366.4,177.0,242.9,186.8,365.8,393.6,517.6,307.4,243.6,326.5,905.9,698.7,877.2,839.0,923.7,419.9,234.6,938.6,766.4,775.0,273.8,560.7,318.7,546.9,940.2,556.3,774.8,716.0,176.9,813.3,903.3,747.6,939.0,247.4,244.8,732.9,350.5,859.1,902.0,1896.9,862.3,320.1,819.6,893.8,350.2,870.8,353.4,900.1,321.4,161.9,430.0,390.1,939.0,805.7,62.3,844.5,560.6,531.2,719.9,748.6,148.8,0.1,899.8,812.9,529.1,835.5,874.2,123.0,726.4,111.2,146.6,142.8,775.8,905.4,203.2,854.1,258.0,696.4,669.6,219.1,804.9,708.8,395.3,921.9,794.1,20.0,734.6,163.5,1016.4,795.7,744.7
IY,601.4,52.5,741.0,648.5,684.7,286.8,159.0,663.1,632.3,761.2,707.3,348.8,172.2,132.8,167.0,96.3,135.0,284.5,104.1,487.1,69.4,355.4,544.8,640.9,787.2,103.8,609.5,350.7,391.5,185.8,789.6,769.1,373.4,617.3,431.1,220.8,16.0,428.0,106.4,753.0,686.3,138.4,82.0,726.2,516.0,659.8,412.3,268.8,159.1,119.9,672.9,115.0,733.6,57.0,129.5,776.8,137.5,0.0,521.7,641.3,766.2,217.4,135.1,93.9,37.8,216.8,244.6,368.6,246.7,94.6,177.5,756.9,549.7,728.2,698.5,774.7,289.5,85.6,789.6,617.4,626.0,124.8,411.7,169.7,415.3,793.9,407.3,625.8,567.0,135.0,664.3,754.3,598.6,790.0,98.4,95.8,583.9,223.4,710.1,753.0,1781.0,713.3,171.1,670.6,744.8,201.2,721.8,204.4,751.1,172.4,120.0,281.0,241.1,790.0,656.7,171.5,695.5,397.6,382.2,570.9,599.6,78.3,137.3,750.8,663.9,380.1,686.5,725.2,81.1,577.4,42.1,35.0,100.9,626.8,756.4,161.3,705.1,167.0,547.4,520.6,70.1,655.9,559.8,322.3,772.9,645.1,149.2,585.6,93.0,867.4,646.7,595.7
JI,206.8,579.1,346.4,329.1,290.1,412.6,446.5,343.7,312.9,359.0,314.2,266.6,460.2,659.4,598.2,622.9,562.5,295.9,543.2,167.7,563.9,213.7,23.0,246.3,385.0,604.4,290.1,163.8,192.8,380.3,387.4,366.9,131.1,222.7,148.9,463.5,509.9,78.0,519.7,358.4,376.0,443.6,547.5,406.8,125.2,265.2,538.1,494.3,510.0,533.2,272.2,528.3,331.4,583.6,495.2,457.4,664.1,526.5,0.0,239.1,364.0,442.6,619.1,470.1,558.4,411.3,309.6,216.2,468.7,561.6,488.7,437.5,164.6,405.6,296.3,372.5,337.8,552.6,387.4,298.0,306.6,490.5,150.7,435.8,172.9,474.5,98.2,276.1,166.7,562.5,262.1,434.9,279.2,387.8,495.4,605.5,264.5,437.4,307.9,350.8,1999.5,311.1,459.1,276.0,342.6,483.4,327.2,447.1,431.7,383.1,656.0,506.5,483.8,387.8,337.3,698.1,385.2,245.2,122.3,161.7,280.2,604.9,663.9,351.2,261.7,139.1,367.1,405.8,614.6,219.6,568.7,535.6,627.5,275.1,354.2,624.3,385.7,560.7,228.0,156.3,567.6,261.3,240.4,448.1,370.7,304.3,675.8,147.3,619.6,451.4,387.1,222.0
JO,177.6,708.0,189.7,288.0,193.7,541.5,559.1,186.0,271.8,217.6,144.3,416.9,589.1,788.3,710.8,744.0,675.1,424.8,655.8,249.7,676.5,342.6,251.5,127.0,243.6,740.9,274.8,292.7,321.7,509.2,246.0,225.5,260.0,159.6,277.8,592.4,638.8,206.9,632.3,233.2,334.9,556.2,676.4,234.3,254.1,168.8,667.0,623.2,638.9,645.8,268.9,640.9,190.0,712.5,607.8,376.8,793.0,655.4,228.4,0.0,222.6,571.5,731.7,599.0,687.3,540.2,438.5,345.1,597.6,674.2,601.3,356.9,253.5,307.0,154.9,232.3,448.1,665.2,246.0,274.9,297.0,603.1,279.6,548.4,316.5,362.4,227.1,179.7,157.9,673.8,120.7,354.3,206.9,246.4,624.3,718.1,270.4,566.3,166.5,209.4,1976.4,169.7,588.0,179.6,201.2,596.0,199.1,576.0,263.7,512.0,768.6,635.4,612.7,246.4,238.7,827.0,344.1,388.1,251.2,152.9,286.1,733.8,792.8,209.8,120.3,268.0,248.3,307.2,727.2,210.8,697.6,664.5,770.1,178.7,212.8,736.9,266.9,673.3,233.9,285.2,680.2,112.0,230.8,577.0,229.3,207.9,804.7,138.5,748.5,310.0,346.0,213.2
JR,301.6,844.3,182.8,300.2,267.2,677.8,695.4,204.7,284.0,204.6,213.9,531.8,725.4,924.6,847.1,888.1,811.4,561.1,792.1,317.1,812.8,478.9,387.8,263.3,39.2,869.6,255.4,429.0,458.0,645.5,23.3,128.7,396.3,281.3,414.1,728.7,775.1,343.2,768.6,199.2,268.4,692.5,812.7,75.1,390.4,241.6,803.3,759.5,775.2,782.1,367.8,777.2,131.3,848.8,744.1,185.6,929.3,791.7,364.7,214.0,0.0,707.8,868.0,735.3,823.6,676.5,574.8,481.4,733.9,810.5,737.6,149.1,375.2,277.8,145.5,8.4,603.0,801.5,23.3,195.3,382.4,739.4,415.9,684.7,438.1,158.9,363.4,278.6,294.2,811.4,190.3,163.1,270.3,23.7,760.6,854.4,282.3,702.6,133.5,93.8,1962.5,156.7,724.3,230.8,142.5,732.3,203.1,712.3,104.5,648.3,904.9,771.7,749.0,23.7,209.5,963.3,295.4,510.4,387.5,289.2,301.8,870.1,929.1,50.6,145.8,404.3,267.0,278.0,863.5,347.1,833.9,800.8,906.4,277.6,9.7,873.2,285.6,809.6,264.9,421.5,816.5,248.3,316.2,713.3,6.6,306.8,941.0,274.8,884.8,87.3,298.0,346.4
JT,529.5,274.5,669.1,576.6,612.8,77.9,144.4,591.2,560.4,689.3,635.4,276.9,118.0,354.8,389.0,318.3,357.0,212.6,326.1,415.2,285.4,283.5,472.9,569.0,715.3,299.8,537.6,278.8,319.6,156.8,717.7,697.2,301.5,545.4,359.2,56.9,205.3,356.1,274.5,681.1,614.4,222.4,242.9,654.3,444.1,587.9,192.6,51.6,205.4,288.0,601.0,283.1,661.7,279.0,193.4,704.9,359.5,221.9,449.8,569.4,694.3,0.0,357.1,165.5,253.8,187.8,172.7,296.7,55.9,263.5,162.9,685.0,477.8,656.3,626.6,702.8,217.6,254.5,717.7,545.5,554.1,188.7,339.8,155.1,343.4,722.0,335.4,553.9,495.1,357.0,592.4,682.4,526.7,718.1,190.8,311.8,512.0,6.0,638.2,681.1,1845.6,641.4,55.4,598.7,672.9,186.6,649.9,70.9,679.2,159.6,342.0,63.8,77.2,718.1,584.8,361.6,623.6,325.7,310.3,499.0,527.7,300.3,359.3,678.9,592.0,308.2,614.6,653.3,303.1,505.5,264.1,231.0,322.9,554.9,684.5,383.3,633.2,364.8,475.5,448.7,266.1,584.0,487.9,102.6,701.0,573.2,358.9,513.7,315.0,795.5,574.8,523.8
JU,721.7,141.5,861.3,768.8,805.0,407.1,279.3,783.4,752.6,881.5,827.6,469.1,292.5,166.0,101.7,185.3,69.7,404.8,173.1,607.4,189.7,475.7,665.1,761.2,907.5,224.1,729.8,471.0,511.8,306.1,909.9,889.4,493.7,737.6,551.4,341.1,136.3,548.3,226.7,873.3,806.6,258.7,202.3,846.5,636.3,780.1,532.6,389.1,279.4,240.2,793.2,235.3,853.9,90.2,249.8,897.1,170.7,120.2,642.0,761.6,886.5,337.7,0.0,214.2,158.1,337.1,364.9,488.9,367.0,214.9,297.8,877.2,670.0,848.5,818.8,895.0,409.8,205.9,909.9,737.7,746.3,245.1,532.0,290.0,535.6,914.2,527.6,746.1,687.3,69.7,784.6,874.6,718.9,910.3,218.7,216.1,704.2,343.7,830.4,873.3,1790.7,833.6,291.4,790.9,865.1,321.5,842.1,324.7,871.4,292.7,86.7,401.3,361.4,910.3,777.0,204.7,815.8,517.9,502.5,691.2,719.9,120.1,170.5,871.1,784.2,500.4,806.8,845.5,45.3,697.7,131.1,155.3,88.2,747.1,876.7,96.0,825.4,236.4,667.7,640.9,190.4,776.2,680.1,442.6,893.2,765.4,182.4,705.9,134.8,987.7,767.0,716.0
JW,555.4,136.9,695.0,602.5,638.7,240.8,113.0,617.1,586.3,715.2,661.3,302.8,126.2,217.2,251.4,180.7,219.4,238.5,188.5,441.1,147.8,309.4,498.8,594.9,741.2,162.2,563.5,304.7,345.5,139.8,743.6,723.1,327.4,571.3,385.1,174.8,67.7,382.0,137.7,707.0,640.3,92.4,105.3,680.2,470.0,613.8,366.3,222.8,113.1,151.2,626.9,146.3,687.6,141.4,83.5,730.8,221.9,84.3,475.7,595.3,720.2,171.4,219.5,0.0,116.2,170.8,198.6,322.6,200.7,125.9,131.5,710.9,503.7,682.2,652.5,728.7,243.5,116.9,743.6,571.4,580.0,78.8,365.7,123.7,369.3,747.9,361.3,579.8,521.0,219.4,618.3,708.3,552.6,744.0,53.2,174.2,537.9,177.4,664.1,707.0,1735.0,667.3,125.1,624.6,698.8,155.2,675.8,158.4,705.1,126.4,204.4,235.0,195.1,744.0,610.7,255.9,649.5,351.6,336.2,524.9,553.6,162.7,221.7,704.8,617.9,334.1,640.5,679.2,165.5,531.4,126.5,93.4,185.3,580.8,710.4,245.7,659.1,227.2,501.4,474.6,128.5,609.9,513.8,276.3,726.9,599.1,233.6,539.6,177.4,821.4,600.7,549.7
KH,624.0,107.5,763.6,671.1,707.3,309.4,181.6,685.7,654.9,784.1,729.9,392.8,194.8,181.4,215.6,143.5,183.6,307.1,105.1,509.7,31.5,378.0,563.3,663.5,809.8,116.0,632.1,373.3,414.1,208.4,812.2,759.8,396.0,639.9,453.7,243.4,38.6,450.6,84.5,778.5,708.9,161.0,86.6,748.8,538.6,682.4,434.9,291.4,181.7,74.7,695.5,80.4,756.2,105.6,152.1,799.4,186.1,48.5,544.3,663.9,788.8,240.0,183.7,116.5,0.0,239.4,267.2,391.2,269.3,112.1,200.1,779.5,572.3,750.8,712.6,797.3,312.1,103.1,812.2,640.0,648.6,147.4,434.3,192.3,420.5,813.8,429.9,648.4,589.6,183.9,686.9,776.9,621.2,812.6,121.0,57.9,606.5,246.0,732.7,775.6,1803.6,735.9,193.7,693.2,767.4,223.8,744.4,227.0,773.7,195.0,168.6,303.6,263.7,812.6,679.3,186.5,718.1,434.2,404.8,593.5,622.2,126.9,185.9,773.4,686.5,402.7,709.1,747.8,129.7,600.0,97.1,39.6,149.5,649.4,779.0,209.9,727.7,129.1,570.0,543.2,32.2,678.5,582.4,344.9,795.5,667.7,183.8,608.2,141.6,890.0,669.3,618.3
