from_stop,AH,AN,AP,AW,BD,BG,BM,BV,CI,CU,CV,DA,DD,DK,DM,DZ,EB,EF,EI,EN,ES,EU,EW,FO,FU,GW,GX,HB,HV,IM,IO,IT,IY,JA,JI,JK,JO,JW,JY,KF,KI,KJ,KL,KR,KU,KZ,LE,LG,LQ,LU,LY,MV,NP,NU,NV,NZ,OD,OK,OL,ON,PE,PF,PH,PP,QU,RE,RF,RO,RQ,RS,RT,RW,RX,RY,SJ,TH,TO,TT,UG,UP,UR,UV,UW,VN,VY,WC,WW,XE,XJ,XL,XT,XV,YK,YN,YO,YW,YX,ZE,ZL,ZX
RE,254.5,147.1,113.7,205.2,278.3,119.8,197.5,129.5,176.1,239.2,219.1,95.7,79.2,72.4,129.5,186.0,72.6,165.1,167.1,208.0,268.9,258.7,160.5,241.7,236.9,105.0,104.1,163.1,115.8,2432.5,105.5,64.7,208.8,248.0,82.6,73.6,52.3,210.4,138.1,192.9,112.4,190.3,192.5,158.1,304.5,204.4,139.3,166.7,177.0,158.8,168.2,264.9,151.3,204.6,225.5,100.1,289.9,224.5,230.7,126.0,178.0,205.7,147.6,138.2,173.1,0.0,142.3,178.9,149.2,130.5,215.4,164.8,106.5,267.5,200.4,76.1,228.2,174.9,254.1,226.3,245.3,188.3,201.8,158.9,222.3,216.8,208.2,221.4,159.8,255.9,229.0,189.6,239.1,141.9,98.4,120.9,61.5,208.4,132.4,189.5
RF,154.0,134.8,63.7,192.9,266.0,107.5,97.0,63.8,82.5,138.7,113.4,99.7,203.3,102.6,117.2,120.2,196.7,64.6,229.8,195.7,192.5,158.2,148.2,134.2,136.4,72.5,119.0,70.3,69.7,2413.5,69.3,177.4,105.7,147.5,86.6,97.6,176.4,198.1,73.8,180.6,42.7,89.8,89.7,145.8,164.9,176.0,127.0,66.2,146.9,135.8,151.5,164.4,69.5,104.1,125.0,224.2,277.6,124.0,218.4,113.7,165.7,193.4,81.9,56.4,135.1,136.0,0.0,97.1,48.7,66.8,185.3,164.0,56.5,138.8,88.4,105.8,152.2,74.4,207.3,206.4,166.7,87.8,109.2,58.4,210.0,204.5,183.3,209.1,59.3,243.6,128.5,159.5,102.9,76.2,58.0,91.7,84.3,107.9,120.1,95.0
RO,108.3,172.1,118.0,145.4,210.5,98.9,128.3,139.3,55.5,94.7,131.0,145.8,249.8,140.1,118.3,46.2,244.8,104.2,159.5,129.5,118.5,150.4,175.8,124.8,96.9,119.7,165.1,75.8,144.1,2489.0,116.5,225.6,112.5,140.2,140.9,144.8,222.9,150.6,128.1,123.4,115.0,137.7,67.8,100.6,190.9,103.1,79.5,71.5,76.6,37.0,110.0,168.6,85.1,108.3,115.2,270.7,222.1,148.2,115.7,64.9,193.2,146.7,164.5,72.0,62.2,172.8,101.9,0.0,117.3,158.1,113.9,151.2,110.8,214.3,162.8,152.3,79.3,70.7,133.3,132.4,113.4,110.9,47.1,80.2,171.3,156.3,113.0,144.2,87.6,194.8,132.7,89.2,177.3,151.7,133.5,138.9,130.8,91.7,72.6,170.5
RQ,150.7,179.2,89.5,221.2,288.2,151.9,99.5,46.3,79.2,135.4,115.3,82.9,196.9,121.3,161.6,125.5,108.3,51.6,226.5,212.0,189.5,164.7,192.6,137.9,133.1,98.3,64.7,67.0,52.2,2396.0,82.7,128.3,105.0,144.2,95.4,106.2,132.1,226.4,59.1,208.9,87.1,69.1,88.7,189.0,116.3,184.5,161.3,62.9,143.6,149.3,192.7,140.5,97.8,136.6,121.7,227.5,299.8,101.8,182.7,156.9,210.1,214.8,64.4,84.7,140.4,147.2,44.3,110.6,0.0,65.1,182.0,196.9,82.3,96.0,68.9,114.8,160.7,71.1,204.3,217.9,198.9,108.7,105.9,55.1,232.2,244.5,180.0,212.3,56.0,265.8,200.3,156.2,92.9,58.7,40.5,61.5,128.7,161.9,163.3,77.5
RS,164.8,206.0,97.3,253.8,320.8,160.2,202.4,58.3,111.8,168.0,129.4,32.6,148.6,109.5,188.4,158.1,142.0,65.7,259.1,226.1,222.1,187.5,226.0,163.5,165.7,106.1,32.9,81.1,138.0,2347.2,70.9,81.7,137.6,176.8,45.1,74.4,83.3,259.0,48.4,248.1,120.5,100.6,119.0,217.0,191.3,217.1,193.9,95.5,176.2,163.4,227.1,193.7,130.4,133.4,154.3,179.2,332.4,153.3,215.3,184.9,218.4,228.9,134.5,117.3,173.0,69.3,71.1,144.8,78.0,0.0,196.1,229.2,96.7,152.9,133.1,83.0,193.3,85.2,218.4,257.1,217.4,98.6,138.5,87.7,274.9,271.4,212.6,244.9,70.1,298.4,157.8,188.8,117.0,70.7,27.2,49.7,130.9,137.2,197.9,89.5
RT,138.4,112.1,193.4,71.8,97.2,141.3,184.8,202.9,151.8,123.7,131.4,255.1,290.0,194.1,131.7,108.3,226.6,169.2,44.4,82.3,148.6,161.4,97.9,147.0,127.0,184.6,274.4,173.2,208.8,2553.4,233.1,203.8,82.0,160.3,242.0,230.9,202.8,66.3,217.3,85.0,159.6,202.4,128.7,110.9,207.0,91.8,84.1,127.7,41.3,112.0,112.3,209.6,167.3,158.7,137.8,320.6,108.8,208.8,31.7,97.9,79.2,92.4,221.0,168.3,95.4,204.7,199.3,132.1,182.0,205.9,0.0,112.1,200.0,245.4,227.5,222.7,108.3,159.9,141.5,113.7,122.8,175.6,109.5,176.5,109.7,104.2,49.0,54.5,185.0,104.9,141.3,28.7,249.5,215.3,197.1,255.5,201.2,102.7,91.4,234.1
RW,230.2,49.4,144.4,64.5,137.5,54.8,224.2,222.7,136.6,205.2,197.3,198.8,233.8,128.7,40.0,144.0,198.9,185.3,102.8,132.2,224.9,219.7,73.7,259.1,200.8,135.6,218.1,153.4,223.5,2573.1,172.8,202.0,153.1,218.6,185.7,179.7,198.2,69.7,177.7,65.0,113.8,234.6,185.9,68.4,297.1,150.1,95.3,196.6,133.0,111.6,89.2,294.8,121.5,231.3,225.7,267.6,149.1,254.4,72.0,82.0,80.3,49.8,235.7,134.6,129.1,161.4,162.0,140.1,202.5,251.1,89.3,0.0,154.8,297.7,242.2,174.3,173.9,144.7,210.1,168.1,201.3,215.0,164.1,161.3,181.5,163.2,49.5,72.6,162.0,145.2,212.4,87.0,265.0,235.1,237.7,195.2,114.8,161.0,85.2,253.9
RX,169.4,132.3,7.2,190.4,263.5,105.0,146.1,93.9,81.4,154.7,162.5,75.0,168.4,68.4,114.7,107.3,161.8,104.0,219.5,193.8,179.6,207.3,145.7,180.1,158.0,15.9,94.3,68.4,99.8,2443.6,44.6,153.9,154.8,196.6,61.9,72.9,141.5,195.6,31.1,178.1,47.8,138.9,128.9,143.3,211.1,163.1,124.5,115.3,136.6,122.9,153.4,216.5,56.6,153.2,174.1,180.1,275.1,173.1,215.9,111.2,163.2,190.9,112.0,43.5,122.2,101.1,62.9,84.2,97.8,112.7,175.0,161.5,0.0,172.7,122.3,81.1,139.3,89.5,194.4,193.5,153.8,136.9,107.1,106.1,217.6,202.0,173.0,205.3,80.2,241.1,177.6,149.2,136.8,106.3,108.8,67.0,49.4,151.7,117.6,125.1
RY,219.7,263.6,173.9,272.2,336.4,269.8,96.3,130.7,163.6,204.4,184.3,167.3,281.3,205.7,279.5,216.7,196.2,174.3,277.5,246.8,272.5,169.9,277.0,199.9,202.1,182.7,149.1,151.4,136.6,2394.5,167.1,204.1,156.0,227.2,179.8,190.6,216.5,277.4,143.5,259.9,171.5,69.9,170.8,271.5,38.3,239.1,212.3,160.6,194.6,240.2,248.1,65.5,182.2,128.9,190.7,311.9,348.0,68.7,233.7,226.1,312.3,265.8,114.3,169.1,223.6,231.6,128.7,229.1,84.3,149.5,233.0,276.4,166.7,0.0,60.3,199.2,215.3,155.5,287.3,258.9,229.8,107.4,196.5,139.5,268.0,252.4,231.0,263.3,140.4,324.1,205.5,207.2,45.8,119.6,124.9,145.9,213.1,136.8,234.5,102.0
SJ,209.4,232.1,115.9,291.0,318.0,193.5,69.2,72.7,137.9,194.1,168.8,109.3,234.3,147.7,203.2,211.5,145.7,99.0,272.3,259.4,259.1,158.4,234.2,185.3,180.5,136.0,91.1,114.4,89.5,2433.7,120.4,165.7,172.2,213.8,121.8,132.6,169.5,272.2,96.8,254.7,128.7,38.8,136.1,266.3,88.7,233.9,231.1,155.4,213.4,235.0,242.9,112.9,145.2,130.3,169.1,264.9,329.6,95.5,228.5,220.9,307.1,260.6,52.2,132.1,218.4,184.9,97.2,169.3,58.9,102.8,227.8,238.5,120.0,64.3,0.0,152.5,208.1,129.8,273.9,256.7,224.6,102.4,153.3,113.8,252.7,276.9,225.8,282.1,103.4,310.3,194.0,202.0,35.9,64.2,66.9,99.2,169.5,131.6,214.4,46.6
TH,218.7,151.8,68.7,209.9,283.0,124.9,165.2,97.6,131.1,204.4,186.8,32.7,123.5,73.4,134.2,159.0,120.4,132.8,189.7,212.7,223.3,226.8,165.2,209.8,204.6,77.5,51.6,117.7,83.5,2423.5,60.5,97.6,174.3,216.1,19.2,8.6,96.6,215.1,98.8,197.6,97.5,158.4,160.6,162.8,230.6,209.1,144.0,134.8,181.7,163.5,168.5,236.0,106.3,172.3,193.6,89.7,294.6,192.6,235.4,130.7,182.7,210.8,115.3,93.2,171.9,56.2,110.0,145.2,116.9,106.6,220.5,169.5,61.1,192.2,141.4,0.0,189.0,138.8,243.7,231.4,224.2,156.0,156.8,127.0,227.0,227.2,212.9,226.1,127.9,260.6,199.1,194.3,163.8,110.0,66.5,82.9,66.2,176.5,137.1,128.8
TO,63.9,199.5,174.7,151.3,132.2,136.0,170.3,188.4,119.3,31.2,69.0,210.7,277.2,177.2,145.7,97.2,270.6,163.6,165.5,54.4,74.1,146.9,212.9,80.4,34.5,179.0,230.0,140.7,194.3,2538.1,180.3,262.7,67.5,94.7,197.6,208.6,250.3,156.5,184.8,139.0,154.0,187.9,98.8,137.7,192.5,23.7,78.5,153.3,121.8,106.4,114.3,192.1,148.9,144.2,51.7,307.8,143.8,194.3,89.7,92.3,200.3,146.3,206.5,135.8,89.8,209.9,166.8,109.6,167.5,207.2,156.0,156.9,167.5,230.9,213.0,214.5,0.0,127.4,88.9,77.4,48.3,159.2,77.0,144.0,93.6,78.0,111.5,151.3,152.5,117.1,101.5,109.2,227.5,200.8,182.6,202.7,158.2,88.2,100.7,219.6
TT,139.6,159.5,97.5,164.9,238.0,96.0,82.6,93.5,8.0,124.3,104.2,133.5,237.2,136.4,105.7,88.0,234.1,40.5,200.2,170.9,160.3,143.8,172.9,126.8,122.0,106.3,152.8,63.5,99.4,2443.2,103.1,211.3,91.3,133.1,120.4,131.4,210.3,170.1,107.6,152.6,94.5,93.0,75.3,117.8,152.3,143.8,99.0,51.8,117.3,103.6,123.5,153.0,71.7,89.7,110.6,248.9,249.6,109.6,190.4,85.7,190.4,166.2,111.6,58.6,102.9,169.9,89.6,64.9,72.6,112.3,155.7,152.6,90.3,168.5,118.1,139.6,120.0,0.0,175.1,174.2,154.6,73.4,87.8,16.5,192.1,176.5,153.7,186.0,75.3,215.6,114.1,129.9,140.1,105.9,87.7,125.5,118.2,93.5,92.1,124.7
UG,83.0,227.4,215.7,179.2,83.8,163.9,205.4,223.5,174.4,104.3,142.1,265.8,305.1,205.1,173.6,130.6,298.5,191.8,190.4,97.1,20.7,183.3,240.8,99.5,107.6,206.9,285.1,195.8,229.4,2573.2,235.4,290.6,122.3,60.0,252.7,251.0,278.2,184.4,239.9,166.9,181.9,223.0,153.9,165.6,257.9,73.5,106.4,148.3,106.7,134.3,137.8,252.8,189.6,179.3,124.8,316.8,95.4,255.0,122.5,120.2,225.2,179.1,241.6,190.9,117.7,237.8,221.9,161.5,202.6,242.3,180.9,197.4,222.6,296.3,248.1,242.4,97.3,182.5,0.0,60.6,80.2,196.2,132.1,199.1,27.8,76.8,144.3,176.2,207.6,61.4,121.3,142.0,262.6,235.9,217.7,257.8,186.1,143.0,113.7,254.7
UP,64.1,199.6,187.9,151.4,102.7,136.1,197.3,215.4,160.4,100.8,138.6,247.4,277.3,177.3,145.8,104.8,274.2,151.8,163.9,69.3,92.3,173.9,213.0,74.8,104.1,179.1,266.7,193.7,221.3,2565.1,216.3,262.8,97.4,112.9,234.3,223.2,250.4,156.6,226.3,139.1,154.1,214.9,144.1,137.8,219.5,45.7,78.6,140.2,123.7,106.5,114.4,219.1,161.8,171.2,121.3,289.0,114.3,221.3,91.6,92.4,198.7,148.2,233.5,174.9,89.9,210.0,202.3,133.7,194.5,234.2,154.4,166.5,195.1,257.9,240.0,214.6,69.5,168.5,80.6,0.0,39.6,188.1,124.9,185.1,48.8,25.3,113.4,149.7,205.5,82.4,124.7,111.1,254.5,227.8,209.6,238.7,158.3,115.2,85.9,246.6
UR,44.5,219.2,189.2,171.0,122.3,155.7,191.2,209.3,153.9,83.8,101.5,225.2,296.9,196.3,165.4,124.4,290.3,151.2,183.5,88.3,72.7,134.8,232.6,61.0,67.0,198.1,264.6,175.9,215.8,2559.0,214.9,281.8,102.1,93.3,232.2,242.2,270.0,176.2,219.4,178.8,186.2,208.8,133.4,177.5,227.1,65.3,98.2,134.1,142.7,146.2,134.0,225.4,180.8,163.1,104.3,327.5,133.9,218.2,111.2,112.0,217.7,167.2,227.4,170.4,109.5,229.6,201.4,143.2,168.3,228.1,146.0,206.2,202.7,265.5,233.9,234.2,88.4,162.6,88.1,39.6,0.0,161.9,111.6,178.6,78.5,44.9,133.0,169.3,167.0,102.0,105.1,130.7,248.4,221.7,203.5,237.3,177.9,122.8,104.9,240.5
UV,144.6,218.6,128.9,249.6,276.6,168.3,9.2,85.7,80.3,129.3,104.0,122.3,236.3,160.7,178.0,117.5,147.7,45.5,254.9,205.9,177.4,117.0,232.0,131.8,127.0,137.7,104.1,92.1,91.6,2435.4,122.1,167.7,130.8,138.1,134.8,145.6,171.5,254.8,98.5,237.3,126.5,76.8,76.4,190.1,78.8,178.4,189.7,56.8,172.0,143.2,225.5,104.9,122.9,88.9,115.6,257.2,288.2,36.1,211.1,158.0,289.7,243.2,103.8,109.8,134.3,186.6,83.7,104.5,64.8,104.5,210.4,213.3,121.7,113.1,102.4,153.8,154.6,72.2,198.2,211.8,192.2,0.0,99.8,56.2,226.1,229.8,208.4,265.0,81.1,259.7,150.2,184.6,116.9,98.1,79.9,100.9,168.1,114.2,197.0,116.9
UW,99.6,179.4,115.0,131.2,194.9,115.9,114.0,132.1,59.6,84.9,90.8,151.0,257.1,153.9,125.6,19.5,250.5,103.9,149.7,124.0,109.8,130.4,192.8,106.4,88.2,123.8,170.3,81.0,138.0,2481.8,120.6,242.6,80.5,119.7,137.9,148.9,230.2,136.4,125.1,118.9,112.0,131.6,21.8,117.6,183.7,93.3,58.4,93.6,66.8,86.3,94.2,148.2,89.2,87.9,97.2,287.7,206.5,141.0,105.9,72.2,184.5,138.0,150.2,76.1,34.4,189.8,107.1,49.9,111.2,150.9,105.2,148.6,107.8,207.1,156.7,157.5,69.5,67.7,124.6,113.1,84.0,102.9,0.0,84.3,149.0,133.4,103.2,135.5,92.8,172.5,100.7,79.4,171.2,144.5,126.3,143.0,138.1,80.1,80.6,163.3
VN,123.0,175.5,113.5,180.9,254.0,112.0,66.0,76.9,24.0,107.7,82.4,149.5,253.2,152.4,121.7,97.8,142.4,19.5,198.8,186.9,161.8,127.2,188.9,103.2,105.4,122.3,168.8,79.5,82.8,2426.6,119.1,238.7,77.3,116.5,136.4,147.4,226.3,186.1,123.6,168.6,110.5,76.4,58.7,133.8,135.7,156.8,115.0,35.2,115.9,119.6,143.9,133.4,87.7,73.1,94.0,283.8,265.6,93.0,155.0,101.7,206.4,187.1,95.0,74.6,112.7,185.9,105.6,82.5,56.0,95.7,154.3,168.6,106.3,151.9,101.5,156.0,133.0,15.9,176.6,179.6,150.5,54.9,78.2,0.0,208.1,192.5,152.3,184.6,91.3,231.6,97.5,128.5,116.0,89.3,71.1,141.5,134.2,76.9,127.3,108.1
VY,121.0,201.2,203.9,147.5,45.8,152.1,223.4,241.5,186.5,126.9,164.7,263.4,303.4,193.3,171.9,128.9,300.3,167.8,152.4,85.3,58.7,200.0,216.0,131.7,120.1,205.2,282.7,209.7,237.3,2591.2,242.4,277.5,123.5,98.0,250.3,249.3,276.5,152.7,242.3,145.3,170.1,230.9,170.2,153.8,245.6,71.8,104.7,166.3,116.6,122.5,136.1,248.2,187.9,197.3,147.4,269.6,57.4,247.4,84.5,118.5,187.2,141.1,249.5,201.0,116.0,226.0,228.4,152.7,210.5,244.5,153.0,159.4,211.1,284.0,256.0,241.1,95.6,184.5,27.8,48.8,77.9,204.1,151.0,211.2,0.0,75.1,106.3,162.5,231.6,23.5,159.3,104.0,288.1,253.9,235.7,264.8,184.4,141.3,112.0,272.7
WC,89.5,182.9,204.1,129.2,77.3,152.3,207.8,225.9,170.9,111.3,154.8,257.9,287.8,193.5,156.3,113.3,284.7,162.3,138.5,64.9,91.9,184.4,192.0,100.2,120.3,189.6,282.9,209.9,237.5,2575.6,226.8,261.9,107.9,131.2,250.5,233.7,260.9,134.4,242.5,116.9,170.3,225.4,154.6,141.1,230.0,56.2,89.1,150.7,98.3,122.7,120.5,232.6,172.3,181.7,131.8,254.0,88.9,231.8,66.2,102.9,173.3,122.8,249.7,185.4,100.4,226.2,212.8,137.1,210.7,228.9,129.0,141.1,211.3,268.4,256.2,225.5,80.0,184.7,76.8,25.3,44.3,198.6,135.4,195.6,39.3,0.0,88.0,145.4,216.0,72.9,152.1,85.7,272.5,238.3,220.1,249.2,168.8,125.7,96.4,257.1
WW,188.3,94.8,184.3,41.1,87.9,91.8,193.5,211.6,156.8,155.6,140.1,243.8,273.7,173.7,82.2,110.6,262.9,201.1,84.2,69.8,171.9,170.1,108.2,155.7,158.9,175.5,263.1,190.1,217.5,2593.2,212.7,255.0,90.7,169.0,230.7,219.6,242.6,46.3,222.7,28.8,150.5,211.1,152.5,53.0,215.7,100.5,75.0,201.7,50.0,102.9,33.0,215.3,158.2,167.4,176.1,304.3,99.5,217.5,22.4,88.0,119.0,34.7,229.7,171.3,95.7,206.4,198.7,130.1,190.7,320.8,39.7,45.3,191.5,254.1,236.2,211.0,124.3,164.9,157.1,136.8,165.9,182.4,130.7,181.5,119.1,100.8,0.0,70.0,201.9,95.6,150.0,37.4,250.7,224.0,277.6,235.1,154.7,111.4,97.2,242.8
XE,185.0,81.8,209.0,41.5,104.2,126.6,231.4,268.0,190.3,170.3,178.0,224.8,259.7,163.8,101.4,157.6,196.3,230.6,14.1,143.0,189.2,208.0,83.2,195.7,173.6,200.2,259.7,214.8,265.6,2547.4,202.8,173.5,131.5,206.9,211.7,200.6,172.5,36.0,247.4,54.7,175.2,291.5,198.9,80.6,253.6,173.7,124.0,247.2,87.9,148.4,87.0,256.2,182.9,205.3,184.4,225.9,92.6,255.4,95.6,115.6,48.9,77.4,337.6,196.0,144.7,190.0,223.4,168.5,262.3,239.4,88.6,90.2,216.2,292.0,320.6,192.4,197.5,189.6,225.7,197.9,216.9,260.3,179.7,215.0,193.9,168.3,73.1,0.0,226.6,168.8,189.9,75.3,359.3,280.4,248.2,225.2,170.9,149.3,122.0,309.7
XJ,149.3,162.8,85.5,198.9,272.0,113.5,92.3,79.2,77.8,134.0,108.7,121.5,240.5,124.4,123.2,110.4,233.9,50.2,222.6,193.7,176.7,153.5,176.2,129.5,131.7,94.3,140.8,11.0,85.1,2428.9,91.1,226.0,101.0,142.8,108.4,119.4,213.6,204.1,95.6,186.6,82.5,85.1,85.0,151.8,160.2,166.2,133.0,61.5,139.7,126.0,161.9,159.7,41.7,99.4,120.3,261.4,283.6,119.3,178.8,119.7,193.7,199.5,97.3,28.6,125.3,169.6,77.6,98.6,58.3,98.0,178.1,164.0,78.3,154.2,105.1,128.0,142.4,69.7,197.5,196.6,177.0,83.1,104.5,53.7,226.1,210.5,176.1,208.4,0.0,249.6,123.8,152.3,125.8,91.6,73.4,113.5,121.5,103.2,126.1,110.4
XL,144.5,177.7,237.5,124.0,22.3,174.7,236.6,254.7,210.0,150.4,178.0,297.0,326.9,226.9,165.1,154.4,307.6,196.0,128.9,65.4,76.2,213.2,182.4,161.0,153.7,228.7,316.3,243.3,260.6,2604.4,265.9,299.7,133.8,121.5,283.9,272.8,287.3,129.2,275.9,111.7,203.7,254.2,196.3,135.9,258.8,95.3,128.2,179.5,93.1,156.1,115.9,258.4,211.4,210.5,170.9,357.5,33.9,260.6,61.0,142.0,163.7,117.6,272.8,224.5,139.5,259.6,251.9,183.3,233.8,273.5,119.4,128.2,244.7,297.2,280.6,264.2,119.1,218.1,61.4,93.0,122.1,225.5,174.5,234.7,23.5,65.0,82.8,114.7,255.1,0.0,180.8,80.5,293.8,267.1,248.9,288.3,207.9,154.5,150.4,285.9
XT,66.4,233.2,168.3,179.5,203.9,177.1,107.0,125.1,119.7,57.1,39.4,161.7,275.7,200.1,186.8,116.0,187.1,63.9,184.8,133.7,99.2,29.6,240.7,53.6,57.2,177.1,145.9,131.5,131.0,2474.8,161.5,209.9,60.7,59.9,176.6,185.0,210.9,184.7,137.9,169.6,168.3,124.6,77.2,178.8,176.7,106.2,119.6,49.9,101.9,147.5,151.0,143.7,162.3,80.9,43.4,241.9,215.5,134.0,172.2,133.4,219.6,173.1,145.6,149.2,128.9,226.0,123.1,136.3,104.2,128.1,140.3,191.4,161.1,200.1,152.1,193.2,82.4,114.0,120.0,136.0,114.6,97.8,94.4,95.6,147.9,164.7,138.3,194.9,120.5,181.5,0.0,114.5,171.7,137.5,119.3,140.3,199.3,42.9,129.3,156.3
XV,109.6,118.6,208.1,64.9,91.9,115.6,156.0,174.1,123.0,94.9,97.4,214.4,297.5,197.5,106.0,81.5,248.9,115.4,70.2,69.8,119.8,132.6,123.7,118.2,98.2,199.3,233.7,144.4,180.0,2523.8,184.0,241.0,53.2,131.5,201.3,243.4,228.6,70.1,188.5,52.6,174.3,173.6,102.5,76.8,178.2,63.0,98.8,98.9,12.5,126.7,56.8,177.8,182.0,129.9,109.0,328.1,103.5,180.0,26.4,111.8,105.0,58.5,192.2,139.5,66.6,230.2,170.5,153.9,153.2,192.9,25.7,69.1,215.3,216.6,200.0,234.8,79.5,131.1,112.7,95.5,94.0,144.9,80.7,147.7,91.0,75.4,23.7,56.0,156.2,114.5,112.5,0.0,213.2,186.5,168.3,206.4,178.5,73.9,121.0,205.3
YK,220.1,235.3,137.9,305.5,372.3,208.0,107.7,87.2,141.1,197.3,184.7,131.3,237.8,169.7,217.7,189.4,149.2,121.0,310.8,272.0,245.4,172.9,248.7,199.8,202.5,139.2,105.6,128.9,100.6,2436.9,123.6,172.0,186.7,206.1,136.3,147.1,173.0,310.7,107.5,288.3,150.7,77.3,150.6,253.8,74.2,246.4,245.6,124.8,227.9,218.7,277.0,98.4,159.7,144.8,183.6,204.0,383.9,104.6,267.0,214.2,273.7,299.1,73.4,146.6,202.3,195.6,100.4,183.8,104.9,90.2,266.3,253.0,130.7,35.8,22.0,155.3,222.6,140.5,266.2,287.3,260.8,116.9,167.8,117.0,291.2,291.4,264.3,320.9,117.9,360.0,206.1,240.5,0.0,78.7,81.4,102.4,172.7,170.1,248.0,61.1
YN,183.0,205.7,97.0,253.5,320.5,178.4,118.3,11.7,111.5,167.7,147.6,74.6,188.6,113.0,188.1,157.8,103.5,79.5,258.8,247.5,221.8,183.5,219.1,163.2,165.4,105.8,56.4,99.3,43.9,2387.7,74.4,111.4,137.3,176.5,87.1,97.9,123.8,258.7,66.6,241.2,113.6,87.9,118.7,216.7,153.1,216.8,193.6,95.2,175.9,181.6,226.8,171.4,130.1,155.4,154.0,219.2,332.1,120.6,215.0,184.6,236.6,247.1,5.7,117.0,172.7,138.9,70.8,144.5,108.0,56.8,214.3,234.9,89.8,116.1,65.7,106.5,193.0,103.4,236.6,239.6,210.5,129.4,138.2,87.4,274.6,271.1,212.3,244.6,88.3,298.1,219.1,188.5,80.2,0.0,32.2,53.2,139.3,180.7,189.3,18.7
YO,156.0,178.7,70.0,226.5,293.5,151.4,99.0,31.0,84.5,140.7,120.6,42.3,156.3,82.2,161.1,130.8,71.2,52.5,231.8,220.5,194.8,160.2,192.1,136.2,138.4,78.8,24.1,72.3,11.6,2355.4,43.6,79.1,110.3,149.5,84.2,95.2,91.5,231.7,39.6,214.2,86.6,130.1,91.7,189.7,195.3,189.8,166.6,68.2,148.9,154.6,199.8,166.4,103.1,106.1,127.0,186.9,305.1,162.8,188.0,157.6,209.6,220.1,92.6,90.0,145.7,134.8,43.8,117.5,50.7,24.5,187.3,207.9,62.8,158.3,107.9,103.8,166.0,76.4,209.6,212.6,183.5,87.9,111.2,60.4,247.6,244.1,185.3,217.6,61.3,271.1,130.5,161.5,122.4,43.4,0.0,22.4,111.2,109.9,162.3,80.3
YW,167.7,174.3,72.6,232.4,305.2,147.0,110.7,42.7,96.2,152.4,132.3,74.8,179.6,59.7,156.7,142.5,173.0,64.2,243.5,232.2,206.5,171.9,187.7,147.9,150.1,81.4,94.1,84.0,44.8,2388.6,21.2,165.1,122.0,161.2,61.7,72.7,152.7,237.6,51.3,220.1,98.3,103.5,103.4,185.3,175.7,201.5,166.5,79.9,160.6,166.3,195.4,178.1,110.2,117.8,138.7,210.2,316.8,137.7,199.7,153.2,205.2,231.8,60.8,97.1,157.4,112.3,55.5,129.2,62.4,57.7,199.0,203.5,65.4,137.3,88.2,81.3,177.7,88.1,221.3,224.3,195.2,99.6,122.9,72.1,259.3,244.0,197.0,229.3,73.0,282.8,142.2,173.2,101.4,55.1,33.1,0.0,88.7,121.6,174.0,73.9
YX,223.5,85.5,52.2,143.6,216.7,58.2,191.1,123.1,119.0,197.9,212.7,89.0,118.9,18.9,67.9,126.4,112.3,144.6,189.6,149.6,207.3,230.4,98.9,228.3,201.2,43.4,108.3,121.6,125.2,2469.0,57.9,104.4,151.0,241.6,75.9,64.8,92.0,148.8,90.6,131.3,50.8,183.9,168.3,96.5,256.1,142.8,77.7,160.3,115.4,97.2,106.6,258.5,89.7,198.2,218.4,149.5,228.3,218.1,169.1,64.4,116.4,144.1,141.2,97.6,111.5,51.6,99.0,124.4,142.8,170.2,153.8,114.7,59.4,217.7,168.6,56.2,166.6,127.1,192.5,175.3,204.4,180.0,146.5,143.7,170.8,155.2,146.6,184.1,133.4,194.3,222.6,128.0,181.8,135.5,122.8,80.3,0.0,171.7,91.5,154.3
ZE,82.8,189.0,157.3,135.3,162.3,132.9,80.8,98.9,101.9,67.5,42.2,135.5,274.1,174.1,142.6,79.8,164.4,40.2,140.6,109.9,118.7,58.6,194.1,63.0,65.2,166.1,117.3,123.3,104.8,2448.6,162.9,172.3,19.1,76.3,180.2,191.2,184.7,140.5,111.7,123.0,150.9,98.4,81.4,134.6,104.2,102.2,75.4,23.7,57.7,103.3,111.2,115.0,131.5,54.7,53.8,304.7,173.9,107.8,96.8,89.2,175.4,128.9,117.0,118.4,86.7,206.8,96.9,92.2,78.0,117.7,96.1,139.5,150.1,173.9,123.5,199.8,78.4,110.0,133.5,122.0,92.9,69.7,59.6,69.4,131.1,115.5,94.1,126.4,135.1,154.6,94.2,70.3,138.0,111.3,93.1,114.1,155.1,0.0,97.6,130.1
