from_stop,AB,AQ,AU,BF,BK,BL,BM,BZ,CB,CR,CX,DC,DJ,DM,EA,ED,EE,EQ,FD,FG,FI,GC,GD,GH,GK,GL,GQ,HJ,HK,HY,HZ,IF,IG,IH,IN,IV,JI,JK,JT,KD,KE,KF,KR,LA,LB,LC,LJ,LK,MF,MQ,NB,NP,NR,NW,NZ,OE,OM,OO,OP,OQ,PF,PK,PM,PT,PX,QA,QK,QN,QS,QZ,RB,RL,RO,RS,RX,SD,SE,SF,SP,SQ,TF,TL,TR,TY,TZ,UK,UU,VK,VW,VY,VZ,WO,WW,XR,XY,YG,ZA,ZQ,ZV
QN,96.3,116.3,80.4,208.2,254.9,249.7,120.8,196.6,132.0,177.8,312.8,177.0,233.9,297.1,265.4,127.2,209.6,275.8,229.9,140.7,216.3,232.8,201.5,149.6,49.4,241.4,328.0,205.2,107.4,178.6,153.6,98.3,126.1,126.7,128.2,224.6,22.1,193.5,89.0,168.5,137.5,254.5,170.8,244.2,111.1,230.8,225.9,149.0,207.9,43.0,98.3,129.1,141.7,237.1,120.6,193.8,334.6,107.5,180.4,280.7,111.9,303.6,224.2,163.1,107.8,137.2,267.8,0.0,165.0,143.4,333.3,187.0,260.1,145.7,120.3,95.7,182.1,145.1,284.7,231.5,186.6,207.9,2562.5,195.5,71.8,139.7,100.9,61.1,193.6,57.8,170.7,300.9,210.5,147.3,127.7,248.0,302.2,124.9,135.9
QS,164.4,237.5,209.0,189.4,170.5,101.2,54.4,84.2,260.6,73.6,156.8,11.9,169.7,287.5,109.1,224.2,163.1,284.6,149.1,117.5,316.9,331.4,76.2,264.2,111.3,177.2,167.3,96.4,236.0,117.2,97.8,186.2,124.0,36.8,94.4,109.8,135.4,172.6,113.1,127.8,211.4,124.9,80.6,137.5,204.6,59.5,97.3,217.7,258.6,173.8,226.9,194.7,68.9,227.5,160.4,112.2,173.9,73.7,100.4,129.0,240.5,198.1,109.2,162.6,142.4,154.6,107.1,156.0,0.0,310.4,228.0,21.9,145.3,88.8,248.9,125.7,67.7,180.6,124.7,105.2,146.1,81.6,2472.8,132.7,200.4,310.0,229.5,189.7,79.2,168.6,285.3,291.3,96.1,69.0,77.7,133.2,292.6,50.3,188.6
QZ,165.6,110.2,85.4,185.2,365.3,362.5,233.5,249.1,33.6,272.9,287.5,314.9,208.1,258.8,296.4,121.1,156.1,197.1,178.6,290.5,111.7,139.3,295.1,58.4,192.9,219.7,363.2,239.5,64.7,212.9,305.7,123.6,217.5,276.5,256.5,224.9,168.6,138.0,168.8,202.8,131.4,229.2,318.7,216.0,129.6,281.7,296.6,97.7,171.5,126.0,97.3,234.5,252.1,198.8,160.1,352.2,369.8,237.0,245.9,249.1,53.7,377.5,258.5,266.6,168.1,256.5,278.1,146.5,314.8,0.0,407.7,306.0,253.3,241.9,65.6,178.7,280.6,257.2,257.4,282.1,188.5,266.5,2525.6,362.5,65.5,2.9,114.3,121.4,289.8,140.8,38.3,262.6,279.4,275.6,207.1,249.9,263.9,235.3,149.3
RB,325.1,305.1,369.7,237.7,236.2,244.7,215.1,210.1,410.9,252.3,150.3,212.5,212.9,327.5,127.3,291.8,220.6,324.6,200.7,269.4,477.6,492.1,192.7,424.9,272.0,205.4,61.3,182.0,325.5,207.7,276.5,301.4,310.8,266.9,281.2,184.3,309.3,230.1,273.8,218.3,279.0,156.4,259.3,169.0,305.1,210.4,273.3,281.2,207.8,334.5,327.3,369.1,194.4,267.5,280.4,290.9,55.0,260.5,226.3,160.5,401.2,40.9,172.4,314.5,329.2,306.5,120.4,328.0,246.5,377.2,0.0,203.6,158.6,241.8,409.6,312.5,204.6,365.1,156.2,177.4,220.8,199.4,2364.8,328.3,361.1,373.5,333.7,350.4,193.1,339.0,446.0,331.3,177.0,281.1,238.4,167.4,332.6,211.0,289.1
RL,177.6,257.1,222.2,209.0,115.7,79.2,67.6,103.8,273.8,93.2,134.8,8.9,189.3,307.1,82.7,243.8,184.9,285.8,168.7,137.1,330.1,344.6,95.8,277.4,124.5,196.8,145.3,116.0,249.2,136.8,117.4,217.0,143.6,56.4,114.0,129.4,155.0,192.2,126.3,147.4,231.0,104.1,104.4,115.5,242.6,37.5,107.8,237.3,166.6,184.8,240.1,214.3,48.2,247.1,184.8,131.8,151.9,93.3,120.0,107.0,253.7,176.1,135.0,182.2,162.0,174.2,85.1,175.6,19.6,321.3,206.0,0.0,164.9,108.4,262.1,145.3,87.3,200.2,102.7,124.8,165.7,101.2,2450.8,138.1,213.6,281.5,242.7,202.9,98.8,188.2,298.5,310.9,115.7,88.6,90.9,152.8,312.2,63.5,208.2
RO,182.0,171.5,229.2,123.4,168.2,143.8,132.2,81.6,282.6,165.8,84.3,96.2,103.7,222.7,82.1,158.2,97.1,219.8,83.1,210.0,371.8,386.3,76.4,342.0,189.1,111.2,119.6,61.8,197.2,83.0,190.0,163.0,137.0,143.8,158.4,25.6,218.5,106.6,190.9,93.6,145.4,52.4,172.8,65.0,146.4,60.7,172.4,152.9,193.8,233.3,193.7,287.2,111.5,162.7,137.2,207.4,126.2,149.7,97.8,56.5,302.7,129.4,52.2,255.1,155.4,247.1,59.4,239.1,106.9,248.9,159.6,87.3,0.0,120.6,281.9,175.3,88.3,273.1,52.2,61.1,62.1,83.1,2400.3,213.4,214.0,245.2,175.0,203.7,76.8,218.2,287.3,226.5,60.7,132.3,155.5,8.7,227.8,128.1,130.4
RS,95.7,165.5,172.7,143.3,205.1,155.7,89.0,70.8,224.3,108.2,171.7,101.0,156.3,214.2,124.0,152.2,131.7,211.3,135.7,107.2,333.4,347.9,96.9,280.7,122.6,163.8,182.2,83.0,188.7,71.5,122.4,112.9,50.7,89.4,73.2,96.4,115.7,122.2,129.6,61.4,139.4,139.8,115.2,152.4,131.3,85.0,131.9,144.4,197.6,130.5,187.7,184.4,135.8,154.2,91.9,146.8,188.8,46.9,73.3,148.7,204.2,213.0,95.8,152.3,69.1,144.3,122.0,136.3,89.0,240.4,242.9,111.0,131.9,0.0,212.6,72.5,36.3,170.3,139.6,91.8,79.5,68.2,2487.7,167.3,164.1,236.7,159.9,117.4,47.8,115.4,301.8,218.0,64.7,69.7,94.2,119.8,219.3,84.9,115.3
RX,148.5,124.2,49.8,208.2,348.2,302.3,214.1,272.1,70.1,255.8,316.1,337.9,230.1,281.8,323.8,135.1,179.1,260.5,201.6,231.7,154.4,168.9,318.1,87.7,173.5,240.4,391.8,262.5,79.1,235.9,246.9,106.5,169.3,249.4,229.4,249.5,151.5,161.0,151.7,225.8,145.4,257.8,259.9,247.5,119.0,302.4,279.5,120.7,211.2,108.9,106.2,217.4,235.0,221.8,145.9,284.8,398.4,209.9,268.9,267.6,50.0,406.1,281.5,249.5,151.0,230.8,301.1,129.4,287.7,86.7,436.3,329.0,276.3,219.9,0.0,161.6,256.3,242.2,278.1,302.8,211.5,289.5,2552.2,302.3,88.5,71.9,108.8,104.3,267.8,123.7,108.8,285.6,302.4,248.5,190.0,272.9,286.9,218.2,153.4
SD,46.9,157.1,121.2,177.9,267.2,210.7,144.0,124.1,172.8,141.1,245.0,138.0,203.6,248.8,192.9,168.0,164.1,227.5,186.6,101.7,257.1,271.6,141.0,190.4,60.8,211.1,255.5,132.7,148.2,106.1,116.9,98.6,85.3,87.7,67.7,150.5,71.9,146.3,100.4,96.0,174.0,248.9,129.9,256.2,151.9,158.3,186.9,179.0,232.2,57.9,139.1,140.5,124.4,188.8,81.4,154.8,262.1,41.4,107.9,217.2,152.7,286.3,151.7,146.8,67.4,138.8,195.3,92.5,126.0,195.3,316.2,148.0,187.6,73.2,161.1,0.0,109.6,154.1,212.9,159.0,114.1,135.4,2561.0,163.0,112.6,180.5,141.7,86.6,121.1,42.8,211.5,252.6,138.0,86.8,88.7,175.5,253.9,139.9,149.9
SE,132.9,202.7,209.9,152.1,168.2,131.7,88.7,50.5,261.5,107.9,135.3,84.1,136.0,251.4,83.2,189.4,129.4,230.1,115.4,144.4,351.2,365.7,64.3,298.5,145.6,146.3,145.8,62.7,225.9,83.5,132.1,161.3,87.9,89.1,95.5,74.5,152.9,138.9,147.4,94.1,176.6,104.6,114.9,116.0,186.9,48.6,131.6,181.6,234.8,170.4,224.9,221.6,99.4,191.4,129.1,146.5,152.4,90.9,66.7,112.3,241.4,176.6,81.7,189.5,106.3,181.5,85.6,173.5,88.7,280.5,206.5,75.2,111.6,37.1,249.8,109.7,0.0,196.8,103.2,71.5,112.4,47.9,2451.3,156.3,201.3,273.9,197.1,154.6,11.5,152.6,319.6,255.2,28.3,69.4,112.0,99.5,256.5,84.6,152.5
SF,146.6,216.0,180.1,267.6,165.6,147.2,114.4,224.5,242.4,112.4,288.4,184.8,293.3,338.5,235.9,226.9,256.0,327.9,276.3,73.8,345.4,359.9,229.4,292.7,82.8,300.8,298.9,233.1,207.1,195.8,98.9,196.8,174.7,145.2,145.4,240.2,120.1,235.7,130.4,185.7,237.2,256.5,101.2,268.7,210.8,190.7,134.1,248.7,321.6,142.7,198.0,24.7,134.9,289.2,170.4,91.3,305.5,128.2,208.3,260.6,211.6,296.8,241.4,18.0,156.4,51.9,238.7,138.4,172.8,256.7,326.5,194.8,288.0,162.9,220.0,135.9,210.0,0.0,256.3,248.7,203.8,225.1,2604.4,61.4,171.5,250.1,200.6,160.8,210.8,160.5,313.8,353.0,227.7,164.5,90.3,265.2,354.3,118.1,235.6
SP,213.2,178.3,253.5,107.3,229.6,156.8,145.2,106.8,284.1,178.8,61.5,109.2,85.1,200.7,115.1,165.0,96.0,179.4,73.9,236.9,353.8,368.3,89.4,289.4,202.1,75.8,112.6,74.8,198.7,100.5,203.0,194.2,168.2,156.8,171.4,73.3,239.4,103.3,203.9,111.1,152.2,29.6,185.8,42.2,212.5,73.7,185.4,154.4,81.0,262.4,200.5,302.0,124.5,140.7,168.4,220.4,119.2,180.9,123.0,33.7,304.2,126.9,60.4,269.9,186.6,274.0,113.9,258.1,119.9,256.9,157.1,100.3,47.6,138.5,283.4,206.5,101.3,287.9,0.0,74.1,109.8,96.1,2377.5,226.4,251.8,246.7,222.7,234.9,89.8,249.4,269.3,204.5,73.7,145.3,168.5,56.4,205.8,141.1,187.7
SQ,162.5,203.9,231.7,152.2,165.5,129.0,117.4,32.6,319.8,142.4,108.6,81.4,136.1,266.8,67.3,190.6,129.5,245.5,115.5,190.5,379.9,394.4,61.6,327.2,174.3,146.4,119.1,62.8,234.4,83.6,166.6,176.7,117.5,123.6,130.0,74.6,199.0,139.0,176.1,94.2,177.8,76.7,153.6,89.3,202.3,45.9,157.6,190.1,128.1,216.5,226.1,267.7,96.7,206.8,144.5,181.0,125.7,137.0,48.8,80.8,263.2,149.9,81.8,235.6,135.9,227.6,58.9,219.6,92.1,289.0,179.8,72.5,111.7,89.6,271.6,155.8,73.5,242.9,76.5,0.0,112.5,21.9,2424.6,187.9,223.1,282.4,212.5,184.2,62.0,198.7,348.3,270.6,45.9,103.9,140.7,99.6,271.9,113.3,177.5
TF,119.8,111.8,167.0,89.6,262.4,213.0,146.3,73.7,220.4,165.5,157.8,158.3,115.3,160.5,155.6,98.5,78.0,157.6,95.2,147.8,309.6,324.1,149.9,236.2,163.2,122.8,193.1,74.3,135.0,70.2,163.0,100.8,74.8,133.8,113.8,37.9,156.3,68.5,170.2,60.1,85.7,161.8,172.5,167.9,84.2,134.2,189.2,90.7,131.6,171.1,134.0,225.0,185.0,100.5,75.0,200.9,199.7,87.5,89.9,130.0,240.5,202.9,87.1,192.9,93.2,184.9,132.9,176.9,146.3,186.7,233.1,160.8,73.4,99.2,219.7,113.1,111.6,210.9,125.7,114.7,0.0,91.1,2473.8,209.1,151.8,183.0,112.8,141.5,123.1,156.0,225.1,164.3,134.2,127.0,134.8,61.3,165.6,142.2,68.2
TL,140.5,181.9,209.7,133.8,217.3,152.6,101.2,10.6,297.8,120.4,132.2,105.0,114.1,244.8,90.9,168.6,107.5,241.9,93.5,168.5,363.7,378.2,85.2,311.0,158.1,121.6,142.7,40.8,212.4,61.6,144.6,143.5,95.5,101.6,108.0,54.2,177.0,117.0,159.9,72.2,155.8,100.3,127.4,112.9,161.9,69.5,144.1,168.1,228.2,191.8,204.1,245.7,120.3,184.8,122.5,159.0,149.3,108.2,26.8,104.4,241.2,173.5,53.6,213.6,113.9,205.6,82.5,197.6,101.2,264.1,203.4,96.1,89.7,67.6,249.6,133.8,66.5,231.6,100.1,23.5,90.5,0.0,2448.2,179.5,201.1,260.4,190.5,162.2,78.0,176.7,332.1,248.6,69.5,81.9,124.5,77.6,249.9,97.1,145.9
TR,2636.6,2564.5,2549.2,2457.9,2586.7,2546.8,2526.6,2496.8,2587.6,2563.8,2425.5,2499.2,2433.1,2496.4,2505.8,2551.2,2460.0,2493.5,2440.1,2580.9,2649.5,2664.0,2479.4,2585.1,2583.5,2425.6,2439.8,2464.8,2529.2,2490.5,2588.0,2584.2,2558.2,2578.4,2592.7,2463.3,2620.8,2469.5,2585.3,2501.1,2538.4,2399.1,2570.8,2387.6,2570.8,2463.7,2575.4,2512.9,2376.7,2646.0,2586.7,2672.6,2505.9,2436.4,2563.2,2602.4,2433.5,2572.0,2513.0,2448.5,2580.7,2419.4,2455.2,2664.7,2576.6,2618.0,2498.9,2639.5,2509.9,2553.9,2378.4,2490.3,2437.6,2528.5,2586.9,2624.0,2491.3,2668.6,2475.6,2464.1,2499.8,2486.1,0.0,2657.9,2529.3,2550.2,2599.4,2661.9,2479.8,2650.5,2565.0,2500.2,2463.7,2535.3,2549.9,2446.4,2501.5,2522.5,2554.8
TY,197.4,277.5,241.6,260.3,104.1,96.4,96.4,190.9,293.2,101.3,257.2,153.1,277.4,327.4,205.1,265.4,242.7,299.6,258.7,61.3,358.0,365.2,172.2,296.0,144.3,286.7,303.4,203.1,262.1,184.7,70.6,237.3,163.9,123.4,134.3,214.9,168.8,224.6,181.2,174.6,252.6,226.5,90.1,228.6,256.4,150.6,72.6,257.6,292.0,204.2,259.5,75.5,114.8,267.4,193.8,80.2,310.0,106.4,186.5,224.9,273.1,296.3,211.4,54.1,193.0,93.5,207.5,195.9,141.1,304.6,326.0,152.4,252.0,151.8,281.5,165.6,163.7,61.4,225.1,202.6,192.7,188.3,2573.2,0.0,233.0,300.9,262.1,222.3,192.4,208.5,317.1,331.2,202.8,162.7,151.8,239.9,332.5,107.0,238.1
TZ,100.0,44.4,19.8,136.3,304.2,253.8,165.6,196.7,71.4,207.3,240.9,272.6,162.0,225.2,258.5,55.3,137.7,222.3,158.0,183.2,155.7,170.2,252.8,89.0,125.0,169.5,316.6,194.4,35.5,167.8,198.4,69.9,120.8,231.4,211.4,178.9,103.0,128.2,103.2,157.7,65.6,183.8,214.3,172.3,77.3,237.1,231.0,77.1,136.0,62.6,26.4,168.9,187.9,165.2,97.4,236.3,323.2,185.1,200.8,208.8,51.3,330.9,207.2,201.0,102.5,182.3,235.8,80.9,269.3,116.2,361.1,263.7,211.0,196.8,59.7,113.1,233.2,183.0,212.8,237.5,143.4,214.1,2490.6,244.5,0.0,112.5,48.7,55.8,244.7,75.2,110.1,229.0,237.1,230.5,141.5,202.3,230.3,169.7,93.3
UK,162.7,107.3,82.5,178.5,366.9,359.6,228.3,246.2,30.7,270.0,290.2,312.0,204.2,255.9,297.9,118.2,155.4,253.0,175.7,287.6,126.5,141.0,292.2,104.2,187.7,211.7,365.9,236.6,53.2,210.0,302.8,132.6,214.6,273.6,253.6,223.6,165.7,145.9,165.9,199.9,128.5,233.1,320.0,221.6,140.0,276.5,293.7,94.8,197.6,125.3,89.3,231.6,250.6,195.9,160.1,340.7,372.5,227.3,243.0,241.7,50.8,380.2,249.4,263.7,165.2,245.0,275.2,143.6,311.9,3.7,410.4,303.1,250.4,239.0,62.7,175.8,275.4,245.7,252.2,276.9,185.6,263.6,2526.3,348.9,62.6,0.0,111.4,118.5,286.9,137.9,83.3,259.7,276.5,272.7,204.2,247.0,261.0,232.4,156.0
UU,180.2,83.4,59.1,175.3,373.7,313.9,247.2,174.6,110.7,247.6,279.9,244.5,201.0,247.5,248.0,94.3,162.8,226.2,185.3,208.2,195.0,209.5,246.7,128.3,223.6,208.5,289.9,157.2,74.5,130.6,223.4,161.2,135.2,194.2,174.2,149.2,216.7,144.7,230.6,120.5,104.6,221.6,236.4,211.3,10.2,231.0,290.1,116.1,175.0,99.7,65.4,285.4,229.5,187.5,135.4,261.3,296.5,147.9,163.6,231.5,90.6,314.9,176.2,253.3,153.6,245.3,229.7,120.2,232.5,113.4,345.1,254.5,186.3,159.6,99.0,173.5,196.0,271.3,231.0,214.7,112.8,191.1,2529.6,280.2,38.9,106.8,0.0,95.1,207.5,114.5,149.4,251.3,224.4,193.3,195.2,174.2,252.6,243.1,34.9
VK,44.1,91.1,55.2,183.0,317.5,271.3,149.0,149.9,106.8,203.5,287.6,200.4,208.7,271.9,239.6,102.0,184.4,269.0,204.7,164.1,191.1,205.6,203.4,124.4,77.6,216.2,291.2,158.5,82.2,131.9,179.3,73.1,64.9,150.1,130.1,177.9,88.7,174.9,117.2,121.8,112.3,230.5,196.5,219.0,104.3,200.6,247.5,123.8,195.0,92.7,73.1,157.3,171.3,211.9,83.8,217.2,297.8,103.8,133.7,251.9,86.7,316.2,171.3,191.3,46.6,165.4,231.0,109.3,188.4,118.2,346.4,210.4,213.4,115.5,95.1,83.7,151.9,173.3,242.8,184.8,139.9,161.2,2537.3,225.4,46.6,114.5,75.7,0.0,163.4,77.6,145.5,275.7,180.3,149.2,151.1,201.3,277.0,153.1,120.3
VW,144.4,214.2,221.4,163.6,156.7,120.2,100.2,62.0,273.0,119.4,123.8,72.6,147.5,262.9,76.1,200.9,140.9,241.6,126.9,155.9,362.7,377.2,52.8,310.0,157.1,155.0,134.3,74.2,237.4,95.0,143.6,161.6,99.4,100.6,107.0,86.0,164.4,160.1,158.9,105.6,188.1,91.9,130.6,104.5,198.4,37.1,143.1,193.1,234.0,179.2,236.4,233.1,89.2,202.9,140.6,158.0,140.9,102.4,78.2,96.0,252.9,165.1,93.2,201.0,117.8,193.0,74.1,185.0,83.3,289.1,195.0,63.7,123.1,48.6,261.3,121.2,11.5,208.3,91.7,83.0,123.9,59.4,2439.8,185.0,212.8,285.4,208.6,166.1,0.0,164.1,331.1,266.7,16.8,80.9,123.5,111.0,268.0,96.1,164.0
VY,55.8,114.2,78.3,206.1,293.0,248.6,121.1,162.0,129.9,178.1,310.7,175.9,231.8,286.7,235.2,125.1,204.2,283.8,224.5,139.6,214.2,228.7,178.9,147.5,49.7,239.3,293.4,170.6,105.3,144.0,153.9,96.2,94.6,125.6,105.6,190.0,60.8,194.7,89.3,133.9,135.4,253.6,171.1,242.1,127.4,196.2,224.8,146.9,205.8,15.1,96.2,129.4,143.4,226.7,90.3,192.7,300.0,79.3,145.8,259.9,109.8,324.2,183.4,163.4,76.3,137.5,233.2,81.4,163.9,141.3,354.1,185.9,225.5,111.1,118.2,37.8,147.5,145.4,250.8,196.9,152.0,173.3,2560.4,200.9,69.7,137.6,98.8,59.0,159.0,0.0,168.6,290.5,175.9,124.7,126.6,213.4,291.8,125.2,143.4
VZ,190.7,135.3,110.5,185.6,389.9,365.5,256.3,274.2,58.7,298.0,274.9,317.9,211.3,216.9,303.8,146.2,183.4,214.0,203.7,315.6,84.4,98.9,298.1,20.0,215.7,218.8,350.6,264.6,81.2,238.0,330.8,160.6,242.6,301.6,281.6,251.6,193.7,173.9,193.9,227.9,156.5,217.8,348.0,206.3,168.0,282.4,321.7,122.8,170.0,153.3,117.3,259.6,278.6,156.9,188.1,368.7,357.2,255.3,271.0,242.8,78.8,364.9,273.9,291.7,193.2,273.0,281.1,171.6,328.6,25.0,395.1,309.0,256.3,267.0,90.7,203.8,303.4,273.7,258.1,282.8,213.6,291.6,2548.1,376.9,90.6,27.9,139.4,146.5,298.5,165.9,0.0,220.7,282.4,300.7,232.2,265.1,222.0,260.4,184.0
WO,240.6,201.8,201.4,126.4,370.7,346.3,307.6,235.0,276.8,308.0,226.6,298.7,152.1,98.8,284.6,188.5,154.4,75.9,174.7,268.6,301.7,316.2,278.9,237.3,284.0,159.6,302.3,217.6,191.4,191.0,283.8,221.6,195.6,254.6,234.6,204.6,277.1,144.9,291.0,180.9,175.7,198.6,301.0,158.0,205.0,263.2,350.5,147.1,134.0,291.9,224.0,345.8,314.0,59.7,200.6,321.7,308.9,208.3,224.0,228.4,232.9,316.6,230.4,313.7,214.0,305.7,261.9,297.7,292.9,243.1,346.8,289.8,237.1,220.0,276.1,233.9,256.4,331.7,238.9,263.6,166.6,251.5,2481.6,329.9,181.5,239.4,233.6,262.3,267.9,276.8,217.2,0.0,263.2,253.7,255.6,228.0,103.9,303.5,189.0
WW,160.5,230.3,237.5,183.3,127.7,103.3,91.7,78.1,289.1,125.3,106.9,55.7,163.6,279.0,59.2,217.0,157.0,276.1,143.0,172.0,354.2,368.7,35.9,301.5,148.6,171.1,117.4,90.3,253.5,111.1,149.5,177.7,115.5,103.3,117.9,103.7,180.5,166.5,150.4,121.7,204.2,75.0,132.3,87.6,196.1,20.2,131.9,209.2,138.7,195.3,252.5,248.5,71.0,219.0,156.7,166.9,124.0,111.7,94.3,83.9,269.0,148.2,103.1,216.4,133.9,209.1,57.2,201.1,66.4,305.2,178.1,46.8,139.2,64.7,277.4,137.3,27.5,234.4,74.8,99.1,140.0,75.5,2422.9,172.9,228.9,301.5,224.7,182.2,16.0,180.2,322.6,282.8,0.0,91.8,115.0,127.1,284.1,87.6,180.1
XR,142.6,212.4,218.8,185.3,192.4,130.9,64.2,80.1,270.4,83.4,181.1,76.2,165.6,261.1,129.0,199.1,161.2,239.8,145.0,122.0,326.7,341.2,54.1,274.0,121.1,173.1,191.6,92.3,235.6,113.1,107.6,171.0,97.6,64.6,26.0,104.1,130.5,162.5,122.9,108.3,186.3,149.2,90.4,161.8,196.6,112.3,107.1,191.3,232.2,160.0,234.6,199.2,120.4,201.1,134.0,122.0,198.2,68.5,96.3,153.3,250.3,222.4,111.3,167.1,116.0,159.1,131.4,151.1,64.2,290.2,252.3,86.2,141.2,84.7,258.7,99.3,63.6,174.4,149.0,101.1,126.4,77.5,2497.1,131.8,210.2,283.6,206.8,164.3,75.1,142.2,295.1,264.9,92.0,0.0,87.5,129.1,266.2,60.1,162.2
XY,86.6,167.1,131.2,195.6,162.6,112.2,24.0,129.7,182.8,65.7,198.0,91.9,215.2,266.5,150.3,178.0,184.0,263.6,194.6,41.6,239.1,253.6,121.7,186.4,33.5,222.7,208.5,141.9,158.2,123.8,56.8,127.1,125.4,62.5,73.4,155.3,70.8,174.5,35.3,113.7,188.3,166.1,72.7,178.7,180.3,100.7,89.4,199.8,258.7,96.0,149.1,118.8,46.3,206.5,121.1,94.7,215.1,52.7,125.6,170.2,162.7,206.8,154.7,86.7,107.1,78.7,148.3,89.5,79.9,232.6,236.5,101.9,190.8,90.9,171.1,86.6,113.2,104.7,165.9,150.7,131.8,127.1,2514.0,102.9,122.6,190.5,151.7,111.9,124.7,100.5,207.5,270.3,141.6,92.5,0.0,178.7,271.6,28.1,196.3
YG,173.2,162.7,220.4,114.6,180.3,155.9,144.3,72.8,273.8,164.6,96.4,108.3,94.9,213.9,94.2,149.4,88.3,211.0,74.3,201.2,363.0,377.5,88.5,289.6,201.2,102.4,131.7,73.4,188.4,74.2,188.8,154.2,128.2,145.8,152.2,16.8,209.7,97.8,203.0,84.8,136.6,64.5,171.6,77.1,137.6,72.8,184.5,144.1,197.3,224.5,184.9,278.4,123.6,153.9,128.4,203.2,138.3,140.9,89.0,73.4,293.9,141.5,64.3,246.3,146.6,238.3,71.5,230.3,119.0,240.1,171.7,99.4,12.0,111.8,273.1,166.5,100.4,264.3,64.3,73.2,53.3,90.2,2412.4,223.7,205.2,236.4,166.2,194.9,88.9,209.4,278.5,217.7,72.8,126.1,167.6,0.0,219.0,140.2,121.6
ZA,260.0,221.2,220.8,145.8,390.1,365.7,327.0,254.4,296.2,327.4,246.0,318.1,171.5,43.9,304.0,207.9,173.8,95.3,194.1,288.0,321.1,335.6,298.3,256.7,303.4,179.0,321.7,237.0,210.8,210.4,303.2,241.0,215.0,274.0,254.0,224.0,296.5,164.3,310.4,200.3,195.1,218.0,320.4,177.4,224.4,282.6,369.9,166.5,141.1,311.3,243.4,365.2,333.4,79.1,220.0,341.1,328.3,227.7,243.4,243.0,252.3,336.0,249.8,333.1,233.4,325.1,281.3,317.1,312.3,262.5,366.2,309.2,256.5,239.4,295.5,253.3,275.8,351.1,258.3,283.0,186.0,270.9,2501.0,349.3,200.9,258.8,253.0,281.7,287.3,296.2,236.6,92.0,282.6,273.1,275.0,247.4,0.0,322.9,208.4
ZQ,114.0,194.5,158.6,192.3,134.4,84.0,4.0,138.5,210.2,37.5,169.8,63.7,218.0,263.2,122.1,201.2,180.7,260.3,201.0,95.6,266.5,281.0,93.5,213.8,60.9,225.5,180.3,147.1,185.6,120.5,61.7,154.5,99.7,59.2,70.1,166.5,98.2,171.2,62.7,110.4,188.4,137.9,44.5,150.5,180.3,72.5,61.2,193.4,234.3,123.4,176.5,165.5,18.1,203.2,136.1,76.1,186.9,49.4,122.3,146.8,190.1,178.6,159.9,140.1,118.1,132.7,120.1,116.9,51.7,260.0,208.3,73.7,202.0,87.6,198.5,101.4,124.0,158.1,137.7,122.5,128.5,98.9,2485.8,96.6,150.0,217.9,179.1,139.3,135.5,127.9,234.9,267.0,152.4,89.2,27.3,189.9,268.3,0.0,164.3
ZV,138.5,125.1,100.8,134.9,329.1,272.2,202.6,132.9,152.4,205.9,217.6,202.8,160.6,205.8,210.7,136.0,123.3,181.6,140.7,163.6,236.7,251.2,202.1,170.0,179.0,168.1,248.2,115.5,109.5,88.9,178.8,119.5,93.5,152.5,132.5,109.1,172.1,109.7,188.9,78.8,131.0,207.1,198.9,210.3,34.3,186.4,245.5,136.0,176.9,189.8,100.4,243.7,189.2,145.8,98.5,216.7,254.8,106.2,121.9,194.6,132.3,273.2,131.6,208.7,109.0,200.7,188.0,192.7,190.8,155.1,303.4,209.9,144.6,117.9,140.7,128.9,161.0,225.6,196.0,170.1,71.1,149.4,2533.6,227.8,80.6,148.5,34.9,160.2,162.9,174.7,191.1,209.6,182.7,148.7,153.5,132.5,210.9,201.4,0.0
