from_stop,AF,AL,AN,AV,AX,BA,BD,BN,BT,BY,CD,CE,CF,CH,CL,CR,CT,DC,DD,DG,DU,DX,EB,ED,EM,EV,FG,FN,FQ,FS,FW,FX,GB,GM,GZ,HD,HE,HK,HO,HQ,HT,HU,ID,IH,IL,IO,IV,IX,IZ,JA,JB,JC,JD,JG,JS,JW,JX,JY,KE,KG,KH,KL,KU,LC,LE,LP,LV,MB,MF,MI,ML,MY,NG,NI,NT,OG,OK,OL,OR,OU,OX,OY,OZ,PB,PF,PL,PN,PQ,PY,QE,QF,QH,QL,QU,QW,QX,QY,QZ,RF,RK,RN,RS,RU,RV,SB,SH,SR,SW,TA,TD,TZ,UC,UI,UV,UW,UX,VA,VD,VH,VI,VJ,VM,VR,VW,VZ,WP,WS,XB,XJ,XN,XW,YD,YE,YG,YJ,YK,YO,ZH,ZQ,ZU
IO,650.4,118.3,627.7,836.5,758.9,527.4,931.6,154.9,729.1,519.2,407.5,491.4,889.1,461.5,875.1,528.0,812.0,750.9,484.0,605.4,944.0,389.7,255.6,2505.0,381.5,539.8,422.1,134.0,186.8,911.6,547.0,352.6,570.4,335.4,450.2,42.3,898.8,538.5,435.2,163.1,756.0,725.5,835.7,805.1,838.2,0.0,433.8,630.9,560.2,663.2,569.0,452.7,812.1,643.9,627.0,999.5,385.1,363.7,642.2,821.8,539.0,605.5,671.9,913.0,520.8,256.3,307.1,615.8,718.3,366.3,778.7,483.4,485.1,920.5,622.7,425.3,901.1,593.7,454.4,841.1,689.0,729.9,517.0,567.2,355.4,942.4,606.3,475.5,747.4,417.6,411.3,794.4,555.3,453.6,365.4,295.2,826.3,725.2,544.6,844.4,814.7,855.4,370.6,860.2,371.8,772.4,674.6,430.7,888.2,468.7,387.7,435.2,859.8,769.1,448.9,608.7,888.9,539.8,583.4,291.4,565.0,654.2,842.0,506.1,501.8,756.9,373.2,746.4,911.3,493.0,934.3,388.0,447.7,377.1,852.0,791.0,381.6,307.2,880.3,697.6
IV,602.9,307.3,474.8,683.6,606.0,374.5,884.1,308.9,681.6,471.7,357.9,338.5,736.2,414.0,722.2,375.1,764.5,703.4,436.5,557.9,791.1,342.2,274.1,2352.1,166.2,386.9,369.9,291.0,321.5,758.7,167.0,199.8,522.9,120.1,297.3,394.7,851.3,385.6,453.7,300.9,708.5,572.6,682.8,652.2,790.7,426.3,0.0,478.0,407.3,615.7,521.5,405.2,659.2,594.5,579.5,952.0,48.4,69.3,594.7,668.9,386.1,558.0,624.4,865.5,539.3,198.4,366.4,568.3,565.4,151.0,731.2,330.5,503.6,767.6,575.2,377.8,853.6,546.2,406.9,688.2,641.5,577.0,469.5,414.3,373.9,894.9,558.8,322.6,592.5,370.1,258.4,643.1,175.3,300.7,317.9,237.9,673.4,677.7,497.1,691.5,767.2,702.5,62.5,707.3,324.3,619.5,632.6,383.2,735.3,88.7,406.2,282.3,706.9,721.6,401.4,561.2,736.0,386.9,430.5,365.2,517.5,606.7,689.1,126.1,348.9,604.0,157.9,698.9,758.4,445.5,886.8,172.7,400.2,395.6,699.1,638.1,334.1,325.7,727.4,650.1
IX,793.7,516.1,14.0,260.7,145.2,352.7,1074.9,499.7,872.4,662.5,550.8,316.7,350.6,604.8,261.4,112.7,955.3,894.2,627.3,748.7,405.5,533.0,482.9,2389.6,417.4,365.1,565.4,499.8,512.3,373.1,582.9,408.6,713.7,371.3,309.0,603.5,1042.1,363.8,662.5,491.7,899.3,111.8,297.2,191.4,981.5,635.1,469.7,0.0,385.5,806.5,712.3,596.0,198.4,787.2,770.3,1142.8,421.0,399.6,785.5,208.1,102.4,748.8,815.2,1056.3,748.1,389.2,557.2,759.1,104.6,402.2,922.0,308.7,712.4,382.0,766.0,568.6,1044.4,737.0,597.7,256.0,832.3,116.2,660.3,152.9,582.7,1085.7,749.6,412.9,133.7,560.9,348.7,180.7,591.2,391.0,508.7,428.7,212.6,868.5,687.9,305.9,958.0,316.9,406.5,305.7,515.1,158.7,817.9,574.0,349.7,504.6,615.0,260.5,269.7,912.4,592.2,752.0,275.2,410.6,115.1,541.5,708.3,797.5,228.3,542.0,237.9,143.2,409.1,889.7,297.6,636.3,1077.6,423.9,591.0,604.4,281.3,177.3,524.9,534.5,266.6,840.9
IZ,733.4,455.8,372.7,581.5,503.9,168.1,1014.6,439.4,812.1,602.2,488.4,75.7,634.1,544.5,620.1,273.0,895.0,833.9,567.0,688.4,689.0,472.7,422.6,2396.8,357.1,18.3,505.1,439.5,452.0,656.6,522.6,348.3,653.4,311.0,248.7,543.2,981.8,49.7,602.2,431.4,839.0,470.5,580.7,550.1,921.2,574.8,409.4,375.9,0.0,746.2,652.0,535.7,557.1,725.0,710.0,1082.5,360.7,339.3,725.2,566.8,284.0,688.5,754.9,996.0,687.8,328.9,496.9,698.8,463.3,341.9,861.7,107.7,652.1,665.5,705.7,508.3,984.1,676.7,537.4,586.1,772.0,472.5,600.0,312.2,522.4,1025.4,689.3,352.6,490.4,500.6,288.4,539.4,530.9,330.7,448.4,368.4,571.3,808.2,627.6,589.4,897.7,600.4,346.2,605.2,454.8,517.4,763.1,513.7,633.2,444.3,554.7,141.4,604.8,852.1,531.9,691.7,633.9,416.9,328.4,495.7,648.0,737.2,587.0,481.7,246.8,501.9,348.8,829.4,656.3,576.0,1017.3,363.6,530.7,544.1,597.0,536.0,464.6,474.2,625.3,780.6
JA,88.2,597.1,834.1,1042.9,965.3,733.8,606.3,536.3,403.8,187.0,407.8,697.8,1095.5,486.6,1081.5,734.4,148.7,192.0,431.2,119.4,1150.4,498.8,651.4,2711.4,605.9,746.2,447.2,612.8,548.9,1118.0,771.4,577.1,245.1,559.8,656.6,643.2,573.5,744.9,831.0,528.3,186.9,931.9,1042.1,1011.5,174.9,674.8,658.2,837.3,766.6,0.0,170.8,477.8,1018.5,201.2,318.3,674.2,609.5,588.1,156.2,1028.2,745.4,162.8,50.3,587.7,916.6,456.2,593.8,173.1,924.7,590.7,470.0,689.8,880.9,1126.9,273.7,320.3,575.8,268.4,303.6,1047.5,340.0,936.3,251.1,773.6,751.2,617.1,281.0,681.9,953.8,401.3,617.7,1000.8,779.7,660.0,340.1,495.1,1032.7,61.9,129.7,1050.8,489.4,1061.8,595.0,1066.6,396.9,978.8,77.0,325.7,1094.6,693.1,783.5,641.6,1066.2,172.8,257.0,300.0,1095.3,746.2,789.8,578.1,239.7,98.2,1048.4,730.5,708.2,963.3,597.6,196.5,1117.7,385.4,609.0,612.4,472.8,772.9,1058.4,997.4,538.3,703.0,1086.7,372.3
JB,184.2,455.6,692.6,901.4,823.8,592.3,464.8,394.8,262.3,45.5,266.3,556.3,954.0,345.1,940.0,592.9,345.8,284.7,289.7,139.2,1008.9,357.3,509.9,2569.9,464.4,604.7,305.7,471.3,407.4,976.5,629.9,435.6,103.6,418.3,515.1,501.7,432.0,603.4,689.5,386.8,289.8,790.4,900.6,870.0,372.0,533.3,516.7,695.8,625.1,197.0,0.0,336.3,877.0,112.9,281.0,532.7,468.0,446.6,176.0,886.7,603.9,74.5,205.7,446.2,775.1,314.7,452.3,84.8,783.2,449.2,432.7,548.3,739.4,985.4,132.2,178.8,434.3,126.9,162.1,906.0,198.5,794.8,109.6,632.1,609.7,475.6,139.5,540.4,812.3,259.8,476.2,859.3,638.2,518.5,198.6,353.6,891.2,259.0,86.2,909.3,347.9,920.3,453.5,925.1,255.4,837.3,208.4,184.2,953.1,551.6,642.0,500.1,924.7,302.9,115.5,262.7,953.8,604.7,648.3,436.6,98.2,188.0,906.9,589.0,566.7,821.8,456.1,280.2,976.2,243.9,467.5,470.9,331.3,631.4,916.9,855.9,396.8,561.5,945.2,230.8
JC,427.4,329.0,566.0,774.8,697.2,465.7,708.6,268.2,506.1,296.2,184.5,429.7,827.4,92.0,813.4,466.3,589.0,527.9,261.0,382.4,882.3,230.7,383.3,2443.3,337.8,478.1,58.9,344.7,280.8,849.9,503.3,309.0,347.4,291.7,388.5,375.1,675.8,476.8,562.9,260.2,533.0,663.8,774.0,743.4,615.2,406.7,390.1,569.2,498.5,440.2,346.0,0.0,750.4,420.9,404.0,776.5,341.4,320.0,419.2,760.1,477.3,382.5,448.9,690.0,648.5,188.1,325.7,392.8,656.6,322.6,555.7,421.7,612.8,858.8,399.7,202.3,678.1,370.7,231.4,779.4,466.0,668.2,294.0,505.5,483.1,719.4,383.3,413.8,685.7,194.6,349.6,732.7,511.6,391.9,142.4,227.0,764.6,502.2,321.6,782.7,591.7,793.7,326.9,798.5,70.8,710.7,451.6,207.7,826.5,425.0,515.4,373.5,798.1,546.1,225.9,385.7,827.2,478.1,521.7,310.0,342.0,431.2,780.3,462.4,440.1,695.2,329.5,523.4,849.6,270.0,711.3,344.3,5.0,504.8,790.3,729.3,270.2,434.9,818.6,474.6
JD,959.5,681.9,178.9,236.4,156.9,518.5,1240.7,665.5,1038.2,828.3,714.5,482.5,271.0,770.6,89.5,278.5,1121.1,1060.0,793.1,914.5,325.9,698.8,648.7,2401.3,583.2,530.9,731.2,665.6,678.1,293.5,748.7,574.4,879.5,537.1,474.8,769.3,1207.9,529.6,828.3,657.5,1065.1,123.5,217.6,9.2,1147.3,800.9,635.5,203.0,551.3,972.3,878.1,761.8,0.0,953.0,936.1,1308.6,586.8,565.4,951.3,36.2,268.2,914.6,981.0,1222.1,913.9,555.0,723.0,924.9,215.1,568.0,1087.8,474.5,878.2,302.4,931.8,734.4,1210.2,902.8,763.5,218.8,998.1,224.3,826.1,318.7,748.5,1251.5,915.4,578.7,143.4,726.7,514.5,194.0,757.0,556.8,674.5,594.5,224.3,1034.3,853.7,226.3,1123.8,237.3,572.3,260.1,680.9,170.4,989.2,739.8,270.1,670.4,780.8,426.3,188.1,1078.2,758.0,917.8,144.1,576.4,280.9,721.8,874.1,963.3,97.2,707.8,403.7,253.7,574.9,1055.5,166.5,802.1,1243.4,589.7,756.8,770.2,251.9,189.0,690.7,700.3,135.5,1006.7
JG,200.0,504.6,740.0,950.4,872.8,641.3,513.8,443.8,311.3,92.9,313.2,605.3,1003.0,392.5,989.0,641.9,361.6,298.9,338.7,155.0,1057.9,406.3,558.9,2618.9,513.4,652.1,350.0,520.3,456.4,1025.5,678.9,484.6,152.6,467.3,564.1,550.7,481.0,652.4,738.5,434.2,305.6,839.4,949.6,917.4,387.8,582.3,564.1,744.8,674.1,212.8,78.3,385.3,924.4,0.0,290.6,581.7,515.4,495.6,190.2,935.7,651.3,32.8,221.5,495.2,824.1,363.7,499.7,24.0,832.2,496.6,442.3,598.2,788.4,1034.4,181.2,227.8,483.3,175.9,209.5,955.0,247.5,841.4,158.6,681.1,658.7,523.0,188.5,589.4,857.7,308.8,525.2,908.3,687.2,565.9,246.0,402.6,940.2,273.2,100.4,958.3,396.9,969.3,502.5,972.5,304.4,886.3,228.1,233.2,1000.5,600.6,691.0,549.1,972.1,317.1,164.5,272.3,1001.2,652.1,697.3,498.5,147.2,203.8,955.9,636.4,615.7,870.8,505.1,296.0,1025.2,292.9,516.5,519.9,380.3,680.4,965.9,904.9,445.8,610.5,992.6,278.2
JS,284.2,532.0,769.0,977.8,900.2,668.7,642.0,471.2,439.5,229.6,342.7,632.7,1030.4,421.5,1016.4,669.3,445.8,384.7,366.1,239.2,1085.3,433.7,586.3,2646.3,540.8,681.1,382.1,547.7,483.8,1052.9,706.3,512.0,280.8,494.7,591.5,578.1,609.2,679.8,765.9,463.2,389.8,866.8,977.0,946.4,472.0,609.7,593.1,772.2,701.5,297.0,247.3,412.7,953.4,277.7,0.0,709.9,544.4,523.0,276.0,963.1,680.3,239.3,305.7,623.4,851.5,391.1,528.7,249.6,859.6,525.6,372.4,624.7,815.8,1061.8,333.1,255.2,611.5,304.1,238.5,982.4,399.4,871.2,227.4,708.5,686.1,652.8,316.7,616.8,888.7,336.2,552.6,935.7,714.6,594.9,275.0,430.0,967.6,359.0,178.4,985.7,525.1,996.7,529.9,1001.5,331.8,913.7,308.4,260.6,1029.5,628.0,718.4,576.5,1001.1,402.9,191.9,202.4,1030.2,681.1,724.7,513.0,275.4,288.0,983.3,665.4,643.1,898.2,532.5,380.2,1052.6,320.3,644.7,547.3,407.7,707.8,993.3,932.3,473.2,637.9,1021.6,408.0
JW,694.5,893.0,1130.0,1338.8,1261.2,1029.7,161.3,832.2,428.0,509.8,703.7,993.7,1391.4,782.5,1377.4,1030.3,856.1,795.0,727.1,649.5,1446.3,794.7,947.3,3007.3,901.8,1042.1,743.1,908.7,844.8,1413.9,1067.3,873.0,429.8,855.7,952.5,939.1,207.9,1040.8,1126.9,824.2,800.1,1227.8,1338.0,1307.4,882.3,970.7,954.1,1133.2,1062.5,707.3,559.6,773.7,1314.4,623.2,718.4,0.0,905.4,884.0,686.3,1324.1,1041.3,584.8,716.0,142.7,1212.5,752.1,889.7,595.1,1220.6,886.6,870.1,985.7,1176.8,1422.8,613.3,616.2,130.8,406.4,599.5,1343.4,679.6,1232.2,547.0,1069.5,1047.1,112.8,393.8,977.8,1249.7,697.2,913.6,1296.7,1075.6,955.9,636.0,791.0,1328.6,769.3,596.5,1346.7,173.6,1357.7,890.9,1362.5,692.8,1274.7,718.7,621.6,1390.5,989.0,1079.4,937.5,1362.1,813.2,552.9,700.1,1391.2,1042.1,1085.7,874.0,435.2,698.3,1344.3,1026.4,1004.1,1259.2,893.5,790.5,1413.6,681.3,104.7,908.3,768.7,1068.8,1354.3,1293.3,834.2,998.9,1382.6,424.6
JX,554.4,258.8,426.3,635.1,557.5,326.0,835.6,260.4,633.1,423.2,309.4,290.0,687.7,365.5,673.7,326.6,716.0,654.9,388.0,509.4,742.6,293.7,225.6,2303.6,117.7,338.4,321.4,242.5,273.0,710.2,161.8,151.3,474.4,71.6,248.8,346.2,802.8,337.1,405.2,252.4,660.0,524.1,634.3,603.7,742.2,377.8,48.6,429.5,358.8,567.2,473.0,356.7,610.7,546.0,531.0,903.5,0.0,20.8,546.2,620.4,337.6,509.5,575.9,817.0,490.8,149.9,317.9,519.8,516.9,102.5,682.7,282.0,455.1,719.1,526.7,329.3,805.1,497.7,358.4,639.7,593.0,528.5,421.0,365.8,325.4,846.4,510.3,274.1,544.0,321.6,209.9,594.6,170.1,252.2,269.4,189.4,624.9,629.2,448.6,643.0,718.7,654.0,14.0,658.8,275.8,571.0,584.1,334.7,686.8,83.5,357.7,233.8,658.4,673.1,352.9,512.7,687.5,338.4,382.0,316.7,469.0,558.2,640.6,120.9,300.4,555.5,109.4,650.4,709.9,397.0,838.3,124.2,351.7,347.1,650.6,589.6,285.6,277.2,678.9,601.6
JY,533.5,237.9,405.4,614.2,536.6,305.1,814.7,239.5,612.2,402.3,290.6,269.1,666.8,344.6,652.8,305.7,695.1,634.0,367.1,488.5,721.7,272.8,204.7,2282.7,96.8,317.5,305.2,221.6,252.1,689.3,183.2,130.4,453.5,50.7,227.9,325.3,781.9,316.2,384.3,231.5,639.1,503.2,613.4,582.8,721.3,356.9,70.0,408.6,337.9,546.3,452.1,335.8,589.8,527.0,510.1,882.6,21.3,0.0,525.3,599.5,316.7,488.6,555.0,796.1,469.9,129.0,297.0,498.9,496.0,81.6,661.8,261.1,434.2,698.2,505.8,308.4,784.2,476.8,337.5,618.8,572.1,507.6,400.1,344.9,304.5,825.5,489.4,253.2,525.1,300.7,189.0,572.1,191.5,231.3,248.5,168.5,604.0,608.3,427.7,622.1,697.8,633.1,6.8,637.9,254.9,550.1,557.7,313.8,665.9,104.9,336.8,212.9,637.5,652.2,332.0,491.8,666.6,317.5,361.1,281.3,448.1,537.3,619.7,142.3,279.5,534.6,88.5,629.5,689.0,376.1,817.4,103.3,330.8,326.2,629.7,568.7,264.7,256.3,658.0,580.7
KE,153.3,566.0,803.0,1011.8,934.2,702.7,575.2,505.2,372.7,155.9,374.6,666.7,1064.4,455.5,1050.4,703.3,198.5,108.6,400.1,36.4,1119.3,467.7,620.3,2680.3,574.8,715.1,416.1,581.7,517.8,1086.9,740.3,546.0,214.0,528.7,625.5,612.1,542.4,713.8,799.9,497.2,113.7,900.8,1011.0,980.4,224.7,643.7,627.1,806.2,735.5,166.1,139.7,446.7,987.4,168.2,287.2,643.1,578.4,557.0,0.0,997.1,714.3,131.7,174.8,556.6,885.5,425.1,562.7,142.0,893.6,559.6,438.9,658.7,849.8,1095.8,242.6,289.2,544.7,237.3,272.5,1016.4,308.9,905.2,220.0,742.5,720.1,586.0,249.9,650.8,920.7,370.2,586.6,971.3,748.6,628.9,309.0,464.0,1001.6,228.1,98.6,1019.7,458.3,1030.7,563.9,1035.5,365.8,947.7,183.0,294.6,1063.5,662.0,752.4,610.5,1035.1,126.8,225.9,268.9,1064.2,715.1,758.7,561.5,208.6,157.1,1017.3,699.4,677.1,932.2,566.5,104.1,1086.6,354.3,577.9,581.3,441.7,741.8,1027.3,966.3,507.2,671.9,1055.6,341.2
KG,949.6,672.0,169.0,226.5,147.0,508.6,1230.8,655.6,1028.3,818.4,706.7,472.6,261.1,760.7,53.2,268.6,1111.2,1050.1,783.2,904.6,316.0,688.9,638.8,2391.4,573.3,521.0,721.3,655.7,668.2,283.6,738.8,564.5,869.6,527.2,464.9,759.4,1198.0,519.7,818.4,647.6,1055.2,113.6,207.7,29.6,1137.4,791.0,625.6,193.1,541.4,962.4,868.2,751.9,36.6,943.1,926.2,1298.7,576.9,555.5,941.4,0.0,258.3,904.7,971.1,1212.2,904.0,545.1,713.1,915.0,205.2,558.1,1077.9,464.6,868.3,292.5,921.9,724.5,1200.3,892.9,753.6,208.9,988.2,216.8,816.2,308.8,738.6,1241.6,905.5,568.8,135.5,716.8,504.6,182.5,747.1,546.9,664.6,584.6,214.4,1024.4,843.8,216.4,1113.9,227.4,562.4,250.2,671.0,160.5,973.8,729.9,260.2,660.5,770.9,416.4,178.2,1068.3,748.1,907.9,134.2,566.5,271.0,697.4,864.2,953.4,87.3,697.9,393.8,243.8,565.0,1045.6,156.6,792.2,1233.5,579.8,746.9,760.3,242.0,179.1,680.8,690.4,125.6,996.8
KH,691.2,413.6,88.6,335.3,219.8,250.2,972.4,397.2,769.9,560.0,446.2,214.2,425.2,502.3,336.0,10.2,852.8,791.7,524.8,646.2,480.1,430.5,380.4,2257.8,314.9,262.6,458.2,397.3,409.8,447.7,480.4,306.1,611.2,268.8,206.5,501.0,939.6,261.3,560.0,389.2,796.8,186.4,371.8,266.0,879.0,532.6,367.2,91.8,283.0,704.0,609.8,493.5,273.0,682.8,667.8,1040.3,318.5,297.1,683.0,282.7,0.0,646.3,712.7,953.8,645.6,286.7,454.7,656.6,179.2,299.7,819.5,206.2,609.9,456.6,663.5,466.1,941.9,634.5,495.2,330.6,729.8,188.4,557.8,50.4,480.2,983.2,647.1,310.4,206.3,458.4,246.2,256.9,488.7,288.5,406.2,326.2,287.2,766.0,585.4,380.5,855.5,391.5,304.0,412.6,412.6,233.3,720.9,471.5,424.3,402.1,512.5,158.0,344.3,809.9,489.7,649.5,349.8,308.1,44.3,453.5,605.8,695.0,302.9,439.5,135.4,217.8,306.6,787.2,372.2,533.8,975.1,321.4,488.5,501.9,355.9,251.9,422.4,432.0,341.2,738.4
KL,167.1,471.7,708.7,917.5,839.9,608.4,480.9,410.9,278.4,61.6,282.4,572.4,970.1,361.2,956.1,609.0,328.7,267.6,305.8,122.1,1025.0,373.4,526.0,2586.0,480.5,620.8,321.8,487.4,423.5,992.6,646.0,451.7,119.7,434.4,531.2,517.8,448.1,619.5,705.6,402.9,272.7,806.5,916.7,886.1,354.9,549.4,532.8,711.9,641.2,179.9,45.4,352.4,893.1,38.3,257.7,548.8,484.1,462.7,158.9,902.8,620.0,0.0,188.6,462.3,791.2,330.8,468.4,10.2,799.3,465.3,409.4,564.4,755.5,1001.5,148.3,194.9,450.4,143.0,178.2,922.1,214.6,810.9,125.7,648.2,625.8,491.7,155.6,556.5,828.4,275.9,492.3,875.4,654.3,534.6,214.7,369.7,907.3,241.9,69.1,925.4,364.0,936.4,469.6,941.2,271.5,853.4,191.3,200.3,969.2,567.7,658.1,516.2,940.8,285.8,131.6,239.4,969.9,620.8,664.4,452.7,114.3,170.9,923.0,605.1,582.8,837.9,472.2,263.1,992.3,260.0,483.6,487.0,347.4,647.5,933.0,872.0,412.9,577.6,961.3,246.9
KU,106.9,615.8,852.8,1061.6,984.0,752.5,625.0,555.0,422.5,205.7,426.5,716.5,1114.2,505.3,1100.2,753.1,189.1,232.4,449.9,138.1,1169.1,517.5,670.1,2730.1,624.6,764.9,465.9,631.5,567.6,1136.7,790.1,595.8,263.8,578.5,675.3,661.9,592.2,763.6,849.7,547.0,227.3,950.6,1060.8,1030.2,215.3,693.5,676.9,856.0,785.3,40.3,189.5,496.5,1037.2,219.9,337.0,692.9,628.2,606.8,174.9,1046.9,764.1,181.5,0.0,606.4,935.3,474.9,612.5,191.8,943.4,609.4,488.7,708.5,899.6,1145.6,292.4,339.0,594.5,287.1,322.3,1066.2,358.7,955.0,269.8,792.3,769.9,635.8,299.7,700.6,972.5,420.0,636.4,1019.5,798.4,678.7,358.8,513.8,1051.4,102.3,148.4,1069.5,508.1,1080.5,613.7,1085.3,415.6,997.5,95.7,344.4,1113.3,711.8,802.2,660.3,1084.9,213.2,275.7,318.7,1114.0,764.9,808.5,596.8,258.4,116.9,1067.1,749.2,726.9,982.0,616.3,236.9,1136.4,404.1,627.7,631.1,491.5,791.6,1077.1,1016.1,557.0,721.7,1105.4,391.0
LC,628.9,827.4,1064.4,1273.2,1195.6,964.1,18.5,766.6,362.4,444.2,638.1,928.1,1325.8,716.9,1311.8,964.7,790.5,729.4,661.5,583.9,1380.7,729.1,881.7,2941.7,836.2,976.5,677.5,843.1,779.2,1348.3,1001.7,807.4,364.2,790.1,886.9,873.5,142.3,975.2,1061.3,758.6,734.5,1162.2,1272.4,1241.8,816.7,905.1,888.5,1067.6,996.9,641.7,494.0,708.1,1248.8,557.6,652.8,143.6,839.8,818.4,620.7,1258.5,975.7,519.2,650.4,0.0,1146.9,686.5,824.1,529.5,1155.0,821.0,804.5,920.1,1111.2,1357.2,547.7,550.6,12.4,340.8,533.9,1277.8,614.0,1166.6,481.4,1003.9,981.5,86.5,328.2,912.2,1184.1,631.6,848.0,1231.1,1010.0,890.3,570.4,725.4,1263.0,703.7,530.9,1281.1,108.0,1292.1,825.3,1296.9,627.2,1209.1,653.1,556.0,1324.9,923.4,1013.8,871.9,1296.5,747.6,487.3,634.5,1325.6,976.5,1020.1,808.4,369.6,632.7,1278.7,960.8,938.5,1193.6,827.9,724.9,1348.0,615.7,78.4,842.7,703.1,1003.2,1288.7,1227.7,768.6,933.3,1317.0,359.0
LE,856.0,389.0,707.9,916.7,839.1,607.6,1137.2,446.9,934.7,724.8,611.0,571.6,969.3,667.1,955.3,608.2,1017.6,956.5,689.6,811.0,1024.2,595.3,245.9,2585.2,461.7,620.0,627.7,372.7,478.8,991.8,627.2,432.8,776.0,415.6,530.4,476.4,1104.4,618.7,70.7,455.1,961.6,805.7,915.9,885.3,1043.8,508.0,514.0,711.1,640.4,868.8,774.6,658.3,892.3,849.5,832.6,1205.1,465.3,443.9,847.8,902.0,619.2,811.1,877.5,1118.6,0.0,451.5,599.1,821.4,798.5,446.5,984.3,563.6,208.7,1000.7,828.3,630.9,1106.7,799.3,660.0,921.3,894.6,810.1,722.6,647.4,200.6,1148.0,811.9,555.7,825.6,623.2,491.5,876.2,635.5,533.8,571.0,491.0,906.5,930.8,750.2,924.6,1020.3,935.6,450.8,940.4,577.4,852.6,885.7,636.3,968.4,548.9,232.9,515.4,940.0,974.7,654.5,814.3,969.1,620.0,663.6,597.9,770.6,859.8,922.2,586.3,582.0,837.1,453.4,952.0,991.5,698.6,1139.9,468.2,653.3,134.9,932.2,871.2,587.2,381.0,960.5,903.2
LP,404.4,171.2,377.8,586.6,509.0,277.5,685.6,110.4,483.1,273.2,161.5,241.5,639.2,215.5,625.2,278.1,566.0,504.9,238.0,359.4,694.1,143.7,195.1,2255.1,149.6,289.9,176.1,186.9,123.0,661.7,315.1,120.8,324.4,103.5,200.3,217.3,652.8,288.6,374.7,102.4,510.0,475.6,585.8,555.2,592.2,248.9,201.9,381.0,310.3,417.2,323.0,206.7,562.2,397.9,381.0,753.5,153.2,131.8,396.2,571.9,289.1,359.5,425.9,667.0,460.3,0.0,167.9,369.8,468.4,134.4,532.7,233.5,424.6,670.6,376.7,179.3,655.1,347.7,208.4,591.2,443.0,480.0,271.0,317.3,294.9,696.4,360.3,225.6,497.5,171.6,161.4,544.5,323.4,203.7,119.4,39.4,576.4,479.2,298.6,594.5,568.7,605.5,138.7,610.3,125.8,522.5,428.6,184.7,638.3,236.8,327.2,185.3,609.9,523.1,202.9,362.7,639.0,289.9,333.5,152.2,319.0,408.2,592.1,274.2,251.9,507.0,141.3,500.4,661.4,247.0,688.3,156.1,201.7,316.6,602.1,541.1,135.6,246.7,630.4,451.6
LV,549.5,189.5,533.3,742.1,664.5,433.0,830.7,128.7,628.2,418.3,304.5,397.0,794.7,360.6,780.7,433.6,711.1,650.0,383.1,504.5,849.6,288.8,326.8,2410.6,305.1,445.4,321.2,205.2,141.3,817.2,470.6,276.3,469.5,259.0,355.8,235.6,797.9,444.1,506.4,120.7,655.1,631.1,741.3,710.7,737.3,267.2,357.4,536.5,465.8,562.3,468.1,351.8,717.7,541.1,526.1,898.6,308.7,287.3,541.3,727.4,444.6,504.6,571.0,812.1,592.0,155.4,0.0,514.9,623.9,289.9,677.8,389.0,556.3,826.1,521.8,324.4,800.2,492.8,353.5,746.7,588.1,633.1,416.1,472.8,426.6,841.5,505.4,381.1,651.0,316.7,316.9,701.6,478.9,359.2,264.5,194.3,731.9,624.3,443.7,750.0,713.8,761.0,294.2,765.8,270.9,678.0,579.2,329.8,793.8,392.3,458.9,340.8,765.4,668.2,348.0,507.8,794.5,445.4,489.0,19.9,464.1,553.3,747.6,429.7,407.4,662.5,296.8,645.5,816.9,392.1,833.4,311.6,346.8,448.3,757.6,696.6,280.7,378.4,785.9,596.7
MB,175.9,480.5,717.5,926.3,848.7,617.2,489.7,419.7,287.2,70.4,291.2,581.2,978.9,370.0,964.9,617.8,337.5,276.4,314.6,130.9,1033.8,382.2,534.8,2594.8,489.3,629.6,330.6,496.2,432.3,1001.4,654.8,460.5,128.5,443.2,540.0,526.6,456.9,628.3,714.4,411.7,281.5,815.3,925.5,894.9,363.7,558.2,541.6,720.7,650.0,188.7,54.2,361.2,901.9,28.0,266.5,557.6,492.9,471.5,167.7,911.6,628.8,8.7,197.4,471.1,800.0,339.6,477.2,0.0,808.1,474.1,418.2,573.2,764.3,1010.3,157.1,203.7,459.2,151.8,187.0,930.9,223.4,819.7,134.5,657.0,634.6,500.5,164.4,565.3,837.2,284.7,501.1,884.2,663.1,543.4,223.5,378.5,916.1,250.7,77.9,934.2,372.8,945.2,478.4,950.0,280.3,862.2,200.1,209.1,978.0,576.5,666.9,525.0,949.6,294.6,140.4,248.2,978.7,629.6,673.2,461.5,123.1,179.7,931.8,613.9,591.6,846.7,481.0,271.9,1001.1,268.8,492.4,495.8,356.2,656.3,941.8,880.8,421.7,586.4,970.1,255.7
