from_stop,AA,AG,AO,AP,AS,AV,AY,BH,BL,BS,CZ,DA,DB,DI,DJ,DM,DP,DX,EG,EK,EP,EU,EW,EY,FA,FF,FP,FS,GD,GG,GJ,GK,GO,GV,GY,HO,IG,IK,IO,IQ,JD,JH,JO,JQ,JU,KC,KD,KI,KZ,LK,ML,MN,MX,MY,MZ,ND,NG,NK,NS,NY,OE,OG,OL,OT,PN,PV,QK,QQ,RC,RD,RF,RG,RH,RJ,RW,RY,RZ,SN,SP,SS,ST,SU,TG,TM,TN,TX,UB,UF,UN,UW,UX,VQ,VR,WB,WC,WD,WF,WI,WK,WT,XG,XJ,XN,XR,XY,YI,YM,YP,YT,YZ,ZA,ZD,ZG,ZN,ZO,ZQ,ZS,ZW
ND,113.1,458.0,426.8,216.2,335.7,268.4,138.9,217.6,362.4,249.1,237.1,466.0,223.7,122.0,359.9,416.2,379.3,315.0,236.6,133.6,250.1,414.4,164.8,178.9,249.5,382.3,206.3,358.2,353.6,210.9,387.3,1457.1,190.1,135.0,339.8,326.3,367.7,244.1,153.2,354.6,268.7,288.3,128.0,454.9,365.7,124.6,211.3,197.6,235.8,241.2,46.2,206.2,193.8,270.2,351.9,0.0,175.8,219.1,248.4,375.5,361.6,276.2,367.7,253.8,206.6,425.3,311.0,275.2,363.6,131.8,309.0,334.1,421.5,276.5,445.9,207.0,324.0,192.1,358.5,174.1,89.8,211.5,226.4,189.9,126.2,208.0,239.8,227.7,402.8,264.5,248.7,444.7,179.8,383.8,298.5,270.8,206.2,164.0,178.4,300.0,194.6,374.9,251.2,179.1,339.4,159.4,466.7,427.6,346.2,103.8,255.7,154.7,221.6,314.2,55.7,421.3,57.5,383.5
NG,193.6,322.9,291.7,174.5,200.6,176.2,61.1,132.3,227.3,153.9,177.1,330.9,113.0,200.6,224.8,281.1,244.2,193.8,267.5,195.6,115.0,279.3,51.6,210.8,280.4,247.2,268.3,276.9,218.5,167.5,252.2,1364.9,252.1,52.2,204.7,191.2,286.4,246.5,215.2,243.7,133.6,153.2,190.0,319.8,230.6,186.6,78.0,44.5,177.7,205.2,158.6,239.6,161.0,153.8,216.8,160.6,0.0,214.3,149.8,240.4,269.4,141.1,255.3,184.9,173.8,290.2,175.9,141.9,228.5,212.3,173.9,217.7,286.4,215.6,310.8,209.4,231.6,197.0,223.4,99.0,168.4,58.4,142.5,251.9,204.8,270.0,126.6,194.9,267.7,131.2,115.4,309.6,21.0,248.7,182.1,135.7,201.4,175.5,240.4,207.8,203.8,239.8,216.9,146.3,296.8,17.4,331.6,292.5,238.3,182.4,102.6,216.7,252.5,197.8,172.3,286.2,136.1,275.1
NK,290.1,294.3,294.3,68.1,284.1,94.2,185.8,88.4,301.9,120.5,89.0,414.4,102.3,261.0,308.3,358.0,215.5,277.3,82.6,205.0,198.5,246.9,161.0,39.8,96.8,330.7,187.1,198.1,198.5,35.1,279.6,1282.9,149.4,264.7,265.2,274.7,207.6,75.5,86.1,188.5,217.1,236.7,141.4,396.7,314.1,158.4,153.4,168.8,87.7,93.1,223.2,54.7,65.4,104.1,300.3,221.0,212.4,0.0,87.8,323.9,187.4,224.6,201.6,62.5,58.5,373.7,259.4,110.2,253.7,308.8,257.4,168.0,369.9,53.9,373.9,38.4,149.8,26.0,246.5,123.6,204.3,154.9,60.3,139.8,238.2,109.5,86.7,79.6,318.3,99.5,116.0,277.2,192.3,234.3,132.4,219.2,12.2,70.7,79.9,125.8,50.8,292.0,32.0,85.8,165.2,229.9,394.7,382.6,180.1,228.5,110.7,196.5,67.6,148.1,232.7,271.8,196.5,209.3
NS,300.4,245.9,245.9,24.6,235.7,75.5,168.8,52.5,253.5,54.1,27.2,366.0,85.3,271.3,259.9,309.6,167.1,228.9,126.5,210.5,150.1,198.5,143.6,102.4,139.4,282.3,209.4,149.7,150.1,59.1,231.2,1258.2,193.3,198.3,216.8,226.3,159.2,138.1,130.7,140.1,168.7,188.3,151.7,348.3,265.7,168.7,105.0,102.4,43.9,64.2,233.5,98.6,48.4,55.7,251.9,231.3,146.0,99.7,0.0,275.5,168.7,176.2,153.2,43.9,34.2,325.3,211.0,61.8,205.3,319.1,209.0,119.6,321.5,74.6,325.5,101.0,133.5,88.6,198.1,106.6,214.6,88.5,34.1,202.4,248.5,172.1,20.3,77.7,269.9,51.1,67.6,228.8,125.9,185.9,84.0,170.8,93.0,77.9,142.5,107.1,95.4,243.6,75.9,62.6,169.6,163.5,346.3,334.2,131.7,238.8,44.3,178.4,111.5,99.7,243.0,223.4,206.8,177.0
NY,392.4,144.4,51.2,292.1,37.6,251.1,266.8,289.5,72.3,291.1,287.6,104.9,315.6,406.3,58.0,68.4,121.0,146.1,363.6,401.3,134.2,112.4,223.9,321.4,376.5,39.2,439.7,171.7,156.3,278.1,73.7,1162.5,430.4,266.2,120.0,62.9,181.2,357.1,349.7,163.5,114.9,95.2,382.0,107.1,33.5,392.3,211.6,234.8,273.8,301.3,368.5,335.7,278.7,226.4,22.5,366.3,244.3,336.8,278.4,0.0,199.0,178.3,175.1,281.0,301.7,64.2,90.4,237.0,167.0,376.8,171.0,190.4,60.4,311.7,84.3,320.0,204.3,307.6,135.7,271.3,374.1,248.7,253.1,421.4,410.5,391.1,257.3,314.8,27.2,226.3,210.5,140.6,224.2,143.5,213.7,205.9,312.0,308.2,361.5,242.1,314.4,61.3,313.0,292.9,191.6,261.8,105.1,66.5,176.1,388.1,281.3,408.7,348.6,193.4,378.0,169.5,341.8,187.8
OE,397.1,76.3,152.4,121.3,203.6,80.3,265.5,168.1,182.0,187.4,116.8,265.4,186.2,368.0,229.2,198.1,120.8,280.0,192.8,307.2,211.0,135.9,240.7,205.9,205.7,207.9,297.3,64.0,156.1,162.5,119.7,1095.4,259.6,249.2,128.2,180.7,54.5,241.6,220.6,163.3,227.4,240.0,248.4,194.2,172.8,265.4,165.9,212.7,103.0,128.6,330.2,164.9,145.1,119.9,212.5,328.0,240.7,166.0,133.2,193.5,0.0,249.1,174.9,110.2,130.9,236.2,212.8,105.9,156.8,374.6,269.9,84.3,232.4,122.5,214.0,203.2,70.4,192.1,117.5,203.3,313.5,219.1,156.2,277.3,345.2,256.2,153.6,144.0,174.9,113.8,128.5,156.2,228.3,92.2,120.6,224.8,178.2,174.6,222.8,96.4,198.4,132.0,162.2,159.3,44.1,258.2,234.8,218.7,175.9,322.5,177.6,275.1,179.6,127.4,339.7,91.6,303.5,21.8
OG,237.2,294.1,244.7,236.1,138.8,216.3,167.0,248.5,180.3,236.1,231.6,283.9,218.2,285.5,165.8,234.1,197.2,79.1,321.6,304.3,114.9,232.6,141.5,266.4,320.5,200.2,377.0,229.9,184.3,223.1,217.1,1313.6,360.8,111.0,145.7,156.1,239.4,302.1,294.7,209.5,71.3,103.7,301.4,299.5,175.5,295.3,118.1,159.2,217.8,243.4,240.8,293.7,223.7,231.6,169.8,269.3,140.7,269.9,223.4,193.4,322.4,0.0,221.1,242.1,245.7,238.4,133.9,184.5,178.3,221.6,32.7,259.6,239.4,237.3,275.7,263.7,261.5,252.6,176.4,208.4,254.8,193.9,199.8,360.6,327.5,336.1,202.3,265.3,220.7,171.3,150.9,232.6,161.7,208.7,209.5,167.7,257.0,253.2,320.5,247.9,259.4,204.8,263.8,237.9,249.8,144.1,296.5,259.4,184.1,263.8,212.0,329.0,294.4,239.4,268.0,239.2,244.8,331.2
OL,261.1,289.4,258.2,115.9,152.3,96.1,137.5,114.3,193.8,115.9,111.4,297.4,140.4,274.5,191.3,247.6,210.7,160.3,187.4,265.6,81.5,245.8,89.3,146.2,200.3,213.7,264.5,167.7,185.0,102.9,218.7,1284.8,254.2,119.7,179.2,157.7,177.2,181.9,174.5,158.1,104.3,116.9,209.5,313.0,197.1,223.8,36.4,83.2,97.6,123.2,226.1,159.5,103.5,88.0,183.3,239.8,111.2,149.7,103.2,206.9,189.3,107.6,0.0,104.8,125.5,256.7,147.1,64.3,195.0,245.1,140.4,137.6,252.9,117.1,277.3,144.8,151.5,132.4,189.9,118.4,225.3,94.5,77.9,246.2,284.0,215.9,82.1,145.1,234.2,51.1,35.3,266.1,98.8,222.2,89.3,95.3,136.8,133.0,186.3,127.7,139.2,206.4,136.8,117.7,187.6,128.7,298.1,259.0,149.7,237.0,106.1,233.5,174.2,117.7,251.5,252.7,215.3,195.0
OT,331.0,120.5,253.9,72.5,240.1,31.6,196.6,102.0,241.1,105.6,26.6,366.9,120.1,296.6,270.9,299.6,181.6,236.5,82.5,204.9,161.1,199.4,168.9,95.6,95.4,293.3,187.0,121.4,169.8,90.9,221.2,1220.3,149.3,199.3,187.3,237.3,130.9,131.3,126.0,172.8,192.1,196.5,185.0,319.1,274.3,199.3,116.0,153.9,42.7,18.3,264.1,70.3,88.0,99.3,262.9,261.9,197.5,55.7,51.4,286.5,124.8,207.2,175.9,0.0,62.9,336.3,226.7,51.0,202.4,349.7,220.0,109.3,335.4,12.2,315.5,92.9,95.4,81.8,176.6,137.2,247.4,137.3,87.3,167.0,288.1,145.9,71.8,40.2,276.4,63.9,83.2,223.5,177.4,144.3,100.3,174.9,67.9,108.5,112.5,63.2,88.1,233.5,38.7,93.2,102.6,223.2,336.3,320.2,160.7,256.4,95.8,193.3,85.0,114.2,273.6,150.1,237.4,146.7
PN,266.1,261.0,261.0,9.5,250.8,61.7,134.5,37.1,268.6,68.6,30.4,381.1,51.0,237.0,275.0,324.7,182.2,244.0,129.7,176.2,165.2,213.6,109.7,74.8,142.6,297.4,175.1,164.8,165.2,31.5,246.3,1250.4,196.5,199.3,231.9,241.4,174.3,110.5,81.5,155.2,183.8,203.4,117.4,363.4,280.8,134.4,120.1,129.5,29.1,67.4,199.2,101.8,14.1,70.8,267.0,197.0,172.0,78.3,54.5,290.6,154.9,191.3,168.3,47.1,0.0,340.4,226.1,76.9,220.4,284.8,224.1,134.7,336.6,77.8,340.6,73.4,117.3,61.0,213.2,72.3,180.3,115.6,27.0,158.7,214.2,136.3,53.4,39.1,285.0,66.2,82.7,243.9,151.9,201.0,99.1,185.9,65.4,43.6,106.7,93.3,67.8,258.7,79.1,28.3,132.7,189.5,361.4,349.3,146.8,204.5,76.8,144.1,114.7,114.8,208.7,238.5,172.5,176.8
PV,349.9,187.3,115.7,336.0,75.6,295.0,286.0,340.2,119.0,341.8,331.5,73.7,322.5,393.5,44.4,79.5,171.7,165.3,407.5,420.5,153.4,163.1,243.1,372.1,420.4,45.6,490.4,222.4,207.0,328.8,116.6,1127.6,474.3,285.4,152.0,82.9,231.9,407.8,400.4,214.2,134.1,114.4,414.9,118.2,53.5,411.5,262.3,254.0,317.7,345.2,387.7,379.6,329.4,277.1,60.5,385.5,263.5,380.7,329.1,64.4,241.9,197.5,225.8,324.9,345.6,0.0,110.4,287.7,199.0,334.3,204.3,233.3,29.2,355.6,49.4,370.7,247.2,358.3,170.7,290.5,393.3,267.9,303.8,472.1,429.7,441.8,308.0,358.7,91.7,277.0,261.2,189.6,243.4,194.2,264.4,225.1,362.7,358.9,412.2,285.0,365.1,104.2,356.9,343.6,242.3,281.0,70.2,17.3,226.8,407.3,312.1,441.6,392.5,244.1,397.2,212.4,361.0,230.7
QK,336.0,169.8,125.4,268.9,36.5,227.9,210.4,266.2,46.6,282.9,264.4,163.6,242.7,344.6,75.5,124.6,115.8,89.7,340.4,344.9,77.8,150.9,166.0,313.2,353.3,97.9,417.6,148.5,130.1,269.9,99.1,1195.6,407.2,209.8,84.3,41.9,158.0,348.9,341.5,155.3,54.2,41.6,339.3,162.2,59.5,335.9,148.9,178.4,250.6,276.2,312.1,312.5,270.5,226.4,67.5,309.9,187.9,313.6,280.8,83.1,224.4,121.9,166.9,257.8,278.5,122.9,0.0,226.3,114.8,320.4,114.6,178.7,118.8,288.5,140.5,310.5,192.6,299.4,95.0,214.9,317.7,195.0,244.9,424.9,354.1,382.9,249.1,298.1,101.4,218.1,202.3,163.8,167.8,120.3,205.5,142.6,303.8,300.0,353.3,230.4,306.2,86.8,289.8,262.2,168.4,205.4,161.3,128.8,149.9,331.7,236.5,369.6,327.2,185.2,321.6,157.8,285.4,213.2
QQ,287.0,126.5,221.2,54.0,175.8,34.2,163.8,98.3,219.7,93.2,49.5,320.9,117.2,303.2,214.8,273.5,142.4,183.8,128.0,239.9,107.4,176.4,122.0,123.5,138.4,239.6,230.0,125.0,125.4,80.2,206.5,1222.9,192.3,145.6,181.7,183.6,134.5,159.2,153.3,115.4,130.2,140.4,183.6,313.7,225.6,198.1,62.3,109.1,35.7,65.7,249.6,97.6,80.3,42.9,209.2,260.7,137.1,98.7,65.9,232.8,129.9,131.1,128.5,45.4,63.6,282.6,170.6,0.0,178.2,271.0,168.9,97.5,279.3,76.1,300.8,119.7,106.4,109.7,173.4,136.0,246.5,118.0,52.8,210.0,275.4,186.4,59.4,79.2,245.2,10.3,22.5,194.1,122.3,158.8,56.9,118.8,110.9,107.3,158.0,65.8,128.6,216.5,81.7,92.0,144.9,152.2,321.6,282.5,104.6,257.9,83.4,210.3,109.8,72.6,272.4,198.7,236.2,149.3
RC,347.4,125.6,130.7,201.3,146.4,160.3,223.8,200.6,87.9,202.2,196.8,234.7,228.5,360.8,185.4,165.9,48.2,151.0,272.8,351.9,129.7,68.1,175.6,232.5,285.7,169.0,350.8,80.9,65.7,189.2,116.0,1191.2,339.6,206.0,38.6,151.8,90.4,268.2,251.0,74.6,72.3,111.0,295.8,231.3,130.6,310.1,122.7,169.5,183.0,208.6,312.4,244.9,180.0,135.9,170.3,326.1,197.5,246.0,189.5,154.2,148.1,193.8,76.4,207.3,210.9,194.0,123.2,150.6,0.0,331.4,153.2,112.5,193.1,202.5,181.8,229.8,125.0,218.7,27.4,194.9,311.6,171.0,165.9,332.5,360.5,292.4,168.4,230.5,142.7,137.4,117.0,92.5,185.1,59.7,143.0,171.8,223.1,219.3,272.6,162.8,225.5,128.3,229.0,204.0,100.8,205.2,202.6,186.5,59.4,320.6,192.4,323.4,259.6,104.5,337.8,90.2,301.6,126.2
RD,15.6,385.4,358.2,271.6,281.1,291.1,139.7,273.0,331.3,310.9,292.5,397.2,253.1,97.7,290.4,357.4,369.8,269.7,292.0,189.0,228.5,361.2,194.2,234.3,304.9,312.8,261.7,362.7,332.0,266.3,314.7,1411.2,245.5,140.9,318.2,253.7,372.2,299.5,208.6,353.1,247.1,271.8,183.4,396.1,293.1,180.0,192.9,226.3,291.2,296.6,64.0,261.6,249.2,268.7,297.3,119.4,181.7,274.5,298.2,316.7,384.3,254.6,366.2,299.8,262.0,354.0,279.6,256.8,342.0,0.0,249.8,332.6,352.7,330.5,373.3,262.4,346.5,247.5,336.9,203.5,145.2,240.2,272.9,245.3,133.3,263.4,277.1,283.1,334.2,246.1,230.3,387.7,202.8,362.2,297.0,249.2,261.6,219.4,233.8,322.7,250.0,302.3,306.6,234.5,382.6,165.3,394.1,358.8,344.7,114.7,284.4,210.1,277.0,312.7,114.6,410.5,112.9,390.0
RF,275.5,261.0,211.9,274.4,106.0,254.6,208.1,270.5,147.5,274.4,269.9,251.1,251.2,323.8,145.0,201.3,164.4,69.7,345.9,342.6,82.1,199.5,170.3,304.7,358.8,167.4,415.3,197.1,151.5,261.4,184.3,1280.8,399.1,149.3,132.9,123.3,206.6,340.4,333.0,176.7,58.5,70.6,337.0,240.0,162.7,333.6,156.4,182.7,256.1,281.7,255.7,318.0,262.0,247.8,137.0,307.6,179.0,308.2,261.7,160.6,309.6,38.3,188.3,280.4,284.0,205.6,100.8,217.8,161.5,259.9,0.0,226.8,209.5,275.6,242.9,302.0,240.7,290.9,143.6,219.2,315.4,199.3,236.4,398.9,351.8,374.4,240.6,297.1,187.9,209.6,193.8,219.8,172.1,168.9,226.9,146.9,295.3,291.5,344.8,285.3,297.7,171.9,315.3,266.5,217.0,168.4,263.7,226.6,171.3,336.1,240.8,363.7,332.7,206.6,306.3,206.4,283.1,298.4
RG,378.4,163.3,174.8,102.6,226.0,61.6,244.0,149.4,162.0,168.7,98.1,287.8,163.3,344.0,251.6,220.5,100.8,267.7,174.1,288.5,192.3,112.1,200.1,187.2,187.0,230.3,278.6,42.3,136.1,143.8,142.1,1150.8,240.9,230.5,108.2,203.1,51.8,222.9,201.9,155.9,215.1,227.7,232.4,249.6,195.2,246.7,147.2,194.0,84.3,109.9,311.5,146.2,126.4,101.2,234.9,309.3,222.0,147.3,114.5,215.9,91.5,218.4,162.2,91.5,112.2,258.6,192.8,82.2,136.8,355.9,251.2,0.0,257.7,122.2,236.4,184.5,13.8,173.4,97.5,184.6,292.6,200.4,137.5,258.6,326.5,237.5,134.9,131.8,197.3,95.1,114.4,136.2,209.6,72.2,105.2,206.1,159.5,155.9,204.1,77.7,179.7,154.5,130.3,140.6,62.2,239.5,257.2,241.1,158.7,306.5,158.9,256.4,160.9,108.7,321.0,188.4,284.8,69.6
RH,369.0,199.3,121.7,341.7,96.3,300.7,302.8,345.9,125.5,347.8,337.2,41.5,339.3,412.3,50.4,85.5,177.7,182.1,412.5,437.6,170.5,168.8,259.9,378.1,426.1,51.6,496.4,228.4,213.0,334.8,122.6,1123.4,480.0,302.5,165.7,88.9,237.9,413.8,409.3,220.2,146.9,134.3,431.7,126.0,59.2,428.6,268.3,271.1,323.4,350.9,404.5,385.6,338.3,291.3,66.5,402.6,280.6,386.4,335.1,70.4,250.8,214.3,234.7,330.6,351.3,19.0,110.7,294.1,204.7,353.4,221.1,239.0,0.0,361.3,73.4,376.4,252.2,364.3,176.7,307.3,410.1,290.6,309.5,478.1,449.7,447.5,314.0,364.4,97.7,283.0,266.9,187.3,260.5,199.9,270.1,235.3,368.7,364.9,417.9,290.7,370.8,109.9,369.4,349.6,248.3,297.8,48.0,41.0,232.8,400.0,338.0,458.4,400.3,249.8,414.3,218.1,378.1,236.7
RJ,334.5,141.0,274.4,81.5,244.1,52.1,222.9,116.2,261.6,126.1,47.1,379.1,146.4,300.1,283.1,320.1,202.1,257.0,83.7,206.1,181.6,211.7,189.4,96.8,105.0,313.8,188.2,141.9,190.3,76.5,241.7,1240.8,150.5,219.8,199.5,257.8,151.4,132.5,98.0,193.3,196.1,208.7,188.5,339.6,294.8,202.8,136.5,174.4,63.2,33.1,267.6,42.3,105.3,103.3,283.4,265.4,218.0,56.9,71.9,307.0,145.3,227.7,179.9,25.0,77.7,356.8,238.9,71.5,222.9,353.2,240.5,121.6,355.9,0.0,336.0,94.1,99.4,83.0,197.1,163.5,250.9,149.5,99.9,168.2,274.7,147.1,92.3,55.0,296.9,84.4,103.7,235.8,197.9,164.8,120.8,195.4,69.1,127.7,113.7,83.7,89.3,254.0,39.9,119.5,123.1,235.5,356.8,340.7,172.9,259.9,116.3,194.5,57.0,126.4,277.1,170.6,240.9,167.2
RW,403.0,175.4,104.2,324.1,116.5,283.1,334.0,332.3,107.3,333.9,319.6,76.8,358.4,473.5,83.5,72.4,163.8,213.3,395.6,468.5,201.4,155.2,291.1,364.2,408.5,62.2,500.1,214.5,199.1,320.9,108.7,1103.6,462.4,337.7,155.0,114.0,224.0,399.9,392.5,206.3,182.1,162.4,424.8,111.1,106.1,441.8,254.4,301.2,305.8,333.3,444.1,367.7,321.5,269.2,101.4,433.5,311.5,368.8,336.0,78.8,234.0,245.5,217.9,313.0,333.7,53.0,143.2,279.8,202.0,387.4,246.5,221.4,67.2,343.7,0.0,362.8,235.3,350.4,173.7,336.4,441.3,309.8,295.9,464.2,477.7,433.9,300.1,346.8,80.2,269.1,253.3,177.7,291.4,186.3,256.5,273.1,354.8,351.0,404.3,273.1,357.2,96.3,345.0,335.7,234.4,329.0,46.2,34.1,218.9,455.3,324.1,451.5,380.6,236.2,445.2,200.5,409.0,222.8
RY,269.5,223.8,320.9,94.7,294.4,144.2,209.6,102.2,328.5,147.1,115.6,441.0,133.1,235.1,333.4,384.6,242.1,300.5,116.0,192.3,225.1,272.0,187.6,19.2,130.4,357.3,160.5,224.7,225.1,61.7,306.2,1332.9,136.7,291.3,283.8,301.3,234.2,37.0,57.1,215.1,246.4,259.0,123.5,450.0,339.2,137.8,180.0,195.4,114.3,121.6,201.1,85.6,78.4,145.0,326.9,200.4,239.0,49.9,114.4,350.5,235.9,271.2,226.7,117.1,85.1,400.3,289.2,139.3,254.4,288.2,282.5,193.1,399.4,100.3,400.5,0.0,208.5,22.9,273.1,148.7,185.9,177.3,85.1,101.2,216.1,69.4,113.3,99.7,344.9,126.1,147.2,292.3,217.4,267.9,146.3,237.4,37.0,50.1,41.3,175.8,57.4,318.5,88.8,65.2,244.6,256.5,421.3,405.2,205.2,194.9,137.3,177.0,104.3,173.2,212.1,298.4,175.9,252.0
RZ,364.5,177.2,188.7,88.7,239.9,47.7,232.9,135.5,175.9,154.8,84.2,301.7,153.6,330.1,264.3,234.4,114.7,257.2,160.2,274.6,178.4,126.0,193.9,173.3,173.1,244.2,264.7,56.2,150.4,129.9,156.0,1164.7,227.0,216.6,122.1,217.0,65.7,209.0,188.0,137.5,201.2,213.8,218.5,263.5,209.1,232.8,133.3,180.1,70.4,96.0,297.6,132.3,112.5,87.3,248.8,295.4,208.1,133.4,100.6,229.8,105.4,224.5,148.3,77.6,98.3,272.5,206.7,68.3,150.7,342.0,237.3,13.8,268.7,89.9,250.3,170.6,0.0,159.5,111.4,170.7,280.9,186.5,123.6,244.7,312.6,223.6,121.0,117.9,211.2,81.2,100.5,150.1,195.7,86.1,88.0,192.2,145.6,142.0,190.2,63.8,165.8,168.4,129.6,126.7,76.1,225.6,271.1,259.0,144.8,289.9,145.0,242.5,147.0,94.8,307.1,202.3,270.9,83.5
SN,264.0,297.9,297.9,71.7,287.7,121.2,189.4,92.0,305.5,124.1,92.6,418.0,105.9,234.9,311.9,361.6,219.1,280.9,109.5,174.1,202.1,250.5,164.6,13.7,123.8,334.3,173.0,201.7,202.1,38.7,283.2,1309.9,149.2,268.3,268.8,278.3,211.2,49.4,69.6,192.1,220.7,240.3,115.3,400.3,317.7,132.3,157.0,172.4,91.3,96.7,197.1,81.7,74.4,107.7,303.9,194.9,216.0,26.9,91.4,327.5,214.4,228.2,205.2,89.5,62.1,377.3,263.0,113.8,257.3,282.7,261.0,171.6,373.5,80.9,377.5,12.3,185.5,0.0,250.1,127.2,178.2,158.5,63.9,113.7,212.1,83.4,90.3,83.2,321.9,103.1,119.6,280.8,195.9,237.9,136.0,222.8,14.0,44.6,53.8,152.8,34.4,295.6,59.0,59.7,221.6,233.5,398.3,386.2,183.7,202.4,114.3,142.0,94.5,151.7,206.6,275.4,170.4,229.0
SP,336.0,103.2,103.2,173.8,146.6,132.8,215.2,189.2,64.4,190.8,169.3,211.2,215.3,354.7,164.3,142.4,20.7,167.6,245.3,340.5,156.4,55.8,173.4,221.1,258.2,145.5,349.8,53.4,56.0,177.8,88.5,1163.7,312.1,194.6,18.6,133.0,62.9,256.8,249.4,63.2,123.6,127.0,281.7,181.1,107.1,298.7,111.3,158.1,155.5,183.0,301.0,217.4,178.4,126.1,146.8,314.7,186.1,218.5,185.7,130.7,120.6,182.5,74.8,162.7,183.4,170.5,100.6,136.7,47.7,320.0,192.5,83.6,166.7,193.4,158.3,219.7,97.5,207.3,0.0,193.3,322.5,166.7,152.8,329.8,358.9,290.8,157.0,196.5,119.2,126.0,110.2,86.1,173.7,25.2,113.4,177.1,211.7,207.9,261.2,135.3,214.1,100.9,194.7,192.6,73.3,203.6,179.1,167.0,75.8,336.5,181.0,308.4,230.3,93.1,326.4,62.7,290.2,98.7
SS,216.8,225.2,299.3,84.3,193.4,136.5,59.3,85.7,234.9,117.2,105.2,338.5,49.5,201.6,232.4,288.7,251.8,201.4,190.4,196.6,122.6,286.9,33.9,122.3,203.3,254.8,269.3,226.3,226.1,79.0,259.8,1325.2,253.1,126.9,220.3,198.8,235.8,158.0,150.6,222.7,145.4,158.0,193.7,354.1,238.2,187.6,91.0,59.1,103.9,109.3,163.8,168.6,61.9,152.6,224.4,161.6,99.6,125.8,116.5,248.0,229.7,160.7,235.8,121.9,74.7,297.8,188.2,129.2,220.1,235.5,181.5,202.2,296.9,144.6,318.4,120.9,192.1,108.5,231.0,0.0,169.4,50.4,92.7,222.3,205.8,192.0,108.4,89.3,275.3,121.0,105.2,307.2,79.5,256.3,153.9,136.4,112.9,153.2,162.4,168.1,115.3,247.5,152.7,47.2,207.5,117.1,339.2,300.1,214.3,156.1,84.4,217.7,177.2,182.3,173.3,293.8,137.1,251.6
ST,145.8,332.0,401.5,190.9,295.6,243.1,115.3,192.3,337.1,223.8,211.8,440.7,202.6,66.8,322.4,390.9,354.0,300.2,211.3,29.4,224.8,376.9,149.3,153.6,224.2,357.0,110.6,332.9,328.3,185.6,362.0,1431.8,85.9,167.7,310.3,301.0,342.4,218.8,115.7,329.3,235.4,260.2,76.5,456.3,328.2,64.9,193.2,172.3,210.5,217.8,66.7,168.7,168.5,259.2,326.6,76.7,167.5,193.8,223.1,350.2,336.3,270.9,330.2,245.6,181.3,400.0,290.4,259.6,322.3,130.9,283.7,296.6,399.1,232.8,420.6,180.4,298.7,166.8,333.2,136.6,0.0,176.7,199.3,94.2,58.6,129.2,214.5,195.9,377.5,246.4,226.0,409.4,154.5,365.5,260.5,226.4,180.9,138.7,153.1,274.7,169.3,349.7,206.6,153.8,314.1,185.0,441.4,405.9,320.9,26.6,230.4,75.4,185.9,288.9,88.4,396.0,20.2,358.2
SU,253.8,309.0,277.8,113.3,171.9,141.4,97.8,71.1,213.4,92.7,115.9,317.0,47.6,234.8,210.9,267.2,230.3,176.5,215.2,235.1,101.1,265.4,72.4,149.6,228.1,233.3,245.8,216.9,204.6,106.3,238.3,1325.4,282.0,112.4,198.8,177.3,226.4,185.3,152.2,207.3,123.9,136.5,190.8,332.6,216.7,205.1,69.5,16.5,142.9,149.9,202.3,187.3,102.5,137.2,202.9,200.1,60.1,153.1,88.6,226.5,234.6,139.2,220.4,132.6,115.3,276.3,166.7,104.6,198.6,272.5,160.0,186.8,272.5,163.3,296.9,146.9,200.7,135.8,209.5,55.0,207.9,0.0,81.3,229.4,244.3,219.3,65.4,129.9,253.8,96.4,76.0,285.7,40.0,234.8,138.5,114.9,140.2,114.3,189.7,173.0,142.6,225.9,164.6,87.8,236.8,77.6,317.7,278.6,198.9,194.6,41.4,214.8,202.0,166.9,211.8,272.3,175.6,244.2
TG,277.5,136.8,233.9,52.1,208.9,84.1,143.1,48.5,241.5,60.1,54.7,354.0,66.6,243.1,249.7,297.6,155.1,213.5,136.3,187.6,138.1,186.5,130.9,68.2,149.2,270.3,186.5,137.7,138.1,24.9,219.2,1246.2,203.7,204.3,196.8,214.3,147.2,103.9,96.5,128.1,160.9,173.5,131.5,363.0,253.7,145.8,93.0,108.4,67.8,89.8,208.9,104.2,25.5,59.8,239.9,208.4,152.0,71.7,27.4,263.5,177.3,184.2,141.2,88.5,38.6,313.3,203.7,52.3,167.4,296.2,197.0,107.6,312.4,83.7,313.5,65.5,121.5,54.4,186.1,82.0,193.9,91.8,0.0,168.2,225.6,136.2,26.3,53.2,257.9,39.1,60.2,206.8,131.9,180.9,59.3,153.7,58.8,55.0,106.6,117.5,59.5,231.5,110.2,39.7,157.6,169.5,334.3,318.2,119.7,202.9,50.3,159.1,123.1,89.5,220.1,211.4,183.9,165.0
