from_stop,AJ,AP,AS,AW,AY,BG,BJ,BN,BV,BX,BY,CR,CS,CZ,DM,DW,EG,EJ,EO,HA,HO,IC,IE,IM,IO,IQ,IR,IV,JF,JK,JQ,JR,JX,KA,KN,LB,LC,LD,LE,LG,LH,LL,LQ,LR,LS,LY,MT,MV,NK,NN,NQ,NV,NX,NY,OC,OK,ON,OP,OY,PA,PI,PP,PT,QC,QD,QL,QQ,QR,QT,QU,RB,RM,RO,RR,RW,RX,SF,SO,SQ,SR,SV,TA,TD,TH,TX,UF,UH,UL,UP,UX,UZ,VB,VE,VF,VK,VO,VU,VY,WC,WG,WP,WX,XB,XL,XM,XW,YD,YE,YI,YR,YS,YW,ZB,ZK,ZM,ZO,ZQ
ON,188.9,293.3,299.5,187.6,292.7,320.2,416.7,28.2,302.5,251.3,103.5,124.2,147.1,44.2,318.6,292.9,245.4,451.4,50.6,314.7,198.2,276.5,177.6,236.5,255.7,196.9,237.3,320.1,315.3,333.7,76.4,403.8,203.0,125.3,304.1,145.0,158.2,223.2,77.5,314.6,130.0,235.5,300.7,105.7,238.3,138.3,238.0,169.8,337.0,367.6,202.8,339.2,301.0,104.1,318.1,177.8,0.0,149.8,261.5,305.6,84.1,175.9,214.0,201.9,179.8,93.0,208.7,178.9,282.0,193.4,181.4,353.7,234.4,338.4,60.3,312.3,263.0,229.8,347.7,34.7,425.8,221.9,262.9,240.0,209.2,312.1,215.3,223.3,302.0,154.3,245.6,122.9,165.7,105.3,62.2,272.1,251.2,278.6,71.0,292.3,1369.3,213.7,34.7,132.9,230.5,194.3,207.9,128.0,188.6,114.8,336.5,350.9,305.1,273.8,212.8,322.0,342.9
OP,143.3,177.7,168.8,127.1,142.8,234.3,271.4,117.9,169.2,118.0,36.8,46.6,69.5,156.9,188.7,163.0,113.3,306.1,181.0,207.6,48.3,160.1,90.1,121.1,171.3,89.8,102.4,184.3,170.0,183.9,102.6,258.5,59.4,53.1,158.8,150.5,51.1,101.1,141.9,182.2,84.8,103.1,184.3,169.2,93.0,11.4,121.6,19.9,228.5,294.6,139.7,224.1,171.0,66.5,195.2,105.6,155.3,0.0,151.6,185.6,120.7,68.8,81.6,69.5,119.3,103.6,124.5,106.7,148.7,48.1,147.0,219.0,88.7,205.1,80.4,167.0,130.6,136.0,202.4,177.9,280.5,89.5,130.5,132.9,84.8,176.7,82.9,116.2,158.9,44.1,112.3,146.3,105.2,168.1,108.9,138.8,144.1,136.8,137.7,147.0,1258.7,68.7,176.9,138.4,96.5,122.1,75.5,110.8,56.2,125.4,195.7,215.9,155.2,123.9,105.7,190.3,207.5
OY,280.2,37.9,45.5,264.0,277.4,380.0,377.4,238.8,223.9,172.7,170.2,182.6,205.5,223.1,96.3,208.4,220.0,412.1,304.3,353.3,204.6,54.2,227.0,97.4,296.7,235.5,155.7,237.6,276.7,323.2,194.8,364.5,112.4,157.4,264.1,288.8,192.6,116.8,192.9,120.0,226.3,73.4,37.9,312.0,199.7,165.4,23.6,171.4,349.4,400.6,95.3,328.7,197.1,201.6,67.4,103.2,267.2,151.4,0.0,306.9,249.1,214.5,66.3,128.8,256.2,238.2,259.0,119.2,208.9,184.1,283.9,256.7,245.0,259.8,215.2,155.0,110.8,79.9,313.9,288.4,386.5,55.4,73.9,278.6,115.7,209.6,98.8,260.5,72.1,178.7,167.0,289.2,243.5,309.6,225.0,192.1,289.8,84.8,193.9,259.2,1223.7,166.1,219.6,276.7,149.8,93.2,129.3,246.8,142.4,261.4,333.6,268.3,288.4,275.0,251.4,221.8,240.4
PA,142.6,310.6,301.7,156.5,32.8,76.7,116.2,284.8,60.3,111.5,205.0,213.0,196.2,307.1,321.6,148.4,95.6,150.9,276.2,50.0,121.5,293.0,172.2,236.0,107.6,120.7,127.1,42.7,38.9,31.2,269.5,103.3,174.3,221.3,50.1,187.3,159.4,225.9,290.8,294.7,215.1,237.1,317.2,203.3,115.9,179.6,254.5,148.1,75.8,139.4,267.3,68.9,93.7,233.4,328.1,268.0,314.7,168.1,284.5,0.0,287.1,141.7,214.5,160.9,163.3,246.6,106.4,269.1,80.8,150.2,167.5,71.1,88.4,59.3,247.3,237.9,244.8,250.9,47.2,292.1,125.3,222.4,262.4,75.5,214.3,88.4,210.5,93.5,304.6,166.4,117.2,233.0,187.3,204.3,275.8,90.7,64.3,282.5,304.6,61.9,1108.1,144.1,280.8,199.4,133.0,284.5,154.9,218.6,169.2,223.8,43.0,45.2,20.4,52.2,104.8,75.3,58.1
PI,103.3,262.9,298.9,122.3,205.1,234.0,324.2,41.9,223.3,180.8,153.8,132.3,115.1,39.9,332.3,207.2,159.8,358.9,90.7,241.1,142.1,290.2,114.1,256.5,177.8,145.4,179.8,240.9,222.8,260.9,126.6,311.3,200.7,175.6,211.4,86.5,119.1,231.2,109.7,319.8,108.1,233.2,314.4,48.3,168.8,159.5,251.7,139.8,250.8,281.4,236.8,252.9,215.3,136.5,331.8,216.9,40.0,159.8,276.4,234.9,0.0,124.4,211.7,180.4,114.5,40.7,123.1,229.2,202.7,123.8,108.6,268.0,148.8,259.2,110.6,242.8,249.7,263.8,269.2,74.8,333.3,219.6,260.6,169.3,217.2,226.5,212.9,152.6,299.7,123.1,186.5,25.5,100.4,47.2,72.2,192.9,180.5,276.3,103.3,199.8,1283.1,149.7,30.9,74.4,173.0,232.1,174.5,84.1,169.6,57.7,250.3,263.0,217.4,186.1,135.8,236.4,257.3
PP,87.9,231.1,222.2,71.7,118.8,165.4,242.9,143.0,149.4,93.5,80.2,71.2,58.7,165.3,242.1,120.0,72.5,277.6,166.3,138.7,58.5,213.5,34.7,172.0,102.4,20.9,109.1,164.5,141.5,157.7,127.7,230.0,110.3,102.0,130.3,95.1,17.6,154.5,149.0,216.0,77.6,156.5,237.7,118.4,85.2,82.8,175.0,56.2,182.2,212.8,164.8,184.4,133.5,91.6,248.6,148.7,180.4,76.2,205.0,129.6,145.3,0.0,135.0,96.9,63.9,109.1,58.9,155.6,115.5,40.3,91.6,181.5,61.5,185.3,105.5,159.2,166.1,186.9,173.9,176.9,252.0,142.9,183.9,64.0,138.2,139.2,136.3,47.3,212.3,24.6,99.2,95.5,49.8,117.3,134.0,105.6,75.2,190.2,162.8,125.0,1214.5,60.9,185.3,83.0,88.7,165.2,90.9,81.1,86.0,86.3,171.7,174.9,131.2,108.5,36.8,152.8,170.0
PT,215.2,96.0,87.1,199.0,211.0,313.6,311.0,218.3,157.5,106.3,137.2,116.2,139.1,221.1,107.0,142.0,153.6,345.7,250.6,286.9,138.2,78.4,162.0,62.0,231.7,169.1,90.7,172.6,210.3,256.8,182.3,298.1,73.0,105.4,199.1,222.4,120.7,76.7,165.3,94.3,154.4,21.4,102.6,245.7,133.3,99.0,39.9,105.0,283.0,334.2,101.3,263.7,137.5,140.4,113.5,122.6,255.7,85.0,69.9,240.5,190.3,148.1,0.0,56.9,191.2,173.2,192.6,112.2,137.0,117.7,218.9,185.5,178.6,193.4,180.8,83.1,44.4,72.9,242.0,261.2,320.1,7.9,41.9,212.2,65.1,143.2,41.3,195.5,90.7,113.7,100.6,222.8,177.1,244.6,188.1,127.1,223.4,68.6,186.9,187.3,1157.3,101.1,217.6,210.3,84.8,129.4,62.9,180.4,76.0,195.0,268.6,196.4,223.4,210.0,185.0,156.8,174.0
QC,161.2,146.9,140.7,145.0,154.0,245.8,240.9,170.0,100.5,49.3,88.9,80.7,103.6,192.3,174.1,102.5,114.1,275.6,215.1,219.1,97.9,132.0,108.0,80.3,162.5,123.9,33.7,115.6,142.0,187.1,154.7,228.0,24.5,93.6,130.8,168.4,85.2,64.9,190.2,156.4,118.9,76.1,156.2,202.6,93.8,63.5,93.5,69.5,212.9,264.1,106.3,193.6,110.6,104.9,173.6,112.1,195.2,49.5,123.5,170.8,154.8,102.9,53.5,0.0,137.2,137.7,115.7,117.0,80.0,63.7,164.9,163.3,138.3,136.4,132.5,116.3,123.2,89.9,172.3,225.7,250.0,61.4,101.4,138.8,51.0,121.7,54.8,122.1,154.3,81.3,43.6,180.4,123.1,202.2,152.6,70.1,150.0,130.9,183.7,122.0,1188.0,65.6,212.2,156.3,27.8,132.4,6.0,144.9,40.5,159.5,198.9,140.3,166.4,133.1,139.8,131.6,152.5
QD,45.0,285.7,279.5,7.8,133.3,191.7,252.4,144.8,151.5,109.0,138.2,94.4,71.5,178.9,312.9,135.5,88.0,287.1,153.3,172.2,98.5,270.8,67.5,217.3,98.3,79.9,123.0,169.1,151.0,174.4,129.5,239.5,161.5,160.0,139.8,82.1,75.6,200.2,165.2,256.0,46.6,213.1,295.0,104.7,108.3,127.7,232.3,96.2,208.5,275.6,222.8,205.1,143.6,114.5,312.4,202.9,170.0,116.2,257.0,163.1,142.3,80.8,192.3,136.9,0.0,96.1,51.3,213.6,131.0,80.3,72.6,196.3,77.0,187.4,107.3,199.2,206.1,226.9,183.4,163.9,261.5,200.2,238.4,97.5,186.2,154.7,189.8,80.8,281.0,82.6,114.7,82.5,12.1,104.3,127.6,121.1,108.7,257.6,158.7,128.0,1236.7,106.1,144.0,70.0,129.8,217.5,130.9,68.1,126.0,73.3,186.2,191.3,145.7,114.4,64.0,168.3,185.5
QL,104.0,264.3,258.1,105.7,220.0,273.3,330.6,60.7,224.0,181.5,113.0,91.5,98.5,80.9,291.5,208.0,160.5,365.3,77.3,246.6,125.5,249.4,97.5,215.7,178.5,128.8,161.6,241.6,229.2,261.1,85.9,317.7,159.9,134.8,217.8,51.9,102.6,190.4,69.0,279.0,91.6,192.4,273.6,90.9,152.2,118.7,210.9,123.2,290.1,353.8,196.0,283.3,216.1,95.7,291.0,176.1,85.9,124.7,234.4,237.5,51.7,107.8,170.9,163.9,97.9,0.0,123.8,188.4,203.5,107.3,98.0,268.8,149.5,259.9,69.8,226.2,233.1,223.0,261.6,87.9,339.7,178.8,219.8,171.9,176.4,227.2,172.2,155.2,248.2,106.5,171.5,68.0,83.8,89.8,31.4,193.6,183.1,235.5,62.5,206.2,1309.2,133.1,102.1,39.8,155.7,196.4,157.9,67.5,145.5,21.7,272.9,277.6,232.4,201.1,136.5,240.8,258.0
QQ,36.1,256.7,247.8,50.0,81.9,162.0,201.0,192.6,100.1,57.6,129.8,120.8,108.3,214.9,267.7,84.1,36.6,235.7,169.7,120.8,58.7,239.1,67.1,182.1,39.0,28.5,73.2,115.2,99.6,123.0,177.3,188.1,120.4,151.6,88.4,80.8,67.2,172.0,198.6,248.4,103.5,183.2,263.3,96.8,56.9,116.8,200.6,85.3,178.8,224.2,213.4,153.7,97.6,141.2,274.2,198.3,208.2,105.3,230.6,111.7,143.8,49.5,160.6,107.0,56.8,134.1,0.0,205.2,79.6,87.4,61.0,145.6,25.6,136.0,155.1,191.6,198.5,197.0,132.0,185.6,210.1,168.5,208.5,46.1,160.4,103.3,164.2,29.4,250.7,74.2,63.3,145.1,68.9,97.8,165.6,69.7,57.3,228.6,196.7,76.6,1185.3,85.1,174.3,92.9,79.1,214.8,101.0,130.7,110.2,111.3,134.8,139.9,94.3,63.0,12.6,116.9,134.1
QR,209.3,179.1,168.3,193.1,216.4,302.0,287.8,179.4,191.9,140.7,98.3,114.3,137.2,205.3,181.2,188.9,129.7,322.5,248.7,275.3,131.5,159.6,156.1,71.7,214.2,157.5,125.1,209.5,186.4,251.6,164.1,274.9,77.3,66.5,175.2,216.5,118.8,44.2,149.5,145.6,152.5,72.8,176.8,236.9,109.4,97.1,114.1,103.1,259.8,311.0,85.6,240.5,195.2,128.0,193.8,88.8,216.8,83.1,144.1,235.3,188.4,136.5,99.5,91.3,185.3,171.3,175.1,0.0,171.4,111.8,213.0,243.2,171.9,227.8,141.9,201.4,148.5,86.6,218.8,239.4,296.9,107.4,98.1,200.6,27.9,200.9,82.2,183.9,140.3,111.8,135.0,214.0,171.2,235.8,170.4,161.5,211.8,118.2,171.1,163.4,1279.4,81.2,201.8,204.4,119.2,105.3,97.3,178.5,56.1,193.1,263.4,231.7,228.8,207.1,173.4,214.5,231.7
QT,104.5,227.0,220.8,118.4,73.9,165.7,160.8,250.1,20.4,30.6,169.0,160.8,156.0,272.4,254.2,75.1,54.6,195.5,238.1,139.0,108.2,212.1,132.0,160.4,115.1,93.8,44.6,35.5,61.9,107.0,234.8,147.9,104.6,173.7,50.7,149.2,132.9,145.0,270.3,236.5,174.9,156.2,236.3,165.8,74.9,143.6,173.6,125.9,132.8,184.0,186.4,113.5,55.6,185.0,253.7,192.2,275.3,129.6,203.6,90.7,234.9,118.1,133.6,80.0,125.2,206.4,68.3,197.1,0.0,87.7,129.4,83.8,68.3,56.3,212.6,160.3,167.2,170.0,92.2,254.0,169.9,141.5,181.5,91.4,131.1,45.4,134.9,74.7,234.4,136.8,36.3,192.8,147.1,166.2,232.7,9.9,85.5,211.0,263.8,65.4,1107.9,104.2,242.7,161.3,51.4,212.5,74.0,178.4,120.6,183.6,118.8,60.2,86.3,83.6,77.9,52.1,73.0
QU,97.4,205.3,199.1,81.2,114.9,195.8,223.2,170.5,121.0,69.8,95.0,91.1,68.2,192.3,232.5,124.3,65.1,257.9,175.8,169.1,20.4,190.4,44.2,136.9,140.5,51.3,54.2,136.1,121.8,156.0,155.2,210.3,81.1,111.3,110.4,104.6,45.1,119.8,187.7,213.0,87.1,132.7,214.6,127.2,44.8,69.6,151.9,38.1,195.2,246.4,161.2,175.9,117.4,111.2,232.0,144.4,195.7,58.1,176.6,157.7,170.4,30.3,111.9,56.5,73.4,118.6,99.0,145.5,100.5,0.0,101.1,170.1,60.8,156.9,133.0,118.8,125.7,146.5,154.2,186.4,232.3,119.8,158.0,94.4,105.8,128.5,109.4,77.7,195.6,49.0,64.1,105.0,59.3,126.8,150.1,90.6,105.6,182.9,181.2,98.8,1210.5,25.7,166.5,92.5,48.3,160.9,50.5,90.6,45.6,95.8,167.8,170.2,127.3,96.0,67.2,138.4,159.3
RB,31.1,312.2,312.4,61.5,132.9,191.3,252.0,150.6,151.1,108.6,171.1,127.3,104.4,158.3,339.4,141.1,87.6,286.7,158.6,171.8,109.7,303.7,94.5,238.4,105.6,79.5,122.6,168.7,150.6,174.0,148.3,239.1,188.0,192.9,139.2,87.4,108.5,223.0,170.5,314.5,97.5,234.2,327.9,110.0,107.9,160.6,265.2,129.1,208.1,275.2,249.3,210.7,149.2,147.4,345.3,235.8,169.4,149.1,289.9,162.7,145.5,100.5,225.2,163.4,68.3,101.4,50.9,246.5,136.6,113.2,0.0,201.9,76.6,187.0,132.2,232.1,239.0,248.0,189.0,169.2,261.1,233.1,259.5,97.1,209.1,154.3,216.3,80.4,312.4,112.4,114.3,81.4,74.4,109.6,132.9,120.7,108.3,289.0,164.0,133.6,1236.3,139.0,149.3,75.3,129.4,251.0,152.0,55.4,158.9,78.6,185.8,196.9,145.3,120.0,63.6,164.2,185.1
RM,167.8,277.0,270.8,181.7,96.6,131.4,126.5,324.1,63.3,114.5,243.0,234.8,223.0,345.1,304.2,101.0,128.6,161.2,301.4,104.7,175.2,262.1,202.0,209.2,162.9,157.1,128.5,48.2,71.9,75.0,308.8,113.6,188.5,247.3,80.3,212.5,199.9,218.6,342.5,274.1,241.9,193.8,286.3,228.6,148.9,217.6,223.6,192.9,98.5,149.7,260.0,79.2,51.2,259.0,303.7,265.8,349.3,203.6,247.1,58.7,309.0,185.1,183.6,163.9,188.5,273.4,131.6,270.7,83.8,154.7,192.7,0.0,131.6,42.3,286.6,190.5,197.4,218.8,60.2,317.3,135.6,191.5,219.1,130.0,207.0,41.0,163.1,138.0,272.0,203.8,120.2,259.8,214.1,229.5,304.9,93.7,115.1,248.6,336.0,94.9,1040.3,166.0,306.0,224.6,136.0,281.0,157.9,245.4,191.1,250.6,86.8,14.6,84.2,113.2,141.2,27.9,10.7
RO,71.9,257.4,248.5,85.8,54.0,169.4,196.1,197.6,102.6,47.7,116.5,126.3,107.7,232.3,268.4,74.2,26.7,230.8,215.3,142.7,33.0,239.8,83.7,172.2,74.8,90.8,63.3,120.2,94.7,95.1,182.3,183.2,110.5,132.8,83.5,144.1,84.6,162.1,216.0,237.4,126.6,173.3,264.0,167.4,47.0,91.1,201.3,59.6,139.7,219.3,203.5,141.9,87.7,146.2,274.9,185.3,235.0,79.6,231.3,96.8,200.4,69.8,161.3,97.1,112.9,158.1,35.7,186.4,69.7,61.7,96.8,135.7,0.0,138.5,160.1,180.6,187.5,187.1,127.1,225.9,205.2,169.2,198.6,58.8,150.5,93.4,154.3,42.1,238.6,91.6,53.4,144.5,98.8,166.3,188.6,59.8,83.6,216.5,217.4,78.2,1172.0,75.2,205.5,132.0,69.2,201.8,91.1,130.1,100.3,135.3,106.9,127.1,66.4,35.1,45.3,107.0,124.2
RR,160.9,286.1,277.2,174.8,87.1,109.3,104.4,306.5,35.8,87.0,225.4,217.2,212.4,329.3,297.1,131.5,118.4,139.1,294.5,82.6,164.6,268.5,188.4,211.5,152.6,164.9,102.6,18.2,62.4,65.5,291.2,91.5,149.8,230.1,70.0,205.6,189.3,201.4,313.0,285.4,231.3,212.6,292.7,221.6,138.7,200.0,230.0,182.3,76.4,127.6,242.8,57.1,87.2,241.4,303.6,252.4,333.0,186.0,260.0,49.2,291.3,174.5,190.0,136.4,181.6,262.8,124.7,253.5,56.3,144.1,185.8,41.1,139.1,0.0,269.0,231.4,238.3,226.4,50.7,310.4,113.5,197.9,237.9,119.7,189.8,81.9,204.0,131.1,280.1,196.3,92.7,249.2,203.5,222.6,289.1,66.2,104.8,258.0,320.2,84.7,1051.5,155.4,299.1,217.7,108.5,268.9,130.4,234.8,177.0,240.0,64.8,38.7,74.7,102.9,149.0,68.8,51.6
RW,143.4,228.8,239.6,127.2,232.3,281.0,356.3,37.4,242.1,190.9,43.1,63.8,86.7,70.3,244.7,235.6,188.1,391.0,113.3,254.3,137.8,216.1,114.2,188.1,218.0,136.5,175.3,257.2,254.9,273.3,16.0,343.4,131.4,64.9,243.7,111.2,97.8,162.8,58.6,254.2,69.6,175.1,240.3,122.7,177.9,77.9,177.6,109.4,297.8,328.4,142.4,300.0,249.1,43.7,251.2,117.4,74.8,89.4,207.6,245.2,74.2,115.5,153.6,141.5,119.4,59.2,169.0,118.5,221.6,133.0,120.1,297.1,177.1,278.0,0.0,251.9,202.6,169.4,287.3,97.4,365.4,161.5,202.5,179.6,146.5,254.8,154.9,162.9,230.9,90.8,185.2,99.8,105.3,121.6,28.4,211.7,190.8,208.8,57.2,231.9,1330.1,153.3,90.3,99.1,169.4,133.9,147.5,66.7,128.2,81.0,285.2,290.5,244.7,213.4,152.4,268.4,285.6
RX,203.8,181.6,175.4,191.0,218.0,305.6,303.0,278.3,164.5,113.3,197.2,189.0,178.0,299.3,208.8,134.0,145.6,337.7,285.6,278.9,130.2,166.7,154.0,155.6,231.4,161.1,97.7,179.6,202.3,248.8,263.0,290.1,150.1,193.7,190.9,214.4,154.9,165.0,268.7,185.2,196.9,109.7,190.9,237.6,125.3,171.8,128.2,147.9,275.0,326.2,189.6,255.7,124.1,213.2,208.3,210.9,303.5,157.8,152.9,232.5,263.2,140.1,88.2,129.7,183.2,228.4,184.6,200.5,144.0,109.7,210.9,176.8,170.6,200.4,240.8,0.0,102.0,161.2,234.0,296.2,312.1,96.1,130.2,204.2,153.4,135.2,129.6,187.5,177.4,161.9,107.6,214.8,169.1,236.6,259.9,134.1,215.4,170.8,275.2,179.3,1217.2,121.0,305.9,202.3,91.8,217.7,114.0,200.4,146.1,205.6,260.6,188.4,230.4,202.0,177.0,145.1,166.0
SF,220.4,151.9,143.0,204.2,231.2,318.8,316.2,245.9,177.7,126.5,164.8,156.6,179.5,268.7,156.8,147.2,158.8,350.9,291.0,292.1,143.4,134.3,167.2,117.9,236.9,174.3,110.9,192.8,215.5,262.0,230.6,303.3,107.2,161.3,204.3,227.6,161.1,132.6,221.2,49.8,194.8,77.3,158.5,250.9,138.5,139.4,95.8,145.4,288.2,339.4,157.2,268.9,142.7,180.8,148.7,178.5,283.3,125.4,125.8,245.7,230.7,153.3,55.8,97.3,196.4,213.6,197.8,168.1,157.2,122.9,224.1,190.7,183.8,213.6,208.4,88.3,0.0,128.8,247.2,301.6,325.3,63.7,88.8,217.4,121.0,148.4,97.2,200.7,135.2,154.1,120.8,228.0,182.3,249.8,228.5,147.3,228.6,113.1,242.8,192.5,1112.8,134.2,273.5,215.5,105.0,185.3,103.3,213.6,116.4,218.8,273.8,201.6,243.6,215.2,190.2,162.0,179.2
SO,257.2,109.2,102.8,241.0,250.5,337.6,337.4,189.9,197.0,145.8,117.7,167.9,190.8,175.6,122.7,180.0,196.5,372.1,251.8,310.9,190.9,94.1,204.0,18.6,251.3,193.1,130.2,212.1,238.5,283.6,136.8,324.5,83.0,115.4,227.3,255.3,154.4,64.3,119.8,125.9,204.9,53.1,118.3,250.1,176.2,146.5,55.6,162.5,309.4,360.6,55.8,290.1,175.5,149.1,129.2,77.1,213.3,142.5,85.6,267.3,201.6,172.1,88.8,96.4,233.2,203.3,212.2,66.7,176.5,173.7,260.9,223.5,231.3,232.9,162.7,172.0,133.3,0.0,268.8,235.9,346.5,79.3,78.4,236.2,75.1,181.2,62.5,219.5,120.6,147.4,140.1,227.2,219.1,249.0,172.5,166.6,247.4,98.5,141.4,230.2,1263.2,148.0,172.1,243.2,124.3,93.6,102.4,229.5,122.9,225.1,295.4,234.4,262.9,229.6,209.0,194.8,212.0
SQ,139.9,328.7,322.5,170.8,75.0,91.8,68.9,314.8,69.4,120.6,238.3,230.1,212.5,336.6,355.9,157.6,89.0,103.6,290.5,65.1,160.8,313.8,188.5,250.4,136.3,153.5,136.2,51.8,32.3,52.8,299.5,56.0,194.6,239.1,43.7,201.6,189.4,235.0,332.0,326.5,231.4,246.2,338.0,217.6,109.3,212.9,275.3,182.4,40.9,92.1,276.4,21.6,107.8,254.3,355.4,257.6,340.0,198.9,305.3,37.1,304.2,174.5,235.3,170.0,177.6,262.9,120.7,262.5,89.9,144.2,188.2,56.5,127.7,33.5,277.3,247.1,254.0,260.0,0.0,306.4,78.0,243.2,271.5,108.3,220.5,97.6,219.7,126.3,312.6,193.3,126.3,249.3,203.6,218.6,294.4,99.8,93.4,299.9,325.5,55.3,1066.2,137.5,295.6,213.7,141.4,272.2,164.0,234.9,162.6,240.1,47.3,56.6,62.6,91.5,137.6,88.2,67.3
SR,154.1,313.5,319.7,174.2,255.9,317.4,375.0,73.5,274.1,231.6,148.8,160.2,167.0,104.7,348.4,258.1,210.6,409.7,15.8,294.8,194.0,306.3,163.0,266.3,220.9,197.3,245.6,289.2,273.6,297.0,121.7,362.1,228.6,170.6,262.4,120.4,171.1,259.1,137.7,347.7,160.1,261.1,330.5,132.5,220.7,187.4,267.8,191.7,334.2,364.8,232.6,336.4,266.2,149.4,347.9,216.5,45.2,193.4,297.8,285.7,49.3,176.3,239.6,232.4,166.4,68.6,173.9,226.1,253.6,175.8,160.5,318.9,199.6,310.0,105.6,294.7,301.6,259.6,306.0,0.0,384.1,247.5,288.5,220.1,242.8,277.3,240.9,203.4,316.9,178.1,237.3,88.1,152.3,132.9,100.1,243.7,231.3,304.2,131.2,250.6,1359.3,201.6,80.3,108.3,224.2,233.0,226.4,136.0,214.2,90.2,308.8,313.9,268.3,237.0,186.6,290.9,308.1
SV,247.2,421.7,412.8,261.1,165.3,164.0,11.1,405.1,161.6,212.8,328.6,320.4,302.8,427.4,432.7,249.8,179.3,86.2,380.8,137.3,251.1,404.1,278.8,337.3,231.5,243.8,228.4,144.0,122.6,125.0,389.8,38.6,275.6,329.4,133.8,291.9,279.7,327.1,411.1,396.1,321.7,338.4,428.3,275.7,199.6,303.2,365.6,272.7,89.7,56.7,368.5,73.9,195.1,344.6,439.2,351.7,419.3,289.2,395.6,127.4,322.7,264.8,325.6,262.2,267.9,353.2,211.0,352.8,182.1,234.5,272.1,148.0,218.0,125.7,367.6,339.3,346.2,352.2,90.2,396.7,0.0,333.5,363.7,198.6,310.8,189.8,311.9,216.6,402.9,286.7,218.5,339.6,293.9,276.7,384.7,192.0,183.7,380.8,415.8,145.6,1158.4,227.8,353.2,304.0,234.3,368.2,256.2,325.2,252.9,330.4,119.5,146.9,152.9,181.8,227.9,176.7,159.5
TA,224.7,85.4,79.2,208.5,232.6,323.1,319.5,210.4,179.1,127.9,129.3,125.7,148.6,214.2,112.6,150.9,163.1,354.2,260.1,296.4,147.7,70.5,171.5,59.4,240.6,178.6,112.3,194.2,219.8,265.7,174.4,306.6,53.9,97.5,208.6,231.9,130.2,68.8,172.5,89.0,163.9,13.5,94.7,255.2,142.8,108.5,32.0,114.5,291.5,342.7,93.4,272.2,141.0,159.0,112.1,114.7,235.6,94.5,55.5,249.4,199.9,157.6,9.5,78.5,200.7,182.7,201.5,104.3,158.6,127.2,228.4,193.7,188.1,215.0,172.9,92.6,53.9,65.0,250.9,270.4,328.6,0.0,34.0,221.7,57.2,152.1,33.4,205.0,81.2,123.2,122.2,232.3,186.6,254.1,201.4,148.7,232.9,63.5,179.0,196.8,1166.8,105.4,209.7,219.8,106.4,126.1,84.5,189.9,85.5,204.5,277.5,205.3,245.0,218.9,194.5,162.0,182.9
TD,250.4,80.9,70.1,234.2,243.3,335.1,330.2,221.1,189.8,138.6,140.0,151.4,174.3,247.0,103.7,161.6,188.8,364.9,297.0,308.4,173.4,61.4,197.2,64.8,251.3,204.3,123.0,204.9,231.3,276.4,205.8,317.3,75.8,108.2,220.1,257.6,155.9,79.5,191.2,47.4,189.6,24.2,130.4,280.9,168.5,139.3,60.7,140.2,302.2,353.4,120.9,282.9,157.1,169.7,95.6,130.5,258.5,120.2,90.7,260.1,225.5,183.3,35.1,89.2,226.4,208.4,212.2,131.6,169.3,152.9,254.1,205.1,213.8,225.7,183.6,118.3,79.6,79.7,261.6,281.1,339.3,25.6,0.0,235.3,67.9,162.8,44.1,218.6,42.1,148.9,132.9,258.0,212.3,279.8,212.1,159.4,246.5,20.0,212.8,218.5,1183.5,140.9,243.5,245.5,117.1,147.0,95.2,215.6,115.8,230.2,288.2,216.0,255.7,229.6,220.2,176.4,193.6
TH,73.8,297.3,288.4,87.7,54.7,101.3,178.8,209.2,85.3,92.2,146.4,137.4,124.9,231.5,308.3,118.7,71.2,213.5,207.4,74.6,93.3,279.7,100.9,216.7,32.8,45.1,107.8,100.4,77.4,93.6,193.9,165.9,155.0,168.2,66.2,118.5,83.8,220.7,215.2,282.2,143.8,222.7,303.9,134.5,91.5,149.0,241.2,122.4,118.1,148.7,231.0,120.3,97.6,157.8,314.8,214.9,245.9,142.4,271.2,65.5,211.5,66.1,201.2,141.6,94.5,175.3,37.6,221.8,81.9,106.5,98.7,131.4,60.2,121.2,171.7,225.4,232.3,231.6,109.8,223.3,187.9,209.1,250.1,0.0,204.4,92.3,202.5,17.9,278.5,90.8,97.9,161.7,116.0,135.5,200.2,91.8,11.1,256.4,229.0,60.9,1150.4,127.1,251.5,130.6,113.7,231.4,135.6,147.3,152.2,152.5,107.6,110.8,67.1,44.4,29.2,102.7,119.9
