from_stop,AC,AH,AM,AW,BG,BR,BV,CL,CO,CQ,CV,CX,DH,DJ,DO,DS,EC,EG,ES,EU,EX,FB,FC,FN,FS,GC,GK,GP,GX,HL,HP,HU,IK,IL,IT,IW,JG,JK,JR,KE,KI,KP,KR,KS,LA,LD,LG,MA,ML,MT,ND,NH,NL,NS,OG,OH,OK,OM,OT,OU,OZ,PF,PH,PI,PK,PW,PX,QI,QJ,QN,QT,RN,RO,RT,RX,SD,SR,SS,SU,SX,SZ,TH,UH,UU,VK,VS,VX,WA,WB,WN,WP,XD,XE,YQ,YV,ZA,ZB,ZM,ZO,ZS,ZU
PW,304.9,315.3,166.4,134.4,140.9,419.9,282.9,202.3,199.7,280.3,208.4,352.9,336.5,170.8,70.7,124.3,160.6,192.5,305.4,353.7,313.2,142.7,244.5,218.2,307.3,309.0,106.3,352.4,116.3,101.2,322.0,128.6,227.9,114.0,345.8,345.5,147.2,303.4,315.7,305.0,177.2,175.1,288.6,98.0,145.8,274.6,120.5,1305.8,128.4,336.1,62.3,323.0,267.8,236.3,229.2,136.7,110.6,125.8,166.4,233.8,70.2,138.1,270.7,93.1,277.4,0.0,132.7,121.9,276.4,311.8,371.9,121.0,396.8,349.4,63.6,133.7,74.2,287.9,203.7,214.8,312.7,101.5,224.2,284.7,135.1,130.2,178.2,280.2,40.9,278.7,258.3,109.5,250.2,296.5,342.3,76.2,328.1,211.3,191.2,171.3,317.3
PX,319.4,331.4,172.7,151.0,169.0,425.6,283.7,90.2,223.1,292.7,224.5,358.6,337.4,180.0,179.3,113.8,55.6,198.2,271.7,359.4,318.9,18.8,259.0,109.7,321.8,314.7,213.8,392.6,224.9,51.8,336.5,144.7,241.1,96.0,348.1,311.8,163.3,319.5,329.7,310.6,188.4,216.2,291.4,85.7,123.4,280.3,115.1,1311.5,134.1,345.4,99.0,337.5,282.3,252.4,234.9,121.4,42.4,203.4,50.7,274.0,86.3,197.7,271.5,109.2,273.7,152.5,0.0,123.4,322.5,329.9,389.6,89.1,412.9,355.1,118.4,143.0,238.5,293.6,140.3,220.5,352.9,210.1,176.0,290.4,204.3,166.5,159.6,308.7,167.5,284.4,196.8,150.4,255.9,325.0,308.6,183.7,333.8,225.8,214.6,65.2,267.1
QI,221.1,267.4,72.9,199.4,33.5,376.2,185.2,169.0,122.4,196.6,156.9,291.3,298.3,80.2,117.7,31.4,161.0,107.1,203.0,332.9,293.3,117.0,167.2,196.0,225.5,270.8,96.3,257.1,163.3,75.5,244.7,72.2,150.6,66.7,242.8,252.0,81.2,230.9,233.9,227.7,97.8,79.8,195.4,64.6,100.1,199.7,27.6,1230.9,10.6,316.2,75.5,241.2,184.1,224.7,154.3,201.7,84.9,87.5,140.7,138.5,34.1,98.2,177.2,33.6,183.9,90.9,122.4,0.0,181.1,236.1,297.0,89.8,363.5,309.9,45.9,54.7,121.4,188.7,230.3,133.6,217.4,148.5,266.0,241.2,182.1,82.4,225.2,169.0,105.9,241.6,289.7,174.5,188.3,185.3,248.8,141.2,290.7,129.8,96.9,167.0,218.4
QJ,54.0,162.9,142.5,375.0,171.8,225.4,73.9,352.6,92.9,65.6,120.6,137.6,163.5,145.4,293.3,225.0,336.6,162.8,200.6,139.5,113.7,305.1,39.6,366.2,41.6,140.6,160.9,102.1,338.9,243.1,67.6,168.5,55.4,217.5,65.2,201.3,134.7,229.7,50.0,45.2,110.6,127.4,104.6,227.9,255.0,244.5,216.2,1330.4,198.1,137.0,242.9,57.3,64.5,96.6,110.8,378.4,260.5,167.0,322.2,59.8,204.7,170.8,87.6,162.6,141.7,264.8,293.0,198.4,0.0,69.7,206.4,259.9,209.8,154.9,221.5,198.4,200.9,214.9,407.0,140.5,62.4,324.1,422.5,165.9,361.0,194.0,400.8,50.9,281.5,130.4,471.2,350.1,149.8,41.2,237.5,316.8,168.4,71.8,101.3,324.2,168.6
QN,96.9,160.9,193.6,397.8,214.6,226.6,32.1,327.7,139.4,40.6,105.7,133.6,165.6,186.3,316.1,247.8,338.8,144.7,174.6,153.2,112.6,348.2,79.0,347.2,40.5,119.0,195.7,98.5,361.7,266.4,110.5,195.9,94.4,259.4,32.3,179.7,174.1,170.8,30.9,77.7,150.0,156.3,112.1,258.5,295.9,223.6,240.0,1308.8,239.0,139.1,266.2,38.4,46.4,81.7,91.8,401.7,283.3,206.4,332.6,100.3,227.5,228.9,69.5,204.5,117.2,301.5,309.3,221.7,70.4,0.0,207.6,270.3,196.9,156.1,244.3,263.9,240.3,188.9,435.5,122.4,84.3,340.4,457.9,133.6,384.3,209.7,423.6,67.7,304.3,104.2,481.6,372.9,123.6,108.2,209.6,339.6,140.9,111.2,141.7,351.0,142.9
QT,193.9,96.6,272.5,460.4,273.6,80.1,143.9,423.2,222.9,118.4,169.2,99.7,61.4,265.2,378.7,310.4,420.4,198.0,160.3,165.6,114.6,390.5,162.5,428.3,164.3,78.6,289.5,198.7,424.3,328.5,207.5,272.0,178.3,322.0,225.5,111.1,257.6,99.2,154.7,185.1,233.5,239.8,248.2,320.6,351.0,170.0,306.6,1219.8,322.8,141.1,328.3,138.6,129.9,120.0,134.2,463.8,345.9,289.9,388.3,170.4,290.1,353.9,171.0,267.1,198.3,363.6,365.0,283.8,182.8,161.8,0.0,326.0,67.4,116.2,306.9,321.7,323.8,174.6,492.4,236.5,173.0,396.1,513.6,112.6,446.4,370.0,486.2,161.5,366.9,109.9,547.8,435.5,137.8,177.8,85.5,402.2,116.4,194.7,237.8,413.6,148.1
RN,275.3,287.3,128.6,202.7,118.8,381.5,239.6,151.9,179.0,248.6,180.4,296.6,298.1,135.9,152.3,53.3,120.6,154.1,227.6,303.8,274.8,71.3,214.9,178.9,277.7,270.6,148.1,342.4,197.9,50.9,288.9,100.6,197.0,17.5,304.0,267.7,119.2,275.4,285.6,266.5,144.3,165.1,247.3,80.2,128.0,236.2,54.6,1267.4,95.9,297.7,96.3,293.4,238.2,208.3,190.8,173.1,41.5,137.7,102.4,223.8,63.7,132.0,227.4,65.1,229.6,137.2,79.1,89.4,266.4,271.6,362.9,0.0,368.8,311.0,80.5,77.3,169.0,249.5,192.0,176.4,302.7,183.1,227.7,246.3,216.7,100.8,211.3,258.5,140.5,240.3,248.5,202.1,211.8,274.8,264.5,175.8,289.7,181.7,182.2,96.3,235.4
RO,183.8,190.6,332.4,503.0,346.9,48.5,240.3,432.4,282.8,200.7,206.3,106.9,136.3,325.1,421.3,353.0,444.0,273.7,236.6,168.5,197.6,449.8,240.8,451.9,189.2,161.6,371.2,168.4,466.9,379.1,171.4,328.0,256.6,364.6,179.1,209.9,305.4,221.5,197.5,205.3,311.8,299.7,278.1,363.2,393.6,265.7,349.2,1194.2,337.1,224.1,370.9,221.6,212.9,182.3,196.5,505.3,388.5,358.2,441.7,243.7,332.7,360.7,254.0,309.7,236.6,394.5,421.0,330.6,232.9,244.8,80.4,382.0,0.0,111.8,349.5,364.3,392.1,250.9,536.1,274.8,154.4,452.1,576.8,195.6,489.0,385.2,528.8,209.2,409.5,192.9,592.6,478.1,212.3,194.0,194.4,444.8,171.1,273.0,302.5,456.2,214.6
RT,144.7,127.4,274.2,442.4,288.7,134.3,159.0,371.8,224.6,120.1,145.7,68.8,78.2,266.9,360.7,292.4,383.4,213.1,161.0,85.1,85.4,392.3,164.2,391.3,118.4,62.3,304.6,129.3,406.3,310.5,132.3,267.4,181.3,304.0,155.5,146.7,255.1,122.2,137.1,176.3,235.2,241.5,196.8,289.0,333.0,166.4,282.4,1250.9,278.8,111.9,310.3,130.6,131.6,165.6,135.9,445.8,327.9,291.6,378.4,185.5,272.1,302.5,172.7,249.1,190.2,345.6,360.4,265.8,156.3,142.4,129.3,321.4,110.5,0.0,288.9,317.7,325.5,175.3,479.6,225.6,115.3,391.5,516.2,120.0,428.4,318.6,468.2,176.6,348.9,125.3,539.9,417.5,130.4,154.9,176.4,384.2,107.9,196.4,225.9,385.7,163.5
RX,250.0,262.0,103.3,153.4,87.6,334.2,214.3,138.6,153.7,224.6,155.1,272.3,268.0,110.6,71.7,60.6,123.0,128.8,202.3,290.0,249.5,91.5,189.6,154.5,252.4,245.3,151.3,310.0,117.3,29.5,263.6,75.3,171.7,50.3,278.7,242.4,98.5,250.1,260.3,241.2,119.0,134.8,222.0,28.0,72.0,205.5,50.6,1242.1,67.0,276.0,21.3,268.1,212.9,183.0,165.5,156.8,46.9,130.4,100.0,192.6,16.9,124.7,202.1,39.8,204.3,56.6,79.4,54.0,210.7,246.3,337.6,67.7,343.5,285.7,0.0,78.6,130.9,224.2,193.4,151.1,270.3,102.5,228.0,221.0,139.4,93.5,179.2,227.3,59.9,215.0,248.8,128.5,186.5,243.6,239.2,95.2,264.4,156.4,145.2,104.7,197.7
SD,239.4,299.6,100.9,217.9,69.2,388.9,217.4,192.2,134.2,212.7,196.8,325.3,311.7,93.6,136.2,94.5,176.6,147.0,238.7,334.8,298.9,132.6,179.0,208.1,241.8,289.0,70.7,286.9,181.8,83.1,256.5,112.1,161.1,61.5,268.6,280.0,116.9,263.1,250.2,230.6,111.7,109.6,211.4,49.9,65.3,230.0,84.5,1271.3,49.7,321.8,82.6,257.5,202.3,247.1,207.2,220.2,100.5,60.3,156.3,168.3,47.6,54.6,205.2,69.0,193.7,121.1,133.0,58.0,200.1,245.8,390.2,78.9,397.5,346.6,64.4,0.0,91.6,224.4,245.9,169.3,247.2,167.0,281.6,269.2,200.6,23.5,243.7,203.0,124.4,274.2,302.4,193.0,228.2,219.3,276.8,159.7,310.9,145.8,125.7,168.2,235.3
SR,230.6,290.8,92.1,198.3,77.2,369.1,208.6,266.2,125.4,205.2,201.9,317.5,302.9,84.8,134.6,146.4,234.9,170.9,231.1,326.0,290.1,219.1,170.2,282.1,233.0,280.2,20.3,278.1,180.2,157.1,244.2,118.1,152.3,141.0,259.8,271.2,122.8,254.3,241.4,221.8,102.9,101.7,202.6,143.0,134.7,253.9,136.4,1345.9,98.6,316.6,138.0,248.7,193.5,238.3,252.5,201.7,174.5,51.5,227.6,159.5,127.1,63.8,196.4,146.9,184.9,63.8,207.0,114.9,191.3,236.3,381.4,158.4,388.7,337.8,127.5,106.2,0.0,245.4,263.9,175.1,238.4,165.4,298.5,260.4,202.3,55.9,242.1,194.2,104.8,265.4,322.2,173.4,233.3,210.5,268.0,140.1,302.1,137.0,116.9,218.7,226.5
SS,238.2,103.6,137.1,344.1,152.9,204.1,153.6,278.8,167.4,155.6,86.2,183.2,137.9,144.4,262.4,194.1,305.7,102.1,14.2,143.0,159.0,274.2,177.8,298.3,194.3,124.0,218.9,246.7,308.0,212.2,251.8,160.6,159.9,205.7,218.0,84.0,129.6,67.1,199.6,229.4,126.2,179.2,186.0,190.7,234.7,73.4,184.1,1203.5,177.4,185.5,212.0,175.8,167.1,114.1,96.6,347.5,229.6,205.9,282.7,208.0,173.8,220.8,141.4,150.8,101.9,247.3,262.1,167.5,198.9,185.6,216.4,223.1,272.4,172.8,190.6,185.0,239.8,0.0,376.1,124.4,205.8,293.2,410.7,55.2,330.1,228.8,369.9,212.1,250.6,107.3,434.4,319.2,102.1,228.4,80.8,285.9,121.3,144.6,141.4,287.4,68.5
SU,425.7,474.1,279.0,93.6,275.3,527.6,394.1,116.1,329.4,401.1,363.5,480.7,481.2,290.4,146.9,220.1,99.4,304.5,410.7,486.9,457.9,118.5,365.3,107.4,432.2,453.7,304.2,498.9,167.4,158.1,442.8,251.0,348.7,202.3,458.5,450.8,273.7,425.8,436.0,425.8,294.7,321.6,401.8,192.0,239.8,386.6,223.9,1417.8,240.4,480.8,204.9,443.8,392.7,395.1,373.9,65.3,148.7,309.7,96.1,384.4,192.6,304.0,377.8,219.6,398.2,193.7,145.1,233.9,422.9,436.7,479.5,195.4,555.6,494.1,206.2,249.3,279.7,409.1,0.0,326.8,459.2,116.1,82.7,429.4,93.0,272.8,48.3,419.1,161.6,423.4,96.7,93.0,394.9,435.4,447.6,126.3,472.8,332.1,320.9,192.3,418.5
SX,165.7,163.3,81.1,292.5,96.9,259.4,63.1,281.2,94.9,95.5,74.4,220.9,193.2,88.4,210.8,142.5,254.1,22.3,103.6,219.4,190.4,222.6,105.3,285.6,118.7,170.5,162.9,181.5,256.4,160.6,179.3,104.6,87.4,154.1,127.5,143.7,73.6,126.8,109.1,155.9,70.2,106.7,95.5,139.1,181.3,149.1,132.5,1262.9,121.4,216.9,160.4,134.4,102.3,128.6,84.8,295.9,178.0,149.9,231.1,135.5,122.2,155.6,50.9,99.2,57.4,195.7,210.5,115.9,126.4,95.1,271.7,171.5,292.1,228.1,139.0,129.0,183.8,117.9,324.5,0.0,162.5,241.6,359.1,132.9,278.5,172.8,318.3,147.3,199.0,138.7,379.9,267.6,105.8,163.6,140.5,234.3,182.4,72.1,68.9,235.8,99.0
SZ,29.3,209.6,177.9,410.0,192.4,174.0,89.9,339.4,128.3,105.7,113.3,79.0,180.4,170.6,328.3,260.0,351.0,178.8,205.8,97.3,144.5,359.9,86.3,358.9,72.4,154.8,216.7,39.6,373.9,278.1,16.9,203.9,103.4,271.6,25.3,241.7,177.2,214.7,43.7,60.4,157.3,145.2,145.7,256.6,273.7,258.9,250.0,1290.6,213.8,171.0,277.9,88.1,80.5,89.3,103.5,413.4,295.5,203.7,346.0,89.2,239.7,206.2,103.6,216.7,143.6,313.2,328.0,233.4,65.7,57.7,169.0,289.0,150.2,92.4,256.5,221.4,237.6,220.1,447.2,156.5,0.0,359.1,483.8,164.8,396.0,230.7,435.8,54.7,316.5,164.4,499.6,385.1,125.4,39.5,216.1,351.8,190.1,118.5,148.0,353.3,202.6
TH,340.1,352.1,193.4,178.8,177.7,446.3,304.4,230.3,243.8,313.4,245.2,361.4,358.1,200.7,30.7,150.7,197.4,218.9,292.4,368.6,339.6,161.7,279.7,221.6,342.5,335.4,196.7,400.1,51.2,119.6,353.7,165.4,261.8,140.4,368.8,332.5,184.0,340.2,350.4,331.3,209.1,224.9,312.1,131.7,162.1,295.6,149.4,1332.2,154.8,362.5,100.5,358.2,303.0,273.1,255.6,178.2,137.0,227.9,192.8,282.7,107.0,214.8,292.2,129.9,294.4,102.0,169.5,144.1,325.3,336.4,427.7,157.8,433.6,375.8,90.0,160.1,176.3,314.3,128.0,241.2,360.4,0.0,161.5,311.1,33.5,183.6,76.6,317.4,85.3,305.1,193.5,153.9,276.6,333.7,329.3,120.6,354.5,246.5,235.3,197.7,300.2
UH,470.8,515.5,324.1,138.7,320.4,572.7,444.5,161.2,374.5,429.0,408.6,524.8,521.5,331.4,194.5,265.2,144.5,349.6,455.8,532.0,503.0,163.6,422.3,152.5,471.5,498.8,345.2,509.6,171.0,203.2,484.4,296.1,392.5,247.4,480.3,495.9,314.7,470.9,461.9,462.0,339.8,366.7,442.8,237.1,274.8,426.3,266.5,1462.9,285.5,525.9,264.3,467.3,418.6,436.5,419.0,109.1,193.8,354.8,141.2,414.6,237.7,349.1,422.9,260.6,425.1,238.8,190.2,274.8,431.5,462.1,554.0,240.5,597.0,539.2,253.8,294.4,324.8,454.2,73.2,371.9,469.9,163.7,0.0,474.5,140.6,317.9,95.9,425.7,206.7,468.5,102.9,138.1,440.0,442.0,492.7,171.4,517.9,377.2,366.0,237.4,451.2
UU,175.8,66.8,188.3,399.4,208.2,148.8,148.6,310.7,162.4,100.3,81.2,127.9,82.6,181.0,317.7,249.4,322.3,157.4,40.9,98.2,103.7,329.5,172.8,330.2,139.0,68.7,233.1,191.4,363.3,267.5,189.4,214.3,154.9,261.0,155.0,86.1,183.6,82.1,136.6,167.0,163.7,174.2,181.0,246.0,290.0,102.8,239.4,1249.7,230.7,130.2,267.3,120.5,111.8,82.0,91.6,402.8,284.9,220.1,338.0,165.7,229.1,223.1,136.4,206.1,96.9,302.6,317.4,222.8,136.5,122.6,161.1,278.4,217.1,117.5,245.9,238.3,254.0,55.2,431.4,135.1,192.4,348.5,466.0,0.0,385.4,247.1,425.2,156.8,305.9,52.0,489.7,374.5,46.8,173.1,95.8,341.2,66.0,139.6,136.4,342.7,63.5
VK,387.0,395.7,240.3,178.0,224.6,489.9,348.0,197.2,290.7,362.4,288.8,422.9,409.8,244.3,77.6,197.6,180.5,265.8,339.3,423.7,386.5,216.0,326.6,191.8,386.1,382.3,240.3,447.0,98.1,174.5,404.1,209.0,310.0,184.0,412.4,379.4,230.9,387.1,397.3,387.1,256.0,270.9,355.7,168.0,219.1,347.9,193.8,1379.1,201.7,409.4,135.6,401.8,346.6,320.0,302.5,149.7,183.9,274.8,177.2,329.6,150.6,258.4,339.1,176.8,359.5,137.2,216.4,195.2,372.2,398.0,445.2,201.4,480.5,422.7,136.9,203.7,223.2,361.2,98.2,288.1,407.3,43.5,128.4,358.0,0.0,227.2,46.8,361.0,132.2,352.0,160.4,177.4,320.2,377.3,376.2,167.5,401.4,290.1,282.2,244.6,347.1
VS,215.9,276.1,77.4,241.4,62.5,365.4,193.9,215.7,110.7,189.2,187.2,301.8,288.2,70.1,159.7,118.0,200.1,156.2,216.4,304.4,275.4,165.9,155.5,231.6,218.3,265.5,47.2,263.4,205.3,106.6,233.0,103.4,137.6,85.0,245.1,256.5,112.3,239.6,226.7,216.0,88.2,86.1,187.9,80.7,88.8,244.6,116.7,1294.8,73.2,298.3,106.1,234.0,178.8,223.6,237.8,243.7,124.0,36.8,179.8,144.8,71.1,31.1,181.7,92.5,170.2,132.9,156.5,81.5,176.6,222.8,354.3,102.4,374.0,323.1,87.9,23.5,68.1,230.7,269.4,160.4,223.7,190.5,305.1,245.7,224.1,0.0,267.2,179.5,147.9,250.7,328.8,216.5,218.6,195.8,253.3,183.2,287.4,122.3,102.2,181.8,211.8
VX,407.9,419.9,261.2,131.1,245.5,492.1,372.2,153.6,311.6,382.5,313.0,430.2,425.9,268.5,98.5,218.5,136.9,286.7,360.2,436.4,407.4,183.3,347.5,144.9,410.3,403.2,264.5,467.9,119.0,187.4,421.5,233.2,329.6,208.2,436.6,400.3,256.4,408.0,418.2,399.1,276.9,292.7,379.9,185.9,229.9,363.4,208.5,1400.0,224.9,433.9,168.3,426.0,370.8,340.9,323.4,101.5,186.2,295.7,136.3,350.5,174.8,282.6,360.0,197.7,362.2,169.8,182.6,211.9,368.6,404.2,495.5,225.6,501.4,443.6,157.8,236.5,244.1,382.1,47.6,309.0,428.2,67.7,84.8,378.9,47.9,251.4,0.0,385.2,153.1,372.9,123.9,130.5,344.4,401.5,397.1,163.8,422.3,314.3,303.1,234.4,355.6
WA,47.8,184.5,123.1,371.2,137.6,207.1,82.3,344.4,73.5,68.1,125.2,131.1,170.6,115.8,289.5,206.8,340.3,171.2,198.7,163.8,143.2,307.0,60.1,371.4,71.1,143.1,161.9,83.8,335.1,246.8,58.9,149.1,77.2,242.1,69.5,203.8,159.9,203.0,87.9,83.2,135.8,90.4,107.1,213.6,218.9,241.8,196.8,1334.8,162.0,169.7,247.3,86.8,56.4,101.2,115.4,373.5,264.2,148.9,320.0,34.4,200.9,151.4,96.0,177.9,123.0,257.1,296.7,170.3,32.6,101.9,174.7,260.2,194.4,136.6,217.7,186.9,182.8,213.0,409.6,148.9,44.1,320.3,445.3,157.7,353.9,175.9,397.0,0.0,277.7,128.3,466.1,346.3,147.7,16.2,233.7,313.0,165.0,97.0,108.7,322.0,150.0
WB,299.8,311.8,153.1,93.4,137.4,384.0,264.1,188.4,203.5,274.4,204.9,322.1,317.8,160.4,76.8,110.4,157.1,178.6,252.1,328.3,299.3,141.3,239.4,202.4,302.2,295.1,138.4,359.8,122.4,79.3,313.4,125.1,221.5,100.1,328.5,292.2,148.3,299.9,310.1,291.0,168.8,184.6,271.8,77.8,121.8,255.3,100.4,1291.9,116.8,325.8,60.2,317.9,262.7,232.8,215.3,96.8,96.7,169.6,149.8,242.4,66.7,181.9,251.9,89.6,254.1,43.7,129.2,103.8,260.5,296.1,387.4,117.5,393.3,335.5,49.7,128.4,118.0,274.0,159.0,200.9,320.1,107.6,193.6,270.8,144.5,143.3,177.2,277.1,0.0,264.8,217.3,68.5,236.3,293.4,289.0,35.2,314.2,206.2,195.0,140.9,247.5
WN,148.9,94.7,188.5,398.9,204.3,148.6,112.3,292.0,166.7,73.4,85.5,150.3,82.4,185.3,317.2,248.9,303.6,153.5,91.5,110.1,51.6,312.5,117.5,311.5,102.6,59.7,237.4,155.0,362.8,267.0,162.5,212.0,159.2,260.5,139.7,114.0,181.0,101.7,121.3,140.1,168.0,178.5,150.1,245.5,288.7,136.3,238.9,1249.5,228.8,78.1,266.8,93.6,84.9,54.5,95.9,402.3,284.4,224.4,337.5,138.8,228.6,227.4,140.7,205.6,101.2,302.1,316.9,222.3,109.6,95.7,160.9,277.9,215.0,117.3,245.4,236.4,258.3,105.8,399.8,139.4,169.2,348.0,465.5,50.5,384.9,251.4,424.7,129.9,305.4,0.0,489.2,374.0,19.3,146.2,129.3,340.7,81.6,143.9,140.7,342.2,38.1
WP,467.4,529.2,337.8,152.4,334.1,599.0,448.8,199.3,401.1,450.4,424.6,538.5,521.8,345.1,237.4,291.8,185.8,363.3,469.5,548.0,516.7,177.3,416.1,178.1,465.3,512.5,386.5,531.0,248.0,224.9,481.1,322.7,431.9,274.0,501.7,509.6,328.4,484.6,483.3,484.6,353.5,393.3,456.5,258.1,288.5,452.9,293.1,1489.5,299.2,545.5,294.5,488.7,440.0,450.2,432.7,150.4,220.4,368.5,167.8,408.4,264.3,362.8,436.6,274.3,451.7,291.8,231.5,288.5,455.0,483.5,550.3,267.1,610.7,552.9,296.7,308.1,338.5,467.9,90.6,385.6,491.3,192.9,112.9,488.2,169.8,344.5,138.8,419.5,248.0,482.2,0.0,179.4,453.7,435.8,506.4,185.1,521.0,390.9,392.6,293.2,464.9
XD,368.4,380.4,221.7,24.8,206.0,452.6,332.7,142.5,272.1,343.0,273.5,390.7,386.4,229.0,145.4,179.0,125.8,247.2,320.7,396.9,367.9,172.2,308.0,133.8,370.8,363.7,207.0,428.4,191.0,147.9,382.0,193.7,290.1,168.7,397.1,360.8,216.9,368.5,378.7,359.6,237.4,253.2,340.4,146.4,190.4,323.9,169.0,1360.5,185.4,394.4,128.8,386.5,331.3,301.4,283.9,28.2,165.3,238.2,125.2,311.0,135.3,250.5,320.5,158.2,322.7,112.3,171.5,172.4,329.1,364.7,456.0,186.1,461.9,404.1,118.3,197.0,186.6,342.6,90.4,269.5,388.7,176.2,125.0,339.4,156.6,211.9,108.6,345.7,68.5,333.4,148.7,0.0,304.9,362.0,357.6,33.2,382.8,274.8,263.6,209.5,316.1
XE,177.4,78.6,190.4,343.2,206.2,192.1,154.8,272.6,168.6,101.2,87.4,141.3,114.5,187.2,261.5,193.2,284.2,155.4,75.4,109.1,80.1,290.4,146.0,292.1,131.1,80.5,239.3,183.5,307.1,211.3,147.3,168.2,161.1,204.8,168.2,97.9,187.1,85.6,149.8,168.6,169.9,179.5,178.6,196.1,233.8,129.8,183.2,1278.0,177.3,106.6,211.1,122.1,113.4,35.1,36.7,345.5,228.7,226.3,281.9,167.3,172.9,229.3,142.6,149.9,121.3,234.7,261.2,170.8,170.8,145.8,134.5,222.2,195.6,144.8,189.7,204.5,260.2,89.7,376.3,141.3,126.8,292.3,417.0,34.4,329.2,253.3,369.0,158.4,249.7,28.4,432.8,318.3,0.0,174.7,130.2,285.0,77.8,145.8,142.6,296.4,40.0
YQ,31.5,199.7,138.3,386.4,152.8,190.8,97.5,359.6,88.7,82.0,141.2,105.9,208.3,131.0,304.7,222.0,355.5,186.4,213.9,147.5,172.4,320.9,88.5,386.6,100.3,158.3,177.1,67.5,350.3,262.0,42.6,164.3,104.3,257.3,53.2,219.0,175.1,218.2,71.6,66.9,151.0,105.6,122.3,236.1,234.1,257.0,218.2,1318.5,177.2,195.3,254.3,116.0,71.6,117.2,131.4,388.7,279.4,164.1,335.2,49.6,216.1,166.6,111.2,193.1,138.2,272.3,311.9,185.5,41.9,113.1,171.8,275.4,178.1,120.3,232.9,202.1,198.0,228.2,424.8,164.1,27.8,335.5,460.5,172.9,369.1,191.1,412.2,15.2,292.9,143.5,481.3,361.5,162.9,0.0,244.0,328.2,180.2,112.2,123.9,337.2,181.7
YV,249.0,45.1,204.1,406.2,225.1,148.0,164.4,354.6,178.2,171.1,97.0,212.0,96.1,196.8,324.5,256.2,366.2,173.2,74.7,171.8,170.7,336.3,188.6,374.1,220.0,107.9,248.9,251.4,370.1,274.3,262.6,230.1,170.7,267.8,228.8,25.5,199.4,43.7,210.4,240.2,179.5,190.0,196.8,252.8,296.8,84.4,246.2,1160.5,242.6,197.2,274.1,191.3,182.6,124.9,107.4,409.6,291.7,235.9,344.8,218.8,235.9,238.9,152.2,212.9,112.7,309.4,324.2,229.6,209.7,196.4,110.6,285.2,160.7,172.2,252.7,254.1,269.8,89.0,438.2,150.9,216.6,355.3,472.8,84.0,392.2,262.9,432.0,227.6,312.7,119.0,496.5,381.3,128.4,243.9,0.0,348.0,64.2,155.4,152.2,349.5,79.3
ZA,335.1,347.1,188.4,58.1,172.7,419.3,299.4,175.8,238.8,309.7,240.2,357.4,353.1,195.7,112.1,145.7,159.1,213.9,287.4,363.6,334.6,176.6,274.7,167.1,337.5,330.4,173.7,395.1,157.7,114.6,348.7,160.4,256.8,135.4,363.8,327.5,183.6,335.2,345.4,326.3,204.1,219.9,307.1,113.1,157.1,290.6,135.7,1327.2,152.1,361.1,95.5,353.2,298.0,268.1,250.6,61.5,132.0,204.9,158.5,277.7,102.0,217.2,287.2,124.9,289.4,79.0,164.5,139.1,295.8,331.4,422.7,152.8,428.6,370.8,85.0,163.7,153.3,309.3,123.7,236.2,355.4,142.9,158.3,306.1,179.8,178.6,141.9,312.4,35.2,300.1,192.9,33.2,271.6,328.7,324.3,0.0,349.5,241.5,230.3,176.2,282.8
ZB,182.3,19.4,238.4,413.7,259.4,129.0,145.7,343.1,212.5,106.8,131.3,160.3,36.6,231.1,332.0,263.7,354.7,207.5,107.2,112.2,103.0,323.9,150.9,362.6,165.5,55.1,283.2,187.1,377.6,281.8,195.9,264.4,168.0,275.3,161.5,38.7,237.9,80.2,143.1,173.5,213.8,224.3,183.5,273.9,340.7,113.3,259.9,1216.9,283.8,129.5,281.6,127.0,118.3,105.6,141.7,416.0,299.2,270.2,352.4,172.2,243.4,273.2,186.5,220.4,147.0,305.2,331.7,241.3,171.2,129.1,96.3,292.7,178.6,112.0,260.2,308.7,304.1,121.5,450.9,185.2,202.6,362.8,487.5,66.2,396.4,297.2,439.5,163.3,320.2,75.6,511.2,388.8,70.4,179.6,76.6,355.5,0.0,189.7,186.5,373.5,90.7
ZM,93.5,184.5,81.3,303.1,99.9,243.0,72.3,278.3,55.4,66.8,125.2,192.9,165.8,74.0,221.4,153.1,264.7,92.5,128.7,182.0,153.0,231.4,33.1,297.8,95.9,143.1,108.1,153.5,267.0,171.2,107.1,107.3,15.2,164.7,122.7,168.8,62.8,151.9,104.3,84.7,38.7,66.3,65.5,163.3,193.2,167.2,143.1,1332.9,126.2,175.9,171.0,111.6,56.4,101.2,115.4,305.4,188.6,95.1,244.4,63.7,132.8,110.0,60.1,109.8,69.1,192.9,221.1,130.7,91.2,99.9,200.3,182.1,264.1,200.7,149.6,145.6,129.0,143.0,334.0,70.2,113.8,252.2,369.7,157.7,289.1,122.1,328.9,98.4,209.6,128.3,390.5,278.2,147.7,114.7,165.6,244.9,165.0,0.0,29.4,256.3,140.6
