from_stop,AH,AI,AL,AO,AP,AX,BO,CB,CJ,CO,CP,CQ,CS,CZ,DD,DJ,DK,DO,DQ,ED,EF,EH,EN,ER,EV,FA,FC,FD,FI,GA,GD,GH,GL,GM,GU,GY,HA,HB,HD,HF,HH,HI,HT,HZ,IE,IJ,IY,IZ,JE,JT,JV,KD,KG,KJ,KK,KU,KZ,LD,MB,MG,MI,MJ,MK,MN,MP,MW,MX,MY,NG,NH,NJ,NP,NQ,NU,NW,NX,OC,OO,OP,OV,OX,PA,PJ,PL,PN,PO,PP,PS,PV,QA,QB,QI,QL,QM,QW,RG,RP,RY,SA,SD,SV,SX,SY,TM,TR,TU,TZ,UE,UI,UQ,UY,VA,VJ,VL,VS,WJ,WK,WO,WU,XD,XE,XF,XP,XV,YA,YE,YF,YH,YK,YM,YU,ZA,ZE,ZJ,ZK,ZN
IZ,640.0,180.0,856.6,328.7,669.1,208.2,573.6,673.2,175.7,479.1,408.7,740.9,640.3,582.5,239.0,515.9,273.6,439.7,555.7,67.3,661.1,282.0,534.1,493.7,267.6,643.2,230.5,591.4,311.0,633.1,448.7,494.7,592.7,531.9,671.3,314.0,377.7,654.3,32.0,679.0,571.3,586.3,2621.8,374.7,203.5,768.9,348.3,0.0,374.1,301.8,650.0,827.4,572.1,317.9,393.8,837.3,311.2,477.0,864.8,754.2,202.3,282.4,367.0,498.4,166.9,458.7,211.6,389.6,343.6,496.5,398.4,241.4,222.4,530.5,525.7,811.6,530.5,107.7,435.4,616.1,511.1,466.8,390.5,342.7,304.4,633.3,338.1,554.7,662.2,630.4,426.3,337.1,226.9,338.1,568.4,764.4,459.4,232.9,458.9,369.2,521.0,261.6,623.6,663.4,687.6,486.4,569.6,413.1,251.9,366.0,522.9,419.6,447.2,400.9,839.0,529.4,270.1,505.5,385.5,797.6,384.0,278.3,591.5,324.4,550.9,653.4,744.3,261.0,735.3,637.0,281.8,511.7,503.6,694.1,736.9,849.1
JE,661.0,176.5,877.6,494.8,690.1,148.8,594.6,526.6,214.7,435.5,447.7,594.3,493.7,435.9,355.7,369.3,294.6,478.7,576.7,425.0,514.5,418.7,387.5,347.1,404.3,496.6,327.2,506.5,374.5,711.2,405.1,660.8,568.9,698.0,737.8,167.4,398.7,507.7,325.0,700.0,592.3,607.3,2788.3,395.7,353.7,789.9,201.7,357.6,0.0,155.2,759.1,848.4,340.9,454.6,257.0,858.3,349.0,330.4,885.8,607.6,153.5,135.8,533.1,351.8,347.7,479.7,250.6,428.6,197.0,452.9,437.4,280.4,133.6,383.9,691.8,833.8,486.9,259.4,288.8,469.5,467.5,320.2,346.9,299.1,381.1,799.4,474.8,359.2,683.2,651.4,447.3,26.9,393.0,181.2,524.8,785.4,415.8,413.7,629.1,408.2,374.4,300.6,789.7,776.8,708.6,339.8,423.0,266.5,272.9,14.6,376.3,440.6,486.2,421.9,860.0,550.4,288.4,526.5,522.2,818.6,564.8,139.6,757.6,490.5,717.0,674.4,597.7,427.1,756.3,803.1,395.4,468.1,669.7,715.1,590.3,870.1
JT,606.9,122.4,823.5,339.5,636.0,94.7,540.5,371.3,160.6,280.2,393.6,439.0,338.4,280.6,200.4,214.0,240.5,424.6,522.6,335.1,359.2,263.4,232.2,191.8,249.0,341.3,171.9,351.2,320.4,555.9,249.8,505.5,413.6,542.7,582.5,48.5,344.6,352.4,270.9,645.9,538.2,553.2,2633.0,341.6,198.4,735.8,46.4,303.5,153.4,0.0,603.8,794.3,185.6,299.3,101.7,804.2,193.7,175.1,831.7,452.3,99.4,54.3,377.8,196.5,293.6,425.6,196.5,374.5,41.7,297.6,383.3,226.3,79.5,228.6,536.5,779.7,331.6,205.3,133.5,314.2,312.2,164.9,191.6,143.8,327.0,644.1,319.5,203.9,629.1,597.3,393.2,116.4,237.7,99.7,369.5,731.3,260.5,359.6,473.8,354.1,219.1,246.5,634.4,621.5,654.5,184.5,267.7,111.2,218.8,145.3,221.0,386.5,432.1,367.8,805.9,496.3,133.1,472.4,366.9,764.5,510.7,85.5,602.3,335.2,561.7,620.3,442.4,271.8,702.2,647.8,240.1,312.8,514.4,661.0,435.0,816.0
JV,993.7,751.1,1084.0,391.0,1022.8,726.2,935.7,805.4,746.8,480.8,925.1,586.6,658.5,714.7,451.7,648.1,844.7,843.5,984.4,558.0,539.4,515.3,666.3,625.9,480.3,684.6,443.2,785.3,787.9,199.1,461.8,184.1,459.2,108.6,21.2,680.0,875.0,786.5,672.6,1032.7,925.0,1015.0,2889.9,872.0,416.2,996.3,652.7,640.5,784.9,631.4,0.0,1054.8,619.7,530.6,520.8,1064.7,523.9,609.2,1092.2,886.4,730.9,685.8,252.9,630.6,600.7,970.4,782.7,829.4,589.4,441.7,914.8,812.5,711.0,662.7,215.1,1040.2,543.6,678.8,567.6,748.3,377.6,599.0,492.5,489.1,781.3,114.0,550.8,638.0,889.6,857.8,933.4,747.9,373.9,731.2,434.9,991.8,372.3,709.8,168.1,885.6,653.2,832.7,189.6,229.4,915.0,618.6,701.8,545.3,823.0,776.8,655.1,916.9,833.8,898.2,1066.4,855.3,482.8,896.6,598.2,1025.0,783.8,717.0,66.9,414.6,89.6,1007.1,785.7,383.2,962.7,13.5,491.4,375.6,193.0,921.5,869.1,1076.5
KD,407.9,678.6,114.6,757.6,437.0,706.8,349.9,769.8,692.3,908.0,767.4,995.9,895.3,606.2,667.9,788.9,681.3,685.8,398.6,658.7,916.1,710.9,789.1,748.7,696.5,898.2,659.4,613.3,530.8,1055.7,877.6,923.6,970.5,960.8,1100.2,812.6,510.3,750.9,773.3,446.9,339.2,429.2,2777.9,452.5,632.4,177.8,774.3,741.2,872.7,753.0,1078.9,0.0,594.0,746.8,746.0,95.3,740.1,712.7,90.0,850.8,700.9,781.0,795.9,681.3,701.4,415.2,728.2,671.7,711.0,925.4,757.1,758.0,721.0,672.1,954.6,70.8,959.4,717.0,646.9,712.7,940.0,615.3,819.4,771.6,537.4,1055.9,767.0,576.6,154.6,267.2,418.0,835.7,655.8,826.4,997.3,60.4,888.3,608.8,891.9,727.9,776.0,714.1,1046.2,1086.0,163.1,759.4,666.2,686.1,659.6,864.6,657.6,408.6,676.1,425.0,63.0,548.8,699.0,310.8,814.4,55.6,884.5,776.9,1020.4,753.3,979.8,421.3,999.3,689.9,137.0,1065.9,707.6,940.6,932.5,162.4,833.5,74.3
KG,535.3,281.4,625.6,370.8,564.4,253.7,477.3,334.8,319.6,273.5,378.6,401.8,301.2,171.2,231.7,194.8,399.5,297.0,526.0,366.4,322.0,294.7,195.0,154.6,280.3,304.1,203.2,178.3,479.4,549.2,243.1,536.8,376.4,574.0,575.8,207.5,503.6,315.9,429.9,574.3,466.6,556.6,2475.4,500.6,229.7,537.9,180.2,448.9,312.4,158.9,597.1,596.4,0.0,330.6,151.9,606.3,225.0,127.5,633.8,415.8,258.4,213.3,409.1,122.4,409.1,542.6,355.5,282.9,116.9,290.9,368.3,385.3,238.5,154.5,567.8,581.8,324.9,364.3,52.8,277.7,305.5,21.2,184.9,137.1,486.0,614.7,317.1,18.2,431.2,399.4,552.2,275.4,269.0,258.7,362.8,533.4,253.8,518.2,505.1,339.1,181.9,325.3,593.0,614.8,456.6,165.3,231.2,92.0,377.8,304.3,146.9,545.5,287.3,526.8,608.0,655.3,164.4,438.2,398.2,566.6,592.2,244.5,633.6,366.5,593.0,548.7,405.2,303.1,504.3,610.7,271.4,306.1,545.7,463.1,398.5,618.1
KJ,662.3,428.1,752.6,265.0,691.4,400.4,604.3,528.4,449.4,230.9,593.7,471.9,495.5,437.7,111.9,371.1,546.2,512.1,648.8,260.6,424.7,202.7,389.3,348.9,50.2,498.4,117.4,508.3,490.5,506.6,200.5,431.0,344.5,468.2,533.2,354.2,577.6,509.5,375.2,701.3,593.6,683.6,2558.5,574.6,123.9,664.9,326.9,343.1,459.1,305.6,554.5,723.4,342.7,0.0,200.9,733.3,198.1,332.2,760.8,609.4,405.1,360.0,303.3,353.6,303.3,658.6,485.3,498.0,263.6,248.3,583.4,515.1,385.2,385.7,462.0,707.6,282.3,381.4,290.6,471.3,262.9,322.0,218.4,229.6,483.9,572.1,20.1,361.0,558.2,526.4,626.2,418.4,163.2,405.4,320.2,660.4,211.2,412.4,395.2,554.2,376.2,535.3,550.4,572.2,583.6,341.6,424.8,268.3,524.5,451.0,378.1,619.5,502.4,600.8,735.0,687.2,157.0,565.2,164.6,693.6,486.4,391.2,527.8,260.7,487.2,675.7,599.5,197.3,631.3,568.1,154.7,263.5,439.9,590.1,592.1,745.1
KK,635.0,233.0,725.3,237.7,664.1,205.3,577.0,360.8,264.3,209.8,504.2,428.5,327.9,270.1,98.6,203.5,351.1,484.8,629.0,233.3,348.7,161.6,221.7,181.3,147.2,330.8,70.1,340.7,431.0,485.5,179.4,403.7,323.4,440.9,512.1,159.1,455.2,341.9,347.9,674.0,566.3,663.8,2531.2,452.2,96.6,639.6,131.8,315.8,264.0,110.5,559.0,696.1,175.1,197.5,0.0,706.0,91.9,164.6,733.5,441.8,210.0,164.9,276.0,186.0,276.0,536.2,307.1,470.7,68.5,227.2,493.9,336.9,190.1,218.1,434.7,680.3,261.2,315.9,123.0,303.7,241.8,154.4,121.2,73.4,456.6,542.3,217.7,189.3,530.9,499.1,503.8,223.3,135.9,220.6,299.1,633.1,190.1,385.1,376.7,466.5,208.6,357.1,541.4,572.4,556.3,174.0,257.2,100.7,329.4,255.9,203.6,497.1,475.1,478.4,707.7,606.9,31.3,537.9,265.1,666.3,459.1,196.1,500.5,233.4,459.9,648.4,431.9,170.0,612.8,546.0,141.4,242.4,412.6,562.8,424.5,717.8
KU,440.4,711.1,19.2,790.1,469.5,739.3,382.4,802.3,724.8,940.5,799.9,1028.4,927.8,638.7,700.4,821.4,713.8,718.3,431.1,691.2,948.6,743.4,821.6,781.2,729.0,930.7,691.9,645.8,563.3,1088.2,910.1,956.1,1003.0,993.3,1132.7,845.1,542.8,783.4,805.8,479.4,371.7,461.7,2810.4,485.0,664.9,210.3,806.8,773.7,905.2,785.5,1111.4,97.9,626.5,779.3,778.5,0.0,772.6,745.2,59.6,883.3,733.4,813.5,828.4,713.8,733.9,447.7,760.7,704.2,743.5,957.9,789.6,790.5,753.5,704.6,987.1,34.4,991.9,749.5,679.4,745.2,972.5,647.8,851.9,804.1,569.9,1088.4,799.5,609.1,187.1,299.7,450.5,868.2,688.3,858.9,1029.8,92.9,920.8,641.3,924.4,760.4,808.5,746.6,1078.7,1118.5,195.6,791.9,698.7,718.6,692.1,897.1,690.1,441.1,708.6,457.5,109.5,581.3,731.5,343.3,846.9,49.6,917.0,809.4,1052.9,785.8,1012.3,453.8,1031.8,722.4,169.5,1098.4,740.1,973.1,965.0,194.9,866.0,43.9
KZ,638.1,429.5,728.4,240.8,667.2,317.3,580.1,445.3,425.2,282.9,569.5,513.0,412.4,354.6,101.7,288.0,523.1,487.9,628.8,236.4,433.2,69.6,306.2,265.8,150.3,415.3,73.2,415.4,466.3,545.2,252.5,406.8,396.5,444.0,583.4,271.1,553.4,426.4,351.0,677.1,569.4,659.4,2534.3,550.4,99.7,640.7,243.8,318.9,376.0,222.5,562.1,699.2,259.6,200.6,111.9,709.1,0.0,249.1,736.6,526.3,322.0,276.9,279.1,270.5,279.1,634.4,461.1,473.8,180.5,300.3,559.2,490.9,302.1,302.6,437.8,684.6,334.3,357.2,207.5,388.2,314.9,238.9,194.3,146.5,459.7,545.4,220.8,277.9,534.0,502.2,602.0,339.0,139.0,322.3,372.2,636.2,263.2,388.2,375.1,530.0,293.1,511.1,535.7,575.5,559.4,258.5,341.7,185.2,501.4,367.9,295.0,595.3,478.2,576.6,710.8,663.0,73.9,541.0,268.2,669.4,462.2,308.1,503.6,236.5,463.0,651.5,516.4,173.1,607.1,549.1,141.4,315.5,415.7,565.9,509.0,720.9
LD,636.3,283.6,726.6,373.0,665.4,255.9,578.3,196.1,321.8,275.7,479.6,422.0,321.4,105.4,233.9,159.5,401.7,398.0,683.8,368.6,342.2,296.9,215.2,174.8,282.5,324.3,205.4,176.0,481.6,551.4,245.3,539.0,396.6,576.2,578.0,209.7,505.8,177.2,432.1,675.3,567.6,714.4,2576.4,502.8,231.9,638.9,182.4,451.1,314.6,161.1,599.3,697.4,143.0,332.8,154.1,707.3,227.2,0.0,734.8,277.1,260.6,215.5,411.3,21.3,411.3,586.8,357.7,383.9,119.1,293.1,469.3,387.5,240.7,53.4,570.0,682.8,327.1,366.5,96.5,139.0,307.7,122.3,187.1,139.3,488.2,616.9,319.3,161.3,532.2,500.4,554.4,277.6,271.2,260.9,365.0,634.4,256.0,520.4,507.3,440.1,202.1,407.7,595.2,617.0,557.6,130.0,92.5,65.5,380.0,306.5,45.8,547.7,388.3,529.0,709.0,657.5,166.6,539.2,400.4,667.6,594.4,246.7,635.8,368.7,595.2,649.7,425.4,305.3,605.3,612.9,273.6,308.3,547.9,564.1,259.8,719.1
MB,457.9,728.6,88.9,807.6,487.0,756.8,399.9,819.8,742.3,958.0,817.4,1045.9,945.3,656.2,717.9,838.9,731.3,735.8,448.6,708.7,966.1,760.9,839.1,798.7,746.5,948.2,709.4,663.3,580.8,1105.7,927.6,973.6,1020.5,1010.8,1150.2,862.6,560.3,800.9,823.3,496.9,389.2,479.2,2827.9,502.5,682.4,227.8,824.3,791.2,922.7,803.0,1128.9,82.6,644.0,796.8,796.0,69.6,790.1,762.7,0.0,900.8,750.9,831.0,845.9,731.3,751.4,465.2,778.2,721.7,761.0,975.4,807.1,808.0,771.0,722.1,1004.6,75.4,1009.4,767.0,696.9,762.7,990.0,665.3,869.4,821.6,587.4,1105.9,817.0,626.6,204.6,317.2,468.0,885.7,705.8,876.4,1047.3,110.4,938.3,658.8,941.9,777.9,826.0,764.1,1096.2,1136.0,213.1,809.4,716.2,736.1,709.6,914.6,707.6,458.6,726.1,475.0,113.0,598.8,749.0,360.8,864.4,90.6,934.5,826.9,1070.4,803.3,1029.8,471.3,1049.3,739.9,187.0,1115.9,757.6,990.6,982.5,212.4,883.5,15.7
MG,747.0,553.4,837.3,642.8,776.1,525.7,689.0,172.7,591.6,545.5,590.3,691.8,591.2,216.1,503.7,481.5,671.5,508.7,737.7,638.4,612.0,566.7,485.0,444.6,552.3,594.1,475.2,286.7,751.4,821.2,515.1,808.8,666.4,846.0,847.8,479.5,775.6,153.8,701.9,786.0,678.3,768.3,2687.1,772.6,501.7,749.6,452.2,720.9,584.4,430.9,869.1,808.1,366.3,602.6,423.9,818.0,497.0,269.7,845.5,0.0,530.4,485.3,681.1,238.3,681.1,754.3,587.0,494.6,388.9,562.9,580.0,657.3,510.5,229.1,839.8,793.5,596.9,636.3,366.3,187.3,577.5,345.6,456.9,409.1,758.0,886.7,589.1,384.6,642.9,611.1,757.1,547.4,541.0,530.7,634.8,745.1,525.8,790.2,777.1,550.8,471.9,537.0,865.0,886.8,668.3,452.0,167.9,335.3,649.8,576.3,214.6,747.7,499.0,798.8,819.7,927.3,436.4,649.9,670.2,778.3,864.2,516.5,905.6,638.5,865.0,760.4,695.2,575.1,716.0,882.7,543.4,578.1,817.7,674.8,187.4,829.8
MI,506.4,21.9,723.0,438.0,535.5,4.8,440.0,469.8,60.1,378.7,293.1,537.5,436.9,379.1,298.9,312.5,140.0,324.1,422.1,270.4,457.7,361.9,330.7,290.3,347.5,439.8,270.4,449.7,219.9,654.4,348.3,604.0,512.1,641.2,681.0,110.6,244.1,450.9,170.4,545.4,437.7,452.7,2731.5,241.1,296.9,635.3,144.9,203.0,170.7,98.4,702.3,693.8,284.1,397.8,200.2,703.7,292.2,273.6,731.2,550.8,0.0,79.0,476.3,295.0,193.1,325.1,96.0,274.0,140.2,396.1,282.8,125.8,19.0,327.1,635.0,679.2,430.1,104.8,232.0,412.7,410.7,263.4,290.1,242.3,226.5,742.6,418.0,302.4,528.6,496.8,292.7,133.7,336.2,124.4,468.0,630.8,359.0,259.1,572.3,253.6,317.6,146.0,732.9,720.0,554.0,283.0,366.2,209.7,118.3,162.6,319.5,286.0,331.6,267.3,705.4,395.8,231.6,371.9,465.4,664.0,410.2,74.9,700.8,433.7,660.2,519.8,540.9,370.3,601.7,746.3,338.6,411.3,612.9,560.5,533.5,715.5
MJ,598.0,113.5,814.6,384.4,627.1,85.8,531.6,416.2,151.7,325.1,384.7,483.9,383.3,325.5,245.3,258.9,231.6,415.7,513.7,380.0,404.1,308.3,277.1,236.7,293.9,386.2,216.8,396.1,311.5,600.8,294.7,550.4,458.5,587.6,627.4,57.0,335.7,397.3,262.0,637.0,529.3,544.3,2677.9,332.7,243.3,726.9,91.3,294.6,144.5,44.8,648.7,785.4,230.5,344.2,146.6,795.3,238.6,220.0,822.8,497.2,90.5,0.0,422.7,241.4,284.7,416.7,187.6,365.6,86.6,342.5,374.4,217.4,70.6,273.5,581.4,770.8,376.5,196.4,178.4,359.1,357.1,209.8,236.5,188.7,318.1,689.0,364.4,248.8,620.2,588.4,384.3,107.5,282.6,45.3,414.4,722.4,305.4,350.7,518.7,345.2,264.0,237.6,679.3,666.4,645.6,229.4,312.6,156.1,209.9,136.4,265.9,377.6,423.2,358.9,797.0,487.4,178.0,463.5,411.8,755.6,501.8,76.6,647.2,380.1,606.6,611.4,487.3,316.7,693.3,692.7,285.0,357.7,559.3,652.1,479.9,807.1
MK,764.2,498.1,854.5,138.0,793.3,473.2,706.2,601.2,493.8,438.8,695.6,668.9,568.3,510.5,198.7,443.9,591.7,614.0,754.9,305.0,589.1,262.3,462.1,421.7,227.3,571.2,190.2,581.1,534.9,266.0,408.4,127.6,552.4,164.8,304.2,427.0,622.0,582.3,419.6,803.2,695.5,785.5,2660.4,619.0,163.2,766.8,399.7,387.5,531.9,378.4,282.9,825.3,415.5,277.6,267.8,835.2,270.9,405.0,862.7,682.2,477.9,432.8,0.0,426.4,347.7,703.0,529.7,599.9,336.4,456.2,685.3,559.5,458.0,458.5,158.6,810.7,490.2,425.8,363.4,544.1,470.8,394.8,350.2,302.4,528.3,266.2,297.8,433.8,660.1,628.3,670.6,494.9,120.9,478.2,528.1,762.3,419.1,456.8,95.9,656.1,449.0,579.7,256.5,296.3,685.5,414.4,497.6,341.1,570.0,523.8,450.9,663.9,604.3,645.2,836.9,731.6,229.8,667.1,345.2,795.5,530.8,464.0,224.4,161.6,183.8,777.6,672.3,130.2,733.2,269.9,238.4,471.4,136.5,692.0,664.9,847.0
MN,614.9,315.0,705.2,404.4,644.0,287.3,556.9,174.7,353.2,307.1,458.2,453.4,352.8,84.0,265.3,243.1,433.1,376.6,605.6,400.0,373.6,328.3,246.6,206.2,313.9,355.7,236.8,154.6,513.0,582.8,276.7,570.4,428.0,607.6,609.4,241.1,537.2,155.8,463.5,653.9,546.2,636.2,2555.0,534.2,263.3,617.5,213.8,482.5,346.0,192.5,630.7,676.0,127.9,364.2,185.5,685.9,258.6,31.3,713.4,255.7,292.0,246.9,442.7,0.0,442.7,618.2,389.1,362.5,150.5,324.5,447.9,418.9,272.1,32.0,601.4,661.4,358.5,397.9,127.9,117.6,339.1,107.2,218.5,170.7,519.6,648.3,350.7,146.2,510.8,479.0,585.8,309.0,302.6,292.3,396.4,613.0,287.4,551.8,538.7,418.7,233.5,404.9,626.6,648.4,536.2,213.6,71.1,96.9,411.4,337.9,24.4,579.1,366.9,560.4,687.6,688.9,198.0,517.8,431.8,646.2,625.8,278.1,667.2,400.1,626.6,628.3,456.8,336.7,583.9,644.3,305.0,339.7,579.3,542.7,238.4,697.7
MP,536.5,150.3,753.1,321.6,565.6,178.5,470.1,643.5,146.0,472.0,379.0,711.2,610.6,552.8,231.9,486.2,243.9,410.0,452.2,193.0,631.4,274.9,504.4,464.0,260.5,613.5,223.4,561.7,187.1,626.0,441.6,487.6,585.6,524.8,664.2,284.3,274.2,624.6,93.0,575.5,467.8,482.8,2614.7,271.2,196.4,665.4,318.6,125.6,344.4,272.1,642.9,723.9,542.4,310.8,373.9,733.8,304.1,447.3,761.3,724.5,172.6,252.7,359.9,468.7,0.0,355.2,181.9,359.9,313.9,489.4,368.7,211.7,192.7,500.8,518.6,709.3,523.4,78.0,405.7,586.4,504.0,437.1,383.4,335.6,180.5,626.2,331.0,525.0,558.7,526.9,322.8,307.4,219.8,298.1,561.3,660.9,452.3,109.0,455.9,339.5,491.3,231.9,616.5,656.3,584.1,456.7,539.9,383.4,222.2,336.3,493.2,316.1,417.5,297.4,735.5,425.9,263.0,402.0,378.4,694.1,217.0,248.6,584.4,317.3,543.8,549.9,714.6,253.9,631.8,629.9,271.6,504.6,496.5,590.6,707.2,745.6
MW,248.3,306.5,464.9,668.8,277.4,334.7,181.9,799.7,320.2,708.6,553.2,867.4,766.8,544.7,579.1,642.4,309.2,584.2,164.0,510.5,787.6,691.8,660.6,620.2,607.7,769.7,600.3,551.8,158.7,973.2,678.2,834.8,842.0,872.0,1010.9,440.5,138.2,780.8,410.5,287.3,179.6,194.6,2716.4,84.3,543.6,377.2,474.8,443.1,500.6,428.3,990.1,435.7,532.5,658.0,530.1,445.6,622.1,603.5,473.1,880.7,328.8,408.9,707.1,624.9,347.1,0.0,356.1,534.1,470.1,726.0,542.9,385.9,348.9,657.0,865.8,421.1,760.0,344.9,561.9,742.6,740.6,553.8,620.0,572.2,165.3,973.4,678.2,515.1,270.5,238.7,27.8,463.6,567.0,454.3,797.9,372.7,688.9,236.7,803.1,513.7,647.5,406.1,963.7,1003.5,295.9,612.9,696.1,539.6,287.5,492.5,649.4,40.4,591.7,56.8,447.3,158.6,561.5,113.8,725.6,405.9,564.2,404.8,931.6,664.5,891.0,261.7,870.8,601.1,343.6,977.1,618.8,741.2,843.7,302.4,863.4,457.4
MX,522.1,82.1,738.7,543.5,551.2,110.3,455.7,536.2,34.9,484.2,197.0,643.0,542.4,372.6,404.4,418.0,155.7,228.0,437.8,268.1,563.2,467.4,436.2,395.8,451.4,545.3,375.9,379.7,235.6,759.9,453.8,709.5,617.6,746.7,786.5,216.1,259.8,517.3,168.1,561.1,453.4,468.4,2608.9,256.8,402.4,651.0,250.4,200.7,276.2,203.9,807.8,709.5,360.4,501.7,305.7,719.4,397.7,379.1,746.9,617.2,104.4,184.5,581.8,400.5,190.8,340.8,0.0,177.9,245.7,501.6,186.7,51.8,124.5,438.5,740.5,694.9,535.6,102.5,413.3,479.1,516.2,381.7,395.6,347.8,242.2,848.1,521.9,343.0,544.3,512.5,308.4,239.2,441.7,229.9,573.5,646.5,464.5,256.8,677.8,157.5,423.1,49.9,838.4,825.5,569.7,388.5,432.6,315.2,134.0,268.1,424.0,301.7,235.5,283.0,721.1,411.5,337.1,387.6,569.3,679.7,407.9,180.4,806.3,539.2,765.7,535.5,646.4,475.8,617.4,851.8,444.1,516.8,718.4,576.2,599.9,731.2
MY,590.6,298.2,680.9,653.1,619.7,326.4,532.6,458.0,251.0,555.8,219.3,684.1,583.5,294.4,514.0,477.1,371.8,149.8,653.9,484.2,604.3,577.0,477.3,436.9,562.6,586.4,485.5,301.5,451.7,831.5,525.4,819.1,658.7,856.3,858.1,432.2,475.9,439.1,384.2,629.6,521.9,684.5,2530.7,472.9,512.0,593.2,462.5,416.8,492.3,441.2,879.4,651.7,282.2,612.9,434.2,661.6,507.3,400.9,689.1,539.0,320.5,400.6,691.4,369.5,406.9,556.9,216.0,0.0,399.2,573.2,209.0,267.9,340.6,360.3,850.1,637.1,607.2,318.6,335.1,400.9,587.8,303.5,467.2,419.4,458.3,897.0,599.4,264.8,486.5,454.7,524.5,455.3,551.3,446.0,645.1,588.7,536.1,472.9,787.4,179.8,464.2,166.0,875.3,897.1,511.9,447.6,354.4,374.3,350.1,484.2,345.8,517.8,157.3,499.1,663.3,627.6,446.7,493.5,680.5,621.9,624.0,396.5,915.9,648.8,875.3,604.0,687.5,585.4,559.6,893.0,553.7,588.4,828.0,518.4,521.7,673.4
NG,648.9,164.4,785.3,297.7,678.0,136.7,582.5,329.5,202.6,238.4,435.6,397.2,296.6,238.8,158.6,172.2,282.5,466.6,560.4,293.3,317.4,221.6,190.4,150.0,207.2,299.5,130.1,309.4,362.4,514.1,208.0,463.7,371.8,500.9,540.7,90.5,386.6,310.6,312.9,687.9,580.2,595.2,2591.2,383.6,156.6,697.6,63.2,345.5,195.4,41.9,562.0,756.1,143.8,257.5,50.1,766.0,151.9,133.3,793.5,410.5,141.4,96.3,336.0,154.7,336.0,467.6,238.5,416.5,0.0,255.8,425.3,268.3,121.5,186.8,494.7,740.3,289.8,247.3,91.7,272.4,270.4,123.1,149.8,102.0,369.0,602.3,277.7,162.1,590.9,559.1,435.2,154.7,195.9,152.0,327.7,693.1,218.7,401.6,427.9,396.1,177.3,288.5,592.6,579.7,616.3,142.7,225.9,69.4,260.8,187.3,179.2,428.5,474.1,409.8,767.7,538.3,91.3,514.4,325.1,726.3,519.1,127.5,560.5,293.4,519.9,662.3,400.6,230.0,664.0,606.0,153.8,271.0,472.6,622.8,393.2,777.8
NH,815.6,400.2,905.9,418.3,844.7,372.5,757.6,463.4,438.4,138.8,656.4,343.3,430.5,372.7,279.2,306.1,518.3,574.8,800.4,413.9,296.1,342.2,324.3,283.9,327.8,433.4,250.7,443.3,643.8,378.0,119.8,584.3,215.9,527.9,404.6,326.3,622.4,444.5,528.5,854.6,746.9,831.0,2711.8,619.4,277.2,818.2,299.0,496.4,431.2,277.7,425.9,876.7,277.7,378.1,199.4,886.6,272.5,267.2,914.1,544.4,377.2,332.1,456.6,288.6,456.6,703.4,474.3,560.7,235.7,0.0,646.1,504.1,357.3,320.7,615.3,862.1,201.6,534.7,225.6,406.3,134.3,257.0,150.5,147.1,637.2,443.5,274.2,296.0,711.5,679.7,671.0,394.2,316.5,377.5,191.6,813.7,82.6,565.7,552.6,616.9,311.2,524.3,421.8,443.6,736.9,276.6,359.8,203.3,496.6,423.1,313.1,664.3,565.1,645.6,888.3,774.1,211.9,718.5,445.7,846.9,639.7,363.3,488.3,414.0,515.6,829.0,534.5,350.6,784.6,439.5,318.9,134.9,593.2,743.4,527.1,898.4
NJ,691.4,251.4,754.6,712.8,720.5,279.6,625.0,531.7,204.2,629.5,10.3,757.8,657.2,368.1,573.7,550.8,325.0,223.5,602.9,437.4,678.0,636.7,551.0,510.6,620.7,660.1,545.2,375.2,404.9,905.2,599.1,878.8,732.4,916.0,931.8,385.4,429.1,512.8,337.4,730.4,622.7,637.7,2604.4,426.1,571.7,666.9,419.7,370.0,445.5,373.2,953.1,725.4,355.9,671.0,465.2,735.3,567.0,474.6,762.8,612.7,273.7,353.8,751.1,443.2,360.1,510.1,169.2,173.4,415.0,646.9,0.0,221.1,293.8,434.0,909.8,709.6,680.9,271.8,408.8,474.6,661.5,377.2,540.9,493.1,411.5,970.7,673.1,338.5,560.2,528.4,477.7,408.5,611.0,409.5,718.8,662.4,609.8,426.1,843.0,29.8,537.9,119.2,949.0,970.8,585.6,521.3,428.1,448.0,303.3,437.4,419.5,471.0,231.0,452.3,737.0,580.8,506.4,556.9,738.6,695.6,577.2,349.7,975.6,708.5,935.0,704.8,761.2,645.1,633.3,966.7,568.9,662.1,887.7,592.1,595.4,747.1
