from_stop,AG,AH,AI,AL,AR,AT,AY,BA,BF,BH,BK,BO,BS,BX,BY,CG,CJ,CK,CM,CN,CQ,CU,CX,DH,EA,FU,FV,GD,GG,GK,GO,GP,GS,HE,HF,HI,HJ,HM,HS,HW,HZ,IM,IU,IV,IY,IZ,JA,JP,JR,JZ,KM,KN,KR,KY,LA,LD,LE,LR,LZ,MD,MF,MI,ML,MM,MN,MO,MR,MW,NC,NF,NI,NK,NL,NO,NP,NW,OF,OK,OS,OT,OU,OV,OY,PA,PC,PD,PG,PP,PQ,QC,QF,QI,QL,QR,QS,QX,RE,RO,RP,RS,RW,SH,SJ,TE,TF,TL,TM,TT,UI,UM,UU,UV,UW,VB,VC,VD,VE,VI,VN,WC,WD,WJ,WQ,XM,XR,XS,YF,YJ,YN,YR,YW,ZF,ZG,ZK,ZL,ZY
JP,188.6,371.1,577.7,280.4,507.0,412.3,661.6,697.6,285.4,269.6,674.4,561.4,623.6,296.0,202.5,619.8,566.9,240.7,635.7,712.8,9.3,705.8,590.9,729.6,368.8,675.5,328.8,693.1,722.2,407.2,671.5,398.9,211.5,427.2,342.3,383.6,628.0,601.7,714.3,624.8,16.5,266.8,577.1,547.9,264.8,2259.7,329.3,0.0,302.5,555.3,615.2,291.5,301.6,326.6,620.0,634.2,619.2,677.4,490.5,602.1,679.5,584.8,687.9,264.5,615.9,568.9,705.6,615.5,559.7,448.9,646.9,652.8,465.0,100.7,609.2,310.4,616.9,371.5,404.0,105.7,544.0,649.9,576.2,608.1,639.8,323.4,633.9,402.9,573.9,430.4,363.2,553.0,586.3,506.9,519.8,510.0,672.3,656.2,667.1,608.8,613.3,413.8,705.0,665.3,399.7,629.2,559.5,445.5,515.5,360.3,719.1,656.7,241.3,416.2,316.1,508.0,279.6,540.2,303.7,581.4,334.6,269.5,362.6,734.0,680.2,735.6,461.2,1175.3,649.8,688.4,381.6,321.3,433.4,416.7,503.2,662.3
JR,91.4,510.3,354.5,143.4,646.2,109.7,800.8,474.4,424.6,55.7,813.6,384.3,446.5,82.1,184.5,442.7,343.7,103.7,493.4,535.7,273.5,585.9,367.7,506.4,407.9,498.4,326.9,498.4,545.1,546.4,494.4,268.1,264.3,566.4,312.5,522.8,404.8,424.6,491.1,401.6,255.6,406.0,353.9,370.8,87.7,2398.9,198.5,272.2,0.0,378.2,392.0,8.5,124.5,24.0,759.2,411.0,396.0,454.2,313.4,378.9,456.3,361.6,464.7,127.5,438.8,345.7,844.8,392.3,336.5,440.8,423.7,429.6,162.4,239.9,386.0,133.3,439.8,68.9,101.4,176.1,366.9,440.1,353.0,384.9,462.7,146.3,410.7,100.3,478.1,569.6,60.6,692.2,363.1,329.8,342.7,332.9,495.2,479.1,443.9,385.6,390.1,553.0,481.8,804.5,538.9,452.1,382.4,484.6,338.4,183.2,542.0,795.9,380.5,555.4,102.2,330.9,19.7,679.4,89.8,358.2,32.0,308.6,60.0,873.2,504.1,512.4,600.4,1314.5,426.6,511.3,79.0,98.1,572.6,114.1,326.1,801.5
JZ,347.3,766.2,636.5,399.3,902.1,471.1,1056.7,579.7,680.5,328.4,1069.5,329.0,391.2,354.8,441.3,387.4,510.4,359.6,694.5,480.4,529.4,841.8,649.7,570.9,663.8,443.1,582.8,751.9,489.8,802.3,439.1,524.0,520.2,822.3,568.4,778.7,587.7,369.3,439.4,524.8,511.5,661.9,635.9,58.4,273.2,2654.8,454.4,528.1,361.3,0.0,674.0,350.3,236.8,385.4,1015.1,693.0,678.0,736.2,137.7,660.9,503.9,557.4,617.9,383.4,383.5,627.7,1100.7,674.3,518.0,696.7,517.3,563.3,523.8,495.8,539.7,278.5,384.5,430.3,462.8,432.0,128.2,417.5,635.0,666.9,407.4,215.0,590.0,461.7,734.0,825.5,422.0,948.1,494.0,101.1,126.9,108.1,439.9,423.8,491.5,667.6,601.2,808.9,608.2,1060.4,794.8,396.8,92.0,740.5,114.4,314.1,486.7,1051.8,636.4,811.3,374.9,92.2,338.4,935.3,362.5,640.2,389.7,564.5,421.4,1129.1,447.8,578.1,856.3,1570.4,589.0,456.0,440.4,380.1,828.5,475.5,132.9,1057.4
KM,430.1,936.1,145.6,482.1,1072.0,482.0,1226.6,207.2,850.4,360.2,1239.4,315.0,372.3,385.9,524.1,373.4,79.2,442.4,225.5,466.4,612.2,924.6,49.9,237.4,746.6,429.1,665.6,303.4,475.8,972.2,405.5,606.8,603.0,992.2,651.2,948.6,11.7,355.3,226.6,137.1,594.3,831.8,27.5,560.0,543.4,2738.2,537.2,610.9,396.1,567.4,0.0,396.3,507.0,396.3,1185.0,228.3,219.9,192.3,502.6,127.6,191.8,79.1,197.5,466.2,320.7,127.0,1270.6,216.2,72.0,779.5,159.2,159.4,534.7,578.6,70.2,548.7,304.0,386.3,473.7,514.8,556.1,175.6,55.2,145.1,332.6,485.2,111.7,472.6,816.8,995.4,432.9,1118.0,98.6,519.0,531.9,522.1,425.9,409.8,179.4,6.1,122.9,978.8,204.3,1230.3,964.7,316.3,571.6,823.3,527.6,584.3,472.7,1221.7,806.3,981.2,389.4,520.1,384.4,1105.2,393.6,182.1,358.6,647.3,432.3,1299.0,414.2,245.2,1026.2,1491.9,110.7,442.0,392.0,304.7,998.4,486.4,515.3,1227.3
KN,82.9,501.8,355.3,134.9,637.7,120.7,792.0,475.2,416.1,47.2,805.1,375.8,438.0,73.6,176.0,434.2,344.5,95.2,501.8,527.2,265.0,577.5,368.5,507.2,399.4,489.9,326.9,509.4,536.6,537.9,485.9,259.6,255.8,557.9,304.0,514.3,405.6,416.1,491.9,402.4,247.1,397.5,354.7,362.3,79.2,2390.4,190.0,265.7,8.4,369.7,392.8,0.0,116.0,32.4,750.7,411.8,396.8,455.0,304.9,379.7,457.1,427.8,465.5,121.0,430.3,346.5,836.3,393.1,337.3,432.3,424.5,430.4,173.4,233.4,386.8,124.8,431.3,79.9,112.4,167.6,358.4,440.9,353.8,385.7,454.2,137.8,411.5,111.3,469.6,561.1,69.0,683.7,363.9,321.3,334.2,324.4,486.7,470.6,444.7,386.4,390.9,544.5,482.6,796.0,530.4,443.6,373.9,476.1,329.9,174.7,533.5,787.4,372.0,546.9,93.7,322.4,11.2,670.9,81.3,359.0,40.4,300.1,68.4,864.7,495.6,513.2,591.9,1306.0,427.4,504.8,90.0,95.6,564.1,122.5,317.6,793.0
KR,110.4,529.3,399.6,162.4,665.2,234.2,819.5,519.5,443.6,91.5,832.6,259.7,321.9,117.9,203.5,318.1,388.8,122.7,457.6,411.1,292.5,604.9,412.8,551.5,426.9,373.8,345.9,515.0,420.5,565.4,369.8,287.1,283.3,585.4,331.5,541.8,449.9,300.0,370.1,446.7,274.6,425.0,399.0,246.2,36.3,2417.9,217.5,291.2,124.4,253.6,437.1,113.4,0.0,148.5,778.2,456.1,441.1,499.3,188.8,424.0,434.6,472.1,509.8,146.5,314.2,390.8,863.8,437.4,381.6,459.8,468.8,474.7,286.9,258.9,431.1,49.8,315.2,193.4,225.9,195.1,242.3,348.2,398.1,430.0,338.1,21.7,455.8,224.8,497.1,588.6,185.1,711.2,408.2,205.2,218.1,208.3,370.6,354.5,422.2,430.7,435.2,572.0,526.9,823.5,557.9,327.5,257.8,503.6,213.8,99.7,417.4,814.9,399.5,574.4,138.0,206.3,101.5,698.4,125.6,403.3,156.5,327.6,184.5,892.2,378.5,557.5,619.4,1333.5,471.7,386.7,203.5,139.9,591.6,238.6,201.5,820.5
KY,114.6,533.5,373.8,166.6,669.4,85.6,824.0,493.7,447.8,78.9,836.8,407.5,469.7,105.3,208.6,465.9,363.0,126.9,469.3,558.9,296.7,609.1,387.0,525.7,431.1,521.6,358.6,474.3,568.3,569.6,517.6,291.3,287.5,589.6,335.7,546.0,424.1,447.8,510.4,420.9,278.8,429.2,373.2,394.0,110.9,2422.1,221.7,295.4,23.1,401.4,411.3,29.6,147.7,0.0,782.4,430.3,415.3,473.5,336.6,398.2,475.6,380.9,484.0,150.7,462.0,365.0,868.0,411.6,355.8,464.0,443.0,448.9,138.3,263.1,405.3,156.5,463.0,44.8,77.3,199.3,390.1,459.4,372.3,404.2,485.9,169.5,430.0,76.2,501.3,592.8,36.5,715.4,382.4,353.0,365.9,356.1,518.4,502.3,463.2,404.9,409.4,576.2,501.1,827.7,562.1,475.3,405.6,507.8,361.6,206.4,565.2,819.1,403.7,578.6,125.4,354.1,42.9,702.6,113.0,377.5,51.3,331.8,35.9,896.4,527.3,531.7,623.6,1337.7,445.9,534.5,76.2,114.1,595.8,90.0,349.3,824.7
LA,689.8,234.4,1078.9,781.6,468.1,913.5,41.5,1198.8,333.2,770.8,200.6,1028.2,1090.4,797.2,704.6,1086.6,1068.1,741.9,1136.9,1179.6,655.5,666.9,1092.1,1230.8,847.1,1142.3,672.0,1194.3,1189.0,247.5,1138.3,889.0,712.7,180.1,685.5,377.9,1129.2,1068.5,1078.7,1126.0,637.6,351.8,1078.3,1049.1,766.0,2030.5,830.5,654.2,803.7,1056.5,1116.4,792.7,802.8,827.8,0.0,1135.4,1120.4,1178.6,991.7,1103.3,1143.2,1086.0,1189.1,765.7,1082.7,1070.1,104.8,1116.7,1060.9,883.0,1148.1,1202.6,966.2,544.2,1110.4,811.6,1083.7,872.7,905.2,606.9,1045.2,1056.8,1077.4,1109.3,1106.6,824.6,1135.1,904.1,767.9,391.5,864.4,514.1,1087.5,1008.1,1021.0,1011.2,1139.1,1123.0,1130.8,1110.0,1114.5,254.1,1206.2,45.2,240.0,1096.0,1060.7,939.7,1016.7,861.5,1185.9,36.6,422.4,377.3,817.3,1009.2,780.8,68.2,804.9,1082.6,832.1,761.8,863.8,260.2,1147.0,1236.8,422.3,773.6,1151.0,1155.2,882.8,822.5,380.8,917.9,1004.4,61.5
LD,442.1,861.0,131.7,494.1,996.9,494.0,1151.2,213.3,775.3,372.2,1164.3,439.0,496.3,397.9,536.1,497.4,203.2,454.4,163.5,590.4,624.2,936.6,209.2,245.3,758.6,553.1,677.6,142.9,599.8,897.1,529.5,618.8,615.0,917.1,663.2,873.5,246.3,479.3,350.6,261.1,606.3,756.7,195.4,684.0,438.4,2749.6,549.2,622.9,408.1,691.4,233.5,408.3,475.2,408.3,1109.9,0.0,24.9,115.5,626.6,113.7,278.5,139.6,203.6,478.2,444.7,195.4,1195.5,53.2,196.0,791.5,283.2,231.4,546.7,590.6,245.5,484.0,428.0,398.3,485.7,526.8,680.1,299.6,194.5,166.4,456.6,497.0,133.0,484.6,828.8,920.3,444.9,1042.9,222.6,643.0,655.9,646.1,549.9,533.8,291.1,227.1,129.0,903.7,220.7,1155.2,889.6,440.3,695.6,835.3,651.6,533.9,596.7,1146.6,731.2,906.1,401.4,644.1,396.4,1030.1,405.6,62.4,366.9,659.3,444.3,1223.9,539.2,251.3,951.1,1500.4,152.0,566.0,404.0,320.0,923.3,498.4,639.3,1152.2
LE,417.1,836.0,131.1,469.1,971.9,469.0,1126.2,212.7,750.3,347.2,1139.3,410.4,467.7,372.9,510.2,468.8,174.6,429.4,138.5,561.8,599.2,911.7,208.6,244.7,733.6,524.5,652.6,117.9,571.2,872.1,500.9,593.8,590.0,892.1,638.2,848.5,245.7,450.7,322.0,232.5,581.3,731.7,194.8,655.4,413.4,2724.6,524.2,597.9,383.1,662.8,232.9,385.9,450.2,383.3,1084.9,14.9,0.0,58.1,598.0,113.1,277.9,139.0,203.0,453.2,416.1,194.8,1170.5,28.2,167.4,766.5,254.6,230.8,521.7,565.6,216.9,459.0,399.4,373.3,460.7,501.8,651.5,271.0,193.9,165.8,428.0,472.0,132.4,459.6,803.8,895.3,419.9,1017.9,194.0,614.4,627.3,617.5,521.3,505.2,290.5,226.5,128.4,878.7,220.1,1130.2,864.6,411.7,667.0,810.3,623.0,508.9,568.1,1121.6,706.2,881.1,376.4,615.5,371.4,1005.1,380.6,37.4,341.9,634.3,419.3,1198.9,509.9,250.7,926.1,1475.4,151.4,537.4,379.0,291.7,898.3,473.4,610.7,1127.2
LR,476.2,895.1,114.3,528.2,1031.0,528.1,1185.6,195.9,809.4,406.3,1198.4,421.6,478.9,432.0,570.2,480.0,185.8,488.5,194.2,573.0,658.3,970.7,191.8,227.9,792.7,535.7,711.7,177.0,582.4,931.2,512.1,652.9,649.1,951.2,697.3,907.6,228.9,461.9,333.2,243.7,640.4,790.8,178.0,666.6,472.5,2783.7,583.3,657.0,442.2,674.0,216.1,442.4,509.3,442.4,1144.0,57.3,59.0,0.0,609.2,96.3,261.1,122.2,186.2,512.3,427.3,178.0,1229.6,107.0,178.6,825.6,265.8,214.0,580.8,624.7,228.1,518.1,410.6,432.4,519.8,560.9,662.7,282.2,177.1,149.0,439.2,531.1,115.6,518.7,862.9,954.4,479.0,1077.0,205.2,625.6,638.5,628.7,532.5,516.4,273.7,209.7,111.6,937.8,203.3,1189.3,923.7,422.9,678.2,869.4,634.2,568.0,579.3,1180.7,765.3,940.2,435.5,626.7,430.5,1064.2,439.7,96.5,404.7,693.4,478.4,1258.0,520.8,233.9,985.2,1531.1,134.6,548.6,438.1,350.8,957.4,532.5,621.9,1186.3
LZ,281.4,700.3,570.6,333.4,836.2,405.2,990.8,513.8,614.6,262.5,1003.6,263.1,325.3,288.9,375.4,321.5,444.5,293.7,628.6,414.5,463.5,775.9,583.8,505.0,597.9,377.2,516.9,686.0,423.9,736.4,373.2,458.1,454.3,756.4,502.5,712.8,521.8,303.4,373.5,458.9,445.6,596.0,570.0,111.0,207.3,2588.9,388.5,462.2,295.4,164.4,608.1,284.4,170.9,319.5,949.2,627.1,612.1,670.3,0.0,595.0,438.0,491.5,552.0,317.5,317.6,561.8,1034.8,608.4,452.1,630.8,451.4,497.4,457.9,429.9,473.8,212.6,318.6,364.4,396.9,366.1,159.8,351.6,569.1,601.0,341.5,149.1,524.1,395.8,668.1,759.6,356.1,882.2,428.1,122.7,82.9,125.8,374.0,357.9,425.6,601.7,535.3,743.0,542.3,994.5,728.9,330.9,122.6,674.6,30.5,248.2,420.8,985.9,570.5,745.4,309.0,123.8,272.5,869.4,296.6,574.3,323.8,498.6,355.5,1063.2,381.9,512.2,790.4,1504.5,523.1,390.1,374.5,314.2,762.6,409.6,77.1,991.5
MD,394.4,813.3,17.9,446.4,949.2,446.3,1103.8,95.4,727.6,324.5,1116.6,339.1,396.4,350.2,488.4,397.5,126.1,406.7,97.8,490.5,576.5,888.9,109.3,127.4,710.9,453.2,629.9,128.6,499.9,849.4,429.6,571.1,567.3,869.4,615.5,825.8,146.4,379.4,250.7,203.2,558.6,709.0,95.5,584.1,390.7,2701.9,501.5,575.2,360.4,591.5,133.6,360.6,427.5,360.6,1062.2,114.3,99.3,157.5,526.7,0.0,160.6,39.7,85.7,430.5,344.8,95.5,1147.8,95.6,133.7,743.8,183.3,113.5,499.0,542.9,137.4,436.3,328.1,350.6,438.0,479.1,580.2,199.7,94.6,66.5,356.7,449.3,33.1,436.9,781.1,872.6,397.2,995.2,122.7,543.1,556.0,546.2,450.0,433.9,173.2,127.2,11.1,856.0,102.8,1107.5,841.9,340.4,595.7,787.6,551.7,486.2,496.8,1098.9,683.5,858.4,353.7,544.2,348.7,982.4,357.9,61.5,322.9,611.6,396.6,1176.2,438.3,133.4,903.4,1434.7,85.3,466.1,356.3,269.0,875.6,450.7,539.4,1104.5
MF,481.4,859.2,229.7,533.4,995.1,533.3,1149.7,79.8,773.5,411.5,1162.5,238.1,295.4,437.2,575.4,296.5,101.4,493.7,349.7,389.5,663.5,975.9,174.5,71.0,797.9,352.2,716.9,354.7,398.9,895.3,328.6,658.1,654.3,915.3,702.5,871.7,178.7,278.4,149.7,115.8,645.6,754.9,160.7,483.1,466.5,2661.3,588.5,662.2,447.4,490.5,190.4,447.6,430.1,447.6,1108.1,286.2,271.2,261.6,425.7,174.0,0.0,148.4,156.0,517.5,243.8,220.9,1193.7,267.5,109.0,830.8,108.3,69.7,586.0,629.9,130.7,471.8,227.1,437.6,525.0,566.1,479.2,98.7,159.8,214.4,255.7,408.3,181.0,523.9,868.1,918.5,484.2,1041.1,85.0,442.1,455.0,445.2,349.0,332.9,12.5,192.4,192.2,901.9,107.6,1153.4,887.8,239.4,494.7,874.6,450.7,507.4,395.8,1144.8,729.4,904.3,440.7,443.2,435.7,1028.3,444.9,233.4,409.9,698.6,483.6,1222.1,337.3,78.2,949.3,1576.9,180.0,365.1,443.3,356.0,921.5,537.7,438.4,1150.4
MI,401.8,820.7,66.4,446.4,956.6,446.3,1103.5,128.0,735.0,324.5,1116.6,299.3,356.6,357.6,487.5,357.7,70.9,406.7,146.3,450.7,576.5,889.0,69.5,160.0,710.9,413.4,638.4,267.7,460.1,856.8,389.8,578.5,567.3,876.8,615.5,825.8,106.6,347.0,210.9,128.8,558.6,709.0,55.7,544.3,390.7,2701.9,501.5,582.6,360.4,551.7,93.8,363.2,434.9,360.6,1062.2,196.7,181.7,113.1,486.9,48.4,193.2,0.0,137.4,437.9,305.0,63.1,1147.8,170.6,56.3,743.8,143.5,146.1,499.0,550.3,105.8,436.3,288.3,350.6,438.0,479.1,540.4,167.3,54.8,65.9,316.9,469.5,32.5,436.9,781.1,872.6,404.6,995.2,82.9,503.3,516.2,506.4,410.2,394.1,205.8,87.4,43.7,856.0,154.5,1114.9,841.9,300.6,563.3,795.0,511.9,486.2,457.0,1098.9,683.5,858.4,353.7,504.4,348.7,982.4,357.9,136.5,326.6,611.6,404.0,1176.2,399.5,166.0,903.4,1456.2,50.6,433.7,356.3,272.3,883.0,458.1,499.6,1104.5
ML,474.1,893.0,97.6,526.1,1028.9,526.0,1183.2,47.8,807.3,404.2,1196.3,373.4,430.7,429.9,568.1,431.8,128.2,486.4,177.5,524.8,656.2,968.6,193.1,79.8,790.6,487.5,709.6,208.3,534.2,929.1,463.9,650.8,647.0,949.1,695.2,905.5,187.5,413.7,262.6,205.3,638.3,788.7,179.3,618.4,470.4,2781.6,581.2,654.9,440.1,625.8,199.2,440.3,507.2,440.3,1141.9,194.0,179.0,162.3,561.0,79.6,113.0,123.5,0.0,510.2,379.1,179.3,1227.5,175.3,135.8,823.5,195.2,92.4,578.7,622.6,139.5,516.0,362.4,430.3,517.7,558.8,614.5,211.6,178.4,150.3,391.0,543.6,116.9,516.6,860.8,952.3,476.9,1074.9,134.6,577.4,590.3,580.5,484.3,468.2,125.6,206.4,65.6,935.7,62.1,1187.2,921.6,374.7,630.0,867.3,586.0,565.9,531.1,1178.6,763.2,938.1,433.4,578.5,428.4,1062.1,437.6,141.2,398.9,691.3,476.3,1255.9,472.6,85.8,983.1,1514.4,119.3,500.4,436.0,352.0,955.3,530.4,573.7,1184.2
MM,92.5,511.4,421.8,130.5,647.3,256.4,801.9,541.7,425.7,113.7,814.7,405.5,467.7,140.1,185.6,463.9,411.0,28.4,479.8,556.9,274.6,587.1,435.0,573.7,409.0,519.6,328.0,537.2,566.3,547.5,515.6,269.2,265.4,567.5,313.6,523.9,472.1,445.8,558.4,468.9,256.7,407.1,421.2,392.0,108.9,2400.0,199.6,273.3,146.6,399.4,459.3,138.2,145.7,170.7,760.3,478.3,463.3,521.5,334.6,446.2,523.6,428.9,532.0,0.0,460.0,413.0,845.9,459.6,403.8,441.9,491.0,496.9,309.1,241.0,453.3,154.5,461.0,215.6,248.1,177.2,388.1,494.0,420.3,452.2,483.9,167.5,478.0,247.0,479.2,570.7,207.3,693.3,430.4,351.0,363.9,354.1,516.4,500.3,511.2,452.9,457.4,554.1,549.1,805.6,540.0,473.3,403.6,485.7,359.6,204.4,563.2,797.0,381.6,556.5,160.2,352.1,123.7,680.5,147.8,425.5,178.7,309.7,206.7,874.3,525.3,579.7,601.5,1315.6,493.9,532.5,225.7,162.1,573.7,260.8,347.3,802.6
MN,415.6,794.9,376.3,467.6,898.5,539.4,1085.4,317.3,709.2,396.7,1098.2,64.4,83.9,423.1,509.6,80.1,248.0,427.9,496.3,173.1,597.7,910.1,321.1,308.5,732.1,135.8,771.5,501.3,182.5,831.0,131.8,592.3,588.5,851.0,785.0,807.4,325.3,62.0,177.0,262.4,579.8,690.6,307.3,358.1,341.5,2597.0,522.7,596.4,429.6,365.5,337.0,418.6,305.1,453.7,1043.8,432.8,417.8,408.2,300.7,343.5,241.5,295.0,355.5,451.7,0.0,367.5,1129.4,414.1,255.6,765.0,254.9,300.9,592.1,564.1,277.3,346.8,16.7,498.6,531.1,500.3,354.2,155.1,306.4,361.0,78.5,283.3,327.6,530.0,802.3,821.9,490.3,944.5,231.6,317.1,330.0,320.2,132.6,116.5,229.1,339.0,338.8,815.0,345.8,1089.1,823.5,67.7,369.7,808.8,325.7,382.4,179.4,1080.5,632.8,807.7,443.2,318.2,406.7,964.0,430.8,380.0,458.0,632.8,489.7,1157.8,140.5,315.7,852.7,1512.6,326.6,148.7,508.7,448.4,857.2,543.8,313.4,1086.1
MO,385.8,804.7,112.0,437.8,940.6,437.7,1094.9,184.2,719.0,315.9,1108.0,327.6,384.9,341.6,478.9,386.0,91.8,398.1,170.0,479.0,567.9,880.3,97.8,216.2,702.3,441.7,629.8,182.8,488.4,840.8,418.1,562.5,558.7,860.8,606.9,817.2,134.9,367.9,239.2,149.7,550.0,700.4,84.0,572.6,382.1,2693.3,492.9,566.6,351.8,580.0,122.1,352.0,418.9,352.0,1053.6,168.5,153.5,211.7,515.2,136.4,204.4,56.1,174.5,421.9,333.3,0.0,1139.2,149.8,84.6,735.2,171.8,183.6,490.4,534.3,134.1,427.7,316.6,342.0,429.4,470.5,568.7,188.2,83.1,142.4,345.2,440.7,168.2,428.3,772.5,864.0,388.6,986.6,111.2,531.6,544.5,534.7,438.5,422.4,192.0,115.7,99.9,847.4,191.6,1098.9,833.3,328.9,584.2,779.0,540.2,477.6,485.3,1090.3,674.9,849.8,345.1,532.7,340.1,973.8,349.3,115.7,310.6,603.0,388.0,1167.6,426.8,222.2,894.8,1484.5,87.7,454.6,347.7,260.4,867.0,442.1,527.9,1095.9
MR,776.0,320.6,1165.1,867.8,554.3,999.7,126.7,1285.0,419.4,857.0,286.8,1114.4,1176.6,883.4,789.9,1172.8,1154.3,828.1,1223.1,1265.8,741.7,753.1,1178.3,1317.0,933.3,1228.5,771.2,1280.5,1275.2,333.7,1224.5,975.2,798.9,266.3,771.7,464.1,1215.4,1154.7,1164.9,1212.2,723.8,438.0,1164.5,1135.3,852.2,2116.7,916.7,740.4,889.9,1142.7,1202.6,881.5,889.0,914.0,85.4,1221.6,1206.6,1264.8,1077.9,1189.5,1229.4,1172.2,1275.3,851.9,1168.9,1156.3,0.0,1202.9,1147.1,969.2,1234.3,1288.8,1052.4,630.4,1196.6,897.8,1169.9,958.9,991.4,693.1,1131.4,1143.0,1163.6,1195.5,1192.8,910.8,1221.3,990.3,854.1,477.7,950.6,600.3,1173.7,1094.3,1107.2,1097.4,1225.3,1209.2,1217.0,1196.2,1200.7,340.3,1292.4,130.7,326.2,1182.2,1146.9,1025.9,1102.9,947.7,1272.1,122.1,508.6,463.5,903.5,1095.4,867.0,154.4,891.1,1168.8,922.0,848.0,950.0,346.4,1233.2,1323.0,508.5,859.8,1237.2,1241.4,969.0,905.4,467.0,1004.1,1090.6,90.6
MW,404.6,823.5,88.0,456.6,959.4,456.5,1114.0,207.9,737.8,334.7,1126.8,397.9,455.2,360.4,498.6,456.3,162.1,416.9,126.0,549.3,586.7,899.1,186.1,239.9,721.1,512.0,640.1,105.4,558.7,859.6,488.4,581.3,577.5,879.6,625.7,836.0,223.2,438.2,309.5,220.0,568.8,719.2,172.3,642.9,400.9,2712.1,511.7,585.4,370.6,650.3,210.4,370.8,437.7,370.8,1072.4,54.4,39.4,97.6,585.5,112.4,273.1,141.7,198.2,440.7,403.6,142.0,1158.0,0.0,154.9,754.0,242.1,226.0,509.2,553.1,204.4,446.5,386.9,360.8,448.2,489.3,639.0,258.5,171.4,118.4,415.5,459.5,135.1,447.1,791.3,882.8,407.4,1005.4,181.5,601.9,614.8,605.0,508.8,492.7,285.7,204.0,123.6,866.2,215.3,1117.7,852.1,399.2,654.5,797.8,610.5,496.4,555.6,1109.1,693.7,868.6,363.9,603.0,358.9,992.6,368.1,24.9,333.1,621.8,406.8,1186.4,497.1,245.9,913.6,1462.9,160.1,524.9,366.5,279.2,885.8,460.9,598.2,1114.7
NC,372.3,791.2,120.6,424.3,927.1,424.2,1081.7,167.4,705.5,302.4,1094.5,242.9,300.2,328.1,466.3,301.3,7.2,384.6,240.6,394.3,554.4,866.8,65.4,199.4,688.8,357.0,607.8,245.6,403.7,827.3,333.4,549.0,545.2,847.3,593.4,803.7,97.4,283.2,154.5,65.0,536.5,686.9,51.6,487.9,368.6,2666.1,479.4,553.1,338.3,495.3,109.1,338.5,434.9,338.5,1040.1,177.1,162.1,152.5,430.5,87.8,119.7,39.3,157.7,408.4,248.6,111.8,1125.7,158.4,0.0,721.7,87.1,93.0,476.9,520.8,49.4,476.6,231.9,328.5,415.9,457.0,484.0,103.5,50.7,105.3,260.5,413.1,71.9,414.8,759.0,850.5,375.1,973.1,26.5,446.9,459.8,450.0,353.8,337.7,107.3,116.3,83.1,833.9,174.8,1085.4,819.8,244.2,499.5,765.5,455.5,512.2,400.6,1076.8,661.4,836.3,331.6,448.0,326.6,960.3,335.8,124.3,300.8,589.5,374.5,1154.1,342.1,205.4,881.3,1434.1,70.9,369.9,334.2,246.9,853.5,428.6,443.2,1082.4
NF,364.9,658.3,754.2,449.8,424.3,486.5,948.8,874.1,572.6,439.0,699.1,730.8,793.0,465.4,463.4,789.2,771.1,410.1,735.0,882.2,437.9,211.5,795.1,906.1,84.4,844.9,261.7,740.0,891.6,694.4,840.9,163.1,417.0,714.4,247.3,670.8,832.2,771.1,918.5,829.0,420.0,554.0,781.3,717.3,434.2,2203.9,327.9,436.6,590.8,724.7,819.4,460.9,471.0,567.6,907.2,842.3,827.3,885.5,659.9,778.6,883.7,818.4,864.4,433.9,785.3,777.0,992.8,823.6,763.9,0.0,851.1,892.2,620.1,404.3,813.4,479.8,786.3,606.0,559.1,340.5,713.4,819.3,780.4,784.6,809.2,492.8,810.4,495.9,124.9,500.6,588.3,526.5,790.5,676.3,689.2,679.4,841.7,825.6,871.3,813.0,789.8,701.0,881.5,952.5,686.9,798.6,728.9,56.6,684.9,529.7,888.5,943.9,528.5,514.8,485.5,677.4,449.0,827.4,473.1,789.5,615.3,301.4,536.9,913.7,849.6,912.1,470.5,959.7,826.3,857.8,637.4,490.7,720.6,571.8,672.6,949.5
NI,544.1,862.7,227.2,596.1,998.6,530.8,1153.2,244.7,777.0,409.0,1166.0,241.6,298.9,551.6,638.1,300.0,98.9,556.4,347.2,393.0,726.2,1038.6,166.3,258.4,860.6,355.7,871.6,352.2,402.4,898.8,332.1,720.8,717.0,918.8,885.1,875.2,169.2,281.9,153.2,38.6,708.3,758.4,199.9,486.6,470.0,2664.8,651.2,724.9,444.9,494.0,180.9,445.1,433.6,445.1,1111.6,283.7,268.7,259.1,429.2,194.4,118.4,145.9,235.0,580.2,247.3,218.4,1197.2,265.0,106.5,893.5,0.0,180.4,583.5,692.6,121.2,475.3,230.6,435.1,522.5,628.8,482.7,102.2,181.0,211.9,259.2,411.8,178.5,521.4,930.8,922.0,481.7,1044.6,82.5,445.6,458.5,448.7,352.5,336.4,106.0,188.1,189.7,905.4,225.3,1156.9,891.3,242.9,498.2,937.3,454.2,510.9,399.3,1148.3,732.9,907.8,571.7,446.7,433.2,1031.8,559.3,230.9,407.4,761.3,481.1,1225.6,340.8,277.2,952.8,1580.4,177.5,368.6,440.8,353.5,925.0,535.2,441.9,1153.9
