from_stop,AC,AG,AJ,AK,AQ,AV,AZ,BA,BF,BH,BI,BL,BN,BS,BT,BU,BY,BZ,CF,CG,CH,CN,CP,CQ,CU,DC,DG,DO,DV,DW,DY,EG,EH,EK,ET,EU,EY,FE,FN,FU,FW,GI,GO,GP,GQ,GW,GZ,HF,HG,HI,HT,IG,IN,IO,IU,JH,JP,JQ,JU,JV,KA,KK,KL,KQ,KR,KX,KY,KZ,LA,LH,LL,LQ,MC,MM,NC,NG,NJ,NP,NV,NW,NX,OJ,OP,OS,OT,OX,PA,PC,PD,PH,PL,PP,PX,PY,QH,QM,QN,QV,RF,RK,RS,RY,SD,SE,SI,SK,SM,SO,SP,SU,SW,SX,SZ,TD,TH,TL,TM,TS,UA,UB,UC,UD,UF,UG,VF,VJ,VK,VO,VS,WM,WN,WT,WY,WZ,XB,XM,XU,XX,YD,YE,YF,YN,YP,YS,YT,YU,YW,ZA,ZN,ZO,ZP,ZS,ZT,ZX
GI,678.6,170.2,613.7,565.8,733.4,854.0,700.5,382.7,698.4,414.2,679.5,566.9,715.1,231.9,540.4,585.2,849.1,383.2,674.2,136.9,495.3,311.0,512.0,667.1,369.7,243.6,453.6,202.1,357.9,367.1,615.6,352.3,248.8,243.3,762.1,426.4,891.0,385.7,668.4,708.8,657.6,0.0,734.1,547.7,617.2,701.4,485.3,142.4,335.4,530.9,465.5,629.1,596.3,726.1,394.0,687.3,567.9,709.2,763.4,665.3,705.9,669.9,227.9,171.3,215.2,357.7,888.8,691.3,420.2,654.7,292.3,329.0,293.1,674.8,401.7,438.7,757.2,668.1,409.3,679.0,434.6,633.8,440.2,608.9,713.5,437.8,338.2,445.4,548.6,615.4,634.2,578.1,712.2,896.3,779.5,150.8,316.6,699.4,584.2,485.7,745.1,783.0,189.3,547.0,606.4,128.4,815.6,340.8,258.2,502.6,701.8,791.9,663.2,258.3,178.4,609.1,344.2,738.3,175.0,669.4,646.6,675.5,412.1,531.1,520.2,234.0,857.9,685.5,688.1,700.1,709.4,163.6,169.5,551.1,913.3,943.4,489.3,1756.1,723.5,385.7,580.2,86.8,803.0,500.0,685.1,713.6,361.2,552.1,231.6,507.9,672.9,726.6,123.9,521.7
GO,542.7,732.3,202.8,240.3,597.5,265.6,107.7,1006.5,510.9,458.2,86.7,431.0,178.6,855.7,404.5,449.3,195.8,430.4,154.4,847.1,245.7,934.8,480.2,286.3,993.5,727.9,474.0,825.9,562.2,429.1,206.0,391.5,872.6,565.5,626.2,446.8,237.7,1009.5,215.2,208.6,209.7,710.1,0.0,411.8,481.3,466.6,498.3,852.6,549.9,395.0,470.3,238.7,460.4,225.9,469.0,167.5,174.6,189.4,279.9,145.5,518.4,534.0,582.3,715.4,759.3,981.5,283.6,500.0,614.5,161.8,916.1,533.3,645.2,160.2,596.0,482.7,23.0,200.7,331.9,192.2,501.3,497.9,495.7,203.7,232.0,632.1,962.0,296.0,257.5,288.7,182.3,442.2,58.9,243.0,191.1,682.3,940.4,108.7,158.2,292.5,95.0,48.8,899.5,411.1,470.5,838.6,315.4,535.1,882.0,305.5,201.6,57.7,130.8,742.6,888.6,473.2,548.5,149.9,885.2,169.2,78.1,188.7,606.4,250.7,546.5,778.1,269.5,312.1,35.9,46.8,127.9,707.7,879.7,415.2,260.0,338.2,353.4,1528.3,223.3,580.0,288.9,690.9,149.7,381.2,237.2,177.1,845.5,190.6,715.9,299.1,219.7,532.1,834.1,385.8
GP,130.8,787.9,554.7,574.7,185.6,532.5,509.3,1000.4,204.3,462.4,488.3,89.4,393.6,849.6,110.5,37.4,496.4,564.9,513.6,851.3,511.2,928.7,484.4,455.7,987.4,861.3,619.0,819.8,696.7,433.3,380.5,462.1,866.5,700.0,214.3,591.8,553.0,1003.4,574.4,304.4,422.5,714.3,512.9,0.0,139.7,589.6,502.5,856.8,679.3,16.7,474.5,408.1,48.5,366.8,603.5,524.9,376.7,545.5,318.6,504.7,196.8,122.1,716.8,719.6,770.6,975.4,664.5,215.2,749.0,521.0,910.0,667.8,779.7,353.3,730.5,484.3,536.0,559.9,425.2,551.1,505.5,86.0,499.9,417.7,591.2,766.6,955.9,461.3,591.9,380.3,575.2,216.1,464.0,558.3,458.0,686.5,934.3,467.9,393.0,501.6,553.9,561.8,903.7,103.9,128.9,842.8,456.3,669.6,875.9,639.9,311.3,570.7,472.0,876.0,892.8,82.9,683.0,416.8,889.4,344.2,455.4,547.9,740.9,419.3,550.7,782.3,536.4,493.9,496.9,476.4,387.9,711.9,883.9,73.6,575.3,651.8,138.1,1311.3,364.2,714.5,389.0,695.1,436.6,665.4,450.0,392.1,978.9,360.9,849.3,633.5,578.9,178.8,838.3,102.4
GQ,196.8,827.5,594.3,614.3,251.6,613.9,509.9,1040.0,81.1,502.0,488.9,51.5,475.0,889.2,134.3,169.1,592.5,604.5,514.2,890.9,550.8,968.3,524.0,476.5,1027.0,900.9,658.6,859.4,736.3,472.9,480.5,503.8,906.1,739.6,280.3,631.4,634.4,1043.0,575.0,385.8,522.5,753.9,543.5,131.6,0.0,629.2,542.1,896.4,724.0,114.8,514.1,438.5,180.2,448.2,643.1,525.5,377.3,542.5,400.0,505.3,88.6,157.8,756.4,759.2,803.1,1015.0,698.2,74.0,788.6,521.6,949.6,707.4,819.3,434.7,770.1,526.5,566.6,560.5,464.8,552.0,545.1,217.7,539.5,418.3,591.8,806.2,995.5,500.9,631.5,474.0,542.1,239.9,521.6,639.7,539.4,726.1,973.9,468.5,393.6,541.2,554.5,592.4,943.3,127.7,10.7,882.4,537.7,709.2,915.5,679.5,392.7,601.3,472.6,915.6,932.4,214.6,722.6,498.2,929.0,425.6,456.0,548.5,780.5,394.2,590.3,821.9,617.8,533.5,497.5,509.5,469.3,751.5,923.5,97.4,656.7,752.8,175.4,1392.7,445.6,754.1,389.6,734.7,518.0,705.0,550.0,473.5,1018.5,361.5,888.9,673.1,579.5,102.3,877.9,167.2
GW,441.5,637.1,138.3,158.3,496.3,524.3,305.9,849.6,461.3,311.6,284.9,329.8,437.3,698.8,303.3,348.1,445.4,348.4,198.8,700.5,131.1,777.9,333.6,366.9,836.6,645.9,392.0,669.0,480.2,282.5,370.9,276.9,715.7,483.5,525.0,364.8,496.4,852.6,193.0,467.3,412.9,563.5,339.5,310.6,380.1,0.0,351.7,706.0,462.8,293.8,323.7,328.9,359.2,484.6,387.0,211.9,310.4,233.8,538.6,189.9,468.8,432.8,500.3,568.8,612.7,824.6,485.9,454.2,532.5,179.3,759.2,451.3,563.2,418.9,514.0,336.1,362.6,192.7,217.3,203.6,354.7,396.7,349.1,336.1,238.1,550.1,805.1,181.4,175.5,428.5,158.8,341.0,317.6,501.7,449.8,535.7,783.5,224.0,294.0,177.9,350.5,388.4,752.9,309.9,369.3,692.0,574.1,453.1,725.1,223.5,460.3,397.3,257.5,660.6,742.0,372.0,466.5,408.6,738.6,427.9,252.0,200.1,524.4,196.9,399.9,631.5,528.2,75.1,293.5,305.5,386.6,561.1,733.1,314.0,518.7,540.5,252.2,1519.0,482.0,498.0,280.0,544.3,408.4,299.2,440.4,435.8,763.5,326.4,633.9,217.1,197.5,489.5,687.5,284.6
GZ,464.3,401.7,314.0,266.1,519.1,700.0,481.6,675.9,484.1,156.3,460.6,352.6,613.0,525.1,326.1,370.9,630.2,99.8,374.5,545.2,319.4,604.2,84.1,452.8,662.9,397.3,153.9,495.3,231.6,77.9,401.3,138.0,542.0,234.9,547.8,126.7,672.1,678.9,368.7,494.5,443.3,408.2,515.2,333.4,402.9,540.3,0.0,550.7,219.3,316.6,37.6,414.8,382.0,511.8,138.4,387.6,353.6,409.5,549.1,365.6,491.6,455.6,251.7,413.5,457.4,650.9,675.7,477.0,283.9,355.0,585.5,202.7,314.6,594.6,265.4,180.8,538.3,368.4,195.0,379.3,40.4,419.5,34.8,394.6,413.8,301.5,631.4,231.1,248.9,401.1,334.5,363.8,493.3,677.4,625.5,380.4,609.8,399.7,369.9,366.2,526.2,564.1,597.6,332.7,392.1,536.7,601.3,204.5,551.4,202.9,487.5,573.0,433.2,412.0,586.7,394.8,217.9,584.3,583.3,455.1,427.7,375.8,275.8,316.8,92.3,476.2,703.9,385.8,469.2,481.2,562.3,405.8,577.8,336.8,694.4,730.3,275.0,1541.8,509.2,249.4,365.9,389.0,584.1,200.3,470.8,611.5,514.9,337.8,385.3,208.2,373.2,512.3,532.2,307.4
HF,811.1,302.7,746.2,698.3,865.9,986.5,833.0,515.2,830.9,546.7,812.0,699.4,847.6,364.4,672.9,717.7,981.6,515.7,806.7,5.4,627.8,443.5,644.5,799.6,502.2,376.1,586.1,334.6,490.4,499.6,748.1,484.8,381.3,375.8,894.6,558.9,1023.5,518.2,800.9,841.3,790.1,132.4,866.6,680.2,749.7,833.9,617.8,0.0,467.9,663.4,598.0,761.6,728.8,858.6,526.5,819.8,700.4,841.7,895.9,797.8,838.4,802.4,360.4,303.8,354.8,490.2,1021.3,823.8,552.7,787.2,424.8,461.5,425.6,807.3,534.2,571.2,889.7,800.6,541.8,811.5,567.1,766.3,572.7,741.4,846.0,570.3,470.7,577.9,681.1,747.9,766.7,710.6,844.7,1028.8,912.0,283.3,449.1,831.9,716.7,618.2,877.6,915.5,46.8,679.5,738.9,13.9,948.1,473.3,390.7,635.1,834.3,924.4,795.7,390.8,35.9,741.6,476.7,870.8,32.5,801.9,779.1,808.0,544.6,663.6,652.7,366.5,990.4,818.0,820.6,832.6,841.9,296.1,27.0,683.6,1045.8,1075.9,621.8,1888.6,856.0,518.2,712.7,219.3,935.5,632.5,817.6,846.1,493.7,684.6,364.1,640.4,805.4,859.1,18.4,654.2
HG,627.5,263.3,349.0,301.1,682.3,735.0,516.6,461.6,647.3,319.5,495.6,515.8,648.0,310.8,489.3,534.1,650.5,118.5,409.5,497.7,354.4,389.9,247.3,616.0,448.6,183.0,188.9,281.0,93.2,241.1,564.5,301.2,327.7,96.5,711.0,161.7,707.1,464.6,403.7,678.0,679.1,360.7,550.2,496.6,566.1,575.3,220.6,503.2,0.0,479.8,200.8,578.0,545.2,695.3,129.3,422.6,521.1,448.1,749.3,400.6,654.8,618.8,113.3,415.4,459.3,436.6,696.6,640.2,69.6,390.0,371.2,64.3,100.3,629.6,51.1,344.0,573.3,403.4,440.6,414.0,169.9,582.7,175.5,554.4,448.8,87.2,417.1,404.7,283.9,564.3,369.5,527.0,528.3,712.4,660.5,394.9,395.5,434.7,504.7,401.2,561.2,599.1,550.1,495.9,555.3,489.2,784.8,9.7,337.1,237.9,671.0,608.0,468.2,197.7,539.2,558.0,79.5,619.3,535.8,638.6,462.7,410.8,61.5,480.0,255.5,478.1,738.9,420.8,504.2,516.2,597.3,407.7,530.3,500.0,729.4,751.2,438.2,1705.0,692.7,35.1,529.1,355.3,619.1,235.3,706.6,646.5,300.6,501.0,171.0,243.2,408.2,675.5,484.7,470.6
HI,147.6,771.1,537.9,557.9,202.4,515.7,492.5,983.6,221.1,445.6,471.5,72.6,376.8,832.8,93.7,54.2,494.3,548.1,496.8,834.5,494.4,911.9,467.6,438.9,970.6,844.5,602.2,803.0,679.9,416.5,363.7,445.3,849.7,683.2,231.1,575.0,536.2,986.6,557.6,287.6,405.7,697.5,496.1,16.7,122.9,572.8,485.7,840.0,667.6,0.0,457.7,391.3,65.3,350.0,586.7,508.1,359.9,525.1,301.8,487.9,213.6,138.9,700.0,702.8,746.7,958.6,647.7,197.0,732.2,504.2,893.2,651.0,762.9,336.5,713.7,470.1,519.2,543.1,408.4,534.6,488.7,102.8,483.1,400.9,574.4,749.8,939.1,444.5,575.1,363.5,558.4,199.3,447.2,541.5,441.2,669.7,917.5,451.1,376.2,484.8,537.1,545.0,886.9,87.1,112.1,826.0,439.5,652.8,859.1,623.1,294.5,553.9,455.2,859.2,876.0,99.7,666.2,400.0,872.6,327.4,438.6,531.1,724.1,402.5,533.9,765.5,519.6,477.1,480.1,459.6,371.1,695.1,867.1,56.8,558.5,635.0,121.3,1294.5,347.4,697.7,372.2,678.3,419.8,648.6,433.2,375.3,962.1,344.1,832.5,616.7,562.1,195.6,821.5,85.6
HT,426.6,444.1,304.5,256.6,481.4,602.0,472.1,656.6,446.4,118.6,451.1,314.9,463.1,505.8,288.4,333.2,611.6,90.3,365.0,507.5,309.9,584.9,46.4,415.1,643.6,387.8,144.4,476.0,222.1,40.2,363.6,100.3,522.7,225.4,510.1,117.2,662.6,659.6,359.2,456.8,405.6,370.5,505.7,295.7,365.2,449.4,27.9,513.0,204.7,278.9,0.0,377.1,344.3,474.1,128.9,378.1,315.9,400.0,511.4,356.1,453.9,417.9,242.2,375.8,419.7,631.6,666.2,439.3,274.4,345.5,566.2,193.2,305.1,422.8,255.9,140.5,528.8,358.9,157.3,369.8,30.9,381.8,25.3,353.5,404.3,292.0,612.1,193.4,239.4,363.4,325.0,326.1,483.8,667.9,527.5,342.7,590.5,390.2,332.2,233.7,516.7,554.6,559.9,295.0,354.4,499.0,563.6,195.0,532.1,193.4,449.8,563.5,423.7,402.5,549.0,357.1,208.4,486.3,545.6,417.4,418.2,366.3,266.3,279.1,76.1,438.5,605.9,376.3,459.7,471.7,457.4,368.1,540.1,299.1,684.9,720.8,237.3,1504.1,471.5,239.9,328.2,351.3,574.6,190.8,433.1,461.6,505.4,300.1,375.8,198.7,363.7,474.6,494.5,269.7
IG,482.2,665.4,317.7,355.2,537.0,280.3,265.0,877.9,450.4,339.9,244.0,370.5,141.4,727.1,344.0,388.8,249.8,442.4,269.3,728.8,387.0,806.2,361.9,47.5,864.9,738.8,496.5,697.3,574.2,310.8,41.9,339.6,744.0,577.5,565.7,469.3,300.8,880.9,330.1,135.1,83.9,591.8,260.7,351.3,420.8,426.7,380.0,734.3,556.8,334.5,352.0,0.0,399.9,152.4,481.0,280.6,132.4,297.6,206.4,260.4,457.9,473.5,594.3,597.1,641.0,852.9,412.3,439.5,626.5,276.7,787.5,545.3,657.2,101.1,608.0,361.8,283.8,315.6,302.7,306.8,383.0,437.4,377.4,170.0,346.9,644.1,833.4,338.8,372.4,99.5,297.2,381.7,211.8,306.1,205.8,564.0,811.8,223.6,148.7,379.1,309.6,309.6,781.2,350.6,410.0,720.3,241.9,547.1,753.4,420.4,128.1,318.5,227.7,753.5,770.3,412.7,560.5,164.6,766.9,95.7,211.1,303.6,618.4,131.3,428.2,659.8,284.2,331.0,252.6,224.2,135.7,589.4,761.4,354.7,323.1,399.6,292.9,1559.7,149.8,592.0,50.1,572.6,184.4,542.9,111.4,139.9,856.4,116.6,726.8,414.0,334.6,471.6,715.8,325.3
IN,82.2,818.5,585.3,605.3,137.0,563.1,602.5,1031.0,155.7,493.0,581.5,138.0,424.2,880.2,159.1,11.0,541.7,595.5,606.8,881.9,541.8,959.3,515.0,486.3,1018.0,891.9,649.6,850.4,727.3,463.9,411.1,596.4,897.1,730.6,165.7,622.4,583.6,1034.0,667.6,335.0,453.1,744.9,543.5,48.5,188.3,620.2,533.1,887.4,715.0,65.3,505.1,438.7,0.0,397.4,634.1,618.1,469.9,635.1,349.2,597.9,148.2,73.5,747.4,750.2,801.2,1006.0,695.1,166.6,779.6,614.2,940.6,698.4,810.3,383.9,761.1,517.5,566.6,653.1,455.8,644.6,536.1,37.4,530.5,510.9,684.4,797.2,986.5,491.9,622.5,410.9,605.8,264.7,494.6,588.9,488.6,717.1,964.9,561.1,486.2,532.2,647.1,592.4,934.3,152.5,177.5,873.4,486.9,700.2,906.5,670.5,341.9,601.3,565.2,906.6,923.4,34.3,713.6,447.4,920.0,374.8,548.6,641.1,771.5,449.9,581.3,812.9,567.0,524.5,590.1,507.0,418.5,742.5,914.5,122.2,605.9,682.4,186.7,1341.9,394.8,745.1,482.2,725.7,467.2,696.0,480.6,422.7,1009.5,454.1,879.9,664.1,672.1,130.2,868.9,151.0
IO,423.3,702.7,368.7,406.2,478.1,246.3,273.6,915.2,487.7,377.2,252.6,311.6,107.4,764.4,281.1,329.9,224.9,479.7,320.3,766.1,426.0,843.5,399.2,198.8,902.2,776.1,533.8,734.6,611.5,348.1,118.5,376.9,781.3,614.8,506.8,506.6,266.8,918.2,381.1,83.3,122.2,629.1,226.7,292.4,361.9,504.4,417.3,771.6,599.2,275.6,389.3,151.2,341.0,0.0,518.3,333.4,283.7,355.3,88.0,311.4,495.2,414.6,631.6,634.4,678.3,890.2,378.3,436.0,663.8,327.7,824.8,582.6,694.5,67.1,645.3,401.7,249.8,366.6,340.0,358.1,420.3,378.5,414.7,324.7,397.9,681.4,870.7,376.1,423.4,201.2,348.2,318.8,177.8,272.1,171.8,601.3,849.1,274.6,300.0,416.4,288.2,275.6,818.5,287.7,351.1,757.6,109.7,584.4,790.7,471.4,76.3,284.5,296.7,790.8,807.6,353.8,597.8,130.6,804.2,58.0,244.0,354.6,655.7,282.6,465.5,697.1,250.2,408.7,201.8,190.2,101.7,626.7,798.7,295.8,289.1,365.6,230.0,1500.8,17.6,629.3,201.4,609.9,150.4,547.1,149.7,105.9,893.7,267.9,764.1,465.0,385.6,471.3,753.1,262.4
IU,555.1,300.2,276.6,228.7,609.9,662.6,444.2,574.4,574.9,247.1,423.2,443.4,575.6,423.6,416.9,461.7,592.8,46.1,337.1,534.6,282.0,502.7,174.9,543.6,561.4,295.8,116.5,393.8,130.1,168.7,492.1,228.8,440.5,133.4,638.6,89.3,634.7,577.4,331.3,605.6,606.7,397.6,477.8,424.2,493.7,502.9,148.2,540.1,117.8,407.4,128.4,505.6,472.8,622.9,0.0,350.2,448.7,372.1,676.9,328.2,582.4,546.4,150.2,452.3,503.3,549.4,624.2,567.8,182.4,317.6,484.0,101.2,213.1,557.2,163.9,271.6,500.9,331.0,368.2,341.9,97.5,510.3,103.1,485.4,376.4,200.0,529.9,332.3,211.5,491.9,297.1,454.6,455.9,640.0,588.1,431.8,508.3,362.3,432.3,328.8,488.8,526.7,587.0,423.5,482.9,526.1,712.4,103.0,449.9,165.5,598.6,535.6,395.8,310.5,576.1,485.6,116.4,546.9,572.7,566.2,390.3,338.4,174.3,407.6,183.1,515.0,666.5,348.4,431.8,443.8,524.9,444.6,567.2,427.6,657.0,678.8,365.8,1632.6,620.3,147.9,456.7,392.2,546.7,162.9,634.2,574.1,413.4,428.6,283.8,170.8,335.8,603.1,521.6,398.2
JH,513.1,604.1,74.6,112.1,567.9,371.7,153.3,878.3,481.3,330.0,132.3,401.4,284.7,727.5,374.9,419.7,292.8,302.2,14.0,718.9,117.5,806.6,352.0,323.4,865.3,599.7,345.8,697.7,434.0,300.9,312.1,263.3,744.4,437.3,596.6,318.6,343.8,881.3,87.0,314.7,315.8,581.9,186.9,382.2,451.7,338.4,370.1,724.4,416.6,365.4,342.1,285.4,430.8,332.0,340.8,0.0,145.0,16.9,386.0,23.0,488.8,504.4,454.1,587.2,631.1,853.3,273.9,470.4,486.3,33.6,787.9,405.1,517.0,266.3,467.8,354.5,210.0,72.5,203.7,64.0,373.1,468.3,367.5,170.7,103.8,503.9,833.8,167.8,129.3,394.8,54.1,412.6,165.0,349.1,297.2,554.1,812.2,71.4,128.6,164.3,197.9,235.8,771.3,381.5,440.9,710.4,421.5,406.9,753.8,177.3,307.7,225.0,45.5,614.4,760.4,443.6,420.3,256.0,757.0,275.3,99.4,60.5,478.2,221.1,418.3,649.9,375.6,183.9,140.9,152.9,234.0,579.5,751.5,385.6,366.1,328.5,323.8,1445.8,329.4,451.8,236.5,562.7,255.8,253.0,343.3,283.2,717.3,161.0,587.7,170.9,91.5,502.5,705.9,356.2
JP,368.0,602.8,185.2,222.7,422.8,350.9,132.5,815.3,336.2,277.3,111.5,256.3,263.9,664.5,229.8,274.6,281.1,379.8,136.8,666.2,228.1,743.6,299.3,178.3,802.3,676.2,433.9,634.7,511.6,248.2,182.3,277.0,681.4,514.9,451.5,406.7,323.0,818.3,197.6,293.9,224.3,529.2,166.1,237.1,306.6,371.4,317.4,671.7,499.3,220.3,289.4,140.3,285.7,311.2,418.4,148.1,0.0,165.1,365.2,127.9,343.7,359.3,531.7,534.5,578.4,790.3,320.8,325.3,563.9,144.2,724.9,482.7,594.6,245.5,545.4,301.8,189.2,183.1,240.1,174.6,320.4,323.2,314.8,40.9,214.4,581.5,770.8,276.2,239.9,239.9,164.7,267.5,144.2,328.3,276.4,501.4,749.2,91.1,16.2,316.5,177.1,215.0,718.6,236.4,295.8,657.7,400.7,484.5,690.8,287.9,286.9,223.9,95.2,690.9,707.7,298.5,497.9,235.2,704.3,254.5,78.6,171.1,555.8,76.0,365.6,597.2,354.8,275.7,120.1,132.1,213.2,526.8,698.8,240.5,345.3,375.4,178.7,1445.5,308.6,529.4,91.4,510.0,235.0,363.6,251.8,262.4,793.8,15.9,664.2,281.5,202.1,357.4,653.2,211.1
JQ,538.3,616.5,87.0,124.5,593.1,384.1,165.7,890.7,506.5,342.4,144.7,426.6,297.1,739.9,400.1,448.7,299.6,314.6,26.4,731.3,129.9,819.0,364.4,348.6,877.7,612.1,358.2,710.1,446.4,313.3,328.3,275.7,756.8,452.0,621.8,331.0,356.2,893.7,99.4,327.1,328.2,594.3,199.3,411.2,476.9,354.6,382.5,736.8,432.8,390.6,354.5,314.4,456.0,344.4,353.2,27.4,170.2,0.0,402.2,35.4,514.0,529.6,466.5,599.6,643.5,865.7,323.8,495.6,498.7,49.8,800.3,417.5,529.4,282.5,480.2,364.3,222.4,84.9,216.1,76.1,385.5,497.3,379.9,195.9,116.2,516.3,850.0,180.2,141.7,407.2,66.5,437.8,177.4,361.5,313.4,566.5,824.6,83.8,153.8,176.7,210.3,248.2,787.5,406.7,466.1,722.8,433.9,419.3,766.2,189.7,320.1,274.9,73.0,626.8,772.8,468.8,432.7,272.2,769.4,291.5,111.8,72.9,490.6,246.3,430.7,666.1,388.0,196.3,153.3,165.3,250.2,591.9,763.9,410.8,378.5,378.4,349.0,1473.3,345.6,464.2,261.7,578.9,268.2,265.4,355.7,299.4,729.7,186.2,600.1,183.3,103.9,531.5,722.1,381.4
JU,371.1,650.5,417.3,437.3,425.9,296.3,323.6,863.0,435.5,325.0,302.6,259.4,157.4,712.2,228.9,277.7,260.2,427.5,370.3,713.9,373.8,791.3,347.0,248.8,850.0,723.9,481.6,682.4,559.3,295.9,168.5,324.7,729.1,562.6,454.6,454.4,316.8,866.0,431.1,68.2,172.2,576.9,276.7,240.2,309.7,452.2,365.1,719.4,541.9,223.4,337.1,201.2,288.8,106.2,466.1,383.4,239.3,408.9,0.0,361.4,443.0,362.4,579.4,582.2,626.1,838.0,428.3,383.8,611.6,377.7,772.6,530.4,642.3,117.1,593.1,346.9,299.8,416.6,287.8,408.1,368.1,326.3,362.5,280.3,447.9,629.2,818.5,323.9,454.5,251.2,398.2,266.6,227.8,322.1,221.8,549.1,796.9,324.6,255.6,364.2,338.2,325.6,766.3,235.5,298.9,705.4,216.0,532.2,738.5,502.5,75.1,334.5,334.6,738.6,755.4,301.6,545.6,180.6,752.0,108.0,294.0,404.6,603.5,281.9,413.3,644.9,300.2,356.5,251.8,240.2,151.7,574.5,746.5,243.6,339.1,415.6,177.8,1448.6,123.9,577.1,251.4,557.7,200.4,528.0,199.7,155.9,841.5,223.5,711.9,496.1,435.6,419.1,700.9,210.2
JV,502.8,581.0,51.5,89.0,557.6,348.6,130.2,855.2,471.0,306.9,109.2,391.1,261.6,704.4,364.6,409.4,278.8,279.1,8.8,695.8,94.4,783.5,328.9,313.1,842.2,576.6,322.7,674.6,410.9,277.8,289.0,240.2,721.3,414.2,586.3,295.5,320.7,858.2,63.9,291.6,292.7,558.8,163.8,371.9,441.4,315.3,347.0,701.3,398.6,355.1,319.0,275.1,420.5,308.9,317.7,21.9,134.7,43.8,362.9,0.0,478.5,494.1,431.0,564.1,608.0,830.2,295.9,460.1,463.2,10.5,764.8,382.0,493.9,243.2,444.7,331.4,186.9,49.4,180.6,40.9,350.0,458.0,344.4,163.8,80.7,480.8,810.7,144.7,106.2,371.7,31.0,402.3,141.9,326.0,274.1,531.0,789.1,48.3,118.3,141.2,174.8,212.7,748.2,371.2,430.6,687.3,398.4,383.8,730.7,154.2,284.6,221.6,67.5,591.3,737.3,433.3,397.2,232.9,733.9,252.2,76.3,37.4,455.1,210.8,395.2,626.8,352.5,160.8,117.8,129.8,210.9,556.4,728.4,375.3,343.0,350.5,313.5,1467.8,306.3,428.7,226.2,539.6,232.7,229.9,320.2,260.1,694.2,150.7,564.6,147.8,68.4,492.2,682.8,345.9
KA,108.1,771.8,538.6,558.6,162.9,663.2,454.2,984.3,7.4,446.3,433.2,131.1,524.3,833.5,213.9,153.4,602.8,548.8,458.5,835.2,495.1,912.6,468.3,420.8,971.3,845.2,602.9,803.7,680.6,417.2,424.8,448.1,850.4,683.9,191.6,575.7,644.7,987.3,519.3,444.1,466.8,698.2,487.8,190.9,79.5,573.5,486.4,840.7,668.3,194.4,458.4,382.8,142.3,535.3,587.4,469.8,321.6,486.8,458.3,449.6,0.0,69.1,700.7,703.5,747.4,959.3,642.5,18.3,732.9,465.9,893.9,651.7,763.6,484.0,714.4,470.8,510.9,504.8,409.1,496.3,489.4,104.8,483.8,362.6,536.1,750.5,939.8,445.2,575.8,418.3,486.4,256.9,465.9,650.0,588.7,670.4,918.2,412.8,337.9,485.5,498.8,536.7,887.6,207.3,90.3,826.7,624.8,653.5,859.8,623.8,451.0,545.6,416.9,859.9,876.7,143.4,666.9,547.5,873.3,478.6,400.3,492.8,724.8,338.5,534.6,766.2,667.1,477.8,441.8,453.8,518.6,695.8,867.8,177.0,667.0,697.1,255.0,1434.0,532.7,698.4,333.9,679.0,556.7,649.3,494.3,522.8,962.8,305.8,833.2,617.4,523.8,13.6,822.2,246.8
KK,38.9,846.5,613.3,633.3,93.7,603.0,528.9,1059.0,82.1,521.0,507.9,205.8,464.1,908.2,232.3,84.2,581.6,623.5,533.2,909.9,569.8,987.3,543.0,495.5,1046.0,919.9,677.6,878.4,755.3,491.9,499.5,522.8,925.1,758.6,122.4,650.4,623.5,1062.0,594.0,374.9,541.5,772.9,562.5,121.7,154.2,648.2,561.1,915.4,743.0,138.5,533.1,457.5,73.1,437.3,662.1,544.5,396.3,561.5,389.1,524.3,74.6,0.0,775.4,778.2,822.1,1034.0,717.2,93.0,807.6,540.6,968.6,726.4,838.3,423.8,789.1,545.5,585.6,579.5,483.8,571.0,564.1,35.6,558.5,437.3,610.8,825.2,1014.5,519.9,650.5,450.8,561.1,331.6,540.6,628.8,528.5,745.1,992.9,487.5,412.6,560.2,573.5,611.4,962.3,225.7,165.0,901.4,526.8,728.2,934.5,698.5,381.8,620.3,491.6,934.6,951.4,74.2,741.6,487.3,948.0,414.7,475.0,567.5,799.5,413.2,609.3,840.9,606.9,552.5,516.5,528.5,458.4,770.5,942.5,195.4,645.8,722.3,259.9,1364.8,434.7,773.1,408.6,753.7,507.1,724.0,569.0,462.6,1037.5,380.5,907.9,692.1,598.5,56.6,896.9,224.2
