from_stop,AP,AV,BC,BE,BF,BH,BK,BM,BP,BY,CC,CE,CG,CI,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,GA,GC,GR,GW,HF,HG,HH,HT,IF,II,IL,IS,IT,IV,IY,JC,JH,KJ,KS,KU,KW,LE,LN,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VR,VS,VW,VZ,WD,WI,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK
IL,742.4,98.8,97.2,690.4,971.7,892.9,508.9,278.1,607.3,271.9,580.7,161.2,933.7,801.3,557.1,103.0,894.4,564.8,187.1,315.2,308.0,136.6,675.0,744.3,551.0,53.7,552.8,488.1,544.1,638.4,574.0,988.6,150.2,590.7,825.8,357.0,546.4,470.8,794.2,714.8,340.7,477.7,768.5,228.6,840.1,890.2,499.7,0.0,908.8,236.4,623.8,896.2,1009.3,613.5,714.4,866.5,271.3,951.7,796.1,1033.9,506.0,485.0,590.3,1201.6,272.4,728.0,470.0,906.8,834.0,751.7,161.5,386.2,642.9,703.8,633.3,405.4,688.4,680.4,713.2,408.5,531.0,694.6,625.5,706.9,413.2,286.6,700.7,628.9,147.1,391.0,389.2,250.1,449.7,621.9,465.9,373.1,767.0,598.8,371.3,903.6,324.0,457.5,446.4,718.0,177.2,531.7,922.6,653.6,391.4,827.4,988.4,397.5,688.4,632.8,361.3,348.9,888.7,327.6,1041.5,459.4,815.6,497.1,728.7,1030.9,275.8,380.8,994.0,1032.5,611.0,700.6,312.9,664.0,445.5,540.5,375.0,690.1,795.5
IS,529.6,1105.4,997.2,882.5,346.5,117.3,622.2,1018.5,606.8,787.0,750.5,918.9,125.6,549.4,688.0,901.4,357.6,782.6,859.6,838.0,752.1,1087.5,614.0,727.4,640.2,1060.3,472.3,705.9,713.9,503.9,736.9,180.5,925.8,753.6,394.9,762.0,464.2,699.3,542.3,845.7,709.4,608.6,495.1,907.5,648.5,114.6,829.7,1006.5,0.0,820.8,815.9,508.2,384.1,770.1,719.6,482.5,1011.7,143.6,604.5,358.9,723.8,730.0,589.8,1293.0,785.3,609.0,558.9,131.2,386.7,943.8,849.8,812.1,835.0,686.9,764.2,691.3,666.0,811.3,905.3,751.7,687.6,633.6,491.0,684.5,760.6,930.1,637.4,703.2,1153.7,656.9,1129.6,834.5,765.3,814.0,751.8,799.0,703.7,558.4,728.4,5.1,749.9,697.2,750.3,848.9,1157.1,618.6,385.8,784.5,1131.8,501.0,605.4,663.4,671.5,498.3,1101.7,774.8,113.1,1068.0,227.7,745.3,647.8,610.4,920.8,235.4,919.3,903.6,368.8,649.5,741.9,700.1,738.8,603.0,728.3,609.8,648.1,689.6,708.8
IT,555.5,362.0,360.4,521.5,825.9,706.0,322.0,197.6,420.4,33.7,393.8,98.0,746.8,614.4,388.2,193.1,748.6,395.9,57.2,77.2,70.0,399.8,529.7,877.4,382.1,316.9,364.2,319.2,357.2,451.5,387.1,801.7,104.9,403.8,680.0,221.7,359.5,283.9,607.3,545.9,192.0,308.8,645.1,314.2,653.2,703.3,649.3,263.1,721.9,0.0,454.9,750.4,863.5,440.3,864.0,720.7,190.8,764.8,609.2,888.1,337.1,634.6,403.4,1032.7,34.4,541.1,283.1,719.9,688.2,582.8,251.6,160.7,474.0,836.9,464.4,218.5,816.0,511.5,544.3,239.6,374.8,549.3,438.6,834.5,226.3,336.8,555.4,778.5,381.0,204.1,308.7,13.6,599.3,453.0,279.0,147.6,621.7,453.5,247.3,716.7,71.9,288.6,297.5,549.1,336.2,386.4,776.8,484.7,310.9,681.6,847.6,210.6,821.5,445.9,280.8,112.1,701.8,247.1,848.9,272.5,890.0,310.2,559.8,885.1,326.0,142.8,848.2,891.7,442.1,513.7,82.7,518.7,258.6,395.2,206.1,503.2,945.1
IV,809.7,751.5,643.3,103.4,1080.1,755.7,576.2,682.6,674.6,451.1,648.0,583.0,813.4,868.6,160.9,547.5,1002.8,192.4,523.7,502.1,416.2,733.6,474.4,1131.6,324.1,706.4,618.4,144.2,611.4,665.1,444.7,868.3,589.9,461.4,934.2,461.1,613.7,538.1,861.5,197.8,444.8,220.4,899.3,553.6,907.4,758.4,888.7,652.6,848.8,484.9,0.0,1004.6,1117.7,477.9,1103.4,974.9,675.8,831.4,863.4,1046.7,128.2,874.0,657.6,1024.1,449.4,795.3,537.3,741.9,942.4,164.7,495.9,476.2,55.9,1091.1,116.3,426.2,1070.2,302.2,126.2,376.4,395.4,494.0,652.2,1088.7,480.5,576.2,500.1,1017.9,799.8,458.3,793.7,498.6,838.7,64.1,460.4,463.1,566.4,398.2,475.4,843.6,414.0,321.9,550.5,339.8,821.2,385.6,1031.0,275.4,795.9,935.8,1101.8,464.8,1075.7,659.5,765.8,438.9,759.9,732.1,915.5,453.9,1144.2,564.4,141.7,923.2,565.4,567.7,1102.4,1145.9,232.8,767.9,402.9,463.4,512.8,376.8,272.8,757.4,1184.5
IY,192.2,943.4,832.9,1065.6,266.3,438.1,531.8,949.3,326.7,717.8,660.1,849.7,381.3,212.0,945.5,832.2,189.0,940.0,790.4,768.8,682.9,742.7,752.1,390.0,778.3,824.6,460.2,863.3,623.5,547.5,790.7,385.7,856.6,807.4,120.4,692.8,584.9,630.1,204.9,1103.2,640.2,866.1,157.7,724.0,311.1,435.4,492.3,876.1,490.3,751.6,999.0,0.0,303.9,843.9,363.9,161.1,942.5,363.1,267.1,328.5,881.2,392.6,343.7,1613.8,716.1,271.6,468.5,452.0,128.6,1126.9,780.6,742.9,1018.1,349.5,1021.7,622.1,328.6,1068.8,1088.4,783.7,778.4,771.7,534.6,347.1,691.4,860.9,775.5,334.5,849.1,587.7,1060.4,765.3,427.9,997.1,682.6,729.8,841.8,696.5,659.2,485.1,680.7,787.9,681.1,1106.4,886.8,756.7,217.2,1042.0,1062.6,163.6,97.1,594.2,334.1,541.9,1032.5,705.6,433.9,998.8,336.1,676.1,139.5,520.0,1103.9,325.5,850.1,834.4,288.6,141.2,999.4,348.0,669.6,741.1,659.1,747.9,790.5,472.2,339.4
JC,298.1,1049.3,938.8,1072.0,84.2,306.8,637.7,1055.2,432.6,823.5,766.0,955.6,250.0,317.9,877.5,938.1,126.1,972.1,896.3,874.7,786.6,848.6,803.5,495.9,829.7,930.5,566.1,895.4,729.4,653.4,896.6,254.4,962.5,913.3,163.4,798.7,653.7,736.0,310.8,1035.2,746.1,798.1,263.6,829.9,417.0,304.1,598.2,982.0,359.0,857.5,1005.4,276.7,0.0,949.8,640.7,251.0,1048.4,231.8,373.0,50.5,913.3,498.5,449.6,1482.5,822.0,377.5,574.4,320.7,155.2,1133.3,886.5,848.8,1024.5,455.4,953.7,728.0,434.5,1000.8,1094.8,889.6,877.1,823.1,640.5,453.0,797.3,966.8,826.9,611.3,955.0,693.6,1166.3,871.2,533.8,1003.5,788.5,835.7,893.2,747.9,765.1,353.8,786.6,886.7,787.0,1038.4,992.7,808.1,154.3,974.0,1168.5,269.5,373.9,700.1,440.0,647.8,1138.4,811.5,302.6,1104.7,204.8,782.0,416.3,625.9,1110.3,194.2,956.0,940.3,15.3,418.0,931.4,453.9,775.5,792.5,765.0,799.3,837.6,578.1,616.2
JH,617.8,714.9,606.7,552.9,888.2,683.6,384.3,628.0,482.7,396.5,456.1,528.4,724.4,676.7,405.1,510.9,810.9,427.3,469.1,447.5,361.6,697.0,325.1,939.7,237.9,669.8,426.5,350.6,419.5,513.8,68.4,779.3,535.3,85.1,742.3,353.5,421.8,346.2,669.6,562.8,318.9,325.7,707.4,517.0,715.5,680.9,852.1,616.0,699.5,430.3,486.3,812.7,925.8,0.0,1066.8,783.0,621.2,742.4,671.5,950.4,368.5,837.4,465.7,1064.1,394.8,603.4,345.4,697.5,750.5,614.2,459.3,421.6,505.4,899.2,481.3,202.0,878.3,528.4,575.7,354.5,101.4,344.7,500.9,896.8,288.6,539.6,350.8,981.3,763.2,248.4,739.1,444.0,802.1,484.4,236.2,408.5,417.1,248.9,319.9,694.3,359.4,182.3,341.8,566.0,766.6,181.8,839.1,501.6,741.3,743.9,909.9,254.9,883.8,508.2,711.2,384.3,679.4,677.5,826.5,229.7,952.3,372.5,591.2,834.2,528.8,513.1,910.5,954.0,459.0,576.0,348.3,314.1,320.9,190.6,250.9,565.5,1147.9
KJ,585.6,770.5,660.0,1147.7,659.7,634.6,925.2,854.1,720.1,818.4,1053.5,864.5,577.8,605.4,1014.4,713.2,582.4,1022.1,849.5,869.4,783.5,569.8,1145.5,496.8,1008.3,651.7,853.6,945.4,1016.9,940.9,1031.3,600.2,853.5,1048.0,513.8,814.3,978.3,928.1,598.3,1172.1,798.0,935.0,551.1,551.1,704.5,631.9,319.4,703.2,686.8,852.2,1081.1,393.3,697.3,1070.8,0.0,554.5,860.9,559.6,660.5,639.8,963.3,219.7,737.1,1658.9,816.7,665.0,861.9,648.5,522.0,1209.0,661.6,843.5,1100.2,456.3,1090.6,862.7,440.9,1137.7,1170.5,865.8,988.3,1165.1,928.0,459.4,870.5,761.9,1168.9,76.6,676.2,848.3,855.5,865.9,255.0,1079.2,923.2,830.4,1235.2,1089.9,828.6,681.6,781.3,914.8,903.7,1175.3,713.9,989.0,610.6,1110.9,780.7,557.0,299.0,854.8,440.9,935.3,816.9,806.2,630.4,804.6,550.6,916.7,227.2,913.4,1186.0,540.0,751.1,935.0,682.0,345.2,1068.3,741.4,770.2,1134.5,902.8,997.8,832.3,865.6,81.0
KS,192.4,943.6,833.1,1065.8,230.5,402.3,532.0,949.5,326.9,718.0,660.3,849.9,345.5,212.2,945.7,832.4,153.2,940.2,790.6,769.0,683.1,742.9,752.3,390.2,778.5,824.8,460.4,863.5,623.7,547.7,790.9,349.9,856.8,807.6,84.6,693.0,585.1,630.3,205.1,1103.4,640.4,866.3,157.9,724.2,311.3,399.6,492.5,876.3,454.5,751.8,999.2,171.0,268.1,844.1,535.0,0.0,942.7,327.3,267.3,292.7,881.4,392.8,343.9,1578.0,716.3,271.8,468.7,416.2,92.8,1127.1,780.8,743.1,1018.3,349.7,1021.9,622.3,328.8,1069.0,1088.6,783.9,778.6,771.9,534.8,347.3,691.6,861.1,775.7,505.6,849.3,587.9,1060.6,765.5,428.1,997.3,682.8,730.0,842.0,696.7,659.4,449.3,680.9,788.1,681.3,1106.6,887.0,756.9,181.4,1042.2,1062.8,163.8,268.2,594.4,334.3,542.1,1032.7,705.8,398.1,999.0,300.3,676.3,310.6,520.2,1104.1,289.7,850.3,834.6,252.8,312.3,999.6,348.2,669.8,741.3,659.3,748.1,790.7,472.4,510.5
KU,769.9,223.7,391.4,735.9,1040.3,920.4,536.4,6.7,634.8,248.1,608.2,129.0,961.2,828.8,602.6,385.4,963.0,610.3,271.6,291.6,284.4,323.6,744.1,892.5,596.5,347.9,578.6,533.6,571.6,665.9,601.5,1016.1,135.9,618.2,894.4,436.1,573.9,498.3,821.7,760.3,406.4,523.2,859.5,454.1,867.6,917.7,647.9,294.1,936.3,214.3,669.3,964.8,1077.9,654.7,862.6,935.1,0.0,979.2,823.6,1102.5,551.5,633.2,617.8,1247.1,248.8,755.5,497.5,934.3,902.6,797.2,443.9,375.1,688.4,852.0,678.8,432.9,836.6,725.9,758.7,454.0,589.2,763.7,653.0,855.1,440.7,569.0,769.8,777.1,190.1,418.5,117.8,199.1,597.9,667.4,493.4,362.0,836.1,667.9,461.7,931.1,286.3,503.0,511.9,763.5,145.3,600.8,991.2,699.1,120.0,896.0,1062.0,425.0,836.6,660.3,89.9,326.5,916.2,56.2,1063.3,486.9,963.8,524.6,774.2,1099.5,558.2,357.2,1062.6,1106.1,656.5,728.1,297.1,733.1,473.0,609.6,420.5,717.6,943.7
KW,384.6,1061.7,953.5,838.8,201.5,73.6,578.5,974.8,563.1,743.1,706.8,875.2,16.8,404.4,644.3,857.7,212.6,738.9,815.9,794.3,706.2,933.6,570.3,582.4,596.5,1016.6,427.9,662.2,670.2,460.2,693.2,35.5,882.1,709.9,249.9,718.3,420.5,655.6,397.3,802.0,665.7,564.9,350.1,863.8,503.5,70.9,684.7,962.8,125.8,777.1,772.2,363.2,239.1,726.4,574.6,337.5,968.0,0.0,459.5,213.9,680.1,585.0,546.1,1249.3,741.6,464.0,515.2,87.5,241.7,900.1,806.1,768.4,791.3,541.9,720.5,647.6,521.0,767.6,861.6,708.0,643.9,589.9,447.3,539.5,716.9,886.4,593.7,558.2,1110.0,613.2,1085.9,790.8,620.3,770.3,708.1,755.3,660.0,514.7,684.7,120.6,706.2,653.5,706.6,805.2,1113.4,574.9,240.8,740.8,1088.1,356.0,460.4,619.7,526.5,454.6,1058.0,731.1,69.4,1024.3,82.7,701.6,502.8,566.7,877.1,90.4,875.6,859.9,223.8,504.5,698.2,540.4,695.1,559.3,684.6,566.1,604.4,645.9,563.8
LE,76.8,896.2,788.0,925.6,327.0,498.8,391.8,809.3,186.7,577.8,520.1,709.7,442.0,44.4,805.5,692.2,249.7,800.0,650.4,628.8,542.9,731.2,612.1,378.5,638.3,813.1,320.2,723.3,483.5,407.5,650.7,446.4,716.6,667.4,181.1,552.8,444.9,490.1,51.7,963.2,500.2,726.1,146.2,698.3,43.9,496.1,480.8,797.3,551.0,611.6,859.0,251.5,364.6,703.9,615.5,221.8,802.5,423.8,0.0,389.2,741.2,381.1,203.7,1436.8,576.1,131.6,328.5,512.7,189.3,986.9,640.6,602.9,878.1,338.0,881.7,482.1,317.1,928.8,948.4,643.7,638.4,631.7,394.6,335.6,551.4,720.9,635.5,586.1,837.6,447.7,920.4,625.3,416.4,857.1,542.6,589.8,701.8,556.5,519.2,545.8,540.7,647.9,541.1,966.4,947.9,616.7,277.9,902.0,922.6,182.7,348.7,454.2,322.6,401.9,892.5,565.6,494.6,858.8,396.8,536.1,391.1,380.0,963.9,386.2,710.1,694.4,349.3,392.8,859.4,208.0,529.6,601.1,519.1,607.9,650.5,332.2,591.0
LN,322.7,1073.9,963.4,1054.3,52.1,289.1,662.3,1079.8,457.2,848.3,790.6,980.2,232.3,342.5,859.8,962.7,150.7,954.4,920.9,899.3,813.4,873.2,785.8,520.5,812.0,955.1,590.7,877.7,754.0,675.7,908.7,236.7,987.1,925.4,188.0,823.3,636.0,760.6,335.4,1017.5,770.7,780.4,288.2,854.5,441.6,286.4,622.8,1006.6,341.3,882.1,987.7,301.3,60.5,941.9,665.3,275.6,1073.0,214.1,397.6,0.0,895.6,523.1,474.2,1464.8,846.6,402.1,599.0,303.0,179.8,1115.6,911.1,873.4,1006.8,480.0,936.0,752.6,459.1,983.1,1077.1,914.2,859.4,805.4,662.8,477.6,821.9,991.4,809.2,635.9,979.6,718.2,1190.9,895.8,558.4,985.8,813.1,860.3,875.5,730.2,789.7,336.1,811.2,869.0,811.6,1020.7,1017.3,790.4,178.9,956.3,1193.1,294.1,398.5,724.7,464.6,670.1,1163.0,836.1,284.9,1129.3,187.1,806.6,440.9,650.5,1092.6,176.5,980.6,964.9,75.8,442.6,913.7,478.5,800.1,774.8,789.6,781.6,819.9,602.7,640.8
LU,681.4,623.2,515.0,184.3,951.8,627.4,447.9,554.3,546.3,322.8,519.7,454.7,685.1,740.3,188.0,419.2,874.5,58.7,395.4,373.8,287.9,605.3,395.5,1003.3,245.2,578.1,490.1,15.9,483.1,577.4,316.4,740.0,461.6,333.1,805.9,332.8,485.4,409.8,733.2,224.9,316.5,171.9,771.0,425.3,779.1,630.1,760.4,524.3,769.9,356.6,117.7,876.3,989.4,349.6,975.1,846.6,547.5,703.1,735.1,918.4,0.0,745.7,529.3,895.8,321.1,667.0,409.0,613.6,814.1,245.6,367.6,347.9,136.8,962.8,143.4,297.9,941.9,329.3,207.1,248.1,267.1,415.1,564.5,960.4,352.2,447.9,421.2,889.6,671.5,330.0,665.4,370.3,710.4,115.8,332.1,334.8,487.5,319.3,347.1,764.7,285.7,193.6,422.2,366.9,692.9,267.8,902.7,302.5,667.6,807.5,973.5,336.5,947.4,571.8,637.5,310.6,631.6,603.8,787.2,325.6,1015.9,436.1,222.6,794.9,437.1,439.4,974.1,1017.6,259.9,639.6,274.6,384.5,384.5,276.6,144.5,629.1,1056.2
MC,320.3,550.7,440.2,927.9,486.6,658.4,659.9,634.3,454.8,598.6,788.2,644.7,601.6,340.1,794.6,493.4,409.3,802.3,629.7,649.6,563.7,350.0,880.2,259.2,788.5,431.9,588.3,725.6,751.6,675.6,811.5,606.0,633.7,828.2,340.7,594.5,713.0,758.2,333.0,952.3,578.2,715.2,283.4,331.3,439.2,655.7,99.6,483.4,710.6,632.4,861.3,411.1,524.2,851.0,229.3,381.4,641.1,583.4,395.2,548.8,743.5,0.0,471.8,1439.1,596.9,399.7,596.6,672.3,348.9,989.2,441.8,623.7,880.4,218.7,870.8,642.9,203.3,917.9,950.7,646.0,768.5,899.8,662.7,221.8,650.7,542.1,903.6,143.8,456.4,715.8,635.7,646.1,35.2,859.4,703.4,610.6,969.9,824.6,608.8,705.4,561.5,695.0,683.9,955.5,494.1,769.2,437.5,891.1,560.9,342.3,503.3,722.3,203.3,670.0,597.1,586.4,654.2,584.8,556.4,696.9,330.5,648.1,966.2,545.8,531.3,715.2,508.9,547.4,848.5,476.1,550.4,869.2,683.0,778.0,612.5,600.3,310.4
MH,152.0,692.4,584.2,721.8,422.4,486.0,188.0,605.5,16.9,374.0,316.3,505.9,537.4,210.9,601.7,488.4,345.1,596.2,446.6,425.0,339.1,674.5,408.3,473.9,434.5,647.3,116.4,519.5,279.7,203.7,446.9,541.8,512.8,463.6,276.5,349.0,241.1,286.3,203.8,759.4,296.4,522.3,241.6,494.5,249.7,483.3,576.2,593.5,501.9,407.8,655.2,346.9,460.0,500.1,710.9,317.2,598.7,519.2,205.7,484.6,537.4,476.5,0.0,1233.0,372.3,137.6,124.7,499.9,284.7,783.1,436.8,399.1,674.3,433.4,677.9,278.3,412.5,725.0,744.6,439.9,434.6,427.9,190.8,431.0,347.6,517.1,431.7,681.5,740.7,243.9,716.6,421.5,511.8,653.3,338.8,386.0,498.0,352.7,315.4,496.7,336.9,444.1,337.3,762.6,744.1,412.9,373.3,698.2,718.8,278.1,444.1,250.4,418.0,198.1,688.7,361.8,481.8,655.0,492.2,332.3,486.5,176.2,760.1,481.6,506.3,490.6,444.7,488.2,655.6,110.2,325.8,397.3,315.3,404.1,446.7,128.4,686.4
MI,1419.3,1361.1,1252.9,1116.8,1444.9,1166.3,1185.8,1292.2,1284.2,1060.7,1257.6,1192.6,1224.0,1478.2,922.3,1157.1,1456.0,1016.9,1133.3,1111.7,1025.8,1343.2,1040.4,1741.2,890.1,1316.0,1199.5,940.2,1221.0,1231.1,1054.3,1278.9,1199.5,1071.0,1543.8,1070.7,1191.4,1147.7,1471.1,1080.0,1054.4,842.9,1508.9,1163.2,1517.0,1169.0,1498.3,1262.2,1414.8,1094.5,1050.2,1614.2,1482.5,1087.5,1713.0,1584.5,1285.4,1242.0,1473.0,1457.3,958.1,1483.6,1267.2,0.0,1059.0,1404.9,1146.9,1152.5,1552.0,1178.1,1105.5,1085.8,1069.3,1700.7,998.5,1035.8,1679.8,1045.6,1139.6,986.0,1005.0,1060.0,1218.2,1698.3,1090.1,1185.8,1066.1,1627.5,1420.2,1067.9,1403.3,1108.2,1448.3,1048.3,1070.0,1072.7,1132.4,964.2,1085.0,1409.6,1023.6,931.5,1160.1,1083.2,1457.9,951.6,1484.2,1018.8,1405.5,1545.4,1711.4,1074.4,1685.3,1225.5,1375.4,1048.5,1170.5,1341.7,1326.1,1063.5,1753.8,1174.0,1155.1,1333.8,1175.0,1177.3,1467.2,1755.5,976.2,1377.5,1012.5,1029.4,1122.4,942.8,882.4,1367.0,1794.1
MJ,520.0,380.9,379.3,486.0,790.4,670.5,286.5,232.1,384.9,0.7,358.3,132.5,711.3,578.9,352.7,209.1,713.1,360.4,73.2,37.7,34.5,418.7,494.2,841.9,346.6,335.8,328.7,283.7,321.7,416.0,351.6,766.2,139.4,368.3,644.5,186.2,324.0,248.4,571.8,510.4,156.5,273.3,609.6,278.7,617.7,667.8,613.8,282.0,686.4,34.4,419.4,714.9,828.0,404.8,828.5,685.2,225.3,729.3,573.7,852.6,301.6,599.1,367.9,997.2,0.0,505.6,247.6,684.4,652.7,547.3,267.6,125.2,438.5,801.4,428.9,183.0,780.5,476.0,508.8,204.1,339.3,513.8,403.1,799.0,190.8,301.3,519.9,743.0,415.5,168.6,343.2,48.1,563.8,417.5,243.5,112.1,586.2,418.0,211.8,681.2,36.4,253.1,262.0,513.6,370.7,350.9,741.3,449.2,345.4,646.1,812.1,175.1,786.0,410.4,315.3,76.6,666.3,281.6,813.4,237.0,854.5,274.7,524.3,849.6,290.5,103.2,812.7,856.2,406.6,478.2,47.2,483.2,223.1,359.7,170.6,467.7,909.6
MK,68.9,839.1,730.9,868.5,339.3,511.1,334.7,752.2,129.6,520.7,463.0,652.6,454.3,127.8,748.4,635.1,262.0,742.9,593.3,571.7,485.8,743.5,555.0,390.8,581.2,794.0,263.1,666.2,426.4,350.4,593.6,458.7,659.5,610.3,193.4,495.7,387.8,433.0,120.7,906.1,443.1,669.0,158.5,641.2,166.6,508.4,493.1,740.2,563.3,554.5,801.9,263.8,376.9,646.8,627.8,234.1,745.4,436.1,122.6,401.5,684.1,393.4,146.6,1379.7,519.0,0.0,271.4,525.0,201.6,929.8,583.5,545.8,821.0,350.3,824.6,425.0,329.4,871.7,891.3,586.6,581.3,574.6,337.5,347.9,494.3,663.8,578.4,598.4,887.4,390.6,863.3,568.2,428.7,800.0,485.5,532.7,644.7,499.4,462.1,558.1,483.6,590.8,484.0,909.3,890.8,559.6,290.2,844.9,865.5,195.0,361.0,397.1,334.9,344.8,835.4,508.5,506.9,801.7,409.1,479.0,403.4,322.9,906.8,398.5,653.0,637.3,361.6,405.1,802.3,150.9,472.5,544.0,462.0,550.8,593.4,275.1,603.3
MM,272.3,567.6,459.4,597.0,542.7,450.6,63.2,480.7,137.2,249.2,191.5,381.1,491.4,331.2,463.7,363.6,465.4,471.4,321.8,300.2,214.3,549.7,372.9,594.2,377.5,522.5,81.0,394.7,154.9,168.3,322.1,546.3,388.0,338.8,396.8,224.2,205.7,161.5,324.1,621.4,171.6,384.3,361.9,369.7,370.0,447.9,704.8,468.7,466.5,283.0,530.4,467.2,580.3,375.3,831.2,437.5,473.9,509.4,326.0,604.9,412.6,596.8,120.2,1108.2,247.5,257.9,0.0,464.5,405.0,658.3,312.0,274.3,549.5,553.7,539.9,153.5,532.8,587.0,619.8,315.1,309.8,392.5,155.4,551.3,222.8,392.3,396.3,834.0,615.9,119.1,591.8,296.7,632.1,528.5,214.0,261.2,462.6,317.3,190.6,461.3,212.1,319.3,212.5,624.6,619.3,321.4,493.6,560.2,594.0,398.4,564.4,125.6,538.3,162.7,563.9,237.0,446.4,530.2,612.5,207.5,606.8,51.4,635.3,601.9,381.5,365.8,565.0,608.5,517.6,230.5,201.0,361.9,190.5,330.2,321.9,220.0,806.7
MO,475.4,995.5,887.3,751.2,292.3,13.7,555.5,926.6,540.1,695.1,683.8,827.0,71.4,495.2,556.7,791.5,303.4,651.3,767.7,746.1,660.2,977.6,547.3,673.2,524.5,950.4,405.6,574.6,647.2,437.2,688.7,126.3,833.9,705.4,340.7,705.1,397.5,632.6,488.1,714.4,642.7,477.3,440.9,797.6,594.3,16.4,775.5,896.6,135.3,728.9,684.6,454.0,329.9,721.9,665.4,428.3,919.8,89.4,550.3,304.7,592.5,675.8,523.1,1161.7,693.4,554.8,492.2,0.0,332.5,812.5,739.9,720.2,703.7,632.7,632.9,624.6,611.8,680.0,774.0,620.4,639.4,566.9,424.3,630.3,724.5,820.2,570.7,649.0,1043.8,590.2,1037.7,742.6,711.1,682.7,704.4,707.1,637.0,491.7,661.7,130.1,658.0,565.9,683.6,717.6,1065.2,586.0,331.6,653.2,1039.9,446.8,551.2,596.7,617.3,431.6,1009.8,682.9,17.9,976.1,173.5,697.9,593.6,543.7,789.5,181.2,809.4,811.7,314.6,595.3,610.6,631.2,646.9,536.3,661.6,577.2,516.8,622.9,654.6
MR,142.8,894.0,783.5,1016.2,137.6,309.4,482.4,899.9,277.3,668.4,610.7,800.3,252.6,162.6,896.1,782.8,60.3,890.6,741.0,719.4,633.5,693.3,702.7,340.6,728.9,775.2,410.8,813.9,574.1,498.1,741.3,257.0,807.2,758.0,8.1,643.4,535.5,580.7,155.5,1053.8,590.8,816.7,108.3,674.6,261.7,306.7,442.9,826.7,361.6,702.2,949.6,121.4,175.2,794.5,485.4,95.7,893.1,234.4,217.7,199.8,831.8,343.2,294.3,1485.1,666.7,222.2,419.1,323.3,0.0,1077.5,731.2,693.5,968.7,300.1,972.3,572.7,279.2,1019.4,1039.0,734.3,729.0,722.3,485.2,297.7,642.0,811.5,726.1,456.0,799.7,538.3,1011.0,715.9,378.5,947.7,633.2,680.4,792.4,647.1,609.8,356.4,631.3,738.5,631.7,1057.0,837.4,707.3,88.5,992.6,1013.2,114.2,218.6,544.8,284.7,492.5,983.1,656.2,305.2,949.4,207.4,626.7,261.0,470.6,1054.5,196.8,800.7,785.0,159.9,262.7,950.0,298.6,620.2,691.7,609.7,698.5,741.1,422.8,460.9
NA,882.4,824.2,716.0,28.8,1152.8,828.4,648.9,755.3,747.3,523.8,720.7,655.7,886.1,941.3,233.6,620.2,1075.5,265.1,596.4,574.8,488.9,806.3,547.1,1204.3,396.8,779.1,691.1,216.9,684.1,737.8,517.4,941.0,662.6,534.1,1006.9,533.8,686.4,610.8,934.2,270.5,517.5,293.1,972.0,626.3,980.1,831.1,961.4,725.3,921.5,557.6,89.5,1077.3,1190.4,550.6,1176.1,1047.6,748.5,904.1,936.1,1119.4,200.9,946.7,730.3,1096.8,522.1,868.0,610.0,814.6,1015.1,0.0,568.6,548.9,66.0,1163.8,189.0,498.9,1142.9,374.9,168.9,449.1,468.1,566.7,724.9,1161.4,553.2,648.9,572.8,1090.6,872.5,531.0,866.4,571.3,911.4,136.8,533.1,535.8,639.1,470.9,548.1,916.3,486.7,394.6,623.2,412.5,893.9,458.3,1103.7,348.1,868.6,1008.5,1174.5,537.5,1148.4,732.2,838.5,511.6,832.6,804.8,988.2,526.6,1216.9,637.1,154.5,995.9,638.1,640.4,1175.1,1218.6,305.5,840.6,475.6,536.1,585.5,449.5,345.5,830.1,1257.2
NL,580.8,255.5,253.9,528.8,851.2,731.3,347.3,431.0,445.7,199.5,419.1,326.1,772.1,639.7,395.5,51.5,773.9,403.2,187.8,250.5,164.6,293.3,513.4,700.1,389.4,210.4,389.5,326.5,382.5,476.8,412.4,827.0,315.1,429.1,705.3,195.4,384.8,309.2,632.6,553.2,179.1,316.1,670.4,120.4,678.5,728.6,455.5,156.6,747.2,233.3,462.2,775.7,888.8,451.9,670.2,746.0,424.2,790.1,634.5,913.4,344.4,440.8,428.7,1040.0,197.8,566.4,308.4,745.2,713.5,590.1,0.0,224.6,481.3,659.6,471.7,243.8,644.2,518.8,551.6,246.9,369.4,533.0,463.9,662.7,251.6,125.0,539.1,584.7,303.8,229.4,542.1,247.0,405.5,460.3,304.3,211.5,605.4,437.2,209.7,742.0,162.4,295.9,284.8,556.4,333.9,370.1,802.1,492.0,544.3,706.9,872.9,235.9,644.2,471.2,514.2,187.3,727.1,480.5,874.2,297.8,771.4,335.5,567.1,910.4,114.2,316.1,873.5,917.0,449.4,539.0,151.3,502.4,283.9,378.9,213.4,528.5,751.3
