from_stop,AO,AR,AS,AT,AW,AX,AY,BB,BD,BG,BH,BT,BW,CB,CK,CW,CZ,DI,DQ,DX,DZ,EA,EE,EG,EK,EO,ER,EU,EY,FA,FI,FM,FR,FS,FZ,GD,GG,GI,GJ,GM,HB,HI,HJ,HO,HR,HV,HW,HZ,IB,IC,IG,IL,IS,IX,JA,JB,JJ,JO,JQ,JU,JW,KH,KM,KR,KU,LG,LH,LI,LK,LM,LN,LU,LW,MF,MH,MV,MW,ND,NH,NN,NQ,NU,OC,OE,OK,ON,OT,OX,OY,OZ,PC,PE,PF,PP,PX,QA,QI,QN,QQ,QT,QX,QY,RB,RE,RJ,RL,RM,RP,RY,SG,SL,SW,SZ,TA,TD,TG,TI,TQ,TS,TU,TY,UB,UD,UE,UH,UJ,UO,UR,US,UU,VF,VQ,WA,WH,WJ,WS,WW,WX,XA,XJ,XY,YH,YJ,YN,ZA,ZE,ZF,ZQ,ZU,ZX
HO,508.6,369.2,500.7,919.0,379.1,107.0,118.3,474.2,585.4,824.3,386.0,665.0,423.8,500.0,338.2,274.9,323.3,583.1,378.1,363.5,519.2,235.9,143.3,781.9,368.3,762.4,785.3,737.5,436.5,620.0,248.8,857.9,373.5,203.5,438.4,167.9,534.3,127.4,362.5,301.5,460.7,609.1,403.8,0.0,523.3,391.0,402.6,478.8,415.9,829.0,261.9,502.0,232.9,280.5,718.6,271.4,604.2,640.0,480.4,433.0,363.2,514.0,373.5,684.5,585.1,431.2,372.4,930.8,371.0,744.8,444.7,366.9,281.1,685.7,610.7,474.6,593.2,429.5,514.7,398.0,771.0,442.8,530.9,404.5,453.9,686.4,625.4,604.7,232.9,641.3,217.1,132.3,531.7,840.2,502.6,339.9,392.7,57.8,557.7,97.9,444.6,618.4,379.6,253.0,2403.6,93.0,537.2,261.7,117.7,569.3,364.8,383.9,93.2,1054.6,655.2,385.9,6.5,442.7,568.5,509.4,655.6,549.2,432.3,349.1,564.4,559.2,279.1,356.6,595.4,245.0,353.3,579.0,512.0,714.3,314.0,853.6,536.1,392.5,527.4,475.6,373.5,760.1,539.8,769.9,213.4,590.2,82.6,506.5,640.2,286.8
HR,830.7,347.5,649.9,847.3,685.4,553.7,544.5,126.5,513.7,810.5,692.3,904.6,91.6,822.1,644.5,258.7,428.8,882.6,191.1,669.8,841.3,335.5,521.8,710.2,674.6,239.0,713.6,284.6,742.8,521.1,284.7,431.4,351.8,509.8,750.1,462.4,932.4,634.0,668.8,232.1,439.0,510.2,710.1,518.4,0.0,778.8,790.4,230.7,136.8,757.3,481.3,808.3,539.2,586.8,570.4,577.7,174.3,972.3,132.7,598.8,669.5,84.1,539.3,1016.8,486.2,737.5,760.2,859.1,298.7,673.1,610.5,743.5,387.7,603.3,539.0,796.7,915.3,807.0,767.5,704.3,812.2,253.5,459.2,207.6,432.2,163.0,842.7,861.8,451.9,211.4,358.3,454.4,853.8,449.1,755.4,713.9,371.0,564.4,505.7,541.1,372.9,921.4,357.9,472.4,2649.1,599.6,515.5,271.9,571.2,497.6,343.1,362.2,599.8,982.9,868.9,692.2,525.0,421.0,493.2,179.5,225.7,871.3,738.6,768.7,643.3,129.3,585.4,662.9,917.5,464.4,331.6,885.3,818.3,190.9,620.3,781.9,858.2,698.8,162.0,403.9,423.8,688.4,109.9,698.2,519.7,211.7,601.1,812.8,826.8,382.0
HV,915.4,618.4,403.4,1150.2,333.4,445.7,436.5,723.4,816.6,1113.4,288.7,1071.8,673.0,906.8,240.9,524.1,554.5,989.9,627.3,223.3,926.0,458.9,413.8,1013.1,228.1,1011.6,1016.5,968.7,126.5,851.2,498.0,1089.1,622.7,280.9,86.5,329.5,941.1,534.2,402.5,550.7,709.9,840.3,306.5,406.7,772.5,0.0,11.5,710.0,665.1,1060.2,589.3,276.4,337.1,204.7,949.8,311.4,853.4,1046.8,729.6,460.8,344.4,763.2,511.9,1091.3,816.3,333.9,56.7,1162.0,602.2,976.0,444.7,148.3,512.3,916.9,841.9,881.4,1000.0,211.8,383.9,172.4,1115.1,692.0,762.1,653.7,700.2,935.6,1032.2,1011.5,559.9,878.2,448.3,539.1,938.5,1071.4,395.4,121.3,641.9,464.6,788.9,376.4,675.8,1025.2,628.8,579.0,2731.0,499.8,786.4,510.9,406.5,800.5,614.0,633.1,500.0,1285.8,1062.0,284.6,400.1,691.9,799.7,740.6,852.1,956.0,292.1,142.3,467.1,791.5,319.1,216.4,1002.2,572.4,602.5,353.4,286.4,963.5,216.7,1084.8,942.9,166.9,758.6,706.8,604.7,991.3,789.0,1001.1,270.8,821.4,391.8,366.3,1129.7,518.0
HW,925.1,628.1,413.1,1159.9,343.1,455.4,446.2,733.1,826.3,1123.1,298.4,1081.5,682.7,916.5,250.6,533.8,564.2,999.6,637.0,233.0,935.7,468.6,423.5,1022.8,237.8,1021.3,1026.2,978.4,136.2,860.9,507.7,1098.8,632.4,290.6,96.2,339.2,950.8,543.9,412.2,560.4,719.6,850.0,316.2,416.4,782.2,9.6,0.0,719.7,674.8,1069.9,599.0,286.1,346.8,214.4,959.5,321.1,863.1,1056.5,739.3,470.5,354.1,772.9,521.6,1101.0,826.0,343.6,66.4,1171.7,611.9,985.7,454.4,158.0,522.0,926.6,851.6,891.1,1009.7,221.5,393.6,182.1,1124.8,701.7,771.8,663.4,712.8,945.3,1041.9,1021.2,569.6,887.9,458.0,548.8,948.2,1081.1,405.1,128.4,651.6,474.3,798.6,386.1,685.5,1034.9,638.5,588.7,2740.7,509.5,796.1,520.6,416.2,810.2,623.7,642.8,509.7,1295.5,1071.7,294.3,409.8,701.6,809.4,750.3,861.8,965.7,301.8,152.0,476.8,801.2,328.8,226.1,1011.9,582.1,612.2,363.1,296.1,973.2,226.4,1094.5,952.6,176.6,768.3,716.5,614.4,1001.0,798.7,1010.8,280.5,831.1,401.5,376.0,1139.4,527.7
HZ,721.0,449.2,590.7,648.2,626.2,494.5,485.3,265.6,314.6,611.4,633.1,705.5,230.7,712.4,585.3,354.9,229.7,683.5,330.2,610.6,731.6,315.9,462.6,511.1,615.4,451.6,514.5,497.2,683.6,349.2,328.8,644.0,453.5,450.6,690.9,403.2,733.3,592.8,609.6,381.5,540.7,338.3,650.9,477.2,212.5,719.6,731.2,0.0,275.9,558.2,440.1,749.1,480.0,527.6,447.8,518.5,220.3,773.2,271.8,539.6,610.3,138.3,480.1,817.7,314.3,678.3,701.0,660.0,99.6,474.0,551.3,684.3,188.6,414.9,339.9,687.0,889.2,747.8,761.8,645.1,613.1,392.6,260.1,346.7,533.9,375.6,643.6,662.7,410.7,179.8,266.9,413.2,744.1,569.4,749.7,657.3,472.7,523.2,286.9,481.9,173.8,722.3,459.6,431.2,2450.0,558.4,617.2,341.7,512.0,298.5,444.8,463.9,558.6,783.8,669.8,633.0,483.8,522.7,297.7,42.2,153.7,845.2,679.4,709.5,584.1,93.1,526.2,603.7,764.6,423.2,433.3,826.1,759.1,403.5,561.1,582.8,832.1,639.6,60.2,204.8,224.7,489.3,163.8,499.1,460.5,123.0,497.3,753.6,627.7,182.9
IB,716.7,233.5,535.9,946.2,571.4,439.7,430.5,101.1,612.6,909.4,578.3,873.1,50.7,708.1,530.5,144.7,350.5,791.2,77.1,555.8,727.3,221.5,407.8,809.1,560.6,389.3,812.5,434.9,628.8,671.4,170.7,581.7,237.8,395.8,636.1,348.4,742.4,520.0,554.8,118.1,325.0,660.5,596.1,404.4,150.2,664.8,676.4,287.5,0.0,856.2,367.3,694.3,425.2,472.8,720.7,463.7,231.1,848.1,107.3,484.8,555.5,140.9,425.3,892.6,636.5,623.5,646.2,958.0,355.5,772.0,496.5,629.5,308.3,753.6,637.9,682.7,801.3,693.0,707.0,590.3,911.1,139.5,558.1,93.6,318.2,313.3,833.5,812.8,337.9,268.2,244.3,340.4,739.8,599.4,694.9,602.5,257.0,450.4,584.9,427.1,471.8,826.5,243.9,358.4,2611.7,485.6,401.5,157.9,457.2,596.5,229.1,248.2,485.8,1081.8,863.3,578.2,411.0,307.0,595.7,236.3,282.5,757.3,624.6,654.7,529.3,186.1,471.4,548.9,803.5,350.4,217.6,771.3,704.3,341.2,506.3,880.8,744.2,584.8,218.8,502.8,400.7,787.3,166.7,797.1,405.7,268.5,487.1,698.8,848.3,314.0
IC,519.1,825.5,967.0,484.5,1002.5,870.8,861.6,818.3,512.3,447.7,1009.4,600.0,783.4,469.5,961.6,731.2,606.0,518.1,834.4,986.9,529.7,692.2,838.9,160.3,991.7,557.3,350.8,509.5,1059.9,546.9,705.1,363.8,829.8,826.9,1067.2,779.5,469.3,993.7,985.9,757.8,917.0,536.0,1027.2,878.1,765.2,1095.9,1107.5,564.3,828.6,0.0,816.4,1125.4,856.3,903.9,224.5,894.8,773.0,398.5,824.5,915.9,986.6,691.0,856.4,443.0,512.0,1054.6,1077.3,148.3,475.9,310.3,927.6,1060.6,564.9,191.6,238.4,435.4,584.3,1124.1,1138.1,1021.4,449.4,899.1,317.7,860.8,910.2,633.8,560.4,539.7,894.7,732.5,643.2,742.5,462.2,346.1,1126.0,1033.6,849.0,924.1,457.8,858.2,434.9,553.4,835.9,807.5,2036.2,959.3,993.5,718.0,888.3,279.3,821.1,840.2,959.5,370.0,590.2,1009.3,884.7,899.0,470.3,594.9,706.4,540.3,1055.7,1085.8,960.4,645.8,902.5,980.0,389.9,799.5,809.6,1202.4,1135.4,643.4,937.4,419.1,527.2,1015.9,612.9,402.5,601.0,245.1,716.5,335.4,836.8,675.7,873.6,1129.9,464.0,559.2
IG,542.0,319.9,479.4,869.7,608.9,336.8,348.1,424.9,536.1,832.9,615.8,698.4,374.5,533.4,568.0,225.6,274.0,616.5,328.8,593.3,552.6,186.6,373.1,732.6,598.1,713.1,736.0,688.2,666.3,570.7,199.5,808.6,324.2,433.3,668.2,397.7,567.7,345.3,592.3,252.2,411.4,559.8,633.6,229.7,474.0,620.8,632.4,429.5,366.6,779.7,0.0,731.8,462.7,510.3,669.3,501.2,554.9,673.4,431.1,428.3,593.0,464.7,368.8,717.9,535.8,661.0,602.2,881.5,321.7,695.5,440.0,596.7,231.8,636.4,561.4,508.0,626.6,659.3,744.5,627.8,834.6,393.5,481.6,355.2,404.6,637.1,658.8,638.1,183.6,592.0,167.8,165.7,565.1,790.9,732.4,569.7,343.4,275.7,508.4,327.7,395.3,651.8,330.3,85.1,2437.0,310.9,487.9,212.4,347.5,520.0,315.5,334.6,311.1,1005.3,688.6,615.7,236.3,393.4,519.2,460.1,606.3,582.6,662.1,578.9,472.8,509.9,508.9,586.4,628.8,77.1,304.0,808.8,741.8,665.0,543.8,804.3,569.5,622.3,478.1,426.3,324.2,710.8,490.5,720.6,443.2,540.9,312.4,736.3,673.6,237.5
IL,958.6,638.3,355.4,1170.1,353.3,465.6,456.4,743.3,836.5,1133.3,284.2,1115.0,692.9,950.0,260.8,544.0,574.4,1033.1,647.2,228.2,969.2,478.8,433.7,1033.0,223.4,1031.5,1036.4,988.6,173.5,871.1,517.9,1109.0,642.6,300.8,180.8,349.4,984.3,637.1,422.4,570.6,729.8,860.2,337.2,509.6,792.4,271.7,283.3,729.9,685.0,1080.1,609.2,0.0,357.0,224.6,969.7,331.3,873.3,1090.0,749.5,412.8,364.3,783.1,463.9,1134.5,836.2,315.2,253.1,1181.9,622.1,995.9,396.7,236.4,532.2,936.8,861.8,924.6,1043.2,299.9,166.1,95.7,1135.0,711.9,782.0,673.6,723.0,955.5,1075.4,1054.7,579.8,898.1,468.2,582.3,981.7,1091.3,177.6,209.4,661.8,567.5,808.8,396.3,695.7,1068.4,648.7,600.3,2853.6,602.7,806.3,530.8,426.4,820.4,633.9,653.0,602.9,1305.7,1191.7,264.6,503.0,711.8,819.6,760.5,872.0,999.2,169.4,261.6,419.1,811.4,339.0,235.1,1045.4,592.3,622.4,76.9,10.0,983.4,236.6,1104.7,986.1,101.2,778.5,726.7,624.6,1011.2,808.9,1021.0,290.7,841.3,411.7,206.9,1149.6,537.9
IS,719.5,399.2,365.7,931.0,244.1,226.5,217.3,504.2,597.4,894.2,251.0,875.9,453.8,710.9,203.2,304.9,335.3,794.0,408.1,228.5,730.1,239.7,194.6,793.9,233.3,792.4,797.3,749.5,301.5,632.0,278.8,869.9,403.5,68.5,308.8,110.3,745.2,398.0,227.5,331.5,490.7,621.1,268.8,270.5,553.3,337.5,349.1,490.8,445.9,841.0,370.1,367.0,0.0,145.5,730.6,136.4,634.2,850.9,510.4,423.1,228.2,544.0,315.9,895.4,597.1,296.2,318.9,942.8,383.0,756.8,407.0,302.2,293.1,697.7,622.7,685.5,804.1,365.7,379.7,263.0,895.9,472.8,542.9,434.5,483.9,716.4,836.3,815.6,340.7,659.0,229.1,343.2,742.6,852.2,367.6,275.2,422.7,328.4,569.7,157.2,456.6,829.3,409.6,361.2,2614.5,363.6,567.2,291.7,187.3,581.3,394.8,413.9,363.8,1066.6,952.6,250.9,263.9,472.7,580.5,521.4,632.9,760.1,297.3,327.4,429.4,572.3,144.1,221.6,806.3,353.2,383.3,444.0,377.0,744.3,179.0,865.6,747.0,257.5,539.4,487.6,385.5,772.1,569.8,781.9,78.4,602.2,172.6,371.5,910.5,298.8
IX,733.9,413.6,220.1,945.4,128.6,240.9,231.7,518.6,611.8,908.6,105.4,890.3,468.2,725.3,57.6,319.3,349.7,808.4,422.5,82.9,744.5,254.1,209.0,808.3,87.7,806.8,811.7,763.9,155.9,646.4,293.2,884.3,417.9,76.1,163.2,124.7,759.6,412.4,197.7,345.9,505.1,635.5,123.2,284.9,567.7,191.9,203.5,505.2,460.3,855.4,384.5,221.4,132.3,0.0,745.0,106.6,648.6,865.3,524.8,277.5,139.6,558.4,328.6,909.8,611.5,150.6,173.3,957.2,397.4,771.2,261.4,156.6,307.5,712.1,633.3,699.9,818.5,220.1,234.1,117.4,910.3,487.2,557.3,448.9,498.3,730.8,850.7,830.0,355.1,673.4,243.5,357.6,757.0,866.6,222.0,129.6,437.1,342.8,584.1,171.6,471.0,843.7,424.0,374.2,2628.9,378.0,581.6,306.1,201.7,595.7,409.2,428.3,378.2,1081.0,967.0,105.3,278.3,487.1,594.9,535.8,647.3,774.5,151.7,181.8,283.8,586.7,114.3,76.0,820.7,367.6,397.7,298.4,231.4,758.7,33.4,880.0,761.4,111.9,553.8,502.0,399.9,786.5,584.2,796.3,66.0,616.6,187.0,225.9,924.9,313.2
JA,563.3,685.2,826.7,344.2,862.2,730.5,721.3,678.0,372.0,307.4,869.1,401.5,643.1,523.6,821.3,590.9,465.7,379.5,694.1,846.6,573.9,551.9,698.6,167.5,851.4,332.7,210.5,284.9,919.6,406.6,564.8,139.2,689.5,686.6,926.9,639.2,429.3,828.8,845.6,617.5,776.7,395.7,886.9,713.2,581.0,955.6,967.2,424.0,688.3,214.6,676.1,985.1,716.0,763.6,0.0,754.5,632.7,468.7,684.2,775.6,846.3,550.7,716.1,513.2,371.7,914.3,937.0,316.4,335.6,170.0,787.3,920.3,424.6,32.8,98.1,489.5,585.2,983.8,997.8,881.1,309.1,758.8,177.4,720.5,769.9,409.2,339.6,358.7,646.7,592.2,502.9,649.2,532.4,121.5,985.7,893.3,708.7,759.2,317.5,717.9,294.6,418.3,695.6,667.2,2106.4,794.4,853.2,577.7,748.0,139.0,680.8,699.9,794.6,440.2,365.8,869.0,719.8,758.7,330.0,454.6,566.1,541.2,915.4,945.5,820.1,505.5,762.2,839.7,460.1,659.2,669.3,1062.1,995.1,418.8,797.1,278.8,528.1,875.6,472.6,262.2,460.7,145.7,576.2,195.1,696.5,535.4,733.3,989.6,323.7,418.9
JB,699.1,378.8,321.1,910.6,199.5,206.1,196.9,483.8,577.0,873.8,206.4,855.5,433.4,690.5,158.6,284.5,314.9,773.6,387.7,183.9,709.7,219.3,174.2,773.5,188.7,772.0,776.9,729.1,256.9,611.6,258.4,849.5,383.1,41.3,264.2,89.9,724.8,377.6,91.0,311.1,470.3,600.7,224.2,250.1,532.9,292.9,304.5,470.4,425.5,820.6,349.7,322.4,97.5,100.9,710.2,0.0,613.8,830.5,490.0,378.5,183.6,523.6,295.5,875.0,576.7,251.6,274.3,922.4,362.6,736.4,362.4,257.6,272.7,677.3,602.3,665.1,783.7,321.1,335.1,218.4,875.5,452.4,522.5,414.1,463.5,696.0,815.9,795.2,320.3,638.6,208.7,322.8,722.2,831.8,323.0,230.6,402.3,308.0,549.3,136.8,436.2,808.9,389.2,340.8,2594.1,343.2,546.8,271.3,166.9,560.9,374.4,393.5,343.4,1046.2,932.2,206.3,243.5,452.3,560.1,501.0,612.5,739.7,252.7,282.8,384.8,551.9,7.6,177.0,785.9,332.8,362.9,399.4,332.4,723.9,134.4,845.2,726.6,212.9,519.0,467.2,365.1,751.7,549.4,761.5,31.2,581.8,152.2,326.9,890.1,278.4
JJ,900.0,428.4,769.7,827.2,805.2,673.5,664.3,207.4,493.6,790.4,812.1,884.5,172.5,891.4,764.3,339.6,408.7,862.5,272.0,789.6,910.6,416.4,641.6,690.1,794.4,393.4,693.5,439.0,862.6,528.2,365.6,585.8,432.7,629.6,869.9,582.2,912.3,714.9,788.6,313.0,519.9,517.3,829.9,599.3,154.3,898.6,910.2,210.6,217.7,737.2,562.2,928.1,659.0,706.6,626.8,697.5,0.0,952.2,213.6,718.6,789.3,99.8,659.1,996.7,493.3,857.3,880.0,839.0,278.6,653.0,730.3,863.3,367.6,593.9,518.9,866.0,1068.2,926.8,848.4,824.1,792.1,334.4,439.1,288.5,513.1,317.4,822.6,841.7,532.8,37.0,445.9,535.3,923.1,603.5,836.3,836.3,451.9,645.3,465.9,660.9,352.8,901.3,438.8,553.3,2629.0,680.5,596.4,352.8,691.0,477.5,424.0,443.1,680.7,962.8,848.8,812.0,605.9,501.9,476.7,159.4,51.3,1024.2,858.4,888.5,763.1,141.7,705.2,782.7,943.6,545.3,412.5,1005.1,938.1,345.3,740.1,761.8,1011.1,818.6,141.9,383.8,403.7,668.3,64.3,678.1,639.5,86.7,682.0,932.6,806.7,361.9
JO,245.9,757.8,917.3,419.9,952.8,712.0,723.3,862.8,759.2,486.1,959.7,326.8,812.4,196.3,911.9,663.5,682.8,244.9,766.7,937.2,256.5,624.5,748.3,574.3,942.0,843.8,411.9,796.0,1010.2,793.8,637.4,650.3,762.1,777.2,1043.4,772.9,196.1,720.5,936.2,690.1,849.3,782.9,977.5,604.9,911.9,996.0,1007.6,838.3,804.5,621.4,650.5,1075.7,806.6,854.2,511.0,845.1,992.8,0.0,869.0,866.2,936.9,902.6,806.7,44.4,758.9,1004.9,977.4,723.2,730.5,418.5,877.9,971.9,640.6,478.1,485.3,162.2,311.1,1034.5,1088.4,971.7,432.8,831.4,564.6,793.1,842.5,920.3,287.2,266.5,621.5,1029.9,605.7,469.3,189.0,632.6,1076.3,944.9,781.3,650.9,704.7,702.9,804.1,280.2,768.2,641.6,1908.9,686.1,925.8,650.3,722.7,526.2,753.4,772.5,686.3,558.4,317.0,959.6,611.5,831.3,717.2,868.9,980.4,267.1,1006.0,954.1,910.7,947.8,852.8,930.3,116.7,633.6,741.9,1152.7,1085.7,929.9,887.7,322.5,254.0,966.2,886.9,649.4,733.0,552.5,928.4,312.5,787.1,949.7,687.6,1080.2,302.0,646.3
JQ,797.2,314.0,616.4,876.0,651.9,520.2,511.0,6.1,542.4,839.2,658.8,933.3,58.1,788.6,611.0,225.2,457.5,911.3,157.6,636.3,807.8,302.0,488.3,738.9,641.1,361.2,742.3,406.8,709.3,643.3,251.2,553.6,318.3,476.3,716.6,428.9,822.9,600.5,635.3,198.6,405.5,632.4,676.6,484.9,122.1,745.3,756.9,259.4,103.3,786.0,447.8,774.8,505.7,553.3,692.6,544.2,203.0,928.6,0.0,565.3,636.0,112.8,505.8,973.1,608.4,704.0,726.7,887.8,327.4,701.8,577.0,710.0,416.4,725.5,563.9,763.2,881.8,773.5,734.0,670.8,840.9,220.0,487.9,174.1,395.8,285.2,871.4,890.5,418.4,240.1,324.8,420.9,820.3,571.3,721.9,680.4,337.5,530.9,514.7,507.6,401.6,950.1,324.4,437.5,2677.8,566.1,482.0,238.4,537.7,526.3,309.6,328.7,566.3,1011.6,897.6,658.7,491.5,387.5,615.4,208.2,254.4,837.8,705.1,735.2,609.8,158.0,551.9,629.4,884.0,430.9,298.1,851.8,784.8,313.1,586.8,810.6,824.7,665.3,190.7,432.6,452.5,717.1,138.6,726.9,486.2,240.4,567.6,779.3,855.5,410.7
JU,743.6,423.3,116.9,955.1,437.0,359.8,350.6,528.3,621.5,918.3,176.1,900.0,477.9,735.0,235.2,329.0,359.4,818.1,432.2,276.8,754.2,263.8,327.9,818.0,272.0,816.5,821.4,773.6,422.8,656.1,302.9,894.0,427.6,283.2,430.1,235.8,769.3,546.9,442.2,355.6,514.8,645.2,298.8,431.3,577.4,458.8,470.4,514.9,470.0,865.1,394.2,410.1,312.6,308.3,754.7,351.1,658.3,875.0,534.5,0.0,442.9,568.1,51.0,919.5,621.2,260.8,440.2,966.9,407.1,780.9,11.6,423.5,317.2,721.8,643.0,709.6,828.2,487.0,241.3,384.3,920.0,496.9,567.0,458.6,505.1,740.5,860.4,839.7,364.8,683.1,253.2,367.3,766.7,876.3,229.2,393.9,446.8,477.3,593.8,314.5,480.7,853.4,433.7,385.3,2638.6,512.5,591.3,315.8,344.6,605.4,418.9,438.0,512.7,1090.7,976.7,215.5,437.9,496.8,604.6,545.5,657.0,784.2,300.7,448.7,173.5,596.4,358.8,283.7,830.4,377.3,407.4,487.1,420.1,768.4,264.6,889.7,771.1,378.8,563.5,511.7,409.6,796.2,593.9,806.0,293.1,626.3,329.9,374.9,934.6,322.9
JW,797.6,477.3,360.8,1009.1,161.6,304.6,295.4,582.3,675.5,972.3,246.1,954.0,531.9,789.0,198.3,383.0,413.4,872.1,486.2,223.6,808.2,317.8,272.7,872.0,228.4,870.5,875.4,827.6,296.6,710.1,356.9,948.0,481.6,139.8,303.9,188.4,823.3,476.1,261.4,409.6,568.8,699.2,263.9,348.6,631.4,332.6,344.2,568.9,524.0,919.1,448.2,362.1,196.0,140.6,808.7,170.3,712.3,929.0,588.5,418.2,0.0,622.1,469.3,973.5,675.2,291.3,314.0,1020.9,461.1,834.9,402.1,297.3,371.2,775.8,700.8,763.6,882.2,360.8,374.8,258.1,974.0,550.9,621.0,512.6,562.0,794.5,914.4,893.7,418.8,737.1,307.2,421.3,820.7,930.3,362.7,270.3,500.8,406.5,647.8,235.3,534.7,907.4,487.7,439.3,2692.6,441.7,645.3,369.8,265.4,659.4,472.9,492.0,441.9,1144.7,1030.7,246.0,342.0,550.8,658.6,599.5,711.0,838.2,292.4,322.5,424.5,650.4,178.0,216.7,884.4,431.3,461.4,439.1,372.1,822.4,174.1,943.7,825.1,252.6,617.5,565.7,463.6,850.2,647.9,860.0,129.7,680.3,250.7,366.6,988.6,376.9
KH,831.4,348.2,650.6,763.1,686.1,554.4,545.2,127.2,429.5,726.3,693.0,820.4,92.3,822.8,645.2,259.4,344.6,798.4,191.8,670.5,842.0,336.2,522.5,626.0,675.3,313.2,629.4,358.8,743.5,464.1,285.4,505.6,352.5,510.5,750.8,463.1,848.2,634.7,669.5,232.8,439.7,453.2,710.8,519.1,74.1,779.5,791.1,146.5,137.5,673.1,482.0,809.0,539.9,587.5,644.6,578.4,89.8,888.1,133.4,599.5,670.2,0.0,540.0,932.6,429.2,738.2,760.9,774.9,214.5,588.9,611.2,744.2,303.5,529.8,451.0,797.4,1004.1,807.7,768.2,705.0,728.0,254.2,375.0,208.3,432.9,237.2,758.5,777.6,452.6,126.9,381.8,455.1,854.5,523.3,756.1,714.6,371.7,565.1,401.8,541.8,288.7,837.2,358.6,473.1,2564.9,600.3,516.2,272.6,571.9,413.4,343.8,362.9,600.5,898.7,784.7,692.9,525.7,421.7,412.6,95.3,141.2,960.1,739.3,769.4,644.0,45.1,586.1,663.6,879.5,465.1,332.3,886.0,819.0,265.1,621.0,697.7,947.0,699.5,77.8,319.7,339.6,604.2,25.4,614.0,520.4,127.5,601.8,813.5,742.6,297.8
KM,692.5,372.2,129.0,904.0,407.7,308.7,299.5,477.2,570.4,867.2,235.6,848.9,426.8,683.9,294.7,277.9,308.3,767.0,381.1,336.3,703.1,212.7,276.8,766.9,331.5,765.4,770.3,722.5,465.1,605.0,251.8,842.9,376.5,232.1,472.4,184.7,718.2,495.8,391.1,304.5,463.7,594.1,358.3,380.2,526.3,501.1,512.7,463.8,418.9,814.0,343.1,469.6,261.5,309.1,703.6,300.0,607.2,823.9,483.4,59.4,391.8,517.0,0.0,868.4,570.1,320.3,482.5,915.8,356.0,729.8,71.1,465.8,266.1,670.7,595.7,658.5,777.1,529.3,300.8,426.6,868.9,445.8,515.9,407.5,456.9,689.4,809.3,788.6,313.7,632.0,202.1,316.2,715.6,825.2,288.7,438.8,395.7,426.2,542.7,263.4,429.6,802.3,382.6,334.2,2587.5,461.4,540.2,264.7,293.5,554.3,367.8,386.9,461.6,1039.6,925.6,275.0,386.8,445.7,553.5,494.4,605.9,733.1,360.2,491.0,122.4,545.3,307.7,343.2,779.3,326.2,356.3,546.6,479.6,717.3,324.1,838.6,720.0,421.1,512.4,460.6,358.5,745.1,542.8,754.9,242.0,575.2,278.8,434.4,883.5,271.8
KR,296.5,808.4,967.9,470.5,1003.4,762.6,773.9,913.4,809.8,536.7,1010.3,377.4,863.0,246.9,962.5,714.1,733.4,295.5,817.3,987.8,307.1,675.1,798.9,624.9,992.6,894.4,462.5,846.6,1060.8,844.4,688.0,700.9,812.7,827.8,1094.0,823.5,246.7,771.1,986.8,740.7,899.9,833.5,1028.1,655.5,962.5,1046.6,1058.2,888.9,855.1,672.0,701.1,1126.3,857.2,904.8,561.6,895.7,1043.4,50.5,919.6,916.8,987.5,953.2,857.3,0.0,809.5,1055.5,1028.0,773.8,781.1,469.1,928.5,1022.5,691.2,528.7,535.9,212.8,361.7,1085.1,1139.0,1022.3,483.4,882.0,615.2,843.7,893.1,970.9,337.8,317.1,672.1,1080.5,656.3,519.9,239.6,683.2,1126.9,995.5,831.9,701.5,755.3,753.5,854.7,330.8,818.8,692.2,1959.5,736.7,976.4,700.9,773.3,576.8,804.0,823.1,736.9,609.0,367.6,1010.2,662.1,881.9,767.8,919.5,1031.0,317.7,1056.6,1004.7,961.3,998.4,903.4,980.9,167.3,684.2,792.5,1203.3,1136.3,980.5,938.3,373.1,304.6,1016.8,937.5,700.0,783.6,603.1,979.0,363.1,837.7,1000.3,738.2,1130.8,352.6,696.9
KU,802.0,542.5,684.0,582.9,719.5,587.8,578.6,535.3,72.7,546.1,726.4,640.2,500.4,762.3,678.6,448.2,323.0,618.2,551.4,703.9,812.6,409.2,555.9,445.8,708.7,268.5,449.2,217.6,776.9,34.8,422.1,364.4,546.8,543.9,784.2,496.5,668.0,686.1,702.9,474.8,634.0,23.9,744.2,570.5,482.2,812.9,824.5,281.3,545.6,492.9,533.4,842.4,573.3,620.9,382.5,611.8,490.0,707.9,541.5,632.9,703.6,408.0,573.4,752.4,0.0,771.6,794.3,594.7,192.9,408.7,644.6,777.6,281.9,349.6,274.6,728.2,823.9,841.1,855.1,738.4,547.8,616.1,194.8,577.8,627.2,345.0,578.3,597.4,504.0,449.5,360.2,506.5,771.6,382.1,843.0,750.6,566.0,616.5,64.7,575.2,151.9,657.0,552.9,524.5,2384.7,651.7,710.5,435.0,605.3,233.2,538.1,557.2,651.9,718.5,604.5,726.3,577.1,616.0,52.2,311.9,423.4,779.9,772.7,802.8,677.4,362.8,619.5,697.0,699.3,516.5,526.6,919.4,852.4,354.6,654.4,517.5,766.8,732.9,329.9,99.4,318.0,424.0,433.5,433.8,553.8,392.7,590.6,846.9,562.4,276.2
