from_stop,AD,AE,AK,AL,AR,AZ,BA,BE,BG,BH,BX,CC,CK,CZ,DI,DL,DS,DU,DV,ED,EE,EG,FE,FJ,GN,GW,HC,HK,HL,HO,IA,II,IR,IS,IT,IV,IW,IY,JC,JL,JM,JO,JQ,JW,JX,JZ,KC,KD,KG,KI,KK,KM,KT,KV,LC,LE,LH,LI,LJ,LO,LP,LV,LX,MD,ME,MU,NT,NV,OD,OG,OI,OO,OR,OV,OX,PB,PE,PI,PK,PL,PQ,PV,QC,QV,QX,RC,RI,RM,RN,RP,RQ,RS,SF,SN,SO,SZ,TA,TB,TJ,TS,TW,TY,UB,UE,UG,UK,UT,VF,VN,VP,VQ,VR,VT,VU,VY,VZ,WD,WE,WF,WG,WH,WI,XC,XD,XK,XM,XX,XY,YH,YV,ZB,ZU,ZX
KI,742.6,54.0,535.5,524.4,974.2,1005.9,592.3,382.6,246.3,221.0,768.4,796.0,407.5,483.4,249.8,695.1,165.8,875.5,306.7,798.7,620.8,711.1,666.9,747.4,251.5,463.5,148.4,359.5,928.9,205.1,366.9,156.3,161.6,370.0,207.6,456.7,108.3,897.6,389.6,744.2,720.4,487.9,832.1,467.9,1028.4,209.1,154.0,764.0,380.6,0.0,679.9,856.2,146.5,454.2,972.2,802.8,600.1,690.5,206.2,761.2,562.8,728.9,698.0,358.0,562.6,231.8,854.1,64.5,154.0,963.3,254.4,154.0,420.4,766.5,986.6,973.3,322.0,720.6,502.2,782.8,774.9,839.6,120.4,913.9,766.3,385.7,703.8,948.7,592.0,521.9,395.1,785.4,106.0,528.0,139.9,486.9,838.0,296.4,779.1,697.7,202.9,696.7,635.9,62.1,42.8,759.2,688.7,345.1,427.6,437.2,782.7,851.8,937.2,182.5,979.8,101.5,587.2,524.5,315.3,582.0,349.5,689.3,873.0,317.9,715.8,1758.7,992.9,863.3,415.1,842.4,94.5,359.4,529.7
KK,223.1,703.7,461.7,760.3,454.7,486.4,198.1,705.4,794.5,769.2,248.9,276.5,671.1,719.3,452.8,175.6,782.6,356.0,703.9,279.2,375.2,173.6,147.4,227.9,740.1,787.5,765.2,907.2,409.4,646.0,666.2,702.0,650.2,676.5,680.6,382.9,594.4,378.1,617.3,224.7,200.9,414.1,312.6,320.0,508.9,697.7,598.2,105.5,652.4,691.5,0.0,336.7,635.1,778.2,452.7,266.0,170.2,171.0,682.1,241.7,317.2,209.4,178.5,709.0,317.0,621.6,334.6,756.1,598.2,443.8,725.7,598.2,663.4,247.0,492.3,453.8,412.6,40.6,247.4,102.8,94.9,320.1,643.0,394.4,246.8,933.4,88.9,429.2,197.8,757.8,717.9,248.6,628.6,171.6,615.7,340.5,318.5,844.1,259.6,195.1,685.5,116.8,344.6,711.8,734.4,239.7,169.2,673.0,607.5,677.4,124.2,357.5,417.7,626.7,460.3,718.3,792.9,730.2,735.4,196.3,345.4,30.8,353.5,691.6,196.3,1473.4,473.4,343.8,696.1,348.1,714.5,487.7,284.1
KM,463.4,1022.6,805.7,809.8,503.9,535.6,542.1,718.8,888.6,933.3,473.3,275.6,839.7,729.5,796.8,415.9,1119.3,283.0,872.5,400.8,719.2,535.6,411.7,468.2,951.6,956.1,1101.9,965.3,336.4,810.1,834.8,866.1,890.1,845.1,844.7,726.9,938.4,60.6,785.9,291.7,440.9,758.1,208.7,664.0,236.0,909.2,942.2,536.8,821.0,1028.2,545.7,0.0,903.0,946.8,197.4,386.4,514.2,346.2,846.2,453.5,661.2,307.0,336.8,877.6,661.0,785.7,329.5,1092.8,942.2,162.4,889.8,942.2,832.0,458.3,626.1,503.0,756.6,586.4,591.4,648.6,640.7,315.0,979.7,321.4,382.1,991.5,593.2,356.2,541.8,807.3,703.0,389.0,965.3,515.6,959.7,684.5,257.2,902.2,292.3,539.1,849.6,433.1,688.6,1028.2,1071.1,467.9,409.5,841.6,776.1,846.0,555.5,491.3,344.7,970.7,387.3,1055.0,719.9,657.2,890.2,540.3,689.4,504.8,239.3,860.2,436.6,1400.4,522.6,382.8,864.7,481.9,929.6,781.7,628.1
KT,684.8,137.3,477.7,463.4,916.4,948.1,534.5,408.5,275.4,250.1,710.6,738.2,374.2,422.4,192.0,637.3,216.2,817.7,335.8,740.9,563.0,653.3,609.1,689.6,104.9,490.6,198.8,388.6,871.1,126.9,369.3,182.9,15.0,379.6,61.0,398.9,50.5,813.9,320.4,686.4,662.6,430.1,774.3,410.1,944.7,62.5,96.2,706.2,355.5,125.1,622.1,772.5,0.0,481.3,888.5,745.0,542.3,632.7,59.6,703.4,505.0,671.1,640.2,412.1,504.8,114.8,796.3,189.7,96.2,809.4,206.6,96.2,366.5,691.7,869.6,915.5,264.2,662.8,444.4,725.0,717.1,781.8,76.6,856.1,708.5,414.8,646.0,890.9,534.2,460.9,421.0,727.6,62.2,470.2,82.1,429.1,780.2,325.5,721.3,639.9,56.3,638.9,578.1,145.4,168.0,701.4,630.9,376.1,310.6,380.5,724.9,734.8,879.4,124.7,922.0,151.9,526.2,463.5,324.1,524.2,291.7,631.5,815.2,347.0,658.0,1641.7,935.1,805.5,399.2,725.4,177.8,242.4,471.9
KV,824.0,548.8,616.9,372.9,972.0,1003.7,673.7,213.8,263.6,286.5,849.8,828.3,144.6,331.9,386.6,776.5,645.5,907.8,198.8,796.5,702.2,792.5,748.3,828.8,477.8,9.3,628.1,340.3,961.2,336.3,104.0,392.3,416.3,201.2,370.9,538.1,479.8,862.4,220.1,825.6,801.8,569.3,913.5,549.3,993.2,435.4,532.0,845.4,117.7,554.4,761.3,821.0,429.2,0.0,937.0,884.2,681.5,771.9,372.4,842.6,644.2,810.3,779.4,142.1,644.0,311.9,886.4,619.0,532.0,857.9,416.0,532.0,195.4,740.2,918.1,971.1,403.4,802.0,583.6,864.2,856.3,871.9,505.9,946.2,847.7,366.5,785.2,981.0,673.4,370.4,226.3,866.8,491.5,609.4,549.5,568.3,870.3,277.2,860.5,779.1,375.8,778.1,717.3,554.4,597.3,840.6,770.1,190.2,207.9,174.3,864.1,783.3,969.5,560.5,1012.1,581.2,391.8,329.1,284.0,663.4,430.9,770.7,905.3,186.5,797.2,1690.2,990.7,895.6,213.3,773.9,455.8,289.9,611.1
LC,372.9,958.0,716.0,834.1,528.2,559.9,452.4,743.1,912.9,957.6,386.9,299.9,864.0,816.0,707.1,326.2,1036.9,307.3,896.8,425.1,629.5,445.9,351.8,377.7,975.9,980.4,1019.5,989.6,360.7,834.4,859.1,890.4,904.5,869.4,869.0,637.2,848.7,209.2,810.2,202.0,351.5,668.4,119.0,574.3,204.5,933.5,852.5,447.1,845.3,945.8,456.0,167.8,889.4,971.1,0.0,296.7,424.5,256.5,870.5,392.3,571.5,217.3,247.1,901.9,571.3,810.0,353.8,1010.4,852.5,186.7,914.1,852.5,856.3,368.6,650.4,545.8,666.9,496.7,501.7,558.9,551.0,339.3,897.3,345.7,292.4,1015.8,503.5,380.5,452.1,831.6,727.3,299.3,882.9,425.9,870.0,594.8,281.5,935.2,202.6,449.4,873.9,343.4,598.9,966.1,988.7,390.3,319.8,865.9,800.4,870.3,465.8,515.6,369.0,881.0,411.6,972.6,744.2,681.5,914.5,450.6,599.7,415.1,263.6,882.9,346.9,1424.7,546.9,407.1,889.0,506.2,953.9,742.0,538.4
LE,252.6,812.0,570.0,868.6,513.1,544.8,306.4,797.3,902.8,877.5,278.4,282.0,779.4,808.0,561.1,205.1,890.9,361.5,812.2,337.6,483.5,299.9,205.8,257.4,848.4,895.8,873.5,1015.5,414.9,754.3,774.5,810.3,758.5,784.8,788.9,491.2,702.7,383.6,725.6,129.4,230.4,522.4,184.4,428.3,405.4,806.0,706.5,267.0,760.7,799.8,275.9,342.2,743.4,886.5,328.6,0.0,278.5,140.4,790.4,271.2,425.5,114.1,131.0,817.3,425.3,729.9,340.1,864.4,706.5,387.6,834.0,706.5,771.7,252.5,550.7,512.2,520.9,316.6,355.7,378.8,370.9,325.6,751.3,399.9,176.3,1041.7,323.4,434.7,306.1,866.1,781.5,35.7,736.9,279.9,724.0,448.8,324.0,952.4,105.9,303.4,793.8,163.3,452.9,820.1,842.7,269.2,198.7,781.3,715.8,785.7,285.7,415.9,423.2,735.0,465.8,826.6,798.4,735.7,843.7,304.6,453.7,235.0,359.0,799.9,225.8,1478.9,531.8,349.3,804.4,406.5,822.8,596.0,392.4
LH,204.6,605.4,363.4,662.0,436.2,467.9,27.8,607.1,696.2,670.9,230.4,258.0,572.8,621.0,354.5,157.1,684.3,337.5,605.6,260.7,276.9,173.1,128.9,209.4,641.8,689.2,666.9,808.9,390.9,547.7,567.9,603.7,551.9,578.2,582.3,284.6,496.1,359.6,519.0,206.2,182.4,315.8,294.1,221.7,490.4,599.4,499.9,226.0,554.1,593.2,141.9,318.2,536.8,679.9,434.2,264.8,0.0,152.5,583.8,223.2,218.9,190.9,160.0,610.7,218.7,523.3,316.1,657.8,499.9,425.3,627.4,499.9,565.1,228.5,473.8,435.3,314.3,182.6,149.1,244.8,236.9,301.6,544.7,375.9,228.3,835.1,165.8,410.7,27.5,659.5,619.6,247.4,530.3,73.3,517.4,242.2,300.0,745.8,241.1,96.8,587.2,158.7,246.3,613.5,636.1,221.2,150.7,574.7,509.2,579.1,244.7,339.0,399.2,528.4,441.8,620.0,724.8,662.1,637.1,51.2,247.1,151.3,335.0,593.3,177.8,1454.9,454.9,325.3,597.8,329.6,616.2,389.4,185.8
LI,117.1,701.4,459.4,747.8,402.5,434.2,195.8,656.8,792.2,766.9,142.9,141.5,668.8,667.5,450.5,69.6,780.3,221.0,701.6,227.0,372.9,189.3,95.2,121.9,737.8,785.2,762.9,903.3,274.4,643.7,663.9,699.7,647.9,674.2,678.3,380.6,592.1,243.1,615.0,53.6,94.9,411.8,141.5,317.7,362.5,695.4,595.9,235.2,650.1,689.2,244.1,201.7,632.8,775.9,285.7,143.6,167.9,0.0,679.8,135.7,314.9,38.3,7.5,706.7,314.7,619.3,199.6,753.8,595.9,308.8,723.4,595.9,661.1,112.0,440.1,401.6,410.3,284.8,245.1,347.0,339.1,185.1,640.7,259.4,75.7,929.5,291.6,294.2,195.5,745.3,641.0,126.2,626.3,169.3,613.4,338.2,183.5,840.2,88.5,192.8,683.2,131.5,342.3,709.5,732.1,133.7,63.2,670.7,605.2,675.1,253.9,305.3,282.7,624.4,325.3,716.0,657.9,595.2,733.1,194.0,343.1,203.2,218.5,689.3,90.3,1338.4,421.2,208.8,693.8,295.9,712.2,485.4,281.8
LJ,741.5,194.1,509.7,403.7,863.8,895.5,566.5,348.8,215.7,190.4,768.1,720.1,314.5,362.7,248.8,694.8,273.0,799.6,276.1,688.3,595.0,685.3,641.1,746.3,105.3,430.9,255.6,328.9,853.0,67.2,309.6,123.2,43.8,319.9,1.4,430.9,107.3,754.2,260.7,718.4,720.1,462.1,806.3,442.1,885.0,62.9,153.0,738.2,295.8,181.9,654.1,712.8,56.7,421.6,828.8,777.0,574.3,664.7,0.0,708.8,537.0,703.1,672.2,352.4,536.8,55.1,778.2,246.5,153.0,749.7,146.9,153.0,306.8,632.0,809.9,881.7,296.2,694.8,476.4,757.0,749.1,763.7,133.4,838.0,740.5,355.1,678.0,872.8,566.2,401.2,361.3,759.6,119.0,502.2,138.9,461.1,762.1,274.5,753.3,671.9,3.3,670.9,610.1,202.2,224.8,723.2,688.4,316.4,250.9,320.8,756.9,675.1,861.3,181.5,903.9,208.7,466.5,403.8,264.4,556.2,323.7,663.5,797.1,333.4,715.5,1582.0,882.5,787.4,339.5,665.7,186.7,182.7,503.9
LO,74.8,764.6,522.6,711.8,342.8,374.5,259.0,620.8,855.4,830.1,83.9,253.7,732.0,631.5,513.7,73.9,843.5,333.2,764.8,167.3,436.1,252.5,126.4,26.1,801.0,848.4,826.1,968.1,386.6,706.9,727.1,762.9,711.1,737.4,741.5,443.8,655.3,350.1,678.2,201.9,51.5,475.0,289.8,380.9,480.9,758.6,659.1,283.0,713.3,752.4,241.3,308.7,696.0,839.1,424.7,285.4,231.1,148.2,743.0,0.0,378.1,186.6,155.7,769.9,377.9,682.5,359.6,817.0,659.1,345.6,786.6,659.1,724.3,227.9,380.4,341.9,473.5,282.0,308.3,344.2,336.3,373.5,703.9,371.0,224.0,994.3,265.2,445.9,258.7,709.3,605.0,268.0,689.5,232.5,676.6,401.4,295.7,905.0,236.8,256.0,746.4,179.3,405.5,772.7,795.3,14.3,82.8,733.9,668.4,738.3,301.7,245.6,434.3,687.6,413.4,779.2,621.9,559.2,796.3,257.2,406.3,250.7,330.7,752.5,58.4,1302.4,361.5,376.6,757.0,236.2,775.4,548.6,345.0
LP,350.4,587.1,345.1,643.7,582.8,614.5,200.9,588.8,677.9,652.6,377.0,404.6,554.5,602.7,336.2,303.7,666.0,484.1,587.3,407.3,57.9,319.7,275.5,355.2,623.5,670.9,648.6,790.6,537.5,529.4,549.6,585.4,533.6,559.9,564.0,266.3,477.8,506.2,500.7,352.8,329.0,297.5,440.7,203.4,637.0,581.1,481.6,372.6,535.8,574.9,288.5,464.8,518.5,661.6,580.8,411.4,208.7,299.1,565.5,369.8,0.0,337.5,306.6,592.4,0.1,505.0,462.7,639.5,481.6,571.9,609.1,481.6,546.8,375.1,620.4,600.7,296.0,329.2,68.9,391.4,383.5,448.2,526.4,522.5,374.9,816.8,312.4,557.3,200.6,641.2,601.3,394.0,512.0,136.6,499.1,223.9,446.6,736.2,387.7,306.3,568.9,305.3,244.5,595.2,617.8,367.8,297.3,556.4,490.9,560.8,391.3,485.6,545.8,510.1,588.4,601.7,706.5,643.8,618.8,190.6,228.8,297.9,481.6,573.4,324.4,1601.5,601.5,471.9,579.5,476.2,597.9,371.1,33.0
LV,156.3,740.6,498.6,787.0,441.7,473.4,235.0,696.0,831.4,806.1,182.1,180.7,708.0,706.7,489.7,108.8,819.5,260.2,740.8,266.2,412.1,228.5,134.4,161.1,777.0,824.4,802.1,942.5,313.6,682.9,703.1,738.9,687.1,713.4,717.5,419.8,631.3,282.3,654.2,15.3,134.1,451.0,103.1,356.9,324.1,734.6,635.1,229.7,689.3,728.4,238.6,240.9,672.0,815.1,247.3,138.1,207.1,39.1,719.0,174.9,354.1,0.0,29.7,745.9,353.9,658.5,238.8,793.0,635.1,348.0,762.6,635.1,700.3,151.2,479.3,440.8,449.5,279.3,284.3,341.5,333.6,224.3,679.9,298.6,75.0,968.7,286.1,333.4,234.7,784.5,680.2,120.7,665.5,208.5,652.6,377.4,222.7,879.4,50.1,232.0,722.4,126.0,381.5,748.7,771.3,172.9,102.4,709.9,644.4,714.3,248.4,344.5,321.9,663.6,364.5,755.2,697.1,634.4,772.3,233.2,382.3,197.7,257.7,728.5,129.5,1377.6,460.4,248.0,733.0,335.1,751.4,524.6,321.0
LX,124.6,709.7,467.7,756.1,410.8,442.5,204.1,665.1,800.5,775.2,138.6,149.8,677.1,675.8,458.8,77.9,788.6,229.3,709.9,235.3,381.2,197.6,103.5,129.4,746.1,793.5,771.2,911.6,282.7,652.0,672.2,708.0,656.2,682.5,686.6,388.9,600.4,251.4,623.3,45.0,103.2,420.1,132.9,326.0,353.9,703.7,604.2,226.6,658.4,697.5,235.5,210.0,641.1,784.2,277.1,135.0,176.2,8.2,688.1,144.0,323.2,29.7,0.0,715.0,323.0,627.6,207.9,762.1,604.2,317.1,731.7,604.2,669.4,120.3,448.4,409.9,418.6,276.2,253.4,338.4,330.5,193.4,649.0,267.7,67.1,937.8,283.0,302.5,203.8,753.6,649.3,117.6,634.6,177.6,621.7,346.5,191.8,857.2,79.9,201.1,691.5,122.9,350.6,717.8,740.4,142.0,71.5,679.0,613.5,683.4,245.3,313.6,291.0,632.7,333.6,724.3,666.2,603.5,741.4,202.3,351.4,194.6,226.8,696.0,98.6,1346.7,429.5,217.1,702.1,304.2,720.5,493.7,290.1
MD,750.3,364.2,565.6,315.4,871.8,903.5,622.4,95.5,145.3,235.2,776.1,728.1,93.3,235.1,335.3,702.8,481.4,807.6,147.5,696.3,650.9,741.2,697.0,755.1,426.5,149.3,464.0,222.0,861.0,285.0,52.7,341.0,365.0,82.9,319.6,486.8,428.5,762.2,168.8,774.3,728.1,518.0,862.2,498.0,893.0,384.1,480.7,794.1,66.4,377.4,710.0,720.8,377.9,140.0,836.8,832.9,630.2,720.6,321.1,716.8,592.9,759.0,728.1,0.0,592.7,260.6,786.2,442.0,480.7,757.7,364.7,480.7,133.3,640.0,817.9,870.9,352.1,750.7,532.3,812.9,805.0,771.7,454.6,846.0,796.4,248.2,733.9,880.8,622.1,312.9,108.0,815.5,440.2,558.1,498.2,517.0,770.1,158.9,809.2,727.8,324.5,726.8,666.0,369.8,420.3,731.2,696.4,138.9,156.6,123.0,812.8,683.1,869.3,509.2,911.9,417.1,273.5,210.8,232.7,612.1,379.6,719.4,805.1,135.2,723.5,1590.0,890.5,795.4,162.0,673.7,271.2,238.6,559.8
ME,351.0,586.9,344.9,643.5,582.6,614.3,200.7,588.6,677.7,652.4,376.8,404.4,554.3,602.5,336.0,303.5,665.8,483.9,587.1,407.1,58.1,319.5,275.3,355.8,623.3,670.7,648.4,790.4,537.3,529.2,549.4,585.2,533.4,559.7,563.8,266.1,477.6,506.0,500.5,352.6,328.8,297.3,440.5,203.2,636.8,580.9,481.4,372.4,535.6,574.7,288.3,464.6,518.3,661.4,580.6,411.2,208.5,298.9,565.3,369.6,0.1,337.3,306.4,592.2,0.0,504.8,462.5,639.3,481.4,571.7,608.9,481.4,546.6,374.9,620.2,581.7,295.8,329.0,68.7,391.2,383.3,448.0,526.2,522.3,374.7,816.6,312.2,557.1,200.4,641.0,601.1,393.8,511.8,136.4,498.9,223.7,446.4,727.3,387.5,306.1,568.7,305.1,244.3,595.0,617.6,367.6,297.1,556.2,490.7,560.6,391.1,485.4,545.6,509.9,588.2,601.5,706.3,643.6,618.6,190.4,228.6,297.7,481.4,574.8,324.2,1601.3,601.3,471.7,579.3,476.0,597.7,370.9,32.8
MU,686.3,236.8,454.5,348.5,808.6,840.3,511.3,293.6,172.8,147.5,712.9,664.9,259.3,152.5,224.2,639.6,333.5,744.4,233.2,633.1,539.8,630.1,585.9,691.9,165.8,375.7,316.1,286.0,797.8,24.3,254.4,80.3,104.3,264.7,58.9,375.7,167.8,699.0,205.5,663.2,664.9,406.9,751.1,386.9,829.8,123.4,213.5,683.0,240.6,242.4,598.9,657.6,117.2,366.4,773.6,721.8,519.1,609.5,60.4,653.6,481.8,647.9,617.0,284.5,481.6,0.0,723.0,307.0,213.5,694.5,104.0,213.5,251.6,576.8,754.7,826.5,241.0,639.6,421.2,701.8,693.9,708.5,193.9,782.8,685.3,312.2,622.8,817.6,511.0,346.0,306.1,704.4,179.5,447.0,199.4,405.9,706.9,231.6,698.1,616.7,63.8,615.7,554.9,242.4,285.3,668.0,633.2,261.2,195.7,265.6,701.7,619.9,806.1,242.0,848.7,269.2,411.3,348.6,209.2,501.0,268.5,608.3,741.9,244.4,660.3,1526.8,827.3,732.2,284.3,610.5,143.8,127.5,448.7
NT,261.2,845.5,603.5,729.4,423.5,455.2,339.9,638.4,808.2,852.9,287.0,47.7,759.3,649.1,594.6,213.7,924.4,86.8,792.1,279.8,517.0,333.4,239.3,266.0,881.9,875.7,907.0,884.9,120.0,729.7,754.4,785.7,792.0,764.7,764.3,524.7,736.2,311.7,705.5,253.8,239.0,555.9,339.3,461.8,384.2,839.5,740.0,363.9,740.6,833.3,322.2,270.3,776.9,866.4,328.0,343.8,312.0,200.1,765.8,279.8,459.0,238.5,207.6,797.2,458.8,705.3,0.0,897.9,740.0,223.3,809.4,740.0,751.6,203.7,545.7,422.6,554.4,362.9,389.2,425.1,417.2,13.8,784.8,48.4,275.9,911.1,346.1,123.3,339.6,726.9,622.6,326.4,770.4,313.4,757.5,482.3,98.0,821.8,288.7,336.9,769.2,260.2,486.4,853.6,876.2,277.8,207.3,761.2,695.7,765.6,382.6,410.9,111.7,768.5,90.8,860.1,639.5,576.8,809.8,338.1,487.2,331.6,133.0,779.8,234.4,1320.0,442.2,16.9,784.3,401.5,849.2,629.5,425.9
NV,814.0,125.4,606.9,595.8,1045.6,1077.3,663.7,454.0,317.7,292.4,839.8,867.4,478.9,554.8,321.2,766.5,237.2,946.9,378.1,870.1,692.2,782.5,738.3,818.8,322.9,534.9,219.8,430.9,1000.3,276.5,438.3,227.7,233.0,441.4,279.0,528.1,179.7,969.0,461.0,815.6,791.8,559.3,903.5,539.3,1099.8,280.5,225.4,835.4,452.0,71.3,751.3,927.6,217.9,525.6,1043.6,874.2,671.5,761.9,277.6,832.6,634.2,800.3,769.4,429.4,634.0,303.2,925.5,0.0,225.4,1034.7,325.8,225.4,491.8,837.9,1058.0,1044.7,393.4,792.0,573.6,854.2,846.3,911.0,191.8,985.3,837.7,457.1,775.2,1020.1,663.4,593.3,466.5,856.8,177.4,599.4,211.3,558.3,909.4,367.8,850.5,769.1,274.3,768.1,707.3,133.5,28.8,830.6,760.1,416.5,499.0,508.6,854.1,923.2,1008.6,253.9,1051.2,172.9,658.6,595.9,386.7,653.4,420.9,760.7,944.4,389.3,787.2,1830.1,1064.3,934.7,486.5,913.8,165.9,430.8,601.1
OD,626.8,163.7,419.7,558.6,858.4,890.1,476.5,503.7,356.0,330.7,652.6,680.2,469.4,517.6,134.0,579.3,242.6,759.7,416.4,682.9,505.0,595.3,551.1,631.6,200.1,585.8,225.2,469.2,813.1,222.1,464.5,266.0,110.2,474.8,156.2,340.9,54.4,781.8,415.6,628.4,604.6,372.1,716.3,352.1,912.6,157.7,0.0,648.2,450.7,151.5,564.1,740.4,95.1,576.5,856.4,687.0,484.3,574.7,154.8,645.4,447.0,613.1,582.2,507.3,446.8,210.0,738.3,216.1,0.0,847.5,364.1,0.0,461.7,650.7,846.8,857.5,206.2,604.8,386.4,667.0,659.1,723.8,103.0,798.1,650.5,495.4,588.0,832.9,476.2,556.1,516.2,669.6,88.6,412.2,75.7,371.1,722.2,406.1,663.3,581.9,151.5,580.9,520.1,171.8,194.4,643.4,572.9,471.3,405.8,475.7,666.9,712.0,821.4,27.3,864.0,178.3,621.4,558.7,419.3,466.2,233.7,573.5,757.2,427.6,600.0,1618.9,877.1,747.5,494.4,702.6,204.2,244.3,413.9
OG,268.4,860.1,603.1,647.3,341.4,373.1,400.5,556.3,726.1,770.8,310.8,113.1,677.2,567.0,655.2,220.9,956.8,120.5,710.0,238.3,577.6,394.0,249.2,317.2,789.1,793.6,939.4,802.8,173.9,647.6,672.3,703.6,727.6,682.6,682.2,585.3,791.1,328.5,623.4,261.0,278.4,616.5,396.4,522.4,441.3,746.7,800.6,371.1,658.5,865.7,382.8,287.1,740.5,784.3,385.1,351.0,372.6,207.3,683.7,291.0,519.6,245.7,214.8,715.1,519.4,623.2,203.3,930.3,800.6,0.0,727.3,800.6,669.5,210.9,463.6,340.5,615.0,423.5,449.8,485.7,477.8,156.7,817.2,158.9,283.1,829.0,406.7,193.7,400.2,644.8,540.5,333.6,802.8,374.0,822.7,542.9,155.1,739.7,295.9,397.5,687.1,267.4,547.0,865.7,908.6,305.4,214.5,679.1,613.6,683.5,389.8,328.8,182.2,829.1,224.8,892.5,557.4,494.7,727.7,398.7,547.8,392.2,190.1,697.7,241.6,1237.9,360.1,220.3,702.2,319.4,767.1,619.2,486.5
OI,763.7,298.9,531.1,369.1,885.2,916.9,587.9,370.2,187.9,162.6,789.5,741.5,335.9,328.1,300.8,716.2,377.8,821.0,248.3,709.7,616.4,706.7,662.5,768.5,210.1,405.1,360.4,301.1,874.4,49.8,331.0,95.4,148.6,341.3,103.2,452.3,212.1,775.6,234.3,739.8,741.5,483.5,827.7,463.5,906.4,167.7,257.8,759.6,317.2,286.7,675.5,734.2,161.5,395.8,850.2,798.4,595.7,686.1,104.7,730.2,558.4,724.5,693.6,299.6,558.2,76.5,799.6,351.3,257.8,771.1,0.0,257.8,328.2,653.4,831.3,884.3,317.6,716.2,497.8,778.4,770.5,785.1,238.2,859.4,761.9,327.3,699.4,894.2,587.6,366.6,382.7,781.0,223.8,523.6,243.7,482.5,783.5,238.0,774.7,693.3,108.1,692.3,631.5,307.0,329.6,744.6,709.8,337.8,272.3,342.2,778.3,696.5,882.7,286.3,925.3,313.5,431.9,369.2,160.0,577.6,345.1,684.9,818.5,259.5,736.9,1603.4,903.9,808.8,360.9,687.1,158.9,204.1,525.3
OO,626.8,163.7,419.7,558.6,858.4,890.1,476.5,503.7,356.0,330.7,652.6,680.2,469.4,517.6,134.0,579.3,242.6,759.7,416.4,682.9,505.0,595.3,551.1,631.6,200.1,585.8,225.2,469.2,813.1,222.1,464.5,266.0,110.2,474.8,156.2,340.9,54.4,781.8,415.6,628.4,604.6,372.1,716.3,352.1,912.6,157.7,0.0,648.2,450.7,151.5,564.1,740.4,95.1,576.5,856.4,687.0,484.3,574.7,154.8,645.4,447.0,613.1,582.2,507.3,446.8,210.0,738.3,216.1,0.0,847.5,364.1,0.0,461.7,650.7,846.8,857.5,206.2,604.8,386.4,667.0,659.1,723.8,103.0,798.1,650.5,495.4,588.0,832.9,476.2,556.1,516.2,669.6,88.6,412.2,75.7,371.1,722.2,406.1,663.3,581.9,151.5,580.9,520.1,171.8,194.4,643.4,572.9,471.3,405.8,475.7,666.9,712.0,821.4,27.3,864.0,178.3,621.4,558.7,419.3,466.2,233.7,573.5,757.2,427.6,600.0,1618.9,877.1,747.5,494.4,702.6,204.2,244.3,413.9
OR,727.3,452.1,520.2,276.2,865.8,897.5,577.0,89.5,245.8,181.9,753.1,722.1,72.8,229.1,289.9,679.8,548.8,801.6,94.2,690.3,605.5,695.8,651.6,732.1,381.1,202.8,531.4,322.5,855.0,239.6,81.5,295.6,319.6,60.6,274.2,441.4,383.1,756.2,123.4,728.9,705.1,472.6,816.8,452.6,887.0,338.7,435.3,748.7,67.7,457.7,664.6,714.8,332.5,193.5,830.8,787.5,584.8,675.2,275.7,710.8,547.5,713.6,682.7,124.3,547.3,215.2,780.2,522.3,435.3,751.7,319.3,435.3,0.0,634.0,811.9,864.9,306.7,705.3,486.9,767.5,759.6,765.7,409.2,840.0,751.0,348.7,688.5,874.8,576.7,273.7,102.0,770.1,394.8,512.7,452.8,471.6,764.1,259.4,763.8,682.4,279.1,681.4,620.6,457.7,500.6,743.9,673.4,85.7,111.2,33.1,767.4,677.1,863.3,463.8,905.9,484.5,267.5,204.8,187.3,566.7,334.2,674.0,799.1,81.9,700.5,1584.0,884.5,789.4,116.6,667.7,359.1,193.2,514.4
OV,177.1,761.4,519.4,818.0,462.5,494.2,255.8,763.1,852.2,826.9,202.9,169.1,728.8,777.0,510.5,129.6,840.3,248.6,761.6,287.0,432.9,249.3,155.2,181.9,797.8,845.2,822.9,964.9,302.0,703.7,723.9,759.7,707.9,734.2,738.3,440.6,652.1,270.7,675.0,169.7,154.9,471.8,257.6,377.7,401.5,755.4,655.9,279.8,710.1,749.2,238.1,229.3,692.8,835.9,345.3,259.7,227.9,116.0,739.8,195.7,374.9,154.4,123.5,766.7,374.7,679.3,227.2,813.8,655.9,336.4,783.4,655.9,721.1,0.0,500.1,461.6,470.3,278.8,305.1,341.0,333.1,212.7,700.7,287.0,191.8,991.1,262.0,321.8,255.5,815.5,668.6,242.3,686.3,229.3,673.4,398.2,211.1,901.8,204.6,252.8,743.2,176.1,402.3,769.5,792.1,193.7,123.2,730.7,665.2,735.1,298.5,365.3,310.3,684.4,352.9,776.0,685.5,622.8,793.1,254.0,403.1,247.5,246.1,749.3,150.3,1366.0,481.2,236.4,753.8,355.9,772.2,545.4,341.8
