from_stop,AD,AF,AJ,AR,AS,AV,AY,BB,BI,BL,BX,CM,CO,DL,DO,DR,DY,EA,ED,EH,EK,EN,ET,EU,EV,FA,FF,FK,GJ,GN,GQ,GV,GY,HC,HN,IJ,IO,IS,IX,JH,JM,JO,KM,KO,KR,LI,LJ,LR,LT,MF,MP,MU,MV,NH,NY,OC,OR,OW,OY,PI,PL,PR,PW,PY,QZ,RP,RV,SZ,TL,UL,UZ,VO,VW,VZ,WH,WL,WR,WW,WY,XH,XL,XP,XQ,XR,XS,YD,YG,YI,YK,YQ,YZ,ZC,ZD,ZW
VO,336.5,274.4,189.9,312.7,99.0,308.2,100.8,371.8,61.5,238.1,230.9,162.4,124.9,96.5,321.1,152.9,342.2,276.4,51.9,135.2,281.1,331.8,339.3,161.4,53.0,253.4,153.5,288.2,27.0,243.8,196.3,282.7,245.0,217.4,40.1,320.5,300.8,325.1,306.8,207.2,233.9,116.0,126.6,351.6,297.0,322.6,257.8,316.1,49.8,114.2,348.9,99.7,238.5,358.6,89.3,254.0,86.6,265.0,110.3,184.1,266.1,129.5,29.6,76.9,142.0,29.6,84.5,108.9,113.8,308.0,305.6,0.0,273.3,52.4,196.5,41.1,235.4,207.1,170.5,234.9,288.6,243.1,165.4,125.6,108.1,145.2,248.3,290.2,1987.4,147.3,352.1,192.2,278.3,137.0
VW,97.9,217.9,416.2,253.7,160.2,249.2,209.3,163.7,215.7,72.0,445.5,377.0,339.5,311.1,107.4,367.5,125.3,231.2,308.3,349.8,75.2,118.1,130.6,377.9,224.2,47.5,139.1,109.7,283.4,407.4,410.3,106.5,131.2,95.9,296.5,134.4,94.7,175.2,70.5,400.5,381.5,283.5,329.2,115.9,120.8,59.7,117.5,42.7,284.5,173.5,148.3,159.5,425.2,321.9,188.6,182.9,213.1,59.1,282.3,412.4,121.9,297.6,264.1,328.0,356.6,265.3,278.2,193.6,328.4,57.5,91.3,256.3,0.0,309.7,360.9,275.6,179.5,164.5,387.0,141.4,164.9,407.5,332.9,133.4,337.3,359.8,48.4,242.7,2002.5,361.9,113.5,69.3,142.4,351.6
VZ,380.5,318.4,169.5,355.8,143.0,352.2,144.8,416.5,105.5,282.1,210.5,142.0,117.1,76.1,365.1,145.1,386.2,320.4,62.6,127.4,325.1,375.8,382.4,142.9,97.0,297.4,197.5,329.0,34.3,223.4,175.9,326.7,289.0,260.5,47.4,364.5,344.8,369.1,350.8,186.8,213.5,123.3,106.2,395.6,340.1,365.7,301.8,360.1,92.9,157.3,392.9,143.7,218.1,414.6,122.2,298.0,129.7,309.0,59.8,163.7,310.1,121.7,72.7,68.9,121.6,72.7,92.8,152.9,93.4,352.0,346.4,41.6,317.3,0.0,176.1,82.4,278.5,242.7,152.0,278.9,332.6,222.7,190.0,169.6,98.1,137.4,292.3,331.0,2031.4,126.9,396.1,233.9,322.3,129.2
WH,488.0,321.4,77.1,464.2,224.8,459.7,288.6,523.3,295.0,363.9,116.2,89.9,142.2,141.4,446.9,116.0,493.7,427.9,207.8,135.8,406.9,457.6,470.1,57.7,294.1,379.2,279.3,437.4,193.6,19.7,71.2,434.2,396.5,343.2,184.4,472.0,452.3,474.8,432.6,61.4,38.0,119.2,149.2,503.1,448.5,458.9,409.3,441.9,233.1,252.8,499.6,225.5,66.1,482.1,196.4,405.5,292.4,390.8,189.4,51.4,417.6,140.6,268.3,204.8,79.0,269.5,150.9,315.1,112.8,443.5,429.1,260.5,399.1,211.7,0.0,228.3,283.0,242.8,96.6,386.4,440.1,48.4,77.7,251.4,132.6,124.6,374.1,439.4,2162.8,118.2,503.6,315.7,429.8,130.1
WL,345.1,301.0,186.5,321.3,107.6,316.8,127.4,390.1,88.1,246.7,227.5,159.0,134.1,93.1,329.7,162.1,350.8,285.0,102.4,144.4,289.7,340.4,347.9,159.9,79.6,262.0,162.1,294.5,77.5,270.8,192.9,291.3,253.6,226.0,90.6,329.1,309.4,331.9,315.4,203.8,260.9,147.8,123.2,360.2,305.6,331.2,266.4,324.7,58.4,122.8,357.5,108.3,235.1,364.9,95.6,262.6,113.2,273.6,76.8,180.7,274.7,136.1,11.0,59.5,138.6,11.0,118.2,135.5,110.4,316.6,311.9,50.4,281.9,62.8,224.3,0.0,262.0,201.1,169.0,243.5,297.2,270.9,207.0,134.2,106.6,154.4,256.9,296.5,1996.0,143.9,360.7,198.5,286.9,146.2
WR,222.8,38.9,309.2,284.1,168.5,279.6,189.7,218.8,178.1,125.4,370.2,337.7,362.7,253.0,195.1,363.8,208.7,252.7,289.7,373.0,187.3,205.8,218.3,311.7,186.6,159.6,132.3,154.7,264.8,300.4,303.3,157.7,196.6,67.7,277.9,252.8,213.1,186.4,171.5,293.5,290.5,291.8,222.2,199.3,145.3,202.6,182.9,189.3,224.9,153.3,211.7,167.8,318.2,339.5,196.9,286.7,153.7,171.2,281.1,305.4,174.8,364.5,263.5,309.4,333.0,263.5,324.2,130.8,268.0,182.4,209.5,239.6,179.5,291.1,253.9,275.0,0.0,57.5,328.7,206.8,230.3,300.5,331.7,141.7,230.3,372.4,154.5,264.2,2020.1,301.5,238.4,96.1,207.8,313.4
WW,230.7,78.5,251.6,287.5,137.9,283.0,131.9,226.3,182.6,133.3,312.6,280.1,267.9,195.4,203.0,306.2,216.6,251.2,294.0,323.3,189.3,213.7,226.2,254.1,191.1,196.7,74.4,162.6,247.6,242.8,245.7,165.6,219.8,75.6,238.4,295.3,221.0,194.3,179.4,235.9,216.9,305.3,164.6,207.2,153.2,210.5,232.6,197.2,270.4,172.8,219.1,137.2,260.6,281.6,166.3,228.8,113.8,208.3,223.5,247.8,182.7,326.7,220.4,208.0,275.4,219.2,264.9,90.9,210.4,190.3,193.9,242.2,169.7,251.3,196.3,209.3,40.1,0.0,271.1,209.7,263.4,242.9,274.1,111.1,172.7,314.8,123.1,262.7,1962.2,243.9,246.3,133.2,215.7,255.8
WY,443.0,351.9,77.0,419.2,215.7,414.7,279.5,478.7,220.5,354.8,139.4,70.9,61.8,79.0,437.8,97.0,448.7,382.9,198.7,116.8,397.8,448.5,461.0,71.8,212.0,370.1,270.2,392.4,131.2,98.4,71.1,389.2,351.5,334.1,122.0,427.0,407.3,429.8,423.5,61.3,104.9,141.8,86.8,458.1,403.5,449.8,364.3,432.8,211.7,230.9,455.4,216.4,126.8,470.3,187.3,360.5,283.3,381.7,107.1,92.6,372.6,97.9,177.0,137.1,50.5,177.0,141.8,305.6,50.4,434.4,420.0,156.6,390.0,149.3,80.5,165.9,312.9,273.3,0.0,341.4,395.1,109.1,118.9,242.3,78.7,105.6,365.0,394.4,2093.9,37.8,458.6,306.6,384.8,49.7
XH,101.5,235.5,394.5,77.2,251.8,72.7,300.9,113.9,307.3,163.6,435.5,367.0,329.5,301.1,86.9,357.5,84.5,45.8,304.7,339.8,120.1,97.6,104.3,367.9,315.8,139.1,214.8,50.9,293.7,445.3,400.9,47.7,10.0,174.6,284.5,85.5,65.8,88.3,83.9,438.4,419.4,273.5,367.1,75.1,62.0,87.6,22.8,97.8,376.1,265.1,135.5,251.1,463.1,184.6,280.2,41.4,316.6,136.5,272.3,388.7,31.1,287.6,355.7,410.5,346.6,356.9,268.2,293.7,318.4,73.0,104.6,347.9,126.2,318.1,398.8,367.2,197.1,202.4,377.0,0.0,76.0,445.4,322.9,225.0,314.6,349.8,149.1,57.3,1833.1,351.9,117.1,160.9,43.3,341.6
XL,163.3,294.4,441.8,73.5,310.7,69.0,359.8,99.4,366.2,222.5,482.8,414.3,376.8,348.4,139.9,404.8,69.8,93.1,352.0,387.1,180.3,150.6,157.3,415.2,374.7,198.0,262.1,94.5,341.0,504.2,448.2,91.3,79.3,233.5,331.8,138.5,118.8,102.6,148.5,497.3,478.3,320.8,378.5,79.2,105.6,140.6,91.5,158.1,435.0,324.0,75.7,310.0,522.0,231.9,339.1,54.0,325.4,196.7,319.6,436.0,113.2,334.9,414.6,469.4,393.9,415.8,315.5,302.5,365.7,137.6,157.6,406.8,185.1,365.4,457.7,426.1,256.0,261.3,424.3,47.2,0.0,504.3,370.2,283.9,361.9,397.1,208.0,104.6,1880.4,399.2,178.9,219.8,52.9,388.9
XP,529.9,363.3,101.0,506.1,259.5,501.6,323.3,565.9,329.7,398.6,71.5,106.6,158.9,158.1,481.6,132.7,535.6,469.8,242.5,152.5,441.6,492.3,504.8,74.4,328.8,413.9,314.0,479.3,210.3,61.6,95.1,476.1,438.4,377.9,201.1,513.9,494.2,516.7,467.3,85.3,79.9,153.9,165.9,545.0,490.4,493.6,451.2,476.6,267.8,287.5,541.5,260.2,17.6,516.8,231.1,447.4,327.1,425.5,224.1,86.1,459.5,175.3,256.1,221.5,95.7,254.9,185.6,349.8,129.5,478.2,463.8,238.0,433.8,228.4,63.7,245.0,324.9,284.7,120.5,428.3,482.0,0.0,112.4,286.1,149.3,141.3,408.8,481.3,2204.7,134.9,545.5,350.4,471.7,146.8
XQ,374.3,348.0,93.4,350.5,147.0,346.0,210.8,419.3,217.2,286.1,92.2,85.9,105.1,140.4,369.1,77.1,380.0,314.2,130.0,59.4,329.1,379.8,392.3,53.7,216.3,301.4,201.5,323.7,133.0,94.2,99.8,320.5,282.8,265.4,123.8,358.3,338.6,361.1,354.8,110.7,112.5,41.4,145.2,389.4,334.8,381.1,295.6,364.1,155.3,175.0,385.9,147.7,99.8,404.3,118.6,291.8,214.6,313.0,111.6,23.6,303.9,62.8,190.5,184.1,75.0,191.7,73.1,237.3,108.8,365.7,351.3,182.7,321.3,157.4,74.4,202.0,309.6,284.6,119.3,272.7,326.4,122.9,0.0,173.6,128.6,69.4,296.3,325.7,2025.2,114.2,389.9,237.9,316.1,117.2
XR,232.4,174.3,271.0,280.8,26.7,276.3,75.8,288.5,82.2,112.4,312.0,243.5,206.0,177.6,195.4,234.0,259.8,244.5,174.8,216.3,155.4,206.1,218.6,244.4,90.7,127.7,27.8,254.0,149.9,317.6,320.5,250.8,213.1,91.7,163.0,256.9,200.1,309.7,181.1,310.7,291.7,150.0,239.4,250.4,265.1,207.4,225.9,190.4,151.0,40.0,282.8,26.0,335.4,230.6,55.1,222.1,91.1,139.3,148.8,265.2,234.2,164.1,130.6,194.5,223.1,131.8,144.7,68.2,194.9,192.0,177.6,122.8,147.6,176.2,271.1,142.1,135.9,110.9,253.5,203.0,256.7,317.7,199.4,0.0,199.6,226.3,122.6,256.0,1955.5,228.4,248.0,64.2,246.4,218.1
XS,368.2,281.6,141.7,353.4,140.9,339.9,197.0,413.2,155.1,280.0,145.7,77.2,86.1,13.6,363.0,112.3,373.9,308.1,112.2,109.3,323.0,373.7,386.2,78.1,146.6,304.3,195.4,317.6,65.8,125.2,127.3,314.4,276.7,259.3,56.6,352.2,332.5,355.0,348.7,117.5,115.3,112.7,16.5,392.3,328.7,384.0,289.5,358.0,136.9,165.1,389.6,141.6,142.2,404.9,112.5,285.7,180.2,306.9,41.7,137.9,297.8,100.8,111.6,71.7,56.8,111.6,83.1,202.5,28.6,368.6,345.2,100.2,315.2,83.9,77.9,100.5,234.1,194.5,96.2,266.6,320.3,124.5,155.7,176.5,0.0,120.9,290.2,319.6,2019.1,62.1,392.8,240.8,310.0,74.0
YD,376.7,350.4,61.1,352.9,149.4,348.4,213.2,421.7,219.6,288.5,120.1,31.0,53.9,99.1,371.5,7.6,382.4,316.6,132.4,11.2,331.5,382.2,394.7,52.5,218.7,303.8,203.9,326.1,114.3,140.1,67.5,322.9,285.2,267.8,105.1,360.7,341.0,363.5,357.2,78.4,146.6,43.8,129.2,391.8,337.2,383.5,298.0,366.5,145.4,164.6,389.1,150.1,127.7,406.7,121.0,294.2,217.0,315.4,114.0,73.3,306.3,56.2,192.9,148.1,60.7,192.9,75.5,239.3,94.5,368.1,353.7,185.1,323.7,137.8,120.3,204.4,311.4,287.0,105.0,275.1,328.8,151.1,99.6,176.0,112.6,0.0,298.7,328.1,2027.6,77.9,392.3,240.3,318.5,66.0
YG,144.5,149.1,367.7,255.7,153.3,251.2,202.4,200.6,208.8,65.1,428.7,396.2,332.6,311.5,108.3,360.6,171.9,224.3,301.4,342.9,68.3,119.0,131.5,370.2,217.3,40.6,190.5,156.3,276.5,358.9,361.8,153.1,177.8,88.2,289.6,169.8,141.3,219.8,94.0,352.0,349.0,276.6,280.7,162.5,167.4,106.3,164.1,89.3,209.7,138.1,195.7,152.6,376.7,315.0,181.7,262.2,230.2,52.2,275.4,363.9,168.5,264.9,257.2,324.1,391.5,257.2,271.3,207.5,326.5,104.1,90.5,249.4,46.5,301.9,312.4,268.7,110.1,116.0,387.2,188.0,211.5,359.0,390.2,126.5,288.8,352.9,0.0,235.8,1995.6,360.0,160.1,62.4,189.0,344.7
YI,200.8,331.9,396.5,19.8,255.9,15.3,316.1,136.9,304.5,260.0,437.5,369.0,331.5,303.1,177.4,359.5,107.3,11.0,306.7,341.8,217.8,188.1,194.8,369.9,313.0,235.5,216.8,117.1,295.7,475.0,402.9,113.9,116.8,196.9,286.5,176.0,156.3,138.1,186.0,413.8,440.5,275.5,333.2,116.7,128.2,178.1,129.0,195.6,312.3,240.7,114.0,255.2,445.1,168.6,284.3,38.3,280.1,234.2,274.3,390.7,97.3,289.6,359.8,352.1,348.6,359.8,270.2,257.2,320.4,175.1,195.1,364.1,222.6,320.1,403.1,383.3,292.9,298.8,379.0,101.0,53.7,449.7,324.9,229.1,325.1,351.8,245.5,0.0,1835.1,353.9,216.4,188.3,90.4,343.6
YK,1962.1,2139.1,2071.4,1918.0,1930.8,1922.5,1991.0,1973.8,1979.4,2024.2,2112.4,2043.9,2006.4,1978.0,1947.5,2034.4,1945.1,1862.2,1981.6,2016.7,1980.7,1958.2,1964.9,2044.8,1987.9,1999.7,1891.7,1911.5,1970.6,2149.9,2077.8,1908.3,1870.6,2000.0,1961.4,1946.1,1926.4,1948.9,1944.5,2088.7,2099.4,1950.4,2008.1,1935.7,1922.6,1948.2,1883.4,1958.4,2006.9,1944.1,1968.1,1930.1,2120.0,1971.7,1959.2,1897.6,1955.0,1997.1,1949.2,2065.6,1891.7,1964.5,2034.7,2021.7,2023.5,2035.9,1945.1,1932.1,1995.3,1933.6,1965.2,2039.0,1986.8,1995.0,2078.0,2058.2,2015.0,1974.8,2053.9,1860.5,1907.7,2124.6,1999.8,1904.0,2000.0,2026.7,2009.7,1873.7,0.0,2028.8,1977.7,1991.4,1903.9,2018.5
YQ,405.1,378.8,77.0,381.3,177.8,376.8,241.6,450.1,248.0,316.9,118.0,49.5,23.9,101.4,399.9,75.6,410.8,345.0,160.8,86.5,359.9,410.6,423.1,50.4,197.4,332.2,232.3,354.5,116.6,138.0,83.4,351.3,313.6,296.2,107.4,389.1,369.4,391.9,385.6,94.3,156.3,103.9,85.4,420.2,365.6,411.9,326.4,394.9,186.1,205.8,416.7,178.5,125.6,435.1,149.4,322.6,245.4,343.8,92.5,71.2,334.7,64.0,174.0,141.0,29.1,173.8,103.9,268.1,49.0,396.5,382.1,144.3,352.1,141.0,118.2,163.9,340.4,271.9,41.5,303.5,357.2,150.4,97.5,204.4,68.8,84.2,327.1,356.5,2056.0,0.0,420.7,268.7,346.9,11.8
YZ,20.8,277.3,495.9,236.7,292.5,232.2,341.6,137.0,348.0,204.3,556.9,524.4,471.8,439.7,121.3,499.8,108.3,170.3,440.6,482.1,119.5,132.0,120.7,498.4,356.5,147.5,271.4,92.7,415.7,487.1,490.0,89.5,114.2,216.4,428.8,101.9,66.5,158.2,83.3,480.2,461.2,415.8,408.9,98.9,103.8,90.5,100.5,97.2,416.8,305.8,131.3,291.8,504.9,287.0,320.9,165.9,358.4,135.9,414.6,492.1,107.4,429.9,396.4,452.3,519.7,397.6,410.5,335.5,454.7,72.4,104.1,388.6,140.0,442.0,440.6,407.9,238.9,244.2,515.4,124.4,147.9,487.2,518.4,265.7,417.0,492.1,190.9,181.8,1957.6,488.2,0.0,201.6,125.4,483.9
ZC,168.1,148.5,356.7,258.4,90.8,253.9,139.9,224.2,146.3,48.1,417.7,307.6,270.1,241.7,131.1,298.1,195.5,207.3,238.9,280.4,91.1,141.8,154.3,308.5,154.8,63.4,69.7,179.9,214.0,347.9,350.8,176.7,190.7,27.4,227.1,192.6,135.8,243.4,116.8,341.0,338.0,214.1,269.7,186.1,191.0,143.1,203.5,126.1,147.2,75.6,219.3,90.1,365.7,252.5,119.2,199.7,143.7,75.0,212.9,352.9,163.0,202.4,194.7,258.6,287.2,194.7,208.8,124.4,259.0,127.7,113.3,186.9,83.3,240.3,301.4,206.2,109.5,105.0,317.6,180.6,234.3,348.0,263.5,64.0,277.8,290.4,58.3,218.8,1933.1,292.5,183.7,0.0,224.0,282.2
ZD,115.7,249.7,431.1,106.9,266.0,102.4,315.1,100.0,321.5,177.8,472.1,403.6,366.1,337.7,140.5,394.1,70.4,82.4,341.3,376.4,134.3,151.2,157.9,404.5,330.0,153.3,251.4,65.1,330.3,459.5,437.5,61.9,26.3,188.8,321.1,139.1,119.4,103.2,98.1,448.4,433.6,310.1,367.8,79.8,76.2,141.2,37.0,112.0,390.3,279.3,76.3,265.3,477.3,221.2,294.4,78.0,314.7,150.7,308.9,425.3,45.3,324.2,369.9,424.7,383.2,371.1,304.8,291.8,355.0,87.2,158.2,362.1,140.4,354.7,413.0,381.4,211.3,216.6,413.6,36.5,60.0,459.6,359.5,239.2,359.7,386.4,163.3,93.9,1869.7,388.5,131.3,175.1,0.0,378.2
ZW,393.2,366.9,88.9,369.4,165.9,364.9,229.7,428.5,236.1,305.0,129.9,61.4,12.0,89.5,388.0,87.5,398.9,333.1,148.9,74.6,348.0,398.7,411.2,62.3,185.5,320.3,220.4,342.6,104.7,149.9,95.3,339.4,301.7,284.3,95.5,377.2,357.5,380.0,373.7,106.2,156.4,92.0,97.3,408.3,353.7,400.0,314.5,383.0,161.9,181.1,405.6,166.6,137.5,423.2,137.5,310.7,233.5,331.9,80.6,83.1,322.8,72.7,162.1,138.5,41.0,162.1,92.0,256.2,60.9,384.6,370.2,130.1,340.2,128.2,130.1,152.0,327.9,283.8,53.4,291.6,345.3,162.3,109.4,192.5,80.7,84.6,315.2,344.6,2044.1,11.8,408.8,256.8,335.0,0.0
