from_stop,AA,AS,AX,BG,BI,BJ,BK,BL,BX,CE,CH,CJ,CL,DE,EA,EL,EM,EQ,ER,EU,EW,FC,FY,GA,GD,GL,HA,HP,IM,IO,KI,KU,KX,LJ,LW,MD,MH,MM,MN,MO,MP,NA,NK,NM,NN,NP,NQ,NT,OB,OE,PE,PG,PM,PO,PP,QA,QF,QM,RD,RG,RK,RW,SJ,SY,TH,TL,TP,TU,UK,UV,UX,VB,VC,VJ,VK,VL,VM,VV,VX,WD,WH,WM,XK,XM,XP,YK,YL,YV,ZB,ZD,ZO,ZR
VC,459.6,482.0,470.2,412.8,337.5,494.7,477.1,520.2,193.5,525.7,425.6,437.3,421.4,495.5,435.2,452.8,471.8,428.5,128.7,337.1,171.5,452.4,522.0,289.4,481.7,482.8,287.2,345.3,304.4,326.7,337.4,302.9,419.2,191.8,404.6,509.2,322.5,337.7,483.8,436.5,33.9,273.5,433.5,422.4,342.6,441.9,81.0,472.8,460.8,392.9,471.2,487.7,89.6,453.5,332.2,408.2,185.0,415.4,468.2,385.7,396.6,426.8,455.2,123.5,451.6,177.4,334.9,125.4,436.9,307.4,437.9,456.9,0.0,529.6,476.1,1108.9,467.9,482.7,149.7,463.8,508.5,505.8,397.7,501.2,416.5,460.8,79.7,459.9,487.1,323.5,419.0,322.2
VJ,575.5,594.8,586.1,528.7,376.1,626.2,595.4,648.5,442.7,640.7,541.5,553.2,452.0,611.4,551.1,568.7,587.7,459.1,398.3,367.7,419.2,568.3,668.3,320.0,595.7,598.7,317.8,375.9,324.8,357.3,376.0,333.5,535.1,439.5,520.5,625.1,353.1,368.3,612.0,467.1,373.9,395.7,549.4,538.3,381.2,556.7,374.2,588.7,576.7,451.7,587.1,603.6,395.0,569.4,362.8,524.1,432.7,531.3,584.1,416.3,512.5,542.7,571.1,370.1,565.1,425.1,365.5,418.6,552.8,338.0,553.8,575.0,390.6,0.0,592.0,1058.9,583.8,598.6,397.4,579.7,624.9,621.7,513.6,647.5,436.6,607.1,429.9,575.8,603.0,354.1,534.9,345.4
VK,196.4,298.5,289.8,250.4,392.5,231.3,195.6,193.5,499.9,344.4,245.2,174.1,532.6,19.4,211.3,191.9,208.6,539.7,455.5,448.3,476.4,169.4,273.4,400.6,82.6,320.4,398.4,456.5,405.4,437.9,392.4,414.1,238.8,496.7,141.4,75.0,433.7,448.9,316.7,547.7,431.1,398.4,170.3,260.0,397.6,278.4,410.3,289.5,197.6,532.3,290.8,90.5,452.2,291.1,443.4,245.8,489.9,152.2,283.6,496.9,58.1,163.6,192.0,452.8,60.4,482.3,446.1,440.3,76.1,418.6,275.5,171.4,447.8,721.7,0.0,1077.7,205.8,85.5,454.6,200.6,74.8,108.6,57.0,252.6,517.2,212.2,487.1,62.7,307.7,434.7,238.6,426.0
VL,979.9,970.0,1026.3,961.3,1108.9,964.2,975.1,1004.5,1084.1,1009.9,981.7,1036.8,1249.0,1112.4,919.5,937.1,1002.3,1256.1,980.0,1164.7,1060.6,999.7,1006.3,1117.0,1123.3,1034.4,1114.8,1172.9,1121.8,1154.3,1108.8,1130.5,924.3,1080.9,1004.1,1104.5,1150.1,1165.3,968.7,1264.1,1010.9,1062.9,1033.0,974.0,1114.0,992.4,955.9,1026.0,992.9,1248.7,962.3,1131.2,1032.0,1005.1,1159.8,959.8,1074.1,1014.9,1020.1,1213.3,1040.1,1026.3,998.3,951.8,1092.7,1066.5,1162.5,1000.3,1080.4,1135.0,989.5,958.0,1027.6,1174.6,1093.0,0.0,985.8,1126.2,1038.8,1010.3,1104.3,1149.3,1041.2,985.5,1233.6,945.1,1066.9,1103.4,959.7,1151.1,975.1,1142.4
VM,55.5,295.7,255.6,194.1,430.4,167.3,11.5,139.0,537.8,341.6,242.4,57.0,570.5,230.1,68.3,41.3,77.9,577.6,493.4,486.2,514.3,49.5,209.4,438.5,271.4,264.1,436.3,494.4,443.3,475.8,430.3,452.0,236.0,534.6,100.7,222.2,471.6,486.8,234.8,585.6,469.0,436.3,82.5,203.7,435.5,222.1,448.2,261.0,7.0,570.2,288.0,279.3,490.1,234.8,481.3,189.5,527.8,61.7,249.5,534.8,246.9,78.5,12.6,490.7,249.2,520.2,484.0,478.2,264.9,456.5,219.2,47.9,485.7,759.6,210.7,995.8,0.0,274.3,492.5,85.9,222.0,297.4,245.8,188.6,555.1,148.2,525.0,251.5,225.8,472.6,235.8,463.9
VV,260.4,365.6,353.8,314.4,449.5,293.3,259.6,257.5,555.4,409.1,308.7,238.1,589.6,125.3,275.3,255.9,272.6,596.7,512.5,505.3,518.5,233.4,337.4,457.6,32.6,384.4,455.4,513.5,472.6,494.9,449.4,471.1,302.8,553.7,205.4,139.0,490.7,505.9,377.2,604.7,481.9,455.4,234.3,324.0,454.6,342.4,467.3,340.6,261.6,561.1,354.8,4.9,509.2,355.1,500.4,309.8,546.9,216.2,347.6,553.9,115.1,227.6,256.0,509.8,119.8,539.3,503.1,497.3,133.1,475.6,339.5,233.2,504.8,778.7,105.9,1141.7,269.8,0.0,511.6,264.6,138.8,34.4,114.0,316.6,584.7,276.2,544.1,31.8,371.7,487.9,302.6,483.0
VX,440.5,459.8,451.1,393.7,272.0,460.8,460.4,501.1,76.4,505.7,406.5,418.2,347.9,476.4,416.1,433.7,452.7,355.0,107.1,263.6,21.7,433.3,502.9,215.9,460.7,463.7,213.7,271.8,220.7,253.2,271.9,229.4,400.1,73.2,385.5,490.1,249.0,264.2,477.0,363.0,82.7,200.0,414.4,403.3,277.1,421.7,61.9,453.7,441.7,347.6,452.1,468.6,103.8,434.4,258.7,389.1,66.4,396.3,449.1,312.2,377.5,407.7,436.1,104.4,430.1,39.0,261.4,61.5,417.8,233.9,418.8,440.0,99.4,456.1,457.0,999.0,448.8,463.6,0.0,444.7,489.9,486.7,378.6,482.1,332.5,441.7,138.7,440.8,468.0,250.0,399.9,241.3
WD,30.4,304.7,278.0,216.5,422.5,187.7,97.5,197.9,528.4,348.4,248.3,76.7,562.6,236.6,90.7,100.8,8.0,569.7,488.0,478.3,506.4,94.2,231.8,430.6,309.8,288.3,428.4,486.5,445.6,467.9,422.4,444.1,241.9,526.7,59.1,228.7,463.7,478.9,257.2,577.7,457.8,428.4,57.9,226.1,427.6,248.2,440.3,276.5,78.8,534.1,293.9,285.8,482.2,257.2,473.4,211.9,519.9,97.8,271.9,526.9,253.4,36.9,73.2,482.8,258.1,512.3,476.1,470.3,280.2,448.6,241.6,123.0,477.8,751.7,217.2,1018.2,85.9,280.8,484.6,0.0,228.5,303.9,252.3,211.0,547.2,170.6,517.1,258.0,248.2,464.7,241.7,456.0
WH,201.7,306.9,295.1,255.3,419.4,234.6,203.0,198.4,524.9,350.6,250.0,179.4,559.5,68.2,216.6,197.2,218.9,566.6,484.9,474.8,488.4,174.3,278.7,427.5,141.4,327.5,425.3,483.4,442.1,464.8,418.9,440.6,243.7,523.6,146.7,0.2,460.6,475.8,319.8,574.6,451.8,424.9,175.2,265.3,424.5,284.8,436.8,294.8,202.9,530.6,296.1,117.0,478.7,296.4,470.3,252.4,516.8,157.5,288.9,523.4,85.0,168.9,196.9,479.7,89.3,508.8,473.0,467.2,111.8,445.5,280.8,175.5,474.3,748.6,48.8,1083.0,211.1,112.4,481.5,205.5,0.0,135.5,83.9,257.9,554.6,217.5,514.0,89.6,312.6,457.8,243.9,439.0
WM,283.6,385.7,377.0,337.6,472.7,318.5,282.8,280.7,580.1,431.6,332.4,261.3,612.8,148.5,298.5,279.1,295.8,619.9,535.7,528.5,556.6,256.6,360.6,480.8,35.4,407.6,478.6,536.7,485.6,518.1,472.6,494.3,326.0,576.9,228.6,162.2,513.9,529.1,403.9,627.9,511.3,478.6,257.5,347.2,477.8,365.6,490.5,363.8,284.8,612.5,378.0,29.9,532.4,378.3,523.6,333.0,570.1,239.4,370.8,577.1,138.3,250.8,279.2,533.0,140.6,562.5,526.3,520.5,156.3,498.8,362.7,258.6,528.0,801.9,129.1,1164.9,293.0,24.4,534.8,287.8,162.0,0.0,137.2,339.8,597.4,299.4,567.3,55.0,394.9,514.9,325.8,506.2
XK,232.8,299.2,290.5,233.1,335.4,267.7,232.0,229.9,442.8,345.1,245.9,210.5,475.5,97.7,247.7,228.3,245.0,482.6,398.4,391.2,419.3,205.8,309.8,343.5,82.0,303.1,341.3,399.4,348.3,380.8,335.3,357.0,239.5,439.6,177.8,111.4,376.6,391.8,316.4,490.6,374.0,341.3,206.7,242.7,340.5,261.1,353.2,293.1,234.0,475.2,291.5,89.9,395.1,273.8,386.3,228.5,432.8,188.6,288.5,439.8,1.1,200.0,228.4,395.7,51.4,425.2,389.0,383.2,39.1,361.5,258.2,207.8,390.7,664.6,78.3,1021.9,242.2,84.9,397.5,237.0,111.2,108.0,0.0,289.0,460.1,248.6,430.0,62.1,307.4,377.6,239.3,368.9
XM,147.1,346.9,230.9,178.2,414.5,83.9,142.3,127.0,521.9,360.1,282.3,162.8,554.6,234.9,86.7,104.3,169.5,561.7,477.5,470.3,498.4,139.7,108.0,422.6,276.2,248.2,420.4,478.5,427.4,459.9,414.4,436.1,251.9,518.7,208.8,227.0,455.7,470.9,210.1,569.7,453.1,420.4,188.3,187.8,419.6,206.2,432.3,238.2,160.1,554.3,339.2,284.1,474.2,218.9,465.4,173.6,511.9,167.7,233.6,518.9,251.7,214.5,165.5,474.8,254.0,504.3,468.1,462.3,269.7,440.6,203.3,125.2,469.8,743.7,215.5,971.1,153.0,279.1,476.6,177.5,226.8,302.2,250.6,0.0,539.2,46.8,509.1,256.3,201.1,456.7,275.7,448.0
XP,509.1,531.5,519.7,472.8,309.7,527.4,526.6,569.7,466.4,585.7,474.6,486.8,99.4,545.0,484.7,502.3,526.3,119.1,415.5,236.7,419.0,512.4,571.5,189.0,561.2,534.1,220.1,244.9,237.3,226.3,320.1,202.5,468.7,454.2,464.6,558.7,255.4,237.3,543.8,129.2,382.4,410.4,483.0,471.9,314.8,491.4,378.3,522.3,510.3,12.9,520.7,537.2,409.7,513.5,231.8,459.0,447.4,464.9,528.2,58.3,446.1,476.3,504.7,410.3,501.1,450.3,234.5,397.8,495.2,217.5,497.9,507.4,405.3,604.1,525.6,1158.4,517.4,532.2,412.1,513.3,558.0,555.3,447.2,550.7,0.0,510.3,444.6,509.4,536.6,219.3,479.0,233.8
YK,138.4,338.2,222.2,169.5,405.8,55.2,133.6,118.3,513.2,351.4,273.6,154.1,545.9,226.2,78.0,95.6,160.8,553.0,468.8,461.6,489.7,131.0,61.1,413.9,267.5,239.5,411.7,469.8,418.7,451.2,405.7,427.4,243.2,510.0,200.1,218.3,447.0,462.2,201.4,561.0,444.4,411.7,179.6,179.1,410.9,197.5,423.6,229.5,151.4,545.6,330.5,275.4,465.5,210.2,456.7,164.9,503.2,159.0,224.9,510.2,243.0,205.8,156.8,466.1,245.3,495.6,459.4,453.6,261.0,431.9,194.6,116.5,461.1,735.0,206.8,962.4,144.3,270.4,467.9,168.8,218.1,293.5,241.9,58.5,530.5,0.0,500.4,247.6,192.4,448.0,267.0,439.3
YL,484.1,503.4,494.7,437.3,362.0,504.4,504.0,544.7,219.5,549.3,450.1,461.8,445.9,520.0,459.7,477.3,496.3,453.0,150.7,361.6,196.0,476.9,546.5,313.9,504.3,507.3,311.7,369.8,318.7,351.2,361.9,327.4,443.7,216.3,429.1,533.7,347.0,362.2,520.6,461.0,72.1,298.0,458.0,446.9,367.1,465.3,105.5,497.3,485.3,445.6,495.7,512.2,30.2,478.0,356.7,432.7,209.5,439.9,492.7,410.2,421.1,451.3,479.7,148.0,473.7,201.9,359.4,149.9,461.4,331.9,462.4,483.6,75.3,554.1,500.6,1133.4,492.4,507.2,174.2,488.3,533.5,530.3,422.2,525.7,430.5,485.3,0.0,484.4,511.6,348.0,443.5,339.3
YV,228.5,330.6,321.9,282.5,417.6,263.4,227.7,225.6,525.0,376.5,277.3,206.2,557.7,93.4,243.4,224.0,240.7,564.8,480.6,473.4,501.5,201.5,305.5,425.7,19.8,352.5,423.5,481.6,430.5,463.0,417.5,439.2,270.9,521.8,173.5,107.1,458.8,474.0,348.8,572.8,456.2,423.5,202.4,292.1,422.7,310.5,435.4,321.6,229.7,557.4,322.9,27.7,477.3,323.2,468.5,277.9,515.0,184.3,315.7,522.0,83.2,195.7,224.1,477.9,85.5,507.4,471.2,465.4,101.2,443.7,307.6,203.5,472.9,746.8,74.0,1109.8,237.9,22.7,479.7,232.7,106.9,45.8,82.1,284.7,542.3,244.3,512.2,0.0,339.8,459.8,270.7,451.1
ZB,339.6,333.2,163.3,135.1,546.9,321.9,336.9,364.2,652.8,344.2,214.2,356.0,687.0,435.4,279.2,296.8,362.0,694.1,609.9,602.7,630.8,371.1,366.0,555.0,508.6,214.0,552.8,610.9,570.0,592.3,546.8,568.5,326.8,651.1,323.3,427.5,588.1,603.3,64.2,702.1,579.3,552.8,352.2,153.6,552.0,172.0,564.7,274.9,352.6,658.5,322.4,484.6,606.6,274.1,597.8,202.4,644.3,334.1,288.8,651.3,403.4,345.5,358.0,607.2,456.9,636.7,600.5,594.7,451.6,573.0,169.1,320.1,602.2,876.1,416.0,954.3,345.5,479.6,609.0,382.5,426.8,502.7,404.5,345.2,682.1,304.8,641.5,456.8,0.0,585.3,208.1,580.4
ZD,417.7,435.1,428.3,370.9,218.3,436.6,438.6,473.3,359.5,483.8,384.7,395.4,202.7,453.6,393.3,410.9,429.9,209.8,322.6,17.3,343.5,405.5,480.1,49.3,439.8,441.9,146.0,21.7,140.9,81.6,218.2,19.1,377.3,362.8,362.7,467.3,162.5,32.4,450.7,218.8,292.2,320.0,392.6,380.5,224.4,400.0,276.4,425.9,418.9,169.2,429.3,440.8,313.3,406.6,38.2,367.3,356.0,373.5,426.3,168.0,354.7,384.9,408.3,318.9,404.7,343.4,49.0,306.4,398.8,19.6,396.0,416.0,308.9,512.7,434.2,1067.0,426.0,435.8,320.7,416.9,468.1,463.9,355.8,459.3,188.3,418.9,353.2,418.0,440.2,0.0,372.1,143.7
ZO,207.4,211.4,108.4,146.9,376.0,243.7,224.9,258.1,481.9,255.1,6.5,185.1,516.1,264.5,201.0,227.4,224.6,523.2,439.0,431.8,459.9,200.2,287.8,384.1,337.7,225.8,381.9,440.0,399.1,421.4,375.9,397.6,148.6,480.2,152.4,256.6,417.2,432.4,205.0,531.2,408.4,381.9,181.3,165.4,381.1,187.5,393.8,116.9,208.6,487.6,200.6,313.7,435.7,149.9,426.9,174.0,473.4,163.2,111.0,480.4,232.5,174.6,203.0,436.3,286.0,465.8,429.6,423.8,281.6,402.1,180.9,204.7,431.3,705.2,245.1,1009.1,215.7,308.7,438.1,211.6,256.4,331.8,233.6,267.0,500.7,226.6,470.6,285.9,208.3,418.9,0.0,416.9
ZR,409.3,419.0,407.2,362.5,209.9,428.2,429.2,473.3,356.1,478.8,375.3,387.0,228.6,445.2,384.9,402.5,421.5,235.7,313.2,122.0,334.1,389.4,471.7,96.6,432.9,432.5,26.4,124.0,67.1,73.4,197.1,97.4,368.9,354.4,354.3,458.9,81.8,113.9,442.3,231.0,285.5,297.9,386.6,372.1,202.3,393.9,255.3,409.8,410.5,200.1,420.9,440.8,313.3,390.5,108.4,359.2,347.6,365.1,417.9,192.9,346.3,376.5,408.3,310.5,388.6,327.3,142.1,298.0,390.0,114.6,387.6,407.6,292.8,504.3,425.8,1058.6,417.6,419.7,312.3,416.9,458.7,455.5,347.4,450.9,213.2,410.5,344.8,409.6,424.1,130.3,356.0,0.0
