from_stop,AG,AK,AS,AW,BA,BI,BY,CA,CJ,CQ,CV,DC,DL,DM,DO,DR,DV,EC,EI,EQ,EU,EV,FA,FM,FX,GG,GO,GU,GV,HJ,HX,IM,IQ,IS,IW,JG,JJ,JP,JQ,JV,JZ,KC,KE,KK,KO,KR,KT,LG,LH,LQ,LR,LW,LZ,MI,MM,MY,ND,NP,OE,OJ,PD,PF,PK,PM,PV,PZ,QF,QH,QI,QK,QL,QO,QP,QR,QW,RT,SB,SQ,SS,ST,SY,TJ,TW,UD,UI,UM,UN,UR,UU,UW,UY,VA,VL,VP,VS,WA,WE,WS,WU,XJ,XK,XM,XO,XX,YA,YH,YQ,YS,ZE,ZN,ZP,ZT,ZW,ZY
NP,297.8,215.3,221.4,230.6,65.5,186.5,130.7,205.4,91.5,293.9,310.0,169.9,144.4,179.5,152.5,50.4,156.9,201.7,342.3,227.6,73.4,142.1,173.8,246.6,276.0,112.1,240.0,160.9,123.9,178.4,336.2,72.0,323.1,123.8,236.1,133.3,85.8,229.8,245.7,2171.9,240.1,290.1,81.1,298.9,172.6,295.0,195.4,278.2,56.0,166.7,265.5,117.6,78.1,338.0,252.9,92.5,137.3,0.0,206.6,75.9,311.5,168.1,154.1,223.5,204.7,228.0,92.0,179.3,241.8,266.0,5.5,59.8,46.5,45.3,37.3,275.1,309.0,267.6,55.4,102.2,96.1,233.7,90.5,303.1,200.2,271.7,183.3,131.2,118.0,122.4,230.4,390.6,335.3,122.8,147.1,335.8,77.6,278.3,248.7,216.2,151.1,144.4,324.6,197.6,177.8,132.1,158.5,150.4,31.8,192.3,202.0,218.4,112.7,65.8
OE,127.2,69.2,72.3,96.4,249.3,186.0,205.2,35.7,175.1,106.3,134.7,179.5,207.8,159.8,75.3,240.8,227.7,32.0,154.6,35.5,248.6,230.7,66.4,75.5,88.3,112.3,70.3,79.3,142.3,114.1,148.5,187.2,152.5,190.9,121.6,113.5,156.9,60.1,138.9,2313.2,52.4,119.5,170.2,129.2,163.7,107.3,38.1,107.6,246.4,62.7,77.8,179.7,193.3,168.3,105.0,163.6,200.7,207.9,0.0,197.7,123.8,144.7,85.4,115.8,152.9,42.1,135.5,240.9,72.1,96.3,213.5,195.0,196.5,235.7,205.3,105.7,138.4,97.9,171.0,128.9,170.6,105.6,212.9,115.4,139.1,102.0,138.5,164.5,192.8,218.1,60.7,219.5,147.6,206.1,154.2,166.1,229.4,169.1,61.0,46.5,148.4,99.6,136.9,96.1,53.9,240.7,221.9,105.6,243.0,40.0,31.3,11.7,154.0,217.6
OJ,286.6,206.6,200.1,225.4,96.5,125.4,153.1,186.5,69.2,275.1,298.8,200.3,144.2,179.6,130.2,78.1,164.1,182.8,323.4,205.3,104.5,159.4,168.1,227.7,257.1,93.2,221.1,155.2,101.6,157.1,317.3,31.7,311.9,138.1,224.9,111.0,93.3,210.9,234.5,2175.2,223.8,278.9,111.6,265.9,134.4,276.1,199.2,267.0,87.0,143.8,246.6,108.5,37.8,321.1,241.7,100.0,137.1,48.5,187.7,0.0,288.2,146.8,148.9,192.3,234.8,236.2,73.1,177.3,222.9,252.8,55.2,27.4,59.0,76.3,67.8,256.5,297.8,238.2,33.1,83.3,73.8,202.5,113.4,289.8,174.8,252.8,161.0,112.3,140.7,140.5,211.5,329.4,316.4,134.9,125.8,316.9,91.9,273.1,229.8,197.3,129.8,122.1,305.7,176.3,181.6,150.4,158.3,128.1,54.7,170.0,179.7,199.5,72.4,84.3
PD,44.7,115.8,132.2,134.0,320.4,214.5,290.8,100.1,305.4,48.7,26.7,182.1,293.4,154.0,207.8,337.8,313.6,103.8,30.7,168.0,332.5,316.3,198.9,69.7,65.1,197.9,107.9,211.8,230.4,167.6,24.6,266.8,36.1,276.5,121.0,250.1,242.5,106.7,139.2,2423.7,88.4,59.5,255.8,121.8,231.0,16.4,170.6,83.1,330.3,195.2,66.9,233.2,260.2,184.2,146.4,249.2,286.3,338.2,132.4,298.3,0.0,171.3,223.4,110.0,152.3,174.6,221.1,326.5,74.4,110.2,317.1,282.2,315.8,324.7,284.7,106.8,69.3,99.3,290.3,214.5,300.9,99.8,298.5,54.0,133.3,110.2,252.1,283.8,280.2,303.7,107.0,150.9,79.7,259.6,207.7,146.1,291.5,162.3,93.8,89.2,201.9,223.7,69.0,149.6,186.4,326.3,307.5,217.7,330.7,172.5,163.8,144.2,239.6,305.2
PF,163.9,161.6,82.8,188.8,177.2,73.6,165.8,112.8,135.7,153.2,176.1,67.7,168.1,56.9,85.8,194.6,170.4,124.4,209.7,164.9,204.2,173.1,144.4,101.5,130.3,72.6,162.7,120.6,66.7,49.7,203.6,129.4,189.2,118.2,102.2,132.2,99.3,152.5,105.0,2256.5,97.0,156.2,101.3,192.2,51.9,162.4,167.5,137.5,205.0,99.4,149.4,54.1,134.9,260.7,112.2,106.0,161.0,187.7,129.3,160.9,171.3,0.0,145.4,72.6,120.9,192.8,77.9,201.2,164.5,194.4,202.9,168.5,152.1,196.4,148.5,197.8,168.3,175.0,144.5,89.2,179.6,82.8,155.3,187.0,47.2,194.4,134.2,120.1,135.2,160.5,141.8,256.2,219.2,80.5,64.5,268.6,148.3,261.5,113.4,138.9,22.8,105.8,208.5,59.0,160.8,201.0,164.3,99.8,216.5,125.6,142.9,141.1,89.6,173.2
PK,208.5,111.8,105.5,130.6,196.9,164.6,215.1,102.2,116.1,198.1,188.0,187.2,217.7,177.9,76.9,178.5,237.6,98.5,239.1,75.0,204.9,241.6,27.2,143.4,178.4,126.4,136.8,40.1,118.6,126.7,233.0,171.5,233.8,200.8,180.2,74.3,166.8,126.6,156.4,2261.1,139.5,200.8,180.1,181.6,173.6,191.8,41.2,188.9,187.4,64.9,162.3,193.6,177.6,236.8,163.6,173.5,210.6,148.9,103.4,138.7,203.9,141.8,0.0,145.2,242.6,65.6,145.4,250.8,138.6,168.5,155.6,167.2,187.8,176.7,186.3,172.2,219.7,153.9,162.3,138.8,111.6,135.0,222.1,205.5,157.2,168.5,139.6,131.4,202.7,253.8,127.2,245.1,232.1,220.0,168.1,232.6,209.0,178.3,145.5,113.0,162.3,100.7,221.4,120.8,23.6,263.5,231.8,106.7,180.8,38.0,47.7,69.5,163.9,201.4
PM,123.3,151.1,62.5,171.4,224.0,114.5,194.4,110.7,157.1,92.5,120.9,53.2,197.0,43.9,153.0,245.7,216.9,107.0,140.8,140.0,236.1,220.9,134.6,40.2,88.9,105.7,145.3,147.5,120.3,61.1,134.7,170.4,146.2,180.1,64.2,143.6,146.1,130.5,71.2,2307.8,106.3,115.6,152.4,190.1,123.5,93.5,142.6,103.7,233.9,130.3,127.1,125.7,163.8,245.3,78.4,152.8,189.9,238.8,104.4,201.9,105.6,72.5,135.6,0.0,125.2,146.6,124.7,230.1,147.1,177.0,230.6,197.4,205.7,228.3,199.6,180.7,134.5,162.4,180.2,118.1,161.7,10.2,201.8,158.5,23.2,177.0,145.6,173.7,182.0,207.3,131.1,215.6,189.8,149.6,100.2,228.0,195.1,244.1,65.8,121.5,94.4,117.2,179.1,61.6,158.4,229.9,211.1,111.2,245.6,123.4,135.8,116.2,143.2,204.0
PV,93.0,172.4,113.3,222.2,218.1,101.8,188.5,148.1,139.2,89.1,105.2,58.5,191.1,49.2,167.4,239.8,211.0,151.8,162.3,174.2,245.1,215.0,184.3,93.9,110.2,99.8,196.1,202.2,107.6,89.6,156.2,164.5,118.3,174.2,31.3,158.0,140.2,151.8,40.9,2317.8,133.5,85.3,153.5,204.1,110.8,122.6,176.8,73.4,228.0,181.0,148.4,113.0,157.9,255.8,48.1,146.9,184.0,232.7,138.6,207.6,137.6,81.5,185.3,78.5,0.0,193.4,118.8,224.2,188.0,206.6,224.5,203.1,193.0,237.3,182.4,231.5,104.2,213.2,167.5,112.2,143.8,80.6,195.9,162.0,64.4,206.6,160.0,161.0,176.1,201.4,152.4,185.3,182.0,139.4,87.5,197.7,189.2,258.7,100.0,177.4,81.7,131.6,182.6,98.9,192.6,224.0,205.2,125.6,239.5,178.7,170.0,150.4,137.3,198.1
PZ,162.7,110.3,107.8,130.4,266.1,239.4,259.7,71.2,204.7,160.5,170.2,233.7,262.0,195.3,139.1,270.4,263.2,67.5,208.8,37.9,293.5,266.2,71.4,129.7,142.5,166.5,105.8,65.6,177.8,168.3,202.7,204.0,206.7,226.4,175.8,99.8,192.4,101.2,193.1,2336.2,106.6,173.7,224.4,164.7,199.2,161.5,43.1,161.8,259.2,107.8,132.0,233.9,228.8,203.8,140.5,199.1,236.2,237.5,35.4,227.3,178.0,161.0,71.7,170.0,207.1,0.0,171.0,295.1,107.6,131.8,226.3,230.5,232.0,265.3,240.8,140.9,192.6,133.4,206.5,164.4,200.2,141.1,267.5,169.6,193.3,137.5,165.1,200.0,228.3,272.3,96.2,255.5,201.8,260.3,208.4,201.6,264.9,161.3,96.5,82.0,202.6,144.9,172.4,131.6,40.2,323.4,257.4,132.2,259.8,100.2,70.3,69.4,208.2,234.4
QF,213.4,158.3,116.6,174.0,99.2,53.0,69.6,113.3,53.7,201.9,225.6,123.7,72.2,106.4,104.3,120.9,92.1,109.6,250.2,150.1,111.3,96.1,129.6,154.5,183.9,20.0,147.9,139.1,60.2,80.4,244.1,45.6,238.7,55.3,151.7,94.9,21.3,137.7,161.3,2204.4,150.6,205.7,34.6,192.7,62.0,202.9,152.7,193.8,109.1,117.9,173.4,54.5,39.0,247.9,168.5,28.0,65.1,102.7,114.5,77.1,215.0,70.1,130.6,119.1,158.2,167.3,0.0,105.3,149.7,179.6,94.5,72.6,88.7,103.5,63.5,183.3,224.6,165.0,63.2,10.1,58.3,129.3,77.0,216.6,101.6,179.6,96.9,39.1,57.2,82.5,138.3,256.2,243.2,76.3,71.8,243.7,70.3,246.7,156.6,124.1,75.8,68.5,232.5,93.9,146.0,105.1,86.3,62.5,109.5,118.4,128.1,126.3,18.4,79.2
QH,290.3,276.4,240.3,292.1,116.4,219.7,109.3,231.4,171.8,286.4,302.5,207.1,99.6,216.4,222.4,138.1,15.8,227.7,359.6,268.2,157.6,63.5,247.7,291.2,307.5,138.1,266.0,257.2,178.3,197.3,353.5,142.5,315.6,125.8,228.6,213.0,95.4,255.8,238.2,2181.2,284.1,282.6,142.5,310.8,209.5,319.9,270.8,270.7,126.3,236.0,306.9,136.5,135.9,366.0,245.4,88.6,78.3,173.2,232.6,174.0,334.9,187.0,248.7,259.7,197.2,296.1,118.0,0.0,267.8,297.7,165.0,169.5,160.1,145.3,134.0,301.4,301.5,283.1,171.5,128.2,176.4,269.9,94.2,350.1,236.5,297.7,215.0,157.2,94.4,75.7,256.4,382.6,376.7,112.4,166.0,395.0,112.1,364.8,274.7,242.2,170.0,186.6,366.0,216.5,264.1,72.5,84.2,180.6,180.0,236.5,246.2,244.4,164.2,121.0
QI,79.6,69.2,111.9,95.9,258.7,209.1,229.1,38.4,199.3,83.3,61.6,203.4,231.7,191.9,160.2,276.1,251.9,42.1,99.5,104.1,270.8,254.6,152.5,122.3,63.6,136.2,46.2,165.4,166.2,140.7,93.4,205.1,104.9,214.8,194.2,174.4,180.8,60.1,162.8,2358.9,76.2,94.4,194.1,57.0,187.6,69.3,119.0,117.7,268.6,147.6,57.2,207.6,198.5,96.1,170.0,187.5,224.6,262.2,80.8,236.6,68.7,168.6,153.5,151.6,187.2,161.5,159.4,264.8,0.0,24.1,255.4,232.1,240.0,263.0,223.0,33.5,113.3,25.7,226.1,152.8,203.9,141.4,236.8,56.3,171.2,29.8,176.4,184.7,216.7,242.0,60.7,105.9,88.5,234.0,182.1,93.9,229.8,96.9,102.9,27.5,176.3,148.0,77.8,131.0,134.8,264.6,245.8,142.0,269.0,141.3,112.2,92.6,177.9,243.5
QK,105.2,134.2,137.5,113.2,284.3,235.5,254.9,64.0,224.9,108.9,87.2,225.1,257.3,217.5,185.8,297.8,277.5,67.7,82.3,112.6,296.4,280.2,178.1,144.0,89.2,161.8,71.8,187.1,191.8,162.4,76.2,230.7,69.7,240.4,215.9,200.0,206.4,85.7,188.4,2329.0,104.4,120.0,219.7,27.1,213.2,94.9,140.7,144.8,290.3,173.2,82.8,233.2,224.1,66.2,195.6,209.2,250.2,283.9,106.4,262.2,83.7,194.2,193.7,177.2,212.8,134.0,185.0,290.4,25.5,0.0,281.0,246.1,265.6,288.6,248.6,57.9,102.9,46.5,251.7,178.4,271.2,167.0,258.5,59.5,192.9,0.0,202.0,210.3,244.1,267.6,86.0,76.0,65.2,259.6,203.8,64.0,255.4,73.3,128.5,53.1,201.9,173.6,50.6,156.6,160.4,290.2,267.5,163.7,294.6,166.9,137.8,118.2,203.5,265.2
QL,292.2,233.3,215.8,237.4,72.3,177.2,135.3,199.8,85.9,288.3,304.4,164.3,144.4,173.9,146.9,57.2,151.3,196.1,336.7,222.0,67.8,142.3,184.8,241.0,270.4,106.5,234.4,171.9,118.3,172.8,330.6,66.4,317.5,120.0,230.5,127.7,80.2,224.2,240.1,2178.7,234.5,284.5,75.5,293.3,167.0,289.4,215.9,272.6,62.8,161.1,259.9,112.0,72.5,332.4,247.3,86.9,137.3,6.8,201.0,70.3,305.9,162.5,160.9,217.9,199.1,234.8,86.4,164.2,236.2,266.1,0.0,57.0,40.9,52.1,31.7,269.8,303.4,262.0,49.8,96.6,90.5,228.1,95.1,297.5,194.6,266.1,177.7,125.6,122.6,122.4,224.8,384.5,329.7,117.2,141.5,330.2,73.8,285.1,243.1,210.6,145.5,138.8,319.0,192.0,198.3,132.3,158.5,144.8,26.2,186.7,196.4,212.8,107.1,62.0
QO,293.7,227.1,207.2,254.3,111.7,158.2,160.4,193.6,76.3,282.2,305.9,134.5,151.3,186.7,137.3,101.5,171.5,189.9,330.5,201.0,81.6,167.5,175.2,234.8,264.2,102.4,228.2,162.3,108.7,164.2,324.4,38.8,319.0,145.2,232.0,118.1,100.4,218.0,218.8,2195.3,228.3,286.0,107.3,287.1,141.5,283.2,206.3,275.6,104.1,151.5,254.7,115.6,44.9,326.2,248.8,107.1,144.2,65.6,194.8,19.0,299.7,131.1,169.0,199.4,230.9,230.7,80.2,184.4,230.0,254.2,64.4,0.0,66.1,91.8,63.5,263.3,304.9,233.0,40.2,90.4,80.9,209.6,120.3,291.3,159.1,259.9,168.1,119.4,149.6,147.6,218.3,336.0,323.5,142.0,132.9,324.0,99.0,304.2,236.9,204.4,136.9,129.2,312.8,183.4,188.7,157.5,165.4,112.4,27.2,177.1,186.8,206.6,79.5,64.4
QP,287.9,229.0,206.1,256.2,52.7,176.6,94.0,195.5,63.6,284.0,300.1,144.6,103.4,169.6,124.6,70.1,131.9,191.8,332.4,202.9,52.0,101.3,162.5,248.0,266.1,104.3,230.1,149.6,96.0,163.1,326.3,44.1,313.2,79.0,226.2,105.4,75.3,219.9,235.8,2196.0,232.8,280.2,71.2,289.0,162.7,285.1,193.6,268.3,62.6,138.2,256.6,107.7,50.2,328.1,243.0,68.5,96.3,38.3,196.7,48.0,301.6,152.9,178.6,207.7,194.8,230.6,82.1,145.1,231.9,256.1,31.5,43.5,0.0,44.2,27.4,265.5,299.1,257.7,27.5,92.3,68.2,217.9,54.1,293.2,184.4,261.8,155.4,68.6,81.6,81.4,220.2,380.7,325.4,106.1,137.2,325.9,32.8,323.4,238.8,206.3,141.2,116.5,314.7,182.3,176.0,91.3,117.5,122.5,45.1,164.4,174.1,195.9,84.8,21.0
QR,323.6,244.2,214.0,271.4,62.7,212.3,112.6,210.7,99.3,299.3,335.8,175.2,120.8,205.3,160.3,47.6,133.2,207.0,347.6,218.1,28.1,118.7,198.2,251.9,281.3,117.4,245.3,185.3,131.7,190.4,341.5,79.8,348.9,78.4,261.9,141.1,74.7,235.1,271.5,2169.6,248.0,315.9,106.9,304.2,198.4,300.3,229.3,304.0,53.2,173.9,270.8,129.6,85.9,343.3,278.7,67.9,113.7,74.0,211.9,83.7,316.8,186.6,186.3,216.5,230.5,266.3,97.3,146.4,247.1,277.0,67.2,67.6,35.6,0.0,63.1,280.7,334.8,272.9,63.2,107.5,103.9,226.7,71.5,308.4,199.0,277.0,191.1,136.5,99.0,98.8,235.7,353.6,340.6,105.5,159.1,341.1,32.2,310.5,254.0,221.5,163.1,152.2,329.9,191.3,211.7,108.7,134.9,158.2,55.5,200.1,209.8,223.7,120.5,20.4
QW,260.4,213.0,184.0,228.7,70.2,145.4,111.5,168.0,82.4,256.5,272.6,132.8,99.3,142.1,143.4,86.3,119.2,164.3,304.9,204.8,67.5,117.8,181.3,209.2,238.6,74.7,202.6,168.4,114.8,141.0,298.8,62.9,285.7,96.5,198.7,124.2,48.4,192.4,208.3,2211.1,205.3,252.7,43.7,247.4,135.2,257.6,207.4,240.8,80.1,157.0,228.1,80.2,69.0,302.6,215.5,55.1,92.2,39.1,169.2,66.8,269.7,130.7,185.3,186.1,167.3,232.7,54.6,132.4,204.4,234.3,30.9,62.3,17.4,61.7,0.0,238.0,271.6,219.7,46.3,64.8,87.0,196.3,71.8,271.3,162.8,234.3,151.6,93.8,99.1,98.9,193.0,352.7,297.9,85.4,109.7,298.4,50.3,301.4,211.3,178.8,113.7,123.2,287.2,160.2,194.8,108.8,113.4,117.2,45.9,173.1,182.8,181.0,71.9,42.7
RT,166.2,91.3,202.8,62.6,305.6,317.0,344.1,125.3,224.8,166.1,148.2,316.4,346.4,289.4,219.8,290.5,366.6,170.6,162.8,130.6,313.6,382.2,170.1,205.4,146.4,250.9,85.5,183.3,227.3,244.6,168.2,280.2,159.7,329.5,244.6,187.6,295.5,101.6,274.6,2347.7,161.6,212.4,308.8,99.2,300.3,185.1,145.5,202.0,296.1,207.2,154.9,310.5,286.3,167.3,227.7,302.5,339.3,257.6,138.5,247.4,155.3,256.0,142.8,245.4,275.6,128.2,274.1,379.5,88.2,112.4,263.5,264.1,299.8,285.7,295.0,0.0,231.3,114.0,274.0,267.5,220.3,235.2,330.9,143.2,268.7,118.1,252.9,240.1,333.2,362.5,101.2,184.2,134.7,336.6,284.7,172.2,317.7,63.6,199.6,127.3,278.9,214.0,145.4,226.6,166.5,372.2,360.5,220.3,289.5,180.9,173.4,153.8,292.6,305.9
SB,44.6,217.5,146.1,200.0,336.8,188.0,288.5,166.4,249.0,144.1,56.8,165.1,297.7,155.8,225.0,348.6,317.6,170.1,66.4,185.2,336.1,321.6,216.1,104.9,160.5,206.4,174.2,229.0,214.2,164.8,71.8,274.7,95.4,266.3,78.4,247.3,246.8,202.1,68.9,2415.8,170.3,22.2,231.4,99.8,177.8,111.8,187.8,34.3,346.7,213.0,147.5,213.6,264.5,151.5,61.8,253.5,290.6,317.8,149.6,298.6,99.7,176.2,235.1,134.8,109.7,204.4,225.4,330.8,127.9,102.3,309.6,294.1,284.0,328.3,278.6,160.6,0.0,142.3,258.5,218.8,253.6,124.6,302.5,104.3,144.9,102.3,249.3,234.4,282.7,308.0,202.7,81.0,77.7,228.6,194.1,93.4,295.8,154.4,111.0,155.5,188.3,220.9,88.4,156.4,203.6,330.6,311.8,214.9,324.6,189.7,181.0,161.4,243.9,309.3
SQ,174.0,98.8,210.6,70.1,313.4,324.8,352.8,132.8,232.6,173.9,156.0,323.9,354.2,297.2,227.6,298.3,374.1,178.4,170.6,138.4,321.4,390.0,177.9,212.9,154.2,258.7,93.3,190.8,235.1,252.4,176.0,288.0,167.5,337.3,252.1,195.4,303.3,109.4,282.4,2355.5,166.8,220.2,316.6,99.9,308.1,192.9,153.3,208.3,303.9,215.0,161.7,318.0,294.1,175.1,235.5,310.0,347.1,265.4,146.3,255.2,163.1,293.5,150.6,253.2,283.4,135.7,281.9,387.3,96.0,120.2,271.0,271.9,307.3,293.2,302.8,7.8,239.1,0.0,281.8,275.3,228.1,243.0,338.4,150.7,276.5,125.9,260.7,247.9,339.2,370.3,108.7,192.5,142.5,344.4,292.5,180.0,325.5,71.1,207.4,135.1,286.7,221.8,153.2,234.4,174.3,380.0,368.3,227.8,297.3,188.7,181.2,161.6,300.4,313.7
SS,268.6,215.9,178.5,231.6,78.2,92.2,119.5,170.9,36.0,264.7,280.8,167.1,128.9,161.6,97.0,99.9,157.4,167.2,321.0,172.1,77.5,125.8,134.9,220.4,255.6,77.6,205.5,122.0,68.4,135.5,314.9,16.1,293.9,104.5,206.9,77.8,77.7,195.3,216.5,2186.7,222.3,260.9,78.0,250.3,101.2,273.7,166.0,249.0,88.1,110.6,245.1,92.9,22.2,305.5,223.7,94.0,121.8,65.1,172.1,40.0,285.8,125.3,151.0,180.1,201.6,203.0,57.5,170.6,207.3,237.2,56.9,35.5,25.4,69.7,34.2,240.9,279.8,222.6,0.0,67.7,40.6,190.3,79.8,288.3,156.8,237.2,127.8,41.0,107.1,106.9,195.9,313.8,314.9,119.3,110.2,301.3,58.3,295.8,214.2,181.7,114.2,88.9,304.2,154.7,148.4,116.8,143.0,94.9,71.9,136.8,146.5,168.3,56.8,50.7
ST,203.2,148.1,106.4,163.8,105.8,42.8,76.2,103.1,43.5,191.7,215.4,105.5,78.8,96.2,94.1,127.5,98.7,99.4,240.0,139.9,130.6,102.7,119.4,144.3,173.7,9.8,137.7,128.9,50.0,70.2,233.9,52.2,228.5,61.9,141.5,84.7,27.9,127.5,151.1,2194.2,140.4,195.5,41.2,182.5,51.8,192.7,142.5,183.6,115.7,107.7,163.2,61.1,45.6,237.7,158.3,34.6,71.7,113.5,104.3,93.1,204.8,59.9,120.4,108.9,164.8,167.8,6.5,111.9,139.5,169.4,110.0,88.6,78.5,122.8,70.1,173.1,214.4,154.8,53.0,0.0,48.1,119.1,83.6,206.4,91.4,169.4,86.7,28.9,63.8,89.1,128.1,246.0,233.0,82.9,78.4,233.5,76.9,236.5,146.4,113.9,82.4,58.3,222.3,83.7,135.8,111.7,92.9,52.3,125.0,108.2,117.9,116.1,25.0,85.8
SY,242.0,194.2,150.2,209.9,113.3,70.9,178.2,149.2,4.5,238.1,254.2,105.2,142.0,114.5,93.7,94.9,161.9,145.5,299.4,168.8,121.3,188.9,131.6,198.8,227.3,55.9,183.8,118.7,65.1,107.2,293.3,87.9,267.3,125.1,180.3,74.5,91.1,173.6,189.9,2146.0,194.0,234.3,146.5,228.6,79.9,252.1,162.7,222.4,103.8,107.3,216.8,100.1,94.0,283.8,197.1,97.8,134.9,65.3,150.4,55.1,264.2,96.9,147.7,158.5,148.9,199.7,69.7,175.1,185.6,215.5,72.0,83.6,111.9,93.1,102.7,219.2,253.2,200.9,44.2,63.1,0.0,168.7,138.5,260.0,135.2,215.5,124.5,19.7,165.8,170.2,174.2,334.3,286.6,126.5,75.9,279.6,125.4,282.6,192.5,160.0,79.9,85.6,275.9,126.4,145.1,179.9,156.1,91.6,97.2,133.5,143.2,162.2,128.6,117.8
TJ,113.1,140.9,52.3,161.2,230.6,123.8,201.0,100.5,167.3,82.3,110.7,63.4,203.6,54.1,132.1,252.3,223.5,96.8,130.6,129.8,242.7,227.5,124.4,30.0,78.7,112.3,135.1,137.3,130.5,69.4,124.5,177.0,136.0,186.7,74.4,151.9,152.7,120.3,61.0,2318.0,96.1,105.4,162.6,179.9,132.8,83.3,132.4,93.5,240.5,120.1,116.9,135.0,170.4,235.1,68.2,159.4,196.5,249.0,94.2,208.5,95.4,80.8,125.4,10.2,135.4,136.4,131.3,236.7,136.9,166.8,240.8,204.0,215.9,234.9,209.8,170.5,124.3,152.2,190.4,124.7,171.9,0.0,208.4,148.3,33.4,166.8,153.9,183.9,188.6,213.9,120.9,205.4,179.6,159.8,109.5,217.8,201.7,233.9,55.6,111.3,103.7,125.5,168.9,51.4,148.2,236.5,217.7,119.5,255.8,113.2,125.6,106.0,149.8,210.6
TW,286.7,223.6,185.7,243.1,21.8,148.7,39.8,182.4,122.8,282.8,298.9,146.9,60.4,181.4,173.4,39.2,81.2,178.7,319.3,219.2,63.0,88.4,198.7,223.6,253.0,89.1,217.0,208.2,129.3,149.5,313.2,93.5,312.0,68.1,225.0,164.0,46.4,206.8,234.6,2165.1,217.1,279.0,76.1,275.9,174.5,272.0,221.8,267.1,31.7,187.6,242.5,112.0,86.9,315.0,241.8,39.6,53.3,101.6,183.6,111.3,288.5,139.2,199.7,188.2,193.6,247.1,69.0,93.5,218.8,248.7,94.8,106.8,63.2,69.2,85.0,252.1,297.9,244.6,90.8,79.2,127.4,198.4,0.0,280.1,170.7,248.7,166.0,108.2,27.4,68.5,207.4,325.3,312.3,87.9,141.5,312.8,63.1,315.8,225.7,193.2,145.5,137.6,301.6,163.0,215.1,78.4,74.5,131.6,108.4,187.5,197.2,195.4,86.3,66.0
UD,76.9,105.7,104.1,117.2,303.6,231.0,274.3,83.3,244.2,85.4,58.9,225.1,276.6,204.2,201.0,321.0,296.5,87.0,67.2,161.2,315.7,299.5,192.1,119.9,65.7,185.3,91.1,205.0,224.1,145.9,61.1,250.0,54.6,259.7,153.2,228.4,225.7,96.6,177.7,2392.3,62.9,91.7,239.0,90.4,209.3,66.6,163.8,121.3,313.5,188.4,36.5,211.5,243.4,136.6,136.6,232.4,269.5,307.1,125.6,281.5,66.0,187.0,213.3,160.2,184.5,198.4,204.3,309.7,44.8,82.7,300.3,265.4,284.9,307.9,267.9,77.2,87.8,69.7,281.1,197.7,290.8,150.0,281.7,0.0,183.5,78.8,230.4,229.6,261.6,286.9,96.9,110.5,32.1,237.9,186.0,98.5,274.7,130.9,110.8,72.4,180.2,202.0,21.4,127.9,179.6,309.5,290.7,196.0,313.9,165.7,157.0,137.4,222.8,288.4
UI,137.1,162.9,85.4,191.4,207.5,81.9,171.1,130.7,133.8,115.8,144.2,48.7,180.5,20.6,144.2,224.9,200.4,127.0,164.1,163.3,234.5,203.4,147.0,63.5,112.2,89.2,165.3,159.9,97.0,52.3,158.0,153.9,162.4,163.6,75.4,134.8,129.6,153.8,85.0,2284.5,129.2,129.4,129.1,224.2,100.2,116.8,165.9,117.5,217.4,142.1,150.4,102.4,147.3,263.3,92.2,136.3,173.4,215.5,127.7,197.0,133.3,52.4,148.0,23.2,101.9,169.9,108.2,213.6,167.1,197.0,208.7,192.5,182.4,226.7,176.3,200.7,148.3,192.9,156.9,101.6,138.4,33.4,185.6,181.8,0.0,197.0,136.8,150.4,165.5,190.8,154.4,229.9,213.1,126.3,76.9,241.8,178.6,264.1,89.1,141.5,71.1,108.4,202.4,61.6,163.4,213.4,194.6,102.4,222.3,135.8,159.1,139.5,126.7,203.5
UM,105.2,130.7,137.5,113.2,284.3,204.2,254.7,64.0,224.9,108.9,87.2,226.8,257.3,217.5,185.8,306.0,277.2,67.7,82.3,129.7,296.4,281.2,178.1,147.9,89.2,166.0,71.8,191.0,191.8,166.3,76.2,230.7,69.7,240.4,219.8,200.0,206.4,85.7,188.4,2329.0,101.8,120.0,219.7,13.0,213.2,94.9,144.6,143.3,294.2,173.8,83.8,233.2,224.1,68.2,195.6,213.1,250.2,287.8,106.4,262.2,89.9,181.4,193.7,177.2,212.8,178.8,185.0,290.4,25.5,0.0,279.6,257.7,265.6,288.6,248.6,58.2,102.9,39.9,251.7,178.4,271.2,167.0,262.1,53.9,196.8,0.0,202.0,210.3,242.3,267.6,86.3,76.5,65.2,259.6,207.7,64.0,255.4,67.6,128.5,53.1,201.9,173.6,54.5,156.6,160.4,290.2,271.4,167.6,294.6,166.9,137.8,118.2,203.5,264.3
