from_stop,AD,AL,AR,AZ,BM,CG,CK,CT,DC,DF,DH,DI,DR,DS,DW,EA,EC,ED,EF,EI,ET,FI,GA,GD,GF,GT,HL,HO,HQ,HT,ID,IN,IR,JH,JJ,JK,JN,JO,JQ,KD,KY,LA,LI,LR,ME,MK,MW,NA,NB,NJ,NQ,NU,NX,OC,OJ,OM,OP,OQ,OS,PA,PH,PI,PX,PY,QE,QF,QM,QO,QR,QU,RN,RS,RV,RW,SB,SC,ST,SW,TE,TH,TI,TO,TU,UC,UT,UX,UY,VA,VC,VE,VG,VI,VL,VZ,WL,WM,WY,WZ,XK,XQ,YD,YF,YJ,YM,YN,YY,ZD,ZH,ZJ,ZM,ZY
PA,124.6,463.4,246.1,641.3,94.5,484.2,92.8,459.9,484.6,424.1,109.3,459.4,599.2,438.9,298.9,79.5,48.2,170.2,540.3,134.8,515.9,516.7,373.0,494.2,636.9,485.0,301.7,520.6,457.1,539.9,386.5,518.2,171.4,547.1,590.2,481.4,123.1,126.7,452.5,147.0,237.5,448.0,409.9,582.0,620.2,468.9,516.4,456.0,85.4,479.8,406.2,268.0,430.5,517.9,562.5,428.0,194.0,124.0,469.2,0.0,566.4,481.2,502.7,502.5,152.9,532.8,474.1,381.3,585.0,520.6,523.5,156.0,513.2,582.0,551.7,474.8,467.5,491.8,108.3,155.0,490.9,473.3,272.5,128.3,58.6,529.7,469.1,479.8,455.4,241.2,532.5,526.6,459.0,33.0,439.7,547.4,420.8,468.3,478.8,425.6,186.8,65.8,464.3,477.7,456.3,2.5,469.4,484.2,508.0,507.2,1942.7
PH,501.6,142.3,523.7,336.4,509.1,204.1,528.2,192.9,143.8,199.6,535.2,163.8,373.2,215.1,542.1,496.4,482.0,670.0,315.8,547.8,63.6,8.0,416.4,214.1,349.0,130.0,562.5,264.8,316.1,348.4,225.9,220.1,552.3,119.8,310.1,160.3,622.9,624.2,131.4,644.2,349.0,269.3,225.8,337.8,296.1,128.6,420.8,197.8,586.6,121.6,153.8,589.0,334.9,57.6,3.8,289.2,513.6,541.4,92.6,530.5,0.0,155.3,224.9,409.2,574.3,439.5,215.9,266.0,83.2,240.5,297.1,603.4,94.8,343.5,48.6,178.0,127.0,208.8,525.2,592.7,395.3,380.5,506.1,628.1,558.7,338.2,242.3,255.3,362.1,574.2,54.6,246.5,88.4,561.3,212.6,318.6,177.1,51.9,131.4,265.4,690.9,464.4,77.9,39.0,409.6,533.0,419.9,259.7,234.8,107.3,2044.1
PI,532.4,142.8,552.2,407.3,539.9,250.2,559.0,69.0,151.8,200.1,563.7,225.4,406.8,214.9,570.6,524.9,510.5,698.5,357.0,601.0,219.6,157.2,444.9,260.2,395.1,80.6,607.8,299.3,257.7,340.5,147.9,284.2,580.8,233.6,356.2,160.8,651.4,655.0,131.9,675.3,379.8,248.6,147.8,393.6,342.2,136.6,451.6,222.0,613.7,245.8,147.1,617.5,365.7,100.7,145.3,228.6,542.1,572.2,100.1,559.0,149.2,0.0,268.7,437.7,602.8,468.0,240.1,188.0,229.4,286.6,340.2,605.9,241.0,389.6,134.5,54.1,63.1,84.9,553.7,621.2,426.1,408.5,544.2,656.6,587.2,330.3,245.1,255.8,390.6,602.7,200.8,292.6,89.9,592.1,88.7,353.2,133.1,111.7,92.4,187.4,715.1,492.9,160.0,121.1,437.1,561.5,450.2,288.4,274.0,161.2,2072.6
PX,486.9,224.9,506.7,174.2,494.4,74.9,513.5,194.3,159.3,175.8,518.2,125.0,179.2,197.4,525.1,479.4,465.0,653.0,193.1,530.8,114.8,194.9,399.4,84.9,155.0,254.5,547.8,178.9,250.3,275.2,190.9,131.6,535.3,210.1,147.9,242.9,605.9,609.5,214.0,627.2,334.3,196.1,190.8,178.4,102.1,174.4,406.1,114.0,568.2,113.2,118.8,572.0,320.2,221.5,183.0,216.0,496.6,526.7,247.7,513.5,186.9,237.9,0.0,392.2,557.3,422.5,132.1,231.0,183.9,46.5,174.4,560.4,112.1,149.5,210.2,209.2,237.0,244.2,508.2,575.7,380.6,365.8,489.1,611.1,541.7,265.0,227.6,157.3,345.1,557.2,131.4,23.8,240.4,546.6,192.1,147.1,144.4,238.9,257.3,230.4,673.9,447.4,216.8,226.0,392.6,516.0,405.2,200.5,12.2,185.4,2027.1
PY,461.7,321.9,434.9,499.8,469.2,342.7,488.3,318.4,343.1,282.6,493.0,317.9,457.7,297.4,499.9,454.2,439.8,627.8,398.8,530.3,374.4,375.2,356.2,352.7,495.4,343.5,490.5,379.1,315.6,398.4,245.0,376.7,510.1,405.6,448.7,339.9,580.7,584.3,311.0,604.6,259.7,306.5,268.4,440.5,478.7,327.4,13.8,314.5,543.0,338.3,264.7,510.8,72.0,376.4,421.0,286.5,471.4,501.5,327.7,488.3,424.9,339.7,361.2,0.0,532.1,30.2,332.6,239.8,443.5,379.1,382.0,535.2,371.7,440.5,410.2,333.3,326.0,350.3,483.0,550.5,11.6,29.2,473.5,585.9,516.5,388.2,327.6,338.3,47.1,471.0,391.0,385.1,317.5,521.4,298.2,405.9,279.3,326.8,337.3,284.1,644.4,422.2,322.8,336.2,56.5,490.8,43.4,342.7,366.5,365.7,1983.9
QE,118.8,562.9,321.8,740.8,284.1,583.7,87.7,559.4,584.1,523.6,123.4,558.9,698.7,538.4,438.4,269.1,237.8,253.7,639.8,45.6,615.4,616.2,472.5,593.7,736.4,584.5,377.4,620.1,556.6,639.4,486.0,617.7,85.7,646.6,689.7,580.9,206.6,210.2,552.0,230.5,337.0,547.5,509.4,681.5,719.7,568.4,615.9,555.5,168.9,579.3,505.7,351.5,530.0,617.4,662.0,527.5,108.3,145.4,568.7,202.1,665.9,580.7,602.2,602.0,0.0,632.3,573.6,480.8,684.5,620.1,623.0,3.0,612.7,681.5,651.2,574.3,567.0,591.3,297.9,82.1,590.4,572.8,400.0,211.8,216.1,629.2,568.6,579.3,554.9,316.9,632.0,626.1,558.5,157.5,539.2,646.9,520.3,567.8,578.3,525.1,270.3,255.4,563.8,577.2,555.8,199.4,568.9,583.7,607.5,606.7,2001.5
QF,492.0,352.2,465.2,530.1,499.5,373.0,518.6,348.7,373.4,312.9,523.3,348.2,488.0,327.7,530.2,484.5,470.1,658.1,429.1,560.6,404.7,405.5,386.5,383.0,525.7,373.8,506.3,409.4,353.1,428.7,275.3,407.0,540.4,435.9,479.0,370.2,611.0,614.6,341.3,632.3,290.0,336.8,298.7,453.4,509.0,357.7,16.4,344.8,573.3,368.6,284.0,541.1,102.2,406.7,451.3,316.8,501.7,531.8,358.0,518.6,455.2,370.0,391.5,30.2,562.4,0.0,362.9,270.1,473.8,409.4,410.4,591.5,402.0,470.8,440.5,363.6,356.3,380.6,513.3,580.8,41.8,56.7,503.8,616.2,546.8,418.5,357.9,368.6,77.3,501.3,421.3,415.4,353.8,551.7,328.5,431.9,309.6,357.1,367.6,314.4,674.7,452.5,353.1,366.5,25.3,521.1,12.7,373.0,396.8,395.6,2014.2
QM,395.6,165.8,415.4,417.4,403.1,260.3,422.2,162.3,251.8,43.6,426.9,217.5,266.4,106.1,433.8,388.1,373.7,561.7,207.5,464.2,292.0,219.1,308.1,270.3,304.1,187.4,471.0,187.8,200.6,240.1,145.5,269.0,444.0,305.2,366.3,183.8,514.6,518.2,154.9,538.5,243.0,161.0,112.3,249.2,287.4,171.3,314.8,224.5,476.9,255.9,108.6,480.7,228.9,220.3,264.9,182.3,405.3,435.4,171.6,422.2,268.8,183.6,288.6,300.9,466.0,331.2,0.0,83.7,361.1,259.2,190.7,469.1,289.3,249.2,254.1,177.2,169.9,194.2,416.9,484.4,289.3,271.7,407.4,519.8,450.4,229.9,136.3,147.0,253.8,465.9,308.6,312.5,161.4,455.3,142.1,214.6,123.2,170.7,181.2,185.0,578.3,356.1,166.7,180.1,300.3,424.7,313.4,151.4,293.9,277.9,1935.8
QO,446.2,103.6,466.0,281.5,453.7,124.4,472.8,91.5,124.8,152.6,477.5,99.6,281.0,181.5,484.4,438.7,424.3,612.3,270.8,514.8,156.1,156.9,358.7,134.4,269.3,125.2,521.6,173.5,171.5,254.3,61.7,158.4,494.6,187.3,230.4,121.6,565.2,568.8,92.7,589.1,293.6,162.4,28.5,307.4,216.4,109.1,365.4,96.2,527.5,120.0,45.0,531.3,279.5,158.1,202.7,142.4,455.9,486.0,109.4,472.8,206.6,121.4,142.9,351.5,516.6,381.8,114.3,0.0,225.2,160.8,254.0,519.7,153.4,263.8,191.9,106.4,107.7,132.0,467.5,535.0,339.9,322.3,458.0,570.4,501.0,244.1,211.7,222.1,304.4,516.5,172.7,166.8,99.2,505.9,79.9,267.0,59.6,108.5,119.0,101.2,628.9,406.7,104.5,117.9,350.9,475.3,364.0,202.2,148.2,147.4,1986.4
QR,574.7,213.1,594.5,348.2,582.2,191.1,601.3,283.4,176.2,270.4,606.0,163.2,347.7,285.2,612.9,567.2,552.8,740.8,354.5,643.3,60.4,101.2,487.2,201.1,336.0,214.7,650.1,272.4,379.7,419.2,284.4,207.1,623.1,116.4,297.1,231.1,693.7,697.3,202.2,717.6,422.1,340.1,284.3,374.7,283.1,191.3,493.9,207.5,656.0,108.6,223.3,659.8,408.0,127.8,89.3,361.4,584.4,614.5,185.9,601.3,93.2,245.8,209.6,480.0,645.1,510.3,225.6,324.5,0.0,227.5,337.7,648.2,81.8,330.5,116.5,268.5,197.2,299.3,596.0,663.5,468.4,450.8,586.5,698.9,629.5,409.0,315.4,326.1,432.9,645.0,41.6,233.5,175.7,634.4,247.3,312.8,237.9,145.2,208.5,323.9,757.4,535.2,162.2,133.5,479.4,603.8,492.5,330.5,214.9,157.7,2114.9
QU,482.7,220.7,502.5,206.6,490.2,82.5,509.3,190.1,155.1,171.6,514.0,120.8,120.1,186.7,520.9,475.2,460.8,648.8,153.4,551.3,110.6,190.7,395.2,92.5,108.4,250.3,558.1,163.3,203.4,235.5,186.7,107.6,531.1,205.9,155.5,238.7,601.7,605.3,209.8,625.6,330.1,156.4,186.6,173.6,55.5,170.2,401.9,109.8,564.0,109.0,125.6,567.8,316.0,217.3,178.8,177.7,492.4,522.5,243.5,509.3,182.7,233.7,56.2,388.0,553.1,418.3,127.9,226.8,179.7,0.0,136.6,556.2,107.9,102.9,206.0,205.0,232.8,240.0,504.0,571.5,376.4,358.8,494.5,606.9,537.5,225.3,216.9,117.6,340.9,553.0,127.2,80.1,233.3,542.4,187.9,111.7,140.2,234.7,253.1,226.2,665.4,443.2,212.6,223.0,387.4,511.8,400.5,160.8,61.5,181.2,2022.9
RN,498.5,284.3,518.3,322.3,506.0,223.0,525.1,280.8,310.4,172.9,529.8,276.1,114.2,137.1,536.7,491.0,476.6,664.6,18.6,545.5,258.9,331.2,411.0,233.0,148.3,305.9,559.4,181.2,146.9,171.8,206.9,177.1,546.9,346.4,296.0,302.3,617.5,621.1,273.4,641.4,345.9,92.7,230.8,42.9,157.6,325.5,417.7,250.3,579.8,249.5,216.1,583.6,331.8,338.8,319.3,112.6,508.2,538.3,290.1,525.1,323.2,302.1,196.7,403.8,568.9,434.1,268.4,202.2,320.2,167.3,0.0,572.0,248.4,131.4,346.5,295.7,288.4,312.7,519.8,587.3,392.2,377.4,500.7,622.7,553.3,161.6,167.3,53.5,356.7,568.8,267.7,220.6,279.9,558.2,260.6,50.9,241.7,289.2,299.7,260.0,681.2,459.0,285.2,298.6,403.2,527.6,416.8,97.1,208.9,336.5,2038.7
RS,115.7,559.8,318.7,712.9,281.0,580.6,84.6,556.3,581.0,520.5,120.3,555.8,712.3,536.0,435.3,256.6,225.3,250.6,636.7,67.6,620.1,613.1,469.4,590.6,733.3,581.4,365.0,617.0,560.7,636.3,482.9,614.6,82.6,643.5,686.6,577.8,203.5,185.1,548.9,224.8,333.9,544.4,506.3,661.0,716.6,565.3,612.8,552.4,167.2,576.2,491.6,348.4,526.9,614.3,658.9,525.6,105.2,120.3,565.6,199.0,618.8,577.6,577.1,598.9,113.9,629.2,570.5,477.7,681.4,617.0,618.0,0.0,609.6,678.4,648.1,571.2,563.9,588.2,294.8,79.0,587.3,572.5,387.3,208.7,213.0,626.1,565.5,576.2,551.8,313.8,628.9,623.0,561.4,154.4,536.1,639.5,517.2,564.7,575.2,522.0,271.5,252.3,588.3,575.6,553.7,196.3,544.3,580.6,611.3,603.2,1998.4
RV,546.6,223.8,566.4,314.4,554.1,157.3,573.2,254.0,186.9,235.5,577.9,173.9,313.9,257.1,584.8,539.1,524.7,712.7,320.7,615.2,31.8,111.9,459.1,167.3,302.2,225.4,622.0,238.6,360.4,391.1,250.6,173.3,595.0,127.1,263.3,241.8,665.6,669.2,212.9,689.5,394.0,312.0,250.5,340.9,249.3,202.0,465.8,173.7,627.9,74.8,189.5,631.7,379.9,138.5,100.0,331.3,556.3,586.4,196.6,573.2,103.9,256.5,175.8,451.9,617.0,482.2,191.8,290.7,100.9,193.7,303.9,620.1,0.0,296.7,127.2,279.2,207.9,310.0,567.9,635.4,440.3,422.7,558.4,670.8,601.4,380.9,287.3,284.9,404.8,616.9,48.4,199.7,186.4,606.3,251.8,279.0,204.1,155.9,219.2,290.1,729.3,507.1,172.9,144.2,451.3,575.7,464.4,302.4,181.1,168.4,2086.8
RW,559.6,324.0,579.4,309.9,567.1,185.8,586.2,293.4,258.4,219.2,590.9,224.1,17.2,198.2,597.8,552.1,537.7,725.7,123.0,628.2,213.9,294.0,472.1,195.8,77.1,353.6,635.0,156.8,214.9,247.0,290.0,170.7,608.0,309.2,258.8,342.0,678.6,682.2,313.1,702.5,407.0,167.9,289.9,102.9,71.2,273.5,478.8,213.1,640.9,212.3,228.9,644.7,392.9,320.6,282.1,189.2,569.3,599.4,346.8,586.2,286.0,337.0,159.5,464.9,630.0,495.2,231.2,263.3,283.0,103.2,139.8,633.1,211.2,0.0,309.3,308.3,336.1,343.3,580.9,648.4,453.3,435.7,571.4,683.8,614.4,236.8,228.4,129.1,417.8,629.9,230.5,183.4,336.6,619.3,291.2,123.2,243.5,338.0,356.4,329.5,742.3,520.1,315.9,326.3,464.3,588.7,477.4,172.3,164.8,284.5,2099.8
SB,489.9,128.3,509.7,334.0,497.4,201.7,516.5,198.6,129.2,308.0,521.2,149.2,370.8,200.4,528.1,482.4,468.0,656.0,301.8,536.9,96.8,34.4,402.4,211.7,346.6,129.9,550.8,250.8,302.1,334.4,211.9,243.5,538.3,143.2,307.7,146.3,608.9,612.5,117.4,632.8,337.3,255.3,211.8,326.1,293.7,114.0,409.1,183.8,571.2,145.0,139.8,575.0,323.2,43.0,22.5,275.2,499.6,529.7,119.1,516.5,26.4,161.0,220.2,395.2,560.3,425.5,201.9,252.0,106.6,238.1,283.1,563.4,118.2,341.1,0.0,183.7,112.4,214.5,511.2,578.7,383.6,368.8,492.1,614.1,544.7,324.2,230.6,241.3,348.1,560.2,78.0,244.1,114.9,549.6,162.5,304.6,165.4,48.7,123.7,251.4,672.6,450.4,77.4,65.5,394.6,519.0,408.2,245.7,232.4,92.7,2030.1
SC,491.3,142.0,511.1,366.2,498.8,209.1,517.9,14.9,163.2,237.3,522.6,184.3,365.7,206.9,529.5,483.8,469.4,657.4,315.9,559.9,240.8,204.3,403.8,219.1,354.0,127.7,566.7,258.2,216.6,299.4,106.8,243.1,539.7,272.0,315.1,160.0,610.3,613.9,131.1,634.2,338.7,207.5,106.7,352.5,301.1,147.5,410.5,180.9,572.6,204.7,106.0,576.4,324.6,147.8,192.4,187.5,501.0,531.1,143.1,517.9,196.3,111.1,227.6,396.6,561.7,426.9,199.0,146.9,276.5,245.5,299.1,564.8,238.1,348.5,181.6,0.0,110.2,43.8,512.6,580.1,385.0,367.4,503.1,615.5,546.1,289.2,237.1,267.2,349.5,561.6,247.9,251.5,132.9,551.0,47.6,312.1,92.0,142.2,139.5,146.3,674.0,451.8,138.2,151.6,396.0,520.4,409.1,247.3,232.9,208.3,2031.5
ST,541.2,179.6,561.0,410.1,548.7,253.0,567.8,124.7,188.6,236.9,572.5,268.6,409.6,251.7,579.4,533.7,519.3,707.3,353.1,609.8,256.4,194.0,453.7,263.0,397.9,17.4,616.6,302.1,313.4,396.2,203.6,287.0,589.6,270.4,359.0,197.6,660.2,663.8,168.7,684.1,388.6,304.3,203.5,394.8,345.0,173.4,460.4,235.1,622.5,248.6,202.8,626.3,374.5,137.5,182.1,284.3,550.9,581.0,49.4,567.8,186.0,87.1,271.5,446.5,611.6,476.8,253.2,243.7,266.2,289.4,336.3,614.7,277.8,392.4,171.3,109.8,0.0,140.6,562.5,630.0,434.9,417.3,553.0,665.4,596.0,386.0,281.9,292.6,399.4,611.5,237.6,295.4,39.2,600.9,144.4,360.2,188.8,148.5,63.2,243.1,723.9,501.7,196.8,157.9,445.9,570.3,459.0,297.0,276.8,198.0,2081.4
SW,447.4,162.4,467.2,322.3,454.9,165.2,474.0,144.1,174.7,193.4,478.7,140.4,321.8,181.9,485.6,439.9,425.5,613.5,272.0,516.0,196.9,215.7,359.9,175.2,310.1,184.0,522.8,214.3,172.7,255.5,62.9,199.2,495.8,228.1,271.2,180.4,566.4,570.0,151.5,590.3,294.8,163.6,62.8,308.6,257.2,189.8,366.6,137.0,528.7,160.8,62.1,532.5,280.7,216.9,261.5,143.6,457.1,487.2,168.2,474.0,265.4,180.2,183.7,352.7,517.8,383.0,155.1,103.0,266.0,201.6,255.2,520.9,194.2,304.6,250.7,159.0,166.5,0.0,468.7,536.2,341.1,323.5,459.2,571.6,502.2,245.3,212.1,223.3,305.6,517.7,213.5,207.6,158.0,507.1,138.7,268.2,48.1,167.3,177.8,102.4,630.1,407.9,163.3,176.7,352.1,476.5,365.2,203.4,189.0,200.8,1987.6
TE,173.8,448.3,231.0,626.2,13.7,469.1,211.4,444.8,469.5,409.0,227.9,444.3,584.1,423.8,283.8,28.7,70.0,288.8,525.2,253.4,500.8,501.6,357.9,479.1,621.8,469.9,286.6,505.5,442.0,524.8,371.4,503.1,222.2,532.0,575.1,466.3,241.7,245.3,437.4,265.6,222.4,432.9,394.8,566.9,605.1,453.8,501.3,440.9,204.0,464.7,391.1,252.9,415.4,502.8,547.4,412.9,183.5,213.6,454.1,118.5,551.3,466.1,487.6,487.4,271.5,517.7,459.0,366.2,569.9,505.5,508.4,274.6,498.1,566.9,536.6,459.7,452.4,476.7,0.0,273.6,475.8,458.2,257.4,246.9,156.9,514.6,454.0,464.7,440.3,226.1,517.4,511.5,443.9,151.6,424.6,532.3,405.7,453.2,463.7,410.5,305.4,50.7,449.2,462.6,441.2,121.0,454.3,469.1,492.9,492.1,2003.6
TH,77.5,531.7,280.5,709.6,242.8,552.5,66.0,528.2,552.9,492.4,101.7,527.7,667.5,507.2,397.1,227.8,196.5,232.0,608.6,50.9,584.2,585.0,441.3,562.5,705.2,553.3,336.1,588.9,525.4,608.2,454.8,586.5,44.4,615.4,658.5,549.7,184.9,188.5,520.8,208.8,305.8,516.3,478.2,650.3,688.5,537.2,584.7,524.3,147.2,548.1,474.5,302.4,498.8,586.2,630.8,496.3,67.0,123.7,537.5,168.5,634.7,549.5,571.0,570.8,95.3,601.1,542.4,449.6,653.3,588.9,591.8,98.4,581.5,650.3,620.0,543.1,535.8,560.1,256.6,0.0,559.2,541.6,358.7,190.1,188.9,598.0,537.4,548.1,523.7,275.6,600.8,594.9,527.3,135.8,508.0,615.7,489.1,536.6,547.1,493.9,248.6,214.1,532.6,546.0,524.6,171.0,537.7,552.5,576.3,575.5,1979.8
TI,450.1,310.3,423.3,488.2,457.6,331.1,476.7,306.8,331.5,271.0,481.4,306.3,462.8,285.8,488.3,442.6,428.2,616.2,387.2,518.7,362.8,363.6,344.6,341.1,483.8,331.9,464.4,367.5,304.0,386.8,233.4,365.1,498.5,394.0,437.1,328.3,569.1,572.7,299.4,590.4,248.1,294.9,256.8,411.5,467.1,315.8,25.4,302.9,531.4,326.7,242.1,499.2,60.4,364.8,409.4,274.9,459.8,489.9,316.1,476.7,369.3,328.1,349.6,11.6,520.5,41.8,321.0,228.2,431.9,367.5,368.5,549.6,360.1,428.9,398.6,321.7,314.4,338.7,471.4,538.9,0.0,14.8,452.3,574.3,504.9,376.6,316.0,326.7,35.5,459.4,379.4,373.5,305.9,509.8,286.6,390.0,267.7,315.2,325.7,272.5,632.8,410.6,338.8,324.6,67.1,479.2,54.6,331.1,354.9,353.7,1972.3
TO,435.3,295.5,408.5,448.6,442.8,316.3,461.9,292.0,316.7,256.2,466.6,291.5,448.0,271.7,473.5,427.8,413.4,601.4,372.4,482.3,355.8,348.8,329.8,326.3,469.0,317.1,449.6,352.7,296.4,372.0,218.6,350.3,483.7,379.2,422.3,313.5,554.3,557.9,284.6,578.2,233.3,280.1,242.0,396.7,452.3,301.0,40.2,288.1,516.6,311.9,227.3,484.4,45.5,350.0,394.6,260.1,445.0,475.1,301.3,461.9,354.5,313.3,334.8,26.4,505.7,56.7,306.2,213.4,417.1,352.7,353.7,508.8,345.3,414.1,383.8,306.9,299.6,323.9,456.6,524.1,14.8,0.0,437.5,559.5,490.1,361.8,301.2,311.9,20.6,444.6,364.6,358.7,291.1,495.0,271.8,379.5,252.9,300.4,310.9,257.7,618.0,395.8,296.4,309.8,82.9,464.4,69.4,316.3,347.0,339.3,1957.5
TU,253.1,494.2,149.5,647.3,260.6,505.4,289.3,481.1,515.4,454.9,294.0,490.2,646.7,470.4,207.4,245.6,240.8,428.8,571.1,306.6,554.5,547.5,403.8,525.0,658.1,515.8,190.6,551.4,495.1,570.7,417.3,549.0,301.5,577.9,621.0,512.2,381.7,385.3,483.3,403.0,291.7,478.8,440.7,585.8,651.0,499.7,545.0,486.8,345.4,510.6,416.4,219.4,459.1,548.7,593.3,460.0,272.4,292.9,500.0,289.3,553.2,512.0,523.9,540.7,333.1,561.4,504.9,412.1,615.8,551.4,552.4,362.2,544.0,612.8,572.9,505.6,498.3,522.6,284.0,351.5,519.5,504.7,0.0,386.9,317.5,560.5,490.3,510.6,493.6,179.6,563.3,557.4,495.8,312.8,470.5,573.9,442.0,499.1,509.6,456.4,449.7,213.6,522.7,510.0,541.1,291.8,544.1,515.0,545.7,537.6,2049.5
UC,247.2,557.5,387.5,735.4,235.9,578.3,135.5,554.0,578.7,518.2,152.0,553.5,693.3,533.0,393.0,220.9,189.6,97.1,634.4,177.5,610.0,610.8,467.1,588.3,731.0,579.1,443.1,614.7,551.2,634.0,480.6,612.3,214.1,641.2,684.3,575.5,11.4,53.6,546.6,73.9,331.6,542.1,504.0,676.1,714.3,563.0,610.5,550.1,52.8,573.9,500.3,409.4,524.6,612.0,656.6,522.1,236.7,166.7,563.3,141.3,660.5,575.3,596.8,596.6,195.6,626.9,568.2,475.4,679.1,614.7,617.6,198.7,607.3,676.1,645.8,568.9,561.6,585.9,249.7,197.7,585.0,567.4,366.6,0.0,155.3,623.8,563.2,573.9,549.5,382.6,626.6,620.7,553.1,96.7,533.8,641.5,514.9,562.4,572.9,519.7,113.7,207.2,558.4,571.8,550.4,138.6,563.5,578.3,602.1,601.3,1890.3
UT,143.6,500.4,283.1,678.3,131.5,521.2,104.1,496.9,521.6,461.1,120.6,496.4,636.2,475.9,335.9,116.5,85.2,181.5,577.3,146.1,552.9,553.7,410.0,531.2,673.9,522.0,338.7,557.6,494.1,576.9,423.5,555.2,182.7,584.1,627.2,518.4,134.4,138.0,489.5,158.3,274.5,485.0,446.9,619.0,657.2,505.9,553.4,493.0,96.7,516.8,443.2,305.0,467.5,554.9,599.5,465.0,205.3,135.3,506.2,67.7,603.4,518.2,539.7,539.5,164.2,569.8,511.1,418.3,622.0,557.6,560.5,167.3,550.2,619.0,588.7,511.8,504.5,528.8,145.3,166.3,527.9,510.3,309.5,139.6,0.0,566.7,506.1,516.8,492.4,278.2,569.5,563.6,496.0,44.3,476.7,584.4,457.8,505.3,515.8,462.6,198.1,102.8,501.3,514.7,493.3,65.0,506.4,521.2,545.0,544.2,1954.0
UX,451.2,315.6,471.0,426.2,458.7,302.1,477.8,312.1,338.9,214.6,482.5,304.6,271.6,155.9,489.4,443.7,429.3,617.3,199.3,519.8,330.2,410.3,363.7,312.1,309.3,337.2,526.6,240.1,36.5,58.1,154.5,256.2,499.6,392.3,375.1,333.6,570.2,573.8,304.7,594.1,298.6,90.9,200.5,235.9,292.6,321.1,370.4,329.4,532.5,328.6,226.3,536.3,284.5,370.1,398.4,73.3,460.9,491.0,321.4,477.8,402.3,333.4,275.8,356.5,521.6,386.8,347.5,233.5,399.3,246.4,182.5,524.7,327.5,254.4,403.9,327.0,319.7,344.0,472.5,540.0,344.9,327.3,463.0,575.4,506.0,0.0,186.1,149.3,309.4,521.5,346.8,299.7,311.2,510.9,291.9,195.5,212.3,320.5,331.0,207.6,633.9,411.7,316.5,329.9,355.9,480.3,369.0,130.7,281.1,365.0,1991.4
UY,471.6,248.7,491.4,277.8,479.1,178.5,498.2,236.1,183.1,116.3,502.9,148.8,130.0,112.2,509.8,464.1,449.7,637.7,146.8,515.5,214.4,286.7,384.1,188.5,167.7,279.0,532.5,53.9,195.9,228.9,232.7,132.6,520.0,236.5,251.5,266.7,590.6,594.2,237.8,611.9,319.0,149.8,203.9,132.1,151.0,198.2,390.8,155.8,552.9,187.2,160.6,556.7,304.9,257.6,274.8,169.7,481.3,511.4,263.2,498.2,281.0,275.2,152.2,376.9,542.0,407.2,173.9,175.3,275.7,122.8,128.1,545.1,203.9,112.8,286.5,251.0,261.5,285.8,492.9,560.4,365.3,350.5,473.8,595.8,526.4,218.7,0.0,111.0,329.8,541.9,223.2,176.1,259.0,531.3,233.7,105.1,186.2,262.3,272.8,272.2,658.6,432.1,240.6,317.8,376.3,500.7,389.9,154.2,164.4,209.2,2011.8
VA,444.9,230.7,464.7,298.2,452.4,174.1,471.5,227.2,261.5,119.3,476.2,227.2,143.6,83.5,483.1,437.4,423.0,611.0,60.4,513.5,202.2,282.3,357.4,184.1,181.3,252.3,520.3,132.3,98.1,147.3,182.4,128.2,493.3,297.5,247.1,248.7,563.9,567.5,219.8,587.8,292.3,68.2,177.2,102.1,164.6,276.6,364.1,201.4,526.2,200.6,173.5,530.0,278.2,285.2,270.4,89.5,454.6,484.7,236.5,471.5,274.3,248.5,147.8,350.2,515.3,380.5,219.5,148.6,271.3,118.4,43.6,518.4,199.5,126.4,297.6,242.1,234.8,259.1,466.2,533.7,338.6,321.0,456.7,569.1,499.7,137.1,113.7,0.0,303.1,515.2,218.8,171.7,226.3,504.6,207.0,67.5,188.1,235.6,246.1,249.9,627.6,405.4,231.6,245.0,349.6,474.0,362.7,58.6,153.1,287.6,1985.1
VC,414.6,274.8,387.8,452.7,422.1,295.6,441.2,271.3,296.0,235.5,445.9,270.8,410.6,250.3,452.8,407.1,392.7,580.7,351.7,483.2,327.3,328.1,309.1,305.6,448.3,296.4,443.4,332.0,268.5,351.3,197.9,329.6,463.0,358.5,401.6,292.8,533.6,537.2,263.9,557.5,212.6,259.4,221.3,393.4,431.6,280.3,60.9,267.4,495.9,291.2,217.6,463.7,24.9,329.3,373.9,239.4,424.3,454.4,280.6,441.2,377.8,292.6,314.1,47.1,485.0,77.3,285.5,192.7,396.4,332.0,334.9,488.1,324.6,393.4,363.1,286.2,278.9,303.2,435.9,503.4,35.5,17.9,426.4,538.8,469.4,341.1,280.5,291.2,0.0,423.9,343.9,338.0,270.4,474.3,251.1,358.8,232.2,279.7,290.2,237.0,597.3,375.1,275.7,289.1,103.6,443.7,90.6,295.6,319.4,318.6,1936.8
