from_stop,AI,AR,AY,BA,BE,BK,BM,BR,BS,BW,BX,CO,CV,DA,DE,DG,DL,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FZ,GL,GN,GX,HJ,HL,HN,HS,IA,IF,IT,JI,JO,JR,JT,KT,LB,LC,LE,LV,ML,MN,MS,MV,MW,MY,NE,NG,NN,NR,OH,OM,OW,PF,PH,PP,QA,QT,QU,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SU,SV,SY,TB,TI,TK,TL,TN,TR,UE,UG,UH,UJ,UX,VF,VH,VI,VK,VW,WI,WJ,WO,WX,XG,XI,XJ,XP,XY,YJ,YT,ZI,ZK,ZN
PH,466.7,616.5,473.9,513.9,478.4,445.8,483.6,634.6,542.3,307.4,442.7,345.7,463.8,259.3,331.9,443.1,637.2,491.8,344.5,278.6,364.3,618.7,594.7,283.8,434.8,299.9,430.2,259.8,542.1,386.3,566.7,267.7,491.7,461.8,461.2,511.0,563.6,727.7,249.2,574.4,669.0,442.8,302.3,318.1,284.5,474.3,456.0,737.4,206.2,411.9,638.7,686.3,338.6,616.6,352.0,456.3,314.1,255.1,718.6,294.6,480.5,0.0,603.9,705.2,509.6,679.2,469.0,515.9,623.4,619.4,1581.2,586.2,451.4,505.5,625.0,550.7,410.6,628.1,404.4,473.5,416.7,647.6,396.2,456.5,287.0,250.6,244.3,453.5,602.4,595.0,315.2,451.8,406.0,402.4,439.6,687.8,463.9,442.0,233.2,498.4,453.3,465.3,666.5,513.6,259.5,718.7,457.1,489.0
PP,475.3,26.1,457.6,357.9,781.7,289.8,467.3,265.8,173.5,627.7,746.0,666.0,447.5,579.6,532.8,426.8,280.9,475.5,650.9,598.9,654.3,243.9,225.9,604.1,418.5,620.2,733.5,473.3,255.7,370.0,197.9,458.7,335.7,765.1,764.5,494.7,194.8,325.4,487.4,205.6,300.2,743.8,623.1,638.4,604.8,777.6,759.3,316.5,444.4,395.6,269.9,317.5,661.3,247.8,294.8,440.0,634.4,575.4,297.7,614.9,459.8,709.3,0.0,284.3,493.3,284.4,452.7,819.2,19.4,250.6,1740.1,217.4,754.7,219.1,256.2,263.4,713.9,259.3,707.7,805.1,720.0,278.8,379.9,440.2,607.3,570.9,450.4,437.2,233.6,221.9,635.5,295.8,389.7,759.2,423.3,319.0,307.9,425.7,471.4,482.1,437.0,768.6,298.2,497.3,414.6,316.4,440.8,472.7
QA,554.8,267.3,537.1,437.4,861.2,369.3,546.8,191.0,211.0,707.2,825.5,745.5,527.0,659.1,612.3,506.3,161.0,555.0,730.4,678.4,733.8,119.6,225.5,683.6,498.0,699.7,813.0,552.8,335.2,449.5,151.1,538.2,415.2,844.6,844.0,574.2,194.4,74.3,566.9,235.5,175.9,823.3,702.6,717.9,684.3,857.1,838.8,32.2,523.9,475.1,238.7,193.2,740.8,179.2,374.3,519.5,713.9,654.9,13.4,694.4,539.3,788.8,254.7,0.0,572.8,77.2,532.2,898.7,274.2,225.0,1819.6,186.2,834.2,298.6,230.6,342.9,793.4,184.5,787.2,884.6,799.5,154.5,459.4,519.7,686.8,650.4,529.9,516.7,186.8,251.8,715.0,375.3,469.2,838.7,502.8,222.0,387.4,505.2,550.9,561.6,516.5,848.1,173.9,576.8,494.1,65.3,520.3,552.2
QT,362.8,530.6,42.2,428.0,687.2,359.9,32.5,548.7,456.4,533.2,651.5,571.5,208.1,485.1,438.3,187.4,563.8,17.8,556.4,504.4,559.8,526.8,508.8,509.6,179.1,525.7,639.0,378.8,456.2,197.7,480.8,364.2,405.8,670.6,670.0,255.3,477.7,641.8,392.9,488.5,583.1,649.3,528.6,543.9,510.3,683.1,664.8,651.5,349.9,176.8,552.8,600.4,566.8,530.7,266.1,200.6,539.9,480.9,632.7,520.4,220.4,614.8,518.0,619.3,0.0,593.3,40.5,704.0,537.5,533.5,1627.6,500.3,660.2,419.6,539.1,463.9,619.4,542.2,613.2,710.6,625.5,561.7,192.5,172.0,512.8,476.4,355.9,56.3,516.5,504.8,541.0,365.9,182.7,646.7,183.9,601.9,378.0,71.4,376.9,242.7,197.6,674.1,581.1,257.9,320.1,632.8,155.6,233.3
QU,546.0,289.1,528.3,428.6,852.4,360.5,538.0,182.2,202.2,698.4,816.7,736.7,518.2,650.3,603.5,497.5,152.2,546.2,721.6,669.6,725.0,110.8,216.7,674.8,489.2,690.9,804.2,544.0,326.4,440.7,142.3,529.4,406.4,835.8,835.2,565.4,185.6,89.5,558.1,226.7,167.1,814.5,693.8,709.1,675.5,848.3,830.0,99.2,515.1,466.3,229.9,184.4,732.0,170.4,365.5,510.7,705.1,646.1,80.4,685.6,530.5,780.0,276.5,67.0,564.0,0.0,523.4,889.9,296.0,216.2,1810.8,177.4,825.4,289.8,221.8,334.1,784.6,175.7,778.4,875.8,790.7,145.7,450.6,510.9,678.0,641.6,521.1,507.9,178.0,243.0,706.2,366.5,460.4,829.9,494.0,213.2,378.6,496.4,542.1,552.8,507.7,839.3,165.1,568.0,485.3,80.5,511.5,543.4
QY,322.2,490.0,82.8,387.4,646.6,319.3,73.1,508.1,415.8,492.6,610.9,530.9,167.5,444.5,397.7,146.8,510.7,22.7,529.7,463.8,519.2,492.2,468.2,469.0,138.5,485.1,598.4,362.9,415.6,164.9,440.2,323.6,365.2,630.0,673.3,214.7,437.1,601.2,352.3,447.9,542.5,611.0,488.0,503.3,469.7,642.5,624.2,610.9,309.3,144.0,512.2,559.8,523.8,496.1,225.5,160.0,499.3,440.3,592.1,479.8,184.2,574.2,477.4,578.7,40.5,552.7,0.0,684.1,496.9,492.9,1587.0,459.7,619.6,379.0,498.5,424.2,578.8,501.6,572.6,641.7,584.9,521.1,159.7,139.2,472.2,435.8,315.3,15.7,475.9,464.2,500.4,325.3,149.9,610.8,143.3,561.3,337.4,30.8,336.3,202.1,157.0,633.5,540.0,217.3,279.5,592.2,122.8,192.7
QZ,531.9,877.9,775.7,815.7,116.4,707.2,745.0,896.0,803.7,450.3,137.4,474.9,725.2,443.4,593.3,704.5,898.6,753.2,484.9,462.7,390.7,874.1,856.1,478.5,696.2,454.2,71.8,521.2,843.9,688.1,868.5,529.1,753.1,71.9,196.3,772.4,825.0,1029.5,510.6,835.8,970.8,137.5,471.4,487.2,468.6,59.9,150.7,998.8,467.6,673.3,940.5,947.7,467.3,892.9,613.4,717.7,497.5,479.6,980.0,478.7,737.5,618.4,865.3,966.6,811.4,940.6,730.4,0.0,884.8,880.8,1803.6,888.0,146.1,766.9,926.8,812.1,105.3,889.5,198.1,168.2,151.8,909.0,657.6,717.9,511.5,434.7,505.7,714.9,904.2,896.8,469.5,713.2,667.4,634.7,701.0,989.6,725.3,743.8,494.6,800.2,714.7,62.9,968.3,815.4,520.9,980.1,718.5,750.4
RA,493.5,44.3,475.8,376.1,799.9,308.0,485.5,284.0,191.7,645.9,764.2,684.2,465.7,597.8,551.0,445.0,299.1,493.7,669.1,617.1,672.5,262.1,244.1,622.3,436.7,638.4,751.7,491.5,273.9,388.2,216.1,476.9,353.9,783.3,782.7,512.9,213.0,343.6,505.6,223.8,318.4,762.0,641.3,656.6,623.0,795.8,777.5,334.7,462.6,413.8,288.1,335.7,679.5,266.0,313.0,458.2,652.6,593.6,315.9,633.1,478.0,727.5,18.1,302.5,511.5,302.6,470.9,816.7,0.0,268.8,1758.3,235.6,772.9,237.3,274.4,281.6,732.1,277.5,725.9,823.3,738.2,297.0,398.1,458.4,625.5,589.1,468.6,455.4,251.8,240.1,653.7,314.0,407.9,777.4,441.5,337.2,326.1,443.9,489.6,500.3,455.2,786.8,316.4,515.5,432.8,334.6,459.0,490.9
RB,485.2,356.0,467.5,367.8,791.6,299.7,477.2,175.8,141.4,637.6,755.9,675.9,457.4,589.5,542.7,436.7,190.9,485.4,660.8,608.8,664.2,153.9,84.7,614.0,428.4,630.1,743.4,483.2,265.6,379.9,82.5,468.6,345.6,775.0,774.4,504.6,53.6,268.9,497.3,165.9,210.2,753.7,633.0,648.3,614.7,787.5,769.2,278.6,454.3,405.5,179.9,227.5,671.2,157.8,304.7,449.9,644.3,585.3,259.8,624.8,469.7,719.2,343.4,246.4,503.2,220.4,462.6,808.4,362.9,0.0,1750.0,127.4,764.6,229.0,5.6,273.3,723.8,169.3,717.6,815.0,729.9,188.8,389.8,450.1,617.2,580.8,460.3,447.1,46.4,203.4,645.4,305.7,399.6,769.1,433.2,229.0,317.8,435.6,481.3,492.0,446.9,778.5,208.2,507.2,424.5,259.9,450.7,482.6
RI,1487.6,1849.1,1688.5,1746.5,1849.6,1678.4,1698.2,1867.2,1774.9,1795.1,1813.9,1819.7,1678.4,1788.2,1781.7,1657.7,1882.3,1706.4,1829.7,1807.5,1735.5,1845.3,1827.3,1782.9,1649.4,1799.0,1801.4,1722.2,1774.7,1600.9,1799.3,1707.6,1724.3,1833.0,1832.4,1725.6,1796.2,1960.3,1736.3,1807.0,1901.6,1811.7,1776.3,1791.6,1813.4,1845.5,1827.2,1970.0,1693.3,1626.5,1871.3,1918.9,1814.5,1849.2,1584.6,1670.9,1842.3,1784.0,1951.2,1823.5,1690.7,1801.0,1836.5,1937.8,1724.2,1911.8,1683.6,1866.4,1856.0,1852.0,0.0,1818.8,1824.4,1738.1,1857.6,1782.4,1781.8,1860.7,1775.6,1873.0,1787.9,1880.2,1610.8,1671.1,1815.9,1779.5,1759.5,1668.1,1835.0,1823.3,1814.3,1684.4,1620.6,1771.5,1654.2,1920.4,1696.5,1656.6,1720.3,1713.0,1667.9,1836.5,1899.6,1728.2,1663.5,1951.3,1671.7,1703.6
SA,464.6,257.0,446.9,347.2,771.0,279.1,456.6,49.3,120.8,617.0,735.3,655.3,436.8,568.9,522.1,416.1,179.5,464.8,640.2,588.2,643.6,142.5,135.3,593.4,407.8,609.5,722.8,462.6,245.0,359.3,96.5,448.0,325.0,754.4,753.8,484.0,104.2,257.5,476.7,138.5,198.8,733.1,612.4,627.7,594.1,766.9,748.6,267.2,433.7,384.9,87.3,216.1,650.6,146.4,284.1,429.3,623.7,564.7,248.4,604.2,449.1,698.6,244.4,235.0,482.6,209.0,442.0,808.5,263.9,160.0,1729.4,0.0,744.0,208.4,165.6,252.7,703.2,133.9,697.0,794.4,709.3,177.4,369.2,429.5,596.6,560.2,439.7,426.5,132.2,128.8,624.8,285.1,379.0,748.5,412.6,217.6,297.2,415.0,460.7,471.4,426.3,757.9,196.8,486.6,403.9,248.5,430.1,462.0
SC,516.7,862.7,720.1,760.1,137.9,692.0,729.8,880.8,788.5,435.1,12.1,459.7,710.0,428.2,578.1,689.3,883.4,738.0,483.6,447.5,375.5,864.9,840.9,422.9,681.0,439.0,89.7,506.0,788.3,632.5,812.9,513.9,737.9,121.3,97.1,757.2,809.8,973.9,495.4,820.6,915.2,37.9,416.3,431.6,453.4,133.8,33.1,983.6,452.4,658.1,884.9,932.5,454.5,834.6,598.2,702.5,482.3,424.0,964.8,463.5,722.3,603.2,850.1,951.4,755.8,925.4,715.2,175.4,869.6,865.6,1748.0,832.4,0.0,751.7,871.2,796.9,67.8,874.3,142.5,66.5,58.2,893.8,642.4,702.7,455.9,419.5,490.5,699.7,864.2,836.9,454.3,698.0,652.2,579.1,685.8,934.0,710.1,688.2,479.4,744.6,699.5,124.8,912.7,759.8,505.7,964.9,703.3,735.2
SJ,373.2,248.0,355.5,255.8,679.6,187.7,365.2,266.1,173.8,525.6,643.9,563.9,345.4,477.5,430.7,324.7,281.2,373.4,548.8,496.8,552.2,244.2,226.2,502.0,316.4,518.1,631.4,371.2,46.8,267.9,198.2,356.6,233.6,663.0,662.4,392.6,195.1,359.2,385.3,205.9,300.5,641.7,521.0,536.3,502.7,675.5,657.2,368.9,342.3,293.5,270.2,317.8,559.2,248.1,192.7,337.9,532.3,473.3,350.1,512.8,357.7,607.2,235.4,336.7,391.2,310.7,350.6,696.4,254.9,250.9,1638.0,217.7,652.6,0.0,256.5,54.5,611.8,259.6,605.6,703.0,617.9,279.1,277.8,338.1,505.2,468.8,348.3,335.1,233.9,222.2,533.4,193.7,287.6,657.1,321.2,319.3,205.8,323.6,369.3,380.0,334.9,666.5,298.5,395.2,312.5,350.2,338.7,370.6
SL,490.8,361.6,473.1,373.4,797.2,305.3,482.8,181.4,147.0,643.2,761.5,681.5,463.0,595.1,548.3,442.3,196.5,491.0,666.4,614.4,669.8,159.5,90.3,619.6,434.0,635.7,749.0,488.8,271.2,385.5,88.1,474.2,351.2,780.6,780.0,510.2,59.2,274.5,502.9,171.5,215.8,759.3,638.6,653.9,620.3,793.1,774.8,284.2,459.9,411.1,185.5,233.1,676.8,163.4,310.3,455.5,649.9,590.9,265.4,630.4,475.3,724.8,349.0,252.0,508.8,226.0,468.2,834.7,368.5,5.6,1755.6,133.0,770.2,234.6,0.0,278.9,729.4,174.9,723.2,820.6,735.5,194.4,395.4,455.7,622.8,586.4,465.9,452.7,52.0,209.0,651.0,311.3,405.2,774.7,438.8,234.6,323.4,441.2,486.9,497.6,452.5,784.1,213.8,512.8,430.1,265.5,456.3,488.2
SU,406.2,281.0,388.5,288.8,712.6,220.7,398.2,299.1,206.8,558.6,676.9,596.9,378.4,510.5,463.7,357.7,301.7,406.4,595.7,529.8,585.2,283.2,259.2,535.0,349.4,551.1,664.4,428.9,8.1,300.9,231.2,389.6,266.6,696.0,739.3,425.6,228.1,392.2,418.3,238.9,333.5,677.0,554.0,569.3,535.7,708.5,690.2,401.9,375.3,326.5,303.2,350.8,592.2,255.6,225.7,370.9,565.3,506.3,383.1,545.8,395.1,640.2,268.4,369.7,424.2,343.7,383.6,750.1,287.9,283.9,1671.0,250.7,685.6,63.2,289.5,0.0,644.8,292.6,638.6,707.7,650.9,312.1,310.8,371.1,538.2,501.8,381.3,368.1,282.5,259.5,566.4,226.7,320.6,690.1,354.2,352.3,238.8,356.6,402.3,413.0,367.9,699.5,331.0,428.2,345.5,383.2,371.7,403.6
SV,448.8,794.8,652.2,692.2,70.0,624.1,661.9,812.9,720.6,367.2,32.0,391.8,642.1,360.3,510.2,621.4,828.0,670.1,401.8,379.6,307.6,791.0,773.0,355.0,613.1,371.1,21.8,431.4,720.4,564.6,745.0,446.0,670.0,53.4,50.5,689.3,741.9,906.0,427.5,752.7,847.3,29.8,348.4,363.7,385.5,65.9,45.3,915.7,384.5,590.2,817.0,864.6,386.6,794.9,530.3,634.6,414.4,356.1,896.9,395.6,654.4,535.3,782.2,883.5,687.9,857.5,647.3,107.5,801.7,797.7,1680.1,764.5,40.7,683.8,803.3,728.1,0.0,806.4,74.6,91.1,6.0,825.9,574.5,634.8,388.0,351.6,422.6,631.8,780.7,769.0,386.4,630.1,584.3,506.5,617.9,866.1,642.2,620.3,411.5,676.7,631.6,56.9,845.3,691.9,437.8,897.0,635.4,667.3
SY,485.7,322.1,468.0,368.3,792.1,300.2,477.7,101.9,141.9,638.1,756.4,676.4,457.9,590.0,543.2,437.2,157.0,485.9,661.3,609.3,664.7,120.0,156.4,614.5,428.9,630.6,743.9,483.7,266.1,380.4,82.0,469.1,346.1,775.5,774.9,505.1,125.3,235.0,497.8,289.8,176.3,754.2,633.5,648.8,615.2,788.0,769.7,244.7,454.8,406.0,238.6,193.6,671.7,123.9,305.2,450.4,644.8,585.8,225.9,625.3,470.2,719.7,309.5,212.5,503.7,186.5,463.1,808.9,329.0,155.9,1750.5,151.2,765.1,229.5,161.5,273.8,724.3,0.0,718.1,815.5,730.4,154.9,390.3,450.6,617.7,581.3,460.8,447.6,117.7,280.1,645.9,306.2,400.1,769.6,433.7,195.1,318.3,436.1,481.8,492.5,447.4,779.0,174.3,507.7,425.0,226.0,451.2,483.1
TB,421.0,767.0,624.4,664.4,145.8,596.3,634.1,785.1,692.8,339.4,110.1,364.0,614.3,332.5,482.4,593.6,787.7,642.3,387.9,351.8,279.8,769.2,745.2,327.2,585.3,343.3,97.6,410.3,692.6,536.8,717.2,418.2,642.2,129.2,128.6,661.5,714.1,878.2,399.7,724.9,819.5,110.2,320.6,335.9,357.7,141.7,123.4,887.9,356.7,562.4,789.2,836.8,356.4,738.9,502.5,606.8,386.6,328.3,869.1,367.8,626.6,507.5,754.4,855.7,660.1,829.7,619.5,162.6,773.9,769.9,1652.3,736.7,120.6,656.0,775.5,701.2,78.0,778.6,0.0,140.9,84.1,798.1,546.7,607.0,360.2,323.8,394.8,604.0,752.9,745.5,358.6,602.3,556.5,483.4,590.1,838.3,614.4,592.5,383.7,648.9,603.8,132.7,817.0,664.1,410.0,869.2,607.6,639.5
TI,521.5,867.5,724.9,764.9,142.7,696.8,734.6,885.6,793.3,439.9,62.6,464.5,714.8,433.0,582.9,694.1,888.2,742.8,488.4,452.3,380.3,869.7,845.7,427.7,685.8,443.8,94.5,510.8,793.1,637.3,817.7,518.7,742.7,126.1,32.7,762.0,814.6,978.7,500.2,825.4,920.0,29.0,420.6,436.4,458.2,138.6,55.9,988.4,457.2,662.9,889.7,937.3,456.9,867.6,603.0,707.3,487.1,428.8,969.6,468.3,731.5,608.0,854.9,956.2,760.6,930.2,720.0,180.2,874.4,870.4,1752.8,837.2,65.5,756.5,876.0,801.7,72.6,879.1,147.3,0.0,63.0,898.6,647.2,707.5,460.7,424.3,495.3,704.5,869.0,841.7,459.1,702.8,657.0,579.2,690.6,938.8,714.9,693.0,484.2,749.4,704.3,129.6,917.5,764.6,510.5,969.7,708.1,740.0
TK,454.9,800.9,658.3,698.3,76.1,630.2,668.0,819.0,726.7,373.3,42.4,397.9,648.2,366.4,516.3,627.5,834.1,676.2,407.9,385.7,313.7,797.1,779.1,361.1,619.2,377.2,27.9,437.5,726.5,570.7,751.1,452.1,676.1,59.5,60.9,695.4,748.0,912.1,433.6,758.8,853.4,40.2,354.5,369.8,391.6,72.0,55.7,921.8,390.6,596.3,823.1,870.7,392.7,801.0,536.4,640.7,420.5,362.2,903.0,401.7,660.5,541.4,788.3,889.6,694.0,863.6,653.4,113.6,807.8,803.8,1686.2,770.6,51.1,689.9,809.4,734.2,6.0,812.5,80.7,101.5,0.0,832.0,580.6,640.9,394.1,357.7,428.7,637.9,786.8,775.1,392.5,636.2,590.4,512.6,624.0,872.2,648.3,626.4,417.6,682.8,637.7,63.0,851.4,698.0,443.9,903.1,641.5,673.4
TL,523.5,270.4,505.8,406.1,829.9,338.0,515.5,159.7,179.7,675.9,794.2,714.2,495.7,627.8,581.0,475.0,62.7,523.7,699.1,647.1,702.5,24.8,194.2,652.3,466.7,668.4,781.7,521.5,303.9,418.2,119.8,506.9,383.9,813.3,812.7,542.9,163.1,183.3,535.6,204.2,77.6,792.0,671.3,686.6,653.0,825.8,807.5,193.0,492.6,443.8,207.4,94.9,709.5,94.7,343.0,488.2,682.6,623.6,174.2,663.1,508.0,757.5,257.8,160.8,541.5,134.8,500.9,867.4,277.3,193.7,1788.3,154.9,802.9,267.3,199.3,311.6,762.1,153.2,755.9,853.3,768.2,0.0,428.1,488.4,655.5,619.1,498.6,485.4,155.5,220.5,683.7,344.0,437.9,807.4,471.5,123.7,356.1,473.9,519.6,530.3,485.2,816.8,75.6,545.5,462.8,174.3,489.0,520.9
TN,241.7,409.5,139.8,306.9,566.1,238.8,149.5,427.6,335.3,412.1,530.4,450.4,134.2,364.0,317.2,113.5,430.2,162.2,449.2,383.3,438.7,411.7,387.7,388.5,105.2,404.6,517.9,282.4,335.1,5.1,359.7,243.1,284.7,549.5,592.8,181.4,356.6,520.7,271.8,367.4,462.0,530.5,407.0,422.8,389.2,562.0,543.7,530.4,228.8,15.6,431.7,479.3,443.3,384.1,145.0,126.7,418.8,359.8,511.6,399.3,146.5,493.7,396.9,498.2,180.0,472.2,139.4,603.6,416.4,412.4,1506.5,379.2,539.1,298.5,418.0,343.7,498.3,421.1,492.1,561.2,504.4,440.6,0.0,75.3,391.7,355.3,234.8,123.9,395.4,388.0,419.9,244.8,9.7,530.3,110.0,480.8,256.9,112.4,255.8,168.8,123.7,553.0,459.5,184.0,199.0,511.7,60.8,159.4
TR,323.0,490.8,105.2,388.2,647.4,320.1,114.9,508.9,416.6,493.4,611.7,531.7,172.1,445.3,398.5,151.4,524.0,136.9,516.6,464.6,520.0,487.0,469.0,469.8,143.1,485.9,599.2,339.0,416.4,71.0,441.0,324.4,366.0,630.8,630.2,219.3,437.9,602.0,353.1,448.7,543.3,609.5,488.8,504.1,470.5,643.3,625.0,611.7,310.1,67.4,513.0,560.6,527.0,490.9,226.3,164.6,500.1,441.1,592.9,480.6,184.4,575.0,478.2,579.5,154.7,553.5,114.1,664.2,497.7,493.7,1587.8,460.5,620.4,379.8,499.3,424.1,579.6,502.4,573.4,670.8,585.7,521.9,76.3,0.0,473.0,436.6,316.1,98.6,476.7,465.0,501.2,326.1,73.3,606.9,147.9,562.1,338.2,87.1,337.1,206.7,161.6,634.3,541.3,221.9,280.3,593.0,13.3,197.3
UE,487.4,637.2,494.6,534.6,430.6,466.5,504.3,655.3,563.0,81.6,394.9,119.9,484.5,26.5,352.6,463.8,657.9,512.5,176.1,8.4,165.6,633.4,615.4,115.4,455.5,131.5,382.4,280.5,562.8,407.0,587.4,288.4,512.4,414.0,453.8,531.7,584.3,748.4,269.9,595.1,689.7,395.0,88.9,104.7,41.9,426.5,408.2,758.1,226.9,432.6,659.4,707.0,125.2,611.8,372.7,477.0,174.8,31.8,739.3,160.8,496.8,377.7,624.6,725.9,530.3,699.9,489.7,468.1,644.1,640.1,1692.1,606.9,403.6,526.2,645.7,571.4,362.8,648.8,356.6,425.7,368.9,668.3,416.9,477.2,0.0,116.8,265.0,474.2,638.7,611.4,146.8,472.5,426.7,520.7,460.3,708.5,484.6,462.7,253.9,519.1,474.0,417.5,687.2,534.3,280.2,739.4,477.8,509.7
UG,431.0,580.8,438.2,478.2,374.2,410.1,447.9,598.9,506.6,137.2,338.5,160.4,428.1,89.1,296.2,407.4,614.0,456.1,87.8,108.4,148.2,577.0,559.0,41.0,399.1,52.1,326.0,217.4,506.4,350.6,531.0,232.0,456.0,357.6,357.0,475.3,527.9,692.0,213.5,538.7,633.3,336.3,117.0,132.3,114.3,370.1,351.8,701.7,170.5,376.2,603.0,650.6,155.2,580.9,316.3,420.6,63.4,84.9,682.9,49.6,440.4,321.3,568.2,669.5,473.9,643.5,433.3,411.7,587.7,583.7,1635.7,550.5,347.2,469.8,589.3,514.1,306.4,592.4,300.2,397.6,312.5,611.9,360.5,420.8,116.8,0.0,208.6,417.8,566.7,555.0,72.4,416.1,370.3,459.6,403.9,652.1,428.2,406.3,197.5,462.7,417.6,361.1,631.3,477.9,223.8,683.0,421.4,453.3
UH,305.4,455.2,312.6,352.6,483.2,284.5,322.3,473.3,381.0,329.2,447.5,367.5,302.5,281.1,234.3,281.8,488.4,330.5,352.4,300.4,355.8,451.4,433.4,305.6,273.5,321.7,435.0,174.8,380.8,225.0,405.4,160.2,330.4,466.6,466.0,349.7,402.3,566.4,188.9,413.1,507.7,445.3,324.6,339.9,306.3,479.1,460.8,576.1,145.9,250.6,477.4,525.0,362.8,455.3,190.7,295.0,335.9,276.9,557.3,316.4,314.8,410.8,442.6,543.9,348.3,517.9,307.7,520.7,462.1,458.1,1570.2,424.9,456.2,344.2,463.7,388.5,415.4,466.8,409.2,506.6,421.5,486.3,234.9,295.2,308.8,272.4,0.0,292.2,441.1,429.4,337.0,290.5,244.7,589.3,278.3,526.5,302.6,280.7,172.9,337.1,292.0,470.1,505.7,352.3,98.2,557.4,295.8,327.7
UJ,306.4,474.2,98.3,371.6,630.8,303.5,88.6,492.3,400.0,476.8,595.1,515.1,151.7,428.7,381.9,131.0,507.4,38.2,500.0,448.0,503.4,470.4,452.4,453.2,122.7,469.3,582.6,322.4,399.8,149.1,424.4,307.8,349.4,614.2,613.6,198.9,421.3,585.4,336.5,432.1,526.7,592.9,472.2,487.5,453.9,626.7,608.4,595.1,293.5,128.2,496.4,544.0,510.4,474.3,209.7,144.2,483.5,424.5,576.3,464.0,164.0,558.4,461.6,562.9,56.0,536.9,15.4,668.3,481.1,477.1,1571.2,443.9,603.8,363.2,482.7,407.5,563.0,485.8,556.8,654.2,569.1,505.3,143.9,123.4,456.4,420.0,299.5,0.0,460.1,448.4,484.6,309.5,134.1,590.3,127.5,545.5,321.6,15.1,320.5,186.3,141.2,617.7,524.7,201.5,263.7,576.4,107.0,176.9
UX,482.6,310.7,464.9,365.2,789.0,297.1,474.6,130.5,138.8,635.0,753.3,673.3,454.8,586.9,540.1,434.1,153.8,482.8,672.1,606.2,661.6,114.6,82.1,611.4,425.8,627.5,740.8,505.3,263.0,377.3,34.3,466.0,343.0,772.4,815.7,502.0,51.0,244.3,494.7,163.3,164.9,753.4,629.9,645.7,612.1,784.9,776.5,233.3,451.7,402.9,177.3,182.2,666.2,87.0,302.1,447.3,641.7,582.7,235.2,622.2,471.5,716.6,298.1,201.1,500.6,175.1,460.0,836.4,317.6,36.4,1747.4,124.8,771.9,226.4,42.0,281.5,721.2,124.0,715.0,784.1,727.3,143.5,387.2,447.5,624.5,578.2,457.7,444.5,0.0,205.1,642.8,303.1,397.0,771.2,430.6,183.7,315.2,433.0,478.7,489.4,444.3,775.9,162.4,504.6,421.9,214.6,448.1,480.0
VF,455.7,248.1,438.0,338.3,762.1,275.4,447.7,184.6,120.3,608.1,726.4,651.6,427.9,560.0,513.2,412.4,220.4,461.1,645.2,579.3,634.7,196.7,172.7,584.5,398.9,600.6,713.9,483.6,236.1,355.6,144.7,439.1,316.1,745.5,788.8,475.1,141.6,305.7,467.8,64.0,247.0,731.7,603.0,624.0,585.2,763.2,739.7,315.4,424.8,376.0,162.5,264.3,639.3,169.1,275.2,420.4,614.8,555.8,296.6,595.3,444.6,689.7,235.5,283.2,473.7,257.2,433.1,804.8,255.0,197.4,1720.5,130.0,736.9,199.5,203.0,244.7,694.3,264.0,688.1,762.4,700.4,225.6,360.3,420.6,592.9,551.3,430.8,417.6,196.0,0.0,621.1,276.2,370.1,744.3,403.7,265.8,288.3,406.1,451.8,467.7,417.4,749.0,249.7,477.7,395.0,296.7,421.2,453.1
VH,485.6,635.4,492.8,532.8,428.8,464.7,502.5,653.5,561.2,157.2,393.1,178.0,482.7,109.1,350.8,462.0,656.1,510.7,32.8,128.4,165.8,637.6,613.6,21.3,453.7,54.7,380.6,278.7,561.0,405.2,585.6,286.6,510.6,412.2,452.0,529.9,582.5,746.6,268.1,593.3,687.9,393.2,134.1,149.9,134.3,424.7,406.4,756.3,225.1,430.8,657.6,705.2,170.4,641.5,370.9,475.2,98.0,104.9,737.5,112.1,499.4,375.9,622.8,724.1,528.5,698.1,487.9,466.3,642.3,638.3,1690.3,605.1,401.8,524.4,643.9,569.6,361.0,647.0,354.8,423.9,367.1,666.5,415.1,475.4,136.8,62.4,263.2,472.4,636.9,609.6,0.0,470.7,424.9,514.2,458.5,706.7,482.8,460.9,252.1,517.3,472.2,415.7,685.4,532.5,278.4,737.6,476.0,507.9
VI,318.8,324.0,301.1,104.9,625.2,36.8,310.8,342.1,249.8,471.2,589.5,509.5,291.0,423.1,376.3,270.3,357.2,319.0,494.4,442.4,497.8,320.2,302.2,447.6,262.0,463.7,577.0,316.8,249.6,213.5,274.2,302.2,82.7,608.6,608.0,338.2,271.1,435.2,330.9,281.9,376.5,587.3,466.6,481.9,448.3,621.1,602.8,444.9,287.9,239.1,346.2,393.8,504.8,324.1,138.3,283.5,477.9,418.9,426.1,458.4,303.3,552.8,311.4,412.7,336.8,386.7,296.2,642.0,330.9,326.9,1583.6,293.7,600.0,213.0,332.5,257.3,557.4,335.6,551.2,648.6,563.5,355.1,223.4,283.7,450.8,414.4,293.9,280.7,309.9,298.2,479.0,0.0,233.2,602.7,266.8,395.3,80.1,269.2,314.9,325.6,280.5,612.1,374.5,340.8,258.1,426.2,284.3,316.2
