from_stop,AB,AE,AH,AO,AP,AQ,AR,AT,AX,BB,BE,BG,BH,BK,BO,BU,BY,CM,CV,DG,DJ,DQ,DR,DS,DU,ED,EI,EK,ER,EZ,FA,FG,FM,FP,FS,FY,GD,GI,GP,GS,GW,HA,HH,HQ,HV,HZ,ID,II,IQ,IS,IX,JB,JT,JX,JZ,KA,KM,KP,KR,KW,KY,LG,LL,LX,MA,MJ,ML,NA,ND,NE,NG,NH,NL,NN,NZ,OB,OE,ON,OR,OT,OV,OY,PE,PG,PL,PO,QA,QB,QD,QE,QH,QN,QV,QW,RA,RC,RH,RI,RX,SI,SL,SM,TC,TE,TL,TO,TT,UC,UD,UE,UF,UP,UQ,UU,UV,UW,VA,VB,VJ,VV,VW,WB,WD,WF,WO,WX,WY,WZ,XD,XF,XQ,XY,XZ,YF,YL,YO,YT,YU,ZM,ZO,ZS
ID,578.2,208.3,250.0,541.0,717.9,641.0,203.9,846.9,182.3,236.2,613.6,171.3,83.6,219.6,717.9,118.1,191.0,258.6,259.3,116.6,835.7,704.3,669.9,619.1,52.5,255.0,252.7,659.4,664.8,353.4,26.0,732.0,679.3,824.8,329.7,203.9,650.9,607.2,52.2,273.5,76.8,625.3,238.0,248.5,205.1,698.9,0.0,628.3,244.3,211.4,447.6,268.6,683.0,426.6,706.8,290.4,619.4,349.0,728.1,179.3,803.3,80.8,692.1,743.0,219.1,177.7,218.7,685.5,613.6,644.9,718.1,229.0,644.0,566.3,653.2,128.4,740.0,574.7,666.2,119.5,159.1,259.4,202.8,695.3,609.8,788.7,261.7,693.3,233.5,445.6,161.2,825.5,608.2,552.6,554.1,57.9,2134.7,664.3,304.3,750.1,628.0,460.5,463.2,330.6,632.0,243.6,797.0,159.4,616.2,642.5,748.4,657.9,201.9,633.1,628.8,557.5,210.1,693.7,748.8,221.7,205.4,849.1,620.6,835.8,271.4,423.7,194.4,834.9,651.6,263.7,234.8,565.8,627.1,698.9,200.2,658.6,720.7,717.7,182.2,160.3,631.6
II,80.0,563.6,676.9,87.5,577.6,500.7,753.4,683.4,595.8,728.1,497.1,592.6,680.6,591.7,576.7,633.4,658.1,595.9,659.6,631.9,672.2,564.0,538.1,37.5,670.6,592.3,607.9,519.1,524.5,711.0,678.5,591.7,540.6,661.3,686.3,541.2,510.6,48.1,678.9,645.4,721.5,43.7,593.3,574.6,717.1,558.6,652.4,0.0,716.1,548.7,172.6,619.6,542.7,56.4,543.3,628.5,487.7,706.6,587.8,593.6,648.4,589.9,557.1,602.7,738.6,687.8,556.0,545.2,42.0,504.6,577.8,720.8,62.4,62.2,512.9,640.2,608.3,144.3,525.9,561.1,555.4,680.7,612.4,555.0,22.6,625.2,426.4,553.0,579.8,170.8,674.4,661.8,467.9,75.9,123.7,676.0,2501.4,515.0,672.0,605.6,496.3,146.8,289.5,688.2,491.7,580.9,639.8,751.2,475.9,502.2,588.9,517.6,777.6,492.8,500.6,102.7,631.4,530.2,608.5,533.7,626.0,683.4,480.3,672.3,608.7,192.7,740.5,680.0,511.3,562.0,656.1,135.4,486.8,558.6,712.8,30.2,580.4,554.2,757.9,675.6,491.3
IQ,700.2,268.3,70.8,663.0,873.3,796.4,81.8,979.1,177.7,38.4,769.0,198.5,296.6,261.6,873.3,206.0,157.5,143.2,79.5,235.4,994.1,859.7,825.3,741.1,206.8,209.4,167.6,814.8,820.2,173.6,203.6,887.4,834.7,957.0,149.9,227.2,806.3,729.2,262.2,93.7,169.1,747.3,261.0,290.5,65.4,854.3,227.7,750.3,0.0,234.7,569.6,260.2,838.4,548.6,839.0,110.6,774.8,169.2,883.5,186.5,935.5,243.2,847.5,898.4,67.0,170.8,211.6,840.9,735.6,800.3,873.5,31.2,766.0,688.3,808.6,195.7,895.4,696.7,821.6,219.8,201.1,162.5,213.6,850.7,731.8,920.9,344.2,848.7,178.1,567.6,161.9,957.7,763.6,674.6,676.1,231.8,2296.1,819.7,134.6,905.5,783.4,582.5,585.2,150.8,787.4,158.2,929.2,86.4,771.6,797.9,880.6,813.3,106.0,788.5,784.2,679.5,159.5,825.9,904.2,263.7,170.0,981.3,776.0,968.0,225.8,545.7,72.3,967.1,807.0,305.7,95.5,687.8,782.5,854.3,212.2,780.6,876.1,849.9,86.3,188.2,787.0
IS,499.9,37.6,174.0,462.7,673.0,596.1,259.1,778.8,101.5,225.2,568.7,113.7,210.8,137.7,673.0,163.6,170.1,101.6,165.3,162.1,793.8,659.4,625.0,540.8,200.8,98.0,113.6,614.5,619.9,216.7,208.7,687.1,634.4,756.7,193.0,7.5,606.0,528.9,200.5,151.1,251.7,547.0,67.3,154.0,222.8,654.0,182.6,550.0,221.8,0.0,369.3,97.9,638.1,348.3,638.7,134.2,574.5,212.3,683.2,99.3,735.2,120.1,647.2,698.1,244.3,183.4,61.7,640.6,535.3,600.0,673.2,226.5,565.7,488.0,608.3,173.9,695.1,496.4,621.3,91.3,90.6,192.7,118.1,650.4,531.5,720.6,143.9,648.4,85.5,367.3,206.7,757.4,563.3,474.3,475.8,206.2,2245.2,619.4,177.7,705.2,583.1,382.2,384.9,193.9,587.1,86.6,728.9,263.7,571.3,597.6,680.3,613.0,283.3,588.2,583.9,479.2,143.4,625.6,703.9,113.1,131.7,781.0,575.7,767.7,114.4,345.4,249.6,766.8,606.7,141.4,168.1,487.5,582.2,654.0,224.8,580.3,675.8,649.6,263.6,200.8,586.7
IX,144.3,419.4,524.1,107.1,533.4,456.5,609.2,662.4,451.6,575.3,429.1,448.4,536.4,447.5,533.4,489.2,513.9,451.7,515.4,487.7,651.2,519.8,485.4,185.2,526.4,448.1,463.7,474.9,480.3,566.8,534.3,547.5,494.8,640.3,543.1,397.0,466.4,173.3,526.1,501.2,562.9,191.4,449.1,430.4,572.9,514.4,508.2,194.4,571.9,404.5,0.0,475.4,498.5,231.2,522.3,484.3,434.9,562.4,543.6,449.4,618.8,445.7,507.6,558.5,594.4,527.2,411.8,501.0,179.7,460.4,533.6,576.6,210.1,132.4,468.7,499.5,555.5,140.8,481.7,416.9,411.2,536.5,468.2,510.8,175.9,604.2,282.2,508.8,435.6,22.8,532.3,641.0,423.7,118.7,120.2,531.8,2307.9,479.8,527.8,565.6,443.5,26.6,225.6,544.0,447.5,436.7,612.5,613.8,431.7,458.0,563.9,473.4,633.4,448.6,444.3,123.6,487.2,509.2,564.3,389.5,481.8,664.6,436.1,651.3,464.5,44.7,599.7,650.4,467.1,417.8,511.9,131.9,442.6,514.4,568.6,224.7,536.2,533.2,613.7,531.4,447.1
JB,567.9,47.3,196.6,530.7,741.0,664.1,281.7,846.8,129.5,247.8,636.7,165.6,261.0,201.3,741.0,213.8,202.0,124.2,187.9,212.3,835.6,727.4,693.0,608.8,251.0,120.6,136.2,682.5,687.9,239.3,258.9,755.1,702.4,824.7,215.6,94.9,674.0,596.9,250.7,173.7,301.9,615.0,51.5,222.0,245.4,722.0,232.8,618.0,244.4,95.0,437.3,0.0,706.1,416.3,706.7,156.8,642.5,234.9,751.2,153.6,803.2,170.3,715.2,766.1,266.9,215.3,79.3,708.6,603.3,668.0,741.2,249.1,633.7,556.0,676.3,224.1,763.1,564.4,689.3,141.5,140.8,224.6,162.7,718.4,599.5,788.6,211.9,716.4,108.1,435.3,256.9,825.4,631.3,542.3,543.8,256.4,2313.2,687.4,200.3,773.2,651.1,450.2,452.9,216.5,655.1,109.2,796.9,286.3,639.3,665.6,748.3,681.0,305.9,656.2,651.9,547.2,175.3,693.6,771.9,181.1,154.3,849.0,643.7,835.7,137.0,413.4,272.2,834.8,674.7,209.4,200.0,555.5,650.2,722.0,256.7,648.3,743.8,717.6,286.2,232.7,654.7
JT,390.7,666.8,771.5,353.5,122.1,124.4,856.6,372.0,699.0,822.7,121.9,695.8,783.8,694.9,121.2,736.6,761.3,699.1,762.8,735.1,360.8,47.2,116.8,431.6,773.8,695.5,711.1,142.8,148.2,814.2,719.3,136.2,104.8,349.9,788.9,644.4,223.2,419.7,773.5,748.6,737.6,437.8,696.5,677.8,820.3,103.1,755.6,440.8,819.3,651.9,375.3,722.8,0.0,477.6,231.9,731.7,191.7,809.8,132.3,696.8,328.4,693.1,12.5,147.2,841.8,774.6,659.2,65.6,425.3,59.5,122.3,824.0,450.4,378.8,225.5,743.4,144.2,387.2,90.1,664.3,658.6,783.9,715.6,99.5,402.7,313.8,529.6,107.9,683.0,373.5,777.6,350.4,96.4,365.1,366.6,779.2,2482.6,69.9,775.2,154.3,116.5,349.5,456.4,791.4,82.6,684.1,328.4,816.9,188.5,214.8,273.5,25.1,862.7,71.5,213.2,370.0,734.6,218.8,153.0,636.9,729.2,372.0,128.9,360.9,711.9,395.4,843.7,360.0,135.0,665.2,759.3,378.3,199.4,103.1,816.0,471.1,124.9,242.8,843.0,778.8,115.0
JX,132.9,392.8,497.5,116.6,483.0,406.1,582.6,612.0,425.0,548.7,378.7,421.8,509.8,420.9,483.0,462.6,487.3,425.1,488.8,461.1,600.8,469.4,435.0,51.1,499.8,421.5,437.1,424.5,429.9,540.2,507.7,497.1,444.4,589.9,516.5,370.4,416.0,101.0,499.5,474.6,512.5,46.1,422.5,403.8,546.3,464.0,481.6,47.6,545.3,377.9,201.7,448.8,448.1,0.0,471.9,457.7,384.5,535.8,493.2,422.8,568.4,419.1,457.2,508.1,567.8,500.6,385.2,450.6,81.1,410.0,483.2,550.0,31.0,91.3,418.3,472.9,505.1,181.2,431.3,390.3,384.6,509.9,441.6,460.4,58.6,553.8,255.6,458.4,409.0,199.9,505.7,590.6,373.3,105.0,160.6,505.2,2257.5,429.4,501.2,515.2,393.1,175.9,318.6,517.4,397.1,410.1,562.1,587.2,381.3,407.6,513.5,423.0,606.8,398.2,393.9,155.6,460.6,458.8,513.9,362.9,455.2,614.2,385.7,600.9,437.9,221.8,573.1,600.0,416.7,391.2,485.3,172.3,392.2,464.0,542.0,15.8,485.8,482.8,587.1,504.8,396.7
JZ,443.3,706.4,811.1,406.1,262.6,210.5,899.3,235.0,738.6,862.3,200.9,735.4,823.4,734.5,262.6,776.2,800.9,738.7,802.4,774.7,267.2,263.9,214.6,484.2,809.9,735.1,750.7,228.9,234.3,853.8,753.9,276.7,266.6,256.3,830.1,684.0,291.3,472.3,830.3,788.2,772.2,490.4,736.1,717.4,900.5,243.6,778.0,493.4,858.9,691.5,427.9,762.4,227.7,526.2,0.0,771.3,259.8,849.4,272.8,736.4,191.4,732.7,240.3,287.7,914.5,814.2,698.8,272.8,478.7,189.6,262.8,863.6,509.1,431.4,293.6,786.5,284.7,439.8,253.5,703.9,698.2,823.5,755.2,240.0,474.9,176.8,569.2,238.0,722.6,426.1,819.3,257.0,195.5,417.7,419.2,834.9,2517.2,209.0,814.8,294.8,215.3,402.1,392.0,831.0,219.3,723.7,228.5,854.8,256.6,282.9,41.5,202.6,897.3,177.8,269.2,422.6,774.2,17.1,293.5,676.5,768.8,280.6,207.9,128.9,751.5,448.0,889.8,223.0,221.1,704.8,798.9,430.9,267.5,243.6,855.6,523.7,265.4,10.9,877.6,818.4,201.1
KA,589.5,161.7,39.7,552.3,762.6,685.7,124.8,868.4,129.5,90.9,658.3,150.3,291.1,213.4,762.6,173.2,109.3,32.5,31.0,202.6,857.2,749.0,714.6,630.4,249.8,98.7,110.4,704.1,709.5,82.4,246.6,776.7,724.0,846.3,58.7,116.5,695.6,618.5,280.8,16.8,212.1,636.6,150.3,242.3,88.5,743.6,262.9,639.6,87.5,124.0,458.9,149.5,727.7,437.9,728.3,0.0,664.1,78.0,772.8,138.3,824.8,200.4,736.8,787.7,110.0,122.6,100.9,730.2,624.9,689.6,762.8,92.2,655.3,577.6,697.9,162.9,784.7,586.0,710.9,171.6,152.9,114.3,165.4,740.0,621.1,810.2,233.5,738.0,106.2,456.9,184.8,847.0,652.9,563.9,565.4,274.8,2319.2,709.0,43.4,794.8,672.7,471.8,474.5,59.6,676.7,47.5,818.5,129.4,660.9,687.2,769.9,702.6,149.0,677.8,673.5,568.8,111.3,715.2,793.5,202.7,121.8,870.6,665.3,857.3,115.1,435.0,115.3,856.4,696.3,231.0,47.3,577.1,671.8,743.6,164.0,669.9,765.4,739.2,129.3,140.0,676.3
KM,376.3,652.4,757.1,339.1,255.8,178.9,842.2,408.5,684.6,808.3,175.3,681.4,769.4,680.5,254.9,722.2,746.9,684.7,748.4,720.7,397.3,242.2,216.3,417.2,759.4,681.1,696.7,197.3,202.7,799.8,704.9,269.9,217.2,386.4,776.1,630.0,97.2,405.3,759.1,734.2,723.2,423.4,682.1,663.4,805.9,236.8,741.2,434.6,804.9,637.5,360.9,708.4,220.9,463.2,268.4,717.3,0.0,795.4,266.0,682.4,364.9,678.7,235.3,280.9,827.4,760.2,644.8,223.4,410.9,182.8,256.0,809.6,436.0,364.4,41.6,729.0,277.9,372.8,204.1,649.9,644.2,769.5,701.2,233.2,388.3,350.3,515.2,231.2,668.6,359.1,763.2,386.9,146.1,350.7,352.2,764.8,2468.2,193.2,760.8,288.0,165.9,335.1,378.3,777.0,169.9,669.7,364.9,800.3,40.0,88.8,314.0,195.8,848.3,171.0,64.7,355.6,720.2,255.3,286.7,622.5,714.8,408.5,158.5,397.4,697.5,381.0,832.7,396.5,189.5,650.8,744.9,363.9,73.4,236.8,801.6,456.7,258.6,279.3,828.6,764.4,169.5
KP,668.2,240.4,118.9,631.0,841.3,764.4,204.0,947.1,208.7,170.1,737.0,229.5,370.3,292.6,841.3,252.4,188.5,111.2,110.2,281.8,962.1,827.7,793.3,709.1,329.0,177.4,189.1,782.8,788.2,32.6,325.8,855.4,802.7,925.0,30.0,195.2,774.3,697.2,360.0,96.0,291.3,715.3,229.0,321.5,167.7,822.3,342.1,718.3,166.7,202.7,537.6,228.2,806.4,516.6,807.0,78.6,742.8,0.0,851.5,217.5,903.5,279.6,815.5,866.4,189.2,201.8,179.6,808.9,703.6,768.3,841.5,171.4,734.0,656.3,776.6,242.1,863.4,664.7,789.6,250.8,232.1,193.5,244.6,818.7,699.8,888.9,312.2,816.7,184.9,535.6,264.0,925.7,731.6,642.6,644.1,354.0,2398.4,787.7,69.0,873.5,751.4,550.5,553.2,62.0,755.4,126.2,897.2,208.6,739.6,765.9,848.6,781.3,228.2,756.5,752.2,647.5,190.5,793.9,872.2,281.4,201.0,949.3,744.0,936.0,193.8,513.7,194.5,935.1,775.0,309.7,126.5,655.8,750.5,822.3,243.2,748.6,844.1,817.9,208.5,219.2,755.0
KR,456.1,732.2,836.9,418.9,102.5,189.8,922.0,437.4,764.4,888.1,222.0,761.2,849.2,760.3,101.6,802.0,826.7,764.5,828.2,800.5,452.4,85.8,173.7,497.0,839.2,760.9,776.5,208.2,213.6,879.6,784.7,116.6,178.7,415.3,855.9,709.8,288.6,485.1,838.9,814.0,803.0,503.2,761.9,743.2,885.7,83.5,821.0,506.2,884.7,717.3,440.7,788.2,132.6,543.0,297.3,797.1,257.1,875.2,0.0,762.2,393.8,758.5,130.5,127.6,907.2,840.0,724.6,141.1,490.6,124.9,9.9,889.4,515.8,444.2,290.9,808.8,124.6,452.6,165.6,729.7,724.0,849.3,781.0,38.4,468.1,379.2,595.0,173.3,748.4,438.9,843.0,416.0,171.9,430.5,432.0,844.6,2548.0,144.3,840.6,130.5,192.0,414.9,521.8,856.8,158.1,749.5,393.8,880.1,253.9,280.2,338.9,107.5,928.1,136.9,266.5,435.4,800.0,284.2,20.7,702.3,794.6,437.4,205.2,426.3,777.3,460.8,912.5,425.4,200.4,730.6,824.7,443.7,264.8,29.1,881.4,536.5,105.3,308.2,908.4,844.2,180.4
KW,541.1,113.2,122.1,503.9,714.2,637.3,207.2,820.0,54.4,173.3,609.9,25.4,184.2,106.5,714.2,137.0,108.9,116.0,133.7,135.5,808.8,700.6,666.2,582.0,174.2,112.4,124.8,655.7,661.1,227.8,182.1,728.3,675.6,797.9,204.1,68.1,647.2,570.1,173.9,147.9,225.1,588.2,125.5,135.4,170.9,695.2,156.0,591.2,169.9,75.6,410.5,139.7,679.3,389.5,679.9,148.6,615.7,223.4,724.4,0.0,776.4,93.5,688.4,739.3,192.4,122.2,76.1,681.8,576.5,641.2,714.4,174.6,606.9,529.2,649.5,147.3,736.3,537.6,662.5,64.7,46.0,131.5,74.9,691.6,572.7,761.8,185.1,689.6,99.9,408.5,180.1,798.6,604.5,515.5,517.0,179.6,2290.8,660.6,188.8,746.4,624.3,423.4,426.1,205.0,628.3,101.0,770.1,211.8,612.5,638.8,721.5,654.2,231.4,629.4,625.1,520.4,82.2,666.8,745.1,108.6,77.5,822.2,616.9,808.9,128.8,386.6,197.7,808.0,647.9,150.6,106.9,528.7,623.4,695.2,163.6,621.5,717.0,690.8,211.7,139.6,627.9
KY,493.4,756.5,861.2,456.2,312.7,260.6,949.4,43.5,788.7,912.4,274.8,785.5,873.5,784.6,312.7,826.3,851.0,788.8,852.5,824.8,53.7,314.0,264.7,534.3,860.0,785.2,800.8,279.0,284.4,903.9,804.0,326.8,316.7,59.1,880.2,734.1,341.4,522.4,880.4,838.3,822.3,540.5,786.2,767.5,950.6,293.7,828.1,551.7,909.0,741.6,478.0,812.5,277.8,576.3,173.8,821.4,309.9,899.5,322.9,786.5,0.0,782.8,290.4,337.8,964.6,864.3,748.9,322.9,528.8,239.7,312.9,913.7,553.1,481.5,343.7,833.1,334.8,489.9,303.6,754.0,748.3,873.6,805.3,290.1,505.4,10.6,619.3,288.1,772.7,476.2,867.3,91.5,245.6,467.8,469.3,885.0,2567.3,250.1,864.9,344.9,265.4,452.2,442.1,881.1,269.4,773.8,80.6,904.9,306.7,333.0,219.4,252.7,947.4,227.9,331.4,472.7,824.3,160.7,343.6,726.6,818.9,113.1,258.0,302.8,801.6,498.1,936.5,31.5,271.2,754.9,849.0,481.0,317.6,293.7,905.7,573.8,315.5,184.7,927.7,868.5,251.2
LG,571.5,127.4,169.1,534.3,744.6,667.7,210.3,850.4,101.4,220.3,640.3,90.4,90.6,138.7,744.6,37.2,110.1,177.7,180.7,35.7,865.4,731.0,696.6,612.4,80.6,174.1,171.8,686.1,691.5,274.8,88.5,758.7,706.0,828.3,251.1,123.0,677.6,600.5,80.3,194.9,131.5,618.6,157.1,167.6,217.9,725.6,62.4,621.6,216.9,130.5,440.9,187.7,709.7,419.9,710.3,210.3,646.1,270.4,754.8,98.4,806.8,0.0,718.8,769.7,225.5,96.8,137.8,712.2,606.9,671.6,744.8,221.6,637.3,559.6,679.9,47.5,766.7,568.0,692.9,38.6,78.2,178.5,121.9,722.0,603.1,792.2,215.5,720.0,152.6,438.9,80.3,829.0,634.9,545.9,547.4,86.0,2197.2,691.0,235.8,776.8,654.7,453.8,456.5,252.0,658.7,162.7,800.5,165.8,642.9,669.2,751.9,684.6,208.3,659.8,655.5,550.8,129.2,697.2,775.5,140.8,124.5,852.6,647.3,839.3,190.5,417.0,200.8,838.4,678.3,182.8,153.9,559.1,653.8,725.6,119.3,651.9,747.4,721.2,188.6,79.4,658.3
LL,403.3,679.4,784.1,366.1,129.4,131.7,869.2,384.6,706.3,835.3,133.1,708.4,796.4,707.5,133.8,749.2,773.9,711.7,775.4,747.7,394.3,34.6,129.4,444.2,786.4,708.1,723.7,150.1,160.8,826.8,731.9,148.8,92.2,362.5,802.1,657.0,235.8,432.3,786.1,761.2,750.2,450.4,709.1,690.4,832.9,115.7,768.2,461.6,831.9,664.5,387.9,735.4,12.5,490.2,244.5,744.3,204.3,822.4,136.9,709.4,341.0,705.7,0.0,159.8,854.4,803.6,671.8,58.3,437.8,72.1,121.6,836.6,457.7,391.4,238.1,756.0,156.8,399.8,77.5,676.9,665.9,796.5,728.2,98.8,415.3,326.4,536.9,120.5,695.6,386.1,790.2,363.0,89.1,377.7,379.2,791.8,2495.2,82.5,787.8,162.7,109.2,362.1,469.0,804.0,75.3,696.7,341.0,829.5,201.1,227.4,290.1,37.7,875.3,84.1,225.8,382.6,747.2,231.4,152.3,649.5,741.8,384.6,116.3,373.5,724.5,408.0,856.3,372.6,147.6,677.8,771.9,390.9,212.0,102.4,828.6,483.7,137.5,250.1,855.6,791.4,127.6
LX,479.7,755.8,860.5,442.5,25.0,213.4,945.6,461.0,788.0,911.7,221.8,784.8,872.8,783.9,80.1,825.6,850.3,788.1,851.8,824.1,449.8,127.4,197.3,520.6,862.8,784.5,800.1,231.8,237.2,903.2,808.3,94.2,220.3,438.9,879.5,733.4,312.2,508.7,862.5,837.6,826.6,526.8,785.5,766.8,909.3,44.0,844.6,529.8,908.3,740.9,464.3,811.8,156.2,566.6,320.9,820.7,280.7,898.8,156.3,785.8,417.4,782.1,168.8,0.0,930.8,863.6,748.2,182.7,515.1,148.5,146.3,913.0,545.5,467.8,314.5,835.9,102.2,476.2,207.2,753.3,747.6,872.9,804.6,123.5,511.3,402.8,618.6,196.9,772.0,462.5,868.7,439.6,213.5,454.1,455.6,868.2,2571.6,167.9,864.2,48.7,233.6,438.5,545.4,880.4,199.7,773.1,411.1,909.2,277.5,303.8,362.5,131.1,951.7,160.5,290.1,459.0,823.6,307.8,177.0,725.9,818.2,463.2,228.8,449.9,800.9,484.4,936.1,449.0,224.0,754.2,848.3,467.3,288.4,127.1,905.0,560.1,78.1,331.8,932.0,867.8,204.0
MA,701.1,269.2,71.7,663.9,848.5,771.6,75.0,977.5,178.6,57.3,744.2,199.4,289.8,262.5,848.5,199.2,158.4,144.1,80.4,228.6,992.5,834.9,800.5,742.0,200.0,210.3,168.5,790.0,795.4,174.5,196.8,862.6,809.9,955.4,150.8,228.1,781.5,730.1,255.4,94.6,162.3,748.2,261.9,291.4,34.6,829.5,220.9,751.2,65.4,235.6,570.5,261.1,813.6,549.5,837.4,111.5,750.0,170.1,858.7,187.4,933.9,236.4,822.7,873.6,0.0,171.7,212.5,816.1,736.5,775.5,848.7,50.1,766.9,689.2,783.8,188.9,870.6,697.6,796.8,220.7,202.0,163.4,214.5,825.9,732.7,919.3,345.1,823.9,179.0,568.5,155.1,956.1,738.8,675.5,677.0,225.0,2265.3,794.9,135.5,880.7,758.6,583.4,586.1,151.7,762.6,159.1,927.6,79.6,746.8,773.1,879.0,788.5,99.2,763.7,759.4,680.4,160.4,824.3,879.4,264.6,170.9,979.7,751.2,966.4,226.7,546.6,65.5,965.5,782.2,306.6,96.4,688.7,757.7,829.5,213.1,781.5,851.3,848.3,79.5,189.1,762.2
MJ,642.6,198.5,80.9,605.4,835.7,738.8,166.0,921.5,107.9,132.1,735.2,128.7,178.4,191.8,814.8,50.5,13.2,156.2,92.5,79.9,930.3,802.1,776.2,683.5,168.4,150.9,97.8,777.2,762.6,186.6,176.3,829.8,778.7,899.4,161.9,173.9,748.7,691.6,168.1,106.7,216.2,689.7,214.7,220.7,129.7,796.7,150.2,700.9,128.7,181.4,512.0,219.6,800.8,491.0,781.4,123.6,737.2,182.2,825.9,116.7,897.9,87.7,795.2,840.8,151.2,0.0,165.3,803.3,677.1,762.7,815.9,133.4,708.4,630.7,751.0,43.7,857.8,639.1,764.0,112.6,131.3,90.3,143.8,793.1,654.6,863.3,306.6,791.1,108.3,530.0,60.0,899.9,706.0,617.0,618.5,173.8,2285.0,753.1,147.6,843.7,745.8,544.9,547.6,163.8,729.8,150.7,877.9,136.8,714.0,740.3,827.0,755.7,190.1,730.9,738.7,621.9,89.7,768.3,846.6,193.9,100.2,921.5,718.4,910.4,167.3,488.1,153.1,929.5,749.4,235.9,65.7,630.2,724.9,796.7,41.3,723.0,818.5,792.3,170.4,17.3,729.4
ML,507.2,79.4,150.9,470.0,680.3,603.4,236.0,786.1,78.4,202.1,576.0,104.9,218.1,145.0,680.3,170.9,150.9,78.5,142.2,169.4,801.1,666.7,632.3,548.1,208.1,74.9,90.5,621.8,627.2,193.6,216.0,694.4,641.7,764.0,169.9,34.2,613.3,536.2,207.8,128.0,259.0,554.3,49.3,161.3,199.7,661.3,189.9,557.3,198.7,41.7,376.6,102.2,645.4,355.6,646.0,111.1,581.8,189.2,690.5,92.9,742.5,127.4,654.5,705.4,221.2,164.2,0.0,647.9,542.6,607.3,680.5,203.4,573.0,495.3,615.6,181.2,702.4,503.7,628.6,98.6,97.9,173.5,102.0,657.7,538.8,727.9,151.2,655.7,62.4,374.6,214.0,764.7,570.6,481.6,483.1,213.5,2252.5,626.7,154.6,712.5,590.4,389.5,392.2,170.8,594.4,63.5,736.2,240.6,578.6,604.9,687.6,620.3,260.2,595.5,591.2,486.5,124.2,632.9,711.2,120.4,108.6,788.3,583.0,775.0,91.3,352.7,226.5,774.1,614.0,148.7,148.9,494.8,589.5,661.3,205.6,587.6,683.1,656.9,240.5,181.6,594.0
NA,401.6,677.7,782.4,364.4,170.7,190.8,867.5,420.7,709.9,833.6,107.2,706.7,794.7,705.8,169.8,747.5,772.2,710.0,773.7,746.0,423.9,65.9,174.7,442.5,784.7,706.4,722.0,209.2,214.6,825.1,730.2,184.8,64.7,398.6,800.4,655.3,234.1,430.6,784.4,759.5,748.5,448.7,707.4,688.7,831.2,151.7,766.5,451.7,830.2,662.8,386.2,733.7,66.3,488.5,280.6,742.6,202.6,820.7,162.9,707.7,377.1,704.0,59.0,195.8,852.7,785.5,670.1,0.0,436.1,125.9,152.9,834.9,461.3,389.7,236.4,754.3,192.8,398.1,51.6,675.2,669.5,794.8,726.5,130.1,433.2,362.5,540.5,174.3,693.9,384.4,788.5,399.1,57.9,376.0,377.5,790.1,2493.5,136.3,786.1,202.9,78.0,360.4,403.6,802.3,44.1,695.0,377.1,825.6,199.4,225.7,322.2,91.4,873.6,137.9,224.1,380.9,745.5,267.5,183.6,647.8,740.1,420.7,90.4,409.6,722.8,406.3,858.0,408.7,201.4,676.1,770.2,389.2,210.3,133.7,826.9,482.0,173.5,291.5,853.9,789.7,181.4
ND,38.0,554.0,658.7,88.7,568.0,491.0,743.8,673.8,586.2,709.8,463.7,588.2,676.2,582.1,568.0,623.8,648.5,586.3,650.0,622.3,688.8,554.4,525.2,57.3,666.2,582.7,598.3,509.4,514.9,701.4,668.9,582.1,529.4,651.7,677.6,531.6,501.0,6.1,665.9,635.8,711.9,39.3,583.7,570.2,707.5,549.0,642.8,42.7,706.5,539.1,163.0,610.0,538.3,99.2,533.7,618.9,469.4,697.0,578.2,584.0,630.1,580.3,547.4,593.1,729.0,661.8,546.4,535.6,0.0,500.2,568.2,711.1,76.1,82.0,503.3,630.6,590.0,102.3,516.3,556.7,545.8,671.1,602.8,545.4,48.0,615.6,416.8,543.4,570.2,161.2,666.9,652.4,458.2,95.7,81.7,666.4,2491.8,514.4,662.3,600.2,483.3,137.2,279.8,678.6,482.1,571.3,623.9,746.8,466.3,492.6,575.3,508.0,768.0,483.2,484.1,60.7,621.8,520.6,598.9,524.1,616.4,676.0,470.7,662.7,599.1,183.0,734.3,667.0,501.7,552.4,646.5,93.4,477.2,549.0,703.2,48.8,570.8,544.6,748.3,666.0,481.7
