from_stop,AA,AF,AI,AJ,AL,AM,AS,AU,AX,BA,BE,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,CY,DK,DU,DZ,EC,EL,EZ,FG,FM,FN,FQ,FS,FT,GI,GJ,GN,GP,GR,GU,GX,GY,HC,HD,HE,HH,HP,HX,ID,IF,IM,IP,IU,IX,JA,JE,JF,JG,JJ,JM,JN,JS,JV,JZ,KE,KI,KK,LG,LH,LK,LM,LV,MM,MT,ND,NM,NO,NP,NU,NW,NZ,OL,OP,OR,OS,OT,OV,OW,OX,OY,PK,PO,PX,QN,QP,QQ,QR,QU,QW,RA,RC,RF,RG,RI,RP,RT,RW,RZ,SD,SE,SL,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WS,WU,XA,XB,XF,XH,XV,XW,YB,YC,YG,YM,YO,YU,ZB,ZC,ZJ,ZR,ZV
GX,277.0,192.9,183.7,165.6,208.3,387.5,181.4,194.9,165.9,64.9,229.4,297.9,324.8,220.4,801.4,1420.7,710.9,228.5,224.3,225.4,204.0,353.9,125.1,215.5,236.3,794.8,351.3,390.3,367.2,228.2,270.2,295.9,312.2,259.3,931.4,303.1,310.9,257.7,888.7,290.0,792.6,0.0,353.4,225.5,778.3,880.4,157.9,211.5,136.8,684.0,417.5,331.7,108.6,223.5,218.4,286.5,185.6,171.6,202.0,274.2,143.3,243.6,737.5,167.3,219.1,167.6,183.9,212.6,143.9,241.6,137.0,302.2,733.0,736.6,201.9,257.5,279.9,70.9,117.2,756.3,322.9,887.8,941.7,860.4,379.6,165.5,168.2,776.7,176.2,283.7,758.3,783.1,250.4,285.3,35.7,143.1,460.2,852.3,161.8,209.0,150.6,386.4,360.0,148.3,255.3,366.3,163.9,394.7,904.2,206.7,354.0,143.9,296.7,293.1,271.6,685.1,829.3,789.3,421.8,336.9,205.6,306.3,857.5,367.1,308.4,356.1,270.3,929.9,745.9,201.7,349.2,886.0,266.6,409.1,339.8,206.5,343.5,135.1,225.2,743.8,123.5,105.4,896.2,339.2,221.8,396.6,319.4,205.2,83.5,747.0,252.4,184.9
GY,250.2,186.7,201.9,216.6,247.6,181.4,166.3,168.9,280.4,324.2,195.0,179.4,210.2,222.7,909.4,1357.8,818.9,187.7,120.2,235.3,216.9,31.9,289.6,376.1,105.7,924.3,63.6,224.5,166.6,347.6,188.4,268.5,103.7,175.7,1060.9,50.0,70.4,116.9,1018.2,246.5,900.6,297.6,0.0,125.4,907.8,965.2,361.6,259.1,187.1,792.0,211.3,184.3,258.1,243.6,248.7,168.2,178.6,153.3,325.4,283.2,304.0,202.8,841.7,334.5,201.8,231.7,270.8,148.6,220.5,160.0,223.9,107.5,841.0,844.6,191.6,117.7,208.1,234.9,278.3,864.3,67.6,1017.3,1071.2,917.6,88.1,291.9,233.1,884.7,299.6,240.2,841.8,912.6,261.7,80.2,272.0,201.9,213.2,944.3,305.2,258.4,174.5,198.7,74.8,235.2,226.3,44.7,276.4,222.1,1033.7,383.7,179.8,230.9,199.2,66.9,228.1,793.1,937.3,897.3,141.8,78.3,313.5,188.0,987.0,48.8,43.5,56.0,226.8,1059.4,830.2,188.6,230.9,921.8,312.4,94.8,12.2,332.4,168.8,209.5,122.6,796.2,213.6,261.5,1025.7,54.0,166.2,115.5,34.2,158.6,252.4,852.3,104.4,179.5
HC,121.0,111.1,204.7,184.2,186.0,243.8,232.0,48.1,277.2,232.5,98.3,86.6,150.9,97.2,912.7,1455.7,822.2,62.2,141.0,106.1,91.4,135.6,236.4,308.8,172.5,936.9,191.5,259.8,217.1,321.5,139.1,143.0,108.6,50.2,1073.5,77.5,136.1,90.6,1030.8,121.0,903.9,201.4,127.8,0.0,920.4,1022.5,251.2,168.0,94.2,795.3,287.0,178.2,219.9,118.1,123.2,112.6,57.8,107.8,309.4,154.0,248.4,83.5,848.8,260.6,76.3,359.6,301.5,130.6,95.0,34.5,289.6,149.6,844.3,847.9,70.8,183.4,122.7,182.2,162.1,867.6,171.2,1029.9,1083.8,967.8,219.8,230.3,140.2,888.0,287.5,114.7,869.6,925.2,136.2,142.2,175.8,206.0,283.0,963.6,288.5,196.8,73.1,240.1,162.6,300.9,100.8,172.0,279.1,208.1,1046.3,300.0,203.9,155.3,106.8,134.2,118.9,796.4,940.6,900.6,227.5,127.9,316.9,132.4,999.6,176.7,82.8,166.5,101.3,1067.1,854.4,63.1,175.3,988.8,186.9,222.1,114.2,325.7,190.0,198.0,139.8,855.1,276.1,216.7,1038.3,151.0,40.7,215.4,119.9,37.8,176.8,858.3,148.4,54.0
HD,1002.3,790.0,734.2,750.2,939.8,963.9,726.2,853.7,683.5,794.1,851.3,913.4,966.8,950.0,168.3,999.5,311.7,946.3,805.6,955.0,921.8,850.4,792.3,667.6,770.9,16.4,891.5,1032.3,949.1,625.6,892.1,1029.6,911.9,943.4,153.0,850.5,821.7,872.9,110.3,992.9,156.5,763.0,842.6,903.7,0.0,102.0,705.5,944.8,856.8,269.7,993.8,973.7,791.9,926.5,921.4,928.5,844.4,826.8,723.6,989.1,776.3,967.3,254.7,717.5,936.9,677.6,699.2,883.6,873.5,938.3,746.1,881.0,296.0,347.6,860.7,740.0,977.2,700.3,743.7,215.5,817.3,109.4,163.3,92.2,912.2,894.6,902.8,199.8,749.9,986.6,287.8,22.1,945.6,782.6,737.4,739.5,995.7,158.2,745.8,950.6,829.9,1028.4,857.3,734.8,980.6,863.6,758.4,1012.8,125.8,675.2,996.0,770.4,937.7,790.4,964.1,302.1,119.8,212.4,924.3,857.6,785.6,948.3,79.1,865.0,844.0,854.0,976.0,146.6,312.2,896.1,991.2,117.4,995.7,906.4,829.0,741.4,985.5,737.7,806.5,361.6,762.6,795.3,117.8,836.5,915.4,913.1,816.7,864.0,724.8,300.3,816.4,914.5
HE,1090.2,881.7,825.9,841.9,1031.5,1055.6,817.9,945.4,775.2,881.3,943.0,1009.6,1058.5,1041.7,205.9,1003.0,337.9,1034.2,897.3,1042.9,1013.5,943.5,884.0,759.3,858.8,75.3,983.2,1120.2,1040.8,713.5,983.8,1121.3,1003.6,1035.1,114.1,938.4,913.4,964.6,115.0,1084.6,218.2,850.9,934.3,995.4,91.6,0.0,797.2,1034.7,944.7,292.1,1085.5,1065.4,883.6,1018.2,1013.1,1020.2,936.1,918.5,815.3,1080.8,856.0,1056.3,280.9,809.2,1028.6,769.3,790.9,975.3,965.2,1030.0,837.8,968.9,322.2,373.8,952.4,831.7,1068.9,792.0,835.4,238.1,905.2,70.5,124.4,157.4,1000.1,986.3,994.5,226.0,841.6,1078.3,314.0,113.8,1037.3,874.3,829.1,827.4,1087.4,184.4,833.7,1042.3,920.6,1120.1,949.0,826.5,1072.3,955.3,854.0,1104.5,138.2,766.9,1087.7,862.1,1029.4,883.6,1062.4,328.3,177.8,238.6,1016.0,949.3,873.5,1040.0,119.4,952.9,935.7,945.7,1067.7,112.6,335.8,987.8,1082.9,139.8,1083.6,998.1,920.7,807.2,1073.4,829.4,898.2,387.8,850.1,887.0,78.9,928.2,1007.1,1016.9,908.4,955.7,816.5,324.5,908.1,1002.4
HH,343.4,131.1,175.5,155.0,258.4,370.6,182.5,222.1,200.8,198.3,192.4,254.5,307.9,304.5,836.3,1309.5,745.8,287.4,220.6,306.1,262.9,310.6,101.2,102.4,232.6,698.6,358.4,373.4,350.3,70.2,233.2,370.7,253.0,284.5,835.2,252.5,267.2,214.0,792.5,334.0,827.5,152.3,302.8,244.8,682.1,784.2,0.0,271.7,197.9,718.9,400.6,314.8,143.5,267.6,262.5,269.6,216.7,167.9,110.1,330.2,85.2,308.4,772.4,60.5,278.0,218.4,101.6,224.7,237.6,279.4,148.5,285.3,767.9,771.5,208.1,251.5,318.3,105.8,133.0,791.2,307.6,791.6,845.5,729.5,376.5,303.2,243.9,811.6,136.4,327.7,793.2,686.9,286.7,294.1,126.7,144.2,413.7,791.3,93.5,269.2,202.2,369.5,330.4,137.2,321.7,327.9,160.8,353.9,808.0,110.0,337.1,111.5,278.8,288.8,305.2,720.0,757.1,824.2,378.8,277.7,183.4,289.4,761.3,351.7,257.8,340.8,317.1,828.8,778.0,237.2,332.3,750.5,363.1,373.3,289.2,139.7,326.6,136.2,221.5,778.7,158.4,140.3,800.0,300.8,259.6,353.6,294.9,232.4,65.9,781.9,292.3,278.6
HP,251.4,138.9,194.8,178.0,48.0,340.1,250.3,224.0,306.8,244.9,240.5,317.3,275.6,172.3,942.3,1461.8,851.8,192.6,170.3,180.8,168.1,259.5,266.0,338.4,184.1,966.5,299.1,341.1,319.8,349.3,281.3,189.9,222.5,271.5,1103.1,220.2,234.8,183.5,1060.4,179.4,933.5,200.8,276.1,246.1,950.0,1048.8,280.8,0.0,82.8,824.9,370.1,282.5,249.5,146.2,141.1,239.1,218.0,119.4,339.0,141.7,310.6,207.7,876.6,290.2,183.2,359.2,331.1,160.4,180.4,255.8,311.5,253.0,873.9,877.5,213.0,205.3,273.7,211.8,179.0,897.2,226.7,1059.5,1113.4,997.4,325.6,90.5,144.7,917.6,317.1,173.1,951.3,954.8,132.1,212.0,192.7,220.6,383.2,993.2,316.3,58.8,96.6,339.0,288.5,322.8,231.2,294.8,304.8,323.4,1075.9,329.6,306.6,184.9,302.5,223.1,161.0,826.0,968.4,930.2,427.6,247.2,344.7,258.9,1029.2,272.7,227.3,259.9,195.7,1099.8,939.7,205.1,301.8,1029.5,135.9,333.5,256.9,329.4,296.1,214.4,171.2,905.7,301.2,246.3,1067.9,267.7,227.5,402.4,247.9,234.3,206.4,887.9,200.2,208.1
HX,148.2,56.0,111.9,93.3,60.4,255.4,165.6,76.1,222.1,160.2,92.6,161.7,192.7,118.3,857.6,1382.6,767.1,89.4,87.4,108.1,64.9,177.3,181.3,253.7,99.4,881.8,214.4,258.2,235.1,266.4,133.4,172.7,175.8,105.6,1018.4,167.4,176.1,122.9,975.7,136.0,848.8,133.6,217.7,89.8,865.3,964.1,196.1,73.7,0.0,740.2,285.4,199.6,164.8,69.6,64.5,154.4,70.1,34.7,254.3,132.2,225.9,104.5,793.7,205.5,80.0,274.5,246.4,75.7,39.6,89.9,226.8,212.9,789.2,792.8,65.1,120.6,159.1,127.1,94.3,812.5,143.8,974.8,1028.7,912.7,242.7,104.7,45.9,832.9,232.4,129.7,866.6,870.1,88.7,129.1,108.0,137.7,298.5,908.5,233.4,71.2,13.7,254.3,203.8,238.1,128.0,250.7,224.0,238.7,991.2,244.9,221.9,100.2,162.2,136.9,117.6,741.3,885.5,845.5,296.0,200.5,261.8,174.2,944.5,188.0,172.7,177.0,119.1,1016.9,857.6,39.2,217.1,946.6,165.1,248.8,204.1,244.7,211.4,129.7,88.3,821.0,216.5,161.6,983.2,223.6,61.6,270.8,163.2,86.4,121.7,803.2,115.5,80.6
ID,917.0,670.2,644.6,660.6,847.9,874.3,636.6,764.1,593.9,704.5,731.5,793.6,847.0,860.4,117.3,1026.0,41.9,868.5,716.0,865.4,844.0,760.8,665.4,749.2,681.3,243.4,801.9,912.5,859.5,707.2,772.3,935.9,792.1,823.6,374.6,760.9,732.1,753.1,306.6,873.1,108.5,673.4,753.0,824.7,259.7,313.0,787.1,851.1,776.8,0.0,904.2,853.9,649.5,806.7,801.6,808.7,754.8,707.0,649.3,913.8,683.6,883.6,49.3,721.2,859.1,588.0,662.2,763.8,783.9,854.1,615.3,791.4,48.9,87.6,771.1,650.4,857.4,610.7,654.1,72.2,727.7,317.5,365.4,176.3,822.6,805.1,783.0,92.6,623.5,866.8,74.2,225.4,825.8,693.0,647.8,649.9,906.1,168.2,692.9,848.6,739.3,891.6,767.7,626.6,895.3,774.0,611.2,893.0,322.1,756.8,876.2,650.6,817.9,700.8,854.7,36.1,145.2,105.2,834.7,768.0,633.6,828.5,275.4,775.4,754.4,764.4,856.2,360.6,91.1,806.6,871.4,174.2,906.2,816.8,739.4,662.1,847.0,648.1,716.9,91.8,601.8,652.9,326.9,746.9,825.8,764.5,727.1,774.4,666.2,64.7,726.8,824.9
IF,272.5,353.0,327.0,341.7,372.7,75.9,291.4,311.9,400.4,446.2,320.1,207.1,94.3,329.1,1056.3,1518.2,936.6,281.4,254.3,320.6,305.9,213.0,407.1,501.2,239.6,1044.3,196.3,44.5,100.7,469.0,313.5,325.3,196.5,237.6,1180.9,193.1,195.5,248.4,1138.2,327.7,1036.0,415.1,205.2,268.4,1027.8,1063.5,486.7,386.0,312.2,909.7,0.0,138.8,383.2,345.4,348.2,155.3,321.6,278.4,450.5,368.5,419.1,280.2,963.2,459.6,290.8,427.5,395.9,273.7,322.3,253.3,349.0,165.8,958.7,962.3,323.5,242.8,223.0,352.4,395.8,982.0,238.8,1137.3,1191.2,1015.9,222.7,417.0,358.2,1002.4,424.7,333.3,940.1,1032.6,363.9,201.6,389.5,327.0,72.7,1042.6,426.6,383.5,316.5,72.2,156.5,360.3,274.3,198.4,397.6,109.3,1153.7,508.8,98.4,397.2,212.2,193.6,351.4,910.8,1043.5,1015.0,66.6,172.4,438.6,134.9,1107.0,254.1,186.6,243.9,314.6,1174.5,964.5,304.0,88.1,1020.1,401.4,211.2,191.6,473.7,127.0,334.6,255.2,913.9,335.5,386.6,1145.7,171.3,281.6,178.7,163.5,301.6,418.7,952.6,217.9,281.3
IM,179.3,208.6,281.6,296.3,316.5,95.4,246.0,218.7,365.0,330.6,268.9,113.9,67.8,235.9,986.0,1482.8,895.5,188.2,203.5,227.4,212.7,171.2,361.7,455.8,194.2,1008.9,162.1,111.4,68.7,423.6,268.1,232.1,123.3,144.4,1145.5,133.3,150.1,184.8,1102.8,234.5,977.2,299.5,163.6,175.2,992.4,1032.1,348.7,304.7,215.3,868.6,138.6,0.0,337.8,252.2,255.0,62.1,228.4,233.0,405.1,275.3,379.9,169.9,922.1,414.2,197.6,382.1,350.5,228.3,229.1,160.1,303.6,83.1,917.6,921.2,179.1,197.4,129.8,307.0,280.2,940.9,193.4,1101.9,1155.8,984.5,188.5,360.8,278.2,961.3,379.3,240.1,908.7,997.2,270.7,156.2,273.9,281.6,127.8,1011.2,381.2,327.3,202.7,91.7,111.1,314.9,181.1,153.0,352.2,59.7,1118.3,397.5,55.5,252.8,119.0,146.6,241.9,869.7,1012.1,973.9,96.5,117.9,393.2,23.7,1071.6,208.7,122.8,198.5,221.4,1144.0,930.5,210.8,80.3,988.7,308.2,177.0,146.2,412.1,11.7,289.2,202.2,882.5,290.1,341.2,1110.3,125.9,188.4,131.8,118.1,208.4,274.3,921.2,172.5,188.1
IP,418.8,206.5,190.5,210.7,403.4,379.9,142.2,316.7,89.6,251.2,267.8,329.9,383.3,408.8,725.1,1344.4,634.6,362.8,221.6,381.5,338.3,266.4,158.5,197.1,186.9,718.5,307.5,419.3,365.1,164.9,308.6,446.1,297.7,389.6,855.1,266.5,237.7,289.4,812.4,409.4,716.3,226.0,258.6,341.9,702.0,800.8,135.8,345.3,273.3,607.7,409.8,364.4,0.0,343.0,337.9,345.0,307.4,243.3,125.7,405.6,134.3,377.9,661.2,86.1,353.4,127.8,91.8,241.0,336.5,376.5,50.1,297.0,656.7,660.3,283.5,156.0,406.6,163.3,206.7,680.0,233.3,811.5,865.4,784.1,328.2,360.6,319.3,700.4,99.9,403.1,682.0,706.8,362.1,198.6,200.4,177.8,411.7,776.0,53.1,404.1,260.7,397.2,273.3,61.4,397.1,279.6,91.5,420.6,827.9,203.1,378.3,186.9,354.2,206.4,391.0,608.8,753.0,713.0,340.3,273.6,121.7,364.8,781.2,281.0,260.0,270.0,392.5,853.6,666.8,312.6,407.7,809.7,461.7,322.4,245.0,162.9,352.6,185.4,222.5,667.5,50.4,3.3,819.9,252.5,335.0,333.1,232.7,327.0,141.3,672.5,232.4,377.5
IU,122.7,182.9,196.0,177.4,81.8,307.5,249.7,117.2,349.0,291.9,139.7,168.9,246.0,74.8,984.5,1466.7,894.0,63.9,212.6,38.4,42.9,240.3,308.2,380.6,183.5,1008.7,296.2,323.5,280.8,393.3,180.5,112.1,203.4,138.4,1145.3,182.2,194.9,141.7,1102.6,87.1,975.7,225.8,232.5,104.6,992.2,1094.3,323.0,81.7,84.0,867.1,350.7,241.9,291.7,0.0,5.0,239.1,117.2,118.8,381.2,65.7,320.2,85.2,920.6,332.4,54.5,358.6,373.3,172.0,79.6,122.7,310.9,239.8,916.1,919.7,112.2,204.7,133.6,254.0,221.5,939.4,262.1,1101.7,1155.6,1039.6,324.5,126.1,25.9,959.8,359.3,80.8,950.7,997.0,52.3,224.5,235.2,264.7,337.3,1035.4,360.3,92.6,132.5,303.8,267.3,322.2,102.5,276.7,350.9,271.8,1118.1,371.8,267.6,227.1,173.8,216.5,58.7,868.2,1012.4,972.4,298.9,228.1,388.7,253.8,1071.4,281.4,187.5,271.2,49.4,1138.9,926.2,95.9,292.4,1060.6,98.6,322.1,218.9,397.5,253.7,256.7,211.4,905.1,297.4,288.5,1110.1,251.2,98.4,273.7,224.6,106.9,248.6,930.1,220.0,79.5
IX,127.8,177.8,190.9,172.3,76.7,312.6,244.6,118.1,343.9,286.8,134.6,174.0,251.1,79.9,979.4,1461.6,888.9,69.0,217.7,43.5,48.0,245.4,303.1,375.5,178.4,1003.6,301.3,328.6,285.9,388.2,175.4,117.2,208.5,143.5,1140.2,187.3,200.0,146.8,1097.5,92.2,970.6,220.7,237.6,109.7,987.1,1089.2,317.9,76.6,78.9,862.0,355.8,247.0,286.6,5.0,0.0,244.2,112.1,113.7,376.1,70.8,315.1,90.3,915.5,327.3,59.6,353.5,368.2,166.9,74.5,127.8,305.8,244.9,911.0,914.6,107.1,199.6,138.7,248.9,216.4,934.3,267.2,1096.6,1150.5,1034.5,329.6,121.0,20.8,954.7,354.2,85.9,945.6,991.9,47.2,229.6,230.1,259.6,342.4,1030.3,355.2,87.5,127.4,308.9,272.4,317.1,107.6,281.8,345.8,276.9,1113.0,366.7,272.7,222.0,178.9,221.6,63.8,863.1,1007.3,967.3,304.0,233.2,383.6,258.9,1066.3,286.5,192.6,276.3,54.5,1133.8,921.1,99.2,297.5,1055.5,103.7,327.2,224.0,392.4,258.8,251.6,216.5,900.0,292.3,283.4,1105.0,256.3,103.5,278.8,229.7,112.0,243.5,925.0,225.1,84.6
JA,133.3,161.5,299.5,210.1,270.5,122.1,263.9,146.0,366.4,283.5,136.3,99.3,59.4,189.9,1026.3,1484.2,872.6,142.2,213.6,181.4,166.7,179.4,286.8,359.2,212.1,987.3,179.7,124.9,96.1,371.9,177.1,186.1,113.5,98.4,1123.9,150.1,168.0,170.2,1081.2,188.5,1006.0,252.4,200.4,160.6,970.8,1033.5,301.6,242.0,168.2,845.7,152.1,57.2,270.3,206.2,209.0,0.0,160.0,158.2,359.8,229.3,298.8,141.0,899.2,311.0,151.6,424.3,368.4,168.6,183.1,114.1,321.5,106.6,894.7,898.3,132.0,215.3,83.8,232.6,233.1,918.0,215.0,1080.3,1134.2,985.9,206.1,314.8,214.2,938.4,397.2,194.1,910.1,975.6,224.7,174.1,226.8,222.9,165.2,1012.6,338.9,281.3,172.5,119.1,129.0,332.8,123.2,188.4,370.1,87.1,1096.7,350.4,82.9,205.7,73.0,166.1,212.2,846.8,1013.5,951.0,161.0,138.2,406.1,40.9,1050.0,221.3,155.4,210.3,175.4,1117.5,934.5,164.8,83.8,990.1,262.2,194.6,186.8,376.1,69.0,214.9,212.4,883.9,308.0,267.1,1088.7,161.3,142.4,133.2,136.0,143.7,227.2,922.6,190.4,142.1
JE,180.5,86.9,146.8,126.3,96.8,239.9,186.4,9.2,251.8,174.6,43.7,151.3,177.2,114.7,887.3,1410.5,796.8,121.7,142.9,119.7,97.2,180.8,211.0,284.6,127.3,912.7,236.7,242.7,262.3,297.3,84.5,209.1,153.8,114.9,1049.3,122.7,125.2,72.0,1006.6,172.4,878.5,143.5,173.0,69.8,896.2,998.3,227.0,110.1,36.3,769.9,269.9,223.4,194.5,106.0,100.9,138.9,0.0,62.6,285.2,167.6,223.0,143.0,823.4,236.4,112.3,340.6,277.3,76.0,76.0,99.2,222.9,194.8,818.9,822.5,16.2,148.5,187.4,156.8,104.2,842.2,192.4,1005.7,1059.6,943.6,265.0,141.1,82.3,862.6,262.1,166.1,844.2,901.0,125.1,154.8,117.9,148.1,283.0,938.2,264.3,107.6,15.3,238.8,207.8,234.2,160.3,217.2,253.7,253.3,1022.1,275.8,249.1,131.1,171.5,146.8,143.6,771.0,915.2,875.2,271.3,173.1,291.5,158.7,975.4,221.9,128.0,211.7,155.5,1042.9,829.0,51.7,201.6,964.6,200.5,267.3,159.4,301.5,235.2,140.1,141.7,829.7,209.4,191.3,1014.1,196.2,70.9,222.9,163.7,19.5,152.6,832.9,150.3,96.1
JF,182.0,45.0,77.1,58.5,94.2,224.4,130.8,61.8,258.2,198.5,46.2,108.3,161.7,152.1,849.8,1347.8,759.3,123.2,52.6,141.9,98.7,164.4,173.5,242.7,64.6,870.8,212.2,227.2,204.1,312.0,87.0,206.5,106.8,139.4,1007.4,106.3,121.0,67.8,964.7,169.8,841.0,167.4,156.6,122.4,854.3,955.2,185.1,107.5,33.7,732.4,254.4,168.6,157.0,103.4,98.3,123.4,52.5,0.0,293.5,166.0,185.5,144.5,785.9,194.5,113.8,239.7,238.9,78.5,73.4,123.7,192.0,139.1,781.4,785.0,68.8,85.8,192.9,141.3,148.1,804.7,109.0,963.8,1017.7,907.6,230.3,138.5,79.7,825.1,267.7,163.5,831.8,859.1,122.5,94.3,141.8,102.9,267.5,934.3,210.2,105.0,38.0,223.3,184.2,203.3,161.8,181.7,240.6,207.7,980.2,233.9,190.9,89.2,132.6,142.6,141.0,733.5,877.7,837.7,232.6,131.5,281.6,143.2,933.5,153.2,111.6,142.2,152.9,1001.0,822.8,73.0,186.1,911.8,198.9,227.1,143.0,259.6,180.4,94.9,53.5,786.2,178.5,153.8,972.2,154.6,95.4,207.4,148.7,72.1,110.7,844.3,80.7,114.4
JG,386.5,174.2,218.6,198.1,371.1,413.7,187.2,265.2,124.5,223.4,235.5,297.6,351.0,347.6,760.0,1283.5,669.5,330.5,263.7,349.2,306.0,311.4,126.2,131.1,231.9,672.6,352.5,416.5,393.4,98.9,276.3,413.8,296.1,327.6,809.2,295.6,282.7,257.1,766.5,377.1,751.2,218.9,303.6,287.9,656.1,758.2,99.2,314.8,241.0,642.6,443.7,357.9,130.5,310.7,305.6,312.7,259.8,211.0,0.0,373.3,110.2,351.5,696.1,71.8,321.1,108.2,51.1,267.8,323.5,322.5,98.0,328.4,691.6,695.2,251.2,201.0,361.4,148.9,176.1,714.9,278.3,765.6,819.5,703.5,373.2,328.3,287.0,735.3,26.2,370.8,716.9,660.9,329.8,243.6,200.8,187.3,456.7,765.3,79.7,371.8,245.3,412.6,318.3,86.7,364.8,324.6,66.7,397.0,782.0,138.7,380.2,154.6,321.9,251.4,348.3,643.7,731.1,747.9,385.3,320.8,73.2,332.5,735.3,326.0,300.9,315.0,360.2,802.8,701.7,280.3,375.4,724.5,429.4,367.4,290.0,59.7,369.7,179.3,264.6,702.4,114.5,133.9,774.0,297.5,302.7,378.1,277.7,275.5,109.0,705.6,277.4,364.5
JJ,163.9,234.4,260.6,242.0,94.0,348.7,355.5,161.1,399.7,345.5,206.3,210.1,287.2,118.7,1035.2,1522.2,944.7,107.8,256.5,82.3,86.8,297.0,358.9,386.8,248.1,1060.2,339.8,364.7,322.0,444.8,247.1,46.3,226.6,174.4,1196.8,238.9,238.8,185.6,1154.1,72.4,1026.4,278.3,289.2,161.3,1043.7,1145.8,374.5,123.5,148.6,917.8,391.9,283.1,342.4,66.5,71.6,280.3,170.8,183.4,445.3,0.0,416.9,120.2,971.3,396.5,98.4,423.2,437.4,238.6,132.1,156.0,370.8,281.0,966.8,970.4,178.8,309.6,174.8,304.7,275.1,990.1,306.0,1153.2,1207.1,1091.1,350.1,138.3,92.5,1010.5,410.0,78.0,992.1,1048.5,44.2,268.4,288.8,317.2,378.5,1086.1,424.4,104.8,162.4,345.0,304.0,382.1,143.7,301.5,401.6,313.0,1169.6,378.0,308.8,278.6,215.0,258.8,72.2,918.9,1063.1,1023.1,340.1,251.3,439.4,295.0,1122.9,338.1,244.2,327.9,98.3,1195.3,976.9,139.8,333.6,1112.1,56.1,363.3,275.6,435.7,294.9,309.2,255.2,969.7,360.5,339.2,1161.6,274.4,142.3,314.9,284.6,150.8,300.1,980.8,263.9,123.4
JM,350.0,137.7,182.1,161.6,334.6,377.2,189.1,228.7,182.6,186.9,199.0,265.6,314.5,311.1,818.1,1354.0,727.6,294.0,227.2,312.7,269.5,320.8,24.2,166.0,239.2,743.1,365.0,380.0,356.9,133.8,239.8,377.3,259.6,291.1,879.7,259.1,273.8,220.6,837.0,340.6,809.3,182.4,313.2,251.4,726.6,825.4,75.6,276.5,204.5,700.7,407.2,321.4,125.3,274.2,269.1,276.2,223.3,174.5,113.9,336.8,0.0,309.1,754.2,65.1,284.6,222.2,106.0,231.3,287.0,286.0,152.9,291.9,749.7,753.3,214.7,255.9,324.9,112.4,139.6,773.0,314.2,836.1,890.0,774.0,383.1,291.8,250.5,793.4,140.2,334.3,775.0,731.4,293.3,298.5,164.3,150.8,420.3,835.8,93.0,335.3,191.9,376.1,337.0,141.6,328.3,334.5,169.1,360.5,852.5,173.6,343.7,118.1,285.4,293.8,322.2,701.8,846.0,806.0,385.4,284.3,187.2,296.0,805.8,358.3,264.4,347.4,323.7,878.2,762.6,243.8,338.9,795.0,392.9,379.9,295.8,130.2,333.2,142.8,228.1,760.5,143.4,122.1,844.5,307.4,266.2,360.2,301.5,239.0,72.5,765.5,298.9,328.0
JN,40.4,195.0,230.2,208.4,146.5,225.2,315.9,131.8,361.1,307.5,163.0,106.3,163.7,89.4,996.6,1497.7,906.1,15.0,224.9,54.2,42.7,226.3,320.3,392.7,217.7,1024.0,226.4,241.2,201.7,408.6,200.6,58.9,137.6,72.1,1160.6,161.4,209.5,156.3,1114.7,64.5,987.8,249.1,218.7,83.8,1004.3,1091.7,338.3,131.5,115.0,879.2,268.4,162.8,307.0,82.2,81.8,160.0,137.3,153.0,393.3,105.3,364.9,0.0,932.7,344.5,24.4,392.8,385.4,192.1,99.7,67.0,376.7,160.7,928.2,931.8,135.5,267.3,51.3,266.1,244.8,954.7,258.3,1113.8,1170.9,1044.1,251.3,187.6,105.0,971.9,371.4,66.9,968.3,1009.1,97.5,226.1,258.5,288.0,258.2,1074.0,372.4,154.1,128.8,224.7,187.2,384.8,20.2,212.5,359.1,192.7,1130.2,387.1,185.3,242.4,91.5,216.5,68.7,880.3,1024.5,984.5,216.6,162.3,400.8,171.5,1083.5,260.6,169.9,250.4,48.2,1155.9,992.7,113.7,210.1,1048.3,135.0,243.0,201.3,386.9,171.4,280.0,226.8,936.1,363.2,300.6,1122.2,185.4,88.1,194.6,194.2,124.7,260.7,978.8,232.3,64.5
