from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DG,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,ED,EG,EI,EJ,EL,EP,EV,EW,EX,EZ,FF,FI,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IR,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MF,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OB,OC,OF,OI,OP,OR,OT,PB,PF,PH,PJ,PM,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,RZ,SE,SU,SW,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XY,XZ,YB,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
GO,132.7,29.2,510.0,923.0,1043.3,236.6,814.0,456.9,312.6,355.7,333.5,533.4,366.0,293.9,43.9,334.4,529.6,333.3,273.7,490.0,552.5,807.7,263.1,102.7,462.8,1021.7,475.6,423.8,805.6,401.5,135.5,711.3,1069.9,506.2,496.3,661.0,690.0,334.3,568.0,391.5,621.1,571.6,241.1,0.0,603.7,269.0,340.7,699.3,308.1,944.3,1050.0,450.9,890.9,366.4,405.2,630.9,393.2,670.4,673.2,264.6,378.5,676.8,367.4,283.8,218.5,758.4,376.8,389.2,291.3,398.7,804.4,424.6,905.9,846.4,495.4,589.7,363.3,626.3,478.4,252.9,73.8,895.0,354.5,279.7,691.5,389.3,807.6,653.8,730.2,344.2,584.1,394.6,645.7,828.2,397.7,641.9,790.9,337.4,391.0,242.8,365.1,390.2,781.3,278.4,612.1,173.0,1963.5,1012.8,414.4,872.9,406.7,416.9,305.2,402.5,461.7,252.2,930.7,719.6,253.1,368.3,391.2,780.7,353.3,460.5,438.2,430.1,115.4,295.0,484.1,812.3,780.3,84.7,918.0,78.2,694.4,360.1,349.3,590.8,119.5,428.0,748.2,499.9,351.1,871.2,212.4,212.0,825.0,328.9,546.7,465.8
GY,515.9,609.4,302.9,414.7,533.4,662.6,305.7,249.8,430.6,473.7,758.9,219.4,484.0,719.3,594.7,404.2,523.2,758.7,699.1,282.9,220.5,235.6,364.7,545.9,554.6,511.8,567.4,541.8,297.3,519.5,555.6,122.8,542.0,174.2,289.2,88.9,539.9,452.3,482.2,509.5,17.3,107.7,666.5,641.4,0.0,387.0,458.7,164.6,733.5,436.0,541.7,542.7,407.0,484.4,523.2,506.3,511.2,66.6,69.4,690.0,496.5,73.0,485.4,401.8,643.9,186.3,494.8,507.2,409.3,335.9,232.3,542.6,397.6,338.1,288.3,73.0,481.3,526.1,570.2,422.3,607.4,386.7,277.8,449.1,119.4,481.1,344.6,553.6,158.1,288.3,120.2,512.6,54.0,299.9,515.7,541.7,218.8,455.4,509.0,346.4,483.1,508.2,209.2,447.8,148.2,598.4,1606.9,504.5,532.4,389.0,524.7,534.9,730.6,520.5,579.7,353.3,446.8,147.5,678.5,486.3,509.2,329.9,441.2,253.4,530.0,521.9,599.8,464.4,602.1,284.0,251.4,563.9,434.1,580.5,122.3,383.8,322.3,490.6,603.9,546.0,176.1,292.8,469.1,362.9,435.1,637.4,252.9,498.3,232.7,557.6
HH,137.3,230.8,269.4,682.4,802.7,283.4,573.4,216.3,43.5,86.6,380.3,290.7,96.9,336.3,216.1,93.8,260.5,380.6,320.5,249.4,311.9,567.1,22.5,167.3,193.7,781.1,206.5,154.7,565.0,132.4,177.0,470.7,829.3,265.6,255.7,420.4,420.9,65.2,298.9,122.4,380.5,331.0,287.9,262.8,363.1,0.0,71.6,458.7,354.9,703.7,809.4,181.8,650.3,97.3,136.1,361.8,124.1,429.8,432.6,311.4,109.4,436.2,98.3,14.7,265.3,521.5,107.7,120.1,22.2,158.1,564.8,155.5,665.3,605.8,254.8,349.1,94.2,357.2,207.1,43.7,228.8,654.4,113.9,70.5,450.9,120.2,567.0,384.7,489.6,103.6,409.4,125.5,394.5,587.6,128.6,372.8,550.3,74.2,121.9,121.9,96.0,121.1,540.7,69.2,371.5,219.8,1722.9,772.2,152.7,632.3,137.6,147.8,352.0,133.4,192.6,128.8,690.1,479.0,299.9,99.2,122.1,540.1,88.7,219.9,169.1,161.0,218.4,85.8,215.0,571.7,539.7,185.3,677.4,201.9,453.8,119.5,108.7,321.7,225.3,158.9,507.6,259.3,82.0,630.6,56.5,258.8,584.4,114.5,306.1,196.7
HJ,200.2,293.7,332.3,745.3,865.6,346.3,636.3,279.2,18.1,81.0,443.2,355.7,148.7,403.6,279.0,156.7,312.3,443.0,383.4,312.3,374.8,630.0,85.4,230.2,245.5,844.0,258.3,206.5,627.9,98.5,239.9,533.6,892.2,328.5,318.6,483.3,472.7,58.5,350.7,174.2,443.4,393.9,350.8,325.7,426.0,62.8,0.0,521.6,417.8,766.6,872.3,233.6,713.2,63.4,84.2,413.6,71.1,492.7,495.5,374.3,57.5,499.1,127.6,47.6,328.2,580.7,159.5,171.9,74.0,221.0,626.7,174.8,728.2,668.7,317.7,412.0,42.3,409.0,261.1,106.6,291.7,717.3,176.8,133.4,513.8,172.0,629.9,436.5,552.5,166.5,406.4,115.5,468.0,650.5,76.7,424.6,613.2,120.1,173.7,184.8,147.8,172.9,603.6,132.1,434.4,282.7,1785.8,835.1,197.1,695.2,103.4,199.6,414.9,61.7,211.9,191.7,753.0,541.9,362.8,151.0,70.2,603.0,136.0,282.8,220.9,212.8,284.1,148.7,266.8,634.6,602.6,248.2,740.3,264.8,516.7,182.4,171.6,373.5,288.2,210.7,570.5,322.2,41.7,693.5,119.4,321.7,647.3,182.6,369.0,248.5
HO,578.7,672.2,365.7,534.9,653.6,724.8,425.9,312.6,493.4,536.5,821.7,282.2,546.8,782.1,657.5,467.0,586.0,821.5,761.9,345.7,283.3,355.8,427.5,608.7,617.4,632.0,630.2,604.6,417.5,582.3,618.4,259.4,662.2,237.0,352.0,209.1,602.7,515.1,545.0,572.3,169.2,170.5,729.3,704.2,151.8,449.8,521.5,0.0,796.3,556.2,661.9,605.5,527.2,547.2,586.0,569.1,574.0,218.5,221.3,752.8,559.3,224.9,548.2,464.6,706.7,306.5,557.6,570.0,472.1,398.7,352.5,605.4,517.8,458.3,351.1,151.5,544.1,588.9,633.0,485.1,670.2,506.9,340.6,511.9,239.6,543.9,464.8,616.4,278.3,351.1,183.0,575.4,207.5,420.1,578.5,604.5,339.0,518.2,571.8,409.2,545.9,571.0,329.4,510.6,211.0,661.2,1610.1,624.7,595.2,509.2,587.5,597.7,793.4,583.3,642.5,416.1,567.0,267.7,741.3,549.1,572.0,450.1,504.0,316.2,592.8,584.7,662.6,527.2,664.9,404.2,371.6,626.7,554.3,643.3,242.5,446.6,385.1,553.4,666.7,608.8,296.3,355.6,531.9,483.1,497.9,700.2,373.1,561.1,295.5,620.4
HX,250.3,294.3,581.4,994.4,1114.7,104.5,885.4,528.3,384.0,427.1,165.1,602.7,437.4,121.1,279.6,405.8,601.0,164.9,105.3,561.4,623.9,879.1,334.5,258.3,534.2,1093.1,547.0,495.2,877.0,472.9,290.0,782.7,1141.3,577.6,567.7,732.4,761.4,405.7,639.4,462.9,692.5,643.0,100.6,326.3,675.1,340.4,412.1,770.7,0.0,1015.7,1121.4,522.3,962.3,437.8,476.6,702.3,464.6,741.8,744.6,134.8,449.9,748.2,438.8,355.2,98.3,833.5,448.2,460.6,362.7,470.1,876.8,496.0,977.3,917.8,566.8,661.1,434.7,697.7,547.6,324.3,317.7,966.4,425.9,351.1,762.9,460.7,879.0,725.2,801.6,415.6,655.5,466.0,706.5,899.6,469.1,713.3,862.3,408.8,462.4,224.3,436.5,461.6,852.7,349.8,683.5,130.5,2034.9,1084.2,485.8,944.3,478.1,488.3,172.6,473.9,533.1,233.7,1002.1,791.0,88.6,439.7,462.6,852.1,429.2,531.9,508.4,501.5,263.0,366.4,555.5,883.7,851.7,240.3,989.4,290.8,765.8,431.5,420.7,662.2,269.9,499.4,819.6,571.3,422.5,942.6,283.8,81.5,896.4,395.1,618.1,537.2
HY,797.2,890.7,584.2,73.1,248.4,943.9,207.5,531.1,711.9,755.0,1040.2,500.7,765.3,1000.6,876.0,685.5,804.5,1040.0,980.4,564.2,501.8,359.4,646.0,827.2,835.9,226.8,848.7,823.1,199.1,800.8,836.9,458.2,275.0,455.5,570.5,372.8,821.2,733.6,763.5,790.8,456.5,389.0,947.8,922.7,439.1,668.3,740.0,534.7,1014.8,0.0,255.1,824.0,114.8,765.7,804.5,787.6,792.5,475.5,401.1,971.3,777.8,469.1,766.7,683.1,925.2,310.1,776.1,788.5,690.6,617.2,397.0,823.9,48.3,117.8,569.6,425.1,762.6,807.4,851.5,703.6,888.7,59.2,559.1,730.4,400.6,762.4,224.2,834.9,308.5,569.6,401.5,793.9,481.1,230.2,797.0,823.0,342.6,736.7,790.3,625.2,764.4,789.5,333.0,729.1,429.5,879.7,1391.1,68.4,813.7,94.3,806.0,816.2,1011.9,801.8,861.0,634.6,36.5,360.6,959.8,767.6,790.5,211.1,722.5,534.7,811.3,803.2,881.1,745.7,883.4,214.3,200.3,845.2,49.2,861.8,423.8,665.1,603.6,771.9,885.2,827.3,379.3,574.1,750.4,83.0,716.4,918.7,376.7,779.6,514.0,838.9
IB,988.8,1082.3,775.8,230.0,111.1,1134.9,290.4,722.7,903.5,946.6,1231.8,690.2,956.9,1192.2,1067.6,877.1,922.5,1232.1,1172.0,755.8,693.4,442.3,837.6,1018.8,1027.5,89.5,1040.3,1014.7,282.0,992.4,1028.5,541.1,137.7,706.5,762.1,455.7,939.2,925.2,881.5,982.4,576.0,580.6,1139.4,1114.3,558.6,859.9,931.6,671.6,1206.4,262.3,0.0,1015.6,285.9,957.3,996.1,905.6,984.1,558.4,592.7,1162.9,969.4,552.0,958.3,874.7,1116.8,393.0,967.7,985.3,882.2,808.8,480.9,1015.5,250.3,200.7,761.2,595.7,954.2,925.4,1040.9,895.2,1080.3,239.4,750.7,922.0,483.5,954.0,307.1,952.9,391.4,761.2,593.1,985.5,616.8,313.1,988.6,941.0,425.5,928.3,981.9,816.8,956.0,981.1,415.9,920.7,621.1,1065.1,1380.1,330.8,1012.7,266.5,997.6,1007.8,1200.7,993.4,1052.6,826.2,298.9,443.5,1151.4,959.2,982.1,294.0,922.5,726.3,1001.7,994.8,1072.7,937.3,1075.0,297.2,283.2,1036.8,295.2,1053.4,506.7,856.7,795.2,889.9,1076.8,1018.9,462.2,765.7,942.0,215.6,908.0,1110.3,459.6,971.2,705.6,1030.5
ID,336.1,429.6,447.7,860.7,981.0,482.2,751.7,394.6,211.2,254.3,579.1,471.1,182.5,539.5,414.9,272.1,220.9,578.9,519.3,427.7,490.2,745.4,196.2,366.1,79.1,959.4,24.6,191.1,743.3,300.1,375.8,649.0,1066.1,443.9,434.0,598.7,381.3,232.9,259.3,173.2,558.8,509.3,486.7,461.6,541.4,198.7,239.3,637.0,553.7,882.0,987.7,0.0,828.6,265.0,303.8,322.2,291.8,608.1,610.9,510.2,277.1,614.5,266.0,182.4,464.1,696.1,193.3,196.8,165.5,336.4,742.1,323.2,843.6,784.1,433.1,527.4,261.9,317.6,94.7,242.5,427.6,832.7,292.2,269.3,629.2,64.7,745.3,345.1,667.9,281.9,521.8,293.2,583.4,765.9,296.3,333.2,728.6,153.9,149.4,67.0,146.8,171.9,719.0,268.0,549.8,418.6,1901.2,950.5,196.1,810.6,305.3,214.1,550.8,301.1,360.3,60.1,868.4,657.3,498.7,184.8,289.8,718.4,99.4,398.2,54.5,46.4,420.0,284.6,300.6,750.0,718.0,384.1,855.7,400.7,632.1,297.8,287.0,282.1,424.1,196.6,685.9,437.6,249.7,808.9,255.3,457.6,762.7,318.5,484.4,14.8
IG,850.6,944.1,637.6,133.3,253.6,995.4,151.9,584.5,765.7,808.4,1092.3,550.7,818.7,1054.0,929.4,738.9,850.9,1092.1,1032.5,617.6,555.2,303.4,699.4,880.6,889.3,232.0,902.1,876.5,143.1,854.2,890.3,402.2,280.2,508.9,623.9,315.5,866.3,787.0,808.6,844.2,437.1,442.8,1001.2,976.1,419.7,720.4,793.4,532.7,1066.9,137.8,259.0,877.4,0.0,817.8,857.9,834.0,845.9,419.5,454.5,1024.7,831.2,413.1,820.1,736.5,977.3,254.1,829.5,841.9,744.0,670.6,340.7,877.3,116.2,56.7,623.0,456.8,816.0,853.8,901.4,757.0,942.1,105.3,612.9,783.8,344.6,815.8,168.2,881.3,251.2,623.4,520.8,847.3,488.5,174.2,850.4,869.8,285.3,790.1,842.4,677.3,817.8,842.9,277.0,782.5,482.9,933.1,1488.1,164.1,867.1,33.4,859.4,869.6,1065.3,855.2,914.4,688.0,91.2,304.6,1013.2,821.4,843.9,155.1,783.0,588.1,864.7,856.6,934.5,799.5,936.8,158.3,144.3,897.3,78.5,915.2,367.8,718.5,657.0,818.3,937.3,880.7,322.0,627.5,802.5,81.5,769.8,972.1,320.7,833.0,567.4,892.3
IJ,250.7,344.2,382.8,795.8,916.1,396.8,686.8,329.7,68.6,136.4,493.7,404.1,199.2,449.7,329.5,207.2,362.8,493.5,433.9,362.8,425.3,680.5,135.9,280.7,296.0,894.5,308.8,257.0,678.4,58.7,290.4,584.1,942.7,379.0,369.1,533.8,523.2,115.0,401.2,224.7,493.9,444.4,401.3,376.2,476.5,113.3,68.2,572.1,468.3,817.1,922.8,284.1,763.7,0.0,152.7,464.1,139.4,543.2,546.0,424.8,126.0,549.6,168.1,98.1,378.7,634.9,210.0,227.6,124.5,271.5,678.2,225.3,778.7,719.2,368.2,462.5,110.8,459.5,309.4,157.1,342.2,767.8,227.3,183.9,564.3,222.5,680.4,487.0,603.0,217.0,456.9,184.0,507.9,701.0,145.2,475.1,663.7,176.5,224.2,232.8,198.3,223.4,654.1,182.6,484.9,333.2,1836.3,885.6,255.0,745.7,171.9,250.1,465.4,130.0,262.4,242.2,803.5,592.4,413.3,201.5,138.7,653.5,191.0,333.3,270.2,263.3,331.8,199.2,317.3,685.1,653.1,298.7,790.8,315.3,567.2,232.9,222.1,424.0,338.7,261.2,621.0,372.7,110.0,744.0,169.9,372.2,697.8,233.1,419.5,299.0
IQ,273.6,367.1,405.7,818.7,939.0,419.7,709.7,352.6,91.5,154.2,516.6,429.1,222.1,477.0,352.4,230.1,385.7,516.4,456.8,385.7,448.2,703.4,158.8,303.6,318.9,917.4,331.7,279.9,701.3,151.9,313.3,607.0,965.6,401.9,392.0,556.7,546.1,131.7,424.1,247.6,516.8,467.3,424.2,399.1,499.4,136.2,73.1,595.0,491.2,840.0,945.7,307.0,786.6,116.8,0.0,487.0,144.3,566.1,568.9,447.7,49.6,572.5,119.7,121.0,401.6,654.1,232.9,245.3,147.4,294.4,700.1,190.9,801.6,742.1,391.1,485.4,54.5,482.4,334.5,180.0,365.1,790.7,250.2,206.8,587.2,245.4,703.3,509.9,625.9,239.9,479.8,107.6,541.4,723.9,13.3,498.0,686.6,193.5,247.1,258.2,221.2,246.3,677.0,205.5,507.8,356.1,1859.2,908.5,270.5,768.6,95.5,273.0,488.3,134.9,228.0,265.1,826.4,615.3,436.2,224.4,62.3,676.4,209.4,356.2,294.3,286.2,357.5,222.1,340.2,708.0,676.0,321.6,813.7,338.2,590.1,255.8,245.0,446.9,361.6,284.1,643.9,395.6,114.9,766.9,192.8,395.1,720.7,256.0,442.4,321.9
IR,532.7,626.2,369.8,689.6,735.2,678.8,580.6,316.7,407.8,450.9,775.7,318.0,379.1,736.1,611.5,468.7,177.0,775.5,715.9,349.8,337.1,574.3,392.8,562.7,370.7,713.6,383.5,309.6,572.2,496.7,572.4,477.9,743.8,290.8,356.1,427.6,59.0,429.5,136.0,295.3,387.7,338.2,683.3,658.2,370.3,395.3,435.9,465.9,750.3,710.9,799.6,358.8,657.5,461.6,500.4,0.0,488.4,437.0,439.8,706.8,473.7,443.4,462.6,379.0,660.7,525.0,379.5,353.5,362.1,402.8,571.0,519.8,672.5,613.0,355.2,356.3,458.5,58.5,386.3,439.1,624.2,661.6,344.7,465.9,486.8,297.2,574.2,86.0,496.8,355.2,350.7,489.8,412.3,643.4,492.9,74.1,557.5,350.5,267.9,410.8,303.4,328.6,547.9,464.6,378.7,615.2,1730.1,779.4,318.2,639.5,501.9,336.2,747.4,497.7,556.9,419.0,697.3,486.2,695.3,381.4,486.4,547.3,296.0,320.3,346.1,338.0,616.6,481.2,432.9,627.5,546.9,580.7,684.6,597.3,489.7,450.7,389.2,93.8,620.7,315.1,543.5,359.7,446.3,637.8,451.9,654.2,591.6,515.1,331.3,373.7
IW,255.3,348.8,387.4,800.4,920.7,401.4,691.4,334.3,102.5,81.3,498.3,410.8,203.8,458.7,334.1,211.8,367.4,498.1,438.5,367.4,429.9,685.1,140.5,285.3,300.6,899.1,313.4,261.6,683.0,182.9,295.0,588.7,947.3,383.6,373.7,538.4,527.8,58.8,405.8,229.3,498.5,449.0,405.9,380.8,481.1,117.9,84.3,576.7,472.9,821.7,927.4,288.7,768.3,147.8,168.6,468.7,0.0,547.8,550.6,429.4,141.9,554.2,154.7,102.7,383.3,635.8,214.6,227.0,129.1,276.1,681.8,211.9,783.3,723.8,372.8,467.1,126.7,464.1,316.2,161.7,346.8,772.4,231.9,188.5,568.9,227.1,685.0,491.6,607.6,221.6,461.5,181.9,523.1,705.6,161.1,479.7,668.3,175.2,228.8,237.4,202.9,228.0,658.7,187.2,489.5,337.8,1840.9,890.2,252.2,750.3,187.8,254.7,470.0,104.8,249.0,246.8,808.1,597.0,417.9,206.1,154.6,658.1,191.1,337.9,276.0,267.9,339.2,203.8,321.9,689.7,657.7,303.3,795.4,319.9,571.8,237.5,226.7,428.6,343.3,265.8,625.6,377.3,42.0,748.6,174.5,376.8,702.4,237.7,424.1,303.6
JE,567.3,660.8,354.3,421.4,541.7,713.4,312.4,301.2,482.0,525.1,810.3,270.8,535.4,770.7,646.1,455.6,574.6,810.1,750.5,334.3,271.9,242.3,416.1,597.3,606.0,520.1,618.8,593.2,304.0,570.9,607.0,56.1,568.3,225.6,340.6,95.6,591.3,503.7,533.6,560.9,37.8,184.7,717.9,692.8,51.3,438.4,510.1,216.0,784.9,442.7,548.4,594.1,413.7,535.8,574.6,557.7,562.6,0.0,35.4,741.4,547.9,6.4,536.8,453.2,695.3,193.0,546.2,558.6,460.7,387.3,239.0,594.0,404.3,344.8,339.7,122.1,532.7,577.5,621.6,473.7,658.8,393.4,329.2,500.5,152.4,532.5,351.3,605.0,164.8,339.7,171.6,564.0,81.3,306.6,567.1,593.1,225.5,506.8,560.4,395.3,534.5,559.6,215.9,499.2,199.6,649.8,1658.3,511.2,583.8,395.7,576.1,586.3,782.0,571.9,631.1,404.7,453.5,154.2,729.9,537.7,560.6,336.6,492.6,304.8,581.4,573.3,651.2,515.8,653.5,290.7,258.1,615.3,440.8,631.9,173.7,435.2,373.7,542.0,655.3,597.4,191.4,344.2,520.5,369.6,486.5,688.8,259.6,549.7,284.1,609.0
JF,567.8,661.3,354.8,445.8,566.1,713.9,336.8,301.7,482.5,525.6,810.8,271.3,535.9,771.2,646.6,456.1,575.1,810.6,751.0,334.8,272.4,266.7,416.6,597.8,606.5,544.5,619.3,593.7,328.4,571.4,607.5,80.5,605.1,226.1,341.1,120.0,591.8,504.2,534.1,561.4,49.5,185.2,718.4,693.3,63.0,438.9,510.6,227.7,785.4,467.1,572.8,594.6,438.1,536.3,575.1,558.2,563.1,24.3,0.0,741.9,548.4,30.7,537.3,453.7,695.8,217.4,546.7,559.1,461.2,387.8,263.4,594.5,428.7,369.2,340.2,133.8,533.2,578.0,622.1,474.2,659.3,417.8,329.7,501.0,182.5,533.0,375.7,605.5,189.2,340.2,172.1,564.5,93.0,331.0,567.6,593.6,249.9,507.3,560.9,395.8,535.0,560.1,240.3,499.7,200.1,650.3,1670.0,535.6,584.3,420.1,576.6,586.8,782.5,572.4,631.6,405.2,477.9,178.6,730.4,538.2,561.1,361.0,493.1,305.3,581.9,573.8,651.7,516.3,654.0,315.1,282.5,615.8,465.2,632.4,185.4,435.7,374.2,542.5,655.8,597.9,215.8,344.7,521.0,394.0,487.0,689.3,284.0,550.2,284.6,609.5
JH,191.3,235.3,522.4,935.4,1055.7,29.6,826.4,469.3,325.0,368.1,161.1,545.8,378.4,121.5,220.6,346.8,542.0,160.9,101.3,502.4,564.9,820.1,275.5,199.3,475.2,1034.1,488.0,436.2,818.0,413.9,231.0,723.7,1082.3,518.6,508.7,673.4,702.4,346.7,580.4,403.9,633.5,584.0,34.1,267.3,616.1,281.4,353.1,711.7,148.9,956.7,1062.4,463.3,903.3,378.8,417.6,643.3,405.6,682.8,685.6,0.0,390.9,689.2,379.8,296.2,36.0,770.8,389.2,401.6,303.7,411.1,816.8,437.0,918.3,858.8,507.8,602.1,375.7,638.7,490.8,265.3,258.7,907.4,366.9,292.1,703.9,401.7,820.0,666.2,742.6,356.6,596.5,407.0,658.1,840.6,410.1,654.3,803.3,349.8,403.4,89.4,377.5,402.6,793.7,290.8,624.5,71.5,1975.9,1025.2,426.8,885.3,419.1,429.3,40.5,414.9,474.1,98.8,943.1,732.0,46.1,380.7,403.6,793.1,365.7,472.9,450.6,442.5,206.8,307.4,496.5,824.7,792.7,181.3,930.4,231.8,706.8,372.5,361.7,603.2,210.9,440.4,760.6,512.3,363.5,883.6,224.8,52.8,837.4,341.3,559.1,478.2
JJ,271.6,365.1,403.7,816.7,937.0,417.7,707.7,350.6,89.5,152.2,514.6,427.1,220.1,475.0,350.4,228.1,383.7,514.4,454.8,383.7,446.2,701.4,156.8,301.6,316.9,915.4,329.7,277.9,699.3,149.9,311.3,605.0,963.6,399.9,390.0,554.7,544.1,129.7,422.1,245.6,514.8,465.3,422.2,397.1,497.4,134.2,71.1,593.0,489.2,838.0,943.7,305.0,784.6,114.8,73.5,485.0,142.3,564.1,566.9,445.7,0.0,570.5,70.0,119.0,399.6,652.1,230.9,243.3,145.4,292.4,698.1,141.2,799.6,740.1,389.1,483.4,63.4,480.4,332.5,178.0,363.1,788.7,248.2,204.8,585.2,243.4,701.3,507.9,623.9,237.9,477.8,57.9,539.4,721.9,86.8,496.0,684.6,191.5,245.1,256.2,219.2,244.3,675.0,203.5,505.8,354.1,1857.2,906.5,268.5,766.6,45.8,271.0,486.3,132.9,178.3,263.1,824.4,613.3,434.2,222.4,12.6,674.4,207.4,354.2,292.3,284.2,355.5,220.1,338.2,706.0,674.0,319.6,811.7,336.2,588.1,253.8,243.0,444.9,359.6,282.1,641.9,393.6,112.9,764.9,190.8,393.1,718.7,254.0,440.4,319.9
JM,573.7,667.2,360.7,415.0,535.3,720.4,306.0,307.6,488.4,531.5,816.7,277.2,541.8,777.1,652.5,462.0,581.0,816.5,756.9,340.7,278.3,235.9,422.5,603.7,612.4,513.7,625.2,599.6,297.6,577.3,613.4,49.7,561.9,232.0,347.0,89.2,597.7,510.1,540.0,567.3,44.2,165.5,724.3,699.2,57.7,444.8,516.5,222.4,791.3,436.3,542.0,600.5,407.3,542.2,581.0,564.1,569.0,6.4,41.8,747.8,554.3,0.0,543.2,459.6,701.7,186.6,552.6,565.0,467.1,393.7,232.6,600.4,397.9,338.4,346.1,128.5,539.1,583.9,628.0,480.1,665.2,387.0,335.6,506.9,146.0,538.9,344.9,611.4,158.4,346.1,178.0,570.4,87.7,300.2,573.5,599.5,219.1,513.2,566.8,401.7,540.9,566.0,209.5,505.6,206.0,656.2,1648.6,504.8,590.2,389.3,582.5,592.7,788.4,578.3,637.5,411.1,447.1,147.8,736.3,544.1,567.0,330.2,499.0,311.2,587.8,579.7,657.6,522.2,659.9,284.3,251.7,621.7,434.4,638.3,164.0,441.6,380.1,548.4,661.7,603.8,185.0,350.6,526.9,363.2,492.9,695.2,253.2,556.1,290.5,615.4
JN,249.7,343.2,381.8,794.8,915.1,395.8,685.8,328.7,92.3,117.4,492.7,405.2,198.2,453.1,328.5,206.2,361.8,492.5,432.9,361.8,424.3,679.5,134.9,279.7,295.0,893.5,307.8,256.0,677.4,181.2,289.4,583.1,941.7,378.0,368.1,532.8,522.2,96.0,400.2,223.7,492.9,443.4,400.3,375.2,475.5,112.3,120.4,571.1,467.3,816.1,921.8,283.1,762.7,146.1,143.6,463.1,154.9,542.2,545.0,423.8,70.0,548.6,0.0,97.1,377.7,630.2,209.0,221.4,123.5,270.5,676.2,56.1,777.7,718.2,367.2,461.5,133.5,458.5,310.6,156.1,341.2,766.8,226.3,182.9,563.3,221.5,679.4,486.0,602.0,216.0,455.9,12.1,517.5,700.0,156.9,474.1,662.7,169.6,223.2,234.3,197.3,222.4,653.1,181.6,483.9,332.2,1835.3,884.6,246.6,744.7,24.2,249.1,464.4,182.2,93.2,241.2,802.5,591.4,412.3,200.5,57.3,652.5,185.5,332.3,270.4,262.3,333.6,198.2,316.3,684.1,652.1,297.7,789.8,314.3,566.2,231.9,221.1,423.0,337.7,260.2,620.0,371.7,112.8,743.0,168.9,371.2,696.8,232.1,418.5,298.0
JV,152.5,246.0,284.6,697.6,817.9,298.6,588.6,231.5,28.7,71.8,395.5,308.0,101.0,355.9,231.3,109.0,264.6,395.3,335.7,264.6,327.1,582.3,37.7,182.5,197.8,796.3,210.6,158.8,580.2,117.6,192.2,485.9,844.5,280.8,270.9,435.6,425.0,50.4,303.0,126.5,395.7,346.2,303.1,278.0,378.3,15.1,56.8,473.9,370.1,718.9,824.6,185.9,665.5,82.5,121.3,365.9,109.3,445.0,447.8,326.6,94.6,451.4,83.5,0.0,280.5,533.0,111.8,124.2,26.3,173.3,579.0,140.7,680.5,621.0,270.0,364.3,79.4,361.3,213.4,58.9,244.0,669.6,129.1,85.7,466.1,124.3,582.2,388.8,504.8,118.8,358.7,110.7,420.3,602.8,113.8,376.9,565.5,72.4,126.0,137.1,100.1,125.2,555.9,84.4,386.7,235.0,1738.1,787.4,149.4,647.5,122.8,151.9,367.2,118.6,177.8,144.0,705.3,494.2,315.1,103.3,107.3,555.3,88.3,235.1,173.2,165.1,236.4,101.0,219.1,586.9,554.9,200.5,692.6,217.1,469.0,134.7,123.9,325.8,240.5,163.0,522.8,274.5,67.2,645.8,71.7,274.0,599.6,134.9,321.3,200.8
JX,155.2,199.2,486.3,899.3,1019.6,18.0,790.3,433.2,288.9,332.0,138.2,507.6,342.3,98.6,184.5,310.7,505.9,138.0,78.4,466.3,528.8,784.0,239.4,163.2,439.1,998.0,451.9,400.1,781.9,377.8,194.9,687.6,1046.2,482.5,472.6,637.3,666.3,310.6,544.3,367.8,597.4,547.9,22.5,231.2,580.0,245.3,317.0,675.6,112.8,920.6,1026.3,427.2,868.6,342.7,381.5,607.2,369.5,646.7,649.5,46.0,354.8,653.1,343.7,260.1,0.0,738.4,353.1,370.7,267.6,375.0,781.7,400.9,882.2,822.7,471.7,566.0,339.6,602.6,452.5,229.2,222.6,871.3,330.8,256.0,667.8,365.6,783.9,630.1,706.5,320.5,560.4,370.9,611.4,804.5,374.0,618.2,767.2,313.7,367.3,138.0,341.4,366.5,757.6,254.7,588.4,41.6,1939.8,989.1,398.1,849.2,383.0,393.2,83.8,378.8,438.0,144.9,907.0,695.9,34.5,344.6,367.5,757.0,334.1,436.8,413.3,406.4,170.7,271.3,460.4,788.6,756.6,145.2,894.3,195.7,670.7,336.4,325.6,567.1,174.8,404.3,724.5,476.2,327.4,847.5,188.7,16.7,801.3,305.2,523.0,442.1
