from_stop,AD,AF,AJ,AK,AQ,AY,AZ,BK,CK,CP,CR,DI,DQ,DV,DY,EE,EH,EK,EM,EN,EQ,FM,GI,GN,GW,GY,HF,HK,HS,HT,IC,IF,IG,IJ,IN,IU,IZ,JU,JV,KG,KJ,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,NA,OB,OD,OR,OT,PB,PF,PJ,PN,QI,QQ,QR,QT,QU,RH,RI,RJ,RT,RZ,SL,ST,SX,TB,TF,TQ,TY,UO,UR,UW,UX,VK,VX,VZ,WC,WH,WI,WQ,WR,WY,WZ,XA,XI,XK,XL,XQ,XV,YF,YI,YT,ZE,ZI,ZN
PB,352.9,428.2,152.4,390.5,450.9,356.3,374.5,140.5,395.6,362.7,225.6,549.3,196.9,526.5,321.7,246.0,139.4,616.5,313.5,524.9,1.1,491.0,201.1,507.0,231.1,577.6,60.5,257.9,317.7,554.1,345.2,300.4,273.0,448.9,558.3,514.5,164.2,479.2,148.1,249.2,135.1,144.0,133.8,427.3,538.8,447.7,562.4,471.2,416.2,173.3,414.4,382.4,513.8,611.7,1602.2,384.3,343.2,169.0,263.6,471.0,276.8,0.0,124.6,199.4,484.2,435.5,346.0,425.7,457.6,435.2,154.4,339.8,345.2,113.3,483.4,420.8,164.0,337.4,513.7,171.2,358.0,346.2,444.3,538.5,71.5,528.9,150.2,370.5,463.5,496.4,429.3,370.6,466.0,426.9,337.5,270.0,443.8,163.2,156.0,274.2,105.0,535.9,243.7,380.6,270.4,533.9,566.0,383.9
PF,271.2,346.4,158.8,308.7,369.1,274.5,290.9,112.1,315.5,276.9,115.7,467.5,115.1,447.3,233.0,164.2,132.4,534.7,231.7,443.1,155.1,404.6,119.3,425.2,159.6,491.2,88.1,176.1,235.9,472.3,262.1,207.7,191.2,367.1,476.5,432.7,144.7,397.4,18.8,177.7,53.3,62.2,140.2,345.5,457.0,365.9,479.9,389.4,334.4,178.9,332.6,300.6,427.4,529.9,1625.8,302.5,261.4,39.7,192.1,389.2,195.1,154.0,0.0,126.1,402.4,353.7,264.7,339.3,375.8,353.4,68.0,276.6,263.4,106.3,397.0,339.0,109.6,251.0,428.2,120.0,276.5,264.4,357.9,452.1,101.1,447.1,25.5,294.0,381.7,414.6,347.5,284.2,381.1,345.1,255.7,188.2,362.0,38.5,31.3,192.4,72.0,460.2,160.0,298.8,188.6,452.1,484.2,302.1
PJ,337.5,412.7,187.9,375.0,435.4,340.8,357.2,141.2,381.8,343.2,144.8,533.8,181.4,513.6,299.3,230.5,161.5,601.0,298.0,509.4,184.2,470.9,185.6,491.5,265.1,557.5,117.2,242.4,302.2,538.6,328.4,274.0,257.5,433.4,542.8,499.0,173.8,463.7,124.3,283.2,119.6,128.5,169.3,411.8,523.3,432.2,546.2,455.7,400.7,208.0,398.9,366.9,493.7,596.2,1660.9,368.8,415.2,145.2,297.6,455.5,261.4,183.1,105.4,0.0,468.7,420.0,331.0,405.6,442.1,419.7,134.3,342.9,329.7,135.4,463.3,405.3,31.4,317.3,494.5,149.1,342.8,330.7,424.2,518.4,130.2,513.4,131.0,360.3,448.0,480.9,413.8,350.5,447.4,411.4,322.0,254.5,428.3,144.0,136.8,258.7,101.1,526.5,226.3,365.1,254.9,518.4,550.5,368.4
PN,147.2,124.5,483.0,140.6,41.9,181.6,220.8,436.3,133.8,132.0,439.9,220.5,264.9,116.6,302.1,271.7,456.6,266.3,178.3,112.4,479.3,11.1,384.3,94.5,326.3,135.3,412.3,253.7,244.4,141.6,181.8,256.8,315.2,173.0,161.1,102.0,468.9,41.5,413.5,344.4,367.9,377.2,464.4,95.6,232.5,72.9,149.2,58.7,84.5,503.1,110.0,230.5,202.9,321.4,1496.5,106.9,266.4,372.9,358.8,33.3,258.2,478.2,404.0,459.0,0.0,85.1,153.7,161.0,63.0,393.1,383.0,220.6,146.6,430.5,5.4,117.1,423.6,158.0,97.5,444.2,234.3,223.7,173.6,227.6,425.3,116.4,380.4,204.2,7.9,21.1,62.1,229.0,31.2,74.3,162.7,312.2,48.2,433.2,386.2,225.6,396.2,58.2,253.6,150.5,247.0,227.6,237.2,116.5
QI,92.0,69.3,463.8,117.8,51.0,126.4,165.6,417.1,111.0,121.3,420.7,302.9,245.7,205.7,278.9,252.5,437.4,348.7,167.6,183.9,460.1,114.0,365.1,183.4,307.1,176.6,393.1,234.5,189.2,224.0,171.1,187.6,296.0,117.8,243.5,184.4,449.7,82.8,394.3,325.2,348.7,358.0,445.2,84.9,321.4,12.2,231.6,147.6,29.3,483.9,99.3,175.3,291.8,403.8,1510.4,96.2,211.2,353.7,339.6,74.6,241.0,459.0,384.8,439.8,87.8,0.0,98.5,150.3,22.1,399.3,363.8,165.4,135.9,411.3,82.4,61.9,404.4,147.3,179.9,425.0,179.1,168.5,118.4,316.5,406.1,198.8,361.2,193.5,96.8,124.8,51.4,173.8,63.0,27.0,107.5,293.0,43.9,414.0,367.0,170.4,377.0,145.6,234.4,91.5,212.2,316.5,319.6,61.3
QQ,6.8,82.1,364.7,44.4,104.8,27.3,66.5,318.0,51.2,97.3,321.6,363.0,146.6,266.6,179.8,153.4,338.3,408.8,103.5,260.4,361.0,174.4,266.0,240.9,208.0,237.5,294.0,135.4,90.1,284.1,97.1,88.5,196.9,108.0,303.6,244.5,350.6,162.0,295.2,226.1,249.6,258.9,346.1,81.2,332.8,101.6,292.4,205.1,70.1,384.8,68.3,76.2,303.2,405.7,1596.8,76.5,112.1,254.6,240.5,164.1,141.9,364.5,285.7,340.7,148.2,89.4,0.0,130.6,111.5,300.2,264.7,66.3,90.9,312.2,142.8,74.7,305.3,83.2,239.1,325.9,80.0,69.4,98.8,327.9,307.0,258.9,262.1,66.8,157.2,184.9,124.5,74.7,116.8,80.8,8.4,193.9,97.7,314.9,267.9,71.3,277.9,205.7,135.3,34.5,113.1,327.9,379.7,37.8
QR,143.1,194.0,442.2,107.8,178.1,142.5,181.7,395.5,101.0,48.3,525.6,374.6,224.1,282.6,261.3,230.9,415.8,420.4,98.9,260.8,438.5,190.9,343.5,248.6,285.5,253.5,371.4,212.9,209.3,295.7,102.4,216.0,274.4,208.1,315.2,256.1,428.1,159.7,372.7,303.6,327.1,336.4,423.6,132.6,340.5,159.1,304.0,212.8,170.2,462.3,147.0,191.4,310.9,413.4,1604.5,64.8,231.3,332.1,318.0,151.5,217.4,442.0,363.2,418.2,164.7,171.3,136.2,0.0,149.2,352.3,342.2,185.5,67.2,389.7,159.3,186.6,382.8,78.6,296.6,403.4,197.9,188.6,198.9,335.6,384.5,270.5,339.6,124.8,173.7,201.7,109.8,189.9,164.7,180.9,127.7,271.4,184.4,392.4,345.4,200.7,355.4,216.4,212.8,117.7,206.2,335.6,391.3,137.9
QT,114.1,91.4,488.8,95.7,73.1,148.5,187.7,442.1,88.9,99.2,445.7,280.8,270.7,183.6,301.0,277.5,462.4,326.6,145.5,161.8,485.1,91.9,390.1,161.3,332.1,154.5,418.1,259.5,211.3,201.9,149.0,209.7,321.0,139.9,221.4,162.3,474.7,60.7,419.3,350.2,373.7,383.0,470.2,62.8,299.3,9.9,209.5,125.5,51.4,508.9,77.2,197.4,269.7,381.7,1563.3,74.1,233.3,378.7,364.6,52.5,263.1,484.0,409.8,464.8,65.7,22.1,120.6,128.2,0.0,398.9,388.8,187.5,113.8,436.3,60.3,84.0,429.4,125.2,157.8,450.0,201.2,190.6,140.5,294.4,431.1,176.7,386.2,171.4,74.7,102.7,29.3,195.9,68.4,49.1,129.6,318.0,66.0,439.0,392.0,192.5,402.0,123.5,259.4,105.6,234.3,294.4,297.5,83.4
QU,316.4,391.7,545.0,354.0,414.4,319.8,357.1,533.1,360.8,306.1,618.2,496.7,275.1,473.9,240.2,248.9,532.0,563.9,260.9,472.3,498.1,433.8,394.5,454.4,336.5,547.1,448.4,263.9,271.8,501.5,291.3,253.0,325.4,417.6,505.7,461.9,552.2,426.6,536.1,354.6,378.1,387.4,526.4,390.8,486.2,411.2,509.8,418.6,379.7,565.9,377.9,366.8,456.6,559.1,1750.2,331.7,320.4,383.1,369.0,418.4,176.2,497.0,517.2,592.0,457.8,399.0,309.5,368.5,421.1,0.0,393.2,321.9,292.6,505.9,452.4,384.3,556.6,280.2,456.5,544.7,342.4,302.8,408.4,481.3,435.5,476.3,390.6,333.1,410.9,443.8,376.7,350.4,426.4,390.4,301.0,322.4,407.3,555.8,396.4,237.7,493.0,515.3,265.7,344.1,269.0,481.3,513.4,347.4
RH,273.9,349.2,150.8,311.5,371.9,277.3,293.7,104.1,316.6,283.7,185.7,470.3,117.9,450.1,235.8,167.0,124.4,537.5,234.5,445.9,147.1,407.4,122.1,428.0,152.1,494.0,80.1,178.9,238.7,475.1,264.9,210.5,194.0,369.9,479.3,435.5,136.7,400.2,73.7,170.2,56.1,5.2,132.2,348.3,459.8,368.7,482.7,392.2,337.2,170.9,335.4,303.4,430.2,532.7,1623.8,305.3,264.2,94.6,184.6,392.0,197.8,146.0,54.8,126.8,405.2,356.5,267.0,342.1,378.6,356.2,0.0,260.8,266.2,98.3,399.8,341.8,91.4,253.8,476.0,112.0,279.0,267.2,360.7,454.9,93.1,449.9,80.4,296.8,384.5,417.4,350.3,287.0,387.0,347.9,258.5,191.0,364.8,93.4,86.2,195.2,64.0,456.9,162.8,301.6,191.4,454.9,487.0,304.9
RI,62.5,137.8,386.4,100.1,160.5,65.9,106.9,339.7,105.2,127.0,469.8,418.7,168.3,324.9,185.2,175.1,360.0,464.5,122.1,316.1,364.1,211.5,269.1,296.6,229.7,274.6,295.3,157.1,111.8,339.8,126.9,121.1,218.6,163.7,359.3,281.6,353.7,217.7,298.3,247.8,271.3,280.6,367.8,136.9,388.5,157.3,348.1,260.8,125.8,406.5,124.0,114.8,340.3,461.4,1652.5,132.2,133.8,257.7,262.2,219.8,163.5,386.2,307.4,362.4,203.9,145.1,37.0,185.4,167.2,321.9,267.8,0.0,109.5,333.9,179.9,130.4,327.0,83.2,322.1,391.8,101.4,91.1,154.5,365.0,328.7,296.0,265.2,80.1,212.9,240.6,180.2,90.8,175.6,136.5,47.1,197.0,153.4,336.6,289.6,93.0,281.0,255.3,158.9,90.2,134.8,383.6,435.4,93.5
RJ,75.9,151.1,374.9,82.0,152.3,75.2,114.4,328.2,75.2,13.4,331.8,348.8,156.8,256.8,194.0,163.6,348.5,394.6,31.6,235.0,371.2,165.1,276.2,222.8,218.2,227.7,304.2,145.6,142.0,269.9,35.1,148.7,207.1,190.6,289.4,230.3,360.8,133.9,305.4,236.3,259.8,269.1,356.3,106.8,314.7,133.3,277.5,187.0,139.1,395.0,121.2,124.1,285.1,387.6,1578.7,39.0,164.0,264.8,250.7,125.7,150.1,370.1,295.9,350.9,138.9,145.5,69.4,75.8,123.4,285.0,274.9,118.2,0.0,322.4,133.5,143.7,315.5,11.3,225.8,336.1,130.3,121.3,181.4,309.8,317.2,244.7,272.3,57.5,147.9,175.9,84.0,122.6,141.6,149.8,60.4,204.1,166.7,325.1,278.1,133.4,288.1,196.7,145.5,103.5,138.9,309.8,365.5,106.8
RT,327.0,402.2,126.4,364.5,424.9,330.3,346.7,114.5,371.3,332.7,76.7,523.3,170.9,503.1,288.8,220.0,26.0,590.5,287.5,498.9,116.1,460.4,175.1,481.0,205.1,547.0,49.1,231.9,291.7,528.1,317.9,263.5,247.0,422.9,532.3,488.5,46.2,453.2,117.5,223.2,109.1,118.0,107.8,401.3,512.8,421.7,535.7,445.2,390.2,147.3,388.4,356.4,483.2,585.7,1592.8,358.3,317.2,138.4,237.6,445.0,250.9,115.0,98.6,173.4,458.2,409.5,320.5,395.1,431.6,409.2,123.8,332.4,319.2,0.0,452.8,394.8,138.0,306.8,484.0,13.6,332.3,320.2,413.7,507.9,62.1,502.9,124.2,349.8,437.5,470.4,403.3,340.0,436.9,400.9,311.5,244.0,417.8,137.2,130.0,248.2,74.4,516.0,215.8,354.6,244.4,507.9,540.0,357.9
RZ,141.9,119.1,489.4,123.1,36.5,176.2,217.2,442.7,116.3,122.3,452.8,226.9,271.3,120.4,308.5,278.1,463.0,272.7,172.9,118.8,485.7,31.5,390.7,100.9,332.7,129.9,418.6,260.1,239.0,148.0,176.4,248.3,321.6,167.6,167.5,108.4,475.3,36.1,419.9,350.8,374.3,383.6,470.8,90.2,238.9,67.5,155.6,65.1,79.1,509.5,104.6,225.1,209.3,327.8,1502.9,101.5,261.0,379.3,365.2,27.9,264.6,489.2,410.4,465.4,5.4,79.7,148.8,155.6,57.6,399.5,389.4,196.6,141.2,436.9,0.0,111.7,430.0,152.6,148.9,450.6,228.9,218.3,168.2,234.0,431.7,122.8,386.8,192.6,14.3,41.5,56.7,223.6,25.8,68.9,157.3,318.6,42.8,439.6,392.6,220.2,402.6,72.5,260.0,133.0,253.4,234.0,243.6,111.1
SL,58.8,7.4,430.6,68.2,78.8,93.2,132.4,383.9,75.0,123.7,387.5,337.0,212.5,240.6,245.7,219.3,404.2,382.8,170.0,235.5,426.9,148.4,331.9,217.8,273.9,211.5,359.9,201.3,156.0,258.1,173.5,154.4,262.8,55.8,277.6,218.5,416.5,134.4,361.1,292.0,315.5,324.8,412.0,41.2,385.6,75.6,265.7,182.0,44.1,450.7,28.3,142.1,326.2,437.9,1538.2,98.6,178.0,320.5,306.4,126.2,207.8,425.8,351.6,406.6,122.2,63.4,65.3,152.7,85.5,366.1,330.6,132.2,138.3,378.1,116.8,0.0,371.2,149.7,214.0,391.8,145.9,135.3,65.0,350.9,372.9,232.9,328.0,132.7,131.2,158.9,84.5,140.6,90.8,54.8,74.3,259.8,71.7,380.8,333.8,137.2,343.8,179.7,201.2,58.3,179.0,350.9,353.7,28.1
ST,306.0,381.2,156.4,343.5,403.9,309.3,325.7,109.7,350.3,311.7,113.3,502.3,149.9,482.1,267.8,199.0,130.0,569.5,266.5,477.9,152.7,439.4,154.1,460.0,232.5,526.0,85.7,210.9,270.7,507.1,296.9,242.5,226.0,401.9,511.3,467.5,142.3,432.2,91.7,250.6,88.1,97.0,137.8,380.3,491.8,400.7,514.7,424.2,369.2,176.5,367.4,335.4,462.2,564.7,1629.4,337.3,382.6,112.6,265.0,424.0,229.9,151.6,72.8,35.3,437.2,388.5,299.5,374.1,410.6,388.2,102.8,311.4,298.2,103.9,431.8,373.8,0.0,285.8,463.0,117.6,311.3,299.2,392.7,486.9,98.7,481.9,98.4,328.8,416.5,449.4,382.3,319.0,415.9,379.9,290.5,223.0,396.8,111.4,104.2,227.2,69.6,495.0,194.8,333.6,223.4,486.9,519.0,336.9
SX,88.1,163.4,362.5,93.4,163.7,87.5,128.5,315.8,88.3,24.8,325.9,360.2,144.4,268.2,181.6,151.2,336.1,406.0,19.2,246.4,358.8,176.5,263.8,234.2,205.8,239.1,291.7,133.2,146.0,281.3,24.0,136.3,194.7,202.9,300.8,241.7,348.4,145.3,293.0,223.9,247.4,256.7,343.9,118.2,322.2,144.7,288.9,198.4,151.4,382.6,132.6,136.4,292.6,395.1,1586.2,50.4,168.0,252.4,238.3,137.1,137.7,362.3,283.5,338.5,150.3,156.9,81.2,87.2,134.8,272.6,262.5,121.7,11.3,310.0,144.9,156.0,303.1,0.0,236.3,323.7,142.9,125.3,193.7,317.3,304.8,256.1,259.9,64.5,159.3,187.3,95.4,134.9,153.0,162.1,72.7,191.7,179.0,312.7,265.7,121.0,275.7,208.1,133.1,115.8,126.5,317.3,376.9,119.1
TB,283.7,219.7,541.0,239.8,138.8,276.8,357.2,535.5,193.5,256.1,545.5,119.7,322.9,33.3,362.4,329.7,555.8,212.3,296.6,59.2,578.5,105.7,442.3,143.5,384.3,100.0,511.4,352.9,374.8,0.6,269.0,356.0,414.4,309.4,107.1,48.0,568.1,144.6,512.7,402.4,425.9,435.2,563.6,224.0,168.3,160.1,6.7,90.6,220.9,561.1,197.2,366.9,156.7,220.6,1480.5,194.1,361.6,472.1,416.8,152.8,322.1,577.4,462.0,517.0,137.0,213.5,290.6,248.2,191.4,451.1,482.2,357.0,233.8,488.5,143.4,253.5,481.6,245.2,0.0,546.4,329.2,360.1,268.8,228.2,483.3,35.0,438.4,286.1,89.0,136.9,190.5,365.4,128.1,169.5,257.9,370.2,186.3,491.2,485.4,299.5,495.4,90.4,352.8,208.5,346.2,224.6,136.4,211.7
TF,355.7,431.0,155.2,393.3,453.7,359.1,375.5,143.3,400.1,361.5,105.5,552.1,199.7,531.9,302.5,248.8,12.3,619.3,316.3,527.7,129.8,512.4,203.9,533.0,233.9,560.7,99.3,260.7,320.5,556.9,346.7,292.3,275.8,451.7,561.1,540.5,32.5,482.0,169.5,252.0,137.9,131.7,136.6,430.1,526.5,450.5,564.5,474.0,419.0,176.1,417.2,385.2,496.9,614.5,1621.6,387.1,346.0,152.1,266.4,473.8,279.7,143.8,127.4,202.2,487.0,438.3,333.7,408.8,460.4,422.9,152.6,361.2,348.0,28.7,504.8,423.6,166.8,320.5,581.0,0.0,361.1,349.0,465.7,536.7,90.9,554.9,137.9,373.3,466.3,499.2,432.1,368.8,465.7,429.7,340.3,257.7,446.6,166.0,158.8,277.0,88.1,544.8,244.6,383.4,273.2,536.7,568.8,386.7
TQ,91.8,130.4,387.3,129.1,189.5,46.7,16.1,340.6,134.2,142.0,470.7,447.7,169.2,353.9,213.9,176.0,360.9,493.5,137.1,359.6,383.3,259.4,288.6,325.9,230.6,322.2,314.8,114.5,88.0,368.8,141.9,133.5,219.5,90.5,388.3,329.5,372.9,258.5,317.5,248.7,272.2,281.5,368.7,179.6,417.5,186.3,377.1,289.8,154.8,407.4,166.7,24.0,387.9,490.4,1696.8,163.6,67.9,276.9,263.1,250.3,175.9,387.1,308.3,363.3,232.9,174.1,84.6,200.4,196.2,334.3,287.0,95.3,124.5,334.8,227.5,138.3,327.9,116.8,323.8,392.7,0.0,50.5,81.6,412.9,329.6,343.9,284.7,95.1,241.9,269.6,208.6,8.0,204.6,165.5,76.1,216.5,182.4,337.5,290.5,105.4,300.5,284.3,137.0,119.2,147.2,412.6,464.4,122.5
TY,86.6,170.3,348.2,124.1,184.5,86.6,54.2,301.5,130.9,147.0,305.1,442.7,130.1,346.3,163.3,136.9,321.8,488.5,123.7,340.1,344.5,254.1,249.5,320.6,191.5,317.2,277.5,111.7,73.6,363.8,103.3,72.0,180.4,130.4,383.3,324.2,334.1,241.7,278.7,209.6,233.1,242.4,329.6,160.9,391.3,181.3,371.4,284.8,149.8,368.3,148.0,63.9,361.7,464.2,1657.7,156.2,65.1,238.1,224.0,243.8,125.4,343.4,269.2,324.2,227.9,169.1,80.1,209.4,191.2,283.7,248.2,92.0,133.5,295.7,222.5,178.2,288.8,125.8,319.7,309.4,39.8,0.0,121.2,386.4,290.5,338.6,245.6,109.4,236.9,264.6,204.2,47.5,196.5,160.5,71.1,177.4,177.4,298.4,251.4,54.8,261.4,285.4,118.8,114.2,96.6,386.4,459.4,117.5
UO,96.8,49.0,468.5,106.1,135.8,131.1,170.3,421.8,112.9,163.3,551.9,394.0,250.4,297.6,283.6,257.2,442.1,439.8,207.3,292.5,464.8,205.4,369.8,274.8,311.8,268.5,396.0,239.2,193.9,315.1,200.9,192.3,300.7,9.1,334.6,275.5,454.4,191.4,399.0,329.9,353.4,362.7,449.9,98.2,394.5,132.6,322.7,239.0,101.1,488.6,85.3,180.0,364.9,521.1,1569.7,138.2,212.7,358.4,344.3,183.2,245.6,468.3,389.5,444.5,179.2,120.4,103.7,192.3,142.5,404.0,368.5,170.1,177.9,416.0,173.8,56.9,409.1,187.0,316.0,473.9,183.5,173.2,0.0,389.6,410.8,289.9,365.9,170.6,188.2,215.9,141.5,178.5,147.8,111.8,112.2,297.7,128.7,418.7,371.7,175.1,381.7,236.7,241.0,96.2,216.9,389.6,410.7,85.1
UR,315.8,324.4,570.1,268.4,241.8,350.1,389.3,523.4,261.6,289.9,653.5,84.6,352.0,152.2,389.2,358.8,543.7,100.8,284.5,178.1,566.4,214.9,471.4,253.5,413.4,164.9,499.4,340.8,362.7,179.7,314.9,354.8,402.3,368.7,94.3,189.3,556.0,241.4,500.6,431.5,455.0,464.3,551.5,295.5,94.8,272.8,187.3,217.7,284.4,590.2,309.9,399.0,24.3,112.3,1268.8,264.8,426.1,460.0,445.9,233.2,345.3,569.9,491.1,546.1,198.8,285.0,322.7,318.9,262.9,480.2,470.1,370.5,316.2,517.6,205.2,317.0,510.7,303.8,180.6,531.3,402.8,392.2,359.5,0.0,512.4,275.4,467.5,368.5,192.0,224.9,262.0,397.5,228.4,274.2,331.2,399.3,248.1,520.3,473.3,328.6,483.3,232.6,340.7,278.3,334.1,104.3,67.9,298.5
UW,310.0,385.2,109.4,347.5,407.9,313.3,329.7,97.5,354.3,315.7,56.1,506.3,153.9,486.1,271.8,203.0,96.4,573.5,270.5,481.9,62.5,443.4,158.1,464.0,188.1,530.0,12.8,214.9,274.7,511.1,300.9,246.5,230.0,405.9,515.3,471.5,116.6,436.2,100.5,206.2,92.1,101.0,90.8,384.3,495.8,404.7,518.7,428.2,373.2,130.3,371.4,339.4,466.2,568.7,1530.6,341.3,300.2,121.4,220.6,428.0,233.9,61.4,81.6,156.4,441.2,392.5,303.5,378.1,414.6,392.2,106.8,315.4,302.2,70.3,435.8,377.8,121.0,289.8,467.0,84.0,315.3,303.2,396.7,490.9,0.0,485.9,107.2,332.8,420.5,453.4,386.3,323.0,419.9,383.9,294.5,227.0,400.8,120.2,113.0,231.2,57.4,499.0,198.8,337.6,227.4,490.9,523.0,340.9
UX,252.3,229.5,550.8,208.4,148.6,286.6,325.8,504.1,201.6,224.7,514.2,204.1,332.7,97.6,369.9,339.5,524.4,249.9,265.2,96.0,547.1,115.5,452.1,112.1,394.1,137.6,480.1,321.5,343.4,125.2,280.1,324.6,383.0,278.0,144.7,85.6,536.7,113.2,481.3,412.2,435.7,445.0,532.2,192.6,252.7,169.9,132.8,100.4,189.5,570.9,207.0,335.5,241.1,305.0,1518.1,203.9,371.4,440.7,426.6,121.4,331.9,546.0,471.8,526.8,105.6,182.1,259.2,258.0,160.0,460.9,450.8,307.0,243.6,498.3,112.0,222.1,491.4,255.0,45.0,512.0,339.0,328.7,278.6,265.8,493.1,0.0,448.2,295.9,98.8,105.5,159.1,334.0,137.9,179.3,267.7,380.0,154.9,501.0,454.0,309.3,464.0,106.3,321.4,218.3,314.8,262.2,220.8,221.5
VK,267.6,342.9,196.2,305.2,365.6,271.0,289.2,149.5,310.3,273.4,230.4,464.0,111.6,441.2,229.5,160.7,169.8,531.2,228.2,439.6,192.5,401.1,156.7,421.7,127.8,487.7,125.4,172.6,232.4,468.8,258.6,204.2,209.4,397.1,473.0,429.2,182.1,393.9,46.8,145.9,71.3,99.6,177.6,342.0,453.5,362.4,476.4,385.9,330.9,216.3,329.1,297.1,423.9,526.4,1594.0,299.0,277.9,7.9,160.3,385.7,191.6,191.4,37.3,163.5,398.9,350.2,260.7,335.8,372.3,349.9,105.4,273.1,259.9,143.7,393.5,335.5,147.0,247.5,423.8,201.6,273.0,260.9,387.9,448.6,138.5,443.6,0.0,290.5,378.2,411.1,344.0,280.7,380.7,341.6,252.2,184.7,358.5,66.5,5.7,188.9,109.4,450.6,156.5,295.3,185.1,448.6,480.7,298.6
VX,68.3,144.6,410.0,106.9,167.3,68.7,106.9,363.3,112.7,67.6,366.9,404.0,191.9,311.0,227.5,198.7,383.6,449.8,66.7,290.2,407.3,226.3,312.3,284.0,253.3,288.9,331.2,180.7,135.5,325.1,70.2,132.9,242.2,184.1,344.6,291.5,395.9,189.1,340.5,271.4,294.9,297.9,391.4,143.7,363.4,164.1,331.7,242.2,132.6,430.1,130.8,117.6,339.3,441.8,1632.9,94.2,157.5,299.9,285.8,180.9,186.3,405.2,331.0,386.0,194.1,151.9,68.4,137.0,174.0,320.1,311.0,110.7,55.1,357.5,194.7,137.2,350.6,36.0,280.1,396.3,122.8,114.8,180.9,364.0,352.3,305.9,301.1,0.0,203.1,231.1,139.2,122.1,178.3,143.3,53.9,232.9,160.2,360.2,313.2,116.7,323.2,250.9,180.6,97.0,158.5,364.0,420.7,100.3
VZ,155.0,132.3,475.0,132.6,49.7,189.4,228.6,428.3,125.8,139.8,431.9,212.5,256.9,108.6,294.1,263.7,448.6,258.3,189.4,104.4,471.3,22.8,376.3,86.5,318.3,143.1,404.3,245.7,252.2,133.6,189.6,248.8,307.2,180.8,153.1,94.0,460.9,49.3,405.5,336.4,359.9,369.2,456.4,103.4,224.5,80.7,141.2,50.7,92.3,495.1,117.8,238.3,194.9,313.4,1488.5,114.7,274.2,364.9,350.8,41.1,250.2,470.2,396.0,451.0,6.7,92.9,161.5,168.8,70.8,385.1,375.0,228.4,154.4,422.5,13.1,124.9,415.6,165.8,89.5,436.2,242.1,231.5,181.4,219.6,417.3,108.4,372.4,212.0,0.0,32.8,69.9,236.8,39.0,82.1,170.5,304.2,56.0,425.2,378.2,233.5,388.2,69.9,245.6,142.5,239.0,219.6,229.2,124.3
WC,173.4,150.7,519.1,154.7,68.1,207.8,247.0,472.4,147.9,158.2,476.0,212.3,301.0,108.4,360.3,307.8,492.7,258.1,204.5,104.2,515.4,9.9,420.4,95.9,362.4,134.6,448.4,289.8,270.6,133.4,208.0,269.0,351.3,199.2,152.9,93.8,505.0,61.9,449.6,380.5,404.0,413.3,500.5,121.8,260.9,99.1,141.0,84.2,110.7,539.2,136.2,256.7,239.0,313.2,1526.3,133.1,292.6,409.0,394.9,59.5,322.4,514.3,440.1,495.1,21.1,111.3,179.9,187.2,89.2,429.2,419.1,246.8,172.8,466.6,31.5,143.3,459.7,184.2,89.3,480.3,260.5,249.9,199.8,263.7,461.4,108.2,416.5,230.4,44.0,0.0,88.3,255.2,57.4,100.5,188.9,348.3,74.4,469.3,422.3,251.8,432.3,37.0,289.7,164.6,283.1,270.4,229.0,142.7
WH,113.6,94.8,459.4,66.3,68.2,159.7,198.9,412.7,59.5,69.8,416.3,269.9,241.3,172.7,278.5,248.1,433.0,315.7,116.1,150.9,455.7,81.0,360.7,150.4,302.7,143.6,388.7,230.1,210.8,191.0,119.6,233.2,291.6,143.3,210.5,151.4,445.3,49.8,389.9,320.8,344.3,353.6,440.8,33.4,288.4,49.2,198.6,114.6,86.8,479.5,47.8,208.6,258.8,370.8,1552.4,44.7,232.8,349.3,335.2,41.6,234.6,454.6,380.4,435.4,54.8,61.4,120.1,98.8,39.3,369.5,359.4,187.0,84.4,406.9,49.4,87.4,400.0,95.8,146.9,420.6,214.8,190.1,152.5,283.5,401.7,165.8,356.8,142.0,63.8,91.8,0.0,207.1,57.5,88.5,129.1,288.6,74.5,409.6,362.6,192.0,372.6,112.6,230.0,76.2,223.4,283.5,286.6,96.4
WI,83.8,122.7,395.0,121.4,181.8,39.0,8.4,348.3,128.2,130.3,358.4,440.0,176.9,346.2,219.7,183.7,368.6,485.8,129.4,351.9,391.3,251.4,296.3,317.9,238.3,314.5,324.3,122.2,95.7,361.1,132.9,128.4,227.2,82.8,380.6,321.5,380.9,250.8,325.5,256.4,279.9,289.2,376.4,171.9,409.8,178.6,368.7,282.1,147.1,415.1,159.0,16.3,380.2,482.7,1704.5,155.9,75.6,284.9,270.8,242.6,181.8,394.8,316.0,371.0,225.2,166.4,76.9,192.7,188.5,340.1,295.0,106.2,116.8,342.5,219.8,130.6,335.6,109.1,362.0,400.4,8.0,58.2,73.6,404.9,337.3,335.9,292.4,92.7,234.2,261.9,200.9,0.0,193.8,157.8,68.4,224.2,174.7,345.2,298.2,111.2,308.2,282.7,144.7,111.5,153.0,404.9,456.7,114.8
