from_stop,AH,AJ,AO,AP,AS,BC,BN,BV,CC,CE,CI,CO,DC,DG,DL,DM,DN,DQ,EG,EP,EW,FE,FG,FI,FP,GA,GD,GF,GH,GI,GO,GS,HI,HJ,HV,HX,HZ,ID,IE,IJ,IL,IT,IV,IW,JI,JJ,JN,JQ,JU,JV,KC,KM,KN,KO,KR,KW,KZ,LM,LT,MD,ME,MM,MQ,MU,MZ,NG,NJ,NN,NP,OI,OM,OP,OV,OZ,PL,PN,PS,QB,QD,QG,QX,RA,RC,RL,RQ,RR,SA,SM,SS,SW,SY,TA,TB,TF,TG,TQ,UA,UD,UR,US,VD,VE,VK,VY,WA,WF,WK,WL,WO,WS,WT,WX,XH,XK,XP,XZ,YC,YQ,YS,YT,ZF,ZG,ZK
KO,181.6,186.0,581.1,272.9,313.8,656.0,620.9,186.0,280.6,235.3,231.5,213.6,636.1,535.4,607.6,193.5,263.3,197.1,678.3,370.2,145.3,606.6,603.9,512.9,8.1,277.2,198.3,165.9,255.1,127.1,241.6,277.5,194.4,216.3,218.9,629.7,215.0,283.3,184.5,300.5,221.0,213.0,317.3,192.2,133.9,564.3,158.2,185.6,93.0,350.2,222.6,596.6,331.4,0.0,254.6,1641.2,149.6,177.4,686.4,556.5,201.7,182.8,703.8,263.1,747.6,111.2,640.0,701.2,336.4,622.0,193.9,158.1,582.5,636.7,676.5,41.1,291.5,624.5,272.0,236.0,666.7,304.3,588.1,144.5,252.5,94.3,242.7,648.0,683.1,166.8,175.3,271.8,206.4,692.4,172.0,602.6,644.5,267.9,142.8,168.1,270.5,574.5,180.6,604.6,637.2,690.0,302.3,292.9,86.4,205.3,314.4,190.8,634.2,420.0,601.7,247.9,665.3,589.2,193.0,597.3,652.2,155.2,656.7
KR,94.6,68.8,744.4,299.2,216.5,819.3,784.2,209.3,52.5,261.6,134.2,78.3,799.4,698.7,770.9,177.0,133.4,120.8,841.6,263.4,230.8,769.9,767.2,676.2,278.5,95.4,129.3,173.0,157.8,245.0,106.3,303.8,155.1,242.6,35.6,793.0,218.2,114.7,108.2,326.8,91.1,156.1,220.0,218.5,160.2,727.6,118.0,168.3,261.5,252.9,162.3,759.9,357.7,270.3,0.0,1667.5,216.5,203.7,849.7,719.8,214.6,176.5,867.1,289.4,910.9,302.5,803.3,864.5,229.6,785.3,134.0,243.6,745.8,800.0,839.8,239.1,194.2,787.8,103.4,138.7,830.0,207.0,751.4,131.7,145.7,196.3,117.1,811.3,846.4,109.4,136.0,165.0,146.1,855.7,154.7,765.9,807.8,13.2,209.7,224.7,173.2,737.8,203.9,767.9,800.5,853.3,328.6,319.2,246.1,199.0,59.7,203.7,797.5,583.3,765.0,79.0,828.6,752.5,216.3,760.6,815.5,148.9,820.0
KW,1663.1,1614.4,1784.2,1574.3,1742.2,1883.5,1818.8,1656.4,1709.0,1545.3,1659.9,1642.0,1792.2,1738.5,1763.7,1583.1,1701.9,1596.0,1834.4,1798.6,1612.9,1762.7,1807.0,1716.0,1684.6,1705.6,1587.9,1607.7,1683.5,1686.7,1670.0,1578.9,1622.8,1554.7,1647.3,1836.2,1728.0,1711.7,1608.1,1601.9,1659.6,1724.6,1745.7,1562.6,1524.1,1767.4,1671.2,1698.6,1703.2,1778.6,1730.8,1752.7,1562.2,1676.4,1683.0,0.0,1662.6,1565.2,1910.4,1712.6,1649.3,1611.2,1927.8,1573.1,1903.7,1684.6,1796.1,1857.3,1764.8,1876.6,1583.5,1625.7,1738.6,1792.8,1918.4,1679.3,1719.9,1780.6,1700.4,1664.4,1822.8,1732.7,1744.2,1657.5,1680.9,1638.0,1671.1,1804.1,1925.0,1677.9,1603.7,1700.2,1714.6,1848.5,1685.0,1758.7,1821.4,1696.3,1655.8,1586.2,1698.9,1777.6,1648.2,1807.7,1793.3,1846.1,1612.3,1594.3,1687.8,1633.7,1742.8,1638.4,1790.3,1623.1,1804.8,1676.3,1889.3,1745.3,1660.6,1753.4,1808.3,1583.6,1812.8
KZ,121.8,162.8,610.3,249.7,290.6,685.2,650.1,126.2,257.4,212.1,208.3,190.4,665.3,564.6,636.8,170.3,203.5,173.9,707.5,347.0,122.1,635.8,633.1,542.1,147.4,229.8,175.1,106.1,231.9,113.9,218.4,254.3,171.2,193.1,171.5,658.9,155.2,260.1,161.3,277.3,161.2,153.2,294.1,169.0,110.7,593.5,98.4,125.8,130.4,327.0,162.8,625.8,308.2,139.2,207.2,1618.0,0.0,154.2,715.6,585.7,141.9,127.3,733.0,239.9,776.8,168.4,669.2,730.4,313.2,651.2,170.7,134.9,611.7,665.9,705.7,108.0,268.3,653.7,248.8,212.8,695.9,281.1,617.3,84.7,229.3,65.2,219.5,677.2,712.3,107.0,152.1,248.6,146.6,721.6,112.2,631.8,673.7,220.5,44.8,144.9,247.3,603.7,120.8,633.8,666.4,719.2,279.1,269.7,115.0,155.0,267.0,131.0,663.4,449.2,630.9,224.7,694.5,618.4,133.2,626.5,681.4,130.0,685.9
LM,169.6,120.9,633.0,187.2,248.7,707.9,672.8,162.9,215.5,149.6,166.4,148.5,688.0,587.3,659.5,107.8,208.4,120.7,730.2,305.1,131.9,658.5,655.8,564.8,191.1,212.1,112.6,114.2,190.0,193.2,177.2,191.8,129.3,130.6,153.8,681.6,234.5,218.2,119.4,214.8,166.1,231.1,252.2,106.5,48.2,656.6,177.7,205.1,209.7,284.9,237.3,648.5,245.7,182.9,189.5,1555.5,169.1,0.0,738.3,608.4,155.8,117.7,755.7,177.4,799.5,191.1,691.9,753.1,271.3,673.9,108.2,119.1,634.4,688.6,728.4,185.8,218.3,676.4,206.9,170.9,718.6,239.2,640.0,163.0,187.4,144.5,176.2,699.9,735.0,184.4,110.2,206.7,221.1,744.3,191.5,654.5,696.4,202.8,162.3,20.9,205.4,626.4,154.7,656.5,689.1,741.9,216.6,207.2,194.3,147.2,249.3,144.9,686.1,471.9,653.6,180.8,717.2,641.1,167.1,649.2,704.1,90.1,708.6
LT,768.1,772.5,288.9,766.2,900.3,89.5,189.5,772.5,867.1,821.8,818.0,800.1,220.4,289.5,389.4,775.0,849.8,787.9,181.9,956.7,731.8,147.3,311.2,267.0,705.7,863.7,779.8,752.4,841.6,760.2,828.1,770.8,780.9,746.6,805.4,183.3,801.5,869.8,800.0,793.8,807.5,799.5,903.8,754.5,716.0,244.3,744.7,772.1,752.3,936.7,809.1,287.8,754.1,697.5,841.1,1982.3,736.1,757.1,0.0,295.2,788.2,769.3,161.7,849.6,216.0,705.7,229.5,276.8,922.9,115.8,775.4,744.6,329.5,222.2,110.0,700.4,878.0,252.3,858.5,822.5,154.8,890.8,297.9,731.0,839.0,711.5,829.2,136.8,116.6,753.3,761.8,858.3,792.9,268.0,758.5,309.1,198.1,854.4,729.3,778.1,857.0,328.6,767.1,95.8,287.9,254.3,888.8,786.2,745.7,791.8,900.9,777.3,237.9,378.9,163.5,834.4,31.0,275.3,779.5,261.3,253.9,741.7,143.3
MD,712.6,652.6,230.9,612.5,780.4,250.3,152.2,717.0,747.2,583.5,698.1,680.2,162.5,313.3,192.4,621.3,740.1,634.2,204.7,836.8,676.3,133.0,265.5,290.8,650.2,743.8,626.1,645.9,721.7,704.7,708.2,617.1,661.0,592.9,685.5,169.6,746.0,749.9,646.3,640.1,697.8,744.0,783.9,600.8,562.3,186.3,689.2,716.6,696.8,816.8,753.6,84.2,600.4,642.0,721.2,1828.6,680.6,603.4,280.7,0.0,687.5,649.4,298.1,611.3,274.0,650.2,166.4,238.9,803.0,246.9,621.7,689.1,77.4,126.2,270.8,644.9,758.1,114.0,738.6,702.6,222.7,770.9,165.7,675.5,719.1,656.0,709.3,174.4,277.4,697.8,641.9,738.4,737.4,230.1,703.0,88.9,154.8,734.5,673.8,624.4,737.1,352.4,711.6,226.9,202.1,216.4,650.5,632.5,690.2,671.9,781.0,676.6,123.7,296.3,234.0,714.5,259.6,166.8,724.0,86.8,141.7,621.8,183.1
ME,125.7,130.1,657.8,269.6,257.9,732.7,697.6,69.0,224.7,232.0,175.6,157.7,712.8,612.1,684.3,190.2,207.4,141.2,755.0,314.3,169.6,683.3,680.6,589.6,179.3,221.3,149.7,46.1,199.2,145.8,185.7,274.2,138.5,213.0,163.0,706.4,159.1,227.4,128.6,297.2,165.1,157.1,261.4,188.9,130.6,641.0,102.3,129.7,162.3,294.3,166.7,673.3,328.1,171.1,198.7,1637.9,117.3,174.1,763.1,633.2,0.0,67.3,780.5,259.8,824.3,215.9,716.7,777.9,280.5,698.7,154.4,182.4,659.2,713.4,753.2,139.9,235.6,701.2,216.1,180.1,743.4,248.4,664.8,88.6,196.6,97.1,186.8,724.7,759.8,110.9,119.4,215.9,150.5,769.1,116.1,679.3,721.2,212.0,110.5,192.4,214.6,651.2,42.8,681.3,713.9,766.7,299.0,289.6,146.9,95.0,258.5,8.9,710.9,496.7,678.4,192.0,742.0,665.9,55.2,674.0,728.9,70.0,733.4
MM,130.1,78.0,662.7,217.5,205.8,737.6,702.5,80.4,172.6,179.9,123.5,105.6,717.7,617.0,689.2,138.1,165.5,89.1,759.9,262.2,149.1,688.2,685.5,594.5,190.7,169.2,97.6,31.7,147.1,157.2,134.3,222.1,86.4,160.9,110.9,711.3,170.5,175.3,76.5,245.1,123.2,168.5,209.3,136.8,78.5,686.3,113.7,141.1,173.7,242.2,178.1,678.2,276.0,182.5,146.6,1585.8,128.7,122.0,768.0,638.1,73.3,0.0,785.4,207.7,829.2,220.8,721.6,782.8,228.4,703.6,102.3,161.9,664.1,718.3,758.1,151.3,175.4,706.1,164.0,128.0,748.3,196.3,669.7,99.0,144.5,108.5,133.3,729.6,764.7,122.3,67.3,163.8,161.9,774.0,127.5,684.2,726.1,159.9,121.9,143.0,162.5,656.1,72.2,686.2,718.8,771.6,246.9,237.5,158.3,64.7,206.4,62.4,715.8,501.6,683.3,137.9,746.9,670.8,84.6,678.9,733.8,17.9,738.3
MQ,763.2,771.0,287.4,764.7,898.8,68.1,188.0,771.0,865.6,820.3,816.5,798.6,218.9,288.0,387.9,773.5,848.3,786.4,180.4,955.2,730.3,145.8,309.7,265.5,704.2,862.2,778.3,750.9,840.1,758.7,827.3,769.3,779.4,745.1,803.9,181.8,800.0,868.3,798.5,792.3,806.0,798.0,902.3,753.0,714.5,291.0,744.3,770.6,750.8,935.0,807.6,286.3,752.6,696.0,839.6,1980.8,734.6,755.6,101.3,293.7,786.7,767.8,0.0,848.1,214.5,704.2,228.0,243.2,921.4,114.3,773.9,743.1,328.0,220.7,88.6,698.9,868.4,250.8,857.0,821.0,133.4,889.3,296.4,728.5,837.5,710.0,826.3,135.3,95.2,751.8,760.3,856.8,778.1,234.4,757.0,307.6,196.6,852.9,727.8,776.6,855.5,327.1,765.6,94.3,286.4,205.5,887.3,784.7,744.2,797.3,899.4,775.8,236.4,377.4,162.0,832.9,80.2,273.8,778.0,264.1,252.4,740.2,141.8
MU,348.3,299.6,666.1,259.5,427.4,765.4,700.7,341.6,394.2,34.8,345.1,327.2,674.1,620.4,645.6,268.3,387.1,281.2,716.3,483.8,298.1,644.6,688.9,597.9,369.8,390.8,273.1,292.9,368.7,371.9,355.2,264.1,308.0,239.9,332.5,718.1,413.2,396.9,293.3,287.1,344.8,409.8,430.9,247.8,209.3,649.3,356.4,383.8,388.4,463.8,416.0,634.6,168.4,361.6,368.2,1530.0,347.8,250.4,792.3,594.5,334.5,296.4,809.7,0.0,785.6,369.8,678.0,739.2,450.0,758.5,268.7,310.9,620.5,674.7,800.3,364.5,405.1,662.5,385.6,349.6,704.7,417.9,626.1,342.7,366.1,323.2,356.3,686.0,806.9,363.1,288.9,385.4,399.8,730.4,370.2,640.6,703.3,381.5,341.0,271.4,384.1,659.5,333.4,689.6,675.2,728.0,39.2,279.5,373.0,318.9,428.0,323.6,672.2,505.0,686.7,361.5,771.2,627.2,345.8,635.3,690.2,268.8,694.7
MZ,819.3,827.1,343.5,820.8,954.9,173.8,244.1,827.1,921.7,876.4,872.6,854.7,216.4,344.1,385.4,829.6,904.4,842.5,177.9,1011.3,786.4,143.3,365.8,321.6,760.3,918.3,834.4,807.0,896.2,814.8,883.4,825.4,835.5,801.2,860.0,237.9,856.1,924.4,854.6,848.4,862.1,854.1,958.4,809.1,770.6,347.1,800.4,826.7,806.9,991.1,863.7,342.4,808.7,752.1,895.7,2036.9,790.7,811.7,204.2,291.2,842.8,823.9,221.6,904.2,0.0,760.3,225.5,272.8,977.5,170.4,830.0,799.2,335.2,276.8,194.3,755.0,924.5,306.9,913.1,877.1,239.1,945.4,293.9,784.6,893.6,766.1,882.4,91.7,200.9,807.9,816.4,912.9,834.2,264.0,813.1,355.3,252.7,909.0,783.9,832.7,911.6,383.2,821.7,150.4,283.9,250.3,943.4,840.8,800.3,853.4,955.5,831.9,292.5,433.5,218.1,889.0,183.1,271.3,834.1,320.2,308.5,796.3,139.3
NG,217.2,221.6,616.7,308.5,349.4,691.6,656.5,221.6,316.2,270.9,267.1,249.2,706.6,571.0,643.2,229.1,298.9,232.7,713.9,405.8,180.9,642.2,639.5,548.5,126.8,312.8,233.9,201.5,290.7,207.5,277.9,313.1,230.0,251.9,254.5,665.3,250.6,318.9,220.1,336.1,256.6,248.6,352.9,227.8,169.5,640.3,193.8,221.2,173.4,385.8,258.2,632.2,367.0,118.6,290.2,1676.8,185.2,213.0,722.0,592.1,237.3,218.4,739.4,298.7,783.2,0.0,675.6,736.8,372.0,657.6,229.5,193.7,618.1,672.3,712.1,121.5,319.0,660.1,307.6,271.6,702.3,339.9,623.7,179.1,288.1,160.6,276.9,683.6,718.7,202.4,210.9,307.4,242.0,728.0,207.6,638.2,680.1,303.5,178.4,203.7,306.1,610.1,216.2,640.2,672.8,725.6,337.9,328.5,166.8,240.9,350.0,226.4,669.8,455.6,637.3,281.5,700.9,624.8,228.6,632.9,687.8,190.8,692.3
NJ,756.1,707.4,375.1,667.3,835.2,130.0,275.7,749.4,802.0,638.3,752.9,735.0,121.4,375.7,265.2,676.1,794.9,689.0,163.6,891.6,705.9,91.9,397.4,353.2,679.5,798.6,680.9,700.7,776.5,734.0,763.0,671.9,715.8,647.7,740.3,269.5,775.3,804.7,701.1,694.9,752.6,773.3,838.7,655.6,617.1,330.5,718.5,745.9,726.1,871.6,782.9,229.1,655.2,671.3,776.0,1883.4,709.9,658.2,189.0,171.0,742.3,704.2,223.6,666.1,232.9,679.5,0.0,76.1,857.8,202.0,676.5,718.7,215.0,297.3,164.9,674.2,812.9,285.1,793.4,757.4,69.3,825.7,173.7,704.8,773.9,685.3,764.1,133.3,171.5,727.1,696.7,793.2,766.7,67.3,732.3,235.1,284.3,789.3,703.1,679.2,791.9,414.8,741.2,182.0,163.7,71.6,705.3,687.3,719.5,726.7,835.8,731.4,294.8,465.1,249.7,769.3,167.9,151.1,753.6,250.7,312.8,676.6,142.0
NN,886.2,778.6,407.0,738.5,906.4,161.9,307.6,820.6,873.2,709.5,824.1,806.2,174.8,407.6,336.4,747.3,866.1,760.2,235.0,962.8,777.1,163.3,429.3,385.1,823.8,869.8,752.1,771.9,847.7,878.3,834.2,743.1,787.0,718.9,811.5,301.4,919.6,875.9,772.3,766.1,823.8,917.6,909.9,726.8,688.3,362.4,862.8,890.2,870.4,942.8,927.2,325.7,726.4,815.6,847.2,1954.6,854.2,729.4,220.9,267.6,813.5,775.4,255.5,737.3,304.3,823.8,98.3,0.0,929.0,233.9,747.7,789.9,311.6,340.3,196.8,818.5,884.1,370.4,864.6,828.6,101.2,896.9,244.9,849.1,845.1,829.6,835.3,204.7,203.4,871.4,767.9,864.4,911.0,48.4,876.6,331.7,316.2,860.5,847.4,750.4,863.1,446.7,812.4,213.9,234.9,78.8,776.5,758.5,863.8,797.9,907.0,802.6,356.0,497.0,281.6,840.5,199.8,222.3,824.8,347.3,372.0,747.8,213.4
NP,202.9,154.2,789.9,344.7,213.0,864.8,829.7,267.2,167.2,307.1,130.7,181.8,844.9,744.2,816.4,222.5,241.7,166.3,887.1,33.7,276.3,815.4,812.7,721.7,377.5,245.4,174.8,218.5,186.1,344.0,210.5,349.3,200.6,288.1,187.1,838.5,337.2,169.9,153.7,372.3,199.4,264.4,216.5,264.0,205.7,813.5,225.2,276.6,360.5,249.4,270.6,805.4,403.2,369.3,219.0,1713.0,315.5,249.2,895.2,765.3,260.1,222.0,912.6,334.9,956.4,348.0,848.8,910.0,0.0,830.8,179.5,289.1,791.3,845.5,885.3,338.1,182.6,833.3,158.6,167.0,875.5,203.5,796.9,241.0,62.9,295.3,129.3,856.8,891.9,217.7,181.5,48.4,241.1,901.2,263.0,811.4,853.3,206.3,308.7,270.2,169.7,783.3,259.0,813.4,846.0,898.8,374.1,364.7,345.1,251.5,250.9,249.2,843.0,628.8,810.5,132.5,874.1,798.0,271.4,822.7,861.0,194.4,865.5
OI,696.3,704.1,220.5,697.8,831.9,61.4,121.1,704.1,798.7,753.4,749.6,731.7,217.5,221.1,351.6,706.6,781.4,719.5,144.1,888.3,663.4,109.5,242.8,198.6,637.3,795.3,711.4,684.0,773.2,691.8,760.4,702.4,712.5,678.2,737.0,114.9,733.1,801.4,731.6,725.4,739.1,731.1,835.4,686.1,647.6,224.1,676.3,703.7,683.9,868.1,740.7,219.4,685.7,629.1,772.7,1913.9,667.7,688.7,91.8,246.9,719.8,700.9,109.2,781.2,178.2,637.3,191.7,239.0,854.5,0.0,707.0,676.2,261.1,153.8,81.9,632.0,809.6,183.9,790.1,754.1,126.7,822.4,260.1,661.6,770.6,643.1,760.8,99.0,88.5,684.9,693.4,789.9,724.5,230.2,690.1,240.7,129.7,786.0,660.9,709.7,788.6,260.2,698.7,27.4,250.1,198.8,820.4,717.8,677.3,730.4,832.5,708.9,169.5,310.5,95.1,764.0,70.7,237.5,711.1,192.9,185.5,673.3,105.5
OM,112.4,63.7,678.4,199.3,191.5,753.3,718.2,155.7,158.3,161.7,109.2,91.3,733.4,632.7,704.9,42.9,151.2,12.5,775.6,247.9,164.8,703.9,701.2,610.2,266.0,154.9,4.4,107.0,132.8,232.5,119.3,203.9,89.1,142.7,96.6,727.0,236.0,161.0,24.6,226.9,108.9,173.9,195.0,118.6,94.2,661.6,135.8,186.1,249.0,227.9,180.1,693.9,257.8,257.8,132.3,1567.6,204.0,137.7,783.7,653.8,148.6,110.5,801.1,189.5,844.9,236.5,737.3,798.5,214.1,719.3,0.0,177.6,679.8,734.0,773.8,226.6,169.2,721.8,149.7,113.7,764.0,182.0,685.4,149.5,130.2,183.8,120.4,745.3,780.4,127.2,70.0,149.5,163.9,789.7,172.5,699.9,741.8,145.6,197.2,158.7,148.2,671.8,147.5,701.9,734.5,787.3,228.7,219.3,233.6,133.0,192.1,137.7,731.5,517.3,699.0,125.6,762.6,686.5,159.9,694.6,749.5,82.9,754.0
OP,184.5,163.5,616.4,250.4,291.3,691.3,656.2,188.9,258.1,212.8,209.0,191.1,671.4,570.7,642.9,171.0,251.0,174.6,713.6,347.7,12.7,641.9,639.2,548.2,174.5,254.7,175.8,156.8,232.6,176.6,219.8,255.0,171.9,193.8,196.4,665.0,217.9,260.8,162.0,278.0,208.7,215.9,294.8,169.7,111.4,640.0,161.1,188.5,193.1,327.5,225.5,631.9,308.9,166.3,232.1,1618.7,152.5,124.6,721.7,591.8,198.4,160.3,739.1,240.6,782.9,174.5,675.3,736.5,313.9,657.3,171.4,0.0,617.8,672.0,711.8,169.2,260.9,659.8,249.5,213.5,702.0,281.8,623.4,146.4,230.0,127.9,218.8,683.3,718.4,169.7,152.8,249.3,196.0,727.7,174.9,637.9,679.8,245.4,145.7,105.4,248.0,609.8,183.5,639.9,672.5,725.3,279.8,270.4,177.7,189.8,291.9,187.5,669.5,455.3,637.0,225.4,700.6,624.5,195.9,632.6,687.5,132.7,692.0
OV,808.6,709.6,247.6,669.5,837.4,286.2,168.9,751.6,804.2,640.5,755.1,737.2,198.4,330.0,249.4,678.3,797.1,691.2,240.6,893.8,708.1,168.9,313.0,307.5,746.2,800.8,683.1,702.9,778.7,800.7,765.2,674.1,718.0,649.9,742.5,186.3,842.0,806.9,703.3,697.1,754.8,840.0,840.9,657.8,619.3,203.0,785.2,812.6,792.8,873.8,849.6,86.7,657.4,738.0,778.2,1885.6,776.6,660.4,316.6,89.3,744.5,706.4,334.0,668.3,309.9,746.2,202.3,274.8,860.0,282.8,678.7,720.9,0.0,142.9,306.7,740.9,815.1,130.7,795.6,759.6,258.6,827.9,183.6,771.5,776.1,752.0,766.3,210.3,313.3,793.8,698.9,795.4,833.4,266.0,799.0,111.5,171.5,791.5,769.8,681.4,794.1,369.1,743.4,262.8,232.7,252.3,707.5,689.5,786.2,728.9,838.0,733.6,140.4,385.7,250.7,771.5,295.5,184.7,755.8,66.4,158.4,678.8,219.0
OZ,719.5,723.9,165.7,717.6,851.7,181.0,86.7,723.9,818.5,773.2,769.4,751.5,274.4,240.9,261.5,726.4,801.2,739.3,263.7,908.1,683.2,244.9,231.1,218.4,657.1,815.1,731.2,703.8,793.0,711.6,779.5,722.2,732.3,698.0,756.8,54.7,752.9,821.2,751.4,745.2,758.9,750.9,855.2,705.9,667.4,121.1,696.1,723.5,703.7,888.1,760.5,84.3,705.5,648.9,792.5,1933.7,687.5,708.5,211.4,111.8,739.6,720.7,228.8,801.0,297.8,657.1,278.3,350.8,874.3,147.0,726.8,696.0,126.0,0.0,201.5,651.8,829.4,30.8,809.9,773.9,246.3,842.2,260.0,682.4,790.4,662.9,780.6,218.6,208.1,704.7,713.2,809.7,744.3,342.0,709.9,105.6,69.5,805.8,680.7,729.5,808.4,280.0,718.5,129.6,309.1,328.3,840.2,737.6,697.1,743.2,852.3,728.7,55.8,327.5,126.7,785.8,190.3,261.1,730.9,57.8,76.5,693.1,225.1
PL,753.8,761.6,278.0,755.3,889.4,27.3,178.6,761.6,856.2,810.9,807.1,789.2,209.5,278.6,371.0,764.1,838.9,777.0,171.0,945.8,720.9,136.4,300.3,256.1,694.8,852.8,768.9,741.5,830.7,749.3,817.9,759.9,770.0,735.7,794.5,172.4,801.3,858.9,789.1,782.9,796.6,788.6,892.9,743.6,705.1,281.6,733.8,761.2,741.4,925.6,798.2,276.9,743.2,686.6,830.2,1971.4,725.2,746.2,91.9,284.3,777.3,758.4,126.5,838.7,205.1,694.8,197.4,202.4,912.0,104.9,764.5,733.7,318.6,211.3,0.0,689.5,867.1,241.4,847.6,811.6,92.6,879.9,279.5,719.1,828.1,700.6,816.9,125.9,6.6,742.4,750.9,847.4,768.7,193.6,747.6,298.2,187.2,843.5,718.4,767.2,846.1,317.7,756.2,84.9,269.5,164.7,877.9,775.3,734.8,780.9,890.0,766.4,227.0,368.0,152.6,821.5,70.8,256.9,768.6,250.4,243.0,730.8,132.4
PN,144.6,198.9,594.0,285.8,326.7,668.9,633.8,149.0,282.6,248.2,244.4,213.8,649.0,548.3,620.5,206.4,226.3,210.0,691.2,383.1,158.2,619.5,616.8,525.8,39.3,252.6,211.2,128.9,268.0,85.9,241.8,290.4,207.3,229.2,194.3,642.6,178.0,296.2,197.4,313.4,184.0,176.0,330.2,205.1,146.8,577.2,121.2,148.6,51.8,363.1,185.6,609.5,344.3,31.1,230.0,1654.1,128.2,190.3,699.3,569.4,164.7,150.1,716.7,276.0,760.5,124.1,652.9,714.1,349.3,634.9,206.8,171.0,595.4,649.6,689.4,0.0,304.4,637.4,284.9,248.9,679.6,317.2,601.0,107.5,265.4,53.1,255.6,660.9,696.0,129.8,188.2,284.7,169.4,705.3,135.0,615.5,657.4,243.3,121.4,181.0,283.4,587.4,143.6,617.5,650.1,702.9,315.2,305.8,45.2,177.8,289.8,153.8,647.1,432.9,614.6,260.8,678.2,602.1,156.0,610.2,665.1,152.8,669.6
PS,172.2,120.1,755.8,310.6,88.7,830.7,795.6,233.1,165.7,273.0,56.7,147.7,845.7,710.1,782.3,188.4,207.6,132.2,853.0,255.3,242.2,781.3,778.6,687.6,343.4,211.3,140.7,184.4,152.0,309.9,176.4,315.2,166.5,254.0,153.0,804.4,303.1,168.4,112.5,338.2,165.3,230.3,24.6,229.9,164.5,772.3,191.1,242.5,326.4,57.3,236.5,771.3,369.1,335.2,188.7,1678.9,281.4,208.0,861.1,731.2,226.0,180.8,878.5,300.8,922.3,313.9,814.7,875.9,221.5,796.7,145.4,247.9,757.2,811.4,844.1,304.0,0.0,799.2,157.1,132.9,841.4,34.2,762.8,206.9,137.6,261.2,126.4,815.6,857.8,183.6,147.4,156.9,207.0,867.1,228.9,777.3,819.2,194.9,267.5,236.1,45.4,749.2,224.9,779.3,811.9,864.7,340.0,330.6,303.9,217.4,248.5,208.0,808.9,594.7,776.4,131.0,840.0,763.9,237.3,788.6,826.9,160.3,831.4
QB,720.7,725.1,152.4,718.8,852.9,217.1,81.0,725.1,819.7,774.4,770.6,752.7,288.4,242.1,275.5,727.6,802.4,740.5,299.8,909.3,684.4,258.9,217.8,219.6,658.3,816.3,732.4,705.0,794.2,712.8,780.7,723.4,733.5,699.2,758.0,91.8,754.1,822.4,752.6,746.4,760.1,752.1,856.4,707.1,668.6,107.8,697.3,724.7,704.9,889.3,761.7,98.3,706.7,650.1,793.7,1934.9,688.7,709.7,247.5,125.8,740.8,721.9,264.9,802.2,333.9,658.3,292.3,364.8,875.5,183.1,728.0,697.2,140.0,37.0,237.6,653.0,830.6,0.0,811.1,775.1,282.4,843.4,274.0,683.6,791.6,664.1,781.8,254.7,244.2,705.9,714.4,810.9,745.5,356.0,711.1,119.6,83.6,807.0,681.9,730.7,809.6,281.2,719.7,165.7,323.1,342.3,841.4,738.8,698.3,744.4,853.5,729.9,69.8,314.2,162.8,787.0,226.4,275.1,732.1,71.8,70.5,694.3,261.2
QD,180.8,132.1,767.8,322.6,190.9,842.7,807.6,245.1,43.3,285.0,108.6,159.7,822.8,722.1,794.3,200.4,219.6,144.2,865.0,214.7,254.2,793.3,790.6,699.6,355.4,190.6,152.7,196.4,164.0,321.9,187.7,327.2,178.5,266.0,130.8,816.4,304.4,11.3,131.6,350.2,177.3,242.3,194.4,241.9,183.6,751.0,204.2,254.5,338.4,227.3,248.5,783.3,381.1,347.2,95.1,1690.9,293.4,227.1,873.1,743.2,238.0,199.9,890.5,312.8,934.3,325.9,826.7,887.9,180.9,808.7,157.4,267.0,769.2,823.4,863.2,316.0,168.6,811.2,0.0,144.9,853.4,181.4,774.8,217.9,97.0,273.2,56.9,834.7,869.8,195.6,159.4,116.3,232.3,879.1,240.9,789.3,831.2,82.4,286.6,248.1,147.6,761.2,236.9,791.3,823.9,876.7,352.0,342.6,323.0,222.4,127.0,227.1,820.9,606.7,788.4,30.3,852.0,775.9,249.3,784.0,838.9,172.3,843.4
QG,110.6,61.9,697.6,252.4,172.5,772.5,737.4,174.9,139.3,214.8,90.2,89.5,752.6,651.9,724.1,130.2,149.4,74.0,794.8,228.9,184.0,723.1,720.4,629.4,285.2,153.1,82.5,126.2,18.0,251.7,117.5,257.0,108.3,195.8,94.8,746.2,234.2,142.0,61.4,280.0,107.1,172.1,176.0,171.7,113.4,680.8,134.0,184.3,268.2,208.9,178.3,713.1,310.9,277.0,130.5,1620.7,223.2,156.9,802.9,673.0,167.8,129.7,820.3,242.6,864.1,255.7,756.5,817.7,195.1,738.5,87.2,196.8,699.0,753.2,793.0,245.8,150.2,741.0,130.7,0.0,783.2,163.0,704.6,147.7,111.2,203.0,101.4,764.5,799.6,125.4,89.2,130.5,162.1,808.9,170.7,719.1,761.0,143.8,216.4,177.9,129.2,691.0,166.7,721.1,753.7,806.5,281.8,272.4,252.8,152.2,190.3,156.9,750.7,536.5,718.2,106.6,781.8,705.7,179.1,713.8,768.7,102.1,773.2
