from_stop,AI,AP,BA,BR,BX,BZ,CA,CI,CJ,CV,CW,CY,CZ,DO,EK,EL,EP,ER,FC,FH,FR,FV,GI,GP,GR,GW,GX,HK,HL,HO,HQ,HY,ID,IM,IV,IY,JE,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LX,MJ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OQ,OS,OX,PA,PB,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VW,WS,WU,XO,XR,XT,YA,YR,YV,YZ,ZL
RG,149.7,209.9,311.0,117.8,410.8,329.8,38.9,61.9,127.0,276.4,441.1,86.7,218.0,344.8,70.1,338.8,302.6,322.0,387.2,139.0,273.9,111.3,96.0,261.0,308.6,228.4,122.8,402.4,367.9,356.4,299.1,237.9,71.4,53.2,294.2,203.6,214.6,256.3,340.3,262.1,234.9,172.0,129.0,2176.3,224.4,178.4,67.4,209.4,228.4,248.9,236.7,171.2,274.2,25.5,214.2,195.4,155.7,357.7,278.3,336.1,253.8,313.5,136.1,198.3,248.6,285.2,257.6,201.6,151.3,0.0,380.1,319.3,57.8,276.8,300.4,242.0,300.1,296.2,177.6,140.2,279.1,234.6,346.3,152.0,307.5,365.7,208.0,207.2,307.8,273.2,336.1,312.5,154.6,220.5,161.1
SG,485.1,537.1,109.8,412.4,50.7,591.4,368.8,339.2,300.1,484.9,721.5,313.2,449.7,633.0,361.8,182.4,149.8,98.7,27.1,474.1,482.4,446.7,281.2,499.3,596.8,480.3,403.5,42.3,663.3,670.7,107.8,498.5,396.4,343.2,124.6,457.0,525.3,508.2,503.7,550.3,508.6,520.8,402.7,2150.4,433.4,452.1,323.0,244.4,263.8,500.8,556.3,506.3,496.5,393.8,478.4,497.2,422.2,612.7,127.8,536.4,542.0,68.9,471.2,482.1,159.7,160.8,481.9,466.1,486.4,368.2,0.0,609.0,392.9,526.5,202.7,503.6,492.0,584.4,451.3,477.4,552.1,458.0,90.1,487.1,108.4,3.3,499.7,374.3,550.9,578.7,624.3,113.4,295.6,491.4,434.8
SN,229.2,300.5,579.0,316.2,649.5,134.5,307.2,371.4,384.9,268.0,151.1,380.0,260.8,108.8,341.6,647.3,589.1,590.0,667.1,177.1,273.7,322.8,384.7,245.6,157.1,271.2,341.2,655.8,88.1,95.5,573.2,207.2,282.9,334.5,620.2,304.1,239.5,299.1,318.8,167.6,203.7,251.5,293.6,2287.7,328.2,249.3,358.9,488.5,503.8,291.7,159.6,147.6,196.8,297.0,230.5,211.7,313.2,93.5,552.4,250.0,179.3,632.4,247.4,241.1,557.1,528.5,226.9,244.4,194.1,323.6,686.0,0.0,289.3,139.7,662.8,121.4,263.3,137.4,244.1,242.6,132.3,250.9,635.0,206.0,596.2,694.7,302.4,490.3,237.3,79.2,103.4,601.2,433.7,213.5,265.8
SV,100.4,139.2,296.9,107.9,414.8,298.5,17.8,82.0,140.0,220.7,414.7,90.6,186.7,267.4,115.7,325.8,256.5,307.9,395.1,107.7,218.2,62.0,101.4,229.7,231.2,197.1,106.5,421.1,351.7,359.1,253.0,206.6,22.1,45.1,300.0,173.8,160.5,225.0,284.6,184.7,182.4,122.7,76.5,2201.7,194.6,125.9,69.5,205.4,214.4,217.6,230.1,139.9,242.9,71.1,182.9,164.1,124.4,297.4,232.2,304.8,176.4,312.2,104.8,167.0,235.6,239.1,226.3,170.3,120.0,45.5,373.4,303.9,0.0,245.5,288.6,210.7,268.8,218.8,125.1,90.9,201.7,203.3,350.8,120.7,312.0,364.4,137.3,220.2,276.5,282.3,258.7,317.0,150.6,189.2,108.6
TF,313.0,345.2,530.8,341.1,557.9,83.3,259.0,323.2,336.7,176.4,239.2,331.8,212.6,185.8,293.4,555.7,497.5,541.8,575.5,128.9,182.1,274.6,336.5,197.4,268.7,223.0,335.9,564.2,176.2,183.6,481.6,159.0,234.7,286.3,528.6,255.9,281.0,250.9,227.2,289.8,188.6,335.3,245.4,2238.9,236.6,292.1,310.7,440.3,455.6,243.5,137.8,99.4,105.2,248.8,182.3,163.5,265.0,170.5,460.8,167.1,271.8,540.8,199.2,192.9,465.5,480.3,178.7,196.2,145.9,275.4,594.4,138.2,241.1,0.0,571.2,64.9,171.7,234.2,244.0,303.5,243.9,202.7,586.8,157.8,548.0,603.1,343.3,442.1,145.7,137.6,223.7,553.0,385.5,165.3,274.8
TM,384.7,446.1,124.4,336.5,228.7,535.9,270.7,261.5,212.0,412.7,670.8,241.0,377.5,556.2,306.3,55.8,232.7,135.4,205.1,376.0,410.2,346.3,183.2,427.1,520.0,408.1,348.0,220.3,607.8,615.2,215.8,426.3,340.9,276.6,219.0,384.8,432.8,436.0,367.3,473.5,453.1,434.4,347.2,2094.9,361.2,396.6,224.9,165.5,124.2,428.6,500.8,408.2,441.7,334.0,406.2,425.0,321.7,557.2,235.8,503.7,465.2,212.6,399.3,409.9,134.2,206.2,409.7,393.9,388.3,270.1,183.4,553.5,284.2,471.0,0.0,448.1,419.8,507.6,395.8,400.6,490.5,385.8,271.1,447.0,232.3,174.4,444.2,171.5,482.2,524.9,547.5,237.3,189.5,419.2,379.3
TX,275.9,308.1,477.3,304.0,528.0,87.7,221.9,307.2,299.6,146.5,222.6,306.7,197.5,161.0,256.3,525.8,467.6,488.3,545.6,91.8,152.2,237.5,317.5,160.3,235.7,185.9,298.8,534.3,159.6,167.0,451.7,121.9,197.6,249.2,498.7,243.1,243.9,213.8,197.3,252.7,151.5,298.2,208.3,2254.8,206.7,255.0,273.6,421.5,435.4,206.4,100.7,62.3,75.3,211.7,145.2,126.4,245.6,145.7,430.9,141.9,234.7,510.9,162.1,155.8,435.6,443.2,155.7,159.1,108.8,238.3,564.5,123.6,204.0,80.1,541.3,0.0,141.8,197.1,206.9,266.4,210.9,180.0,571.7,120.7,522.9,573.2,306.2,405.0,115.8,104.6,186.6,527.9,366.7,128.2,237.7
UK,303.2,368.1,392.0,328.1,504.1,260.7,213.8,186.2,287.9,25.5,368.3,185.7,76.5,241.7,332.3,433.3,369.6,403.0,486.8,155.8,13.2,264.8,196.4,62.8,307.2,132.6,309.3,510.4,298.8,283.6,366.1,51.3,224.9,224.0,393.8,122.1,291.9,160.5,34.5,303.4,216.5,325.5,270.6,2368.3,88.6,317.3,212.4,300.5,314.4,153.1,149.6,122.9,107.4,274.1,79.4,98.2,144.4,234.8,345.3,124.7,285.4,395.7,146.0,130.1,348.2,352.2,34.7,92.9,151.2,248.5,468.8,250.2,202.7,207.7,449.6,172.9,0.0,249.8,255.7,293.7,282.4,59.0,445.9,184.7,407.1,465.3,340.1,369.8,88.9,208.3,235.5,412.1,245.7,66.9,300.0
UW,139.5,210.8,548.2,226.5,593.7,225.7,263.6,342.4,341.3,262.1,223.6,341.9,224.7,76.3,235.8,570.0,502.3,559.2,570.1,133.5,259.6,233.6,352.6,227.7,67.4,219.8,262.0,585.3,160.6,168.0,498.8,223.7,239.3,290.9,530.5,250.0,136.4,247.7,326.0,77.9,101.4,161.8,197.8,2266.5,241.9,159.6,315.3,456.7,470.6,240.3,124.9,182.1,285.2,253.4,164.7,150.1,267.9,106.3,478.0,352.3,89.6,549.8,194.1,189.7,484.9,484.9,243.4,211.0,170.7,312.9,588.3,112.8,245.7,228.6,605.8,209.8,274.5,0.0,181.7,152.9,42.6,189.3,582.6,162.0,543.8,602.0,212.7,443.5,282.2,91.2,67.6,548.8,401.9,201.2,176.1
UZ,137.3,145.6,435.7,152.1,459.0,300.3,144.9,226.2,252.9,279.3,318.3,229.4,223.2,171.0,104.4,464.7,383.6,446.7,435.4,162.3,276.8,98.9,221.9,268.6,134.8,201.9,127.3,450.6,255.3,262.7,380.1,254.8,121.9,211.6,420.1,183.6,35.8,229.8,343.2,88.3,121.1,159.6,63.1,2192.6,204.4,92.5,213.7,335.3,354.3,222.4,178.2,167.7,270.7,136.0,218.0,199.2,134.2,175.4,359.3,332.6,80.0,439.4,117.6,185.7,374.5,366.2,274.5,211.6,161.3,178.2,448.3,207.5,127.0,303.4,438.2,286.1,286.4,122.4,0.0,127.8,105.3,238.4,472.2,118.2,433.4,457.0,143.7,333.1,324.7,185.9,162.3,438.4,280.5,234.9,75.2
VB,9.4,80.5,381.6,72.3,434.6,325.8,102.5,166.7,224.7,305.4,322.8,175.3,262.8,176.4,80.0,410.5,341.2,392.6,411.0,183.8,302.9,27.1,186.0,305.8,140.2,273.2,69.2,426.2,260.7,268.1,337.7,282.7,66.7,129.8,384.7,234.5,68.7,301.1,352.5,93.7,184.5,31.7,119.2,2168.2,251.6,72.4,154.2,290.1,299.1,293.7,242.1,216.0,319.0,110.3,296.8,278.0,193.8,206.4,316.9,380.9,85.4,379.5,209.2,243.1,320.3,323.8,302.4,246.4,196.1,130.2,452.6,212.9,84.6,328.7,373.3,309.9,312.5,127.8,102.4,0.0,110.7,317.2,435.5,219.8,396.7,449.1,108.5,304.9,352.6,193.0,167.7,401.7,235.3,265.3,88.9
VG,96.8,168.1,504.0,185.5,544.7,248.3,217.0,281.2,320.6,315.3,227.2,289.8,232.7,80.8,198.0,536.6,451.5,523.6,521.1,165.8,312.8,137.4,289.8,260.0,44.6,243.9,208.8,536.3,165.1,172.5,448.0,258.9,177.0,240.1,492.0,290.9,70.2,280.1,358.3,35.2,88.9,123.3,163.7,2228.0,273.8,121.1,264.5,403.0,426.2,264.4,160.1,217.3,289.7,242.5,201.2,203.3,241.4,128.9,427.2,332.9,51.1,489.7,170.7,227.9,442.2,434.1,265.0,217.1,180.9,240.5,562.8,117.3,194.9,233.1,498.2,232.4,321.1,32.2,108.1,114.4,0.0,242.5,544.1,147.0,505.3,559.3,170.0,400.8,328.8,97.4,72.1,506.1,352.4,219.8,137.6
VH,270.0,308.8,358.8,294.9,504.9,252.4,180.6,153.0,254.7,72.7,363.7,152.5,43.3,249.9,285.5,419.8,336.4,369.8,453.6,103.4,70.2,231.6,163.3,54.0,265.4,99.4,276.1,468.8,290.5,279.0,332.9,76.3,191.7,190.8,360.6,96.3,259.5,127.3,136.6,270.2,173.4,292.3,237.4,2335.1,52.5,284.1,179.2,267.3,281.2,119.9,174.6,93.8,165.2,240.9,20.3,39.1,91.4,243.0,312.1,163.7,252.2,379.9,112.8,74.2,329.6,319.0,75.9,59.7,113.3,215.3,446.5,241.9,169.5,199.4,416.4,164.6,100.8,190.7,222.5,260.5,233.4,0.0,412.7,132.3,373.9,432.1,306.9,336.6,146.7,195.8,260.5,378.9,212.5,60.8,266.8
VJ,467.0,515.7,134.7,395.9,120.3,643.0,351.8,322.2,325.0,467.9,763.3,296.2,432.7,616.0,393.7,225.3,160.1,124.0,96.7,457.1,465.4,429.4,264.3,482.3,579.8,463.3,428.6,111.9,700.3,707.7,108.8,481.5,428.3,326.2,153.1,440.0,509.1,491.2,443.8,533.3,540.5,503.8,434.6,2202.0,416.4,484.0,306.0,273.3,288.7,483.8,588.2,489.3,491.0,376.8,461.4,480.2,376.9,646.0,128.8,558.9,525.0,84.7,454.2,465.1,188.6,136.4,464.9,449.1,469.4,351.2,89.6,652.5,375.9,594.9,266.1,555.2,475.0,567.4,483.2,460.4,550.3,441.0,0.0,470.1,54.1,98.3,513.8,423.2,533.9,630.9,607.3,59.1,320.5,474.4,466.7
VM,194.6,212.8,412.4,219.3,526.2,316.1,140.6,204.8,218.3,211.8,360.6,213.4,124.6,198.1,168.3,448.6,379.3,423.8,502.6,46.4,220.8,156.2,218.3,168.4,180.0,135.8,194.5,517.8,302.4,309.8,375.8,145.3,116.3,167.9,416.3,168.7,152.2,163.7,240.0,161.1,86.4,216.9,127.0,2259.8,162.0,159.7,192.3,321.9,337.2,156.3,134.1,78.6,181.6,130.4,121.6,102.8,151.5,191.2,355.0,243.5,143.1,417.6,80.8,105.7,358.4,361.9,165.0,109.0,58.7,157.0,490.7,254.6,122.7,184.2,411.4,149.4,207.5,156.9,114.2,185.1,137.2,142.0,468.4,0.0,429.6,487.2,210.9,323.7,215.2,233.0,209.9,434.6,267.1,127.9,142.4
VW,422.3,475.4,148.8,350.7,143.7,603.2,307.1,277.5,321.9,423.2,713.8,251.5,388.8,571.3,362.6,248.1,118.2,137.7,110.8,412.4,420.7,384.7,219.5,437.6,535.1,418.6,383.9,126.0,655.6,663.0,64.1,436.8,383.6,281.5,94.4,395.3,464.4,446.5,409.9,488.6,495.8,459.1,389.9,2216.1,371.7,439.3,261.3,248.7,282.7,439.1,543.5,444.6,446.3,332.1,416.7,435.5,360.5,601.3,84.1,514.2,480.3,89.2,409.5,420.4,164.0,91.7,420.2,404.4,424.7,306.5,109.0,607.8,331.2,550.2,254.9,515.4,430.3,522.7,438.5,415.7,505.6,396.3,69.9,425.4,0.0,112.4,469.1,402.1,489.2,586.2,562.6,4.9,262.9,429.7,422.0
WS,481.7,529.3,106.4,409.5,54.2,594.9,365.4,335.8,296.7,481.5,728.9,309.8,447.1,629.6,380.8,185.9,146.4,95.3,30.6,470.7,479.0,443.3,277.8,495.9,593.4,476.9,407.0,45.8,666.8,674.2,104.4,495.1,399.9,339.8,121.2,453.6,522.7,504.8,457.4,546.9,512.1,517.4,406.2,2153.9,430.0,455.6,319.6,241.0,260.4,497.4,559.8,502.9,493.1,390.4,475.0,493.8,418.8,659.6,124.4,533.0,538.6,65.5,467.8,478.7,156.3,157.4,478.5,462.7,483.0,364.8,3.5,612.5,389.5,530.0,199.3,507.1,488.6,581.0,454.8,474.0,548.7,454.6,93.6,483.7,111.9,0.0,527.4,370.9,547.5,583.9,620.9,116.9,292.2,488.0,438.3
WU,106.8,1.8,425.3,96.3,501.0,398.3,146.2,210.4,279.9,385.8,395.3,219.0,315.7,248.9,128.5,449.1,384.9,478.7,477.4,250.8,383.3,68.4,249.1,363.9,212.7,308.4,94.9,492.6,333.2,340.6,381.4,343.3,110.4,173.5,447.1,296.1,142.6,336.3,432.9,166.2,212.8,129.1,88.9,2234.6,313.2,95.2,197.9,362.3,342.8,328.9,260.5,250.8,353.8,176.1,306.5,287.7,255.4,278.9,360.6,415.7,157.9,449.0,206.1,296.8,364.0,367.5,363.0,300.1,249.8,202.2,522.1,285.4,128.3,356.4,417.0,382.4,405.5,200.3,155.5,97.3,168.0,326.9,499.2,206.7,460.4,518.6,0.0,360.1,413.2,265.5,240.2,465.4,307.5,323.4,77.9
XO,296.3,353.3,388.5,243.7,339.1,513.7,283.9,300.5,194.4,489.7,600.2,318.0,464.0,457.7,213.5,432.0,477.1,399.9,315.5,351.5,487.2,257.9,265.4,504.1,421.5,455.9,255.2,330.7,542.0,549.4,460.2,490.8,248.1,275.8,463.4,424.2,350.0,483.8,536.8,375.0,360.3,341.6,254.4,2072.7,441.3,303.8,284.3,344.8,328.4,476.4,408.0,383.7,419.5,241.2,454.0,435.2,383.5,483.1,480.2,489.1,366.7,465.3,353.6,444.3,417.8,450.6,510.5,447.6,397.3,267.3,333.7,494.2,266.0,448.8,381.2,425.9,496.8,409.1,303.0,302.1,376.8,474.4,360.5,354.2,378.8,337.1,351.4,0.0,460.0,472.0,449.0,383.8,290.0,470.9,286.5
XR,370.8,409.6,459.6,395.7,496.6,218.9,281.4,253.8,355.5,93.1,304.8,253.3,144.1,261.1,386.0,494.4,436.2,470.6,514.2,178.1,98.8,332.4,264.1,137.8,326.6,179.3,408.9,502.9,249.7,220.1,420.3,108.8,292.5,291.6,467.3,189.7,356.9,207.2,165.9,337.1,253.6,393.1,338.2,2240.9,153.3,374.1,280.0,368.1,382.0,199.8,169.0,152.5,43.9,341.7,146.4,132.1,192.2,254.2,399.5,95.5,346.9,479.5,207.5,149.2,404.2,419.8,102.3,160.5,188.3,316.1,533.1,269.6,270.3,227.1,509.9,131.1,88.4,283.7,323.3,361.3,301.8,126.6,513.5,207.0,474.7,541.8,407.7,437.4,0.0,223.5,254.9,479.7,313.3,122.4,356.8
XT,203.1,276.1,544.3,291.8,648.1,139.8,272.5,336.7,354.4,254.9,154.5,345.3,224.4,78.2,305.2,578.8,511.2,553.6,664.0,142.4,248.0,288.1,354.4,210.9,131.0,236.5,315.1,654.4,94.6,97.8,507.7,172.5,248.2,299.8,548.2,273.6,208.9,264.4,295.5,141.5,173.1,225.4,257.2,2243.6,264.7,223.2,324.2,453.8,469.1,257.0,129.0,112.9,195.4,266.5,195.8,177.0,281.7,62.9,486.9,238.1,153.2,553.7,212.7,206.4,490.3,493.8,192.2,208.0,159.4,288.9,620.9,46.8,254.6,137.3,543.3,120.0,266.1,137.8,257.5,216.5,102.0,216.2,600.3,169.6,561.5,617.4,272.1,459.8,235.9,0.0,73.1,566.5,403.2,177.1,239.7
YA,156.1,201.3,563.3,243.1,604.0,208.4,272.1,336.3,379.9,273.0,201.5,344.9,291.8,59.0,257.3,586.6,510.8,578.7,580.4,193.4,281.0,196.7,349.1,240.9,84.0,294.0,268.1,595.6,143.3,150.7,507.3,205.5,236.3,299.4,547.1,323.7,129.5,321.9,328.5,94.5,148.3,178.4,223.0,2283.1,301.0,176.2,323.8,462.3,481.3,314.5,106.7,163.9,267.9,297.6,233.3,214.5,300.7,89.0,486.5,345.5,106.2,552.8,230.0,263.9,501.5,493.4,225.2,285.2,226.2,299.8,622.1,95.5,254.2,211.3,553.3,192.5,267.7,64.3,163.2,169.5,59.2,253.7,599.2,222.3,560.4,618.6,229.3,460.1,275.4,73.9,0.0,565.4,407.5,233.8,192.7
YR,426.5,475.2,153.0,355.4,138.7,607.4,311.3,281.7,326.1,427.4,722.8,255.7,392.2,575.5,353.2,243.6,122.4,142.3,115.0,416.6,424.9,388.9,223.8,441.8,539.3,422.8,388.1,145.0,659.8,667.2,68.3,441.0,387.8,285.7,98.6,399.5,468.6,450.7,403.3,492.8,500.0,463.3,394.1,2220.3,375.9,443.5,265.5,252.9,286.9,443.3,547.7,448.8,450.5,336.3,420.9,439.7,336.4,605.5,88.3,518.4,484.5,121.0,413.7,424.6,168.2,95.9,424.4,408.6,428.9,310.7,107.9,612.0,335.4,554.4,259.1,519.6,434.5,526.9,442.7,419.9,509.8,400.5,74.1,429.6,4.2,116.6,473.3,406.3,493.4,590.4,566.8,0.0,267.1,433.9,426.2
YV,245.4,321.5,194.4,201.7,346.9,425.5,144.3,100.1,94.2,251.3,536.8,79.6,216.1,421.4,203.1,250.9,256.7,205.8,323.3,234.7,248.8,207.0,65.6,265.7,385.2,246.7,231.2,338.5,505.7,452.1,239.8,264.9,167.1,100.7,240.8,223.4,313.7,274.6,298.4,338.7,336.3,296.3,230.4,2165.5,202.7,279.8,107.4,54.7,102.0,267.2,332.4,266.9,320.4,168.8,244.8,263.6,180.1,451.4,259.8,342.3,330.4,236.0,231.8,248.5,143.4,230.2,248.3,232.5,247.0,143.2,296.1,457.9,153.5,372.5,195.0,337.7,258.4,372.8,279.0,265.8,355.7,224.4,295.1,247.7,256.3,292.6,319.6,174.4,317.3,368.9,412.7,261.3,0.0,257.8,262.5
YZ,306.6,337.4,395.4,331.0,521.1,214.5,217.2,189.6,291.3,83.8,321.0,189.1,76.9,209.0,296.2,451.8,416.1,406.8,490.2,88.8,81.3,268.2,199.8,40.4,259.3,100.7,319.1,527.4,252.6,241.1,400.2,50.4,228.3,227.4,397.2,102.2,272.0,128.6,130.9,258.9,170.8,328.9,205.3,2292.6,89.1,284.3,215.8,303.9,317.8,121.2,130.6,55.9,120.8,208.7,44.2,53.5,120.1,202.1,379.4,172.4,265.0,416.5,128.9,70.6,361.6,355.6,62.3,65.8,109.7,251.9,472.2,204.0,206.1,161.5,453.0,126.7,87.2,202.6,238.8,297.1,245.0,59.5,449.3,117.7,410.5,468.7,335.5,373.2,102.3,162.1,216.5,415.5,249.1,0.0,267.0
ZL,90.1,69.6,421.4,79.6,444.1,356.0,129.5,225.3,238.0,327.1,353.9,250.1,257.8,206.6,89.5,449.8,368.2,437.2,420.5,192.1,324.6,51.7,207.0,305.2,170.4,249.7,78.2,435.7,290.9,298.3,364.7,284.6,110.4,178.7,405.2,237.4,99.7,277.6,391.0,123.9,154.1,112.4,30.2,2177.7,258.2,17.3,216.4,320.4,339.4,270.2,201.8,192.1,295.1,124.5,247.8,229.0,182.0,236.6,343.9,357.0,115.6,424.5,147.4,238.1,359.6,350.8,304.3,241.4,191.1,163.3,433.4,243.1,111.6,297.7,423.3,340.1,346.8,158.0,96.8,80.6,140.9,268.2,457.3,148.0,418.5,442.1,67.7,318.2,354.5,221.5,197.9,423.5,265.6,264.7,0.0
