from_stop,AC,AJ,AR,AY,BD,BJ,BN,BO,BQ,BR,BZ,CA,CC,CF,CM,CP,CU,CX,DA,DC,DK,DL,DQ,DU,EK,EL,EV,EX,EZ,FB,FE,FM,FP,FV,GD,GE,GJ,GK,GR,HA,HC,HJ,HM,HN,HU,HZ,IG,IH,IR,IS,IW,IZ,JI,JL,JR,JZ,KH,KJ,KY,LD,LI,LN,LR,LU,LY,MI,MW,NA,NB,NL,NR,NS,OM,OO,OR,OT,OV,OW,PA,PC,PI,PL,PO,PS,PU,PV,PW,QE,QK,QY,RC,RE,RH,RN,RU,SA,SU,SW,TH,TI,TK,TQ,TR,TX,UF,UG,UH,UT,UV,UY,VI,VL,VM,VQ,VR,VZ,WP,WQ,WR,WU,WW,WX,XE,XF,XJ,XO,XS,XY,YR,YX,ZA,ZF,ZJ,ZN,ZO,ZU
IH,804.4,750.2,832.7,740.5,700.2,1059.9,698.2,658.7,181.7,1002.2,717.0,794.6,781.1,708.1,942.1,892.1,1013.4,18.7,925.0,384.9,829.3,612.3,809.1,876.6,506.4,968.0,991.1,811.2,792.7,389.5,562.2,686.5,1031.5,869.6,654.8,736.6,777.0,663.8,709.3,264.4,854.5,2207.7,742.0,751.2,824.1,108.8,871.6,0.0,763.1,918.7,752.8,458.2,357.6,178.7,601.7,893.7,714.2,522.7,754.5,619.8,368.9,520.4,792.3,657.3,681.3,705.1,939.8,595.6,240.4,722.1,472.9,553.8,661.3,416.3,724.8,888.5,598.1,767.6,961.6,1081.7,771.0,913.4,257.9,758.8,783.7,914.9,703.6,1076.2,763.4,953.1,331.6,868.4,878.9,788.0,720.1,928.4,441.7,307.6,766.7,761.6,863.9,427.0,727.4,713.3,727.3,774.9,26.9,917.2,916.7,710.0,243.5,803.4,832.3,636.3,908.3,563.5,1031.1,695.9,621.4,783.0,965.8,786.4,865.4,899.5,825.5,839.0,703.9,816.0,635.7,978.4,1004.9,918.9,300.9,910.2,729.2,690.2
IR,218.7,311.6,94.4,255.2,406.6,419.7,91.8,369.4,744.9,399.5,74.0,209.9,185.9,63.4,339.4,289.4,441.0,726.6,338.1,647.9,226.6,323.0,411.8,120.3,426.4,365.3,437.1,372.8,291.8,627.4,431.4,330.8,477.5,116.8,365.5,298.0,20.7,330.0,395.7,508.7,251.8,2591.6,386.3,184.5,239.4,785.4,133.3,745.4,0.0,352.7,397.1,571.3,620.6,747.8,224.3,291.0,245.9,785.7,89.9,167.5,984.5,410.8,147.7,437.6,392.0,266.5,229.2,306.3,534.9,238.5,735.9,477.0,305.6,517.2,435.5,334.5,446.8,103.0,171.1,509.3,126.4,157.1,709.1,403.1,60.4,200.2,67.5,503.8,98.8,238.4,782.8,130.1,140.6,123.4,329.7,213.7,611.4,570.6,68.1,287.0,261.2,365.1,156.9,424.0,63.8,11.8,772.4,363.2,249.7,338.1,859.1,218.7,187.7,367.6,305.6,486.7,458.7,167.7,311.1,198.3,363.1,141.8,151.3,296.8,408.2,236.3,333.0,231.3,346.4,375.7,402.2,316.2,752.1,408.6,373.5,80.8
IS,552.4,632.4,354.3,409.7,410.1,332.4,412.6,690.2,822.5,312.2,394.8,236.2,314.6,397.1,236.8,186.8,423.5,851.4,187.6,981.6,145.1,643.8,131.9,472.0,405.0,262.7,320.1,92.9,326.2,961.1,464.0,654.9,389.7,468.5,686.3,618.8,372.4,484.5,419.2,842.4,104.9,2515.7,693.9,302.7,265.7,910.2,366.7,870.2,378.5,0.0,704.7,905.0,954.3,825.4,545.1,53.3,579.6,1119.4,423.6,488.3,1109.3,389.4,481.4,559.1,712.8,587.3,435.1,627.1,868.6,572.2,1069.6,455.6,626.4,495.8,756.3,330.1,499.9,436.7,522.8,452.1,460.1,508.8,833.9,710.7,394.1,390.2,401.2,434.8,432.5,513.9,887.4,272.6,331.8,457.1,430.0,489.2,945.1,904.3,401.8,441.5,158.6,751.3,477.7,744.8,384.6,390.3,897.2,294.5,358.3,419.9,983.9,245.0,521.4,346.2,158.8,465.3,441.2,488.5,289.7,224.6,275.8,475.5,503.0,194.2,128.3,133.7,487.5,257.6,667.2,288.4,314.9,228.9,848.2,79.8,634.1,414.5
IW,216.8,352.8,436.3,597.1,748.5,761.6,300.8,307.7,683.2,741.4,319.6,551.8,527.8,331.6,681.3,631.3,761.1,664.9,680.0,766.5,568.5,261.3,753.7,503.5,664.2,707.2,764.6,714.7,633.7,771.1,773.3,95.4,805.0,455.2,303.8,339.2,380.6,671.9,737.6,627.3,593.7,2529.9,11.6,526.4,581.3,723.7,475.2,683.7,366.7,694.6,0.0,701.0,739.2,686.1,204.3,632.9,126.6,904.3,340.1,222.4,922.8,752.7,225.9,779.5,330.3,307.7,549.3,244.6,653.5,134.5,854.5,711.6,72.9,574.1,373.8,662.0,788.7,353.2,554.3,829.4,318.9,540.3,647.4,64.4,387.3,527.7,335.7,823.9,349.0,565.9,721.1,472.0,482.5,373.6,671.6,541.2,741.1,689.2,351.9,628.9,603.1,303.4,330.0,362.3,329.9,378.5,710.7,690.7,577.2,680.0,797.4,560.6,333.1,709.5,647.5,721.3,778.8,298.5,653.0,540.2,705.0,306.0,451.0,638.7,750.1,578.2,674.9,573.2,284.7,717.6,744.1,658.1,690.4,750.5,141.6,349.0
IZ,651.2,695.7,620.6,781.4,879.7,945.9,618.0,604.2,409.5,925.7,600.2,736.1,712.1,496.0,865.6,815.6,939.5,506.2,864.3,206.3,752.8,557.8,938.0,664.5,685.9,891.5,939.7,899.0,818.0,138.3,741.7,632.0,980.1,657.5,600.3,682.1,564.9,856.2,888.8,267.9,778.0,2306.0,687.5,710.7,765.6,379.1,659.5,487.4,551.0,878.9,698.3,0.0,94.9,406.5,547.2,817.2,659.7,344.1,542.4,565.3,544.5,699.9,580.2,836.8,626.8,650.6,727.7,541.1,294.1,671.0,294.3,733.3,606.8,595.8,670.3,837.1,777.6,555.5,749.5,1007.8,558.9,701.3,464.8,704.3,571.6,702.8,491.5,1002.3,551.3,741.0,506.7,656.3,666.8,575.9,855.9,716.3,76.3,163.5,554.6,813.2,787.4,372.5,683.1,658.8,590.0,562.8,460.4,865.8,752.3,864.3,381.3,744.9,620.2,815.8,831.8,743.0,957.2,641.4,800.9,724.5,889.3,574.3,653.3,823.0,934.4,762.5,859.2,757.5,581.2,901.9,928.4,842.4,467.5,934.8,674.7,478.1
JI,770.8,815.3,740.2,901.0,999.3,1065.5,737.6,723.8,316.4,1045.3,719.8,855.7,831.7,615.6,985.2,935.2,1059.1,413.1,983.9,110.3,872.4,677.4,1057.6,784.1,805.5,1011.1,1059.3,1018.6,937.6,114.9,861.3,751.6,1099.7,777.1,719.9,801.7,684.5,975.8,1008.4,202.8,897.6,2226.9,807.1,830.3,885.2,286.0,779.1,394.3,670.6,998.5,817.9,119.5,0.0,313.4,666.8,936.8,779.3,248.1,662.0,684.9,451.4,819.5,693.9,956.4,746.4,770.2,847.3,660.7,178.8,790.6,198.3,852.9,726.4,715.4,789.9,956.7,897.2,675.1,869.1,1127.4,678.5,820.9,371.7,823.9,691.2,822.4,611.1,1121.9,670.9,860.6,413.6,775.9,786.4,695.5,975.5,835.9,167.1,67.5,674.2,932.8,907.0,492.1,802.7,778.4,709.6,682.4,367.3,985.4,871.9,983.9,288.2,864.5,739.8,935.4,951.4,862.6,1076.8,761.0,920.5,844.1,1008.9,693.9,772.9,942.6,1054.0,882.1,978.8,877.1,700.8,1021.5,1048.0,954.8,374.4,1054.4,794.3,597.7
JL,722.1,667.9,754.2,658.2,617.9,977.6,615.9,576.4,3.0,919.9,634.7,712.3,698.8,635.2,859.8,809.8,931.1,129.9,842.7,312.0,747.0,530.0,726.8,803.7,424.1,885.7,908.8,728.9,710.4,316.6,479.9,604.2,949.2,796.7,572.5,654.3,704.1,581.5,627.0,191.5,772.2,2028.9,659.7,668.9,741.8,96.9,793.1,148.7,690.2,836.4,670.5,385.3,284.7,0.0,519.4,811.4,631.9,449.8,681.6,537.5,296.0,438.1,719.4,575.0,599.0,622.8,866.9,513.3,167.5,639.8,400.0,471.5,579.0,334.0,642.5,806.2,515.8,694.7,888.7,999.4,698.1,840.5,58.2,676.5,710.8,842.0,630.7,993.9,690.5,880.2,100.1,789.9,800.4,715.1,637.8,855.5,368.8,234.7,693.8,679.3,781.6,344.7,645.1,631.0,645.0,702.0,175.7,834.9,834.4,627.7,170.6,721.1,759.4,554.0,826.0,481.2,948.8,613.6,539.1,700.7,883.5,713.5,792.5,817.2,743.2,756.7,621.6,733.7,553.4,896.1,922.6,836.6,60.9,827.9,646.9,617.3
JR,276.6,180.7,267.0,427.8,579.2,592.3,128.7,197.3,572.8,572.1,147.5,382.5,358.5,268.9,512.0,462.0,601.3,554.5,510.7,656.1,399.2,150.9,584.4,343.8,599.0,537.9,576.8,545.4,464.4,660.7,604.0,158.7,617.2,340.3,193.4,167.1,244.2,502.6,568.3,516.9,424.4,2419.5,214.2,357.1,412.0,613.3,305.9,573.3,250.3,525.3,225.0,590.6,628.8,575.7,0.0,463.6,186.4,793.9,295.4,50.3,812.4,583.4,285.7,610.2,219.9,135.6,418.3,134.2,543.1,194.3,744.1,649.6,133.5,463.7,263.4,474.2,619.4,308.5,394.6,669.6,378.7,380.6,537.0,231.0,265.9,371.6,273.0,664.1,304.3,461.9,610.7,302.7,313.2,328.9,502.3,437.2,630.7,578.8,273.6,459.6,433.8,193.0,157.9,251.9,157.8,262.1,600.3,502.9,389.4,510.7,687.0,391.3,392.9,540.2,478.2,659.3,619.0,126.4,483.7,370.9,535.7,365.8,374.8,469.4,580.8,408.9,505.6,403.9,174.3,548.3,574.8,488.8,580.0,581.2,201.4,286.3
JZ,499.0,579.0,300.9,424.3,424.7,263.7,359.2,636.8,837.1,243.5,341.4,182.8,329.2,343.7,183.4,133.4,354.8,866.0,170.7,928.2,91.7,590.4,146.5,418.6,419.6,209.3,251.4,107.5,340.8,907.7,478.6,601.5,321.0,415.1,632.9,565.4,319.0,499.1,433.8,789.0,51.5,2530.3,640.5,177.4,212.3,924.8,313.3,884.8,325.1,61.6,651.3,851.6,900.9,840.0,491.7,0.0,526.2,1066.0,370.2,434.9,1123.9,404.0,428.0,573.7,659.4,533.9,381.7,573.7,815.2,518.8,1016.2,470.2,573.0,510.4,702.9,276.7,514.5,383.3,469.4,383.4,406.7,455.4,848.5,657.3,340.7,336.8,347.8,366.1,379.1,460.5,902.0,219.2,278.4,403.7,444.6,435.8,891.7,850.9,348.4,456.1,105.2,632.5,424.3,691.4,331.2,336.9,911.8,241.1,304.9,434.5,998.5,191.6,468.0,360.8,141.9,479.9,372.5,435.1,304.3,171.2,207.1,422.1,449.6,140.8,142.9,80.3,502.1,204.2,613.8,219.7,246.2,160.2,862.8,117.5,580.7,361.1
KH,90.1,332.6,309.6,470.4,621.8,634.9,280.6,287.5,663.0,614.7,289.2,425.1,401.1,204.9,554.6,504.6,634.4,644.7,553.3,746.3,441.8,241.1,627.0,376.8,641.6,580.5,637.9,588.0,507.0,750.9,646.6,75.2,678.3,328.5,283.6,319.0,253.9,545.2,610.9,607.1,467.0,2509.7,114.2,399.7,454.6,703.5,348.5,663.5,240.0,567.9,125.0,680.8,719.0,665.9,184.1,506.2,0.0,884.1,213.4,202.2,902.6,626.0,99.2,652.8,310.1,287.5,422.6,224.4,633.3,7.8,834.3,692.2,52.7,553.9,353.6,535.3,662.0,226.5,427.6,702.7,192.2,413.6,627.2,131.0,260.6,401.0,209.0,697.2,222.3,439.2,700.9,345.3,355.8,246.9,544.9,414.5,720.9,669.0,225.2,502.2,476.4,283.2,309.8,342.1,279.0,251.8,690.5,564.0,450.5,553.3,777.2,433.9,206.4,582.8,520.8,701.9,652.1,278.3,526.3,413.5,578.3,179.3,324.3,512.0,623.4,451.5,548.2,446.5,264.5,590.9,617.4,531.4,670.2,623.8,54.4,222.3
KJ,844.3,881.4,813.7,974.5,1055.6,1139.0,811.1,789.9,445.3,1118.8,793.3,929.2,905.2,689.1,1058.7,1008.7,1132.6,542.0,1057.4,197.6,945.9,743.5,1131.1,857.6,861.8,1084.6,1132.8,1092.1,1011.1,199.7,917.6,817.7,1173.2,850.6,786.0,867.8,758.0,1019.2,1064.7,331.7,971.1,2355.8,873.2,903.8,958.7,414.9,852.6,523.2,744.1,1072.0,884.0,314.2,231.9,442.3,732.9,1010.3,845.4,0.0,735.5,751.0,580.3,875.8,767.4,1012.7,812.5,836.3,920.8,726.8,307.7,864.1,102.5,909.2,792.5,771.7,856.0,1030.2,953.5,748.6,942.6,1200.9,752.0,894.4,500.6,890.0,764.7,895.9,684.6,1195.4,744.4,926.0,542.5,849.4,859.9,769.0,1049.0,921.1,244.1,196.4,747.7,1006.3,980.5,558.2,858.6,844.5,783.1,755.9,496.2,1058.9,945.4,1057.4,417.1,938.0,813.3,991.7,1024.9,918.9,1150.3,827.1,976.8,917.6,1082.4,767.4,846.4,1016.1,1127.5,955.6,1052.3,950.6,766.9,1095.0,1121.5,1035.5,503.3,1127.9,860.4,671.2
KY,182.3,386.9,169.7,330.5,481.9,493.2,167.1,444.7,715.6,519.4,149.3,358.9,261.2,45.0,414.7,364.7,420.9,697.3,413.4,629.5,301.9,398.3,487.1,163.3,501.7,440.6,424.4,448.1,367.1,609.0,506.7,284.8,464.8,115.0,440.8,373.3,137.8,405.3,471.0,490.3,327.1,2562.3,323.8,259.8,328.6,756.1,208.6,716.1,100.1,428.0,334.6,552.9,602.2,718.5,299.6,366.3,209.5,767.3,0.0,242.8,837.8,486.1,111.3,512.9,467.3,341.8,209.1,381.6,516.5,202.1,717.5,552.3,262.3,592.5,510.8,321.8,522.1,13.0,214.1,489.2,90.0,200.1,679.8,340.6,195.5,187.5,49.1,483.7,8.8,225.7,753.5,205.4,240.1,39.5,405.0,201.0,593.0,552.2,103.7,362.3,336.5,440.4,232.2,499.3,139.1,111.9,743.1,350.5,237.0,413.4,674.6,350.2,151.3,442.9,380.9,562.0,438.6,243.0,386.4,273.6,438.4,105.4,110.8,372.1,483.5,311.6,408.3,337.6,421.7,510.3,556.8,391.5,722.8,483.9,264.0,62.4
LD,281.1,144.0,216.6,377.4,528.8,541.9,78.3,201.8,577.3,521.7,97.1,332.1,308.1,218.5,461.6,411.6,550.9,559.0,460.3,660.6,348.8,155.4,534.0,293.4,548.6,487.5,526.4,495.0,414.0,665.2,553.6,163.2,566.8,289.9,197.9,130.4,193.8,452.2,517.9,521.4,374.0,2424.0,218.7,306.7,361.6,617.8,255.5,577.8,199.9,474.9,229.5,595.1,633.3,580.2,56.7,413.2,190.9,798.4,245.0,0.0,816.9,533.0,296.1,559.8,224.4,98.9,367.9,138.7,547.6,198.8,748.6,599.2,138.0,468.2,267.9,423.8,569.0,258.1,344.2,619.2,281.5,330.2,541.5,235.5,215.5,321.2,222.6,613.7,253.9,411.5,615.2,252.3,262.8,278.5,451.9,386.8,635.2,583.3,223.2,409.2,383.4,197.5,107.5,256.4,107.4,211.7,604.8,452.5,339.0,460.3,691.5,340.9,397.4,489.8,427.8,608.9,568.6,76.0,433.3,320.5,485.3,370.3,324.4,419.0,530.4,358.5,455.2,353.5,178.8,497.9,524.4,438.4,584.5,530.8,205.9,235.9
LI,927.0,964.1,896.4,1057.2,935.9,1221.7,893.8,872.6,325.6,1201.5,876.0,1011.9,987.9,771.8,1141.4,1091.4,1215.3,422.3,1140.1,448.6,1028.6,826.2,1044.8,940.3,742.1,1167.3,1215.5,1046.9,1093.8,453.2,797.9,900.4,1255.9,933.3,868.7,950.5,840.7,899.5,945.0,328.1,1053.8,2351.6,955.9,986.5,1041.4,295.2,935.3,403.5,826.8,1154.7,966.7,521.9,421.3,322.6,815.6,1093.0,928.1,586.4,818.2,833.7,0.0,756.1,856.0,893.0,895.2,919.0,1003.5,809.5,304.1,946.8,536.6,789.5,875.2,652.0,938.7,1112.9,833.8,831.3,1025.3,1283.6,834.7,977.1,380.9,972.7,847.4,978.6,767.3,1278.1,827.1,1016.8,422.8,932.1,942.6,851.7,955.8,992.1,505.4,371.3,830.4,1089.0,1063.2,640.9,941.3,927.2,865.8,838.6,376.5,1141.6,1028.1,945.7,197.5,1020.7,896.0,872.0,1107.6,799.2,1233.0,909.8,857.1,1000.3,1165.1,850.1,929.1,1098.8,1061.2,1038.3,939.6,1033.3,849.6,1177.7,1204.2,1118.2,383.6,1210.6,943.1,753.9
LN,608.3,685.0,410.2,252.8,179.7,539.4,468.5,593.5,433.0,481.7,450.7,274.1,260.6,453.0,421.6,371.6,492.9,461.9,404.5,735.8,308.8,547.1,288.6,527.9,15.5,447.5,470.6,290.7,272.2,740.4,74.5,621.3,511.0,524.4,589.6,671.4,428.3,176.1,188.8,615.3,334.0,2279.7,676.8,230.7,303.6,520.7,422.6,480.7,434.4,398.2,687.6,732.0,708.5,435.9,536.5,373.2,649.0,873.6,479.5,554.6,719.8,0.0,537.3,169.6,616.1,639.9,473.0,530.4,591.3,656.9,823.8,66.1,596.1,106.3,659.6,368.0,110.4,492.6,574.7,561.2,516.0,564.7,444.4,693.6,450.0,442.5,457.1,555.7,488.4,566.2,497.9,328.5,413.1,513.0,199.6,541.5,772.1,658.5,457.7,273.9,343.4,361.8,533.6,648.1,440.5,446.2,507.7,396.7,396.2,189.5,594.4,282.9,577.3,115.8,387.8,75.8,510.6,630.7,100.9,262.5,445.3,531.4,558.9,379.0,305.0,318.5,216.2,295.5,570.5,457.9,484.4,398.4,458.7,389.7,664.0,470.4
LR,76.8,421.6,204.4,365.2,516.6,529.7,201.8,391.6,767.1,509.5,184.0,319.9,295.9,99.7,449.4,399.4,529.2,748.8,448.1,684.2,336.6,345.2,521.8,271.6,536.4,475.3,532.7,482.8,401.8,696.6,541.4,179.3,573.1,223.3,387.7,408.0,148.7,440.0,505.7,545.0,361.8,2613.8,218.3,294.5,349.4,807.6,243.3,767.6,134.8,462.7,229.1,607.6,656.9,770.0,288.2,401.0,104.0,822.0,108.2,277.5,1006.7,520.8,0.0,547.6,414.2,376.5,317.4,328.5,571.2,96.6,772.2,587.0,156.8,627.2,457.7,430.1,556.8,121.3,322.4,597.5,87.0,308.4,731.3,235.1,155.4,295.8,103.8,592.0,117.1,325.9,805.0,240.1,250.6,141.7,439.7,321.0,647.7,606.9,120.0,397.0,371.2,387.3,266.9,446.2,173.8,146.6,794.6,458.8,345.3,448.1,881.3,328.7,101.2,477.6,415.6,596.7,546.9,277.7,421.1,308.3,473.1,74.1,219.1,406.8,518.2,346.3,443.0,341.3,368.6,485.7,512.2,426.2,774.3,518.6,158.5,117.1
LU,651.7,798.5,453.6,190.6,267.2,705.7,511.9,707.0,546.5,648.0,494.1,440.4,286.4,496.4,587.9,537.9,659.2,575.4,570.8,849.3,475.1,660.6,454.9,571.3,152.2,613.8,636.9,457.0,392.3,853.9,81.2,734.8,677.3,567.8,703.1,784.9,471.7,113.9,256.3,728.8,500.3,2393.2,790.3,397.0,469.9,634.2,466.0,594.2,477.8,564.5,801.1,845.5,822.0,549.4,650.0,539.5,762.5,987.1,522.9,668.1,833.3,166.2,580.7,0.0,729.6,753.4,518.2,643.9,704.8,671.5,937.3,141.6,709.6,219.8,773.1,534.3,96.6,536.0,603.7,727.5,559.4,617.7,557.9,807.1,493.4,471.5,500.5,722.0,531.8,595.2,611.4,420.6,413.1,556.4,232.8,570.5,885.6,772.0,501.1,211.7,509.7,475.3,577.0,761.6,483.9,489.6,621.2,563.0,489.3,222.7,707.9,449.2,620.7,282.1,554.1,147.3,676.9,587.8,267.2,428.8,611.6,574.8,602.3,545.3,471.3,484.8,154.0,461.8,684.0,624.2,650.7,564.7,572.2,556.0,777.5,513.8
LY,421.7,367.5,453.8,614.6,766.0,779.1,315.5,173.4,631.5,758.9,334.3,569.3,545.3,455.7,698.8,648.8,788.1,613.2,697.5,714.8,586.0,127.0,771.2,530.6,612.5,724.7,763.6,732.2,651.2,727.2,668.3,303.8,804.0,527.1,34.9,353.9,431.0,689.4,755.1,575.6,611.2,2478.2,359.3,543.9,598.8,672.0,492.7,632.0,437.1,712.1,370.1,649.3,687.5,634.4,219.0,650.4,331.5,852.6,482.2,237.1,871.1,626.5,436.7,797.0,0.0,322.4,605.1,110.3,601.8,339.4,802.8,659.9,278.6,522.4,43.4,661.0,704.2,495.3,581.4,856.4,523.8,567.4,595.7,376.1,452.7,558.4,459.8,850.9,491.1,648.7,669.4,489.5,500.0,515.7,689.1,624.0,689.4,637.5,460.4,646.4,620.6,251.7,344.7,31.9,344.6,448.9,659.0,689.7,576.2,697.5,745.7,578.1,538.0,727.0,665.0,669.6,805.8,313.2,670.5,557.7,722.5,510.9,561.6,656.2,767.6,595.7,692.4,590.7,150.4,735.1,761.6,675.6,638.7,768.0,346.5,473.1
MI,398.9,121.7,328.1,488.9,640.3,653.4,189.8,319.6,695.1,633.2,208.6,443.6,419.6,330.0,573.1,523.1,662.4,676.8,571.8,778.4,460.3,273.2,645.5,404.9,660.1,599.0,637.9,606.5,525.5,783.0,665.1,281.0,678.3,401.4,315.7,61.3,305.3,563.7,629.4,639.2,485.5,2541.8,336.5,418.2,473.1,735.6,367.0,695.6,311.4,586.4,347.3,712.9,751.1,698.0,174.5,524.7,308.7,916.2,356.5,111.4,934.7,644.5,408.0,671.3,342.2,0.0,479.4,256.5,665.4,316.6,866.4,710.7,255.8,586.0,385.7,535.3,680.5,369.6,455.7,730.7,393.0,441.7,659.3,353.3,327.0,432.7,334.1,725.2,365.4,523.0,733.0,363.8,374.3,390.0,563.4,498.3,753.0,701.1,334.7,520.7,494.9,315.3,219.0,374.2,218.9,323.2,722.6,564.0,450.5,571.8,809.3,452.4,454.3,601.3,539.3,720.4,680.1,187.5,544.8,432.0,596.8,408.4,435.9,530.5,641.9,470.0,566.7,465.0,296.6,609.4,635.9,549.9,702.3,642.3,323.7,347.4
MW,397.7,490.4,212.3,306.4,457.8,354.5,270.6,548.2,903.6,380.7,252.8,203.4,237.1,255.1,408.6,358.6,211.7,932.5,407.3,820.2,295.8,501.8,461.7,234.3,486.1,416.9,285.7,463.8,343.0,799.7,482.6,500.2,327.3,256.3,544.3,476.8,208.8,381.2,446.9,681.0,321.0,2804.2,539.2,244.2,173.1,991.3,224.7,951.3,232.9,421.9,550.0,743.6,792.9,906.5,403.1,360.2,424.9,958.0,215.3,346.3,1028.5,470.5,326.7,488.8,570.8,445.3,0.0,485.1,707.2,417.5,908.2,536.7,477.7,576.9,614.3,184.3,498.0,202.6,202.3,280.0,305.4,216.3,915.0,556.0,252.1,70.1,259.2,274.5,206.5,193.8,968.5,199.3,93.0,254.9,380.9,169.1,783.7,742.9,259.8,338.2,330.4,543.9,335.7,602.8,242.6,244.7,978.3,213.0,107.9,389.3,865.3,194.7,366.7,427.3,374.8,546.4,229.4,346.5,370.8,215.7,414.6,320.8,287.0,366.0,478.1,305.5,384.2,182.1,525.2,371.6,418.1,375.0,929.3,477.8,479.4,272.5
NA,336.0,281.8,368.1,528.9,680.3,693.4,229.8,63.0,545.8,673.2,248.6,483.6,459.6,370.0,613.1,563.1,702.4,527.5,611.8,629.1,500.3,16.6,685.5,444.9,526.8,639.0,677.9,646.5,565.5,633.7,582.6,218.1,718.3,441.4,63.8,268.2,345.3,603.7,669.4,489.9,525.5,2392.5,273.6,458.2,513.1,586.3,407.0,546.3,351.4,626.4,284.4,563.6,601.8,548.7,133.3,564.7,245.8,766.9,396.5,151.4,785.4,540.8,345.1,711.3,90.3,236.7,519.4,0.0,516.1,253.7,717.1,574.2,192.9,436.7,133.8,575.3,618.5,409.6,495.7,770.7,438.1,481.7,510.0,290.4,367.0,472.7,374.1,765.2,405.4,563.0,583.7,403.8,414.3,430.0,603.4,538.3,603.7,551.8,374.7,560.7,534.9,166.0,259.0,122.3,258.9,363.2,573.3,604.0,490.5,611.8,660.0,492.4,452.3,641.3,579.3,583.9,720.1,227.5,584.8,472.0,636.8,425.2,475.9,570.5,681.9,510.0,606.7,505.0,40.0,649.4,675.9,589.9,553.0,682.3,260.8,387.4
NB,623.3,660.4,592.7,753.5,844.4,918.0,590.1,568.9,186.2,897.8,572.3,708.2,684.2,468.1,837.7,787.7,911.6,282.9,836.4,173.1,724.9,522.5,910.1,636.6,650.6,863.6,911.8,871.1,790.1,177.7,706.4,596.7,952.2,629.6,565.0,646.8,537.0,808.0,853.5,23.9,750.1,2183.0,652.2,682.8,737.7,155.8,631.6,264.1,523.1,851.0,663.0,246.4,145.8,183.2,511.9,789.3,624.4,310.9,514.5,530.0,321.2,664.6,552.3,801.5,591.5,615.3,699.8,505.8,0.0,643.1,261.1,698.0,571.5,560.5,635.0,809.2,742.3,527.6,721.6,979.9,531.0,673.4,241.5,669.0,543.7,674.9,463.6,974.4,523.4,713.1,283.4,628.4,638.9,548.0,828.0,688.4,229.9,95.8,526.7,785.3,759.5,337.2,637.6,623.5,562.1,534.9,237.1,837.9,724.4,836.4,158.0,717.0,592.3,780.5,803.9,707.7,929.3,606.1,765.6,696.6,861.4,546.4,625.4,795.1,906.5,734.6,831.3,729.6,545.9,874.0,900.5,814.5,244.2,906.9,639.4,450.2
NL,82.2,340.0,301.7,462.5,613.9,627.0,299.1,294.9,670.4,606.8,281.3,417.2,393.2,197.0,546.7,496.7,626.5,652.1,545.4,753.7,433.9,248.5,619.1,368.9,633.7,572.6,630.0,580.1,499.1,758.3,638.7,82.6,670.4,320.6,291.0,326.4,246.0,537.3,603.0,614.5,459.1,2517.1,121.6,391.8,446.7,710.9,340.6,670.9,232.1,560.0,132.4,688.2,726.4,673.3,191.5,498.3,7.3,891.5,205.5,209.6,910.0,618.1,91.3,644.9,317.5,294.9,414.7,231.8,640.7,0.0,841.7,684.3,60.1,561.3,361.0,527.4,654.1,218.6,419.7,694.8,184.3,405.7,634.6,138.4,252.7,393.1,201.1,689.3,214.4,431.3,708.3,337.4,347.9,239.0,537.0,406.6,728.3,676.4,217.3,494.3,468.5,290.6,317.2,349.5,271.1,243.9,697.9,556.1,442.6,545.4,784.6,426.0,198.5,574.9,512.9,694.0,644.2,285.7,518.4,405.6,570.4,171.4,316.4,504.1,615.5,443.6,540.3,438.6,271.9,583.0,609.5,523.5,677.6,615.9,61.8,214.4
NR,807.4,844.5,776.8,937.6,1018.7,1102.1,774.2,753.0,408.4,1081.9,756.4,892.3,868.3,652.2,1021.8,971.8,1095.7,505.1,1020.5,160.7,909.0,706.6,1094.2,820.7,824.9,1047.7,1095.9,1055.2,974.2,155.0,880.7,780.8,1136.3,813.7,749.1,830.9,721.1,982.3,1027.8,294.8,934.2,2318.9,836.3,866.9,921.8,378.0,815.7,486.3,707.2,1035.1,847.1,277.3,195.0,405.4,696.0,973.4,808.5,131.1,698.6,714.1,543.4,838.9,736.4,975.8,775.6,799.4,883.9,689.9,270.8,827.2,0.0,872.3,755.6,734.8,819.1,993.3,916.6,711.7,905.7,1164.0,715.1,857.5,463.7,853.1,727.8,859.0,647.7,1158.5,707.5,897.2,505.6,812.5,823.0,732.1,1012.1,872.5,207.2,159.5,710.8,969.4,943.6,521.3,821.7,807.6,746.2,719.0,459.3,1022.0,908.5,1020.5,380.2,901.1,776.4,954.8,988.0,882.0,1113.4,790.2,939.9,880.7,1045.5,730.5,809.5,979.2,1090.6,918.7,1015.4,913.7,730.0,1058.1,1084.6,998.6,466.4,1091.0,823.5,634.3
