from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,EG,EI,EJ,EL,EP,EV,EW,EX,FF,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OC,OF,OI,OP,OR,OT,PB,PH,PJ,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,SE,SU,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XZ,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
ID,686.7,729.8,501.6,593.3,513.7,452.6,723.0,571.6,852.9,871.0,545.5,537.1,827.6,518.3,659.4,338.6,504.2,591.1,611.8,578.7,715.8,425.5,469.4,253.9,484.2,210.8,792.3,688.1,685.4,551.1,427.0,558.0,389.5,533.3,843.5,824.1,663.8,637.4,552.9,707.9,628.8,706.7,838.6,689.5,562.3,676.9,524.1,0.0,817.4,764.7,855.1,771.3,623.5,627.6,373.1,844.5,560.0,843.2,860.0,461.5,768.8,874.4,845.9,842.7,299.1,531.1,850.6,710.4,807.9,627.7,653.1,879.0,181.7,741.2,635.4,595.9,323.0,789.4,539.9,387.7,806.1,526.0,330.4,604.6,812.1,680.4,705.9,875.1,595.5,889.5,267.3,837.7,838.3,666.2,672.5,611.3,582.2,2528.4,765.8,594.1,858.0,328.2,765.5,830.4,264.8,758.8,559.9,564.9,864.3,880.0,739.3,387.4,352.4,340.0,353.8,681.3,610.1,868.1,760.0,728.6,511.0,640.8,640.3,564.5,261.0,404.2,628.0,537.9,580.0,786.8,572.6,672.3,569.9,777.9,526.4,564.7,100.3
IG,580.0,623.1,451.6,276.8,305.5,648.3,109.9,521.6,979.7,983.8,495.5,487.1,954.4,473.9,552.7,747.9,454.2,583.1,561.8,528.7,339.9,699.0,419.4,663.2,346.6,588.6,126.8,800.9,625.9,288.5,389.8,508.0,448.7,306.3,956.3,950.9,442.5,571.8,542.3,627.1,477.5,881.2,970.5,559.7,512.3,140.7,294.1,801.6,0.0,877.5,981.9,884.1,280.7,285.1,676.9,971.3,278.8,970.0,972.8,713.9,287.3,1001.2,972.7,969.5,536.0,314.6,977.4,310.9,68.1,577.7,556.1,1011.3,627.2,681.7,575.9,254.0,513.5,729.9,410.4,661.2,86.3,378.5,574.7,554.6,929.2,532.9,208.1,1001.9,250.2,1016.3,599.0,964.5,965.1,346.7,847.0,561.3,528.4,2421.7,87.3,233.6,984.8,737.5,878.3,957.2,534.6,80.3,412.4,556.9,991.1,1006.8,96.3,660.9,484.5,613.5,627.3,574.6,773.0,994.9,201.4,226.6,461.0,183.0,580.8,435.0,626.9,677.7,521.3,390.4,530.0,899.6,248.3,612.8,536.1,353.3,700.9,514.7,746.8
IJ,351.8,478.4,663.6,714.8,635.2,786.6,937.9,720.6,359.4,256.8,653.8,719.1,334.1,626.6,418.6,714.9,671.2,721.4,751.6,755.5,930.7,801.8,631.9,630.2,605.7,555.6,956.1,107.5,431.6,766.0,548.5,740.0,693.6,748.2,229.3,330.6,859.8,842.0,680.6,441.3,769.2,141.7,345.1,829.9,724.3,798.4,645.6,768.6,954.3,0.0,361.6,157.1,838.4,842.5,749.4,351.0,774.9,349.7,245.8,852.2,912.2,380.9,352.4,349.2,675.4,746.0,357.1,831.9,969.7,767.5,826.3,385.5,594.2,303.6,408.9,717.4,699.3,308.6,754.8,764.0,987.9,740.9,706.7,786.6,318.6,904.6,827.4,381.6,810.4,396.0,566.0,344.2,344.8,881.1,252.5,793.3,720.7,2267.4,851.8,809.0,364.5,704.5,0.7,336.9,501.6,860.1,774.8,695.2,370.8,386.5,954.2,763.7,728.7,716.3,730.1,357.3,242.7,374.6,881.5,850.1,653.3,855.7,445.7,779.4,593.9,780.5,410.3,752.8,742.0,172.6,694.1,444.7,713.3,992.8,266.8,747.2,713.8
IQ,385.5,512.1,699.7,743.5,663.9,822.7,974.0,756.7,63.5,417.2,689.9,755.2,180.7,662.7,452.3,743.6,707.3,757.5,787.7,791.6,966.8,830.5,668.0,658.9,634.4,584.3,984.8,234.3,465.3,802.1,577.2,776.1,729.7,784.3,389.7,95.2,895.9,878.1,716.7,475.0,805.3,398.8,49.2,866.0,760.4,827.1,674.3,797.3,983.0,310.9,0.0,317.5,874.5,878.6,778.1,29.9,811.0,136.7,406.2,888.3,940.9,146.7,102.0,150.6,704.1,782.1,129.3,860.6,998.4,803.6,862.4,84.1,622.9,337.3,442.6,746.1,728.0,342.3,790.9,792.7,1016.6,777.0,735.4,822.7,74.3,940.7,856.1,31.7,846.5,218.8,594.7,81.5,74.4,917.2,364.6,829.4,756.8,2020.8,880.5,845.1,68.0,733.2,311.7,138.3,530.3,888.8,810.9,731.3,190.1,90.0,990.3,792.4,757.4,745.0,758.8,391.0,262.4,124.2,910.2,878.8,689.4,891.8,479.4,815.5,622.6,809.2,444.0,788.9,778.1,333.0,722.8,478.4,749.4,1028.9,295.5,783.3,742.5
IW,341.6,468.2,659.8,693.8,614.2,782.8,934.1,716.8,349.2,224.9,650.0,715.3,323.9,622.8,408.4,703.7,667.4,717.6,747.8,751.7,926.9,790.6,628.1,619.0,584.7,544.4,935.1,97.3,421.4,762.2,537.3,736.2,689.8,744.4,197.4,320.4,856.0,838.2,676.8,431.1,765.4,212.2,334.9,826.1,720.5,777.4,624.6,757.4,933.3,157.2,351.4,0.0,834.6,838.7,738.2,340.8,771.1,339.5,213.9,848.4,891.2,370.7,342.2,339.0,664.2,742.2,346.9,810.9,948.7,763.7,822.5,375.3,583.0,293.4,398.7,696.4,688.1,298.4,751.0,752.8,966.9,737.1,695.5,782.8,308.4,900.8,806.4,371.4,806.6,385.8,554.8,334.0,334.6,877.3,383.8,789.5,716.9,2257.2,830.8,805.2,354.3,693.3,158.0,326.7,490.4,839.1,771.0,691.4,360.6,376.3,950.4,752.5,717.5,705.1,718.9,347.1,232.5,364.4,860.5,829.1,649.5,851.9,435.5,775.6,582.7,769.3,400.1,749.0,738.2,61.8,673.1,434.5,709.5,957.2,255.6,743.4,702.6
JE,708.8,752.2,224.7,405.9,434.6,421.4,325.2,294.4,904.7,919.5,268.6,260.2,876.1,247.0,681.8,468.1,227.3,355.9,334.9,301.5,360.3,475.9,192.5,388.9,475.7,426.7,342.5,736.6,755.0,61.6,518.9,281.1,221.5,79.4,892.0,872.6,161.4,290.7,315.4,756.2,196.4,744.1,892.2,278.6,285.1,269.8,423.2,588.2,267.7,813.2,903.6,819.8,0.0,4.0,450.0,893.0,51.6,891.4,908.5,487.0,413.3,922.9,894.4,891.2,309.1,164.3,899.1,440.0,283.4,350.8,275.3,932.7,413.8,810.8,705.0,383.1,286.6,859.0,104.7,434.3,301.6,139.5,347.8,320.7,850.9,238.9,336.9,923.6,213.9,938.0,483.2,885.9,886.5,310.4,661.7,334.4,301.5,2604.7,216.4,44.7,898.4,457.7,813.7,878.9,480.7,209.4,173.4,330.0,912.8,928.5,311.6,434.0,257.6,386.6,400.4,703.7,658.6,916.6,386.8,355.7,234.1,91.4,709.9,129.3,476.9,450.8,650.4,151.4,303.1,835.3,377.4,741.6,309.2,422.4,574.6,287.8,533.4
JF,713.1,756.2,228.7,409.9,438.6,425.4,329.2,298.7,905.4,923.5,272.6,264.2,880.1,251.0,685.8,472.1,231.3,360.2,338.9,305.8,364.3,476.1,196.5,392.9,479.7,430.7,346.1,740.6,759.0,65.6,522.9,285.1,225.8,83.4,896.0,876.6,157.3,286.6,319.4,760.2,192.3,748.1,896.2,274.5,289.4,273.8,427.2,592.2,272.0,817.2,907.6,823.8,3.9,0.0,454.0,897.0,55.9,895.7,912.5,491.0,417.3,926.9,898.4,895.2,313.1,168.6,903.1,444.0,287.4,354.8,270.9,937.0,417.8,814.8,709.0,387.1,290.6,863.0,108.7,438.3,305.6,143.5,351.8,328.1,864.6,234.8,341.2,927.6,218.2,942.0,487.2,890.2,890.8,314.7,665.7,338.4,305.5,2608.7,220.4,48.7,902.4,461.7,818.0,882.9,484.7,213.4,177.4,334.0,916.8,932.5,315.6,438.0,261.6,390.6,404.4,707.7,662.6,920.6,391.1,359.7,238.1,95.4,713.9,133.3,480.9,454.8,654.4,155.4,307.1,839.3,381.4,745.9,313.2,426.4,578.9,291.8,537.4
JH,670.3,713.4,283.7,576.9,497.3,100.2,558.0,322.7,836.5,854.6,255.9,339.2,811.2,228.7,643.0,141.3,291.3,238.7,353.7,357.6,550.8,342.7,252.0,171.1,467.8,194.4,627.3,671.7,669.0,386.1,410.6,349.7,313.7,368.3,827.1,807.7,485.8,462.8,200.5,691.5,398.5,690.3,822.2,459.2,300.9,654.2,507.7,355.9,652.4,748.3,838.7,754.9,458.5,462.6,0.0,828.1,395.0,826.8,843.6,109.1,603.8,858.0,829.5,826.3,216.3,366.1,834.2,694.0,642.9,369.6,455.6,862.6,181.5,724.8,619.0,579.5,240.2,773.0,374.9,304.9,641.1,361.0,247.6,430.0,795.7,533.9,717.4,858.7,430.5,873.1,250.9,821.3,821.9,501.2,656.1,436.7,229.8,2512.0,600.8,429.1,841.6,130.9,749.1,814.0,248.4,593.8,394.9,212.5,847.9,863.6,574.3,304.6,269.6,257.2,271.0,664.9,593.7,851.7,701.9,709.8,254.2,475.8,623.9,399.5,244.6,321.4,611.6,372.9,362.1,770.4,556.2,655.9,217.5,612.9,510.0,376.5,301.1
JJ,385.2,511.8,699.4,743.2,663.6,822.4,973.7,756.4,63.2,416.9,689.6,754.9,184.1,662.4,452.0,743.3,707.0,757.2,787.4,791.3,966.5,830.2,667.7,658.6,634.1,584.0,984.5,234.0,465.0,801.8,576.9,775.8,729.4,784.0,389.4,65.2,895.6,877.8,716.4,474.7,805.0,398.5,48.9,865.7,760.1,826.8,674.0,797.0,982.7,310.6,20.2,317.2,874.2,878.3,777.8,0.0,810.7,106.7,405.9,888.0,940.6,116.7,72.0,120.6,703.8,781.8,99.3,860.3,998.1,803.3,862.1,89.3,622.6,337.0,442.3,745.8,727.7,342.0,790.6,792.4,1016.3,776.7,735.1,822.4,44.3,940.4,855.8,51.9,846.2,188.8,594.4,51.5,44.4,916.9,364.3,829.1,756.5,2020.5,880.2,844.8,38.0,732.9,311.4,108.3,530.0,888.5,810.6,731.0,160.1,60.0,990.0,792.1,757.1,744.7,758.5,390.7,262.1,94.2,909.9,878.5,689.1,891.5,479.1,815.2,622.3,808.9,443.7,788.6,777.8,332.7,722.5,478.1,749.1,1028.6,295.2,783.0,742.2
JM,697.3,740.4,171.6,394.1,422.8,368.3,313.4,241.6,848.3,866.4,215.5,207.1,823.0,193.9,670.0,415.0,174.2,303.1,281.8,248.7,296.2,419.0,139.4,335.8,463.9,373.6,330.3,683.5,743.2,8.5,507.1,228.0,168.7,26.3,838.9,819.5,224.2,307.4,262.3,744.4,201.1,691.0,834.0,283.3,232.3,258.0,411.4,535.1,256.2,760.1,850.5,766.7,62.0,66.4,396.9,839.9,0.0,838.6,855.4,433.9,349.2,869.8,841.3,838.1,256.0,111.5,846.0,428.2,271.6,297.7,279.7,874.4,360.7,799.0,693.2,371.3,233.5,847.2,51.6,381.2,289.8,86.4,294.7,274.6,797.8,240.8,325.4,870.5,202.4,884.9,430.1,833.1,833.7,246.6,608.6,281.3,248.4,2595.5,204.6,32.9,845.3,404.6,760.9,825.8,427.6,197.6,120.3,276.9,859.7,875.4,299.8,380.9,204.5,333.5,347.3,691.9,605.5,863.5,375.3,343.9,181.0,79.6,698.1,76.2,423.8,397.7,638.6,98.3,250.0,782.2,365.6,730.1,256.1,358.3,521.8,234.7,480.3
JN,375.2,501.8,689.4,733.2,653.6,812.4,963.7,746.4,146.4,406.9,679.6,744.9,115.0,658.0,442.0,733.3,697.0,747.2,777.4,781.3,956.5,824.0,657.7,648.6,624.1,574.0,974.1,224.0,455.0,791.8,566.9,765.8,719.4,774.0,379.4,50.7,885.6,867.8,706.4,464.7,795.0,388.5,128.8,855.7,750.1,816.8,664.0,787.0,972.7,300.6,127.9,307.2,864.2,868.3,767.8,107.6,800.7,0.0,395.9,878.0,930.6,63.6,51.7,31.9,693.8,771.8,7.4,850.3,988.1,793.3,852.1,169.2,612.6,327.0,432.3,735.8,717.7,332.0,780.6,782.4,1006.3,766.7,725.1,808.8,56.7,930.4,850.0,159.6,836.2,119.7,584.4,64.3,72.7,906.9,354.3,819.1,746.5,2051.1,870.2,834.8,94.5,722.9,301.4,19.6,520.0,878.5,800.6,721.0,91.0,124.6,980.0,782.1,747.1,734.7,748.5,380.7,252.1,73.9,899.9,868.5,679.1,881.5,469.1,805.2,612.3,798.9,433.7,778.6,767.8,322.7,712.5,468.1,739.1,1018.6,285.2,773.0,732.2
JV,413.0,539.6,731.2,765.2,685.6,854.2,1005.5,788.2,420.6,228.9,721.4,786.7,395.3,694.2,479.8,775.1,738.8,789.0,819.2,823.1,998.3,862.0,699.5,690.4,656.1,615.8,1006.5,168.7,492.8,833.6,608.7,807.6,761.2,815.8,66.4,391.8,927.4,909.6,748.2,502.5,836.8,253.4,406.3,897.5,791.9,848.8,696.0,828.8,1004.7,231.7,422.8,214.9,906.0,910.1,809.6,412.2,842.5,410.9,0.0,919.8,962.6,442.1,413.6,410.4,735.6,813.6,418.3,882.3,1020.1,835.1,893.9,446.7,654.4,364.8,470.1,767.8,759.5,369.8,822.4,824.2,1038.3,808.5,766.9,854.2,379.8,972.2,877.8,442.8,878.0,457.2,626.2,405.4,406.0,948.7,396.1,860.9,788.3,2381.9,902.2,876.6,425.7,764.7,232.5,398.1,561.8,910.5,842.4,762.8,432.0,447.7,1021.8,823.9,788.9,776.5,790.3,418.5,303.9,435.8,931.9,900.5,720.9,923.3,506.9,847.0,654.1,840.7,471.5,820.4,809.6,233.7,744.5,505.9,780.9,1028.6,327.0,814.8,774.0
JX,728.9,772.0,330.9,635.5,555.9,147.4,605.2,369.9,895.1,913.2,303.1,386.4,869.8,275.9,701.6,199.9,338.5,285.9,400.9,404.8,598.0,401.3,299.2,229.7,526.4,253.0,674.5,730.3,727.6,433.3,469.2,396.9,360.9,415.5,885.7,866.3,533.0,510.0,247.7,750.1,445.7,748.9,880.8,506.4,348.1,701.4,566.3,414.5,699.6,806.9,897.3,813.5,505.7,509.8,99.3,886.7,442.2,885.4,902.2,0.0,651.0,916.6,888.1,884.9,274.9,413.3,892.8,752.6,690.1,416.8,502.8,921.2,240.1,783.4,677.6,638.1,298.8,831.6,422.1,363.5,688.3,408.2,306.2,477.2,854.3,581.1,764.6,917.3,477.7,931.7,309.5,879.9,880.5,548.4,714.7,483.9,277.0,2570.6,648.0,476.3,900.2,189.5,807.7,872.6,307.0,641.0,442.1,259.7,906.5,922.2,621.5,363.2,328.2,315.8,329.6,723.5,652.3,910.3,749.1,757.0,301.4,523.0,682.5,446.7,303.2,380.0,670.2,420.1,409.3,829.0,614.8,714.5,264.7,660.1,568.6,423.7,359.7
KA,542.4,585.5,407.5,239.2,267.9,604.2,237.3,477.5,942.1,946.2,451.4,443.0,916.8,424.2,515.1,710.3,410.1,539.0,517.7,484.6,52.5,654.9,375.3,625.6,309.0,551.0,167.7,763.3,588.3,347.4,352.2,463.9,404.6,329.6,918.7,913.3,442.1,513.3,498.2,589.5,419.0,843.6,927.8,501.2,468.2,157.3,256.5,764.0,272.8,839.9,944.3,846.5,433.9,438.0,632.8,933.7,356.3,932.4,935.2,669.8,0.0,963.6,935.1,931.9,491.9,240.4,939.8,273.3,249.8,533.6,497.6,968.2,589.6,644.1,538.3,216.4,469.4,692.3,336.2,617.1,248.0,304.3,530.6,510.5,901.3,458.7,136.7,964.3,201.8,978.7,561.4,926.9,927.5,103.6,809.4,517.2,484.3,2384.1,210.7,390.4,947.2,699.9,840.7,919.6,497.0,219.0,338.2,512.8,953.5,969.2,223.7,616.8,440.4,569.4,583.2,537.0,735.4,957.3,93.1,105.9,416.9,335.9,543.2,360.8,589.3,633.6,483.7,316.2,485.9,862.0,210.7,575.2,492.0,65.9,663.3,470.6,709.2
KF,405.1,531.7,719.3,763.1,683.5,842.3,993.6,776.3,173.0,436.8,709.5,774.8,67.3,682.3,471.9,763.2,726.9,777.1,807.3,811.2,986.4,850.1,687.6,678.5,654.0,603.9,1004.4,253.9,484.9,821.7,596.8,795.7,749.3,803.9,409.3,80.6,915.5,897.7,736.3,494.6,824.9,418.4,158.7,885.6,780.0,846.7,693.9,816.9,1002.6,330.5,136.7,337.1,894.1,898.2,797.7,116.4,830.6,42.3,425.8,907.9,960.5,0.0,46.3,21.5,723.7,801.7,49.7,880.2,1018.0,823.2,882.0,199.1,642.5,356.9,462.2,765.7,747.6,361.9,810.5,812.3,1036.2,796.6,755.0,842.3,86.6,960.3,875.7,168.4,866.1,72.0,614.3,80.8,73.7,936.8,384.2,849.0,776.4,2081.0,900.1,864.7,111.4,752.8,331.3,32.9,549.9,908.4,830.5,750.9,43.3,133.4,1009.9,812.0,777.0,764.6,778.4,410.6,282.0,23.5,929.8,898.4,709.0,911.4,499.0,835.1,642.2,828.8,463.6,808.5,797.7,352.6,742.4,498.0,769.0,1048.5,315.1,802.9,762.1
KH,389.4,516.0,703.6,747.4,667.8,826.6,977.9,760.6,133.3,421.1,693.8,759.1,112.0,666.6,456.2,747.5,711.2,761.4,791.6,795.5,970.7,834.4,671.9,662.8,638.3,588.2,988.7,238.2,469.2,806.0,581.1,780.0,733.6,788.2,393.6,48.1,899.8,882.0,720.6,478.9,809.2,402.7,119.0,869.9,764.3,831.0,678.2,801.2,986.9,314.8,90.3,321.4,878.4,882.5,782.0,70.0,814.9,61.0,410.1,892.2,944.8,44.6,0.0,66.2,708.0,786.0,53.6,864.5,1002.3,807.5,866.3,159.4,626.8,341.2,446.5,750.0,731.9,346.2,794.8,796.6,1020.5,780.9,739.3,826.6,45.2,944.6,860.0,122.0,850.4,116.7,598.6,34.4,27.3,921.1,368.5,833.3,760.7,2065.3,884.4,849.0,65.0,737.1,315.6,77.6,534.2,892.7,814.8,735.2,88.0,87.0,994.2,796.3,761.3,748.9,762.7,394.9,266.3,22.1,914.1,882.7,693.3,895.7,483.3,819.4,626.5,813.1,447.9,792.8,782.0,336.9,726.7,482.3,753.3,1032.8,299.4,787.2,746.4
KT,383.5,510.1,697.7,741.5,661.9,820.7,972.0,754.7,151.4,415.2,687.9,753.2,83.0,660.7,450.3,741.6,705.3,755.5,785.7,789.6,964.8,828.5,666.0,656.9,632.4,582.3,982.8,232.3,463.3,800.1,575.2,774.1,727.7,782.3,387.7,59.0,893.9,876.1,714.7,473.0,803.3,396.8,137.1,864.0,758.4,825.1,672.3,795.3,981.0,308.9,136.2,315.5,872.5,876.6,776.1,115.9,809.0,20.7,404.2,886.3,938.9,31.6,72.5,0.0,702.1,780.1,28.1,858.6,996.4,801.6,860.4,177.5,620.9,335.3,440.6,744.1,726.0,340.3,788.9,790.7,1014.6,775.0,733.4,820.7,65.0,938.7,854.1,167.9,844.5,87.7,592.7,72.6,81.2,915.2,362.6,827.4,754.8,2059.4,878.5,843.1,110.9,731.2,309.7,11.3,528.3,886.8,808.9,729.3,59.0,132.9,988.3,790.4,755.4,743.0,756.8,389.0,260.4,55.2,908.2,876.8,687.4,889.8,477.4,813.5,620.6,807.2,442.0,786.9,776.1,331.0,720.8,476.4,747.4,1026.9,293.5,781.3,740.5
KU,593.4,636.5,202.4,500.0,420.4,272.9,423.8,272.4,759.6,777.7,246.3,237.9,734.3,219.1,566.1,158.9,205.0,333.9,312.6,279.5,416.6,162.9,170.2,79.7,390.9,117.5,493.1,594.8,592.1,251.9,333.7,258.8,90.3,234.1,750.2,730.8,364.6,338.2,293.1,614.6,329.6,613.4,745.3,390.3,263.1,520.0,430.8,279.0,518.2,671.4,761.8,678.0,324.3,328.4,193.4,751.2,260.8,749.9,766.7,281.8,469.6,781.1,752.6,749.4,0.0,231.9,757.3,690.2,508.7,328.5,353.9,785.7,104.6,647.9,542.1,502.6,23.8,696.1,240.7,125.1,506.9,226.8,38.6,305.4,718.8,381.2,583.2,781.8,296.3,796.2,174.0,744.4,745.0,367.0,579.2,312.1,279.2,2435.1,466.6,294.9,764.7,148.5,672.2,737.1,171.5,459.6,260.7,307.7,771.0,786.7,440.1,124.8,53.2,77.4,91.2,588.0,516.8,774.8,567.7,575.6,211.8,341.6,547.0,265.3,167.7,141.6,534.7,238.7,280.8,693.5,479.3,579.0,286.9,478.7,433.1,265.5,224.2
KW,753.8,796.9,167.0,450.6,479.3,363.7,191.8,237.0,843.7,861.8,210.9,202.5,818.4,189.3,726.5,410.4,169.6,298.5,277.2,244.1,184.6,418.2,134.8,331.2,520.4,369.0,261.5,678.9,799.7,106.9,563.6,223.4,164.1,89.1,834.3,814.9,201.6,272.8,257.7,800.9,178.5,686.4,834.5,260.7,227.7,314.5,467.9,530.5,299.7,755.5,845.9,762.1,179.3,183.4,392.3,835.3,115.8,834.0,850.8,429.3,237.6,865.2,836.7,833.5,251.4,0.0,841.4,484.7,276.7,293.1,257.1,875.3,356.1,855.5,749.7,427.8,228.9,903.7,95.7,376.6,274.9,63.8,290.1,266.4,793.2,218.2,381.9,865.9,64.3,880.3,425.5,828.5,829.1,135.0,604.0,276.7,243.8,2631.4,261.1,149.9,848.8,400.0,756.3,821.2,423.0,254.1,97.7,272.3,855.1,870.8,208.1,376.3,199.9,328.9,342.7,748.4,600.9,858.9,335.7,343.6,176.4,196.6,754.6,120.3,419.2,393.1,695.1,75.7,245.4,777.6,422.1,786.6,251.5,246.7,517.2,230.1,475.7
LL,382.6,509.2,696.8,740.6,661.0,819.8,971.1,753.8,150.5,414.3,687.0,752.3,122.4,659.8,449.4,740.7,704.4,754.6,784.8,788.7,963.9,827.6,665.1,656.0,631.5,581.4,981.9,231.4,462.4,799.2,574.3,773.2,726.8,781.4,386.8,58.1,893.0,875.2,713.8,472.1,802.4,395.9,136.2,863.1,757.5,824.2,671.4,794.4,980.1,308.0,128.3,314.6,871.6,875.7,775.2,108.0,808.1,7.4,403.3,885.4,938.0,71.0,44.3,39.3,701.2,779.2,0.0,857.7,995.5,800.7,859.5,176.6,620.0,334.4,439.7,743.2,725.1,339.4,788.0,789.8,1013.7,774.1,732.5,819.8,64.1,937.8,853.2,160.0,843.6,127.1,591.8,71.7,65.3,914.3,361.7,826.5,753.9,2058.5,877.6,842.2,103.0,730.3,308.8,27.0,527.4,885.9,808.0,728.4,98.4,125.0,987.4,789.5,754.5,742.1,755.9,388.1,259.5,66.5,907.3,875.9,686.5,888.9,476.5,812.6,619.7,806.3,441.1,786.0,775.2,330.1,719.9,475.5,746.5,1026.0,292.6,780.4,739.6
LN,474.0,517.1,600.0,170.8,199.5,755.9,364.5,670.0,873.7,877.8,643.9,635.5,848.4,616.7,446.7,641.9,602.6,731.5,710.2,677.1,317.8,728.8,567.8,557.2,240.6,482.6,309.1,694.9,519.9,436.9,283.8,656.4,597.1,454.7,850.3,844.9,590.9,720.2,690.7,521.1,625.9,775.2,859.4,708.1,660.7,151.4,188.1,695.6,307.3,771.5,875.9,778.1,429.4,433.5,676.4,865.3,427.2,864.0,866.8,764.8,265.2,895.2,866.7,863.5,602.4,476.3,871.4,0.0,322.7,726.1,704.5,899.8,521.2,575.7,469.9,148.0,626.3,623.9,480.0,691.0,340.9,540.2,633.7,703.0,832.9,668.4,180.4,895.9,411.9,910.3,493.0,858.5,859.1,368.9,741.0,709.7,676.8,2315.7,204.8,382.0,878.8,631.5,772.3,851.2,428.6,213.1,574.1,705.3,885.1,900.8,350.9,690.7,655.7,643.3,657.1,468.6,667.0,888.9,234.5,203.1,609.4,331.4,474.8,504.6,520.9,707.5,415.3,552.1,678.4,793.6,142.3,506.8,684.5,331.2,594.9,663.1,640.8
LQ,615.9,659.0,439.2,312.7,341.4,635.9,67.4,509.2,1015.6,1019.7,483.1,474.7,990.3,455.9,588.6,682.6,441.8,570.7,549.4,516.3,297.4,686.6,407.0,699.1,382.5,624.5,84.3,836.8,661.8,324.4,425.7,495.6,436.3,361.3,992.2,986.8,473.8,545.0,529.9,663.0,450.7,917.1,1001.3,532.9,499.9,176.6,330.0,837.5,68.6,913.4,1017.8,920.0,316.9,321.0,664.5,1007.2,314.7,1005.9,1008.7,701.5,244.8,1037.1,1008.6,1005.4,523.6,272.1,1013.3,346.8,0.0,565.3,529.3,1041.7,663.1,717.6,611.8,289.9,501.1,765.8,367.9,648.8,25.8,336.0,562.3,542.2,974.8,490.4,239.8,1037.8,207.7,1052.2,634.9,1000.4,1001.0,304.2,882.9,548.9,516.0,2457.6,123.2,269.5,1020.7,672.2,914.2,993.1,570.5,116.2,369.9,544.5,1027.0,1042.7,53.8,648.5,472.1,601.1,614.9,610.5,808.9,1030.8,158.9,262.5,448.6,218.9,616.7,392.5,662.8,665.3,557.2,347.9,517.6,935.5,284.2,648.7,523.7,310.8,736.8,502.3,782.7
LU,866.5,909.6,168.6,693.2,721.9,360.3,460.9,83.0,863.3,881.4,128.1,239.9,838.0,157.7,839.2,489.5,189.2,295.1,16.7,119.9,453.7,466.9,154.4,383.7,664.0,421.5,530.2,698.5,865.2,289.0,606.8,99.2,216.6,271.2,853.9,834.5,324.6,212.3,254.3,887.7,236.6,706.0,849.0,297.3,229.3,557.1,710.5,583.0,555.3,775.1,865.5,781.7,435.9,431.9,388.9,854.9,297.9,853.6,870.4,425.9,506.7,884.8,856.3,853.1,303.9,269.0,861.0,727.3,545.8,0.0,228.0,889.4,408.6,795.4,815.2,670.4,281.4,800.4,277.8,429.1,544.0,348.1,342.6,179.5,822.5,372.0,620.3,885.5,333.4,899.9,478.0,848.1,848.7,404.1,623.6,186.2,263.4,2708.2,503.7,332.0,868.4,479.1,775.9,840.8,475.5,496.7,311.4,268.9,874.7,890.4,477.2,428.8,252.4,381.4,395.2,861.1,620.5,878.5,604.8,612.7,196.0,378.7,820.1,302.4,471.7,445.6,807.8,334.8,247.0,797.2,664.7,852.1,300.2,515.8,536.8,214.6,528.2
LV,917.0,960.1,219.1,684.4,713.1,454.3,435.2,177.0,913.8,931.9,222.1,142.5,888.5,242.3,889.7,513.4,239.7,389.1,217.2,184.1,428.0,521.2,204.9,434.2,754.2,472.0,504.5,749.0,915.7,281.3,657.3,163.4,267.1,263.5,904.4,885.0,215.9,15.7,348.3,938.2,79.1,756.5,904.6,73.2,279.8,548.3,701.7,633.5,543.1,825.6,916.0,832.2,278.4,274.4,482.9,905.4,330.4,904.1,920.9,519.9,481.0,935.3,906.8,903.6,354.4,243.3,911.5,718.5,520.1,233.1,0.0,945.4,459.1,845.9,865.7,661.6,331.9,850.9,270.1,479.6,518.3,190.6,393.1,48.2,873.0,214.5,615.7,936.0,307.7,950.4,528.5,898.6,899.2,378.4,674.1,41.7,313.9,2874.8,494.9,323.2,910.8,503.0,826.4,891.3,526.0,487.9,153.9,362.9,925.2,940.9,451.5,479.3,302.9,431.9,445.7,911.6,671.0,929.0,579.1,587.0,246.5,369.9,870.6,294.7,522.2,496.1,858.3,177.3,297.5,847.7,655.9,902.6,350.7,490.1,587.3,170.1,578.7
