from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CJ,CX,DL,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JY,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
LV,281.7,860.1,750.7,391.7,1061.6,421.1,937.0,700.3,553.4,865.0,1184.5,984.6,106.2,667.2,1048.2,900.9,861.4,868.5,504.8,832.3,810.9,965.1,564.6,578.3,636.8,667.1,678.6,928.3,423.6,891.3,1032.1,430.2,621.6,1120.8,2292.0,452.6,706.5,756.6,771.0,805.8,229.1,615.4,964.3,634.7,1043.6,601.2,568.1,879.5,1112.2,1002.4,914.8,514.7,1128.1,1001.0,938.6,486.7,981.6,854.3,0.0,628.4,975.4,548.9,594.8,541.6,704.6,1076.5,878.0,525.2,833.8,719.7,1108.5,764.4,216.5,660.8,269.5,625.1,502.5,636.3,247.1,1099.4,1096.6,823.8,1056.8,718.0,1019.7,794.4,852.2,173.2,570.6,523.9,613.1,668.6,1068.5,761.4,658.0,840.1,675.5,1075.9,958.4,1067.6,609.2,546.2,978.9,517.2,917.4,670.4,780.2,490.8,967.6,701.5,720.8,891.3
LX,346.6,533.9,400.5,245.0,656.2,231.8,557.7,192.8,364.1,514.8,677.0,616.0,477.5,520.5,642.8,521.6,353.9,361.0,315.5,324.8,460.7,485.8,64.8,431.6,447.5,159.6,171.1,624.9,207.5,383.8,605.2,240.9,432.3,613.3,1996.2,305.9,356.3,406.4,420.8,455.6,403.4,468.7,456.8,445.4,638.2,411.9,421.4,529.3,706.8,494.9,507.9,325.4,834.0,521.7,635.2,297.4,502.3,707.6,580.4,0.0,606.8,44.7,405.5,191.4,354.4,649.6,370.5,378.5,326.3,369.5,703.1,414.2,662.5,471.5,389.3,274.9,355.8,128.8,712.1,694.0,642.7,473.6,577.5,218.2,682.0,444.2,344.7,396.5,423.9,334.6,466.4,318.4,663.1,411.2,29.5,332.6,175.7,663.4,479.1,560.1,462.5,356.9,471.4,327.9,538.1,320.2,430.0,301.5,664.2,351.3,213.3,383.8
LY,706.5,120.0,267.3,604.9,151.1,591.7,196.9,486.8,724.0,232.0,511.3,9.1,837.4,880.4,137.7,160.8,445.0,349.9,675.4,379.1,220.4,168.6,554.3,791.5,807.4,575.7,587.2,54.6,567.4,372.7,241.1,600.8,792.2,447.6,2292.1,665.8,268.8,265.9,193.5,169.4,763.3,828.6,280.5,805.3,133.1,771.8,781.3,246.5,201.7,318.6,121.5,685.3,272.4,187.4,64.9,657.3,168.0,1067.5,940.3,618.1,0.0,538.6,765.4,487.5,263.2,285.5,424.8,738.4,308.5,574.0,198.0,200.1,1022.4,831.4,749.2,340.2,715.7,623.2,1072.0,188.9,186.1,150.9,243.2,707.7,279.6,237.7,290.0,756.4,783.8,694.5,826.3,305.5,158.0,213.9,647.7,302.2,665.2,165.4,175.3,394.4,822.4,716.8,295.1,687.8,177.3,364.6,320.4,661.4,93.9,510.8,420.9,372.7
MY,301.8,492.4,355.7,200.2,614.7,187.0,516.2,151.3,315.4,470.0,635.5,578.5,432.7,475.7,601.3,480.1,312.4,319.5,270.7,283.3,414.9,448.3,20.0,386.8,402.7,122.1,129.6,583.4,162.7,346.3,563.7,192.2,387.5,571.8,1951.4,261.1,311.5,361.6,376.0,413.0,358.6,423.9,415.3,400.6,596.7,367.1,376.6,484.5,665.3,453.4,466.4,280.6,792.5,480.2,593.7,252.6,460.8,662.8,535.6,79.4,569.3,0.0,360.7,146.6,309.6,608.1,329.0,329.8,284.8,324.7,661.6,369.4,617.7,426.7,344.5,230.1,311.0,91.3,667.3,656.5,601.2,528.8,536.0,173.4,640.5,399.4,303.2,347.8,379.1,289.8,421.6,274.8,621.6,362.5,109.0,291.1,130.9,625.9,441.6,518.6,417.7,312.1,429.9,283.1,496.6,275.4,385.2,256.7,622.7,306.5,171.8,346.3
NG,353.3,657.5,548.1,251.7,859.0,168.9,734.4,497.7,194.2,662.4,981.9,782.0,484.2,527.2,845.6,698.3,658.8,665.9,175.3,629.7,608.3,762.5,362.0,438.3,277.6,464.5,476.0,725.7,221.0,688.7,829.5,159.9,282.4,918.2,1932.8,312.6,503.9,554.0,568.4,603.2,410.1,475.4,761.7,275.5,841.0,262.0,428.1,676.9,909.6,799.8,712.2,86.5,925.5,798.4,736.0,214.3,779.0,714.3,587.1,425.8,772.8,346.3,0.0,339.0,502.0,873.9,675.4,385.2,631.2,517.1,905.9,561.8,669.2,331.3,396.0,422.5,362.5,433.7,718.8,896.8,894.0,621.2,854.2,515.4,817.1,591.8,649.6,403.2,430.6,164.7,473.1,467.2,865.9,558.8,455.4,637.5,472.9,873.3,755.8,865.0,469.2,207.0,776.3,158.0,714.8,467.8,577.6,198.4,765.0,498.9,518.2,688.7
NT,311.5,391.0,281.6,209.9,592.5,196.7,467.9,295.0,329.0,395.9,779.2,515.5,442.4,485.4,579.1,431.8,456.1,463.2,280.4,427.0,341.8,496.0,159.3,396.5,412.4,261.8,273.3,459.2,172.4,486.0,563.0,205.8,397.2,715.5,1818.0,270.8,237.4,287.5,301.9,336.7,368.3,433.6,559.0,410.3,574.5,376.8,386.3,410.4,643.1,597.1,445.7,290.3,659.0,531.9,469.5,262.3,512.5,672.5,545.3,223.1,506.3,143.6,370.4,0.0,235.5,607.4,472.7,343.4,428.5,250.6,639.4,295.3,627.4,436.4,354.2,156.0,320.7,231.0,677.0,630.3,627.5,354.7,587.7,312.7,550.6,325.3,446.9,361.4,388.8,299.5,431.3,199.5,599.4,292.3,252.7,434.8,270.2,606.8,489.3,662.3,427.4,321.8,573.6,292.8,448.3,201.3,311.1,266.4,498.5,219.7,315.5,486.0
NW,445.5,207.3,97.9,343.9,356.9,330.7,284.2,429.0,463.0,212.2,631.5,279.9,576.4,619.4,343.5,248.1,590.1,470.1,414.4,499.3,158.1,283.8,293.3,530.5,546.4,395.8,407.3,223.6,306.4,492.9,374.3,339.8,531.2,567.8,2031.1,404.8,53.7,103.8,66.3,153.0,502.3,567.6,400.7,544.3,338.9,510.8,520.3,226.7,407.5,438.8,254.7,424.3,423.4,302.6,233.9,396.3,283.2,806.5,679.3,357.1,270.7,277.6,504.4,226.5,0.0,418.7,545.0,477.4,428.7,313.0,403.8,59.7,761.4,570.4,488.2,79.2,454.7,365.0,811.0,394.7,391.9,171.0,358.4,446.7,366.9,141.6,410.2,495.4,522.8,433.5,565.3,45.7,363.8,108.6,386.7,422.4,404.2,371.2,290.5,514.6,561.4,455.8,415.3,426.8,264.6,103.6,127.4,400.4,262.9,249.8,449.5,492.9
NZ,787.8,195.8,348.6,686.2,300.1,673.0,219.6,514.8,805.3,350.8,539.3,259.9,918.7,961.7,286.7,183.5,473.0,377.9,756.7,407.1,339.2,220.1,635.6,872.8,888.7,603.7,615.2,268.8,648.7,400.7,72.4,682.1,873.5,475.6,2373.4,747.1,350.1,354.5,326.4,248.4,844.6,909.9,308.5,886.6,282.1,853.1,862.6,365.3,350.7,346.6,151.8,766.6,486.3,256.0,279.1,738.6,236.6,1148.8,1021.6,675.3,250.7,619.9,846.7,568.8,396.1,0.0,452.8,819.7,336.5,655.3,347.0,333.0,1103.7,912.7,830.5,421.5,797.0,651.2,1153.3,337.9,335.1,232.2,311.8,789.0,343.9,356.5,318.0,837.7,865.1,775.8,907.6,386.8,307.0,295.2,704.9,330.2,746.5,314.4,213.4,422.4,903.7,798.1,323.1,769.1,200.0,445.9,401.7,742.7,308.1,592.1,448.9,400.7
OB,642.3,317.5,470.3,540.7,439.8,527.5,341.3,236.1,659.8,472.5,460.6,399.6,773.2,816.2,426.4,305.2,194.3,144.6,611.2,46.2,460.9,269.4,360.5,727.3,743.2,325.0,336.5,408.5,503.2,167.4,388.8,536.6,728.0,396.9,2291.9,601.6,471.8,476.2,466.1,370.1,699.1,764.4,240.4,741.1,421.8,707.6,717.1,487.0,490.4,278.5,291.5,621.1,617.6,305.3,418.8,593.1,285.9,1003.3,876.1,396.6,390.4,344.3,701.2,487.1,535.8,433.2,0.0,674.2,109.9,777.0,486.7,472.7,958.2,767.2,685.0,543.2,651.5,372.5,1007.8,477.6,426.3,353.9,361.1,513.9,465.6,478.2,128.3,692.2,719.6,630.3,762.1,508.5,446.7,416.9,426.2,116.2,471.4,447.0,262.7,343.7,758.2,652.6,255.0,623.6,321.7,567.6,523.4,597.2,447.8,647.0,170.2,167.4
OG,299.9,646.7,537.3,137.2,848.2,207.7,723.6,486.9,340.0,651.6,971.1,771.2,430.8,140.9,834.8,687.5,648.0,655.1,291.4,618.9,596.5,751.7,351.2,52.0,423.4,453.7,465.2,714.9,210.2,677.9,818.7,216.8,408.2,907.4,2078.6,74.6,493.1,543.2,557.6,592.4,356.7,89.1,750.9,421.3,830.2,387.8,62.8,666.1,898.8,789.0,701.4,301.3,914.7,787.6,725.2,273.3,768.2,328.0,533.7,415.0,762.0,331.5,381.4,328.2,491.2,863.1,664.6,0.0,620.4,506.3,895.1,551.0,615.8,447.4,342.6,411.7,266.5,422.9,665.4,886.0,883.2,610.4,843.4,504.6,806.3,581.0,638.8,349.8,44.3,310.5,377.1,456.4,855.1,548.0,444.6,626.7,462.1,862.5,745.0,854.2,82.9,332.8,765.5,303.8,704.0,457.0,566.8,277.4,754.2,488.1,507.4,677.9
OK,584.4,207.5,360.3,482.8,329.8,469.6,231.3,178.2,601.9,362.5,350.6,289.6,715.3,758.3,316.4,195.2,136.4,41.3,553.3,70.5,350.9,159.4,302.6,669.4,685.3,267.1,278.6,298.5,445.3,64.1,278.8,478.7,670.1,286.9,2234.0,543.7,361.8,366.2,356.1,262.4,641.2,706.5,130.4,683.2,311.8,649.7,659.2,377.0,380.4,168.5,181.5,563.2,507.6,195.3,308.8,535.2,175.9,945.4,818.2,338.7,280.4,282.5,643.3,429.2,425.8,323.2,116.2,616.3,0.0,667.0,376.7,362.7,900.3,709.3,627.1,433.2,593.6,314.6,949.9,367.6,316.3,243.9,251.1,456.0,355.6,368.2,18.3,634.3,661.7,572.4,704.2,399.7,336.7,306.9,368.3,6.2,413.5,337.0,152.7,233.7,700.3,594.7,145.0,565.7,211.7,457.6,413.4,539.3,337.8,603.8,112.3,64.1
OP,461.9,489.8,380.4,360.3,691.3,347.1,566.7,445.4,479.4,494.7,929.6,614.3,592.8,635.8,677.9,530.6,606.5,613.6,430.8,577.4,440.6,594.8,309.7,546.9,562.8,412.2,423.7,558.0,322.8,636.4,661.8,356.2,547.6,865.9,2047.7,421.2,336.2,386.3,400.7,435.5,518.7,584.0,709.4,560.7,673.3,527.2,536.7,509.2,741.9,747.5,544.5,440.7,757.8,630.7,568.3,412.7,611.3,822.9,695.7,373.5,605.1,294.0,520.8,242.9,334.3,706.2,623.1,493.8,578.9,0.0,738.2,394.1,777.8,586.8,504.6,254.8,471.1,381.4,827.4,729.1,726.3,453.5,686.5,463.1,649.4,424.1,597.3,511.8,539.2,449.9,581.7,298.3,698.2,391.1,403.1,585.2,420.6,705.6,588.1,812.7,577.8,472.2,724.0,443.2,547.1,300.1,409.9,416.8,597.3,331.2,465.9,636.4
PI,853.4,261.4,414.2,751.8,72.1,738.6,285.2,548.3,870.9,382.1,572.8,204.5,984.3,1027.3,50.2,249.1,506.5,411.4,822.3,440.6,370.5,207.3,672.7,938.4,954.3,637.2,648.7,213.4,714.3,434.2,314.7,747.7,939.1,509.1,2439.0,812.7,415.7,416.0,343.6,316.3,910.2,975.5,342.0,952.2,54.8,918.7,928.2,396.6,18.7,380.1,195.1,832.2,431.2,207.1,223.7,804.2,190.8,1214.4,1087.2,708.8,195.3,652.6,912.3,634.4,413.3,359.1,486.3,885.3,370.0,720.9,0.0,350.2,1169.3,978.3,896.1,487.1,862.6,684.7,1218.9,24.3,73.8,297.8,262.9,826.1,409.5,387.8,351.5,903.3,930.7,841.4,973.2,453.6,65.2,360.8,738.4,363.7,783.6,53.1,214.0,455.9,969.3,863.7,356.6,834.7,265.6,511.5,467.3,808.3,252.7,657.7,482.4,434.2
PN,508.6,168.2,161.0,407.0,297.1,393.8,245.1,492.1,526.1,226.6,584.7,220.1,639.5,682.5,283.7,209.0,518.4,423.3,477.5,452.5,215.0,224.0,356.4,593.6,609.5,458.9,470.4,163.8,369.5,446.1,314.5,402.9,594.3,521.0,2094.2,467.9,116.8,166.9,6.6,216.1,565.4,630.7,353.9,607.4,279.1,573.9,583.4,241.1,347.7,392.0,194.9,487.4,363.6,242.8,174.1,459.4,223.4,869.6,742.4,420.2,210.9,340.7,567.5,289.6,63.0,358.9,498.2,540.5,381.9,376.1,344.0,0.0,824.5,633.5,551.3,142.3,517.8,428.1,874.1,334.9,332.1,199.1,298.6,509.8,327.8,204.7,363.4,558.5,585.9,496.6,628.4,108.8,304.0,171.7,449.8,375.6,467.3,311.4,230.7,467.8,624.5,518.9,368.5,489.9,225.5,166.7,190.5,463.5,203.1,312.9,494.3,446.1
PQ,323.7,902.1,792.7,433.7,1103.6,463.1,979.0,742.3,595.4,907.0,1226.5,1026.6,148.2,709.2,1090.2,942.9,903.4,910.5,546.8,874.3,852.9,1007.1,606.6,620.3,678.8,709.1,720.6,970.3,465.6,933.3,1074.1,472.2,663.6,1162.8,2334.0,494.6,748.5,798.6,813.0,847.8,271.1,657.4,1006.3,676.7,1085.6,643.2,610.1,921.5,1154.2,1044.4,956.8,556.7,1170.1,1043.0,980.6,528.7,1023.6,896.3,196.4,670.4,1017.4,590.9,636.8,583.6,746.6,1118.5,920.0,567.2,875.8,761.7,1150.5,806.4,0.0,702.8,311.5,667.1,544.5,678.3,328.1,1141.4,1138.6,865.8,1098.8,760.0,1061.7,836.4,894.2,215.2,612.6,565.9,655.1,710.6,1110.5,803.4,700.0,882.1,717.5,1117.9,1000.4,1109.6,651.2,588.2,1020.9,559.2,959.4,712.4,822.2,532.8,1009.6,743.5,762.8,933.3
PT,344.4,648.6,539.2,242.8,850.1,160.0,725.5,488.8,235.0,653.5,973.0,773.1,475.3,518.3,836.7,689.4,649.9,657.0,100.2,620.8,598.4,753.6,353.1,429.4,318.4,455.6,467.1,716.8,212.1,679.8,820.6,151.0,303.2,909.3,1973.6,303.7,495.0,545.1,559.5,594.3,401.2,466.5,752.8,316.3,832.1,282.8,419.2,668.0,900.7,790.9,703.3,196.3,916.6,789.5,727.1,205.4,770.1,705.4,578.2,416.9,763.9,337.4,276.4,330.1,493.1,865.0,666.5,376.3,622.3,508.2,897.0,552.9,660.3,0.0,387.1,413.6,353.6,424.8,709.9,887.9,885.1,612.3,845.3,506.5,808.2,582.9,640.7,394.3,421.7,205.5,464.2,458.3,857.0,549.9,446.5,628.6,464.0,864.4,746.9,856.1,460.3,227.8,767.4,198.8,705.9,458.9,568.7,189.5,756.1,490.0,509.3,679.8
PW,99.0,677.4,568.0,209.0,878.9,238.4,754.3,517.6,370.7,682.3,1001.8,801.9,155.0,484.5,865.5,718.2,678.7,685.8,322.1,649.6,628.2,782.4,381.9,395.6,454.1,484.4,495.9,745.6,240.9,708.6,849.4,247.5,438.9,938.1,2109.3,269.9,523.8,573.9,588.3,623.1,80.9,432.7,781.6,452.0,860.9,418.5,385.4,696.8,929.5,819.7,732.1,332.0,945.4,818.3,755.9,304.0,798.9,671.6,257.9,445.7,792.7,366.2,412.1,358.9,521.9,893.8,695.3,342.5,651.1,537.0,925.8,581.7,340.0,478.1,0.0,442.4,319.8,453.6,389.6,916.7,913.9,641.1,874.1,535.3,837.0,611.7,669.5,74.0,387.9,341.2,430.4,485.9,885.8,578.7,475.3,657.4,492.8,893.2,775.7,884.9,426.5,363.5,796.2,334.5,734.7,487.7,597.5,308.1,784.9,518.8,538.1,708.6
PX,366.2,234.9,125.5,264.6,436.4,251.4,311.8,349.7,383.7,239.8,659.1,359.4,497.1,540.1,423.0,275.7,510.8,497.7,335.1,481.7,185.7,339.9,214.0,451.2,467.1,316.5,328.0,303.1,227.1,520.5,406.9,260.5,451.9,595.4,1951.8,325.5,81.3,131.4,145.8,180.6,423.0,488.3,428.3,465.0,418.4,431.5,441.0,254.3,487.0,466.4,289.6,345.0,502.9,375.8,313.4,317.0,356.4,727.2,600.0,277.8,350.2,198.3,425.1,147.2,79.4,451.3,527.4,398.1,456.3,233.7,483.3,139.2,682.1,491.1,408.9,0.0,375.4,285.7,731.7,474.2,471.4,198.6,431.6,367.4,394.5,169.2,437.8,416.1,443.5,354.2,486.0,43.4,443.3,136.2,307.4,450.0,324.9,450.7,333.2,542.2,482.1,376.5,442.9,347.5,292.2,45.2,155.0,321.1,342.4,170.5,370.2,520.5
QC,288.9,635.7,526.3,124.7,837.2,196.7,712.6,475.9,329.0,640.6,960.1,760.2,419.8,400.2,823.8,676.5,637.0,644.1,280.4,607.9,586.5,740.7,340.2,311.3,412.4,442.7,454.2,703.9,199.2,666.9,807.7,205.8,397.2,896.4,2067.6,185.6,482.1,532.2,546.6,581.4,345.7,348.4,739.9,410.3,819.2,376.8,301.1,655.1,887.8,778.0,690.4,290.3,903.7,776.6,714.2,262.3,757.2,587.3,522.7,404.0,751.0,324.5,370.4,317.2,480.2,852.1,653.6,258.2,609.4,495.3,884.1,540.0,604.8,436.4,331.6,400.7,0.0,411.9,654.4,875.0,872.2,599.4,832.4,493.6,795.3,570.0,627.8,338.8,303.6,299.5,204.7,444.2,844.1,537.0,433.6,615.7,451.1,851.5,734.0,843.2,342.2,321.8,754.5,292.8,693.0,446.0,555.8,266.4,743.2,477.1,496.4,666.9
QD,388.3,543.6,442.2,286.7,665.9,273.5,567.4,202.5,405.8,556.5,686.7,625.7,519.2,562.2,652.5,531.3,363.6,370.7,357.2,334.5,501.4,495.5,106.5,473.3,489.2,169.3,180.8,634.6,249.2,393.5,614.9,282.6,474.0,623.0,2037.9,347.6,398.0,448.1,462.5,497.3,445.1,510.4,466.5,487.1,647.9,453.6,463.1,571.0,716.5,504.6,517.6,367.1,843.7,531.4,644.9,339.1,512.0,749.3,622.1,142.6,616.5,90.3,447.2,233.1,396.1,659.3,380.2,420.2,336.0,411.2,712.8,455.9,704.2,513.2,431.0,316.6,397.5,0.0,753.8,703.7,652.4,580.0,587.2,259.9,691.7,485.9,354.4,438.2,465.6,376.3,508.1,361.3,672.8,452.9,172.2,342.3,217.4,673.1,488.8,569.8,504.2,398.6,481.1,369.6,547.8,361.9,471.7,343.2,673.9,393.0,223.0,393.5
QH,387.6,966.0,856.6,497.6,1167.5,527.0,1042.9,806.2,659.3,970.9,1290.4,1090.5,212.1,773.1,1154.1,1006.8,967.3,974.4,610.7,938.2,915.8,1071.0,670.5,684.2,742.7,773.0,784.5,1034.2,529.5,997.2,1138.0,536.1,727.5,1226.7,2397.9,558.5,812.4,862.5,876.9,913.9,335.0,721.3,1070.2,740.6,1149.5,707.1,674.0,985.4,1218.1,1108.3,1020.7,620.6,1234.0,1106.9,1044.5,592.6,1087.5,960.2,241.3,734.3,1081.3,650.8,700.7,647.5,810.5,1182.4,983.9,631.1,939.7,825.6,1214.4,870.3,322.4,766.7,375.4,731.0,608.4,742.2,0.0,1205.3,1202.5,929.7,1162.7,823.9,1125.6,900.3,958.1,279.1,676.5,629.8,719.0,775.7,1174.4,867.3,763.9,946.0,781.4,1181.8,1064.3,1173.5,715.1,652.1,1084.8,623.1,1023.3,776.3,886.1,596.7,1073.5,807.4,826.7,997.2
QM,854.3,262.3,415.1,752.7,47.7,739.5,286.1,523.9,871.8,383.0,548.4,205.4,985.2,1028.2,74.6,250.0,482.1,387.0,823.2,416.2,371.4,182.9,648.3,939.3,955.2,612.8,624.3,214.3,715.2,409.8,315.6,748.6,940.0,484.7,2439.9,813.6,416.6,416.9,344.5,314.9,911.1,976.4,317.6,953.1,79.2,919.6,929.1,397.5,43.1,355.7,196.0,833.1,432.1,182.7,224.6,805.1,166.4,1215.3,1088.1,684.4,196.2,632.1,913.2,635.3,414.2,360.0,461.9,886.2,345.6,721.8,24.3,351.1,1170.2,979.2,897.0,488.0,863.5,660.3,1219.8,0.0,49.4,298.7,238.5,801.7,410.4,388.7,327.1,904.2,931.6,842.3,974.1,453.3,40.8,361.7,714.0,339.3,759.2,28.7,189.6,431.5,970.2,864.6,332.2,835.6,266.5,512.4,468.2,809.2,253.6,658.6,458.0,409.8
QO,839.8,247.8,400.6,738.2,34.9,725.0,271.6,474.4,857.3,370.2,498.9,192.6,970.7,1013.7,105.8,235.5,432.6,337.5,808.7,366.7,358.6,133.4,598.8,924.8,940.7,563.3,574.8,201.5,700.7,360.3,302.8,734.1,925.5,435.2,2425.4,799.1,402.1,404.1,331.7,302.7,896.6,961.9,268.1,938.6,101.2,905.1,914.6,384.7,102.6,306.2,183.2,818.6,419.3,133.2,211.8,790.6,116.9,1200.8,1073.6,634.9,183.4,578.7,898.7,620.8,401.4,347.2,412.4,871.7,296.1,707.3,83.8,338.3,1155.7,964.7,882.5,473.5,849.0,610.8,1205.3,59.4,0.0,284.2,189.0,752.2,395.9,375.9,277.6,889.7,917.1,827.8,959.6,440.0,28.0,347.2,664.5,289.8,709.7,20.6,140.1,382.0,955.7,850.1,282.7,821.1,252.0,497.9,453.7,794.7,240.8,644.1,408.5,360.3
RC,555.5,36.2,116.3,453.9,239.2,440.7,113.1,435.9,573.0,117.3,460.4,167.3,686.4,729.4,225.8,77.0,394.1,299.0,524.4,328.2,105.7,141.2,403.3,640.5,656.4,505.8,517.3,111.0,416.4,321.8,208.2,449.8,641.2,396.7,2141.1,514.8,117.8,122.2,168.9,18.5,612.3,677.6,229.6,654.3,221.2,620.8,630.3,131.8,289.8,267.7,90.9,534.3,310.8,177.1,121.3,506.3,157.7,916.5,789.3,467.1,158.1,387.6,614.4,336.5,181.8,252.6,373.9,587.4,257.6,423.0,286.1,175.5,871.4,680.4,598.2,189.2,564.7,475.0,921.0,277.0,274.2,0.0,232.9,556.7,195.8,123.0,239.1,605.4,632.8,543.5,675.3,155.7,246.1,62.9,496.7,251.3,514.2,253.5,134.5,343.5,671.4,565.8,244.2,536.8,93.5,213.6,169.4,510.4,150.3,359.8,370.0,321.8
RN,765.5,173.5,326.3,663.9,234.9,650.7,197.3,400.1,783.0,303.6,424.6,216.6,896.4,939.4,243.4,161.2,358.3,263.2,734.4,292.4,292.0,59.1,524.5,850.5,866.4,489.0,500.5,225.2,626.4,286.0,244.8,659.8,851.2,360.9,2351.1,724.8,327.8,332.2,265.1,226.1,822.3,887.6,193.8,864.3,238.8,830.8,840.3,318.1,302.6,231.9,134.6,744.3,425.0,36.2,235.5,716.3,59.5,1126.5,999.3,560.6,207.4,504.4,824.4,546.5,334.8,289.2,338.1,797.4,221.8,633.0,283.8,271.7,1081.4,890.4,808.2,399.2,774.7,536.5,1131.0,259.4,199.9,209.9,0.0,677.9,321.6,309.3,203.3,815.4,842.8,753.5,885.3,364.5,228.0,272.9,590.2,215.5,635.4,220.6,65.8,307.7,881.4,775.8,208.4,746.8,177.7,423.6,379.4,720.4,264.5,569.8,334.2,286.0
RU,445.4,660.4,499.3,343.8,782.7,330.6,684.2,319.3,462.9,613.6,803.5,742.5,576.3,619.3,769.3,648.1,480.4,487.5,414.3,451.3,559.5,612.3,137.5,530.4,546.3,286.1,297.6,751.4,306.3,510.3,731.7,339.7,531.1,739.8,2095.0,404.7,455.1,505.2,519.6,554.4,502.2,567.5,583.3,544.2,764.7,510.7,520.2,628.1,833.3,621.4,634.4,424.2,960.5,648.2,761.7,396.2,628.8,806.4,679.2,247.4,733.3,167.9,504.3,290.2,453.2,776.1,497.0,477.3,452.8,468.3,829.6,513.0,761.3,570.3,488.1,373.7,454.6,255.3,810.9,820.5,769.2,572.4,704.0,0.0,808.5,543.0,471.2,495.3,522.7,433.4,565.2,417.2,789.6,510.0,277.0,459.1,38.0,789.9,605.6,686.6,561.3,455.7,597.9,426.7,664.6,419.0,528.8,400.3,790.7,450.1,339.8,510.3
RV,743.5,151.5,304.3,641.9,363.0,628.7,154.5,559.7,761.0,306.5,584.2,308.1,874.4,917.4,349.6,191.3,517.9,422.8,712.4,452.0,294.9,265.0,591.3,828.5,844.4,648.6,660.1,251.8,604.4,445.6,332.0,637.8,829.2,520.5,2329.1,702.8,305.8,310.2,309.7,206.4,800.3,865.6,353.4,842.3,345.0,808.8,818.3,321.0,413.6,391.5,214.7,722.3,451.6,300.9,262.1,694.3,281.5,1104.5,977.3,655.1,298.9,575.6,802.4,524.5,369.8,376.4,497.7,775.4,381.4,611.0,409.9,316.3,1059.4,868.4,786.2,377.2,752.7,663.0,1109.0,400.8,398.0,187.9,356.7,744.7,0.0,312.2,362.9,793.4,820.8,731.5,863.3,343.7,369.9,250.9,684.7,375.1,702.2,377.3,258.3,467.3,859.4,753.8,368.0,724.8,174.1,401.6,357.4,698.4,291.1,547.8,493.8,445.6
SF,524.4,159.8,33.5,422.8,338.4,409.6,236.7,507.9,541.9,70.5,584.0,261.4,655.3,698.3,325.0,200.6,517.7,422.6,493.3,451.8,16.4,264.8,372.2,609.4,625.3,474.7,486.2,205.1,385.3,445.4,331.8,418.7,610.1,520.3,2110.0,483.7,86.7,28.1,209.4,120.3,581.2,646.5,353.2,623.2,320.4,589.7,599.2,85.0,389.0,391.3,214.5,503.2,404.9,284.1,215.4,475.2,264.7,885.4,758.2,436.0,252.2,356.5,583.3,305.4,150.7,376.2,497.5,556.3,381.2,391.9,385.3,210.5,840.3,649.3,567.1,158.1,533.6,443.9,889.9,376.2,373.4,138.3,339.9,525.6,319.4,0.0,362.7,574.3,601.7,512.4,644.2,124.6,345.3,75.9,465.6,374.9,483.1,352.7,258.1,467.1,640.3,534.7,367.8,505.7,217.1,182.5,138.3,479.3,244.4,328.7,493.6,445.4
SN,602.9,189.1,341.9,501.3,311.4,488.1,212.9,196.7,620.4,344.1,332.2,271.2,733.8,776.8,298.0,176.8,154.9,59.8,571.8,89.0,332.5,141.0,321.1,687.9,703.8,285.6,297.1,280.1,463.8,82.6,260.4,497.2,688.6,268.5,2252.5,562.2,343.4,347.8,337.7,244.0,659.7,725.0,112.0,701.7,293.4,668.2,677.7,358.6,362.0,150.1,163.1,581.7,489.2,176.9,290.4,553.7,157.5,963.9,836.7,357.2,262.0,301.0,661.8,447.7,407.4,304.8,134.7,634.8,18.4,648.6,358.3,344.3,918.8,727.8,645.6,414.8,612.1,333.1,968.4,349.2,297.9,225.5,232.7,474.5,337.2,349.8,0.0,652.8,680.2,590.9,722.7,381.3,318.3,288.5,386.8,12.1,432.0,318.6,134.3,215.3,718.8,613.2,126.6,584.2,193.3,439.2,395.0,557.8,319.4,585.4,130.8,82.6
