from_stop,AE,AF,BJ,BK,BO,BP,BS,BY,CD,CG,CK,CL,CR,CW,DC,DJ,DQ,DY,EC,ED,EG,EQ,ER,ES,EZ,FG,FK,FN,FQ,FS,FZ,GB,GJ,GL,GP,GV,GW,HC,HU,IB,IG,IK,IN,IO,IP,IQ,IX,JA,JC,JD,JE,JI,JJ,JT,KH,LJ,LO,MA,MB,MF,MO,MP,NA,NE,NF,NG,NL,NM,NO,OB,OC,OF,OG,OI,PT,QE,QJ,QL,QO,RL,RN,RT,RU,RV,RX,SJ,SK,SR,ST,SY,TE,TJ,TL,TQ,UE,UI,UL,UN,UQ,UZ,VH,VV,VW,WQ,WS,WX,XF,XP,XR,YF,YK,YM,YP,YS,YT,YW,YY,ZD,ZE,ZI,ZL,ZN,ZP,ZQ,ZV
JJ,609.4,656.8,165.5,457.9,675.8,475.0,282.8,172.6,382.2,746.0,393.8,443.6,515.8,508.8,257.1,372.5,522.7,403.6,439.8,809.6,649.5,692.2,590.5,460.9,546.5,752.7,707.1,453.3,145.7,337.0,385.7,200.2,244.8,499.8,714.6,405.9,469.8,230.2,66.8,577.9,762.7,514.9,578.6,552.2,261.8,355.8,294.6,312.6,703.0,174.9,279.4,456.8,0.0,234.3,646.3,259.1,289.9,199.2,756.0,447.7,308.5,843.3,509.5,356.4,732.8,259.8,493.5,375.5,752.4,245.0,578.0,496.3,441.8,669.6,883.4,1921.1,319.2,227.3,692.7,752.5,97.8,389.3,713.9,770.6,562.5,397.9,429.8,311.6,143.2,385.6,578.4,695.3,165.2,307.3,753.6,353.1,461.2,675.1,234.9,852.7,89.2,705.5,681.1,650.9,263.3,705.6,781.7,503.9,541.2,807.9,720.1,611.1,366.8,164.5,417.6,686.7,664.0,670.8,782.8,147.4,424.4,475.9,155.9,626.1,539.2
JT,742.9,790.3,366.3,591.4,809.3,608.5,416.3,305.9,515.7,879.5,527.3,577.1,649.3,642.3,392.5,506.0,656.2,537.1,573.3,943.1,783.0,825.7,724.0,594.4,680.0,886.2,840.6,586.8,222.1,470.5,519.2,276.6,378.3,633.3,848.1,539.4,603.1,296.9,200.3,711.2,896.2,648.4,712.1,685.7,212.9,489.3,428.1,339.3,836.5,308.4,418.9,590.3,233.8,0.0,779.6,392.6,366.3,150.5,889.5,581.0,442.0,976.8,643.0,489.9,866.3,210.9,626.8,509.0,885.9,321.4,711.5,629.8,575.3,803.1,1016.9,1872.4,452.7,360.8,826.2,886.0,249.3,522.8,847.4,904.1,696.0,531.4,563.3,445.1,276.7,519.1,711.9,828.6,298.7,440.8,887.1,486.6,594.7,808.6,368.4,986.2,165.2,839.0,814.6,784.4,396.8,839.1,915.0,637.4,674.7,941.2,853.6,744.6,500.1,298.0,551.1,820.2,797.5,804.3,916.3,110.9,557.9,609.4,289.4,759.6,672.5
KH,61.9,209.1,759.0,248.3,252.1,550.1,538.3,588.8,520.1,399.7,649.3,249.6,678.6,223.6,673.5,266.4,115.6,820.0,559.9,385.9,156.1,179.3,77.6,387.6,216.8,239.8,194.2,869.7,651.9,753.4,802.1,706.4,500.3,916.2,201.7,233.0,169.3,736.4,560.1,994.1,249.8,555.8,124.3,180.2,767.8,772.2,550.1,818.8,279.3,591.3,540.9,182.1,626.5,740.5,0.0,675.5,796.1,705.4,244.6,522.6,724.9,331.9,315.5,442.2,337.4,765.8,239.9,791.9,241.0,751.2,86.7,571.4,516.9,221.9,470.3,2256.8,735.6,482.8,181.3,304.8,622.0,409.5,202.5,346.9,232.8,291.9,209.1,728.0,559.6,802.0,248.7,271.4,581.6,562.8,305.9,521.8,536.3,200.5,446.6,506.4,595.4,364.7,233.4,179.2,518.8,194.2,270.1,920.3,135.3,360.0,207.2,34.9,272.3,458.3,834.0,173.8,151.1,223.1,269.9,653.6,544.5,162.2,572.3,19.9,261.2
LJ,701.9,749.3,415.1,550.4,768.3,567.5,375.3,202.3,474.7,838.5,486.3,536.1,608.3,601.3,57.3,478.4,615.2,433.5,532.3,902.1,742.0,784.7,683.0,553.4,639.0,845.2,799.6,251.6,308.0,366.9,184.0,362.5,337.3,529.7,807.1,498.4,562.1,392.5,216.2,376.0,855.2,607.4,671.1,644.7,428.2,385.7,387.1,474.9,795.5,204.8,377.9,549.3,282.6,396.6,738.6,0.0,452.2,361.5,848.5,540.0,338.4,935.8,602.0,448.9,825.3,421.9,585.8,173.8,844.9,407.3,670.5,588.8,534.3,762.1,975.9,2083.4,117.5,319.8,785.2,845.0,278.1,481.8,806.4,863.1,655.0,490.4,522.3,109.9,173.1,415.5,670.9,787.6,195.1,399.8,846.1,445.6,553.7,767.6,327.4,945.2,251.5,798.0,773.6,743.4,355.8,798.1,874.0,302.2,633.7,900.2,812.6,703.6,459.1,257.0,447.5,779.2,756.5,763.3,875.3,309.7,516.9,568.4,185.8,718.6,631.5
LO,699.0,746.4,322.4,547.5,765.4,564.6,372.4,262.0,471.8,835.6,483.4,533.2,605.4,598.4,346.7,475.5,612.3,493.2,529.4,899.2,739.1,781.8,680.1,550.5,636.1,842.3,796.7,542.9,112.0,426.6,475.3,48.6,334.4,589.4,804.2,495.5,559.2,282.7,156.4,667.3,852.3,604.5,668.2,641.8,314.1,445.4,384.2,365.1,792.6,264.5,369.0,546.4,189.9,286.8,735.7,348.7,0.0,251.7,845.6,537.1,398.1,932.9,599.1,446.0,822.4,312.1,582.9,465.1,842.0,24.3,667.6,585.9,531.4,759.2,973.0,1973.6,408.8,316.9,782.3,842.1,205.4,478.9,803.5,860.2,652.1,487.5,519.4,401.2,232.8,475.2,668.0,784.7,254.8,396.9,843.2,442.7,550.8,764.7,324.5,942.3,141.7,795.1,770.7,740.5,352.9,795.2,871.1,593.5,630.8,897.3,809.7,700.7,456.2,254.1,507.2,776.3,753.6,760.4,872.4,199.9,514.0,565.5,245.5,715.7,628.6
MA,692.1,739.5,315.5,540.6,758.5,557.7,365.5,255.1,464.9,828.7,476.5,526.3,598.5,591.5,341.7,468.6,605.4,486.3,522.5,892.3,732.2,774.9,673.2,543.6,629.2,835.4,789.8,536.0,171.3,419.7,468.4,225.8,327.5,582.5,797.3,488.6,552.3,246.1,149.5,660.4,845.4,597.6,661.3,634.9,94.1,438.5,377.3,288.5,785.7,257.6,368.1,539.5,183.0,154.8,728.8,341.8,315.5,0.0,838.7,530.2,391.2,926.0,592.2,439.1,815.5,60.3,576.0,458.2,835.1,270.6,660.7,579.0,524.5,752.3,966.1,1749.3,401.9,310.0,775.4,835.2,198.5,472.0,796.6,853.3,645.2,480.6,512.5,394.3,225.9,468.3,661.1,777.8,247.9,390.0,836.3,435.8,543.9,757.8,317.6,935.4,114.4,788.2,763.8,733.6,346.0,788.3,864.2,586.6,623.9,890.4,802.8,693.8,449.3,247.2,500.3,769.4,746.7,753.5,865.5,60.1,507.1,558.6,238.6,708.8,621.7
MB,258.9,201.6,899.8,313.1,325.3,669.1,679.1,729.6,593.3,472.9,773.7,390.4,751.8,330.1,816.2,389.3,256.4,960.8,700.7,459.1,162.9,252.5,188.2,460.8,323.3,272.4,175.7,1010.5,792.7,894.2,942.9,847.2,626.1,1057.0,183.2,373.8,310.1,877.2,700.9,1134.9,213.2,629.0,202.3,286.7,912.9,913.0,674.5,959.6,352.5,732.1,665.3,322.9,767.3,881.3,254.0,816.3,936.9,846.2,0.0,663.4,865.7,87.2,456.3,515.4,410.6,906.6,346.4,932.7,61.6,892.0,227.5,712.2,657.7,214.4,543.5,2397.6,876.4,623.6,139.3,297.3,762.8,482.7,111.1,420.1,339.3,377.3,349.9,868.8,700.4,942.8,355.2,344.6,722.4,703.6,298.4,595.0,677.1,154.7,587.4,579.6,736.2,437.9,243.9,133.4,643.2,60.3,25.4,1061.1,276.1,370.5,239.8,219.0,413.1,599.1,974.8,229.0,200.8,215.6,146.6,794.4,685.3,303.0,713.1,234.0,334.4
MF,513.0,560.4,607.5,361.5,620.0,193.7,386.8,437.3,486.2,464.7,497.8,347.2,234.5,412.4,522.0,289.5,426.3,668.5,408.4,607.3,553.1,595.8,494.1,564.9,450.1,656.3,610.7,718.2,500.4,601.9,650.6,554.9,348.8,764.7,618.2,309.5,373.2,584.9,408.6,842.6,666.3,233.6,482.2,455.8,616.3,620.7,398.6,667.3,615.0,439.8,389.4,360.4,475.0,589.0,549.7,524.0,644.6,553.9,659.6,0.0,573.4,746.9,413.1,460.4,451.5,614.3,396.9,640.4,656.0,599.7,481.6,134.0,160.5,573.2,882.9,2003.9,584.1,331.3,596.3,656.1,470.5,493.3,617.5,568.3,466.1,301.5,333.4,576.5,408.1,650.5,482.0,517.3,430.1,411.3,657.2,457.1,13.6,578.7,295.1,571.4,443.9,424.2,584.7,554.5,367.3,609.2,685.1,768.8,444.8,711.3,623.7,514.7,270.2,306.8,682.5,590.3,567.6,574.4,686.4,502.1,393.0,379.5,420.8,529.7,643.0
MO,678.8,726.2,392.0,527.3,745.2,544.4,352.2,99.8,451.6,815.4,463.2,513.0,585.2,578.2,285.8,455.3,592.1,282.9,509.2,879.0,718.9,761.6,659.9,530.3,615.9,822.1,776.5,480.1,284.9,216.3,412.5,339.4,314.2,379.1,784.0,475.3,539.0,369.4,193.1,604.5,832.1,584.3,648.0,621.6,405.1,235.1,364.0,451.8,772.4,157.1,354.8,526.2,259.5,373.5,715.5,285.9,429.1,338.4,825.4,516.9,0.0,912.7,578.9,425.8,802.2,398.8,562.7,402.3,821.8,384.2,647.4,565.7,511.2,739.0,952.8,2060.3,346.0,296.7,762.1,821.9,255.0,458.7,783.3,840.0,631.9,467.3,499.2,338.4,129.5,369.8,647.8,764.5,106.7,376.7,823.0,422.5,530.6,744.5,304.3,922.1,228.4,774.9,750.5,720.3,332.7,775.0,850.9,530.7,610.6,877.1,789.5,680.5,436.0,233.9,296.9,756.1,733.4,740.2,852.2,286.6,493.8,545.3,116.1,695.5,608.4
MP,354.1,296.8,995.0,408.3,403.5,747.3,774.3,824.8,671.5,551.1,851.9,485.6,830.0,425.3,911.4,484.5,351.6,1056.0,795.9,537.3,258.1,347.7,283.4,539.0,418.5,308.8,213.1,1105.7,887.9,989.4,1038.1,942.4,704.3,1152.2,205.6,469.0,405.3,972.4,796.1,1230.1,231.2,707.2,297.5,381.9,1008.1,1008.2,752.7,1054.8,430.7,827.3,743.5,418.1,862.5,976.5,349.2,911.5,1032.1,941.4,95.1,758.6,960.9,0.0,551.5,593.6,488.8,1001.8,441.6,1027.9,129.1,987.2,322.7,807.4,781.3,309.6,621.7,2492.8,971.6,718.8,234.5,392.5,858.0,560.9,206.3,498.3,434.5,472.5,445.1,964.0,795.6,1038.0,450.4,422.8,817.6,798.8,393.6,673.2,772.3,249.9,682.6,657.8,831.4,516.1,339.1,228.6,721.4,155.5,69.6,1156.3,371.3,465.7,276.2,314.2,508.3,694.3,1070.0,324.2,256.2,310.8,164.6,889.6,780.5,398.2,808.3,329.2,412.6
NA,295.1,349.1,618.7,211.6,450.7,409.8,398.0,448.5,497.4,598.3,509.0,65.0,450.6,194.5,535.1,139.6,208.4,679.7,419.6,584.5,354.7,377.9,276.2,576.1,232.2,438.4,392.8,729.4,511.6,613.1,661.8,566.1,360.0,775.9,400.3,92.7,155.3,596.1,419.8,853.8,448.4,449.7,264.3,237.9,631.8,631.9,409.8,678.5,477.9,451.0,400.6,142.5,486.2,600.2,331.8,535.2,655.8,565.1,443.2,382.3,584.6,530.5,0.0,471.6,536.0,625.5,179.0,651.6,439.6,610.9,263.7,431.1,376.6,361.9,668.9,2116.5,595.3,342.5,379.9,444.8,481.7,504.5,401.1,545.5,248.2,151.6,115.5,587.7,419.3,661.7,264.1,470.0,441.3,422.5,445.9,468.3,396.0,367.4,306.3,705.0,455.1,563.3,373.4,343.2,378.5,392.8,468.7,780.0,226.9,500.0,405.8,296.8,132.0,318.0,693.7,372.4,349.7,363.1,468.5,513.3,404.2,161.6,432.0,311.8,459.8
NE,422.7,504.4,497.5,543.3,319.3,489.0,188.7,327.3,77.8,466.9,258.2,554.2,529.8,528.2,413.9,399.9,420.2,558.5,453.8,453.1,363.6,365.1,352.0,104.4,521.4,424.4,378.8,608.2,390.4,491.9,540.6,444.9,110.6,654.7,386.3,419.9,473.9,474.9,298.6,732.6,434.4,528.9,428.9,484.8,510.6,510.7,159.0,557.3,346.5,329.8,149.8,486.7,365.0,479.0,417.8,414.0,534.6,443.9,501.6,461.5,463.4,588.9,620.1,0.0,404.6,504.3,544.5,530.4,498.0,489.7,391.3,510.3,455.8,517.2,526.9,2059.3,474.1,127.2,408.6,600.1,360.5,32.8,459.5,414.1,537.4,411.9,513.7,466.5,298.1,540.5,553.3,338.6,320.1,213.2,601.2,79.5,475.2,457.5,248.9,573.6,333.9,431.9,538.0,436.2,127.7,451.2,527.1,658.8,439.9,664.6,391.8,382.8,380.6,196.8,572.5,410.8,335.7,518.4,454.5,392.1,438.4,466.8,310.8,397.8,182.5
NF,336.5,418.2,871.6,457.1,168.4,258.4,592.0,701.4,481.1,62.2,661.5,468.0,341.1,442.0,786.1,498.3,334.0,932.6,672.5,155.7,277.4,278.9,265.8,348.6,435.2,338.2,292.6,982.3,764.5,866.0,914.7,819.0,513.9,1028.8,300.1,451.4,387.7,849.0,672.7,1106.7,348.2,218.3,342.7,398.6,880.4,884.8,562.3,931.4,163.4,703.9,553.1,400.5,739.1,853.1,331.6,788.1,908.7,818.0,415.4,450.3,837.5,502.7,533.9,403.2,0.0,878.4,458.3,904.5,411.8,863.8,305.1,499.1,292.4,431.0,431.3,2268.0,848.2,530.5,322.4,513.9,734.6,370.5,373.3,116.7,451.2,510.3,427.5,840.6,672.2,914.6,467.1,65.7,694.2,616.5,515.0,482.8,464.0,371.3,559.2,168.9,708.0,27.2,451.8,350.0,531.0,365.0,440.9,1032.9,353.7,578.4,305.6,296.6,490.7,570.9,946.6,324.6,249.5,432.2,368.3,766.2,657.1,380.6,684.9,311.6,222.2
NG,752.5,799.9,375.9,601.0,818.9,618.1,425.9,315.5,525.3,889.1,536.9,586.7,658.9,651.9,400.2,529.0,665.8,546.7,582.9,952.7,792.6,835.3,733.6,604.0,689.6,895.8,850.2,596.4,231.7,480.1,528.8,286.2,387.9,642.9,857.7,549.0,612.7,306.5,209.9,720.8,905.8,658.0,721.7,695.3,150.2,498.9,437.7,348.9,846.1,318.0,428.5,599.9,243.4,215.2,789.2,402.2,375.9,60.3,899.1,590.6,451.6,986.4,652.6,499.5,875.9,0.0,636.4,518.6,895.5,331.0,721.1,639.4,584.9,812.7,1026.5,1809.7,462.3,370.4,835.8,895.6,258.9,532.4,857.0,913.7,705.6,541.0,572.9,454.7,286.3,528.7,721.5,838.2,308.3,450.4,896.7,496.2,604.3,818.2,378.0,995.8,174.8,848.6,824.2,794.0,406.4,848.7,924.6,647.0,684.3,950.8,863.2,754.2,509.7,307.6,560.7,829.8,807.1,813.9,925.9,120.5,567.5,619.0,299.0,769.2,682.1
NL,210.2,234.7,612.2,205.1,365.8,403.3,391.5,442.0,490.9,513.4,502.5,102.8,444.1,15.4,528.6,133.1,138.3,673.2,413.1,499.6,227.4,293.0,191.3,501.3,53.1,336.9,291.3,722.9,505.1,606.6,655.3,559.6,353.5,769.4,298.8,86.2,85.2,589.6,413.3,847.3,346.9,443.2,174.4,58.8,621.0,625.4,403.3,672.0,393.0,444.5,394.1,72.4,479.9,593.7,246.9,528.7,649.3,558.6,333.9,375.8,578.1,421.2,168.7,465.1,451.1,619.0,0.0,645.1,330.3,604.4,178.8,424.6,370.1,247.5,584.0,2110.0,588.8,336.0,270.6,330.4,475.2,498.0,291.8,460.6,69.1,145.1,62.3,581.2,412.8,655.2,85.0,385.1,434.8,416.0,331.5,461.8,389.5,253.0,299.8,620.1,448.6,478.4,259.0,228.8,372.0,283.5,359.4,773.5,113.7,385.6,304.3,211.9,125.5,311.5,687.2,287.5,264.8,248.7,367.0,506.8,397.7,91.5,425.5,226.9,374.9
NM,805.0,852.4,518.2,653.5,871.4,670.6,478.4,305.4,577.8,941.6,589.4,639.2,711.4,704.4,124.8,581.5,718.3,536.6,635.4,1005.2,845.1,887.8,786.1,656.5,742.1,948.3,902.7,131.9,411.1,470.0,64.3,465.6,440.4,632.8,910.2,601.5,665.2,495.6,319.3,256.3,958.3,710.5,774.2,747.8,531.3,488.8,490.2,578.0,898.6,307.9,481.0,652.4,385.7,499.7,841.7,180.5,555.3,464.6,951.6,643.1,441.5,1038.9,705.1,552.0,928.4,525.0,688.9,0.0,948.0,510.4,773.6,691.9,637.4,865.2,1079.0,2186.5,55.3,422.9,888.3,948.1,381.2,584.9,909.5,966.2,758.1,593.5,625.4,123.6,276.2,518.6,774.0,890.7,298.2,502.9,949.2,548.7,656.8,870.7,430.5,1048.3,354.6,901.1,876.7,846.5,458.9,901.2,977.1,182.5,736.8,1003.3,915.7,806.7,562.2,360.1,550.6,882.3,859.6,866.4,978.4,412.8,620.0,671.5,288.9,821.7,734.6
NO,245.3,188.0,886.2,299.5,311.7,655.5,665.5,716.0,579.7,459.3,760.1,376.8,738.2,316.5,802.6,375.7,242.8,947.2,687.1,445.5,149.3,238.9,174.6,447.2,309.7,229.1,133.4,996.9,779.1,880.6,929.3,833.6,612.5,1043.4,125.9,360.2,296.5,863.6,687.3,1121.3,151.5,615.4,188.7,273.1,899.3,899.4,660.9,946.0,338.9,718.5,651.7,309.3,753.7,867.7,240.4,802.7,923.3,832.6,71.6,649.8,852.1,121.2,442.7,501.8,397.0,893.0,332.8,919.1,0.0,878.4,213.9,698.6,644.1,200.8,529.9,2384.0,862.8,610.0,125.7,283.7,749.2,469.1,97.5,406.5,325.7,363.7,336.3,855.2,686.8,929.2,341.6,331.0,708.8,690.0,284.8,581.4,663.5,141.1,573.8,566.0,722.6,424.3,230.3,119.8,629.6,46.7,86.1,1047.5,262.5,356.9,196.5,205.4,399.5,585.5,961.2,215.4,176.5,202.0,84.9,780.8,671.7,289.4,699.5,220.4,320.8
OB,674.7,722.1,298.1,523.2,741.1,540.3,348.1,237.7,447.5,811.3,459.1,508.9,581.1,574.1,324.3,451.2,588.0,468.9,505.1,874.9,714.8,757.5,655.8,526.2,611.8,818.0,772.4,518.6,87.7,402.3,451.0,24.2,310.1,565.1,779.9,471.2,534.9,258.4,132.1,643.0,828.0,580.2,643.9,617.5,294.1,421.1,359.9,340.8,768.3,240.2,350.7,522.1,165.6,262.5,711.4,324.4,44.9,227.4,821.3,512.8,373.8,908.6,574.8,421.7,798.1,287.8,558.6,440.8,817.7,0.0,643.3,561.6,507.1,734.9,948.7,1949.3,384.5,292.6,758.0,817.8,181.1,454.6,779.2,835.9,627.8,463.2,495.1,376.9,208.5,450.9,643.7,760.4,230.5,372.6,818.9,418.4,526.5,740.4,300.2,918.0,117.4,770.8,746.4,716.2,328.6,770.9,846.8,569.2,606.5,873.0,785.4,676.4,431.9,229.8,482.9,752.0,729.3,736.1,848.1,175.6,489.7,541.2,221.2,691.4,604.3
OC,31.3,138.8,688.7,178.0,223.4,479.8,468.0,518.5,491.4,371.0,579.0,179.3,520.6,153.3,605.1,209.6,45.3,749.7,489.6,357.2,127.4,150.6,48.9,358.9,146.5,211.1,165.5,799.4,581.6,683.1,731.8,636.1,430.0,845.9,173.0,162.7,99.0,666.1,489.8,923.8,221.1,527.1,54.0,109.9,701.8,701.9,479.8,748.5,250.6,521.0,470.6,111.8,556.2,670.2,83.3,605.2,725.8,635.1,215.9,452.3,654.6,303.2,245.2,413.5,308.7,695.5,169.6,721.6,212.3,680.9,0.0,501.1,446.6,151.6,441.6,2186.5,665.3,412.5,152.6,234.5,551.7,380.8,173.8,318.2,162.5,221.6,138.8,657.7,489.3,731.7,178.4,242.7,511.3,492.5,235.6,493.1,466.0,157.1,376.3,477.7,525.1,336.0,163.1,132.9,448.5,165.5,241.4,850.0,65.0,289.7,178.5,69.5,202.0,388.0,763.7,145.1,122.4,152.8,241.2,583.3,474.2,91.9,502.0,84.5,232.5
OF,561.8,609.2,656.3,410.3,668.8,242.5,435.6,486.1,535.0,513.5,546.6,396.0,283.3,461.2,572.7,338.3,475.1,717.3,457.2,656.1,601.9,644.6,542.9,613.7,498.9,705.1,659.5,767.0,549.2,650.7,699.4,603.7,397.6,813.5,667.0,358.3,422.0,633.7,457.4,891.4,715.1,282.4,531.0,504.6,669.4,669.5,447.4,716.1,663.8,488.6,438.2,409.2,523.8,637.8,598.5,572.8,693.4,602.7,708.4,154.0,622.2,795.7,461.9,509.2,500.3,663.1,445.7,689.2,704.8,648.5,530.4,0.0,209.3,622.0,931.7,2052.7,632.9,380.1,645.1,704.9,519.3,542.1,666.3,617.1,514.9,350.3,382.2,625.3,456.9,699.3,530.8,566.1,478.9,460.1,706.0,505.9,167.7,627.5,343.9,620.2,492.7,473.0,633.5,603.3,416.1,658.0,733.9,817.6,493.6,760.1,672.5,563.5,319.0,355.6,731.3,639.1,616.4,623.2,735.2,550.9,441.8,428.3,469.6,578.5,691.8
OG,484.6,532.0,579.1,333.1,459.4,33.1,358.4,408.9,457.8,304.1,469.4,318.8,73.9,384.0,495.5,261.1,397.9,640.1,380.0,446.7,524.7,567.4,465.7,536.5,421.7,627.9,582.3,689.8,472.0,573.5,622.2,526.5,320.4,736.3,589.8,281.1,344.8,556.5,380.2,814.2,637.9,73.0,453.8,427.4,592.2,592.3,370.2,638.9,454.4,411.4,361.0,332.0,446.6,560.6,521.3,495.6,616.2,525.5,631.2,157.8,545.0,718.5,384.7,432.0,290.9,585.9,368.5,612.0,627.6,571.3,453.2,206.6,0.0,544.8,722.3,1975.5,555.7,302.9,567.9,627.7,442.1,464.9,589.1,407.7,437.7,273.1,305.0,548.1,379.7,622.1,453.6,356.7,401.7,382.9,628.8,428.7,171.5,550.3,266.7,410.8,415.5,263.6,556.3,526.1,338.9,580.8,656.7,740.4,416.4,682.9,595.3,486.3,241.8,278.4,654.1,561.9,539.2,546.0,658.0,473.7,364.6,351.1,392.4,501.3,513.2
OI,192.4,12.8,816.3,226.4,340.3,607.4,595.6,646.1,608.3,487.9,706.6,306.9,648.2,243.4,732.7,302.6,172.9,877.3,617.2,474.1,177.9,267.5,173.5,475.8,236.6,287.4,190.7,927.0,709.2,810.7,859.4,763.7,557.6,973.5,198.2,290.3,226.6,793.7,617.4,1051.4,246.3,644.0,106.9,200.0,829.4,829.5,607.4,876.1,367.5,648.6,598.2,239.4,683.8,797.8,229.1,732.8,853.4,762.7,193.8,579.9,782.2,281.1,372.8,530.4,425.6,823.1,259.7,849.2,190.2,808.5,161.0,628.7,574.2,0.0,558.5,2314.1,792.9,540.1,154.3,82.8,679.3,497.7,151.7,435.1,252.6,290.6,266.4,785.3,616.9,859.3,268.5,359.6,638.9,620.1,83.9,610.0,593.6,104.5,503.9,594.6,652.7,452.9,128.5,80.3,576.1,143.4,219.3,977.6,192.6,255.1,254.8,194.1,329.6,515.6,891.3,244.0,215.8,64.2,266.4,710.9,601.8,219.5,629.6,209.1,349.4
PT,451.0,532.7,1004.7,571.6,347.6,691.4,695.9,834.5,585.0,495.2,765.4,582.5,774.1,556.5,921.1,612.8,448.5,1065.7,892.8,481.4,391.9,393.4,380.3,452.5,549.7,452.7,407.1,1115.4,897.6,999.1,1047.8,952.1,617.8,1161.9,414.6,565.9,502.2,982.1,805.8,1239.8,462.7,651.3,457.2,513.1,1017.8,1017.9,666.2,1064.5,374.8,837.0,657.0,515.0,872.2,986.2,446.1,921.2,1041.8,951.1,529.9,855.5,970.6,617.2,648.4,507.1,432.9,1011.5,572.8,1037.6,526.3,996.9,419.6,904.3,725.4,545.5,0.0,2566.5,981.3,634.4,436.9,628.4,867.7,474.4,487.8,442.4,565.7,624.8,542.0,973.7,805.3,1047.7,581.6,366.9,827.3,720.4,629.5,586.7,869.2,485.8,756.1,601.9,841.1,460.2,566.3,464.5,634.9,479.5,555.4,1166.0,468.2,692.9,420.1,411.1,605.2,704.0,1079.7,439.1,364.0,546.7,482.8,899.3,877.4,495.1,818.0,426.1,326.1
QE,2208.4,2255.8,2109.1,2056.9,2339.9,1982.6,1946.9,1997.4,2046.3,2253.6,2057.9,2042.6,2023.4,2107.8,2084.0,1984.9,2121.7,2183.1,2040.1,2396.2,2248.5,2291.2,2189.5,2125.0,2145.5,2351.7,2306.1,2278.3,1964.9,2116.5,2210.7,2019.4,1908.9,2215.5,2313.6,2004.9,2068.6,2039.7,1943.1,2402.7,2361.7,2022.5,2177.6,2151.2,1824.2,2135.3,1958.7,2082.1,2367.1,1999.9,1949.5,2055.8,1976.6,1948.4,2245.1,2084.1,2109.1,1841.0,2355.0,1955.1,2133.5,2442.3,2108.5,2020.5,2240.4,1901.4,2092.3,2200.5,2351.4,2064.2,2177.0,2003.9,1949.4,2268.6,2547.5,0.0,2144.2,1891.4,2291.7,2351.5,1992.1,2053.4,2312.9,2357.2,2161.5,1996.9,2028.8,2136.6,1968.2,2210.6,2177.4,2306.2,1990.2,1971.4,2352.6,2017.2,1968.8,2274.1,1783.7,2360.3,1908.0,2213.1,2280.1,2249.9,1927.4,2304.6,2380.5,2328.9,2140.2,2406.7,2319.1,2210.1,1965.6,1866.9,2166.5,2285.7,2263.0,2269.8,2381.8,1853.7,2024.7,2074.9,1980.9,2225.1,2203.1
QJ,749.6,797.0,462.8,598.1,816.0,615.2,423.0,250.0,522.4,886.2,534.0,583.8,656.0,649.0,69.4,526.1,662.9,481.2,580.0,949.8,789.7,832.4,730.7,601.1,686.7,892.9,847.3,134.0,355.7,414.6,66.4,410.2,385.0,577.4,854.8,546.1,609.8,440.2,263.9,258.4,902.9,655.1,718.8,692.4,475.9,433.4,434.8,522.6,843.2,252.5,425.6,597.0,330.3,444.3,786.3,125.1,499.9,409.2,896.2,587.7,386.1,983.5,649.7,496.6,873.0,469.6,633.5,56.2,892.6,455.0,718.2,636.5,582.0,809.8,1023.6,2131.1,0.0,367.5,832.9,892.7,325.8,529.5,854.1,910.8,702.7,538.1,570.0,68.2,220.8,463.2,718.6,835.3,242.8,447.5,893.8,493.3,601.4,815.3,375.1,992.9,299.2,845.7,821.3,791.1,403.5,845.8,921.7,184.6,681.4,947.9,860.3,751.3,506.8,304.7,495.2,826.9,804.2,811.0,923.0,357.4,564.6,616.1,233.5,766.3,679.2
QL,551.8,633.5,370.2,344.6,448.4,361.7,61.4,200.0,154.8,596.0,166.4,330.3,402.5,395.5,286.6,272.6,409.4,431.2,326.5,582.2,492.7,494.2,481.1,233.5,433.2,553.5,507.9,480.9,263.1,364.6,413.3,317.6,17.4,527.4,515.4,292.6,356.3,347.6,171.3,605.3,563.5,401.6,558.0,438.9,383.3,383.4,67.2,430.0,475.6,202.5,58.0,343.5,237.7,351.7,546.9,286.7,407.3,316.6,630.7,334.2,336.1,718.0,396.2,129.0,533.7,377.0,380.0,403.1,627.1,362.4,520.4,383.0,328.5,646.3,656.0,1932.0,346.8,0.0,537.7,729.2,233.2,161.9,588.6,543.2,449.2,284.6,316.5,339.2,170.8,413.2,465.1,467.7,192.8,85.9,730.3,125.7,347.9,586.6,121.6,702.7,206.6,561.0,667.1,565.3,35.9,580.3,656.2,531.5,427.9,793.7,520.9,511.9,253.3,69.5,445.2,539.9,464.8,647.5,583.6,264.8,311.1,362.6,183.5,526.9,311.6
