from_stop,AM,AO,BE,BS,BW,CB,CI,CQ,DB,DM,DZ,EL,ER,EU,FE,FR,GD,GH,GZ,HK,HU,HZ,IH,IM,IY,IZ,JH,JK,JL,JO,KB,KI,KQ,KS,LN,LP,MA,MR,MU,MZ,NH,NM,OD,OF,OH,OQ,OS,OV,PA,PL,PM,QG,QM,QV,RC,RH,RM,RS,SC,SD,SM,SR,TR,TW,UK,UL,UR,VL,VP,VZ,XC,XH,XN,XO,XS,XT,XU,XZ,YI,YN,YO,YU,ZA,ZB,ZK,ZQ,ZX
XU,233.3,78.4,150.4,257.0,148.2,76.4,130.2,215.2,115.1,71.5,216.7,240.0,139.9,190.7,251.8,181.1,73.0,282.7,318.6,104.9,280.1,108.4,284.5,152.8,178.3,208.0,125.8,83.8,139.7,287.3,267.3,126.0,234.5,264.3,176.1,66.5,210.2,258.3,173.9,105.1,79.9,216.5,118.8,137.4,284.6,233.7,82.5,159.8,89.1,205.9,144.4,289.4,218.7,183.4,116.8,91.8,300.5,76.5,142.9,81.1,83.6,256.4,260.1,111.8,217.6,141.4,274.2,298.2,4.2,80.8,149.5,285.4,112.3,255.2,27.0,158.9,0.0,277.1,1486.7,10.2,292.4,134.5,151.0,227.5,174.2,119.7,121.3
XZ,137.0,266.3,314.4,108.7,136.9,287.1,172.0,114.1,196.1,208.3,68.8,138.9,211.3,208.7,132.7,324.8,232.4,178.3,209.7,157.9,150.0,162.0,119.4,170.8,105.9,136.4,197.2,210.1,299.1,430.1,118.6,180.7,133.4,163.2,335.5,203.3,234.5,171.0,333.5,276.5,216.7,360.2,172.2,296.8,96.4,251.7,242.6,319.2,248.5,349.6,188.0,101.7,362.4,329.3,162.9,187.6,428.1,193.0,302.3,240.5,200.1,19.2,225.1,271.2,116.5,300.8,156.1,174.6,229.9,170.5,308.9,143.8,158.5,100.3,235.8,187.2,238.2,0.0,1432.6,228.4,138.9,296.3,310.4,255.4,279.1,206.6,256.4
YI,1359.0,1477.8,1288.8,1272.4,1413.4,1497.6,1399.5,1349.1,1447.4,1437.8,1364.2,1289.2,1409.2,1442.0,1400.9,1297.0,1361.0,1341.9,1343.6,1361.0,1313.6,1359.9,1296.2,1404.1,1356.1,1386.6,1395.1,1413.2,1302.0,1358.8,1263.7,1378.6,1295.1,1380.6,1313.4,1432.8,1467.8,1334.6,1297.1,1323.5,1446.2,1332.4,1370.1,1355.7,1348.1,1485.0,1359.7,1282.5,1344.9,1321.8,1385.9,1315.0,1334.6,1301.5,1366.1,1385.5,1348.6,1398.7,1298.8,1352.9,1391.1,1390.7,1319.2,1367.3,1319.1,1351.7,1319.7,1407.9,1433.9,1373.6,1292.3,1307.4,1361.6,1380.0,1447.3,1428.2,1442.2,1371.4,0.0,1432.4,1302.5,1308.5,1336.8,1488.7,1291.9,1442.1,1487.6
YN,243.1,88.2,135.7,266.8,162.3,101.4,144.3,225.0,129.2,81.3,226.5,249.8,149.7,200.5,261.6,170.9,58.3,292.5,329.4,114.7,289.9,118.2,294.3,162.6,188.1,217.8,135.6,97.9,129.5,277.1,277.1,135.8,244.3,274.1,164.0,76.0,224.3,268.1,163.7,90.4,89.7,206.3,128.6,130.1,294.4,243.5,72.3,149.6,78.9,195.7,154.2,299.2,204.0,173.2,130.8,105.9,290.3,90.6,128.2,66.4,93.4,266.2,249.9,97.1,227.4,133.8,288.3,126.6,5.6,90.6,139.3,295.2,122.1,265.0,41.1,168.7,9.8,286.9,1476.5,0.0,302.2,126.4,136.3,237.3,164.0,129.5,131.1
YO,144.8,300.8,348.9,47.2,172.9,323.1,208.0,141.9,232.1,242.8,119.1,34.7,245.8,244.7,186.7,359.3,266.9,87.4,89.1,192.4,59.1,196.5,74.7,206.8,141.9,172.4,231.7,244.6,333.6,464.6,57.1,215.2,40.6,171.0,370.0,237.8,270.5,80.1,368.0,311.0,251.2,394.7,206.7,331.3,118.3,287.7,277.1,353.7,283.0,384.1,222.5,93.5,400.8,363.8,197.5,222.1,462.6,227.5,336.8,275.0,234.6,145.6,163.6,305.7,104.9,335.3,65.2,210.6,264.4,205.0,343.4,52.9,193.0,134.9,270.3,223.2,272.7,126.3,1371.1,262.9,0.0,330.8,344.9,291.4,217.6,242.6,292.4
YU,388.2,233.6,13.4,277.0,298.8,226.5,285.4,365.5,265.7,226.9,367.0,294.0,295.3,296.2,401.9,44.4,75.8,346.7,348.2,260.3,318.4,213.8,301.0,258.0,329.6,358.3,281.2,239.0,120.2,150.6,268.5,231.0,299.9,414.6,59.3,221.9,315.2,339.2,76.2,108.1,235.6,79.8,224.0,83.8,434.9,338.9,50.6,100.7,92.1,69.2,239.8,319.6,81.7,49.0,272.5,247.2,163.5,232.2,117.3,83.9,239.0,406.7,305.8,58.2,367.9,90.6,324.4,261.6,146.8,236.2,110.5,312.2,267.7,405.8,182.4,314.6,155.1,427.4,1532.6,145.3,307.3,0.0,34.7,333.0,220.1,275.1,276.7
ZA,377.3,240.7,60.7,266.1,287.4,237.0,242.3,354.4,254.3,233.8,355.9,282.9,252.0,284.8,391.0,91.4,82.9,335.6,337.3,267.2,307.3,202.7,289.9,246.9,317.5,347.2,237.9,246.1,85.7,197.6,257.1,220.1,288.8,403.5,25.0,228.8,304.3,327.8,41.9,115.0,242.2,126.8,212.9,90.9,423.8,327.8,57.7,66.2,99.0,116.2,228.7,304.8,129.0,93.7,279.1,254.1,210.8,238.8,82.5,91.0,245.9,395.6,294.9,65.3,356.8,97.5,313.5,208.5,153.2,243.1,76.0,301.1,274.6,394.4,189.3,271.0,162.2,416.3,1521.5,152.4,296.2,46.9,0.0,321.6,209.0,264.8,266.0
ZB,220.8,227.6,384.8,242.6,135.7,230.8,168.4,192.8,139.8,197.5,194.3,225.6,179.0,36.0,257.3,366.7,307.4,258.9,228.8,197.1,201.3,129.5,270.1,85.8,165.8,195.5,164.9,229.8,384.0,481.9,262.8,112.6,230.0,235.9,399.1,192.5,32.7,179.5,401.9,339.5,193.0,402.1,129.7,384.6,262.2,46.3,326.8,394.2,323.5,391.5,104.0,288.9,408.2,369.0,204.8,135.3,467.8,148.5,387.2,315.5,140.9,234.0,323.1,346.2,195.2,385.7,205.3,142.2,243.6,212.4,383.9,206.6,200.4,232.8,197.1,193.5,234.3,264.6,1577.2,258.9,270.0,371.3,385.8,0.0,237.2,160.2,200.1
ZK,143.6,254.0,399.2,57.0,171.7,302.4,189.3,133.7,216.9,196.0,148.8,73.8,199.0,231.8,185.5,442.6,312.6,126.5,128.2,145.6,98.2,149.7,80.8,193.9,140.7,171.2,184.9,197.8,317.0,458.3,48.3,168.4,79.7,165.2,328.5,191.0,257.6,119.2,312.2,294.4,204.4,452.7,159.9,344.6,132.7,274.8,344.7,315.6,296.5,442.1,175.7,99.6,458.8,447.1,150.7,175.3,461.6,180.7,320.2,304.5,187.8,175.3,85.8,370.2,103.7,340.6,104.3,197.7,217.6,158.2,325.4,92.0,146.2,164.6,223.5,218.0,225.9,156.0,1311.3,216.1,87.1,398.4,351.9,278.5,0.0,205.9,245.8
ZQ,150.0,110.8,272.6,168.9,60.1,138.0,102.7,127.1,11.0,70.8,128.6,151.9,115.3,120.2,163.7,298.7,190.6,194.6,230.5,62.3,166.3,81.8,196.4,68.8,91.4,119.9,101.2,103.1,257.3,404.9,178.8,63.6,146.4,176.2,293.7,65.8,146.0,196.8,291.7,234.7,79.2,334.1,72.1,255.0,196.5,163.2,200.8,277.4,206.7,323.5,56.3,205.2,336.3,303.2,112.0,67.2,415.8,51.9,260.5,198.7,59.0,168.3,275.4,229.4,129.5,259.0,172.4,72.6,126.2,100.1,267.1,160.1,107.6,167.1,80.3,117.9,117.5,189.0,1529.5,127.7,204.3,254.5,268.6,166.9,189.5,0.0,107.3
ZX,204.0,103.3,265.1,222.9,114.1,150.4,142.0,181.1,81.0,38.7,182.6,205.9,151.7,174.2,217.7,291.2,183.1,248.6,284.5,116.7,220.3,120.2,250.4,122.8,145.4,173.9,137.6,77.6,249.8,397.4,232.8,117.6,200.4,230.2,286.2,43.9,200.0,250.8,284.2,227.2,29.9,326.6,126.1,247.5,250.5,217.2,193.3,269.9,199.2,316.0,110.3,259.2,328.8,295.7,110.6,103.6,408.3,88.3,253.0,191.2,95.4,222.3,313.8,221.9,183.5,251.5,226.4,126.6,118.7,74.6,259.6,214.1,106.1,221.1,72.8,170.7,110.0,243.0,1567.9,120.2,258.3,247.0,261.1,220.9,227.9,91.5,0.0
