from_stop,AK,AM,AS,AU,AV,AX,AY,AZ,BF,BJ,BY,CB,DG,DN,DS,DW,EH,EP,ER,FB,FD,FS,FT,GA,GN,GT,HD,HE,HI,HL,HV,HX,IF,IG,II,IN,IZ,JH,JL,JT,KS,KT,LH,LQ,MC,MF,MS,MT,NA,ND,NF,NI,NM,NT,NV,NZ,OJ,OK,OQ,OX,QL,QW,RN,RR,RU,SC,SE,SJ,SK,SO,SW,TG,TW,TY,VC,VE,VF,VN,VP,VS,VZ,WA,WD,WH,WK,WL,WS,WU,XG,XJ,XQ,XR,XS,XW,YF,YO,YP,YQ,YR,YW,ZJ,ZL,ZM,ZQ,ZT,ZY
QW,839.8,568.3,603.2,36.9,512.7,645.5,657.4,728.2,744.6,458.3,484.1,527.1,530.2,538.9,550.6,544.7,634.5,520.3,481.7,532.1,638.5,101.7,600.7,577.3,513.7,581.6,726.3,536.1,2237.0,363.3,26.6,535.3,529.9,197.3,657.3,772.7,875.7,460.4,95.0,866.7,354.0,32.3,83.7,762.5,527.3,554.0,579.9,280.4,112.8,97.3,540.1,482.1,570.8,739.3,550.3,510.8,491.7,403.6,428.0,524.2,615.3,0.0,472.0,573.3,432.8,347.1,654.1,730.5,671.7,555.2,635.7,54.9,490.8,563.4,737.7,698.7,532.5,627.4,550.7,239.7,562.1,277.7,435.4,106.7,604.8,549.7,460.6,494.5,689.6,553.3,631.1,570.6,427.1,550.9,535.6,634.9,586.8,125.2,143.6,562.2,187.2,676.3,491.2,466.9,595.9,443.2
RN,599.8,238.8,363.2,449.0,192.0,337.0,435.4,506.2,504.6,106.4,111.8,305.2,259.8,547.2,224.6,322.7,318.0,194.2,54.1,130.7,330.0,592.2,280.0,337.4,273.7,172.2,504.3,215.4,1916.3,115.1,523.3,185.0,302.5,687.8,435.3,550.7,635.8,376.0,393.9,626.7,362.3,454.5,398.1,522.5,201.3,233.3,340.0,186.6,603.3,587.8,185.8,490.4,260.9,517.3,558.6,190.1,84.1,256.5,104.5,284.2,375.3,490.3,0.0,163.8,109.3,131.3,333.4,490.5,449.8,333.2,315.1,545.3,24.2,242.7,497.7,476.7,211.8,387.5,310.7,730.2,163.7,768.2,402.7,383.4,377.4,229.0,398.2,226.1,449.6,232.3,409.1,330.6,280.0,224.9,221.4,314.2,346.8,360.4,640.2,241.5,285.7,449.0,40.9,319.8,275.3,122.5
RR,608.3,220.5,371.7,425.2,164.8,199.7,444.3,514.7,513.1,127.6,278.2,313.7,268.3,637.4,202.8,331.2,188.7,114.7,250.2,320.6,192.7,568.4,210.8,345.9,282.2,8.4,512.8,119.9,1889.1,212.7,491.3,46.2,321.6,664.0,443.8,561.6,644.3,513.3,363.9,635.2,451.2,430.7,374.3,531.0,179.5,119.9,348.5,284.2,582.8,564.0,41.6,579.3,269.4,525.8,647.5,167.0,280.2,374.9,158.0,292.7,383.0,466.6,196.0,0.0,153.2,228.9,214.1,499.0,453.6,341.7,223.6,521.5,174.2,251.2,506.2,485.2,102.5,396.0,319.2,706.4,34.1,744.4,540.0,353.4,391.3,201.8,535.5,146.6,458.1,95.7,417.6,339.1,377.6,203.1,54.3,233.7,355.3,336.6,610.2,128.1,377.1,462.9,144.1,457.1,139.3,95.3
RU,576.4,224.3,339.8,393.3,168.6,313.6,412.4,482.8,481.2,25.6,124.9,281.8,236.4,492.8,206.6,299.3,294.6,176.2,122.5,172.9,306.6,536.5,256.6,314.0,250.3,148.8,480.9,192.0,1892.9,59.4,459.4,152.4,289.7,632.1,411.9,529.7,612.4,320.3,332.0,603.3,306.6,398.8,342.4,499.1,183.3,209.9,316.6,130.9,550.9,532.1,167.8,434.7,237.5,493.9,502.9,170.8,132.5,200.8,4.8,260.8,351.1,434.7,107.4,140.4,0.0,75.6,310.0,467.1,421.7,309.8,291.7,489.6,109.6,219.3,474.3,453.3,188.4,364.1,287.3,674.5,140.3,712.5,347.0,321.5,359.4,205.6,342.5,202.7,426.2,201.9,385.7,307.2,224.3,206.9,194.8,281.8,323.4,304.7,578.3,218.1,223.8,431.0,78.7,264.1,229.3,99.1
SC,561.3,310.0,324.7,317.6,254.3,399.3,379.3,449.7,466.1,111.2,136.9,248.7,251.7,417.1,292.3,266.2,380.3,261.9,134.5,184.9,392.3,460.8,342.3,298.9,235.2,234.5,447.8,277.7,1978.6,16.2,383.7,238.1,256.6,556.4,378.8,496.6,597.3,244.6,256.3,588.2,230.9,323.1,266.7,484.0,269.0,295.6,301.5,55.2,475.2,456.4,253.5,359.0,292.3,460.8,427.2,256.5,144.5,125.1,80.8,245.7,336.0,359.0,119.4,226.1,85.6,0.0,395.7,452.0,388.6,276.7,377.4,413.9,138.5,305.0,459.2,420.2,274.1,349.0,272.2,598.8,226.0,636.8,271.3,245.8,326.3,291.3,266.8,288.4,411.1,287.6,352.6,292.1,148.6,292.6,280.5,367.5,308.3,229.0,502.6,303.8,148.1,397.9,164.4,188.4,315.0,184.8
SE,511.0,222.2,274.4,519.1,153.2,65.0,347.0,417.4,415.8,179.4,330.0,216.4,171.0,600.5,204.5,233.9,83.0,135.9,302.0,372.4,58.0,662.3,58.1,248.6,184.9,176.8,415.5,175.2,1890.8,264.5,585.2,180.4,224.3,757.9,346.5,464.3,547.0,416.0,457.8,537.9,525.3,524.6,468.2,433.7,167.9,92.2,251.2,336.0,676.7,657.9,195.8,542.4,172.1,428.5,610.6,155.4,332.0,277.6,209.8,195.4,285.7,560.5,247.8,168.4,205.0,280.7,0.0,401.7,356.3,244.4,33.1,615.4,226.0,153.9,408.9,387.9,123.7,298.7,221.9,800.3,168.3,838.3,442.7,447.3,294.0,190.2,438.2,230.7,360.8,199.4,320.3,241.8,392.2,191.5,170.5,52.2,258.0,430.5,704.1,84.0,428.9,365.6,195.1,359.8,72.8,94.2
SJ,109.3,348.0,124.7,722.3,523.2,420.6,367.7,438.1,14.1,564.6,590.3,237.1,271.1,654.1,359.7,254.6,359.8,475.9,587.9,638.3,413.6,865.5,392.7,150.1,254.0,529.4,436.2,519.5,2086.2,469.5,788.4,533.0,245.0,961.1,367.2,485.0,224.9,469.6,661.0,136.2,578.9,727.8,671.4,32.0,537.9,465.8,147.7,459.9,879.9,861.1,548.4,596.0,311.7,449.2,664.2,525.4,597.9,331.2,534.2,264.5,113.4,763.7,572.8,521.0,539.0,453.3,427.0,0.0,377.0,265.1,394.7,818.6,591.9,271.4,7.2,408.6,455.5,100.4,175.0,1003.5,520.9,1041.5,496.3,650.5,314.7,560.2,491.8,583.3,82.4,543.7,341.0,201.2,445.8,561.5,473.2,404.8,141.1,633.7,907.3,457.6,552.8,386.3,617.8,413.4,446.4,446.8
SK,477.4,248.3,240.8,619.6,420.5,314.5,122.7,56.3,382.2,461.9,487.6,114.7,168.4,550.1,257.0,97.2,253.7,369.8,485.2,535.6,307.5,762.8,286.6,215.0,151.3,423.3,191.2,413.4,1983.5,366.8,687.7,435.7,112.0,858.4,10.4,240.0,513.4,366.9,558.3,504.3,476.2,625.1,568.7,400.1,435.2,359.7,217.6,357.2,773.9,758.4,442.3,493.3,209.0,204.2,561.5,418.6,495.2,228.5,431.5,161.8,252.1,660.9,475.5,414.9,436.3,350.6,320.9,368.1,0.0,87.0,288.6,715.9,494.3,165.3,375.3,163.6,349.4,265.1,188.3,900.8,414.8,938.8,393.6,547.8,69.7,457.5,389.1,477.2,327.2,430.6,96.0,208.2,343.1,458.8,363.9,307.7,224.4,531.0,804.6,351.5,450.1,141.3,515.7,310.7,327.4,340.7
SO,390.3,158.2,153.7,532.5,333.4,248.8,102.5,172.9,295.1,374.8,400.5,27.6,81.3,464.3,169.9,10.1,188.0,304.1,398.1,448.5,241.8,675.7,220.9,127.9,64.2,387.1,171.0,347.7,1896.4,279.7,598.6,390.7,19.7,771.3,102.0,219.8,426.3,279.8,471.2,417.2,389.1,538.0,481.6,313.0,348.1,294.0,130.5,270.1,690.1,671.3,406.1,406.2,121.9,184.0,474.4,335.6,408.1,141.4,344.4,74.7,165.0,573.9,383.0,378.7,349.2,263.5,255.2,281.0,111.8,0.0,222.9,628.8,402.1,142.9,288.2,143.4,283.7,178.0,101.2,813.7,378.6,851.7,306.5,460.7,49.5,370.4,302.0,441.0,240.1,371.9,75.8,121.1,256.0,371.7,301.4,233.0,137.3,443.9,717.5,285.8,363.0,121.1,428.6,223.6,274.6,304.5
SW,499.2,206.9,262.6,485.9,120.0,70.6,334.8,405.6,404.0,146.2,296.8,204.6,159.2,587.4,192.7,222.1,49.8,108.1,268.8,339.2,78.8,629.1,24.9,236.8,173.1,143.6,403.7,151.7,1879.0,231.3,554.0,156.0,207.3,724.7,334.7,450.1,535.2,404.2,424.6,526.1,513.5,491.4,435.0,421.9,134.7,124.5,239.4,302.8,640.2,624.7,162.6,530.6,160.3,416.7,598.8,122.2,298.8,265.8,176.6,183.6,273.9,527.2,208.4,135.2,171.8,247.5,32.2,389.9,349.2,232.6,0.0,582.2,187.0,142.1,397.1,376.1,120.3,286.9,210.1,767.1,135.1,805.1,430.9,414.1,282.2,157.0,426.4,197.5,349.0,168.9,308.5,230.0,380.4,158.3,192.8,28.0,246.2,397.3,670.9,116.3,395.7,353.8,161.9,348.0,92.2,61.0
TG,894.7,619.8,658.1,91.8,567.6,700.4,712.7,783.1,799.5,513.3,539.0,582.1,585.1,593.8,605.6,599.6,689.4,575.2,536.6,587.0,693.4,46.8,655.6,632.3,568.6,636.6,781.2,591.0,2291.9,418.2,28.1,590.3,584.8,142.4,712.2,827.6,930.7,515.3,150.0,921.6,408.9,87.2,138.6,817.4,582.3,608.9,634.9,335.3,57.9,42.4,595.0,537.0,625.7,794.2,605.2,569.8,546.6,458.5,482.9,579.1,669.4,54.9,521.5,628.2,487.7,402.0,709.0,785.4,726.7,610.1,690.7,0.0,545.7,618.3,792.6,753.6,587.4,682.4,605.6,184.8,617.0,222.8,490.3,161.6,659.7,604.6,515.5,549.4,744.5,608.2,686.0,625.5,482.0,605.9,593.7,689.8,641.7,180.1,88.6,617.1,242.1,731.3,546.1,521.8,650.9,498.1
TW,575.6,220.0,339.0,476.6,167.8,312.8,411.6,482.0,480.4,82.2,139.4,281.0,235.6,576.1,205.8,298.5,293.8,175.4,81.7,152.1,305.8,619.8,255.8,313.2,249.5,148.0,480.1,191.2,1892.1,142.7,544.7,166.2,283.7,715.4,411.1,528.9,611.6,403.6,415.3,602.5,389.9,482.1,425.7,498.3,182.5,209.1,315.8,214.2,630.9,615.4,167.0,518.0,236.7,493.1,586.2,170.0,111.7,284.1,112.6,260.0,350.3,517.9,21.3,139.6,107.8,158.9,309.2,466.3,425.6,309.0,290.9,572.9,0.0,218.5,473.5,452.5,187.6,363.3,286.5,757.8,139.5,795.8,430.3,404.8,358.6,204.8,425.8,201.9,425.4,201.1,384.9,306.4,307.6,206.1,194.0,290.0,322.6,388.0,661.6,217.3,307.1,430.2,21.3,347.4,251.1,98.3
TY,357.0,66.3,120.4,517.2,234.3,149.1,193.0,263.4,261.8,260.5,385.2,62.4,66.0,449.0,78.0,79.9,88.3,204.4,382.8,433.2,142.1,660.4,121.2,94.6,30.9,257.9,261.5,248.0,1804.5,264.4,583.3,261.5,70.3,756.0,192.5,310.3,393.0,264.5,455.9,383.9,373.8,522.7,466.3,279.7,249.0,194.3,97.2,254.8,674.8,656.0,276.9,390.9,106.6,274.5,459.1,236.5,392.8,126.1,329.1,41.4,131.7,558.6,367.7,249.5,333.9,248.2,155.5,247.7,202.3,90.4,123.2,613.5,386.8,0.0,254.9,233.9,184.0,144.7,67.9,798.4,249.4,836.4,291.2,445.4,140.0,271.3,286.7,311.8,206.8,272.2,166.3,87.8,240.7,272.6,201.7,133.3,104.0,428.6,702.2,186.1,347.7,211.6,276.2,208.3,174.9,175.3
VC,102.1,354.9,131.6,729.2,530.1,427.5,374.2,445.0,6.9,571.5,597.2,244.0,278.0,659.7,366.6,261.5,366.7,482.8,594.8,645.2,420.5,872.4,399.6,157.0,260.9,536.3,443.1,526.4,2093.1,476.4,797.3,548.7,246.7,968.0,374.1,489.5,231.8,476.5,667.9,129.0,585.8,734.7,678.3,24.8,544.8,472.7,154.6,466.8,883.5,868.0,555.3,602.9,318.6,456.1,671.1,528.2,604.8,338.1,541.1,271.4,120.3,770.6,585.1,527.9,545.9,460.2,433.9,6.8,388.6,272.0,401.6,825.5,603.9,278.3,0.0,415.5,462.4,107.3,181.9,1010.4,527.8,1048.4,503.2,657.4,321.6,567.1,498.7,590.2,89.3,546.5,347.9,208.1,452.7,568.4,480.1,420.7,148.0,640.6,914.2,464.5,559.7,393.2,624.7,420.3,440.4,453.7
VE,522.2,290.1,285.6,664.4,465.3,359.3,40.9,217.9,427.0,506.7,532.4,159.5,213.2,596.2,301.8,142.0,298.5,414.6,530.0,580.4,352.3,807.6,331.4,259.8,196.1,468.1,27.6,458.2,2028.3,411.6,730.5,471.7,151.6,903.2,147.0,76.3,558.2,411.7,603.1,549.1,521.0,669.9,613.5,444.9,480.0,404.5,262.4,402.0,822.0,803.2,487.1,538.1,253.8,40.5,606.3,467.5,540.0,273.3,476.3,206.6,296.9,705.8,514.9,459.7,481.1,395.4,365.7,412.9,156.8,131.8,333.4,760.7,534.0,210.1,420.1,0.0,394.2,309.9,233.1,945.6,459.6,983.6,438.4,592.6,82.8,502.3,433.9,522.0,372.0,482.4,57.5,253.0,387.9,503.6,411.9,343.5,269.2,575.8,849.4,396.3,494.9,22.2,560.5,355.5,385.1,385.5
VF,538.9,238.1,302.3,503.0,170.4,125.1,374.5,445.3,443.7,163.3,313.9,244.3,198.9,627.1,223.9,261.8,119.3,12.1,285.9,356.3,118.1,646.2,108.2,276.5,212.8,140.4,443.4,51.4,1821.4,248.4,571.1,81.1,247.0,741.8,374.4,489.8,574.9,443.9,441.7,565.8,495.6,508.5,452.1,461.6,185.1,21.4,279.1,319.9,657.3,641.8,141.4,570.3,200.0,456.4,638.5,168.5,315.9,305.5,193.7,223.3,313.6,544.4,225.5,132.0,188.9,264.6,121.5,429.6,388.9,272.3,143.3,599.3,204.1,181.8,436.8,415.8,0.0,326.6,249.8,784.2,107.8,822.2,470.6,431.2,321.9,207.4,466.1,214.6,388.7,73.6,348.2,269.7,420.1,208.7,67.6,142.4,285.9,414.4,688.0,29.6,412.8,393.5,179.0,387.7,63.4,100.9
VN,212.2,250.5,24.2,621.8,422.7,320.1,266.8,337.6,117.0,464.1,489.8,136.6,170.6,552.3,259.2,154.1,259.3,375.4,487.4,537.8,313.1,765.0,292.2,49.6,153.5,428.9,335.7,419.0,1985.7,369.0,689.9,441.3,139.3,860.6,266.7,384.5,248.2,369.1,560.5,239.1,478.4,627.3,570.9,134.9,437.4,365.3,47.2,359.4,776.1,760.6,447.9,495.5,211.2,348.7,563.7,424.9,497.4,230.7,433.7,164.0,12.9,663.1,472.3,420.5,438.5,352.8,326.5,102.9,281.2,164.6,294.2,718.1,496.5,170.9,110.1,308.1,355.0,0.0,74.5,903.0,420.4,941.0,395.8,550.0,214.2,459.7,391.3,482.8,62.0,436.2,240.5,100.7,345.3,461.0,369.5,313.3,40.6,533.2,806.8,357.1,452.3,285.8,517.9,312.9,333.0,346.3
VP,289.0,172.9,52.4,547.2,348.1,245.5,192.6,263.0,193.8,389.5,415.2,62.0,96.0,479.0,184.6,79.5,184.7,300.8,412.8,463.2,238.5,690.4,217.6,26.7,78.9,354.3,261.1,344.4,1911.1,294.4,613.3,357.9,69.9,786.0,192.1,309.9,325.0,294.5,485.9,315.9,403.8,552.7,496.3,211.7,362.8,290.7,29.3,284.8,704.8,686.0,373.3,420.9,136.6,274.1,489.1,350.3,422.8,156.1,359.1,89.4,63.7,588.6,397.7,345.9,363.9,278.2,251.9,179.7,201.9,90.0,219.6,643.5,416.8,96.3,186.9,233.5,280.4,76.7,0.0,828.4,345.8,866.4,321.2,475.4,139.6,385.1,316.7,408.2,138.8,368.6,165.9,26.1,270.7,386.4,298.1,229.7,36.0,458.6,732.2,282.5,377.7,211.2,442.7,238.3,271.3,271.7
VS,1070.9,799.5,834.3,268.0,743.8,876.6,888.9,959.3,975.7,689.5,715.2,758.3,761.3,771.3,781.8,775.8,865.6,751.4,712.8,763.2,869.6,128.5,831.8,808.5,744.8,812.8,957.4,767.2,2468.1,594.4,206.3,781.1,766.2,39.7,888.4,1006.2,1106.9,691.5,326.2,1097.8,585.1,263.4,314.8,993.6,758.5,785.1,811.1,511.5,116.0,132.4,771.2,713.2,801.9,970.4,781.4,746.0,722.8,634.7,659.1,755.3,845.6,231.0,697.7,804.4,663.9,578.2,885.2,961.6,898.2,786.3,866.9,176.1,716.8,794.5,968.8,929.8,763.6,858.6,781.8,0.0,793.2,38.0,666.5,337.8,835.9,780.8,691.7,725.6,920.7,791.4,862.2,801.7,658.2,782.1,769.9,857.0,817.9,356.3,89.3,793.3,418.3,907.5,722.3,698.0,804.5,674.3
VZ,582.5,230.4,345.9,435.1,174.7,223.9,418.5,488.9,487.3,137.5,288.1,287.9,242.5,647.3,212.7,305.4,212.9,105.6,260.1,330.5,216.9,578.3,186.0,320.1,256.4,32.5,487.0,85.7,1899.0,222.6,501.2,12.1,295.8,673.9,418.0,535.8,618.5,483.5,373.8,609.4,461.1,440.6,384.2,505.2,189.4,139.3,322.7,294.1,592.7,573.9,33.5,589.2,243.6,500.0,657.4,176.9,290.1,349.1,167.9,266.9,357.2,476.5,205.9,24.1,163.1,238.8,238.3,473.2,427.8,315.9,221.1,531.4,184.1,225.4,480.4,459.4,117.8,370.2,293.4,716.3,0.0,754.3,510.2,363.3,365.5,211.7,505.7,156.5,432.3,61.5,391.8,313.3,387.5,213.0,78.5,211.2,329.5,346.5,620.1,147.5,387.0,437.1,153.2,427.3,158.7,105.2
WA,1110.2,838.8,873.6,307.3,783.1,915.9,928.2,998.6,1015.0,728.8,754.5,797.6,800.6,810.6,821.1,815.1,904.9,790.7,752.1,802.5,908.9,167.8,871.1,847.8,784.1,852.1,996.7,806.5,2507.4,633.7,245.6,820.4,805.5,79.0,927.7,1045.5,1146.2,730.8,365.5,1137.1,624.4,302.7,354.1,1032.9,797.8,824.4,850.4,550.8,155.3,171.7,810.5,752.5,841.2,1009.7,820.7,785.3,762.1,674.0,698.4,794.6,884.9,270.3,737.0,843.7,703.2,617.5,924.5,1000.9,937.5,825.6,906.2,215.4,756.1,833.8,1008.1,969.1,802.9,897.9,821.1,39.3,832.5,0.0,705.8,377.1,875.2,820.1,731.0,764.9,960.0,830.7,901.5,841.0,697.5,821.4,809.2,896.3,857.2,395.6,128.6,832.6,457.6,946.8,761.6,737.3,843.8,713.6
WD,589.5,356.8,352.9,418.7,530.9,457.6,407.5,477.9,494.3,387.8,413.5,276.9,279.9,157.7,368.5,294.4,396.8,538.5,411.1,461.5,450.6,561.9,429.7,327.1,263.4,511.1,476.0,554.3,2095.0,292.7,484.8,514.7,284.8,657.5,407.0,524.8,625.5,24.9,357.4,616.4,82.5,424.2,367.8,512.2,545.6,502.8,329.7,238.4,576.3,557.5,530.1,99.6,320.5,489.0,167.8,533.1,421.1,153.3,357.4,273.9,364.2,460.1,396.0,502.7,362.2,276.5,464.0,480.2,416.8,304.9,431.7,515.0,415.1,341.5,487.4,448.4,550.7,377.2,300.4,699.9,502.6,737.9,0.0,346.9,354.5,567.9,25.1,563.5,439.3,564.2,380.8,320.3,269.0,569.2,557.1,441.8,336.5,330.1,603.7,494.6,249.2,426.1,441.0,81.1,483.4,461.4
WH,733.0,458.1,496.4,71.7,405.9,538.7,550.6,621.4,637.8,351.6,377.3,420.4,423.4,432.1,443.9,437.9,527.7,413.5,374.9,425.3,531.7,214.9,493.9,470.6,406.9,474.9,619.5,429.3,2130.2,256.5,139.8,428.6,423.1,310.5,550.5,665.9,769.0,353.6,10.5,759.9,247.2,77.2,20.8,655.7,420.6,447.2,473.2,173.6,226.0,210.5,433.3,375.3,464.0,632.5,443.5,404.0,384.9,296.8,321.2,417.4,507.7,113.1,359.8,466.5,326.0,240.3,547.3,623.7,565.0,448.4,529.0,168.0,384.0,456.6,630.9,591.9,425.7,520.7,443.9,352.9,455.3,390.9,328.6,0.0,498.0,442.9,353.8,387.7,582.8,449.4,524.3,463.8,320.3,444.2,428.8,528.1,480.0,18.4,256.7,455.4,80.4,569.6,384.4,360.1,489.2,336.4
WK,438.3,206.2,201.7,580.5,381.4,275.4,51.5,134.0,343.1,422.8,448.5,75.6,129.3,512.3,217.9,58.1,214.6,330.7,446.1,496.5,268.4,723.7,247.5,175.9,112.2,384.2,120.4,374.3,1944.4,327.7,648.6,396.6,72.9,819.3,63.1,169.2,474.3,327.8,519.2,465.2,437.1,586.0,529.6,361.0,396.1,320.6,178.5,318.1,736.7,719.3,403.2,454.2,169.9,133.4,522.4,379.5,456.1,189.4,392.4,122.7,213.8,621.8,436.4,375.8,397.2,311.5,281.8,329.0,77.6,47.9,249.5,676.8,455.2,126.2,336.2,92.8,310.3,226.0,149.2,861.7,375.7,899.7,354.5,508.7,0.0,418.4,350.0,438.1,288.1,394.4,25.2,169.1,304.0,419.7,328.0,268.6,185.3,491.9,765.5,312.4,411.0,70.5,476.6,271.6,288.3,301.6
WL,542.0,189.9,305.4,550.2,31.7,230.1,378.0,448.4,446.8,210.5,361.1,247.4,202.0,631.5,172.2,264.9,180.3,205.2,333.1,403.5,238.3,693.4,175.4,279.6,215.9,207.9,446.5,221.0,1858.5,295.6,616.3,211.5,255.3,789.0,377.5,495.3,578.0,447.0,488.9,568.9,556.3,555.7,499.3,464.7,61.8,238.9,282.2,437.3,707.8,689.0,226.9,573.4,203.1,459.5,641.6,80.1,363.1,308.6,240.9,226.4,316.7,591.6,278.9,199.5,236.1,311.8,191.7,432.7,387.3,275.4,159.4,646.5,257.1,184.9,439.9,418.9,217.4,329.7,252.9,831.4,199.4,869.4,473.7,478.4,325.0,0.0,469.2,261.8,391.8,245.2,351.3,272.8,423.2,82.0,253.9,141.9,289.0,461.6,735.2,247.1,530.2,396.6,226.2,390.8,258.3,125.3
WS,596.9,364.2,360.3,435.8,538.3,465.0,414.9,485.3,501.7,395.2,420.9,284.3,287.3,174.8,375.9,301.8,404.2,545.9,418.5,468.9,458.0,579.0,437.1,334.5,270.8,518.5,483.4,561.7,2102.4,300.1,501.9,522.1,292.2,674.6,414.4,532.2,632.9,32.3,374.5,623.8,99.6,441.3,384.9,519.6,553.0,510.2,337.1,255.5,593.4,574.6,537.5,116.7,327.9,496.4,184.9,540.5,428.5,160.7,364.8,281.3,371.6,477.2,403.4,510.1,369.6,283.9,471.4,487.6,424.2,312.3,439.1,532.1,422.5,348.9,494.8,455.8,558.1,384.6,307.8,717.0,510.0,755.0,17.0,364.0,361.9,575.3,0.0,580.6,446.7,571.6,388.2,327.7,276.4,576.6,564.5,449.2,343.9,347.2,620.8,502.0,266.3,433.5,448.4,88.5,490.8,468.8
WU,624.8,272.7,388.2,507.2,217.0,356.3,460.8,531.2,529.6,179.8,330.4,330.2,284.8,698.3,255.0,347.7,343.0,224.6,302.4,372.8,349.3,650.4,305.0,362.4,298.7,164.9,529.3,240.4,1941.3,264.9,573.3,168.5,338.1,746.0,460.3,578.1,660.8,525.8,445.9,651.7,512.1,512.7,456.3,547.5,231.7,258.3,365.0,336.4,664.8,646.0,183.9,640.2,285.9,542.3,708.4,219.2,332.4,391.4,210.2,309.2,399.5,548.6,248.2,156.5,205.4,281.1,358.4,515.5,470.1,358.2,340.1,603.5,226.4,267.7,522.7,501.7,236.8,412.5,335.7,788.4,156.4,826.4,552.5,435.4,407.8,254.0,548.0,0.0,474.6,218.0,434.1,355.6,429.8,255.3,210.9,330.2,371.8,418.6,692.2,266.5,429.3,479.4,195.5,469.6,277.7,147.5
XG,150.1,333.2,109.9,707.5,508.4,405.8,352.9,423.3,54.9,549.8,575.5,222.3,256.3,639.3,344.9,239.8,345.0,461.1,573.1,623.5,398.8,850.7,377.9,135.3,239.2,514.6,421.4,504.7,2071.4,454.7,773.6,518.2,230.2,946.3,352.4,470.2,186.1,454.8,646.2,177.0,564.1,713.0,656.6,72.8,523.1,451.0,132.9,445.1,865.1,846.3,533.6,581.2,296.9,434.4,649.4,510.6,583.1,316.4,519.4,249.7,98.6,748.9,558.0,506.2,524.2,438.5,412.2,40.8,362.2,250.3,379.9,803.8,577.1,256.6,48.0,393.8,440.7,85.6,160.2,988.7,506.1,1026.7,481.5,635.7,299.9,545.4,477.0,568.5,0.0,528.9,326.2,186.4,431.0,546.7,458.4,390.0,126.3,618.9,892.5,442.8,538.0,371.5,603.6,398.6,431.6,432.0
XJ,624.6,236.3,388.0,486.7,188.2,210.8,460.2,531.0,529.4,177.0,331.7,323.0,284.6,712.8,224.2,347.5,191.8,66.4,303.7,370.0,203.8,629.9,153.8,360.2,298.5,88.2,529.1,24.1,1907.1,266.2,554.8,49.9,325.7,725.5,460.1,575.5,656.5,529.6,425.4,651.5,512.7,492.2,435.8,545.3,200.9,107.1,360.7,337.7,641.0,625.5,89.2,656.0,285.7,535.1,724.2,186.3,333.7,391.2,211.5,302.0,400.1,528.0,243.3,75.7,206.7,282.4,207.2,515.3,467.6,358.0,181.9,585.0,214.9,267.5,520.5,501.5,81.5,405.3,335.5,767.9,51.5,805.9,556.3,416.9,400.6,225.2,551.8,232.4,474.4,0.0,433.9,353.4,424.1,224.5,133.3,181.0,371.6,398.1,673.7,113.3,423.6,472.2,192.7,473.4,142.1,118.7
XQ,464.6,232.5,228.0,606.8,407.7,301.7,26.6,160.3,369.4,449.1,474.8,101.9,155.6,538.6,244.2,84.4,240.9,357.0,472.4,522.8,294.7,750.0,273.8,202.2,138.5,410.5,95.1,400.6,1970.7,354.0,672.9,414.1,94.0,845.6,89.4,143.9,500.6,354.1,545.5,491.5,463.4,612.3,555.9,387.3,422.4,346.9,204.8,344.4,764.4,745.6,429.5,480.5,196.2,108.1,548.7,409.9,482.4,215.7,418.7,149.0,239.3,648.2,457.3,402.1,423.5,337.8,308.1,355.3,99.2,74.2,275.8,703.1,476.4,152.5,362.5,67.5,336.6,252.3,175.5,888.0,402.0,926.0,380.8,535.0,25.2,444.7,376.3,464.4,314.4,424.8,0.0,195.4,330.3,446.0,354.3,285.9,211.6,518.2,791.8,338.7,437.3,45.2,502.3,297.9,327.5,327.9
XR,378.8,146.7,142.2,521.0,321.9,219.3,166.0,236.8,283.6,363.3,389.0,35.8,69.8,451.5,158.4,53.3,158.5,274.6,386.6,437.0,212.3,664.2,191.4,116.4,52.7,328.1,234.9,318.2,1884.9,268.2,589.1,340.5,38.5,759.8,165.9,281.3,414.8,268.3,459.7,405.7,377.6,526.5,470.1,301.5,336.6,264.5,119.0,258.6,675.3,659.8,347.1,394.7,110.4,247.9,462.9,320.0,396.6,129.9,332.9,63.2,153.5,562.4,376.9,319.7,337.7,252.0,225.7,269.5,180.4,63.8,193.4,617.3,395.7,70.1,276.7,207.3,254.2,166.5,89.7,802.2,319.6,840.2,295.0,449.2,113.4,358.9,290.5,382.0,228.6,335.4,139.7,0.0,244.5,360.2,268.7,212.5,125.8,432.4,706.0,256.3,351.5,185.0,416.5,212.1,232.2,245.5
