from_stop,AC,AV,AY,AZ,BC,BG,BH,BJ,BP,BW,CB,CC,CH,CJ,CP,CS,CY,DH,DL,DX,EC,EI,EO,ES,EX,EY,FD,FG,FJ,FQ,FV,FX,FY,GG,GH,GQ,GV,HC,HE,HG,HN,HS,HV,IG,II,IK,IL,IN,IR,JI,KA,KB,KF,KG,KL,KN,KS,KT,KZ,LB,LS,LW,MD,MG,MI,MJ,MN,NJ,NM,NQ,NT,NX,NZ,OE,OK,OQ,OZ,PD,PE,PH,PR,PT,PZ,QD,QI,QL,QR,RE,RH,RJ,RL,RM,RP,RR,RT,RV,RZ,SI,SK,SM,ST,SY,SZ,TI,TP,TQ,TW,UA,UC,UH,UM,UP,UQ,UR,UX,UY,UZ,VL,VO,VQ,VS,VT,VU,WB,WD,XA,XF,XK,XL,XM,XV,YB,YH,YP,YR,ZA,ZB,ZF,ZH,ZP,ZR
IK,838.7,760.3,738.8,861.4,65.5,939.7,896.0,270.9,1154.2,718.5,228.6,798.9,947.3,619.6,907.2,167.0,394.7,1042.3,811.3,962.9,738.2,251.0,175.8,198.4,159.6,932.2,857.1,202.1,708.5,1360.3,743.0,2698.1,782.2,691.4,624.8,115.9,129.5,794.1,96.7,917.2,50.8,825.9,414.1,880.3,694.1,0.0,685.9,748.3,1330.8,1154.4,993.1,691.0,180.2,1101.9,194.0,947.3,191.1,518.2,266.7,711.4,776.4,941.2,38.4,952.9,953.0,254.4,1145.3,703.5,38.6,195.0,1089.7,752.0,312.6,209.3,443.0,281.5,1056.0,274.7,135.3,1122.0,684.0,681.5,99.6,677.6,1156.1,725.9,234.2,401.1,491.9,225.3,180.2,864.9,153.5,1027.2,699.0,191.4,80.4,393.7,1123.8,788.5,105.1,504.5,188.7,1304.8,481.9,140.2,586.9,122.5,736.5,35.4,187.8,956.9,857.4,733.8,704.1,454.3,514.0,931.5,842.3,726.7,407.4,711.0,522.2,1047.7,670.6,772.7,160.7,764.9,757.1,154.6,406.7,977.0,1163.4,645.4,651.5,1017.6,187.8,901.4,170.1,1221.3,668.8
IL,152.7,181.9,113.9,236.8,686.9,321.1,210.0,499.1,535.6,183.9,719.3,188.9,328.7,69.9,288.6,550.0,603.2,423.7,105.9,344.3,946.7,395.4,471.3,449.3,557.4,344.5,151.7,446.0,158.0,741.7,133.0,2079.5,203.8,899.9,833.3,671.9,551.1,184.1,550.8,298.6,596.7,139.9,433.2,194.3,94.8,647.6,0.0,956.8,712.2,535.8,377.2,72.4,660.2,483.3,671.6,328.7,553.2,194.1,503.3,114.4,90.4,322.6,609.1,334.3,334.4,460.5,523.7,912.0,660.0,675.0,471.1,133.4,436.3,689.3,205.5,487.6,437.4,425.6,544.3,503.4,65.4,174.6,628.3,124.8,537.5,147.5,445.4,609.6,167.8,491.7,660.2,178.9,563.5,408.6,80.4,525.6,701.8,254.8,505.2,83.1,585.1,134.9,592.6,686.2,690.4,539.4,795.4,664.7,130.0,656.8,491.8,345.8,218.3,173.1,94.1,662.8,125.4,245.5,255.9,173.9,615.9,919.5,189.1,429.1,879.1,154.1,518.9,134.3,68.8,634.6,304.7,358.4,544.8,130.1,860.7,395.3,517.6,282.8,477.9,602.7,186.8
IN,1154.0,1075.6,1054.1,1176.7,753.0,1258.8,1211.3,549.5,1469.5,1033.8,867.6,1114.2,1262.6,934.9,1222.5,791.3,339.5,1357.6,1126.6,1278.2,9.5,663.2,712.6,690.6,798.6,1345.8,1172.4,687.3,1023.8,1675.6,1058.3,3013.4,1097.5,53.8,118.1,703.0,582.2,1109.4,735.7,1232.5,689.8,1141.2,619.0,1195.6,1009.4,719.8,1001.2,0.0,1646.1,1469.7,1308.4,1006.3,819.2,1417.2,833.0,1262.6,529.6,798.9,545.3,1026.7,1091.7,1256.5,681.3,1268.2,1268.3,701.8,1460.6,42.4,732.2,834.0,1405.0,1067.3,724.8,848.3,824.9,728.9,1371.3,629.8,591.3,1437.3,999.3,996.8,659.4,992.9,1471.4,1041.2,686.7,334.2,786.9,733.0,819.2,1180.2,792.5,1342.5,1014.3,766.9,738.1,805.9,1439.1,1103.8,744.1,818.2,827.7,1620.1,253.4,596.2,152.3,695.8,1051.8,729.0,643.8,1272.2,1172.7,1049.1,1019.4,281.0,829.3,1246.8,1157.6,1042.0,327.9,35.2,837.5,1363.0,128.4,1088.0,616.7,1080.2,1072.4,793.6,818.9,1292.3,1478.7,960.7,91.4,1329.2,758.9,1216.7,719.2,1536.6,984.1
IR,633.0,747.9,693.9,619.4,1336.5,467.3,605.5,1148.7,278.1,867.7,1368.9,822.7,471.1,719.5,431.0,1199.6,1252.8,257.9,745.2,438.9,1596.3,1045.0,1120.9,1098.9,1207.0,534.5,699.4,1095.6,647.6,67.5,816.8,2525.6,777.3,1549.5,1482.9,1321.5,1200.7,791.7,1200.4,441.0,1246.3,617.0,1082.8,626.6,778.6,1297.2,668.6,1606.4,0.0,331.7,519.6,678.6,1309.8,225.8,1321.2,471.1,1202.8,843.7,1152.9,679.0,740.4,445.0,1258.7,476.7,448.8,1110.1,296.2,1561.6,1309.6,1324.6,210.5,721.7,1085.9,1338.9,855.1,1137.2,244.2,1075.2,1193.9,464.9,671.6,858.4,1277.9,808.6,154.1,713.5,1095.0,1259.2,817.4,1141.3,1309.8,574.4,1213.1,454.1,668.7,1175.2,1351.4,904.4,176.4,732.7,1234.7,784.5,1242.2,26.0,1340.0,1189.0,1445.0,1314.3,675.6,1306.4,1141.4,347.7,575.3,856.9,777.9,1312.4,775.0,570.2,638.5,857.7,1265.5,1569.1,838.7,433.1,1528.7,742.4,1168.5,667.8,729.0,1284.2,954.3,424.8,268.7,746.5,1510.3,286.3,1167.2,504.8,1127.5,88.9,870.6
JI,583.5,611.3,569.8,569.9,1199.9,330.7,556.0,1012.1,337.1,731.1,1232.3,686.1,334.5,582.9,294.4,1063.0,1116.2,316.9,618.9,330.1,1459.7,908.4,984.3,962.3,1070.4,485.0,649.9,959.0,511.0,380.4,680.2,2389.0,640.7,1412.9,1346.3,1184.9,1064.1,655.1,1063.8,304.4,1109.7,567.5,946.2,577.1,642.0,1160.6,532.0,1469.8,350.9,0.0,383.0,542.0,1173.2,284.8,1184.6,334.5,1066.2,707.1,1016.3,542.4,622.5,308.4,1122.1,340.1,320.2,973.5,355.2,1425.0,1173.0,1188.0,269.5,585.1,949.3,1202.3,718.5,1000.6,303.2,938.6,1057.3,415.4,535.0,721.8,1141.3,672.0,213.1,576.9,958.4,1122.6,680.8,1004.7,1173.2,524.9,1076.5,362.1,532.1,1038.6,1214.8,767.8,235.4,596.1,1098.1,647.9,1105.6,324.9,1203.4,1052.4,1308.4,1177.7,539.0,1169.8,1004.8,257.8,525.8,720.3,641.3,1175.8,638.4,520.7,589.0,721.1,1128.9,1432.5,702.1,341.1,1392.1,605.8,1031.9,595.9,598.0,1147.6,817.7,332.8,327.7,609.9,1373.7,307.3,1030.6,368.2,990.9,241.4,734.0
KA,472.3,445.3,401.1,473.4,1033.9,74.4,463.8,846.1,355.4,562.4,1052.9,520.1,48.4,416.9,88.9,897.0,951.3,240.8,452.9,150.1,1293.7,742.4,818.3,793.6,904.4,565.7,496.0,793.0,345.0,561.5,514.2,2223.0,472.0,1244.2,1177.6,1016.2,898.1,489.1,897.8,80.0,943.7,475.3,780.2,484.9,473.3,994.6,366.0,1301.1,532.0,355.6,0.0,376.0,1007.2,303.1,1021.0,48.4,900.2,541.1,850.3,376.4,456.5,128.4,956.1,42.8,140.2,807.5,346.5,1259.0,1007.0,1022.0,290.9,416.4,780.6,1036.3,552.5,834.6,257.2,765.8,888.6,323.2,369.0,555.8,972.6,506.0,354.6,410.9,792.4,953.9,514.8,840.4,1007.2,432.7,907.8,214.4,366.1,872.6,1048.8,601.8,322.3,430.1,929.5,483.5,936.9,506.0,1037.4,886.4,1142.4,1011.7,370.3,1003.8,838.8,158.1,433.6,554.3,475.3,1009.8,472.4,425.8,454.3,555.1,962.9,1266.5,536.1,248.9,1226.1,439.8,865.9,429.9,427.0,981.6,651.7,164.2,361.9,442.7,1207.0,218.8,864.6,195.0,824.9,422.5,568.0
KB,179.8,69.2,95.6,232.4,743.7,314.5,270.5,555.9,529.0,184.3,765.4,110.7,322.1,157.1,282.0,606.8,660.0,417.1,162.7,337.7,1003.5,452.2,528.1,506.1,614.2,272.4,253.4,502.8,83.3,735.1,97.5,2072.9,91.1,956.7,890.1,728.7,607.9,157.8,607.6,292.0,653.5,229.3,490.0,265.7,95.2,704.4,75.8,1013.6,705.6,529.2,370.6,0.0,717.0,476.7,728.4,322.1,610.0,250.9,560.1,68.2,171.3,316.0,665.9,327.7,327.8,517.3,520.1,968.8,716.8,731.8,464.5,126.8,493.1,746.1,262.3,544.4,430.8,482.4,601.1,496.8,8.9,175.0,685.1,125.2,530.9,34.8,502.2,666.4,224.6,548.5,717.0,257.4,620.3,402.0,73.8,582.4,758.6,311.6,498.6,139.9,641.9,193.3,649.4,679.6,747.2,596.2,852.2,721.5,129.7,713.6,548.6,331.7,214.2,171.9,94.5,719.6,182.2,306.0,251.5,174.3,672.7,976.3,245.9,422.5,935.9,147.5,575.7,121.7,121.5,691.4,361.5,351.8,538.2,130.5,916.8,392.4,574.4,276.2,534.7,596.1,187.2
KF,830.9,752.5,731.0,853.6,228.9,931.9,888.2,340.4,1146.4,710.7,59.1,791.1,939.5,611.8,899.4,98.6,483.5,1034.5,803.5,955.1,827.0,243.2,177.8,200.4,91.2,1022.7,849.3,204.1,700.7,1352.5,735.2,2690.3,774.4,780.2,713.6,232.0,218.3,786.3,98.7,909.4,138.7,818.1,502.9,872.5,686.3,189.6,678.1,837.1,1323.0,1146.6,988.0,683.2,0.0,1094.1,96.6,939.5,279.9,510.4,344.6,703.6,768.6,933.4,151.1,945.1,945.2,188.1,1134.5,792.3,202.0,14.7,1081.9,744.2,304.8,29.1,435.2,228.5,1048.2,266.9,224.1,1114.2,676.2,673.7,188.4,669.8,1148.3,718.1,243.3,489.9,484.1,156.9,0.0,857.1,85.1,1019.4,691.2,123.0,243.8,385.9,1116.0,780.7,74.4,496.7,120.3,1297.0,570.7,229.0,675.7,224.8,728.7,198.8,276.6,956.6,849.6,726.0,696.3,543.1,506.2,923.7,834.5,718.9,496.2,799.8,514.4,1039.9,759.4,764.9,249.5,757.1,747.0,59.6,398.9,969.2,1155.6,638.8,741.0,1006.1,189.8,893.6,172.1,1213.5,661.0
KG,424.6,539.5,485.5,411.0,1128.1,258.9,397.1,940.3,52.2,659.3,1160.5,614.3,262.7,511.1,222.6,991.2,1044.4,49.5,536.8,230.5,1387.9,836.6,912.5,890.5,998.6,326.1,491.0,887.2,439.2,295.8,608.4,2317.2,568.9,1341.1,1274.5,1113.1,992.3,583.3,992.0,232.6,1037.9,408.6,874.4,418.2,570.2,1088.8,460.2,1398.0,266.3,286.1,311.2,470.2,1101.4,0.0,1112.8,262.7,994.4,635.3,944.5,470.6,532.0,236.6,1050.3,268.3,240.4,901.7,70.3,1353.2,1101.2,1116.2,25.2,513.3,877.5,1130.5,646.7,928.8,35.8,866.8,985.5,256.5,463.2,650.0,1069.5,600.2,91.6,505.1,886.6,1050.8,609.0,932.9,1101.4,366.0,1004.7,245.7,460.3,966.8,1143.0,696.0,59.3,524.3,1026.3,576.1,1033.8,240.3,1131.6,980.6,1236.6,1105.9,467.2,1098.0,933.0,139.3,366.9,648.5,569.5,1104.0,566.6,361.8,430.1,649.3,1057.1,1360.7,630.3,224.7,1320.3,534.0,960.1,459.4,520.6,1075.8,745.9,216.4,98.9,538.1,1301.9,77.9,958.8,296.4,919.1,156.8,662.2
KL,831.5,784.5,763.0,888.0,260.9,970.1,920.2,372.4,1178.4,745.1,145.6,823.1,971.5,643.8,931.4,130.6,516.6,1066.5,835.5,987.1,859.0,275.2,209.8,232.4,123.2,956.4,881.3,236.1,732.7,1384.5,767.2,2722.3,808.8,812.2,745.6,264.0,250.3,818.3,130.7,941.4,170.7,850.1,534.9,904.5,720.7,224.0,710.1,869.1,1355.0,1178.6,1017.3,715.2,97.2,1126.1,0.0,971.5,311.9,542.4,376.6,735.6,800.6,965.4,183.1,977.1,977.2,220.1,1169.5,824.3,234.0,112.0,1113.9,776.2,336.8,126.3,467.2,260.5,1080.2,292.1,256.1,1146.2,708.2,705.7,220.4,701.8,1180.3,750.1,275.3,521.9,516.1,186.2,97.2,889.1,117.1,1051.4,723.2,155.0,275.8,417.9,1148.0,812.7,109.0,527.1,154.7,1329.0,602.7,261.0,707.7,256.8,760.7,230.8,308.6,981.1,881.6,758.0,728.3,575.1,538.2,955.7,866.5,750.9,528.2,831.8,546.4,1071.9,791.4,796.9,281.5,789.1,781.3,37.0,430.9,1001.2,1187.6,669.6,772.3,1041.8,221.8,925.6,204.1,1245.5,693.0
KN,423.8,396.8,355.3,424.9,985.4,25.9,415.3,797.6,306.9,516.6,1007.1,471.6,0.0,368.4,43.1,848.5,901.7,195.0,404.4,101.6,1245.2,693.9,769.8,747.8,855.9,344.3,450.2,744.5,296.5,513.0,465.7,2174.5,426.2,1198.4,1131.8,970.4,849.6,440.6,849.3,31.5,895.2,426.8,731.7,436.4,427.5,946.1,317.5,1255.3,483.5,307.1,48.4,327.5,958.7,254.6,970.1,0.0,851.7,492.6,801.8,327.9,408.0,79.9,907.6,5.6,91.7,759.0,298.0,1210.5,958.5,973.5,242.4,370.6,734.8,987.8,504.0,786.1,208.7,724.1,842.8,274.7,320.5,507.3,926.8,457.5,308.8,362.4,743.9,908.1,466.3,790.2,958.7,384.2,862.0,165.9,317.6,824.1,1000.3,553.3,276.5,381.6,881.0,433.4,891.1,457.5,988.9,837.9,1093.9,963.2,324.5,955.3,790.3,109.6,385.1,505.8,426.8,961.3,423.9,380.0,405.8,506.6,914.4,1218.0,487.6,200.4,1177.6,391.3,817.4,381.4,381.2,933.1,603.2,115.7,316.1,394.2,1158.5,170.3,816.1,146.5,776.4,374.0,519.5
KS,757.9,679.5,658.0,780.6,223.3,858.9,815.2,79.7,1073.4,637.7,348.6,718.1,866.5,538.8,826.4,276.3,203.5,961.5,730.5,882.1,547.0,193.4,216.7,194.7,268.9,949.7,776.3,191.4,627.7,1279.5,662.2,2617.3,701.4,500.2,433.6,173.3,52.5,713.3,206.0,836.4,160.1,745.1,222.9,799.5,613.3,190.1,605.1,557.1,1250.0,1073.6,915.0,610.2,289.5,1021.1,300.9,866.5,0.0,402.8,75.5,630.6,695.6,860.4,151.6,872.1,872.2,223.9,1061.5,512.3,202.5,304.3,1008.9,671.2,255.0,318.6,385.4,251.0,975.2,153.2,61.6,1041.2,603.2,600.7,129.7,596.8,1075.3,645.1,160.5,209.9,390.8,255.1,289.5,784.1,262.8,946.4,618.2,289.0,208.4,336.1,1043.0,707.7,214.4,423.7,298.0,1224.0,290.7,66.5,395.7,166.1,655.7,199.3,114.1,883.6,776.6,653.0,623.3,263.1,433.2,850.7,761.5,645.9,216.2,519.8,441.4,966.9,479.4,691.9,87.0,684.1,674.0,263.9,349.1,896.2,1082.6,565.8,461.0,933.1,263.0,820.6,223.3,1140.5,588.0
KT,404.4,326.0,304.5,427.1,556.7,505.4,461.7,368.9,719.9,284.2,589.1,364.6,513.0,185.3,472.9,419.8,438.4,608.0,377.0,528.6,781.9,265.2,341.1,319.1,427.2,596.2,422.8,315.8,274.2,926.0,308.7,2263.8,347.9,735.1,668.5,541.7,420.9,359.8,420.6,482.9,466.5,391.6,268.4,446.0,259.8,517.4,251.6,792.0,896.5,720.1,561.5,256.7,530.0,667.6,541.4,513.0,388.4,0.0,373.1,277.1,342.1,506.9,478.9,518.6,518.7,330.3,708.0,747.2,529.8,544.8,655.4,317.7,306.1,559.1,75.3,357.4,621.7,295.4,414.1,687.7,249.7,247.2,498.1,243.3,721.8,291.6,315.2,444.8,37.3,361.5,530.0,430.6,433.3,592.9,264.7,395.4,571.6,124.6,689.5,354.2,454.9,70.2,462.4,870.5,525.6,409.2,630.6,534.5,302.2,526.6,361.6,530.1,423.1,299.5,269.8,498.0,79.7,497.2,408.0,292.4,451.1,754.7,87.9,613.4,714.3,338.4,388.7,330.6,320.5,504.4,174.5,542.7,729.1,212.3,695.9,579.6,387.4,467.1,347.7,787.0,234.5
KZ,705.5,627.1,605.6,728.2,308.9,810.3,762.8,4.2,1021.0,585.3,404.5,665.7,814.1,486.4,774.0,245.9,209.2,909.1,678.1,829.7,552.7,117.8,167.2,145.2,253.3,897.3,723.9,141.9,575.3,1227.1,609.8,2564.9,649.0,505.9,439.3,258.9,138.1,660.9,246.7,784.0,245.7,692.7,228.6,747.1,560.9,275.7,552.7,562.8,1197.6,1021.2,859.9,557.8,356.1,968.7,369.9,814.1,85.5,385.0,0.0,578.2,643.2,808.0,237.2,819.7,819.8,156.4,1012.1,518.0,288.1,370.9,956.5,618.8,179.4,385.2,309.8,183.5,922.8,84.5,147.2,988.8,550.8,548.3,215.3,544.4,1022.9,592.7,141.3,215.6,358.7,187.6,356.1,731.7,259.4,894.0,565.8,221.5,294.0,260.5,990.6,655.3,281.0,369.7,288.5,1171.6,296.4,152.1,401.4,251.7,603.3,284.9,187.7,823.7,724.2,600.6,570.9,268.8,380.8,798.3,709.1,593.5,221.9,525.5,389.0,914.5,485.1,639.5,172.6,631.7,623.9,330.5,273.5,843.8,1030.2,512.2,466.0,880.7,213.5,768.2,173.8,1088.1,535.6
LB,111.5,130.5,27.3,164.1,737.1,331.7,202.2,549.3,542.4,245.6,769.5,172.0,335.5,120.1,295.4,600.2,653.4,430.5,150.3,351.1,996.9,445.6,521.5,499.5,607.6,302.4,185.1,496.2,89.4,748.5,158.8,2086.3,152.4,950.1,883.5,722.1,601.3,219.1,601.0,305.4,646.9,161.0,483.4,197.4,156.5,697.8,69.2,1007.0,719.0,542.6,384.0,61.2,710.4,490.1,721.8,335.5,603.4,244.3,553.5,0.0,103.0,329.4,659.3,341.1,341.2,510.7,530.5,962.2,710.2,725.2,477.9,140.2,486.5,739.5,255.7,537.8,444.2,475.8,594.5,510.2,54.2,236.3,678.5,186.5,544.3,96.1,495.6,659.8,218.0,541.9,710.4,189.1,613.7,415.4,87.2,575.8,752.0,305.0,512.0,133.3,635.3,185.1,642.8,693.0,740.6,589.6,845.6,714.9,61.4,707.0,542.0,352.6,145.9,233.2,155.8,713.0,175.6,237.7,183.2,235.6,666.1,969.7,239.3,435.9,929.3,160.9,569.1,53.4,55.5,684.8,354.9,365.2,551.6,191.8,910.9,402.1,567.8,289.6,528.1,609.5,248.5
LS,186.4,249.0,117.9,254.7,701.8,473.8,182.5,514.0,684.5,277.9,723.5,282.9,477.6,168.2,437.5,564.9,618.1,572.6,47.2,493.2,961.6,410.3,486.2,464.2,572.3,268.2,93.0,460.9,162.0,890.6,227.0,2228.4,270.9,914.8,848.2,686.8,566.0,278.1,565.7,447.5,611.6,161.9,448.1,159.5,188.8,662.5,119.6,971.7,861.1,684.7,523.4,179.7,675.1,632.2,688.9,477.6,568.1,209.0,518.2,118.4,0.0,471.5,624.0,483.2,483.3,475.4,675.6,926.9,674.9,689.9,620.0,282.3,451.2,704.2,220.4,502.5,586.3,440.5,559.2,652.3,172.7,268.6,643.2,218.8,686.4,214.6,460.3,624.5,182.7,506.6,675.1,200.9,578.4,557.5,229.3,540.5,716.7,269.7,654.1,49.5,600.0,149.8,607.5,835.1,705.3,554.3,810.3,679.6,134.0,671.7,506.7,494.7,236.5,267.1,188.1,677.7,140.3,218.0,273.8,267.9,630.8,934.4,204.0,578.0,894.0,303.0,533.8,144.0,75.1,649.5,319.6,507.3,693.7,224.1,874.9,544.2,532.5,431.7,492.8,751.6,280.8
LW,380.9,379.6,338.1,374.9,968.2,91.2,361.0,780.4,303.8,499.4,989.9,454.4,98.8,351.2,58.7,831.3,884.5,191.9,387.2,21.6,1228.0,676.7,752.6,730.6,838.7,290.0,433.0,727.3,279.3,509.9,448.5,2157.3,409.0,1181.2,1114.6,953.2,832.4,423.4,832.1,68.7,878.0,372.5,714.5,382.1,410.3,928.9,300.3,1238.1,480.4,309.9,144.6,310.3,941.5,251.5,952.9,98.8,834.5,475.4,784.6,310.7,390.8,0.0,890.4,104.4,11.7,741.8,294.9,1193.3,941.3,956.3,239.3,353.4,717.6,970.6,486.8,768.9,205.6,706.9,825.6,220.4,303.3,490.1,909.6,440.3,305.7,345.2,726.7,890.9,449.1,773.0,941.5,329.9,844.8,85.9,300.4,806.9,983.1,536.1,273.4,364.4,866.4,416.2,873.9,454.4,971.7,820.7,1076.7,946.0,307.3,938.1,773.1,114.0,330.8,488.6,409.6,944.1,406.7,325.7,388.6,489.4,897.2,1200.8,470.4,146.1,1160.4,374.1,800.2,364.2,364.0,915.9,586.0,35.7,313.0,377.0,1141.3,170.0,798.9,59.2,759.2,370.9,502.3
MD,800.2,721.8,700.3,822.9,77.7,905.0,857.5,232.4,1115.7,680.0,200.8,760.4,908.8,581.1,868.7,128.5,356.2,1003.8,772.8,924.4,699.7,212.5,137.3,159.9,121.1,992.0,818.6,163.6,670.0,1321.8,704.5,2659.6,743.7,652.9,586.3,104.7,91.0,755.6,58.2,878.7,12.3,787.4,375.6,841.8,655.6,38.4,647.4,709.8,1292.3,1115.9,957.3,652.5,141.7,1063.4,153.1,908.8,152.6,479.7,228.2,672.9,737.9,902.7,0.0,914.4,914.5,215.9,1103.8,665.0,50.8,156.5,1051.2,713.5,274.1,170.8,404.5,243.0,1017.5,236.2,96.8,1083.5,645.5,643.0,61.1,639.1,1117.6,687.4,195.7,362.6,453.4,186.8,141.7,826.4,115.0,988.7,660.5,152.9,92.6,355.2,1085.3,750.0,66.6,466.0,150.2,1266.3,443.4,101.7,548.4,97.5,698.0,47.6,149.3,925.9,818.9,695.3,665.6,415.8,475.5,893.0,803.8,688.2,368.9,672.5,483.7,1009.2,632.1,734.2,122.2,726.4,716.3,116.1,368.2,938.5,1124.9,608.1,613.7,975.4,149.3,862.9,131.6,1182.8,630.3
MG,445.1,402.4,360.9,430.5,991.0,12.3,420.9,803.2,312.5,522.2,1023.4,477.2,5.6,374.0,48.7,854.1,907.3,200.6,410.0,107.2,1250.8,699.5,775.4,753.4,861.5,349.9,455.8,750.1,302.1,518.6,471.3,2180.1,431.8,1204.0,1137.4,976.0,855.2,446.2,854.9,37.1,900.8,432.4,737.3,442.0,433.1,951.7,323.1,1260.9,489.1,312.7,42.8,333.1,964.3,260.2,975.7,5.6,857.3,498.2,807.4,333.5,413.6,85.5,913.2,0.0,97.3,764.6,300.6,1216.1,964.1,979.1,248.0,376.2,740.4,993.4,509.6,791.7,214.3,729.7,848.4,280.3,326.1,512.9,932.4,463.1,314.4,368.0,749.5,913.7,471.9,795.8,964.3,389.8,867.6,171.5,323.2,829.7,1005.9,558.9,282.1,387.2,889.2,439.0,896.7,463.1,994.5,843.5,1099.5,968.8,330.1,960.9,795.9,122.7,390.7,511.4,432.4,966.9,429.5,385.6,411.4,512.2,920.0,1223.6,493.2,206.0,1183.2,396.9,823.0,387.0,389.1,938.7,608.8,121.3,321.7,401.0,1164.8,172.2,821.7,152.1,782.0,379.6,525.1
MI,376.7,391.4,349.9,363.1,980.0,106.8,349.2,792.2,292.0,511.2,1012.4,466.2,110.6,363.0,70.5,843.1,896.3,180.1,399.0,9.8,1239.8,688.5,764.4,742.4,850.5,278.2,443.1,739.1,291.1,498.1,460.3,2169.1,420.8,1193.0,1126.4,965.0,844.2,435.2,843.9,80.5,889.8,360.7,726.3,370.3,422.1,940.7,312.1,1249.9,468.6,321.7,159.1,322.1,953.3,239.7,964.7,110.6,846.3,487.2,796.4,322.5,402.6,11.7,902.2,116.2,0.0,753.6,280.1,1205.1,953.1,968.1,227.5,365.2,729.4,982.4,498.6,780.7,193.8,718.7,837.4,208.6,315.1,501.9,921.4,452.1,293.9,357.0,738.5,902.7,460.9,784.8,953.3,318.1,856.6,74.1,312.2,818.7,994.9,547.9,261.6,376.2,878.2,428.0,885.7,442.6,983.5,832.5,1088.5,957.8,319.1,949.9,784.9,102.2,319.0,500.4,421.4,955.9,418.5,313.9,382.2,501.2,909.0,1212.6,482.2,134.3,1172.2,385.9,812.0,376.0,378.1,927.7,597.8,24.0,301.2,390.0,1153.8,151.7,810.7,71.0,771.0,359.1,514.1
MJ,642.7,564.3,542.8,665.4,304.8,747.5,700.0,152.2,958.2,522.5,267.8,602.9,751.3,423.6,711.2,89.4,365.7,846.3,615.3,766.9,709.2,55.0,89.2,67.2,96.8,834.5,661.1,63.9,512.5,1164.3,547.0,2502.1,586.2,662.4,595.8,289.8,169.0,598.1,168.7,721.2,214.6,629.9,385.1,684.3,498.1,265.5,489.9,719.3,1134.8,958.4,799.8,495.0,208.7,905.9,220.1,751.3,213.9,322.2,156.4,515.4,580.4,745.2,227.0,756.9,757.0,0.0,946.3,674.5,277.9,223.5,893.7,556.0,116.6,237.8,247.0,40.3,860.0,78.7,162.2,926.0,488.0,485.5,246.2,481.6,960.1,529.9,63.3,372.1,295.9,31.2,208.7,668.9,102.9,831.2,503.0,65.0,319.7,197.7,927.8,592.5,151.3,308.5,132.0,1108.8,452.9,157.3,557.9,282.6,540.5,274.7,109.7,768.4,661.4,537.8,508.1,425.3,318.0,735.5,646.3,530.7,378.4,682.0,326.2,851.7,641.6,576.7,136.8,568.9,558.8,183.1,210.7,781.0,967.4,450.6,623.2,817.9,135.5,705.4,95.8,1025.3,472.8
MN,374.4,600.9,442.9,368.4,1170.7,298.5,354.5,982.9,75.5,674.9,1192.4,642.4,306.1,554.5,266.0,1033.8,1088.1,106.9,494.2,273.9,1430.5,879.2,955.1,933.1,1041.2,465.3,448.4,929.8,482.6,353.2,624.0,2360.6,612.3,1383.7,1317.1,1155.7,1034.9,626.7,1034.6,276.0,1080.5,366.0,917.0,375.6,585.8,1131.4,503.6,1440.6,323.7,343.5,354.6,531.6,1144.0,57.3,1155.4,306.1,1037.0,677.9,987.1,470.3,489.4,280.0,1092.9,311.7,283.8,944.3,0.0,1395.8,1143.8,1158.8,82.6,556.7,920.1,1173.1,689.3,971.4,93.2,909.4,1028.1,213.9,524.6,665.6,1112.1,615.8,149.0,566.5,929.2,1093.4,651.6,977.2,1144.0,323.4,1047.3,289.1,503.7,1009.4,1185.6,738.6,116.7,518.4,1066.3,618.7,1076.4,297.7,1174.2,1023.2,1279.2,1148.5,503.9,1140.6,975.6,189.0,324.3,664.1,585.1,1146.6,609.2,319.2,387.5,664.9,1099.7,1403.3,672.9,268.1,1362.9,577.4,1002.7,416.8,475.7,1118.4,788.5,259.8,156.3,621.1,1344.5,114.8,1001.4,339.8,961.7,214.2,677.8
NJ,1111.6,1033.2,1011.7,1134.3,710.6,1216.4,1168.9,507.1,1427.1,991.4,835.9,1071.8,1220.2,892.5,1180.1,748.9,298.2,1315.2,1084.2,1235.8,34.7,620.8,670.2,648.2,756.2,1303.4,1130.0,644.9,981.4,1633.2,1015.9,2971.0,1055.1,11.4,75.7,660.6,539.8,1067.0,693.3,1190.1,647.4,1098.8,576.6,1153.2,967.0,677.4,958.8,44.7,1603.7,1427.3,1268.7,963.9,776.8,1374.8,788.2,1220.2,487.2,756.5,502.9,984.3,1049.3,1214.1,638.9,1225.8,1225.9,659.4,1415.2,0.0,689.8,791.6,1362.6,1024.9,682.4,805.9,782.5,686.5,1328.9,580.6,548.9,1394.9,956.9,954.4,617.0,950.5,1429.0,998.8,644.3,291.8,744.5,690.6,776.8,1137.8,750.1,1300.1,971.9,724.5,695.7,763.5,1396.7,1061.4,701.7,777.4,785.3,1577.7,211.0,553.8,109.9,653.4,1009.4,686.6,601.4,1237.3,1130.3,1006.7,977.0,238.6,786.9,1204.4,1115.2,999.6,285.5,7.5,795.1,1320.6,86.0,1045.6,574.3,1037.8,1027.7,751.2,776.5,1249.9,1436.3,919.5,49.0,1286.8,716.5,1174.3,676.8,1494.2,941.7
