from_stop,AG,AL,AQ,AS,BC,BF,BG,BH,BO,BW,CJ,CK,CM,CO,CW,DS,DT,DY,EB,EI,EP,ES,ET,FE,FH,FI,FL,FU,FZ,GC,GJ,GL,GO,GZ,HA,HJ,HL,HV,IB,IM,IU,JH,JQ,JU,JV,JW,KA,KE,KJ,KK,LO,LP,LR,LT,LU,MD,MK,MN,MR,NG,NI,NN,NY,NZ,OC,OM,OO,OP,OX,PD,PI,PM,PX,QB,QD,QH,QJ,QN,RD,RF,RG,RL,RQ,RV,SC,SE,SI,SK,SP,SV,TC,TI,TM,TQ,TU,TW,UC,UE,UF,UI,US,UW,UZ,VI,VM,VP,VS,VY,WD,WG,WP,XE,YI,YT,YU,YY,ZC,ZG,ZQ,ZR,ZT
LU,74.7,78.1,144.3,137.5,135.8,83.9,69.3,86.2,86.4,194.7,79.6,125.6,230.1,153.8,58.4,234.6,123.9,227.0,242.7,147.4,185.7,161.1,213.8,207.3,238.5,162.5,122.3,222.4,238.7,77.1,145.8,133.9,335.9,127.2,109.0,65.6,232.9,144.6,243.0,159.3,140.4,123.1,64.1,152.6,175.5,182.4,177.2,97.7,107.0,196.6,277.5,77.3,132.0,163.7,0.0,60.4,82.6,206.7,76.6,210.6,325.7,112.9,137.7,261.1,117.1,1299.0,98.0,140.3,83.5,130.5,179.8,68.3,185.1,174.3,219.2,74.0,203.8,213.7,197.7,114.7,117.5,168.5,121.3,147.4,198.7,199.2,143.0,102.8,125.1,195.2,157.3,109.2,215.5,152.5,122.5,197.4,169.4,154.4,87.6,109.0,91.6,200.8,49.0,165.1,78.5,58.3,163.3,137.1,132.7,19.2,54.5,231.9,181.8,192.6,156.6,211.3,226.3,217.5,227.6,164.6,210.7
MD,101.1,138.6,150.7,169.6,159.2,144.4,95.7,109.3,141.4,162.4,85.2,124.2,256.5,214.3,84.8,219.3,139.9,253.4,280.1,188.8,226.1,146.9,198.5,170.4,264.9,188.9,138.3,209.9,210.7,103.5,152.2,171.3,373.3,164.2,132.1,88.3,224.1,151.0,227.7,123.5,180.8,162.3,70.5,179.0,143.2,205.8,105.5,125.8,113.4,223.0,277.0,83.7,148.0,94.3,60.4,0.0,89.0,191.4,128.4,217.0,363.1,119.3,198.2,245.8,143.5,1325.4,104.1,166.7,107.7,156.9,156.7,94.7,208.8,209.3,245.6,100.4,190.6,198.1,144.2,141.1,123.9,176.9,127.7,115.2,225.1,141.2,175.5,129.2,151.5,230.2,180.7,134.2,241.9,108.6,145.9,182.1,113.0,209.3,94.0,115.4,114.7,241.2,109.5,171.5,132.2,64.7,200.7,163.5,148.7,79.6,80.9,238.8,166.5,219.0,197.0,237.7,211.0,243.1,190.7,191.0,171.3
MK,113.7,169.2,134.9,129.3,179.8,175.0,108.3,142.2,168.1,146.6,70.2,98.6,269.1,244.9,97.4,203.5,77.8,266.0,282.7,157.2,259.0,170.9,182.7,168.4,277.5,201.5,98.0,191.3,238.0,116.1,122.6,173.9,375.9,197.1,165.0,104.6,208.3,178.3,211.9,106.6,213.7,122.0,97.1,191.6,127.4,224.9,89.7,158.7,97.6,235.6,316.5,110.3,107.7,114.1,91.0,117.4,0.0,175.6,182.6,201.2,365.7,30.2,245.5,230.0,156.1,1338.0,88.6,179.3,122.5,169.5,140.9,107.3,176.9,184.1,258.2,113.0,172.7,182.6,169.3,153.7,108.1,202.2,111.9,135.0,237.7,125.4,152.8,141.8,164.1,201.5,199.8,102.9,254.5,128.4,166.5,166.3,97.1,262.2,78.2,59.2,130.6,274.1,140.1,155.7,195.0,48.9,203.3,176.1,126.4,110.2,93.5,200.8,150.7,231.6,229.9,250.3,195.2,257.5,218.0,203.6,162.6
MN,195.4,165.2,174.9,85.5,94.4,165.0,190.0,132.1,106.3,105.1,122.9,208.5,350.8,167.1,179.1,27.8,127.5,347.7,133.2,48.8,173.1,45.4,7.0,100.9,359.2,283.2,105.9,87.7,104.0,197.8,187.7,112.1,226.4,141.3,112.6,186.3,98.2,146.5,68.4,69.7,127.8,91.1,160.4,273.3,85.9,100.7,87.6,131.8,150.3,317.3,398.2,147.2,105.4,129.8,172.7,199.1,201.6,0.0,151.8,145.3,184.4,231.9,152.9,86.5,237.8,1419.7,161.6,261.0,204.2,251.2,73.4,189.0,70.7,56.8,339.9,194.7,69.1,56.6,167.2,235.4,160.8,143.4,163.2,113.5,319.4,109.6,80.8,223.5,245.8,48.0,75.6,93.7,336.2,118.6,104.7,40.3,79.8,169.6,156.0,191.9,212.3,152.9,154.8,162.0,139.4,125.4,125.3,257.8,98.8,186.2,175.2,74.8,26.2,313.3,144.0,332.0,51.7,131.8,121.2,285.3,121.1
MR,136.2,73.4,239.7,86.6,84.9,79.2,130.8,63.3,35.5,169.9,141.1,219.6,291.6,149.1,119.9,183.7,101.1,288.5,191.8,96.5,138.2,110.2,162.9,165.7,300.0,224.0,96.2,171.5,187.8,138.6,243.6,83.0,285.0,76.3,59.5,127.1,182.0,210.9,192.1,134.5,92.9,72.2,47.8,214.1,150.7,131.5,152.4,46.8,168.5,258.1,339.0,62.1,86.5,140.9,82.8,135.9,175.2,155.8,0.0,229.1,274.8,205.5,73.9,210.2,178.6,1360.5,159.5,201.8,145.0,192.0,138.2,129.8,134.2,123.4,280.7,135.5,152.9,162.8,225.5,176.2,179.0,208.2,182.8,124.6,260.2,174.4,92.1,164.3,186.6,144.3,106.4,86.4,277.0,129.7,71.6,146.5,144.6,90.6,149.1,203.0,153.1,153.3,58.0,226.8,12.4,119.8,112.4,198.6,109.9,60.7,116.0,181.0,130.9,254.1,109.1,272.8,175.4,166.6,186.0,226.1,185.9
NG,207.6,245.1,76.4,165.4,197.9,249.3,236.4,212.0,186.2,96.7,116.2,156.9,363.0,299.1,191.1,159.8,189.7,359.9,265.2,128.7,283.1,130.3,139.0,100.0,371.4,295.4,185.8,50.5,40.8,228.3,127.8,192.0,358.4,221.2,192.5,194.8,67.0,64.8,124.9,152.6,237.8,177.8,191.0,285.5,115.9,214.2,134.6,211.7,86.8,329.5,385.2,204.2,185.3,150.5,184.9,211.3,217.9,131.9,231.7,0.0,316.4,229.7,263.6,105.4,250.0,1431.9,95.7,273.2,214.5,263.4,112.6,201.2,184.2,170.3,352.1,206.9,69.4,138.2,112.4,247.6,76.2,73.3,103.3,171.4,331.6,126.2,160.7,235.7,258.0,161.5,189.1,163.8,348.4,164.8,184.6,154.5,142.1,280.3,106.5,189.5,221.2,298.2,234.0,62.0,219.3,137.6,221.4,270.0,184.7,204.1,187.4,120.0,107.0,325.5,254.0,344.2,141.6,263.8,69.1,297.5,144.3
NI,350.1,234.4,357.0,231.3,206.8,228.6,344.7,253.9,211.9,287.2,305.0,375.0,362.9,146.0,333.8,216.5,259.2,332.4,68.0,241.2,159.4,227.5,175.8,283.0,388.5,356.4,240.9,269.8,286.1,352.5,399.0,175.1,140.9,205.3,204.2,287.2,280.3,328.6,250.5,251.8,191.4,216.9,261.7,258.0,268.0,161.6,269.7,237.4,332.4,252.9,387.0,248.5,231.2,296.3,313.9,349.8,333.3,182.0,257.4,327.4,0.0,363.6,202.4,268.6,392.5,1402.9,343.7,302.9,270.4,405.9,255.5,343.7,193.0,228.3,387.3,279.6,251.2,238.7,349.3,241.8,342.9,325.5,345.3,280.0,304.1,291.7,236.8,378.2,331.0,207.4,186.7,262.5,383.6,285.1,216.3,222.4,261.9,185.7,338.1,358.4,367.0,131.8,260.4,344.1,245.0,322.4,145.2,412.5,265.3,291.8,329.9,256.9,208.3,386.5,180.6,379.4,233.8,92.7,303.3,270.0,303.2
NN,144.0,199.5,165.2,159.6,210.1,205.3,224.5,172.5,198.4,200.6,100.5,90.4,299.4,275.2,127.7,233.8,108.1,296.3,313.0,187.5,289.3,201.2,213.0,228.1,307.8,231.8,128.3,243.9,229.8,216.4,114.4,204.2,406.2,227.4,195.3,134.9,258.1,170.1,242.2,136.9,244.0,152.3,127.4,221.9,157.7,255.2,120.0,189.0,127.9,265.9,346.8,140.6,138.0,105.9,121.3,147.7,30.2,205.9,212.9,231.5,396.0,0.0,275.8,278.5,186.4,1368.3,118.9,209.6,152.8,199.8,171.2,137.6,207.2,209.5,288.5,143.3,203.0,212.9,179.5,184.0,138.4,194.0,125.0,126.8,268.0,155.7,175.7,172.1,194.4,230.4,230.1,133.2,284.8,120.2,196.8,196.6,127.4,292.5,108.5,51.0,160.9,304.4,170.4,212.6,225.3,79.2,233.6,206.4,145.7,140.5,123.8,277.0,181.0,261.9,260.2,280.6,225.5,287.8,209.8,233.9,224.9
NY,210.2,60.9,284.7,131.6,89.1,55.1,204.8,114.5,87.4,214.9,215.1,275.3,365.6,89.2,193.9,202.2,159.5,300.1,136.5,141.5,68.8,155.2,189.3,210.7,374.0,298.0,141.2,223.6,239.9,212.6,299.3,75.4,229.7,59.6,104.5,201.1,234.1,256.3,210.6,179.5,65.7,117.2,121.8,225.7,195.7,125.4,197.4,98.0,242.5,220.6,413.0,136.1,131.5,196.6,143.5,204.0,233.6,174.3,73.9,281.2,219.5,263.9,0.0,228.7,252.6,1370.6,233.5,275.8,219.0,266.0,183.2,203.8,146.4,141.8,354.7,209.5,205.0,192.5,277.0,250.2,253.0,253.2,273.0,180.3,271.8,219.4,137.1,238.3,260.6,153.0,100.3,160.4,351.0,185.4,103.1,176.2,189.6,16.7,223.1,258.7,227.1,83.9,90.0,271.8,61.5,222.7,86.2,272.6,165.6,121.4,190.0,210.7,162.1,328.1,70.0,346.8,193.9,106.6,231.0,237.7,230.9
NZ,243.4,244.0,134.3,164.3,173.2,243.8,238.0,210.9,185.1,126.2,152.0,186.4,398.8,258.1,226.9,118.8,206.3,395.7,224.2,127.6,251.9,124.2,98.0,129.5,407.2,331.2,184.7,98.0,88.3,245.8,157.3,193.9,317.4,220.1,191.4,230.6,85.5,94.7,19.4,147.4,206.6,176.7,226.8,321.3,145.4,179.5,170.4,210.6,163.2,365.3,425.3,240.0,184.2,186.3,220.7,247.1,247.4,90.9,230.6,100.7,275.4,259.2,231.7,0.0,285.8,1467.7,131.2,309.0,250.3,299.2,142.1,237.0,146.9,135.6,387.9,242.7,105.7,81.7,119.3,283.4,152.6,104.8,132.8,207.2,367.4,162.0,159.6,271.5,293.8,130.5,154.4,162.7,384.2,200.6,180.9,97.7,158.4,248.4,142.3,219.0,257.0,243.9,233.6,121.4,218.2,173.4,204.1,305.8,177.6,239.9,223.2,50.8,105.0,361.3,222.8,380.0,36.1,246.5,98.6,333.3,154.0
OC,95.7,209.7,203.8,216.2,226.3,213.9,113.8,176.4,208.5,215.5,138.3,177.3,253.0,282.4,122.9,272.4,164.7,327.8,347.2,222.3,293.2,200.0,251.6,237.3,235.3,159.3,184.9,263.0,265.9,112.0,205.3,241.4,421.3,231.3,199.2,126.4,277.2,204.1,280.8,176.6,247.9,208.9,137.6,217.1,196.3,272.9,158.6,192.9,166.5,261.1,247.4,150.8,194.6,147.4,131.5,137.9,142.1,244.5,195.5,270.1,371.1,172.4,269.3,298.9,0.0,1378.1,157.5,137.1,146.1,85.9,209.8,89.3,255.4,251.0,216.0,138.5,241.6,251.5,197.3,179.2,177.0,228.0,180.8,168.3,301.6,194.3,217.2,14.2,139.7,275.6,247.8,189.8,212.3,161.7,219.0,235.2,166.1,280.4,147.1,168.5,109.3,302.0,180.6,224.6,199.3,117.8,267.8,39.2,187.2,150.7,57.0,264.8,219.6,189.4,264.1,208.1,264.1,310.2,243.8,229.1,224.4
OM,1059.3,1148.8,1167.4,1179.8,1200.1,1143.0,1077.4,1140.0,1214.8,1179.1,1102.7,1148.7,1133.5,1073.1,1124.2,1225.6,1128.3,1163.0,1123.6,1240.0,1107.8,1163.6,1184.9,1200.9,1219.1,1081.1,1148.5,1223.8,1227.4,1085.2,1168.9,1184.6,1212.0,1169.7,1162.8,1117.8,1240.8,1168.1,1259.6,1139.1,1153.1,1172.5,1101.2,1088.6,1159.9,1153.1,1122.2,1156.5,1130.1,1083.5,1217.6,1114.4,1158.2,1111.0,1095.1,1101.5,1105.7,1191.1,1159.1,1233.7,1161.8,1136.0,1132.3,1277.7,1057.5,0.0,1121.1,1133.5,1101.0,1138.6,1173.4,1052.9,1184.5,1219.8,1168.4,1110.2,1205.2,1247.8,1160.9,1072.4,1140.6,1191.6,1144.4,1131.9,1134.7,1157.9,1180.8,1043.2,1092.1,1198.9,1178.2,1153.4,1147.4,1125.3,1214.1,1231.5,1129.6,1115.6,1110.7,1132.1,1076.2,1092.7,1177.9,1188.2,1193.9,1081.4,1154.7,1096.8,1150.8,1114.3,1020.6,1266.0,1217.4,1111.2,1136.9,1160.5,1242.9,1102.2,1207.4,1100.6,1195.1
OO,112.1,167.6,46.2,145.7,184.2,172.8,106.7,134.3,166.1,96.0,21.8,77.1,267.5,243.3,95.6,152.9,94.2,264.4,258.3,102.5,251.1,80.5,132.1,104.0,275.9,199.9,114.4,143.2,108.3,114.5,48.0,169.1,351.2,189.2,157.1,99.3,157.7,46.5,161.3,57.1,205.8,131.6,95.2,189.7,76.8,207.3,38.8,150.8,8.9,233.7,288.0,108.4,126.7,54.7,89.4,115.5,91.6,125.0,153.4,112.5,309.5,149.6,227.2,179.4,154.5,1336.4,0.0,177.7,118.7,167.6,90.0,105.7,168.9,158.6,256.6,111.1,124.2,131.7,33.7,152.1,19.4,72.4,23.2,75.9,236.1,30.7,124.5,140.2,162.5,158.3,182.2,104.0,252.9,69.3,176.9,115.7,46.6,238.3,11.0,109.4,125.4,266.2,138.5,67.3,157.2,42.1,195.5,174.5,89.2,108.6,91.9,142.8,99.8,230.0,222.0,248.7,144.6,237.9,86.5,201.7,104.9
OP,71.2,260.2,246.1,258.5,311.5,256.0,159.0,218.7,250.8,257.8,180.6,219.6,109.7,184.5,106.0,337.0,207.0,184.5,235.0,264.6,219.2,242.3,296.3,265.8,103.6,53.4,227.2,305.3,306.1,166.8,247.6,292.8,328.2,281.1,241.5,103.1,319.5,246.8,323.1,218.9,264.5,251.2,179.9,111.8,238.6,264.5,200.9,235.2,208.8,155.8,115.7,193.1,236.9,189.7,173.8,180.2,184.4,302.5,237.8,312.4,314.8,214.7,243.7,341.2,141.1,1311.8,199.8,0.0,84.7,220.2,252.1,76.7,295.9,331.2,84.3,92.0,283.9,293.8,239.6,73.9,219.3,270.3,223.1,210.6,158.3,236.6,259.5,126.8,28.0,306.6,289.6,232.1,80.6,204.0,261.3,277.5,208.4,227.0,189.4,210.8,59.6,204.1,222.9,266.9,250.2,160.1,266.1,180.4,223.9,193.0,97.8,304.6,261.9,83.5,248.3,76.4,306.4,223.5,286.1,192.5,266.7
OX,97.6,219.3,182.2,194.6,270.6,213.5,74.2,154.8,186.9,193.9,117.5,155.7,175.8,143.6,21.2,296.1,143.1,145.3,194.1,200.7,178.3,178.4,255.4,201.9,198.1,185.4,163.3,241.4,242.2,82.0,183.7,251.9,287.3,240.2,177.6,18.3,255.6,182.9,330.1,155.0,223.6,180.5,116.0,70.9,174.7,223.6,137.0,171.3,144.9,114.9,193.4,129.2,173.0,125.8,109.9,116.3,120.5,261.6,173.9,248.5,273.9,150.8,202.8,348.2,171.3,1321.4,135.6,94.4,0.0,135.4,188.2,91.2,257.6,290.3,178.8,7.2,220.0,318.3,175.7,33.0,155.4,206.4,159.2,146.7,117.0,172.7,195.6,125.7,148.0,265.7,248.7,168.2,175.1,140.1,278.3,302.0,144.5,186.1,125.5,146.9,111.2,163.2,248.4,203.0,264.4,96.2,225.2,142.0,160.0,129.1,77.4,358.7,287.9,215.5,207.4,170.9,313.4,182.6,222.2,82.9,202.8
PD,158.1,272.1,266.2,278.6,288.7,277.3,86.3,238.8,270.9,277.9,200.7,239.7,315.4,307.3,140.2,334.8,227.1,390.2,357.8,284.7,342.0,262.4,314.0,285.9,297.7,221.7,247.3,325.4,328.3,72.5,267.7,300.8,451.0,293.7,261.6,143.9,339.6,266.9,343.2,239.0,310.3,264.5,200.0,234.6,258.7,335.3,221.0,255.3,228.9,278.6,309.8,213.2,257.0,209.8,193.9,200.3,204.5,306.9,257.9,332.5,433.5,234.8,331.7,361.3,62.3,1423.8,219.9,199.5,163.6,0.0,272.2,151.7,323.6,313.4,278.4,156.0,304.0,313.9,259.7,196.7,239.4,290.4,243.2,230.7,364.0,256.7,279.6,76.6,202.1,338.0,310.2,252.2,274.7,224.1,281.4,297.6,228.5,348.4,209.5,230.9,171.7,326.9,243.0,287.0,261.7,180.2,330.2,33.0,249.6,213.1,119.4,324.7,282.0,251.8,326.5,270.5,326.5,346.3,306.2,246.6,293.9
PI,169.4,156.3,101.4,76.6,109.1,160.5,164.0,106.1,97.4,79.1,137.1,171.5,324.8,232.0,152.9,90.0,101.5,321.7,195.4,39.9,194.3,17.6,69.2,13.7,333.2,257.2,79.9,77.6,88.7,171.8,142.4,103.2,288.6,132.4,103.7,156.6,67.3,79.8,98.4,42.6,149.0,82.2,134.4,247.3,59.9,144.4,61.6,122.6,130.3,291.3,347.0,121.2,92.2,103.8,146.7,173.1,175.6,62.1,142.9,118.2,246.6,205.9,174.8,116.5,211.8,1393.7,116.6,235.0,176.3,225.2,0.0,163.0,114.4,83.2,313.9,168.7,59.2,68.8,104.4,209.4,119.7,69.9,117.9,87.5,293.4,83.6,71.9,197.5,219.8,91.7,119.3,67.7,310.2,92.6,101.8,52.8,53.6,191.5,127.4,165.9,183.0,209.4,145.9,88.5,130.5,99.4,132.6,231.8,72.8,165.9,149.2,101.8,37.2,287.3,165.2,306.0,81.7,175.0,47.7,259.3,52.9
PM,6.4,175.2,169.3,181.7,191.8,179.4,79.3,141.9,174.0,181.0,104.6,142.8,176.6,252.1,88.4,237.9,130.2,251.4,302.6,187.8,286.8,165.5,217.1,202.8,170.5,124.3,150.4,228.5,229.3,87.1,170.8,203.9,391.0,196.8,164.7,179.5,242.7,169.6,246.3,142.1,213.4,174.4,103.1,267.6,161.8,238.4,124.1,158.4,132.0,262.5,184.3,116.3,160.1,112.9,97.0,103.4,107.6,210.0,161.0,235.6,340.8,137.9,311.3,264.4,83.6,1265.5,122.7,76.3,161.1,140.5,175.3,0.0,226.7,216.5,151.2,168.4,209.2,216.7,162.8,150.3,142.5,193.5,146.3,133.8,225.2,159.8,182.7,69.3,56.8,241.1,213.3,155.3,147.5,127.2,184.5,200.7,131.6,300.2,112.6,134.0,19.9,271.7,146.1,190.1,164.8,83.3,233.3,122.9,152.7,116.2,21.0,257.4,185.1,154.4,315.9,143.3,229.6,291.1,209.3,259.4,197.0
PX,207.1,143.7,228.0,44.9,67.3,138.5,201.7,117.1,79.6,160.8,176.0,214.7,362.5,185.7,190.8,113.6,94.5,353.6,129.4,88.7,146.0,98.5,98.6,147.6,370.9,294.9,70.4,137.8,157.1,209.5,246.5,91.2,220.0,114.6,91.7,194.3,151.3,193.8,127.8,115.9,100.7,52.2,145.4,285.0,139.0,73.6,140.7,110.9,203.4,323.2,384.7,132.2,66.5,152.2,184.4,227.7,168.6,91.5,130.9,192.6,212.4,198.9,125.8,145.9,249.5,1425.6,214.7,266.9,208.2,265.5,129.1,200.7,0.0,59.0,351.6,200.6,122.2,109.7,220.3,247.1,213.9,196.5,216.3,133.3,331.1,162.7,84.3,235.2,257.5,70.2,48.5,97.8,347.9,138.4,81.3,93.4,132.7,142.5,209.1,211.7,214.9,161.1,136.5,217.7,118.5,175.7,98.2,269.5,118.6,165.3,181.1,127.9,73.5,325.0,116.9,343.7,111.1,134.8,176.9,291.2,174.2
QB,189.3,136.1,196.6,56.4,85.2,141.9,183.9,113.5,77.2,126.8,143.9,171.9,344.7,209.4,173.0,88.0,104.3,341.6,165.9,56.1,163.9,67.1,67.2,122.6,353.1,277.1,86.0,109.4,125.7,191.7,195.9,83.0,259.1,112.2,83.5,180.2,119.9,168.2,96.4,91.4,118.6,62.0,141.0,267.2,107.6,91.5,109.3,102.7,171.3,311.2,392.1,127.8,76.3,93.2,166.6,229.1,178.4,60.1,122.7,167.0,248.9,206.4,143.7,114.5,231.7,1413.6,183.3,254.9,198.1,245.1,95.1,182.9,61.5,0.0,333.8,188.6,90.8,78.3,188.9,229.3,181.8,165.1,184.9,76.9,313.3,131.3,33.7,217.4,239.7,20.8,66.4,75.1,330.1,82.0,75.6,62.0,101.5,160.4,177.7,155.3,206.2,179.0,125.7,183.7,110.3,119.3,112.4,251.7,62.2,157.1,169.1,96.5,47.9,307.2,134.8,325.9,79.7,166.6,142.9,279.2,142.8
QD,131.8,312.6,306.7,319.1,329.2,354.5,259.1,279.3,311.4,318.4,242.0,288.0,108.6,284.6,206.1,375.3,267.6,183.4,335.1,325.2,319.3,302.9,396.4,340.2,102.5,128.0,287.8,363.1,366.7,266.9,308.2,341.3,428.3,334.2,302.1,199.7,380.1,307.0,383.7,278.4,364.6,311.8,240.5,203.4,299.2,364.6,261.5,295.8,269.4,255.9,146.0,253.7,297.5,250.3,234.4,240.8,245.0,347.4,298.4,373.0,414.9,275.3,343.8,401.8,215.7,1386.4,260.4,100.0,182.9,320.3,312.7,137.3,396.0,353.9,0.0,192.1,344.5,354.4,300.2,174.0,279.9,330.9,283.7,271.2,157.2,297.2,320.1,201.4,88.6,410.4,389.7,292.7,79.5,264.6,315.9,338.1,268.9,327.1,250.0,271.4,117.4,304.2,283.5,327.5,310.8,220.7,366.2,255.0,290.1,253.6,158.4,372.6,322.5,158.1,348.4,75.3,367.0,313.7,346.7,191.4,334.4
QH,90.3,226.9,174.9,187.3,278.2,221.1,66.9,147.5,179.6,186.6,109.4,148.4,183.4,151.2,13.9,303.7,135.8,152.9,201.7,193.4,185.9,171.1,263.0,194.6,205.7,178.1,156.0,234.1,234.9,74.7,176.4,259.5,294.9,247.8,170.3,11.0,248.3,175.2,251.9,147.7,231.2,180.0,108.7,78.5,167.4,231.2,129.7,164.0,137.6,122.5,201.0,121.9,168.3,118.5,102.6,109.0,113.2,269.2,166.6,241.2,281.5,143.5,210.4,270.0,164.0,1314.6,128.6,102.0,7.5,128.1,180.9,83.9,262.6,297.9,186.4,0.0,212.7,222.3,168.4,40.6,148.1,201.1,151.9,139.4,124.6,165.4,188.3,118.4,140.7,273.3,256.3,160.9,182.7,132.8,184.1,206.3,137.2,193.7,118.2,139.6,103.9,170.8,151.7,195.7,170.4,88.9,232.8,134.7,152.7,121.8,70.1,263.0,190.7,208.2,215.0,178.5,235.2,190.2,214.9,90.5,202.6
QJ,203.5,173.3,127.7,93.6,126.1,178.5,198.1,140.2,114.4,113.1,146.5,177.7,358.9,227.3,187.0,88.0,135.6,355.8,193.4,56.9,211.3,53.5,67.2,54.9,367.3,291.3,114.0,19.2,32.4,205.9,148.6,123.2,288.9,149.4,120.7,193.0,29.0,88.1,96.4,76.7,166.0,106.0,168.5,281.4,104.0,142.4,98.0,139.9,156.6,325.4,385.4,155.3,110.9,137.9,180.8,207.2,209.7,60.1,159.9,74.0,244.6,252.6,191.8,97.5,248.2,1427.8,124.9,269.1,210.4,259.3,65.4,197.1,104.0,98.5,348.0,202.8,0.0,100.5,186.5,243.5,146.0,98.2,126.2,121.6,327.5,117.7,88.9,231.6,253.9,93.4,117.3,92.0,344.3,126.7,118.8,116.5,90.0,202.9,135.7,212.4,217.1,226.4,162.9,112.7,156.1,133.5,149.6,265.9,111.2,194.3,183.3,89.4,35.2,321.4,182.2,340.1,79.7,192.0,89.9,293.4,86.3
QN,211.0,180.8,155.7,101.1,121.2,186.0,205.6,147.7,121.6,147.6,174.5,208.1,366.4,212.4,194.5,72.8,143.1,363.0,178.5,64.4,199.9,61.0,52.3,104.5,374.8,298.8,121.5,88.9,100.0,213.4,178.7,130.7,271.4,156.9,128.2,197.9,61.1,116.0,81.5,83.9,154.6,113.5,176.0,288.9,101.5,127.5,102.9,147.4,184.9,332.9,386.9,162.5,118.4,145.4,188.3,214.4,217.2,45.2,167.4,144.0,229.7,247.5,179.7,76.4,253.1,1435.3,152.9,276.6,217.6,266.8,117.4,204.3,89.1,83.6,355.5,210.0,79.0,0.0,235.0,251.0,174.0,126.2,154.2,129.1,335.0,125.2,96.4,239.1,261.4,78.5,102.4,99.5,351.8,134.2,126.3,16.3,94.9,190.8,163.7,207.5,224.6,198.2,170.1,142.8,163.6,141.0,152.1,273.4,118.7,201.8,190.8,10.8,41.8,328.9,170.8,347.6,64.8,194.5,120.0,300.9,135.9
RD,146.7,202.2,69.4,149.7,182.2,208.0,141.3,168.9,170.5,63.7,56.4,89.7,302.1,277.9,130.4,163.1,128.8,299.0,268.5,113.0,267.4,90.7,142.3,97.0,310.5,234.5,149.0,185.6,173.8,149.1,60.6,176.3,361.7,205.5,191.7,133.9,202.1,33.6,161.1,67.3,222.1,155.3,130.1,224.6,82.9,217.5,66.3,185.4,39.8,268.6,328.6,143.3,161.3,89.6,124.0,150.4,150.7,135.2,188.0,135.0,319.7,162.5,261.8,141.6,189.1,1371.0,34.5,212.3,153.6,202.5,100.5,140.3,184.9,156.3,291.2,146.0,204.5,256.6,0.0,186.7,87.7,57.1,36.1,110.5,270.7,35.4,135.9,174.8,197.1,168.5,192.4,114.2,287.5,103.9,168.9,272.9,73.8,272.9,45.6,122.3,160.3,282.5,173.1,72.7,200.4,76.7,205.7,209.1,129.4,143.2,126.5,243.3,110.3,264.6,238.3,283.3,154.8,248.1,72.9,236.6,273.1
RF,128.1,186.2,212.7,269.5,237.5,180.4,104.7,262.0,252.2,224.4,148.0,194.0,170.8,110.5,51.7,263.0,173.6,112.2,161.0,277.4,145.2,274.0,222.3,246.2,164.7,114.5,193.8,316.3,332.6,112.5,214.2,222.0,254.2,207.1,251.1,45.3,326.8,213.0,297.0,184.4,190.5,263.8,146.5,37.8,205.2,190.5,167.5,245.5,175.4,81.8,208.2,159.7,278.1,156.3,140.4,146.8,151.0,228.5,243.7,279.0,240.8,181.3,169.7,315.1,201.8,1288.3,166.4,61.0,28.5,165.9,218.7,121.7,221.9,257.2,145.4,37.7,297.7,285.2,206.2,0.0,185.9,236.9,189.7,177.2,83.9,203.2,283.7,156.2,89.1,236.3,215.6,198.7,141.7,170.6,251.5,268.9,174.9,153.0,156.0,177.4,117.9,130.1,215.3,233.5,231.3,126.7,192.1,172.5,196.1,246.7,107.9,303.4,254.8,144.6,174.3,137.5,280.3,139.6,252.7,49.8,240.4
RG,131.3,186.8,26.7,164.9,203.4,192.6,125.9,153.5,185.6,72.5,39.9,85.2,286.7,262.5,115.0,172.1,113.4,283.6,277.5,122.0,270.3,99.7,151.3,100.0,295.1,219.1,133.6,115.8,101.7,133.7,63.2,185.3,370.7,208.4,176.3,122.2,130.0,42.4,169.9,75.2,225.0,157.6,114.7,209.2,91.7,226.5,58.3,170.0,10.5,253.2,334.1,127.9,143.3,74.2,108.6,135.0,110.8,144.2,172.6,93.0,328.7,141.1,246.4,150.4,173.7,1355.6,19.1,196.9,140.1,187.1,109.5,124.9,196.5,177.8,275.8,130.6,134.7,151.2,51.4,171.3,0.0,65.9,38.7,95.1,255.3,49.9,144.0,159.4,181.7,173.8,201.4,138.5,272.1,88.5,190.1,134.9,65.7,263.1,30.2,115.3,148.2,285.4,157.7,84.5,185.0,61.3,214.7,193.7,114.0,127.8,111.1,148.9,119.3,249.2,241.2,267.9,163.8,268.9,81.7,221.2,96.8
