from_stop,AA,AL,AO,AY,BD,BF,BN,BQ,BU,CI,CP,CY,DA,DB,DI,DS,DV,DW,DY,EH,FD,FG,FL,FV,FY,GK,GO,GT,HD,HF,HH,HI,HT,HZ,IE,IL,IP,IV,JR,JW,KF,KJ,KN,KZ,LA,LC,LG,LH,LW,MD,ME,MI,MP,MS,MY,ND,NH,NM,NS,NT,NV,OA,OT,PB,PS,PT,QA,QE,QN,QO,QQ,QY,RB,RE,RF,RN,RS,SB,SD,SP,SR,TM,TN,TX,UB,UC,UK,UR,VJ,VM,VO,VP,VV,WI,WM,WN,WW,WX,XD,XJ,XM,XO,YJ,YP,YT,YZ,ZJ,ZV
OA,295.0,10.1,210.5,197.0,141.2,162.9,240.6,207.2,199.1,67.6,213.3,188.6,158.0,118.3,66.6,126.4,50.6,199.4,143.7,119.6,145.3,104.9,250.5,230.3,149.6,174.6,217.2,154.2,82.1,246.6,135.5,103.7,107.9,95.9,136.9,222.4,77.6,62.5,199.0,73.1,234.0,274.8,178.4,120.4,169.0,187.3,86.5,204.8,135.8,132.5,219.7,226.4,188.6,244.1,141.7,171.4,226.1,261.2,53.0,258.1,197.1,0.0,179.3,268.9,246.0,225.2,145.3,128.9,241.7,163.0,2319.7,238.4,100.9,238.0,154.3,232.1,193.7,123.3,70.8,164.3,214.6,112.5,107.9,146.2,133.3,238.5,241.0,121.5,160.2,254.4,228.2,33.1,137.3,175.9,132.8,96.4,266.1,190.6,113.8,182.3,226.6,134.0,217.6,238.1,132.0,167.5,196.0,227.4
OT,257.1,183.2,185.6,162.1,76.0,62.6,170.3,220.9,128.2,136.2,35.4,59.1,171.7,58.3,215.7,93.0,131.7,213.1,109.7,55.2,59.0,133.2,179.6,205.4,29.7,103.7,43.5,50.1,163.7,117.1,68.8,105.6,136.2,110.6,84.0,151.5,98.9,179.7,212.7,125.2,133.7,142.8,78.1,143.2,86.3,116.4,111.5,133.9,116.8,146.2,148.8,155.5,88.3,173.8,66.4,185.1,163.5,198.6,167.5,174.9,126.2,173.0,0.0,206.3,183.4,65.3,59.0,82.7,170.8,41.3,2355.0,138.1,114.6,108.5,83.4,102.6,123.4,93.9,153.7,93.4,79.9,85.5,72.2,104.6,85.0,78.6,170.1,92.2,77.5,184.1,203.3,206.2,290.9,189.6,120.6,87.6,136.6,119.7,127.5,52.8,164.0,83.2,212.7,167.2,121.3,11.8,18.1,127.1
PB,6.6,318.7,102.8,131.5,270.3,200.2,72.7,184.9,128.3,304.2,214.4,209.2,126.2,193.8,202.1,197.7,267.2,192.7,297.5,269.3,253.1,232.6,144.1,122.6,261.0,147.7,202.0,244.2,237.3,204.1,247.1,265.2,240.9,275.5,181.2,121.5,305.9,284.4,201.9,290.1,188.2,226.4,188.5,222.1,282.2,140.9,280.9,132.5,186.1,194.0,147.4,159.7,178.3,63.8,231.3,162.8,93.2,7.7,300.9,83.6,98.2,308.5,241.1,0.0,46.2,232.6,253.1,240.5,63.8,237.7,2463.8,192.6,185.3,189.3,168.1,183.4,137.9,288.2,261.0,163.0,177.9,252.4,207.7,178.0,184.4,225.8,168.7,233.1,271.8,47.1,120.5,341.7,280.0,159.5,314.9,217.8,217.4,138.0,164.9,226.9,51.7,280.0,129.9,137.2,183.9,252.9,235.3,176.3
PS,84.3,249.1,156.0,80.5,195.7,135.9,21.1,174.6,64.6,232.5,156.0,163.6,90.5,113.6,155.8,128.1,197.6,166.8,212.3,194.7,182.3,140.5,91.0,100.0,186.4,72.8,144.7,174.6,167.1,145.7,172.5,200.9,154.1,205.9,129.9,63.1,226.0,194.5,152.3,220.5,129.8,168.0,130.1,157.2,195.4,77.2,206.3,74.1,115.7,114.1,89.0,101.3,119.9,117.0,161.7,196.0,69.6,35.0,220.7,68.6,62.5,238.9,171.5,85.7,0.0,174.2,171.7,165.9,117.0,168.1,2428.2,134.2,100.1,130.9,98.5,125.0,79.5,213.6,174.2,97.1,114.2,177.8,138.1,108.4,120.1,167.4,110.3,147.9,197.2,104.7,102.1,263.5,228.4,212.4,240.3,140.8,159.0,79.6,90.3,157.3,16.0,205.4,183.1,78.8,109.3,183.3,160.4,112.6
PT,240.7,234.7,237.1,217.3,91.6,109.3,161.6,273.8,138.9,183.5,70.0,97.2,224.6,107.0,272.3,144.5,183.2,266.0,133.0,123.4,110.5,193.3,174.7,256.9,98.0,152.4,64.7,101.6,213.8,108.4,120.3,160.8,187.7,162.1,125.4,150.5,170.8,231.2,262.8,176.7,120.5,130.7,104.5,196.1,100.1,119.3,163.0,129.3,168.3,191.4,144.2,153.7,94.3,165.1,117.9,236.3,238.4,198.5,216.2,225.1,185.0,224.5,68.1,209.9,187.0,0.0,114.2,134.2,166.2,92.8,2396.0,128.6,171.2,97.3,138.6,91.4,114.7,109.5,205.2,141.3,74.0,131.7,123.7,156.1,133.7,6.7,165.5,140.9,70.8,172.2,254.8,257.7,347.5,242.5,146.7,136.3,125.4,147.0,180.4,101.5,167.6,98.8,264.2,166.2,172.8,79.9,83.6,120.4
QA,268.9,138.1,197.6,174.1,59.8,72.6,184.8,186.7,136.6,75.7,92.6,53.1,137.5,70.3,181.5,105.0,86.6,178.9,87.0,57.0,0.0,93.5,191.4,217.4,50.5,115.7,99.7,8.9,129.5,117.3,9.8,56.6,96.5,61.6,96.0,163.5,106.0,140.0,178.5,76.2,145.7,139.6,90.1,109.0,71.7,128.4,52.4,145.9,128.8,104.3,160.8,172.7,100.3,187.3,78.4,152.0,175.5,210.6,128.7,185.1,145.5,127.9,79.0,218.3,185.1,114.2,0.0,94.7,187.3,17.7,2348.1,150.1,80.4,102.5,95.4,96.6,137.1,77.7,114.0,104.6,79.1,23.9,84.2,120.7,97.0,121.0,182.1,104.2,61.3,198.6,215.3,161.1,256.7,155.4,104.4,99.6,130.6,131.7,104.9,46.8,176.0,67.0,224.7,179.2,136.4,68.6,78.5,139.1
QE,254.9,122.3,183.4,159.9,66.4,42.4,168.9,170.9,126.0,93.8,110.8,86.1,121.7,56.1,165.7,90.8,70.8,163.1,100.1,63.6,53.0,77.7,177.4,203.2,57.3,101.5,114.7,61.9,113.7,144.1,43.2,22.8,80.7,27.8,81.8,149.3,103.8,126.3,162.7,42.4,113.5,169.7,57.9,93.2,76.7,114.2,77.0,131.7,114.6,96.2,146.6,153.3,68.1,172.4,12.7,135.1,161.3,196.4,84.7,172.7,124.0,112.1,87.0,204.1,181.2,122.7,53.0,0.0,168.6,70.7,2345.9,117.9,64.6,135.5,81.2,129.6,122.0,84.3,98.2,91.2,112.1,51.0,70.0,102.4,82.8,136.0,167.9,9.5,67.9,182.7,201.1,145.3,240.9,139.6,111.0,85.4,163.6,117.5,77.5,79.8,161.8,73.6,210.5,165.0,119.1,75.2,93.5,106.9
QN,149.7,250.6,201.0,112.5,214.4,137.4,114.3,253.8,99.8,274.3,144.2,139.0,173.1,136.1,249.0,111.6,199.1,246.0,241.6,213.4,185.0,160.4,85.5,182.6,202.9,119.2,137.1,176.1,205.8,140.2,191.2,202.4,154.8,207.4,111.0,75.2,281.8,198.3,187.2,222.0,124.3,80.1,131.6,185.3,224.7,82.3,237.5,40.5,149.7,171.4,24.1,10.5,121.4,117.1,163.2,219.1,152.2,64.8,219.2,64.6,145.1,240.4,173.0,151.1,93.1,162.4,185.0,179.5,0.0,169.6,2382.4,71.6,145.9,117.2,89.6,113.2,49.7,232.3,174.9,99.1,113.0,209.0,139.6,141.6,127.9,161.9,0.7,177.2,215.9,128.4,184.7,273.6,321.6,222.5,259.0,155.0,89.1,104.6,172.9,158.8,98.6,224.1,228.1,60.3,157.3,184.8,164.6,82.6
QO,251.2,155.8,179.9,156.4,77.5,54.9,169.4,204.4,121.7,91.1,74.9,35.4,155.8,52.6,196.9,87.3,104.3,196.6,104.7,76.5,17.7,108.9,176.0,199.7,65.9,98.0,88.5,8.7,144.9,101.9,27.5,72.0,114.2,79.3,78.3,145.8,121.4,157.7,193.9,93.9,128.0,121.9,72.4,126.7,85.5,110.7,70.1,128.2,111.1,119.7,145.4,155.4,82.6,169.6,60.7,169.7,157.8,192.9,144.1,169.7,127.8,145.6,61.3,205.9,167.4,96.5,17.7,77.0,169.6,0.0,2365.8,132.4,98.1,84.8,80.0,78.9,119.4,95.4,134.3,86.9,61.4,41.6,66.5,103.0,81.6,103.3,164.4,88.8,79.0,183.7,197.6,178.8,272.1,173.1,122.1,81.9,112.9,114.0,122.6,29.1,161.9,87.2,207.0,161.5,118.7,73.1,60.8,121.4
QQ,2250.6,2070.9,2281.1,2224.1,2058.5,2163.3,2233.1,2277.8,2235.4,2031.8,2190.7,2156.4,2228.6,2163.4,2093.7,2160.8,2095.7,2270.0,2024.4,2059.9,2103.2,2118.4,2187.1,2233.0,2086.4,2233.4,2186.8,2112.1,2109.2,2170.9,2093.4,2097.7,2115.4,2089.9,2182.0,2213.7,2017.9,2100.6,2211.3,2067.1,2165.5,2142.4,2221.1,2128.1,2054.1,2211.7,2050.7,2194.1,2206.4,2143.2,2177.8,2170.4,2210.9,2271.8,2133.6,2242.0,2253.2,2236.4,2118.7,2264.6,2256.6,2060.7,2116.1,2244.1,2201.3,2147.4,2103.2,2120.8,2153.6,2120.9,0.0,2161.1,2171.5,2179.5,2180.2,2185.4,2203.4,2040.6,2097.9,2233.7,2202.9,2076.7,2153.0,2216.8,2167.7,2160.7,2154.3,2113.4,2079.3,2282.1,2235.1,2093.9,2164.4,2246.5,2013.5,2141.5,2151.4,2243.1,2184.4,2150.1,2221.0,2051.3,2288.2,2198.8,2202.6,2104.3,2134.3,2172.1
QY,183.1,245.1,221.4,206.9,193.1,75.4,147.5,297.1,112.7,220.5,100.6,98.6,266.1,120.2,282.2,154.9,193.6,289.3,221.6,193.4,150.1,195.1,81.8,241.2,167.8,135.0,96.7,141.2,249.1,80.2,159.9,149.5,198.1,154.5,109.3,108.4,230.5,241.6,288.9,169.1,4.3,51.7,59.9,228.6,203.4,110.2,202.6,92.6,178.7,222.4,76.3,68.9,49.7,138.5,110.3,261.3,211.8,150.8,211.4,200.4,171.0,234.9,138.1,189.6,115.7,128.5,150.1,126.6,52.1,132.4,2378.7,0.0,205.4,78.7,141.8,72.8,101.9,211.0,215.6,132.2,72.6,176.6,134.1,166.5,146.9,115.2,52.8,136.1,189.8,148.8,239.1,268.1,354.8,265.8,232.5,149.5,60.7,120.4,213.6,104.9,135.4,200.3,248.5,93.5,183.2,149.9,117.9,10.9
RB,193.8,131.2,109.5,138.2,84.9,95.6,143.7,106.2,82.7,118.8,137.8,124.7,57.0,62.5,120.5,23.5,79.7,98.4,112.1,82.1,71.5,40.3,137.5,129.3,75.6,61.8,144.9,80.4,67.1,188.9,61.7,163.3,43.3,168.3,81.1,109.6,125.8,86.8,98.0,145.8,168.7,210.5,113.1,46.6,96.8,75.9,95.5,93.4,34.8,23.8,108.3,120.2,123.3,146.2,67.9,71.5,168.5,176.1,107.7,158.9,124.6,121.0,105.5,200.5,160.9,161.0,71.5,55.1,130.3,89.2,2386.7,173.1,0.0,174.1,42.9,168.2,84.6,102.8,60.8,58.3,150.7,67.0,52.1,41.8,30.4,167.8,129.6,47.7,86.4,157.1,127.2,154.2,194.3,74.9,129.5,40.6,202.2,77.8,24.4,118.4,145.1,92.1,116.6,125.3,28.4,93.7,123.7,162.1
RE,228.7,244.7,218.1,191.1,162.4,90.1,131.7,289.3,109.4,179.7,69.3,49.3,240.1,119.8,266.4,154.5,193.2,281.5,190.3,163.8,102.5,194.7,127.4,237.9,138.2,131.7,65.4,93.6,232.1,8.6,112.3,167.1,197.7,172.1,95.5,120.6,207.5,241.2,281.1,186.7,73.2,37.1,74.6,211.6,172.7,93.1,155.0,99.4,162.2,214.6,121.9,114.5,64.4,135.2,127.9,253.5,208.5,172.3,229.0,197.1,155.2,234.5,108.5,235.2,161.3,97.2,102.5,144.2,97.7,84.8,2397.1,68.8,183.0,0.0,124.7,5.8,84.8,180.3,215.2,115.1,23.3,129.0,133.7,150.0,146.5,83.9,98.4,153.7,160.2,145.5,235.8,267.7,339.0,258.0,201.2,149.1,28.0,117.1,195.9,55.6,181.0,169.6,245.2,139.1,166.7,120.3,86.6,79.8
RF,179.8,160.9,132.5,109.0,124.7,47.7,100.7,164.1,72.0,162.7,96.9,75.4,114.9,36.0,168.1,21.9,109.4,156.3,151.9,121.9,95.3,70.7,126.3,152.3,113.2,50.6,104.0,86.4,116.1,139.6,101.5,112.7,65.1,117.7,41.7,98.4,172.1,108.6,155.9,132.3,120.8,161.9,65.2,95.6,136.6,33.0,147.8,50.4,63.7,81.7,65.3,72.0,75.4,104.2,73.5,129.4,110.4,141.3,129.5,120.0,80.4,150.7,83.3,149.0,169.9,112.0,95.3,89.8,103.2,77.6,2414.2,125.2,57.8,124.8,0.0,118.9,41.7,142.6,82.6,9.2,101.4,119.3,49.9,51.5,13.9,125.3,86.6,87.5,126.2,114.5,150.2,183.9,243.3,132.8,169.3,65.3,152.9,66.6,82.3,69.1,106.7,131.9,159.6,114.1,68.2,95.1,82.8,114.2
RN,234.6,238.8,212.2,185.2,156.5,84.2,125.8,283.4,103.5,173.8,63.4,43.4,234.2,113.9,260.5,148.6,187.3,275.6,184.4,157.9,96.6,188.8,133.3,232.0,132.3,125.8,59.5,87.7,226.2,14.4,106.4,161.2,191.8,166.2,89.6,114.7,201.6,235.3,275.2,180.8,79.1,42.9,68.7,205.7,166.8,87.2,149.1,93.5,156.3,208.7,127.8,120.4,58.5,129.3,122.0,247.6,202.6,166.4,223.1,191.2,149.3,228.6,102.6,174.1,167.2,91.3,96.6,138.3,103.6,78.9,2403.0,74.7,177.1,5.8,118.8,0.0,78.9,174.4,209.3,109.2,17.4,123.1,127.8,144.1,140.6,78.0,104.3,147.8,154.3,139.6,229.9,261.8,333.1,252.1,195.3,143.2,33.9,111.2,190.0,49.7,186.9,163.7,239.3,145.0,160.8,114.4,80.7,85.7
RS,138.1,200.8,145.4,118.4,164.6,89.6,59.0,204.0,36.7,202.0,105.4,115.3,177.6,75.9,193.7,61.8,149.3,196.2,198.3,161.8,135.2,102.0,76.0,165.2,152.9,59.0,97.3,126.3,156.0,92.1,141.4,152.6,105.0,157.6,81.6,47.9,212.0,148.5,195.8,172.2,82.4,125.8,105.1,135.5,174.9,8.3,187.7,8.7,89.5,129.3,23.6,30.3,72.5,62.5,113.4,168.2,135.8,99.6,169.4,124.4,82.5,190.6,123.2,107.3,128.2,151.9,135.2,129.7,45.6,117.5,2428.1,86.8,97.7,83.5,39.8,77.6,0.0,182.5,122.5,30.3,77.4,161.7,89.8,77.3,53.8,120.0,44.9,127.4,166.1,72.8,163.1,223.8,266.3,172.7,209.2,105.2,111.6,44.4,125.1,109.0,65.0,171.8,172.5,63.6,94.0,135.0,122.7,75.8
SB,287.1,150.7,202.6,231.3,17.8,153.0,231.8,199.3,179.4,107.7,143.8,132.2,150.1,128.4,194.1,118.5,99.2,191.5,110.4,51.6,79.0,106.1,230.8,222.4,65.3,154.9,147.7,87.9,142.1,190.2,69.2,69.2,109.1,74.2,147.0,202.7,95.3,152.6,191.1,88.8,224.1,218.7,168.5,121.6,65.4,170.9,83.0,188.4,127.9,124.6,203.3,210.0,178.7,235.3,156.8,163.5,261.6,301.3,131.1,250.2,195.4,140.5,107.0,293.6,252.6,106.7,79.0,173.1,225.3,96.7,2286.4,228.5,93.0,181.6,137.9,175.7,179.6,0.0,126.6,147.9,158.2,57.0,118.0,138.3,125.4,120.0,224.6,182.6,38.6,245.6,220.3,173.7,269.3,168.0,99.5,106.5,209.7,170.9,105.9,125.9,233.2,10.6,209.7,218.4,124.1,83.2,126.5,217.5
SD,249.2,75.6,164.9,156.6,153.0,137.6,185.6,161.6,141.9,80.0,186.8,165.3,100.0,117.3,65.2,62.8,80.4,153.8,162.0,129.4,128.8,11.8,196.2,184.7,135.5,120.5,200.7,137.7,76.5,232.1,119.0,112.9,17.4,107.7,131.6,168.3,89.4,25.9,153.4,84.9,210.7,249.8,155.1,56.0,154.1,115.2,98.3,132.7,90.2,79.0,147.6,159.9,165.3,185.5,125.2,129.5,180.3,215.4,44.2,216.9,150.3,65.4,173.2,250.6,189.9,208.4,128.8,112.4,185.5,144.2,2331.5,215.1,57.9,214.7,82.2,208.8,123.9,135.1,0.0,97.6,193.9,124.2,106.9,97.2,72.3,217.8,168.9,105.0,143.7,196.8,182.6,98.6,138.5,130.3,144.6,98.0,242.8,136.5,79.8,159.0,184.4,143.3,172.0,184.0,86.4,151.0,172.7,204.1
SP,164.4,169.8,147.3,123.8,139.5,62.5,85.3,178.9,65.9,171.6,105.8,90.2,129.7,44.9,177.0,36.7,124.2,171.1,160.8,130.8,104.2,71.0,102.1,161.2,128.0,65.4,112.9,101.2,130.9,124.6,116.3,121.6,74.0,132.5,56.5,80.4,186.9,123.4,164.8,147.1,129.7,152.1,80.0,104.5,143.9,16.2,162.6,41.2,72.6,96.5,56.1,68.0,90.2,87.8,88.3,138.3,162.1,132.1,144.3,152.5,102.9,165.5,98.1,133.6,160.7,129.6,104.2,104.6,71.9,86.5,2429.0,113.1,72.6,116.0,8.8,110.1,32.4,157.4,97.4,0.0,116.2,128.2,64.7,64.5,22.8,134.2,77.4,96.4,135.1,99.1,159.1,192.8,258.1,147.6,178.2,80.1,144.1,75.5,97.1,78.0,97.5,140.8,168.5,96.1,77.1,104.0,97.6,123.1
SR,184.7,213.1,192.0,165.0,139.0,66.0,105.6,273.1,86.2,154.9,66.4,25.9,224.2,88.2,240.3,120.6,161.6,255.0,166.2,140.4,79.1,160.8,122.4,211.8,115.0,105.6,59.3,70.2,214.8,38.1,88.9,138.1,163.8,143.1,69.4,94.5,184.1,207.3,254.6,157.7,68.2,60.4,48.5,194.3,150.9,67.0,131.6,73.3,136.1,180.4,88.2,100.5,38.3,108.1,98.9,228.1,182.4,146.2,200.0,172.8,136.4,202.9,85.1,153.9,120.7,113.8,79.1,115.2,121.1,61.4,2420.5,72.6,162.8,23.3,98.6,17.4,58.7,156.9,181.3,89.7,0.0,103.1,102.1,128.0,112.6,77.8,121.8,124.7,136.8,119.9,209.7,236.1,312.9,231.5,183.6,117.5,51.4,91.0,171.7,32.2,115.2,146.2,219.1,110.2,140.6,96.9,84.6,61.6
TM,249.8,113.6,165.5,194.2,55.3,96.6,208.8,162.2,138.7,51.7,116.6,77.1,113.0,94.3,157.0,81.4,62.1,154.4,82.5,52.5,23.9,69.0,193.5,185.3,46.0,117.8,123.7,32.8,105.0,141.3,14.1,32.1,72.0,37.1,120.0,165.6,82.0,115.5,154.0,51.7,169.7,163.6,114.1,84.5,65.6,133.8,28.5,151.3,90.8,79.8,166.2,172.9,124.3,211.3,102.4,127.5,224.5,264.2,94.0,214.9,162.2,103.4,75.9,256.5,209.1,131.7,23.9,118.7,211.3,39.3,2324.1,174.1,55.9,126.5,100.8,120.6,142.5,73.2,89.5,110.0,103.1,0.0,80.9,97.8,88.3,145.0,187.5,128.2,56.8,222.2,183.2,136.6,232.2,130.9,99.9,69.4,154.6,133.8,80.4,70.8,200.0,65.0,172.6,181.3,84.4,64.1,102.5,163.1
TN,220.0,110.9,148.5,125.0,105.2,54.9,132.6,173.7,91.1,132.7,105.3,80.6,124.5,10.4,172.3,55.9,59.4,165.9,138.9,102.4,91.8,84.3,142.5,168.3,96.1,66.6,113.4,91.6,120.3,138.6,82.0,117.9,87.3,122.9,28.9,114.4,142.7,122.6,165.5,137.5,126.0,166.8,70.4,99.8,115.5,79.3,115.8,96.8,79.7,99.0,111.7,118.4,80.6,136.1,78.7,137.9,126.4,161.5,93.1,137.8,89.1,100.7,88.5,169.2,146.3,117.2,91.8,75.4,133.7,82.8,2384.8,130.4,67.4,130.0,46.3,124.1,85.7,123.1,104.8,56.3,106.6,89.8,0.0,67.5,47.9,130.5,133.0,68.0,106.7,146.4,166.2,133.9,247.5,142.4,149.8,15.3,158.1,82.6,80.3,74.3,126.9,112.4,175.6,130.1,84.2,100.3,88.0,119.4
TX,172.3,170.1,116.4,96.3,123.8,87.0,96.8,219.5,37.9,153.6,136.2,114.7,92.3,75.3,168.2,62.4,118.6,168.6,146.9,122.8,110.4,75.1,95.6,136.2,114.5,16.5,146.7,119.3,129.1,178.9,100.6,152.0,82.2,157.0,81.0,64.3,160.6,125.7,154.1,171.6,160.1,201.2,104.5,112.7,130.0,82.6,134.4,100.1,12.1,129.9,115.0,127.3,114.7,95.9,106.8,200.8,94.3,129.4,146.6,107.3,64.3,159.9,122.6,142.4,103.9,157.8,106.3,94.0,95.9,119.2,2425.6,164.5,34.7,164.1,49.6,158.2,91.3,141.7,102.3,65.0,144.1,105.9,89.2,0.0,65.2,164.6,136.3,82.5,125.3,107.2,134.1,193.1,240.8,194.1,168.4,75.4,192.2,32.5,92.1,108.4,98.4,133.5,143.5,80.0,19.7,132.6,122.1,153.5
UB,203.9,156.1,132.6,109.1,110.7,67.8,113.2,150.1,72.1,148.7,120.2,95.5,88.5,56.1,154.1,7.9,104.6,142.3,137.9,107.9,97.3,48.1,126.4,152.4,101.4,50.7,128.3,106.2,102.1,159.7,87.5,132.8,51.1,137.8,61.8,98.5,158.1,94.6,141.9,152.4,140.9,180.0,85.3,81.6,122.6,45.4,121.3,62.9,63.8,67.7,77.8,84.5,95.5,115.7,93.6,115.4,110.5,145.6,115.5,120.1,73.2,145.9,103.4,153.3,120.1,132.1,97.3,80.9,115.7,97.7,2400.2,145.3,43.8,144.9,12.4,139.0,54.1,128.6,68.6,21.6,121.5,92.8,70.0,51.6,0.0,145.4,99.1,73.5,112.2,126.6,150.3,179.1,229.3,118.8,155.3,66.4,173.0,66.7,56.7,89.2,114.6,120.4,159.7,114.2,68.3,115.2,102.9,134.3
UC,230.2,245.2,237.5,210.5,102.1,111.5,151.1,284.3,131.7,196.8,59.5,86.7,235.1,120.3,285.8,155.0,193.7,276.5,139.8,133.9,121.0,195.2,167.9,257.3,108.5,151.1,51.4,112.1,227.1,101.6,130.8,167.6,198.2,172.6,114.9,140.0,177.6,241.7,276.1,187.2,113.7,123.9,94.0,206.6,115.3,112.5,173.5,118.8,178.8,201.9,133.7,140.4,83.8,153.6,128.4,249.6,227.9,191.7,229.5,218.3,195.5,235.0,78.6,231.4,166.2,6.7,121.0,144.7,153.6,103.3,2406.5,118.1,178.0,86.8,144.1,80.9,104.2,120.0,215.7,129.3,60.7,145.0,134.2,166.6,147.0,0.0,155.0,154.2,81.3,164.8,255.2,268.2,358.4,253.0,157.2,149.6,114.9,136.5,209.7,93.0,160.7,109.3,264.6,155.7,183.3,90.4,76.8,107.1
UK,150.6,249.9,200.3,174.4,213.7,138.7,115.0,253.1,97.6,251.1,140.3,138.3,203.9,125.0,249.7,110.9,198.4,245.3,247.4,210.9,184.3,151.1,49.3,183.3,202.0,119.9,136.4,175.4,205.1,109.3,190.5,201.7,154.1,206.7,110.3,75.9,261.1,197.6,244.9,221.3,76.7,80.8,132.3,184.6,224.0,57.3,236.8,39.8,150.4,178.4,23.4,16.0,122.1,117.4,162.5,217.3,152.9,118.3,218.5,179.3,138.5,239.7,172.3,157.1,83.2,168.2,184.3,178.8,0.6,166.6,2383.1,72.3,146.8,117.9,88.9,112.5,49.0,231.6,171.6,79.3,112.3,210.8,138.9,138.2,102.9,154.9,0.0,176.5,215.2,127.7,185.4,272.9,322.3,221.8,258.3,154.3,89.8,105.3,159.7,158.1,102.9,220.9,227.4,61.0,154.9,184.1,171.8,83.3
UR,262.3,112.8,190.8,167.3,56.9,47.8,176.3,161.4,130.3,84.9,113.0,93.5,112.2,63.5,156.2,98.2,61.3,153.6,84.1,54.1,43.5,68.2,184.6,210.6,47.6,108.9,121.1,52.4,104.2,157.7,33.7,13.3,71.2,18.3,89.2,156.7,94.3,116.8,153.2,32.9,120.9,177.1,65.3,83.7,67.2,121.6,67.5,139.1,90.0,79.0,154.0,160.7,75.5,178.8,20.2,126.7,168.7,203.8,75.2,178.3,131.4,102.6,77.5,216.8,178.3,129.3,43.5,7.4,178.8,58.9,2336.4,125.3,55.1,142.9,88.6,137.0,129.4,74.8,88.7,97.8,119.5,39.0,77.4,113.9,90.2,139.8,175.3,0.0,58.4,190.1,208.5,135.8,231.4,130.1,101.5,92.8,171.0,124.9,68.0,87.2,169.2,64.1,171.8,172.4,83.6,65.7,95.7,114.3
VJ,308.8,154.3,206.2,213.8,20.7,114.3,232.3,202.9,179.9,111.3,105.1,110.8,153.7,110.0,197.7,144.7,102.8,195.1,72.4,55.2,110.7,109.7,231.3,226.0,98.0,155.4,113.2,101.8,145.7,168.8,72.8,72.8,112.7,77.8,135.7,203.2,98.9,156.2,194.7,92.4,185.4,197.3,129.8,125.2,49.0,168.1,86.6,185.6,131.5,128.2,200.5,207.2,140.0,235.8,118.1,167.1,215.2,250.3,134.7,226.6,177.9,144.1,68.3,258.0,235.1,68.0,110.7,134.4,222.5,93.0,2325.1,189.8,96.6,160.2,135.1,154.3,176.8,38.6,130.2,145.1,136.8,60.6,123.9,156.3,136.7,81.3,221.8,143.9,0.0,246.1,223.9,177.3,272.9,171.6,83.3,139.3,188.3,171.4,109.5,104.5,215.7,27.9,213.3,218.9,127.7,80.1,87.8,178.8
VM,65.2,272.8,72.5,100.7,239.5,153.5,97.6,153.1,81.1,274.3,159.1,156.7,140.9,163.0,190.7,147.7,236.4,160.9,266.7,236.7,223.2,196.5,97.3,92.7,231.1,100.5,154.8,213.4,212.7,151.6,217.2,225.6,190.9,230.6,129.1,69.9,280.4,234.4,175.9,259.3,136.1,174.3,136.4,191.3,251.9,94.6,250.1,80.4,131.0,164.5,95.3,107.2,126.7,10.6,200.5,131.5,63.3,76.6,270.1,53.3,141.9,262.6,194.6,65.9,51.1,184.7,223.2,209.7,11.7,204.6,2489.3,140.5,155.4,137.2,137.8,131.3,85.8,257.9,208.4,110.5,131.1,222.5,161.8,122.5,139.7,173.6,116.6,202.8,241.5,0.0,90.6,295.8,263.8,128.2,284.1,192.3,165.8,85.9,134.6,163.4,42.0,249.2,99.6,85.6,135.5,206.9,176.4,129.5
VO,127.2,243.3,17.7,10.9,197.0,187.2,66.3,134.7,157.2,232.3,237.6,212.9,68.0,173.5,144.1,135.6,191.8,142.5,230.7,194.2,183.6,152.4,208.6,2.0,187.9,132.7,241.5,192.5,169.3,270.9,173.8,250.2,155.4,255.2,179.2,180.5,237.9,198.9,157.0,269.8,258.3,299.4,202.7,148.8,207.3,180.8,207.6,198.3,117.0,133.7,213.2,219.9,212.9,93.9,180.0,113.7,77.9,113.0,219.8,89.3,41.9,233.1,217.6,120.7,97.8,249.5,183.6,167.2,235.2,201.3,2498.8,262.7,112.0,262.3,147.8,256.4,189.5,214.9,172.9,157.8,238.9,181.6,164.2,127.4,142.5,262.8,234.5,159.8,198.5,104.2,0.0,266.3,216.7,109.3,241.6,152.7,290.4,148.7,99.1,206.6,78.4,204.2,38.6,196.2,113.2,205.8,220.3,251.7
VP,329.9,22.7,245.4,225.8,176.1,197.8,275.5,242.1,234.0,102.5,248.2,223.5,192.9,153.2,101.5,161.3,85.5,234.3,178.6,154.5,180.2,139.8,285.4,234.7,184.5,209.5,256.3,189.1,117.0,281.5,170.4,138.6,142.8,130.8,171.8,257.3,112.5,97.4,233.9,108.0,268.9,309.7,213.3,155.3,203.9,222.2,121.4,239.7,170.7,167.4,254.6,261.3,223.5,279.0,176.6,206.3,254.9,290.0,87.9,293.0,232.0,34.8,214.2,297.7,274.8,260.1,180.2,163.8,276.6,197.9,2354.6,273.3,135.8,272.9,189.2,267.0,228.6,158.2,105.7,199.2,249.5,147.4,142.8,181.1,168.2,273.4,275.9,156.4,195.1,289.3,263.1,0.0,179.2,210.8,167.7,131.3,301.0,225.5,148.7,217.2,255.4,168.9,252.5,273.0,166.9,202.4,230.9,262.3
