from_stop,AE,AO,AV,BB,BD,BG,BU,BW,CH,CX,CY,DE,DI,DM,DN,DR,DU,EA,EH,EK,EM,EQ,EV,EZ,FB,FF,FG,FK,FP,FT,GO,GP,GQ,GR,GW,HC,HL,HO,HR,HS,HW,HX,IC,IF,II,IN,IV,JD,JE,JJ,JW,KI,KK,KM,KO,KP,KQ,KR,KS,KW,KX,KZ,LE,LO,LV,MB,ML,MN,MY,NF,NK,NO,OD,OJ,OK,OO,PG,PJ,PK,PP,PU,PV,PW,PY,QA,QD,QR,QS,QZ,RE,RR,SC,SD,SJ,SK,SY,TB,TK,TQ,TV,UB,UD,VH,VP,VV,VW,VX,VZ,WB,WM,WQ,XE,XI,XL,XY,XZ,YB,YZ,ZF,ZN,ZP,ZQ
KM,2146.4,2318.8,2145.8,2282.8,2185.1,2163.9,2223.1,2305.4,2313.8,2261.9,2223.6,2168.6,2318.8,2101.8,2208.3,2265.8,2185.8,2178.8,2241.7,2268.5,2238.0,2269.5,2189.4,2192.8,2243.0,2200.5,2171.0,2292.7,2153.6,2259.0,2204.2,2282.5,2211.3,2181.6,2160.6,2137.3,2130.1,2247.1,2297.7,2235.9,2190.5,2315.4,2287.5,2159.5,2303.3,2173.2,2283.6,2276.5,2192.7,2275.9,2224.6,2234.6,2289.0,0.0,2217.3,2167.2,2227.2,2257.1,2233.3,2146.0,2184.2,2236.3,2250.9,2285.8,2245.0,2212.3,2228.5,2236.0,2300.0,2306.8,2297.7,2170.0,2185.4,2335.1,2216.7,2244.6,2131.1,2264.5,2150.9,2242.1,2283.7,2293.3,2132.8,2218.7,2246.2,2205.9,2214.7,2221.7,2261.0,2249.5,2309.7,2286.8,2228.5,2229.2,2189.6,2249.9,2309.4,2220.9,2221.3,2285.6,2290.6,2208.5,2261.6,2155.2,2236.4,2232.4,2182.4,2333.5,2218.8,2252.7,2291.7,2276.9,2262.9,2329.0,2256.3,2282.8,2218.2,2194.7,2178.6,2256.2,2251.6,2296.6
KO,216.3,221.8,240.9,88.4,192.0,153.7,177.1,106.6,170.6,165.5,18.0,115.5,226.5,221.7,41.0,97.5,75.8,88.8,92.3,222.3,38.3,126.3,177.4,139.7,65.8,61.9,61.7,200.4,198.3,73.8,138.8,140.8,122.1,234.0,204.9,224.7,256.6,128.0,204.8,158.9,187.9,106.2,131.2,106.4,160.1,108.5,74.3,196.2,82.7,58.7,28.1,83.4,197.6,2317.6,0.0,156.7,81.8,76.9,165.1,191.0,47.9,145.8,94.9,210.4,97.7,152.0,136.5,131.4,96.8,88.0,205.4,169.6,197.7,126.6,67.4,118.2,133.9,143.8,149.3,132.4,56.4,155.8,138.7,20.5,200.2,154.9,175.9,32.9,93.2,35.0,166.5,171.0,80.8,145.1,139.3,91.1,136.8,131.1,178.7,164.9,117.5,174.1,181.3,181.8,72.7,62.2,125.6,124.9,114.6,104.3,70.2,49.6,115.6,107.5,52.9,135.4,144.6,178.3,124.9,54.5,116.0,181.0
KP,329.9,365.0,311.9,246.1,313.1,51.8,331.9,217.3,310.3,320.7,166.6,255.0,375.7,64.9,142.6,258.4,215.5,214.9,116.6,132.8,183.0,266.0,97.1,279.2,102.7,201.6,185.9,349.6,41.5,131.4,78.6,293.6,261.8,259.1,109.6,246.7,327.6,106.8,124.5,78.6,107.6,230.1,202.2,245.9,299.8,197.2,203.0,335.9,222.4,148.3,141.7,218.4,117.3,2206.8,184.7,0.0,86.9,125.0,84.8,113.0,161.7,273.5,123.3,172.2,104.7,287.7,287.8,64.1,157.7,166.5,354.6,79.5,274.9,195.9,128.1,77.3,217.5,298.4,96.1,61.5,214.1,162.8,222.3,147.4,358.0,38.6,287.7,195.4,98.3,192.7,306.2,169.1,87.9,48.7,285.0,94.4,169.6,258.8,98.4,319.5,150.3,265.2,321.0,122.2,96.1,201.9,63.3,216.2,88.6,273.7,151.4,207.3,122.6,188.7,116.0,142.4,50.9,301.4,264.4,168.8,255.7,330.5
KQ,270.7,278.0,272.1,159.1,240.6,126.7,244.9,130.3,223.3,212.4,111.6,168.2,273.8,139.8,134.6,168.8,128.5,141.5,70.9,122.7,111.2,179.0,95.5,192.4,15.7,114.6,155.3,247.7,116.4,89.6,92.2,206.6,174.8,277.2,158.3,286.6,287.8,46.1,122.9,76.0,106.0,140.5,132.0,159.1,212.8,153.2,116.0,248.9,135.4,72.9,54.7,136.1,115.7,2235.7,93.5,74.8,0.0,55.5,83.2,144.4,141.5,186.5,116.8,153.2,17.7,204.7,200.8,87.6,72.7,79.5,252.7,123.0,240.9,108.9,113.9,71.6,166.0,196.5,150.3,104.6,127.1,75.8,164.7,60.4,256.1,81.7,228.6,124.3,85.7,105.7,219.2,82.1,1.2,94.6,198.0,44.5,82.1,163.5,96.8,217.6,63.3,226.8,234.0,135.2,9.1,114.9,43.7,129.2,94.2,181.6,64.4,120.3,35.6,101.7,29.0,55.5,69.8,231.0,178.2,92.0,161.1,228.6
KR,288.7,289.2,284.6,170.3,255.9,133.9,251.4,141.5,234.5,229.4,98.0,179.4,285.0,181.2,104.6,177.3,139.7,171.8,8.3,182.9,116.3,190.2,147.2,203.6,35.6,125.8,107.3,258.9,103.8,53.9,81.7,217.8,186.0,257.7,133.6,243.4,300.3,97.8,174.6,128.7,157.7,151.7,156.0,170.3,224.0,163.2,127.2,260.1,146.6,69.5,65.9,142.6,167.4,2287.4,116.1,116.2,51.6,0.0,136.8,133.9,91.6,198.4,73.1,191.4,67.5,215.9,212.0,101.2,94.7,93.4,263.9,112.5,243.3,120.1,58.0,88.0,179.5,207.7,94.7,61.3,138.3,125.6,182.4,73.3,267.3,83.8,264.5,132.1,32.5,116.9,230.4,131.9,50.6,74.0,209.2,60.9,106.6,190.0,136.1,228.8,89.2,251.6,245.2,124.7,42.0,128.0,95.4,142.6,37.6,183.9,75.6,131.5,81.7,112.9,40.2,105.2,114.4,242.2,188.8,90.0,179.9,244.9
KS,354.0,304.4,348.6,163.3,321.2,137.8,259.7,177.8,299.8,288.9,188.1,244.7,350.3,150.9,211.1,178.0,205.0,218.0,156.4,39.4,185.5,255.5,67.1,268.9,92.2,191.1,229.7,324.2,127.5,175.0,164.6,223.4,251.3,345.1,195.6,333.8,364.3,96.3,64.3,6.7,22.7,145.2,117.3,235.6,289.3,231.3,192.5,325.4,211.9,149.4,131.2,212.6,57.1,2258.7,170.0,85.9,76.4,132.0,0.0,199.0,215.9,242.7,193.3,112.0,94.2,281.2,219.1,94.1,147.2,156.0,329.2,195.4,317.4,185.4,182.3,107.3,242.5,273.0,182.1,115.7,203.6,123.1,238.4,136.9,282.8,92.8,305.1,200.8,154.9,182.2,295.7,116.6,77.4,105.7,274.5,124.4,159.1,240.3,37.1,294.1,139.8,303.3,310.5,207.6,86.1,191.4,72.8,161.1,175.3,193.5,140.9,196.8,108.4,178.2,105.5,131.9,80.9,307.5,254.7,167.4,245.2,310.2
KW,329.1,362.6,309.4,300.7,308.5,49.7,389.4,264.8,354.0,311.8,194.1,252.5,373.2,70.3,171.8,310.4,259.2,212.4,113.7,230.7,208.5,309.7,203.5,276.7,146.4,245.3,201.5,347.1,60.3,140.3,58.1,337.3,305.5,256.6,13.8,244.2,325.1,192.1,230.9,184.0,214.0,272.0,276.3,243.4,343.5,196.8,245.1,379.6,266.1,157.2,185.4,266.8,223.7,2177.7,212.2,106.3,145.9,129.1,191.2,0.0,187.7,317.2,132.2,297.3,161.8,285.2,331.5,126.8,203.4,213.7,352.1,23.9,272.4,240.4,154.1,118.2,215.0,295.9,119.4,96.0,268.7,219.9,216.7,191.1,355.5,118.5,285.2,222.9,124.3,247.3,349.9,226.2,144.6,105.9,328.7,103.8,212.8,294.2,204.8,317.0,194.0,262.7,364.7,9.2,136.8,245.6,189.7,260.7,90.8,323.2,195.9,261.9,179.7,233.2,159.7,199.6,144.6,298.9,262.5,178.8,291.8,328.0
KX,231.0,244.5,192.9,145.9,199.8,170.0,217.9,164.1,201.0,197.4,39.3,123.4,253.1,219.2,24.0,158.2,99.9,78.2,90.1,288.3,55.7,156.7,234.9,147.6,123.7,87.5,13.7,227.0,147.3,66.8,117.8,179.5,164.2,186.0,183.9,195.4,208.6,185.5,262.3,215.8,245.4,163.7,188.7,114.3,190.5,60.9,131.8,253.1,106.8,83.7,85.6,104.3,255.1,2217.9,57.4,154.2,139.3,98.4,222.6,170.0,0.0,158.6,67.3,256.3,155.2,180.5,172.2,150.8,147.0,140.2,232.0,148.6,149.7,166.9,32.4,137.6,85.9,181.5,121.7,97.4,113.9,213.3,90.7,79.7,222.9,119.9,170.9,68.1,58.2,92.5,196.9,228.5,138.3,107.3,169.4,123.2,194.3,134.9,230.9,202.6,175.0,158.0,238.2,160.8,130.2,119.7,183.1,182.4,91.7,161.8,122.4,107.1,169.4,159.7,110.4,192.9,164.0,190.2,133.4,71.9,146.4,218.7
KZ,230.2,103.0,224.8,68.5,197.4,251.5,64.7,87.1,91.7,143.0,164.4,75.4,126.8,333.6,184.0,51.5,57.9,76.2,199.1,202.4,184.7,104.6,299.5,79.5,177.7,104.7,146.7,119.4,262.1,185.7,250.7,67.5,127.5,229.9,316.8,250.5,240.5,239.9,270.0,227.7,210.5,86.3,111.3,111.8,100.9,82.6,124.5,142.3,51.7,170.6,140.0,80.2,252.0,2260.2,146.3,268.6,193.7,190.7,221.5,302.9,159.9,0.0,206.8,178.9,216.6,157.4,14.2,243.3,174.6,165.8,124.4,281.5,193.6,106.7,192.4,230.8,152.2,117.2,206.8,257.4,86.5,156.9,106.6,132.4,81.4,279.9,182.0,165.4,218.2,108.1,107.3,151.1,192.7,270.1,58.3,203.0,162.4,7.7,251.6,107.3,165.9,179.5,143.2,293.7,184.1,104.2,237.5,130.2,226.5,47.2,147.9,94.1,202.5,114.9,164.8,178.5,256.5,183.7,64.7,202.6,114.9,123.4
LE,305.3,320.4,275.8,187.0,277.0,87.4,282.1,162.5,269.2,264.1,80.4,215.5,306.0,144.0,56.4,194.0,160.7,170.3,82.6,268.5,96.8,224.9,203.8,239.7,110.6,160.5,105.8,299.0,98.0,42.7,110.4,247.1,220.7,217.3,127.1,210.6,291.5,172.8,249.6,203.7,232.7,173.1,177.4,204.1,258.7,161.7,172.9,294.8,181.3,58.3,126.7,177.3,242.4,2277.8,98.5,128.4,126.6,91.0,209.9,116.1,81.9,245.1,0.0,245.0,142.5,251.6,235.1,125.0,123.6,114.8,304.0,94.7,238.8,141.5,48.3,130.2,178.0,242.4,60.0,90.0,155.0,200.6,180.5,119.1,298.8,112.5,251.6,112.6,50.8,133.6,265.1,217.2,107.2,102.7,237.9,97.4,166.2,236.7,211.1,249.8,146.9,229.1,279.9,106.9,117.0,160.8,170.4,164.0,84.3,200.6,97.0,148.2,156.7,134.3,97.7,180.2,156.6,265.3,224.9,78.8,200.9,279.6
LO,424.4,274.8,419.0,133.7,387.5,208.2,236.5,136.6,263.5,356.9,258.0,264.9,299.3,236.4,281.0,148.4,260.2,290.1,226.7,43.6,240.0,318.5,137.5,243.0,162.6,261.5,300.1,333.3,197.9,230.6,235.0,193.8,321.7,430.6,266.0,418.2,434.7,166.7,64.5,87.8,75.1,115.6,87.7,306.0,274.5,296.5,175.9,314.1,264.9,215.5,201.6,258.3,46.5,2322.6,228.3,171.4,146.8,202.4,81.6,269.4,276.3,213.1,264.7,0.0,152.5,351.6,189.5,179.6,169.0,177.8,319.9,265.8,387.8,135.3,244.9,192.8,300.2,331.1,252.5,186.1,179.4,81.9,296.1,209.0,253.2,163.2,375.5,274.1,225.3,201.0,267.8,87.0,162.9,173.3,272.2,194.8,135.3,221.5,111.7,291.1,138.1,373.7,329.0,278.0,156.5,250.1,143.2,131.5,245.7,155.0,176.5,175.4,138.4,143.5,175.9,114.4,151.3,377.9,278.6,233.5,315.6,285.8
LV,276.6,283.9,278.0,162.7,246.5,154.5,250.8,136.2,229.2,218.3,117.5,174.1,279.7,167.6,140.5,174.7,134.4,147.4,76.8,155.8,117.1,184.9,123.3,198.3,21.6,120.5,161.2,253.6,144.2,95.5,98.1,212.5,180.7,283.1,164.2,292.5,293.7,73.9,150.7,103.8,156.1,144.6,116.7,165.0,218.7,159.1,121.9,254.8,141.3,78.8,60.6,142.0,143.5,2263.5,99.4,102.6,27.7,61.4,111.0,150.3,147.4,192.4,122.7,135.4,0.0,210.6,206.7,86.1,78.6,85.4,258.6,128.9,246.8,114.8,119.8,77.5,171.9,202.4,156.2,95.7,133.0,58.0,170.6,66.3,262.0,109.5,234.5,130.2,91.6,111.6,225.1,64.3,26.4,105.6,203.9,50.4,88.0,169.4,124.6,223.5,69.2,232.7,239.9,141.1,15.0,120.8,71.5,135.1,100.1,187.5,70.3,126.2,17.8,107.6,34.9,37.7,97.6,236.9,184.1,97.9,167.0,234.5
MB,72.5,101.6,79.3,231.9,35.8,245.7,149.9,232.6,138.8,57.9,164.1,130.2,103.4,346.9,187.1,214.9,114.5,107.5,217.5,329.8,182.4,83.5,302.6,165.1,191.4,129.2,178.0,83.7,256.3,200.6,264.0,231.6,25.3,72.4,330.1,81.8,95.0,253.2,330.0,283.1,313.1,249.7,274.7,139.3,117.3,119.2,227.1,72.5,121.4,183.9,153.3,150.7,322.8,2242.6,146.0,281.9,207.0,202.1,290.3,316.2,191.2,185.4,227.8,353.9,222.9,0.0,177.6,252.0,220.0,213.2,88.7,294.8,36.1,239.9,213.5,243.4,93.1,88.5,201.0,261.6,199.6,281.0,91.8,147.4,126.8,284.1,32.5,176.8,232.3,178.2,123.7,287.3,205.7,271.5,119.0,216.3,261.5,164.4,303.9,108.3,242.7,22.0,57.6,307.0,197.9,161.1,250.8,260.2,240.8,201.8,195.4,192.8,240.8,232.7,178.1,260.7,269.8,26.2,125.3,200.6,65.6,119.3
ML,247.7,85.2,249.1,54.2,217.6,275.8,40.5,73.5,73.9,161.5,150.8,75.3,109.7,358.2,173.8,37.2,82.2,100.5,222.2,196.6,169.1,128.9,285.9,53.4,196.1,109.9,171.0,143.7,286.4,189.3,268.7,53.9,151.8,254.2,330.3,274.1,264.8,257.9,255.7,214.4,196.9,72.0,97.0,84.4,84.9,112.2,124.8,124.5,75.3,172.6,172.4,80.7,237.7,2260.1,132.7,293.2,211.7,206.8,207.2,320.9,180.7,24.2,216.5,176.2,202.3,181.7,0.0,256.7,158.3,151.5,130.3,299.5,217.9,92.4,200.2,248.1,110.6,141.5,263.2,265.2,72.2,143.3,109.3,150.9,63.6,287.7,205.6,163.5,228.2,93.8,78.2,136.8,210.4,275.1,82.6,221.0,158.4,47.2,249.7,113.1,151.6,203.8,139.4,311.7,217.4,127.4,255.5,118.1,245.5,24.1,133.6,79.8,184.6,100.6,182.8,164.1,288.2,208.0,89.6,187.3,138.1,101.6
MN,322.3,335.1,347.5,216.2,301.8,105.3,302.0,187.4,280.4,269.5,160.9,225.3,330.9,118.4,165.6,225.9,185.6,198.6,89.8,141.8,177.3,236.1,114.6,249.5,72.8,171.7,168.3,304.8,95.0,113.6,85.2,263.7,231.9,312.6,151.3,300.2,363.2,118.5,142.0,96.1,125.1,197.6,189.1,216.2,269.9,224.2,173.1,306.0,192.5,130.5,111.8,193.2,134.8,2260.3,179.0,53.4,72.3,105.2,102.3,137.4,154.5,243.6,141.8,176.9,88.2,261.8,257.9,0.0,129.8,136.6,309.8,116.0,304.3,166.0,120.9,13.1,240.5,253.6,149.6,82.8,184.2,146.3,245.9,117.5,313.2,60.3,285.7,193.1,91.1,162.8,276.3,152.6,71.3,73.2,255.1,30.2,139.7,228.9,103.5,274.7,120.4,312.6,291.1,128.2,62.7,172.0,80.8,186.3,116.6,229.8,121.5,177.4,106.1,158.8,86.1,126.0,13.1,288.1,234.7,152.1,225.8,290.8
MY,307.8,250.3,300.4,109.2,275.0,204.7,212.0,102.2,226.7,248.5,136.9,198.5,260.8,217.8,159.6,125.9,156.8,171.8,96.1,179.2,112.0,209.3,171.5,194.8,61.9,142.9,162.3,234.7,194.4,89.0,134.9,169.3,205.1,305.5,201.0,315.9,316.1,122.1,200.9,155.0,186.0,91.1,95.4,187.4,216.2,178.2,64.2,279.2,163.7,73.9,85.0,161.7,228.8,2313.7,121.8,152.8,77.9,87.7,159.2,187.1,148.5,180.8,110.1,155.7,93.8,235.0,165.0,125.5,0.0,6.8,239.7,165.7,271.2,59.5,114.9,112.3,196.3,226.8,164.5,132.5,108.7,132.4,192.2,92.4,228.7,155.0,256.9,135.0,118.4,113.5,222.6,127.9,76.9,145.2,173.6,85.2,77.8,172.4,162.4,224.6,41.6,257.1,264.3,177.9,68.3,145.2,121.7,82.0,123.5,130.5,34.9,101.9,108.0,52.3,57.3,155.3,140.7,261.3,180.0,91.9,197.0,238.7
NF,282.9,243.5,284.3,102.4,252.8,211.5,198.8,99.2,219.9,224.6,130.1,180.4,254.0,224.6,152.8,119.8,140.7,153.7,108.0,188.2,105.4,191.2,180.3,188.0,69.1,126.8,155.5,227.9,201.2,83.8,141.7,162.5,187.0,289.4,207.8,308.3,300.0,130.9,247.3,160.8,188.5,84.3,88.6,171.3,209.4,165.4,57.4,261.1,147.6,67.1,66.9,147.6,229.3,2320.5,105.7,159.6,84.7,92.6,168.0,193.9,141.7,173.3,111.0,167.8,100.6,216.9,158.2,129.7,6.8,0.0,232.9,172.5,253.1,52.7,108.1,121.1,178.2,208.7,157.7,139.3,101.9,134.9,176.9,72.6,221.9,161.8,240.8,124.8,122.8,106.7,215.8,128.4,83.4,149.2,166.8,94.0,69.2,150.3,181.6,215.8,50.4,239.0,246.2,184.7,75.6,127.1,128.5,73.0,131.3,132.6,28.1,95.1,118.5,45.5,66.1,155.7,147.5,243.2,173.8,86.2,173.3,226.8
NK,161.7,35.7,168.5,166.0,125.0,293.0,84.0,185.3,72.9,76.5,227.3,88.5,21.0,355.3,250.3,149.0,136.8,155.1,279.1,308.4,245.6,76.5,364.2,99.2,253.0,165.6,225.6,5.2,303.6,262.2,325.6,165.7,102.7,161.6,335.6,171.0,184.2,314.8,367.5,326.2,308.7,183.8,208.8,97.6,83.9,166.8,185.4,60.7,129.9,245.5,214.9,136.4,349.5,2273.3,209.2,343.5,268.6,263.7,319.0,321.7,238.8,119.5,289.4,288.0,314.1,89.1,111.7,313.6,247.3,240.5,0.0,300.3,125.3,204.2,271.3,305.0,123.8,56.5,248.3,336.3,184.0,255.1,122.5,209.0,60.9,358.8,121.7,240.0,299.3,170.3,77.2,248.6,267.3,346.2,77.3,277.9,270.2,122.7,361.5,66.6,263.4,111.2,45.8,312.5,259.5,165.1,312.4,229.9,302.4,135.9,222.6,178.7,296.4,212.4,239.7,275.9,331.4,115.4,111.4,263.8,94.4,64.4
NO,305.1,338.6,285.4,276.7,284.5,25.7,365.4,240.8,330.0,287.8,170.1,228.5,349.2,88.0,116.1,286.4,235.2,188.4,99.0,206.7,184.5,285.7,179.5,252.7,122.4,221.3,177.5,323.1,36.3,122.8,34.1,313.3,281.5,232.6,35.2,220.2,301.1,168.1,206.9,160.0,190.0,254.5,238.7,219.4,319.5,172.8,222.7,355.6,242.1,139.7,161.4,242.8,199.7,2199.1,188.2,82.3,121.9,114.4,167.2,21.3,163.7,293.2,96.8,273.3,137.8,261.2,307.5,102.8,179.4,196.2,328.1,0.0,248.4,222.9,130.1,94.2,191.0,271.9,69.6,72.0,244.7,195.9,192.7,167.1,331.5,94.5,261.2,198.9,100.3,223.3,325.9,202.2,120.6,81.9,304.7,79.8,188.8,270.2,180.8,293.0,170.0,238.7,340.7,12.1,112.8,221.6,165.7,243.2,62.1,299.2,178.4,237.9,155.7,215.7,135.7,175.6,120.6,274.9,238.5,161.3,267.8,304.0
OD,105.5,147.2,43.1,277.5,68.8,222.3,195.5,274.4,176.1,103.5,189.3,175.8,149.0,284.6,174.0,260.5,160.1,153.1,234.9,375.4,203.7,131.8,348.2,210.7,237.0,174.8,136.7,129.3,232.9,216.8,267.8,277.2,70.9,36.2,264.9,45.6,58.8,298.8,375.6,328.7,358.7,295.3,320.3,184.9,165.6,138.9,272.7,118.1,167.0,229.5,198.9,196.3,368.4,2226.8,191.6,304.2,252.6,247.7,335.9,251.0,149.9,231.0,225.0,399.5,268.5,45.5,223.2,296.2,265.6,258.8,134.3,229.6,0.0,285.5,182.4,287.6,138.7,120.4,177.6,247.4,245.2,326.6,137.4,193.0,172.4,269.9,45.5,187.4,210.4,223.8,172.0,332.9,251.3,257.3,164.6,261.9,307.1,210.0,349.5,141.5,288.3,23.0,103.2,241.8,243.5,206.7,296.4,305.8,242.7,247.4,241.0,238.4,286.4,278.3,223.7,306.3,314.0,59.2,162.3,221.9,113.9,152.5
OJ,295.9,190.7,297.3,49.6,265.8,198.1,146.0,74.9,199.4,225.2,143.1,193.4,233.5,261.1,165.8,67.0,153.7,166.7,131.7,135.4,118.4,192.6,224.7,167.5,105.6,139.8,168.5,207.4,237.7,96.8,178.2,109.7,200.0,302.4,237.8,321.3,313.0,167.4,194.5,153.2,135.7,31.5,35.8,184.3,188.9,178.4,36.9,246.1,157.0,80.1,79.9,127.1,176.5,2371.6,125.1,196.1,121.2,116.3,146.0,230.4,154.7,129.7,124.0,115.0,141.1,229.9,105.4,166.2,65.8,59.0,212.4,209.0,266.1,0.0,121.1,157.6,191.2,205.2,170.7,164.4,81.4,82.1,189.9,85.6,169.1,186.9,253.8,137.8,127.4,86.2,195.3,75.6,119.9,174.3,146.3,130.5,97.2,129.8,188.5,195.3,90.4,252.0,231.2,221.2,112.1,117.3,165.0,56.9,155.0,79.8,41.1,74.6,123.4,8.2,92.3,102.9,184.0,256.2,153.3,99.2,186.3,206.3
OK,264.6,279.9,226.5,146.5,233.4,137.5,235.2,164.7,234.6,231.0,39.9,157.0,284.6,186.7,44.6,155.5,133.5,111.8,52.4,234.3,56.3,190.3,207.1,181.2,103.5,121.1,47.3,258.5,163.3,34.3,85.3,198.9,180.2,219.6,151.4,227.2,242.2,165.7,234.5,188.6,217.6,164.3,170.3,147.9,224.1,96.2,132.4,254.3,140.4,51.2,86.2,137.9,227.3,2315.3,58.0,121.7,119.5,65.9,194.8,137.5,33.5,192.2,34.8,237.9,135.4,214.1,194.6,118.3,114.5,107.7,263.5,116.1,183.3,134.4,0.0,105.1,119.5,215.1,89.2,64.9,114.5,193.5,124.3,78.6,258.3,87.4,204.5,68.7,25.7,93.1,230.5,199.8,118.5,74.8,197.4,90.7,174.5,168.5,196.0,236.2,155.2,191.6,239.4,128.3,109.9,120.3,163.3,154.7,59.2,160.1,89.9,107.7,149.6,127.2,90.6,173.2,131.5,223.8,166.4,72.5,180.0,247.2
OO,321.4,321.9,334.3,203.0,288.6,118.5,288.8,174.2,267.2,256.3,147.7,212.1,317.7,131.6,152.4,212.0,172.4,185.4,81.7,163.5,164.1,222.9,127.8,236.3,59.6,158.5,155.1,291.6,108.2,100.4,72.0,250.5,218.7,300.4,138.1,288.0,350.0,105.3,155.2,108.7,138.3,184.4,175.9,203.0,256.7,201.9,159.9,292.8,179.3,117.3,98.6,175.3,148.0,2273.5,165.8,66.6,59.1,90.1,115.5,124.2,141.3,230.4,128.6,198.9,75.0,248.6,244.7,13.1,114.6,123.4,296.6,102.8,291.1,152.8,107.7,0.0,227.3,240.4,137.4,69.6,171.0,133.1,232.7,104.3,300.0,73.5,272.5,176.5,77.9,149.6,263.1,139.4,58.1,79.5,241.9,17.0,143.4,207.7,129.1,261.5,107.2,299.4,277.9,115.0,49.5,158.8,102.9,173.1,104.4,225.5,108.3,164.2,89.2,145.6,72.9,112.8,26.3,274.9,222.1,137.8,212.6,272.5
PG,186.0,136.6,142.4,151.6,149.3,169.1,91.9,170.9,150.5,99.6,104.2,37.4,145.6,231.4,127.2,134.6,54.6,47.6,157.6,294.0,122.5,106.2,242.7,61.6,131.5,69.3,118.1,119.5,179.7,140.7,204.1,151.3,62.0,135.5,211.7,131.8,158.1,193.3,270.1,223.2,253.2,169.4,194.4,28.3,140.0,59.3,152.4,136.1,61.5,124.0,93.4,103.4,262.9,2149.4,86.1,222.0,147.1,142.2,230.4,197.8,131.3,105.1,167.9,273.6,163.0,130.0,97.3,192.1,160.1,153.3,124.5,176.4,99.2,189.8,153.6,183.5,0.0,83.7,124.4,201.7,152.5,221.1,1.7,87.5,115.0,224.2,120.4,116.9,172.4,118.3,146.4,234.2,145.8,211.6,58.4,156.4,201.6,89.7,244.0,104.8,182.8,107.5,121.2,188.6,138.0,101.2,190.9,203.0,180.9,121.5,135.5,145.7,180.9,172.8,118.2,200.8,209.9,139.7,47.4,140.7,88.3,115.8
PJ,147.5,66.6,143.4,164.6,110.8,265.4,82.6,187.2,71.5,19.9,173.4,60.9,77.2,356.2,196.4,147.6,109.2,127.5,226.8,307.0,191.7,48.9,311.9,97.8,200.7,138.0,184.6,51.1,276.0,209.9,273.3,164.3,46.1,152.8,308.0,162.2,159.1,262.5,366.1,292.4,307.3,182.4,207.4,70.0,65.2,139.2,157.8,89.8,102.3,193.2,162.6,108.8,348.1,2245.7,155.3,291.2,216.3,211.4,317.6,294.1,197.8,118.1,237.1,286.6,232.2,76.0,110.3,261.3,219.7,212.9,56.1,272.7,116.5,202.8,230.3,252.7,96.2,0.0,220.7,270.9,157.9,253.7,94.9,156.7,59.5,293.4,81.9,186.1,241.6,142.7,71.6,247.2,215.0,280.8,49.7,225.6,268.8,95.1,313.2,21.0,262.0,98.1,74.9,284.9,207.2,137.5,260.1,208.4,250.1,134.5,195.0,151.1,250.1,211.0,187.4,274.5,279.1,101.2,110.0,209.9,66.8,32.0
PK,235.4,268.9,215.7,177.0,214.8,44.6,255.2,195.2,231.9,218.1,70.4,158.8,279.5,106.9,46.4,186.7,140.4,118.7,81.5,225.6,84.8,187.6,198.4,183.0,154.8,136.0,89.7,253.4,55.2,72.5,71.0,228.0,198.5,162.9,87.2,150.5,231.4,216.6,225.8,178.9,208.9,194.8,219.8,149.7,221.4,103.1,162.9,264.1,147.3,89.4,116.7,157.5,218.6,2219.8,88.5,101.2,170.4,96.9,186.1,73.3,82.0,198.4,90.4,299.0,186.3,191.5,212.7,139.7,152.7,145.9,258.4,51.9,178.7,215.2,81.5,131.1,121.3,202.2,0.0,146.5,145.0,244.4,123.0,110.8,261.8,123.0,191.5,99.2,109.5,123.6,227.8,259.6,169.1,110.4,209.9,116.7,224.9,175.4,199.7,223.3,206.1,169.0,249.2,64.1,161.3,150.8,164.6,213.5,58.6,199.5,128.1,138.2,204.2,165.4,141.5,224.1,157.5,205.2,168.8,103.0,169.7,234.3
PP,336.7,346.5,293.1,213.1,300.0,72.5,301.8,195.2,284.4,273.5,106.5,223.6,334.9,121.7,111.2,222.8,200.1,178.4,35.4,169.3,120.9,240.1,142.1,247.8,86.9,187.7,113.9,308.8,98.3,59.2,48.8,265.5,235.9,277.2,114.9,264.8,308.8,122.5,169.5,122.6,152.6,190.9,195.2,214.5,273.9,162.8,164.0,310.0,207.0,76.1,115.8,209.2,162.3,2265.2,124.6,56.7,76.3,50.8,129.8,101.0,100.1,258.1,87.4,204.4,92.2,280.7,261.2,57.2,139.4,132.6,313.8,79.6,249.9,159.3,66.5,48.6,186.1,257.6,114.2,0.0,181.1,150.3,187.8,121.5,324.9,22.4,271.1,135.3,36.7,159.7,280.3,156.6,75.0,9.8,264.0,34.2,143.2,235.1,143.4,278.7,124.4,258.2,295.1,91.8,67.2,176.0,120.1,179.6,63.2,235.6,114.8,174.3,110.1,152.1,90.1,130.0,75.0,290.4,233.6,97.7,222.2,289.7
