from_stop,AB,AE,AF,AH,AM,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DR,DS,DT,DZ,EF,EJ,EN,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HG,HH,HJ,HK,HS,HT,IE,IJ,IK,IX,JG,JN,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KN,KO,KS,KT,KZ,LA,LQ,LU,LV,LX,LY,MB,MF,MY,NG,NT,NW,NZ,OB,OG,OK,OP,OY,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QI,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UL,UO,US,UT,UX,VB,VF,VU,VY,WK,WN,WS,WX,XN,YA,YI,YJ,YK,YQ,YS,YZ,ZC,ZH,ZQ
HK,125.7,140.1,84.2,135.4,127.5,69.8,186.2,138.2,130.5,237.3,63.4,91.3,32.5,231.8,157.4,99.9,101.2,132.1,211.0,214.7,249.1,144.7,121.9,279.5,129.7,273.6,103.4,125.0,82.9,181.8,146.5,251.9,97.3,115.4,13.7,149.3,98.0,104.4,146.6,241.3,102.4,2236.2,123.7,64.6,204.8,79.8,165.2,0.0,101.7,175.5,106.5,82.8,190.4,280.4,52.4,198.8,207.6,104.9,75.0,79.3,267.9,100.5,276.1,123.3,212.6,163.0,24.2,69.0,17.7,160.3,98.0,44.2,83.6,201.8,165.5,47.6,251.9,178.5,191.4,203.3,200.2,34.1,118.2,120.1,144.4,141.2,147.5,187.1,40.5,25.9,189.9,300.0,163.6,165.2,135.0,150.8,191.9,208.6,40.4,19.6,113.4,54.2,208.5,148.9,119.0,112.1,206.6,148.9,258.4,135.0,179.4,59.5,90.2,137.6,185.0,148.5,201.7,27.0,124.3,294.1,89.6,110.4,91.5,169.4,221.4,199.0,92.8,257.3,151.5,228.4,174.4,53.8,163.5,197.8,8.7,206.7,131.7,96.4
HS,140.1,132.9,51.9,214.3,150.6,149.0,159.2,159.2,109.9,204.0,78.4,147.6,46.2,204.8,156.4,179.1,94.0,211.0,239.3,220.9,222.1,190.6,115.9,279.6,86.0,230.5,49.6,80.1,164.7,203.2,144.3,218.6,112.3,130.4,65.0,228.2,103.9,97.2,143.6,208.0,135.4,2233.2,202.6,26.5,211.0,57.5,198.6,78.8,0.0,173.3,103.5,119.0,218.7,235.6,90.8,227.1,189.6,105.9,44.4,72.1,234.6,156.8,242.8,139.1,185.6,255.1,54.5,147.9,99.5,157.3,103.9,123.1,162.5,200.8,180.5,40.4,243.7,193.6,206.4,193.3,221.6,95.9,111.0,18.3,143.4,74.5,162.5,202.2,122.3,87.7,188.9,297.0,180.7,186.6,149.7,165.2,189.7,236.9,125.3,98.4,11.6,133.1,223.5,141.7,84.6,75.6,220.4,119.1,225.1,134.0,203.5,138.7,11.4,152.0,218.4,46.7,216.7,105.8,203.2,267.1,148.0,127.4,170.4,248.7,240.5,196.8,107.7,230.3,197.4,247.5,189.4,35.7,160.5,231.2,87.5,204.5,109.5,56.9
HT,36.4,298.2,158.4,99.5,63.3,162.6,105.7,300.4,118.0,102.0,107.1,229.5,211.5,57.5,53.5,144.2,259.3,145.6,183.8,133.6,74.8,246.6,262.2,132.3,150.8,140.3,126.0,122.9,180.9,100.3,44.4,89.1,92.0,110.1,193.9,140.1,138.6,262.5,74.3,116.8,242.7,2195.7,87.8,191.8,123.7,164.0,111.3,177.2,165.2,0.0,88.6,226.1,163.2,88.1,214.6,171.6,101.2,83.4,146.1,237.4,105.1,218.5,110.9,258.7,70.9,176.5,204.4,147.7,179.9,119.8,138.6,140.9,115.1,54.7,116.4,205.7,96.4,106.3,148.9,104.9,78.3,153.0,276.3,146.8,56.7,162.3,87.2,114.9,202.7,161.2,62.4,219.8,10.5,83.7,28.8,84.8,42.8,181.4,184.4,154.3,153.5,132.7,139.0,307.0,127.4,152.7,25.5,104.2,71.5,37.8,56.6,169.7,176.7,71.6,131.1,174.1,159.2,146.9,137.8,119.8,194.7,250.7,123.0,182.9,194.2,60.5,236.1,65.0,253.4,201.2,61.6,201.0,123.0,143.9,165.2,57.6,126.4,119.0
IE,106.2,216.4,57.9,103.7,47.0,94.5,55.6,226.2,133.0,100.4,55.1,161.4,129.7,101.2,123.3,81.0,177.5,82.4,179.3,117.3,118.5,178.5,199.4,176.0,147.8,126.9,141.0,29.9,112.8,154.2,40.7,115.0,89.0,107.1,119.7,117.6,138.2,180.7,40.0,104.4,174.6,2129.6,92.0,86.8,107.4,53.5,95.0,103.0,128.5,69.7,0.0,170.8,158.7,132.0,140.4,162.5,86.0,109.2,114.2,155.6,131.0,150.4,139.2,198.5,82.0,113.3,130.2,79.6,105.7,53.7,138.2,72.8,51.9,98.0,178.3,123.9,140.1,128.8,196.9,89.7,121.6,78.8,194.5,146.9,81.5,159.3,130.5,137.4,128.5,87.0,105.7,193.4,80.2,143.8,98.6,151.4,86.1,172.3,128.4,86.2,140.2,69.5,192.9,225.2,23.9,152.3,116.8,15.5,121.5,57.9,99.9,101.6,117.0,141.4,114.8,175.3,203.9,78.8,74.6,163.5,126.6,182.6,59.8,119.7,136.9,93.2,180.8,126.7,185.3,143.9,104.9,76.0,56.9,127.6,111.7,100.9,123.4,134.0
IJ,182.2,78.4,140.7,219.0,186.1,91.8,218.7,83.3,179.0,263.5,119.9,48.6,99.0,288.4,223.9,132.0,92.2,168.9,195.5,156.5,307.0,102.0,61.4,336.0,178.2,315.6,151.9,139.6,72.4,234.6,205.1,278.5,153.8,171.9,80.2,232.9,146.5,42.7,203.1,290.4,59.7,2367.5,207.3,112.9,146.6,136.3,172.0,83.5,138.9,234.1,163.0,0.0,216.2,325.7,64.5,249.0,249.6,161.4,123.5,52.2,294.1,57.8,302.3,84.6,270.5,136.0,90.7,72.7,55.7,216.8,146.5,128.5,168.5,262.4,222.0,85.5,269.6,215.3,247.9,245.3,256.7,82.6,56.5,157.3,186.4,189.7,204.0,223.9,31.1,74.4,256.4,356.5,220.1,221.7,191.5,207.3,250.5,258.8,72.5,103.1,150.6,141.6,265.0,87.2,185.5,160.6,258.4,207.5,309.1,201.5,235.9,91.6,127.4,194.1,172.0,185.7,258.2,104.7,161.1,352.0,29.7,67.7,175.1,129.6,235.1,241.0,10.0,302.6,108.8,242.1,224.3,102.3,220.0,184.8,92.2,265.3,185.8,144.9
IK,196.7,303.5,183.8,44.2,113.2,155.9,66.0,298.4,278.3,135.1,198.2,251.5,224.6,111.6,207.2,107.6,267.5,73.1,20.5,76.0,128.9,257.9,282.1,186.4,290.9,155.5,286.3,155.8,192.2,254.0,145.0,149.7,232.1,250.2,205.8,47.1,290.1,267.8,80.6,132.0,262.6,2155.7,57.0,212.7,82.4,179.4,52.5,192.0,289.4,160.2,125.8,225.0,0.0,160.2,201.7,35.6,96.4,193.3,256.0,251.1,165.7,229.8,165.0,277.9,92.4,102.7,216.3,159.0,209.8,82.1,290.1,144.3,101.6,199.0,276.7,239.7,150.5,29.7,309.2,100.1,234.4,204.7,281.6,307.1,165.6,302.4,242.1,22.7,207.8,212.9,206.7,236.7,170.7,237.4,189.1,245.1,187.1,45.4,177.7,172.4,305.5,131.0,292.7,312.3,149.8,304.2,127.2,111.3,143.6,184.8,176.3,163.0,282.3,231.9,107.0,320.2,319.5,165.0,78.0,173.9,193.6,270.6,93.5,109.1,30.9,103.6,235.0,137.1,264.7,37.9,181.3,201.9,85.3,102.4,183.3,213.7,266.5,279.3
IX,138.3,400.1,212.8,141.6,136.7,264.5,99.4,402.3,219.9,28.1,209.0,331.4,313.4,71.2,155.4,246.1,361.2,217.7,177.5,207.0,88.5,348.5,364.1,146.0,252.7,55.1,227.9,224.8,282.8,202.2,117.8,35.2,193.9,212.0,295.8,126.8,240.5,364.4,147.7,52.6,344.6,2121.5,154.4,241.7,197.1,208.4,184.7,279.1,267.1,101.8,190.5,328.0,156.9,0.0,316.5,144.5,94.9,185.3,248.0,339.3,51.2,320.4,59.4,360.6,64.6,247.3,306.3,249.6,281.8,113.5,240.5,241.7,199.0,158.6,218.3,307.6,110.1,179.7,250.8,98.6,194.0,254.9,378.2,248.7,158.6,264.2,190.3,167.3,304.6,263.1,166.3,131.6,112.3,185.6,130.7,186.7,146.7,134.7,280.8,269.8,255.4,228.4,240.9,408.9,178.8,254.6,68.8,140.3,23.7,139.7,150.0,271.6,278.6,173.5,204.5,276.0,261.1,262.4,222.6,95.6,296.6,352.6,190.9,253.7,148.1,102.1,338.0,30.2,355.3,141.1,155.0,230.9,116.7,208.6,280.7,173.3,228.3,220.9
JG,183.4,110.1,128.7,193.2,184.7,58.1,194.0,136.4,153.2,238.8,107.9,97.6,73.2,279.0,205.6,88.2,65.7,125.1,235.4,223.5,296.3,151.0,93.1,324.0,152.4,304.9,126.1,114.9,89.2,226.3,203.7,253.4,141.8,159.9,54.4,207.1,120.7,74.4,178.4,281.4,108.7,2268.0,181.5,87.3,213.6,124.3,194.5,57.7,104.9,232.7,138.3,89.1,214.8,326.9,0.0,205.2,238.9,150.7,97.7,49.3,269.4,106.8,277.6,116.3,259.8,156.0,64.9,84.9,29.9,192.1,120.7,102.0,141.4,250.0,210.0,51.5,300.1,171.5,235.9,234.6,244.7,56.8,88.2,123.3,175.7,163.9,192.0,180.1,46.8,48.6,238.1,331.8,221.3,209.7,192.7,208.5,249.1,215.0,34.4,77.3,116.6,112.0,253.0,118.9,119.4,134.8,264.3,153.9,259.9,183.2,223.9,47.8,93.4,195.3,214.3,151.7,246.2,84.7,117.3,341.3,95.9,104.6,149.3,162.4,245.8,230.3,84.9,303.8,157.8,252.8,218.9,76.5,195.3,227.1,66.4,263.9,160.0,119.1
JN,210.4,308.4,201.8,62.2,98.1,155.9,84.0,291.1,279.9,102.3,202.0,240.8,254.2,128.3,209.5,107.6,267.5,73.1,45.8,101.3,146.9,257.9,284.8,202.8,297.0,128.8,287.9,173.8,192.2,256.3,117.1,117.3,235.9,254.0,235.4,65.1,301.7,272.7,98.6,106.3,267.5,2120.0,75.0,230.7,100.3,197.4,77.8,210.0,306.7,146.1,143.8,229.9,25.2,133.9,201.7,0.0,114.4,203.2,261.1,251.1,132.9,234.3,141.1,277.9,110.4,102.7,245.9,159.0,210.9,100.5,136.4,162.0,115.9,174.4,254.7,253.3,168.5,29.7,273.3,118.1,196.7,222.7,286.5,308.7,183.6,306.2,206.9,22.7,207.8,229.6,182.1,194.7,156.6,239.7,202.8,227.8,162.5,9.7,177.7,190.4,318.4,143.8,295.0,317.2,163.0,315.8,145.2,129.3,123.4,187.1,176.3,163.0,295.2,245.6,107.7,324.0,280.3,183.0,78.0,177.3,198.0,275.5,111.5,109.1,56.2,121.6,241.1,129.9,264.7,63.2,187.9,219.9,97.7,120.5,201.3,177.3,270.3,280.9
JR,122.0,325.9,187.7,100.8,67.4,195.5,49.3,329.7,203.6,57.4,140.0,262.4,239.2,40.0,121.1,175.6,287.0,118.6,127.4,137.7,57.3,279.5,308.9,114.8,211.1,65.9,205.9,155.8,213.8,167.9,48.5,72.0,152.3,170.4,223.2,83.7,200.5,290.2,78.4,42.4,275.6,2139.3,91.9,219.5,127.8,193.3,115.4,206.5,192.9,88.6,120.0,259.0,106.8,88.6,243.9,115.2,0.0,96.8,159.5,265.1,88.0,251.4,93.4,299.5,20.8,148.2,233.7,180.6,209.2,63.4,200.5,173.8,146.5,127.4,202.0,233.4,78.9,110.4,234.5,3.6,162.8,182.3,304.0,209.6,69.1,222.6,156.0,119.0,232.0,190.5,135.1,147.1,99.1,151.3,114.4,170.4,115.5,125.0,231.9,187.2,202.9,164.1,206.6,334.7,160.3,214.6,55.6,83.5,72.0,98.7,105.5,202.6,204.4,157.2,135.2,238.0,244.8,179.8,123.5,102.3,227.6,283.6,150.1,154.6,137.8,7.2,269.0,65.5,286.3,144.8,110.5,174.1,66.6,148.0,198.1,142.1,186.7,198.9
JS,56.8,229.0,90.8,153.1,145.2,98.6,130.5,232.8,99.4,145.6,43.1,165.5,142.3,128.2,55.9,105.0,190.1,131.8,215.6,214.4,145.5,182.6,212.0,200.4,114.2,154.1,109.0,58.9,116.9,102.7,115.6,160.2,55.4,73.5,126.3,167.0,103.6,193.3,114.9,130.6,178.7,2204.5,141.4,122.6,204.5,96.4,148.3,109.6,96.0,88.2,74.8,162.1,195.0,176.8,147.0,203.4,88.1,0.0,62.6,168.2,176.2,154.5,181.6,202.6,109.0,162.7,136.8,83.7,112.3,128.6,103.6,76.9,101.3,100.3,136.8,136.5,150.4,178.2,169.3,83.8,121.1,85.4,207.1,112.7,24.9,125.7,90.8,186.8,135.1,93.6,88.4,235.3,80.2,86.1,49.2,105.2,104.6,213.2,114.9,90.3,106.0,86.9,141.4,237.8,63.4,117.7,123.2,90.4,160.2,33.5,118.3,105.7,107.5,92.0,168.1,141.1,179.6,82.9,124.0,190.5,130.7,186.7,109.2,169.1,226.0,79.5,172.1,153.7,189.4,233.0,113.3,131.8,131.8,180.9,101.2,119.4,89.8,102.0
JU,112.1,166.3,56.6,210.9,155.3,130.2,163.9,186.4,81.9,207.1,83.1,151.7,79.6,189.7,117.4,143.8,127.4,193.3,277.1,225.6,207.0,205.1,149.3,260.3,81.1,210.7,54.8,84.8,136.9,160.5,149.0,222.1,71.8,89.9,92.1,224.8,49.4,130.6,148.3,192.1,162.8,2237.9,199.2,59.9,215.7,62.2,203.3,75.4,33.3,149.7,108.2,143.2,256.5,238.3,112.8,264.9,149.6,61.4,0.0,105.5,237.7,160.9,243.1,172.5,170.5,224.2,87.9,122.5,78.1,161.8,168.6,119.7,160.4,161.8,140.0,73.8,211.9,239.7,165.9,145.3,183.7,51.2,144.4,50.0,86.4,92.6,122.0,248.3,100.9,59.4,149.9,296.8,141.7,147.6,110.7,137.2,166.1,274.7,100.8,95.0,43.3,133.5,183.0,175.1,89.3,63.5,180.0,123.8,221.7,95.0,153.9,119.9,44.8,124.0,223.1,78.4,176.2,102.4,185.5,252.0,150.8,160.8,167.0,230.6,287.5,141.0,139.8,215.2,211.9,294.5,142.3,69.1,165.2,235.9,84.1,180.9,88.7,47.8
JV,216.7,60.7,113.5,226.4,218.5,127.9,220.8,87.0,204.4,265.6,154.4,75.4,58.3,266.4,248.4,158.0,39.9,194.9,242.4,203.4,283.7,118.4,43.7,370.5,172.7,292.1,136.3,141.7,123.4,272.8,237.5,280.2,188.3,206.4,77.1,240.3,171.9,25.0,205.2,269.6,63.2,2294.8,214.7,88.1,193.5,119.1,218.9,90.9,86.6,266.5,165.1,46.8,263.1,297.2,69.7,275.0,290.1,201.9,131.1,0.0,296.2,84.6,304.4,66.9,247.2,182.9,66.6,119.6,99.7,218.9,171.9,135.2,174.6,292.8,256.5,33.2,342.9,241.3,282.4,285.8,291.2,108.0,38.8,105.0,226.9,161.2,238.5,249.9,78.0,99.8,280.9,358.6,254.6,256.2,226.0,241.8,282.9,284.8,104.2,110.5,98.3,145.2,299.5,69.5,146.2,162.3,297.6,180.7,286.7,226.0,270.4,117.6,75.1,228.6,218.9,133.4,292.7,117.9,187.1,328.7,75.8,55.2,182.5,176.5,282.0,281.5,35.5,291.9,125.2,289.0,265.4,127.7,222.1,231.7,99.6,297.7,196.2,143.6
JX,158.7,420.5,226.2,153.3,137.6,284.9,101.8,422.7,235.4,41.5,229.4,351.8,333.7,48.1,128.0,223.3,381.6,188.8,179.9,207.9,50.1,368.9,384.5,107.6,243.8,68.5,248.3,198.2,303.2,174.1,118.7,27.1,208.3,203.1,314.9,136.2,248.4,384.8,148.6,66.0,365.0,2134.9,162.1,255.1,198.0,221.8,185.6,299.5,287.5,122.2,200.7,360.6,159.3,45.6,336.9,167.7,97.3,194.2,256.9,359.7,0.0,340.8,8.2,388.9,67.0,218.4,325.4,270.0,302.2,115.9,248.4,253.4,210.7,102.2,206.7,328.0,53.7,180.6,225.3,101.0,155.6,275.3,398.6,269.1,166.5,255.3,162.2,189.2,325.0,283.5,109.9,149.7,132.7,157.5,151.1,183.1,90.3,177.5,306.7,281.5,275.8,240.1,212.8,429.3,192.2,275.0,89.2,153.7,55.1,149.9,122.1,292.0,299.0,193.9,205.4,273.1,235.6,274.1,193.7,65.5,329.2,373.0,202.6,224.8,161.5,104.5,370.6,79.1,375.7,154.5,127.1,244.3,119.1,218.2,292.4,134.9,219.4,241.3
JY,177.7,90.0,136.2,209.2,197.5,87.3,218.0,65.7,193.3,259.0,115.4,6.5,135.6,289.0,209.3,113.7,136.3,154.4,209.0,170.0,306.3,84.4,36.9,329.9,208.1,306.2,193.0,138.9,74.0,230.1,216.5,274.0,153.1,171.2,121.3,219.3,187.6,75.1,202.4,289.7,24.1,2337.0,193.7,154.0,160.1,131.8,185.5,120.1,187.5,233.0,162.3,56.7,233.5,321.2,105.6,234.5,248.9,160.7,160.1,96.3,289.6,0.0,297.8,66.4,266.0,153.3,131.8,72.0,96.8,212.1,238.5,118.0,161.0,257.5,217.5,129.6,307.6,200.8,243.4,240.8,256.0,123.7,72.6,201.4,185.7,219.6,203.3,209.4,72.2,115.5,241.8,352.0,219.4,217.2,187.0,202.8,265.4,240.5,109.1,107.6,194.7,128.0,260.5,90.9,139.6,201.7,257.7,177.9,304.6,194.3,235.2,98.2,176.0,193.4,185.5,234.3,257.5,100.2,146.6,347.5,64.8,32.1,161.5,146.9,248.6,240.3,66.7,298.1,91.2,259.4,226.4,138.9,219.3,231.8,122.3,267.3,187.5,186.0
KF,150.5,412.3,218.0,145.1,129.4,276.7,93.6,402.3,227.2,51.0,221.2,343.6,325.5,41.2,119.8,215.1,373.4,180.6,171.7,199.7,41.9,360.7,376.3,97.8,240.1,73.1,240.1,190.0,299.1,162.2,110.5,36.3,200.1,194.9,306.7,128.0,240.2,376.6,140.4,104.7,356.8,2144.4,153.9,246.9,189.8,213.6,177.4,291.3,279.3,114.0,192.5,352.4,151.1,55.1,328.7,159.5,89.1,186.0,248.7,351.5,9.5,337.1,0.0,380.7,58.8,210.2,317.2,261.8,294.0,107.5,240.2,244.9,208.1,94.0,204.0,319.8,45.5,172.4,236.5,92.8,146.1,267.1,390.4,260.9,158.3,247.1,154.0,181.0,316.8,275.3,101.7,159.2,124.5,149.3,142.9,174.9,82.1,169.3,298.5,273.3,267.6,226.7,204.6,421.1,184.0,266.8,81.0,145.5,77.4,141.7,113.9,283.8,290.8,185.7,197.2,264.9,246.8,265.9,185.5,75.0,320.5,364.8,194.4,216.6,182.1,96.3,362.4,70.9,367.5,164.0,169.9,236.1,110.9,210.0,284.2,126.7,211.2,233.1
KJ,213.6,39.3,172.1,241.3,214.4,123.2,250.1,41.7,216.8,336.8,160.3,56.7,136.8,328.8,245.2,149.6,117.4,186.5,242.8,211.9,338.4,42.4,56.1,376.4,225.0,347.0,198.7,171.0,107.9,266.0,233.4,351.8,185.2,203.3,118.0,264.2,184.3,51.7,234.5,321.8,38.8,2340.4,229.6,159.7,202.0,167.7,200.3,121.3,164.1,262.4,194.4,57.9,272.5,357.1,102.3,266.6,281.0,192.8,161.3,77.4,376.4,65.9,384.6,0.0,301.9,200.4,128.5,104.1,93.5,248.2,257.7,159.1,193.1,290.7,253.4,110.7,297.9,232.9,288.3,276.7,288.1,120.4,38.3,182.5,217.8,227.5,235.4,241.5,68.9,112.2,277.7,387.9,251.5,253.1,222.9,238.7,278.8,289.7,110.3,140.9,175.8,163.9,296.4,56.0,184.5,198.4,289.8,235.8,340.5,238.9,267.3,129.4,160.5,225.5,177.8,210.9,289.6,136.1,178.7,392.4,85.5,46.8,197.4,185.0,272.1,272.4,67.9,334.0,49.2,265.1,264.7,140.1,251.4,217.2,130.0,293.6,219.6,182.7
KK,104.2,356.2,170.5,86.2,97.7,225.8,34.7,347.8,185.8,60.8,170.3,292.7,266.6,17.8,121.3,192.6,317.3,158.1,112.8,168.0,36.4,309.8,323.2,92.3,218.6,64.4,193.8,186.1,248.2,168.1,78.8,69.1,159.8,177.9,247.8,69.1,206.4,320.5,108.7,44.1,305.9,2124.7,99.0,199.2,158.1,166.1,144.8,234.0,223.2,67.7,150.3,289.3,92.2,67.7,274.2,100.6,30.2,127.1,189.8,295.4,82.0,281.7,72.5,329.8,0.0,187.7,258.3,210.9,239.5,48.8,75.0,186.0,139.9,106.5,184.2,263.7,58.0,114.7,216.7,33.9,140.6,212.6,334.3,214.6,99.4,230.1,156.2,107.7,262.3,220.8,114.2,150.5,78.2,151.5,96.6,152.6,94.6,110.4,242.1,214.4,221.3,167.8,206.8,365.0,136.5,220.5,40.0,98.0,51.1,105.6,115.9,232.9,234.7,139.4,165.5,241.9,227.0,207.0,163.0,81.4,257.4,313.9,135.5,194.1,123.2,37.4,299.3,44.6,316.6,130.2,120.9,188.6,52.0,178.3,225.3,121.2,194.2,186.8
KN,161.1,222.5,155.8,149.2,110.9,106.6,171.0,217.4,230.6,225.0,152.7,170.5,204.9,216.6,160.2,58.3,218.2,42.5,120.3,81.3,233.9,182.5,201.1,241.4,245.4,260.5,238.6,127.8,142.9,207.0,129.9,239.6,186.6,204.7,186.1,152.1,252.4,186.8,147.2,229.0,181.6,2242.7,144.5,184.7,71.4,151.4,96.8,163.0,257.4,158.9,146.8,144.0,141.0,265.2,152.4,122.6,201.4,153.9,211.8,196.3,255.6,154.4,263.8,202.5,197.4,0.0,196.6,109.7,161.6,160.9,252.4,115.3,104.4,187.2,241.1,204.0,194.4,88.9,273.6,172.5,210.8,188.5,200.6,259.4,147.2,256.9,195.1,97.5,158.5,180.3,194.9,317.4,169.4,190.4,153.5,209.5,175.3,132.4,128.4,143.4,269.1,102.0,245.7,231.3,121.8,266.5,176.0,132.3,246.1,137.8,189.1,113.7,245.9,196.3,96.8,274.7,293.1,136.0,28.7,278.9,112.6,189.6,118.6,6.3,159.9,168.2,154.0,242.1,189.3,166.9,194.1,173.9,164.1,109.6,154.3,190.1,221.0,231.6
KO,150.0,115.8,108.5,159.7,151.8,97.0,210.5,142.1,137.7,261.6,87.7,118.5,8.3,256.1,181.7,127.1,76.9,156.4,235.3,239.0,273.4,171.9,98.8,303.8,136.9,289.4,110.6,99.4,110.1,206.1,170.8,276.2,121.6,139.7,10.4,173.6,105.2,80.1,162.9,265.6,118.3,2252.5,148.0,71.8,229.1,104.1,189.5,24.2,77.4,199.8,122.8,101.9,214.7,304.7,73.7,223.1,223.4,135.2,82.2,55.0,292.2,127.7,300.4,122.0,236.9,187.3,0.0,93.3,44.9,176.6,105.2,68.5,107.9,226.1,189.8,23.3,276.2,202.8,215.7,219.1,224.5,41.3,93.9,95.8,160.2,148.4,171.8,211.4,67.7,33.1,214.2,316.3,187.9,189.5,159.3,175.1,216.2,232.9,73.3,43.8,89.1,78.5,232.8,124.6,143.3,119.3,230.9,173.2,282.7,159.3,203.7,86.7,65.9,161.9,209.3,124.2,226.0,51.2,148.6,318.4,116.8,110.3,115.8,193.7,245.7,214.8,90.6,281.6,178.7,252.7,198.7,61.0,179.8,222.1,32.9,231.0,144.5,103.6
KS,109.4,156.8,67.9,137.1,129.2,19.0,145.9,131.6,125.0,190.7,47.1,81.7,91.5,216.9,141.0,45.4,130.6,82.3,174.4,135.4,234.2,98.8,112.2,261.6,144.3,242.8,133.0,66.8,33.1,161.8,148.2,205.7,81.0,99.1,72.7,151.0,144.4,121.1,130.3,217.6,94.9,2219.9,125.4,96.8,125.5,63.5,150.9,58.9,139.6,164.7,90.2,78.3,195.1,252.9,64.8,162.4,176.8,88.6,106.2,114.2,221.3,75.2,229.5,118.8,197.7,114.9,83.2,0.0,74.0,144.0,224.4,46.1,80.0,185.4,149.2,106.6,235.5,128.7,175.1,172.5,185.0,88.8,134.9,153.8,113.6,151.3,131.2,137.3,70.9,84.9,173.5,283.7,147.3,148.9,118.7,134.5,193.3,172.2,40.8,39.3,160.5,59.7,192.2,161.3,75.0,159.7,185.6,105.8,236.3,122.2,163.1,26.1,149.2,121.3,150.9,169.1,185.4,31.9,74.5,279.2,46.4,102.9,93.2,108.5,214.0,168.2,88.3,229.8,105.6,221.0,158.1,86.0,147.2,163.7,50.2,195.2,115.4,126.0
KT,153.4,143.5,56.7,163.2,155.3,52.0,164.0,120.4,123.2,208.8,91.2,73.5,43.2,249.0,176.7,82.1,100.4,119.0,238.4,199.4,266.3,126.9,104.1,318.4,122.4,274.9,96.1,84.9,65.1,220.7,174.3,223.4,125.1,143.2,24.4,177.1,90.7,107.8,148.4,251.4,84.6,2238.0,151.5,57.3,189.5,62.3,188.4,27.7,101.1,203.3,108.3,65.0,218.2,296.9,34.6,199.1,208.9,120.7,67.7,84.0,239.4,82.7,247.6,105.5,229.8,149.9,34.9,89.8,0.0,162.1,90.7,72.0,111.4,221.1,204.4,58.3,271.2,165.4,219.2,204.6,239.1,26.8,121.6,116.9,145.7,133.9,186.4,174.0,22.7,18.6,209.2,301.8,191.3,204.1,162.7,178.5,219.7,208.9,28.3,47.3,123.6,82.0,236.3,137.9,89.4,104.8,234.3,123.9,229.9,154.3,218.3,41.7,100.9,165.3,208.2,151.7,229.5,54.7,111.2,311.3,71.8,92.6,119.3,156.3,249.2,200.3,75.0,273.8,133.7,256.2,213.3,46.5,165.3,221.0,36.4,234.5,130.0,89.1
KZ,128.9,278.8,120.3,54.0,49.7,156.8,20.5,276.4,195.4,46.6,117.5,223.7,192.1,64.8,142.7,143.4,239.9,125.8,80.6,120.0,127.4,240.9,264.0,183.3,210.1,68.2,203.4,92.3,181.6,173.2,63.3,61.6,151.4,169.5,182.1,36.9,200.6,243.1,17.1,52.1,236.9,2075.8,66.8,149.0,110.1,115.9,97.7,165.4,190.9,92.4,62.3,233.2,60.0,78.2,202.8,68.4,88.6,131.9,176.6,218.0,77.2,217.2,85.6,252.9,46.8,155.5,192.6,141.9,168.1,0.0,26.1,135.4,107.7,120.7,201.0,186.3,131.0,92.7,219.6,92.3,143.0,141.2,256.9,209.3,104.2,221.7,153.2,75.5,190.9,149.4,128.4,139.6,102.9,166.5,121.3,174.1,108.7,78.2,173.2,148.5,202.6,126.6,215.5,287.5,81.5,214.7,118.1,47.8,67.7,120.3,122.6,164.0,179.4,164.1,117.5,237.7,226.6,141.1,136.9,121.6,188.4,245.0,103.3,161.9,91.0,95.8,244.4,74.2,247.7,98.0,134.2,138.4,3.2,130.3,174.1,123.5,185.8,196.4
LA,92.9,226.2,70.0,224.3,168.7,162.4,177.3,290.7,296.3,222.1,96.5,229.3,257.9,204.5,124.5,173.7,187.3,210.6,299.9,102.0,223.1,264.8,193.5,226.0,289.7,242.1,227.3,169.5,150.3,126.2,169.6,58.7,82.5,58.5,105.5,238.2,0.0,248.6,161.7,221.8,288.6,2251.3,72.3,119.8,229.1,75.6,216.7,88.8,93.2,148.2,121.6,257.1,279.3,236.4,126.2,73.9,181.0,92.8,280.6,165.4,252.7,261.4,82.5,258.5,96.0,241.5,116.0,200.8,91.5,175.2,0.0,133.3,176.1,163.1,113.6,133.7,213.2,211.7,146.1,176.7,149.4,64.6,204.3,76.4,117.8,43.1,95.6,220.3,114.3,72.8,151.2,113.4,130.8,113.3,102.2,104.5,200.0,297.5,196.3,154.1,83.1,132.2,296.4,320.4,106.4,27.6,169.1,137.2,219.8,126.4,127.5,133.3,104.7,104.8,236.5,60.9,156.4,165.1,160.9,268.1,164.2,184.2,180.4,167.4,258.6,172.4,167.8,213.3,225.3,32.5,115.9,79.8,178.6,100.0,97.5,129.1,39.2,48.6
