from_stop,AC,AE,AK,AO,AV,BH,BI,BK,CB,CH,CO,CT,CX,EF,EI,EX,FG,FI,FN,FU,GD,GH,GI,GQ,GW,GZ,HH,HI,HQ,HR,HT,HV,HX,IP,JB,JQ,JS,KE,KK,KO,LE,MB,MX,NA,NH,NJ,NP,NS,NT,NV,NX,OA,OE,OF,OL,OO,OV,OW,PM,QN,QQ,QT,RY,SH,SU,SW,SY,TJ,TK,TQ,TS,TX,UB,UE,UI,UL,UQ,UX,VA,WW,XF,XY,YC,YT,YY,ZA,ZN,ZW
UL,435.2,126.1,764.4,184.9,24.6,282.8,380.4,205.5,126.3,168.3,605.0,2806.3,295.0,417.7,253.3,307.9,92.1,459.3,498.3,394.4,413.7,585.3,194.4,75.9,292.7,328.3,272.0,314.9,274.1,428.9,159.7,85.9,439.5,377.4,261.4,621.4,215.3,479.6,288.2,346.4,669.2,373.3,345.8,206.0,180.7,331.5,469.2,152.2,332.4,353.4,166.1,39.0,350.2,248.3,130.0,193.3,199.6,345.9,451.3,360.5,594.8,693.6,159.4,239.8,403.9,334.5,364.5,434.2,489.9,297.5,331.5,368.0,333.4,220.9,136.2,0.0,188.8,576.6,398.9,263.4,256.2,252.0,270.7,631.6,160.0,272.0,211.6,352.9
UQ,369.0,79.6,814.2,117.6,212.6,219.6,568.4,393.5,194.0,105.2,654.8,2816.5,483.0,351.5,190.1,244.8,280.1,633.7,548.1,554.2,601.7,635.1,128.2,263.9,229.6,516.3,205.8,248.8,210.9,362.7,347.7,115.5,384.5,566.5,449.4,672.3,403.3,529.4,476.2,534.4,719.0,310.1,282.6,196.8,368.7,268.3,519.0,86.1,520.4,285.7,354.1,227.0,538.2,185.1,319.1,381.3,136.4,279.7,647.5,294.4,644.6,743.4,149.7,176.6,337.7,523.6,301.3,622.2,664.3,234.3,473.5,301.8,270.2,154.8,70.1,187.9,0.0,626.4,334.6,451.4,444.1,185.8,207.5,681.4,280.7,222.5,148.5,540.8
UX,658.9,575.1,187.7,636.1,603.9,456.6,407.2,412.5,632.0,533.8,28.3,3312.0,702.6,673.0,446.2,395.9,499.7,866.9,78.2,802.0,821.3,8.7,650.3,547.0,466.6,355.1,578.8,570.3,556.9,684.2,425.8,611.8,706.0,786.1,379.8,45.9,371.2,96.9,315.0,754.0,237.2,565.1,597.8,603.7,588.3,374.9,107.3,604.6,740.0,804.2,573.7,568.4,757.8,500.3,582.2,470.5,500.5,601.2,858.9,615.9,162.8,116.9,632.9,459.7,627.6,743.2,556.3,841.8,897.5,410.8,284.5,623.3,525.2,641.6,588.6,607.6,641.2,0.0,589.6,470.4,330.4,585.6,522.7,54.9,632.2,537.7,572.7,760.4
VA,102.6,303.7,777.8,320.9,436.7,201.5,559.8,565.1,360.6,262.4,618.4,3040.6,707.1,279.8,174.8,208.4,504.2,857.8,511.7,778.3,825.8,598.7,257.1,488.0,191.5,507.7,210.9,177.1,232.8,291.0,571.8,339.6,312.8,790.6,532.4,635.9,523.8,493.0,467.6,758.5,682.6,24.5,326.4,331.7,592.8,231.9,482.6,288.8,744.5,522.3,578.2,451.1,762.3,228.9,543.2,605.4,229.1,208.0,871.6,222.7,608.2,707.0,368.8,188.3,56.2,747.7,153.1,846.3,888.4,197.9,437.1,230.1,122.0,223.4,304.0,411.9,376.9,590.0,0.0,623.0,483.0,192.4,251.3,645.0,504.8,266.3,301.3,764.9
WW,631.2,409.8,627.5,467.5,280.0,428.9,243.5,48.2,410.0,506.1,468.1,3090.0,378.7,645.3,418.5,372.0,175.8,543.0,361.4,478.1,497.4,448.4,478.1,223.1,438.9,191.4,551.1,542.6,529.2,656.5,101.9,368.5,667.2,462.2,124.5,485.6,78.4,342.7,151.3,430.1,532.3,537.4,570.1,576.0,264.4,347.2,332.3,436.0,416.1,637.2,249.8,244.5,433.9,472.6,258.3,146.6,472.8,573.5,543.2,588.2,457.9,556.7,443.2,432.0,599.9,419.3,528.6,517.9,573.6,383.1,194.6,595.6,497.5,588.9,420.0,283.6,472.6,439.7,561.9,0.0,119.2,557.9,495.0,494.7,308.3,510.0,545.0,436.5
XF,511.9,428.1,508.2,460.9,273.4,309.6,124.2,82.0,403.4,386.8,348.8,3083.4,372.1,526.0,299.2,252.7,169.2,536.4,242.1,471.5,490.8,329.1,503.3,216.5,319.6,72.1,431.8,423.3,409.9,537.2,95.3,361.9,547.9,455.6,49.3,366.3,40.7,223.4,32.0,423.5,413.0,418.1,450.8,456.7,257.8,227.9,213.0,429.4,409.5,630.6,243.2,237.9,427.3,353.3,251.7,140.0,353.5,454.2,528.4,468.9,338.6,437.4,493.2,312.7,480.6,412.7,409.3,511.3,567.0,263.8,75.3,476.3,378.2,469.6,413.4,277.0,466.0,320.4,442.6,139.9,0.0,438.6,375.7,375.4,288.9,390.7,425.7,429.9
XY,183.1,121.3,764.5,128.4,254.3,148.9,546.5,435.2,178.2,146.9,605.1,2858.2,524.7,165.6,140.4,198.6,321.8,675.4,498.4,595.9,643.4,585.4,64.6,305.6,138.9,494.4,18.4,62.9,40.3,176.8,389.4,158.0,187.5,608.2,491.1,622.6,445.0,479.7,454.3,576.1,669.3,242.6,232.9,237.9,410.4,218.6,469.3,96.3,562.1,329.8,395.8,268.7,579.9,135.4,360.8,423.0,124.8,93.8,681.0,108.5,594.9,693.7,198.7,126.9,151.8,565.3,251.6,663.9,706.0,184.6,423.8,115.9,220.5,55.9,111.5,229.5,184.4,576.7,218.1,493.1,469.7,0.0,157.8,631.7,322.4,172.8,190.2,582.5
YC,317.6,135.6,709.9,196.6,268.6,115.3,491.9,449.5,198.8,94.3,550.5,2878.8,539.0,318.1,85.8,144.0,336.1,689.7,443.8,610.2,657.7,530.8,214.0,319.9,125.3,439.8,139.3,215.4,117.4,329.3,403.7,172.3,340.0,622.5,464.5,568.0,455.9,425.1,399.7,590.4,614.7,205.8,75.0,80.9,424.7,164.0,414.7,165.1,576.4,364.7,410.1,283.0,594.2,22.3,375.1,437.3,61.0,246.3,695.3,261.0,540.3,639.1,110.1,72.3,286.3,579.6,197.0,678.2,720.3,130.0,369.2,268.4,165.9,205.3,149.1,243.8,201.7,522.1,230.3,507.4,415.1,167.8,0.0,577.1,336.7,14.9,133.2,596.8
YT,713.9,630.1,132.7,691.1,658.9,511.6,462.2,467.5,687.0,588.8,26.5,3367.0,757.6,728.0,501.2,454.7,554.7,921.9,133.2,857.0,876.3,46.2,705.3,602.0,521.6,410.1,633.8,625.3,611.9,739.2,480.8,667.5,761.0,841.1,434.8,9.0,426.2,151.9,370.0,809.0,292.2,620.1,652.8,658.7,643.3,429.9,162.3,659.6,795.0,859.2,628.7,623.4,812.8,555.3,637.2,525.5,555.5,656.2,913.9,670.9,217.8,61.9,695.2,514.7,682.6,798.2,611.3,896.8,952.5,465.8,339.5,678.3,580.2,671.6,643.6,662.5,696.2,54.9,644.6,525.4,385.4,640.6,577.7,0.0,674.4,592.7,627.7,815.4
YY,512.2,203.1,768.4,260.8,146.8,368.7,384.4,209.5,203.3,245.4,609.0,2883.3,307.9,494.7,330.3,385.0,96.1,472.2,502.3,398.4,426.6,589.3,280.3,64.4,369.8,332.3,357.9,392.0,360.0,505.9,163.7,161.8,536.6,382.5,265.4,626.5,219.3,483.6,292.2,350.4,673.2,450.3,422.8,283.6,184.7,488.1,473.2,229.3,336.4,291.4,170.1,120.2,354.2,325.3,121.1,197.3,276.6,422.9,464.2,437.6,598.8,697.6,236.5,316.8,480.9,339.6,441.5,438.2,493.9,374.5,344.4,453.9,410.4,298.0,213.3,159.4,265.9,580.6,474.8,267.4,260.1,337.9,347.7,635.6,0.0,357.9,288.7,356.8
ZA,332.6,150.6,724.9,211.6,277.9,130.3,506.9,458.8,183.8,109.3,565.5,2863.8,548.3,333.1,100.8,159.0,345.4,699.0,458.8,619.5,667.0,545.8,229.0,329.2,140.3,454.8,154.3,230.4,132.4,344.3,413.0,181.6,355.0,631.8,479.5,583.0,468.6,440.1,414.7,599.7,629.7,220.8,78.1,66.0,434.0,179.0,429.7,180.1,585.7,271.9,419.4,292.3,603.5,37.3,384.4,446.6,76.0,261.3,704.6,276.0,555.3,654.1,95.1,87.3,301.3,588.9,212.0,687.5,729.6,145.0,384.2,283.4,180.9,220.3,164.1,253.1,216.7,537.1,245.3,516.7,430.1,182.8,14.9,592.1,346.0,0.0,148.2,606.1
ZN,353.6,102.6,745.9,163.6,235.6,151.3,527.9,416.5,159.5,61.3,586.5,2839.5,506.0,354.1,121.8,176.5,303.1,656.7,479.8,577.2,624.7,566.8,239.2,286.9,161.3,475.8,164.5,251.4,142.6,365.3,370.7,138.5,376.0,589.5,472.4,604.0,426.3,461.1,435.7,557.4,650.7,241.8,214.3,219.2,391.7,200.0,450.7,132.1,543.4,331.7,377.1,250.0,561.2,116.8,342.1,404.3,68.1,282.3,670.5,297.0,576.3,675.1,172.7,108.3,322.3,546.6,233.0,645.2,687.3,166.0,405.2,304.4,201.9,205.5,116.1,210.9,168.7,558.1,266.3,474.4,451.1,193.0,139.2,613.1,290.9,154.2,0.0,563.8
ZW,792.0,482.9,948.2,540.6,360.1,639.6,564.2,389.3,483.1,525.2,788.8,2819.1,138.8,774.5,610.1,692.7,260.6,106.4,682.1,41.5,139.5,769.1,551.2,303.2,649.6,512.1,628.8,671.8,630.9,785.7,343.5,442.8,796.4,91.9,445.2,806.3,399.1,663.4,472.0,182.0,853.0,730.1,702.6,562.8,316.3,667.9,653.0,509.1,364.6,492.6,198.3,324.6,63.6,605.1,338.4,377.1,556.4,702.7,177.1,717.4,778.6,877.4,516.3,596.6,760.7,49.0,721.3,269.8,137.0,703.8,515.3,724.8,690.2,577.8,493.1,363.7,545.7,760.4,754.6,447.2,439.9,608.8,627.5,815.4,388.4,628.8,568.5,0.0
