from_stop,AE,AK,AY,BA,BF,BL,CD,CU,DB,DD,DG,DI,DJ,DS,DX,DZ,EF,EJ,EN,EO,EY,FB,FE,FL,FV,GL,GO,GZ,HB,HP,HV,IB,IU,JE,JO,KD,KM,KN,KO,KQ,LD,LI,LK,MI,MK,MO,MP,MR,MV,MY,NC,ND,NH,NI,NY,OD,OM,OQ,OT,OU,PF,PG,PH,PY,QI,QU,QZ,RU,RX,SZ,TI,TS,UB,US,UW,VF,VO,WA,WB,WC,WH,WT,WW,WY,XH,YD,YI,YJ,YW,ZC,ZV,ZY
TS,463.3,478.9,281.6,455.8,448.9,506.4,391.2,520.6,326.3,571.5,455.3,555.3,446.1,147.6,504.2,428.8,627.4,362.2,564.0,527.6,417.9,198.3,192.8,589.2,389.0,569.3,535.0,679.3,500.1,494.3,278.8,417.2,465.4,191.5,138.4,345.5,523.1,463.5,401.6,367.3,603.3,1163.7,635.7,642.4,686.7,503.7,566.5,352.5,602.9,515.6,451.1,434.4,98.7,332.2,528.0,436.4,460.2,428.3,646.7,296.5,56.7,680.6,242.4,622.2,458.4,563.6,555.3,3087.9,625.5,303.9,592.0,0.0,448.4,512.7,486.7,95.1,265.1,526.6,510.8,634.5,247.7,526.6,524.7,525.3,555.8,446.8,407.2,496.0,652.0,274.9,538.7,181.6
UB,162.0,732.2,534.9,154.5,147.6,322.9,183.0,337.1,270.9,634.4,294.6,371.8,205.2,271.0,291.0,207.7,466.7,438.7,640.5,366.9,116.6,274.8,538.5,665.7,228.3,645.8,351.5,495.8,316.6,253.4,223.4,493.7,164.1,237.6,484.1,237.7,339.6,222.6,82.3,85.9,419.8,1046.0,583.8,718.9,503.2,580.2,643.0,231.1,679.4,48.8,527.6,510.9,444.4,408.7,604.5,195.5,486.0,504.8,723.2,284.2,402.4,757.1,197.1,698.7,528.2,207.6,371.8,2768.6,702.0,380.4,668.5,424.9,0.0,589.2,326.0,323.5,341.6,288.9,458.9,176.1,324.2,190.5,341.2,39.1,186.7,286.1,660.5,255.1,728.5,351.4,398.1,434.9
US,601.9,950.8,753.5,638.5,631.6,449.0,694.6,457.9,509.0,406.0,806.2,483.1,687.0,397.2,719.3,719.3,978.3,224.9,398.5,878.5,600.6,337.6,664.7,423.7,739.9,403.8,420.4,515.0,485.3,666.0,461.5,251.7,648.1,374.2,610.3,817.4,432.3,626.9,584.3,550.0,552.9,1635.6,470.2,476.9,522.4,338.2,401.0,824.4,437.4,680.0,285.6,268.9,570.6,202.6,362.5,696.3,294.7,262.8,481.2,768.4,528.6,515.1,425.1,456.7,509.5,691.6,399.8,3088.1,460.0,355.0,426.5,551.1,631.1,0.0,837.6,449.7,419.6,695.8,345.3,761.0,298.8,817.3,489.9,670.3,670.7,797.7,875.8,740.7,486.5,326.0,373.2,653.5
UW,315.0,655.4,458.1,324.1,317.2,552.4,173.7,578.9,500.4,863.9,31.4,601.3,228.6,500.5,213.9,211.3,278.1,668.2,870.0,40.9,328.5,503.2,535.3,895.2,128.0,875.3,581.0,725.3,546.1,266.8,452.9,723.2,345.4,467.1,480.9,160.9,569.1,246.0,329.8,315.4,649.3,1146.6,813.3,948.4,732.7,809.7,872.5,154.3,908.9,281.3,757.1,740.4,418.3,638.2,834.0,218.9,715.5,734.3,952.7,207.4,470.3,986.6,426.6,928.2,764.4,273.3,601.3,3016.1,931.5,609.9,898.0,513.3,337.0,818.7,0.0,549.2,571.1,262.1,688.4,507.7,553.7,309.1,570.7,307.8,265.5,97.5,580.4,239.8,958.0,580.9,627.6,358.1
VF,368.1,501.0,303.7,360.6,353.7,411.2,413.3,425.4,231.1,476.3,477.4,460.1,468.2,52.4,526.3,450.9,649.5,267.0,468.8,549.7,322.7,103.1,214.9,494.0,411.1,474.1,439.8,584.1,404.9,398.1,183.6,322.0,370.2,96.3,160.5,367.6,427.9,349.0,306.4,272.1,508.1,1185.8,540.5,547.2,591.5,408.5,471.3,374.6,507.7,402.1,355.9,339.2,120.8,237.0,432.8,458.5,365.0,333.1,551.5,318.6,78.8,585.4,147.2,527.0,363.2,413.7,460.1,2992.7,530.3,208.7,496.8,101.3,353.2,417.5,508.8,0.0,169.9,419.0,415.6,539.3,152.5,548.7,429.5,392.4,392.8,468.9,429.3,518.1,556.8,179.7,443.5,203.7
VO,360.4,665.2,467.9,352.9,346.0,403.5,409.0,417.7,223.4,460.4,520.6,452.4,401.4,111.6,433.7,433.7,692.7,251.1,452.9,592.9,315.0,87.2,379.1,478.1,454.3,458.2,432.1,569.4,397.2,390.4,175.9,306.1,362.5,88.6,324.7,531.8,420.2,341.3,298.7,264.4,500.4,1350.0,524.6,531.3,576.8,392.6,455.4,538.8,491.8,394.4,340.0,323.3,285.0,221.1,416.9,410.7,349.1,317.2,535.6,482.8,243.0,569.5,139.5,511.1,347.3,406.0,452.4,2985.0,514.4,192.8,480.9,265.5,345.5,401.6,552.0,164.1,0.0,411.3,399.7,531.6,136.6,531.7,421.8,384.7,385.1,512.1,593.5,455.1,540.9,163.8,427.6,367.9
WA,146.1,702.8,505.5,96.1,89.2,383.5,153.6,410.0,331.5,695.0,265.2,432.4,185.0,331.6,37.6,140.4,437.3,499.3,701.1,236.4,100.5,334.3,582.7,726.3,198.9,706.4,412.1,556.4,377.2,169.2,284.0,554.3,117.4,298.2,528.3,208.3,400.2,130.1,160.9,146.5,480.4,1042.6,644.4,779.5,563.8,640.8,703.6,201.7,740.0,248.5,588.2,571.5,465.7,469.3,665.1,118.6,546.6,565.4,783.8,254.8,463.0,817.7,257.7,759.3,595.5,11.1,432.4,2847.2,762.6,441.0,729.1,485.5,187.7,649.8,277.3,384.1,402.2,0.0,519.5,318.2,384.8,276.3,401.8,226.9,37.5,256.7,627.8,59.0,789.1,412.0,458.7,405.5
WB,485.0,947.2,749.9,477.5,470.6,126.5,533.6,123.1,505.4,219.5,645.2,160.6,526.0,393.6,558.3,558.3,817.3,221.3,244.9,717.5,439.6,332.9,661.1,270.1,578.9,250.2,97.9,192.5,162.8,515.0,457.9,145.9,487.1,370.6,606.7,588.3,109.8,465.9,423.3,389.0,230.4,1369.0,124.8,323.3,199.9,184.6,247.4,581.7,283.8,519.0,150.0,96.8,567.0,199.0,208.9,535.3,71.1,109.2,327.6,634.8,525.0,361.5,421.5,303.1,505.9,530.6,77.3,2765.6,306.4,351.4,272.9,547.5,470.1,363.6,676.6,446.1,416.0,535.9,0.0,438.5,295.2,656.3,167.4,509.3,509.7,636.7,875.5,579.7,332.9,322.4,50.7,649.9
WC,259.8,857.6,660.3,252.3,245.4,351.2,308.4,377.7,388.7,662.7,420.0,400.1,300.8,388.8,290.4,333.1,592.1,556.5,688.1,492.3,214.4,392.6,656.3,713.3,353.7,693.4,379.8,524.1,344.9,289.8,341.2,589.1,261.9,355.4,601.9,363.1,367.9,240.7,154.4,203.7,448.1,972.7,612.1,766.5,531.5,627.8,690.6,356.5,727.0,275.8,593.2,540.0,562.2,526.5,652.1,310.1,514.3,552.4,770.8,409.6,520.2,804.7,314.9,746.3,652.7,262.7,400.1,2748.8,749.6,498.2,716.1,542.7,226.9,707.0,451.4,441.3,459.4,268.0,487.2,0.0,442.0,417.5,369.5,266.1,241.8,411.5,785.9,311.8,776.1,469.2,426.4,560.3
WH,314.7,663.6,466.3,351.3,344.4,358.4,407.4,355.0,221.8,315.4,519.0,392.5,399.8,110.0,432.1,432.1,691.1,106.1,307.9,591.3,313.4,50.4,377.5,333.1,452.7,313.2,329.8,424.4,394.7,378.8,174.3,161.1,360.9,87.0,323.1,530.2,341.7,339.7,297.1,262.8,462.3,1348.4,379.6,386.3,431.8,247.6,310.4,537.2,346.8,392.8,195.0,178.3,283.4,76.1,271.9,409.1,204.1,172.2,390.6,481.2,241.4,424.5,137.9,366.1,210.6,404.4,309.2,2983.4,369.4,56.1,335.9,263.9,343.9,256.6,550.4,162.5,132.4,408.6,254.7,530.0,0.0,530.1,399.3,383.1,383.5,510.5,588.6,453.5,395.9,27.2,282.6,366.3
WT,269.9,710.5,513.2,285.5,278.6,499.7,161.3,513.9,447.7,811.2,272.9,548.6,183.5,447.8,269.3,186.0,445.0,615.5,817.3,345.2,247.6,450.5,590.4,842.5,206.6,822.6,528.3,672.6,493.4,221.7,400.2,670.5,295.1,414.4,536.0,216.0,516.4,200.9,259.1,262.7,596.6,1177.0,760.6,895.7,680.0,757.0,819.8,209.4,856.2,137.8,704.4,687.7,473.4,585.5,781.3,173.8,662.8,681.6,900.0,262.5,525.4,933.9,373.9,875.5,705.0,304.2,548.6,2945.4,878.8,557.2,845.3,568.4,176.7,766.0,304.3,500.3,518.4,293.0,635.7,352.9,501.0,0.0,518.0,147.5,296.4,264.4,635.5,233.4,905.3,528.2,574.9,413.2
WW,319.3,934.3,737.0,355.9,349.0,47.5,412.0,36.6,420.5,354.7,523.6,124.0,404.4,380.7,436.7,436.7,695.7,356.5,380.1,595.9,318.0,469.2,648.2,405.3,457.3,385.4,71.8,229.9,23.2,393.4,373.0,281.1,365.5,347.3,593.8,466.7,59.9,344.3,301.7,267.4,172.0,1247.4,304.1,458.5,237.3,319.8,382.6,460.1,419.0,397.4,285.2,232.0,554.1,334.2,344.1,413.7,206.3,244.4,462.8,513.2,512.1,496.7,306.8,438.3,641.1,409.0,92.1,2644.0,441.6,486.6,408.1,534.6,348.5,498.8,555.0,433.2,451.3,413.2,179.2,316.9,430.4,534.7,0.0,387.7,388.1,515.1,859.3,458.1,468.1,457.6,118.4,637.0
WY,191.2,693.0,495.7,183.7,176.8,352.1,143.8,378.6,300.1,663.6,255.4,401.0,166.0,300.2,251.8,168.5,427.5,467.9,669.7,327.7,145.8,304.0,567.7,694.9,189.1,675.0,380.7,525.0,345.8,214.2,252.6,522.9,193.3,266.8,513.3,198.5,368.8,183.4,111.5,115.1,449.0,1075.2,613.0,748.1,532.4,609.4,672.2,191.9,708.6,9.7,556.8,540.1,455.9,437.9,633.7,156.3,515.2,534.0,752.4,245.0,431.6,786.3,226.3,727.9,564.1,286.7,401.0,2797.8,731.2,409.6,697.7,454.1,29.1,618.4,286.8,352.7,370.8,249.7,488.1,205.3,353.4,151.3,370.4,0.0,278.9,246.9,621.3,215.9,757.7,380.6,427.3,395.7
XH,108.5,709.4,512.1,58.5,51.6,345.9,160.2,360.1,293.9,657.4,271.8,394.8,152.6,294.0,48.5,151.3,443.9,461.7,663.5,247.3,62.9,296.7,561.5,688.7,205.5,668.8,374.5,518.8,339.6,131.6,246.4,516.7,79.8,260.6,507.1,214.9,362.6,92.5,123.3,108.9,442.8,950.0,606.8,741.9,526.2,603.2,666.0,208.3,702.4,215.8,550.6,533.9,467.4,431.7,627.5,129.5,509.0,527.8,746.2,261.4,425.4,780.1,220.1,721.7,557.9,20.8,394.8,2809.6,725.0,403.4,691.5,447.9,150.1,612.2,288.2,346.5,364.6,25.0,481.9,280.6,347.2,282.9,364.2,189.3,0.0,263.3,634.4,69.9,751.5,374.4,421.1,412.1
YD,257.8,575.1,377.8,250.3,243.4,472.1,93.4,498.6,420.1,783.6,45.7,521.0,148.3,420.2,223.8,131.0,180.5,587.9,789.7,118.0,212.4,424.0,455.0,814.9,47.7,795.0,500.7,645.0,465.8,196.5,372.6,642.9,259.9,386.8,400.6,80.6,488.8,165.7,249.5,235.1,569.0,1157.1,733.0,868.1,652.4,729.4,792.2,74.0,828.6,217.8,676.8,660.1,338.0,557.9,753.7,138.6,635.2,654.0,872.4,127.1,390.0,906.3,346.3,847.9,684.1,269.0,521.0,2935.8,851.2,529.6,817.7,433.0,256.7,738.4,77.1,468.9,490.8,232.0,608.1,427.4,473.4,228.8,490.4,227.5,261.2,0.0,503.4,198.2,877.7,500.6,547.3,277.8
YI,635.8,239.4,132.2,651.4,644.5,857.3,494.5,883.8,677.2,922.4,558.6,906.2,549.4,498.5,607.5,532.1,730.7,713.1,914.9,630.9,613.5,548.1,432.1,940.1,492.3,920.2,885.9,1030.2,851.0,587.6,629.7,768.1,661.0,542.4,377.7,448.8,874.0,566.8,650.6,636.2,954.2,924.2,986.6,993.3,1037.6,854.6,917.4,455.8,953.8,618.9,802.0,785.3,315.1,683.1,878.9,539.7,811.1,779.2,997.6,399.8,367.1,1031.5,593.3,973.1,809.3,666.9,906.2,3336.9,976.4,654.8,942.9,410.1,657.8,863.6,590.0,446.0,616.0,655.7,861.7,828.5,598.6,629.9,875.6,628.6,659.1,550.1,0.0,599.3,1002.9,625.8,889.6,232.2
YJ,171.5,643.7,446.4,121.5,114.6,408.9,94.5,435.4,356.9,720.4,206.1,457.8,125.9,357.0,35.8,119.2,378.2,524.7,726.5,234.6,125.9,359.7,523.6,751.7,139.8,731.8,437.5,581.8,402.6,164.1,309.4,579.7,142.8,323.6,469.2,149.2,425.6,143.3,186.3,171.9,505.8,1040.8,669.8,804.9,589.2,666.2,729.0,142.6,765.4,189.4,613.6,596.9,406.6,494.7,690.5,59.6,572.0,590.8,809.2,195.7,458.6,843.1,283.1,784.7,620.9,70.7,457.8,2872.6,788.0,466.4,754.5,501.6,213.1,675.2,237.5,409.5,427.6,59.5,544.9,343.6,410.2,217.2,427.2,215.9,62.9,197.6,568.7,0.0,814.5,437.4,484.1,346.4
YW,711.2,1068.6,871.3,747.8,740.9,396.8,803.9,393.4,626.8,353.8,915.5,430.9,796.3,515.0,828.6,828.6,1087.6,342.7,220.9,987.8,709.9,455.4,782.5,138.7,849.2,274.6,368.2,462.8,433.1,785.3,579.3,267.3,757.4,492.0,728.1,935.2,380.1,736.2,693.6,659.3,500.7,1753.4,418.0,191.9,470.2,116.9,64.1,852.0,152.4,789.3,251.4,216.7,688.4,320.4,184.9,805.6,242.5,205.1,196.2,886.2,646.4,230.1,542.9,171.7,627.3,800.9,347.6,3035.9,18.1,472.8,38.6,668.9,740.4,485.0,946.9,567.5,537.4,805.1,293.1,708.8,416.6,926.6,437.7,779.6,780.0,907.0,993.6,850.0,0.0,443.8,321.0,771.3
ZC,387.3,692.1,494.8,379.8,372.9,386.9,435.9,395.8,250.3,343.9,547.5,421.0,428.3,138.5,460.6,460.6,719.6,134.6,336.4,619.8,341.9,77.8,406.0,361.6,481.2,341.7,358.3,452.9,423.2,417.3,202.8,189.6,389.4,115.5,351.6,558.7,370.2,368.2,325.6,291.3,490.8,1376.9,408.1,414.8,460.3,276.1,338.9,565.7,375.3,421.3,223.5,206.8,311.9,104.6,300.4,437.6,232.6,200.7,419.1,509.7,269.9,453.0,166.4,394.6,176.7,432.9,337.7,3011.9,397.9,28.9,364.4,292.4,372.4,285.1,578.9,191.0,160.9,438.2,283.2,558.5,28.5,558.6,427.8,411.6,412.0,539.0,620.4,482.0,424.4,0.0,311.1,394.8
ZV,434.2,963.9,766.6,426.7,419.8,75.7,482.8,72.3,522.1,236.2,594.4,109.8,475.2,410.3,507.5,507.5,766.5,238.0,261.6,666.7,388.8,349.6,677.8,286.8,528.1,266.9,47.1,141.7,112.0,464.2,474.6,162.6,436.3,387.3,623.4,537.5,59.0,415.1,372.5,338.2,179.6,1318.2,185.6,340.0,149.1,201.3,264.1,530.9,300.5,468.2,166.7,113.5,583.7,215.7,225.6,484.5,87.8,125.9,344.3,584.0,541.7,378.2,438.2,319.8,522.6,479.8,26.5,2714.8,323.1,368.1,289.6,564.2,419.3,380.3,625.8,462.8,432.7,485.1,60.7,387.7,311.9,605.5,116.6,458.5,458.9,585.9,892.2,528.9,349.6,339.1,0.0,666.6
ZY,426.6,297.2,99.9,419.1,412.2,625.0,262.2,651.5,444.9,690.1,326.3,673.9,317.1,266.2,375.2,299.8,498.4,480.8,682.6,398.6,381.2,316.9,199.8,707.8,260.0,687.9,653.6,797.9,618.7,365.3,397.4,535.8,428.7,310.1,145.4,216.5,641.7,334.5,418.3,403.9,721.9,982.0,754.3,761.0,805.3,622.3,685.1,223.5,721.5,386.6,569.7,553.0,82.8,450.8,646.6,307.4,578.8,546.9,765.3,167.5,134.8,799.2,361.0,740.8,577.0,434.6,673.9,3104.6,744.1,422.5,710.6,177.8,425.5,631.3,357.7,213.7,383.7,397.6,629.4,596.2,366.3,397.6,643.3,396.3,426.8,317.8,225.5,367.0,770.6,393.5,657.3,0.0
