from_stop,AC,AI,AL,AR,AU,AW,BD,BI,BJ,BZ,CD,CH,CO,CV,DG,DI,DJ,DK,DL,DN,DP,DT,DZ,EF,EG,EH,EI,ET,EV,EW,EX,FB,FF,FG,FI,FJ,FO,FZ,GB,GT,GU,HG,HO,HU,HZ,IN,IO,IP,JF,JI,JJ,JK,JQ,JS,KG,KK,KL,KM,KU,KV,LM,LO,LS,LV,MH,MJ,MK,MP,MW,NC,NG,NP,NX,OE,OQ,OR,OX,PH,PJ,PN,PO,PR,QG,QK,QO,QZ,RU,RX,SJ,SQ,SW,TD,TI,UB,UH,UU,UX,VF,VG,VH,VT,VX,WA,WI,WW,XB,XD,XN,XW,XZ,YB,YH,YI,YJ,YN,YO,YT,YZ,ZE,ZO,ZU,ZY
JS,254.4,119.4,237.3,375.3,148.1,177.6,233.3,457.0,230.0,191.9,370.0,444.3,214.4,179.0,149.4,150.7,317.7,231.6,428.8,154.6,229.0,132.4,441.0,88.7,187.9,274.5,428.6,392.2,272.6,379.7,204.6,448.3,155.5,334.9,152.6,305.1,257.8,295.5,326.5,306.5,336.6,1932.0,423.4,144.5,267.3,62.3,295.5,357.1,352.9,110.7,340.6,216.4,241.5,0.0,198.1,382.7,431.3,328.8,354.2,248.2,279.1,373.0,265.4,276.9,331.6,276.3,284.1,301.4,324.9,283.0,352.0,27.7,420.8,20.7,355.5,57.4,269.0,388.8,359.2,82.1,419.7,239.1,285.3,440.3,315.6,157.6,256.8,465.5,117.2,365.2,376.6,266.8,233.1,131.0,267.4,271.0,126.8,191.6,404.7,323.4,272.7,367.0,309.7,313.5,217.4,222.4,11.4,111.6,338.1,279.3,291.4,218.5,293.4,259.0,208.8,292.5,201.4,200.6,290.0,173.6,228.8,72.4
KG,277.1,173.4,320.1,432.2,170.8,200.3,311.2,420.1,183.6,255.9,333.1,407.4,185.8,285.9,203.4,246.9,392.3,194.7,391.9,286.4,251.7,155.1,404.1,142.7,241.9,142.6,391.7,355.3,380.4,342.8,158.2,411.4,178.2,298.0,211.1,268.2,125.9,258.6,439.5,269.6,299.7,1850.3,514.2,240.7,366.7,174.8,258.6,467.2,316.0,164.7,303.7,239.1,109.6,136.4,0.0,345.8,394.4,291.9,317.3,202.0,242.2,336.1,240.5,240.0,294.7,299.0,247.2,376.0,288.0,246.1,462.1,98.7,383.9,106.8,318.6,169.9,232.1,446.8,421.6,194.6,382.8,140.5,362.1,403.4,390.2,180.3,219.9,465.7,93.7,328.3,339.7,343.6,186.7,185.0,281.5,234.1,103.3,8.5,367.8,294.8,329.6,330.1,272.8,276.6,19.2,176.0,119.8,68.1,301.2,389.4,254.5,222.6,370.2,222.1,338.7,255.6,224.1,208.6,253.1,292.3,191.9,184.9
KK,303.4,399.7,551.7,81.7,272.1,249.9,537.5,99.3,503.0,482.2,118.5,800.7,200.3,508.9,426.8,473.2,618.6,141.7,159.8,512.7,301.3,250.6,143.2,369.0,219.3,547.5,218.5,60.9,606.7,72.9,214.1,727.8,264.7,625.7,227.0,70.2,257.4,87.1,688.2,152.1,48.1,1935.4,740.5,467.0,160.5,415.9,586.3,694.1,32.7,391.0,177.9,288.7,217.7,407.8,322.1,0.0,157.2,57.6,167.1,162.9,569.9,79.4,316.2,129.7,145.6,336.7,97.9,602.3,59.3,130.1,58.4,347.5,63.1,355.6,646.3,393.6,145.6,673.1,647.9,435.7,32.7,203.0,588.4,122.3,616.5,215.3,154.2,194.9,320.0,47.1,151.8,569.9,242.5,411.3,314.5,141.2,331.1,464.6,83.9,157.6,555.9,150.5,73.6,93.2,341.4,231.9,368.6,384.6,58.6,638.7,122.5,286.5,641.3,149.6,566.9,114.2,545.6,480.7,139.2,518.6,141.6,426.0
KL,334.7,431.0,583.0,689.8,295.9,281.2,568.8,84.6,270.8,513.5,55.4,70.9,231.6,540.2,450.6,504.5,649.9,175.8,51.8,544.0,332.6,281.9,9.7,400.3,499.5,359.2,173.4,82.2,638.0,100.9,245.4,103.8,296.0,208.0,468.7,172.4,288.7,152.4,712.0,128.2,168.3,1890.5,771.8,498.3,624.3,432.4,189.4,717.9,160.4,414.8,126.4,320.0,249.0,416.5,353.4,716.2,0.0,167.3,115.6,194.2,178.3,99.9,347.5,126.5,82.5,368.0,141.0,633.6,181.8,225.6,685.7,371.3,110.8,386.9,124.5,402.6,176.9,704.4,679.2,452.2,109.7,234.3,619.7,111.1,640.3,246.6,191.9,84.6,343.8,113.1,133.1,601.2,266.3,442.6,345.8,213.6,362.4,346.9,69.2,267.3,587.2,99.0,166.6,202.9,372.7,263.2,392.4,301.6,168.3,670.0,232.2,317.8,672.6,204.4,598.2,210.8,297.5,274.7,248.9,549.9,172.9,442.5
KM,264.8,346.5,495.8,608.2,213.1,196.7,484.3,97.0,186.3,429.0,131.4,171.4,147.1,456.5,376.5,420.0,568.3,98.8,166.2,456.3,248.1,193.5,147.3,315.8,417.9,290.5,230.4,72.8,553.5,78.4,160.9,77.0,211.5,193.0,384.2,12.6,204.2,109.2,628.2,139.0,66.9,1888.6,681.5,413.8,539.8,364.0,20.6,640.9,54.8,332.0,189.8,235.5,164.5,355.9,268.9,68.7,157.0,0.0,179.0,109.1,105.8,84.9,263.0,112.3,157.5,281.0,120.0,552.0,81.4,141.1,601.2,288.5,67.2,302.4,195.3,335.9,101.5,614.1,594.7,383.8,80.1,149.8,535.2,134.2,563.3,162.1,109.1,164.8,266.8,51.2,163.7,516.7,192.2,358.1,261.3,129.1,276.4,256.6,98.7,236.1,502.7,164.0,95.7,147.3,288.2,178.7,315.4,224.6,171.9,581.0,152.4,219.6,543.3,117.1,510.5,129.2,214.7,184.4,174.3,465.4,88.4,374.1
KU,292.9,374.6,521.3,633.4,247.0,224.8,512.4,160.9,214.4,457.1,107.6,90.0,175.2,487.1,404.6,448.1,593.5,113.7,74.5,487.6,276.2,221.6,136.7,343.9,443.1,302.8,151.2,115.4,581.6,116.6,189.0,171.5,239.6,221.1,412.3,142.6,232.3,96.0,663.1,51.5,137.1,1917.1,715.4,441.9,567.9,376.0,133.0,669.0,153.4,365.9,10.7,263.6,192.6,360.1,297.0,172.0,132.8,166.3,0.0,137.2,116.2,109.9,291.1,70.1,69.7,309.1,84.6,577.2,125.4,169.2,629.3,322.4,144.0,330.5,75.6,371.1,120.5,648.0,622.8,395.8,142.9,177.9,563.3,116.3,591.4,190.2,143.0,111.2,294.9,146.3,96.7,544.8,217.5,386.2,289.4,157.2,304.5,290.5,98.5,264.2,530.8,12.7,110.2,175.4,316.3,206.8,343.5,252.7,200.0,613.6,177.6,247.7,571.4,145.2,541.8,154.4,248.6,218.3,202.4,493.5,116.5,386.1
KV,198.1,302.7,454.7,560.9,166.8,144.6,440.5,245.8,134.2,385.2,160.3,233.1,95.0,411.9,329.2,376.2,521.6,53.8,217.6,415.7,196.0,145.3,229.8,272.0,370.6,165.7,217.4,181.0,509.7,168.5,108.8,225.8,160.5,140.9,339.8,93.9,95.0,84.3,568.8,95.3,129.0,1800.9,643.5,370.0,496.0,338.3,84.3,595.9,141.7,293.4,129.4,183.4,55.4,265.7,159.7,564.9,212.6,109.1,143.0,0.0,67.9,161.8,210.9,65.7,120.4,231.4,72.9,504.7,113.7,89.0,590.8,228.0,209.6,236.1,144.3,316.0,57.8,576.1,550.9,358.1,208.5,170.5,491.4,229.1,518.9,110.0,62.8,254.3,222.4,154.0,165.4,472.9,138.3,314.3,209.2,77.0,234.1,152.6,190.7,184.0,458.9,164.1,98.5,102.3,179.0,126.6,248.5,196.8,126.9,518.7,97.4,181.2,544.3,67.8,468.0,81.3,168.4,138.1,122.2,421.6,36.3,348.4
LM,242.3,324.0,470.7,582.8,196.4,174.2,461.8,177.8,163.8,406.5,157.3,214.1,124.6,433.2,351.1,397.5,542.9,76.3,198.6,437.0,225.6,171.0,213.2,293.3,392.5,265.1,149.4,113.0,531.0,100.5,138.4,157.8,189.0,170.5,361.7,92.0,181.7,63.7,641.4,74.7,104.8,1830.5,664.8,391.3,517.3,377.2,82.4,618.4,121.1,315.3,108.8,213.0,142.0,369.1,246.4,169.6,203.5,107.2,122.4,86.6,0.0,93.8,240.5,45.1,99.8,258.5,52.3,526.6,93.1,118.6,578.7,271.8,141.6,279.9,123.7,354.9,142.0,597.4,572.2,397.0,140.5,127.3,512.7,161.1,540.8,139.6,92.4,235.3,244.3,143.9,190.6,494.2,166.8,335.6,238.8,106.6,253.9,239.9,122.7,213.6,480.2,135.2,77.9,124.8,265.7,156.2,292.9,202.1,149.4,563.0,127.0,210.8,520.8,97.4,491.2,103.8,198.0,167.7,151.8,442.9,65.9,387.3
LO,258.4,354.7,501.4,613.5,227.1,204.9,492.5,83.9,194.5,437.2,64.4,120.2,155.3,463.9,381.8,428.2,573.6,107.0,104.7,467.7,256.3,201.7,119.3,324.0,423.2,295.8,163.4,19.1,561.7,6.7,169.1,63.9,219.7,144.9,392.4,122.7,212.4,76.1,643.2,82.1,109.4,1861.2,695.5,422.0,548.0,356.1,113.1,649.1,97.3,346.0,122.8,243.7,172.7,340.2,277.1,75.7,102.1,104.2,112.0,117.3,78.3,0.0,271.2,50.2,90.5,289.2,64.7,557.3,105.5,149.3,609.4,302.5,47.7,310.6,128.3,333.8,100.6,628.1,602.9,375.9,46.6,158.0,543.4,67.2,571.5,170.3,123.1,141.4,275.0,50.0,96.7,524.9,197.5,366.3,269.5,137.3,279.6,270.6,28.8,204.2,510.9,97.0,90.3,139.8,296.4,186.9,323.6,232.8,105.2,593.7,157.7,227.8,551.5,128.1,521.9,134.5,228.7,198.4,182.5,473.6,96.6,366.2
LS,44.4,325.6,442.7,540.5,161.2,111.2,485.6,412.2,162.9,408.1,325.2,407.3,169.6,431.3,355.6,399.1,512.7,186.8,422.8,390.3,120.4,160.4,461.1,294.9,394.1,345.0,383.8,347.4,446.0,334.9,205.4,403.5,117.1,290.1,363.3,260.3,298.5,250.7,501.3,261.7,291.8,1743.5,591.1,392.9,461.0,347.0,250.7,522.3,308.1,316.9,295.8,133.6,258.8,284.6,239.5,337.9,470.8,341.4,309.4,203.4,234.3,328.2,0.0,232.1,286.8,60.6,239.3,496.4,280.1,238.2,517.2,246.9,376.0,255.0,310.7,342.1,224.2,563.6,524.4,366.8,374.9,194.3,487.1,395.5,510.6,112.8,212.0,386.1,245.9,320.4,331.8,468.6,157.9,337.2,40.9,226.2,255.5,233.0,359.9,278.6,478.1,322.2,264.9,268.7,258.8,174.8,268.0,203.7,293.3,444.5,246.6,31.7,495.2,214.2,414.2,247.7,121.7,84.6,245.2,425.9,184.0,357.1
LV,222.7,304.4,451.1,563.2,176.8,154.6,442.2,173.6,144.2,386.9,93.0,167.3,105.0,416.9,334.4,377.9,523.3,43.5,151.8,417.4,206.0,151.4,164.0,273.7,372.9,232.6,177.2,76.6,511.4,64.1,118.8,164.9,169.4,150.9,342.1,72.4,162.1,25.8,592.9,29.5,66.9,1810.9,645.2,371.7,497.7,305.8,62.8,598.8,83.2,295.7,63.6,193.4,122.4,289.9,226.8,120.9,154.3,96.1,77.2,67.0,43.7,57.4,220.9,0.0,54.6,238.9,14.4,507.0,55.2,99.0,559.1,252.2,137.4,260.3,78.5,300.9,50.3,577.8,552.6,325.6,104.1,107.7,493.1,124.7,521.2,120.0,72.8,188.5,224.7,121.4,99.6,474.6,147.3,316.0,219.2,87.0,234.3,220.3,89.1,194.0,460.6,90.0,40.0,105.2,246.1,136.6,273.3,182.5,129.8,543.4,107.4,177.5,501.2,75.0,471.6,84.2,178.4,148.1,132.2,423.3,46.3,315.9
MH,266.7,348.4,495.1,607.2,220.8,198.6,486.2,165.0,188.2,430.9,38.4,128.2,149.0,460.9,378.4,421.9,567.3,87.5,112.7,461.4,250.0,195.4,109.3,317.7,416.9,276.6,171.4,100.2,555.4,90.4,162.8,156.3,213.4,194.9,386.1,116.4,206.1,69.8,636.9,45.6,114.5,1854.9,689.2,415.7,541.7,349.8,106.8,642.8,127.2,339.7,130.8,237.4,166.4,333.9,270.8,156.8,99.6,140.1,120.0,111.0,90.0,83.7,264.9,43.9,0.0,282.9,58.4,551.0,99.2,143.0,603.1,296.2,128.8,304.3,49.4,344.9,94.3,621.8,596.6,369.6,127.7,151.7,537.1,90.1,565.2,164.0,116.8,149.4,268.7,131.1,70.5,518.6,191.3,360.0,263.2,131.0,278.3,264.3,83.3,238.0,504.6,110.0,84.0,149.2,290.1,180.6,317.3,226.5,173.8,587.4,151.4,221.5,545.2,119.0,515.6,128.2,222.4,192.1,176.2,467.3,90.3,359.9
MJ,75.9,371.3,495.3,578.3,181.0,88.6,509.1,411.6,129.2,453.8,354.9,371.1,197.8,483.8,400.9,444.8,520.7,248.4,386.6,450.8,84.2,141.7,424.9,340.6,442.3,361.6,426.8,381.0,506.5,360.6,169.2,394.1,188.4,315.8,409.0,326.5,326.7,278.9,539.1,289.9,377.6,1804.0,631.4,438.6,521.5,338.7,337.1,560.1,363.0,362.6,324.0,77.9,287.0,276.3,285.2,528.5,442.1,313.9,337.6,232.2,260.0,353.9,60.4,260.3,315.0,0.0,267.5,504.4,308.3,266.4,555.0,236.1,375.4,246.7,336.4,313.9,252.4,601.4,562.2,358.5,388.3,222.5,547.6,442.4,521.1,141.0,240.2,349.9,291.6,359.4,471.9,529.1,121.9,382.9,29.6,254.4,302.7,281.2,404.0,306.8,538.6,433.8,293.1,296.9,304.5,138.6,257.2,249.4,321.5,482.3,272.3,99.1,559.7,245.2,474.7,273.4,66.4,152.5,273.4,486.4,212.2,348.8
MK,220.0,301.7,448.4,560.5,174.1,151.9,439.5,159.1,141.5,384.2,187.1,233.5,102.3,414.2,331.7,375.2,520.6,40.8,221.9,414.7,203.3,148.7,203.0,271.0,370.2,229.9,286.1,128.5,508.7,140.5,116.1,150.4,166.7,148.2,339.4,69.7,159.4,11.3,590.2,54.1,56.0,1808.2,642.5,369.0,495.0,303.1,60.1,596.1,68.7,293.0,88.2,190.7,119.7,287.2,224.1,106.4,212.7,93.4,101.8,64.3,57.7,147.0,218.2,24.5,79.2,236.2,0.0,504.3,40.7,96.3,556.4,249.5,122.9,257.6,103.1,298.2,47.6,575.1,549.9,322.9,135.8,105.0,490.4,189.9,518.5,117.3,70.1,254.7,222.0,106.9,219.4,471.9,144.6,313.3,216.5,84.3,231.6,217.6,154.3,191.3,457.9,114.6,25.5,102.5,243.4,133.9,270.6,179.8,127.1,540.7,104.7,174.8,498.5,72.3,468.9,81.5,175.7,145.4,129.5,420.6,43.6,313.2
MP,548.9,221.8,113.3,99.1,468.3,469.5,148.1,710.7,465.9,125.9,625.2,760.4,468.1,156.5,194.7,164.3,40.3,518.7,744.9,170.2,551.3,424.3,694.7,261.2,182.2,523.3,728.4,645.9,135.9,633.4,440.5,690.7,460.9,588.6,189.9,558.8,493.7,549.2,85.8,560.2,593.9,1851.5,105.3,170.5,150.9,253.2,549.2,62.9,606.6,231.3,594.3,564.5,477.4,291.8,434.0,636.4,685.0,574.0,607.9,501.9,532.8,626.7,481.1,530.6,585.3,544.3,537.8,0.0,578.6,536.7,75.8,362.3,674.5,312.6,609.2,249.3,522.7,70.7,83.0,232.9,673.4,492.8,106.8,694.0,14.1,456.6,510.5,781.6,309.2,618.9,630.3,88.3,468.9,207.1,522.1,524.7,298.6,427.5,655.6,577.1,97.5,627.0,563.4,567.2,422.1,458.3,303.2,347.5,591.8,68.8,545.1,442.4,114.9,512.7,127.4,546.2,580.0,428.4,543.7,166.2,482.5,242.6
MW,258.6,340.3,487.0,599.1,212.7,190.5,478.1,118.3,180.1,422.8,146.3,192.7,140.9,452.8,370.3,413.8,559.2,79.4,181.1,453.3,241.9,187.3,162.2,309.6,408.8,268.5,245.3,87.7,547.3,99.7,154.7,109.6,205.3,137.3,378.0,108.3,198.0,27.8,628.8,92.7,11.7,1846.8,681.1,407.6,533.6,341.7,98.7,634.7,27.9,331.6,204.7,229.3,158.3,325.8,262.7,65.6,171.9,85.7,193.9,102.9,96.3,106.2,256.8,63.1,172.4,274.8,38.6,542.9,0.0,134.9,595.0,288.1,82.1,296.2,210.2,336.8,86.2,613.7,588.5,361.5,95.0,143.6,529.0,149.1,557.1,155.9,108.7,213.9,260.6,66.1,178.6,510.5,183.2,351.9,255.1,122.9,270.2,256.2,113.5,196.6,496.5,183.9,14.3,132.2,282.0,172.5,309.2,218.4,97.6,579.3,143.3,213.4,537.1,110.9,507.5,120.1,214.3,184.0,168.1,459.2,82.2,351.8
NC,224.9,306.6,453.3,565.4,179.0,156.8,444.4,172.0,146.4,389.1,200.0,246.4,107.2,419.1,336.6,380.1,525.5,69.8,234.8,419.6,208.2,153.6,215.9,275.9,375.1,234.8,299.0,141.4,513.6,153.4,121.0,163.3,171.6,51.8,344.3,104.9,181.5,177.8,595.1,144.7,138.8,1813.1,647.4,373.9,499.9,308.0,113.0,601.0,123.4,297.9,258.4,195.6,141.8,292.1,246.0,137.3,225.6,101.4,247.6,86.4,117.3,159.9,223.1,115.1,226.1,241.1,188.6,509.2,150.0,0.0,561.3,254.4,135.8,262.5,263.9,303.1,107.2,580.0,554.8,327.8,148.7,109.9,495.3,202.8,523.4,122.2,24.0,267.6,226.9,119.8,232.3,476.8,149.5,318.2,221.4,11.0,236.5,239.5,167.2,129.1,462.8,237.6,164.3,80.3,265.3,138.8,275.5,184.7,64.6,545.6,8.3,179.7,503.4,21.9,473.8,101.3,180.6,150.3,110.7,425.5,67.0,318.1
NG,594.5,267.4,153.6,44.3,513.9,515.1,193.7,756.3,511.5,171.5,669.3,803.7,513.7,202.1,240.3,209.9,113.2,564.3,788.2,258.6,594.6,464.8,740.3,306.8,227.8,568.9,771.7,691.5,181.5,679.0,486.1,736.3,506.5,634.2,235.5,604.4,539.3,594.8,129.1,605.8,635.9,1894.8,101.2,216.1,179.6,298.8,594.8,57.7,652.2,276.9,639.9,607.8,523.0,337.4,479.6,682.0,730.6,625.9,653.5,547.5,578.4,672.3,526.7,576.2,630.9,587.4,583.4,45.5,624.2,582.3,0.0,407.9,720.1,358.2,654.8,294.9,568.3,73.6,7.1,278.5,719.0,538.4,116.8,739.6,84.7,502.2,556.1,824.9,354.8,664.5,675.9,133.8,514.5,252.7,567.7,570.3,344.2,473.1,701.2,622.7,143.1,672.6,609.0,612.8,467.7,503.9,348.8,393.1,637.4,114.4,590.7,488.0,106.1,561.1,205.2,591.8,623.3,474.0,589.3,211.8,528.1,288.2
NP,226.6,169.1,267.1,413.0,120.3,149.8,306.9,429.2,202.2,251.6,342.2,416.5,186.6,221.2,196.2,188.4,388.0,237.2,401.0,192.3,201.2,99.5,413.2,138.4,237.6,259.6,400.8,364.4,310.3,351.9,176.8,409.2,127.7,307.1,206.8,277.3,230.0,267.7,364.2,278.7,308.8,1868.9,461.1,182.2,305.0,100.0,267.7,394.8,325.1,160.4,312.8,188.6,213.7,37.6,170.3,354.9,396.0,292.5,326.4,220.4,251.3,345.2,237.6,249.1,303.8,245.2,256.3,371.7,297.1,255.2,389.7,0.0,393.0,8.1,327.7,77.7,241.2,426.5,396.9,119.8,391.9,211.3,323.0,412.5,385.9,129.8,229.0,437.7,89.4,337.4,348.8,304.5,205.2,180.7,239.6,243.2,99.0,163.8,374.1,295.6,310.4,339.2,281.9,285.7,189.6,194.6,21.0,83.8,310.3,317.0,263.6,228.9,331.1,231.2,246.5,264.7,173.6,172.8,262.2,211.3,201.0,110.1
NX,333.9,415.6,562.3,674.4,288.0,265.8,553.4,36.2,255.4,498.1,100.9,110.5,216.2,528.1,445.6,489.1,634.5,154.7,98.9,528.6,317.2,262.6,80.0,384.9,484.1,343.8,199.9,42.3,622.6,54.3,230.0,27.4,280.6,123.9,453.3,95.8,273.3,130.7,704.1,143.0,88.4,1937.6,756.4,482.9,608.9,441.5,103.9,710.0,76.3,406.9,159.3,304.6,233.6,401.1,338.0,58.7,89.7,72.3,148.5,178.2,139.2,60.8,332.1,111.1,127.0,350.1,125.6,618.2,102.9,155.7,670.3,363.4,0.0,371.5,164.8,436.6,161.5,689.0,663.8,461.3,29.6,218.9,604.3,103.7,632.4,231.2,179.8,131.7,335.9,29.0,133.2,585.8,258.5,427.2,330.4,166.8,345.5,331.5,68.1,183.2,571.8,138.5,117.2,118.8,357.3,247.8,384.5,293.7,84.2,654.6,148.1,288.7,612.4,177.7,582.8,139.8,289.6,259.3,164.8,534.5,157.5,451.6
OE,233.6,176.1,266.9,404.9,127.3,156.8,262.9,436.2,209.2,258.6,349.2,423.5,193.6,208.6,206.1,180.3,347.3,210.8,408.0,184.2,208.2,111.6,420.2,145.4,244.6,253.7,407.8,371.4,302.2,358.9,183.8,427.5,134.7,314.1,213.8,284.3,237.0,274.7,356.1,285.7,315.8,1875.9,453.0,174.1,296.9,91.9,274.7,386.7,332.1,167.4,319.8,195.6,220.7,29.5,177.3,361.9,410.5,308.0,333.4,227.4,258.3,352.2,244.6,256.1,310.8,255.5,263.3,331.0,304.1,262.2,381.6,7.0,400.0,0.0,334.7,87.0,248.2,418.4,388.8,111.7,398.9,218.3,314.9,419.5,345.2,136.8,236.0,444.7,96.4,344.4,355.8,296.4,212.3,187.7,246.6,250.2,106.0,170.8,383.9,302.6,302.3,346.2,288.9,292.7,196.6,201.6,12.9,90.8,317.3,308.9,270.6,197.7,323.0,238.2,238.4,271.7,180.6,179.8,269.2,203.2,208.0,102.0
OQ,248.1,344.4,496.4,603.2,216.8,194.6,482.2,156.6,184.2,426.9,96.9,153.7,145.0,456.9,371.5,417.9,563.3,96.7,138.2,457.4,246.0,195.3,152.8,313.7,412.9,272.6,196.9,91.8,551.4,86.4,158.8,136.6,209.4,190.9,382.1,112.4,202.1,65.8,632.9,75.8,106.9,1850.9,685.2,411.7,537.7,345.8,102.8,638.8,123.2,335.7,156.3,233.4,162.4,329.9,266.8,148.4,135.6,136.1,145.5,107.6,86.0,79.7,260.9,39.9,124.0,281.4,54.4,547.0,95.2,139.0,599.1,292.2,120.4,300.3,0.0,323.5,90.3,617.8,592.6,365.6,119.3,147.7,533.1,40.6,561.2,160.0,112.8,174.9,264.7,122.7,21.0,514.6,187.2,356.0,259.2,127.0,274.3,260.3,78.8,234.0,500.6,128.9,80.0,145.2,286.1,176.6,313.3,222.5,169.8,583.4,147.4,217.5,586.0,115.0,511.6,124.2,218.4,188.1,172.2,463.3,86.3,355.9
OR,332.9,87.6,192.6,331.4,190.6,220.1,198.6,443.4,224.4,155.1,382.2,456.5,226.6,144.3,114.7,113.9,291.5,277.2,441.0,117.8,271.5,169.8,487.3,56.9,156.1,268.9,440.8,404.4,236.0,391.9,199.0,423.4,198.0,347.1,115.8,331.1,252.2,307.7,286.4,318.7,352.4,1891.9,420.3,107.7,247.4,25.5,321.5,355.4,394.8,78.9,352.8,258.9,235.9,42.4,183.6,408.7,436.0,352.6,366.4,260.4,291.3,385.2,288.4,289.1,343.8,349.1,296.3,275.2,337.1,295.2,311.9,70.2,407.2,63.2,367.7,0.0,281.2,346.0,319.1,45.3,420.1,251.3,268.9,452.5,289.4,200.1,269.0,506.5,67.7,391.2,388.8,250.4,227.4,99.2,329.4,283.2,56.7,186.0,414.1,335.6,235.9,385.5,321.9,325.7,158.4,216.8,53.8,106.0,350.3,239.2,303.6,261.7,277.0,271.2,172.0,304.7,243.9,247.7,302.2,138.9,241.0,35.6
OX,251.7,333.4,480.1,592.2,205.8,183.6,471.2,187.9,173.2,415.9,168.4,224.2,134.0,445.9,363.4,406.9,552.3,72.5,208.7,446.4,235.0,180.4,223.3,302.7,401.9,261.6,159.5,123.1,540.4,110.6,147.8,179.2,198.4,179.9,371.1,101.4,191.1,73.1,651.5,84.1,114.2,1839.9,674.2,400.7,526.7,387.3,91.8,627.8,130.5,324.7,118.2,222.4,151.4,379.2,255.8,179.7,213.6,125.1,131.8,96.0,10.0,103.9,249.9,54.5,109.2,267.9,61.7,536.0,102.5,128.0,588.1,281.2,151.7,289.3,133.1,382.4,0.0,606.8,581.6,407.1,150.6,136.7,522.1,171.2,550.2,149.0,101.8,245.4,253.7,154.0,200.7,503.6,176.3,345.0,248.2,116.0,263.3,249.3,135.6,223.0,489.6,144.6,87.3,134.2,275.1,165.6,302.3,211.5,158.8,572.4,136.4,206.5,530.2,104.0,500.6,113.2,207.4,177.1,161.2,452.3,75.3,397.4
PH,593.6,283.3,169.5,65.6,536.4,573.4,209.6,800.9,491.0,187.4,728.6,730.0,529.6,218.8,256.2,225.8,101.8,580.2,714.5,231.7,520.9,497.6,764.5,322.7,243.7,584.8,698.0,737.4,197.4,694.9,533.5,782.2,529.0,650.1,251.4,658.9,555.2,610.7,55.4,621.7,651.8,1821.1,34.5,232.0,212.4,353.3,649.3,124.4,668.1,292.8,728.2,534.1,538.9,370.2,495.5,736.5,754.8,674.1,741.8,563.4,594.3,688.2,533.7,592.1,646.8,600.1,599.3,61.4,640.1,598.2,90.9,436.4,766.0,391.0,744.9,327.7,584.2,0.0,84.4,294.4,764.9,554.3,168.3,766.3,49.5,524.7,572.0,751.2,370.7,719.0,766.0,149.8,486.2,268.6,588.2,586.2,360.1,489.0,724.4,638.6,159.0,725.2,624.9,628.7,483.6,502.9,381.6,409.0,653.3,130.3,606.6,552.6,176.4,577.0,188.9,607.7,549.6,496.5,605.2,227.7,544.0,304.1
PJ,564.0,260.2,146.4,50.8,506.7,507.9,186.5,749.1,504.3,164.3,662.1,810.0,506.5,198.2,230.3,202.7,108.7,523.7,794.5,208.6,600.9,462.7,733.1,299.6,220.6,548.8,778.0,684.3,174.3,671.8,478.9,740.4,499.3,627.0,228.3,597.2,532.1,587.6,135.4,598.6,632.3,1901.1,107.7,208.9,186.1,291.6,587.6,64.2,645.0,269.7,632.7,614.1,515.8,330.2,472.4,674.8,723.4,620.9,646.3,540.3,571.2,665.1,519.5,569.0,623.7,580.2,576.2,38.3,617.0,575.1,6.5,400.7,712.9,351.0,647.6,297.1,561.1,80.1,0.0,271.3,711.8,531.2,123.3,732.4,91.2,495.0,548.9,831.2,347.6,657.3,668.7,126.7,507.4,245.5,560.5,563.1,337.0,465.9,696.8,615.5,135.9,659.1,601.8,605.6,460.5,496.7,341.6,385.9,630.2,107.2,583.5,480.8,112.6,551.1,165.8,584.6,531.7,466.8,582.1,204.6,520.9,281.0
PN,333.6,124.3,155.1,286.0,227.3,256.8,153.2,480.1,261.1,109.7,418.9,493.2,263.3,98.9,109.1,68.5,246.1,280.5,477.7,72.4,308.2,211.6,524.0,93.6,147.6,305.6,477.5,441.1,190.6,428.6,235.7,471.4,234.7,383.8,70.4,367.8,288.9,344.4,315.7,355.4,385.5,1927.8,374.9,62.3,202.0,20.2,358.2,310.0,431.5,115.6,389.5,295.6,272.6,79.1,220.3,445.4,480.2,391.5,403.1,297.1,328.0,421.9,344.6,325.8,380.5,355.5,333.0,229.8,373.8,331.9,324.5,106.9,443.9,99.9,404.4,25.7,317.9,300.6,275.4,0.0,456.8,288.0,223.5,489.2,244.0,236.8,305.7,543.2,104.4,427.9,425.5,205.0,264.2,135.9,346.6,319.9,93.8,222.7,453.6,372.3,190.5,415.9,358.6,362.4,195.1,253.5,90.5,142.7,387.0,240.2,340.3,297.7,231.6,307.9,126.6,341.4,280.6,279.8,338.9,93.5,277.7,9.6
