from_stop,AE,AL,AM,AQ,BA,BE,BH,BI,BM,BP,BS,CJ,CM,CV,DN,DP,DY,ED,EG,EJ,EY,FB,FF,FI,FV,GB,GE,GT,HP,IH,IJ,IV,JD,JG,KG,KK,KQ,LE,LG,LK,LW,LX,MM,MP,MS,NA,NS,NY,OP,OQ,PF,PX,QP,QQ,QT,QV,QY,RH,RL,RP,RT,SF,SI,TE,TP,TR,TU,UE,UO,UW,UZ,VF,VU,WG,WH,WJ,XF,XL,XR,YE,YK,YP,YR,YS,ZB,ZE,ZI,ZO,ZU,ZW,ZX
VU,140.9,124.9,143.0,61.6,193.3,96.9,10.4,153.8,213.4,199.6,201.4,231.8,85.6,202.7,63.5,216.1,210.2,18.6,192.0,89.8,224.4,209.8,180.7,167.4,122.0,100.4,106.3,205.1,157.3,112.8,128.5,87.2,101.1,86.4,123.7,80.3,77.6,97.6,180.5,153.2,102.5,102.0,17.3,220.8,206.0,203.6,1951.1,136.7,133.9,216.0,242.9,158.1,90.3,111.8,88.9,184.0,145.3,41.4,78.1,208.6,140.2,138.6,101.7,160.2,129.8,172.9,179.8,208.4,148.0,151.4,143.0,214.8,0.0,185.9,225.3,210.7,187.8,162.7,89.8,179.6,52.2,65.4,34.4,174.1,60.3,116.4,189.3,224.1,187.7,103.6,203.6
WG,252.9,150.4,90.4,236.7,352.0,157.7,202.5,110.8,83.6,69.8,71.6,157.9,115.4,150.1,183.1,80.7,157.6,169.9,69.0,261.8,94.6,370.0,89.7,253.3,284.6,104.5,220.2,417.2,173.8,300.9,94.2,279.3,293.2,281.5,117.2,221.1,251.8,318.5,80.5,264.1,281.0,294.1,214.5,178.5,33.9,335.5,2157.2,275.8,283.4,146.4,113.1,261.8,211.1,83.2,281.0,376.1,313.5,149.8,299.0,367.3,174.3,41.3,268.6,185.7,70.5,32.9,199.6,78.6,352.5,300.3,250.0,393.4,192.0,0.0,151.4,230.5,52.1,89.2,291.7,127.0,256.1,271.4,226.5,9.0,252.4,308.7,325.6,131.2,347.9,88.9,74.4
WH,167.1,118.6,84.7,197.5,284.2,132.3,244.6,85.4,90.2,83.8,103.6,6.4,157.3,82.3,157.7,124.4,89.8,212.0,162.1,176.0,108.6,302.2,50.4,185.5,198.8,144.3,136.5,334.3,88.0,337.6,172.4,298.7,238.8,195.7,167.6,181.9,204.9,275.7,173.6,196.3,213.2,320.6,256.6,54.7,180.1,256.9,2078.6,208.0,210.7,31.9,145.1,185.1,171.9,123.0,292.1,395.4,245.7,191.9,256.2,299.5,148.9,123.8,190.3,107.8,110.3,124.9,113.8,92.6,273.9,232.5,182.2,325.6,234.1,146.1,0.0,144.7,198.3,191.4,219.1,74.5,216.9,232.2,268.6,134.3,294.5,254.3,247.0,42.9,280.1,128.7,65.7
WJ,125.3,91.8,150.6,192.7,197.5,119.8,232.1,121.4,219.9,190.8,210.6,146.4,190.5,99.5,145.2,237.5,107.0,199.5,269.1,167.2,215.6,215.5,157.4,98.8,146.1,205.3,127.7,260.5,61.2,274.3,233.4,211.7,194.3,186.3,228.6,173.1,151.4,200.6,280.6,109.6,126.5,233.9,238.9,109.9,271.0,197.4,2019.1,124.4,128.9,161.6,252.1,107.3,163.1,188.9,224.8,315.9,159.0,179.4,220.1,212.8,136.4,189.7,188.9,81.0,176.2,235.6,36.0,199.6,203.4,155.6,95.5,238.9,221.6,237.0,153.1,0.0,289.2,267.6,137.2,111.7,208.1,221.3,270.7,225.2,241.6,209.8,193.5,169.7,192.8,194.6,172.7
XF,299.6,197.1,137.1,236.0,398.7,204.4,216.4,157.5,130.3,116.5,118.3,204.6,120.4,196.8,172.7,88.1,204.3,183.8,66.3,277.9,110.0,416.7,136.4,300.0,331.3,104.6,215.5,410.2,220.5,314.8,66.1,293.5,307.1,274.5,89.1,216.4,265.7,302.7,54.8,310.8,290.6,308.0,223.2,225.2,18.1,382.2,2157.1,325.6,330.1,193.1,154.0,308.5,206.4,129.9,294.9,390.0,360.2,163.7,283.2,414.0,221.0,88.0,257.7,232.4,117.2,83.3,246.3,125.3,353.1,356.8,296.7,440.1,205.9,46.6,198.1,277.2,0.0,37.0,277.9,173.7,240.3,253.5,240.4,55.6,266.3,322.6,394.7,177.9,394.6,135.6,121.1
XL,264.0,211.5,171.2,202.6,368.5,176.7,187.0,171.9,145.3,100.0,133.3,201.6,91.0,229.2,143.3,59.4,236.7,154.4,29.2,248.5,75.2,368.5,133.4,290.5,280.7,75.2,186.1,381.8,243.9,285.4,102.6,263.8,277.7,245.1,53.0,187.0,236.3,273.3,17.7,311.9,261.2,278.6,199.0,228.1,66.7,383.9,2127.7,292.3,292.6,203.8,119.2,282.0,177.0,109.4,265.5,360.6,321.9,134.3,253.8,383.8,235.4,134.2,234.5,246.8,127.4,125.8,266.4,91.2,323.7,316.8,329.1,390.5,176.5,92.8,195.1,297.3,48.5,0.0,250.5,206.1,210.9,226.2,211.0,101.8,236.9,293.2,374.0,192.9,346.4,101.2,118.1
XR,81.5,172.5,212.3,60.4,119.9,144.5,115.6,201.4,280.7,268.9,268.7,214.0,154.9,163.0,132.8,283.4,155.5,85.9,261.3,32.4,293.7,117.9,229.8,105.7,59.3,169.7,114.5,172.5,146.8,194.7,197.8,132.1,92.1,49.0,193.0,81.1,12.1,121.0,247.8,90.5,10.6,154.3,128.0,177.5,275.3,111.7,1933.4,44.8,74.5,229.2,312.2,100.7,91.1,181.1,144.5,250.2,79.4,108.7,109.5,133.2,185.8,205.9,96.3,156.3,199.1,242.2,152.6,275.7,123.8,76.0,51.1,141.3,105.1,255.2,220.7,163.9,257.1,232.0,0.0,179.3,73.0,86.2,139.9,243.4,162.0,107.4,113.9,237.3,91.9,170.9,250.7
YE,125.8,77.3,38.8,156.2,224.9,104.4,207.4,57.5,108.1,95.8,115.6,65.6,111.4,23.0,129.8,136.4,30.5,174.8,174.1,134.7,120.6,242.9,62.4,126.2,157.5,98.4,95.2,290.1,46.7,296.3,126.5,239.4,197.5,154.4,121.7,140.6,163.6,228.0,178.5,137.0,153.9,261.3,233.4,51.4,159.2,208.4,2030.1,148.7,156.3,49.8,157.1,134.7,130.6,77.1,250.8,346.9,186.4,154.7,214.9,240.2,121.0,77.9,149.0,66.5,64.4,122.0,72.5,104.6,225.4,173.2,122.9,266.3,196.9,125.2,59.1,103.4,177.4,160.7,164.6,0.0,175.6,190.9,231.4,113.4,269.0,213.0,198.5,60.8,220.8,82.8,77.7
YK,111.9,124.9,182.7,14.8,176.0,96.9,88.1,153.8,253.1,223.2,241.1,219.9,125.3,173.0,89.2,255.8,180.5,58.3,231.7,61.0,248.0,181.0,189.8,138.4,93.2,140.1,68.9,169.8,152.7,147.5,168.2,139.3,83.8,57.6,163.4,33.5,48.8,62.3,220.2,124.4,73.7,154.7,79.3,183.4,245.7,174.8,1945.2,107.9,105.1,235.1,282.6,129.9,43.5,151.5,97.3,236.7,113.6,81.1,42.8,191.3,140.2,178.3,48.7,160.2,169.5,212.6,158.5,232.0,112.7,134.1,114.2,179.5,77.5,225.6,226.6,189.4,227.5,202.4,61.0,185.2,0.0,13.2,91.2,213.8,121.0,99.1,172.0,243.2,158.3,143.3,205.1
YP,125.1,140.2,198.0,28.0,160.7,112.2,72.8,169.1,266.3,238.5,256.4,235.2,140.6,188.3,104.5,269.0,195.8,71.5,247.0,74.2,263.3,187.6,197.5,153.7,103.2,155.4,82.1,154.5,168.0,132.2,183.5,123.7,68.5,72.9,176.6,48.8,64.1,49.1,233.4,139.7,89.0,139.4,64.0,196.6,261.0,128.1,1929.9,123.0,120.4,250.4,297.9,144.4,58.8,166.8,82.0,221.4,98.3,96.4,27.5,176.0,153.4,193.6,64.0,161.6,184.8,227.9,173.8,245.2,97.4,120.9,129.5,164.2,80.4,240.9,241.9,202.6,240.7,217.7,76.3,200.5,13.2,0.0,75.9,229.1,107.8,83.8,156.7,258.5,170.3,156.5,218.3
YR,158.1,155.8,173.9,96.1,165.2,127.8,23.2,184.7,244.3,230.5,232.3,262.7,116.5,233.6,94.4,253.1,241.1,49.5,222.9,107.0,255.3,207.9,219.2,184.6,139.2,131.3,137.2,178.0,188.2,74.3,159.4,52.7,73.0,86.7,154.6,109.6,108.5,69.5,211.4,170.4,133.4,67.5,14.4,251.7,236.9,182.0,1916.6,150.7,151.1,246.9,273.8,176.1,121.2,142.7,54.4,149.5,120.8,72.3,50.0,180.5,171.1,169.5,132.6,191.1,160.7,206.8,210.7,239.3,119.9,116.0,173.9,186.7,30.8,216.8,256.2,241.6,218.7,193.6,122.7,210.5,83.1,70.3,0.0,205.0,25.8,88.5,146.9,257.9,218.6,134.5,234.5
YS,243.9,141.4,81.4,227.7,343.0,148.7,193.5,101.8,74.6,60.8,62.6,148.9,106.4,141.1,174.1,92.5,148.6,160.9,80.8,252.8,85.6,361.0,80.7,244.3,275.6,95.5,211.2,393.1,164.8,291.9,85.2,270.3,284.2,272.5,108.2,212.1,242.8,309.5,92.3,255.1,272.0,285.1,205.5,169.5,45.7,326.5,2148.2,266.8,274.4,137.4,104.1,252.8,202.1,74.2,272.0,367.1,304.5,140.8,290.0,358.3,165.3,32.3,259.6,176.7,61.5,23.9,190.6,69.6,343.5,291.3,241.0,384.4,183.0,11.7,142.4,221.5,63.9,101.0,282.7,118.0,247.1,262.4,217.5,0.0,243.4,299.7,316.6,122.2,338.9,79.9,65.4
ZB,187.2,184.9,203.0,121.6,155.1,156.9,52.3,213.8,273.4,259.6,261.4,291.8,145.6,262.7,123.5,276.1,252.3,78.6,252.0,136.1,284.4,182.9,240.7,213.7,163.0,160.4,166.3,150.0,217.3,48.4,188.5,27.1,80.1,115.8,183.7,140.3,137.6,73.8,240.5,199.5,162.5,41.6,47.2,280.8,266.0,121.3,1890.7,119.5,180.2,276.0,302.9,204.4,150.3,171.8,28.9,123.6,84.9,101.4,79.1,170.4,200.2,198.6,155.5,206.3,189.8,232.9,239.8,268.4,92.7,113.2,147.9,159.5,59.8,245.9,285.3,270.7,247.8,222.7,149.8,239.6,112.2,99.4,29.0,234.1,0.0,65.4,136.8,287.0,205.8,163.6,263.6
ZE,120.7,214.6,255.4,109.0,103.0,190.9,110.1,244.2,324.7,312.4,319.2,251.2,203.6,204.3,181.5,333.9,211.8,136.6,310.0,69.4,337.2,145.9,271.4,147.2,96.5,218.4,162.9,127.7,184.0,87.2,246.5,79.9,14.8,49.3,241.7,127.7,75.4,31.7,298.5,133.0,100.3,94.4,101.5,214.5,324.0,119.8,1902.9,83.7,113.7,266.4,360.9,137.9,137.5,229.8,37.0,176.4,71.3,159.2,51.0,118.3,234.2,256.6,142.7,193.5,247.8,290.9,189.8,321.0,70.6,61.1,113.8,137.2,117.7,303.9,257.9,220.5,305.8,280.7,87.6,216.5,93.9,80.7,89.8,292.1,60.9,0.0,99.2,274.5,171.9,221.4,294.1
ZI,160.7,259.4,243.7,168.1,4.0,240.4,155.1,262.4,313.0,300.7,320.5,247.1,248.4,181.7,226.3,357.2,174.2,181.4,354.8,114.4,325.5,60.9,259.7,124.4,141.3,263.2,212.3,96.2,228.8,169.6,291.3,121.0,75.8,94.1,296.3,177.0,110.5,109.9,353.1,109.2,85.6,127.1,146.3,208.4,364.1,35.0,1856.7,39.5,128.5,254.7,265.9,133.7,187.0,274.6,119.4,173.5,58.5,204.2,115.4,33.5,283.7,292.6,192.2,238.3,269.3,330.6,218.7,309.5,52.0,19.1,69.8,62.8,162.7,330.1,253.8,192.4,360.4,325.5,98.3,204.8,153.2,130.2,170.2,318.3,141.1,91.1,0.0,262.8,86.9,266.4,282.6
ZO,203.7,142.1,87.2,228.4,302.8,149.4,251.8,102.5,50.1,93.5,81.7,66.8,159.8,104.9,174.8,140.2,112.4,219.2,171.8,216.6,118.3,320.8,71.7,208.1,234.1,146.8,177.1,352.9,128.6,354.2,174.9,321.0,279.4,232.3,170.1,208.8,241.5,305.9,183.3,218.9,235.8,343.2,258.6,115.1,171.8,290.3,2112.0,229.7,234.2,15.2,123.2,217.4,202.8,125.5,332.0,424.8,268.3,203.1,290.7,322.1,162.0,122.3,238.3,138.1,112.8,120.3,154.4,105.2,303.3,264.9,200.8,348.2,241.3,137.8,60.3,185.3,192.9,201.1,248.5,81.8,243.8,261.0,279.8,126.0,301.7,294.7,302.8,0.0,298.8,131.2,78.8
ZU,173.1,279.4,272.2,166.0,58.6,251.4,224.3,290.9,338.2,329.2,345.7,275.6,261.8,210.2,239.7,372.6,202.7,194.8,368.2,136.0,354.0,22.0,295.8,146.6,168.9,276.6,223.4,76.6,253.7,222.5,304.7,179.8,145.0,152.6,296.6,188.6,121.0,152.2,353.4,137.7,96.1,202.6,214.9,233.6,382.2,107.7,1942.8,110.6,153.7,283.2,298.2,158.4,198.0,288.0,177.0,282.6,127.7,217.6,172.3,40.0,291.4,308.0,209.4,273.5,297.8,352.1,247.2,338.6,108.3,87.7,98.9,46.0,210.7,358.6,282.3,211.7,364.0,338.9,106.8,233.3,176.6,195.2,229.1,346.8,200.0,160.5,69.1,294.2,0.0,280.4,307.8
ZW,217.3,114.8,54.8,144.1,316.4,122.1,124.5,75.2,143.2,129.4,131.2,143.6,28.5,114.5,80.8,131.2,122.0,91.9,107.1,186.0,153.1,334.4,100.1,217.7,218.2,15.5,123.6,320.5,138.2,226.9,43.6,201.3,215.2,182.6,38.8,124.5,173.8,210.8,95.6,228.5,198.7,216.1,131.3,142.9,121.1,299.9,2065.2,243.3,247.8,127.8,172.7,226.2,114.5,8.2,203.0,298.1,277.9,71.8,191.3,331.7,138.7,68.4,172.0,136.2,26.1,88.0,164.0,138.2,261.2,274.5,214.4,357.8,114.0,115.7,137.1,194.9,102.9,77.8,186.0,91.4,148.4,161.6,148.5,103.9,174.4,230.7,312.4,138.8,312.3,0.0,115.4
ZX,213.8,93.3,53.0,183.6,312.9,100.6,212.9,53.7,49.8,18.0,37.8,83.4,125.6,111.0,126.0,64.7,118.5,180.3,96.3,222.7,42.8,330.9,22.9,214.2,240.2,112.6,163.1,363.0,125.7,315.3,120.4,289.7,282.9,242.4,135.9,164.0,242.4,261.4,107.8,225.0,241.9,304.5,219.7,131.7,114.3,296.4,2118.1,239.8,244.3,85.6,79.3,222.7,154.0,91.3,296.4,386.5,274.4,160.2,241.9,328.2,117.2,85.5,211.5,128.6,78.6,59.1,148.2,26.8,311.8,271.0,210.9,354.3,202.4,80.3,76.9,179.1,132.5,125.6,252.6,87.9,199.0,212.2,236.9,68.5,262.8,298.4,308.9,96.6,304.9,97.0,0.0
