from_stop,AA,AE,AK,AL,AN,AU,BB,BJ,BU,CU,DN,DX,EB,ER,EY,FA,FL,FM,FS,FV,GA,GK,GL,GM,GZ,HE,HO,IB,IF,II,IJ,IS,IW,IY,JT,KF,KJ,KY,LD,LP,MH,NA,NF,NH,NL,NQ,NR,OL,OQ,OS,OV,OZ,PJ,PM,PO,PZ,QC,QM,QN,QZ,RD,RG,RH,RJ,RS,RU,SE,SQ,SS,ST,SW,SX,SY,SZ,TG,TH,TY,UC,UD,UI,UP,UR,VA,VC,VJ,VL,VO,VR,VY,WA,WB,WH,WK,XA,XE,XF,XJ,XR,XS,XW,XX,XY,YE,YP,ZP,ZU
RG,132.7,202.5,185.7,54.6,54.9,192.8,250.1,2058.0,196.1,113.7,146.9,135.0,174.1,136.6,154.1,92.0,137.8,156.9,153.8,31.2,185.2,110.6,125.7,54.7,140.1,151.9,194.1,137.8,114.3,156.8,243.4,197.1,184.8,148.4,49.4,145.7,157.9,129.6,115.0,182.6,266.3,33.9,128.4,173.4,90.7,161.9,182.0,174.4,191.9,230.5,62.0,184.2,225.4,116.9,240.0,202.7,196.5,142.9,229.7,164.9,102.0,0.0,248.9,180.5,53.6,132.7,222.0,127.2,181.7,164.9,116.9,82.0,202.4,31.6,177.4,200.6,197.4,120.7,126.1,107.3,219.3,40.9,213.7,160.1,140.7,216.7,162.5,14.7,112.8,61.7,157.5,105.2,104.7,124.7,188.6,120.3,198.0,45.3,226.3,238.7,119.1,196.5,156.4,87.1,142.6,28.9
RH,146.9,322.6,281.8,236.5,210.7,120.1,74.3,2199.7,328.9,345.4,344.9,319.8,391.4,100.8,209.6,152.5,209.3,220.4,381.7,237.4,55.1,342.3,357.4,273.5,136.3,346.0,416.1,369.5,310.9,162.8,160.3,207.9,298.9,343.4,213.0,377.4,352.0,348.0,129.2,109.9,17.4,265.6,199.9,165.6,168.9,292.9,309.8,101.7,149.4,57.1,264.7,381.3,346.1,170.4,363.8,434.4,300.6,126.5,94.8,396.6,229.4,231.6,0.0,284.6,34.6,364.4,337.2,141.4,127.0,176.2,120.5,177.6,306.5,201.6,314.4,314.7,429.1,192.2,179.7,119.8,333.4,218.7,445.4,87.4,372.4,144.0,292.7,246.4,342.0,181.8,153.7,158.8,241.9,330.1,303.2,332.4,122.8,277.0,51.3,11.1,219.0,310.6,388.1,141.1,353.3,229.2
RJ,189.7,88.2,53.5,235.9,247.8,255.5,297.6,2076.4,100.6,149.3,116.6,91.5,163.1,225.4,196.9,161.3,165.5,184.6,192.9,204.5,229.9,134.2,138.2,221.6,174.7,178.9,174.9,179.4,58.1,181.2,249.3,226.3,70.6,115.1,155.2,181.6,184.9,153.2,172.0,245.3,311.0,200.8,156.1,230.4,145.1,64.6,81.5,229.7,251.7,279.5,228.9,138.2,114.5,159.2,130.0,244.3,8.4,203.1,274.4,172.3,204.1,181.2,293.6,0.0,275.1,168.6,107.4,184.2,231.6,221.9,245.1,153.8,21.8,212.9,86.1,86.4,206.3,148.4,168.5,216.4,96.3,194.9,255.3,222.8,181.7,279.4,57.5,181.6,113.7,190.6,192.1,147.5,191.6,101.8,74.9,203.0,260.7,128.3,271.0,283.4,144.0,82.3,182.4,203.9,178.2,174.2
RS,130.8,306.5,265.7,90.4,194.6,104.0,40.2,2165.0,324.3,329.3,328.8,303.7,375.3,84.7,193.5,136.4,193.2,204.3,150.9,221.3,238.2,326.2,122.8,58.3,120.2,311.3,401.8,353.4,97.4,146.7,158.0,301.7,282.8,327.3,131.7,363.8,317.3,81.0,113.1,94.7,74.4,249.5,183.8,149.5,152.8,276.8,293.7,85.6,133.3,20.6,244.7,169.0,330.0,154.2,341.3,418.3,153.2,110.4,259.9,380.5,194.7,105.7,57.0,268.5,0.0,348.3,321.1,125.3,275.8,160.1,104.4,161.5,290.4,128.6,298.3,167.3,413.0,176.1,191.4,103.7,186.0,202.6,429.3,226.4,356.3,127.9,131.4,230.5,325.9,165.7,137.6,170.5,207.2,314.0,287.1,297.7,109.2,260.9,17.2,46.8,201.4,294.5,372.0,152.4,139.7,214.9
RU,287.7,126.8,126.0,206.6,220.0,347.8,407.9,1941.2,68.9,93.4,71.4,94.7,62.4,291.6,309.5,247.0,292.8,311.9,74.1,200.6,340.2,123.2,50.2,174.5,295.1,122.2,83.8,26.1,116.1,311.8,382.8,352.1,144.5,72.9,204.4,13.0,128.2,104.2,270.0,337.6,421.3,173.3,283.4,328.4,245.7,121.6,106.5,322.0,346.9,389.8,181.8,66.2,99.0,271.8,116.7,91.0,179.5,297.9,376.1,53.2,183.6,154.9,403.9,171.1,365.4,0.0,146.0,282.2,336.7,319.9,271.9,237.0,193.0,186.6,101.9,160.3,85.7,275.7,281.1,262.3,179.0,195.9,102.0,315.1,85.3,371.7,128.7,167.8,72.5,216.7,312.5,260.1,171.1,84.4,113.1,137.4,353.0,153.0,381.3,393.7,274.1,156.2,44.7,242.1,96.2,186.0
SE,246.4,15.1,49.6,284.7,285.0,312.2,353.2,2056.1,92.6,168.1,80.8,108.6,141.2,282.1,254.4,218.0,222.2,241.3,155.4,260.7,288.3,201.0,100.7,280.0,231.4,232.8,153.6,157.4,137.2,237.9,254.5,283.0,67.7,77.6,208.1,164.6,238.8,216.5,228.7,302.9,367.7,257.5,212.8,289.2,201.8,81.7,44.0,293.8,308.4,331.9,285.6,131.1,90.2,215.8,74.8,222.3,109.0,259.8,331.1,150.4,294.2,230.0,352.0,93.0,193.3,149.1,0.0,240.9,288.3,278.6,301.8,210.5,114.9,261.7,48.6,83.5,183.2,205.1,225.2,273.1,102.2,248.3,233.3,281.2,142.3,336.1,81.5,238.5,130.8,249.0,248.8,204.3,281.7,118.9,37.4,248.0,317.4,185.0,328.5,340.1,200.7,79.4,160.5,260.6,195.3,232.2
SQ,5.4,231.3,196.6,140.0,125.8,107.5,149.6,2164.8,243.7,248.9,259.7,234.6,306.2,77.4,65.7,67.3,91.0,78.9,289.0,140.9,81.9,245.8,260.9,177.0,51.1,287.1,330.7,273.0,219.2,64.1,116.1,62.2,213.7,258.2,127.8,280.9,293.1,264.8,12.2,97.3,163.0,169.1,101.2,46.1,83.7,207.7,224.6,81.7,67.4,131.5,168.2,294.2,257.6,82.9,261.1,337.9,207.8,55.1,126.4,300.1,172.2,135.1,145.6,199.4,127.1,267.9,250.5,0.0,83.6,37.6,97.1,92.4,221.3,105.1,229.2,229.5,332.6,107.0,73.6,68.4,227.4,133.5,348.9,74.8,277.8,131.4,200.6,149.9,248.0,96.6,68.5,73.5,184.7,244.9,218.0,255.5,94.9,180.5,123.0,135.4,113.5,225.4,291.6,37.9,256.8,144.0
SS,74.3,280.2,244.0,196.4,170.6,52.0,117.5,2195.0,299.2,305.3,307.1,282.0,353.6,45.0,100.1,114.7,125.8,113.7,345.4,197.3,67.5,302.2,317.3,233.4,98.5,341.3,378.3,329.4,273.1,98.9,76.9,102.0,261.1,305.6,175.2,337.3,347.3,321.2,91.4,61.2,148.6,225.5,136.0,41.5,131.1,255.1,272.0,67.3,22.3,112.8,224.6,343.5,291.4,117.6,278.4,394.3,238.0,61.3,77.4,356.5,224.7,191.5,131.2,246.8,112.7,324.3,259.8,79.8,0.0,52.1,64.7,139.8,232.8,161.5,276.6,254.1,389.0,144.2,108.4,82.0,237.3,180.9,405.3,60.4,332.3,64.2,257.9,206.5,304.2,144.0,115.9,121.0,237.2,292.3,265.4,311.9,36.7,236.9,109.4,121.0,148.3,257.8,348.0,103.3,334.2,193.2
ST,22.1,259.0,224.3,167.7,153.5,72.5,135.2,2192.5,271.4,276.6,287.4,262.3,333.9,105.1,48.3,89.9,73.6,61.5,316.7,168.6,109.6,273.5,288.6,204.7,76.3,314.8,358.3,300.7,246.9,46.7,111.2,61.2,241.4,285.9,155.5,308.6,320.8,292.5,39.8,82.6,190.7,196.8,83.8,8.5,111.4,235.4,252.3,98.2,29.7,153.3,195.9,321.6,282.1,65.5,261.7,365.6,235.5,59.6,97.9,327.8,199.9,162.8,173.3,227.1,154.8,295.6,252.2,27.6,62.1,0.0,124.8,120.1,223.5,132.8,256.9,244.8,360.3,92.0,56.2,95.2,228.0,161.2,376.6,102.5,305.5,96.4,228.3,177.6,275.7,119.2,93.7,77.2,212.4,272.6,245.7,283.2,57.2,208.2,150.7,163.1,96.1,248.5,319.3,65.6,305.5,171.7
SW,102.6,271.9,237.5,131.6,105.8,106.6,145.9,2130.2,292.7,240.5,273.7,261.8,300.9,19.6,162.9,108.2,165.0,176.1,280.6,132.5,81.0,237.4,252.5,168.6,92.0,276.5,320.9,264.6,241.1,118.5,141.7,163.6,254.6,275.2,168.7,272.5,282.5,256.4,84.9,96.4,162.1,160.7,155.6,106.3,124.6,248.6,265.5,80.8,87.1,128.7,159.8,311.0,298.5,126.1,313.1,329.5,256.3,82.2,125.5,291.7,159.9,126.7,144.7,240.3,180.4,259.5,291.4,97.1,64.7,116.9,0.0,133.3,262.2,96.7,270.1,270.4,324.2,147.9,135.4,75.5,289.1,132.3,340.5,73.9,267.5,129.0,248.4,141.5,239.6,123.0,109.4,114.5,172.4,251.5,258.9,247.1,101.5,172.1,122.8,134.5,174.7,266.3,283.2,96.8,269.4,152.3
SX,97.9,180.6,146.2,99.6,94.3,163.7,203.0,2157.7,204.8,208.5,198.7,175.1,242.8,133.6,90.3,69.5,55.7,74.8,248.6,102.0,138.1,205.4,220.3,138.1,82.9,255.6,253.4,232.6,161.1,89.4,208.6,134.5,163.3,197.2,69.4,240.5,261.6,224.4,80.2,153.5,219.2,142.1,46.3,138.6,8.6,157.3,174.2,137.9,159.9,185.8,129.3,232.7,210.5,67.5,228.2,297.5,165.0,111.3,182.6,252.0,142.4,94.7,201.8,149.0,148.4,227.5,200.1,92.4,139.8,130.1,153.3,0.0,170.9,71.0,178.8,179.1,284.8,38.6,76.7,124.6,197.8,41.0,308.5,131.0,235.5,187.6,160.1,122.9,197.3,65.7,100.3,55.8,153.0,185.4,167.6,215.1,168.9,140.1,179.2,191.6,83.4,175.0,262.1,112.1,237.4,73.5
SY,209.2,107.7,73.0,255.4,267.3,275.0,317.1,2095.9,120.1,168.8,136.1,111.0,182.6,244.9,216.4,180.8,185.0,204.1,212.4,224.0,249.4,153.7,157.7,241.1,194.2,198.4,194.4,198.9,77.6,200.7,227.4,245.8,90.1,134.6,174.7,201.1,204.4,172.7,191.5,264.8,330.5,220.3,175.6,249.9,164.6,84.1,101.0,249.2,271.2,299.0,248.4,157.7,128.5,178.7,108.1,263.8,12.0,222.6,293.9,191.8,223.6,200.7,313.1,19.5,294.6,188.1,98.6,203.7,251.1,241.4,264.6,173.3,0.0,232.4,105.6,91.2,225.8,167.9,188.0,235.9,74.4,214.4,274.8,242.3,201.2,298.9,77.0,201.1,133.2,210.1,211.6,167.0,211.1,121.3,94.4,222.5,280.2,147.8,290.5,302.9,163.5,94.9,201.9,223.4,197.7,193.7
SZ,101.0,232.8,214.5,34.8,23.2,161.1,218.4,2088.0,226.1,143.7,176.9,165.0,204.1,104.9,122.4,60.3,142.0,136.0,183.8,35.7,153.5,140.6,155.7,71.8,108.4,181.9,225.5,167.8,144.3,125.1,211.7,165.4,214.8,178.4,73.9,178.2,187.9,159.6,83.3,150.9,234.6,63.9,132.6,141.7,85.3,191.9,212.0,142.7,160.2,198.8,63.0,214.2,258.7,85.5,276.4,232.7,226.5,111.2,198.0,194.9,77.6,29.9,217.2,210.5,83.6,162.7,253.5,95.5,150.0,133.2,85.2,76.6,232.4,0.0,207.4,230.6,227.4,124.9,94.4,75.6,249.3,35.5,243.7,128.4,170.7,185.0,192.1,44.7,142.8,30.0,125.8,73.5,88.2,154.7,218.6,150.3,166.3,75.3,194.6,207.0,151.7,226.5,186.4,55.4,172.6,53.4
TG,241.0,25.3,42.5,236.0,236.3,306.8,346.1,2007.4,67.2,119.8,30.4,62.2,92.5,276.7,247.8,212.1,216.8,235.9,106.7,212.0,281.2,152.3,52.0,236.1,226.0,184.1,103.1,108.7,86.8,232.5,298.9,277.6,62.3,28.9,159.4,114.0,190.1,166.1,223.3,296.6,362.3,215.3,207.4,281.7,196.4,65.0,4.5,288.4,303.0,326.5,239.3,82.4,69.6,210.5,84.2,173.6,103.6,254.4,325.7,101.7,245.5,181.3,344.9,87.6,326.4,101.0,44.5,235.5,282.9,273.2,296.4,197.0,109.5,213.0,0.0,78.1,134.5,199.7,219.8,267.7,96.8,199.6,184.6,274.1,93.6,330.7,62.2,196.3,84.4,206.3,243.4,198.9,233.0,72.5,11.1,199.3,312.0,155.7,322.3,334.7,195.3,74.0,111.8,255.2,148.7,181.7
TH,218.9,77.8,43.1,255.1,255.4,284.7,324.0,2063.7,98.3,120.9,104.7,63.1,148.8,254.6,225.7,190.5,194.7,213.8,179.0,230.9,259.1,171.4,126.3,250.8,203.9,216.1,161.2,163.0,105.7,210.4,254.3,255.5,14.2,103.2,178.3,170.3,222.1,190.4,201.2,274.5,340.2,230.0,185.3,259.6,174.3,36.2,71.1,258.9,280.9,308.7,258.1,138.7,104.1,188.4,101.8,227.9,81.5,232.3,303.6,158.0,233.3,200.4,322.8,65.5,165.8,157.3,90.6,213.4,260.8,251.1,274.3,183.0,87.4,232.1,75.7,0.0,190.8,177.6,197.7,245.6,7.8,218.5,238.9,252.0,167.8,308.6,36.0,210.8,85.3,219.8,221.3,176.8,220.8,73.4,64.5,222.2,289.9,157.5,300.2,312.6,173.2,3.6,168.1,233.1,128.8,200.6
TY,335.5,163.8,180.4,257.4,269.3,395.6,455.7,1916.3,123.3,141.2,119.2,142.5,74.6,339.4,357.3,294.8,340.6,359.7,146.1,234.0,388.0,173.7,98.0,263.4,342.9,211.1,62.2,52.6,163.9,359.6,437.2,399.9,181.3,120.7,252.2,101.8,217.1,192.7,317.8,385.4,469.1,234.8,331.2,376.2,293.5,158.4,143.0,369.8,394.7,437.6,270.7,81.9,153.4,319.6,171.1,43.0,220.1,345.7,432.5,65.4,272.5,202.7,451.7,211.7,433.2,88.8,183.0,330.0,384.5,367.7,319.7,284.8,233.6,234.4,138.4,197.1,0.0,323.5,328.9,310.1,215.8,243.7,54.0,362.9,134.9,419.5,165.5,215.6,120.3,264.5,360.3,307.9,260.0,132.2,149.6,224.5,400.8,241.9,429.1,441.5,321.9,193.0,56.9,289.9,170.1,233.8
UC,94.0,197.0,162.3,139.8,146.1,159.8,201.9,2185.2,209.4,258.1,225.4,200.3,271.9,129.7,51.6,65.6,17.1,36.1,301.7,140.0,134.2,245.6,247.0,176.1,79.0,293.6,293.6,272.8,184.9,85.5,185.9,104.7,179.4,223.9,93.5,290.4,299.6,264.6,76.3,149.6,215.3,172.7,7.6,108.5,31.4,173.4,190.3,134.0,129.8,183.8,167.3,256.9,226.6,63.5,244.3,337.7,173.5,107.4,178.7,281.1,182.6,134.9,197.9,165.1,179.4,277.4,216.2,88.5,135.9,100.0,149.4,40.1,187.0,111.2,194.9,195.2,325.0,0.0,72.8,120.7,213.9,81.2,348.7,127.1,290.5,183.7,166.3,153.5,222.5,94.9,96.4,51.8,193.2,210.6,183.7,255.3,157.3,187.2,175.3,187.7,70.7,191.1,291.2,108.2,266.0,109.7
UD,80.0,215.6,180.9,140.1,114.3,138.8,185.1,2143.7,228.0,249.0,244.0,218.9,290.5,115.7,28.3,33.6,53.6,41.5,289.1,150.6,120.2,245.9,265.6,186.7,65.0,287.2,302.0,273.1,209.7,71.1,134.1,70.9,198.0,242.5,112.1,283.5,293.2,264.9,62.3,135.6,201.3,169.2,63.8,74.7,68.0,192.0,208.9,120.0,96.0,165.5,177.9,280.4,241.9,9.2,230.4,338.0,197.4,93.4,164.2,299.7,172.3,135.2,183.9,183.7,165.4,268.0,219.2,74.5,121.9,66.2,135.4,76.7,192.2,105.2,213.5,213.5,333.4,72.0,0.0,106.7,196.7,107.6,349.0,112.9,276.0,162.7,191.8,150.0,241.1,62.9,82.4,20.8,184.8,229.2,202.3,255.6,123.5,180.6,161.3,173.7,76.1,209.7,291.7,94.2,256.9,122.1
UI,73.9,243.5,208.8,123.8,109.6,105.9,148.0,2122.4,255.9,232.7,265.9,246.8,293.1,75.8,133.6,79.5,136.3,146.8,272.8,124.7,80.3,229.6,244.7,160.8,63.3,268.7,314.5,256.8,231.4,89.8,148.0,134.9,225.9,267.4,140.0,264.7,274.7,248.6,56.2,95.7,161.4,152.9,126.9,76.7,95.9,219.9,236.8,80.1,84.5,129.9,152.0,306.4,273.1,97.4,290.8,321.7,220.0,35.5,124.8,283.9,152.1,118.9,144.0,211.6,125.5,251.7,262.7,68.4,82.0,85.2,67.6,104.6,233.5,88.9,241.4,241.7,316.4,119.2,106.7,0.0,260.4,124.5,332.7,73.2,261.6,129.8,212.8,133.7,231.8,108.8,80.7,85.7,164.6,243.7,230.2,239.3,111.1,164.3,121.4,133.8,146.0,237.6,275.4,68.1,261.6,156.2
UP,235.7,87.8,59.9,271.9,272.2,301.5,340.8,2072.6,107.0,137.7,121.5,79.9,165.6,271.4,234.0,207.3,211.5,230.6,195.8,247.7,275.9,188.2,143.1,267.6,220.7,232.9,176.2,179.8,122.5,227.2,235.4,272.3,21.2,120.0,195.1,187.1,238.9,207.2,218.0,291.3,357.0,246.8,202.1,269.6,191.1,53.0,87.9,275.7,297.7,321.2,274.9,155.5,103.5,195.5,83.1,244.7,98.3,249.1,320.4,174.8,250.1,217.2,339.6,82.3,321.1,174.1,71.9,230.2,277.6,267.9,291.1,199.8,104.2,248.9,92.5,7.0,207.6,194.4,214.5,262.4,0.0,235.3,255.7,268.8,182.7,325.4,46.0,227.6,102.1,236.6,238.1,193.6,237.6,90.2,81.3,239.0,306.7,174.3,317.0,329.4,190.0,10.7,184.9,249.9,145.6,217.4
UR,131.0,222.0,187.3,58.5,64.8,191.1,246.9,2111.7,220.0,167.4,181.3,157.7,225.4,134.9,131.4,74.1,96.8,115.9,207.5,59.4,179.2,164.3,179.4,95.5,124.0,205.6,236.0,191.5,137.2,130.5,241.7,175.6,203.4,179.8,52.0,199.4,211.6,183.3,113.3,180.9,260.3,87.6,87.4,171.7,49.7,180.5,202.5,165.3,190.2,228.8,86.7,199.3,250.1,98.9,267.8,256.4,198.5,141.2,223.7,218.6,101.3,53.6,242.9,190.1,224.4,186.4,241.2,125.5,180.0,163.2,115.2,41.0,212.0,29.9,197.9,219.2,251.1,79.7,108.2,105.6,237.9,0.0,267.4,158.4,196.3,215.0,187.6,68.4,179.9,60.0,141.4,87.2,111.9,168.0,208.7,174.0,196.3,99.0,220.3,232.7,121.7,215.1,210.1,85.4,196.3,54.3
VA,368.7,208.3,225.0,252.6,266.0,421.3,454.5,1895.4,167.9,171.1,152.4,175.7,107.8,372.6,390.5,328.0,373.8,392.9,120.1,246.6,400.4,169.2,131.2,220.5,376.1,168.2,95.4,85.8,197.1,392.8,478.7,433.1,225.5,153.9,285.4,120.4,174.2,150.2,351.0,411.1,485.9,219.3,364.4,409.4,326.7,202.6,187.5,395.5,427.9,436.4,227.8,132.9,194.7,352.8,215.7,10.9,265.2,378.9,422.1,98.6,229.6,235.9,468.5,256.8,411.4,122.0,227.5,363.2,417.7,400.9,352.9,318.0,278.7,267.6,182.9,241.3,50.9,356.7,362.1,343.3,260.0,276.9,0.0,388.6,131.3,445.2,209.7,239.7,153.5,297.7,393.5,341.1,217.1,165.4,194.1,183.4,426.5,199.0,427.9,458.3,355.1,237.2,90.1,323.1,163.2,267.0
VC,100.3,269.6,235.2,171.9,146.1,32.6,92.8,2142.7,290.4,280.8,298.3,273.2,341.2,54.2,143.1,105.9,162.7,156.7,320.9,172.8,27.9,277.7,292.8,208.9,89.7,289.0,361.2,304.9,264.3,116.2,97.7,136.6,252.3,296.8,166.4,312.8,295.0,291.0,82.6,22.4,109.0,201.0,153.3,84.5,122.3,246.3,263.2,6.8,65.3,73.2,200.1,334.7,296.2,123.7,305.6,369.8,254.0,79.9,72.4,332.0,172.4,167.0,91.6,238.0,73.1,299.8,289.1,94.8,64.6,95.1,73.9,131.0,259.9,137.0,267.8,268.1,364.5,145.6,132.9,73.2,271.9,172.1,380.8,0.0,307.8,56.5,246.1,181.8,279.9,135.2,107.1,112.2,184.9,283.5,256.6,275.4,37.8,212.4,69.8,81.4,172.4,264.0,323.5,94.5,288.7,184.4
VJ,297.6,125.3,136.4,172.9,197.9,341.6,372.0,1939.1,121.5,91.4,61.4,104.6,108.5,301.5,321.8,256.9,302.7,321.8,11.2,166.9,320.7,89.5,40.2,140.8,305.0,88.5,128.5,72.2,117.6,321.7,393.0,360.1,152.5,64.8,212.4,82.6,94.5,72.4,279.9,332.3,406.2,139.6,293.3,340.4,255.6,131.5,98.4,323.2,354.9,356.7,148.1,116.7,161.2,281.6,174.4,137.1,195.6,307.8,344.3,99.3,149.9,162.9,388.8,181.5,110.7,67.1,139.9,292.1,344.7,329.8,281.8,245.0,203.4,194.6,91.9,168.3,131.8,285.6,291.0,272.2,187.0,205.8,147.1,310.8,0.0,365.5,128.7,159.7,82.4,224.7,320.5,268.2,137.4,94.3,105.0,103.7,346.8,119.3,349.0,378.6,282.1,166.1,90.8,250.1,64.4,193.7
VL,117.7,296.7,284.0,220.7,206.5,14.9,94.8,2191.5,331.1,329.6,347.1,322.0,390.0,101.2,147.0,154.7,172.3,160.2,369.7,221.6,76.7,326.5,341.6,257.7,138.5,337.8,411.4,353.7,306.6,140.4,76.3,125.8,281.5,345.6,215.2,361.6,343.8,339.8,131.4,26.2,157.8,249.8,182.5,90.1,171.1,295.1,312.0,41.8,68.8,112.9,248.9,381.6,304.6,154.0,284.2,418.6,258.0,99.7,59.5,380.8,221.2,215.8,140.4,265.5,121.9,348.6,274.7,123.2,56.1,98.6,120.9,179.8,246.0,185.8,316.6,267.3,413.3,190.7,144.7,122.0,250.5,220.9,429.6,48.7,358.5,0.0,288.0,230.6,328.7,184.0,155.9,160.9,233.7,332.3,305.4,324.2,41.3,261.2,117.8,130.2,168.7,271.0,372.3,143.3,358.5,231.4
VO,219.3,61.2,23.5,216.0,216.3,288.1,324.4,2024.6,81.7,81.8,65.6,27.0,109.7,258.0,226.1,190.9,195.1,214.2,139.9,194.8,259.5,132.3,87.2,215.9,204.3,177.0,123.3,123.9,66.6,210.8,292.4,258.9,22.6,64.1,139.2,131.2,186.0,151.3,201.6,274.9,340.6,195.1,185.7,260.9,174.7,0.2,51.5,259.3,281.3,304.8,219.1,99.6,87.8,192.2,99.1,188.8,81.9,232.7,304.0,118.9,242.6,161.3,323.2,65.9,304.7,118.2,78.9,213.8,261.2,251.5,274.7,176.5,87.8,193.0,59.1,38.4,151.7,178.0,198.1,246.0,57.1,179.4,199.8,252.4,128.7,309.0,0.0,175.9,46.2,186.1,224.7,177.2,230.1,34.3,44.9,186.1,290.3,135.5,300.6,313.0,173.6,34.3,129.0,233.5,113.7,161.5
VR,157.7,205.9,173.7,72.0,80.2,217.8,275.4,2059.5,190.2,116.8,150.3,138.1,177.2,161.6,181.9,117.0,168.8,187.9,156.9,66.0,210.5,113.7,128.8,39.7,178.0,145.1,197.2,140.9,117.7,184.5,276.1,229.9,187.9,151.5,84.3,151.3,151.1,132.7,140.0,208.5,291.3,19.0,159.4,200.5,130.6,165.0,185.1,199.4,216.9,255.5,47.2,187.6,232.1,142.2,243.1,205.8,192.8,167.9,255.0,168.0,87.2,24.9,273.9,176.5,56.7,135.8,226.6,152.2,206.7,189.9,141.9,121.9,198.4,56.6,180.8,203.7,200.5,151.7,151.4,132.3,222.7,65.9,216.8,185.1,143.8,241.7,162.2,0.0,115.9,86.7,195.4,130.5,89.9,127.8,191.7,123.4,223.0,48.4,252.1,263.7,147.3,199.6,159.5,112.1,145.7,53.9
VY,247.8,107.5,72.8,169.7,181.6,307.9,368.0,1997.8,106.5,35.5,67.8,22.2,111.9,251.7,269.6,207.1,244.4,263.5,93.6,146.3,300.3,86.0,65.5,167.9,253.6,130.7,122.5,77.6,76.2,260.1,341.9,305.2,71.9,66.3,161.4,85.5,136.7,105.0,230.1,297.7,381.4,147.1,235.0,288.5,205.8,49.0,89.0,282.1,307.0,349.9,173.6,85.8,136.6,231.9,154.3,142.5,123.6,258.0,344.8,104.7,196.3,115.0,364.0,115.2,345.5,72.5,126.7,242.3,296.8,280.0,232.0,197.1,137.1,146.7,84.4,87.7,137.2,227.3,241.2,222.4,106.4,156.0,153.5,275.2,82.4,331.8,56.1,127.9,0.0,176.8,271.0,220.2,183.8,11.9,94.2,136.8,313.1,112.2,341.4,353.8,222.9,83.6,96.2,202.2,64.4,146.1
WA,103.5,225.2,184.4,77.1,51.3,169.3,208.6,2080.7,216.0,186.0,188.8,165.2,232.9,123.4,92.7,30.2,111.9,105.9,226.1,92.1,143.7,182.9,210.4,128.2,88.5,224.2,243.5,210.1,151.2,95.0,198.7,135.3,201.5,187.3,59.5,218.0,230.2,201.9,85.8,160.0,224.8,106.2,102.5,139.1,71.5,188.0,210.0,150.9,160.4,193.3,119.4,222.8,248.7,55.1,266.4,275.0,203.2,116.9,188.2,242.1,109.3,72.2,207.4,187.2,188.9,205.0,238.3,98.0,145.4,130.6,103.7,66.5,209.1,42.2,205.4,217.3,274.9,94.8,64.3,94.1,236.0,49.1,286.0,136.6,213.0,193.2,185.2,87.2,187.4,0.0,105.9,43.4,121.8,175.5,205.8,192.6,174.5,117.6,184.8,197.2,121.6,213.2,228.7,73.9,193.9,61.8
WB,79.3,224.5,189.8,167.0,141.2,145.1,184.4,2170.6,248.4,285.6,252.9,227.8,299.4,115.0,97.7,60.5,117.3,110.9,329.2,167.5,119.5,272.8,274.5,203.6,21.2,321.1,324.1,300.0,218.9,52.8,182.2,97.9,206.9,251.4,121.0,320.4,327.1,291.8,61.6,134.9,200.6,200.2,107.9,120.6,76.9,200.9,217.8,126.7,141.0,169.1,194.8,289.3,250.8,78.4,265.4,364.9,208.6,92.7,164.0,308.6,199.2,162.1,183.2,192.6,164.7,304.9,243.7,73.8,121.2,111.2,134.7,85.6,214.5,132.1,222.4,222.7,355.5,100.2,87.7,106.0,241.4,126.7,375.9,112.4,316.1,169.0,200.7,181.0,250.0,89.8,0.0,66.8,211.7,238.1,211.2,282.5,150.3,214.7,160.6,173.0,127.0,218.6,318.7,93.5,293.5,137.2
WH,59.1,194.7,160.0,119.2,93.4,124.9,164.2,2122.8,215.2,228.1,223.1,198.0,269.6,94.8,48.8,12.7,74.5,62.4,268.2,129.7,99.3,225.0,244.7,165.8,44.1,266.3,282.9,252.2,188.8,50.6,154.8,91.8,177.1,221.6,91.2,260.1,272.3,244.0,41.4,115.6,180.4,148.3,78.1,96.5,47.1,171.1,188.0,99.1,116.9,144.6,157.0,259.5,224.3,11.6,242.0,317.1,178.8,72.5,143.8,278.8,151.4,114.3,163.0,162.8,144.5,247.1,213.9,53.6,101.0,87.1,114.5,55.8,184.7,84.3,192.6,192.9,312.5,70.4,20.8,85.8,211.6,86.7,328.1,92.2,257.0,148.8,170.9,129.1,220.2,42.0,61.5,0.0,163.9,208.3,181.4,234.7,130.1,159.7,141.1,152.8,97.0,188.8,270.8,73.3,257.0,99.4
