from_stop,AE,AK,AL,AT,AX,BJ,BK,BL,BO,BP,CB,CK,CL,CW,DJ,DK,DO,DP,DS,EO,ER,ES,FA,FK,FO,FP,FU,FZ,GH,GJ,GY,HH,HL,HR,HS,HY,IE,IH,IK,IV,JE,JN,JO,JP,JR,JS,JV,JW,KA,KF,KI,KK,KL,KO,LC,LG,LH,LJ,LR,LS,LT,LU,LX,LZ,MA,MI,MJ,MO,MQ,NF,NM,NS,NX,OA,OD,OM,ON,OO,OQ,OV,PC,PH,PK,PQ,PU,PW,QA,QD,QI,QJ,QQ,QZ,RC,RE,RJ,RN,RU,RV,RY,SJ,SP,SQ,SZ,TE,TH,TK,TU,UA,UJ,UL,VD,VM,VO,WA,WO,WU,WX,XA,XE,XK,XN,XP,XQ,XR,XZ,YC,YG,YN,ZA,ZD,ZM,ZO,ZY
KF,449.7,382.9,587.2,524.2,1078.7,125.4,853.2,340.8,901.0,314.2,229.2,272.5,293.6,282.5,308.6,731.4,725.6,339.6,166.5,587.1,1082.7,291.8,308.4,295.9,941.5,304.5,1099.9,447.1,984.8,1064.3,309.2,437.2,708.9,586.4,206.2,645.6,829.1,706.3,753.5,327.5,254.8,998.0,63.8,407.4,780.8,270.6,456.7,604.7,287.2,0.0,335.9,99.8,409.9,629.8,992.4,367.1,966.0,301.4,723.3,296.1,273.7,333.7,181.1,559.7,1033.4,391.6,243.3,1444.4,763.5,377.6,931.2,198.0,396.0,967.8,328.5,833.8,134.7,291.1,224.3,908.6,338.8,863.4,532.2,1004.9,213.1,585.6,259.2,467.9,617.9,957.1,526.5,713.9,780.3,969.5,505.2,290.3,423.6,1038.3,219.5,342.7,298.8,302.1,200.7,680.2,688.6,279.4,476.5,515.9,558.0,227.5,801.2,844.3,1037.7,196.9,588.2,310.4,1091.8,129.9,483.7,270.3,194.4,432.5,452.3,429.7,228.5,754.0,338.2,287.6,570.4,881.6,1002.0,909.7,548.9
KI,188.5,46.9,307.3,272.9,893.4,314.7,647.4,438.4,736.8,345.0,324.1,253.9,410.6,395.7,123.0,469.7,437.9,96.3,269.0,307.2,893.6,325.1,161.5,254.7,775.5,491.6,906.4,171.9,827.6,918.3,87.0,162.0,459.4,359.2,401.3,421.3,587.4,444.6,492.3,444.5,366.9,879.6,343.8,85.1,519.1,400.7,179.5,364.3,536.2,279.9,0.0,277.0,102.3,411.8,828.2,472.4,801.8,421.2,443.4,483.2,307.0,423.7,263.8,279.8,844.3,247.5,247.9,1326.0,501.8,494.6,767.0,280.8,124.7,764.8,106.3,561.5,275.1,181.6,458.6,744.4,116.6,699.2,257.0,858.9,217.7,299.3,177.7,190.7,442.0,792.9,251.3,434.8,563.2,851.1,228.0,477.4,143.7,845.7,207.6,349.8,179.8,97.9,395.8,400.3,413.4,396.4,205.2,260.5,327.4,178.1,540.2,638.5,848.6,212.2,308.3,167.6,902.7,310.2,176.5,227.6,291.9,161.2,172.4,100.0,415.6,478.1,2.2,168.6,290.5,717.4,883.6,745.5,273.7
KK,364.3,298.0,501.8,438.8,1032.6,99.4,799.2,312.5,854.9,242.4,157.4,187.1,283.4,272.3,223.2,646.0,632.4,254.7,87.7,501.7,1036.6,220.0,223.5,204.7,895.4,294.3,1053.8,375.3,938.7,1018.2,237.4,365.4,623.5,512.2,106.3,605.5,755.0,620.9,686.8,317.3,241.0,951.9,79.9,322.0,695.4,286.7,384.9,527.7,288.9,16.0,251.0,0.0,324.5,578.5,946.3,368.8,919.9,291.2,637.9,285.9,201.9,323.5,66.5,474.3,987.3,319.8,158.4,1398.3,678.1,367.4,885.1,113.1,324.2,921.7,256.7,768.5,59.5,206.2,240.4,862.5,267.0,817.3,460.4,958.8,128.2,521.6,187.4,396.1,577.8,911.0,454.7,647.2,715.0,923.4,421.7,280.1,338.2,992.2,147.7,270.9,227.0,230.3,100.8,594.8,605.9,269.2,408.2,430.5,480.5,155.7,753.9,790.3,991.6,125.1,502.8,235.2,1045.7,94.9,411.9,192.1,90.0,360.7,366.9,344.3,218.3,672.6,253.3,215.8,485.0,835.5,955.9,863.6,477.1
KL,91.5,135.4,204.9,175.9,791.0,336.4,502.3,410.7,634.4,392.8,369.4,226.2,382.9,368.0,95.3,379.0,335.5,141.5,314.2,204.8,791.2,370.4,206.7,306.4,673.1,426.6,804.0,163.7,725.2,815.9,132.3,153.8,368.7,256.8,446.6,318.9,496.7,353.9,389.9,416.8,339.2,860.1,389.1,84.5,428.4,373.0,82.5,272.3,456.5,325.2,193.6,322.3,0.0,321.1,725.8,444.7,699.4,393.5,341.0,427.0,352.3,396.0,309.0,177.4,741.9,221.3,293.1,1251.2,411.1,466.9,664.6,280.2,90.8,662.4,151.6,470.8,326.8,226.8,393.6,642.0,161.9,596.8,174.1,756.5,262.9,208.6,222.9,93.7,339.6,690.5,168.4,350.3,418.1,831.6,131.0,412.4,41.3,743.3,252.9,397.1,225.1,170.6,441.1,297.9,330.5,368.7,114.5,169.8,225.0,223.4,457.0,493.4,746.2,257.5,205.9,231.6,800.3,331.9,74.1,272.9,337.2,70.5,70.0,19.7,350.6,375.7,195.9,213.9,188.1,615.0,766.3,643.1,190.8
KO,199.0,397.9,153.1,181.3,668.9,503.9,362.2,618.6,512.3,513.9,490.4,434.1,590.8,575.9,303.2,235.6,262.1,404.0,509.2,171.1,669.1,494.0,411.6,439.5,551.0,634.5,681.9,307.6,603.1,708.2,366.2,297.7,223.1,153.8,556.4,195.2,326.8,210.5,249.8,624.7,547.1,752.4,581.2,374.1,285.0,580.9,223.2,112.0,664.4,527.0,397.0,506.1,289.5,0.0,603.7,652.6,577.3,601.4,269.3,634.9,475.9,603.9,502.7,157.6,619.8,365.2,498.0,1129.1,267.7,541.3,542.5,460.8,234.7,540.3,385.5,331.5,459.9,493.4,601.5,519.9,395.8,474.7,205.0,648.8,467.8,110.7,484.6,234.4,167.5,568.4,199.3,210.2,278.0,723.9,208.6,620.3,191.5,682.2,444.9,528.7,450.4,395.9,550.9,231.9,153.4,576.6,194.3,148.5,245.0,457.3,316.9,353.3,624.1,479.0,110.4,370.4,678.2,499.4,236.0,464.9,556.4,201.4,160.5,309.3,558.5,235.6,399.3,457.2,154.4,492.9,645.9,521.0,172.0
LC,743.2,942.1,731.1,725.5,186.9,945.4,641.0,959.2,331.3,1044.2,1005.3,899.1,908.3,940.1,847.4,652.1,651.7,948.2,969.3,702.7,187.1,1006.3,861.8,983.7,340.9,1024.5,199.9,851.8,212.0,233.8,910.4,841.9,623.8,709.1,1082.5,559.1,605.6,627.0,624.9,852.5,931.7,265.1,1029.7,918.3,701.5,855.7,767.4,587.3,892.1,984.3,941.2,981.4,833.7,544.1,0.0,824.3,307.8,916.1,666.4,1001.5,988.2,969.3,964.1,701.8,137.8,779.9,948.2,1059.3,684.2,852.6,146.4,936.3,778.9,241.9,929.7,610.3,1004.1,862.5,991.5,141.8,940.0,163.5,749.2,261.3,918.0,654.9,932.2,778.6,532.2,195.3,743.5,614.5,556.8,289.9,752.8,1010.3,735.7,294.7,892.5,1072.9,994.6,940.1,1077.0,652.5,722.9,878.4,739.9,692.7,800.3,882.5,577.7,632.1,142.1,916.6,734.9,914.6,196.2,949.9,780.2,883.0,996.3,745.6,704.7,853.5,948.5,571.3,943.5,1001.4,719.2,235.9,196.5,340.0,716.2
LG,500.5,518.9,662.1,664.4,909.4,261.4,683.9,145.5,731.7,557.3,474.8,323.3,94.6,152.9,359.4,734.4,734.0,475.6,375.0,637.9,913.4,537.4,444.4,541.5,772.2,237.3,930.6,517.9,815.5,895.0,509.3,508.0,706.1,522.9,451.8,542.7,680.4,709.3,650.6,139.3,144.5,828.7,327.4,458.2,714.9,158.2,523.2,550.0,267.2,361.5,471.9,345.4,460.7,508.9,823.1,0.0,796.7,102.4,748.7,214.3,519.3,179.3,317.1,666.6,864.1,462.4,379.3,1275.1,732.2,141.1,761.9,334.0,528.8,798.5,528.6,706.8,380.3,427.1,204.3,739.3,538.9,694.1,588.4,835.6,349.1,534.9,504.8,534.4,497.0,787.8,582.7,611.0,639.1,800.2,622.1,223.1,474.4,869.0,465.1,588.3,544.4,547.7,446.3,734.8,662.4,73.2,553.7,631.6,507.3,473.1,660.0,675.0,868.4,442.5,619.4,556.0,922.5,265.9,536.0,479.4,419.7,565.3,503.1,480.5,161.3,653.6,474.2,533.2,621.2,712.3,832.7,740.4,605.1
LH,636.0,834.9,615.5,618.3,339.2,838.2,525.4,852.0,168.5,937.0,898.1,791.9,801.1,832.9,740.2,536.5,536.1,841.0,862.1,587.1,353.8,899.1,754.6,876.5,170.9,917.3,368.8,744.6,49.2,319.0,803.2,734.7,508.2,590.8,975.3,443.5,490.0,511.4,509.3,745.3,824.5,363.2,922.5,811.1,585.9,748.5,660.2,480.1,784.9,877.1,834.0,874.2,726.5,436.9,288.4,717.1,0.0,808.9,550.8,894.3,881.0,862.1,856.9,594.6,304.5,672.7,841.0,1217.8,568.6,745.4,240.9,829.1,671.7,160.2,822.5,494.7,896.9,755.3,884.3,284.6,832.8,189.0,642.0,259.6,810.8,547.7,825.0,671.4,425.0,193.6,636.3,498.9,441.2,334.7,645.6,903.1,628.5,293.0,785.3,965.7,887.4,832.9,969.8,536.9,607.3,771.2,631.3,585.5,682.0,775.3,462.1,516.5,308.8,809.4,619.3,807.4,362.9,842.7,673.0,775.8,889.1,638.4,597.5,746.3,841.3,455.7,836.3,894.2,603.6,257.6,274.7,177.2,609.0
LJ,554.7,479.3,617.6,625.6,869.0,266.8,643.5,40.0,691.3,497.3,409.5,315.4,171.7,234.1,347.4,689.9,693.6,446.3,370.5,631.7,873.0,477.4,410.7,474.4,731.8,180.5,890.2,505.7,775.1,854.6,497.3,491.7,665.7,482.5,443.3,498.2,640.0,668.9,610.2,218.2,95.9,788.3,337.5,450.3,674.5,239.4,563.7,505.5,129.8,353.9,460.6,337.8,452.8,468.5,782.7,81.1,756.3,0.0,708.3,224.4,459.3,256.4,304.9,626.2,819.6,450.2,367.4,1234.7,691.8,220.5,721.5,322.1,454.6,758.1,520.7,666.4,352.4,426.1,214.4,698.9,531.0,653.7,552.0,795.2,337.2,509.9,509.7,574.9,456.6,747.4,550.4,570.6,594.6,759.8,597.1,184.3,466.5,824.5,472.0,546.6,531.3,512.3,438.7,694.4,622.0,154.4,513.3,592.8,548.1,431.4,619.6,634.6,828.0,436.6,579.0,528.1,882.1,267.2,580.9,471.3,428.9,546.3,495.2,472.6,171.4,613.2,462.9,520.1,614.6,667.8,792.3,700.0,571.4
LR,304.1,486.5,212.7,290.6,601.9,609.0,205.3,723.7,500.9,602.5,579.0,539.2,695.9,681.0,408.3,45.6,15.4,492.6,614.3,132.6,605.9,582.6,516.7,528.1,464.7,739.6,623.1,460.8,508.0,587.5,454.8,450.9,66.2,377.6,645.0,242.6,146.0,62.9,202.5,729.8,652.2,631.7,669.8,451.5,95.0,686.0,328.3,349.6,809.6,615.6,502.1,594.7,366.9,324.4,589.8,757.7,592.2,706.5,0.0,740.0,564.5,709.0,607.8,262.7,556.6,518.4,603.1,1174.8,77.7,779.9,637.0,565.9,387.9,491.0,474.1,119.4,548.5,582.0,706.6,652.6,484.4,607.4,358.2,528.1,572.9,334.5,573.2,339.5,325.9,504.5,352.5,192.1,121.1,603.2,313.7,725.4,296.6,561.5,533.5,617.3,539.0,484.5,639.5,94.9,204.5,681.7,347.5,282.3,468.8,545.9,155.3,196.4,560.9,567.6,216.5,459.0,615.0,604.5,389.2,553.5,645.0,354.6,265.6,386.7,663.6,213.1,504.4,545.8,149.1,625.6,525.2,509.6,325.2
LS,488.9,475.6,626.4,563.4,901.2,263.1,675.7,120.3,723.5,444.1,360.4,311.7,208.0,185.5,347.8,726.2,725.8,442.6,366.8,626.3,905.2,424.2,407.0,474.8,764.0,127.3,922.4,502.0,807.3,886.8,497.7,492.1,697.9,514.7,440.5,534.5,672.2,701.1,642.4,250.4,92.2,820.5,333.8,446.6,706.7,271.6,511.6,541.8,80.7,350.2,456.9,334.1,449.1,500.7,814.9,113.3,788.5,144.5,740.5,0.0,406.1,292.7,301.2,598.9,855.9,446.5,363.7,1266.9,724.0,252.7,753.7,318.4,450.9,790.3,517.0,698.6,299.2,426.5,116.8,731.1,527.3,685.9,587.1,827.4,333.5,542.1,506.0,522.8,488.8,779.6,581.4,602.8,630.9,792.0,546.3,131.1,462.8,860.8,468.3,542.9,527.6,508.6,435.0,726.6,654.2,186.6,545.5,555.1,580.3,427.7,651.8,666.8,860.2,431.5,627.4,474.9,914.3,267.6,509.0,467.6,425.2,487.4,491.5,468.9,167.7,645.4,459.2,516.4,609.6,704.1,824.5,732.2,603.8
LT,468.7,402.4,522.9,543.2,1137.0,203.8,803.0,416.9,952.4,133.4,17.0,291.5,387.8,376.7,327.6,650.2,617.6,359.1,192.1,606.1,1109.2,212.8,327.9,269.3,999.8,398.7,1158.2,479.6,1043.1,1122.6,341.8,469.7,603.3,616.6,94.2,636.9,767.6,625.1,707.9,421.7,345.4,1056.3,189.1,426.4,699.6,395.0,487.2,632.1,337.2,125.2,355.4,104.3,428.9,682.9,1043.8,417.1,1017.4,395.6,632.3,390.3,0.0,427.9,170.9,578.7,1059.9,424.2,262.8,1502.7,682.3,471.8,982.6,217.5,428.6,1026.1,361.1,772.3,87.8,310.6,312.0,960.0,371.4,914.8,564.7,1063.2,232.6,626.0,291.8,498.4,682.2,1008.5,559.0,668.3,718.8,1027.8,526.1,384.5,442.6,1096.6,252.1,215.7,280.2,334.7,88.7,632.0,627.0,373.6,512.6,534.9,584.9,260.1,702.7,794.1,1064.2,229.5,523.9,263.5,1118.3,199.3,516.3,296.5,154.6,465.1,471.3,448.7,322.7,693.7,357.7,287.0,589.4,933.0,1060.3,961.1,581.4
LU,444.3,431.0,581.8,610.3,923.8,238.9,698.3,97.8,746.1,501.1,418.6,267.1,46.9,96.7,303.2,748.8,748.4,398.0,318.8,581.7,927.8,481.2,362.4,485.3,786.6,181.1,945.0,463.8,829.9,909.4,453.1,453.9,720.5,481.6,394.7,540.8,694.8,723.7,648.7,98.8,88.3,843.1,271.2,402.0,729.3,135.7,467.0,499.9,211.0,305.3,449.4,289.2,404.5,523.3,837.5,135.9,811.1,58.8,763.1,158.1,463.1,0.0,294.6,554.3,878.5,408.3,356.8,1289.5,746.6,148.9,776.3,311.5,474.7,812.9,472.4,721.2,324.1,404.6,148.1,753.7,482.7,708.5,534.3,850.0,326.6,480.8,448.6,478.2,511.4,802.2,528.6,609.1,653.5,814.6,568.0,166.9,418.2,883.4,408.9,532.1,488.2,491.5,390.1,749.2,676.8,50.7,512.4,577.5,453.2,416.9,674.4,689.4,882.8,386.3,582.8,499.8,936.9,243.4,481.9,423.2,363.5,511.2,446.9,424.3,105.1,649.2,451.7,477.0,565.0,726.7,847.1,754.8,549.6
LX,401.2,334.4,538.7,475.7,1030.2,76.9,804.7,264.0,852.5,380.4,291.1,224.0,216.8,205.7,260.1,682.9,669.3,291.1,197.9,538.6,1034.2,360.5,259.9,364.6,893.0,227.7,1051.4,414.3,936.3,1015.8,374.5,404.4,660.4,537.9,271.9,597.1,780.6,657.8,705.0,250.7,212.5,949.5,142.9,358.9,732.3,222.1,423.9,556.2,257.6,181.6,287.4,165.5,361.4,581.3,943.9,305.8,917.5,224.6,674.8,219.3,342.4,256.9,0.0,511.2,984.9,358.8,194.8,1395.9,715.0,300.8,882.7,149.5,363.2,919.3,393.8,785.3,195.8,242.6,194.7,860.1,404.1,814.9,499.4,956.4,164.6,537.1,339.1,435.1,569.4,908.6,493.7,665.4,731.8,921.0,458.6,213.5,375.1,989.8,299.4,395.8,375.5,382.0,266.4,631.7,642.8,202.6,445.1,467.4,509.5,280.6,752.7,795.8,989.2,265.6,539.7,371.5,1043.3,81.4,421.3,301.7,256.3,399.7,403.8,381.2,151.7,705.5,289.7,364.9,521.9,833.1,953.5,861.2,516.1
LZ,205.6,404.7,145.2,161.0,684.1,510.5,401.9,625.2,527.5,520.5,497.0,440.7,597.4,582.5,309.8,224.2,241.8,410.8,515.8,177.7,684.3,500.6,412.9,446.1,566.2,641.1,697.1,287.3,618.3,723.0,372.8,277.4,213.9,248.1,563.0,212.0,341.9,199.1,283.0,631.3,553.7,767.2,587.8,353.8,273.6,587.5,229.8,194.0,671.0,533.6,403.6,512.7,269.2,201.5,618.9,659.2,592.5,608.0,266.5,641.5,482.5,610.5,509.3,0.0,635.0,344.9,499.3,1144.3,256.3,681.4,557.7,467.4,214.4,555.5,392.1,316.0,466.5,496.1,608.1,535.1,402.4,489.9,184.7,663.6,469.1,205.0,491.2,241.0,249.5,583.6,179.0,212.4,317.7,738.7,194.7,626.9,198.1,697.0,451.5,535.3,457.0,402.5,557.5,225.4,191.0,583.2,174.0,128.2,339.3,433.6,294.7,393.0,639.3,485.6,99.0,377.0,693.4,506.0,215.7,471.5,563.0,181.1,167.1,289.0,565.1,268.8,405.9,463.8,198.3,508.1,660.7,536.2,151.7
MA,719.8,946.1,627.9,702.1,49.0,925.9,537.8,936.7,277.4,1024.7,985.8,879.6,888.8,920.6,824.0,548.9,548.5,952.2,949.8,597.7,49.2,986.8,842.3,987.7,203.0,1005.0,62.0,828.4,155.7,95.9,914.4,818.5,520.6,696.8,1062.1,455.9,502.4,523.8,521.7,833.0,912.2,127.2,1010.2,894.9,622.1,836.2,744.0,568.0,872.6,964.8,887.8,961.9,810.3,520.7,86.1,804.8,251.5,896.6,563.2,982.0,968.7,949.8,944.6,678.4,0.0,760.4,928.7,936.1,581.0,833.1,170.5,916.8,755.5,138.7,933.7,507.1,1008.1,843.0,972.0,165.9,944.0,187.6,725.8,146.3,898.5,653.7,912.7,755.2,508.8,100.3,720.1,511.3,453.6,152.0,729.4,990.8,712.3,178.0,873.0,978.2,998.6,944.1,1057.5,549.3,619.7,858.9,729.3,669.3,788.0,863.0,474.5,528.9,4.3,897.1,631.7,918.6,58.3,930.4,756.8,863.5,976.8,722.2,681.3,830.1,929.0,468.1,890.1,1005.4,616.0,260.0,88.1,286.1,691.4
MI,166.2,198.9,305.7,230.9,806.0,362.5,457.2,500.1,649.4,481.5,398.3,292.7,449.4,434.5,161.8,397.6,414.7,230.3,403.0,341.7,806.2,399.3,295.5,388.7,688.1,493.1,819.0,64.5,740.2,830.9,221.0,54.6,375.7,194.9,474.6,333.9,435.7,376.2,355.8,483.3,405.7,818.9,477.8,169.9,437.8,439.5,181.9,248.8,523.0,413.9,279.0,411.0,165.6,288.2,740.8,511.2,714.4,464.1,421.9,493.5,381.2,462.5,397.8,328.2,756.9,0.0,381.9,1265.3,422.4,533.4,679.6,319.4,84.0,677.4,240.3,419.0,409.1,315.6,460.1,657.0,250.6,611.8,149.6,771.5,351.7,187.9,311.7,193.1,331.1,705.5,143.9,327.4,420.7,790.4,201.3,478.9,189.3,758.3,341.6,390.7,313.8,231.9,470.0,384.5,306.0,435.2,124.8,198.1,218.5,312.1,406.6,448.3,761.2,346.2,327.5,301.6,815.3,358.0,82.6,361.6,425.9,128.5,255.3,185.4,417.1,390.7,281.3,302.6,356.2,630.0,772.6,658.1,164.9
MJ,331.6,265.3,469.1,406.1,1046.1,66.7,766.5,279.9,868.4,313.8,222.0,154.4,232.7,221.6,190.5,613.3,599.7,222.0,128.8,469.0,1050.1,291.4,190.8,295.5,908.9,243.6,1067.3,344.7,952.2,1031.7,305.4,334.8,590.8,481.6,173.1,613.0,722.3,588.2,654.1,266.6,228.4,965.4,146.7,289.3,662.7,238.0,354.3,497.1,273.5,82.8,218.3,66.7,291.8,547.9,959.8,321.7,933.4,240.5,605.2,235.2,273.3,272.8,15.8,441.6,1000.8,289.2,0.0,1411.8,645.4,316.7,898.6,80.4,293.6,935.2,324.7,735.8,126.3,173.5,210.6,876.0,335.0,830.8,429.8,972.3,95.5,491.0,270.0,365.5,585.3,924.5,424.1,614.5,682.3,936.9,389.0,229.4,305.5,1005.7,230.3,326.7,306.4,312.9,167.6,562.1,573.2,218.5,375.5,397.8,449.9,211.5,721.2,757.6,1005.1,196.5,470.1,302.0,1059.2,62.2,351.7,232.6,156.8,330.1,334.2,311.6,167.6,639.9,220.6,295.8,452.3,849.0,969.4,877.1,446.5
MO,1349.0,1470.6,1354.6,1360.9,959.6,1461.7,1176.8,1475.5,1196.7,1560.5,1521.6,1415.4,1424.6,1456.4,1336.9,1255.0,1275.2,1427.3,1485.6,1326.2,878.7,1522.6,1378.1,1445.9,1045.7,1540.8,952.6,1351.7,1075.0,1006.5,1516.2,1341.8,1247.3,1311.4,1598.8,1182.6,1173.3,1250.5,1248.4,1368.8,1448.0,927.3,1546.0,1435.7,1207.8,1372.0,1373.2,1193.1,1408.4,1500.6,1423.6,1497.7,1463.3,1149.9,1021.3,1340.6,1170.8,1432.4,1289.9,1517.8,1504.5,1485.6,1480.4,1307.6,928.2,1296.2,1464.5,0.0,1225.1,1368.9,1098.8,1452.6,1408.5,1058.0,1535.5,1199.7,1508.1,1378.8,1507.8,1094.2,1545.8,1115.1,1355.0,1056.9,1434.3,1287.5,1448.5,1384.4,1138.0,1019.6,1349.3,1238.0,1180.3,952.1,1358.6,1526.6,1341.5,1088.6,1408.8,1600.1,1456.8,1491.4,1593.3,1276.0,1346.4,1394.7,1342.2,1328.1,1402.6,1398.8,1201.2,1167.9,923.7,1432.9,1358.4,1520.4,928.2,1466.2,1409.8,1399.3,1512.6,1375.2,1310.5,1483.1,1464.8,1194.8,1425.9,1463.6,1342.7,1107.8,1007.4,1205.4,1322.0
MQ,357.0,539.4,201.9,323.7,616.1,661.9,108.9,776.6,515.1,657.9,631.9,592.1,748.8,733.9,461.2,29.8,89.9,545.5,667.2,185.5,620.1,635.5,569.6,581.0,478.9,792.5,637.3,450.0,522.2,601.7,507.7,440.1,112.6,384.8,697.9,256.8,87.4,52.1,209.7,782.7,705.1,645.9,722.7,516.5,17.2,738.9,381.2,356.7,862.5,668.5,555.0,647.6,431.9,364.2,604.0,810.6,606.4,759.4,78.9,792.9,617.4,761.9,660.7,315.6,570.8,507.6,656.0,1114.1,0.0,801.4,664.4,618.8,377.1,505.2,527.0,126.6,601.4,634.9,759.5,641.8,537.3,596.6,347.4,542.3,625.8,341.7,626.1,392.4,412.2,518.7,341.7,199.3,128.3,617.4,357.4,778.3,349.5,575.7,586.4,670.2,591.9,537.4,692.4,141.3,193.7,734.6,336.7,290.9,476.0,598.8,162.5,100.0,575.1,620.5,205.7,511.9,629.2,657.4,378.4,606.4,697.9,343.8,318.5,451.7,716.5,220.3,557.3,598.7,202.0,614.8,539.4,523.8,314.4
NF,462.6,592.4,529.6,533.5,776.9,377.0,551.4,303.7,599.2,675.4,509.5,443.6,252.8,284.6,451.8,601.9,601.5,542.2,506.7,547.6,780.9,637.5,493.0,560.8,639.7,276.4,798.1,466.6,683.0,762.5,614.5,456.7,573.6,390.4,583.5,410.2,547.9,576.8,518.1,197.0,276.2,696.2,459.1,563.4,582.4,239.6,471.6,417.5,229.8,493.2,538.5,477.1,542.3,376.4,690.6,234.4,664.2,260.6,616.2,346.0,619.4,335.2,432.7,534.1,731.6,411.1,494.9,1142.6,599.7,0.0,629.4,449.6,487.5,666.0,633.8,574.3,448.3,493.7,336.0,606.8,644.1,561.6,464.0,703.1,464.7,417.8,563.4,482.8,364.5,655.3,458.3,478.5,506.6,667.7,505.0,354.8,485.7,736.5,523.7,628.9,571.7,625.4,578.0,602.3,529.9,222.9,421.2,500.7,456.0,513.7,527.5,542.5,735.9,547.8,486.9,695.1,790.0,381.5,488.8,514.2,551.4,454.2,537.0,562.1,293.0,521.1,540.8,578.5,530.9,579.8,700.2,607.9,480.7
NM,644.9,843.8,599.0,627.2,265.4,847.1,708.4,857.9,393.5,945.9,907.0,800.8,810.0,841.8,749.1,719.5,719.1,849.9,871.0,617.0,265.6,908.0,763.5,885.4,406.0,926.2,278.4,753.5,274.2,308.1,812.1,743.6,691.2,599.7,984.2,479.6,673.0,694.4,692.3,754.2,833.4,343.6,931.4,820.0,768.9,757.4,669.1,489.0,793.8,886.0,842.9,883.1,735.4,445.8,200.2,726.0,370.0,817.8,733.8,903.2,889.9,871.0,865.8,603.5,216.3,681.6,849.9,1049.6,751.6,754.3,0.0,838.0,680.6,309.3,831.4,677.7,905.8,764.2,893.2,116.4,841.7,156.1,650.9,308.5,819.7,556.6,833.9,680.3,433.9,242.5,645.2,681.9,624.2,368.4,654.5,912.0,637.4,341.9,794.2,974.6,896.3,841.8,978.7,719.9,599.3,780.1,640.2,594.4,690.9,784.2,645.1,699.5,220.6,818.3,556.3,816.3,274.7,851.6,681.9,784.7,898.0,647.3,606.4,755.2,850.2,638.7,845.2,903.1,600.3,89.4,240.7,402.2,616.5
NS,367.9,296.3,505.4,442.4,1017.6,112.0,813.9,325.2,839.9,242.4,141.5,199.7,278.0,266.9,226.8,661.1,628.5,253.0,48.3,505.3,1021.6,222.1,221.8,221.4,880.4,288.9,1038.8,360.3,923.7,1003.2,239.5,350.4,614.2,497.2,218.7,590.5,778.5,636.0,690.4,311.9,273.7,936.9,176.6,325.6,710.5,283.3,369.9,512.7,318.8,112.7,249.3,109.8,328.1,563.5,931.3,367.0,904.9,285.8,643.2,280.5,204.0,318.1,61.1,477.9,972.3,304.8,45.2,1383.3,693.2,362.0,870.1,0.0,309.2,906.7,258.8,783.2,129.0,204.5,255.9,847.5,269.1,802.3,445.4,943.8,15.0,506.6,189.5,381.1,562.8,896.0,439.7,650.8,729.7,908.4,418.4,274.7,341.8,977.2,149.8,273.0,229.1,232.4,213.2,598.4,601.8,263.8,389.7,434.1,465.5,157.8,713.6,805.0,976.6,127.2,506.4,274.0,1030.7,107.5,367.3,152.7,106.7,345.7,370.5,347.9,212.9,676.2,251.6,217.9,488.6,820.5,940.9,848.6,462.1
NX,93.9,160.5,265.9,168.5,804.8,324.1,522.6,438.8,648.2,380.8,341.9,254.3,411.0,396.1,123.4,344.9,362.5,191.9,305.9,281.9,805.0,342.9,198.4,266.2,706.0,454.7,817.8,72.8,749.3,828.8,182.6,62.9,334.6,240.7,419.1,345.4,462.6,319.8,417.3,444.9,367.3,762.5,384.8,131.5,394.3,401.1,107.8,239.5,484.6,320.9,240.6,318.0,91.5,287.0,739.6,472.8,713.2,421.6,387.2,455.1,324.8,424.1,300.7,284.9,755.7,130.4,284.8,1208.9,377.0,495.0,678.4,272.9,0.0,732.3,201.9,436.7,328.4,199.1,421.7,655.8,212.2,610.6,154.2,769.4,254.6,174.5,273.3,119.0,317.7,704.3,148.5,332.0,438.4,734.0,144.2,440.5,117.0,802.8,303.2,334.3,275.4,193.5,413.6,346.1,310.6,396.8,80.4,135.7,208.9,219.1,415.4,513.7,760.0,253.2,219.7,263.2,814.1,319.6,58.0,219.6,332.9,36.4,147.1,111.3,378.7,403.1,242.9,264.2,265.2,628.8,766.5,656.9,170.9
